Orthogroup	N_naja.pep	X_tropicalis.pep
OG0001050	Nana24548-RA	ENSXETG00000011631.1
OG0001051	Nana25343-RB, Nana25342-RA	ENSXETG00000003819.1
OG0001052	Nana38595-RA	ENSXETG00000005933.1
OG0001052	Nana25361-RA	ENSXETG00000010664.1
OG0001052	Nana01829-RA	ENSXETG00000018440.1
OG0001053	Nana11402-RA	ENSXETG00000003249.1
OG0001053	Nana06106-RC, Nana06106-RD, Nana06106-RB, Nana06106-RA	ENSXETG00000012673.1
OG0001054	Nana05790-RA	ENSXETG00000000025.1
OG0001055	Nana10297-RA, Nana03259-RA	ENSXETG00000012739.1
OG0001056	Nana05549-RA, Nana05549-RB, Nana05549-RC, Nana05549-RE, Nana05549-RD, Nana05549-RF, Nana05549-RG	ENSXETG00000002230.1
OG0001057	Nana05515-RA, Nana05518-RA	ENSXETG00000005470.1
OG0001057	Nana00987-RA	ENSXETG00000010198.1
OG0001058	Nana05486-RA	ENSXETG00000004331.1
OG0001058	Nana00864-RA	ENSXETG00000004103.1
OG0001059	Nana10025-RB, Nana10025-RA	ENSXETG00000016852.1
OG0001059	Nana03457-RA	ENSXETG00000020445.1
OG0001060	Nana00979-RA, Nana00979-RB, Nana00973-RA, Nana00973-RB	ENSXETG00000001959.1
OG0001061	Nana08512-RA	ENSXETG00000017544.1
OG0001062	Nana07502-RA	ENSXETG00000018436.1
OG0001064	Nana25429-RA	ENSXETG00000011574.1
OG0001077	Nana36020-RB, Nana04600-RA, Nana28177-RA	ENSXETG00000019784.1, ENSXETG00000003662.1, ENSXETG00000007608.1, ENSXETG00000003544.1, ENSXETG00000012352.1, ENSXETG00000008625.1, ENSXETG00000019047.1, ENSXETG00000011092.1, ENSXETG00000002029.1, ENSXETG00000014538.1, ENSXETG00000012131.1, ENSXETG00000011276.1, ENSXETG00000019219.1, ENSXETG00000019123.1, ENSXETG00000017102.1, ENSXETG00000003943.1
OG0001082	Nana25516-RA, Nana25516-RB	ENSXETG00000000144.1
OG0001083	Nana19994-RA, Nana19994-RB	ENSXETG00000000742.1
OG0001084	Nana19679-RA	ENSXETG00000009506.1
OG0001085	Nana14477-RA, Nana14475-RA	ENSXETG00000014343.1
OG0001086	Nana15698-RA	ENSXETG00000003728.1
OG0001086	Nana15671-RA	ENSXETG00000005686.1
OG0001087	Nana23790-RA, Nana00177-RA	ENSXETG00000004535.1
OG0001088	Nana33124-RA, Nana36291-RA	ENSXETG00000002066.1
OG0001089	Nana12130-RA	ENSXETG00000014963.1
OG0001089	Nana33605-RA	ENSXETG00000013237.1
OG0001090	Nana11645-RA	ENSXETG00000015314.1
OG0001091	Nana02614-RA	ENSXETG00000007654.1
OG0001092	Nana30910-RA	ENSXETG00000010445.1
OG0001092	Nana05722-RA	ENSXETG00000020621.1
OG0001093	Nana28463-RB, Nana28463-RA	ENSXETG00000001358.1
OG0001094	Nana30964-RA	ENSXETG00000013655.1
OG0001095	Nana06232-RA	ENSXETG00000016799.1
OG0001095	Nana11381-RA	ENSXETG00000004785.1
OG0001096	Nana11988-RA	ENSXETG00000001385.1
OG0001097	Nana34606-RA	ENSXETG00000007631.1, ENSXETG00000015914.1
OG0001098	Nana36877-RA	ENSXETG00000011310.1
OG0001100	Nana17654-RA, Nana19114-RA	ENSXETG00000000694.1
OG0001101	Nana17797-RA	ENSXETG00000001620.1
OG0001101	Nana28158-RA	ENSXETG00000013606.1
OG0001102	Nana19402-RA	ENSXETG00000009502.1, ENSXETG00000016256.1
OG0001103	Nana07736-RA, Nana07736-RB	ENSXETG00000010057.1
OG0001104	Nana32769-RA	ENSXETG00000018667.1
OG0001104	Nana32770-RA	ENSXETG00000018661.1
OG0001105	Nana25067-RA, Nana32041-RA	ENSXETG00000010498.1
OG0001105	Nana25063-RA, Nana25064-RA	ENSXETG00000020532.1
OG0001106	Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB	ENSXETG00000005412.1, ENSXETG00000005403.1, ENSXETG00000000362.1
OG0001107	Nana02033-RA	ENSXETG00000009668.1
OG0001107	Nana11062-RA	ENSXETG00000011896.1
OG0001108	Nana02264-RA	ENSXETG00000008551.1
OG0001108	Nana11055-RA	ENSXETG00000005708.1
OG0001109	Nana11497-RA	ENSXETG00000001171.1
OG0001110	Nana16034-RA	ENSXETG00000001279.1
OG0001110	Nana13586-RA	ENSXETG00000001607.1
OG0001111	Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK	ENSXETG00000000402.1
OG0001112	Nana09815-RA	ENSXETG00000003578.1
OG0001112	Nana01531-RA	ENSXETG00000012219.1
OG0001113	Nana16336-RA, Nana16336-RB	ENSXETG00000020032.1
OG0001114	Nana23976-RA	ENSXETG00000006747.1
OG0001115	Nana08407-RA	ENSXETG00000015134.1
OG0001115	Nana27500-RA	ENSXETG00000018255.1
OG0001116	Nana31238-RB, Nana31238-RA	ENSXETG00000003812.1
OG0001117	Nana14988-RA	ENSXETG00000009794.1
OG0001117	Nana36519-RA	ENSXETG00000004530.1
OG0001118	Nana28094-RA, Nana28094-RB	ENSXETG00000015746.1
OG0001118	Nana02697-RA	ENSXETG00000019096.1
OG0001119	Nana02749-RA, Nana36026-RA, Nana36026-RB	ENSXETG00000006379.1
OG0001121	Nana05803-RA	ENSXETG00000017079.1
OG0001121	Nana01003-RA	ENSXETG00000016954.1
OG0001123	Nana05812-RA	ENSXETG00000010514.1
OG0001124	Nana09016-RA	ENSXETG00000017231.1
OG0001124	Nana19852-RA	ENSXETG00000005483.1
OG0001125	Nana38193-RA, Nana38191-RA, Nana27551-RA	ENSXETG00000017000.1
OG0001126	Nana23893-RA	ENSXETG00000001965.1, ENSXETG00000001903.1, ENSXETG00000008521.1, ENSXETG00000008563.1
OG0001126	Nana33075-RA	ENSXETG00000008949.1, ENSXETG00000016118.1
OG0001127	Nana29943-RA	ENSXETG00000007727.1
OG0001127	Nana29942-RA	ENSXETG00000007709.1, ENSXETG00000007690.1
OG0001128	Nana08783-RA, Nana08784-RA	ENSXETG00000018709.1
OG0001129	Nana39302-RA	ENSXETG00000019838.1
OG0001130	Nana25844-RA	ENSXETG00000017284.1
OG0001130	Nana32200-RA	ENSXETG00000009497.1
OG0001131	Nana23112-RA	ENSXETG00000004875.1
OG0001131	Nana22266-RA	ENSXETG00000020989.1
OG0001132	Nana16280-RA, Nana00706-RA	ENSXETG00000008766.1
OG0001133	Nana28410-RA	ENSXETG00000002353.1
OG0001133	Nana05995-RA	ENSXETG00000003503.1
OG0001134	Nana17929-RA	ENSXETG00000001885.1
OG0001134	Nana25656-RA	ENSXETG00000005583.1
OG0001135	Nana19597-RA	ENSXETG00000000990.1
OG0001135	Nana28386-RA	ENSXETG00000017729.1
OG0001136	Nana32118-RA	ENSXETG00000008206.1
OG0001136	Nana18002-RA	ENSXETG00000012544.1
OG0001137	Nana08687-RB, Nana08687-RA	ENSXETG00000013895.1
OG0001138	Nana10327-RA	ENSXETG00000019459.1
OG0001138	Nana03294-RA	ENSXETG00000010954.1
OG0001139	Nana14742-RB, Nana14742-RA	ENSXETG00000014677.1
OG0001140	Nana08717-RA, Nana17783-RA	ENSXETG00000017736.1, ENSXETG00000017912.1
OG0001141	Nana14800-RA, Nana09279-RA	ENSXETG00000003840.1
OG0001142	Nana30382-RA	ENSXETG00000009803.1
OG0001142	Nana28738-RA	ENSXETG00000020336.1
OG0001143	Nana12163-RA	ENSXETG00000010222.1
OG0001143	Nana09248-RA	ENSXETG00000017801.1
OG0001144	Nana17440-RA	ENSXETG00000009886.1
OG0001145	Nana27289-RA, Nana09588-RB, Nana09588-RA	ENSXETG00000004684.1
OG0001146	Nana10405-RA	ENSXETG00000017006.1
OG0001147	Nana14264-RA	ENSXETG00000020321.1
OG0001148	Nana02545-RA	ENSXETG00000000020.1
OG0001148	Nana16704-RA	ENSXETG00000000114.1
OG0001149	Nana28144-RA, Nana18911-RA, Nana18911-RB	ENSXETG00000002228.1
OG0001150	Nana36107-RD	ENSXETG00000009745.1
OG0001151	Nana32319-RA	ENSXETG00000000146.1
OG0001151	Nana26559-RA	ENSXETG00000004357.1
OG0001152	Nana19809-RA	ENSXETG00000003365.1
OG0001152	Nana28336-RA	ENSXETG00000009879.1, ENSXETG00000009820.1, ENSXETG00000020980.1
OG0001153	Nana35546-RA	ENSXETG00000011633.1
OG0001154	Nana33147-RA	ENSXETG00000020863.1
OG0001154	Nana33144-RB, Nana33144-RA	ENSXETG00000020859.1
OG0001155	Nana35470-RA, Nana00088-RA	ENSXETG00000013247.1
OG0001156	Nana32668-RB, Nana32668-RA, Nana20400-RA	ENSXETG00000006760.1
OG0001157	Nana33853-RA	ENSXETG00000006583.1
OG0001158	Nana33850-RA, Nana09655-RA, Nana27317-RA	ENSXETG00000006589.1
OG0001159	Nana16653-RA	ENSXETG00000008176.1
OG0001159	Nana13681-RA	ENSXETG00000015769.1
OG0001160	Nana10842-RB	ENSXETG00000020297.1
OG0001160	Nana10433-RA, Nana23048-RA	ENSXETG00000001086.1
OG0001161	Nana16541-RA	ENSXETG00000017761.1
OG0001161	Nana31018-RA	ENSXETG00000002296.1
OG0001162	Nana24564-RA	ENSXETG00000012662.1
OG0001162	Nana29081-RA	ENSXETG00000007328.1
OG0001163	Nana28087-RA, Nana28086-RA	ENSXETG00000011612.1
OG0001163	Nana26761-RA	ENSXETG00000018484.1
OG0001164	Nana20389-RA, Nana26648-RA	ENSXETG00000014563.1, ENSXETG00000000321.1
OG0001164	Nana32708-RB, Nana32708-RC, Nana32708-RA	ENSXETG00000009485.1
OG0001165	Nana00013-RA	ENSXETG00000016247.1
OG0001166	Nana16424-RA	ENSXETG00000016454.1
OG0001166	Nana13637-RA	ENSXETG00000011662.1
OG0001167	Nana11276-RA	ENSXETG00000002692.1
OG0001167	Nana09101-RA	ENSXETG00000013541.1
OG0001168	Nana03251-RA, Nana10092-RA	ENSXETG00000017650.1
OG0001169	Nana08334-RA	ENSXETG00000001184.1
OG0001170	Nana31951-RA	ENSXETG00000012176.1
OG0001170	Nana02671-RA	ENSXETG00000013756.1
OG0001171	Nana16229-RA, Nana13490-RA	ENSXETG00000019501.1
OG0001172	Nana12579-RA	ENSXETG00000011085.1
OG0001172	Nana33127-RA	ENSXETG00000020418.1
OG0001173	Nana05846-RA, Nana05846-RB	ENSXETG00000008590.1
OG0001173	Nana02840-RA	ENSXETG00000006893.1
OG0001174	Nana26363-RA	ENSXETG00000011797.1
OG0001174	Nana32610-RA	ENSXETG00000020705.1
OG0001175	Nana03461-RA	ENSXETG00000017947.1
OG0001175	Nana21178-RA	ENSXETG00000002957.1
OG0001176	Nana39284-RA	ENSXETG00000020953.1
OG0001176	Nana23785-RA	ENSXETG00000004777.1
OG0001177	Nana18988-RA	ENSXETG00000012045.1
OG0001178	Nana34725-RA	ENSXETG00000016390.1
OG0001178	Nana00040-RA	ENSXETG00000020548.1
OG0001179	Nana00603-RA	ENSXETG00000007534.1
OG0001179	Nana35215-RA	ENSXETG00000021279.1
OG0001181	Nana02065-RA	ENSXETG00000004310.1
OG0001181	Nana29978-RA	ENSXETG00000009751.1
OG0001182	Nana20593-RA	ENSXETG00000021315.1
OG0001183	Nana16009-RA	ENSXETG00000009694.1
OG0001183	Nana31464-RA	ENSXETG00000011712.1
OG0001184	Nana33082-RA	ENSXETG00000004160.1
OG0001184	Nana11895-RA	ENSXETG00000020784.1
OG0001185	Nana18276-RA	ENSXETG00000001133.1
OG0001185	Nana08782-RA	ENSXETG00000018278.1
OG0001186	Nana13789-RA	ENSXETG00000019616.1
OG0001186	Nana31265-RA	ENSXETG00000014113.1
OG0001187	Nana21256-RA	ENSXETG00000013380.1
OG0001187	Nana09906-RA	ENSXETG00000001702.1
OG0001188	Nana23565-RA	ENSXETG00000015044.1
OG0001189	Nana00111-RA, Nana00106-RA, Nana00108-RB, Nana00108-RA, Nana00110-RB, Nana00110-RA, Nana00107-RA	ENSXETG00000012608.1
OG0001190	Nana02526-RA	ENSXETG00000002114.1
OG0001190	Nana15877-RA	ENSXETG00000020825.1
OG0001191	Nana13699-RA	ENSXETG00000012141.1
OG0001192	Nana31096-RA, Nana31095-RA	ENSXETG00000008717.1
OG0001193	Nana32416-RB, Nana32416-RA	ENSXETG00000020257.1
OG0001193	Nana08930-RA	ENSXETG00000001751.1
OG0001194	Nana36352-RL, Nana36352-RJ, Nana36352-RN, Nana36352-RM, Nana36352-RH, Nana36352-RI, Nana36352-RF, Nana36352-RE, Nana36352-RK, Nana36352-RG	ENSXETG00000000064.1
OG0001195	Nana25025-RA	ENSXETG00000001008.1
OG0001195	Nana18598-RA	ENSXETG00000019635.1
OG0001196	Nana04558-RA	ENSXETG00000002018.1
OG0001196	Nana29494-RA	ENSXETG00000009519.1
OG0001197	Nana07730-RC, Nana07730-RB, Nana07730-RA	ENSXETG00000003515.1
OG0001198	Nana20689-RA	ENSXETG00000009106.1
OG0001199	Nana01634-RA	ENSXETG00000006982.1
OG0001199	Nana05931-RA	ENSXETG00000021156.1
OG0001200	Nana04145-RD, Nana04145-RH, Nana04145-RG, Nana04145-RF, Nana04145-RE, Nana04145-RI, Nana04145-RC, Nana04145-RB, Nana04145-RA	ENSXETG00000002359.1
OG0001201	Nana09935-RF, Nana09935-RC, Nana09935-RG, Nana09935-RH, Nana09935-RD, Nana09935-RI, Nana09935-RE	ENSXETG00000004315.1
OG0001203	Nana02926-RA	ENSXETG00000001615.1, ENSXETG00000006691.1
OG0001204	Nana16242-RA	ENSXETG00000019505.1
OG0001205	Nana04204-RA	ENSXETG00000002782.1
OG0001206	Nana23668-RA	ENSXETG00000013743.1
OG0001207	Nana23665-RA	ENSXETG00000014431.1
OG0001208	Nana23661-RA	ENSXETG00000003505.1
OG0001209	Nana20401-RA	ENSXETG00000007220.1
OG0001209	Nana26008-RA	ENSXETG00000016554.1
OG0001210	Nana23229-RA, Nana21774-RA	ENSXETG00000001217.1
OG0001211	Nana20383-RA, Nana38623-RA, Nana38625-RA, Nana18533-RA	ENSXETG00000019862.1
OG0001212	Nana05553-RA	ENSXETG00000021122.1
OG0001212	Nana15517-RA	ENSXETG00000000442.1
OG0001213	Nana21939-RA	ENSXETG00000017093.1
OG0001213	Nana23151-RA	ENSXETG00000000810.1
OG0001214	Nana20367-RA	ENSXETG00000005577.1
OG0001214	Nana26011-RA	ENSXETG00000016622.1
OG0001215	Nana15541-RA, Nana03770-RA, Nana03772-RA	ENSXETG00000000219.1
OG0001216	Nana10845-RA	ENSXETG00000002209.1
OG0001216	Nana14966-RA	ENSXETG00000007263.1
OG0001217	Nana36799-RA	ENSXETG00000017402.1
OG0001217	Nana14841-RA, Nana14841-RB	ENSXETG00000019369.1
OG0001218	Nana11150-RA	ENSXETG00000012259.1
OG0001218	Nana14667-RA	ENSXETG00000017766.1
OG0001220	Nana09048-RA, Nana19961-RA	ENSXETG00000012475.1
OG0001221	Nana19942-RA	ENSXETG00000006870.1
OG0001221	Nana28210-RA, Nana28207-RA	ENSXETG00000019413.1
OG0001222	Nana27061-RA	ENSXETG00000016828.1
OG0001223	Nana19780-RA, Nana19779-RA	ENSXETG00000006728.1, ENSXETG00000011132.1, ENSXETG00000006743.1
OG0001224	Nana19766-RA, Nana19773-RA	ENSXETG00000001251.1
OG0001225	Nana17767-RA	ENSXETG00000000653.1
OG0001225	Nana19197-RA	ENSXETG00000007372.1
OG0001226	Nana14518-RA	ENSXETG00000017713.1
OG0001226	Nana11831-RA	ENSXETG00000012585.1
OG0001227	Nana17698-RA	ENSXETG00000008435.1
OG0001228	Nana04529-RA	ENSXETG00000012341.1
OG0001228	Nana14214-RA	ENSXETG00000020563.1
OG0001229	Nana29222-RA	ENSXETG00000005078.1
OG0001229	Nana14252-RA	ENSXETG00000004925.1
OG0001230	Nana23207-RA	ENSXETG00000019525.1
OG0001231	Nana21842-RA	ENSXETG00000005191.1
OG0001231	Nana23212-RA	ENSXETG00000017400.1
OG0001232	Nana13918-RA	ENSXETG00000011925.1
OG0001233	Nana26171-RD, Nana26171-RB	ENSXETG00000003908.1
OG0001234	Nana09157-RA	ENSXETG00000011547.1
OG0001234	Nana18325-RA	ENSXETG00000012959.1
OG0001235	Nana01871-RA	ENSXETG00000016011.1
OG0001235	Nana25887-RA	ENSXETG00000014636.1
OG0001236	Nana04636-RA	ENSXETG00000009209.1
OG0001237	Nana25864-RA	ENSXETG00000019543.1
OG0001237	Nana17582-RA	ENSXETG00000020856.1
OG0001238	Nana24534-RB, Nana24534-RA, Nana24534-RC	ENSXETG00000014699.1
OG0001239	Nana13340-RA, Nana00674-RE, Nana00674-RB, Nana00674-RA, Nana00674-RD	ENSXETG00000007021.1
OG0001240	Nana25325-RA	ENSXETG00000009301.1
OG0001240	Nana18168-RA	ENSXETG00000006040.1
OG0001241	Nana24942-RA, Nana24944-RA, Nana34596-RA	ENSXETG00000015159.1, ENSXETG00000017349.1, ENSXETG00000015087.1
OG0001242	Nana25059-RA	ENSXETG00000012306.1
OG0001244	Nana01106-RA	ENSXETG00000007869.1
OG0001244	Nana05788-RA	ENSXETG00000001139.1
OG0001245	Nana01114-RA	ENSXETG00000007371.1
OG0001245	Nana05357-RA	ENSXETG00000003045.1
OG0001246	Nana10659-RB, Nana10657-RA	ENSXETG00000009786.1
OG0001246	Nana07907-RA	ENSXETG00000014312.1
OG0001247	Nana01306-RA, Nana01305-RA	ENSXETG00000011647.1
OG0001247	Nana05051-RA	ENSXETG00000004385.1
OG0001248	Nana10734-RA	ENSXETG00000006216.1
OG0001249	Nana09410-RF, Nana09410-RA	ENSXETG00000004254.1
OG0001251	Nana02037-RA, Nana09280-RA	ENSXETG00000006771.1
OG0001252	Nana09088-RB, Nana09088-RA, Nana09088-RC	ENSXETG00000010486.1
OG0001253	Nana03034-RA, Nana22295-RA, Nana03033-RA, Nana03032-RA	ENSXETG00000020832.1
OG0001254	Nana28036-RD, Nana28036-RA, Nana28036-RB, Nana28036-RC	ENSXETG00000010914.1
OG0001256	Nana07602-RA, Nana07604-RA, Nana07605-RD, Nana07605-RB, Nana07605-RC, Nana07605-RE	ENSXETG00000018064.1
OG0001257	Nana01654-RA	ENSXETG00000008584.1
OG0001257	Nana05106-RA, Nana05106-RB	ENSXETG00000014517.1
OG0001258	Nana32945-RA, Nana32945-RB, Nana32945-RD, Nana36049-RA	ENSXETG00000019215.1
OG0001259	Nana34333-RA	ENSXETG00000003117.1
OG0001260	Nana06434-RA	ENSXETG00000016978.1
OG0001260	Nana32795-RA, Nana32795-RB, Nana32795-RC	ENSXETG00000017304.1
OG0001265	Nana36837-RB, Nana36458-RA	ENSXETG00000013663.1
OG0001265	Nana36843-RA	ENSXETG00000013650.1
OG0001267	Nana30419-RB, Nana30420-RA, Nana30412-RA, Nana30418-RE, Nana30418-RD, Nana30419-RA, Nana30414-RA, Nana30413-RA, Nana30414-RB, Nana30417-RA, Nana30418-RA, Nana30418-RB, Nana30418-RC, Nana30414-RC	ENSXETG00000006423.1
OG0001273	Nana30493-RA	ENSXETG00000007973.1, ENSXETG00000007998.1, ENSXETG00000008016.1, ENSXETG00000008022.1, ENSXETG00000008009.1, ENSXETG00000007937.1, ENSXETG00000008753.1, ENSXETG00000008705.1, ENSXETG00000008741.1, ENSXETG00000008712.1, ENSXETG00000008724.1, ENSXETG00000008770.1, ENSXETG00000008805.1, ENSXETG00000008718.1, ENSXETG00000008843.1, ENSXETG00000008831.1, ENSXETG00000015215.1
OG0001276	Nana17486-RA, Nana17485-RA	ENSXETG00000001637.1
OG0001276	Nana19637-RA	ENSXETG00000004784.1
OG0001277	Nana19671-RA	ENSXETG00000007807.1, ENSXETG00000007457.1, ENSXETG00000007923.1, ENSXETG00000004695.1
OG0001280	Nana37489-RB, Nana37488-RA	ENSXETG00000013629.1
OG0001281	Nana34141-RB, Nana34141-RA	ENSXETG00000017419.1
OG0001282	Nana34026-RA	ENSXETG00000012280.1
OG0001283	Nana02830-RA, Nana02830-RB, Nana36123-RB, Nana36123-RA	ENSXETG00000007095.1
OG0001284	Nana28455-RA	ENSXETG00000012182.1
OG0001284	Nana17390-RA	ENSXETG00000012794.1
OG0001285	Nana02396-RA	ENSXETG00000008748.1
OG0001286	Nana30932-RA	ENSXETG00000014096.1
OG0001287	Nana01614-RA, Nana30927-RC	ENSXETG00000004209.1
OG0001288	Nana37152-RA	ENSXETG00000017057.1
OG0001288	Nana21032-RA	ENSXETG00000016989.1
OG0001289	Nana31807-RA	ENSXETG00000003824.1
OG0001290	Nana12855-RB, Nana12855-RA, Nana06145-RA	ENSXETG00000015615.1
OG0001291	Nana35544-RA	ENSXETG00000011599.1
OG0001291	Nana00650-RA	ENSXETG00000012848.1
OG0001292	Nana33378-RA	ENSXETG00000001674.1
OG0001292	Nana11849-RA	ENSXETG00000000586.1
OG0001293	Nana29173-RA	ENSXETG00000004101.1
OG0001293	Nana08573-RA	ENSXETG00000006683.1
OG0001294	Nana38284-RC, Nana38284-RE, Nana38284-RD, Nana38284-RA, Nana38284-RB, Nana38284-RF, Nana23832-RA	ENSXETG00000011152.1
OG0001295	Nana21417-RA, Nana03435-RA	ENSXETG00000001151.1
OG0001296	Nana23590-RA	ENSXETG00000007872.1
OG0001297	Nana04431-RA	ENSXETG00000008687.1, ENSXETG00000010008.1
OG0001298	Nana13176-RA, Nana13164-RA	ENSXETG00000005815.1
OG0001299	Nana23701-RB, Nana23701-RA	ENSXETG00000005051.1, ENSXETG00000004923.1
OG0001300	Nana33421-RA	ENSXETG00000012177.1
OG0001300	Nana12214-RA	ENSXETG00000000316.1
OG0001301	Nana17269-RA	ENSXETG00000003965.1
OG0001301	Nana19543-RA	ENSXETG00000001066.1
OG0001302	Nana06773-RA	ENSXETG00000017331.1
OG0001303	Nana37264-RA, Nana24062-RA	ENSXETG00000011023.1
OG0001304	Nana20881-RA	ENSXETG00000016787.1, ENSXETG00000016698.1, ENSXETG00000016743.1
OG0001305	Nana08883-RA, Nana18780-RA	ENSXETG00000007287.1
OG0001306	Nana18841-RB	ENSXETG00000014175.1
OG0001306	Nana28290-RA	ENSXETG00000017665.1
OG0001307	Nana18782-RA	ENSXETG00000007198.1
OG0001308	Nana08014-RA	ENSXETG00000005093.1
OG0001308	Nana29611-RA	ENSXETG00000020527.1
OG0001309	Nana30321-RB, Nana30321-RA, Nana29315-RA, Nana03607-RA, Nana29312-RA, Nana29314-RA	ENSXETG00000019665.1
OG0001310	Nana30987-RH, Nana30987-RG, Nana30987-RB, Nana30987-RE, Nana30987-RF, Nana30987-RA, Nana30987-RC, Nana30987-RD	ENSXETG00000016746.1
OG0001311	Nana28786-RA	ENSXETG00000002176.1
OG0001311	Nana30632-RA	ENSXETG00000006110.1
OG0001312	Nana01015-RA	ENSXETG00000017046.1
OG0001312	Nana05814-RA	ENSXETG00000010522.1
OG0001313	Nana26638-RA	ENSXETG00000000207.1
OG0001314	Nana37502-RA	ENSXETG00000013686.1
OG0001315	Nana02711-RA, Nana19887-RA	ENSXETG00000005636.1
OG0001316	Nana24317-RA	ENSXETG00000021388.1
OG0001316	Nana20190-RA	ENSXETG00000007987.1
OG0001317	Nana00613-RA	ENSXETG00000010095.1
OG0001317	Nana23887-RA	ENSXETG00000018741.1
OG0001318	Nana01932-RB, Nana01932-RE, Nana01932-RA, Nana01932-RC, Nana01932-RD	ENSXETG00000018267.1
OG0001319	Nana00611-RA	ENSXETG00000006678.1
OG0001319	Nana23874-RA	ENSXETG00000016425.1
OG0001320	Nana23866-RA	ENSXETG00000015729.1
OG0001321	Nana01953-RA	ENSXETG00000000647.1
OG0001321	Nana16450-RA	ENSXETG00000018721.1
OG0001322	Nana09855-RA, Nana09855-RE, Nana09855-RD, Nana09855-RF, Nana09855-RC, Nana09855-RB	ENSXETG00000000343.1
OG0001323	Nana00716-RA	ENSXETG00000015479.1
OG0001325	Nana10384-RA	ENSXETG00000003218.1
OG0001327	Nana35437-RA	ENSXETG00000000383.1
OG0001327	Nana00057-RB, Nana00057-RA	ENSXETG00000017458.1
OG0001328	Nana35869-RE, Nana35869-RA	ENSXETG00000006998.1
OG0001329	Nana03628-RA	ENSXETG00000014189.1, ENSXETG00000020864.1
OG0001330	Nana25947-RA	ENSXETG00000010167.1
OG0001331	Nana23025-RC, Nana23025-RB	ENSXETG00000021179.1
OG0001333	Nana32140-RA, Nana32139-RA, Nana32142-RA	ENSXETG00000013694.1
OG0001333	Nana25558-RA	ENSXETG00000007978.1
OG0001334	Nana17197-RA	ENSXETG00000009349.1
OG0001335	Nana16945-RA	ENSXETG00000002485.1
OG0001336	Nana09967-RA	ENSXETG00000007742.1
OG0001336	Nana34041-RB, Nana34041-RA	ENSXETG00000020406.1
OG0001337	Nana09294-RA	ENSXETG00000010568.1
OG0001337	Nana14771-RA	ENSXETG00000019911.1
OG0001338	Nana31834-RJ, Nana31834-RI, Nana31834-RL, Nana31834-RK, Nana31834-RG, Nana31834-RE, Nana31834-RF, Nana31834-RD, Nana31834-RH	ENSXETG00000012326.1
OG0001339	Nana17784-RA	ENSXETG00000010653.1
OG0001340	Nana14799-RA	ENSXETG00000003904.1
OG0001341	Nana25200-RA, Nana32114-RA	ENSXETG00000008578.1
OG0001342	Nana31756-RA	ENSXETG00000019727.1
OG0001342	Nana13656-RA	ENSXETG00000009223.1
OG0001343	Nana22698-RA	ENSXETG00000011104.1
OG0001345	Nana00537-RA	ENSXETG00000007610.1
OG0001345	Nana34930-RA	ENSXETG00000009962.1
OG0001346	Nana15236-RA	ENSXETG00000005446.1
OG0001347	Nana26078-RA	ENSXETG00000014064.1, ENSXETG00000021071.1
OG0001348	Nana17027-RA	ENSXETG00000020694.1
OG0001349	Nana36488-RA	ENSXETG00000017436.1
OG0001349	Nana30652-RA	ENSXETG00000017486.1
OG0001350	Nana29753-RA	ENSXETG00000002598.1, ENSXETG00000002074.1, ENSXETG00000002061.1, ENSXETG00000014904.1, ENSXETG00000002053.1, ENSXETG00000002040.1
OG0001351	Nana20921-RA	ENSXETG00000010621.1
OG0001351	Nana37462-RA	ENSXETG00000008893.1
OG0001352	Nana32601-RB, Nana32601-RA	ENSXETG00000020363.1
OG0001353	Nana13602-RA	ENSXETG00000001926.1
OG0001354	Nana09446-RA	ENSXETG00000005803.1
OG0001355	Nana16625-RA	ENSXETG00000009483.1
OG0001355	Nana31424-RA	ENSXETG00000015672.1
OG0001356	Nana00085-RA	ENSXETG00000013294.1
OG0001356	Nana00639-RA	ENSXETG00000013082.1
OG0001357	Nana35017-RA	ENSXETG00000003672.1
OG0001357	Nana09346-RA	ENSXETG00000016411.1
OG0001358	Nana33066-RA	ENSXETG00000019429.1
OG0001359	Nana25904-RA	ENSXETG00000018239.1
OG0001359	Nana32714-RA	ENSXETG00000013970.1
OG0001360	Nana03836-RA	ENSXETG00000003147.1
OG0001361	Nana19833-RA	ENSXETG00000004751.1
OG0001362	Nana34589-RE, Nana34589-RH, Nana34589-RI, Nana34589-RD, Nana34589-RC, Nana34589-RG, Nana34589-RB	ENSXETG00000000949.1, ENSXETG00000019704.1
OG0001363	Nana13467-RA	ENSXETG00000000489.1
OG0001363	Nana16183-RA	ENSXETG00000020240.1
OG0001364	Nana16173-RA, Nana16172-RA, Nana00685-RA	ENSXETG00000018183.1
OG0001365	Nana19712-RA	ENSXETG00000016328.1
OG0001366	Nana22126-RA	ENSXETG00000008660.1
OG0001367	Nana25114-RA	ENSXETG00000013409.1, ENSXETG00000016632.1
OG0001368	Nana29210-RA	ENSXETG00000007891.1
OG0001368	Nana08172-RA	ENSXETG00000018086.1
OG0001369	Nana36951-RA	ENSXETG00000020552.1
OG0001370	Nana34816-RA	ENSXETG00000020472.1
