Orthogroup	N_naja.pep	C_familiaris.pep
OG0003117	Nana23788-RB, Nana23788-RC, Nana23788-RA	ENSCAFG00000017065.3
OG0003118	Nana11921-RA	ENSCAFG00000000175.5, ENSCAFG00000031532.2
OG0003119	Nana34064-RC, Nana34064-RB, Nana34064-RA	ENSCAFG00000019549.5
OG0003120	Nana34065-RA, Nana34070-RA	ENSCAFG00000019542.4
OG0003121	Nana33679-RA, Nana33679-RB, Nana33679-RD, Nana33679-RC	ENSCAFG00000019611.4
OG0003122	Nana18427-RA	ENSCAFG00000016439.5
OG0003124	Nana08778-RB, Nana08778-RA, Nana08778-RC, Nana08778-RD	ENSCAFG00000017620.4
OG0003125	Nana21237-RA	ENSCAFG00000005077.4
OG0003126	Nana11870-RA	ENSCAFG00000017239.2, ENSCAFG00000000590.4
OG0003127	Nana15945-RA, Nana15945-RB	ENSCAFG00000024219.3
OG0003128	Nana23549-RB, Nana23549-RA, Nana23549-RC	ENSCAFG00000017216.4
OG0003129	Nana23548-RA, Nana37825-RB, Nana37825-RA	ENSCAFG00000017174.5
OG0003130	Nana31220-RB, Nana31220-RA, Nana31220-RD, Nana31220-RC	ENSCAFG00000020318.3
OG0003131	Nana31208-RA, Nana31208-RD, Nana31208-RB, Nana31208-RC	ENSCAFG00000020312.4
OG0003132	Nana21283-RB, Nana21283-RA, Nana39297-RA	ENSCAFG00000042366.1
OG0003133	Nana23533-RB	ENSCAFG00000017139.4
OG0003134	Nana15901-RA	ENSCAFG00000010247.5
OG0003135	Nana21304-RA, Nana21304-RB	ENSCAFG00000005354.4
OG0003136	Nana15865-RC, Nana15865-RB, Nana15865-RA	ENSCAFG00000010101.5
OG0003137	Nana15863-RA	ENSCAFG00000009838.4
OG0003138	Nana05977-RA	ENSCAFG00000024768.2, ENSCAFG00000000578.3, ENSCAFG00000014018.4
OG0003140	Nana23485-RA	ENSCAFG00000030269.2
OG0003141	Nana09768-RA	ENSCAFG00000031583.2
OG0003142	Nana11152-RA	ENSCAFG00000002244.4
OG0003143	Nana08318-RA, Nana39235-RA	ENSCAFG00000004135.5
OG0003144	Nana11148-RA, Nana11148-RB	ENSCAFG00000044499.1, ENSCAFG00000002254.5
OG0003146	Nana21376-RA	ENSCAFG00000019481.4
OG0003147	Nana33694-RA	ENSCAFG00000019462.4
OG0003148	Nana36555-RC, Nana36555-RB, Nana36555-RA	ENSCAFG00000020068.5
OG0003149	Nana26077-RA	ENSCAFG00000008574.4, ENSCAFG00000031628.2
OG0003150	Nana17449-RA, Nana17445-RA	ENSCAFG00000006219.5
OG0003151	Nana25542-RD, Nana25542-RA, Nana25542-RC, Nana25542-RB	ENSCAFG00000005484.4
OG0003152	Nana23682-RA	ENSCAFG00000002585.4
OG0003153	Nana15600-RA	ENSCAFG00000009968.5
OG0003155	Nana15591-RD, Nana15591-RA, Nana15591-RB, Nana15591-RC	ENSCAFG00000001848.4
OG0003156	Nana32480-RA	ENSCAFG00000028611.2, ENSCAFG00000031344.2
OG0003157	Nana18597-RD, Nana18597-RA, Nana18597-RB, Nana18597-RC	ENSCAFG00000001972.5
OG0003158	Nana01494-RA, Nana01493-RA	ENSCAFG00000015845.5
OG0003159	Nana25020-RA, Nana25020-RB	ENSCAFG00000006294.5
OG0003160	Nana11215-RA, Nana11211-RA, Nana11211-RB	ENSCAFG00000002445.4
OG0003161	Nana35584-RA	ENSCAFG00000014105.4
OG0003162	Nana18587-RA, Nana18585-RA	ENSCAFG00000002031.4
OG0003163	Nana16327-RB	ENSCAFG00000007009.4
OG0003164	Nana19329-RB, Nana19329-RA, Nana19329-RC, Nana19331-RA	ENSCAFG00000007247.4
OG0003165	Nana21496-RB, Nana21496-RC, Nana21496-RA	ENSCAFG00000004422.4
OG0003167	Nana21480-RA, Nana21481-RA, Nana16008-RA	ENSCAFG00000004568.3
OG0003168	Nana21465-RA	ENSCAFG00000001827.5
OG0003169	Nana19396-RC, Nana19396-RA, Nana19396-RB	ENSCAFG00000007497.4
OG0003170	Nana17704-RA, Nana17706-RA	ENSCAFG00000009529.4
OG0003171	Nana33765-RA	ENSCAFG00000017670.4, ENSCAFG00000044332.1
OG0003172	Nana15264-RD, Nana15264-RC, Nana15264-RB	ENSCAFG00000014522.4
OG0003173	Nana13143-RA, Nana13143-RC, Nana13143-RB	ENSCAFG00000009819.5
OG0003174	Nana24354-RB, Nana39904-RA, Nana24354-RA	ENSCAFG00000014458.4
OG0003175	Nana13138-RB, Nana13138-RA, Nana13138-RC	ENSCAFG00000009837.5
OG0003176	Nana09398-RA, Nana09397-RA	ENSCAFG00000013112.4
OG0003177	Nana35640-RB, Nana35640-RA	ENSCAFG00000012081.4
OG0003178	Nana17761-RA	ENSCAFG00000015975.2
OG0003179	Nana20652-RB, Nana20652-RA	ENSCAFG00000011212.4
OG0003180	Nana05921-RA, Nana05921-RC	ENSCAFG00000031410.2
OG0003181	Nana30785-RA	ENSCAFG00000005629.3
OG0003182	Nana35811-RA, Nana35811-RC	ENSCAFG00000013934.4
OG0003183	Nana19082-RA, Nana19082-RB	ENSCAFG00000006809.4
OG0003184	Nana15257-RA	ENSCAFG00000029016.2
OG0003185	Nana27827-RA	ENSCAFG00000005218.4
OG0003186	Nana21438-RA	ENSCAFG00000001945.4
OG0003187	Nana34699-RA, Nana23784-RA	ENSCAFG00000011720.4
OG0003188	Nana09935-RA, Nana09935-RB	ENSCAFG00000000064.4
OG0003189	Nana27975-RC, Nana27975-RA, Nana27975-RB	ENSCAFG00000005226.5
OG0003190	Nana21435-RB, Nana21435-RA	ENSCAFG00000001969.5
OG0003192	Nana34762-RB, Nana34762-RA	ENSCAFG00000008745.4
OG0003193	Nana00532-RA	ENSCAFG00000013467.4
OG0003194	Nana23652-RB	ENSCAFG00000004034.4
OG0003195	Nana21429-RA, Nana21429-RB, Nana21427-RA	ENSCAFG00000006629.4
OG0003196	Nana23648-RA	ENSCAFG00000048006.1, ENSCAFG00000045038.1
OG0003197	Nana31080-RB, Nana31080-RA, Nana31080-RC	ENSCAFG00000020119.4
OG0003198	Nana04164-RB, Nana04164-RC, Nana04164-RD, Nana04164-RA	ENSCAFG00000016264.5
OG0003199	Nana16684-RC, Nana16684-RB, Nana16684-RA, Nana16684-RD	ENSCAFG00000045340.1
OG0003200	Nana04957-RA	ENSCAFG00000016589.4
OG0003202	Nana31081-RA, Nana31081-RC, Nana31081-RD, Nana31081-RB	ENSCAFG00000020113.5
OG0003204	Nana16678-RB, Nana16678-RA	ENSCAFG00000041436.1, ENSCAFG00000032117.2, ENSCAFG00000044359.1
OG0003205	Nana20635-RA, Nana20631-RA, Nana20633-RA	ENSCAFG00000015536.4
OG0003206	Nana27647-RA, Nana27644-RA, Nana27644-RB, Nana27644-RC, Nana27642-RA	ENSCAFG00000011774.4
OG0003207	Nana13246-RA, Nana16274-RA	ENSCAFG00000017974.4
OG0003208	Nana00498-RB, Nana00498-RA	ENSCAFG00000015552.5
OG0003209	Nana09898-RA	ENSCAFG00000023714.3
OG0003210	Nana33926-RB, Nana33926-RC, Nana33926-RD, Nana33926-RA	ENSCAFG00000019111.4
OG0003211	Nana05703-RA	ENSCAFG00000018067.4
OG0003213	Nana34337-RB	ENSCAFG00000015074.4
OG0003214	Nana16251-RC, Nana16251-RA, Nana16251-RB	ENSCAFG00000018024.5
OG0003215	Nana15283-RA	ENSCAFG00000014885.4, ENSCAFG00000029162.2
OG0003216	Nana23625-RB, Nana23625-RA	ENSCAFG00000002626.6
OG0003217	Nana00972-RB, Nana00972-RA	ENSCAFG00000018417.4
OG0003218	Nana35168-RA, Nana35168-RB, Nana35168-RC	ENSCAFG00000023963.3
OG0003220	Nana15294-RA	ENSCAFG00000014992.4, ENSCAFG00000023620.4
OG0003221	Nana10462-RD, Nana10462-RA, Nana10462-RC, Nana10462-RB	ENSCAFG00000014170.5
OG0003222	Nana21656-RA	ENSCAFG00000002222.4
OG0003223	Nana21677-RD, Nana21677-RA, Nana21677-RC, Nana21677-RB	ENSCAFG00000002271.5
OG0003224	Nana30612-RC, Nana30612-RF, Nana30612-RD, Nana30612-RB, Nana30612-RE	ENSCAFG00000004892.5
OG0003225	Nana27470-RA	ENSCAFG00000010619.5
OG0003226	Nana27476-RA, Nana27476-RC, Nana27476-RB	ENSCAFG00000010680.5
OG0003227	Nana20450-RA	ENSCAFG00000008882.4
OG0003229	Nana15467-RA	ENSCAFG00000040990.1, ENSCAFG00000005899.4
OG0003230	Nana15469-RA	ENSCAFG00000005888.2
OG0003231	Nana08395-RA, Nana27524-RA	ENSCAFG00000016051.5
OG0003232	Nana20398-RA	ENSCAFG00000008528.4
OG0003233	Nana14956-RA	ENSCAFG00000019972.4
OG0003234	Nana27430-RA	ENSCAFG00000009250.3, ENSCAFG00000045224.1, ENSCAFG00000029671.2
OG0003235	Nana14944-RA, Nana14945-RA	ENSCAFG00000019995.4
OG0003236	Nana22350-RA	ENSCAFG00000041204.1
OG0003237	Nana27384-RB, Nana27384-RA	ENSCAFG00000007427.3
OG0003238	Nana14913-RB, Nana14913-RA	ENSCAFG00000020108.5
OG0003239	Nana02984-RA, Nana02984-RB	ENSCAFG00000029098.2
OG0003240	Nana27356-RA	ENSCAFG00000001793.4
OG0003241	Nana22514-RA, Nana22514-RB	ENSCAFG00000044635.1
OG0003242	Nana22515-RA, Nana22515-RB, Nana22516-RA, Nana22516-RB	ENSCAFG00000003507.4
OG0003243	Nana20146-RC, Nana20146-RB, Nana20146-RA	ENSCAFG00000013012.4
OG0003244	Nana14864-RA	ENSCAFG00000020161.4
OG0003245	Nana22611-RA, Nana22612-RA	ENSCAFG00000012249.5
OG0003246	Nana22634-RA	ENSCAFG00000025598.3
OG0003247	Nana22673-RA, Nana22673-RB	ENSCAFG00000002292.5
OG0003248	Nana20084-RA	ENSCAFG00000029897.3, ENSCAFG00000044909.1, ENSCAFG00000045593.1
OG0003249	Nana22680-RA	ENSCAFG00000010863.5
OG0003250	Nana27303-RA	ENSCAFG00000048067.1, ENSCAFG00000028770.2
OG0003251	Nana22695-RB, Nana22695-RA, Nana22695-RC	ENSCAFG00000011048.4
OG0003252	Nana27299-RA	ENSCAFG00000001456.4
OG0003253	Nana22694-RB, Nana22694-RA	ENSCAFG00000010951.4
OG0003254	Nana14633-RB, Nana14633-RC, Nana14633-RA	ENSCAFG00000018720.4
OG0003255	Nana37814-RA, Nana22727-RA, Nana22727-RC	ENSCAFG00000002821.5
OG0003256	Nana20032-RA, Nana20032-RB	ENSCAFG00000012406.5
OG0003257	Nana22775-RA	ENSCAFG00000008344.4
OG0003258	Nana14569-RA, Nana14569-RB	ENSCAFG00000018955.5
OG0003259	Nana27223-RB, Nana27223-RC, Nana27223-RD, Nana27223-RE	ENSCAFG00000046255.1
OG0003260	Nana20009-RA, Nana20009-RB, Nana20009-RC	ENSCAFG00000011752.4
OG0003261	Nana27219-RA, Nana27219-RB	ENSCAFG00000001075.4
OG0003262	Nana22791-RA, Nana22791-RF, Nana22791-RE, Nana22791-RD	ENSCAFG00000002998.5
OG0003263	Nana27213-RA	ENSCAFG00000018660.1, ENSCAFG00000001038.4
OG0003264	Nana14550-RC, Nana14550-RB, Nana14550-RA, Nana14550-RD	ENSCAFG00000019022.5
OG0003265	Nana22815-RB, Nana22815-RA	ENSCAFG00000028622.2
OG0003266	Nana22830-RA, Nana22830-RB	ENSCAFG00000012928.4
OG0003267	Nana27135-RG, Nana27135-RD, Nana27135-RC, Nana27135-RF	ENSCAFG00000003190.4
OG0003268	Nana27114-RA	ENSCAFG00000006942.3
OG0003269	Nana22851-RB, Nana22851-RD, Nana22851-RC	ENSCAFG00000029102.2
OG0003270	Nana22853-RA	ENSCAFG00000014890.5
OG0003271	Nana19941-RA, Nana19941-RB, Nana19941-RC	ENSCAFG00000009246.4
OG0003272	Nana27085-RA	ENSCAFG00000006494.4
OG0003273	Nana19822-RA	ENSCAFG00000010243.5
OG0003275	Nana22912-RA	ENSCAFG00000029973.2, ENSCAFG00000015160.4, ENSCAFG00000042619.1
OG0003276	Nana27062-RA	ENSCAFG00000044377.1, ENSCAFG00000030257.2, ENSCAFG00000048729.1, ENSCAFG00000048438.1
OG0003277	Nana22927-RB, Nana22927-RC, Nana22927-RA	ENSCAFG00000014115.4
OG0003278	Nana14403-RB, Nana14403-RA	ENSCAFG00000004603.4
OG0003279	Nana22949-RD, Nana22949-RB, Nana22949-RA	ENSCAFG00000013924.5
OG0003280	Nana22963-RA	ENSCAFG00000013494.5
OG0003281	Nana19191-RA, Nana19193-RA, Nana19187-RA	ENSCAFG00000014229.5
OG0003282	Nana22965-RA	ENSCAFG00000013433.6
OG0003283	Nana14498-RC, Nana14498-RB, Nana14498-RA, Nana14498-RD	ENSCAFG00000028905.2
OG0003284	Nana23004-RA	ENSCAFG00000014280.6
OG0003285	Nana23019-RA	ENSCAFG00000013722.4
OG0003286	Nana23023-RA	ENSCAFG00000016493.4
OG0003287	Nana17648-RB, Nana17648-RC, Nana17648-RD	ENSCAFG00000025045.3
OG0003288	Nana17656-RC, Nana17656-RD, Nana17656-RA, Nana17656-RB	ENSCAFG00000009021.5
OG0003289	Nana19456-RA, Nana19451-RA, Nana19454-RA	ENSCAFG00000010878.5
OG0003290	Nana17657-RB, Nana17657-RA	ENSCAFG00000009052.4
OG0003291	Nana14535-RC, Nana14535-RB, Nana14535-RA	ENSCAFG00000019077.4
OG0003292	Nana19575-RA	ENSCAFG00000012627.4, ENSCAFG00000012637.4
OG0003293	Nana19569-RA, Nana19569-RC, Nana19569-RB, Nana19569-RD	ENSCAFG00000012674.4
OG0003294	Nana19538-RA	ENSCAFG00000012743.4
OG0003295	Nana19591-RA	ENSCAFG00000012419.4
OG0003296	Nana23116-RA	ENSCAFG00000015912.4
OG0003297	Nana23143-RB, Nana23143-RA	ENSCAFG00000015213.4
OG0003298	Nana26618-RA, Nana26618-RC, Nana26618-RB, Nana39903-RA	ENSCAFG00000004805.4
OG0003300	Nana21535-RA, Nana23158-RA, Nana23157-RA	ENSCAFG00000016601.5
OG0003301	Nana26520-RA	ENSCAFG00000004944.4
OG0003302	Nana23174-RA	ENSCAFG00000016639.4, ENSCAFG00000014787.5
OG0003303	Nana19271-RA, Nana23185-RA	ENSCAFG00000016800.4
OG0003304	Nana26333-RA	ENSCAFG00000005458.4
OG0003305	Nana23199-RB, Nana23199-RA	ENSCAFG00000016833.3
OG0003306	Nana23214-RA	ENSCAFG00000016860.4
OG0003307	Nana26320-RA, Nana39781-RA	ENSCAFG00000005183.5
OG0003308	Nana37859-RA, Nana37857-RA, Nana23235-RA	ENSCAFG00000016924.6
OG0003309	Nana26474-RA	ENSCAFG00000005037.4
OG0003310	Nana12449-RA	ENSCAFG00000018825.4
OG0003311	Nana29702-RA, Nana29703-RA	ENSCAFG00000003661.4
OG0003312	Nana29710-RA, Nana29712-RA	ENSCAFG00000003317.4
OG0003313	Nana14039-RD, Nana14039-RA, Nana14039-RB, Nana14039-RC	ENSCAFG00000011943.5
OG0003314	Nana23283-RB, Nana23283-RA	ENSCAFG00000014379.4
OG0003315	Nana29641-RC, Nana29641-RA, Nana29641-RB, Nana29641-RD	ENSCAFG00000003432.5
OG0003316	Nana23366-RA, Nana27740-RA	ENSCAFG00000030978.2
OG0003317	Nana13995-RA	ENSCAFG00000045548.1, ENSCAFG00000049335.1, ENSCAFG00000013356.4
OG0003318	Nana26306-RD, Nana26306-RA, Nana26306-RB, Nana26306-RC	ENSCAFG00000005950.5
OG0003319	Nana26246-RA	ENSCAFG00000029765.2
OG0003320	Nana29587-RA	ENSCAFG00000001754.4
OG0003321	Nana23321-RA, Nana23321-RC, Nana23321-RB	ENSCAFG00000003711.5
OG0003322	Nana26201-RB, Nana26201-RA	ENSCAFG00000006269.4
OG0003323	Nana13903-RA	ENSCAFG00000019837.5
OG0003324	Nana18508-RA	ENSCAFG00000016105.5
OG0003325	Nana04850-RA	ENSCAFG00000009416.3
OG0003326	Nana13870-RA, Nana13870-RB	ENSCAFG00000008085.5
OG0003327	Nana13852-RA, Nana13852-RB	ENSCAFG00000048343.1, ENSCAFG00000008593.5
OG0003328	Nana13842-RA, Nana13842-RB, Nana13842-RE	ENSCAFG00000008696.5
OG0003329	Nana29369-RB, Nana29369-RC, Nana29369-RA	ENSCAFG00000015342.5
OG0003330	Nana29370-RB, Nana29370-RA	ENSCAFG00000015365.4
OG0003331	Nana10317-RA, Nana25987-RA	ENSCAFG00000011278.4
OG0003332	Nana25925-RA	ENSCAFG00000011611.4
OG0003333	Nana25902-RA	ENSCAFG00000011764.5
OG0003334	Nana13799-RA	ENSCAFG00000007460.5
OG0003335	Nana29479-RD, Nana29479-RC, Nana29479-RB, Nana29479-RA	ENSCAFG00000000850.4
OG0003336	Nana13791-RA, Nana13791-RB	ENSCAFG00000007504.4
OG0003337	Nana11040-RA, Nana11039-RA	ENSCAFG00000002364.5
OG0003338	Nana25854-RA, Nana25853-RA	ENSCAFG00000013092.5
OG0003339	Nana29195-RA, Nana29195-RD, Nana29195-RC, Nana29195-RB	ENSCAFG00000004769.4
OG0003340	Nana25829-RA	ENSCAFG00000013388.5
OG0003341	Nana29184-RA, Nana29184-RC, Nana29184-RB	ENSCAFG00000004728.6
OG0003342	Nana29218-RA, Nana29218-RB, Nana29218-RC, Nana29218-RD	ENSCAFG00000011183.4
OG0003343	Nana24394-RA, Nana24389-RA, Nana24392-RA	ENSCAFG00000024088.4
OG0003344	Nana29354-RA, Nana29352-RA	ENSCAFG00000004262.4
OG0003345	Nana13481-RA	ENSCAFG00000018134.5
OG0003346	Nana24494-RA	ENSCAFG00000014589.6
OG0003347	Nana29313-RA	ENSCAFG00000004007.3
OG0003348	Nana29300-RA, Nana29300-RB, Nana29300-RC	ENSCAFG00000003939.4
OG0003349	Nana29299-RA, Nana29301-RA	ENSCAFG00000003929.5
OG0003350	Nana13402-RA	ENSCAFG00000012942.3
OG0003352	Nana24645-RA	ENSCAFG00000028512.2, ENSCAFG00000009315.4
OG0003353	Nana24649-RB	ENSCAFG00000030829.3, ENSCAFG00000009235.4
OG0003354	Nana00093-RA, Nana00094-RA	ENSCAFG00000018736.3
OG0003355	Nana18479-RA, Nana18476-RA	ENSCAFG00000001792.5
OG0003356	Nana24674-RA, Nana02261-RA, Nana24673-RA	ENSCAFG00000008874.4
OG0003357	Nana24682-RA	ENSCAFG00000008822.3
OG0003358	Nana24689-RB, Nana24689-RA	ENSCAFG00000008614.4
OG0003359	Nana18612-RA, Nana18612-RC, Nana18612-RB	ENSCAFG00000002090.4
OG0003360	Nana18620-RA, Nana18620-RB, Nana18620-RC	ENSCAFG00000002175.5
OG0003361	Nana18141-RA	ENSCAFG00000042547.1, ENSCAFG00000046803.1, ENSCAFG00000006873.5
OG0003362	Nana18147-RA, Nana18147-RB	ENSCAFG00000006944.4
OG0003363	Nana18174-RA	ENSCAFG00000007348.4
OG0003364	Nana18191-RA	ENSCAFG00000007567.4
OG0003365	Nana18198-RB, Nana18198-RC, Nana18198-RD, Nana18198-RA	ENSCAFG00000007662.4
OG0003367	Nana24891-RB, Nana24891-RA	ENSCAFG00000009593.5
OG0003368	Nana18029-RB, Nana18029-RA	ENSCAFG00000003725.4
OG0003369	Nana24934-RB, Nana24934-RA	ENSCAFG00000010568.4
OG0003370	Nana24937-RA	ENSCAFG00000010611.5
OG0003371	Nana24989-RA	ENSCAFG00000010879.4
OG0003372	Nana39057-RA, Nana39057-RB, Nana39057-RC	ENSCAFG00000008602.4
OG0003374	Nana17925-RC, Nana17925-RA, Nana17925-RD, Nana17925-RB	ENSCAFG00000008317.6
OG0003375	Nana25665-RA	ENSCAFG00000008214.5
OG0003376	Nana25038-RB, Nana25038-RC, Nana25038-RA	ENSCAFG00000006590.4
OG0003377	Nana18071-RB, Nana18071-RA, Nana18071-RC	ENSCAFG00000003860.5
OG0003378	Nana18107-RA, Nana18107-RB	ENSCAFG00000004139.5
OG0003379	Nana18123-RA	ENSCAFG00000001728.4, ENSCAFG00000012801.4
OG0003380	Nana18125-RA, Nana18125-RC, Nana18125-RB	ENSCAFG00000012472.5
OG0003381	Nana17877-RA	ENSCAFG00000011549.3
OG0003382	Nana17872-RA, Nana17872-RB	ENSCAFG00000011462.5
OG0003383	Nana17858-RA	ENSCAFG00000011286.5, ENSCAFG00000015773.3, ENSCAFG00000003551.3
OG0003384	Nana25347-RA, Nana25345-RA	ENSCAFG00000004369.4
OG0003385	Nana17580-RA	ENSCAFG00000008521.4
OG0003386	Nana12595-RA, Nana12597-RA	ENSCAFG00000019076.4
OG0003387	Nana12350-RA	ENSCAFG00000006735.4
OG0003388	Nana12401-RA	ENSCAFG00000018589.4
OG0003389	Nana12252-RB, Nana12252-RA	ENSCAFG00000007748.5
OG0003390	Nana12211-RB, Nana12211-RC, Nana12211-RD	ENSCAFG00000009478.4
OG0003391	Nana11859-RC, Nana11859-RA, Nana11859-RD, Nana11859-RB	ENSCAFG00000000637.5
OG0003392	Nana31517-RB, Nana31517-RA	ENSCAFG00000029605.2
OG0003393	Nana11842-RA	ENSCAFG00000047368.1, ENSCAFG00000045021.1, ENSCAFG00000000736.4
OG0003394	Nana11786-RA	ENSCAFG00000001201.4
OG0003395	Nana11668-RA	ENSCAFG00000030179.3
OG0003396	Nana11643-RB, Nana11643-RC, Nana11643-RA	ENSCAFG00000001811.4
OG0003397	Nana11639-RC, Nana11639-RB, Nana11639-RD	ENSCAFG00000001825.4
OG0003399	Nana11593-RC, Nana11593-RB, Nana11593-RA	ENSCAFG00000002035.4
OG0003400	Nana05215-RB, Nana05215-RA	ENSCAFG00000012823.5
OG0003401	Nana11400-RA	ENSCAFG00000003028.5, ENSCAFG00000002101.4
OG0003402	Nana11414-RA, Nana11414-RC, Nana11414-RB	ENSCAFG00000003059.4
OG0003403	Nana05759-RB, Nana05759-RA	ENSCAFG00000018401.5
OG0003404	Nana10181-RA, Nana10182-RA	ENSCAFG00000007778.4
OG0003405	Nana10511-RB, Nana10511-RA	ENSCAFG00000015183.4
OG0003407	Nana10503-RA, Nana08634-RA	ENSCAFG00000011008.4
OG0003408	Nana05588-RA	ENSCAFG00000017783.4
OG0003409	Nana05569-RA	ENSCAFG00000017624.4
OG0003411	Nana30783-RA, Nana05559-RA	ENSCAFG00000024864.5
OG0003412	Nana05528-RA	ENSCAFG00000017561.5
OG0003413	Nana05331-RC, Nana05331-RA, Nana39337-RA, Nana05331-RB	ENSCAFG00000016981.6
OG0003414	Nana14501-RA, Nana10855-RB, Nana10855-RA	ENSCAFG00000003888.4
OG0003415	Nana10925-RB, Nana10925-RE, Nana10925-RA, Nana10925-RD, Nana10925-RC	ENSCAFG00000017776.4
OG0003416	Nana10952-RA, Nana10954-RA, Nana10953-RA	ENSCAFG00000013824.6
OG0003418	Nana12637-RA	ENSCAFG00000017648.4
OG0003419	Nana04983-RA, Nana04983-RB	ENSCAFG00000016792.4
OG0003420	Nana04999-RD, Nana04999-RA, Nana04999-RB, Nana04999-RC	ENSCAFG00000011434.5
OG0003421	Nana10715-RA	ENSCAFG00000019441.3
OG0003422	Nana05057-RA	ENSCAFG00000009538.4, ENSCAFG00000002332.4, ENSCAFG00000008533.4
OG0003423	Nana08508-RA	ENSCAFG00000009184.4
OG0003424	Nana10724-RA	ENSCAFG00000019185.3
OG0003425	Nana10732-RA	ENSCAFG00000016075.2
OG0003426	Nana04891-RB, Nana04891-RA	ENSCAFG00000008866.5
OG0003427	Nana04912-RA	ENSCAFG00000008411.4, ENSCAFG00000029587.2
OG0003428	Nana04841-RA, Nana04838-RA	ENSCAFG00000009497.5
OG0003429	Nana04811-RA, Nana04811-RB	ENSCAFG00000006813.4
OG0003430	Nana10082-RB, Nana10082-RA, Nana10082-RC	ENSCAFG00000000121.4
OG0003431	Nana04731-RA, Nana04731-RB	ENSCAFG00000010424.4
OG0003433	Nana04505-RA	ENSCAFG00000006966.4
OG0003434	Nana09747-RA	ENSCAFG00000012371.4, ENSCAFG00000046308.1
OG0003435	Nana09721-RB, Nana09721-RA, Nana09723-RB, Nana09723-RA	ENSCAFG00000005732.6
OG0003436	Nana04355-RA	ENSCAFG00000010077.5
OG0003437	Nana04343-RB, Nana04343-RA	ENSCAFG00000010003.5
OG0003438	Nana09650-RD, Nana09650-RA, Nana09650-RB, Nana09650-RE, Nana09650-RC	ENSCAFG00000005524.3
OG0003439	Nana09629-RA, Nana09629-RB	ENSCAFG00000005789.4
OG0003440	Nana09302-RA, Nana06112-RA	ENSCAFG00000019653.4
OG0003441	Nana09316-RA, Nana09316-RB, Nana09316-RC, Nana09315-RA	ENSCAFG00000016085.6
OG0003442	Nana09317-RA, Nana09317-RB, Nana09317-RD, Nana09317-RF, Nana09317-RC	ENSCAFG00000016083.5
OG0003443	Nana09325-RA	ENSCAFG00000013036.4
OG0003444	Nana04234-RC, Nana04234-RD, Nana04234-RB, Nana04234-RA	ENSCAFG00000006474.5
OG0003445	Nana09387-RA	ENSCAFG00000017899.4
OG0003446	Nana09395-RA	ENSCAFG00000043957.1
OG0003447	Nana03807-RB, Nana03807-RA	ENSCAFG00000004872.4
OG0003448	Nana09455-RA, Nana09455-RB, Nana09455-RC	ENSCAFG00000005147.4
OG0003449	Nana09512-RA, Nana09512-RC, Nana09512-RB	ENSCAFG00000004798.4
OG0003450	Nana23168-RA, Nana09547-RA, Nana09545-RA, Nana09545-RB	ENSCAFG00000004599.5
OG0003451	Nana04005-RB, Nana04005-RA	ENSCAFG00000008299.4
OG0003452	Nana03999-RB, Nana03999-RC, Nana03999-RA	ENSCAFG00000011515.4
OG0003453	Nana03979-RA, Nana03979-RC, Nana03979-RB, Nana03979-RD	ENSCAFG00000015641.5
OG0003454	Nana03672-RB, Nana03672-RC, Nana03672-RA	ENSCAFG00000005031.6
OG0003455	Nana03647-RA	ENSCAFG00000005178.4
OG0003456	Nana03076-RA, Nana03076-RB	ENSCAFG00000013811.4
OG0003457	Nana03036-RA	ENSCAFG00000012363.4
OG0003458	Nana03029-RA	ENSCAFG00000012357.5
OG0003459	Nana39155-RA, Nana08961-RD	ENSCAFG00000000867.5
OG0003460	Nana08952-RB, Nana08952-RC	ENSCAFG00000000824.4
OG0003461	Nana03191-RA	ENSCAFG00000012006.4
OG0003462	Nana03254-RA, Nana03255-RA	ENSCAFG00000030319.2
OG0003463	Nana02997-RA, Nana02997-RB	ENSCAFG00000031268.2, ENSCAFG00000030168.3
OG0003464	Nana09035-RA	ENSCAFG00000016776.4
OG0003465	Nana08809-RA, Nana08809-RB	ENSCAFG00000017907.4
OG0003466	Nana02831-RB, Nana02831-RA	ENSCAFG00000003184.4
OG0003467	Nana02806-RA	ENSCAFG00000029145.2
OG0003468	Nana08851-RA	ENSCAFG00000000348.5
OG0003469	Nana08878-RA	ENSCAFG00000001140.4
OG0003470	Nana00992-RB, Nana00992-RC, Nana00992-RA	ENSCAFG00000002632.4
OG0003471	Nana02690-RA, Nana02690-RB	ENSCAFG00000004473.4
OG0003472	Nana02681-RB, Nana02681-RA	ENSCAFG00000006109.2, ENSCAFG00000005955.5
OG0003473	Nana02761-RA, Nana02761-RB	ENSCAFG00000005651.4
OG0003474	Nana08701-RC, Nana08701-RB, Nana08701-RA	ENSCAFG00000016450.4
OG0003475	Nana08673-RD, Nana08673-RA, Nana08673-RB, Nana08673-RC	ENSCAFG00000001186.5
OG0003476	Nana02573-RD, Nana02573-RC, Nana02573-RA, Nana02573-RB	ENSCAFG00000003621.4
OG0003477	Nana02566-RB, Nana02566-RA, Nana02566-RC, Nana02566-RD	ENSCAFG00000003549.4
OG0003478	Nana02528-RA, Nana02527-RB, Nana02527-RA	ENSCAFG00000003323.5
OG0003479	Nana06609-RA	ENSCAFG00000018497.4
OG0003480	Nana08471-RA	ENSCAFG00000002324.4
