Orthogroup	N_naja.pep	M_musculus.pep
OG0001560	Nana29065-RA, Nana29065-RF, Nana29065-RG, Nana29065-RD, Nana29065-RC	ENSMUSG00000032093.7
OG0001561	Nana11001-RA	ENSMUSG00000022803.12
OG0001561	Nana02138-RA	ENSMUSG00000019848.14
OG0001562	Nana13707-RA	ENSMUSG00000070544.6
OG0001564	Nana17427-RA, Nana18640-RA	ENSMUSG00000101725.6
OG0001565	Nana00521-RA	ENSMUSG00000051391.9
OG0001566	Nana37579-RA	ENSMUSG00000046808.17
OG0001567	Nana04208-RA	ENSMUSG00000025482.11
OG0001568	Nana06956-RA	ENSMUSG00000024309.15
OG0001569	Nana09790-RA	ENSMUSG00000020623.11
OG0001570	Nana11417-RA, Nana11415-RA	ENSMUSG00000028367.5
OG0001571	Nana35432-RA, Nana35431-RA	ENSMUSG00000111647.2, ENSMUSG00000003531.15
OG0001573	Nana06197-RG, Nana06197-RA, Nana06197-RC, Nana06197-RE, Nana06197-RD, Nana06197-RF, Nana06197-RH, Nana06197-RB	ENSMUSG00000061589.14
OG0001575	Nana35012-RA	ENSMUSG00000029603.15
OG0001575	Nana04094-RA	ENSMUSG00000039982.8
OG0001576	Nana35031-RA	ENSMUSG00000029596.13
OG0001576	Nana35028-RA	ENSMUSG00000029597.14
OG0001577	Nana26734-RB, Nana26734-RF, Nana26734-RA, Nana26734-RE, Nana26734-RG, Nana26734-RC, Nana26734-RD	ENSMUSG00000039018.15
OG0001578	Nana16371-RA	ENSMUSG00000047187.9
OG0001579	Nana12491-RA, Nana12492-RA	ENSMUSG00000024518.4
OG0001580	Nana30792-RA	ENSMUSG00000030411.16
OG0001581	Nana32706-RA	ENSMUSG00000098559.1, ENSMUSG00000031320.9
OG0001583	Nana10993-RA	ENSMUSG00000048540.8
OG0001583	Nana35732-RA	ENSMUSG00000051251.3
OG0001584	Nana28556-RG, Nana28556-RE, Nana28556-RB, Nana28556-RH, Nana28556-RC, Nana28556-RA, Nana28556-RF, Nana28556-RD	ENSMUSG00000039048.15
OG0001585	Nana36052-RA	ENSMUSG00000027950.7
OG0001586	Nana19041-RA, Nana19043-RA	ENSMUSG00000021790.12, ENSMUSG00000021791.7
OG0001587	Nana18133-RA	ENSMUSG00000027978.9
OG0001588	Nana33099-RA	ENSMUSG00000032387.15
OG0001589	Nana29822-RA	ENSMUSG00000001334.9
OG0001589	Nana00657-RA	ENSMUSG00000038552.14
OG0001591	Nana23960-RA, Nana31625-RA	ENSMUSG00000056426.3, ENSMUSG00000025588.4, ENSMUSG00000051147.10
OG0001592	Nana38823-RA	ENSMUSG00000022210.7, ENSMUSG00000022209.12
OG0001593	Nana02282-RB, Nana02282-RC, Nana02282-RA	ENSMUSG00000032265.14
OG0001594	Nana31573-RC, Nana31573-RA, Nana31573-RD, Nana31573-RE, Nana31573-RB	ENSMUSG00000031667.16
OG0001595	Nana11959-RA	ENSMUSG00000005873.6
OG0001596	Nana14093-RA	ENSMUSG00000016528.10
OG0001596	Nana08579-RA	ENSMUSG00000032577.16
OG0001597	Nana24259-RA	ENSMUSG00000116285.1, ENSMUSG00000078153.3, ENSMUSG00000079197.10
OG0001598	Nana11916-RA	ENSMUSG00000062210.13
OG0001599	Nana29041-RA	ENSMUSG00000009927.9
OG0001600	Nana29036-RA, Nana29036-RG, Nana29036-RB, Nana29036-RJ, Nana29036-RF, Nana29036-RH, Nana29036-RK	ENSMUSG00000032114.9
OG0001601	Nana03824-RA	ENSMUSG00000024381.16
OG0001603	Nana21551-RA, Nana21551-RC, Nana21551-RB	ENSMUSG00000026739.13
OG0001604	Nana11332-RA	ENSMUSG00000015247.10, ENSMUSG00000015242.14
OG0001605	Nana16311-RA	ENSMUSG00000033774.4
OG0001606	Nana08493-RA	ENSMUSG00000006526.13
OG0001607	Nana15196-RB, Nana15196-RC, Nana15196-RD, Nana15196-RG, Nana15196-RK, Nana15196-RE, Nana15196-RF	ENSMUSG00000033671.18
OG0001608	Nana19380-RA	ENSMUSG00000062432.4
OG0001608	Nana17475-RA	ENSMUSG00000063415.12
OG0001610	Nana21444-RA, Nana21444-RB, Nana21444-RC	ENSMUSG00000009291.13
OG0001611	Nana33137-RB, Nana33137-RC, Nana33137-RA	ENSMUSG00000042688.16
OG0001612	Nana25701-RB, Nana25701-RG, Nana25701-RH, Nana25701-RC, Nana25701-RJ, Nana25701-RE, Nana25701-RI, Nana25701-RD, Nana25701-RF, Nana25701-RA	ENSMUSG00000074890.4
OG0001613	Nana14995-RA	ENSMUSG00000026393.10
OG0001614	Nana13533-RA, Nana16092-RA	ENSMUSG00000024524.17
OG0001615	Nana09929-RG, Nana09929-RA, Nana09929-RH, Nana09929-RF, Nana09929-RE, Nana09929-RC, Nana09929-RB, Nana09929-RD	ENSMUSG00000025348.9
OG0001616	Nana34934-RA	ENSMUSG00000034209.4
OG0001616	Nana00539-RA	ENSMUSG00000020684.14
OG0001618	Nana27680-RA	ENSMUSG00000039046.15
OG0001619	Nana09925-RC, Nana09925-RA, Nana09925-RD, Nana09925-RB, Nana09926-RA, Nana09928-RA, Nana09928-RB	ENSMUSG00000037570.16
OG0001620	Nana01290-RA	ENSMUSG00000024064.14
OG0001620	Nana04948-RA	ENSMUSG00000021130.8
OG0001621	Nana13683-RA	ENSMUSG00000017002.14
OG0001622	Nana23758-RB, Nana39288-RA, Nana23758-RA, Nana39288-RB, Nana35562-RA	ENSMUSG00000006134.4
OG0001623	Nana34752-RA	ENSMUSG00000029614.13
OG0001624	Nana03977-RA	ENSMUSG00000051703.14
OG0001624	Nana09893-RB, Nana09893-RA	ENSMUSG00000047090.13
OG0001625	Nana23722-RA	ENSMUSG00000109129.1, ENSMUSG00000051184.7
OG0001626	Nana21623-RB, Nana21623-RA	ENSMUSG00000002588.13, ENSMUSG00000032667.17, ENSMUSG00000029759.9
OG0001627	Nana15325-RA	ENSMUSG00000026560.13, ENSMUSG00000028088.14
OG0001628	Nana10464-RA	ENSMUSG00000034829.8
OG0001628	Nana11812-RA	ENSMUSG00000021396.5
OG0001629	Nana21683-RB, Nana21683-RA, Nana21683-RD, Nana21683-RC	ENSMUSG00000029571.14
OG0001630	Nana37201-RA	ENSMUSG00000028744.15
OG0001631	Nana27498-RA	ENSMUSG00000030177.14
OG0001633	Nana21813-RC, Nana21813-RB, Nana21813-RA, Nana21813-RD	ENSMUSG00000029836.15
OG0001634	Nana27417-RA, Nana29452-RA, Nana27400-RA	ENSMUSG00000038507.6
OG0001635	Nana20292-RA	ENSMUSG00000038496.16
OG0001637	Nana06918-RA	ENSMUSG00000037649.10
OG0001638	Nana20081-RA	ENSMUSG00000112241.1
OG0001638	Nana09523-RA	ENSMUSG00000020738.16
OG0001640	Nana37640-RA	ENSMUSG00000040659.3
OG0001641	Nana14321-RB, Nana14321-RA	ENSMUSG00000014601.13
OG0001642	Nana27503-RA, Nana22876-RA	ENSMUSG00000035112.17
OG0001643	Nana10507-RC	ENSMUSG00000031065.14
OG0001643	Nana27083-RA	ENSMUSG00000020015.10
OG0001644	Nana22749-RA, Nana22754-RA	ENSMUSG00000020713.6
OG0001645	Nana14368-RA	ENSMUSG00000028539.14
OG0001646	Nana27057-RA	ENSMUSG00000068173.12, ENSMUSG00000098348.7, ENSMUSG00000036478.8
OG0001648	Nana19241-RD, Nana19241-RB, Nana19241-RA, Nana19241-RC, Nana19241-RE	ENSMUSG00000019916.14
OG0001649	Nana23013-RA	ENSMUSG00000018411.17
OG0001650	Nana23017-RA, Nana23014-RA, Nana23015-RA	ENSMUSG00000018412.16
OG0001651	Nana26960-RA	ENSMUSG00000020186.7
OG0001651	Nana13937-RA	ENSMUSG00000026421.14
OG0001652	Nana21961-RA	ENSMUSG00000021779.17
OG0001652	Nana23062-RA	ENSMUSG00000058756.13
OG0001653	Nana14219-RA	ENSMUSG00000062859.15, ENSMUSG00000058252.6
OG0001654	Nana26806-RA	ENSMUSG00000045128.9
OG0001655	Nana08520-RA, Nana08520-RB	ENSMUSG00000023277.13
OG0001656	Nana29632-RA	ENSMUSG00000047696.16, ENSMUSG00000079324.11, ENSMUSG00000007827.10
OG0001657	Nana24648-RD, Nana24648-RC, Nana24648-RK, Nana24648-RH, Nana24648-RB, Nana24648-RA	ENSMUSG00000022961.18
OG0001658	Nana08976-RA	ENSMUSG00000052102.15
OG0001659	Nana18584-RF, Nana18584-RD, Nana18584-RE, Nana18584-RC, Nana18584-RA, Nana18584-RB	ENSMUSG00000029227.15
OG0001660	Nana28936-RA, Nana18214-RA	ENSMUSG00000061974.2, ENSMUSG00000038064.7
OG0001661	Nana25011-RA	ENSMUSG00000056947.5
OG0001661	Nana17945-RA	ENSMUSG00000057777.4
OG0001662	Nana06303-RB	ENSMUSG00000063457.14
OG0001663	Nana02702-RA	ENSMUSG00000063063.12
OG0001664	Nana12384-RA, Nana12383-RA	ENSMUSG00000021732.14
OG0001665	Nana12106-RA	ENSMUSG00000017778.14
OG0001666	Nana12043-RE, Nana12043-RD, Nana12043-RC, Nana12043-RA, Nana12043-RB	ENSMUSG00000021585.10
OG0001667	Nana11725-RC, Nana11725-RD, Nana11725-RE, Nana11725-RB, Nana11725-RH, Nana11725-RA, Nana11725-RG, Nana11725-RF	ENSMUSG00000021557.15
OG0001668	Nana35893-RA	ENSMUSG00000056201.8
OG0001669	Nana05247-RA, Nana05247-RC, Nana05247-RD, Nana05247-RE	ENSMUSG00000056185.5, ENSMUSG00000005656.9
OG0001670	Nana02774-RA	ENSMUSG00000039092.9
OG0001671	Nana10967-RA	ENSMUSG00000012396.12
OG0001672	Nana10961-RA, Nana38955-RA, Nana38955-RB	ENSMUSG00000018567.14
OG0001673	Nana05028-RA	ENSMUSG00000033852.16, ENSMUSG00000098488.7
OG0001674	Nana04625-RA, Nana04624-RA	ENSMUSG00000027168.21
OG0001675	Nana10154-RK, Nana10154-RE, Nana10154-RA, Nana10154-RG, Nana10154-RF, Nana10154-RH, Nana10154-RJ, Nana10154-RD, Nana10154-RC	ENSMUSG00000023007.15
OG0001677	Nana04350-RA	ENSMUSG00000110040.1, ENSMUSG00000007891.16
OG0001678	Nana36396-RA	ENSMUSG00000026797.16
OG0001678	Nana09307-RB, Nana09307-RA	ENSMUSG00000004626.14
OG0001679	Nana03709-RA	ENSMUSG00000058665.8
OG0001679	Nana21243-RA	ENSMUSG00000039095.8
OG0001680	Nana03851-RA, Nana17387-RA	ENSMUSG00000026180.8, ENSMUSG00000048480.5
OG0001681	Nana04104-RA, Nana04104-RB, Nana04103-RA	ENSMUSG00000024682.3
OG0001682	Nana04051-RA	ENSMUSG00000024858.14
OG0001682	Nana34706-RA	ENSMUSG00000042249.11
OG0001683	Nana03668-RE, Nana03668-RA, Nana03668-RC, Nana03668-RF, Nana03668-RD, Nana03668-RB	ENSMUSG00000056211.13
OG0001684	Nana09049-RB	ENSMUSG00000060938.14
OG0001685	Nana02879-RA, Nana02880-RA, Nana02881-RA	ENSMUSG00000043760.16
OG0001686	Nana02884-RA	ENSMUSG00000041872.9, ENSMUSG00000025929.4
OG0001687	Nana02022-RA	ENSMUSG00000019874.11
OG0001687	Nana30247-RA	ENSMUSG00000028773.8
OG0001688	Nana02053-RB, Nana02053-RA, Nana02057-RA	ENSMUSG00000069668.4, ENSMUSG00000090298.2
OG0001689	Nana08270-RA	ENSMUSG00000034192.5
OG0001690	Nana07799-RA	ENSMUSG00000024429.9
OG0001691	Nana01703-RB, Nana01702-RA	ENSMUSG00000040966.10, ENSMUSG00000023829.9
OG0001693	Nana07828-RA, Nana07828-RB	ENSMUSG00000036315.13
OG0001694	Nana07627-RA, Nana07627-RB	ENSMUSG00000061207.11
OG0001695	Nana07626-RC, Nana07626-RA, Nana07626-RB	ENSMUSG00000040482.16
OG0001696	Nana07622-RA	ENSMUSG00000092511.7, ENSMUSG00000090231.10
OG0001697	Nana07608-RA	ENSMUSG00000015476.6
OG0001698	Nana07649-RA	ENSMUSG00000024401.14
OG0001699	Nana05874-RA	ENSMUSG00000061809.8
OG0001700	Nana07504-RA	ENSMUSG00000033327.18
OG0001701	Nana07543-RD	ENSMUSG00000015468.14
OG0001702	Nana01214-RG, Nana01214-RF, Nana01214-RE, Nana01214-RH, Nana01214-RD, Nana01214-RC, Nana01214-RA, Nana01214-RB	ENSMUSG00000056050.13
OG0001705	Nana34591-RA	ENSMUSG00000022500.15, ENSMUSG00000107252.1
OG0001709	Nana00573-RA	ENSMUSG00000029432.12
OG0001716	Nana20946-RA	ENSMUSG00000022770.17
OG0001717	Nana02850-RA, Nana02851-RA, Nana35866-RA, Nana35866-RB, Nana35866-RD, Nana35866-RF, Nana35866-RH, Nana35866-RG, Nana35866-RC, Nana35866-RE	ENSMUSG00000024937.15
OG0001718	Nana39315-RF, Nana39315-RE, Nana39315-RC, Nana39315-RD, Nana39315-RB, Nana39315-RA	ENSMUSG00000073422.11
OG0001725	Nana15814-RA, Nana15836-RA, Nana15836-RB	ENSMUSG00000021361.7
OG0001726	Nana08233-RA, Nana08233-RB, Nana26773-RB, Nana26773-RC, Nana26773-RA	ENSMUSG00000020114.12
OG0001727	Nana08217-RA, Nana08215-RA	ENSMUSG00000034387.13
OG0001728	Nana37516-RE, Nana37516-RG, Nana37516-RH, Nana37516-RJ, Nana37516-RF, Nana37516-RI	ENSMUSG00000020821.17
OG0001729	Nana25903-RA	ENSMUSG00000079317.10, ENSMUSG00000007777.9
OG0001730	Nana03216-RA	ENSMUSG00000073676.4, ENSMUSG00000117621.1
OG0001731	Nana04373-RA	ENSMUSG00000009545.14
OG0001732	Nana16895-RA	ENSMUSG00000022378.14
OG0001733	Nana15357-RA, Nana18054-RA	ENSMUSG00000022671.13
OG0001734	Nana34168-RA	ENSMUSG00000044117.12
OG0001735	Nana34159-RB, Nana34159-RA	ENSMUSG00000030835.6
OG0001736	Nana03112-RA, Nana03113-RA	ENSMUSG00000025967.16
OG0001737	Nana30962-RF, Nana30962-RI, Nana30962-RB, Nana30962-RA, Nana30962-RG, Nana30962-RE	ENSMUSG00000006019.15
OG0001738	Nana32374-RE, Nana32374-RD, Nana32374-RF, Nana32374-RC, Nana32374-RA, Nana32374-RB	ENSMUSG00000037475.15, ENSMUSG00000097392.3
OG0001739	Nana03095-RA	ENSMUSG00000045005.9
OG0001740	Nana30939-RA	ENSMUSG00000007944.8
OG0001740	Nana04969-RA	ENSMUSG00000042734.6
OG0001741	Nana19142-RC, Nana19142-RB, Nana19142-RA	ENSMUSG00000020069.16
OG0001742	Nana05668-RA	ENSMUSG00000021264.12, ENSMUSG00000091736.3, ENSMUSG00000051176.6
OG0001743	Nana30010-RA	ENSMUSG00000028656.14
OG0001744	Nana34603-RE, Nana34603-RC, Nana34603-RF, Nana34603-RG, Nana34603-RB, Nana34603-RD	ENSMUSG00000022685.9
OG0001746	Nana00467-RA	ENSMUSG00000039771.13
OG0001747	Nana08901-RA	ENSMUSG00000035509.17
OG0001748	Nana17719-RA, Nana17719-RB, Nana17718-RA	ENSMUSG00000029299.14, ENSMUSG00000029802.13
OG0001749	Nana30065-RA, Nana30065-RB, Nana30065-RE, Nana30065-RC, Nana30065-RD, Nana30068-RA	ENSMUSG00000028825.7
OG0001750	Nana12425-RA	ENSMUSG00000039801.7
OG0001751	Nana21660-RA	ENSMUSG00000068794.7
OG0001752	Nana07734-RA	ENSMUSG00000061607.15
OG0001753	Nana14696-RC, Nana14696-RB, Nana14696-RA, Nana14696-RE	ENSMUSG00000055436.18
OG0001754	Nana35727-RA, Nana35729-RA	ENSMUSG00000026556.15
OG0001755	Nana23389-RA	ENSMUSG00000029368.10, ENSMUSG00000070690.7, ENSMUSG00000054932.6
OG0001756	Nana23805-RA, Nana23805-RB, Nana23802-RA, Nana23802-RB, Nana23801-RA	ENSMUSG00000041319.14
OG0001757	Nana36300-RF, Nana36300-RH, Nana36300-RI, Nana36300-RJ, Nana36300-RG	ENSMUSG00000015522.18
OG0001758	Nana33534-RB, Nana33534-RC, Nana33534-RA	ENSMUSG00000032397.7
OG0001759	Nana29025-RK, Nana29025-RJ, Nana29025-RL, Nana29025-RF, Nana29025-RB, Nana29025-RG	ENSMUSG00000034908.16
OG0001761	Nana32896-RA	ENSMUSG00000061559.15
OG0001762	Nana11136-RB, Nana11136-RA	ENSMUSG00000076490.6, ENSMUSG00000076498.2
OG0001763	Nana33005-RA	ENSMUSG00000040722.7
OG0001765	Nana24054-RA	ENSMUSG00000004846.10, ENSMUSG00000019055.15
OG0001767	Nana19971-RA, Nana19971-RB, Nana24050-RA	ENSMUSG00000001739.14
OG0001768	Nana12387-RA	ENSMUSG00000116207.1, ENSMUSG00000025453.18
OG0001769	Nana17242-RA	ENSMUSG00000002524.17
OG0001770	Nana31008-RA, Nana31008-RB, Nana31008-RD, Nana31008-RC, Nana31008-RE, Nana31008-RF, Nana31008-RG	ENSMUSG00000033703.9
OG0001771	Nana14820-RA	ENSMUSG00000028194.15
OG0001772	Nana36605-RA	ENSMUSG00000039298.16
OG0001773	Nana24158-RA	ENSMUSG00000003429.11
OG0001774	Nana17532-RA	ENSMUSG00000000693.10
OG0001775	Nana23856-RG, Nana23856-RE, Nana23856-RD, Nana23856-RI, Nana23856-RJ, Nana23856-RH	ENSMUSG00000030795.18
OG0001776	Nana28300-RA, Nana23850-RA, Nana23849-RA	ENSMUSG00000030793.4
OG0001777	Nana09863-RB	ENSMUSG00000020719.14
OG0001778	Nana16831-RA, Nana16832-RA	ENSMUSG00000022419.16
OG0001779	Nana20852-RA, Nana20851-RA, Nana20849-RA	ENSMUSG00000026241.5
OG0001780	Nana10357-RA	ENSMUSG00000047492.5
OG0001781	Nana00501-RA	ENSMUSG00000018442.13
OG0001782	Nana00803-RA	ENSMUSG00000021273.11
OG0001783	Nana00210-RA, Nana00221-RA, Nana00214-RA	ENSMUSG00000059439.15
OG0001784	Nana32680-RA	ENSMUSG00000041633.14
OG0001784	Nana26450-RA	ENSMUSG00000098557.1
OG0001785	Nana25828-RA	ENSMUSG00000025283.15
OG0001786	Nana32230-RF, Nana32230-RB, Nana32230-RC, Nana32230-RE, Nana32230-RA, Nana32230-RD	ENSMUSG00000079834.2
OG0001787	Nana00372-RA, Nana00371-RA	ENSMUSG00000001123.15
OG0001788	Nana18731-RG, Nana18731-RD, Nana18731-RA, Nana18731-RC, Nana18731-RE, Nana18731-RF, Nana18731-RB	ENSMUSG00000003154.15
OG0001789	Nana18735-RA, Nana18735-RB, Nana18735-RD, Nana18735-RC, Nana18735-RF, Nana18735-RE	ENSMUSG00000029098.17
OG0001790	Nana32106-RD, Nana32106-RB, Nana32106-RC, Nana32106-RA	ENSMUSG00000087119.4, ENSMUSG00000079418.3, ENSMUSG00000116318.1
OG0001791	Nana17107-RA	ENSMUSG00000022595.7
OG0001792	Nana09524-RB	ENSMUSG00000020736.12
OG0001793	Nana34794-RF, Nana34794-RD, Nana34794-RC, Nana34794-RE, Nana34794-RA, Nana34794-RH, Nana34794-RB, Nana34794-RG	ENSMUSG00000049550.17
OG0001794	Nana14733-RA, Nana14733-RB	ENSMUSG00000028199.18
OG0001795	Nana14803-RB, Nana14803-RA, Nana14804-RA, Nana14804-RB	ENSMUSG00000068523.12, ENSMUSG00000117145.1
OG0001796	Nana09258-RF, Nana09258-RB, Nana09258-RA, Nana09258-RD, Nana09258-RE	ENSMUSG00000005142.10
OG0001797	Nana34292-RA	ENSMUSG00000025854.15
OG0001798	Nana34315-RA	ENSMUSG00000056413.16
OG0001799	Nana34317-RA	ENSMUSG00000067215.5, ENSMUSG00000046269.17, ENSMUSG00000042506.15
OG0001800	Nana32796-RI, Nana32796-RK, Nana32796-RL, Nana32796-RH, Nana32796-RJ, Nana32796-RF, Nana32796-RG	ENSMUSG00000038664.16
OG0001801	Nana17244-RA, Nana17244-RE, Nana17244-RB, Nana17244-RD, Nana17244-RC	ENSMUSG00000022568.17
OG0001802	Nana09636-RA	ENSMUSG00000070330.2
OG0001802	Nana33879-RA	ENSMUSG00000022715.3
OG0001803	Nana09074-RB, Nana28032-RB, Nana28032-RC, Nana28032-RA	ENSMUSG00000022099.17
OG0001804	Nana08730-RB, Nana08730-RA	ENSMUSG00000025868.6
OG0001805	Nana08733-RA, Nana08733-RB	ENSMUSG00000025871.18
OG0001806	Nana39556-RA, Nana16641-RC, Nana16641-RA, Nana16641-RB	ENSMUSG00000022255.16
OG0001807	Nana26313-RA, Nana26313-RB, Nana26313-RC	ENSMUSG00000024104.11
OG0001808	Nana26736-RF, Nana26736-RE, Nana26736-RG, Nana26736-RC, Nana26736-RB, Nana26736-RA, Nana26736-RD	ENSMUSG00000025464.15
OG0001809	Nana16361-RI, Nana16361-RB, Nana16361-RD, Nana16361-RE, Nana16361-RG, Nana16361-RJ, Nana16361-RC	ENSMUSG00000028245.15
OG0001810	Nana31320-RA	ENSMUSG00000031876.18, ENSMUSG00000110430.2, ENSMUSG00000078953.1, ENSMUSG00000054400.16
OG0001811	Nana12496-RA, Nana12497-RA, Nana12499-RA	ENSMUSG00000042439.13
OG0001812	Nana16405-RA	ENSMUSG00000027599.9
OG0001814	Nana06177-RA	ENSMUSG00000035478.14
OG0001816	Nana16457-RA	ENSMUSG00000092083.4
OG0001818	Nana28160-RA	ENSMUSG00000094483.2
OG0001818	Nana15490-RA	ENSMUSG00000043991.5
OG0001819	Nana17786-RA	ENSMUSG00000028138.8
OG0001820	Nana33107-RB, Nana33103-RA, Nana33103-RB	ENSMUSG00000061787.15
OG0001821	Nana38171-RC, Nana38171-RD, Nana38171-RA, Nana38171-RB, Nana24238-RA	ENSMUSG00000022185.19
OG0001822	Nana00687-RB, Nana00687-RF, Nana00687-RD, Nana00687-RC, Nana00687-RE, Nana00687-RA	ENSMUSG00000029162.15
OG0001823	Nana25680-RA, Nana17934-RA	ENSMUSG00000028086.15
OG0001824	Nana09417-RA	ENSMUSG00000097886.2
OG0001825	Nana25572-RA, Nana25572-RB	ENSMUSG00000030649.18, ENSMUSG00000074780.2
OG0001827	Nana31620-RA	ENSMUSG00000055368.14
OG0001828	Nana27259-RC	ENSMUSG00000022415.12
OG0001828	Nana33697-RA	ENSMUSG00000007021.5
OG0001830	Nana21219-RD, Nana21219-RA, Nana21219-RF, Nana21219-RE, Nana21219-RC, Nana21219-RB	ENSMUSG00000038056.15
OG0001831	Nana04931-RA, Nana04931-RC, Nana04931-RB	ENSMUSG00000021123.12, ENSMUSG00000066441.14
OG0001832	Nana05261-RA, Nana05262-RA	ENSMUSG00000021027.17
OG0001833	Nana35252-RB, Nana35252-RA	ENSMUSG00000099164.8, ENSMUSG00000005732.14
OG0001834	Nana23535-RA, Nana23535-RD, Nana23535-RC, Nana23535-RB	ENSMUSG00000030738.11
OG0001835	Nana27564-RA	ENSMUSG00000030226.12
OG0001836	Nana11141-RB, Nana11141-RF, Nana11141-RC, Nana11141-RD, Nana11141-RE, Nana11141-RG, Nana11141-RA	ENSMUSG00000029915.14
OG0001837	Nana25545-RA	ENSMUSG00000035227.7
OG0001838	Nana36552-RA	ENSMUSG00000002546.16, ENSMUSG00000075425.10
OG0001839	Nana18680-RA	ENSMUSG00000029211.11
OG0001842	Nana32645-RD, Nana32645-RB, Nana32645-RE, Nana32645-RA, Nana32645-RC, Nana32645-RF	ENSMUSG00000031290.14
OG0001843	Nana15572-RA	ENSMUSG00000021565.16
OG0001844	Nana33069-RA	ENSMUSG00000027224.14, ENSMUSG00000027225.7
OG0001845	Nana21464-RA	ENSMUSG00000042476.12, ENSMUSG00000028970.9, ENSMUSG00000040584.8
OG0001847	Nana07653-RA	ENSMUSG00000042419.8
OG0001848	Nana32394-RA	ENSMUSG00000042814.8, ENSMUSG00000000355.13
OG0001849	Nana23783-RA, Nana39328-RA	ENSMUSG00000092534.8, ENSMUSG00000107068.1, ENSMUSG00000030680.6
OG0001850	Nana20659-RA	ENSMUSG00000029712.14, ENSMUSG00000027671.14
OG0001851	Nana20658-RA	ENSMUSG00000026377.12
OG0001852	Nana08989-RA	ENSMUSG00000024487.5
OG0001853	Nana21591-RA	ENSMUSG00000058503.11
OG0001854	Nana00667-RA	ENSMUSG00000029146.14
OG0001855	Nana04962-RA	ENSMUSG00000079055.10
OG0001856	Nana15554-RA	ENSMUSG00000049538.14
OG0001857	Nana32703-RC, Nana32703-RE, Nana32703-RJ, Nana32703-RA, Nana32703-RK, Nana32703-RB	ENSMUSG00000034055.16
OG0001858	Nana16255-RA, Nana16255-RB, Nana16255-RC	ENSMUSG00000024317.15, ENSMUSG00000083695.6
OG0001859	Nana05686-RB	ENSMUSG00000018707.13
OG0001860	Nana09874-RA	ENSMUSG00000025364.13
OG0001861	Nana27477-RA	ENSMUSG00000039985.14
OG0001862	Nana20077-RA	ENSMUSG00000036095.11
OG0001863	Nana20420-RA	ENSMUSG00000027820.12
OG0001864	Nana15523-RA	ENSMUSG00000068154.5
OG0001864	Nana05258-RA	ENSMUSG00000045440.4
OG0001865	Nana27532-RA	ENSMUSG00000053375.8, ENSMUSG00000019210.10
OG0001866	Nana27421-RB, Nana27421-RC, Nana27421-RA, Nana39733-RB	ENSMUSG00000029924.12
OG0001867	Nana27372-RA	ENSMUSG00000020256.14
OG0001868	Nana22669-RE, Nana22669-RB, Nana22669-RC, Nana22669-RA	ENSMUSG00000028341.9
OG0001869	Nana19957-RA	ENSMUSG00000044186.10, ENSMUSG00000044220.13
OG0001870	Nana22879-RA	ENSMUSG00000104158.2, ENSMUSG00000035086.13
OG0001871	Nana22880-RB, Nana22880-RA	ENSMUSG00000078652.9
OG0001872	Nana22885-RA, Nana22884-RA	ENSMUSG00000078650.2
OG0001874	Nana14364-RA	ENSMUSG00000028538.12
OG0001876	Nana14411-RA, Nana14411-RB	ENSMUSG00000028684.14
OG0001877	Nana13893-RA, Nana27022-RA	ENSMUSG00000019888.16
OG0001878	Nana23007-RM, Nana23007-RF, Nana23007-RL, Nana23007-RA, Nana23007-RK, Nana23007-RE	ENSMUSG00000020923.17
OG0001879	Nana14517-RA	ENSMUSG00000034645.14
OG0001880	Nana19441-RA	ENSMUSG00000056856.13, ENSMUSG00000111614.2
OG0001882	Nana23083-RB, Nana23083-RA	ENSMUSG00000037935.16
OG0001884	Nana14185-RA	ENSMUSG00000034165.16
OG0001885	Nana14224-RA	ENSMUSG00000024217.10
OG0001886	Nana32300-RA	ENSMUSG00000031250.8
OG0001887	Nana14231-RA	ENSMUSG00000052146.16
OG0001888	Nana26822-RA	ENSMUSG00000044071.9
OG0001888	Nana14004-RA	ENSMUSG00000055865.8
OG0001889	Nana26353-RA	ENSMUSG00000061517.8
OG0001889	Nana20098-RA	ENSMUSG00000053747.9
OG0001890	Nana26872-RG, Nana26872-RC, Nana26872-RA, Nana26872-RF, Nana26872-RD, Nana26872-RB, Nana26872-RE	ENSMUSG00000033228.8
OG0001891	Nana39265-RA, Nana23190-RD, Nana23190-RA, Nana23190-RC, Nana23190-RB	ENSMUSG00000018678.13
OG0001892	Nana29693-RA	ENSMUSG00000029084.5
OG0001893	Nana23198-RB, Nana23198-RC, Nana23198-RA	ENSMUSG00000018666.13
OG0001894	Nana14016-RA	ENSMUSG00000027840.5
OG0001895	Nana13958-RB, Nana13958-RD, Nana13958-RC	ENSMUSG00000068823.10
OG0001897	Nana26953-RA	ENSMUSG00000020205.8
OG0001897	Nana13938-RA	ENSMUSG00000041801.5
OG0001898	Nana37581-RA, Nana29251-RA	ENSMUSG00000002944.15
OG0001899	Nana16213-RD, Nana16213-RB, Nana16213-RA, Nana16213-RC, Nana13477-RA, Nana13477-RB	ENSMUSG00000039050.8
OG0001900	Nana24527-RA, Nana24527-RB	ENSMUSG00000061032.9, ENSMUSG00000058392.13
OG0001901	Nana24537-RA, Nana24536-RA, Nana24535-RA, Nana24535-RB	ENSMUSG00000024039.15
