Orthogroup	N_naja.pep	G_gallus.pep
OG0001105	Nana25063-RA, Nana25064-RA	ENSGALG00000017091.5
OG0001106	Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB	ENSGALG00000043772.3, ENSGALG00000028815.3
OG0001107	Nana02033-RA	ENSGALG00000014878.6
OG0001107	Nana11062-RA	ENSGALG00000041564.2
OG0001108	Nana02264-RA	ENSGALG00000032789.3
OG0001108	Nana11055-RA	ENSGALG00000014776.6
OG0001109	Nana11497-RA	ENSGALG00000015096.7
OG0001110	Nana16034-RA	ENSGALG00000013753.7
OG0001110	Nana13586-RA	ENSGALG00000007786.5
OG0001111	Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK	ENSGALG00000005646.6
OG0001112	Nana09815-RA	ENSGALG00000029610.2
OG0001112	Nana01531-RA	ENSGALG00000040648.3
OG0001113	Nana16336-RA, Nana16336-RB	ENSGALG00000042321.2
OG0001114	Nana23976-RA	ENSGALG00000032348.2
OG0001115	Nana08407-RA	ENSGALG00000026891.4
OG0001115	Nana27500-RA	ENSGALG00000012989.7
OG0001116	Nana31238-RB, Nana31238-RA	ENSGALG00000034179.2
OG0001117	Nana14988-RA	ENSGALG00000002182.6
OG0001117	Nana36519-RA	ENSGALG00000001080.3
OG0001118	Nana28094-RA, Nana28094-RB	ENSGALG00000000195.7
OG0001118	Nana02697-RA	ENSGALG00000037642.2
OG0001119	Nana02749-RA, Nana36026-RA, Nana36026-RB	ENSGALG00000008875.6
OG0001121	Nana05803-RA	ENSGALG00000011889.6
OG0001121	Nana01003-RA	ENSGALG00000010000.6
OG0001124	Nana09016-RA	ENSGALG00000033956.3
OG0001124	Nana19852-RA	ENSGALG00000023621.4
OG0001125	Nana38193-RA, Nana38191-RA	ENSGALG00000021972.5
OG0001125	Nana27551-RA	ENSGALG00000002083.6
OG0001127	Nana29942-RA	ENSGALG00000054289.1
OG0001128	Nana08783-RA, Nana08784-RA	ENSGALG00000004033.6
OG0001130	Nana25844-RA	ENSGALG00000016391.6
OG0001130	Nana32200-RA	ENSGALG00000007028.6
OG0001131	Nana23112-RA	ENSGALG00000027462.3
OG0001131	Nana22266-RA	ENSGALG00000034163.3
OG0001132	Nana16280-RA	ENSGALG00000015211.5
OG0001132	Nana00706-RA	ENSGALG00000054948.1, ENSGALG00000038191.2
OG0001133	Nana28410-RA	ENSGALG00000003092.6
OG0001133	Nana05995-RA	ENSGALG00000003308.6
OG0001134	Nana17929-RA	ENSGALG00000009207.6
OG0001134	Nana25656-RA	ENSGALG00000034004.2
OG0001135	Nana19597-RA	ENSGALG00000029020.3
OG0001135	Nana28386-RA	ENSGALG00000044574.2
OG0001136	Nana32118-RA	ENSGALG00000008431.6
OG0001136	Nana18002-RA	ENSGALG00000009913.7
OG0001138	Nana10327-RA	ENSGALG00000030712.2
OG0001138	Nana03294-RA	ENSGALG00000035584.3
OG0001139	Nana14742-RB, Nana14742-RA	ENSGALG00000011379.6
OG0001140	Nana08717-RA, Nana17783-RA	ENSGALG00000012227.6
OG0001141	Nana14800-RA	ENSGALG00000008835.6
OG0001141	Nana09279-RA	ENSGALG00000048879.1
OG0001142	Nana30382-RA	ENSGALG00000047060.1
OG0001142	Nana28738-RA	ENSGALG00000006490.7
OG0001143	Nana12163-RA	ENSGALG00000015014.6
OG0001144	Nana17440-RA	ENSGALG00000054336.1
OG0001145	Nana27289-RA	ENSGALG00000036897.2
OG0001145	Nana09588-RB, Nana09588-RA	ENSGALG00000002728.4
OG0001146	Nana10405-RA	ENSGALG00000051279.1
OG0001147	Nana14264-RA	ENSGALG00000039130.2
OG0001148	Nana02545-RA	ENSGALG00000038495.2
OG0001149	Nana28144-RA	ENSGALG00000038155.2
OG0001149	Nana18911-RA, Nana18911-RB	ENSGALG00000005070.6
OG0001150	Nana36107-RD	ENSGALG00000038400.2
OG0001151	Nana32319-RA	ENSGALG00000030791.2
OG0001151	Nana26559-RA	ENSGALG00000016937.8
OG0001152	Nana28336-RA	ENSGALG00000000317.6
OG0001153	Nana35546-RA	ENSGALG00000006565.7
OG0001154	Nana33147-RA	ENSGALG00000004740.6
OG0001154	Nana33144-RB, Nana33144-RA	ENSGALG00000004710.5
OG0001155	Nana35470-RA	ENSGALG00000026722.4
OG0001155	Nana00088-RA	ENSGALG00000003657.6
OG0001156	Nana32668-RB, Nana32668-RA	ENSGALG00000036322.2
OG0001156	Nana20400-RA	ENSGALG00000010370.6
OG0001157	Nana33853-RA	ENSGALG00000005258.5
OG0001158	Nana33850-RA	ENSGALG00000005253.6
OG0001158	Nana09655-RA, Nana27317-RA	ENSGALG00000047483.1
OG0001159	Nana16653-RA	ENSGALG00000032850.2
OG0001159	Nana13681-RA	ENSGALG00000004098.5
OG0001160	Nana10842-RB	ENSGALG00000032319.3
OG0001161	Nana16541-RA	ENSGALG00000034294.2
OG0001161	Nana31018-RA	ENSGALG00000002237.6
OG0001162	Nana24564-RA	ENSGALG00000016138.6
OG0001162	Nana29081-RA	ENSGALG00000007314.6
OG0001163	Nana28087-RA, Nana28086-RA	ENSGALG00000000120.6
OG0001163	Nana26761-RA	ENSGALG00000005981.4
OG0001164	Nana20389-RA, Nana26648-RA	ENSGALG00000051442.1
OG0001164	Nana32708-RB, Nana32708-RC, Nana32708-RA	ENSGALG00000027069.3
OG0001165	Nana00013-RA	ENSGALG00000037828.2
OG0001166	Nana16424-RA	ENSGALG00000034610.2
OG0001166	Nana13637-RA	ENSGALG00000004663.6
OG0001167	Nana11276-RA	ENSGALG00000027423.3
OG0001167	Nana09101-RA	ENSGALG00000001239.6
OG0001168	Nana03251-RA	ENSGALG00000025884.3
OG0001168	Nana10092-RA	ENSGALG00000031958.2
OG0001169	Nana08334-RA	ENSGALG00000005869.7
OG0001170	Nana31951-RA	ENSGALG00000007902.6
OG0001170	Nana02671-RA	ENSGALG00000017021.6
OG0001171	Nana16229-RA	ENSGALG00000015132.3
OG0001171	Nana13490-RA	ENSGALG00000005102.6
OG0001172	Nana12579-RA	ENSGALG00000012984.7
OG0001172	Nana33127-RA	ENSGALG00000031987.2
OG0001173	Nana05846-RA, Nana05846-RB	ENSGALG00000012124.5
OG0001173	Nana02840-RA	ENSGALG00000008837.5
OG0001174	Nana26363-RA	ENSGALG00000016900.6
OG0001174	Nana32610-RA	ENSGALG00000006080.6
OG0001175	Nana03461-RA	ENSGALG00000010930.6
OG0001175	Nana21178-RA	ENSGALG00000005979.6
OG0001176	Nana39284-RA	ENSGALG00000026431.3
OG0001178	Nana34725-RA	ENSGALG00000005122.6
OG0001178	Nana00040-RA	ENSGALG00000002709.6
OG0001179	Nana00603-RA	ENSGALG00000035185.2
OG0001179	Nana35215-RA	ENSGALG00000001688.7
OG0001180	Nana14068-RC, Nana14068-RF, Nana14068-RA, Nana14068-RE	ENSGALG00000030007.3
OG0001181	Nana02065-RA	ENSGALG00000014965.5
OG0001181	Nana29978-RA	ENSGALG00000002298.6
OG0001182	Nana20593-RA	ENSGALG00000009309.7
OG0001183	Nana16009-RA	ENSGALG00000041184.2
OG0001183	Nana31464-RA	ENSGALG00000004071.6
OG0001184	Nana33082-RA	ENSGALG00000046823.1
OG0001184	Nana11895-RA	ENSGALG00000018874.4
OG0001185	Nana18276-RA	ENSGALG00000036252.2
OG0001185	Nana08782-RA	ENSGALG00000028994.4
OG0001186	Nana13789-RA	ENSGALG00000034509.2
OG0001186	Nana31265-RA	ENSGALG00000005402.5
OG0001187	Nana21256-RA	ENSGALG00000030379.3
OG0001187	Nana09906-RA	ENSGALG00000037665.3
OG0001190	Nana02526-RA	ENSGALG00000035016.3
OG0001190	Nana15877-RA	ENSGALG00000039474.3
OG0001191	Nana13699-RA	ENSGALG00000038797.2, ENSGALG00000037737.2, ENSGALG00000047924.1, ENSGALG00000041512.2, ENSGALG00000040055.2, ENSGALG00000040737.2, ENSGALG00000050205.1, ENSGALG00000033168.2
OG0001192	Nana31096-RA, Nana31095-RA	ENSGALG00000029017.3
OG0001193	Nana32416-RB, Nana32416-RA	ENSGALG00000008648.4
OG0001193	Nana08930-RA	ENSGALG00000032664.2
OG0001194	Nana36352-RL, Nana36352-RJ, Nana36352-RN, Nana36352-RM, Nana36352-RH, Nana36352-RI, Nana36352-RF, Nana36352-RE, Nana36352-RK, Nana36352-RG	ENSGALG00000039163.2
OG0001195	Nana25025-RA	ENSGALG00000034265.2
OG0001195	Nana18598-RA	ENSGALG00000035565.3
OG0001196	Nana04558-RA	ENSGALG00000005438.6
OG0001196	Nana29494-RA	ENSGALG00000014201.7
OG0001197	Nana07730-RB, Nana07730-RA	ENSGALG00000040703.2
OG0001198	Nana20689-RA	ENSGALG00000008807.5
OG0001199	Nana01634-RA	ENSGALG00000030960.2
OG0001199	Nana05931-RA	ENSGALG00000012367.6
OG0001200	Nana04145-RD, Nana04145-RH, Nana04145-RG, Nana04145-RF, Nana04145-RE, Nana04145-RI, Nana04145-RC, Nana04145-RB, Nana04145-RA	ENSGALG00000036530.2
OG0001201	Nana09935-RF, Nana09935-RC, Nana09935-RG, Nana09935-RH, Nana09935-RD, Nana09935-RI, Nana09935-RE	ENSGALG00000003454.7
OG0001202	Nana22636-RA	ENSGALG00000045507.2, ENSGALG00000049315.1, ENSGALG00000055090.1, ENSGALG00000046353.2, ENSGALG00000052084.1
OG0001203	Nana02926-RA	ENSGALG00000033033.2, ENSGALG00000044606.2
OG0001204	Nana16242-RA	ENSGALG00000015140.6
OG0001205	Nana04204-RA	ENSGALG00000007220.5
OG0001209	Nana20401-RA	ENSGALG00000044293.2
OG0001209	Nana26008-RA	ENSGALG00000054344.1
OG0001210	Nana23229-RA	ENSGALG00000041204.2
OG0001210	Nana21774-RA	ENSGALG00000010961.5
OG0001211	Nana20383-RA	ENSGALG00000054686.1
OG0001212	Nana05553-RA	ENSGALG00000010793.7
OG0001212	Nana15517-RA	ENSGALG00000008445.6
OG0001213	Nana21939-RA	ENSGALG00000011278.6
OG0001213	Nana23151-RA	ENSGALG00000003369.6
OG0001214	Nana20367-RA	ENSGALG00000035535.2
OG0001214	Nana26011-RA	ENSGALG00000016655.6
OG0001215	Nana15541-RA, Nana03770-RA	ENSGALG00000028685.3
OG0001216	Nana14966-RA	ENSGALG00000039327.2
OG0001217	Nana36799-RA	ENSGALG00000004689.6
OG0001217	Nana14841-RA, Nana14841-RB	ENSGALG00000006237.8
OG0001218	Nana11150-RA	ENSGALG00000024482.4
OG0001218	Nana14667-RA	ENSGALG00000011047.6
OG0001220	Nana09048-RA	ENSGALG00000049287.1
OG0001220	Nana19961-RA	ENSGALG00000020754.5
OG0001221	Nana19942-RA	ENSGALG00000007515.6
OG0001221	Nana28210-RA, Nana28207-RA	ENSGALG00000003473.6
OG0001222	Nana27061-RA	ENSGALG00000030515.3
OG0001223	Nana19780-RA, Nana19779-RA	ENSGALG00000008409.6
OG0001224	Nana19766-RA	ENSGALG00000008465.6
OG0001224	Nana19773-RA	ENSGALG00000008434.7
OG0001225	Nana17767-RA	ENSGALG00000012219.5
OG0001225	Nana19197-RA	ENSGALG00000004569.6
OG0001226	Nana14518-RA	ENSGALG00000010647.6
OG0001226	Nana11831-RA	ENSGALG00000021843.4
OG0001228	Nana04529-RA	ENSGALG00000005750.6
OG0001228	Nana14214-RA	ENSGALG00000002615.7
OG0001229	Nana29222-RA	ENSGALG00000014094.6
OG0001229	Nana14252-RA	ENSGALG00000000523.6
OG0001230	Nana23207-RA	ENSGALG00000043219.2
OG0001231	Nana21842-RA	ENSGALG00000028908.4
OG0001231	Nana23212-RA	ENSGALG00000037619.2
OG0001232	Nana13918-RA	ENSGALG00000000606.6
OG0001233	Nana26171-RD, Nana26171-RB	ENSGALG00000044260.2
OG0001234	Nana09157-RA	ENSGALG00000001916.6
OG0001234	Nana18325-RA	ENSGALG00000041121.2
OG0001235	Nana01871-RA	ENSGALG00000013813.6
OG0001235	Nana25887-RA	ENSGALG00000027960.3
OG0001236	Nana04636-RA, Nana29501-RA	ENSGALG00000014186.7
OG0001237	Nana25864-RA	ENSGALG00000016522.6
OG0001237	Nana17582-RA	ENSGALG00000011524.5
OG0001238	Nana24534-RB, Nana24534-RA, Nana24534-RC	ENSGALG00000016198.7
OG0001239	Nana00674-RE, Nana00674-RB, Nana00674-RA, Nana00674-RD	ENSGALG00000042005.3
OG0001240	Nana25325-RA	ENSGALG00000017229.7
OG0001240	Nana18168-RA	ENSGALG00000013579.6
OG0001241	Nana34596-RA	ENSGALG00000019233.5, ENSGALG00000021314.5
OG0001242	Nana25059-RA	ENSGALG00000017090.6
OG0001244	Nana01106-RA	ENSGALG00000009828.6
OG0001244	Nana05788-RA	ENSGALG00000011840.6
OG0001245	Nana01114-RA	ENSGALG00000009807.6
OG0001245	Nana05357-RA	ENSGALG00000010326.7
OG0001246	Nana07907-RA	ENSGALG00000006526.6
OG0001247	Nana01306-RA, Nana01305-RA	ENSGALG00000009034.6
OG0001247	Nana05051-RA	ENSGALG00000008615.6
OG0001249	Nana09410-RF, Nana09410-RA	ENSGALG00000030475.2
OG0001250	Nana36744-RA	ENSGALG00000032170.2, ENSGALG00000043064.2
OG0001250	Nana36743-RA	ENSGALG00000030886.2
OG0001251	Nana02037-RA	ENSGALG00000014887.6
OG0001252	Nana09088-RB, Nana09088-RA, Nana09088-RC	ENSGALG00000001364.6
OG0001253	Nana03034-RA, Nana22295-RA, Nana03033-RA, Nana03032-RA	ENSGALG00000003862.6
OG0001254	Nana28036-RD, Nana28036-RA, Nana28036-RB, Nana28036-RC	ENSGALG00000001838.6
OG0001257	Nana01654-RA	ENSGALG00000011200.6
OG0001257	Nana05106-RA, Nana05106-RB	ENSGALG00000009626.7
OG0001258	Nana32945-RA, Nana32945-RB, Nana32945-RD	ENSGALG00000046862.1
OG0001258	Nana36049-RA	ENSGALG00000029450.3
OG0001259	Nana34333-RA	ENSGALG00000033001.2
OG0001260	Nana06434-RA	ENSGALG00000037733.3
OG0001260	Nana32795-RA, Nana32795-RB, Nana32795-RC	ENSGALG00000003336.6
OG0001265	Nana36837-RB, Nana36458-RA	ENSGALG00000004180.7
OG0001265	Nana36843-RA	ENSGALG00000004165.4
OG0001276	Nana17486-RA, Nana17485-RA	ENSGALG00000030516.2
OG0001276	Nana19637-RA	ENSGALG00000009302.7
OG0001277	Nana19671-RA	ENSGALG00000009231.6
OG0001280	Nana37488-RA	ENSGALG00000002466.6
OG0001281	Nana34141-RB, Nana34141-RA	ENSGALG00000051431.1
OG0001282	Nana34026-RA	ENSGALG00000037837.2
OG0001283	Nana02830-RA, Nana02830-RB, Nana36123-RB, Nana36123-RA	ENSGALG00000031582.3
OG0001284	Nana28455-RA, Nana17390-RA	ENSGALG00000001640.5, ENSGALG00000027533.3
OG0001285	Nana02396-RA	ENSGALG00000016294.6
OG0001287	Nana01614-RA	ENSGALG00000036218.2
OG0001288	Nana37152-RA	ENSGALG00000001024.7
OG0001289	Nana31807-RA	ENSGALG00000000507.6
OG0001290	Nana12855-RB, Nana12855-RA	ENSGALG00000002165.6
OG0001290	Nana06145-RA	ENSGALG00000035935.2
OG0001291	Nana35544-RA	ENSGALG00000006588.7
OG0001291	Nana00650-RA	ENSGALG00000002631.3
OG0001292	Nana33378-RA	ENSGALG00000026468.3
OG0001292	Nana11849-RA	ENSGALG00000026899.3
OG0001293	Nana08573-RA	ENSGALG00000002362.6
OG0001295	Nana21417-RA	ENSGALG00000007647.6
OG0001295	Nana03435-RA	ENSGALG00000009602.6
OG0001297	Nana04431-RA	ENSGALG00000006147.5
OG0001299	Nana23701-RB, Nana23701-RA	ENSGALG00000047117.1, ENSGALG00000047281.1
OG0001300	Nana33421-RA	ENSGALG00000007252.6
OG0001300	Nana12214-RA	ENSGALG00000014958.6
OG0001301	Nana17269-RA	ENSGALG00000040759.2
OG0001301	Nana19543-RA	ENSGALG00000048849.1
OG0001302	Nana06773-RA	ENSGALG00000000430.5
OG0001303	Nana37264-RA	ENSGALG00000033034.3
OG0001304	Nana20881-RA	ENSGALG00000048048.1, ENSGALG00000051882.1
OG0001305	Nana08883-RA	ENSGALG00000039124.3
OG0001305	Nana18780-RA	ENSGALG00000009554.7
OG0001306	Nana18841-RB	ENSGALG00000003073.6
OG0001307	Nana18782-RA	ENSGALG00000009560.4
OG0001308	Nana08014-RA	ENSGALG00000007184.7
OG0001308	Nana29611-RA	ENSGALG00000008941.7
OG0001309	Nana30321-RB, Nana30321-RA, Nana29315-RA, Nana03607-RA, Nana29312-RA, Nana29314-RA	ENSGALG00000029006.3
OG0001310	Nana30987-RH, Nana30987-RG, Nana30987-RB, Nana30987-RE, Nana30987-RF, Nana30987-RA, Nana30987-RC, Nana30987-RD	ENSGALG00000002247.6
OG0001311	Nana28786-RA	ENSGALG00000006638.5
OG0001312	Nana01015-RA	ENSGALG00000032259.2
OG0001312	Nana05814-RA	ENSGALG00000020359.4
OG0001313	Nana26638-RA	ENSGALG00000016967.6
OG0001314	Nana37502-RA	ENSGALG00000002506.5
OG0001315	Nana02711-RA	ENSGALG00000002229.6
OG0001316	Nana20190-RA	ENSGALG00000005521.6
OG0001317	Nana00613-RA	ENSGALG00000036647.2
OG0001318	Nana01932-RB, Nana01932-RE, Nana01932-RA, Nana01932-RC, Nana01932-RD	ENSGALG00000013935.6
OG0001319	Nana00611-RA	ENSGALG00000041722.2
OG0001321	Nana01953-RA	ENSGALG00000029024.3
OG0001321	Nana16450-RA	ENSGALG00000037777.3
OG0001322	Nana09855-RA, Nana09855-RE, Nana09855-RD, Nana09855-RF, Nana09855-RC, Nana09855-RB	ENSGALG00000050405.1, ENSGALG00000047203.1, ENSGALG00000038222.3
OG0001323	Nana00716-RA	ENSGALG00000006007.7
OG0001325	Nana10384-RA	ENSGALG00000045352.2
OG0001326	Nana37269-RL, Nana37269-RM, Nana37269-RH, Nana37269-RN, Nana37269-RI, Nana37269-RJ, Nana37269-RK	ENSGALG00000003713.6
OG0001327	Nana35437-RA	ENSGALG00000007720.7
OG0001327	Nana00057-RB, Nana00057-RA	ENSGALG00000023787.4
OG0001328	Nana35869-RE	ENSGALG00000037946.2
OG0001328	Nana35869-RA	ENSGALG00000040489.2
OG0001329	Nana03628-RA	ENSGALG00000030904.2, ENSGALG00000012407.5
OG0001330	Nana25947-RA	ENSGALG00000016607.5
OG0001331	Nana23025-RC, Nana23025-RB	ENSGALG00000001682.6
OG0001332	Nana03794-RA	ENSGALG00000011645.6
OG0001332	Nana22269-RA, Nana22271-RA	ENSGALG00000032647.2
OG0001334	Nana17197-RA	ENSGALG00000040641.2
OG0001335	Nana16945-RA	ENSGALG00000031519.3
OG0001336	Nana09967-RA	ENSGALG00000003105.5
OG0001336	Nana34041-RB, Nana34041-RA	ENSGALG00000009205.7
OG0001337	Nana14771-RA	ENSGALG00000008902.6
OG0001338	Nana31834-RJ, Nana31834-RI, Nana31834-RL, Nana31834-RK, Nana31834-RG, Nana31834-RE, Nana31834-RF, Nana31834-RD, Nana31834-RH	ENSGALG00000000657.5
OG0001339	Nana17784-RA	ENSGALG00000042112.2
OG0001340	Nana14799-RA	ENSGALG00000028530.3
OG0001341	Nana25200-RA	ENSGALG00000017166.5
OG0001341	Nana32114-RA	ENSGALG00000040784.2
OG0001342	Nana13656-RA	ENSGALG00000043055.3
OG0001343	Nana22698-RA	ENSGALG00000012536.6
OG0001345	Nana00537-RA	ENSGALG00000020906.5
OG0001345	Nana34930-RA	ENSGALG00000036731.3
OG0001346	Nana15236-RA	ENSGALG00000004448.6
OG0001347	Nana26078-RA	ENSGALG00000016761.4, ENSGALG00000043257.3, ENSGALG00000054968.1
OG0001348	Nana17027-RA	ENSGALG00000030878.3
OG0001349	Nana36488-RA	ENSGALG00000021570.3
OG0001349	Nana30652-RA	ENSGALG00000042762.3
OG0001351	Nana20921-RA	ENSGALG00000028015.4
OG0001351	Nana37462-RA	ENSGALG00000002055.7
OG0001352	Nana32601-RB, Nana32601-RA	ENSGALG00000006108.6
OG0001353	Nana13602-RA	ENSGALG00000007912.6
OG0001354	Nana09446-RA	ENSGALG00000001684.6
OG0001355	Nana16625-RA	ENSGALG00000040248.2
OG0001355	Nana31424-RA	ENSGALG00000004474.6
OG0001356	Nana00085-RA	ENSGALG00000003647.7
OG0001356	Nana00639-RA	ENSGALG00000005995.7
OG0001357	Nana35017-RA	ENSGALG00000028830.3
OG0001358	Nana33066-RA	ENSGALG00000037553.3
OG0001359	Nana25904-RA	ENSGALG00000016579.3
OG0001359	Nana32714-RA	ENSGALG00000004918.6
OG0001361	Nana19833-RA	ENSGALG00000008086.5
OG0001362	Nana34589-RE, Nana34589-RH, Nana34589-RI, Nana34589-RD, Nana34589-RC, Nana34589-RG, Nana34589-RB	ENSGALG00000006646.7
OG0001363	Nana13467-RA	ENSGALG00000005352.7
OG0001363	Nana16183-RA	ENSGALG00000014976.6
OG0001364	Nana16173-RA, Nana16172-RA	ENSGALG00000014938.6
OG0001365	Nana19712-RA	ENSGALG00000008883.7
OG0001366	Nana22126-RA	ENSGALG00000034340.2
OG0001367	Nana25114-RA	ENSGALG00000015051.6, ENSGALG00000017104.6
OG0001368	Nana29210-RA	ENSGALG00000048539.1
OG0001368	Nana08172-RA	ENSGALG00000008308.7
OG0001369	Nana36951-RA	ENSGALG00000008806.7
OG0001370	Nana34816-RA	ENSGALG00000004254.6
OG0001372	Nana04056-RA	ENSGALG00000033386.2
OG0001372	Nana34815-RA	ENSGALG00000039724.3
OG0001373	Nana37203-RC, Nana37203-RD, Nana37203-RB, Nana37203-RA	ENSGALG00000004005.6
OG0001374	Nana33083-RB, Nana33083-RA	ENSGALG00000002210.6
OG0001375	Nana02493-RA	ENSGALG00000016392.7
OG0001376	Nana04415-RA	ENSGALG00000006220.6
OG0001377	Nana31311-RA	ENSGALG00000039985.3
OG0001378	Nana31717-RA	ENSGALG00000055010.1
OG0001378	Nana13788-RA	ENSGALG00000038721.2
OG0001380	Nana11157-RA	ENSGALG00000052026.1
OG0001381	Nana03832-RA	ENSGALG00000029675.3
OG0001382	Nana23277-RA	ENSGALG00000042521.2
OG0001383	Nana32481-RA, Nana32481-RB	ENSGALG00000047144.1, ENSGALG00000049713.1, ENSGALG00000019262.5, ENSGALG00000028720.3
OG0001384	Nana03543-RA	ENSGALG00000037301.3
OG0001385	Nana21484-RA	ENSGALG00000008677.8
OG0001385	Nana22942-RA	ENSGALG00000000909.7
OG0001386	Nana25586-RA	ENSGALG00000022702.4
OG0001386	Nana18490-RA	ENSGALG00000014268.4
OG0001387	Nana26203-RB, Nana26203-RC	ENSGALG00000016834.6
OG0001387	Nana20696-RA	ENSGALG00000008744.6
OG0001388	Nana32396-RA	ENSGALG00000008559.6
OG0001389	Nana04143-RA	ENSGALG00000040619.2
OG0001390	Nana14983-RA	ENSGALG00000002145.6
OG0001391	Nana27604-RA	ENSGALG00000033855.2
OG0001392	Nana37903-RA, Nana37903-RB, Nana23619-RA	ENSGALG00000035760.2
OG0001393	Nana09485-RA	ENSGALG00000008462.6
OG0001393	Nana09886-RA	ENSGALG00000032699.2
OG0001394	Nana16244-RA	ENSGALG00000017398.6
OG0001395	Nana39696-RA	ENSGALG00000048612.1
OG0001396	Nana35915-RA	ENSGALG00000049996.1
OG0001397	Nana20152-RA	ENSGALG00000005809.6
OG0001397	Nana35211-RA	ENSGALG00000001652.7
OG0001399	Nana27499-RA	ENSGALG00000012988.7
OG0001400	Nana21783-RA	ENSGALG00000010983.6
OG0001400	Nana23265-RA	ENSGALG00000039125.2
OG0001401	Nana03911-RA	ENSGALG00000011355.6
OG0001402	Nana26291-RA	ENSGALG00000041083.2
OG0001402	Nana20352-RA	ENSGALG00000040532.2
OG0001403	Nana22103-RA	ENSGALG00000033379.2
OG0001404	Nana27423-RA	ENSGALG00000012852.5
OG0001405	Nana22380-RA	ENSGALG00000038978.2
OG0001406	Nana34612-RA, Nana34612-RB	ENSGALG00000007638.7
OG0001407	Nana20139-RA	ENSGALG00000006354.6
OG0001408	Nana22645-RA	ENSGALG00000013083.7
OG0001408	Nana23050-RA	ENSGALG00000013484.6
OG0001409	Nana33790-RA	ENSGALG00000038087.3
OG0001409	Nana27327-RA	ENSGALG00000031977.2
OG0001410	Nana14624-RA	ENSGALG00000010967.6
OG0001411	Nana09564-RA	ENSGALG00000023279.4
OG0001412	Nana11521-RA, Nana11518-RB	ENSGALG00000005441.7
OG0001413	Nana27199-RA	ENSGALG00000011878.6
OG0001414	Nana14327-RA	ENSGALG00000047297.1
OG0001414	Nana08098-RA	ENSGALG00000007785.6
OG0001417	Nana26999-RA, Nana13898-RA	ENSGALG00000000217.6
OG0001418	Nana28393-RA	ENSGALG00000049358.1
OG0001419	Nana17644-RA	ENSGALG00000010903.6
OG0001419	Nana08868-RA	ENSGALG00000006076.6
OG0001420	Nana17659-RB, Nana17659-RA, Nana17661-RA, Nana17660-RA, Nana17660-RB, Nana17662-RA	ENSGALG00000011190.6
OG0001420	Nana17663-RA	ENSGALG00000020193.5
OG0001421	Nana14008-RA	ENSGALG00000001605.8
OG0001421	Nana26814-RA	ENSGALG00000009805.6
OG0001422	Nana24511-RA	ENSGALG00000019171.5
OG0001423	Nana14014-RA	ENSGALG00000001547.6
OG0001423	Nana29653-RA	ENSGALG00000043437.3
OG0001424	Nana14015-RA	ENSGALG00000001538.6
OG0001425	Nana04895-RA, Nana04895-RB	ENSGALG00000038059.2
OG0001426	Nana26154-RA	ENSGALG00000016797.7
OG0001427	Nana26045-RB, Nana26045-RE, Nana26045-RA, Nana26045-RD, Nana26045-RC, Nana26045-RG, Nana26045-RF	ENSGALG00000016739.6
OG0001428	Nana29189-RA, Nana10748-RC, Nana10748-RB	ENSGALG00000014575.6
OG0001429	Nana31721-RA	ENSGALG00000052526.1
OG0001429	Nana13661-RA, Nana13660-RA, Nana31723-RA	ENSGALG00000054402.1
OG0001430	Nana24473-RA	ENSGALG00000016224.6
OG0001430	Nana24474-RA	ENSGALG00000032836.2
OG0001431	Nana29275-RA	ENSGALG00000042554.2
OG0001432	Nana18503-RA	ENSGALG00000000150.7
OG0001433	Nana35498-RH, Nana35498-RA, Nana35498-RD, Nana35498-RE, Nana35498-RI, Nana35498-RC, Nana35498-RB, Nana35498-RG, Nana35498-RF	ENSGALG00000051488.1
OG0001434	Nana09218-RA	ENSGALG00000001698.6
OG0001435	Nana24778-RA, Nana24779-RA	ENSGALG00000036738.2
OG0001436	Nana24850-RA	ENSGALG00000015379.7
OG0001436	Nana35933-RA	ENSGALG00000036086.3
OG0001438	Nana12371-RA	ENSGALG00000014884.6
OG0001438	Nana32937-RA	ENSGALG00000033391.3
OG0001439	Nana06743-RA	ENSGALG00000041934.3
OG0001439	Nana12267-RA	ENSGALG00000014769.6
OG0001441	Nana11742-RA	ENSGALG00000012612.6
OG0001442	Nana11714-RC, Nana11714-RA, Nana11714-RB	ENSGALG00000040086.3, ENSGALG00000012591.7
OG0001443	Nana11599-RA	ENSGALG00000010164.5
OG0001443	Nana10846-RA	ENSGALG00000047145.1
OG0001444	Nana11591-RA	ENSGALG00000010179.6
OG0001444	Nana06795-RA	ENSGALG00000001773.6
OG0001445	Nana05242-RA	ENSGALG00000029022.4
OG0001446	Nana15529-RA	ENSGALG00000035835.2
OG0001446	Nana05267-RA, Nana05267-RB	ENSGALG00000037632.3
OG0001447	Nana05123-RA, Nana05123-RB	ENSGALG00000009731.7
OG0001449	Nana12608-RA	ENSGALG00000051844.1
OG0001449	Nana33562-RA	ENSGALG00000045544.2
OG0001450	Nana05044-RA, Nana05041-RA	ENSGALG00000008628.5
OG0001450	Nana01374-RA	ENSGALG00000010169.5
