Orthogroup	N_naja.pep	P_troglodytes.pep
OG0001025	Nana32008-RA, Nana32009-RA	ENSPTRG00000051100.1
OG0001025	Nana26260-RA	ENSPTRG00000006021.6
OG0001026	Nana33446-RA	ENSPTRG00000007482.6
OG0001026	Nana12061-RA	ENSPTRG00000017081.6
OG0001027	Nana10208-RB, Nana10208-RC, Nana10208-RA	ENSPTRG00000005147.7
OG0001028	Nana25992-RA	ENSPTRG00000022494.7, ENSPTRG00000021635.6
OG0001028	Nana20627-RA	ENSPTRG00000024345.5
OG0001029	Nana23672-RA, Nana23613-RA	ENSPTRG00000041141.2
OG0001030	Nana04340-RA	ENSPTRG00000051746.1
OG0001030	Nana23610-RA	ENSPTRG00000011496.6
OG0001031	Nana03016-RA	ENSPTRG00000013065.4
OG0001031	Nana21686-RA	ENSPTRG00000052279.1, ENSPTRG00000048701.1, ENSPTRG00000043505.1
OG0001032	Nana38021-RA	ENSPTRG00000011444.5, ENSPTRG00000046717.1
OG0001033	Nana23662-RA	ENSPTRG00000033703.3, ENSPTRG00000046112.1
OG0001034	Nana27516-RA	ENSPTRG00000004521.7
OG0001035	Nana20366-RB, Nana20366-RA	ENSPTRG00000015505.3
OG0001036	Nana14924-RA	ENSPTRG00000000970.6
OG0001036	Nana36848-RA	ENSPTRG00000021468.6
OG0001037	Nana22462-RA, Nana22462-RB, Nana03803-RA, Nana03803-RB	ENSPTRG00000050663.1
OG0001038	Nana27358-RA	ENSPTRG00000005396.6
OG0001038	Nana04862-RB, Nana04862-RA	ENSPTRG00000003537.6
OG0001039	Nana11390-RA	ENSPTRG00000021197.5
OG0001039	Nana14880-RA	ENSPTRG00000000993.4
OG0001040	Nana14654-RA	ENSPTRG00000000820.6
OG0001041	Nana27138-RA	ENSPTRG00000004730.3
OG0001041	Nana09735-RA	ENSPTRG00000045047.1
OG0001042	Nana27137-RA	ENSPTRG00000019722.6
OG0001042	Nana04002-RA	ENSPTRG00000003574.6
OG0001043	Nana29707-RA	ENSPTRG00000019598.7
OG0001043	Nana08576-RA	ENSPTRG00000014969.5
OG0001044	Nana04276-RD, Nana04276-RA, Nana04276-RC, Nana04276-RB	ENSPTRG00000003987.6
OG0001045	Nana13857-RG, Nana13857-RF, Nana13857-RA, Nana13857-RC, Nana13857-RB, Nana13857-RD	ENSPTRG00000045535.1, ENSPTRG00000046501.1, ENSPTRG00000049437.1, ENSPTRG00000049720.1
OG0001046	Nana13978-RA	ENSPTRG00000001124.5
OG0001046	Nana29272-RA	ENSPTRG00000019338.5
OG0001047	Nana08166-RA	ENSPTRG00000014570.7
OG0001048	Nana08623-RA	ENSPTRG00000014948.4
OG0001048	Nana29246-RA, Nana29246-RB	ENSPTRG00000019348.5
OG0001049	Nana24445-RB, Nana24445-RC, Nana24445-RA, Nana24445-RD	ENSPTRG00000049651.1, ENSPTRG00000022488.6
OG0001051	Nana25343-RB	ENSPTRG00000004159.6, ENSPTRG00000051689.1
OG0001051	Nana25342-RA	ENSPTRG00000004163.6
OG0001052	Nana38595-RA	ENSPTRG00000004151.4
OG0001052	Nana01829-RA	ENSPTRG00000018685.5
OG0001053	Nana11402-RA	ENSPTRG00000021263.7
OG0001053	Nana06106-RC, Nana06106-RD, Nana06106-RB, Nana06106-RA	ENSPTRG00000010165.6
OG0001054	Nana05790-RA	ENSPTRG00000006424.3
OG0001055	Nana10297-RA	ENSPTRG00000005118.5
OG0001055	Nana03259-RA	ENSPTRG00000023453.5
OG0001056	Nana05549-RA, Nana05549-RB, Nana05549-RC, Nana05549-RE, Nana05549-RD, Nana05549-RF, Nana05549-RG	ENSPTRG00000006648.7
OG0001057	Nana05515-RA, Nana05518-RA	ENSPTRG00000006627.6
OG0001057	Nana00987-RA	ENSPTRG00000011899.6
OG0001058	Nana05486-RA	ENSPTRG00000006609.6
OG0001058	Nana00864-RA	ENSPTRG00000034390.3
OG0001059	Nana10025-RB, Nana10025-RA	ENSPTRG00000004927.6
OG0001059	Nana03457-RA	ENSPTRG00000012603.6
OG0001060	Nana00979-RA, Nana00979-RB, Nana00973-RA, Nana00973-RB	ENSPTRG00000018191.6, ENSPTRG00000018185.4
OG0001061	Nana08512-RA	ENSPTRG00000044514.1, ENSPTRG00000043237.1, ENSPTRG00000050033.1, ENSPTRG00000016733.5, ENSPTRG00000048128.1, ENSPTRG00000048868.1, ENSPTRG00000051976.1
OG0001062	Nana07502-RA	ENSPTRG00000045997.1, ENSPTRG00000044836.1, ENSPTRG00000045158.1, ENSPTRG00000042453.2, ENSPTRG00000043304.1, ENSPTRG00000044494.1
OG0001064	Nana25429-RA	ENSPTRG00000016723.4, ENSPTRG00000032460.4, ENSPTRG00000046948.1, ENSPTRG00000048321.1, ENSPTRG00000032461.4
OG0001069	Nana04037-RA, Nana04042-RA, Nana04041-RA, Nana04044-RC, Nana04044-RA, Nana04044-RD, Nana04044-RB, Nana04047-RB, Nana04047-RA	ENSPTRG00000003950.4
OG0001073	Nana23615-RA, Nana23614-RA	ENSPTRG00000048040.1, ENSPTRG00000011477.7
OG0001082	Nana25516-RA, Nana25516-RB	ENSPTRG00000004055.4
OG0001083	Nana19994-RA, Nana19994-RB	ENSPTRG00000012437.4
OG0001084	Nana19679-RA	ENSPTRG00000002965.6
OG0001085	Nana14477-RA, Nana14475-RA	ENSPTRG00000052213.1
OG0001086	Nana15698-RA	ENSPTRG00000016761.5
OG0001086	Nana15671-RA	ENSPTRG00000016758.4
OG0001087	Nana23790-RA	ENSPTRG00000007980.4
OG0001087	Nana00177-RA	ENSPTRG00000034564.3
OG0001088	Nana33124-RA	ENSPTRG00000044029.1
OG0001088	Nana36291-RA	ENSPTRG00000052802.1, ENSPTRG00000001261.7
OG0001089	Nana12130-RA	ENSPTRG00000017044.5
OG0001089	Nana33605-RA	ENSPTRG00000007353.6
OG0001090	Nana11645-RA	ENSPTRG00000021022.6
OG0001091	Nana02614-RA	ENSPTRG00000011681.7
OG0001092	Nana30910-RA	ENSPTRG00000011147.4
OG0001092	Nana05722-RA	ENSPTRG00000006756.3
OG0001093	Nana28463-RB, Nana28463-RA	ENSPTRG00000020040.3
OG0001094	Nana30964-RA	ENSPTRG00000010877.5
OG0001095	Nana06232-RA	ENSPTRG00000010175.4
OG0001095	Nana11381-RA	ENSPTRG00000023608.4
OG0001096	Nana11988-RA	ENSPTRG00000011211.4
OG0001097	Nana34606-RA	ENSPTRG00000007643.6
OG0001098	Nana36877-RA	ENSPTRG00000021489.7
OG0001100	Nana17654-RA	ENSPTRG00000016220.6
OG0001100	Nana19114-RA	ENSPTRG00000002847.3, ENSPTRG00000044815.1
OG0001101	Nana17797-RA	ENSPTRG00000016312.4
OG0001101	Nana28158-RA	ENSPTRG00000019153.6, ENSPTRG00000047276.1
OG0001102	Nana19402-RA	ENSPTRG00000015924.5, ENSPTRG00000002753.5
OG0001103	Nana07736-RA, Nana07736-RB	ENSPTRG00000017942.7
OG0001104	Nana32769-RA	ENSPTRG00000007112.7
OG0001104	Nana32770-RA	ENSPTRG00000044008.1
OG0001105	Nana25067-RA, Nana32041-RA	ENSPTRG00000042883.1
OG0001105	Nana25063-RA, Nana25064-RA	ENSPTRG00000005743.6
OG0001106	Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB	ENSPTRG00000004419.6
OG0001107	Nana02033-RA	ENSPTRG00000018558.4
OG0001107	Nana11062-RA	ENSPTRG00000024134.6
OG0001108	Nana02264-RA	ENSPTRG00000018390.7
OG0001108	Nana11055-RA	ENSPTRG00000001172.7
OG0001109	Nana11497-RA	ENSPTRG00000020792.5
OG0001110	Nana16034-RA	ENSPTRG00000046320.1
OG0001110	Nana13586-RA	ENSPTRG00000013642.5
OG0001111	Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK	ENSPTRG00000031311.4
OG0001112	Nana09815-RA	ENSPTRG00000009552.7
OG0001112	Nana01531-RA	ENSPTRG00000007536.6
OG0001113	Nana16336-RA, Nana16336-RB	ENSPTRG00000020263.6
OG0001114	Nana23976-RA	ENSPTRG00000049291.1
OG0001115	Nana08407-RA	ENSPTRG00000021124.3
OG0001115	Nana27500-RA	ENSPTRG00000004511.4
OG0001116	Nana31238-RB, Nana31238-RA	ENSPTRG00000033921.3
OG0001117	Nana14988-RA	ENSPTRG00000001818.7
OG0001117	Nana36519-RA	ENSPTRG00000021357.6
OG0001118	Nana28094-RA, Nana28094-RB	ENSPTRG00000013220.6
OG0001118	Nana02697-RA	ENSPTRG00000017297.6
OG0001119	Nana36026-RA, Nana36026-RB	ENSPTRG00000003828.5
OG0001121	Nana05803-RA	ENSPTRG00000006418.3
OG0001121	Nana01003-RA	ENSPTRG00000011890.6
OG0001123	Nana05812-RA	ENSPTRG00000049394.1
OG0001124	Nana09016-RA	ENSPTRG00000017550.6
OG0001124	Nana19852-RA	ENSPTRG00000002864.5
OG0001125	Nana38193-RA, Nana38191-RA, Nana27551-RA	ENSPTRG00000010324.7
OG0001126	Nana33075-RA	ENSPTRG00000007022.6
OG0001127	Nana29943-RA	ENSPTRG00000022950.4
OG0001127	Nana29942-RA	ENSPTRG00000023267.3
OG0001128	Nana08783-RA, Nana08784-RA	ENSPTRG00000017444.6
OG0001130	Nana25844-RA	ENSPTRG00000021731.6
OG0001131	Nana23112-RA	ENSPTRG00000009179.5
OG0001131	Nana22266-RA	ENSPTRG00000014728.6
OG0001132	Nana16280-RA	ENSPTRG00000009964.7
OG0001132	Nana00706-RA	ENSPTRG00000011724.6
OG0001133	Nana28410-RA	ENSPTRG00000020158.7
OG0001133	Nana05995-RA	ENSPTRG00000002841.5
OG0001134	Nana17929-RA	ENSPTRG00000016522.6
OG0001134	Nana25656-RA	ENSPTRG00000003290.6
OG0001135	Nana19597-RA	ENSPTRG00000029684.4
OG0001135	Nana28386-RA	ENSPTRG00000020172.6
OG0001136	Nana32118-RA	ENSPTRG00000049876.1
OG0001136	Nana18002-RA	ENSPTRG00000016472.4
OG0001137	Nana08687-RB, Nana08687-RA	ENSPTRG00000017583.4
OG0001138	Nana10327-RA	ENSPTRG00000004871.7
OG0001138	Nana03294-RA	ENSPTRG00000012728.7
OG0001139	Nana14742-RB, Nana14742-RA	ENSPTRG00000000869.6
OG0001140	Nana08717-RA, Nana17783-RA	ENSPTRG00000016300.3, ENSPTRG00000017568.6
OG0001141	Nana14800-RA	ENSPTRG00000030549.5
OG0001141	Nana09279-RA	ENSPTRG00000010583.5
OG0001142	Nana30382-RA	ENSPTRG00000010825.4
OG0001142	Nana28738-RA	ENSPTRG00000004408.6
OG0001143	Nana12163-RA	ENSPTRG00000047731.1, ENSPTRG00000016972.5
OG0001143	Nana09248-RA	ENSPTRG00000010535.6
OG0001144	Nana17440-RA	ENSPTRG00000013206.7
OG0001145	Nana27289-RA	ENSPTRG00000014360.5
OG0001145	Nana09588-RB, Nana09588-RA	ENSPTRG00000009795.6
OG0001146	Nana10405-RA	ENSPTRG00000005044.7
OG0001147	Nana14264-RA	ENSPTRG00000018120.6
OG0001148	Nana02545-RA	ENSPTRG00000011643.6
OG0001148	Nana16704-RA	ENSPTRG00000020479.5
OG0001149	Nana28144-RA	ENSPTRG00000020200.6
OG0001149	Nana18911-RA, Nana18911-RB	ENSPTRG00000024118.4
OG0001150	Nana36107-RD	ENSPTRG00000001581.3
OG0001151	Nana32319-RA	ENSPTRG00000022082.6
OG0001151	Nana26559-RA	ENSPTRG00000005916.6
OG0001152	Nana19809-RA	ENSPTRG00000002907.4
OG0001152	Nana28336-RA	ENSPTRG00000020087.6
OG0001153	Nana35546-RA	ENSPTRG00000013331.5, ENSPTRG00000048469.1, ENSPTRG00000052675.1, ENSPTRG00000051615.1, ENSPTRG00000014177.7
OG0001154	Nana33147-RA	ENSPTRG00000044713.1
OG0001154	Nana33144-RB, Nana33144-RA	ENSPTRG00000007080.5
OG0001155	Nana35470-RA	ENSPTRG00000005546.5
OG0001155	Nana00088-RA	ENSPTRG00000008921.5
OG0001156	Nana32668-RB, Nana32668-RA	ENSPTRG00000022006.6
OG0001156	Nana20400-RA	ENSPTRG00000015534.7
OG0001157	Nana33853-RA	ENSPTRG00000044619.1
OG0001158	Nana33850-RA	ENSPTRG00000007577.3
OG0001158	Nana09655-RA, Nana27317-RA	ENSPTRG00000044104.1
OG0001159	Nana16653-RA	ENSPTRG00000020462.6
OG0001159	Nana13681-RA	ENSPTRG00000013533.6
OG0001160	Nana10842-RB, Nana10433-RA, Nana23048-RA	ENSPTRG00000010455.5
OG0001161	Nana16541-RA	ENSPTRG00000020393.4
OG0001161	Nana31018-RA	ENSPTRG00000008231.6
OG0001162	Nana24564-RA	ENSPTRG00000013922.5
OG0001162	Nana29081-RA	ENSPTRG00000004326.3
OG0001163	Nana28087-RA, Nana28086-RA	ENSPTRG00000051530.1
OG0001163	Nana26761-RA	ENSPTRG00000047749.1
OG0001164	Nana32708-RB, Nana32708-RC, Nana32708-RA	ENSPTRG00000022164.7
OG0001166	Nana16424-RA	ENSPTRG00000020320.3
OG0001166	Nana13637-RA	ENSPTRG00000013597.6
OG0001167	Nana11276-RA	ENSPTRG00000015818.6
OG0001167	Nana09101-RA	ENSPTRG00000043485.1
OG0001168	Nana03251-RA	ENSPTRG00000012754.6
OG0001168	Nana10092-RA	ENSPTRG00000050931.1
OG0001169	Nana08334-RA	ENSPTRG00000015370.5
OG0001170	Nana31951-RA	ENSPTRG00000022050.7
OG0001170	Nana02671-RA	ENSPTRG00000005897.7
OG0001171	Nana16229-RA	ENSPTRG00000009939.5
OG0001171	Nana13490-RA	ENSPTRG00000013693.5
OG0001172	Nana12579-RA	ENSPTRG00000010019.7
OG0001172	Nana33127-RA	ENSPTRG00000023562.6
OG0001173	Nana05846-RA, Nana05846-RB	ENSPTRG00000049032.1
OG0001173	Nana02840-RA	ENSPTRG00000023869.4
OG0001174	Nana26363-RA	ENSPTRG00000005963.3
OG0001174	Nana32610-RA	ENSPTRG00000022282.5
OG0001175	Nana03461-RA	ENSPTRG00000012602.6
OG0001175	Nana21178-RA	ENSPTRG00000014755.3
OG0001176	Nana39284-RA	ENSPTRG00000008942.6
OG0001176	Nana23785-RA	ENSPTRG00000007973.6
OG0001177	Nana18988-RA	ENSPTRG00000045206.1
OG0001178	Nana34725-RA	ENSPTRG00000005423.5
OG0001178	Nana00040-RA	ENSPTRG00000008524.5
OG0001179	Nana35215-RA	ENSPTRG00000014066.6
OG0001180	Nana14068-RC, Nana14068-RF, Nana14068-RA, Nana14068-RE	ENSPTRG00000041105.2, ENSPTRG00000001929.7, ENSPTRG00000041818.2
OG0001181	Nana02065-RA	ENSPTRG00000018524.4
OG0001181	Nana29978-RA	ENSPTRG00000000532.6
OG0001182	Nana20593-RA	ENSPTRG00000015621.4
OG0001183	Nana16009-RA	ENSPTRG00000010108.6
OG0001183	Nana31464-RA	ENSPTRG00000008087.5
OG0001184	Nana33082-RA	ENSPTRG00000048032.1
OG0001184	Nana11895-RA	ENSPTRG00000048492.1
OG0001185	Nana18276-RA	ENSPTRG00000016598.3
OG0001185	Nana08782-RA	ENSPTRG00000017445.5
OG0001186	Nana13789-RA	ENSPTRG00000013416.7
OG0001186	Nana31265-RA	ENSPTRG00000008379.5
OG0001187	Nana21256-RA	ENSPTRG00000019915.7
OG0001187	Nana09906-RA	ENSPTRG00000004899.6
OG0001188	Nana23565-RA	ENSPTRG00000040282.2
OG0001189	Nana00111-RA, Nana00106-RA, Nana00108-RB, Nana00108-RA, Nana00110-RB, Nana00110-RA, Nana00107-RA	ENSPTRG00000008940.4
OG0001190	Nana02526-RA	ENSPTRG00000011632.4, ENSPTRG00000038955.2
OG0001190	Nana15877-RA	ENSPTRG00000052245.1
OG0001191	Nana13699-RA	ENSPTRG00000013473.6, ENSPTRG00000051075.1
OG0001192	Nana31096-RA, Nana31095-RA	ENSPTRG00000008352.6
OG0001193	Nana32416-RB, Nana32416-RA	ENSPTRG00000022225.6
OG0001193	Nana08930-RA	ENSPTRG00000017240.3
OG0001194	Nana36352-RL, Nana36352-RJ, Nana36352-RN, Nana36352-RM, Nana36352-RH, Nana36352-RI, Nana36352-RF, Nana36352-RE, Nana36352-RK, Nana36352-RG	ENSPTRG00000024318.6
OG0001195	Nana25025-RA	ENSPTRG00000046741.1
OG0001195	Nana18598-RA	ENSPTRG00000016044.4
OG0001196	Nana04558-RA	ENSPTRG00000003373.6
OG0001196	Nana29494-RA	ENSPTRG00000014480.6
OG0001197	Nana07730-RC	ENSPTRG00000017940.5
OG0001198	Nana20689-RA	ENSPTRG00000015661.5
OG0001199	Nana01634-RA	ENSPTRG00000002104.6
OG0001199	Nana05931-RA	ENSPTRG00000006338.6
OG0001200	Nana04145-RD, Nana04145-RH, Nana04145-RG, Nana04145-RF, Nana04145-RE, Nana04145-RI, Nana04145-RC, Nana04145-RB, Nana04145-RA	ENSPTRG00000003724.5
OG0001201	Nana09935-RF, Nana09935-RC, Nana09935-RG, Nana09935-RH, Nana09935-RD, Nana09935-RI, Nana09935-RE	ENSPTRG00000043246.1, ENSPTRG00000008989.7
OG0001202	Nana22636-RA	ENSPTRG00000051552.1, ENSPTRG00000019175.6
OG0001203	Nana02926-RA	ENSPTRG00000018239.6, ENSPTRG00000009957.6
OG0001204	Nana16242-RA	ENSPTRG00000009943.5, ENSPTRG00000009941.6, ENSPTRG00000009940.5
OG0001205	Nana04204-RA	ENSPTRG00000017171.3, ENSPTRG00000030979.3, ENSPTRG00000049304.1, ENSPTRG00000050975.1
OG0001206	Nana23668-RA	ENSPTRG00000045480.1, ENSPTRG00000011443.5
OG0001207	Nana23665-RA	ENSPTRG00000011445.4, ENSPTRG00000047750.1
OG0001208	Nana23661-RA	ENSPTRG00000044768.1, ENSPTRG00000011448.7
OG0001209	Nana20401-RA	ENSPTRG00000015539.6
OG0001209	Nana26008-RA	ENSPTRG00000042614.2, ENSPTRG00000046538.1
OG0001210	Nana23229-RA	ENSPTRG00000009368.7
OG0001210	Nana21774-RA	ENSPTRG00000047422.1, ENSPTRG00000018986.6
OG0001211	Nana20383-RA	ENSPTRG00000015524.5
OG0001211	Nana38623-RA	ENSPTRG00000034182.3
OG0001212	Nana05553-RA	ENSPTRG00000006652.6
OG0001212	Nana15517-RA	ENSPTRG00000013294.5
OG0001213	Nana21939-RA	ENSPTRG00000014685.4
OG0001213	Nana23151-RA	ENSPTRG00000009192.5
OG0001214	Nana20367-RA	ENSPTRG00000042719.1, ENSPTRG00000015509.6
OG0001214	Nana26011-RA	ENSPTRG00000021625.6
OG0001215	Nana15541-RA, Nana03770-RA	ENSPTRG00000015301.5, ENSPTRG00000016722.4
OG0001216	Nana10845-RA	ENSPTRG00000010378.4
OG0001216	Nana14966-RA	ENSPTRG00000001024.7
OG0001217	Nana36799-RA	ENSPTRG00000021437.5
OG0001217	Nana14841-RA, Nana14841-RB	ENSPTRG00000000931.7
OG0001218	Nana11150-RA	ENSPTRG00000039951.2
OG0001218	Nana14667-RA	ENSPTRG00000046978.1
OG0001220	Nana09048-RA, Nana19961-RA	ENSPTRG00000017538.4
OG0001221	Nana19942-RA	ENSPTRG00000045244.1
OG0001221	Nana28210-RA, Nana28207-RA	ENSPTRG00000020192.6
OG0001222	Nana27061-RA	ENSPTRG00000028180.2, ENSPTRG00000005297.5, ENSPTRG00000047156.1
OG0001223	Nana19780-RA, Nana19779-RA	ENSPTRG00000047268.1, ENSPTRG00000002925.7, ENSPTRG00000002926.3
OG0001224	Nana19766-RA	ENSPTRG00000002931.5
OG0001224	Nana19773-RA	ENSPTRG00000052782.1
OG0001225	Nana17767-RA	ENSPTRG00000016296.5
OG0001225	Nana19197-RA	ENSPTRG00000002600.6
OG0001226	Nana14518-RA	ENSPTRG00000000747.6
OG0001226	Nana11831-RA	ENSPTRG00000021099.6
OG0001228	Nana04529-RA	ENSPTRG00000003351.6
OG0001228	Nana14214-RA	ENSPTRG00000018081.7
OG0001229	Nana29222-RA	ENSPTRG00000004787.3
OG0001229	Nana14252-RA	ENSPTRG00000018105.5
OG0001230	Nana23207-RA	ENSPTRG00000052423.1
OG0001231	Nana21842-RA	ENSPTRG00000039535.2, ENSPTRG00000049275.1
OG0001231	Nana23212-RA	ENSPTRG00000009356.4
OG0001232	Nana13918-RA	ENSPTRG00000001846.4
OG0001233	Nana26171-RD, Nana26171-RB	ENSPTRG00000012330.6, ENSPTRG00000048111.1
OG0001234	Nana09157-RA	ENSPTRG00000017510.5
OG0001234	Nana18325-RA	ENSPTRG00000024331.5
OG0001235	Nana01871-RA	ENSPTRG00000018661.4
OG0001235	Nana25887-RA	ENSPTRG00000021696.3
OG0001236	Nana04636-RA	ENSPTRG00000048449.1
OG0001237	Nana25864-RA	ENSPTRG00000021714.6
OG0001237	Nana17582-RA	ENSPTRG00000016177.6
OG0001238	Nana24534-RB, Nana24534-RA, Nana24534-RC	ENSPTRG00000045377.1, ENSPTRG00000010860.5
OG0001239	Nana13340-RA, Nana00674-RE, Nana00674-RB, Nana00674-RA, Nana00674-RD	ENSPTRG00000013761.6
OG0001240	Nana25325-RA	ENSPTRG00000004168.6
OG0001240	Nana18168-RA	ENSPTRG00000016666.6
OG0001241	Nana24942-RA, Nana24944-RA, Nana34596-RA	ENSPTRG00000045893.1, ENSPTRG00000045780.1
OG0001242	Nana25059-RA	ENSPTRG00000005745.6
OG0001243	Nana11472-RA, Nana11473-RA, Nana11471-RA, Nana11470-RA, Nana11469-RA	ENSPTRG00000020838.3
OG0001244	Nana01106-RA	ENSPTRG00000001958.3
OG0001244	Nana05788-RA	ENSPTRG00000006426.3
OG0001245	Nana01114-RA	ENSPTRG00000001968.6
OG0001245	Nana05357-RA	ENSPTRG00000006557.4
OG0001246	Nana10659-RB, Nana10657-RA	ENSPTRG00000052414.1
OG0001246	Nana07907-RA	ENSPTRG00000014884.5
OG0001247	Nana01305-RA	ENSPTRG00000011796.6
OG0001247	Nana05051-RA	ENSPTRG00000006948.7
OG0001248	Nana10734-RA	ENSPTRG00000020445.3, ENSPTRG00000023905.5, ENSPTRG00000011922.4, ENSPTRG00000018528.2
OG0001249	Nana09410-RF, Nana09410-RA	ENSPTRG00000008774.5
OG0001250	Nana36744-RA	ENSPTRG00000021569.5
OG0001250	Nana36743-RA	ENSPTRG00000021582.5
OG0001251	Nana02037-RA	ENSPTRG00000018554.6
OG0001251	Nana09280-RA	ENSPTRG00000010586.4
OG0001252	Nana09088-RB	ENSPTRG00000042790.1
OG0001252	Nana09088-RA, Nana09088-RC	ENSPTRG00000005793.3
OG0001253	Nana03034-RA, Nana22295-RA, Nana03033-RA, Nana03032-RA	ENSPTRG00000051036.1, ENSPTRG00000013077.6
OG0001254	Nana28036-RD, Nana28036-RA, Nana28036-RB, Nana28036-RC	ENSPTRG00000020044.5
OG0001256	Nana07602-RA, Nana07604-RA, Nana07605-RD, Nana07605-RB, Nana07605-RC, Nana07605-RE	ENSPTRG00000034357.3, ENSPTRG00000043301.1
OG0001257	Nana01654-RA	ENSPTRG00000047585.1
OG0001257	Nana05106-RA, Nana05106-RB	ENSPTRG00000006907.5
OG0001258	Nana36049-RA	ENSPTRG00000001387.3
OG0001259	Nana34333-RA	ENSPTRG00000043332.1, ENSPTRG00000049603.1, ENSPTRG00000049700.1, ENSPTRG00000045969.1, ENSPTRG00000044099.1
OG0001260	Nana06434-RA	ENSPTRG00000010286.5
OG0001260	Nana32795-RA, Nana32795-RB, Nana32795-RC	ENSPTRG00000007152.4
OG0001265	Nana36837-RB, Nana36458-RA	ENSPTRG00000023109.5
OG0001265	Nana36843-RA	ENSPTRG00000022599.4
OG0001276	Nana17486-RA, Nana17485-RA	ENSPTRG00000012055.6
OG0001276	Nana19637-RA	ENSPTRG00000002981.5
OG0001277	Nana19671-RA	ENSPTRG00000002970.5, ENSPTRG00000050694.1
OG0001280	Nana37489-RB	ENSPTRG00000023465.3
OG0001280	Nana37488-RA	ENSPTRG00000000112.6
OG0001282	Nana34026-RA	ENSPTRG00000007647.7
OG0001283	Nana02830-RA, Nana02830-RB	ENSPTRG00000011989.6
OG0001283	Nana36123-RB, Nana36123-RA	ENSPTRG00000003915.7
OG0001284	Nana28455-RA, Nana17390-RA	ENSPTRG00000020151.3, ENSPTRG00000049550.1
OG0001285	Nana02396-RA	ENSPTRG00000018299.6
OG0001286	Nana30932-RA	ENSPTRG00000023510.5
OG0001287	Nana01614-RA	ENSPTRG00000002083.7
OG0001287	Nana30927-RC	ENSPTRG00000033697.2
OG0001288	Nana37152-RA	ENSPTRG00000000063.7
OG0001288	Nana21032-RA	ENSPTRG00000015732.4
OG0001289	Nana31807-RA	ENSPTRG00000043071.1
OG0001290	Nana12855-RB, Nana12855-RA	ENSPTRG00000039184.2
OG0001291	Nana35544-RA	ENSPTRG00000014178.5
OG0001291	Nana00650-RA	ENSPTRG00000008814.5
OG0001292	Nana11849-RA	ENSPTRG00000017205.4
OG0001293	Nana29173-RA	ENSPTRG00000002310.4
OG0001293	Nana08573-RA	ENSPTRG00000014971.7
OG0001294	Nana38284-RC, Nana38284-RE, Nana38284-RD, Nana38284-RA, Nana38284-RB, Nana38284-RF, Nana23832-RA	ENSPTRG00000008013.6
OG0001295	Nana21417-RA	ENSPTRG00000002371.6
OG0001295	Nana03435-RA	ENSPTRG00000012624.6
OG0001296	Nana23590-RA	ENSPTRG00000011294.5
OG0001297	Nana04431-RA	ENSPTRG00000003400.5
OG0001298	Nana13176-RA, Nana13164-RA	ENSPTRG00000013552.5, ENSPTRG00000044911.1
OG0001299	Nana23701-RB, Nana23701-RA	ENSPTRG00000011241.6
OG0001300	Nana33421-RA	ENSPTRG00000007169.6
OG0001300	Nana12214-RA	ENSPTRG00000016998.5
OG0001301	Nana17269-RA	ENSPTRG00000013182.4
OG0001301	Nana19543-RA	ENSPTRG00000003027.5
OG0001302	Nana06773-RA	ENSPTRG00000010234.6
OG0001303	Nana37264-RA	ENSPTRG00000000206.4
OG0001303	Nana24062-RA	ENSPTRG00000008736.6
OG0001304	Nana20881-RA	ENSPTRG00000051786.1
OG0001305	Nana08883-RA	ENSPTRG00000017272.6
OG0001305	Nana18780-RA	ENSPTRG00000016572.6
OG0001306	Nana18841-RB	ENSPTRG00000002529.6
OG0001306	Nana28290-RA	ENSPTRG00000020069.6
OG0001307	Nana18782-RA	ENSPTRG00000016574.7
OG0001308	Nana08014-RA	ENSPTRG00000015071.5
OG0001308	Nana29611-RA	ENSPTRG00000019631.4
OG0001309	Nana30321-RB, Nana30321-RA, Nana29315-RA, Nana03607-RA, Nana29312-RA, Nana29314-RA	ENSPTRG00000019570.4, ENSPTRG00000043312.1
OG0001310	Nana30987-RH, Nana30987-RG, Nana30987-RB, Nana30987-RE, Nana30987-RF, Nana30987-RA, Nana30987-RC, Nana30987-RD	ENSPTRG00000008182.6
OG0001311	Nana28786-RA	ENSPTRG00000004394.5
OG0001311	Nana30632-RA	ENSPTRG00000011042.5
OG0001312	Nana01015-RA	ENSPTRG00000011887.4
OG0001312	Nana05814-RA	ENSPTRG00000006409.6
OG0001313	Nana26638-RA	ENSPTRG00000005832.6
OG0001314	Nana37502-RA	ENSPTRG00000000114.6
OG0001315	Nana02711-RA	ENSPTRG00000017526.6
OG0001316	Nana24317-RA	ENSPTRG00000008726.6
OG0001316	Nana20190-RA	ENSPTRG00000013092.7
OG0001317	Nana00613-RA	ENSPTRG00000019272.5
OG0001317	Nana23887-RA	ENSPTRG00000008017.5
OG0001318	Nana01932-RB, Nana01932-RE, Nana01932-RA, Nana01932-RC, Nana01932-RD	ENSPTRG00000049886.1, ENSPTRG00000018635.7
OG0001319	Nana00611-RA	ENSPTRG00000050345.1, ENSPTRG00000019277.6
