Orthogroup	N_naja.pep	P_Mucros.pep
OG0000852	Nana21466-RA	XP_015666688.1
OG0000853	Nana35120-RA	XP_015677444.1
OG0000853	Nana00568-RA	XP_015671014.1
OG0000854	"Nana32751-RK, Nana32751-RF, Nana32751-RC, Nana32751-RE, Nana32751-RG, Nana32751-RH, Nana32751-RA, Nana32751-RO, Nana32751-RP, Nana32751-RI, Nana32751-RB, Nana32751-RD"	XP_015666512.1
OG0000855	Nana34968-RA	XP_015672927.1
OG0000856	Nana33675-RA	"XP_015673738.1, XP_015673737.1"
OG0000857	"Nana03487-RB, Nana03487-RA"	XP_015679929.1
OG0000857	Nana22652-RA	XP_029140012.1
OG0000858	Nana27663-RB	"XP_015682699.1, XP_015682700.1"
OG0000858	"Nana23567-RA, Nana23567-RB"	"XP_015665762.1, XP_015680654.1"
OG0000859	"Nana30607-RA, Nana30607-RD, Nana30607-RC, Nana30607-RE, Nana30607-RB"	XP_029141869.1
OG0000860	"Nana30285-RB, Nana30285-RA"	XP_015672082.1
OG0000861	Nana15202-RA	"XP_015666752.1, XP_015666753.1"
OG0000861	"Nana15201-RA, Nana15201-RC, Nana15201-RB"	XP_015666754.2
OG0000862	Nana07719-RA	XP_029142192.1
OG0000863	"Nana16290-RA, Nana16290-RB"	XP_015673545.1
OG0000863	Nana13622-RA	XP_015673608.1
OG0000864	"Nana25961-RB, Nana25961-RA"	XP_015675451.1
OG0000865	Nana00964-RA	XP_029142082.1
OG0000865	Nana05685-RA	"XP_015680166.1, XP_015680167.1"
OG0000866	Nana04076-RA	"XP_015676033.1, XP_015676032.1"
OG0000867	Nana14934-RA	XP_015675734.1
OG0000867	Nana11808-RA	XP_015678506.1
OG0000868	"Nana08290-RB, Nana08290-RA"	XP_015679050.1
OG0000868	"Nana27377-RC, Nana27377-RB"	XP_015679359.1
OG0000869	"Nana13016-RD, Nana13016-RC, Nana13016-RF, Nana13016-RE, Nana13016-RB"	"XP_015680958.1, XP_015680960.1"
OG0000870	"Nana00653-RA, Nana20180-RA"	XP_029139772.1
OG0000870	Nana26162-RA	XP_015672979.1
OG0000871	"Nana03071-RA, Nana39736-RA"	"XP_015686562.1, XP_015686556.1"
OG0000871	Nana22531-RA	XP_015668283.1
OG0000872	"Nana04866-RA, Nana04866-RB"	"XP_015682531.1, XP_029142204.1"
OG0000872	Nana27344-RA	XP_015668313.1
OG0000873	Nana04116-RA	XP_029140928.1
OG0000873	"Nana04117-RA, Nana04117-RB"	XP_015686054.1
OG0000874	Nana27234-RA	XP_015669078.1
OG0000875	"Nana20003-RE, Nana20003-RC, Nana20003-RF, Nana20003-RD, Nana20003-RG, Nana20003-RA, Nana20003-RB"	"XP_015669213.1, XP_015685449.1"
OG0000876	"Nana27140-RB, Nana27140-RA"	"XP_015669919.1, XP_015669920.1"
OG0000876	Nana09618-RA	XP_015680644.1
OG0000877	"Nana08516-RA, Nana08516-RB"	XP_015671335.1
OG0000877	"Nana27042-RA, Nana27041-RA"	"XP_015666460.1, XP_015666459.1"
OG0000878	Nana14410-RA	XP_015666806.1
OG0000878	Nana12306-RA	XP_015674237.1
OG0000879	Nana14510-RA	XP_015666386.1
OG0000879	"Nana10802-RB, Nana10802-RA"	XP_015682975.1
OG0000880	"Nana18024-RC, Nana18024-RB"	XP_015677780.1
OG0000880	Nana26622-RA	XP_015666555.1
OG0000881	"Nana10284-RC, Nana10284-RB, Nana10284-RA"	XP_015678838.1
OG0000881	"Nana23196-RC, Nana23196-RB"	XP_015665924.1
OG0000882	Nana23243-RA	XP_015665907.1
OG0000882	"Nana03644-RB, Nana03644-RA"	XP_015669600.1
OG0000883	"Nana23312-RB, Nana23312-RC, Nana23312-RA"	"XP_029138843.1, XP_015665676.1"
OG0000884	"Nana33771-RA, Nana32046-RA"	XP_029138935.1
OG0000885	Nana32716-RB	XP_015687919.1
OG0000885	Nana25912-RA	XP_015687059.1
OG0000886	Nana29232-RA	"XP_015687935.2, XP_015685503.1"
OG0000887	"Nana08338-RA, Nana08338-RB"	XP_015680288.1
OG0000887	Nana29348-RA	XP_015666205.1
OG0000888	Nana32237-RA	XP_015680212.2
OG0000888	Nana24486-RA	XP_015670348.1
OG0000889	Nana24557-RA	"XP_015672411.1, XP_029140155.1"
OG0000890	Nana24931-RA	XP_015671361.1
OG0000891	Nana17951-RA	XP_015671932.1
OG0000891	Nana25008-RA	"XP_015671671.1, XP_015671670.1"
OG0000892	Nana11867-RA	XP_015666615.1
OG0000892	"Nana06524-RB, Nana06524-RA, Nana06524-RC"	"XP_015682470.1, XP_029142189.1"
OG0000893	Nana05244-RA	XP_015677568.1
OG0000893	Nana05243-RA	XP_015675370.1
OG0000894	Nana08399-RA	XP_015680872.1
OG0000894	Nana10717-RA	XP_015667727.1
OG0000895	Nana10166-RA	XP_015669428.1
OG0000895	"Nana03764-RB, Nana03764-RA"	XP_029139566.1
OG0000895	Nana10164-RA	XP_029140681.1
OG0000896	"Nana09627-RA, Nana09627-RC, Nana09627-RB"	XP_015680637.1
OG0000896	Nana09628-RA	XP_015679642.1
OG0000897	Nana03195-RA	"XP_015676292.1, XP_029140847.1, XP_015676291.1"
OG0000898	Nana07821-RA	XP_015681476.1
OG0000899	Nana07613-RA	"XP_015685100.1, XP_015679603.1"
OG0000901	Nana00632-RA	XP_015670329.1
OG0000903	Nana24095-RA	"XP_015681722.1, XP_015685319.1, XP_015681712.2, XP_015681715.2, XP_015684692.2, XP_015681716.2, XP_015684693.2, XP_015684694.2, XP_015681717.2, XP_015681718.1, XP_015681719.2, XP_015684691.1, XP_015681714.1, XP_015681720.1, XP_015684690.2, XP_015681713.2"
OG0000916	Nana34256-RA	XP_015676261.1
OG0000917	"Nana32075-RA, Nana10964-RA"	XP_029140955.1
OG0000917	Nana32077-RA	XP_015674116.1
OG0000918	"Nana36349-RB, Nana36349-RA"	XP_015683072.1
OG0000919	Nana26104-RA	"XP_015679179.2, XP_015670409.1, XP_015670410.1"
OG0000920	Nana08234-RA	XP_015678959.1
OG0000921	Nana29880-RA	XP_015669181.1
OG0000921	Nana02074-RA	XP_015682558.1
OG0000923	Nana36283-RA	"XP_015677525.1, XP_015677526.1"
OG0000923	Nana36281-RA	XP_015677535.1
OG0000924	"Nana25946-RA, Nana32251-RA"	XP_015682036.1
OG0000925	"Nana03218-RB, Nana03218-RA"	XP_015668525.1
OG0000925	Nana10088-RA	XP_015675307.1
OG0000926	Nana00505-RA	XP_015681759.1
OG0000926	Nana34824-RB	"XP_029139874.1, XP_029139875.1"
OG0000927	Nana00162-RA	"XP_015683385.1, XP_015685077.1"
OG0000927	Nana35301-RA	XP_029142538.1
OG0000928	Nana02698-RA	"XP_015674169.1, XP_015674170.1"
OG0000928	Nana02698-RB	XP_015686491.1
OG0000928	Nana17456-RA	XP_015682831.1
OG0000929	Nana20053-RA	XP_015674372.1
OG0000929	Nana32372-RA	"XP_015686490.1, XP_015683467.1"
OG0000930	"Nana11056-RA, Nana18302-RA"	XP_015683486.1
OG0000931	Nana32656-RA	XP_015687936.1
OG0000931	Nana02116-RA	XP_015676605.1
OG0000932	Nana21443-RA	XP_015670758.1
OG0000932	Nana03176-RA	XP_015679509.1
OG0000933	"Nana10473-RA, Nana10473-RB"	XP_015686498.1
OG0000933	Nana10477-RA	XP_015684541.1
OG0000934	Nana35806-RA	XP_015685740.1
OG0000934	Nana35807-RA	XP_015680826.1
OG0000935	Nana23833-RA	XP_015685166.1
OG0000935	"Nana00569-RB, Nana00569-RA"	XP_015685108.1
OG0000936	Nana35512-RC	XP_015684334.1
OG0000936	Nana23829-RA	"XP_015682358.1, XP_015681458.1"
OG0000937	Nana23598-RA	"XP_015665720.1, XP_015683348.1"
OG0000937	Nana04354-RA	XP_015682817.1
OG0000938	"Nana35609-RB, Nana35609-RA, Nana35609-RC"	XP_015672140.1
OG0000938	Nana06117-RA	XP_015665492.1
OG0000939	Nana35445-RA	XP_015683823.1
OG0000939	Nana00351-RA	XP_015667720.1
OG0000940	Nana23420-RA	XP_029139470.1
OG0000940	Nana23425-RA	XP_015668994.1
OG0000940	Nana11437-RA	XP_015668996.1
OG0000942	"Nana10644-RB, Nana10644-RA"	XP_015670610.1
OG0000943	"Nana11925-RA, Nana28213-RA"	XP_015673447.1
OG0000943	Nana19943-RA	XP_015671775.1
OG0000944	Nana11131-RA	XP_015670836.1
OG0000944	Nana11127-RA	XP_015670835.1
OG0000945	Nana11193-RA	XP_015669308.1
OG0000945	Nana32895-RA	XP_015671820.1
OG0000946	"Nana15017-RB, Nana15017-RA"	"XP_015683712.2, XP_015683529.1, XP_029142120.1, XP_029142225.1"
OG0000947	Nana39735-RA	XP_015682403.1
OG0000947	"Nana32892-RB, Nana32892-RA"	"XP_029140037.1, XP_015671859.1"
OG0000948	Nana25481-RA	XP_029142671.1
OG0000948	Nana20001-RB	XP_029141653.1
OG0000949	"Nana35853-RG, Nana35853-RD, Nana35853-RF, Nana35853-RH, Nana35853-RE, Nana35853-RC, Nana35853-RB, Nana35853-RI, Nana35853-RA, Nana35853-RJ"	"XP_015677859.1, XP_029141177.1"
OG0000951	Nana21794-RA	XP_015666069.1
OG0000952	Nana15847-RA	"XP_015670172.1, XP_015670171.1"
OG0000952	Nana15847-RB	XP_029140952.1
OG0000953	Nana27986-RA	XP_015666588.1
OG0000953	Nana17566-RA	XP_015674101.1
OG0000954	"Nana13544-RA, Nana13544-RB"	XP_015687566.1
OG0000954	Nana16106-RA	XP_015669761.2
OG0000956	"Nana16444-RA, Nana01955-RA"	"XP_015674597.1, XP_015674596.1, XP_015670384.1"
OG0000957	Nana23642-RA	"XP_015672215.1, XP_015665817.1"
OG0000957	Nana09845-RA	XP_015672448.1
OG0000958	Nana33323-RA	XP_015683178.1
OG0000958	Nana12108-RA	XP_015688043.1
OG0000959	Nana06354-RA	XP_015680125.1
OG0000961	Nana02083-RA	XP_015671118.1
OG0000961	Nana30161-RA	XP_015670658.1
OG0000962	Nana24253-RA	"XP_015677722.1, XP_015677721.2"
OG0000962	Nana13556-RA	XP_015676694.1
OG0000963	"Nana13562-RA, Nana15842-RA"	XP_015680911.1
OG0000963	Nana15842-RB	XP_015676004.1
OG0000964	Nana10109-RA	XP_015677399.1
OG0000965	Nana15141-RA	XP_015668614.1
OG0000965	Nana15272-RA	XP_015687495.1
OG0000966	Nana18931-RA	XP_015675944.1
OG0000966	"Nana28412-RA, Nana28412-RB"	XP_015675243.1
OG0000967	Nana12193-RA	XP_015675637.1
OG0000968	"Nana03421-RB, Nana03421-RC, Nana03421-RA"	XP_015667350.1
OG0000969	Nana31830-RA	XP_015666928.1
OG0000969	Nana15724-RA	XP_015667000.1
OG0000970	"Nana06189-RA, Nana06189-RB"	XP_015665510.1
OG0000970	Nana14454-RA	XP_015668050.1
OG0000971	Nana18438-RA	XP_029142782.1
OG0000971	Nana19564-RA	XP_015669715.1
OG0000972	"Nana34630-RB, Nana34630-RE, Nana34630-RD, Nana34630-RL, Nana34630-RM, Nana34630-RI, Nana34630-RK, Nana34630-RH, Nana34630-RJ, Nana34630-RF, Nana34630-RG"	XP_015667448.1
OG0000973	"Nana21130-RB, Nana21130-RA"	XP_029139630.1
OG0000973	Nana21136-RA	XP_029139629.1
OG0000974	Nana10496-RA	XP_015682635.1
OG0000974	Nana27513-RA	XP_015679226.1
OG0000975	Nana09271-RA	"XP_015673801.1, XP_015673800.1"
OG0000975	Nana14870-RA	XP_029140536.1
OG0000976	Nana09324-RA	XP_015678263.1
OG0000977	Nana03574-RA	XP_015675803.1
OG0000977	"Nana10156-RA, Nana10156-RB"	XP_015670230.1
OG0000979	Nana03478-RA	XP_015679122.1
OG0000979	Nana10180-RA	XP_015676648.1
OG0000980	Nana37451-RA	XP_015682840.1
OG0000980	"Nana34751-RB, Nana34751-RA"	XP_015670924.1
OG0000981	Nana13676-RA	XP_015681151.1
OG0000981	Nana17008-RA	XP_015686633.1
OG0000982	Nana04620-RA	XP_015680763.1
OG0000983	Nana31959-RA	"XP_029138941.1, XP_029138942.1"
OG0000984	"Nana31055-RI, Nana31055-RB, Nana31055-RC, Nana31055-RF, Nana31055-RH, Nana31055-RG, Nana31055-RD"	XP_015667572.1
OG0000985	"Nana32677-RF, Nana32677-RE, Nana32677-RA, Nana32677-RB, Nana32677-RD, Nana32677-RC, Nana32677-RG, Nana32677-RI, Nana32677-RH"	XP_015687897.1
OG0000986	"Nana35169-RA, Nana35169-RB"	XP_029141108.1
OG0000987	"Nana33874-RC, Nana33874-RB, Nana33874-RA"	XP_015677134.1
OG0000987	Nana33874-RD	XP_015677137.1
OG0000988	Nana21738-RA	XP_015666298.1
OG0000988	Nana10414-RA	XP_015673133.1
OG0000989	Nana15369-RA	XP_015685925.1
OG0000989	"Nana34973-RA, Nana34973-RB"	XP_015672957.1
OG0000990	"Nana04088-RC, Nana04088-RA, Nana04088-RB"	XP_015680500.1
OG0000991	Nana16540-RA	"XP_015679153.1, XP_015686335.1"
OG0000991	Nana16537-RA	XP_015679151.1
OG0000992	Nana00466-RA	XP_015682393.1
OG0000992	"Nana35015-RB, Nana35015-RA"	XP_015681813.1
OG0000993	Nana18511-RA	XP_015678352.1
OG0000994	Nana06367-RA	XP_029142338.1
OG0000994	"Nana06364-RD, Nana06364-RC, Nana06364-RE"	XP_029142602.1
OG0000995	Nana18514-RA	"XP_015683244.2, XP_015682322.2"
OG0000995	Nana25707-RB	XP_015670963.1
OG0000996	"Nana02019-RA, Nana16383-RA, Nana16382-RA"	"XP_015674897.1, XP_015678847.1"
OG0000997	"Nana07703-RE, Nana07703-RG, Nana07703-RA, Nana07703-RD, Nana07703-RB, Nana07703-RF"	XP_015677927.1
OG0000998	"Nana23761-RA, Nana37751-RA"	"XP_015675752.1, XP_029138904.1"
OG0000998	Nana00031-RA	"XP_015684160.1, XP_015685600.1"
OG0000999	Nana05827-RA	"XP_015679314.1, XP_015679315.1, XP_015679313.1"
OG0000999	Nana01337-RA	XP_015675112.1
OG0001000	Nana17887-RA	XP_015679384.1
OG0001001	"Nana31949-RA, Nana31949-RB"	XP_015668208.1
OG0001002	Nana33120-RA	"XP_015682763.1, XP_015682762.1"
OG0001003	"Nana35984-RA, Nana35984-RB"	XP_015681740.1
OG0001003	"Nana02738-RB, Nana02738-RA"	XP_015687197.1
OG0001004	Nana16079-RA	XP_015672241.1
OG0001004	Nana13525-RA	"XP_015685912.1, XP_015679455.1"
OG0001005	Nana03529-RH	"XP_015670215.1, XP_015670212.1, XP_015670213.1, XP_015670214.1"
OG0001006	Nana34747-RA	XP_015670922.1
OG0001006	Nana00401-RA	XP_015678291.1
OG0001007	Nana23078-RA	XP_015687762.1
OG0001007	Nana21981-RA	XP_015667191.1
OG0001008	Nana14964-RA	"XP_029142437.1, XP_029142423.1"
OG0001008	Nana36888-RA	XP_029141110.1
OG0001009	Nana10915-RA	XP_015671077.2
OG0001009	Nana10916-RA	"XP_029142695.1, XP_015684215.1"
OG0001010	"Nana03540-RC, Nana03540-RB"	XP_029140788.1
OG0001010	Nana22638-RA	XP_015684686.1
OG0001011	Nana03696-RA	XP_015674053.1
OG0001011	Nana21227-RA	"XP_015688037.1, XP_029138784.1"
OG0001012	"Nana35297-RE, Nana35297-RG, Nana35297-RD, Nana35297-RH, Nana35297-RF, Nana35297-RA, Nana35297-RI, Nana35297-RB, Nana35297-RC"	XP_029142536.1
OG0001013	Nana21240-RA	XP_015688012.1
OG0001013	"Nana03705-RB, Nana03705-RA"	"XP_015675769.1, XP_015675768.1"
OG0001014	Nana21249-RA	"XP_029141755.1, XP_029138785.1"
OG0001014	"Nana21247-RB, Nana21247-RA, Nana37769-RA, Nana37764-RA"	XP_015680887.1
OG0001015	"Nana08932-RA, Nana08932-RB"	XP_015679697.1
OG0001015	Nana11187-RA	XP_015669312.1
OG0001016	Nana02744-RA	XP_015669029.2
OG0001016	Nana05981-RA	XP_015674493.1
OG0001017	"Nana36354-RH, Nana36354-RC, Nana36354-RA, Nana36354-RB"	XP_015683061.1
OG0001018	Nana29751-RA	XP_029139118.1
OG0001018	Nana02226-RA	"XP_029141827.1, XP_015681002.1"
OG0001019	Nana21564-RA	XP_015667052.1
OG0001019	Nana22904-RA	XP_015670248.1
OG0001020	Nana08303-RA	XP_015687035.1
OG0001021	Nana06207-RA	XP_015665427.1
OG0001022	"Nana33051-RA, Nana33051-RB"	XP_015684827.1
OG0001022	Nana12197-RA	XP_015675625.1
OG0001023	Nana16305-RA	"XP_015681240.1, XP_015678190.1, XP_015678188.1"
OG0001024	"Nana04909-RC, Nana04909-RB, Nana04909-RA"	XP_029141098.1
OG0001025	"Nana32008-RA, Nana32009-RA"	XP_015675673.1
OG0001025	Nana26260-RA	XP_015667302.1
OG0001026	Nana33446-RA	XP_015677848.1
OG0001026	Nana12061-RA	"XP_015668173.1, XP_015668174.1"
OG0001027	"Nana10208-RB, Nana10208-RC, Nana10208-RA"	XP_015676040.1
OG0001028	Nana25992-RA	XP_015676794.1
OG0001028	Nana20627-RA	XP_015680354.1
OG0001029	Nana23672-RA	XP_015666418.1
OG0001029	Nana23613-RA	XP_015665713.1
OG0001030	Nana04340-RA	XP_029142550.1
OG0001030	Nana23610-RA	"XP_029138846.1, XP_015665716.1"
OG0001031	Nana03016-RA	XP_015679702.1
OG0001031	Nana21686-RA	XP_015667321.1
OG0001032	Nana38021-RA	"XP_015679147.1, XP_015666430.1"
OG0001033	Nana23662-RA	"XP_015665808.1, XP_015665807.1"
OG0001034	Nana27516-RA	XP_015677113.1
OG0001035	"Nana20366-RB, Nana20366-RA"	XP_015668440.1
OG0001036	Nana14924-RA	XP_015684705.1
OG0001036	Nana36848-RA	XP_015675828.1
OG0001036	Nana36846-RA	XP_029141247.1
OG0001037	"Nana22462-RA, Nana22462-RB"	XP_015668550.1
OG0001037	"Nana03803-RA, Nana03803-RB"	XP_015683227.1
OG0001038	Nana27358-RA	XP_015668326.1
OG0001038	"Nana04862-RB, Nana04862-RA"	XP_015674932.2
OG0001039	Nana11390-RA	XP_015683029.1
OG0001039	Nana14880-RA	XP_015673358.1
OG0001040	Nana14654-RA	"XP_015671022.1, XP_015671021.1"
OG0001041	Nana27138-RA	XP_015669935.1
OG0001041	Nana09735-RA	XP_015670817.1
OG0001042	Nana27137-RA	XP_015669929.1
OG0001042	Nana04002-RA	XP_015670676.2
OG0001043	Nana29707-RA	XP_015669522.1
OG0001043	Nana08576-RA	XP_015669606.1
OG0001044	"Nana23308-RB, Nana23308-RA"	XP_015665701.1
OG0001044	"Nana04276-RD, Nana04276-RA, Nana04276-RC, Nana04276-RB"	"XP_015672416.1, XP_015672417.1, XP_015672418.1"
OG0001045	"Nana13857-RG, Nana13857-RF, Nana13857-RA, Nana13857-RC, Nana13857-RB, Nana13857-RD"	"XP_015671043.1, XP_015671044.1, XP_015671042.1"
OG0001046	Nana13978-RA	XP_015675422.1
OG0001046	Nana29272-RA	"XP_015684757.1, XP_015683137.1"
OG0001047	Nana08166-RA	"XP_015678069.1, XP_029141235.1, XP_029141236.1"
OG0001048	Nana08623-RA	XP_015680242.1
OG0001048	"Nana29246-RA, Nana29246-RB"	XP_015679503.1
OG0001049	"Nana24445-RB, Nana24445-RC, Nana24445-RA, Nana24445-RD"	"XP_015670387.1, XP_015670389.1, XP_015670390.1"
OG0001050	Nana24548-RA	"XP_015685680.1, XP_015677409.1"
OG0001051	Nana25343-RB	XP_015680367.1
OG0001051	Nana25342-RA	XP_015680366.1
OG0001052	Nana01829-RA	XP_015681368.1
OG0001053	Nana11402-RA	XP_015674694.1
OG0001053	"Nana06106-RC, Nana06106-RD, Nana06106-RB, Nana06106-RA"	XP_015665487.1
OG0001054	Nana05790-RA	XP_015681829.1
OG0001055	Nana10297-RA	XP_015672626.1
OG0001055	Nana03259-RA	"XP_015685819.1, XP_015673416.1, XP_015673415.1"
OG0001056	"Nana05549-RA, Nana05549-RB, Nana05549-RC, Nana05549-RE, Nana05549-RD"	XP_015682226.1
OG0001056	"Nana05549-RF, Nana05549-RG"	XP_015682248.1
OG0001057	"Nana05515-RA, Nana05518-RA"	XP_015680387.1
OG0001057	Nana00987-RA	XP_015671890.1
OG0001058	Nana05486-RA	"XP_015679772.1, XP_015679771.1"
OG0001058	Nana00864-RA	XP_015686796.1
OG0001059	"Nana10025-RB, Nana10025-RA"	XP_015687340.1
OG0001059	Nana03457-RA	XP_015671884.1
OG0001060	"Nana00979-RA, Nana00979-RB"	XP_029140060.1
OG0001060	"Nana00973-RA, Nana00973-RB"	XP_015666773.1
OG0001062	Nana07502-RA	XP_029141171.1
OG0001064	Nana25429-RA	XP_015682189.2
OG0001069	"Nana04037-RA, Nana04042-RA, Nana04041-RA, Nana04044-RC, Nana04044-RA, Nana04044-RD, Nana04044-RB, Nana04047-RB, Nana04047-RA"	XP_015681489.1
OG0001082	"Nana25516-RA, Nana25516-RB"	XP_015670985.1
OG0001083	"Nana19994-RA, Nana19994-RB"	XP_015671682.1
OG0001084	Nana19679-RA	"XP_015671302.1, XP_015685834.1"
OG0001085	Nana14477-RA	XP_029140907.1
OG0001085	Nana14475-RA	XP_029139284.1
OG0001086	Nana15698-RA	"XP_015667005.1, XP_015667004.1"
OG0001086	Nana15671-RA	XP_015666270.1
OG0001087	Nana23790-RA	"XP_015683675.1, XP_015666036.1"
OG0001087	Nana00177-RA	XP_015683986.1
OG0001088	Nana33124-RA	"XP_015686180.1, XP_015679200.1"
OG0001088	Nana36291-RA	XP_015677534.1
OG0001089	Nana12130-RA	XP_029139737.1
OG0001089	Nana33605-RA	XP_015667417.1
OG0001090	Nana11645-RA	XP_015672175.1
OG0001091	Nana02614-RA	XP_015668543.1
OG0001092	Nana30910-RA	XP_015676139.1
OG0001092	Nana05722-RA	XP_015668719.1
OG0001093	"Nana28463-RB, Nana28463-RA"	XP_015682310.1
OG0001094	Nana30964-RA	XP_015684238.1
OG0001094	Nana30884-RA	XP_015676151.1
OG0001095	Nana06232-RA	XP_029139467.1
OG0001095	Nana11381-RA	"XP_015685976.1, XP_015685349.1"
OG0001096	Nana11988-RA	XP_015678557.1
OG0001097	Nana34606-RA	XP_015667481.1
OG0001098	Nana36877-RA	"XP_015675489.1, XP_015675490.1"
OG0001100	Nana17654-RA	XP_015687842.1
OG0001100	Nana19114-RA	XP_015677596.1
OG0001101	Nana17797-RA	XP_015683765.1
OG0001101	Nana28158-RA	XP_015671994.1
OG0001102	Nana19402-RA	"XP_015677539.1, XP_015666254.1"
OG0001103	"Nana07736-RA, Nana07736-RB"	"XP_029140941.1, XP_015676745.1, XP_015676744.1, XP_015676746.1"
OG0001104	Nana32769-RA	XP_029138984.1
OG0001105	"Nana25067-RA, Nana32041-RA"	XP_029138936.1
OG0001105	Nana25063-RA	XP_029141377.1
OG0001106	"Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB"	XP_015668992.1
OG0001107	Nana02033-RA	XP_015684579.1
OG0001107	Nana11062-RA	XP_015669520.1
OG0001108	Nana02264-RA	XP_015674551.1
OG0001108	Nana11055-RA	XP_015669523.1
OG0001109	Nana11497-RA	XP_015676240.1
OG0001110	Nana16034-RA	XP_015673732.1
OG0001110	Nana13586-RA	XP_015676565.1
OG0001111	"Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK"	XP_029143091.1
OG0001112	Nana09815-RA	XP_015665851.1
OG0001112	Nana01531-RA	XP_029139187.1
OG0001113	"Nana16336-RA, Nana16336-RB"	"XP_015667850.1, XP_015667851.1"
OG0001114	Nana23976-RA	XP_015670511.1
OG0001115	Nana08407-RA	XP_015673141.1
OG0001115	Nana27500-RA	XP_015669663.1
OG0001116	"Nana31238-RB, Nana31238-RA"	XP_015677197.1
OG0001117	Nana14988-RA	XP_015679380.1
OG0001117	Nana36519-RA	XP_015685803.1
OG0001118	"Nana28094-RA, Nana28094-RB"	XP_015666992.1
OG0001118	Nana02697-RA	XP_015674188.1
OG0001119	Nana02749-RA	XP_029139488.1
OG0001119	"Nana36026-RA, Nana36026-RB"	"XP_015683916.1, XP_015685580.1"
OG0001121	Nana05803-RA	XP_015675380.1
OG0001121	Nana01003-RA	XP_015671901.1
OG0001123	Nana05812-RA	XP_015675386.1
OG0001124	Nana09016-RA	XP_015680337.1
OG0001124	Nana19852-RA	XP_015668919.1
OG0001125	Nana38193-RA	"XP_015682797.2, XP_015686306.1"
OG0001125	Nana38191-RA	XP_015682801.1
OG0001125	Nana27551-RA	XP_015676568.1
OG0001126	Nana23893-RA	XP_015674570.1
OG0001126	Nana33075-RA	XP_029141363.1
OG0001127	Nana29943-RA	XP_015675938.1
OG0001127	Nana29942-RA	XP_015684663.1
OG0001128	"Nana08783-RA, Nana08784-RA"	XP_015675405.1
OG0001129	Nana39302-RA	"XP_029142487.1, XP_015683832.1, XP_015684895.1, XP_015684894.1"
OG0001130	Nana25844-RA	"XP_015669912.1, XP_029139685.1, XP_029139686.1, XP_015669911.1"
OG0001130	Nana32200-RA	XP_029141830.1
OG0001131	Nana23112-RA	XP_029143195.1
OG0001131	Nana22266-RA	XP_015678261.1
OG0001132	Nana00706-RA	XP_029139901.1
OG0001133	Nana28410-RA	"XP_015685862.1, XP_015675240.1"
OG0001133	Nana05995-RA	XP_015665448.2
OG0001134	Nana17929-RA	XP_015681138.1
OG0001134	Nana25656-RA	XP_015672793.1
OG0001135	Nana19597-RA	XP_015672731.1
OG0001135	Nana28386-RA	XP_015680182.2
OG0001136	Nana32118-RA	XP_015687793.1
OG0001136	Nana18002-RA	XP_029140934.1
OG0001137	"Nana08687-RB, Nana08687-RA"	XP_029140765.1
OG0001138	Nana10327-RA	XP_015672611.1
OG0001138	Nana03294-RA	XP_015672533.1
OG0001139	"Nana14742-RB, Nana14742-RA"	XP_015668702.2
OG0001140	"Nana08717-RA, Nana17783-RA"	"XP_015672887.1, XP_029140263.1, XP_015679756.1"
OG0001141	Nana14800-RA	"XP_029141349.1, XP_029141350.1"
OG0001141	Nana09279-RA	XP_015675603.1
OG0001142	Nana30382-RA	XP_015671570.1
OG0001142	Nana28738-RA	XP_015670345.2
OG0001143	Nana12163-RA	XP_015674918.1
OG0001143	Nana09248-RA	XP_015670813.1
OG0001144	Nana17440-RA	XP_015682728.1
OG0001145	Nana27289-RA	XP_015672767.1
OG0001145	"Nana09588-RB, Nana09588-RA"	XP_015673014.1
OG0001146	Nana10405-RA	XP_015674901.1
OG0001147	Nana14264-RA	XP_015668086.1
OG0001148	Nana02545-RA	"XP_015675740.1, XP_015675741.1"
OG0001148	Nana16704-RA	XP_015687354.1
OG0001149	Nana28144-RA	XP_015672026.1
OG0001149	"Nana18911-RA, Nana18911-RB"	XP_015671943.1
OG0001150	Nana36107-RD	XP_015676997.1
OG0001151	Nana32319-RA	XP_029141676.1
OG0001151	Nana26559-RA	XP_029139273.1
OG0001152	Nana19809-RA	XP_015675275.1
OG0001152	Nana28336-RA	XP_029142824.1
OG0001153	Nana35546-RA	XP_015674104.1
OG0001154	Nana33147-RA	XP_015672945.1
OG0001154	"Nana33144-RB, Nana33144-RA"	XP_015679191.2
OG0001155	Nana35470-RA	XP_015678521.1
OG0001155	Nana00088-RA	"XP_029142745.1, XP_029142793.1"
OG0001156	"Nana32668-RB, Nana32668-RA"	XP_015687983.1
OG0001156	Nana20400-RA	XP_029139640.1
OG0001157	Nana33853-RA	XP_015683586.1
OG0001158	Nana33850-RA	XP_015682415.2
OG0001158	Nana09655-RA	XP_015676758.1
OG0001158	Nana27317-RA	XP_015687491.1
OG0001159	Nana16653-RA	XP_029139469.1
OG0001159	Nana13681-RA	XP_015671848.1
OG0001160	Nana10842-RB	"XP_015667011.1, XP_015667012.1"
