Orthogroup	N_naja.pep	H_sapiens.pep
OG0003005	Nana19085-RB, Nana19085-RA	ENSG00000204176.14, ENSG00000288175.1, ENSG00000277758.4
OG0003006	Nana09230-RB, Nana09230-RA	ENSG00000164609.10
OG0003007	Nana30091-RC, Nana30091-RA, Nana30091-RD, Nana30091-RB	ENSG00000158006.14
OG0003008	Nana15792-RA, Nana15792-RB, Nana15792-RC	ENSG00000124783.14
OG0003009	Nana09229-RA	ENSG00000250254.2, ENSG00000164611.13
OG0003010	Nana32490-RA, Nana26082-RA, Nana26083-RA, Nana26084-RA	ENSG00000144218.19
OG0003011	Nana34645-RA	ENSG00000240230.6
OG0003012	Nana34916-RC, Nana34916-RB, Nana34916-RA	ENSG00000128242.13
OG0003013	Nana34907-RA	ENSG00000167065.13, ENSG00000189037.8
OG0003014	Nana17035-RA	ENSG00000105339.10
OG0003015	Nana13304-RB, Nana13304-RA, Nana12930-RA	ENSG00000130589.16
OG0003016	Nana37088-RA	ENSG00000196363.9, ENSG00000196981.4
OG0003017	Nana13312-RA	ENSG00000026036.22, ENSG00000258366.8
OG0003018	Nana03385-RB, Nana03385-RD, Nana03385-RA, Nana03385-RC	ENSG00000163328.13
OG0003019	Nana13320-RC, Nana13320-RB, Nana13320-RA	ENSG00000273154.3, ENSG00000197114.11
OG0003020	Nana11412-RA, Nana11412-RD, Nana11412-RC, Nana11412-RB	ENSG00000136813.14
OG0003021	Nana36818-RA, Nana36818-RB	ENSG00000148343.18
OG0003022	Nana32766-RA, Nana32766-RB, Nana32766-RC, Nana32766-RD	ENSG00000128849.10
OG0003023	Nana02318-RB, Nana02318-RA	ENSG00000119899.13
OG0003024	Nana20924-RB, Nana20924-RC, Nana20924-RA	ENSG00000133657.15
OG0003025	Nana30990-RA, Nana13851-RA	ENSG00000103034.14
OG0003026	Nana37481-RA	ENSG00000187634.12
OG0003027	Nana28140-RC, Nana28140-RD, Nana28140-RE, Nana28140-RF	ENSG00000029534.20
OG0003028	Nana35428-RA	ENSG00000244486.8
OG0003029	Nana28142-RB, Nana28142-RA	ENSG00000083168.11
OG0003030	Nana17173-RB, Nana17173-RA	ENSG00000071894.17, ENSG00000285049.2
OG0003031	Nana11126-RA, Nana11126-RB, Nana11126-RC	ENSG00000276615.2, ENSG00000197993.9
OG0003032	Nana17152-RA	ENSG00000278488.2, ENSG00000147813.16
OG0003033	Nana16604-RA	ENSG00000183808.11
OG0003034	Nana32761-RB, Nana32761-RD, Nana32761-RA, Nana32761-RC	ENSG00000151575.14
OG0003035	Nana39354-RA	ENSG00000164729.7, ENSG00000236396.8, ENSG00000285084.1, ENSG00000177710.5, ENSG00000284515.1, ENSG00000259224.2
OG0003036	Nana32593-RD, Nana32593-RB, Nana32593-RC, Nana32593-RA	ENSG00000198689.11
OG0003037	Nana00727-RB, Nana00727-RC	ENSG00000084710.14
OG0003039	Nana33153-RA	ENSG00000137869.15
OG0003040	Nana33150-RC, Nana33150-RA, Nana33150-RB	ENSG00000081014.11
OG0003041	Nana11120-RA, Nana39722-RA, Nana11119-RA	ENSG00000106144.20
OG0003042	Nana28119-RD, Nana28119-RC, Nana28119-RB, Nana28119-RA	ENSG00000135956.8
OG0003043	Nana16632-RA	ENSG00000156467.9
OG0003044	Nana10410-RA	ENSG00000162722.9, ENSG00000132109.10
OG0003045	Nana06817-RA	ENSG00000224841.9, ENSG00000237825.9, ENSG00000206282.11, ENSG00000237441.10, ENSG00000228736.9
OG0003046	Nana03290-RD, Nana03290-RA, Nana03290-RB, Nana03290-RC	ENSG00000204262.14
OG0003047	Nana39244-RA, Nana39246-RA	ENSG00000170890.14
OG0003048	Nana28879-RB, Nana28879-RC, Nana28879-RA	ENSG00000137720.8
OG0003050	Nana28163-RA	ENSG00000264717.5, ENSG00000288157.1, ENSG00000204174.8
OG0003051	Nana16495-RA, Nana16497-RA	ENSG00000091656.19
OG0003052	Nana37349-RC, Nana37349-RB, Nana37349-RA	ENSG00000008130.15
OG0003053	Nana16360-RA	ENSG00000137575.12
OG0003054	Nana36984-RA, Nana36983-RA	ENSG00000119487.17
OG0003055	Nana26733-RC, Nana26733-RA, Nana26733-RB	ENSG00000213341.11
OG0003056	Nana18064-RB, Nana18064-RA	ENSG00000151470.13
OG0003057	Nana12462-RA	ENSG00000113387.12
OG0003058	Nana30815-RA	ENSG00000125743.10
OG0003059	Nana03834-RA, Nana03834-RD, Nana03834-RB, Nana03834-RC	ENSG00000138375.13
OG0003060	Nana15920-RA, Nana15920-RB	ENSG00000112312.10
OG0003062	Nana33179-RE, Nana33179-RB, Nana33179-RA	ENSG00000104177.18
OG0003063	Nana03691-RA, Nana03694-RA	ENSG00000183840.7
OG0003064	Nana12524-RB, Nana12524-RA	ENSG00000091164.13
OG0003065	Nana28398-RA, Nana28546-RA	ENSG00000158806.14
OG0003066	Nana20991-RA	ENSG00000152492.15
OG0003067	Nana35341-RA	ENSG00000060709.15
OG0003068	Nana16440-RA	ENSG00000067167.8, ENSG00000174599.5
OG0003069	Nana36055-RB, Nana36055-RC, Nana36055-RA	ENSG00000160710.17
OG0003070	Nana00696-RH, Nana00696-RG, Nana00696-RC, Nana00696-RB	ENSG00000084693.16
OG0003071	Nana36764-RA, Nana36764-RB	ENSG00000177239.15
OG0003073	Nana19248-RA, Nana19248-RB	ENSG00000138286.15
OG0003074	Nana16464-RA	ENSG00000147604.14
OG0003075	Nana00433-RA	ENSG00000274523.5
OG0003076	Nana11243-RA, Nana11242-RA, Nana11241-RA, Nana11244-RA, Nana11240-RA	ENSG00000147912.13
OG0003077	Nana11239-RA	ENSG00000141437.9, ENSG00000122696.14
OG0003078	Nana31059-RA, Nana16222-RA	ENSG00000153885.14
OG0003079	Nana18813-RC, Nana18813-RB, Nana18813-RD, Nana18813-RA	ENSG00000176986.16
OG0003080	Nana34866-RB, Nana34670-RA, Nana34670-RB, Nana34866-RA	ENSG00000150977.10
OG0003081	Nana34860-RB, Nana34860-RC, Nana34860-RE, Nana34860-RD	ENSG00000139697.14
OG0003082	Nana27949-RA, Nana27952-RA	ENSG00000197157.11
OG0003083	Nana26650-RB, Nana26650-RA	ENSG00000083635.8
OG0003084	Nana26651-RD, Nana26651-RA, Nana26651-RC, Nana26651-RB	ENSG00000133114.18
OG0003085	Nana37189-RB	ENSG00000116685.16
OG0003086	Nana17497-RB	ENSG00000204843.12, ENSG00000264324.1
OG0003087	Nana26659-RA	ENSG00000133112.16
OG0003088	Nana29813-RA	ENSG00000004455.17
OG0003089	Nana01230-RA	ENSG00000187554.14
OG0003090	Nana31656-RB, Nana31656-RA	ENSG00000103194.15
OG0003091	Nana19703-RA, Nana19702-RA	ENSG00000196865.4
OG0003092	Nana28287-RA, Nana19584-RA	ENSG00000166033.13
OG0003093	Nana15089-RA	ENSG00000157181.16
OG0003094	Nana34829-RA, Nana34828-RA	ENSG00000089041.17
OG0003095	Nana28795-RD, Nana28795-RC, Nana28795-RB, Nana28795-RA	ENSG00000196914.9
OG0003096	Nana21023-RA, Nana04882-RA, Nana04882-RB	ENSG00000175216.15
OG0003097	Nana34617-RA	ENSG00000262246.6, ENSG00000282725.1, ENSG00000278760.4, ENSG00000103426.12
OG0003098	Nana30241-RA, Nana30241-RB	ENSG00000134644.15
OG0003099	Nana35116-RB, Nana35116-RA, Nana35116-RC	ENSG00000111445.14
OG0003100	Nana30246-RA	ENSG00000121766.15
OG0003102	Nana21163-RA, Nana21163-RC, Nana21163-RB, Nana21163-RD	ENSG00000144677.15
OG0003103	Nana18835-RA, Nana18837-RA	ENSG00000183346.7
OG0003104	Nana36028-RA	ENSG00000285816.1, ENSG00000014138.9
OG0003105	Nana30123-RA, Nana30123-RD, Nana30123-RB, Nana30123-RC	ENSG00000060642.10
OG0003106	Nana11977-RA, Nana11976-RA	ENSG00000181191.11, ENSG00000198961.10
OG0003107	Nana11963-RA, Nana11964-RA	ENSG00000129595.13
OG0003109	Nana14108-RA	ENSG00000263513.5, ENSG00000215784.6, ENSG00000188610.12, ENSG00000196550.10
OG0003110	Nana21141-RB, Nana21141-RA	ENSG00000280571.2, ENSG00000244607.7
OG0003111	Nana18113-RA	ENSG00000186867.11
OG0003112	Nana00717-RB, Nana00717-RA	ENSG00000138018.18
OG0003113	Nana34814-RD, Nana34814-RH, Nana34814-RI, Nana34814-RE	ENSG00000139718.10
OG0003114	Nana32404-RA	ENSG00000189134.4, ENSG00000101882.10
OG0003115	Nana11941-RA	ENSG00000157823.17
OG0003116	Nana17145-RA, Nana17145-RB	ENSG00000276657.2, ENSG00000104524.14
OG0003117	Nana23788-RB, Nana23788-RC, Nana23788-RA	ENSG00000169592.15
OG0003118	Nana11921-RA	ENSG00000169570.10
OG0003119	Nana34064-RC, Nana34064-RB, Nana34064-RA	ENSG00000100726.15
OG0003120	Nana34065-RA, Nana34070-RA	ENSG00000187535.14
OG0003121	Nana33679-RA, Nana33679-RB, Nana33679-RD, Nana33679-RC	ENSG00000127586.17
OG0003122	Nana18427-RA	ENSG00000053900.10
OG0003124	Nana08778-RB, Nana08778-RA, Nana08778-RC, Nana08778-RD	ENSG00000155508.13
OG0003125	Nana21237-RA	ENSG00000157219.5
OG0003126	Nana11870-RA	ENSG00000164902.14
OG0003127	Nana15945-RA, Nana15945-RB	ENSG00000267127.7, ENSG00000101546.13
OG0003128	Nana23549-RB, Nana23549-RA, Nana23549-RC	ENSG00000178952.11
OG0003129	Nana23548-RA, Nana37825-RB, Nana37825-RA	ENSG00000168488.18
OG0003130	Nana31220-RB, Nana31220-RA, Nana31220-RD, Nana31220-RC	ENSG00000103066.13
OG0003131	Nana31208-RA, Nana31208-RD, Nana31208-RB, Nana31208-RC	ENSG00000132600.16
OG0003132	Nana21283-RB, Nana21283-RA, Nana39297-RA	ENSG00000107929.15
OG0003133	Nana23533-RB	ENSG00000188603.19, ENSG00000261832.6
OG0003134	Nana15901-RA	ENSG00000172179.12
OG0003135	Nana21304-RA, Nana21304-RB	ENSG00000067082.15
OG0003136	Nana15865-RC, Nana15865-RB, Nana15865-RA	ENSG00000137177.20
OG0003137	Nana15863-RA	ENSG00000124523.16
OG0003138	Nana05977-RA	ENSG00000100442.11
OG0003140	Nana23485-RA	ENSG00000166482.11
OG0003141	Nana09768-RA	ENSG00000282291.1
OG0003142	Nana11152-RA	ENSG00000174780.17
OG0003143	Nana08318-RA, Nana39235-RA	ENSG00000132394.11, ENSG00000284869.2
OG0003144	Nana11148-RA, Nana11148-RB	ENSG00000084093.17
OG0003146	Nana21376-RA	ENSG00000176101.12
OG0003147	Nana33694-RA	ENSG00000196408.11
OG0003148	Nana36555-RC, Nana36555-RB, Nana36555-RA	ENSG00000167112.10
OG0003149	Nana26077-RA	ENSG00000273155.1, ENSG00000185414.20, ENSG00000241962.9
OG0003150	Nana17449-RA, Nana17445-RA	ENSG00000088827.12
OG0003151	Nana25542-RD, Nana25542-RA, Nana25542-RC, Nana25542-RB	ENSG00000077514.9
OG0003152	Nana23682-RA	ENSG00000108107.14
OG0003155	Nana15591-RD, Nana15591-RA, Nana15591-RB, Nana15591-RC	ENSG00000086102.19
OG0003156	Nana32480-RA	ENSG00000197620.11, ENSG00000197021.9
OG0003157	Nana18597-RD, Nana18597-RA, Nana18597-RB, Nana18597-RC	ENSG00000075539.15
OG0003158	Nana01494-RA, Nana01493-RA	ENSG00000281216.1, ENSG00000162849.16
OG0003159	Nana25020-RA, Nana25020-RB	ENSG00000133121.21
OG0003160	Nana11215-RA, Nana11211-RA, Nana11211-RB	ENSG00000136937.13
OG0003161	Nana35584-RA	ENSG00000099956.19, ENSG00000275837.3
OG0003162	Nana18587-RA, Nana18585-RA	ENSG00000184178.16
OG0003163	Nana16327-RB	ENSG00000167904.15
OG0003164	Nana19329-RB, Nana19329-RA, Nana19329-RC, Nana19331-RA	ENSG00000148677.6
OG0003165	Nana21496-RB, Nana21496-RC, Nana21496-RA	ENSG00000241058.4
OG0003166	Nana33060-RA	ENSG00000156222.12, ENSG00000137860.12
OG0003167	Nana21480-RA, Nana21481-RA, Nana16008-RA	ENSG00000107611.16
OG0003168	Nana21465-RA	ENSG00000005469.11
OG0003169	Nana19396-RC, Nana19396-RA, Nana19396-RB	ENSG00000138160.6
OG0003170	Nana17704-RA, Nana17706-RA	ENSG00000170502.13
OG0003171	Nana33765-RA	ENSG00000103353.16
OG0003172	Nana15264-RD, Nana15264-RC, Nana15264-RB	ENSG00000117593.12
OG0003173	Nana13143-RA, Nana13143-RC, Nana13143-RB	ENSG00000064601.18
OG0003174	Nana24354-RB, Nana39904-RA, Nana24354-RA	ENSG00000146834.14
OG0003175	Nana13138-RB, Nana13138-RA, Nana13138-RC	ENSG00000100979.15
OG0003176	Nana09398-RA, Nana09397-RA	ENSG00000176845.13, ENSG00000275031.2
OG0003177	Nana35640-RB, Nana35640-RA	ENSG00000173599.15
OG0003178	Nana17761-RA	ENSG00000122375.12
OG0003179	Nana20652-RB, Nana20652-RA	ENSG00000121879.5
OG0003180	Nana05921-RA, Nana05921-RC	ENSG00000198252.12
OG0003181	Nana30785-RA	ENSG00000269547.1, ENSG00000282835.1, ENSG00000104835.14, ENSG00000283104.1
OG0003182	Nana35811-RA, Nana35811-RC	ENSG00000149806.11
OG0003183	Nana19082-RA, Nana19082-RB	ENSG00000266412.5
OG0003184	Nana15257-RA	ENSG00000116161.18
OG0003185	Nana27827-RA	ENSG00000134452.19
OG0003186	Nana21438-RA	ENSG00000001630.17
OG0003187	Nana34699-RA, Nana23784-RA	ENSG00000128203.7
OG0003188	Nana09935-RA, Nana09935-RB	ENSG00000135404.11
OG0003189	Nana27975-RC, Nana27975-RA, Nana27975-RB	ENSG00000108021.20
OG0003190	Nana21435-RB, Nana21435-RA	ENSG00000001629.10
OG0003192	Nana34762-RB, Nana34762-RA	ENSG00000089022.14
OG0003193	Nana00532-RA	ENSG00000127948.16
OG0003194	Nana23652-RB	ENSG00000142227.11
OG0003195	Nana21429-RA, Nana21429-RB, Nana21427-RA	ENSG00000034239.11
OG0003196	Nana23648-RA	ENSG00000179820.16
OG0003197	Nana31080-RB, Nana31080-RA, Nana31080-RC	ENSG00000090857.13
OG0003198	Nana04164-RB, Nana04164-RC, Nana04164-RD, Nana04164-RA	ENSG00000167986.14
OG0003199	Nana16684-RC, Nana16684-RB, Nana16684-RA, Nana16684-RD	ENSG00000186106.11
OG0003200	Nana04957-RA	ENSG00000100650.16
OG0003202	Nana31081-RA, Nana31081-RC, Nana31081-RD, Nana31081-RB	ENSG00000090863.11
OG0003203	Nana16679-RA, Nana16679-RB	ENSG00000104450.12
OG0003204	Nana16678-RB, Nana16678-RA	ENSG00000147669.11
OG0003205	Nana20635-RA, Nana20631-RA, Nana20633-RA	ENSG00000177694.16
OG0003206	Nana27647-RA, Nana27644-RA, Nana27644-RB, Nana27644-RC, Nana27642-RA	ENSG00000111731.12
OG0003207	Nana13246-RA, Nana16274-RA	ENSG00000101746.15
OG0003208	Nana00498-RB, Nana00498-RA	ENSG00000108559.12
OG0003209	Nana09898-RA	ENSG00000205323.9
OG0003210	Nana33926-RB, Nana33926-RC, Nana33926-RD, Nana33926-RA	ENSG00000033011.12
OG0003211	Nana05703-RA	ENSG00000089902.10
OG0003213	Nana34337-RB	ENSG00000106244.13
OG0003214	Nana16251-RC, Nana16251-RA, Nana16251-RB	ENSG00000153339.14
OG0003215	Nana15283-RA	ENSG00000010165.20
OG0003216	Nana23625-RB, Nana23625-RA	ENSG00000125503.13
OG0003217	Nana00972-RB, Nana00972-RA	ENSG00000179364.13
OG0003218	Nana35168-RA, Nana35168-RB, Nana35168-RC	ENSG00000100075.10
OG0003220	Nana15294-RA	ENSG00000007933.13
OG0003221	Nana10462-RD, Nana10462-RA, Nana10462-RC, Nana10462-RB	ENSG00000089639.11
OG0003222	Nana21656-RA	ENSG00000070669.17
OG0003223	Nana21677-RD, Nana21677-RA, Nana21677-RC, Nana21677-RB	ENSG00000106443.16
OG0003224	Nana30612-RC, Nana30612-RF, Nana30612-RD, Nana30612-RB, Nana30612-RE	ENSG00000160570.14
OG0003225	Nana27470-RA	ENSG00000151746.14
OG0003226	Nana27476-RA, Nana27476-RC, Nana27476-RB	ENSG00000170456.16
OG0003227	Nana20450-RA	ENSG00000197980.13
OG0003229	Nana15467-RA	ENSG00000170445.15
OG0003230	Nana15469-RA	ENSG00000256453.2
OG0003231	Nana08395-RA, Nana27524-RA	ENSG00000151067.22, ENSG00000285479.2
OG0003232	Nana20398-RA	ENSG00000138271.6
OG0003233	Nana14956-RA	ENSG00000185946.16
OG0003234	Nana27430-RA	ENSG00000090263.16
OG0003235	Nana14944-RA, Nana14945-RA	ENSG00000117543.21
OG0003236	Nana22350-RA	ENSG00000164610.9
OG0003237	Nana27384-RB, Nana27384-RA	ENSG00000166598.15
OG0003238	Nana14913-RB, Nana14913-RA	ENSG00000143036.17
OG0003239	Nana02984-RA, Nana02984-RB	ENSG00000186866.16
OG0003240	Nana27356-RA	ENSG00000151136.15
OG0003241	Nana22514-RA, Nana22514-RB	ENSG00000106588.11, ENSG00000256646.7
OG0003242	Nana22515-RA, Nana22515-RB, Nana22516-RA, Nana22516-RB	ENSG00000106591.4
OG0003243	Nana20146-RC, Nana20146-RB, Nana20146-RA	ENSG00000176946.12
OG0003244	Nana14864-RA	ENSG00000189195.13
OG0003245	Nana22611-RA, Nana22612-RA	ENSG00000164742.16
OG0003246	Nana22634-RA	ENSG00000136273.13
OG0003247	Nana22673-RA, Nana22673-RB	ENSG00000122694.16
OG0003248	Nana20084-RA	ENSG00000142185.16
OG0003249	Nana22679-RA, Nana22680-RA	ENSG00000028310.18
OG0003250	Nana27303-RA	ENSG00000100101.15, ENSG00000273899.5
OG0003251	Nana22695-RB, Nana22695-RA, Nana22695-RC	ENSG00000164366.4
OG0003252	Nana27299-RA	ENSG00000100116.16
OG0003253	Nana22694-RB, Nana22694-RA	ENSG00000073578.17
OG0003254	Nana14633-RB, Nana14633-RC, Nana14633-RA	ENSG00000125703.15
OG0003255	Nana37814-RA, Nana22727-RA, Nana22727-RC	ENSG00000275272.4, ENSG00000083896.12
OG0003256	Nana20032-RA, Nana20032-RB	ENSG00000132323.9
OG0003257	Nana22775-RA	ENSG00000138769.11
OG0003258	Nana14569-RA, Nana14569-RB	ENSG00000187889.13
OG0003259	Nana27223-RB, Nana27223-RC, Nana27223-RD, Nana27223-RE	ENSG00000100403.12
OG0003260	Nana20009-RA, Nana20009-RB, Nana20009-RC	ENSG00000085978.22, ENSG00000281089.3
OG0003261	Nana27219-RA, Nana27219-RB	ENSG00000100412.16
OG0003262	Nana22791-RA, Nana22791-RF, Nana22791-RE, Nana22791-RD	ENSG00000132466.19
OG0003263	Nana27213-RA	ENSG00000100138.15
OG0003264	Nana14550-RC, Nana14550-RB, Nana14550-RA, Nana14550-RD	ENSG00000162390.17
OG0003265	Nana22815-RB, Nana22815-RA	ENSG00000239305.7
OG0003266	Nana22830-RA, Nana22830-RB	ENSG00000136490.9
OG0003267	Nana27135-RG, Nana27135-RD, Nana27135-RC, Nana27135-RF	ENSG00000105875.14
OG0003268	Nana27114-RA	ENSG00000256870.3, ENSG00000262217.3
OG0003269	Nana22851-RB, Nana22851-RD, Nana22851-RC	ENSG00000108788.11
OG0003270	Nana22853-RA	ENSG00000131462.8, ENSG00000037042.9
OG0003271	Nana19941-RA, Nana19941-RB, Nana19941-RC	ENSG00000155256.17
OG0003272	Nana27085-RA	ENSG00000188596.11
OG0003273	Nana19822-RA	ENSG00000138175.9
OG0003275	Nana22912-RA	ENSG00000276432.4, ENSG00000278023.6
OG0003276	Nana27062-RA	ENSG00000198015.13
OG0003277	Nana22927-RB, Nana22927-RC, Nana22927-RA	ENSG00000180329.14
OG0003278	Nana14403-RB, Nana14403-RA	ENSG00000132773.12
OG0003279	Nana22949-RD, Nana22949-RB, Nana22949-RA	ENSG00000161714.12
OG0003280	Nana22963-RA	ENSG00000278174.3, ENSG00000073969.18, ENSG00000276262.2
OG0003281	Nana19191-RA, Nana19193-RA, Nana19187-RA	ENSG00000107736.21
OG0003282	Nana22965-RA	ENSG00000158955.11, ENSG00000276799.2
OG0003283	Nana14498-RC, Nana14498-RB, Nana14498-RA, Nana14498-RD	ENSG00000123080.12
OG0003284	Nana23004-RA	ENSG00000161664.7
OG0003285	Nana23019-RA	ENSG00000004897.12
OG0003286	Nana23023-RA	ENSG00000108298.11
OG0003287	Nana17648-RB, Nana17648-RC, Nana17648-RD	ENSG00000138668.19
OG0003288	Nana17656-RC, Nana17656-RD, Nana17656-RA, Nana17656-RB	ENSG00000138674.17
OG0003289	Nana19456-RA, Nana19451-RA, Nana19454-RA	ENSG00000176769.9
OG0003290	Nana17657-RB, Nana17657-RA	ENSG00000189308.11
OG0003291	Nana14535-RC, Nana14535-RB, Nana14535-RA	ENSG00000058799.15
OG0003292	Nana19575-RA	ENSG00000119965.13
OG0003293	Nana19569-RA, Nana19569-RC, Nana19569-RB, Nana19569-RD	ENSG00000196177.13
OG0003294	Nana19538-RA	ENSG00000065154.12
OG0003295	Nana19591-RA	ENSG00000255150.2, ENSG00000107672.15
OG0003296	Nana23116-RA	ENSG00000173801.17
OG0003297	Nana23143-RB, Nana23143-RA	ENSG00000168610.14
OG0003298	Nana26618-RA, Nana26618-RC, Nana26618-RB, Nana39903-RA	ENSG00000120688.9
OG0003300	Nana21535-RA, Nana23158-RA, Nana23157-RA	ENSG00000275851.4, ENSG00000275023.5
OG0003301	Nana26520-RA	ENSG00000184226.15
OG0003302	Nana23174-RA	ENSG00000278845.5, ENSG00000277936.4
OG0003303	Nana19271-RA, Nana23185-RA	ENSG00000159111.13
OG0003304	Nana26333-RA	ENSG00000134873.10
OG0003305	Nana23199-RB, Nana23199-RA	ENSG00000002919.14
OG0003306	Nana23214-RA	ENSG00000120068.7
OG0003307	Nana26320-RA, Nana39781-RA	ENSG00000139737.22
OG0003308	Nana37859-RA, Nana37857-RA, Nana23235-RA	ENSG00000198740.8
OG0003309	Nana26474-RA	ENSG00000102554.14
OG0003310	Nana12449-RA	ENSG00000273294.1, ENSG00000082196.20
OG0003311	Nana29702-RA, Nana29703-RA	ENSG00000135241.17
OG0003312	Nana29710-RA, Nana29712-RA	ENSG00000198839.10
OG0003313	Nana14039-RD, Nana14039-RA, Nana14039-RB, Nana14039-RC	ENSG00000009790.15
OG0003314	Nana23283-RB, Nana23283-RA	ENSG00000161654.10
OG0003315	Nana29641-RC, Nana29641-RA, Nana29641-RB, Nana29641-RD	ENSG00000077063.11
OG0003316	Nana23366-RA, Nana27740-RA	ENSG00000184436.12
OG0003317	Nana13995-RA	ENSG00000155380.11, ENSG00000281917.2
OG0003318	Nana26306-RD, Nana26306-RA, Nana26306-RB, Nana26306-RC	ENSG00000134900.12
OG0003319	Nana26246-RA	ENSG00000204442.4
OG0003320	Nana29587-RA	ENSG00000128513.16
OG0003321	Nana23321-RA, Nana23321-RC, Nana23321-RB	ENSG00000104852.15
OG0003322	Nana26201-RB, Nana26201-RA	ENSG00000126226.22
OG0003323	Nana13903-RA	ENSG00000133055.9, ENSG00000221986.7
OG0003324	Nana18508-RA	ENSG00000157796.18
OG0003325	Nana04850-RA	ENSG00000157570.12
OG0003326	Nana13870-RA, Nana13870-RB	ENSG00000125991.19
OG0003327	Nana13852-RA, Nana13852-RB	ENSG00000101079.21
OG0003328	Nana13842-RA, Nana13842-RB, Nana13842-RE	ENSG00000080839.12
OG0003329	Nana29369-RB, Nana29369-RC, Nana29369-RA	ENSG00000111247.14
OG0003330	Nana29370-RB, Nana29370-RA	ENSG00000118972.3
OG0003331	Nana10317-RA, Nana25987-RA	ENSG00000130021.14
OG0003332	Nana25925-RA	ENSG00000005302.19
OG0003333	Nana25902-RA	ENSG00000046651.15
OG0003334	Nana13799-RA	ENSG00000131061.14
OG0003335	Nana29479-RD, Nana29479-RC, Nana29479-RB, Nana29479-RA	ENSG00000100364.18
OG0003336	Nana13791-RA, Nana13791-RB	ENSG00000101444.13
OG0003337	Nana11040-RA, Nana11039-RA	ENSG00000150471.16
OG0003338	Nana25854-RA, Nana25853-RA	ENSG00000173681.16
OG0003339	Nana29195-RA, Nana29195-RD, Nana29195-RC, Nana29195-RB	ENSG00000123240.17
OG0003340	Nana25829-RA	ENSG00000123130.17
OG0003341	Nana29184-RA	ENSG00000151474.23
OG0003342	Nana29218-RA, Nana29218-RB, Nana29218-RC, Nana29218-RD	ENSG00000064115.11
OG0003343	Nana24394-RA, Nana24389-RA, Nana24392-RA	ENSG00000165164.14
OG0003344	Nana29354-RA, Nana29352-RA	ENSG00000161040.16
OG0003345	Nana13481-RA	ENSG00000154611.14, ENSG00000101182.15
OG0003346	Nana24494-RA	ENSG00000183878.15, ENSG00000147050.14
OG0003347	Nana29313-RA	ENSG00000128536.16
OG0003348	Nana29300-RA, Nana29300-RB, Nana29300-RC	ENSG00000283847.2, ENSG00000105856.14
OG0003349	Nana29299-RA, Nana29301-RA	ENSG00000284369.1, ENSG00000164597.13
OG0003350	Nana13402-RA	ENSG00000125508.3
OG0003351	Nana29518-RA, Nana29518-RB, Nana29518-RC	ENSG00000144034.16
OG0003352	Nana24645-RA	ENSG00000205758.12
OG0003353	Nana24649-RB	ENSG00000159131.17
OG0003354	Nana00093-RA, Nana00094-RA	ENSG00000007202.15
OG0003355	Nana18479-RA, Nana18476-RA	ENSG00000064042.18
OG0003356	Nana24674-RA, Nana02261-RA, Nana24673-RA	ENSG00000142149.9
OG0003357	Nana24682-RA	ENSG00000156284.6
OG0003358	Nana24689-RB, Nana24689-RA	ENSG00000156253.7
OG0003359	Nana18612-RA, Nana18612-RC, Nana18612-RB	ENSG00000128039.11
OG0003360	Nana18620-RA, Nana18620-RB, Nana18620-RC	ENSG00000090989.18
OG0003361	Nana18141-RA	ENSG00000104219.13
OG0003362	Nana18147-RA, Nana18147-RB	ENSG00000003989.17
OG0003363	Nana18174-RA	ENSG00000088926.14, ENSG00000164344.16
OG0003364	Nana18191-RA	ENSG00000109771.15
OG0003365	Nana18198-RB, Nana18198-RC, Nana18198-RD, Nana18198-RA	ENSG00000151726.14
OG0003367	Nana24891-RB, Nana24891-RA	ENSG00000081154.12
OG0003368	Nana18029-RB, Nana18029-RA	ENSG00000151014.6
OG0003369	Nana24934-RB, Nana24934-RA	ENSG00000163608.15
OG0003370	Nana24937-RA	ENSG00000206530.11
OG0003371	Nana24989-RA	ENSG00000144847.13
OG0003372	Nana39057-RA, Nana39057-RB, Nana39057-RC	ENSG00000263238.1, ENSG00000256043.3
OG0003374	Nana17925-RC, Nana17925-RA, Nana17925-RD, Nana17925-RB	ENSG00000121210.16
OG0003375	Nana25665-RA	ENSG00000137460.8
OG0003376	Nana25038-RB, Nana25038-RC, Nana25038-RA	ENSG00000132952.12
OG0003377	Nana18071-RB, Nana18071-RA, Nana18071-RC	ENSG00000164073.10
OG0003378	Nana18107-RA, Nana18107-RB	ENSG00000123737.12
OG0003379	Nana18123-RA	ENSG00000146223.15
OG0003380	Nana18125-RA, Nana18125-RC, Nana18125-RB	ENSG00000138735.16
OG0003381	Nana17877-RA	ENSG00000170522.9
OG0003382	Nana17872-RA, Nana17872-RB	ENSG00000205403.13, ENSG00000285330.1
OG0003383	Nana17858-RA	ENSG00000198856.13
OG0003385	Nana17580-RA	ENSG00000198301.12
OG0003386	Nana12595-RA, Nana12597-RA	ENSG00000282825.2, ENSG00000134030.14
OG0003387	Nana12350-RA	ENSG00000145649.8
OG0003388	Nana12401-RA	ENSG00000198754.5, ENSG00000083720.13
OG0003389	Nana12252-RB, Nana12252-RA	ENSG00000277273.5, ENSG00000134058.12
OG0003390	Nana12211-RB, Nana12211-RC, Nana12211-RD	ENSG00000113163.17
