Orthogroup	N_naja.pep	A_carolinensis.pep
OG0002730	Nana01711-RA, Nana01712-RA	ENSACAG00000004394.3
OG0002731	Nana07619-RA	ENSACAG00000011189.3
OG0002732	Nana01672-RA	ENSACAG00000010505.3
OG0002733	Nana01675-RC	ENSACAG00000015564.2
OG0002734	Nana07547-RA	ENSACAG00000012448.3
OG0002736	Nana01407-RA, Nana01407-RD, Nana01407-RE, Nana01407-RB, Nana01407-RC	ENSACAG00000009630.3
OG0002737	Nana01411-RA, Nana01413-RA, Nana01413-RB	ENSACAG00000009497.3
OG0002738	Nana01445-RB, Nana01445-RA	ENSACAG00000008352.3
OG0002739	Nana01475-RA, Nana01475-RD, Nana01475-RB, Nana01475-RC	ENSACAG00000001411.3
OG0002740	Nana01278-RA	ENSACAG00000006455.3
OG0002741	Nana00894-RB, Nana00894-RC, Nana00894-RA, Nana00894-RD	ENSACAG00000014348.3
OG0002797	Nana24339-RA	ENSACAG00000003271.3, ENSACAG00000004482.2
OG0002798	Nana37315-RA	ENSACAG00000010685.3
OG0002798	Nana37321-RA, Nana37136-RA	ENSACAG00000021951.1
OG0002799	Nana31121-RA, Nana31122-RA	ENSACAG00000006773.2
OG0002800	Nana00607-RA	ENSACAG00000007699.3
OG0002801	Nana27918-RA, Nana27918-RB	ENSACAG00000013251.3
OG0002802	Nana13260-RB, Nana13260-RA	ENSACAG00000025980.2
OG0002802	Nana13262-RA	ENSACAG00000005344.3
OG0002803	Nana39880-RA, Nana18856-RB, Nana18856-RA, Nana18856-RC	ENSACAG00000001677.3
OG0002804	Nana32722-RC, Nana32722-RD, Nana32722-RB	ENSACAG00000028055.1
OG0002805	Nana21254-RA, Nana08231-RA	ENSACAG00000014909.2
OG0002806	Nana20370-RB	ENSACAG00000024299.2, ENSACAG00000007356.3
OG0002807	Nana33210-RA	ENSACAG00000024082.2, ENSACAG00000003777.3
OG0002808	Nana00459-RB, Nana00459-RA, Nana00459-RC	ENSACAG00000028540.1
OG0002809	Nana33633-RC, Nana33633-RB	ENSACAG00000014349.3
OG0002810	Nana36350-RC, Nana36350-RB, Nana36350-RA, Nana36350-RD	ENSACAG00000015424.2
OG0002811	Nana29833-RA	ENSACAG00000004857.3
OG0002812	Nana17410-RA, Nana17408-RA, Nana17407-RA	ENSACAG00000003941.3
OG0002813	Nana30795-RA	ENSACAG00000007842.2
OG0002814	Nana31816-RB, Nana31816-RA, Nana31816-RD, Nana31816-RC, Nana31816-RE	ENSACAG00000014947.3
OG0002815	Nana34744-RD, Nana34744-RC, Nana34744-RA, Nana34744-RB	ENSACAG00000001176.3
OG0002816	Nana34888-RA	ENSACAG00000010184.3
OG0002816	Nana00097-RA	ENSACAG00000013703.3
OG0002818	Nana39260-RA	ENSACAG00000008078.3
OG0002818	Nana20279-RA	ENSACAG00000003830.2
OG0002819	Nana32036-RC, Nana32036-RA, Nana32036-RB	ENSACAG00000007843.3
OG0002820	Nana21876-RA, Nana21873-RA	ENSACAG00000007238.3
OG0002822	Nana22245-RA, Nana28785-RA	ENSACAG00000004124.2
OG0002823	Nana20843-RB	ENSACAG00000011190.3
OG0002824	Nana28495-RC, Nana28495-RB, Nana28495-RD	ENSACAG00000011504.3
OG0002825	Nana20995-RA	ENSACAG00000014969.3
OG0002826	Nana29776-RB	ENSACAG00000003326.2
OG0002826	Nana29776-RA	ENSACAG00000002949.2
OG0002828	Nana37249-RA	ENSACAG00000001143.3
OG0002829	Nana00734-RA	ENSACAG00000025145.2
OG0002829	Nana00733-RA	ENSACAG00000014174.3
OG0002830	Nana34411-RC, Nana34411-RB, Nana34411-RA	ENSACAG00000008730.3
OG0002831	Nana03101-RA	ENSACAG00000009610.3
OG0002832	Nana32695-RA	ENSACAG00000024464.2, ENSACAG00000006187.3
OG0002833	Nana31421-RA, Nana31423-RA	ENSACAG00000014827.2, ENSACAG00000014834.2
OG0002834	Nana24351-RA, Nana39882-RA	ENSACAG00000029011.1, ENSACAG00000028732.1, ENSACAG00000029290.1, ENSACAG00000029277.1, ENSACAG00000028591.1, ENSACAG00000029650.1
OG0002835	Nana04788-RA, Nana04788-RB	ENSACAG00000000254.2, ENSACAG00000007662.2
OG0002836	Nana03147-RA, Nana03147-RB	ENSACAG00000004464.3, ENSACAG00000028063.1
OG0002837	Nana33234-RE, Nana33234-RA	ENSACAG00000013806.2
OG0002838	Nana33233-RA	ENSACAG00000023921.1, ENSACAG00000013811.2
OG0002839	Nana24040-RA, Nana06738-RC, Nana06738-RA, Nana06738-RB	ENSACAG00000002059.3
OG0002840	Nana19267-RA	ENSACAG00000005437.3
OG0002841	Nana05680-RA, Nana05680-RB	ENSACAG00000013547.3
OG0002842	Nana05669-RB, Nana05669-RA, Nana05669-RC	ENSACAG00000028374.1
OG0002843	Nana05666-RA	ENSACAG00000013396.3
OG0002843	Nana30849-RA	ENSACAG00000011491.3
OG0002844	Nana34610-RD, Nana34610-RB, Nana34610-RE, Nana34610-RA, Nana34610-RC	ENSACAG00000023697.1
OG0002845	Nana34609-RA, Nana34609-RC, Nana34609-RB	ENSACAG00000004772.3
OG0002846	Nana36460-RA, Nana36460-RB, Nana36460-RD	ENSACAG00000003061.2
OG0002847	Nana37236-RA	ENSACAG00000008688.3
OG0002848	Nana28011-RA	ENSACAG00000007878.2
OG0002849	Nana36446-RA	ENSACAG00000003152.2, ENSACAG00000029332.1
OG0002850	Nana34544-RA, Nana34544-RC, Nana34544-RB	ENSACAG00000008479.3
OG0002851	Nana36875-RA, Nana36875-RC, Nana36875-RB	ENSACAG00000010625.2
OG0002852	Nana36479-RA	ENSACAG00000029368.1
OG0002853	Nana36478-RD, Nana36478-RC, Nana36478-RA, Nana36478-RB	ENSACAG00000004495.3
OG0002854	Nana23975-RA	ENSACAG00000025962.2, ENSACAG00000009321.3
OG0002855	Nana34595-RA	ENSACAG00000005265.2
OG0002855	Nana27202-RA	ENSACAG00000003939.2
OG0002856	Nana34211-RA	ENSACAG00000007130.2, ENSACAG00000000157.3
OG0002857	Nana00715-RA	ENSACAG00000008721.3
OG0002858	Nana04786-RB, Nana04786-RA	ENSACAG00000028492.1
OG0002859	Nana00441-RB, Nana00441-RA	ENSACAG00000000816.3
OG0002860	Nana39635-RA	ENSACAG00000004913.2
OG0002861	Nana03184-RA, Nana03184-RB	ENSACAG00000001347.3
OG0002862	Nana19112-RA	ENSACAG00000010928.3
OG0002863	Nana36127-RA	ENSACAG00000003677.2
OG0002864	Nana00649-RA, Nana00649-RB	ENSACAG00000004830.2
OG0002865	Nana30683-RA	ENSACAG00000004297.3
OG0002866	Nana12428-RA	ENSACAG00000009253.3
OG0002867	Nana12434-RB, Nana12434-RC, Nana12434-RA	ENSACAG00000009051.3
OG0002868	Nana36137-RB	ENSACAG00000003005.3
OG0002869	Nana29168-RA	ENSACAG00000029218.1
OG0002870	Nana12441-RB, Nana12440-RA, Nana12441-RA	ENSACAG00000008668.3
OG0002871	Nana23830-RB, Nana38283-RA, Nana23830-RA, Nana23830-RC, Nana39502-RA	ENSACAG00000011419.3
OG0002872	Nana23587-RC, Nana23587-RA, Nana23587-RB	ENSACAG00000028856.1
OG0002873	Nana23378-RA, Nana23378-RE, Nana23378-RD, Nana23378-RF	ENSACAG00000010698.1
OG0002874	Nana39076-RA	ENSACAG00000029233.1
OG0002875	Nana23820-RB, Nana23820-RA	ENSACAG00000010734.2
OG0002876	Nana23818-RA, Nana23818-RB, Nana23818-RC, Nana23818-RD	ENSACAG00000010627.2
OG0002878	Nana36922-RB	ENSACAG00000014859.2, ENSACAG00000027691.1
OG0002879	Nana33423-RB, Nana33423-RD, Nana33423-RA, Nana33423-RC	ENSACAG00000004566.2
OG0002880	Nana24656-RA	ENSACAG00000028479.1
OG0002881	Nana11074-RA	ENSACAG00000024727.1, ENSACAG00000007857.3
OG0002882	Nana11073-RA	ENSACAG00000007262.3
OG0002883	Nana35695-RA	ENSACAG00000013200.3, ENSACAG00000017030.3
OG0002885	Nana28137-RC, Nana28137-RA	ENSACAG00000000703.3, ENSACAG00000024231.2
OG0002886	Nana34209-RA	ENSACAG00000023635.2
OG0002887	Nana36069-RB, Nana36069-RC, Nana33649-RA	ENSACAG00000010411.3
OG0002888	Nana31719-RC	ENSACAG00000028589.1
OG0002888	Nana31719-RA, Nana31719-RB	ENSACAG00000014623.3
OG0002889	Nana05048-RA	ENSACAG00000000213.3
OG0002890	Nana25754-RA, Nana36255-RA	ENSACAG00000000615.2
OG0002891	Nana25453-RA, Nana25459-RA	ENSACAG00000012479.2
OG0002892	Nana25460-RA	ENSACAG00000012500.2
OG0002892	Nana25457-RA	ENSACAG00000022766.1
OG0002893	Nana25455-RA, Nana25464-RA, Nana25464-RB	ENSACAG00000001754.2
OG0002894	Nana00337-RA	ENSACAG00000005519.3
OG0002895	Nana34112-RA	ENSACAG00000024567.1
OG0002895	Nana34115-RA	ENSACAG00000012465.2
OG0002896	Nana30199-RA	ENSACAG00000010959.3
OG0002897	Nana30197-RC, Nana30197-RB, Nana30197-RA, Nana30197-RD	ENSACAG00000010878.3
OG0002898	Nana28940-RA	ENSACAG00000009214.3
OG0002899	Nana28937-RC, Nana28937-RD, Nana28937-RA, Nana28937-RB	ENSACAG00000009092.3
OG0002900	Nana33215-RD, Nana33215-RB, Nana33215-RC	ENSACAG00000003991.3
OG0002901	Nana00104-RA, Nana00104-RB	ENSACAG00000007907.3
OG0002902	Nana32977-RA	ENSACAG00000014503.1
OG0002902	Nana32975-RA	ENSACAG00000015166.3
OG0002903	Nana09811-RA	ENSACAG00000001938.1
OG0002905	Nana20871-RA, Nana20870-RA	ENSACAG00000002757.2
OG0002905	Nana20869-RA	ENSACAG00000002716.2
OG0002906	Nana00322-RA	ENSACAG00000005381.3
OG0002906	Nana00324-RA	ENSACAG00000014326.3
OG0002907	Nana17298-RA, Nana17298-RB	ENSACAG00000000170.3
OG0002908	Nana08410-RA	ENSACAG00000000893.2
OG0002908	Nana08411-RA	ENSACAG00000025679.1
OG0002909	Nana08011-RA	ENSACAG00000001995.3
OG0002910	Nana32748-RB, Nana32748-RA	ENSACAG00000006916.2
OG0002911	Nana26091-RA	ENSACAG00000008081.3
OG0002912	Nana28023-RC, Nana28023-RB, Nana28023-RA, Nana28023-RD	ENSACAG00000008125.3
OG0002913	Nana34237-RA, Nana34229-RA	ENSACAG00000012735.3
OG0002914	Nana03351-RA	ENSACAG00000012154.2
OG0002915	Nana28020-RA	ENSACAG00000020953.2
OG0002916	Nana29921-RB, Nana29921-RA	ENSACAG00000002660.2, ENSACAG00000012591.3
OG0002917	Nana26691-RA, Nana26694-RA	ENSACAG00000010175.2
OG0002918	Nana34250-RA	ENSACAG00000013244.3
OG0002919	Nana28050-RC, Nana28050-RB, Nana28050-RA	ENSACAG00000001862.3
OG0002920	Nana31032-RA, Nana31032-RB	ENSACAG00000000778.3
OG0002921	Nana24311-RA	ENSACAG00000001512.2, ENSACAG00000004469.3
OG0002922	Nana33795-RA, Nana33795-RB, Nana33795-RC	ENSACAG00000011857.3
OG0002923	Nana32268-RA	ENSACAG00000009064.2
OG0002924	Nana37042-RB, Nana37042-RA	ENSACAG00000022698.1
OG0002925	Nana37063-RA	ENSACAG00000007188.3
OG0002926	Nana01812-RA, Nana01812-RB	ENSACAG00000006734.3
OG0002927	Nana32256-RA, Nana32256-RB, Nana32256-RC	ENSACAG00000000936.3
OG0002928	Nana00472-RA, Nana23879-RA	ENSACAG00000007631.2
OG0002929	Nana16110-RA	ENSACAG00000003460.3
OG0002930	Nana36762-RA	ENSACAG00000002166.2
OG0002931	Nana25634-RA	ENSACAG00000022478.2
OG0002931	Nana18565-RA	ENSACAG00000014635.3
OG0002933	Nana01777-RA, Nana01779-RA	ENSACAG00000006265.3
OG0002934	Nana01771-RA	ENSACAG00000006213.3
OG0002935	Nana00789-RA	ENSACAG00000007641.2
OG0002936	Nana03402-RA, Nana03402-RB, Nana03399-RA	ENSACAG00000006292.3
OG0002937	Nana19011-RA	ENSACAG00000028835.1, ENSACAG00000029541.1
OG0002938	Nana12568-RA, Nana12568-RC, Nana12568-RB, Nana12568-RD	ENSACAG00000010186.3
OG0002939	Nana01948-RB, Nana01948-RA	ENSACAG00000010204.3
OG0002940	Nana08801-RB, Nana08801-RA	ENSACAG00000009792.3
OG0002941	Nana23865-RF, Nana23865-RH, Nana23865-RE, Nana23865-RG, Nana23865-RB	ENSACAG00000006961.3
OG0002942	Nana03039-RA	ENSACAG00000015527.3, ENSACAG00000027613.2, ENSACAG00000027955.2
OG0002943	Nana31025-RC, Nana31025-RD, Nana31025-RA, Nana31025-RB	ENSACAG00000001095.3
OG0002944	Nana31747-RA, Nana31748-RA, Nana31750-RA, Nana31746-RA	ENSACAG00000022953.1
OG0002945	Nana01957-RA	ENSACAG00000010479.3
OG0002946	Nana01960-RC, Nana01960-RA, Nana01960-RB, Nana01958-RA	ENSACAG00000010502.3
OG0002947	Nana08793-RA	ENSACAG00000009406.3
OG0002948	Nana18293-RA	ENSACAG00000015942.3
OG0002949	Nana09853-RB, Nana09853-RA	ENSACAG00000000253.3
OG0002950	Nana25475-RA, Nana25475-RB	ENSACAG00000017081.3
OG0002951	Nana00103-RA, Nana00103-RB, Nana00103-RC, Nana00103-RD	ENSACAG00000010127.3
OG0002952	Nana20808-RB, Nana20808-RC, Nana20808-RA	ENSACAG00000010709.3
OG0002953	Nana03514-RA, Nana03515-RA	ENSACAG00000011908.3
OG0002954	Nana33671-RE, Nana33671-RD, Nana33671-RB	ENSACAG00000004054.3
OG0002955	Nana12781-RB, Nana12781-RA, Nana12787-RA	ENSACAG00000013000.3
OG0002956	Nana12782-RA	ENSACAG00000013024.3
OG0002957	Nana37634-RB, Nana37634-RA	ENSACAG00000010789.2
OG0002958	Nana36036-RA	ENSACAG00000002536.3
OG0002958	Nana35858-RA, Nana01419-RA	ENSACAG00000013309.3
OG0002959	Nana36874-RA	ENSACAG00000011381.2
OG0002959	Nana37127-RA	ENSACAG00000002658.3
OG0002960	Nana00054-RG, Nana00054-RE, Nana00054-RF	ENSACAG00000029158.1
OG0002961	Nana00054-RA, Nana00054-RC, Nana00054-RB, Nana00054-RD	ENSACAG00000014797.3
OG0002962	Nana00457-RD, Nana00457-RG, Nana00457-RC, Nana00457-RB	ENSACAG00000014975.3
OG0002963	Nana00456-RB, Nana00456-RA	ENSACAG00000015063.3
OG0002964	Nana29030-RI, Nana29030-RK, Nana29030-RF	ENSACAG00000015510.3
OG0002965	Nana00801-RA	ENSACAG00000001912.3
OG0002966	Nana32201-RA	ENSACAG00000014061.3
OG0002967	Nana36575-RB, Nana36575-RA	ENSACAG00000017751.2
OG0002968	Nana00708-RA, Nana00708-RB	ENSACAG00000012597.3, ENSACAG00000023822.2, ENSACAG00000025380.1
OG0002969	Nana00626-RA	ENSACAG00000000193.2
OG0002970	Nana15755-RB, Nana15755-RC	ENSACAG00000017711.3
OG0002971	Nana16924-RA	ENSACAG00000011144.3
OG0002972	Nana28387-RB, Nana28387-RA	ENSACAG00000002046.3, ENSACAG00000009441.2
OG0002973	Nana28385-RA	ENSACAG00000002132.2
OG0002973	Nana28384-RA	ENSACAG00000002160.2
OG0002974	Nana39860-RB, Nana39860-RA	ENSACAG00000000698.3
OG0002974	Nana21069-RA	ENSACAG00000022734.2
OG0002975	Nana28617-RA	ENSACAG00000003021.3
OG0002976	Nana31874-RB, Nana31874-RD, Nana31874-RE, Nana31874-RC	ENSACAG00000008085.3
OG0002977	Nana36570-RA, Nana36570-RB, Nana36570-RC	ENSACAG00000015606.2
OG0002978	Nana13135-RD, Nana13135-RA, Nana13135-RC, Nana13135-RB	ENSACAG00000007495.3
OG0002979	Nana39426-RA	ENSACAG00000009973.2
OG0002979	Nana37403-RA	ENSACAG00000013970.3
OG0002980	Nana37404-RA, Nana37404-RC, Nana37404-RB	ENSACAG00000013975.2
OG0002981	Nana13239-RA	ENSACAG00000009894.3
OG0002982	Nana20704-RA, Nana20702-RA, Nana20703-RA	ENSACAG00000007830.3
OG0002983	Nana34798-RC, Nana34798-RB, Nana34798-RA	ENSACAG00000001096.3
OG0002985	Nana32097-RA	ENSACAG00000012649.2
OG0002986	Nana27708-RA, Nana27710-RA	ENSACAG00000009109.3
OG0002987	Nana17248-RC, Nana17248-RB, Nana17248-RA	ENSACAG00000001808.2
OG0002988	Nana15342-RA	ENSACAG00000005709.3
OG0002989	Nana14470-RA, Nana11207-RA	ENSACAG00000009553.3
OG0002990	Nana03595-RB, Nana03595-RA	ENSACAG00000003430.3
OG0002991	Nana31834-RC, Nana31834-RB, Nana31834-RA	ENSACAG00000003489.2
OG0002993	Nana31835-RA, Nana31835-RB	ENSACAG00000003522.3
OG0002994	Nana31837-RA, Nana31837-RB	ENSACAG00000003530.3
OG0002995	Nana31840-RD, Nana31840-RB, Nana31840-RC, Nana31840-RA	ENSACAG00000003738.3
OG0002996	Nana31525-RA	ENSACAG00000014280.3
OG0002997	Nana33598-RA, Nana33598-RB	ENSACAG00000015524.3
OG0002998	Nana28071-RC, Nana28071-RB, Nana28071-RD, Nana28071-RA	ENSACAG00000000859.3
OG0002999	Nana03572-RC, Nana03572-RE, Nana03572-RD, Nana03572-RA	ENSACAG00000012897.3
OG0003000	Nana17201-RA	ENSACAG00000000361.3
OG0003001	Nana16751-RA	ENSACAG00000010012.3
OG0003001	Nana14505-RA	ENSACAG00000007741.3
OG0003002	Nana11969-RA	ENSACAG00000007256.3
OG0003004	Nana19081-RA	ENSACAG00000014999.3
OG0003005	Nana19085-RB, Nana19085-RA	ENSACAG00000014901.3
OG0003006	Nana09230-RB, Nana09230-RA	ENSACAG00000003144.3
OG0003007	Nana30091-RC, Nana30091-RA, Nana30091-RD, Nana30091-RB	ENSACAG00000017809.3
OG0003008	Nana15792-RA, Nana15792-RB, Nana15792-RC	ENSACAG00000000590.3
OG0003009	Nana09229-RA	ENSACAG00000024230.2
OG0003010	Nana26083-RA, Nana26084-RA	ENSACAG00000008164.3
OG0003011	Nana34645-RA	ENSACAG00000028662.1
OG0003012	Nana34916-RC, Nana34916-RB, Nana34916-RA	ENSACAG00000003881.2, ENSACAG00000009717.2
OG0003013	Nana34907-RA	ENSACAG00000009785.1
OG0003014	Nana17035-RA	ENSACAG00000000549.3
OG0003015	Nana13304-RB, Nana13304-RA	ENSACAG00000011519.3
OG0003016	Nana37088-RA	ENSACAG00000003103.3
OG0003017	Nana13312-RA	ENSACAG00000011739.3
OG0003018	Nana03385-RB, Nana03385-RD, Nana03385-RA, Nana03385-RC	ENSACAG00000005449.3
OG0003019	Nana13320-RC	ENSACAG00000012278.3
OG0003020	Nana11412-RA, Nana11412-RD, Nana11412-RC, Nana11412-RB	ENSACAG00000012678.2
OG0003021	Nana36818-RA, Nana36818-RB	ENSACAG00000017233.2
OG0003022	Nana32766-RA, Nana32766-RB, Nana32766-RC, Nana32766-RD	ENSACAG00000014517.2
OG0003023	Nana02318-RB, Nana02318-RA	ENSACAG00000004600.3
OG0003024	Nana20924-RB, Nana20924-RC, Nana20924-RA	ENSACAG00000004144.3
OG0003025	Nana13851-RA	ENSACAG00000001860.3
OG0003026	Nana37481-RA	ENSACAG00000008644.3
OG0003027	Nana28140-RC, Nana28140-RD, Nana28140-RE, Nana28140-RF	ENSACAG00000012052.2
OG0003028	Nana35430-RA, Nana35428-RA	ENSACAG00000010663.2
OG0003029	Nana28142-RB, Nana28142-RA	ENSACAG00000012392.3
OG0003030	Nana17173-RB, Nana17173-RA	ENSACAG00000009655.3
OG0003031	Nana11126-RA, Nana11126-RB, Nana11126-RC	ENSACAG00000000613.3
OG0003032	Nana17152-RA	ENSACAG00000001910.3, ENSACAG00000010055.2
OG0003033	Nana16604-RA	ENSACAG00000003463.3
OG0003034	Nana32761-RB, Nana32761-RD, Nana32761-RA, Nana32761-RC	ENSACAG00000014134.2
OG0003035	Nana39354-RA	ENSACAG00000014557.2
OG0003036	Nana32593-RD, Nana32593-RB, Nana32593-RC, Nana32593-RA	ENSACAG00000012644.3
OG0003037	Nana00727-RB, Nana00727-RC	ENSACAG00000011357.2
OG0003039	Nana33153-RA	ENSACAG00000024508.2
OG0003040	Nana33150-RC, Nana33150-RA, Nana33150-RB	ENSACAG00000001223.3
OG0003041	Nana39722-RA, Nana11119-RA	ENSACAG00000006971.3
OG0003042	Nana28119-RD, Nana28119-RC, Nana28119-RB, Nana28119-RA	ENSACAG00000000419.2
OG0003043	Nana16632-RA	ENSACAG00000004134.2
OG0003044	Nana10410-RA	ENSACAG00000014928.3
OG0003045	Nana06817-RA	ENSACAG00000003564.3
OG0003046	Nana03290-RD, Nana03290-RA, Nana03290-RB, Nana03290-RC	ENSACAG00000014738.3
OG0003047	Nana39244-RA, Nana39246-RA	ENSACAG00000002718.2
OG0003048	Nana28879-RB, Nana28879-RC, Nana28879-RA	ENSACAG00000006503.2
OG0003049	Nana33776-RC, Nana33776-RB, Nana33776-RA	ENSACAG00000001927.3
OG0003050	Nana28163-RA	ENSACAG00000006077.3, ENSACAG00000007733.3
OG0003051	Nana16495-RA	ENSACAG00000027516.2
OG0003051	Nana16497-RA	ENSACAG00000013315.3
OG0003052	Nana37349-RC, Nana37349-RB, Nana37349-RA	ENSACAG00000014371.3
OG0003053	Nana16360-RA	ENSACAG00000005405.3
OG0003054	Nana36984-RA, Nana36983-RA	ENSACAG00000003545.3
OG0003055	Nana26733-RC, Nana26733-RA, Nana26733-RB	ENSACAG00000011896.3
OG0003056	Nana18064-RB, Nana18064-RA	ENSACAG00000006278.3
OG0003057	Nana12462-RA	ENSACAG00000007974.3
OG0003058	Nana30815-RA	ENSACAG00000016779.3
OG0003059	Nana03834-RA, Nana03834-RD, Nana03834-RB, Nana03834-RC	ENSACAG00000004612.3
OG0003060	Nana15920-RA, Nana15920-RB	ENSACAG00000002241.3, ENSACAG00000016673.2
OG0003061	Nana33436-RA	ENSACAG00000004883.3
OG0003062	Nana33179-RE, Nana33179-RB, Nana33179-RA	ENSACAG00000004806.3
OG0003063	Nana03691-RA	ENSACAG00000028080.1
OG0003063	Nana03694-RA	ENSACAG00000028207.1
OG0003064	Nana12524-RB, Nana12524-RA	ENSACAG00000009121.3
OG0003065	Nana28398-RA, Nana28546-RA	ENSACAG00000000163.3
OG0003066	Nana20991-RA	ENSACAG00000015518.3
OG0003067	Nana35341-RA	ENSACAG00000014219.3
OG0003068	Nana16440-RA	ENSACAG00000014839.3
OG0003069	Nana36055-RB, Nana36055-RC, Nana36055-RA	ENSACAG00000025913.1
OG0003070	Nana00696-RH, Nana00696-RG, Nana00696-RC, Nana00696-RB	ENSACAG00000008335.2
OG0003071	Nana36764-RA, Nana36764-RB	ENSACAG00000013155.3, ENSACAG00000001527.3
OG0003072	Nana19033-RA	ENSACAG00000028514.1
OG0003073	Nana19248-RA, Nana19248-RB	ENSACAG00000004289.3
OG0003074	Nana16464-RA	ENSACAG00000014396.3
OG0003075	Nana00433-RA	ENSACAG00000027886.2, ENSACAG00000009407.2, ENSACAG00000012453.2
OG0003076	Nana11243-RA, Nana11242-RA, Nana11241-RA, Nana11244-RA, Nana11240-RA	ENSACAG00000012059.3
OG0003077	Nana11239-RA	ENSACAG00000012131.2
OG0003078	Nana31059-RA	ENSACAG00000013531.2
OG0003078	Nana16222-RA	ENSACAG00000002127.3
OG0003079	Nana18813-RC, Nana18813-RB, Nana18813-RD, Nana18813-RA	ENSACAG00000009727.3
OG0003080	Nana34866-RB, Nana34670-RA, Nana34670-RB, Nana34866-RA	ENSACAG00000015423.2
OG0003081	Nana34860-RB, Nana34860-RC, Nana34860-RE, Nana34860-RD	ENSACAG00000015441.3
OG0003082	Nana27952-RA	ENSACAG00000007463.3
OG0003083	Nana26650-RB, Nana26650-RA	ENSACAG00000006461.3
OG0003084	Nana26651-RD, Nana26651-RA, Nana26651-RC, Nana26651-RB	ENSACAG00000006468.3
OG0003085	Nana37189-RB	ENSACAG00000012185.3
OG0003086	Nana17497-RA	ENSACAG00000005642.3
OG0003087	Nana26659-RA	ENSACAG00000006531.3
OG0003088	Nana29813-RA	ENSACAG00000003453.3
OG0003089	Nana01230-RA	ENSACAG00000002483.3
OG0003090	Nana31656-RB, Nana31656-RA	ENSACAG00000014549.3
OG0003091	Nana19702-RA	ENSACAG00000009993.3
OG0003092	Nana28287-RA	ENSACAG00000009013.2
OG0003092	Nana19584-RA	ENSACAG00000017367.3
OG0003093	Nana15089-RA	ENSACAG00000001399.3
OG0003094	Nana34829-RA, Nana34828-RA	ENSACAG00000022072.1
OG0003095	Nana28795-RD, Nana28795-RC, Nana28795-RB, Nana28795-RA	ENSACAG00000003208.3
OG0003096	Nana21023-RA	ENSACAG00000006716.2
OG0003096	Nana04882-RA, Nana04882-RB	ENSACAG00000029651.1
OG0003097	Nana34617-RA	ENSACAG00000016277.3
OG0003098	Nana30241-RA, Nana30241-RB	ENSACAG00000000682.3
OG0003099	Nana35116-RB, Nana35116-RA, Nana35116-RC	ENSACAG00000016614.2
OG0003100	Nana30246-RA	ENSACAG00000000389.2
OG0003102	Nana21163-RA, Nana21163-RC, Nana21163-RB, Nana21163-RD	ENSACAG00000005539.3
OG0003103	Nana18835-RA	ENSACAG00000023245.1
OG0003103	Nana18837-RA	ENSACAG00000010976.2
OG0003104	Nana36028-RA	ENSACAG00000001115.1
OG0003105	Nana30123-RA, Nana30123-RD, Nana30123-RB, Nana30123-RC	ENSACAG00000016638.2
OG0003106	Nana11976-RA	ENSACAG00000006938.3
OG0003107	Nana11964-RA	ENSACAG00000007361.3
OG0003109	Nana14108-RA	ENSACAG00000012851.3
OG0003110	Nana21141-RB, Nana21141-RA	ENSACAG00000006787.3
OG0003111	Nana18113-RA	ENSACAG00000012952.2, ENSACAG00000003885.2
OG0003112	Nana00717-RB, Nana00717-RA	ENSACAG00000009014.3
OG0003113	Nana34814-RD, Nana34814-RH, Nana34814-RI, Nana34814-RE	ENSACAG00000011162.3
OG0003114	Nana32404-RA	ENSACAG00000003695.3
OG0003115	Nana11941-RA	ENSACAG00000028530.1
OG0003116	Nana17145-RA, Nana17145-RB	ENSACAG00000001821.3
OG0003117	Nana23788-RB, Nana23788-RC, Nana23788-RA	ENSACAG00000010179.3
OG0003118	Nana11921-RA	ENSACAG00000004172.2
OG0003119	Nana34064-RC, Nana34064-RB, Nana34064-RA	ENSACAG00000014677.3
OG0003120	Nana34070-RA	ENSACAG00000014726.3
OG0003121	Nana33679-RA, Nana33679-RB, Nana33679-RD, Nana33679-RC	ENSACAG00000008970.3
OG0003122	Nana18427-RA	ENSACAG00000013604.3
OG0003124	Nana08778-RB, Nana08778-RA, Nana08778-RC, Nana08778-RD	ENSACAG00000004001.3
OG0003125	Nana21237-RA	ENSACAG00000010972.3
OG0003126	Nana11870-RA	ENSACAG00000002878.2
OG0003127	Nana15945-RA, Nana15945-RB	ENSACAG00000001323.3
OG0003128	Nana23549-RB, Nana23549-RA, Nana23549-RC	ENSACAG00000005399.3
OG0003129	Nana23548-RA, Nana37825-RB, Nana37825-RA	ENSACAG00000005425.3
OG0003130	Nana31220-RA, Nana31220-RD, Nana31220-RC	ENSACAG00000009961.3
OG0003131	Nana31208-RA, Nana31208-RD, Nana31208-RB, Nana31208-RC	ENSACAG00000010119.3
OG0003132	Nana21283-RB, Nana21283-RA, Nana39297-RA	ENSACAG00000002858.3
OG0003133	Nana23533-RB	ENSACAG00000006069.2
OG0003134	Nana15901-RA	ENSACAG00000002939.2
OG0003135	Nana21304-RA, Nana21304-RB	ENSACAG00000001166.2
OG0003136	Nana15865-RC, Nana15865-RB, Nana15865-RA	ENSACAG00000003398.3
OG0003137	Nana15863-RA	ENSACAG00000003538.3
OG0003138	Nana05977-RA	ENSACAG00000004080.3, ENSACAG00000026768.1
OG0003140	Nana23485-RA	ENSACAG00000007087.2
