Orthogroup	A_carolinensis.pep	N_naja.pep
OG0001757	ENSACAG00000011254.3	Nana36300-RF, Nana36300-RH, Nana36300-RI, Nana36300-RJ, Nana36300-RG
OG0001758	ENSACAG00000004267.3	Nana33534-RB, Nana33534-RC, Nana33534-RA
OG0001759	ENSACAG00000001276.3	Nana29025-RK, Nana29025-RJ, Nana29025-RL, Nana29025-RF, Nana29025-RB, Nana29025-RG
OG0001761	ENSACAG00000005963.3	Nana32896-RA
OG0001762	ENSACAG00000007933.3	Nana11136-RB, Nana11136-RA
OG0001763	ENSACAG00000017126.2	Nana33005-RA
OG0001764	ENSACAG00000000425.3	Nana32242-RA, Nana32242-RC, Nana32242-RB, Nana32242-RF, Nana32242-RH, Nana32242-RG, Nana32242-RE, Nana32242-RD
OG0001765	ENSACAG00000003968.3	Nana24054-RA
OG0001766	ENSACAG00000026254.2	Nana19581-RA, Nana19580-RA, Nana19580-RD, Nana19580-RC, Nana19580-RE, Nana19580-RB
OG0001767	ENSACAG00000028796.1	Nana19971-RA, Nana19971-RB
OG0001767	ENSACAG00000017570.3	Nana24050-RA
OG0001768	ENSACAG00000010913.3	Nana12387-RA
OG0001768	ENSACAG00000015749.3	Nana33202-RA, Nana33202-RB
OG0001769	ENSACAG00000001645.3	Nana17242-RB, Nana17242-RC, Nana17242-RD, Nana17242-RA
OG0001770	ENSACAG00000002266.2	Nana31008-RA, Nana31008-RB, Nana31008-RD, Nana31008-RC, Nana31008-RE, Nana31008-RF, Nana31008-RG
OG0001771	ENSACAG00000013151.2	Nana14820-RA
OG0001771	ENSACAG00000017331.3	Nana07706-RA, Nana07706-RB
OG0001772	ENSACAG00000013674.3, ENSACAG00000003890.2	Nana36605-RA
OG0001773	ENSACAG00000003051.2	Nana25598-RA, Nana24158-RA
OG0001774	ENSACAG00000008711.3	Nana17532-RA
OG0001775	ENSACAG00000006776.3	Nana23856-RG, Nana23856-RE, Nana23856-RD, Nana23856-RI, Nana23856-RJ, Nana23856-RH
OG0001776	ENSACAG00000006690.2	Nana28300-RA, Nana23850-RA, Nana23849-RA
OG0001777	ENSACAG00000025568.1	Nana09863-RA, Nana09863-RC, Nana09863-RD
OG0001777	ENSACAG00000000843.3	Nana09863-RB
OG0001778	ENSACAG00000005686.3	Nana13431-RA
OG0001778	ENSACAG00000009022.3	Nana16831-RA, Nana16832-RA
OG0001779	ENSACAG00000029000.1	Nana20852-RA, Nana20851-RA, Nana20849-RA
OG0001780	ENSACAG00000022469.2	Nana10357-RA
OG0001782	ENSACAG00000015108.3, ENSACAG00000009101.2, ENSACAG00000001710.3, ENSACAG00000001793.2, ENSACAG00000015185.2, ENSACAG00000015224.3	Nana00803-RA
OG0001783	ENSACAG00000025006.1, ENSACAG00000015364.3	Nana00210-RA, Nana00221-RA, Nana00214-RA
OG0001784	ENSACAG00000006433.2	Nana32680-RA
OG0001784	ENSACAG00000026026.1	Nana26450-RA
OG0001785	ENSACAG00000014050.3	Nana32202-RA
OG0001785	ENSACAG00000007429.3	Nana25828-RA
OG0001786	ENSACAG00000015669.3	Nana32230-RF, Nana32230-RB, Nana32230-RC, Nana32230-RE, Nana32230-RA, Nana32230-RD
OG0001787	ENSACAG00000008176.3	Nana00372-RA, Nana00371-RA
OG0001788	ENSACAG00000011293.3	Nana18731-RG, Nana18731-RD, Nana18731-RA, Nana18731-RC, Nana18731-RE, Nana18731-RF, Nana18731-RB
OG0001789	ENSACAG00000012039.3	Nana18735-RA, Nana18735-RB, Nana18735-RD, Nana18735-RC, Nana18735-RF, Nana18735-RE
OG0001790	ENSACAG00000012035.2	Nana32106-RD, Nana32106-RB, Nana32106-RC, Nana32106-RA
OG0001792	ENSACAG00000028622.1	Nana09524-RB
OG0001793	ENSACAG00000001333.3	Nana34794-RF, Nana34794-RD, Nana34794-RC, Nana34794-RE, Nana34794-RA, Nana34794-RH, Nana34794-RB, Nana34794-RG
OG0001794	ENSACAG00000011385.3	Nana14733-RA, Nana14733-RB
OG0001795	ENSACAG00000005743.1	Nana14804-RA, Nana14804-RB
OG0001796	ENSACAG00000003913.3	Nana09258-RF, Nana09258-RB, Nana09258-RA, Nana09258-RD, Nana09258-RE
OG0001797	ENSACAG00000007891.2	Nana27267-RA
OG0001797	ENSACAG00000000349.3	Nana34292-RA
OG0001798	ENSACAG00000015571.3	Nana27304-RA
OG0001798	ENSACAG00000001117.1	Nana34315-RA
OG0001799	ENSACAG00000001485.3	Nana34317-RA
OG0001800	ENSACAG00000015385.2	Nana32796-RI, Nana32796-RK, Nana32796-RL, Nana32796-RH, Nana32796-RJ, Nana32796-RF, Nana32796-RG
OG0001801	ENSACAG00000000280.2	Nana17244-RA, Nana17244-RE, Nana17244-RB, Nana17244-RD, Nana17244-RC
OG0001802	ENSACAG00000028438.1	Nana09636-RA
OG0001802	ENSACAG00000006949.2	Nana33879-RA
OG0001803	ENSACAG00000000794.3	Nana09074-RB, Nana28032-RB, Nana28032-RC, Nana28032-RA
OG0001804	ENSACAG00000006329.2	Nana08730-RB, Nana08730-RA
OG0001805	ENSACAG00000006360.3	Nana08733-RA, Nana08733-RB
OG0001806	ENSACAG00000015888.2, ENSACAG00000013717.2	Nana16641-RC, Nana16641-RA, Nana16641-RB
OG0001807	ENSACAG00000007735.3	Nana26313-RA, Nana26313-RB, Nana26313-RC
OG0001808	ENSACAG00000011786.2	Nana26736-RF, Nana26736-RE, Nana26736-RG, Nana26736-RC, Nana26736-RB, Nana26736-RA, Nana26736-RD
OG0001809	ENSACAG00000005468.3	Nana16361-RI, Nana16361-RB, Nana16361-RD, Nana16361-RE, Nana16361-RG, Nana16361-RJ, Nana16361-RC
OG0001810	ENSACAG00000029155.1	Nana31320-RA
OG0001811	ENSACAG00000007475.2	Nana12499-RA
OG0001812	ENSACAG00000016790.3	Nana16405-RA
OG0001815	ENSACAG00000000577.3	Nana11279-RA
OG0001816	ENSACAG00000026570.2	Nana16457-RA
OG0001817	ENSACAG00000002080.3	Nana11231-RA
OG0001818	ENSACAG00000006057.2	Nana28160-RA
OG0001819	ENSACAG00000014296.3	Nana17786-RA
OG0001820	ENSACAG00000012225.2	Nana33107-RB, Nana33103-RA, Nana33103-RB
OG0001821	ENSACAG00000007190.3	Nana38171-RC, Nana38171-RD, Nana38171-RA, Nana38171-RB, Nana24238-RA
OG0001822	ENSACAG00000012086.2	Nana00687-RB, Nana00687-RF, Nana00687-RD, Nana00687-RC, Nana00687-RE, Nana00687-RA
OG0001823	ENSACAG00000010257.2, ENSACAG00000027328.2	Nana25680-RA
OG0001823	ENSACAG00000002680.3	Nana17934-RA
OG0001824	ENSACAG00000028705.1	Nana09417-RA
OG0001825	ENSACAG00000007875.3	Nana25572-RA, Nana25572-RB
OG0001826	ENSACAG00000024689.1	Nana36231-RA
OG0001826	ENSACAG00000023788.1, ENSACAG00000007598.2, ENSACAG00000022909.1, ENSACAG00000026645.2	Nana36232-RA
OG0001826	ENSACAG00000024420.1, ENSACAG00000007613.2	Nana36222-RA, Nana36214-RA, Nana36218-RA, Nana36213-RA
OG0001827	ENSACAG00000016675.2	Nana31620-RA
OG0001828	ENSACAG00000025152.2	Nana27259-RC
OG0001828	ENSACAG00000012083.2	Nana33697-RA
OG0001829	ENSACAG00000005039.2	Nana30872-RA
OG0001830	ENSACAG00000014195.2	Nana21219-RD, Nana21219-RA, Nana21219-RF, Nana21219-RE, Nana21219-RC, Nana21219-RB
OG0001831	ENSACAG00000005799.3, ENSACAG00000005796.3, ENSACAG00000028597.1	Nana04931-RA, Nana04931-RC, Nana04931-RB
OG0001832	ENSACAG00000001642.3	Nana05260-RA, Nana15524-RA
OG0001832	ENSACAG00000023072.2	Nana05261-RA, Nana05262-RA
OG0001833	ENSACAG00000007966.2	Nana35252-RB, Nana35252-RA
OG0001834	ENSACAG00000005937.3	Nana23535-RA, Nana23535-RD, Nana23535-RC, Nana23535-RB
OG0001835	ENSACAG00000014542.3	Nana27564-RA
OG0001836	ENSACAG00000029563.1	Nana11141-RB, Nana11141-RF, Nana11141-RC, Nana11141-RD, Nana11141-RE, Nana11141-RG, Nana11141-RA
OG0001837	ENSACAG00000003877.3	Nana25545-RA
OG0001838	ENSACAG00000007239.3	Nana36552-RA
OG0001839	ENSACAG00000006845.3	Nana18680-RA
OG0001840	ENSACAG00000021037.3	Nana04964-RA
OG0001841	ENSACAG00000006390.3	Nana25514-RB, Nana25514-RA
OG0001842	ENSACAG00000004355.3	Nana32645-RD, Nana32645-RB, Nana32645-RE, Nana32645-RA, Nana32645-RC, Nana32645-RF
OG0001843	ENSACAG00000001587.3	Nana15572-RA
OG0001844	ENSACAG00000006617.3	Nana33069-RA
OG0001845	ENSACAG00000016167.3	Nana21464-RA
OG0001846	ENSACAG00000017634.3, ENSACAG00000014339.1	Nana11487-RA
OG0001847	ENSACAG00000005365.3, ENSACAG00000007241.3	Nana07653-RA
OG0001848	ENSACAG00000010791.3	Nana32394-RA
OG0001849	ENSACAG00000014321.3	Nana23783-RA, Nana39328-RA
OG0001850	ENSACAG00000004548.3	Nana20659-RA
OG0001851	ENSACAG00000004655.3	Nana20658-RA
OG0001852	ENSACAG00000013799.3	Nana08989-RA
OG0001853	ENSACAG00000015319.2	Nana21591-RA
OG0001855	ENSACAG00000022701.2	Nana04962-RA
OG0001856	ENSACAG00000000648.3	Nana15554-RA
OG0001857	ENSACAG00000006479.3	Nana32703-RC, Nana32703-RE, Nana32703-RJ, Nana32703-RA, Nana32703-RK, Nana32703-RB
OG0001858	ENSACAG00000017867.3	Nana16255-RA, Nana16255-RB, Nana16255-RC
OG0001859	ENSACAG00000000102.3	Nana05686-RB
OG0001860	ENSACAG00000005022.3	Nana09874-RA
OG0001861	ENSACAG00000012913.3	Nana27477-RA
OG0001862	ENSACAG00000008171.3	Nana20077-RA
OG0001863	ENSACAG00000003903.3	Nana20420-RA
OG0001864	ENSACAG00000024600.1	Nana15523-RA
OG0001865	ENSACAG00000012403.3	Nana27532-RA
OG0001866	ENSACAG00000012773.3	Nana39786-RA, Nana27421-RB, Nana27421-RC, Nana27421-RA, Nana39733-RB
OG0001867	ENSACAG00000015729.3	Nana27372-RA
OG0001868	ENSACAG00000008988.3	Nana22669-RE, Nana22669-RB, Nana22669-RC, Nana22669-RA
OG0001869	ENSACAG00000003684.2	Nana19957-RA
OG0001870	ENSACAG00000013769.3	Nana22879-RA
OG0001871	ENSACAG00000007122.2, ENSACAG00000013688.3	Nana22880-RB, Nana22880-RA
OG0001872	ENSACAG00000029477.1	Nana22885-RA
OG0001872	ENSACAG00000013598.3	Nana22884-RA
OG0001874	ENSACAG00000014279.2	Nana14364-RA
OG0001876	ENSACAG00000015256.3	Nana14411-RA, Nana14411-RB
OG0001877	ENSACAG00000004978.2	Nana13893-RA
OG0001877	ENSACAG00000011183.3	Nana27022-RA
OG0001878	ENSACAG00000017186.2	Nana23007-RM, Nana23007-RF, Nana23007-RL, Nana23007-RA, Nana23007-RK, Nana23007-RE
OG0001879	ENSACAG00000029108.1	Nana14517-RA
OG0001880	ENSACAG00000007932.3	Nana19441-RA
OG0001881	ENSACAG00000008778.2	Nana14524-RA
OG0001882	ENSACAG00000016067.3	Nana23083-RB, Nana23083-RA
OG0001884	ENSACAG00000003106.3	Nana14185-RA
OG0001885	ENSACAG00000015721.3	Nana14224-RA
OG0001887	ENSACAG00000015886.3	Nana14231-RA
OG0001888	ENSACAG00000001431.3	Nana26822-RA
OG0001888	ENSACAG00000029548.1	Nana14004-RA
OG0001889	ENSACAG00000002492.2	Nana26353-RA
OG0001890	ENSACAG00000002372.3	Nana26872-RG, Nana26872-RC, Nana26872-RA, Nana26872-RF, Nana26872-RD, Nana26872-RB, Nana26872-RE
OG0001891	ENSACAG00000006793.2	Nana39265-RA, Nana23190-RD, Nana23190-RA, Nana23190-RC, Nana23190-RB
OG0001892	ENSACAG00000022948.1	Nana29693-RA
OG0001893	ENSACAG00000006594.3	Nana23198-RB, Nana23198-RC, Nana23198-RA
OG0001894	ENSACAG00000017925.3	Nana14016-RA
OG0001895	ENSACAG00000003120.3	Nana13958-RB, Nana13958-RD, Nana13958-RC
OG0001897	ENSACAG00000003708.2	Nana13938-RA
OG0001898	ENSACAG00000015775.3	Nana37581-RA, Nana29251-RA
OG0001899	ENSACAG00000004657.3	Nana13477-RA, Nana13477-RB
OG0001900	ENSACAG00000017851.3	Nana24527-RA, Nana24527-RB
OG0001901	ENSACAG00000002605.3	Nana24537-RA, Nana24536-RA
OG0001901	ENSACAG00000017832.3	Nana24535-RA, Nana24535-RB
OG0001902	ENSACAG00000004697.3	Nana24644-RC, Nana24644-RA, Nana24644-RB
OG0001903	ENSACAG00000004223.3	Nana24651-RA
OG0001904	ENSACAG00000003368.3	Nana17994-RA
OG0001905	ENSACAG00000003206.2	Nana18000-RA
OG0001906	ENSACAG00000004509.2	Nana25023-RA
OG0001907	ENSACAG00000002978.3	Nana17940-RA
OG0001908	ENSACAG00000012650.3	Nana25248-RB, Nana25248-RC, Nana25248-RA
OG0001909	ENSACAG00000012966.3	Nana17567-RA
OG0001911	ENSACAG00000016447.2	Nana12253-RA, Nana12253-RB
OG0001912	ENSACAG00000010017.3	Nana12148-RA
OG0001913	ENSACAG00000022344.2	Nana12144-RA, Nana12145-RA
OG0001914	ENSACAG00000010323.3	Nana12141-RB, Nana12141-RD
OG0001915	ENSACAG00000010508.2	Nana12135-RA
OG0001916	ENSACAG00000016513.2	Nana11811-RA, Nana11811-RB
OG0001917	ENSACAG00000023403.1	Nana11677-RA
OG0001918	ENSACAG00000001658.2	Nana11618-RB, Nana11618-RA
OG0001919	ENSACAG00000017625.3	Nana11483-RA
OG0001920	ENSACAG00000007320.3	Nana08652-RA
OG0001920	ENSACAG00000005270.3	Nana10504-RA, Nana10504-RB
OG0001921	ENSACAG00000001100.3	Nana10237-RG, Nana10237-RF, Nana10237-RE, Nana10237-RC, Nana10237-RA, Nana10237-RB
OG0001922	ENSACAG00000017365.3	Nana05433-RA
OG0001922	ENSACAG00000026352.1	Nana05683-RA
OG0001923	ENSACAG00000017639.3	Nana10979-RA
OG0001924	ENSACAG00000008192.3	Nana10651-RA, Nana10651-RB
OG0001925	ENSACAG00000012219.2	Nana10703-RA
OG0001926	ENSACAG00000012965.3	Nana10727-RA, Nana10727-RB
OG0001927	ENSACAG00000012729.3	Nana04456-RA
OG0001928	ENSACAG00000009286.3	Nana04344-RA
OG0001929	ENSACAG00000015010.2	Nana04304-RA, Nana04304-RB, Nana04304-RD, Nana04304-RE, Nana04304-RC
OG0001930	ENSACAG00000002712.3	Nana03695-RD, Nana03695-RB, Nana03695-RG, Nana03695-RE, Nana03695-RF, Nana03695-RC, Nana03695-RA
OG0001931	ENSACAG00000016881.3	Nana09423-RA, Nana09423-RB
OG0001932	ENSACAG00000007951.3	Nana09479-RA, Nana09479-RB
OG0001933	ENSACAG00000007983.3	Nana04049-RE, Nana04049-RH, Nana04049-RB, Nana04049-RI, Nana04049-RF, Nana04049-RG, Nana04049-RC
OG0001934	ENSACAG00000008231.3	Nana04027-RA, Nana04027-RF, Nana04027-RB, Nana04027-RD, Nana04027-RE, Nana04027-RC
OG0001935	ENSACAG00000008549.2	Nana04022-RA
OG0001936	ENSACAG00000002723.3	Nana08933-RD, Nana08933-RC, Nana08933-RB, Nana08933-RA
OG0001938	ENSACAG00000007248.3	Nana08314-RA
OG0001939	ENSACAG00000006223.2	Nana02106-RB, Nana02106-RC, Nana02106-RA, Nana02106-RE, Nana02106-RD
OG0001940	ENSACAG00000006232.1	Nana02105-RA
OG0001941	ENSACAG00000005285.3	Nana10644-RF, Nana10644-RG, Nana10644-RD
OG0001942	ENSACAG00000010752.3	Nana07887-RA
OG0001943	ENSACAG00000011664.3	Nana10608-RB, Nana10608-RA
OG0001944	ENSACAG00000010370.3	Nana07798-RA
OG0001945	ENSACAG00000012147.2	Nana07629-RA
OG0001946	ENSACAG00000010687.3	Nana07616-RA, Nana07616-RB
OG0001947	ENSACAG00000002315.2	Nana35867-RB, Nana35867-RE, Nana01632-RA
OG0001948	ENSACAG00000009356.2	Nana01312-RA
OG0001985	ENSACAG00000004065.3	Nana36970-RA
OG0001986	ENSACAG00000016607.3	Nana05899-RA
OG0001988	ENSACAG00000000418.3	Nana27913-RA, Nana27913-RB, Nana27913-RC
OG0001989	ENSACAG00000001810.3	Nana05943-RA, Nana05943-RB
OG0001990	ENSACAG00000029403.1, ENSACAG00000029335.1, ENSACAG00000028282.1, ENSACAG00000028788.1, ENSACAG00000029245.1, ENSACAG00000028647.1, ENSACAG00000028318.1, ENSACAG00000029663.1, ENSACAG00000028433.1, ENSACAG00000028744.1, ENSACAG00000028254.1, ENSACAG00000029074.1, ENSACAG00000029524.1	Nana22839-RA
OG0001991	ENSACAG00000025490.2	Nana37221-RB, Nana37221-RA, Nana37221-RC
OG0001992	ENSACAG00000003255.2	Nana31956-RA
OG0001993	ENSACAG00000003979.3	Nana34116-RB, Nana34116-RC, Nana34116-RA
OG0001994	ENSACAG00000002443.1	Nana29767-RA
OG0001995	ENSACAG00000009759.3	Nana33538-RA
OG0001996	ENSACAG00000003758.2	Nana34122-RB, Nana34122-RC
OG0001997	ENSACAG00000008222.2, ENSACAG00000022127.1	Nana38626-RA, Nana38624-RA, Nana38624-RB, Nana38626-RB, Nana38626-RC
OG0001998	ENSACAG00000002319.3, ENSACAG00000014091.3	Nana25584-RA
OG0001999	ENSACAG00000024525.2, ENSACAG00000003689.3	Nana34166-RD, Nana34166-RC, Nana34166-RE, Nana34166-RB, Nana34166-RA
OG0002000	ENSACAG00000001156.3	Nana05171-RA
OG0002000	ENSACAG00000011341.3	Nana30715-RA
OG0002001	ENSACAG00000028772.1, ENSACAG00000001497.2	Nana28469-RC
OG0002001	ENSACAG00000001507.3	Nana28466-RA, Nana28468-RA
OG0002002	ENSACAG00000005503.2	Nana27994-RA
OG0002002	ENSACAG00000009256.2	Nana19169-RA
OG0002003	ENSACAG00000029354.1, ENSACAG00000028866.1	Nana27831-RA
OG0002003	ENSACAG00000001226.3	Nana39094-RA, Nana39089-RA, Nana39088-RA
OG0002004	ENSACAG00000002124.2	Nana28849-RG, Nana28849-RD, Nana28849-RB, Nana28849-RA, Nana28849-RE, Nana28849-RH
OG0002005	ENSACAG00000015140.3	Nana19274-RA
OG0002005	ENSACAG00000010635.3	Nana28254-RA
OG0002006	ENSACAG00000005177.3	Nana03170-RA
OG0002007	ENSACAG00000005048.2	Nana04959-RA, Nana04959-RB, Nana04959-RC
OG0002007	ENSACAG00000009748.3	Nana30776-RA
OG0002008	ENSACAG00000009829.3	Nana19155-RA
OG0002009	ENSACAG00000026791.2	Nana30925-RA
OG0002010	ENSACAG00000005467.3	Nana35577-RA
OG0002011	ENSACAG00000013184.3, ENSACAG00000028247.1, ENSACAG00000013118.2	Nana04782-RA, Nana04784-RA
OG0002012	ENSACAG00000000996.3	Nana00516-RA
OG0002013	ENSACAG00000001975.2	Nana34262-RF, Nana34262-RH, Nana34262-RG, Nana34262-RD, Nana34262-RE
OG0002015	ENSACAG00000009107.2	Nana12431-RA, Nana12432-RA, Nana12432-RB, Nana12432-RC, Nana12433-RA
OG0002016	ENSACAG00000005024.3	Nana33646-RA, Nana33646-RE, Nana33646-RC, Nana33646-RD, Nana33646-RB
OG0002017	ENSACAG00000013238.3	Nana06399-RA
OG0002019	ENSACAG00000001448.3	Nana29166-RD, Nana29166-RC, Nana29166-RB, Nana29166-RA
OG0002020	ENSACAG00000005818.3	Nana05854-RA
OG0002020	ENSACAG00000011257.3	Nana30708-RA
OG0002021	ENSACAG00000001179.3	Nana31989-RI, Nana31989-RH, Nana31989-RG, Nana31989-RE, Nana31989-RF, Nana31988-RA
OG0002022	ENSACAG00000025893.2	Nana03733-RA
OG0002022	ENSACAG00000010111.3	Nana03735-RA, Nana03734-RA
OG0002023	ENSACAG00000004483.2	Nana35763-RA
OG0002024	ENSACAG00000007658.3	Nana11067-RC, Nana11067-RA, Nana11067-RB
OG0002025	ENSACAG00000027354.2, ENSACAG00000026181.2	Nana36873-RC
OG0002026	ENSACAG00000015614.3, ENSACAG00000024183.1, ENSACAG00000010879.3	Nana35343-RA
OG0002027	ENSACAG00000015464.3, ENSACAG00000000923.3	Nana03486-RC, Nana03486-RA, Nana03486-RB
OG0002028	ENSACAG00000004926.3	Nana23563-RA
OG0002029	ENSACAG00000000910.3	Nana32153-RA
OG0002029	ENSACAG00000027131.2	Nana32154-RA
OG0002030	ENSACAG00000025211.2	Nana36513-RA
OG0002031	ENSACAG00000017151.2	Nana29049-RE, Nana29049-RD, Nana29049-RF, Nana29049-RH, Nana29049-RG, Nana29049-RI, Nana29049-RL
OG0002032	ENSACAG00000006090.3	Nana28165-RA
OG0002032	ENSACAG00000006424.3	Nana19399-RB, Nana19399-RA
OG0002033	ENSACAG00000005169.3	Nana33641-RC, Nana33641-RJ, Nana33641-RK, Nana33641-RD, Nana33641-RB, Nana33641-RA
OG0002034	ENSACAG00000003722.2	Nana33208-RC, Nana33208-RG, Nana33208-RD, Nana33208-RH, Nana33208-RA
OG0002035	ENSACAG00000001832.2	Nana26328-RB
OG0002035	ENSACAG00000017545.3	Nana24048-RA
OG0002036	ENSACAG00000016787.3	Nana30314-RA
OG0002037	ENSACAG00000026804.1	Nana35742-RA
OG0002038	ENSACAG00000029448.1, ENSACAG00000023576.1	Nana27887-RA
OG0002039	ENSACAG00000001869.3	Nana14882-RA, Nana24232-RA
OG0002040	ENSACAG00000002161.3	Nana28056-RA, Nana28056-RB, Nana28056-RC, Nana28056-RE, Nana28056-RD
OG0002041	ENSACAG00000008203.3	Nana32283-RA, Nana32283-RB
OG0002042	ENSACAG00000007039.2	Nana08664-RA
OG0002043	ENSACAG00000012176.3	Nana34254-RA, Nana34254-RB
OG0002044	ENSACAG00000004574.3	Nana00614-RA
OG0002045	ENSACAG00000008531.3	Nana00714-RB, Nana00714-RC
OG0002046	ENSACAG00000010759.3	Nana18700-RA
OG0002046	ENSACAG00000011539.3	Nana19889-RA
OG0002047	ENSACAG00000016852.3	Nana01910-RA
OG0002047	ENSACAG00000028266.1	Nana01912-RA
OG0002048	ENSACAG00000001340.2	Nana20753-RA
OG0002049	ENSACAG00000007693.3	Nana23885-RA
OG0002049	ENSACAG00000007701.2	Nana23886-RA
OG0002050	ENSACAG00000012200.2	Nana36419-RC, Nana36419-RA, Nana36419-RD, Nana36419-RB
OG0002051	ENSACAG00000007606.3	Nana23877-RB, Nana37714-RA, Nana23877-RA
OG0002052	ENSACAG00000002628.2	Nana27842-RA, Nana27839-RA
OG0002053	ENSACAG00000003281.3	Nana36390-RC, Nana36390-RB, Nana36390-RF, Nana36390-RE, Nana36390-RA, Nana36390-RD
OG0002054	ENSACAG00000002676.3, ENSACAG00000026387.1	Nana36532-RE, Nana36532-RF, Nana36532-RG
OG0002055	ENSACAG00000007108.2	Nana38755-RA, Nana38757-RA, Nana23870-RA
OG0002055	ENSACAG00000022516.1	Nana15969-RB
OG0002056	ENSACAG00000017755.3	Nana37258-RE, Nana37258-RF, Nana37258-RB, Nana37258-RD, Nana37258-RC, Nana37258-RA
OG0002057	ENSACAG00000001999.3	Nana19932-RD, Nana19932-RC, Nana19932-RB, Nana19932-RA
OG0002058	ENSACAG00000013761.3	Nana37269-RF, Nana37269-RE, Nana37269-RD, Nana37269-RG, Nana37269-RC, Nana37269-RA, Nana37269-RB
OG0002060	ENSACAG00000012876.3	Nana12778-RB, Nana12778-RA
OG0002061	ENSACAG00000014723.3	Nana00062-RB, Nana00062-RD, Nana00062-RG, Nana00062-RE, Nana00062-RA
OG0002062	ENSACAG00000013897.3, ENSACAG00000015653.2	Nana09692-RA
OG0002063	ENSACAG00000015655.2	Nana29030-RC, Nana29030-RE, Nana29030-RD, Nana29030-RH, Nana29030-RG, Nana29030-RJ
OG0002064	ENSACAG00000016202.3	Nana26310-RA
OG0002064	ENSACAG00000015705.3	Nana32227-RA
OG0002065	ENSACAG00000012604.3	Nana17204-RA, Nana17204-RB, Nana17204-RC, Nana17204-RD
OG0002066	ENSACAG00000012223.2	Nana37705-RA, Nana37707-RA
OG0002067	ENSACAG00000011049.2, ENSACAG00000006857.3	Nana20333-RA
OG0002068	ENSACAG00000004724.3	Nana34612-RG, Nana34612-RC, Nana34612-RF, Nana34612-RE, Nana34612-RD
OG0002069	ENSACAG00000017730.3	Nana28640-RA, Nana28641-RA
OG0002070	ENSACAG00000001267.2	Nana34789-RA
OG0002071	ENSACAG00000005674.3	Nana15349-RA
OG0002072	ENSACAG00000003039.3, ENSACAG00000015991.2	Nana16765-RA
OG0002073	ENSACAG00000012533.3, ENSACAG00000028355.1	Nana24608-RA
OG0002074	ENSACAG00000015031.2	Nana23752-RA
OG0002074	ENSACAG00000021966.2	Nana35567-RA
OG0002075	ENSACAG00000001078.3	Nana38954-RA
OG0002076	ENSACAG00000000960.3	Nana34137-RA, Nana34137-RB, Nana34137-RG, Nana34137-RC, Nana34137-RF, Nana34137-RD
OG0002077	ENSACAG00000015409.2	Nana28891-RA
OG0002078	ENSACAG00000010449.2	Nana31079-RA
OG0002078	ENSACAG00000005857.2	Nana00954-RA
OG0002079	ENSACAG00000003163.2	Nana13642-RA
OG0002080	ENSACAG00000003282.2	Nana09233-RC, Nana09233-RD, Nana09233-RE, Nana09233-RB, Nana09233-RA
OG0002081	ENSACAG00000001124.2, ENSACAG00000010631.3, ENSACAG00000002103.2	Nana05250-RB, Nana05250-RA
OG0002082	ENSACAG00000017392.2	Nana09984-RA
OG0002083	ENSACAG00000015936.3	Nana32811-RA, Nana32811-RB, Nana32811-RC, Nana32811-RD, Nana32811-RF, Nana32811-RE
OG0002084	ENSACAG00000011287.3, ENSACAG00000029417.1, ENSACAG00000029159.1	Nana15741-RA, Nana15741-RB
OG0002085	ENSACAG00000007793.2, ENSACAG00000009903.3	Nana34898-RD, Nana34898-RC, Nana34898-RA, Nana34898-RB
OG0002086	ENSACAG00000015120.2	Nana32782-RB, Nana32782-RE, Nana32782-RC, Nana32782-RA, Nana32782-RD
OG0002087	ENSACAG00000010604.3	Nana35425-RB, Nana35425-RA
OG0002088	ENSACAG00000006545.2	Nana26403-RA
OG0002088	ENSACAG00000016047.2	Nana16645-RA
OG0002089	ENSACAG00000001609.3	Nana37472-RC, Nana37472-RD, Nana37472-RB, Nana37472-RA, Nana37469-RA
OG0002090	ENSACAG00000014277.3	Nana32764-RB, Nana32764-RD, Nana32764-RE, Nana32764-RF, Nana32764-RA, Nana32764-RC
OG0002091	ENSACAG00000006425.3	Nana07196-RA
OG0002092	ENSACAG00000004122.3	Nana02326-RA
OG0002093	ENSACAG00000014184.2	Nana32762-RA
OG0002094	ENSACAG00000003440.3	Nana16603-RA
OG0002095	ENSACAG00000008217.2	Nana31680-RA, Nana15750-RA
OG0002096	ENSACAG00000012939.3	Nana28151-RC, Nana28151-RA
OG0002097	ENSACAG00000002819.2	Nana35501-RA
OG0002098	ENSACAG00000003128.3	Nana35536-RA, Nana35536-RB
OG0002099	ENSACAG00000003297.2	Nana35541-RC, Nana35541-RA, Nana35541-RD, Nana35541-RE, Nana35541-RB
OG0002100	ENSACAG00000010518.3	Nana30486-RA, Nana30486-RB
OG0002102	ENSACAG00000015100.3	Nana32674-RF, Nana32674-RH, Nana32674-RA, Nana32674-RI, Nana32674-RG, Nana32674-RK
OG0002103	ENSACAG00000010866.3	Nana28342-RB
OG0002104	ENSACAG00000010472.3	Nana16576-RA, Nana16575-RB, Nana16575-RA, Nana16572-RA, Nana16577-RA, Nana16577-RB
OG0002105	ENSACAG00000014648.3	Nana23767-RA
OG0002105	ENSACAG00000029312.1	Nana34972-RA
OG0002106	ENSACAG00000003756.2	Nana34987-RA
OG0002107	ENSACAG00000016697.1	Nana34667-RA
