Orthogroup	A_carolinensis.pep	M_musculus.pep
OG0001776	ENSACAG00000006690.2	ENSMUSG00000030793.4
OG0001777	ENSACAG00000000843.3	ENSMUSG00000020719.14
OG0001778	ENSACAG00000009022.3	ENSMUSG00000022419.16
OG0001780	ENSACAG00000022469.2	ENSMUSG00000047492.5
OG0001781	ENSACAG00000015130.2	ENSMUSG00000009092.5
OG0001782	ENSACAG00000015108.3, ENSACAG00000009101.2, ENSACAG00000001710.3, ENSACAG00000001793.2, ENSACAG00000015185.2, ENSACAG00000015224.3	ENSMUSG00000021273.11
OG0001783	ENSACAG00000025006.1, ENSACAG00000015364.3	ENSMUSG00000059439.15
OG0001784	ENSACAG00000006433.2	ENSMUSG00000041633.14
OG0001784	ENSACAG00000026026.1	ENSMUSG00000098557.1
OG0001785	ENSACAG00000007429.3	ENSMUSG00000025283.15
OG0001786	ENSACAG00000015669.3	ENSMUSG00000079834.2
OG0001787	ENSACAG00000008176.3	ENSMUSG00000001123.15
OG0001788	ENSACAG00000011293.3	ENSMUSG00000003154.15
OG0001789	ENSACAG00000012039.3	ENSMUSG00000029098.17
OG0001790	ENSACAG00000012035.2	ENSMUSG00000087119.4, ENSMUSG00000079418.3, ENSMUSG00000116318.1
OG0001791	ENSACAG00000001280.2	ENSMUSG00000022595.7
OG0001791	ENSACAG00000001305.2	ENSMUSG00000022596.3
OG0001792	ENSACAG00000028622.1	ENSMUSG00000020736.12
OG0001792	ENSACAG00000004475.3	ENSMUSG00000032615.14
OG0001793	ENSACAG00000001333.3	ENSMUSG00000049550.17
OG0001794	ENSACAG00000011385.3	ENSMUSG00000028199.18
OG0001795	ENSACAG00000005743.1	ENSMUSG00000068523.12, ENSMUSG00000117145.1
OG0001796	ENSACAG00000003913.3	ENSMUSG00000005142.10
OG0001797	ENSACAG00000000349.3	ENSMUSG00000025854.15
OG0001798	ENSACAG00000001117.1	ENSMUSG00000056413.16
OG0001799	ENSACAG00000001485.3	ENSMUSG00000067215.5, ENSMUSG00000046269.17, ENSMUSG00000042506.15
OG0001800	ENSACAG00000015385.2	ENSMUSG00000038664.16
OG0001801	ENSACAG00000000280.2	ENSMUSG00000022568.17
OG0001802	ENSACAG00000028438.1	ENSMUSG00000070330.2
OG0001802	ENSACAG00000006949.2	ENSMUSG00000022715.3
OG0001803	ENSACAG00000000794.3	ENSMUSG00000022099.17
OG0001804	ENSACAG00000006329.2	ENSMUSG00000025868.6
OG0001805	ENSACAG00000006360.3	ENSMUSG00000025871.18
OG0001806	ENSACAG00000015888.2, ENSACAG00000013717.2	ENSMUSG00000022255.16
OG0001807	ENSACAG00000007735.3	ENSMUSG00000024104.11
OG0001808	ENSACAG00000011786.2	ENSMUSG00000025464.15
OG0001809	ENSACAG00000005468.3	ENSMUSG00000028245.15
OG0001810	ENSACAG00000029155.1	ENSMUSG00000031876.18, ENSMUSG00000110430.2, ENSMUSG00000078953.1, ENSMUSG00000054400.16
OG0001811	ENSACAG00000007475.2	ENSMUSG00000042439.13
OG0001812	ENSACAG00000016790.3	ENSMUSG00000027599.9
OG0001813	ENSACAG00000000099.3	ENSMUSG00000027335.9
OG0001814	ENSACAG00000008739.3	ENSMUSG00000024513.16
OG0001816	ENSACAG00000026570.2	ENSMUSG00000092083.4
OG0001817	ENSACAG00000002080.3	ENSMUSG00000036256.13
OG0001817	ENSACAG00000012226.3	ENSMUSG00000035551.6
OG0001818	ENSACAG00000006057.2	ENSMUSG00000094483.2
OG0001819	ENSACAG00000014296.3	ENSMUSG00000028138.8
OG0001820	ENSACAG00000012225.2	ENSMUSG00000061787.15
OG0001821	ENSACAG00000007190.3	ENSMUSG00000022185.19
OG0001822	ENSACAG00000012086.2	ENSMUSG00000029162.15
OG0001823	ENSACAG00000010257.2, ENSACAG00000027328.2, ENSACAG00000002680.3	ENSMUSG00000028086.15
OG0001824	ENSACAG00000028705.1	ENSMUSG00000097886.2
OG0001824	ENSACAG00000016436.3	ENSMUSG00000046182.8
OG0001825	ENSACAG00000007875.3	ENSMUSG00000030649.18, ENSMUSG00000074780.2
OG0001827	ENSACAG00000016675.2	ENSMUSG00000055368.14
OG0001828	ENSACAG00000025152.2	ENSMUSG00000022415.12
OG0001828	ENSACAG00000012083.2	ENSMUSG00000007021.5
OG0001829	ENSACAG00000005611.2	ENSMUSG00000046157.13
OG0001830	ENSACAG00000014195.2	ENSMUSG00000038056.15
OG0001831	ENSACAG00000005799.3, ENSACAG00000005796.3, ENSACAG00000028597.1	ENSMUSG00000021123.12, ENSMUSG00000066441.14
OG0001832	ENSACAG00000023072.2	ENSMUSG00000021027.17
OG0001833	ENSACAG00000007966.2	ENSMUSG00000099164.8, ENSMUSG00000005732.14
OG0001834	ENSACAG00000005937.3	ENSMUSG00000030738.11
OG0001835	ENSACAG00000014542.3	ENSMUSG00000030226.12
OG0001835	ENSACAG00000012661.3	ENSMUSG00000036111.8
OG0001836	ENSACAG00000029563.1	ENSMUSG00000029915.14
OG0001837	ENSACAG00000003877.3	ENSMUSG00000035227.7
OG0001838	ENSACAG00000007239.3	ENSMUSG00000002546.16, ENSMUSG00000075425.10
OG0001839	ENSACAG00000015043.3	ENSMUSG00000020428.13
OG0001839	ENSACAG00000006845.3	ENSMUSG00000029211.11
OG0001840	ENSACAG00000004473.3	ENSMUSG00000026502.13, ENSMUSG00000111522.1
OG0001842	ENSACAG00000004355.3	ENSMUSG00000031290.14
OG0001843	ENSACAG00000001587.3	ENSMUSG00000021565.16
OG0001844	ENSACAG00000006617.3	ENSMUSG00000027224.14, ENSMUSG00000027225.7
OG0001845	ENSACAG00000016167.3	ENSMUSG00000042476.12, ENSMUSG00000028970.9, ENSMUSG00000040584.8
OG0001847	ENSACAG00000005365.3, ENSACAG00000007241.3	ENSMUSG00000042419.8
OG0001848	ENSACAG00000010791.3	ENSMUSG00000042814.8, ENSMUSG00000000355.13
OG0001849	ENSACAG00000014321.3	ENSMUSG00000092534.8, ENSMUSG00000107068.1, ENSMUSG00000030680.6
OG0001850	ENSACAG00000004548.3	ENSMUSG00000029712.14, ENSMUSG00000027671.14
OG0001851	ENSACAG00000004655.3	ENSMUSG00000026377.12
OG0001852	ENSACAG00000013799.3	ENSMUSG00000024487.5
OG0001853	ENSACAG00000015319.2	ENSMUSG00000058503.11
OG0001854	ENSACAG00000016431.3	ENSMUSG00000013611.14
OG0001855	ENSACAG00000022701.2	ENSMUSG00000079055.10
OG0001856	ENSACAG00000000648.3	ENSMUSG00000049538.14
OG0001857	ENSACAG00000006479.3	ENSMUSG00000034055.16
OG0001858	ENSACAG00000017867.3	ENSMUSG00000024317.15, ENSMUSG00000083695.6
OG0001859	ENSACAG00000000102.3	ENSMUSG00000018707.13
OG0001860	ENSACAG00000005022.3	ENSMUSG00000025364.13
OG0001861	ENSACAG00000012913.3	ENSMUSG00000039985.14
OG0001862	ENSACAG00000008171.3, ENSACAG00000012896.3	ENSMUSG00000036095.11
OG0001863	ENSACAG00000003903.3	ENSMUSG00000027820.12
OG0001864	ENSACAG00000024600.1	ENSMUSG00000068154.5
OG0001865	ENSACAG00000012403.3	ENSMUSG00000053375.8, ENSMUSG00000019210.10
OG0001866	ENSACAG00000012773.3	ENSMUSG00000029924.12
OG0001867	ENSACAG00000015729.3	ENSMUSG00000020256.14
OG0001868	ENSACAG00000008988.3	ENSMUSG00000028341.9
OG0001869	ENSACAG00000003684.2	ENSMUSG00000044186.10, ENSMUSG00000044220.13
OG0001870	ENSACAG00000013769.3	ENSMUSG00000104158.2, ENSMUSG00000035086.13
OG0001871	ENSACAG00000007122.2, ENSACAG00000013688.3	ENSMUSG00000078652.9
OG0001872	ENSACAG00000029477.1, ENSACAG00000013598.3	ENSMUSG00000078650.2
OG0001873	ENSACAG00000004601.3	ENSMUSG00000025041.17
OG0001874	ENSACAG00000014279.2	ENSMUSG00000028538.12
OG0001875	ENSACAG00000012287.2	ENSMUSG00000019936.10
OG0001875	ENSACAG00000002051.3	ENSMUSG00000010311.15
OG0001876	ENSACAG00000015256.3	ENSMUSG00000028684.14
OG0001877	ENSACAG00000004978.2, ENSACAG00000011183.3	ENSMUSG00000019888.16
OG0001878	ENSACAG00000017186.2	ENSMUSG00000020923.17
OG0001879	ENSACAG00000029108.1	ENSMUSG00000034645.14
OG0001879	ENSACAG00000008334.2	ENSMUSG00000034636.9
OG0001880	ENSACAG00000007932.3	ENSMUSG00000056856.13, ENSMUSG00000111614.2
OG0001881	ENSACAG00000008778.2	ENSMUSG00000030188.12, ENSMUSG00000028609.6
OG0001882	ENSACAG00000016067.3	ENSMUSG00000037935.16
OG0001883	ENSACAG00000017866.2	ENSMUSG00000020912.4
OG0001883	ENSACAG00000015988.3	ENSMUSG00000020913.3
OG0001884	ENSACAG00000003106.3	ENSMUSG00000034165.16
OG0001885	ENSACAG00000015721.3	ENSMUSG00000024217.10
OG0001886	ENSACAG00000000442.3	ENSMUSG00000022025.13
OG0001887	ENSACAG00000015886.3	ENSMUSG00000052146.16
OG0001888	ENSACAG00000001431.3	ENSMUSG00000044071.9
OG0001888	ENSACAG00000029548.1	ENSMUSG00000055865.8
OG0001889	ENSACAG00000002492.2	ENSMUSG00000061517.8
OG0001890	ENSACAG00000002372.3	ENSMUSG00000033228.8
OG0001891	ENSACAG00000006793.2	ENSMUSG00000018678.13
OG0001892	ENSACAG00000022948.1	ENSMUSG00000029084.5
OG0001893	ENSACAG00000006594.3	ENSMUSG00000018666.13
OG0001894	ENSACAG00000017925.3	ENSMUSG00000027840.5
OG0001895	ENSACAG00000003120.3	ENSMUSG00000068823.10
OG0001896	ENSACAG00000003491.2	ENSMUSG00000021643.15
OG0001897	ENSACAG00000003708.2	ENSMUSG00000041801.5
OG0001898	ENSACAG00000015775.3	ENSMUSG00000002944.15
OG0001899	ENSACAG00000004657.3	ENSMUSG00000039050.8
OG0001900	ENSACAG00000017851.3	ENSMUSG00000061032.9, ENSMUSG00000058392.13
OG0001901	ENSACAG00000002605.3, ENSACAG00000017832.3	ENSMUSG00000024039.15
OG0001902	ENSACAG00000004697.3	ENSMUSG00000022957.20
OG0001903	ENSACAG00000004223.3	ENSMUSG00000022964.14
OG0001904	ENSACAG00000003368.3	ENSMUSG00000036977.8
OG0001905	ENSACAG00000003206.2	ENSMUSG00000037016.11, ENSMUSG00000042353.9
OG0001906	ENSACAG00000004526.3	ENSMUSG00000041132.11
OG0001906	ENSACAG00000004509.2	ENSMUSG00000029655.17
OG0001907	ENSACAG00000002978.3	ENSMUSG00000028081.6
OG0001908	ENSACAG00000012650.3	ENSMUSG00000032000.17, ENSMUSG00000057367.12
OG0001909	ENSACAG00000012966.3	ENSMUSG00000006262.15
OG0001911	ENSACAG00000016447.2	ENSMUSG00000061474.11
OG0001912	ENSACAG00000010017.3	ENSMUSG00000021645.16
OG0001913	ENSACAG00000022344.2	ENSMUSG00000021638.12
OG0001915	ENSACAG00000010508.2	ENSMUSG00000021707.5
OG0001916	ENSACAG00000016513.2	ENSMUSG00000046550.8
OG0001917	ENSACAG00000023403.1	ENSMUSG00000056829.4
OG0001918	ENSACAG00000001658.2	ENSMUSG00000024878.9
OG0001919	ENSACAG00000017625.3	ENSMUSG00000037996.17
OG0001920	ENSACAG00000007320.3	ENSMUSG00000069053.11
OG0001920	ENSACAG00000005270.3	ENSMUSG00000001924.15
OG0001921	ENSACAG00000001100.3	ENSMUSG00000023051.11
OG0001922	ENSACAG00000017365.3	ENSMUSG00000007682.6
OG0001922	ENSACAG00000026352.1	ENSMUSG00000075707.5
OG0001923	ENSACAG00000017639.3	ENSMUSG00000027751.13
OG0001924	ENSACAG00000008192.3	ENSMUSG00000060499.7, ENSMUSG00000058443.5, ENSMUSG00000008682.13
OG0001925	ENSACAG00000012219.2	ENSMUSG00000032566.4, ENSMUSG00000032565.9, ENSMUSG00000022516.10
OG0001926	ENSACAG00000012965.3	ENSMUSG00000031142.17
OG0001927	ENSACAG00000012729.3	ENSMUSG00000030666.11, ENSMUSG00000030669.13
OG0001928	ENSACAG00000009286.3	ENSMUSG00000037887.11
OG0001929	ENSACAG00000015010.2	ENSMUSG00000038611.17
OG0001930	ENSACAG00000002712.3	ENSMUSG00000026342.10
OG0001931	ENSACAG00000016881.3	ENSMUSG00000039307.16
OG0001932	ENSACAG00000007951.3	ENSMUSG00000020792.15
OG0001933	ENSACAG00000007983.3	ENSMUSG00000034616.17
OG0001934	ENSACAG00000008231.3	ENSMUSG00000075289.5, ENSMUSG00000097064.3
OG0001935	ENSACAG00000008549.2	ENSMUSG00000037477.8
OG0001936	ENSACAG00000002723.3	ENSMUSG00000036309.14
OG0001937	ENSACAG00000014390.2	ENSMUSG00000051056.5
OG0001938	ENSACAG00000007248.3	ENSMUSG00000030082.14
OG0001939	ENSACAG00000006214.2, ENSACAG00000006204.2, ENSACAG00000006223.2	ENSMUSG00000075225.14
OG0001940	ENSACAG00000006232.1	ENSMUSG00000019818.15
OG0001941	ENSACAG00000005285.3	ENSMUSG00000038246.7, ENSMUSG00000001962.8
OG0001942	ENSACAG00000010752.3	ENSMUSG00000024462.17
OG0001943	ENSACAG00000011664.3	ENSMUSG00000070520.4, ENSMUSG00000100937.1
OG0001944	ENSACAG00000010370.3	ENSMUSG00000059791.14
OG0001945	ENSACAG00000012147.2	ENSMUSG00000007038.5
OG0001946	ENSACAG00000010687.3	ENSMUSG00000007034.15
OG0001947	ENSACAG00000002315.2	ENSMUSG00000024939.6, ENSMUSG00000043068.6
OG0001948	ENSACAG00000009356.2	ENSMUSG00000052525.14
OG0001985	ENSACAG00000004065.3	ENSMUSG00000062997.6, ENSMUSG00000078193.2
OG0001986	ENSACAG00000008921.3	ENSMUSG00000060791.15
OG0001986	ENSACAG00000016607.3	ENSMUSG00000062014.13
OG0001987	ENSACAG00000011436.2	ENSMUSG00000028950.3
OG0001987	ENSACAG00000008627.2	ENSMUSG00000028738.14
OG0001988	ENSACAG00000000418.3	ENSMUSG00000022621.16
OG0001989	ENSACAG00000001810.3	ENSMUSG00000020990.5, ENSMUSG00000033966.8
OG0001991	ENSACAG00000025490.2	ENSMUSG00000040964.16
OG0001992	ENSACAG00000003255.2	ENSMUSG00000062070.12, ENSMUSG00000031233.6
OG0001993	ENSACAG00000003979.3	ENSMUSG00000062203.15
OG0001994	ENSACAG00000002443.1	ENSMUSG00000046093.9
OG0001994	ENSACAG00000001746.3	ENSMUSG00000054459.8
OG0001995	ENSACAG00000009759.3	ENSMUSG00000032399.8
OG0001996	ENSACAG00000003758.2	ENSMUSG00000022680.14
OG0001997	ENSACAG00000008222.2, ENSACAG00000022127.1	ENSMUSG00000040746.15
OG0001998	ENSACAG00000002319.3, ENSACAG00000014091.3	ENSMUSG00000030996.8
OG0001999	ENSACAG00000024525.2, ENSACAG00000003689.3	ENSMUSG00000060657.8
OG0002000	ENSACAG00000001156.3, ENSACAG00000011341.3	ENSMUSG00000068615.4
OG0002002	ENSACAG00000005503.2, ENSACAG00000009256.2	ENSMUSG00000037031.10
OG0002003	ENSACAG00000029354.1, ENSACAG00000028866.1, ENSACAG00000001226.3	ENSMUSG00000051220.2
OG0002004	ENSACAG00000002124.2	ENSMUSG00000034342.9
OG0002005	ENSACAG00000015140.3	ENSMUSG00000013662.6
OG0002006	ENSACAG00000005177.3	ENSMUSG00000026021.15
OG0002007	ENSACAG00000005048.2, ENSACAG00000009748.3	ENSMUSG00000021136.13
OG0002008	ENSACAG00000009829.3	ENSMUSG00000020076.7, ENSMUSG00000020075.8
OG0002009	ENSACAG00000026791.2	ENSMUSG00000052974.8, ENSMUSG00000078787.9
OG0002011	ENSACAG00000013184.3, ENSACAG00000028247.1, ENSACAG00000013118.2	ENSMUSG00000027187.10
OG0002012	ENSACAG00000000996.3	ENSMUSG00000004947.15
OG0002013	ENSACAG00000001975.2	ENSMUSG00000066621.12
OG0002015	ENSACAG00000009107.2	ENSMUSG00000054115.11, ENSMUSG00000111328.2
OG0002016	ENSACAG00000005024.3	ENSMUSG00000033526.16
OG0002017	ENSACAG00000013238.3	ENSMUSG00000029254.16, ENSMUSG00000038781.7
OG0002018	ENSACAG00000008989.3	ENSMUSG00000049152.11, ENSMUSG00000072664.11
OG0002019	ENSACAG00000001448.3	ENSMUSG00000058670.5, ENSMUSG00000042508.16
OG0002020	ENSACAG00000005818.3	ENSMUSG00000021848.16
OG0002021	ENSACAG00000001179.3	ENSMUSG00000031333.7
OG0002022	ENSACAG00000025893.2	ENSMUSG00000035506.16
OG0002023	ENSACAG00000004483.2	ENSMUSG00000029255.8
OG0002024	ENSACAG00000007658.3	ENSMUSG00000005069.12
OG0002025	ENSACAG00000027354.2, ENSACAG00000026181.2	ENSMUSG00000001855.15
OG0002026	ENSACAG00000015614.3, ENSACAG00000024183.1, ENSACAG00000010879.3	ENSMUSG00000029423.10
OG0002027	ENSACAG00000015464.3, ENSACAG00000000923.3	ENSMUSG00000034903.18
OG0002028	ENSACAG00000015514.3	ENSMUSG00000025511.15
OG0002029	ENSACAG00000000910.3, ENSACAG00000027131.2	ENSMUSG00000054293.10, ENSMUSG00000050921.12
OG0002030	ENSACAG00000025211.2	ENSMUSG00000026750.6, ENSMUSG00000031897.9
OG0002031	ENSACAG00000017151.2	ENSMUSG00000032098.13
OG0002032	ENSACAG00000006090.3, ENSACAG00000006424.3	ENSMUSG00000111123.2, ENSMUSG00000023307.14
OG0002033	ENSACAG00000005169.3	ENSMUSG00000043909.16
OG0002034	ENSACAG00000003722.2	ENSMUSG00000005803.14
OG0002035	ENSACAG00000001832.2	ENSMUSG00000022136.8
OG0002036	ENSACAG00000016787.3	ENSMUSG00000046865.7, ENSMUSG00000051062.6
OG0002037	ENSACAG00000026804.1	ENSMUSG00000024844.15
OG0002039	ENSACAG00000001869.3	ENSMUSG00000022178.11, ENSMUSG00000022177.9
OG0002040	ENSACAG00000002161.3	ENSMUSG00000053460.8, ENSMUSG00000103019.2
OG0002041	ENSACAG00000008203.3	ENSMUSG00000074734.3, ENSMUSG00000009596.9, ENSMUSG00000051316.8
OG0002042	ENSACAG00000010232.3	ENSMUSG00000037373.12
OG0002044	ENSACAG00000004574.3, ENSACAG00000000656.3	ENSMUSG00000022558.16
OG0002045	ENSACAG00000008531.3	ENSMUSG00000025745.12
OG0002046	ENSACAG00000010759.3	ENSMUSG00000005107.13
OG0002047	ENSACAG00000016852.3, ENSACAG00000028266.1	ENSMUSG00000019851.8
OG0002049	ENSACAG00000007693.3	ENSMUSG00000060034.5
OG0002049	ENSACAG00000007701.2	ENSMUSG00000042340.6
OG0002050	ENSACAG00000012200.2	ENSMUSG00000036893.17
OG0002051	ENSACAG00000007606.3	ENSMUSG00000108815.1, ENSMUSG00000042308.14
OG0002052	ENSACAG00000002628.2	ENSMUSG00000051855.15
OG0002053	ENSACAG00000003281.3	ENSMUSG00000038550.10
OG0002054	ENSACAG00000002676.3, ENSACAG00000026387.1	ENSMUSG00000057738.14
OG0002055	ENSACAG00000007108.2, ENSACAG00000022516.1	ENSMUSG00000049739.10
OG0002056	ENSACAG00000017755.3	ENSMUSG00000028760.16
OG0002057	ENSACAG00000001999.3	ENSMUSG00000025157.8
OG0002058	ENSACAG00000013761.3	ENSMUSG00000040761.16
OG0002059	ENSACAG00000011629.2	ENSMUSG00000079440.2, ENSMUSG00000036500.4, ENSMUSG00000026246.12
OG0002060	ENSACAG00000012876.3	ENSMUSG00000028433.14
OG0002061	ENSACAG00000014723.3	ENSMUSG00000045374.18
OG0002062	ENSACAG00000013897.3, ENSACAG00000015653.2	ENSMUSG00000070327.14
OG0002063	ENSACAG00000015655.2	ENSMUSG00000032120.11
OG0002064	ENSACAG00000016202.3	ENSMUSG00000022122.15
OG0002065	ENSACAG00000012604.3	ENSMUSG00000022556.11
OG0002066	ENSACAG00000012223.2	ENSMUSG00000046615.2, ENSMUSG00000051276.4
OG0002067	ENSACAG00000011049.2, ENSACAG00000006857.3	ENSMUSG00000032372.14, ENSMUSG00000032369.13
OG0002068	ENSACAG00000004724.3	ENSMUSG00000004069.17
OG0002069	ENSACAG00000017730.3	ENSMUSG00000031993.7
OG0002070	ENSACAG00000001267.2, ENSACAG00000001891.3	ENSMUSG00000029462.18
OG0002071	ENSACAG00000005674.3	ENSMUSG00000038473.14
OG0002073	ENSACAG00000012533.3, ENSACAG00000028355.1	ENSMUSG00000051483.9, ENSMUSG00000082815.2, ENSMUSG00000022947.8
OG0002074	ENSACAG00000015031.2	ENSMUSG00000030699.16
OG0002075	ENSACAG00000001078.3	ENSMUSG00000018559.16
OG0002076	ENSACAG00000000960.3	ENSMUSG00000030655.15
OG0002077	ENSACAG00000015409.2	ENSMUSG00000000171.5
OG0002078	ENSACAG00000005857.2	ENSMUSG00000027386.9
OG0002079	ENSACAG00000003163.2	ENSMUSG00000033543.17
OG0002080	ENSACAG00000003282.2	ENSMUSG00000044950.7
OG0002081	ENSACAG00000001124.2, ENSACAG00000010631.3, ENSACAG00000002103.2	ENSMUSG00000112449.1, ENSMUSG00000073079.6, ENSMUSG00000079108.6
OG0002082	ENSACAG00000008507.3	ENSMUSG00000021693.20
OG0002083	ENSACAG00000015936.3	ENSMUSG00000035284.10
OG0002084	ENSACAG00000011287.3, ENSACAG00000029417.1, ENSACAG00000029159.1	ENSMUSG00000044734.16, ENSMUSG00000079049.9, ENSMUSG00000051029.8
OG0002085	ENSACAG00000007793.2, ENSACAG00000009903.3	ENSMUSG00000048602.9, ENSMUSG00000034543.15
OG0002086	ENSACAG00000015120.2	ENSMUSG00000032212.10
OG0002087	ENSACAG00000010604.3	ENSMUSG00000111321.2, ENSMUSG00000003526.12
OG0002088	ENSACAG00000016047.2	ENSMUSG00000058600.13
OG0002089	ENSACAG00000001609.3	ENSMUSG00000078486.3
OG0002090	ENSACAG00000014277.3	ENSMUSG00000032228.16
OG0002091	ENSACAG00000006425.3	ENSMUSG00000024338.15
OG0002092	ENSACAG00000004122.3	ENSMUSG00000041670.17, ENSMUSG00000111628.3
OG0002093	ENSACAG00000014184.2	ENSMUSG00000038535.17, ENSMUSG00000036916.13
OG0002094	ENSACAG00000003440.3	ENSMUSG00000028218.19
OG0002095	ENSACAG00000008217.2	ENSMUSG00000046714.7, ENSMUSG00000050295.4
OG0002096	ENSACAG00000012939.3	ENSMUSG00000008892.12
OG0002097	ENSACAG00000002819.2	ENSMUSG00000023452.19, ENSMUSG00000093574.1
OG0002098	ENSACAG00000003128.3	ENSMUSG00000033444.14
OG0002099	ENSACAG00000003297.2	ENSMUSG00000033416.15
OG0002100	ENSACAG00000010518.3	ENSMUSG00000007564.15
OG0002101	ENSACAG00000010602.3, ENSACAG00000026592.1, ENSACAG00000027962.1	ENSMUSG00000035148.4
OG0002102	ENSACAG00000015100.3	ENSMUSG00000031310.16
OG0002103	ENSACAG00000010866.3	ENSMUSG00000034327.17
OG0002104	ENSACAG00000010472.3	ENSMUSG00000028223.8
OG0002105	ENSACAG00000029312.1	ENSMUSG00000079278.1
OG0002106	ENSACAG00000003756.2	ENSMUSG00000067274.10
OG0002107	ENSACAG00000016697.1	ENSMUSG00000047104.5, ENSMUSG00000032959.12
OG0002108	ENSACAG00000029182.1	ENSMUSG00000027506.15
OG0002109	ENSACAG00000011685.3	ENSMUSG00000054051.7
OG0002110	ENSACAG00000007880.3	ENSMUSG00000022201.16
OG0002111	ENSACAG00000016834.2	ENSMUSG00000025128.7
OG0002112	ENSACAG00000028758.1	ENSMUSG00000071497.4, ENSMUSG00000008450.8
OG0002113	ENSACAG00000016487.3	ENSMUSG00000025915.14
OG0002114	ENSACAG00000002966.3	ENSMUSG00000019189.13
OG0002115	ENSACAG00000007043.3	ENSMUSG00000024990.13
OG0002116	ENSACAG00000016435.3, ENSACAG00000006858.3	ENSMUSG00000038403.10
OG0002117	ENSACAG00000001829.3	ENSMUSG00000033615.9
OG0002118	ENSACAG00000006179.3	ENSMUSG00000061518.11, ENSMUSG00000079941.1
OG0002119	ENSACAG00000026968.2	ENSMUSG00000025586.17
OG0002120	ENSACAG00000004294.2	ENSMUSG00000047714.14
OG0002121	ENSACAG00000003187.3	ENSMUSG00000027861.13
OG0002121	ENSACAG00000015755.3	ENSMUSG00000007122.11
OG0002122	ENSACAG00000008709.3	ENSMUSG00000021767.19
OG0002123	ENSACAG00000001112.2, ENSACAG00000001153.3, ENSACAG00000020962.3, ENSACAG00000001039.3	ENSMUSG00000016256.10
OG0002124	ENSACAG00000010069.3, ENSACAG00000029211.1	ENSMUSG00000035818.14
OG0002125	ENSACAG00000008857.3	ENSMUSG00000065954.11
OG0002126	ENSACAG00000005355.2, ENSACAG00000028599.1	ENSMUSG00000049653.5
OG0002127	ENSACAG00000016380.3	ENSMUSG00000022519.14
OG0002128	ENSACAG00000014989.3	ENSMUSG00000042772.15
OG0002129	ENSACAG00000007550.2	ENSMUSG00000014504.16
OG0002130	ENSACAG00000012410.3	ENSMUSG00000052396.7
OG0002131	ENSACAG00000013561.2	ENSMUSG00000029179.14
OG0002132	ENSACAG00000004624.2, ENSACAG00000013263.3	ENSMUSG00000039059.11
OG0002133	ENSACAG00000008855.2	ENSMUSG00000014633.15
OG0002134	ENSACAG00000008905.3	ENSMUSG00000034424.5
OG0002135	ENSACAG00000003858.2	ENSMUSG00000020397.15
OG0002136	ENSACAG00000002297.3	ENSMUSG00000021156.17
OG0002137	ENSACAG00000003581.2	ENSMUSG00000028411.15
OG0002138	ENSACAG00000003233.2	ENSMUSG00000021377.15
OG0002139	ENSACAG00000000628.3	ENSMUSG00000024231.15
OG0002140	ENSACAG00000009029.3	ENSMUSG00000004285.12
OG0002141	ENSACAG00000006853.3	ENSMUSG00000029864.7
OG0002142	ENSACAG00000006099.3	ENSMUSG00000038346.18
OG0002143	ENSACAG00000015538.1	ENSMUSG00000118505.1
OG0002144	ENSACAG00000015648.3	ENSMUSG00000023084.11
OG0002145	ENSACAG00000013274.2	ENSMUSG00000015217.11
OG0002146	ENSACAG00000002671.3	ENSMUSG00000022235.15
OG0002147	ENSACAG00000008637.3	ENSMUSG00000098923.1
OG0002148	ENSACAG00000006810.3	ENSMUSG00000003779.16
OG0002149	ENSACAG00000004215.3	ENSMUSG00000025781.14
OG0002150	ENSACAG00000006633.3	ENSMUSG00000033268.8, ENSMUSG00000068452.8
OG0002151	ENSACAG00000014386.2	ENSMUSG00000070426.12
OG0002152	ENSACAG00000017247.3	ENSMUSG00000040312.14
OG0002153	ENSACAG00000017251.3	ENSMUSG00000050410.15
OG0002154	ENSACAG00000012439.3	ENSMUSG00000026674.9
OG0002155	ENSACAG00000017805.3	ENSMUSG00000024734.8
OG0002156	ENSACAG00000011914.2	ENSMUSG00000029207.16
OG0002157	ENSACAG00000008771.3	ENSMUSG00000028111.4
OG0002158	ENSACAG00000029626.1	ENSMUSG00000015013.9
OG0002159	ENSACAG00000015458.3	ENSMUSG00000048154.17
OG0002160	ENSACAG00000021929.1	ENSMUSG00000063838.6
OG0002161	ENSACAG00000029194.1	ENSMUSG00000040225.15
OG0002162	ENSACAG00000025554.1	ENSMUSG00000041566.3, ENSMUSG00000045521.7
OG0002163	ENSACAG00000001761.3	ENSMUSG00000041720.14
OG0002164	ENSACAG00000022375.2, ENSACAG00000017552.2	ENSMUSG00000024660.9
OG0002165	ENSACAG00000015944.2	ENSMUSG00000036751.7
OG0002166	ENSACAG00000012992.3	ENSMUSG00000004980.16
OG0002167	ENSACAG00000003049.3	ENSMUSG00000025794.9
OG0002168	ENSACAG00000011163.3	ENSMUSG00000046947.12
OG0002169	ENSACAG00000007341.3	ENSMUSG00000001833.17
OG0002170	ENSACAG00000002649.2	ENSMUSG00000021981.10, ENSMUSG00000036707.16
OG0002171	ENSACAG00000002554.2, ENSACAG00000021978.1	ENSMUSG00000026271.15
OG0002172	ENSACAG00000014817.3	ENSMUSG00000001783.3
