Orthogroup	A_carolinensis.pep	P_Mucros.pep
OG0001393	ENSACAG00000005404.3	XP_015671805.1
OG0001394	ENSACAG00000017842.2	XP_029141102.1
OG0001395	ENSACAG00000005290.2	XP_015671807.1
OG0001396	ENSACAG00000014216.3	XP_015684337.2
OG0001397	ENSACAG00000001408.2	XP_015680029.1, XP_015680036.1
OG0001397	ENSACAG00000000754.3	XP_015682459.1, XP_015682458.1
OG0001398	ENSACAG00000016143.3	XP_015666682.1
OG0001399	ENSACAG00000000032.3	XP_029139611.1
OG0001399	ENSACAG00000013381.2	XP_015675547.1
OG0001400	ENSACAG00000013388.3	XP_015666099.1
OG0001400	ENSACAG00000004967.3	XP_015665953.1
OG0001401	ENSACAG00000012672.3	XP_015677098.1
OG0001401	ENSACAG00000008227.3	XP_015683449.2
OG0001402	ENSACAG00000003681.2	XP_015683506.1
OG0001402	ENSACAG00000006947.3	XP_015668438.1
OG0001403	ENSACAG00000002832.2	XP_015678641.1
OG0001403	ENSACAG00000004821.3	XP_015674405.1
OG0001404	ENSACAG00000010934.2	XP_015679575.1
OG0001405	ENSACAG00000007502.3	XP_015667243.1
OG0001406	ENSACAG00000016659.3	XP_015687234.1
OG0001407	ENSACAG00000000492.3	XP_015679724.1, XP_015679723.1, XP_015679725.1
OG0001408	ENSACAG00000008197.3	XP_015671658.1
OG0001408	ENSACAG00000003285.3	XP_015687684.2
OG0001409	ENSACAG00000016285.3	XP_015687363.1
OG0001410	ENSACAG00000016655.3	XP_029141189.1
OG0001410	ENSACAG00000007870.3	XP_015671029.1
OG0001411	ENSACAG00000005123.2	XP_029139205.1
OG0001411	ENSACAG00000007459.2	XP_029141142.1
OG0001412	ENSACAG00000017798.3	XP_015672299.1, XP_015672298.1, XP_015672300.1, XP_015672301.1, XP_029140135.1, XP_015672303.1
OG0001412	ENSACAG00000017087.3	XP_015680943.1
OG0001413	ENSACAG00000003634.3	XP_015669010.1
OG0001414	ENSACAG00000012841.2	XP_029139728.1
OG0001415	ENSACAG00000013098.3	XP_029139726.1
OG0001416	ENSACAG00000012572.3	XP_015668341.1, XP_015668333.1
OG0001417	ENSACAG00000004833.3	XP_015673487.1
OG0001417	ENSACAG00000014550.3	XP_029139198.1
OG0001418	ENSACAG00000008399.3	XP_015681592.1
OG0001419	ENSACAG00000010279.3	XP_015687851.1
OG0001419	ENSACAG00000016734.3	XP_015681105.1
OG0001420	ENSACAG00000010690.2	XP_015687862.1
OG0001420	ENSACAG00000028601.1	XP_015687861.1
OG0001421	ENSACAG00000017942.3	XP_015679361.2
OG0001421	ENSACAG00000000448.3	XP_015677600.1
OG0001422	ENSACAG00000017865.3	XP_015670351.1
OG0001423	ENSACAG00000017934.3	XP_015682137.1
OG0001423	ENSACAG00000008196.3	XP_015669039.1
OG0001424	ENSACAG00000017929.3	XP_015682136.1
OG0001424	ENSACAG00000008154.3	XP_015669040.1
OG0001425	ENSACAG00000012517.3	XP_015665663.1
OG0001425	ENSACAG00000002940.3	XP_015674139.1
OG0001426	ENSACAG00000002062.3	XP_015676819.1
OG0001426	ENSACAG00000010422.3	XP_015670725.1
OG0001427	ENSACAG00000005186.3	XP_015667775.1
OG0001428	ENSACAG00000012614.3	XP_015667710.1
OG0001429	ENSACAG00000016733.3	XP_015685174.1
OG0001430	ENSACAG00000017918.3	XP_015682122.1
OG0001430	ENSACAG00000017903.2	XP_015682121.2
OG0001431	ENSACAG00000008539.3	XP_015670595.1
OG0001431	ENSACAG00000008119.2	XP_015681157.1
OG0001432	ENSACAG00000007317.3	XP_015687446.1
OG0001434	ENSACAG00000014898.3	XP_015675061.1
OG0001434	ENSACAG00000006901.3	XP_015669892.1
OG0001435	ENSACAG00000008642.3	XP_015673204.1
OG0001435	ENSACAG00000009783.2	XP_015679910.1
OG0001436	ENSACAG00000015148.3	XP_015676954.1
OG0001437	ENSACAG00000029597.1	XP_029141483.1
OG0001437	ENSACAG00000012552.3	XP_029142221.1
OG0001438	ENSACAG00000004390.3	XP_015675398.1, XP_015675397.1, XP_015682950.1
OG0001439	ENSACAG00000015913.3	XP_015668158.1
OG0001440	ENSACAG00000010086.3	XP_015674048.1
OG0001441	ENSACAG00000013243.3	XP_015676237.1
OG0001442	ENSACAG00000001479.2	XP_015683456.1, XP_015683457.1
OG0001443	ENSACAG00000002423.3	XP_015681579.1
OG0001444	ENSACAG00000003262.3	XP_015679757.1
OG0001445	ENSACAG00000002620.3	XP_015677565.1
OG0001446	ENSACAG00000001528.3	XP_015668499.1
OG0001447	ENSACAG00000015864.3	XP_015671216.1
OG0001448	ENSACAG00000015126.3, ENSACAG00000015139.3	XP_029141583.1
OG0001449	ENSACAG00000006146.3	XP_015682591.1
OG0001450	ENSACAG00000021076.3	XP_015671421.1
OG0001450	ENSACAG00000014709.2	XP_015680792.1
OG0001451	ENSACAG00000017231.2	XP_029143112.1
OG0001451	ENSACAG00000017225.3	XP_029143113.1, XP_015687330.1, XP_029143115.1
OG0001452	ENSACAG00000009720.3	XP_015678733.1
OG0001453	ENSACAG00000017556.3	XP_015677188.1
OG0001454	ENSACAG00000002348.3	XP_015675959.1
OG0001455	ENSACAG00000009468.3	XP_015686417.1, XP_015684937.1
OG0001456	ENSACAG00000012986.3	XP_029142881.1, XP_015682859.1
OG0001457	ENSACAG00000025303.2	XP_015675048.1
OG0001457	ENSACAG00000012596.3	XP_015675046.1
OG0001458	ENSACAG00000010432.3	XP_029140656.1
OG0001459	ENSACAG00000029619.1	XP_015681486.1
OG0001460	ENSACAG00000016587.3	XP_015679368.1
OG0001461	ENSACAG00000012874.3	XP_015676186.1
OG0001463	ENSACAG00000005884.3	XP_015673147.1, XP_015686234.1, XP_015685314.2, XP_015682341.1, XP_015682343.1, XP_015682342.1
OG0001464	ENSACAG00000015287.3	XP_015687250.1, XP_015687251.1, XP_015687253.1, XP_015687252.1, XP_015687254.1
OG0001465	ENSACAG00000010517.3	XP_015682576.1
OG0001466	ENSACAG00000010952.3	XP_029142211.1, XP_015686437.1
OG0001467	ENSACAG00000012433.2	XP_029140661.1
OG0001468	ENSACAG00000004817.3	XP_015672334.1
OG0001469	ENSACAG00000011678.3	XP_015671929.1, XP_015683107.1
OG0001470	ENSACAG00000008438.2	XP_015671473.1
OG0001493	ENSACAG00000010423.2	XP_015674961.1
OG0001493	ENSACAG00000026291.1	XP_015674962.2
OG0001493	ENSACAG00000024240.2	XP_015681594.1
OG0001494	ENSACAG00000010197.3	XP_015670707.1
OG0001495	ENSACAG00000005479.3, ENSACAG00000011459.2	XP_015672330.1
OG0001496	ENSACAG00000029140.1	XP_029140083.1
OG0001497	ENSACAG00000023362.1	XP_015665538.2
OG0001497	ENSACAG00000007057.2	XP_015687047.1
OG0001499	ENSACAG00000026558.1, ENSACAG00000023176.1, ENSACAG00000022648.1, ENSACAG00000013049.2, ENSACAG00000025537.1, ENSACAG00000023689.1, ENSACAG00000022183.1, ENSACAG00000025979.1, ENSACAG00000025300.1, ENSACAG00000028133.1, ENSACAG00000023535.1, ENSACAG00000010081.2, ENSACAG00000025707.1, ENSACAG00000021974.1, ENSACAG00000027251.1	XP_015686590.2
OG0001500	ENSACAG00000007454.3	XP_015672273.2
OG0001501	ENSACAG00000004343.3	XP_029140743.1
OG0001501	ENSACAG00000009950.3	XP_029141951.1, XP_029141691.1
OG0001503	ENSACAG00000015858.3	XP_015666413.2
OG0001503	ENSACAG00000017710.3	XP_015670685.1
OG0001504	ENSACAG00000015454.3	XP_015683068.1
OG0001505	ENSACAG00000013132.3	XP_015676914.1
OG0001505	ENSACAG00000003490.3	XP_015676771.1
OG0001506	ENSACAG00000013305.3	XP_015668162.1
OG0001506	ENSACAG00000011883.3	XP_015668759.1
OG0001507	ENSACAG00000008826.3	XP_029141345.1
OG0001508	ENSACAG00000026579.1	XP_029139881.1
OG0001508	ENSACAG00000016653.3	XP_015670997.1, XP_015670996.1, XP_015670995.1
OG0001509	ENSACAG00000003376.3	XP_015680243.1
OG0001510	ENSACAG00000017884.3, ENSACAG00000004404.3	XP_015678831.1
OG0001511	ENSACAG00000000511.3	XP_015676521.1
OG0001512	ENSACAG00000009276.2	XP_015678450.1
OG0001512	ENSACAG00000005530.3	XP_015666591.1
OG0001513	ENSACAG00000000487.1	XP_015678320.1
OG0001513	ENSACAG00000005376.3	XP_015675344.2
OG0001514	ENSACAG00000004076.3	XP_015669395.2
OG0001515	ENSACAG00000004011.3	XP_015669394.1
OG0001516	ENSACAG00000003865.2	XP_015683616.1
OG0001516	ENSACAG00000003938.3	XP_015669355.1
OG0001517	ENSACAG00000026814.2	XP_029142838.1
OG0001517	ENSACAG00000004077.2	XP_015684330.1
OG0001518	ENSACAG00000004991.3	XP_015687824.1
OG0001520	ENSACAG00000017646.2, ENSACAG00000027045.1	XP_015670689.1
OG0001520	ENSACAG00000014768.2	XP_015684157.1
OG0001521	ENSACAG00000005331.2	XP_015667464.1
OG0001522	ENSACAG00000003773.3	XP_015686718.1
OG0001522	ENSACAG00000004964.3	XP_015666770.1, XP_015666769.1
OG0001523	ENSACAG00000003450.2	XP_015681867.1
OG0001524	ENSACAG00000003447.3	XP_015685027.1
OG0001524	ENSACAG00000008416.3	XP_015668617.1
OG0001525	ENSACAG00000028384.1	XP_015682819.1
OG0001526	ENSACAG00000025960.2	XP_015684389.1, XP_015684457.1, XP_015684552.1
OG0001527	ENSACAG00000029230.1	XP_015665619.1
OG0001527	ENSACAG00000028839.1, ENSACAG00000029124.1, ENSACAG00000010744.2	XP_015665640.1, XP_015665641.1
OG0001528	ENSACAG00000017178.2	XP_015665749.1
OG0001528	ENSACAG00000017352.3	XP_029142223.1
OG0001529	ENSACAG00000021976.1, ENSACAG00000028052.1, ENSACAG00000024641.1	XP_015677482.1, XP_015677480.1
OG0001529	ENSACAG00000024575.1	XP_015677492.1, XP_029141077.1, XP_015677489.1, XP_015677488.1, XP_015677490.1
OG0001529	ENSACAG00000023955.1	XP_029141075.1, XP_015677486.2, XP_015677483.1
OG0001530	ENSACAG00000004840.3	XP_015673989.1
OG0001530	ENSACAG00000012048.2	XP_015666261.2, XP_029138940.1
OG0001531	ENSACAG00000005956.3	XP_015673964.1
OG0001531	ENSACAG00000012868.2	XP_015682389.1
OG0001532	ENSACAG00000000594.3	XP_015668842.1, XP_015668843.1, XP_029139456.1
OG0001533	ENSACAG00000017174.3	XP_015668373.1
OG0001534	ENSACAG00000017898.3	XP_015677650.1
OG0001535	ENSACAG00000000231.3	XP_029140571.1
OG0001535	ENSACAG00000009768.3	XP_015681776.1
OG0001536	ENSACAG00000013207.3	XP_015665862.1
OG0001536	ENSACAG00000000490.3	XP_015676407.1
OG0001537	ENSACAG00000000597.2	XP_015681357.1
OG0001538	ENSACAG00000010171.2	XP_015684811.1, XP_015684812.1, XP_015666018.1, XP_015666019.1
OG0001538	ENSACAG00000014395.1	XP_015678790.1
OG0001539	ENSACAG00000014385.3	XP_015670951.1
OG0001539	ENSACAG00000012482.3	XP_015669233.1
OG0001541	ENSACAG00000001886.3	XP_029139006.1
OG0001542	ENSACAG00000006577.2	XP_029138995.1
OG0001542	ENSACAG00000008749.2	XP_015676092.1
OG0001543	ENSACAG00000004688.3	XP_015681928.1
OG0001544	ENSACAG00000011824.2, ENSACAG00000014536.2	XP_015676221.1
OG0001545	ENSACAG00000007274.3	XP_015681063.1
OG0001547	ENSACAG00000013865.3	XP_029142006.1
OG0001548	ENSACAG00000010833.3	XP_015687180.1
OG0001549	ENSACAG00000010771.3	XP_015687188.1
OG0001550	ENSACAG00000017846.3	XP_015675779.2
OG0001551	ENSACAG00000006466.2	XP_015682666.1
OG0001551	ENSACAG00000017833.2	XP_015670660.1
OG0001552	ENSACAG00000022998.2	XP_015674094.1
OG0001553	ENSACAG00000009162.3, ENSACAG00000015999.3	XP_029141875.1, XP_029141877.1, XP_029141876.1
OG0001554	ENSACAG00000023820.1, ENSACAG00000025644.1	XP_015675066.1
OG0001555	ENSACAG00000015190.3	XP_015683152.1, XP_015678910.1
OG0001556	ENSACAG00000014751.3	XP_015684962.1
OG0001558	ENSACAG00000008957.3	XP_015685863.1
OG0001558	ENSACAG00000008981.2	XP_015681348.1
OG0001559	ENSACAG00000015354.3	XP_029140255.1
OG0001560	ENSACAG00000007255.3	XP_029139356.1
OG0001561	ENSACAG00000003557.2	XP_029139688.1
OG0001562	ENSACAG00000010889.3	XP_015671235.1
OG0001562	ENSACAG00000001329.3	XP_015678605.2
OG0001563	ENSACAG00000005622.3, ENSACAG00000005639.2	XP_015668896.1, XP_015668897.1
OG0001563	ENSACAG00000005664.3	XP_029139495.1
OG0001564	ENSACAG00000028776.1, ENSACAG00000029505.1	XP_029142928.1, XP_029141518.1, XP_029142179.1, XP_015674328.1, XP_015667216.1
OG0001565	ENSACAG00000003346.2	XP_015679290.1
OG0001566	ENSACAG00000007038.3	XP_029139324.1
OG0001567	ENSACAG00000017539.2	XP_015678967.1
OG0001567	ENSACAG00000011055.2	XP_029142160.1
OG0001568	ENSACAG00000004292.2, ENSACAG00000003551.2	XP_015671518.1
OG0001569	ENSACAG00000001703.3	XP_015686560.1
OG0001569	ENSACAG00000029036.1	XP_015665850.1
OG0001570	ENSACAG00000029504.1	XP_015674706.1
OG0001570	ENSACAG00000013018.2	XP_015674703.1
OG0001571	ENSACAG00000010700.3	XP_015683980.1
OG0001572	ENSACAG00000028984.1	XP_015677116.1
OG0001573	ENSACAG00000017065.3	XP_029138805.1
OG0001574	ENSACAG00000026987.1, ENSACAG00000014114.3, ENSACAG00000007128.3, ENSACAG00000024787.2	XP_029140216.1, XP_029140214.1, XP_015672632.2, XP_029140215.1, XP_015672634.1, XP_029140217.1
OG0001575	ENSACAG00000004510.3	XP_015681811.1
OG0001575	ENSACAG00000006730.2	XP_015680510.1
OG0001576	ENSACAG00000005004.2	XP_015683743.1
OG0001576	ENSACAG00000004971.3	XP_015683744.1
OG0001577	ENSACAG00000011844.2	XP_015675930.2, XP_015684876.1
OG0001578	ENSACAG00000005694.3	XP_015667862.1
OG0001580	ENSACAG00000000477.3	XP_015673360.1
OG0001580	ENSACAG00000003724.3	XP_015682153.2
OG0001581	ENSACAG00000014601.3	XP_015687923.1, XP_015666663.1
OG0001582	ENSACAG00000003188.2	XP_015685939.1, XP_015665465.1
OG0001583	ENSACAG00000003304.2	XP_015673568.1
OG0001583	ENSACAG00000010649.2	XP_015672884.1
OG0001584	ENSACAG00000000107.2	XP_029142274.1
OG0001585	ENSACAG00000015594.2	XP_029139447.1
OG0001586	ENSACAG00000004928.3	XP_015683827.1
OG0001586	ENSACAG00000004935.2	XP_029142483.1
OG0001587	ENSACAG00000009560.3	XP_029141425.1
OG0001587	ENSACAG00000013699.3	XP_015678773.1
OG0001588	ENSACAG00000003012.3	XP_015679523.1
OG0001588	ENSACAG00000012227.2	XP_015673936.1
OG0001589	ENSACAG00000003561.2	XP_029139111.1
OG0001590	ENSACAG00000011663.3	XP_015678040.1
OG0001590	ENSACAG00000008323.3	XP_015685920.1
OG0001591	ENSACAG00000011485.2	XP_015677299.1, XP_015671728.1
OG0001592	ENSACAG00000008086.2	XP_015677710.1
OG0001593	ENSACAG00000016761.2	XP_015680801.1
OG0001593	ENSACAG00000017341.3	XP_015687574.1
OG0001594	ENSACAG00000016416.3	XP_015674225.1, XP_015674226.1, XP_015674227.1
OG0001595	ENSACAG00000007552.3	XP_015677877.1
OG0001596	ENSACAG00000007166.3	XP_015669613.1
OG0001597	ENSACAG00000000466.3	XP_015686501.1, XP_015677717.1, XP_015686783.1, XP_015686787.2
OG0001598	ENSACAG00000003983.3	XP_015679066.1, XP_015679065.1
OG0001599	ENSACAG00000013939.3	XP_015668398.1, XP_015668399.1
OG0001600	ENSACAG00000014010.3	XP_015668396.1
OG0001601	ENSACAG00000010082.3	XP_015686731.1, XP_015686701.1, XP_015686688.1, XP_015686695.1, XP_015686708.1, XP_015686715.1, XP_015686725.1, XP_015686720.1
OG0001602	ENSACAG00000007583.3	XP_015666142.1, XP_015679457.1, XP_015679456.1
OG0001603	ENSACAG00000023169.2	XP_015667045.1, XP_015667048.1, XP_015667047.1, XP_015667046.1, XP_015678615.1
OG0001604	ENSACAG00000014253.3	XP_015670140.1
OG0001604	ENSACAG00000028397.1	XP_015670139.1
OG0001605	ENSACAG00000006302.2	XP_015683051.1
OG0001605	ENSACAG00000017965.2	XP_029140322.1
OG0001606	ENSACAG00000004944.3	XP_015684213.1
OG0001606	ENSACAG00000008201.3	XP_029140645.1
OG0001607	ENSACAG00000001054.3	XP_015666755.1
OG0001608	ENSACAG00000006878.3	XP_029139038.1
OG0001609	ENSACAG00000013955.3	XP_015665703.1
OG0001610	ENSACAG00000008261.3	XP_015669627.1
OG0001610	ENSACAG00000029267.1	XP_015670757.1
OG0001611	ENSACAG00000001922.2	XP_015679198.1, XP_015679197.1, XP_015679196.1
OG0001612	ENSACAG00000000126.3	XP_029140211.1
OG0001613	ENSACAG00000014482.2	XP_015671605.1
OG0001614	ENSACAG00000000650.3	XP_015680351.1
OG0001615	ENSACAG00000010030.3	XP_029141576.1
OG0001616	ENSACAG00000002753.2	XP_015673100.1
OG0001618	ENSACAG00000007776.3	XP_029142041.1
OG0001619	ENSACAG00000010308.3	XP_015679682.1
OG0001620	ENSACAG00000007314.3	XP_015674012.1
OG0001620	ENSACAG00000005174.2	XP_015679360.1
OG0001621	ENSACAG00000028517.1	XP_015677839.1
OG0001621	ENSACAG00000006248.2	XP_015682426.1
OG0001622	ENSACAG00000014912.2	XP_015683690.1, XP_015666028.1, XP_015679937.2
OG0001623	ENSACAG00000003060.3	XP_015670925.1
OG0001624	ENSACAG00000014231.2	XP_015670681.1
OG0001624	ENSACAG00000015363.3	XP_015670240.1
OG0001625	ENSACAG00000015243.2	XP_015666409.1, XP_015678121.1
OG0001626	ENSACAG00000013907.3	XP_015667064.1
OG0001627	ENSACAG00000013020.3	XP_015687513.1
OG0001628	ENSACAG00000004907.2	XP_015671220.1
OG0001628	ENSACAG00000016534.1	XP_015678497.1
OG0001629	ENSACAG00000013407.2	XP_015667318.1, XP_015667317.1, XP_015667316.1, XP_015667314.1, XP_015667319.1
OG0001630	ENSACAG00000020975.2, ENSACAG00000028952.1	XP_015670885.1
OG0001631	ENSACAG00000000033.3	XP_015669658.1
OG0001632	ENSACAG00000013539.3	XP_015667644.1, XP_015667643.1
OG0001633	ENSACAG00000012973.3	XP_015666074.1, XP_015666076.1, XP_015666075.1
OG0001634	ENSACAG00000013338.3	XP_015675815.1
OG0001634	ENSACAG00000016815.3	XP_015673728.1
OG0001635	ENSACAG00000022448.2	XP_015671781.1, XP_015671782.1
OG0001636	ENSACAG00000011370.3	XP_015672708.1
OG0001636	ENSACAG00000002428.3	XP_015677541.1
OG0001637	ENSACAG00000003989.2	XP_015685629.1
OG0001638	ENSACAG00000008281.3	XP_015669626.1
OG0001638	ENSACAG00000006212.2	XP_015670526.1
OG0001640	ENSACAG00000006450.3	XP_015669202.1
OG0001641	ENSACAG00000012251.3	XP_015670089.1
OG0001642	ENSACAG00000013892.3	XP_029139615.1
OG0001642	ENSACAG00000012261.2	XP_015677611.1
OG0001643	ENSACAG00000005069.3	XP_015681243.1
OG0001643	ENSACAG00000013452.3	XP_015668124.1
OG0001644	ENSACAG00000012951.3	XP_029143058.1
OG0001645	ENSACAG00000014291.2	XP_015666787.2
OG0001646	ENSACAG00000012417.3	XP_015668365.1
OG0001647	ENSACAG00000015138.2	XP_015666870.1, XP_015666871.1
OG0001648	ENSACAG00000000564.3	XP_015673583.1, XP_029140356.1, XP_015673582.1, XP_015673584.1
OG0001649	ENSACAG00000017319.3	XP_029143182.1
OG0001650	ENSACAG00000017346.3	XP_015687729.1, XP_015687730.1, XP_015682261.1
OG0001651	ENSACAG00000006675.3	XP_015675172.1
OG0001651	ENSACAG00000003710.3	XP_015668006.1
OG0001652	ENSACAG00000002898.3	XP_015687685.1
OG0001653	ENSACAG00000001834.3	XP_029143141.1
OG0001654	ENSACAG00000003125.3	XP_015676241.1
OG0001655	ENSACAG00000006679.3	XP_015681331.1
OG0001656	ENSACAG00000007208.3	XP_015669042.1
OG0001657	ENSACAG00000004681.2	XP_015675093.1
OG0001658	ENSACAG00000007035.3	XP_015682851.1
OG0001658	ENSACAG00000013374.3	XP_015670751.1
OG0001659	ENSACAG00000010556.3	XP_015680530.1
OG0001660	ENSACAG00000021129.1	XP_015687303.1
OG0001661	ENSACAG00000004191.2	XP_015671659.1, XP_015671930.1
OG0001662	ENSACAG00000001992.2	XP_015666201.2
OG0001663	ENSACAG00000015986.3	XP_015674177.1
OG0001664	ENSACAG00000011129.3	XP_015675453.1
OG0001665	ENSACAG00000001016.1	XP_015686703.1
OG0001666	ENSACAG00000012586.3	XP_029143130.1, XP_029143129.1, XP_029143131.1
OG0001667	ENSACAG00000000770.3	XP_015674008.1
OG0001668	ENSACAG00000002385.3	XP_015677571.1
OG0001669	ENSACAG00000002409.3	XP_015677566.1
OG0001670	ENSACAG00000017261.3	XP_015668101.1
OG0001670	ENSACAG00000001123.3	XP_015677881.1
OG0001671	ENSACAG00000015317.3	XP_029141584.1
OG0001672	ENSACAG00000017563.3	XP_015680140.1
OG0001673	ENSACAG00000014794.2	XP_029139964.1
OG0001674	ENSACAG00000002252.3	XP_015678410.1, XP_015678411.1, XP_015678412.1, XP_015678413.1, XP_029141286.1, XP_015678408.1, XP_015678414.1
OG0001675	ENSACAG00000009074.2	XP_015670232.2
OG0001676	ENSACAG00000009845.3	XP_015679250.1
OG0001677	ENSACAG00000009355.3	XP_015675180.1
OG0001678	ENSACAG00000017105.3	XP_015681437.1
OG0001679	ENSACAG00000001792.2	XP_029142439.1, XP_015687998.1
OG0001680	ENSACAG00000001076.2, ENSACAG00000001066.2	XP_015675970.2, XP_015675969.1
OG0001681	ENSACAG00000009964.3	XP_015675207.1, XP_015675206.1, XP_029140647.1
OG0001682	ENSACAG00000007663.3	XP_015681495.1
OG0001683	ENSACAG00000001676.3	XP_015667925.1, XP_015667924.1, XP_015667923.1
OG0001684	ENSACAG00000015187.3	XP_015674194.1
OG0001686	ENSACAG00000005245.3	XP_029139532.1
OG0001687	ENSACAG00000001499.3	XP_015674898.1
OG0001688	ENSACAG00000013979.3, ENSACAG00000028542.1, ENSACAG00000013906.3, ENSACAG00000029503.1	XP_015685647.1, XP_015677052.1, XP_015678207.1
OG0001689	ENSACAG00000013503.2	XP_015684807.1, XP_015684168.1
OG0001690	ENSACAG00000010395.3	XP_015687533.1, XP_015683923.1
OG0001691	ENSACAG00000003650.3	XP_015676612.1
OG0001691	ENSACAG00000003452.3	XP_015676613.1
OG0001692	ENSACAG00000011505.2	XP_015682875.1
OG0001693	ENSACAG00000011535.3	XP_015682876.1
OG0001694	ENSACAG00000012116.3	XP_015683108.1
OG0001695	ENSACAG00000012071.3	XP_015683106.1
OG0001696	ENSACAG00000011208.3	XP_029143153.1
OG0001697	ENSACAG00000010578.3	XP_015683228.1
OG0001698	ENSACAG00000028461.1, ENSACAG00000025384.2	XP_015681363.1
OG0001699	ENSACAG00000002576.3	XP_015674530.1
OG0001700	ENSACAG00000014009.3	XP_015677833.1
OG0001701	ENSACAG00000012354.3	XP_029141994.1
OG0001702	ENSACAG00000002254.3	XP_015687407.1
OG0001725	ENSACAG00000021049.3	XP_015666316.1
OG0001726	ENSACAG00000003817.3	XP_015667958.1
OG0001727	ENSACAG00000029409.1, ENSACAG00000029316.1, ENSACAG00000029410.1	XP_015678992.1, XP_015678991.1
OG0001727	ENSACAG00000004762.3	XP_015680929.1
OG0001728	ENSACAG00000027496.1	XP_029140967.1
OG0001728	ENSACAG00000001893.3	XP_015668669.1
OG0001729	ENSACAG00000001719.3, ENSACAG00000001051.1	XP_015669975.1, XP_015669974.1, XP_015669978.1, XP_015669977.1
OG0001730	ENSACAG00000009482.3	XP_015668522.1
OG0001731	ENSACAG00000004298.3	XP_015685158.1
OG0001731	ENSACAG00000028718.1	XP_015681396.1, XP_029140519.1
OG0001732	ENSACAG00000010376.3	XP_015667298.1, XP_015667303.1
OG0001732	ENSACAG00000002404.3	XP_015667171.1, XP_015667172.1
OG0001733	ENSACAG00000020976.2, ENSACAG00000028327.1	XP_015675247.1
OG0001734	ENSACAG00000017675.3	XP_015670700.1
OG0001734	ENSACAG00000003741.3	XP_015682367.1
OG0001735	ENSACAG00000003331.2	XP_029140488.1
OG0001736	ENSACAG00000001423.3	XP_015674735.1
OG0001737	ENSACAG00000004112.3	XP_015669358.1, XP_029142597.1
OG0001738	ENSACAG00000011585.3	XP_015682264.1
OG0001739	ENSACAG00000009794.3	XP_015669951.1
OG0001739	ENSACAG00000001137.2	XP_015667497.1
OG0001740	ENSACAG00000013060.2	XP_015679004.1
OG0001741	ENSACAG00000010365.3	XP_015672144.1, XP_015672146.1, XP_029140097.1, XP_015672145.1, XP_015672143.1
OG0001742	ENSACAG00000013402.2	XP_015675877.1
OG0001743	ENSACAG00000004929.3	XP_015686271.1
OG0001744	ENSACAG00000004973.3	XP_015667461.1
OG0001745	ENSACAG00000008608.2	XP_029140477.1
OG0001745	ENSACAG00000024971.1, ENSACAG00000023612.1, ENSACAG00000027959.1, ENSACAG00000022586.1	XP_029141492.1
OG0001745	ENSACAG00000022875.1, ENSACAG00000005335.2, ENSACAG00000003177.2	XP_029141397.1
OG0001746	ENSACAG00000000251.1	XP_015682395.1
OG0001747	ENSACAG00000001144.3	XP_015678672.1
OG0001747	ENSACAG00000000608.3	XP_015687811.1
OG0001748	ENSACAG00000012812.3	XP_015680196.1
OG0001748	ENSACAG00000028261.1	XP_029141671.1
OG0001749	ENSACAG00000013694.3	XP_015677736.1
OG0001750	ENSACAG00000024019.1	XP_029140160.1
OG0001751	ENSACAG00000023540.2	XP_015682805.2
OG0001751	ENSACAG00000013078.3	XP_029139101.1
OG0001752	ENSACAG00000029581.1	XP_029141861.1
OG0001753	ENSACAG00000013654.3	XP_029142007.1, XP_015681778.1, XP_015681779.1, XP_029142008.1
OG0001754	ENSACAG00000012063.3	XP_015672883.1
OG0001755	ENSACAG00000027678.1, ENSACAG00000010772.3	XP_015665590.1, XP_015665591.1
OG0001756	ENSACAG00000010341.3	XP_015682412.1, XP_015666020.1
OG0001757	ENSACAG00000011254.3	XP_029141090.1, XP_015677523.1, XP_015677524.1
OG0001758	ENSACAG00000004267.3	XP_015674076.1, XP_015674077.1, XP_015674078.1
OG0001759	ENSACAG00000001276.3	XP_029139349.1
OG0001760	ENSACAG00000000617.2	XP_015668861.1
OG0001761	ENSACAG00000005963.3	XP_015671809.1, XP_015671800.1, XP_015671791.1, XP_015671783.1, XP_015686421.1
OG0001762	ENSACAG00000007933.3	XP_015670851.1
OG0001763	ENSACAG00000017126.2	XP_015678024.1
OG0001764	ENSACAG00000000425.3	XP_015680201.1
OG0001765	ENSACAG00000003968.3	XP_015680219.1, XP_015675787.1
OG0001766	ENSACAG00000026254.2	XP_015679084.1, XP_015681285.1, XP_029141955.1
OG0001767	ENSACAG00000028796.1	XP_015671762.1
OG0001767	ENSACAG00000017570.3	XP_015675796.1
OG0001768	ENSACAG00000010913.3	XP_015675455.1
OG0001768	ENSACAG00000015749.3	XP_015671704.1
OG0001769	ENSACAG00000001645.3	XP_015672597.1
OG0001770	ENSACAG00000002266.2	XP_015667658.1
OG0001771	ENSACAG00000013151.2	XP_015668901.1
OG0001771	ENSACAG00000017331.3	XP_015677922.1
OG0001772	ENSACAG00000013674.3, ENSACAG00000003890.2	XP_029139573.1
OG0001773	ENSACAG00000003051.2	XP_029142231.1, XP_015683398.2
OG0001774	ENSACAG00000008711.3	XP_015677076.1
OG0001775	ENSACAG00000006776.3	XP_015679035.1, XP_015681118.1
