Orthogroup	A_carolinensis.pep	G_gallus.pep
OG0001284	ENSACAG00000000885.3	ENSGALG00000001640.5
OG0001285	ENSACAG00000016794.3	ENSGALG00000016294.6
OG0001285	ENSACAG00000005231.2	ENSGALG00000004057.7
OG0001286	ENSACAG00000016381.3	ENSGALG00000009352.7
OG0001287	ENSACAG00000000744.3	ENSGALG00000036218.2
OG0001289	ENSACAG00000001407.3	ENSGALG00000029235.2
OG0001289	ENSACAG00000017091.3	ENSGALG00000000507.6
OG0001290	ENSACAG00000015635.3	ENSGALG00000002165.6
OG0001290	ENSACAG00000023884.1, ENSACAG00000004402.3	ENSGALG00000035935.2
OG0001291	ENSACAG00000004816.2	ENSGALG00000006588.7, ENSGALG00000002631.3
OG0001292	ENSACAG00000012003.3	ENSGALG00000026468.3
OG0001292	ENSACAG00000001454.2	ENSGALG00000026899.3
OG0001293	ENSACAG00000007670.2	ENSGALG00000002362.6
OG0001295	ENSACAG00000008363.3	ENSGALG00000007647.6
OG0001295	ENSACAG00000016874.3	ENSGALG00000009602.6
OG0001296	ENSACAG00000015135.3	ENSGALG00000039254.3
OG0001297	ENSACAG00000000046.3	ENSGALG00000006147.5
OG0001299	ENSACAG00000011292.3, ENSACAG00000015735.3	ENSGALG00000047117.1, ENSGALG00000047281.1
OG0001300	ENSACAG00000004699.3	ENSGALG00000007252.6
OG0001300	ENSACAG00000008414.2	ENSGALG00000014958.6
OG0001301	ENSACAG00000000222.3	ENSGALG00000040759.2
OG0001301	ENSACAG00000017504.3	ENSGALG00000048849.1
OG0001302	ENSACAG00000003785.3	ENSGALG00000031348.2
OG0001303	ENSACAG00000013722.2	ENSGALG00000033034.3
OG0001304	ENSACAG00000003003.3	ENSGALG00000048048.1, ENSGALG00000051882.1
OG0001305	ENSACAG00000017120.2	ENSGALG00000039124.3
OG0001305	ENSACAG00000000301.3	ENSGALG00000009554.7
OG0001306	ENSACAG00000011020.3	ENSGALG00000003073.6
OG0001307	ENSACAG00000000271.3	ENSGALG00000009560.4
OG0001308	ENSACAG00000002338.3	ENSGALG00000007184.7
OG0001308	ENSACAG00000006695.3	ENSGALG00000008941.7
OG0001309	ENSACAG00000016688.2, ENSACAG00000014651.3	ENSGALG00000029006.3
OG0001310	ENSACAG00000002511.2, ENSACAG00000006517.2	ENSGALG00000002247.6
OG0001311	ENSACAG00000002979.3	ENSGALG00000006638.5
OG0001312	ENSACAG00000003788.3	ENSGALG00000032259.2
OG0001312	ENSACAG00000016672.2	ENSGALG00000020359.4
OG0001313	ENSACAG00000002030.3	ENSGALG00000016967.6
OG0001313	ENSACAG00000008657.3	ENSGALG00000004079.8
OG0001314	ENSACAG00000015473.3	ENSGALG00000032053.2
OG0001314	ENSACAG00000009167.2	ENSGALG00000002506.5
OG0001315	ENSACAG00000011203.3	ENSGALG00000007820.6
OG0001315	ENSACAG00000015716.3	ENSGALG00000002229.6
OG0001316	ENSACAG00000002744.3	ENSGALG00000005521.6
OG0001317	ENSACAG00000011282.2	ENSGALG00000036647.2
OG0001318	ENSACAG00000017011.3	ENSGALG00000013935.6
OG0001321	ENSACAG00000010325.3	ENSGALG00000029024.3, ENSGALG00000037777.3
OG0001322	ENSACAG00000000269.3	ENSGALG00000050405.1, ENSGALG00000047203.1, ENSGALG00000038222.3
OG0001323	ENSACAG00000028791.1	ENSGALG00000006007.7
OG0001323	ENSACAG00000008442.3	ENSGALG00000029664.3
OG0001324	ENSACAG00000017074.3	ENSGALG00000000838.5
OG0001325	ENSACAG00000011869.3	ENSGALG00000045352.2
OG0001326	ENSACAG00000008558.3	ENSGALG00000003713.6
OG0001327	ENSACAG00000011078.3	ENSGALG00000007720.7
OG0001327	ENSACAG00000014754.3	ENSGALG00000023787.4
OG0001328	ENSACAG00000007777.2	ENSGALG00000037946.2
OG0001329	ENSACAG00000005966.2	ENSGALG00000030904.2
OG0001329	ENSACAG00000003221.3	ENSGALG00000012407.5
OG0001330	ENSACAG00000006210.3	ENSGALG00000007234.6
OG0001331	ENSACAG00000013666.3	ENSGALG00000030175.3
OG0001331	ENSACAG00000017505.3	ENSGALG00000001682.6
OG0001332	ENSACAG00000004445.3	ENSGALG00000011645.6
OG0001332	ENSACAG00000013490.2	ENSGALG00000032647.2
OG0001333	ENSACAG00000011342.3	ENSGALG00000002577.7
OG0001335	ENSACAG00000006691.3	ENSGALG00000016276.6
OG0001335	ENSACAG00000012042.3	ENSGALG00000031519.3
OG0001336	ENSACAG00000009114.2	ENSGALG00000003105.5
OG0001336	ENSACAG00000016399.3	ENSGALG00000009205.7
OG0001337	ENSACAG00000006486.3	ENSGALG00000008902.6
OG0001338	ENSACAG00000003497.3	ENSGALG00000000657.5
OG0001339	ENSACAG00000007055.3	ENSGALG00000026037.4
OG0001339	ENSACAG00000014186.3	ENSGALG00000042112.2
OG0001340	ENSACAG00000005844.2	ENSGALG00000028530.3
OG0001341	ENSACAG00000006243.3	ENSGALG00000017166.5
OG0001342	ENSACAG00000021069.3	ENSGALG00000043055.3
OG0001342	ENSACAG00000010418.3	ENSGALG00000033701.2
OG0001343	ENSACAG00000006843.3	ENSGALG00000013135.5
OG0001343	ENSACAG00000012427.3	ENSGALG00000012536.6
OG0001345	ENSACAG00000002749.3	ENSGALG00000020906.5
OG0001345	ENSACAG00000009274.2	ENSGALG00000036731.3
OG0001346	ENSACAG00000014442.2	ENSGALG00000004448.6
OG0001346	ENSACAG00000002128.3	ENSGALG00000033407.2
OG0001347	ENSACAG00000027956.1, ENSACAG00000008339.3	ENSGALG00000016761.4, ENSGALG00000043257.3, ENSGALG00000054968.1
OG0001348	ENSACAG00000000197.2	ENSGALG00000030878.3
OG0001349	ENSACAG00000007975.2	ENSGALG00000021570.3, ENSGALG00000042762.3
OG0001351	ENSACAG00000004091.2	ENSGALG00000028015.4
OG0001351	ENSACAG00000001611.3	ENSGALG00000002055.7
OG0001352	ENSACAG00000012826.3	ENSGALG00000006108.6
OG0001353	ENSACAG00000000552.3	ENSGALG00000031323.3
OG0001353	ENSACAG00000012763.3	ENSGALG00000007912.6
OG0001354	ENSACAG00000016145.3	ENSGALG00000001684.6
OG0001354	ENSACAG00000006494.3	ENSGALG00000045758.2
OG0001355	ENSACAG00000004114.3	ENSGALG00000040248.2
OG0001355	ENSACAG00000014842.2	ENSGALG00000004474.6
OG0001356	ENSACAG00000012107.3	ENSGALG00000003647.7
OG0001357	ENSACAG00000004690.3	ENSGALG00000028830.3
OG0001358	ENSACAG00000007564.3	ENSGALG00000031663.3
OG0001358	ENSACAG00000006554.3	ENSGALG00000037553.3
OG0001359	ENSACAG00000001712.2	ENSGALG00000016579.3
OG0001359	ENSACAG00000014318.1	ENSGALG00000004918.6
OG0001361	ENSACAG00000004000.2, ENSACAG00000006123.2	ENSGALG00000008086.5
OG0001362	ENSACAG00000005349.3	ENSGALG00000006646.7
OG0001363	ENSACAG00000005064.3	ENSGALG00000005352.7
OG0001363	ENSACAG00000007786.3	ENSGALG00000014976.6
OG0001364	ENSACAG00000007887.3	ENSGALG00000014938.6
OG0001365	ENSACAG00000010433.3, ENSACAG00000026654.2	ENSGALG00000008883.7
OG0001366	ENSACAG00000001756.3	ENSGALG00000034340.2
OG0001367	ENSACAG00000011004.3	ENSGALG00000015051.6
OG0001367	ENSACAG00000003031.3	ENSGALG00000017104.6
OG0001368	ENSACAG00000000432.3	ENSGALG00000048539.1
OG0001368	ENSACAG00000012577.2	ENSGALG00000008308.7
OG0001369	ENSACAG00000014988.2	ENSGALG00000008806.7
OG0001370	ENSACAG00000011094.2	ENSGALG00000004254.6
OG0001371	ENSACAG00000012460.3	ENSGALG00000040418.2
OG0001372	ENSACAG00000011101.2	ENSGALG00000039724.3
OG0001373	ENSACAG00000010773.2	ENSGALG00000004005.6
OG0001374	ENSACAG00000006969.2	ENSGALG00000002210.6
OG0001375	ENSACAG00000016882.3	ENSGALG00000016392.7
OG0001376	ENSACAG00000000055.3	ENSGALG00000006220.6
OG0001377	ENSACAG00000014921.3	ENSGALG00000005319.6
OG0001377	ENSACAG00000015087.3	ENSGALG00000039985.3
OG0001378	ENSACAG00000014595.2	ENSGALG00000055010.1
OG0001378	ENSACAG00000009374.3	ENSGALG00000038721.2
OG0001380	ENSACAG00000002599.1	ENSGALG00000052026.1
OG0001380	ENSACAG00000015835.1	ENSGALG00000055041.1
OG0001381	ENSACAG00000009579.2, ENSACAG00000013196.2	ENSGALG00000029675.3
OG0001382	ENSACAG00000004676.3	ENSGALG00000042521.2
OG0001383	ENSACAG00000008631.2	ENSGALG00000047144.1, ENSGALG00000049713.1, ENSGALG00000019262.5, ENSGALG00000028720.3
OG0001384	ENSACAG00000007562.3	ENSGALG00000037301.3
OG0001385	ENSACAG00000005142.3	ENSGALG00000008677.8
OG0001385	ENSACAG00000007521.2	ENSGALG00000000909.7
OG0001386	ENSACAG00000002323.3	ENSGALG00000022702.4
OG0001386	ENSACAG00000011789.3	ENSGALG00000014268.4
OG0001387	ENSACAG00000006709.3	ENSGALG00000016834.6
OG0001387	ENSACAG00000007515.3	ENSGALG00000008744.6
OG0001388	ENSACAG00000000212.3	ENSGALG00000016830.6
OG0001388	ENSACAG00000010679.2	ENSGALG00000008559.6
OG0001389	ENSACAG00000017812.3	ENSGALG00000040619.2
OG0001390	ENSACAG00000006193.3	ENSGALG00000002145.6
OG0001391	ENSACAG00000017380.2	ENSGALG00000033855.2
OG0001391	ENSACAG00000029607.1	ENSGALG00000050224.1
OG0001392	ENSACAG00000016911.3	ENSGALG00000035760.2
OG0001393	ENSACAG00000007841.3	ENSGALG00000008462.6
OG0001393	ENSACAG00000005404.3	ENSGALG00000032699.2
OG0001394	ENSACAG00000017842.2	ENSGALG00000017398.6
OG0001395	ENSACAG00000005290.2	ENSGALG00000048612.1
OG0001396	ENSACAG00000014216.3	ENSGALG00000008702.7
OG0001397	ENSACAG00000001408.2	ENSGALG00000005809.6
OG0001397	ENSACAG00000000754.3	ENSGALG00000001652.7
OG0001399	ENSACAG00000000032.3	ENSGALG00000012988.7
OG0001400	ENSACAG00000013388.3	ENSGALG00000010983.6
OG0001400	ENSACAG00000004967.3	ENSGALG00000039125.2
OG0001401	ENSACAG00000012672.3	ENSGALG00000011355.6
OG0001402	ENSACAG00000003681.2	ENSGALG00000041083.2
OG0001402	ENSACAG00000006947.3	ENSGALG00000040532.2
OG0001403	ENSACAG00000002832.2	ENSGALG00000033379.2
OG0001404	ENSACAG00000010934.2	ENSGALG00000012852.5
OG0001405	ENSACAG00000007502.3	ENSGALG00000038978.2
OG0001406	ENSACAG00000016659.3	ENSGALG00000012550.6
OG0001407	ENSACAG00000016246.3	ENSGALG00000006440.7
OG0001407	ENSACAG00000000492.3	ENSGALG00000006354.6
OG0001408	ENSACAG00000008197.3	ENSGALG00000013083.7
OG0001408	ENSACAG00000003285.3	ENSGALG00000013484.6
OG0001409	ENSACAG00000016285.3	ENSGALG00000031977.2
OG0001410	ENSACAG00000007870.3	ENSGALG00000010967.6
OG0001411	ENSACAG00000005123.2	ENSGALG00000023279.4
OG0001412	ENSACAG00000017798.3, ENSACAG00000017087.3	ENSGALG00000005441.7
OG0001413	ENSACAG00000003634.3	ENSGALG00000011878.6
OG0001414	ENSACAG00000012841.2	ENSGALG00000047297.1
OG0001417	ENSACAG00000004833.3	ENSGALG00000000217.6
OG0001417	ENSACAG00000014550.3	ENSGALG00000010958.6
OG0001418	ENSACAG00000008399.3	ENSGALG00000049358.1
OG0001419	ENSACAG00000010279.3	ENSGALG00000010903.6
OG0001419	ENSACAG00000016734.3	ENSGALG00000006076.6
OG0001420	ENSACAG00000010690.2	ENSGALG00000011190.6
OG0001420	ENSACAG00000028601.1	ENSGALG00000020193.5
OG0001421	ENSACAG00000017942.3	ENSGALG00000001605.8
OG0001421	ENSACAG00000000448.3	ENSGALG00000009805.6
OG0001422	ENSACAG00000000495.3	ENSGALG00000016918.6
OG0001422	ENSACAG00000017865.3	ENSGALG00000019171.5
OG0001423	ENSACAG00000017934.3	ENSGALG00000001547.6
OG0001423	ENSACAG00000008196.3	ENSGALG00000043437.3
OG0001424	ENSACAG00000017929.3	ENSGALG00000001538.6
OG0001424	ENSACAG00000008154.3	ENSGALG00000037206.3
OG0001425	ENSACAG00000002940.3	ENSGALG00000038059.2
OG0001426	ENSACAG00000010422.3	ENSGALG00000016797.7
OG0001427	ENSACAG00000005186.3	ENSGALG00000016739.6
OG0001428	ENSACAG00000012614.3, ENSACAG00000000959.3	ENSGALG00000014575.6
OG0001429	ENSACAG00000016733.3	ENSGALG00000054402.1
OG0001430	ENSACAG00000017918.3	ENSGALG00000016224.6
OG0001430	ENSACAG00000017903.2	ENSGALG00000032836.2
OG0001431	ENSACAG00000008119.2	ENSGALG00000042554.2
OG0001432	ENSACAG00000007317.3	ENSGALG00000000150.7
OG0001433	ENSACAG00000004235.3	ENSGALG00000051488.1
OG0001434	ENSACAG00000014898.3	ENSGALG00000001698.6
OG0001434	ENSACAG00000006901.3	ENSGALG00000014206.6
OG0001435	ENSACAG00000008642.3	ENSGALG00000036738.2
OG0001436	ENSACAG00000015148.3	ENSGALG00000015379.7
OG0001438	ENSACAG00000004390.3	ENSGALG00000014884.6, ENSGALG00000033391.3
OG0001439	ENSACAG00000015913.3	ENSGALG00000014769.6
OG0001441	ENSACAG00000013243.3	ENSGALG00000012613.6
OG0001442	ENSACAG00000001479.2	ENSGALG00000040086.3, ENSGALG00000012591.7
OG0001443	ENSACAG00000002423.3	ENSGALG00000010164.5
OG0001444	ENSACAG00000003262.3	ENSGALG00000010179.6
OG0001445	ENSACAG00000002620.3	ENSGALG00000029022.4
OG0001446	ENSACAG00000001528.3	ENSGALG00000037632.3
OG0001447	ENSACAG00000015864.3	ENSGALG00000009731.7
OG0001448	ENSACAG00000015126.3, ENSACAG00000015139.3	ENSGALG00000051209.1, ENSGALG00000000293.7
OG0001449	ENSACAG00000006146.3	ENSGALG00000051844.1
OG0001450	ENSACAG00000021076.3	ENSGALG00000008628.5
OG0001450	ENSACAG00000014709.2	ENSGALG00000010169.5
OG0001451	ENSACAG00000017231.2, ENSACAG00000017225.3	ENSGALG00000036550.2
OG0001452	ENSACAG00000009720.3	ENSGALG00000006552.6
OG0001453	ENSACAG00000017556.3	ENSGALG00000001163.7
OG0001454	ENSACAG00000002348.3	ENSGALG00000011427.6
OG0001456	ENSACAG00000012986.3	ENSGALG00000029226.3
OG0001457	ENSACAG00000025303.2	ENSGALG00000035026.2
OG0001457	ENSACAG00000012596.3	ENSGALG00000036920.2
OG0001458	ENSACAG00000010432.3	ENSGALG00000003980.7
OG0001459	ENSACAG00000029619.1	ENSGALG00000009803.6, ENSGALG00000021275.4, ENSGALG00000011450.7
OG0001460	ENSACAG00000016587.3	ENSGALG00000039705.2
OG0001461	ENSACAG00000012874.3	ENSGALG00000016704.6
OG0001463	ENSACAG00000005884.3	ENSGALG00000005450.6
OG0001464	ENSACAG00000015287.3	ENSGALG00000013410.6
OG0001468	ENSACAG00000004817.3	ENSGALG00000019979.5
OG0001469	ENSACAG00000011678.3	ENSGALG00000045676.2
OG0001493	ENSACAG00000026291.1	ENSGALG00000020656.3
OG0001493	ENSACAG00000024240.2	ENSGALG00000003142.5
OG0001494	ENSACAG00000010197.3	ENSGALG00000009261.7
OG0001495	ENSACAG00000005479.3	ENSGALG00000005749.6
OG0001497	ENSACAG00000023362.1	ENSGALG00000043641.2
OG0001497	ENSACAG00000007057.2	ENSGALG00000010870.7
OG0001500	ENSACAG00000007454.3	ENSGALG00000043044.2
OG0001503	ENSACAG00000001585.3	ENSGALG00000029072.3
OG0001503	ENSACAG00000017710.3	ENSGALG00000023626.4
OG0001504	ENSACAG00000015454.3	ENSGALG00000029140.3
OG0001505	ENSACAG00000013132.3	ENSGALG00000002637.6
OG0001505	ENSACAG00000003490.3	ENSGALG00000005327.6
OG0001506	ENSACAG00000013305.3	ENSGALG00000014661.7
OG0001506	ENSACAG00000011883.3	ENSGALG00000015324.6
OG0001507	ENSACAG00000008826.3	ENSGALG00000048401.1
OG0001508	ENSACAG00000026579.1	ENSGALG00000026896.3
OG0001508	ENSACAG00000016653.3	ENSGALG00000028318.3
OG0001509	ENSACAG00000003376.3	ENSGALG00000037410.2
OG0001509	ENSACAG00000024412.2, ENSACAG00000014257.3	ENSGALG00000043027.3
OG0001510	ENSACAG00000017884.3, ENSACAG00000004404.3	ENSGALG00000038646.3
OG0001512	ENSACAG00000005530.3	ENSGALG00000036638.3
OG0001513	ENSACAG00000000487.1	ENSGALG00000032418.3
OG0001514	ENSACAG00000004076.3	ENSGALG00000047981.1
OG0001515	ENSACAG00000004011.3	ENSGALG00000048152.1
OG0001517	ENSACAG00000026814.2	ENSGALG00000053244.1
OG0001517	ENSACAG00000004077.2	ENSGALG00000008354.5
OG0001518	ENSACAG00000004991.3	ENSGALG00000016907.5
OG0001518	ENSACAG00000011367.3	ENSGALG00000006877.6
OG0001519	ENSACAG00000000633.3	ENSGALG00000008732.2
OG0001520	ENSACAG00000014768.2	ENSGALG00000005938.7
OG0001521	ENSACAG00000005331.2	ENSGALG00000003143.6
OG0001522	ENSACAG00000004964.3	ENSGALG00000030384.2
OG0001523	ENSACAG00000003450.2	ENSGALG00000028880.4
OG0001524	ENSACAG00000003447.3	ENSGALG00000008518.7
OG0001524	ENSACAG00000008416.3	ENSGALG00000043754.2
OG0001525	ENSACAG00000028384.1	ENSGALG00000013376.6
OG0001526	ENSACAG00000025960.2	ENSGALG00000011229.7
OG0001528	ENSACAG00000017352.3	ENSGALG00000013177.6
OG0001530	ENSACAG00000004840.3	ENSGALG00000002193.7
OG0001530	ENSACAG00000012048.2	ENSGALG00000007608.6
OG0001531	ENSACAG00000005956.3	ENSGALG00000016686.5
OG0001531	ENSACAG00000012868.2	ENSGALG00000008689.7
OG0001532	ENSACAG00000000594.3	ENSGALG00000026039.4
OG0001533	ENSACAG00000017174.3	ENSGALG00000040030.2
OG0001534	ENSACAG00000017898.3	ENSGALG00000045246.2
OG0001535	ENSACAG00000000231.3	ENSGALG00000028345.3
OG0001535	ENSACAG00000009768.3	ENSGALG00000003426.6
OG0001536	ENSACAG00000013207.3	ENSGALG00000004237.7
OG0001536	ENSACAG00000000490.3	ENSGALG00000003675.7
OG0001537	ENSACAG00000000597.2	ENSGALG00000041750.2
OG0001537	ENSACAG00000003071.3	ENSGALG00000009572.6
OG0001538	ENSACAG00000010171.2, ENSACAG00000014395.1	ENSGALG00000027641.3
OG0001539	ENSACAG00000014385.3	ENSGALG00000036255.2
OG0001539	ENSACAG00000012482.3	ENSGALG00000005123.6
OG0001540	ENSACAG00000025393.1	ENSGALG00000026467.2, ENSGALG00000008275.5
OG0001541	ENSACAG00000001886.3	ENSGALG00000014540.6
OG0001542	ENSACAG00000006577.2	ENSGALG00000016979.6
OG0001544	ENSACAG00000011824.2, ENSACAG00000014536.2	ENSGALG00000006947.7
OG0001547	ENSACAG00000013865.3	ENSGALG00000038543.2
OG0001548	ENSACAG00000010833.3	ENSGALG00000007919.6
OG0001549	ENSACAG00000010771.3	ENSGALG00000008369.6
OG0001550	ENSACAG00000017846.3	ENSGALG00000004282.4
OG0001551	ENSACAG00000006466.2, ENSACAG00000017833.2	ENSGALG00000015068.6
OG0001552	ENSACAG00000022998.2	ENSGALG00000029714.2
OG0001553	ENSACAG00000015999.3	ENSGALG00000029918.2, ENSGALG00000049544.1
OG0001554	ENSACAG00000023820.1, ENSACAG00000025644.1	ENSGALG00000007133.6
OG0001555	ENSACAG00000015190.3	ENSGALG00000005350.6
OG0001556	ENSACAG00000014751.3	ENSGALG00000052725.1
OG0001557	ENSACAG00000008546.2	ENSGALG00000001806.5
OG0001558	ENSACAG00000008957.3, ENSACAG00000008981.2	ENSGALG00000005660.6
OG0001559	ENSACAG00000015354.3	ENSGALG00000004169.6
OG0001560	ENSACAG00000007255.3	ENSGALG00000007416.6
OG0001561	ENSACAG00000003557.2	ENSGALG00000014988.7
OG0001562	ENSACAG00000010889.3	ENSGALG00000003681.6
OG0001562	ENSACAG00000001329.3	ENSGALG00000029572.2
OG0001563	ENSACAG00000005664.3	ENSGALG00000039354.2, ENSGALG00000053245.1, ENSGALG00000001863.6
OG0001564	ENSACAG00000028776.1, ENSACAG00000029505.1	ENSGALG00000052041.1, ENSGALG00000050905.1, ENSGALG00000053504.1
OG0001565	ENSACAG00000003346.2	ENSGALG00000017358.6, ENSGALG00000006743.2
OG0001566	ENSACAG00000007038.3	ENSGALG00000014192.5
OG0001566	ENSACAG00000006180.3	ENSGALG00000001662.5
OG0001567	ENSACAG00000017539.2	ENSGALG00000048776.1, ENSGALG00000037051.3, ENSGALG00000033320.3
OG0001568	ENSACAG00000004292.2, ENSACAG00000003551.2	ENSGALG00000048705.1
OG0001569	ENSACAG00000001703.3	ENSGALG00000041285.2
OG0001569	ENSACAG00000029036.1	ENSGALG00000004370.7
OG0001570	ENSACAG00000029504.1, ENSACAG00000013018.2	ENSGALG00000015704.6
OG0001571	ENSACAG00000010700.3	ENSGALG00000027369.4
OG0001573	ENSACAG00000017065.3	ENSGALG00000000843.6
OG0001575	ENSACAG00000004510.3	ENSGALG00000027897.3
OG0001575	ENSACAG00000006730.2	ENSGALG00000010835.5
OG0001576	ENSACAG00000005004.2	ENSGALG00000008317.6
OG0001577	ENSACAG00000011844.2	ENSGALG00000003549.7
OG0001578	ENSACAG00000005694.3	ENSGALG00000015450.5
OG0001579	ENSACAG00000007597.3	ENSGALG00000033279.2
OG0001580	ENSACAG00000000477.3	ENSGALG00000009850.7
OG0001581	ENSACAG00000014601.3	ENSGALG00000004831.6
OG0001582	ENSACAG00000003188.2	ENSGALG00000001136.6, ENSGALG00000027002.3
OG0001583	ENSACAG00000003304.2	ENSGALG00000033432.3
OG0001583	ENSACAG00000010649.2	ENSGALG00000025817.2
OG0001584	ENSACAG00000000107.2	ENSGALG00000046347.2
OG0001585	ENSACAG00000015594.2	ENSGALG00000002707.7
OG0001586	ENSACAG00000004928.3, ENSACAG00000004935.2	ENSGALG00000002432.5
OG0001587	ENSACAG00000009560.3	ENSGALG00000005156.6
OG0001587	ENSACAG00000013699.3	ENSGALG00000012004.5
OG0001588	ENSACAG00000003012.3	ENSGALG00000010291.6
OG0001588	ENSACAG00000012227.2	ENSGALG00000030988.2
OG0001589	ENSACAG00000003561.2	ENSGALG00000003567.6
OG0001590	ENSACAG00000011663.3	ENSGALG00000016500.6
OG0001590	ENSACAG00000008323.3	ENSGALG00000027151.4
OG0001591	ENSACAG00000011485.2	ENSGALG00000005473.6, ENSGALG00000005472.5, ENSGALG00000005474.3
OG0001592	ENSACAG00000008086.2	ENSGALG00000029624.2
OG0001593	ENSACAG00000016761.2	ENSGALG00000036117.2
OG0001593	ENSACAG00000017341.3	ENSGALG00000035903.2
OG0001594	ENSACAG00000016416.3	ENSGALG00000033378.3
OG0001595	ENSACAG00000007552.3	ENSGALG00000023157.5
OG0001596	ENSACAG00000007803.3	ENSGALG00000000883.6
OG0001596	ENSACAG00000007166.3	ENSGALG00000002283.7
OG0001598	ENSACAG00000003983.3	ENSGALG00000027761.3
OG0001599	ENSACAG00000013939.3	ENSGALG00000007699.7
OG0001600	ENSACAG00000014010.3	ENSGALG00000007716.5
OG0001601	ENSACAG00000010082.3	ENSGALG00000011541.6
OG0001602	ENSACAG00000007583.3	ENSGALG00000035281.2
OG0001603	ENSACAG00000023169.2	ENSGALG00000041267.2
OG0001604	ENSACAG00000028397.1	ENSGALG00000027334.4
OG0001605	ENSACAG00000006302.2	ENSGALG00000029170.4
OG0001605	ENSACAG00000017965.2	ENSGALG00000015261.7
OG0001606	ENSACAG00000004944.3	ENSGALG00000029446.2
OG0001606	ENSACAG00000008201.3	ENSGALG00000001720.5
OG0001607	ENSACAG00000001054.3	ENSGALG00000003955.6, ENSGALG00000053422.1
OG0001608	ENSACAG00000006878.3	ENSGALG00000043213.2
OG0001610	ENSACAG00000008261.3	ENSGALG00000005675.6
OG0001610	ENSACAG00000029267.1	ENSGALG00000009044.6
OG0001611	ENSACAG00000001922.2	ENSGALG00000031448.2
OG0001612	ENSACAG00000000126.3	ENSGALG00000017333.6
OG0001613	ENSACAG00000014482.2	ENSGALG00000002216.6
OG0001614	ENSACAG00000000650.3	ENSGALG00000030859.2
OG0001615	ENSACAG00000010030.3	ENSGALG00000035879.2
OG0001616	ENSACAG00000002753.2	ENSGALG00000002086.6
OG0001617	ENSACAG00000008949.2	ENSGALG00000038393.3, ENSGALG00000000162.6
OG0001618	ENSACAG00000014892.3	ENSGALG00000039221.3
OG0001618	ENSACAG00000007776.3	ENSGALG00000035563.2
OG0001619	ENSACAG00000010308.3	ENSGALG00000035203.3
OG0001620	ENSACAG00000007314.3	ENSGALG00000009078.6
OG0001620	ENSACAG00000005174.2	ENSGALG00000009452.6
OG0001622	ENSACAG00000014912.2	ENSGALG00000006390.7
OG0001623	ENSACAG00000003060.3	ENSGALG00000004818.7
OG0001624	ENSACAG00000014231.2	ENSGALG00000018803.6
OG0001626	ENSACAG00000013907.3	ENSGALG00000009689.7
OG0001628	ENSACAG00000004907.2	ENSGALG00000038506.2
OG0001628	ENSACAG00000016534.1	ENSGALG00000026598.4
OG0001629	ENSACAG00000013407.2	ENSGALG00000035140.2
OG0001630	ENSACAG00000020975.2, ENSACAG00000028952.1	ENSGALG00000020626.5
OG0001631	ENSACAG00000000033.3	ENSGALG00000012987.6
OG0001632	ENSACAG00000013539.3	ENSGALG00000000946.6
OG0001633	ENSACAG00000012973.3	ENSGALG00000011038.6
OG0001634	ENSACAG00000013338.3	ENSGALG00000034511.2
OG0001635	ENSACAG00000022448.2	ENSGALG00000021092.6, ENSGALG00000003025.6
OG0001636	ENSACAG00000011370.3	ENSGALG00000028444.3
OG0001636	ENSACAG00000002428.3	ENSGALG00000028327.3
OG0001637	ENSACAG00000003989.2	ENSGALG00000000158.6
OG0001638	ENSACAG00000008281.3	ENSGALG00000032783.2
OG0001638	ENSACAG00000006212.2	ENSGALG00000007971.6
OG0001639	ENSACAG00000007240.3	ENSGALG00000052676.1, ENSGALG00000011394.6, ENSGALG00000051992.1, ENSGALG00000011413.6
OG0001640	ENSACAG00000006450.3	ENSGALG00000001428.6
OG0001642	ENSACAG00000013892.3	ENSGALG00000032191.3
OG0001643	ENSACAG00000013452.3	ENSGALG00000011456.6
OG0001644	ENSACAG00000012951.3	ENSGALG00000000249.7
OG0001645	ENSACAG00000014291.2	ENSGALG00000032098.2
OG0001646	ENSACAG00000012417.3	ENSGALG00000011276.5
OG0001647	ENSACAG00000026650.1	ENSGALG00000014857.6
OG0001648	ENSACAG00000000564.3	ENSGALG00000004325.7
OG0001650	ENSACAG00000017346.3	ENSGALG00000000603.6
OG0001651	ENSACAG00000006675.3	ENSGALG00000029921.3
OG0001651	ENSACAG00000003710.3	ENSGALG00000000318.5
OG0001653	ENSACAG00000001834.3	ENSGALG00000002692.6
OG0001654	ENSACAG00000003125.3	ENSGALG00000049865.1
OG0001655	ENSACAG00000002880.3	ENSGALG00000009595.6
OG0001655	ENSACAG00000006679.3	ENSGALG00000003977.6
OG0001656	ENSACAG00000007208.3	ENSGALG00000009104.6
OG0001657	ENSACAG00000004681.2	ENSGALG00000052354.1
OG0001658	ENSACAG00000007035.3	ENSGALG00000014210.7
OG0001658	ENSACAG00000013374.3	ENSGALG00000040594.3
OG0001659	ENSACAG00000010556.3	ENSGALG00000013943.6
OG0001660	ENSACAG00000021129.1	ENSGALG00000010662.5
OG0001661	ENSACAG00000004191.2	ENSGALG00000045052.2
OG0001663	ENSACAG00000015986.3	ENSGALG00000002447.6
OG0001663	ENSACAG00000007657.3	ENSGALG00000027853.3
OG0001664	ENSACAG00000011129.3	ENSGALG00000014872.3
