Orthogroup	A_carolinensis.pep	P_troglodytes.pep
OG0002266	ENSACAG00000003094.3	ENSPTRG00000046415.1
OG0002267	ENSACAG00000012213.1	ENSPTRG00000050741.1
OG0002268	ENSACAG00000011746.3	ENSPTRG00000017997.5
OG0002269	ENSACAG00000010883.3	ENSPTRG00000017992.6
OG0002270	ENSACAG00000001701.3	ENSPTRG00000002134.7
OG0002271	ENSACAG00000002782.3	ENSPTRG00000018821.7
OG0002272	ENSACAG00000010362.3, ENSACAG00000010431.3	ENSPTRG00000018803.6
OG0002273	ENSACAG00000003302.3	ENSPTRG00000011928.4, ENSPTRG00000023227.5
OG0002320	ENSACAG00000002098.3	ENSPTRG00000049956.1, ENSPTRG00000028467.3
OG0002321	ENSACAG00000000398.3	ENSPTRG00000012060.6
OG0002322	ENSACAG00000007627.2, ENSACAG00000014012.2	ENSPTRG00000041531.2, ENSPTRG00000008155.6, ENSPTRG00000050341.1
OG0002324	ENSACAG00000006738.2	ENSPTRG00000048483.1, ENSPTRG00000008150.2
OG0002325	ENSACAG00000009810.3	ENSPTRG00000052392.1, ENSPTRG00000010941.5
OG0002326	ENSACAG00000015583.3	ENSPTRG00000008904.5
OG0002327	ENSACAG00000012301.3	ENSPTRG00000012760.6
OG0002328	ENSACAG00000009505.3	ENSPTRG00000052601.1, ENSPTRG00000044665.1, ENSPTRG00000049884.1, ENSPTRG00000043291.1, ENSPTRG00000045315.1
OG0002329	ENSACAG00000009546.3	ENSPTRG00000008497.4
OG0002330	ENSACAG00000000685.3, ENSACAG00000026555.1, ENSACAG00000010016.2	ENSPTRG00000018047.5
OG0002331	ENSACAG00000004408.2	ENSPTRG00000023062.5
OG0002332	ENSACAG00000003351.2	ENSPTRG00000004183.4
OG0002333	ENSACAG00000004383.3	ENSPTRG00000048407.1, ENSPTRG00000015409.6
OG0002334	ENSACAG00000003912.3	ENSPTRG00000007801.5
OG0002335	ENSACAG00000002816.2	ENSPTRG00000000578.6, ENSPTRG00000000572.6
OG0002336	ENSACAG00000007313.2, ENSACAG00000022415.2	ENSPTRG00000005641.6
OG0002337	ENSACAG00000011710.3	ENSPTRG00000019138.4, ENSPTRG00000046411.1
OG0002339	ENSACAG00000004533.2, ENSACAG00000011362.3	ENSPTRG00000052493.1, ENSPTRG00000043520.1, ENSPTRG00000011215.6
OG0002340	ENSACAG00000005862.3	ENSPTRG00000001270.6
OG0002341	ENSACAG00000022351.1	ENSPTRG00000007098.6
OG0002342	ENSACAG00000008850.3, ENSACAG00000008882.2	ENSPTRG00000009831.5
OG0002343	ENSACAG00000008937.3	ENSPTRG00000050333.1
OG0002344	ENSACAG00000009094.2	ENSPTRG00000021990.4, ENSPTRG00000042309.2
OG0002345	ENSACAG00000003986.3	ENSPTRG00000048581.1, ENSPTRG00000011201.6
OG0002346	ENSACAG00000003759.3	ENSPTRG00000011002.6
OG0002347	ENSACAG00000000711.3	ENSPTRG00000008583.3
OG0002348	ENSACAG00000010558.3	ENSPTRG00000051532.1, ENSPTRG00000002548.6
OG0002349	ENSACAG00000010493.3	ENSPTRG00000002549.6
OG0002350	ENSACAG00000003004.3	ENSPTRG00000010993.4
OG0002351	ENSACAG00000014844.2	ENSPTRG00000021999.4
OG0002352	ENSACAG00000013123.3	ENSPTRG00000010917.4
OG0002353	ENSACAG00000013099.3, ENSACAG00000013156.2	ENSPTRG00000006713.5
OG0002354	ENSACAG00000009165.3	ENSPTRG00000008850.5
OG0002355	ENSACAG00000009923.3	ENSPTRG00000007496.7
OG0002356	ENSACAG00000009076.3	ENSPTRG00000008851.6, ENSPTRG00000051785.1
OG0002357	ENSACAG00000013465.3	ENSPTRG00000003494.5
OG0002358	ENSACAG00000009409.3	ENSPTRG00000014023.6
OG0002359	ENSACAG00000026054.2, ENSACAG00000011820.2	ENSPTRG00000010951.5
OG0002360	ENSACAG00000024796.2, ENSACAG00000002343.3	ENSPTRG00000015692.6
OG0002361	ENSACAG00000017101.3, ENSACAG00000014049.3	ENSPTRG00000012616.6
OG0002362	ENSACAG00000016650.3	ENSPTRG00000044865.1
OG0002363	ENSACAG00000005555.3	ENSPTRG00000008429.6
OG0002364	ENSACAG00000026845.1, ENSACAG00000008901.3	ENSPTRG00000016788.6
OG0002365	ENSACAG00000011294.3	ENSPTRG00000021346.6
OG0002366	ENSACAG00000024093.1, ENSACAG00000017296.3, ENSACAG00000017265.3	ENSPTRG00000011266.4
OG0002367	ENSACAG00000017279.3	ENSPTRG00000011298.5, ENSPTRG00000049426.1, ENSPTRG00000051766.1, ENSPTRG00000050666.1
OG0002368	ENSACAG00000009594.3	ENSPTRG00000020549.7
OG0002369	ENSACAG00000003643.3	ENSPTRG00000005524.6
OG0002371	ENSACAG00000011415.3	ENSPTRG00000006110.6
OG0002372	ENSACAG00000014610.3, ENSACAG00000003832.2, ENSACAG00000003836.2	ENSPTRG00000047695.1, ENSPTRG00000005859.6
OG0002373	ENSACAG00000014774.3	ENSPTRG00000049058.1, ENSPTRG00000013866.6
OG0002374	ENSACAG00000017405.3	ENSPTRG00000012693.6
OG0002375	ENSACAG00000004263.2	ENSPTRG00000013390.5
OG0002375	ENSACAG00000022966.1	ENSPTRG00000022778.4
OG0002376	ENSACAG00000017167.3	ENSPTRG00000028525.3, ENSPTRG00000048014.1, ENSPTRG00000019323.6
OG0002377	ENSACAG00000017111.3	ENSPTRG00000047915.1, ENSPTRG00000048659.1, ENSPTRG00000007289.5
OG0002378	ENSACAG00000008436.3	ENSPTRG00000006865.4
OG0002379	ENSACAG00000000447.3	ENSPTRG00000046052.1, ENSPTRG00000044491.1
OG0002380	ENSACAG00000003606.3, ENSACAG00000001556.3	ENSPTRG00000013121.6
OG0002381	ENSACAG00000001393.3	ENSPTRG00000009555.6
OG0002383	ENSACAG00000003391.3, ENSACAG00000024924.2	ENSPTRG00000008735.4
OG0002384	ENSACAG00000016899.3	ENSPTRG00000049755.1, ENSPTRG00000052822.1
OG0002385	ENSACAG00000015702.1	ENSPTRG00000007036.4
OG0002386	ENSACAG00000011875.3	ENSPTRG00000002187.6
OG0002387	ENSACAG00000002053.3	ENSPTRG00000013176.6
OG0002388	ENSACAG00000010796.2	ENSPTRG00000011051.4
OG0002389	ENSACAG00000011733.3	ENSPTRG00000020900.7
OG0002390	ENSACAG00000006097.2	ENSPTRG00000002452.6, ENSPTRG00000013219.6
OG0002391	ENSACAG00000017620.3	ENSPTRG00000007414.6
OG0002392	ENSACAG00000017281.2	ENSPTRG00000017986.7
OG0002393	ENSACAG00000017300.3	ENSPTRG00000017984.6
OG0002394	ENSACAG00000004369.3	ENSPTRG00000015117.6
OG0002395	ENSACAG00000017339.3, ENSACAG00000010515.3	ENSPTRG00000021307.4
OG0002396	ENSACAG00000007601.3	ENSPTRG00000008143.4
OG0002397	ENSACAG00000015327.3	ENSPTRG00000007537.6
OG0002398	ENSACAG00000026479.2	ENSPTRG00000031195.2
OG0002399	ENSACAG00000001631.3, ENSACAG00000027223.2	ENSPTRG00000020053.6
OG0002400	ENSACAG00000008105.2	ENSPTRG00000006092.4
OG0002401	ENSACAG00000011693.3	ENSPTRG00000000469.7
OG0002402	ENSACAG00000011482.2	ENSPTRG00000001356.6
OG0002404	ENSACAG00000011794.3	ENSPTRG00000007897.6
OG0002405	ENSACAG00000004922.2	ENSPTRG00000018654.7
OG0002406	ENSACAG00000004832.3	ENSPTRG00000008731.5, ENSPTRG00000052224.1, ENSPTRG00000011547.4
OG0002407	ENSACAG00000001331.2	ENSPTRG00000015688.4
OG0002408	ENSACAG00000001189.3	ENSPTRG00000021594.5
OG0002409	ENSACAG00000002102.3	ENSPTRG00000002005.5
OG0002410	ENSACAG00000000125.3	ENSPTRG00000047176.1, ENSPTRG00000043199.1, ENSPTRG00000052221.1
OG0002411	ENSACAG00000014224.3	ENSPTRG00000018597.6
OG0002412	ENSACAG00000008097.3	ENSPTRG00000018582.5
OG0002413	ENSACAG00000000239.3	ENSPTRG00000009564.6
OG0002414	ENSACAG00000002547.3	ENSPTRG00000008226.4
OG0002415	ENSACAG00000009112.3	ENSPTRG00000043363.1, ENSPTRG00000044682.1
OG0002416	ENSACAG00000017804.3, ENSACAG00000008346.2	ENSPTRG00000020526.5
OG0002417	ENSACAG00000011762.3	ENSPTRG00000051489.1, ENSPTRG00000044139.1, ENSPTRG00000047333.1, ENSPTRG00000004996.4
OG0002418	ENSACAG00000014942.2	ENSPTRG00000010168.5, ENSPTRG00000049920.1
OG0002419	ENSACAG00000008881.3	ENSPTRG00000005997.5
OG0002420	ENSACAG00000017831.3	ENSPTRG00000000408.4, ENSPTRG00000000409.5
OG0002421	ENSACAG00000001895.3	ENSPTRG00000043716.1, ENSPTRG00000019995.7
OG0002422	ENSACAG00000006339.2	ENSPTRG00000020798.4, ENSPTRG00000021955.5
OG0002423	ENSACAG00000007509.2	ENSPTRG00000033870.3
OG0002424	ENSACAG00000007230.3	ENSPTRG00000004339.6, ENSPTRG00000004340.5
OG0002425	ENSACAG00000011592.3	ENSPTRG00000015900.6
OG0002426	ENSACAG00000003867.3, ENSACAG00000027909.2	ENSPTRG00000006197.7
OG0002427	ENSACAG00000016649.2	ENSPTRG00000012626.7
OG0002428	ENSACAG00000008115.3	ENSPTRG00000008338.2
OG0002429	ENSACAG00000005758.3	ENSPTRG00000015856.6
OG0002430	ENSACAG00000004525.2	ENSPTRG00000008832.6
OG0002431	ENSACAG00000001145.3	ENSPTRG00000043946.1, ENSPTRG00000008824.6
OG0002432	ENSACAG00000009955.2, ENSACAG00000028030.2	ENSPTRG00000034198.3
OG0002433	ENSACAG00000009912.3	ENSPTRG00000046494.1, ENSPTRG00000051930.1, ENSPTRG00000020560.6
OG0002434	ENSACAG00000023877.2	ENSPTRG00000045975.1, ENSPTRG00000048265.1, ENSPTRG00000049659.1, ENSPTRG00000044401.1, ENSPTRG00000045544.1, ENSPTRG00000046440.1, ENSPTRG00000023301.6, ENSPTRG00000012453.4
OG0002435	ENSACAG00000008769.3	ENSPTRG00000010737.6
OG0002436	ENSACAG00000005704.2, ENSACAG00000005287.2	ENSPTRG00000044299.1
OG0002437	ENSACAG00000005750.3	ENSPTRG00000001638.7
OG0002438	ENSACAG00000006274.3	ENSPTRG00000000886.7
OG0002439	ENSACAG00000005980.3	ENSPTRG00000051380.1
OG0002440	ENSACAG00000010682.2	ENSPTRG00000000052.5, ENSPTRG00000048145.1
OG0002441	ENSACAG00000003697.3	ENSPTRG00000008285.5
OG0002442	ENSACAG00000012401.3	ENSPTRG00000012547.3
OG0002443	ENSACAG00000010921.3	ENSPTRG00000001582.6
OG0002444	ENSACAG00000009801.3, ENSACAG00000009310.3	ENSPTRG00000008840.4
OG0002445	ENSACAG00000015371.3	ENSPTRG00000014352.6
OG0002446	ENSACAG00000022376.2, ENSACAG00000016737.3	ENSPTRG00000044028.1, ENSPTRG00000050587.1, ENSPTRG00000047992.1
OG0002447	ENSACAG00000002692.2	ENSPTRG00000006854.5
OG0002448	ENSACAG00000007410.2	ENSPTRG00000041089.2
OG0002449	ENSACAG00000008788.1	ENSPTRG00000051494.1, ENSPTRG00000047543.1
OG0002450	ENSACAG00000002627.3	ENSPTRG00000008961.5
OG0002451	ENSACAG00000017106.3, ENSACAG00000002201.2	ENSPTRG00000010552.4
OG0002452	ENSACAG00000007570.3	ENSPTRG00000008167.5
OG0002453	ENSACAG00000015299.3	ENSPTRG00000023726.6
OG0002454	ENSACAG00000006420.3, ENSACAG00000023269.1, ENSACAG00000014076.3	ENSPTRG00000020113.6
OG0002455	ENSACAG00000015437.3	ENSPTRG00000004280.4
OG0002456	ENSACAG00000009436.3	ENSPTRG00000020492.5
OG0002457	ENSACAG00000015820.3	ENSPTRG00000020865.6, ENSPTRG00000007132.5, ENSPTRG00000043478.1, ENSPTRG00000047641.1
OG0002458	ENSACAG00000016890.3	ENSPTRG00000024347.5
OG0002459	ENSACAG00000000699.3, ENSACAG00000005765.2	ENSPTRG00000006468.6, ENSPTRG00000046766.1
OG0002460	ENSACAG00000005969.3	ENSPTRG00000004587.3
OG0002461	ENSACAG00000014720.3	ENSPTRG00000021525.7
OG0002462	ENSACAG00000010586.3, ENSACAG00000017176.3	ENSPTRG00000048224.1, ENSPTRG00000021452.6
OG0002463	ENSACAG00000007647.3	ENSPTRG00000047275.1, ENSPTRG00000020701.6
OG0002464	ENSACAG00000008492.3	ENSPTRG00000050461.1, ENSPTRG00000050965.1, ENSPTRG00000022530.4
OG0002465	ENSACAG00000008253.2	ENSPTRG00000020672.6
OG0002466	ENSACAG00000016519.3	ENSPTRG00000011119.6, ENSPTRG00000011125.6
OG0002468	ENSACAG00000014056.1	ENSPTRG00000028742.3
OG0002469	ENSACAG00000006625.3	ENSPTRG00000007549.6
OG0002470	ENSACAG00000014260.3	ENSPTRG00000005041.6
OG0002471	ENSACAG00000010077.3	ENSPTRG00000001876.6
OG0002472	ENSACAG00000002068.3, ENSACAG00000004605.2	ENSPTRG00000018751.6
OG0002474	ENSACAG00000014650.2	ENSPTRG00000000773.6
OG0002474	ENSACAG00000026213.2, ENSACAG00000028895.1	ENSPTRG00000013470.7
OG0002475	ENSACAG00000011529.3	ENSPTRG00000046234.1
OG0002476	ENSACAG00000016770.3	ENSPTRG00000020299.5
OG0002477	ENSACAG00000001561.3	ENSPTRG00000008249.7
OG0002478	ENSACAG00000014647.3	ENSPTRG00000051531.1
OG0002480	ENSACAG00000011716.3	ENSPTRG00000052313.1, ENSPTRG00000010950.3
OG0002481	ENSACAG00000003446.3	ENSPTRG00000044127.1, ENSPTRG00000019503.5
OG0002482	ENSACAG00000009877.3	ENSPTRG00000010051.6
OG0002483	ENSACAG00000008385.2	ENSPTRG00000048929.1, ENSPTRG00000044983.1, ENSPTRG00000020109.6
OG0002484	ENSACAG00000008083.3	ENSPTRG00000001250.7
OG0002485	ENSACAG00000000097.3	ENSPTRG00000004461.7
OG0002486	ENSACAG00000014468.3	ENSPTRG00000043869.1, ENSPTRG00000044451.1, ENSPTRG00000048018.1, ENSPTRG00000043149.1, ENSPTRG00000022919.6
OG0002487	ENSACAG00000023857.2	ENSPTRG00000045560.1, ENSPTRG00000047164.1
OG0002488	ENSACAG00000007409.2	ENSPTRG00000008133.5
OG0002489	ENSACAG00000009939.3	ENSPTRG00000002632.6
OG0002490	ENSACAG00000002654.3	ENSPTRG00000007543.6
OG0002491	ENSACAG00000007675.3	ENSPTRG00000011763.6
OG0002492	ENSACAG00000001853.2	ENSPTRG00000009931.5
OG0002493	ENSACAG00000028650.1	ENSPTRG00000013797.6
OG0002494	ENSACAG00000009128.3	ENSPTRG00000042247.2
OG0002495	ENSACAG00000009777.3, ENSACAG00000024540.1	ENSPTRG00000014756.4
OG0002496	ENSACAG00000007195.2	ENSPTRG00000020678.6
OG0002497	ENSACAG00000005542.2	ENSPTRG00000049077.1
OG0002498	ENSACAG00000008195.3	ENSPTRG00000013144.7
OG0002499	ENSACAG00000016422.2	ENSPTRG00000005500.4
OG0002500	ENSACAG00000002342.3	ENSPTRG00000001776.6
OG0002501	ENSACAG00000008454.3	ENSPTRG00000011843.4
OG0002502	ENSACAG00000016451.3	ENSPTRG00000007917.6
OG0002503	ENSACAG00000010062.2	ENSPTRG00000019975.4
OG0002504	ENSACAG00000005808.3, ENSACAG00000013743.2	ENSPTRG00000019047.6
OG0002505	ENSACAG00000000246.3	ENSPTRG00000007275.4
OG0002506	ENSACAG00000016150.3	ENSPTRG00000008113.6
OG0002507	ENSACAG00000014512.3	ENSPTRG00000050411.1, ENSPTRG00000006911.4
OG0002508	ENSACAG00000012373.2, ENSACAG00000027261.2	ENSPTRG00000001903.3
OG0002509	ENSACAG00000002169.3	ENSPTRG00000048574.1, ENSPTRG00000015680.5, ENSPTRG00000047655.1, ENSPTRG00000047374.1
OG0002510	ENSACAG00000001871.2	ENSPTRG00000005560.6
OG0002512	ENSACAG00000003766.3	ENSPTRG00000046756.1, ENSPTRG00000021290.5
OG0002513	ENSACAG00000000908.3	ENSPTRG00000006192.6
OG0002514	ENSACAG00000013912.3	ENSPTRG00000004360.3
OG0002515	ENSACAG00000007175.3	ENSPTRG00000046852.1, ENSPTRG00000005636.5
OG0002516	ENSACAG00000004204.3	ENSPTRG00000005203.7
OG0002517	ENSACAG00000016857.3	ENSPTRG00000043403.1, ENSPTRG00000011614.4
OG0002518	ENSACAG00000003621.3, ENSACAG00000005307.2	ENSPTRG00000010117.6
OG0002519	ENSACAG00000011211.3	ENSPTRG00000019918.6
OG0002520	ENSACAG00000007994.3	ENSPTRG00000014074.6
OG0002521	ENSACAG00000009652.3	ENSPTRG00000008256.5, ENSPTRG00000008257.6
OG0002524	ENSACAG00000002943.3	ENSPTRG00000002236.6
OG0002525	ENSACAG00000001843.2	ENSPTRG00000018131.4
OG0002526	ENSACAG00000002362.2	ENSPTRG00000017777.6
OG0002527	ENSACAG00000003142.3	ENSPTRG00000002239.4
OG0002528	ENSACAG00000009325.2	ENSPTRG00000021305.7
OG0002529	ENSACAG00000028556.1	ENSPTRG00000000552.3
OG0002530	ENSACAG00000014551.3	ENSPTRG00000008444.6
OG0002531	ENSACAG00000006882.2	ENSPTRG00000040616.2
OG0002532	ENSACAG00000004047.3	ENSPTRG00000006304.7
OG0002533	ENSACAG00000007106.3	ENSPTRG00000052164.1
OG0002535	ENSACAG00000006451.3	ENSPTRG00000004578.6
OG0002536	ENSACAG00000007353.3	ENSPTRG00000002404.7
OG0002537	ENSACAG00000000351.3	ENSPTRG00000016745.6
OG0002538	ENSACAG00000000501.2	ENSPTRG00000011769.6
OG0002539	ENSACAG00000015522.3	ENSPTRG00000049741.1
OG0002540	ENSACAG00000028577.1, ENSACAG00000007851.3	ENSPTRG00000002383.4
OG0002541	ENSACAG00000014223.3, ENSACAG00000002208.1	ENSPTRG00000049061.1, ENSPTRG00000039221.2, ENSPTRG00000017013.3
OG0002542	ENSACAG00000004895.3	ENSPTRG00000044070.1, ENSPTRG00000022846.4
OG0002543	ENSACAG00000012930.2, ENSACAG00000000282.2, ENSACAG00000002572.3	ENSPTRG00000004308.6, ENSPTRG00000004307.3, ENSPTRG00000028394.4
OG0002544	ENSACAG00000010196.3	ENSPTRG00000000033.5, ENSPTRG00000044190.1, ENSPTRG00000000031.6
OG0002545	ENSACAG00000004384.3	ENSPTRG00000021168.4
OG0002546	ENSACAG00000024269.1	ENSPTRG00000021171.3
OG0002547	ENSACAG00000004419.2	ENSPTRG00000048652.1, ENSPTRG00000003377.5
OG0002548	ENSACAG00000005361.3	ENSPTRG00000002336.3
OG0002549	ENSACAG00000006941.3	ENSPTRG00000002765.6
OG0002550	ENSACAG00000005418.3	ENSPTRG00000051854.1, ENSPTRG00000002265.6
OG0002551	ENSACAG00000005463.3	ENSPTRG00000002384.7
OG0002552	ENSACAG00000000510.3, ENSACAG00000015530.2, ENSACAG00000000717.3, ENSACAG00000029172.1	ENSPTRG00000048763.1, ENSPTRG00000003522.6
OG0002553	ENSACAG00000005576.3	ENSPTRG00000018819.5
OG0002554	ENSACAG00000012581.2	ENSPTRG00000003385.6
OG0002555	ENSACAG00000015222.3	ENSPTRG00000021271.3
OG0002556	ENSACAG00000015932.3	ENSPTRG00000051066.1, ENSPTRG00000019377.6
OG0002557	ENSACAG00000015915.3	ENSPTRG00000051985.1, ENSPTRG00000019381.2, ENSPTRG00000049287.1, ENSPTRG00000051768.1
OG0002558	ENSACAG00000017125.2, ENSACAG00000017073.3	ENSPTRG00000019712.6
OG0002559	ENSACAG00000015854.3	ENSPTRG00000019384.7, ENSPTRG00000048897.1
OG0002560	ENSACAG00000009656.3	ENSPTRG00000012018.6
OG0002561	ENSACAG00000003918.3	ENSPTRG00000015656.6
OG0002562	ENSACAG00000004108.2	ENSPTRG00000015652.6
OG0002563	ENSACAG00000001807.2	ENSPTRG00000048629.1, ENSPTRG00000051787.1, ENSPTRG00000046575.1, ENSPTRG00000007836.5
OG0002564	ENSACAG00000001457.3	ENSPTRG00000019316.4
OG0002565	ENSACAG00000000911.3	ENSPTRG00000021248.7
OG0002566	ENSACAG00000009091.3	ENSPTRG00000020956.2, ENSPTRG00000005463.5
OG0002567	ENSACAG00000011713.3	ENSPTRG00000048429.1, ENSPTRG00000018894.6
OG0002568	ENSACAG00000000366.3	ENSPTRG00000006749.4
OG0002569	ENSACAG00000006872.2	ENSPTRG00000009965.3
OG0002570	ENSACAG00000015335.2	ENSPTRG00000046790.1, ENSPTRG00000019528.5
OG0002571	ENSACAG00000013288.3	ENSPTRG00000048482.1, ENSPTRG00000049050.1, ENSPTRG00000052163.1
OG0002572	ENSACAG00000002798.3	ENSPTRG00000049615.1, ENSPTRG00000050151.1
OG0002573	ENSACAG00000016906.2	ENSPTRG00000011460.5, ENSPTRG00000050721.1
OG0002574	ENSACAG00000016932.2	ENSPTRG00000051064.1, ENSPTRG00000011458.5
OG0002575	ENSACAG00000013692.2	ENSPTRG00000046704.1
OG0002576	ENSACAG00000013187.3	ENSPTRG00000001672.5
OG0002577	ENSACAG00000017601.3	ENSPTRG00000003755.5
OG0002578	ENSACAG00000014705.3	ENSPTRG00000019425.5
OG0002579	ENSACAG00000004487.3	ENSPTRG00000010453.4
OG0002580	ENSACAG00000016005.3	ENSPTRG00000011507.4, ENSPTRG00000042884.1, ENSPTRG00000048409.1
OG0002581	ENSACAG00000006975.3	ENSPTRG00000015575.5
OG0002583	ENSACAG00000023372.1	ENSPTRG00000018955.6
OG0002584	ENSACAG00000007973.2	ENSPTRG00000044071.1
OG0002585	ENSACAG00000013142.2, ENSACAG00000012217.3	ENSPTRG00000014034.6
OG0002586	ENSACAG00000002984.3	ENSPTRG00000019041.5
OG0002587	ENSACAG00000005417.2, ENSACAG00000029318.1	ENSPTRG00000013006.6
OG0002588	ENSACAG00000004197.3	ENSPTRG00000051114.1, ENSPTRG00000012993.6
OG0002589	ENSACAG00000011373.3	ENSPTRG00000046004.1
OG0002590	ENSACAG00000011577.3	ENSPTRG00000019778.4, ENSPTRG00000052697.1
OG0002591	ENSACAG00000009896.3	ENSPTRG00000014746.7
OG0002592	ENSACAG00000009342.3	ENSPTRG00000044145.1, ENSPTRG00000019067.6, ENSPTRG00000050932.1
OG0002593	ENSACAG00000016187.3	ENSPTRG00000029559.3
OG0002594	ENSACAG00000016023.3	ENSPTRG00000051467.1, ENSPTRG00000034326.3
OG0002595	ENSACAG00000026128.2	ENSPTRG00000019105.5
OG0002596	ENSACAG00000013910.3	ENSPTRG00000043336.1, ENSPTRG00000019837.5
OG0002597	ENSACAG00000000665.3	ENSPTRG00000013130.6
OG0002598	ENSACAG00000029591.1	ENSPTRG00000000955.5
OG0002599	ENSACAG00000024302.1, ENSACAG00000007350.3	ENSPTRG00000001889.7
OG0002600	ENSACAG00000006121.3	ENSPTRG00000013050.6
OG0002601	ENSACAG00000003916.3	ENSPTRG00000014449.5
OG0002602	ENSACAG00000010644.3	ENSPTRG00000004710.4
OG0002602	ENSACAG00000022275.2	ENSPTRG00000004711.4
OG0002603	ENSACAG00000012824.3	ENSPTRG00000045880.1, ENSPTRG00000001078.4, ENSPTRG00000044616.1
OG0002604	ENSACAG00000012892.3	ENSPTRG00000005336.6
OG0002605	ENSACAG00000008897.2, ENSACAG00000013232.3	ENSPTRG00000005333.6
OG0002606	ENSACAG00000002790.3	ENSPTRG00000002812.6
OG0002607	ENSACAG00000013050.3	ENSPTRG00000009304.4
OG0002608	ENSACAG00000000928.3	ENSPTRG00000009297.6
OG0002609	ENSACAG00000016823.3	ENSPTRG00000046946.1, ENSPTRG00000019664.6, ENSPTRG00000009504.6
OG0002610	ENSACAG00000007327.3	ENSPTRG00000005224.6
OG0002611	ENSACAG00000006924.3	ENSPTRG00000005240.6, ENSPTRG00000050001.1, ENSPTRG00000044084.1
OG0002612	ENSACAG00000012928.3	ENSPTRG00000016273.4, ENSPTRG00000016272.7
OG0002613	ENSACAG00000017206.3	ENSPTRG00000003003.7
OG0002614	ENSACAG00000017951.3	ENSPTRG00000009199.5, ENSPTRG00000009198.4
OG0002615	ENSACAG00000007242.3	ENSPTRG00000009330.4
OG0002616	ENSACAG00000009432.3	ENSPTRG00000004545.5
OG0002617	ENSACAG00000003149.3	ENSPTRG00000004839.6
OG0002618	ENSACAG00000003172.3	ENSPTRG00000045111.1
OG0002619	ENSACAG00000016245.3	ENSPTRG00000047637.1, ENSPTRG00000005984.6
OG0002620	ENSACAG00000002204.3	ENSPTRG00000001127.6
OG0002621	ENSACAG00000002900.3	ENSPTRG00000006017.7
OG0002622	ENSACAG00000001540.3	ENSPTRG00000006073.7, ENSPTRG00000051640.1, ENSPTRG00000041835.2, ENSPTRG00000041187.2
OG0002623	ENSACAG00000007412.3	ENSPTRG00000015989.6, ENSPTRG00000047556.1, ENSPTRG00000043215.1
OG0002624	ENSACAG00000004942.2	ENSPTRG00000001864.5
OG0002625	ENSACAG00000001008.3	ENSPTRG00000043929.1
OG0002626	ENSACAG00000005107.3	ENSPTRG00000001856.5
OG0002627	ENSACAG00000012664.3	ENSPTRG00000012268.5
OG0002628	ENSACAG00000002064.2	ENSPTRG00000052306.1
OG0002629	ENSACAG00000012250.3	ENSPTRG00000012263.6
OG0002630	ENSACAG00000005207.3	ENSPTRG00000015850.7
OG0002631	ENSACAG00000015240.3	ENSPTRG00000048592.1, ENSPTRG00000049703.1, ENSPTRG00000044230.1, ENSPTRG00000004529.4
OG0002632	ENSACAG00000023801.2, ENSACAG00000011909.3	ENSPTRG00000052788.1, ENSPTRG00000021835.6
OG0002633	ENSACAG00000009750.3	ENSPTRG00000013457.7
OG0002634	ENSACAG00000015904.3	ENSPTRG00000014466.6
OG0002635	ENSACAG00000007288.3	ENSPTRG00000050860.1, ENSPTRG00000050342.1, ENSPTRG00000004677.6
OG0002636	ENSACAG00000017937.3	ENSPTRG00000022487.7, ENSPTRG00000045541.1
OG0002637	ENSACAG00000006293.2	ENSPTRG00000051828.1, ENSPTRG00000019333.5
OG0002638	ENSACAG00000017861.3	ENSPTRG00000013969.5
OG0002639	ENSACAG00000023592.1, ENSACAG00000005450.2	ENSPTRG00000013927.5
OG0002640	ENSACAG00000015121.3	ENSPTRG00000019581.4
OG0002641	ENSACAG00000015202.2	ENSPTRG00000019579.4
OG0002642	ENSACAG00000004229.2	ENSPTRG00000013870.6, ENSPTRG00000044482.1
OG0002643	ENSACAG00000004221.2	ENSPTRG00000013868.6, ENSPTRG00000046273.1
OG0002644	ENSACAG00000001974.3	ENSPTRG00000013824.7
OG0002645	ENSACAG00000014895.3	ENSPTRG00000013809.5, ENSPTRG00000044388.1
OG0002646	ENSACAG00000010500.3	ENSPTRG00000013793.6
OG0002647	ENSACAG00000028652.1, ENSACAG00000013115.3	ENSPTRG00000008216.4
OG0002648	ENSACAG00000006579.3, ENSACAG00000024526.2	ENSPTRG00000020023.6
OG0002649	ENSACAG00000006685.2	ENSPTRG00000020026.7
OG0002650	ENSACAG00000000479.3	ENSPTRG00000015132.4
OG0002651	ENSACAG00000006877.3	ENSPTRG00000050205.1, ENSPTRG00000016671.3
OG0002652	ENSACAG00000002084.2, ENSACAG00000005852.3	ENSPTRG00000019295.6
OG0002653	ENSACAG00000001979.2	ENSPTRG00000016449.7, ENSPTRG00000046603.1, ENSPTRG00000044081.1
OG0002654	ENSACAG00000004313.2	ENSPTRG00000046000.1
OG0002655	ENSACAG00000002234.3	ENSPTRG00000005683.6, ENSPTRG00000044692.1
OG0002656	ENSACAG00000012742.3	ENSPTRG00000004211.6
OG0002657	ENSACAG00000013753.3	ENSPTRG00000004204.5, ENSPTRG00000049059.1, ENSPTRG00000044595.1
OG0002658	ENSACAG00000010662.3	ENSPTRG00000016380.6
OG0002659	ENSACAG00000001906.2	ENSPTRG00000046588.1
