Orthogroup	A_carolinensis.pep	X_tropicalis.pep
OG0003051	ENSACAG00000027516.2, ENSACAG00000013315.3	ENSXETG00000012067.1
OG0003052	ENSACAG00000014371.3	ENSXETG00000009927.1
OG0003053	ENSACAG00000005405.3	ENSXETG00000017707.1
OG0003054	ENSACAG00000003545.3	ENSXETG00000014856.1
OG0003055	ENSACAG00000011896.3	ENSXETG00000002632.1, ENSXETG00000011703.1
OG0003056	ENSACAG00000006278.3	ENSXETG00000013670.1
OG0003057	ENSACAG00000007974.3	ENSXETG00000004327.1
OG0003058	ENSACAG00000016779.3	ENSXETG00000003255.1
OG0003059	ENSACAG00000004612.3	ENSXETG00000019117.1
OG0003060	ENSACAG00000002241.3, ENSACAG00000016673.2	ENSXETG00000016584.1
OG0003061	ENSACAG00000000413.3, ENSACAG00000004883.3	ENSXETG00000005512.1
OG0003062	ENSACAG00000004806.3	ENSXETG00000019671.1
OG0003063	ENSACAG00000028080.1, ENSACAG00000028207.1	ENSXETG00000017948.1
OG0003064	ENSACAG00000009121.3	ENSXETG00000013399.1
OG0003065	ENSACAG00000000163.3	ENSXETG00000007867.1
OG0003066	ENSACAG00000015518.3	ENSXETG00000002386.1
OG0003067	ENSACAG00000014219.3	ENSXETG00000011532.1
OG0003068	ENSACAG00000014839.3	ENSXETG00000002911.1
OG0003069	ENSACAG00000015640.3, ENSACAG00000025913.1	ENSXETG00000004941.1
OG0003070	ENSACAG00000008335.2	ENSXETG00000018920.1
OG0003071	ENSACAG00000013155.3, ENSACAG00000001527.3	ENSXETG00000009010.1
OG0003072	ENSACAG00000004891.3	ENSXETG00000003240.1
OG0003072	ENSACAG00000028514.1	ENSXETG00000003271.1
OG0003073	ENSACAG00000004289.3	ENSXETG00000018020.1
OG0003074	ENSACAG00000014396.3	ENSXETG00000019337.1
OG0003075	ENSACAG00000027886.2, ENSACAG00000009407.2, ENSACAG00000012453.2	ENSXETG00000004005.1
OG0003076	ENSACAG00000012059.3	ENSXETG00000001647.1
OG0003077	ENSACAG00000012131.2	ENSXETG00000001600.1
OG0003078	ENSACAG00000013531.2, ENSACAG00000002127.3	ENSXETG00000003780.1
OG0003079	ENSACAG00000009727.3	ENSXETG00000000954.1
OG0003080	ENSACAG00000015423.2	ENSXETG00000003576.1
OG0003081	ENSACAG00000015441.3	ENSXETG00000003759.1
OG0003082	ENSACAG00000007463.3	ENSXETG00000016650.1
OG0003083	ENSACAG00000006461.3	ENSXETG00000000355.1
OG0003084	ENSACAG00000006468.3	ENSXETG00000000388.1
OG0003085	ENSACAG00000012185.3	ENSXETG00000021351.1
OG0003086	ENSACAG00000005642.3	ENSXETG00000005712.1
OG0003087	ENSACAG00000006531.3	ENSXETG00000000440.1
OG0003088	ENSACAG00000003453.3	ENSXETG00000009504.1
OG0003089	ENSACAG00000023912.1	ENSXETG00000010118.1
OG0003089	ENSACAG00000002483.3	ENSXETG00000000931.1
OG0003090	ENSACAG00000025660.2, ENSACAG00000014549.3	ENSXETG00000001769.1
OG0003091	ENSACAG00000009993.3	ENSXETG00000006162.1
OG0003092	ENSACAG00000009013.2, ENSACAG00000017367.3	ENSXETG00000017182.1
OG0003093	ENSACAG00000001399.3	ENSXETG00000008938.1
OG0003094	ENSACAG00000022072.1	ENSXETG00000001016.1, ENSXETG00000001030.1
OG0003095	ENSACAG00000003208.3	ENSXETG00000001114.1
OG0003096	ENSACAG00000006716.2, ENSACAG00000029651.1	ENSXETG00000015584.1
OG0003097	ENSACAG00000016277.3	ENSXETG00000008810.1
OG0003098	ENSACAG00000000682.3	ENSXETG00000001979.1
OG0003099	ENSACAG00000016614.2	ENSXETG00000006452.1
OG0003100	ENSACAG00000000389.2	ENSXETG00000001308.1
OG0003101	ENSACAG00000010317.3	ENSXETG00000015633.1
OG0003102	ENSACAG00000005539.3	ENSXETG00000000526.1
OG0003103	ENSACAG00000023245.1, ENSACAG00000010976.2	ENSXETG00000016446.1
OG0003104	ENSACAG00000001115.1, ENSACAG00000002133.3	ENSXETG00000019443.1
OG0003105	ENSACAG00000016638.2	ENSXETG00000006967.1
OG0003106	ENSACAG00000006938.3	ENSXETG00000018433.1
OG0003107	ENSACAG00000007361.3	ENSXETG00000000410.1
OG0003108	ENSACAG00000008618.3	ENSXETG00000009460.1
OG0003109	ENSACAG00000012851.3	ENSXETG00000008645.1
OG0003110	ENSACAG00000006787.3	ENSXETG00000011974.1
OG0003111	ENSACAG00000012952.2, ENSACAG00000003885.2	ENSXETG00000011348.1, ENSXETG00000009636.1
OG0003112	ENSACAG00000009014.3	ENSXETG00000009770.1
OG0003112	ENSACAG00000006867.3	ENSXETG00000009621.1
OG0003113	ENSACAG00000011162.3	ENSXETG00000010617.1
OG0003114	ENSACAG00000003695.3	ENSXETG00000019304.1
OG0003115	ENSACAG00000028530.1	ENSXETG00000012909.1
OG0003116	ENSACAG00000001821.3	ENSXETG00000007309.1
OG0003117	ENSACAG00000010179.3	ENSXETG00000004973.1
OG0003118	ENSACAG00000004172.2	ENSXETG00000012820.1
OG0003119	ENSACAG00000014677.3	ENSXETG00000005785.1
OG0003120	ENSACAG00000014726.3	ENSXETG00000005962.1
OG0003121	ENSACAG00000008970.3	ENSXETG00000004696.1
OG0003122	ENSACAG00000013604.3	ENSXETG00000011706.1
OG0003123	ENSACAG00000013715.2	ENSXETG00000007337.1
OG0003124	ENSACAG00000004001.3	ENSXETG00000020184.1
OG0003125	ENSACAG00000010972.3	ENSXETG00000019848.1
OG0003126	ENSACAG00000002878.2	ENSXETG00000020191.1
OG0003127	ENSACAG00000001323.3	ENSXETG00000020020.1
OG0003128	ENSACAG00000005399.3	ENSXETG00000015543.1
OG0003129	ENSACAG00000005425.3	ENSXETG00000001566.1
OG0003130	ENSACAG00000009961.3	ENSXETG00000007919.1
OG0003131	ENSACAG00000010119.3	ENSXETG00000018252.1
OG0003132	ENSACAG00000002858.3	ENSXETG00000008547.1
OG0003133	ENSACAG00000006069.2	ENSXETG00000017602.1
OG0003134	ENSACAG00000002939.2	ENSXETG00000008754.1, ENSXETG00000008701.1, ENSXETG00000015925.1, ENSXETG00000003895.1
OG0003135	ENSACAG00000001166.2	ENSXETG00000007079.1
OG0003136	ENSACAG00000003398.3	ENSXETG00000017117.1, ENSXETG00000017708.1
OG0003137	ENSACAG00000003538.3	ENSXETG00000012324.1
OG0003138	ENSACAG00000004080.3, ENSACAG00000026768.1	ENSXETG00000008168.1
OG0003140	ENSACAG00000007087.2	ENSXETG00000009016.1, ENSXETG00000009002.1, ENSXETG00000008982.1, ENSXETG00000008969.1
OG0003141	ENSACAG00000008777.3	ENSXETG00000003526.1
OG0003142	ENSACAG00000002381.3	ENSXETG00000011298.1
OG0003143	ENSACAG00000007152.2, ENSACAG00000028177.2	ENSXETG00000003260.1
OG0003144	ENSACAG00000002355.2	ENSXETG00000017878.1
OG0003145	ENSACAG00000002123.3	ENSXETG00000017950.1
OG0003146	ENSACAG00000007648.2	ENSXETG00000016313.1
OG0003147	ENSACAG00000002450.2	ENSXETG00000004592.1
OG0003149	ENSACAG00000000933.2	ENSXETG00000020206.1
OG0003150	ENSACAG00000004049.2	ENSXETG00000014066.1
OG0003151	ENSACAG00000014267.3	ENSXETG00000000132.1
OG0003152	ENSACAG00000006100.1, ENSACAG00000015980.3	ENSXETG00000011490.1
OG0003153	ENSACAG00000002855.3	ENSXETG00000014320.1
OG0003154	ENSACAG00000027543.1, ENSACAG00000025564.1, ENSACAG00000006945.2	ENSXETG00000010158.1
OG0003155	ENSACAG00000002412.3	ENSXETG00000002547.1
OG0003156	ENSACAG00000008621.2	ENSXETG00000010199.1
OG0003157	ENSACAG00000006131.2	ENSXETG00000017386.1
OG0003158	ENSACAG00000011771.3	ENSXETG00000005003.1
OG0003159	ENSACAG00000004137.3	ENSXETG00000001421.1
OG0003160	ENSACAG00000004409.3	ENSXETG00000009971.1
OG0003161	ENSACAG00000007478.3	ENSXETG00000008222.1
OG0003162	ENSACAG00000010600.3, ENSACAG00000005847.2	ENSXETG00000018708.1
OG0003163	ENSACAG00000029207.1, ENSACAG00000017980.2	ENSXETG00000018033.1
OG0003164	ENSACAG00000007919.3	ENSXETG00000020517.1
OG0003165	ENSACAG00000005626.2	ENSXETG00000017659.1
OG0003166	ENSACAG00000006314.3	ENSXETG00000020780.1
OG0003167	ENSACAG00000005060.3, ENSACAG00000025755.1	ENSXETG00000013545.1
OG0003168	ENSACAG00000016327.3	ENSXETG00000004717.1
OG0003169	ENSACAG00000006621.3	ENSXETG00000015525.1
OG0003170	ENSACAG00000005663.3	ENSXETG00000015917.1
OG0003171	ENSACAG00000029331.1	ENSXETG00000002555.1, ENSXETG00000002565.1
OG0003172	ENSACAG00000015426.3	ENSXETG00000015166.1, ENSXETG00000019837.1
OG0003173	ENSACAG00000014074.3	ENSXETG00000011778.1
OG0003174	ENSACAG00000011551.2	ENSXETG00000001529.1
OG0003175	ENSACAG00000014170.3	ENSXETG00000011555.1
OG0003176	ENSACAG00000017553.2, ENSACAG00000009193.3	ENSXETG00000008977.1
OG0003177	ENSACAG00000006309.2	ENSXETG00000001800.1
OG0003178	ENSACAG00000013560.3	ENSXETG00000016801.1
OG0003178	ENSACAG00000014422.3	ENSXETG00000001920.1
OG0003179	ENSACAG00000011632.3, ENSACAG00000004872.3	ENSXETG00000019482.1
OG0003180	ENSACAG00000006799.3	ENSXETG00000012162.1
OG0003181	ENSACAG00000028657.1	ENSXETG00000003832.1
OG0003182	ENSACAG00000010831.2	ENSXETG00000002282.1
OG0003183	ENSACAG00000014932.3	ENSXETG00000003968.1
OG0003184	ENSACAG00000015077.2	ENSXETG00000019073.1
OG0003185	ENSACAG00000002729.3	ENSXETG00000021201.1
OG0003186	ENSACAG00000015660.3	ENSXETG00000012389.1
OG0003187	ENSACAG00000014305.3	ENSXETG00000005544.1
OG0003188	ENSACAG00000009957.3	ENSXETG00000010649.1
OG0003189	ENSACAG00000003168.2, ENSACAG00000022489.1	ENSXETG00000012061.1
OG0003190	ENSACAG00000015516.2	ENSXETG00000001711.1
OG0003191	ENSACAG00000008962.3	ENSXETG00000017249.1
OG0003192	ENSACAG00000009296.3	ENSXETG00000014522.1
OG0003193	ENSACAG00000011250.3	ENSXETG00000007866.1
OG0003194	ENSACAG00000016345.3	ENSXETG00000003848.1
OG0003195	ENSACAG00000015360.2	ENSXETG00000004287.1
OG0003196	ENSACAG00000016360.2	ENSXETG00000003878.1
OG0003197	ENSACAG00000010473.3	ENSXETG00000009630.1
OG0003198	ENSACAG00000017758.3	ENSXETG00000014850.1
OG0003199	ENSACAG00000016427.3	ENSXETG00000007833.1
OG0003200	ENSACAG00000005143.3	ENSXETG00000020845.1
OG0003201	ENSACAG00000012901.2	ENSXETG00000002849.1
OG0003201	ENSACAG00000005014.3	ENSXETG00000005684.1, ENSXETG00000004302.1
OG0003202	ENSACAG00000010559.2	ENSXETG00000009263.1
OG0003203	ENSACAG00000016384.3	ENSXETG00000007466.1
OG0003204	ENSACAG00000020961.3	ENSXETG00000007421.1
OG0003205	ENSACAG00000029348.1	ENSXETG00000019235.1
OG0003207	ENSACAG00000017885.3	ENSXETG00000008330.1
OG0003208	ENSACAG00000015448.3	ENSXETG00000000272.1
OG0003209	ENSACAG00000015446.3	ENSXETG00000019959.1, ENSXETG00000015709.1
OG0003210	ENSACAG00000003362.3	ENSXETG00000003530.1
OG0003211	ENSACAG00000000182.3	ENSXETG00000018188.1
OG0003212	ENSACAG00000016777.2	ENSXETG00000011767.1, ENSXETG00000011759.1, ENSXETG00000011696.1, ENSXETG00000015514.1, ENSXETG00000008796.1
OG0003213	ENSACAG00000012832.3	ENSXETG00000011171.1
OG0003214	ENSACAG00000017859.3	ENSXETG00000011685.1
OG0003215	ENSACAG00000012638.3	ENSXETG00000014310.1
OG0003216	ENSACAG00000016847.3	ENSXETG00000014954.1, ENSXETG00000015041.1
OG0003217	ENSACAG00000005211.3, ENSACAG00000013636.2	ENSXETG00000020415.1
OG0003218	ENSACAG00000002556.3	ENSXETG00000008715.1, ENSXETG00000008004.1
OG0003219	ENSACAG00000013887.3	ENSXETG00000019568.1
OG0003220	ENSACAG00000013117.3	ENSXETG00000014864.1
OG0003221	ENSACAG00000004868.3	ENSXETG00000000149.1
OG0003222	ENSACAG00000012961.3	ENSXETG00000005881.1
OG0003223	ENSACAG00000013266.3	ENSXETG00000020210.1
OG0003224	ENSACAG00000029646.1	ENSXETG00000003205.1
OG0003225	ENSACAG00000012712.3	ENSXETG00000004156.1
OG0003226	ENSACAG00000012799.3	ENSXETG00000000099.1
OG0003227	ENSACAG00000023624.1, ENSACAG00000001530.2	ENSXETG00000016329.1
OG0003228	ENSACAG00000000779.2	ENSXETG00000016412.1
OG0003229	ENSACAG00000012768.3	ENSXETG00000016901.1, ENSXETG00000003007.1
OG0003230	ENSACAG00000012925.3	ENSXETG00000016883.1
OG0003231	ENSACAG00000011077.3	ENSXETG00000001797.1
OG0003232	ENSACAG00000026620.2	ENSXETG00000007248.1
OG0003233	ENSACAG00000002029.3	ENSXETG00000006880.1
OG0003234	ENSACAG00000011355.3	ENSXETG00000011729.1
OG0003235	ENSACAG00000003102.3	ENSXETG00000011884.1
OG0003236	ENSACAG00000009290.3	ENSXETG00000001032.1
OG0003237	ENSACAG00000016190.2	ENSXETG00000009488.1
OG0003238	ENSACAG00000004877.3	ENSXETG00000019785.1
OG0003239	ENSACAG00000009812.3	ENSXETG00000019013.1
OG0003240	ENSACAG00000015113.3	ENSXETG00000003977.1
OG0003241	ENSACAG00000017511.3	ENSXETG00000003714.1
OG0003242	ENSACAG00000017508.3	ENSXETG00000003695.1
OG0003243	ENSACAG00000000876.3	ENSXETG00000017600.1
OG0003244	ENSACAG00000026546.1, ENSACAG00000004659.2	ENSXETG00000017574.1
OG0003245	ENSACAG00000007921.3	ENSXETG00000010875.1, ENSXETG00000001231.1
OG0003246	ENSACAG00000008129.3	ENSXETG00000002690.1
OG0003247	ENSACAG00000009084.3	ENSXETG00000010628.1, ENSXETG00000004378.1
OG0003248	ENSACAG00000008372.3	ENSXETG00000011149.1, ENSXETG00000011133.1
OG0003249	ENSACAG00000009383.3	ENSXETG00000003536.1
OG0003250	ENSACAG00000015549.3	ENSXETG00000013446.1, ENSXETG00000015193.1
OG0003251	ENSACAG00000009573.2	ENSXETG00000000804.1
OG0003252	ENSACAG00000015453.3	ENSXETG00000010376.1
OG0003253	ENSACAG00000009576.2	ENSXETG00000000827.1
OG0003254	ENSACAG00000008101.3	ENSXETG00000002385.1
OG0003255	ENSACAG00000009697.3	ENSXETG00000009843.1
OG0003256	ENSACAG00000006573.3	ENSXETG00000019753.1
OG0003257	ENSACAG00000008598.3	ENSXETG00000013302.1
OG0003259	ENSACAG00000004820.3	ENSXETG00000019328.1
OG0003260	ENSACAG00000005976.3	ENSXETG00000011197.1
OG0003261	ENSACAG00000004677.3, ENSACAG00000013398.2	ENSXETG00000005404.1
OG0003262	ENSACAG00000011145.3	ENSXETG00000006931.1
OG0003263	ENSACAG00000028496.1	ENSXETG00000014531.1
OG0003264	ENSACAG00000014353.3	ENSXETG00000021357.1
OG0003265	ENSACAG00000011597.2	ENSXETG00000002875.1
OG0003266	ENSACAG00000012593.2	ENSXETG00000009881.1
OG0003267	ENSACAG00000010904.2	ENSXETG00000020513.1
OG0003268	ENSACAG00000012014.3, ENSACAG00000011810.2	ENSXETG00000016739.1, ENSXETG00000010845.1
OG0003269	ENSACAG00000013679.3	ENSXETG00000004485.1
OG0003270	ENSACAG00000013771.3	ENSXETG00000009116.1
OG0003271	ENSACAG00000003048.3	ENSXETG00000006803.1
OG0003272	ENSACAG00000013432.3, ENSACAG00000013409.2	ENSXETG00000001119.1
OG0003273	ENSACAG00000004245.3	ENSXETG00000004552.1
OG0003273	ENSACAG00000006487.2	ENSXETG00000013836.1
OG0003274	ENSACAG00000014073.2	ENSXETG00000012985.1
OG0003275	ENSACAG00000012989.3	ENSXETG00000010558.1
OG0003276	ENSACAG00000012606.3	ENSXETG00000016842.1
OG0003277	ENSACAG00000012551.3	ENSXETG00000008713.1
OG0003278	ENSACAG00000015161.3	ENSXETG00000009318.1
OG0003279	ENSACAG00000007219.3	ENSXETG00000007357.1
OG0003280	ENSACAG00000016584.3	ENSXETG00000010208.1
OG0003281	ENSACAG00000028908.1	ENSXETG00000010053.1, ENSXETG00000003890.1
OG0003282	ENSACAG00000016690.3	ENSXETG00000010865.1, ENSXETG00000020398.1
OG0003283	ENSACAG00000007393.3	ENSXETG00000009221.1
OG0003284	ENSACAG00000017168.1	ENSXETG00000003375.1
OG0003285	ENSACAG00000017359.2	ENSXETG00000008465.1
OG0003286	ENSACAG00000017455.3	ENSXETG00000020420.1
OG0003287	ENSACAG00000010342.3	ENSXETG00000008262.1
OG0003288	ENSACAG00000010481.3	ENSXETG00000015506.1
OG0003289	ENSACAG00000008136.3	ENSXETG00000020259.1
OG0003290	ENSACAG00000010548.2	ENSXETG00000002358.1
OG0003291	ENSACAG00000008956.3	ENSXETG00000016920.1
OG0003292	ENSACAG00000017448.3	ENSXETG00000002508.1, ENSXETG00000015446.1
OG0003293	ENSACAG00000017471.3	ENSXETG00000017678.1
OG0003294	ENSACAG00000017543.3	ENSXETG00000001002.1, ENSXETG00000001046.1
OG0003295	ENSACAG00000017278.3	ENSXETG00000007290.1
OG0003296	ENSACAG00000017889.3	ENSXETG00000009611.1
OG0003297	ENSACAG00000017940.3	ENSXETG00000005048.1, ENSXETG00000001459.1
OG0003298	ENSACAG00000000798.3	ENSXETG00000004952.1
OG0003300	ENSACAG00000017970.3	ENSXETG00000019775.1
OG0003301	ENSACAG00000004984.3	ENSXETG00000004038.1
OG0003302	ENSACAG00000007343.3	ENSXETG00000018828.1
OG0003303	ENSACAG00000006889.3	ENSXETG00000017097.1
OG0003304	ENSACAG00000001996.2	ENSXETG00000020869.1
OG0003305	ENSACAG00000006556.3	ENSXETG00000019980.1, ENSXETG00000014641.1
OG0003306	ENSACAG00000006423.2	ENSXETG00000017630.1
OG0003307	ENSACAG00000000948.2	ENSXETG00000006905.1
OG0003308	ENSACAG00000006063.3	ENSXETG00000017531.1
OG0003309	ENSACAG00000000949.3	ENSXETG00000003348.1
OG0003310	ENSACAG00000008426.2	ENSXETG00000010678.1
OG0003311	ENSACAG00000000006.3	ENSXETG00000021103.1
OG0003312	ENSACAG00000007100.3	ENSXETG00000018735.1
OG0003313	ENSACAG00000005896.3	ENSXETG00000013188.1
OG0003314	ENSACAG00000004618.2	ENSXETG00000009560.1
OG0003315	ENSACAG00000007252.2	ENSXETG00000021383.1
OG0003316	ENSACAG00000011895.3	ENSXETG00000002357.1
OG0003317	ENSACAG00000017946.3	ENSXETG00000018927.1
OG0003318	ENSACAG00000002987.3	ENSXETG00000002611.1
OG0003319	ENSACAG00000006065.2	ENSXETG00000001863.1
OG0003320	ENSACAG00000001301.3	ENSXETG00000020950.1
OG0003321	ENSACAG00000013276.3	ENSXETG00000007118.1
OG0003322	ENSACAG00000000188.3	ENSXETG00000004739.1
OG0003323	ENSACAG00000004704.2	ENSXETG00000020583.1
OG0003324	ENSACAG00000007508.3	ENSXETG00000004678.1, ENSXETG00000009787.1
OG0003325	ENSACAG00000004983.2	ENSXETG00000005063.1
OG0003325	ENSACAG00000014461.3	ENSXETG00000013240.1
OG0003326	ENSACAG00000005774.3	ENSXETG00000007484.1
OG0003327	ENSACAG00000006578.2	ENSXETG00000012138.1
OG0003328	ENSACAG00000006847.3	ENSXETG00000010918.1
OG0003329	ENSACAG00000022364.1	ENSXETG00000018120.1
OG0003330	ENSACAG00000009467.2	ENSXETG00000016855.1, ENSXETG00000016869.1
OG0003331	ENSACAG00000006758.2, ENSACAG00000004616.3	ENSXETG00000015016.1
OG0003332	ENSACAG00000001416.2	ENSXETG00000020781.1
OG0003333	ENSACAG00000001745.3	ENSXETG00000019017.1
OG0003334	ENSACAG00000008818.3	ENSXETG00000014444.1
OG0003335	ENSACAG00000015647.3	ENSXETG00000010439.1
OG0003336	ENSACAG00000009113.3	ENSXETG00000020316.1
OG0003337	ENSACAG00000014335.3	ENSXETG00000011147.1
OG0003338	ENSACAG00000012584.3	ENSXETG00000000329.1
OG0003339	ENSACAG00000001364.3	ENSXETG00000005714.1
OG0003340	ENSACAG00000007472.3	ENSXETG00000005563.1
OG0003341	ENSACAG00000000600.3	ENSXETG00000004325.1
OG0003342	ENSACAG00000012262.2	ENSXETG00000000984.1
OG0003343	ENSACAG00000021077.2, ENSACAG00000014934.2	ENSXETG00000016441.1
OG0003344	ENSACAG00000006367.3	ENSXETG00000017538.1
OG0003345	ENSACAG00000016158.3	ENSXETG00000001865.1
OG0003346	ENSACAG00000017877.3	ENSXETG00000004940.1
OG0003347	ENSACAG00000014646.3	ENSXETG00000020518.1
OG0003348	ENSACAG00000015023.2	ENSXETG00000020757.1
OG0003349	ENSACAG00000015081.3	ENSXETG00000018293.1
OG0003350	ENSACAG00000024839.2	ENSXETG00000001156.1, ENSXETG00000001188.1, ENSXETG00000001180.1, ENSXETG00000018664.1
OG0003351	ENSACAG00000007787.3	ENSXETG00000008651.1
OG0003352	ENSACAG00000024897.1, ENSACAG00000004694.3	ENSXETG00000014233.1
OG0003353	ENSACAG00000004438.3	ENSXETG00000014059.1
OG0003354	ENSACAG00000013883.2	ENSXETG00000013050.1
OG0003355	ENSACAG00000012067.3	ENSXETG00000012156.1
OG0003356	ENSACAG00000003806.2, ENSACAG00000002743.3	ENSXETG00000005419.1
OG0003357	ENSACAG00000002394.2	ENSXETG00000006021.1, ENSXETG00000006029.1, ENSXETG00000006015.1, ENSXETG00000006011.1
OG0003358	ENSACAG00000001560.1	ENSXETG00000015413.1
OG0003359	ENSACAG00000009601.3	ENSXETG00000007878.1
OG0003360	ENSACAG00000009187.3	ENSXETG00000008505.1
OG0003361	ENSACAG00000006191.3	ENSXETG00000004723.1
OG0003362	ENSACAG00000006443.3	ENSXETG00000004982.1
OG0003363	ENSACAG00000001300.3	ENSXETG00000012220.1
OG0003364	ENSACAG00000002192.3	ENSXETG00000002070.1
OG0003365	ENSACAG00000002400.3	ENSXETG00000002805.1
OG0003366	ENSACAG00000005887.3	ENSXETG00000000885.1
OG0003367	ENSACAG00000011907.3	ENSXETG00000001101.1
OG0003368	ENSACAG00000001961.3	ENSXETG00000013384.1
OG0003369	ENSACAG00000010157.3	ENSXETG00000001969.1
OG0003371	ENSACAG00000002923.3	ENSXETG00000010888.1
OG0003372	ENSACAG00000016864.3	ENSXETG00000012424.1
OG0003373	ENSACAG00000015595.2	ENSXETG00000001193.1
OG0003373	ENSACAG00000015780.3	ENSXETG00000007011.1
OG0003374	ENSACAG00000015790.3	ENSXETG00000001728.1
OG0003375	ENSACAG00000015978.3	ENSXETG00000001972.1
OG0003376	ENSACAG00000005080.3	ENSXETG00000002224.1
OG0003377	ENSACAG00000011518.3	ENSXETG00000013965.1
OG0003378	ENSACAG00000012689.3	ENSXETG00000015954.1
OG0003380	ENSACAG00000013216.2	ENSXETG00000009153.1
OG0003381	ENSACAG00000010235.3	ENSXETG00000014687.1
OG0003382	ENSACAG00000010059.3, ENSACAG00000029395.1	ENSXETG00000015636.1
OG0003383	ENSACAG00000012543.3	ENSXETG00000010730.1
OG0003384	ENSACAG00000014875.3	ENSXETG00000005655.1
OG0003385	ENSACAG00000012781.3	ENSXETG00000018757.1
OG0003386	ENSACAG00000018006.3	ENSXETG00000007702.1
OG0003387	ENSACAG00000015452.3	ENSXETG00000013024.1, ENSXETG00000013017.1
OG0003388	ENSACAG00000010461.3	ENSXETG00000012806.1
OG0003389	ENSACAG00000016452.3	ENSXETG00000012945.1
OG0003390	ENSACAG00000008556.3	ENSXETG00000001010.1
OG0003391	ENSACAG00000002415.3	ENSXETG00000021264.1
OG0003392	ENSACAG00000001483.2	ENSXETG00000019916.1
OG0003393	ENSACAG00000001420.3	ENSXETG00000000556.1
OG0003394	ENSACAG00000012788.3	ENSXETG00000018533.1
OG0003395	ENSACAG00000005559.3	ENSXETG00000003636.1
OG0003396	ENSACAG00000012653.2	ENSXETG00000015269.1
OG0003397	ENSACAG00000012861.3	ENSXETG00000014396.1
OG0003399	ENSACAG00000003174.3	ENSXETG00000019960.1
OG0003400	ENSACAG00000014886.2	ENSXETG00000020805.1
OG0003401	ENSACAG00000017353.3	ENSXETG00000001241.1
OG0003402	ENSACAG00000017384.3	ENSXETG00000001410.1
OG0003403	ENSACAG00000009394.3	ENSXETG00000000113.1
OG0003404	ENSACAG00000012104.3	ENSXETG00000017360.1
OG0003405	ENSACAG00000004754.3	ENSXETG00000014796.1
OG0003406	ENSACAG00000011394.2	ENSXETG00000003141.1
OG0003407	ENSACAG00000005428.3, ENSACAG00000008359.3	ENSXETG00000020299.1
OG0003408	ENSACAG00000013474.3	ENSXETG00000019390.1
OG0003409	ENSACAG00000008545.3	ENSXETG00000020763.1
OG0003410	ENSACAG00000008750.3	ENSXETG00000019721.1
OG0003411	ENSACAG00000008883.3	ENSXETG00000019497.1
OG0003412	ENSACAG00000009670.3	ENSXETG00000001911.1
OG0003413	ENSACAG00000016685.3	ENSXETG00000001405.1
OG0003414	ENSACAG00000017092.3	ENSXETG00000009369.1
OG0003415	ENSACAG00000015993.3	ENSXETG00000008166.1
OG0003416	ENSACAG00000017447.3	ENSXETG00000009022.1, ENSXETG00000009701.1
OG0003417	ENSACAG00000012275.3	ENSXETG00000009289.1
OG0003418	ENSACAG00000012698.3	ENSXETG00000003984.1
OG0003419	ENSACAG00000016340.3	ENSXETG00000000673.1
OG0003420	ENSACAG00000015852.3	ENSXETG00000006454.1
OG0003421	ENSACAG00000012605.2	ENSXETG00000017140.1
OG0003422	ENSACAG00000003726.3	ENSXETG00000021155.1
OG0003423	ENSACAG00000012833.3, ENSACAG00000007080.3	ENSXETG00000019545.1
OG0003424	ENSACAG00000008936.2, ENSACAG00000012912.2	ENSXETG00000007076.1
OG0003425	ENSACAG00000021048.2	ENSXETG00000006223.1
OG0003426	ENSACAG00000003162.3	ENSXETG00000007889.1
OG0003427	ENSACAG00000001966.2	ENSXETG00000016654.1
OG0003428	ENSACAG00000014115.3	ENSXETG00000002753.1
OG0003429	ENSACAG00000005108.3	ENSXETG00000013368.1
OG0003430	ENSACAG00000023449.2	ENSXETG00000021206.1
OG0003431	ENSACAG00000015826.3	ENSXETG00000016018.1
OG0003432	ENSACAG00000009130.3	ENSXETG00000020618.1
OG0003433	ENSACAG00000009884.3	ENSXETG00000014598.1
OG0003434	ENSACAG00000014849.2	ENSXETG00000004703.1
OG0003435	ENSACAG00000015255.3	ENSXETG00000019827.1
OG0003436	ENSACAG00000009592.3	ENSXETG00000005334.1
OG0003437	ENSACAG00000009263.3	ENSXETG00000001375.1
OG0003439	ENSACAG00000016808.3	ENSXETG00000004795.1
OG0003440	ENSACAG00000017083.3	ENSXETG00000019938.1, ENSXETG00000004002.1
OG0003441	ENSACAG00000017270.3	ENSXETG00000016636.1
OG0003443	ENSACAG00000017373.3	ENSXETG00000017698.1, ENSXETG00000008941.1
OG0003444	ENSACAG00000017476.3	ENSXETG00000004242.1
OG0003445	ENSACAG00000017567.3	ENSXETG00000012056.1, ENSXETG00000009039.1
OG0003446	ENSACAG00000017559.3	ENSXETG00000008964.1
OG0003447	ENSACAG00000020944.2	ENSXETG00000002776.1
OG0003448	ENSACAG00000008553.2	ENSXETG00000005586.1
OG0003449	ENSACAG00000006714.3	ENSXETG00000020868.1
OG0003450	ENSACAG00000005447.3	ENSXETG00000010250.1
OG0003451	ENSACAG00000009437.3	ENSXETG00000017715.1
OG0003452	ENSACAG00000009693.3	ENSXETG00000017353.1
OG0003453	ENSACAG00000014245.3	ENSXETG00000006053.1
OG0003454	ENSACAG00000002335.2	ENSXETG00000012102.1
