Orthogroup	M_musculus.pep	C_familiaris.pep
OG0000345	ENSMUSG00000027827.17	ENSCAFG00000008838.5
OG0000345	ENSMUSG00000028931.12	ENSCAFG00000019524.5
OG0000345	ENSMUSG00000018470.8	ENSCAFG00000016888.5
OG0000346	ENSMUSG00000018909.15	ENSCAFG00000005415.5
OG0000346	ENSMUSG00000060216.15	ENSCAFG00000015905.5
OG0000346	ENSMUSG00000060890.11	ENSCAFG00000016791.4
OG0000347	ENSMUSG00000004897.16	ENSCAFG00000016741.6
OG0000347	ENSMUSG00000002833.11	ENSCAFG00000019033.5
OG0000347	ENSMUSG00000025104.13	ENSCAFG00000013208.4
OG0000348	ENSMUSG00000038855.10	ENSCAFG00000016055.5
OG0000348	ENSMUSG00000003752.9	ENSCAFG00000005104.5
OG0000348	ENSMUSG00000027296.7	ENSCAFG00000009562.5
OG0000349	ENSMUSG00000031681.16	ENSCAFG00000007659.5
OG0000349	ENSMUSG00000027796.2	ENSCAFG00000006162.5
OG0000349	ENSMUSG00000021540.16	ENSCAFG00000001094.4
OG0000350	ENSMUSG00000027011.14	ENSCAFG00000014163.3
OG0000350	ENSMUSG00000058317.12	ENSCAFG00000031320.2
OG0000350	ENSMUSG00000021774.13	ENSCAFG00000005774.4, ENSCAFG00000005321.4
OG0000351	ENSMUSG00000025330.6	ENSCAFG00000015797.4
OG0000351	ENSMUSG00000025329.3	ENSCAFG00000023194.4
OG0000351	ENSMUSG00000028927.6	ENSCAFG00000015813.4
OG0000352	ENSMUSG00000033987.16	ENSCAFG00000005442.4
OG0000352	ENSMUSG00000056752.16	ENSCAFG00000017769.4
OG0000352	ENSMUSG00000018581.15	ENSCAFG00000002717.5
OG0000353	ENSMUSG00000030621.17	ENSCAFG00000004407.4
OG0000353	ENSMUSG00000024556.4	ENSCAFG00000000168.4
OG0000353	ENSMUSG00000032418.15	ENSCAFG00000002941.5
OG0000354	ENSMUSG00000003228.9	ENSCAFG00000012129.4
OG0000354	ENSMUSG00000074886.11	ENSCAFG00000016388.5
OG0000355	ENSMUSG00000005958.15	ENSCAFG00000013005.5
OG0000355	ENSMUSG00000028664.14	ENSCAFG00000014323.4
OG0000355	ENSMUSG00000032537.15	ENSCAFG00000006971.4
OG0000356	ENSMUSG00000033981.14	ENSCAFG00000008653.4
OG0000356	ENSMUSG00000001986.16	ENSCAFG00000018564.4
OG0000356	ENSMUSG00000025892.16	ENSCAFG00000014838.5
OG0000357	ENSMUSG00000022935.16	ENSCAFG00000008768.5
OG0000357	ENSMUSG00000001985.9	ENSCAFG00000003333.5
OG0000357	ENSMUSG00000056073.16	ENSCAFG00000003580.5
OG0000358	ENSMUSG00000004698.11	ENSCAFG00000002498.4
OG0000358	ENSMUSG00000008855.17	ENSCAFG00000014334.6
OG0000359	ENSMUSG00000078651.8	ENSCAFG00000030830.2
OG0000360	ENSMUSG00000022858.16	ENSCAFG00000013345.4, ENSCAFG00000043960.1
OG0000360	ENSMUSG00000029817.11	ENSCAFG00000002788.4
OG0000361	ENSMUSG00000061740.8, ENSMUSG00000068083.2, ENSMUSG00000022445.7, ENSMUSG00000118516.1, ENSMUSG00000094559.2, ENSMUSG00000094806.2, ENSMUSG00000068085.6, ENSMUSG00000096852.2, ENSMUSG00000068086.6	ENSCAFG00000044204.1
OG0000362	ENSMUSG00000036545.9	ENSCAFG00000000334.4
OG0000362	ENSMUSG00000059901.12	ENSCAFG00000014083.5
OG0000363	ENSMUSG00000023987.14	ENSCAFG00000024344.4, ENSCAFG00000023173.3
OG0000364	ENSMUSG00000067194.6	ENSCAFG00000032071.2
OG0000365	ENSMUSG00000093789.3, ENSMUSG00000056487.8, ENSMUSG00000058057.5, ENSMUSG00000054619.7	ENSCAFG00000032583.2
OG0000365	ENSMUSG00000025347.4	ENSCAFG00000031038.2
OG0000366	ENSMUSG00000090124.7, ENSMUSG00000089675.1, ENSMUSG00000090165.8, ENSMUSG00000090175.1	ENSCAFG00000031246.2
OG0000367	ENSMUSG00000000706.16	ENSCAFG00000025038.2
OG0000367	ENSMUSG00000020490.16	ENSCAFG00000024874.3, ENSCAFG00000001138.4
OG0000367	ENSMUSG00000053216.15	ENSCAFG00000010849.4
OG0000368	ENSMUSG00000111772.2, ENSMUSG00000060742.1, ENSMUSG00000111678.2, ENSMUSG00000075179.3, ENSMUSG00000111306.2, ENSMUSG00000075186.4, ENSMUSG00000075181.1, ENSMUSG00000075185.1, ENSMUSG00000075190.2, ENSMUSG00000111711.1, ENSMUSG00000075176.3, ENSMUSG00000075172.3, ENSMUSG00000110804.1, ENSMUSG00000111689.1, ENSMUSG00000110912.1, ENSMUSG00000075174.2, ENSMUSG00000075196.3	ENSCAFG00000043179.1, ENSCAFG00000042594.1, ENSCAFG00000045346.1, ENSCAFG00000045506.1
OG0000368	ENSMUSG00000075188.4	ENSCAFG00000045492.1, ENSCAFG00000047145.1
OG0000369	ENSMUSG00000051207.7	ENSCAFG00000046533.1
OG0000369	ENSMUSG00000070552.2, ENSMUSG00000074111.4, ENSMUSG00000050650.7, ENSMUSG00000096719.1, ENSMUSG00000093973.1, ENSMUSG00000067173.3, ENSMUSG00000078698.3, ENSMUSG00000052303.6, ENSMUSG00000070550.2, ENSMUSG00000070551.3, ENSMUSG00000070546.2, ENSMUSG00000050425.2, ENSMUSG00000074109.4, ENSMUSG00000070547.4, ENSMUSG00000050870.4	ENSCAFG00000009402.4
OG0000370	ENSMUSG00000021214.14, ENSMUSG00000025955.13, ENSMUSG00000021207.9, ENSMUSG00000021210.16, ENSMUSG00000054757.14, ENSMUSG00000033715.15, ENSMUSG00000071551.13, ENSMUSG00000021211.4, ENSMUSG00000021213.12	ENSCAFG00000005276.5
OG0000371	ENSMUSG00000031284.16	ENSCAFG00000018154.6
OG0000371	ENSMUSG00000030774.13	ENSCAFG00000004956.4
OG0000371	ENSMUSG00000022781.8	ENSCAFG00000013067.4
OG0000373	ENSMUSG00000005640.11	ENSCAFG00000024151.3
OG0000373	ENSMUSG00000005534.10	ENSCAFG00000018170.5
OG0000373	ENSMUSG00000005533.10	ENSCAFG00000010881.4
OG0000374	ENSMUSG00000019880.10	ENSCAFG00000001067.4
OG0000374	ENSMUSG00000028871.7	ENSCAFG00000003280.4
OG0000374	ENSMUSG00000051920.7	ENSCAFG00000000696.4
OG0000375	ENSMUSG00000068323.12	ENSCAFG00000008684.5
OG0000375	ENSMUSG00000024485.16	ENSCAFG00000005751.5
OG0000375	ENSMUSG00000060961.16	ENSCAFG00000002939.6
OG0000376	ENSMUSG00000041075.8	ENSCAFG00000012407.5
OG0000376	ENSMUSG00000044674.6	ENSCAFG00000001906.3
OG0000376	ENSMUSG00000050288.6	ENSCAFG00000014134.5
OG0000377	ENSMUSG00000003037.16	ENSCAFG00000015782.5
OG0000377	ENSMUSG00000020671.9	ENSCAFG00000004250.5
OG0000377	ENSMUSG00000036943.9	ENSCAFG00000016983.5
OG0000378	ENSMUSG00000030781.13	ENSCAFG00000016909.3
OG0000378	ENSMUSG00000020229.4	ENSCAFG00000013498.5
OG0000378	ENSMUSG00000020226.9	ENSCAFG00000023850.4
OG0000378	ENSMUSG00000011034.6	ENSCAFG00000013439.4
OG0000379	ENSMUSG00000009731.4	ENSCAFG00000015697.4
OG0000379	ENSMUSG00000060882.5	ENSCAFG00000024216.3
OG0000379	ENSMUSG00000040896.16	ENSCAFG00000013665.4
OG0000380	ENSMUSG00000055320.17	ENSCAFG00000007976.5
OG0000380	ENSMUSG00000002249.21	ENSCAFG00000001326.5
OG0000380	ENSMUSG00000030796.17	ENSCAFG00000003698.5
OG0000381	ENSMUSG00000028751.13	ENSCAFG00000023233.3
OG0000381	ENSMUSG00000041202.12	ENSCAFG00000015085.4
OG0000381	ENSMUSG00000041193.15	ENSCAFG00000023246.3
OG0000382	ENSMUSG00000033059.7	ENSCAFG00000004380.4
OG0000382	ENSMUSG00000106877.3, ENSMUSG00000032648.14	ENSCAFG00000014281.4
OG0000382	ENSMUSG00000021069.17	ENSCAFG00000014595.4
OG0000383	ENSMUSG00000063672.7	ENSCAFG00000049702.1
OG0000383	ENSMUSG00000041309.17	ENSCAFG00000029896.2
OG0000383	ENSMUSG00000035187.10	ENSCAFG00000009157.5
OG0000384	ENSMUSG00000051262.9, ENSMUSG00000089694.2, ENSMUSG00000079495.2, ENSMUSG00000057103.11, ENSMUSG00000030004.6, ENSMUSG00000079494.2, ENSMUSG00000033634.7, ENSMUSG00000068299.11	ENSCAFG00000029185.2
OG0000385	ENSMUSG00000073563.3	ENSCAFG00000000557.5
OG0000385	ENSMUSG00000032384.16	ENSCAFG00000017079.5
OG0000385	ENSMUSG00000003345.16	ENSCAFG00000019435.4
OG0000386	ENSMUSG00000049103.14	ENSCAFG00000013786.1
OG0000386	ENSMUSG00000079227.10	ENSCAFG00000013783.2
OG0000386	ENSMUSG00000035448.9	ENSCAFG00000013794.3
OG0000386	ENSMUSG00000064039.4, ENSMUSG00000025804.5	ENSCAFG00000013805.4
OG0000387	ENSMUSG00000064293.14	ENSCAFG00000006013.4
OG0000387	ENSMUSG00000030075.10	ENSCAFG00000006357.4
OG0000387	ENSMUSG00000030092.14	ENSCAFG00000006061.5
OG0000388	ENSMUSG00000045467.13	ENSCAFG00000012035.4
OG0000388	ENSMUSG00000038756.13	ENSCAFG00000016875.4
OG0000389	ENSMUSG00000022512.3	ENSCAFG00000029313.2
OG0000389	ENSMUSG00000066058.11	ENSCAFG00000002540.3
OG0000389	ENSMUSG00000018569.12	ENSCAFG00000016124.4
OG0000390	ENSMUSG00000062515.3	ENSCAFG00000018873.4, ENSCAFG00000011465.3, ENSCAFG00000011192.2, ENSCAFG00000025410.3
OG0000390	ENSMUSG00000052468.7	ENSCAFG00000043426.1
OG0000390	ENSMUSG00000103124.1, ENSMUSG00000027528.12	ENSCAFG00000008463.5
OG0000391	ENSMUSG00000024697.4	ENSCAFG00000031429.2
OG0000392	ENSMUSG00000031896.7	ENSCAFG00000020334.4
OG0000392	ENSMUSG00000031957.6	ENSCAFG00000020084.4, ENSCAFG00000020083.4
OG0000393	ENSMUSG00000024851.14, ENSMUSG00000097096.8	ENSCAFG00000011451.5
OG0000393	ENSMUSG00000029406.15	ENSCAFG00000007616.5
OG0000394	ENSMUSG00000096727.3	ENSCAFG00000030725.2
OG0000394	ENSMUSG00000018286.6	ENSCAFG00000015855.4
OG0000395	ENSMUSG00000041453.12	ENSCAFG00000008805.3, ENSCAFG00000048253.1, ENSCAFG00000015987.3, ENSCAFG00000044878.1, ENSCAFG00000044788.1, ENSCAFG00000032537.2, ENSCAFG00000015533.4, ENSCAFG00000001564.4, ENSCAFG00000044149.1, ENSCAFG00000042835.1, ENSCAFG00000045251.1, ENSCAFG00000028744.1, ENSCAFG00000006810.4
OG0000396	ENSMUSG00000001288.15	ENSCAFG00000007050.4
OG0000396	ENSMUSG00000037992.16	ENSCAFG00000016060.5
OG0000396	ENSMUSG00000017491.9	ENSCAFG00000005727.4
OG0000397	ENSMUSG00000079434.8	ENSCAFG00000030910.2
OG0000397	ENSMUSG00000034000.15	ENSCAFG00000045576.1
OG0000398	ENSMUSG00000033335.17	ENSCAFG00000017651.4
OG0000398	ENSMUSG00000040265.16	ENSCAFG00000014805.5
OG0000398	ENSMUSG00000026825.17	ENSCAFG00000020082.4
OG0000399	ENSMUSG00000002459.17	ENSCAFG00000006955.4
OG0000399	ENSMUSG00000019775.17	ENSCAFG00000000550.4
OG0000400	ENSMUSG00000032562.13	ENSCAFG00000010740.4
OG0000400	ENSMUSG00000000001.4	ENSCAFG00000019825.4
OG0000401	ENSMUSG00000045534.4	ENSCAFG00000015281.4
OG0000401	ENSMUSG00000047976.4	ENSCAFG00000015289.1
OG0000402	ENSMUSG00000027902.8, ENSMUSG00000043873.11, ENSMUSG00000063779.6, ENSMUSG00000040809.10, ENSMUSG00000062778.12	ENSCAFG00000019759.4
OG0000403	ENSMUSG00000030111.9, ENSMUSG00000030131.8, ENSMUSG00000059908.9, ENSMUSG00000108022.1, ENSMUSG00000030359.14	ENSCAFG00000024781.4
OG0000404	ENSMUSG00000019432.15	ENSCAFG00000000509.5
OG0000404	ENSMUSG00000005481.18	ENSCAFG00000016355.4
OG0000405	ENSMUSG00000045427.13	ENSCAFG00000000336.4, ENSCAFG00000017693.3
OG0000405	ENSMUSG00000042079.13	ENSCAFG00000007044.2
OG0000406	ENSMUSG00000043807.6	ENSCAFG00000030202.2
OG0000406	ENSMUSG00000024387.13	ENSCAFG00000000604.4
OG0000408	ENSMUSG00000026829.9	ENSCAFG00000019864.3
OG0000408	ENSMUSG00000079421.8	ENSCAFG00000003697.5
OG0000408	ENSMUSG00000035778.17	ENSCAFG00000029298.2
OG0000408	ENSMUSG00000015787.15	ENSCAFG00000007214.4, ENSCAFG00000024235.2, ENSCAFG00000019757.4
OG0000409	ENSMUSG00000054890.2	ENSCAFG00000011491.4
OG0000409	ENSMUSG00000049737.2	ENSCAFG00000048906.1
OG0000409	ENSMUSG00000051258.5	ENSCAFG00000049100.1
OG0000409	ENSMUSG00000044061.7, ENSMUSG00000046016.3, ENSMUSG00000060030.5, ENSMUSG00000063549.4	ENSCAFG00000024736.3
OG0000410	ENSMUSG00000035177.8	ENSCAFG00000048258.1, ENSCAFG00000002638.3
OG0000414	ENSMUSG00000047517.12	ENSCAFG00000012561.5
OG0000414	ENSMUSG00000008845.9	ENSCAFG00000013968.5
OG0000415	ENSMUSG00000027403.12	ENSCAFG00000006727.4
OG0000415	ENSMUSG00000027401.9	ENSCAFG00000023828.3
OG0000416	ENSMUSG00000027204.13	ENSCAFG00000014548.4
OG0000416	ENSMUSG00000024598.9	ENSCAFG00000000681.5
OG0000417	ENSMUSG00000028048.11	ENSCAFG00000016988.4
OG0000418	ENSMUSG00000029823.16	ENSCAFG00000004069.5
OG0000418	ENSMUSG00000024188.16	ENSCAFG00000019689.4
OG0000419	ENSMUSG00000058546.8	ENSCAFG00000016268.2, ENSCAFG00000018784.4
OG0000420	ENSMUSG00000030510.11	ENSCAFG00000010691.4
OG0000420	ENSMUSG00000008206.16	ENSCAFG00000018482.3
OG0000420	ENSMUSG00000015714.11	ENSCAFG00000012285.4
OG0000421	ENSMUSG00000027716.13	ENSCAFG00000004110.6
OG0000421	ENSMUSG00000021541.14	ENSCAFG00000001103.4
OG0000421	ENSMUSG00000031997.9	ENSCAFG00000015194.4
OG0000423	ENSMUSG00000004231.15	ENSCAFG00000009709.5
OG0000423	ENSMUSG00000014030.15	ENSCAFG00000002357.5
OG0000423	ENSMUSG00000029706.15	ENSCAFG00000001719.5
OG0000424	ENSMUSG00000005474.9	ENSCAFG00000013765.4
OG0000424	ENSMUSG00000030672.12	ENSCAFG00000016543.4
OG0000425	ENSMUSG00000035864.14	ENSCAFG00000005766.4
OG0000425	ENSMUSG00000004961.7	ENSCAFG00000002613.4
OG0000426	ENSMUSG00000027293.13	ENSCAFG00000009869.4
OG0000426	ENSMUSG00000024065.8	ENSCAFG00000005348.4
OG0000426	ENSMUSG00000024772.9, ENSMUSG00000107039.1	ENSCAFG00000014128.5
OG0000427	ENSMUSG00000038467.15	ENSCAFG00000007478.4
OG0000427	ENSMUSG00000027536.6	ENSCAFG00000008510.4
OG0000428	ENSMUSG00000042554.10, ENSMUSG00000026405.14	ENSCAFG00000024982.3, ENSCAFG00000004942.3
OG0000429	ENSMUSG00000097449.9, ENSMUSG00000078816.9	ENSCAFG00000029928.2, ENSCAFG00000002713.5
OG0000429	ENSMUSG00000050965.14	ENSCAFG00000011326.4
OG0000429	ENSMUSG00000052889.11	ENSCAFG00000017622.4
OG0000430	ENSMUSG00000033220.7	ENSCAFG00000001508.4
OG0000431	ENSMUSG00000017132.17	ENSCAFG00000005506.4
OG0000431	ENSMUSG00000003269.17	ENSCAFG00000003993.4
OG0000432	ENSMUSG00000054446.8	ENSCAFG00000024968.3
OG0000432	ENSMUSG00000029788.13	ENSCAFG00000001486.4
OG0000432	ENSMUSG00000039070.5	ENSCAFG00000025473.4
OG0000433	ENSMUSG00000038770.17	ENSCAFG00000015125.4, ENSCAFG00000030590.2
OG0000433	ENSMUSG00000018362.14, ENSMUSG00000066878.5	ENSCAFG00000017604.3, ENSCAFG00000017465.3, ENSCAFG00000016013.3, ENSCAFG00000005292.3, ENSCAFG00000011598.4
OG0000434	ENSMUSG00000026918.16	ENSCAFG00000019817.5
OG0000434	ENSMUSG00000024335.20	ENSCAFG00000000871.5
OG0000435	ENSMUSG00000027849.19	ENSCAFG00000009348.5
OG0000435	ENSMUSG00000063260.2	ENSCAFG00000010475.4
OG0000435	ENSMUSG00000062542.11	ENSCAFG00000006740.4
OG0000437	ENSMUSG00000052305.6, ENSMUSG00000073940.3	ENSCAFG00000030286.3
OG0000438	ENSMUSG00000039218.17	ENSCAFG00000019346.5
OG0000438	ENSMUSG00000039860.19	ENSCAFG00000013537.6
OG0000439	ENSMUSG00000016382.15	ENSCAFG00000018250.4
OG0000439	ENSMUSG00000021998.16	ENSCAFG00000004491.4
OG0000439	ENSMUSG00000049493.13	ENSCAFG00000007897.4
OG0000440	ENSMUSG00000023968.15	ENSCAFG00000001842.4
OG0000440	ENSMUSG00000006360.11	ENSCAFG00000018440.4
OG0000441	ENSMUSG00000030307.8	ENSCAFG00000023412.4
OG0000441	ENSMUSG00000030109.15	ENSCAFG00000015756.4
OG0000442	ENSMUSG00000050029.7	ENSCAFG00000018830.5
OG0000442	ENSMUSG00000036894.3	ENSCAFG00000031794.2
OG0000443	ENSMUSG00000028709.3	ENSCAFG00000004221.4
OG0000443	ENSMUSG00000073910.10	ENSCAFG00000001715.4
OG0000444	ENSMUSG00000029088.16	ENSCAFG00000016537.4
OG0000444	ENSMUSG00000053519.17	ENSCAFG00000016951.4
OG0000445	ENSMUSG00000094426.3, ENSMUSG00000058014.4, ENSMUSG00000109884.3, ENSMUSG00000078118.5, ENSMUSG00000095239.4, ENSMUSG00000109631.1, ENSMUSG00000109497.1, ENSMUSG00000058244.4, ENSMUSG00000096209.4, ENSMUSG00000061000.1, ENSMUSG00000096068.1, ENSMUSG00000095929.2, ENSMUSG00000108995.1, ENSMUSG00000096465.3, ENSMUSG00000059031.3, ENSMUSG00000110171.2, ENSMUSG00000096679.3, ENSMUSG00000110253.2, ENSMUSG00000093980.1, ENSMUSG00000109542.2, ENSMUSG00000095910.2	ENSCAFG00000025527.3
OG0000446	ENSMUSG00000091151.2, ENSMUSG00000117148.1, ENSMUSG00000062165.3, ENSMUSG00000042848.4, ENSMUSG00000060245.5, ENSMUSG00000067951.5, ENSMUSG00000043537.2, ENSMUSG00000050933.4, ENSMUSG00000045417.2, ENSMUSG00000046716.7, ENSMUSG00000091662.9, ENSMUSG00000047031.5, ENSMUSG00000043066.5, ENSMUSG00000059206.4, ENSMUSG00000046130.7, ENSMUSG00000091924.2, ENSMUSG00000045575.2, ENSMUSG00000054142.5, ENSMUSG00000057203.3, ENSMUSG00000050102.6, ENSMUSG00000058030.5	ENSCAFG00000044603.1, ENSCAFG00000044273.1
OG0000450	ENSMUSG00000050017.11	ENSCAFG00000011830.5
OG0000450	ENSMUSG00000017781.17	ENSCAFG00000019188.5
OG0000452	ENSMUSG00000045515.4	ENSCAFG00000003463.4
OG0000452	ENSMUSG00000056854.4	ENSCAFG00000017368.1
OG0000453	ENSMUSG00000024593.15	ENSCAFG00000000611.5
OG0000453	ENSMUSG00000036466.17	ENSCAFG00000017261.5
OG0000454	ENSMUSG00000016921.14	ENSCAFG00000009289.5
OG0000454	ENSMUSG00000028911.16	ENSCAFG00000011669.4
OG0000455	ENSMUSG00000028676.17	ENSCAFG00000003095.4, ENSCAFG00000049404.1
OG0000456	ENSMUSG00000024647.14	ENSCAFG00000000032.4
OG0000456	ENSMUSG00000067578.3	ENSCAFG00000011882.4
OG0000457	ENSMUSG00000001729.14	ENSCAFG00000018354.4
OG0000457	ENSMUSG00000019699.16	ENSCAFG00000015806.4
OG0000459	ENSMUSG00000016319.3	ENSCAFG00000010987.4, ENSCAFG00000018384.4
OG0000460	ENSMUSG00000051747.15	ENSCAFG00000042118.1, ENSCAFG00000046389.1, ENSCAFG00000045996.1, ENSCAFG00000014025.4
OG0000461	ENSMUSG00000053754.14	ENSCAFG00000005626.6
OG0000462	ENSMUSG00000104043.1	ENSCAFG00000018434.1
OG0000462	ENSMUSG00000049751.6, ENSMUSG00000079435.9, ENSMUSG00000060377.4	ENSCAFG00000048970.1
OG0000463	ENSMUSG00000028923.14	ENSCAFG00000018694.4, ENSCAFG00000015895.5
OG0000463	ENSMUSG00000030327.8	ENSCAFG00000013930.5
OG0000464	ENSMUSG00000046707.9	ENSCAFG00000008514.4
OG0000464	ENSMUSG00000074698.10	ENSCAFG00000006946.4
OG0000465	ENSMUSG00000030551.14	ENSCAFG00000010911.4
OG0000465	ENSMUSG00000069171.14	ENSCAFG00000047196.1
OG0000466	ENSMUSG00000071646.9	ENSCAFG00000015809.3
OG0000466	ENSMUSG00000055817.18	ENSCAFG00000006527.4
OG0000466	ENSMUSG00000021144.14	ENSCAFG00000018428.4
OG0000467	ENSMUSG00000070713.5, ENSMUSG00000003038.15	ENSCAFG00000048622.1, ENSCAFG00000032217.1
OG0000468	ENSMUSG00000059040.5, ENSMUSG00000063524.13	ENSCAFG00000043705.1
OG0000468	ENSMUSG00000060600.15	ENSCAFG00000015802.4
OG0000470	ENSMUSG00000066037.14	ENSCAFG00000013308.5
OG0000470	ENSMUSG00000032423.12	ENSCAFG00000003024.4
OG0000471	ENSMUSG00000067818.6	ENSCAFG00000008540.4, ENSCAFG00000050012.1
OG0000471	ENSMUSG00000034868.9, ENSMUSG00000117098.1	ENSCAFG00000005303.1
OG0000471	ENSMUSG00000024048.15	ENSCAFG00000044875.1
OG0000472	ENSMUSG00000048065.8	ENSCAFG00000006769.4
OG0000472	ENSMUSG00000026456.18	ENSCAFG00000010350.4
OG0000472	ENSMUSG00000018042.18	ENSCAFG00000000953.5
OG0000473	ENSMUSG00000059248.13	ENSCAFG00000005190.5
OG0000473	ENSMUSG00000022542.7	ENSCAFG00000019171.4
OG0000473	ENSMUSG00000022456.18	ENSCAFG00000000995.5
OG0000474	ENSMUSG00000046213.9	ENSCAFG00000019784.4
OG0000474	ENSMUSG00000024738.6	ENSCAFG00000016308.3
OG0000475	ENSMUSG00000025353.5	ENSCAFG00000000071.4
OG0000475	ENSMUSG00000038150.7	ENSCAFG00000031622.2
OG0000476	ENSMUSG00000074264.12, ENSMUSG00000096569.2, ENSMUSG00000074268.4, ENSMUSG00000096770.2, ENSMUSG00000093931.2	ENSCAFG00000032286.2, ENSCAFG00000030588.2, ENSCAFG00000031239.2, ENSCAFG00000032684.2
OG0000477	ENSMUSG00000031367.15	ENSCAFG00000012215.4
OG0000477	ENSMUSG00000004849.14	ENSCAFG00000013900.5
OG0000478	ENSMUSG00000062184.11	ENSCAFG00000018850.5
OG0000478	ENSMUSG00000053465.6	ENSCAFG00000029934.2
OG0000478	ENSMUSG00000045216.7	ENSCAFG00000004232.4
OG0000479	ENSMUSG00000009108.15	ENSCAFG00000019823.3
OG0000479	ENSMUSG00000034837.12	ENSCAFG00000010764.4
OG0000479	ENSMUSG00000028777.8	ENSCAFG00000013680.3
OG0000481	ENSMUSG00000028280.9	ENSCAFG00000003099.5
OG0000482	ENSMUSG00000057378.15	ENSCAFG00000008056.5
OG0000482	ENSMUSG00000021313.16	ENSCAFG00000010034.5
OG0000482	ENSMUSG00000030592.18	ENSCAFG00000005896.5
OG0000483	ENSMUSG00000046287.7	ENSCAFG00000019178.4
OG0000483	ENSMUSG00000046204.14	ENSCAFG00000008813.3
OG0000483	ENSMUSG00000054383.2	ENSCAFG00000016861.4
OG0000484	ENSMUSG00000047225.8, ENSMUSG00000044120.5	ENSCAFG00000042897.1, ENSCAFG00000047728.1
OG0000484	ENSMUSG00000096029.4, ENSMUSG00000095248.3	ENSCAFG00000049670.1, ENSCAFG00000042808.1, ENSCAFG00000029407.1, ENSCAFG00000006341.2, ENSCAFG00000031297.1
OG0000486	ENSMUSG00000027470.9	ENSCAFG00000007089.6
OG0000486	ENSMUSG00000031698.14	ENSCAFG00000003680.4
OG0000486	ENSMUSG00000044951.16	ENSCAFG00000024882.4
OG0000487	ENSMUSG00000033316.14	ENSCAFG00000006281.5
OG0000487	ENSMUSG00000034040.16	ENSCAFG00000011150.4
OG0000488	ENSMUSG00000021879.13, ENSMUSG00000116451.1	ENSCAFG00000007873.5
OG0000488	ENSMUSG00000096141.2, ENSMUSG00000101337.6, ENSMUSG00000041144.11	ENSCAFG00000010384.5
OG0000489	ENSMUSG00000029071.16	ENSCAFG00000019275.4
OG0000489	ENSMUSG00000020888.16	ENSCAFG00000016066.4
OG0000489	ENSMUSG00000003233.12	ENSCAFG00000012180.5
OG0000491	ENSMUSG00000022831.14	ENSCAFG00000011559.4
OG0000491	ENSMUSG00000031078.15	ENSCAFG00000010478.4
OG0000492	ENSMUSG00000028655.11	ENSCAFG00000003018.5
OG0000492	ENSMUSG00000037336.14	ENSCAFG00000003948.4
OG0000493	ENSMUSG00000059923.13	ENSCAFG00000030297.2
OG0000495	ENSMUSG00000069255.13	ENSCAFG00000030984.3
OG0000495	ENSMUSG00000042662.16	ENSCAFG00000031031.2
OG0000496	ENSMUSG00000027359.16	ENSCAFG00000015048.4
OG0000497	ENSMUSG00000050366.6, ENSMUSG00000070417.6	ENSCAFG00000006654.3
OG0000497	ENSMUSG00000036647.5	ENSCAFG00000006641.4
OG0000497	ENSMUSG00000045013.7	ENSCAFG00000045573.1
OG0000497	ENSMUSG00000049168.9	ENSCAFG00000003517.3
OG0000498	ENSMUSG00000043004.13	ENSCAFG00000031640.2
OG0000498	ENSMUSG00000021303.14	ENSCAFG00000031630.2
OG0000498	ENSMUSG00000063594.5	ENSCAFG00000004275.4
OG0000501	ENSMUSG00000003500.13	ENSCAFG00000001651.5
OG0000501	ENSMUSG00000062867.13	ENSCAFG00000011933.4
OG0000502	ENSMUSG00000003032.8	ENSCAFG00000002797.5
OG0000503	ENSMUSG00000020532.18	ENSCAFG00000017996.4
OG0000503	ENSMUSG00000042010.16	ENSCAFG00000010991.4
OG0000504	ENSMUSG00000062647.16	ENSCAFG00000018552.3
OG0000504	ENSMUSG00000098640.1	ENSCAFG00000042021.1, ENSCAFG00000001210.4
OG0000505	ENSMUSG00000027162.7	ENSCAFG00000048732.1
OG0000505	ENSMUSG00000003872.9, ENSMUSG00000019906.15	ENSCAFG00000005817.4
OG0000506	ENSMUSG00000026610.13	ENSCAFG00000010767.5
OG0000506	ENSMUSG00000021255.17	ENSCAFG00000017141.6
OG0000507	ENSMUSG00000051469.14	ENSCAFG00000023988.3
OG0000507	ENSMUSG00000036721.14	ENSCAFG00000024901.3
OG0000508	ENSMUSG00000036093.7	ENSCAFG00000005761.5
OG0000508	ENSMUSG00000038352.15	ENSCAFG00000016525.4
OG0000508	ENSMUSG00000017418.14	ENSCAFG00000004413.4
OG0000509	ENSMUSG00000071424.10	ENSCAFG00000024991.3
OG0000509	ENSMUSG00000041078.7	ENSCAFG00000015954.4
OG0000510	ENSMUSG00000024857.16, ENSMUSG00000097733.7	ENSCAFG00000011363.4
OG0000510	ENSMUSG00000005649.17	ENSCAFG00000004058.4
OG0000511	ENSMUSG00000038546.9	ENSCAFG00000009853.4
OG0000511	ENSMUSG00000037415.6	ENSCAFG00000020331.6
OG0000512	ENSMUSG00000111706.1, ENSMUSG00000002908.17	ENSCAFG00000015092.4
OG0000512	ENSMUSG00000000794.9	ENSCAFG00000017167.5
OG0000512	ENSMUSG00000054477.16	ENSCAFG00000000220.5
OG0000513	ENSMUSG00000030447.15	ENSCAFG00000009720.4
OG0000513	ENSMUSG00000020340.16	ENSCAFG00000017484.4
