Orthogroup	M_musculus.pep	P_Mucros.pep
OG0000505	ENSMUSG00000019906.15	XP_015667533.1
OG0000506	ENSMUSG00000026610.13	XP_015678099.1
OG0000506	ENSMUSG00000021255.17	XP_015669731.1, XP_015669732.1, XP_015669733.1, XP_015684043.1
OG0000508	ENSMUSG00000036093.7	XP_015669848.1
OG0000508	ENSMUSG00000017418.14	XP_015670865.1
OG0000509	ENSMUSG00000041078.7	XP_015678255.2, XP_029142877.1, XP_015681319.1
OG0000510	ENSMUSG00000024857.16, ENSMUSG00000097733.7	XP_015675216.1
OG0000510	ENSMUSG00000005649.17	XP_015665836.1
OG0000511	ENSMUSG00000038546.9	XP_015670178.1
OG0000511	ENSMUSG00000037415.6	XP_015673071.1, XP_015673069.1, XP_015673070.1
OG0000512	ENSMUSG00000111706.1, ENSMUSG00000002908.17	XP_015681685.1
OG0000512	ENSMUSG00000000794.9	XP_015681523.1
OG0000512	ENSMUSG00000054477.16	XP_015681710.1
OG0000513	ENSMUSG00000030447.15	XP_015667771.1, XP_015667772.1
OG0000513	ENSMUSG00000020340.16	XP_015687612.1, XP_015687613.1, XP_029143166.1, XP_029143167.1
OG0000514	ENSMUSG00000048264.16	XP_015666978.1
OG0000514	ENSMUSG00000023026.16	XP_015687334.1
OG0000515	ENSMUSG00000021270.13	XP_015679541.1
OG0000515	ENSMUSG00000023944.14	XP_015680795.1
OG0000516	ENSMUSG00000037217.15	XP_029142182.1
OG0000516	ENSMUSG00000059602.14	XP_015668315.1, XP_015668314.1
OG0000517	ENSMUSG00000052560.15	XP_015681345.1
OG0000517	ENSMUSG00000024008.16	XP_015687157.1
OG0000517	ENSMUSG00000030270.11	XP_029140669.1
OG0000518	ENSMUSG00000034171.13	XP_015668027.1
OG0000519	ENSMUSG00000025422.10	XP_029140821.1
OG0000519	ENSMUSG00000023353.14	XP_015682656.1
OG0000520	ENSMUSG00000060450.14	XP_015670750.1
OG0000521	ENSMUSG00000006529.16, ENSMUSG00000006522.17	XP_029139951.1, XP_015671350.1, XP_029139952.1
OG0000522	ENSMUSG00000074141.13	XP_015673909.1, XP_015673902.2
OG0000522	ENSMUSG00000069873.4, ENSMUSG00000024903.10	XP_015677465.1, XP_015673893.1, XP_015673892.1
OG0000523	ENSMUSG00000059326.7, ENSMUSG00000068758.8, ENSMUSG00000005364.11	XP_015673969.1, XP_015673968.1
OG0000524	ENSMUSG00000066263.10, ENSMUSG00000080751.1, ENSMUSG00000073937.2, ENSMUSG00000110008.5, ENSMUSG00000048469.6, ENSMUSG00000110122.1, ENSMUSG00000073966.3, ENSMUSG00000051340.6, ENSMUSG00000110012.2, ENSMUSG00000090219.3, ENSMUSG00000073932.2	XP_015686789.1, XP_015686709.1, XP_015686910.1
OG0000525	ENSMUSG00000051095.7	XP_015676307.1, XP_015676306.1, XP_015676315.2, XP_015676314.1, XP_015676318.2, XP_015676316.1, XP_015671097.1, XP_015671100.1, XP_015676325.1, XP_015671098.1, XP_015671101.1, XP_015671102.1, XP_015676326.1, XP_015676328.1, XP_015676329.1, XP_015676327.1, XP_015676310.1, XP_015676311.1, XP_015676308.1
OG0000533	ENSMUSG00000015759.11	XP_015678798.1
OG0000533	ENSMUSG00000026514.14	XP_015669140.1
OG0000533	ENSMUSG00000024873.7	XP_015683615.1
OG0000535	ENSMUSG00000063142.15	XP_015682606.1, XP_015683942.1
OG0000535	ENSMUSG00000031576.16	XP_029140654.1
OG0000536	ENSMUSG00000038371.15	XP_015678146.1
OG0000536	ENSMUSG00000036529.17	XP_029140325.1
OG0000537	ENSMUSG00000032316.8	XP_029140875.1
OG0000538	ENSMUSG00000038357.10	XP_015682911.1, XP_029142808.1, XP_029142278.1
OG0000538	ENSMUSG00000032484.8	XP_029143025.1, XP_029143033.1
OG0000539	ENSMUSG00000093550.7, ENSMUSG00000038412.8	XP_015684476.1, XP_015685423.1
OG0000540	ENSMUSG00000062037.3, ENSMUSG00000056184.5, ENSMUSG00000051793.4, ENSMUSG00000032987.9, ENSMUSG00000063780.7	XP_015672537.1, XP_029140185.1, XP_015665689.1
OG0000541	ENSMUSG00000059146.12	XP_029140230.1
OG0000541	ENSMUSG00000055254.15	XP_029141480.1, XP_015679292.1
OG0000542	ENSMUSG00000032249.14	XP_015667384.1
OG0000543	ENSMUSG00000038094.15	XP_029142592.1
OG0000543	ENSMUSG00000048939.13	XP_029142593.1
OG0000544	ENSMUSG00000057530.14	XP_015682901.1, XP_015682902.1, XP_015682900.1
OG0000544	ENSMUSG00000115293.2, ENSMUSG00000022842.18	XP_015679750.1
OG0000545	ENSMUSG00000001774.8	XP_015685360.1
OG0000545	ENSMUSG00000031312.5	XP_029138772.1
OG0000546	ENSMUSG00000028955.3	XP_015668235.1
OG0000546	ENSMUSG00000020894.16	XP_029139583.1
OG0000547	ENSMUSG00000030786.18, ENSMUSG00000108596.1, ENSMUSG00000030789.9, ENSMUSG00000070369.13	XP_029142168.1, XP_029141857.1
OG0000549	ENSMUSG00000041556.8	XP_015684259.1
OG0000549	ENSMUSG00000029001.15, ENSMUSG00000055401.14	XP_029142605.1
OG0000550	ENSMUSG00000069117.4	XP_015686849.2
OG0000551	ENSMUSG00000022868.6	XP_015681073.1, XP_015686405.1, XP_015677964.1, XP_015677963.1
OG0000552	ENSMUSG00000044134.9	XP_015670932.1
OG0000552	ENSMUSG00000049687.5	XP_015669019.1
OG0000553	ENSMUSG00000003812.13	XP_015668789.1, XP_029139438.1, XP_015668765.2
OG0000554	ENSMUSG00000026175.12	XP_015675980.1
OG0000554	ENSMUSG00000025432.11	XP_015676131.1
OG0000555	ENSMUSG00000028370.7	XP_015684026.1
OG0000555	ENSMUSG00000073530.11	XP_015674005.1
OG0000556	ENSMUSG00000025162.18	XP_015673002.1, XP_015672999.1, XP_015673001.1, XP_015673000.1
OG0000556	ENSMUSG00000022433.20	XP_015672741.1
OG0000557	ENSMUSG00000009079.16	XP_029140264.1
OG0000558	ENSMUSG00000097721.8, ENSMUSG00000024830.17	XP_015678274.1
OG0000559	ENSMUSG00000026950.18	XP_015685242.1, XP_015669836.1
OG0000560	ENSMUSG00000041697.8	XP_015685362.1, XP_015685512.1
OG0000560	ENSMUSG00000030785.8	XP_015681126.1, XP_015682361.1
OG0000561	ENSMUSG00000029640.17	XP_015681703.1
OG0000562	ENSMUSG00000068240.5	XP_015666208.1
OG0000563	ENSMUSG00000062949.13, ENSMUSG00000108408.1	XP_029138781.1
OG0000563	ENSMUSG00000031441.15	XP_015684336.1
OG0000564	ENSMUSG00000033813.15	XP_015675641.1, XP_015675639.1, XP_015675640.1
OG0000564	ENSMUSG00000059540.15	XP_015682845.1
OG0000565	ENSMUSG00000036432.8	XP_015679170.1
OG0000565	ENSMUSG00000040749.11, ENSMUSG00000036840.5	XP_015675220.1, XP_015675219.1, XP_015675217.1, XP_015675218.1
OG0000566	ENSMUSG00000009900.7	XP_015669786.2
OG0000566	ENSMUSG00000000125.5	XP_015687790.1
OG0000567	ENSMUSG00000060036.14	XP_015672209.1
OG0000567	ENSMUSG00000002500.15	XP_015671735.1
OG0000568	ENSMUSG00000020399.14	XP_015682194.1
OG0000569	ENSMUSG00000031529.5	XP_015669323.2
OG0000569	ENSMUSG00000024811.11	XP_015678172.1
OG0000570	ENSMUSG00000054764.9	XP_015687300.1
OG0000571	ENSMUSG00000033610.16	XP_015678513.1
OG0000571	ENSMUSG00000037514.17	XP_015680705.1
OG0000571	ENSMUSG00000018846.8	XP_015677471.1
OG0000572	ENSMUSG00000027668.13	XP_015669412.1
OG0000572	ENSMUSG00000029020.13	XP_015680228.1
OG0000573	ENSMUSG00000052298.12	XP_015677939.1
OG0000573	ENSMUSG00000046722.14	XP_015680376.1, XP_015680377.1
OG0000574	ENSMUSG00000040136.10	XP_029142654.1
OG0000574	ENSMUSG00000030249.15	XP_029142594.1
OG0000575	ENSMUSG00000063065.13	XP_015678548.1, XP_015666005.1
OG0000576	ENSMUSG00000038811.13	XP_015665961.1
OG0000576	ENSMUSG00000029663.10, ENSMUSG00000032766.9	XP_015667097.1, XP_015667096.1
OG0000577	ENSMUSG00000029622.16	XP_015684650.1, XP_015684651.1
OG0000577	ENSMUSG00000029621.14	XP_015684647.1
OG0000578	ENSMUSG00000006335.16	XP_015666443.1, XP_015685467.1
OG0000579	ENSMUSG00000091345.9, ENSMUSG00000043719.14	XP_029139653.1, XP_029139654.1
OG0000579	ENSMUSG00000032572.9	XP_015669852.1
OG0000580	ENSMUSG00000004872.15	XP_015673342.1, XP_015673338.1, XP_015673341.1, XP_015673340.1
OG0000580	ENSMUSG00000028736.13	XP_015685388.1, XP_015685850.1
OG0000581	ENSMUSG00000045179.9	XP_029143213.1, XP_015687993.1
OG0000581	ENSMUSG00000096014.1	XP_015676874.1, XP_015676873.1
OG0000581	ENSMUSG00000074637.7	XP_015684084.1
OG0000582	ENSMUSG00000039536.16	XP_015678285.1, XP_015678286.1, XP_015678289.1, XP_015678288.1, XP_015678287.1
OG0000583	ENSMUSG00000032402.12	XP_015667379.1
OG0000583	ENSMUSG00000024563.16	XP_015666678.1, XP_015666667.1
OG0000584	ENSMUSG00000020463.15	XP_015686865.1
OG0000584	ENSMUSG00000041846.15	XP_015682174.1
OG0000585	ENSMUSG00000008822.15	XP_015686217.1, XP_015677691.1, XP_015677692.1, XP_015677694.1
OG0000585	ENSMUSG00000060923.5	XP_015687237.1, XP_015669176.1
OG0000586	ENSMUSG00000004791.7	XP_015677690.2
OG0000586	ENSMUSG00000023951.17	XP_015673452.1, XP_015673445.1, XP_015673435.1
OG0000587	ENSMUSG00000050211.14	XP_015671425.1, XP_029139965.1, XP_029139967.1, XP_029141207.1, XP_029139969.1, XP_015685005.1
OG0000589	ENSMUSG00000054640.15	XP_015673437.2, XP_015673431.1, XP_015673433.1, XP_015673430.1, XP_015673432.1, XP_029140329.1, XP_015673442.1, XP_015673439.1, XP_015673443.1, XP_015673441.1, XP_015673440.1, XP_015673429.2, XP_015673436.1, XP_015673434.1, XP_015673438.1
OG0000590	ENSMUSG00000067925.4, ENSMUSG00000067924.4, ENSMUSG00000116363.1, ENSMUSG00000116103.1, ENSMUSG00000115995.1, ENSMUSG00000051851.5, ENSMUSG00000057615.5	XP_029142298.1
OG0000592	ENSMUSG00000073972.2, ENSMUSG00000073971.3	XP_015672354.1, XP_015669537.2
OG0000592	ENSMUSG00000073924.5	XP_015683397.1
OG0000592	ENSMUSG00000073973.4	XP_015683290.1
OG0000594	ENSMUSG00000075139.3, ENSMUSG00000075137.4, ENSMUSG00000075145.2, ENSMUSG00000045150.5, ENSMUSG00000075142.1, ENSMUSG00000080713.3, ENSMUSG00000083855.6, ENSMUSG00000075128.7, ENSMUSG00000075140.4	XP_029141217.1
OG0000601	ENSMUSG00000025094.8	XP_015670709.1
OG0000601	ENSMUSG00000036330.12	XP_015682301.1
OG0000602	ENSMUSG00000021494.9	XP_015685296.1, XP_015675884.1
OG0000602	ENSMUSG00000021495.10	XP_015675878.1
OG0000603	ENSMUSG00000028465.16	XP_029139948.1
OG0000603	ENSMUSG00000052698.15	XP_015666519.1
OG0000604	ENSMUSG00000069867.3	XP_029139053.1
OG0000604	ENSMUSG00000022194.15	XP_015679555.1, XP_015679554.1
OG0000605	ENSMUSG00000036139.6	XP_015673760.1
OG0000605	ENSMUSG00000038227.15	XP_015681199.1, XP_015666106.1
OG0000606	ENSMUSG00000011752.7	XP_015678942.1
OG0000606	ENSMUSG00000020475.3	XP_015670061.1
OG0000607	ENSMUSG00000009350.13, ENSMUSG00000052234.2	XP_029140223.1
OG0000607	ENSMUSG00000009356.12	XP_015672685.1
OG0000608	ENSMUSG00000028670.14	XP_015675134.1
OG0000608	ENSMUSG00000025903.14	XP_015675642.1
OG0000609	ENSMUSG00000067370.4	XP_015684445.1
OG0000610	ENSMUSG00000095388.7, ENSMUSG00000095143.5, ENSMUSG00000090817.7, ENSMUSG00000038092.6, ENSMUSG00000063730.13, ENSMUSG00000062410.14, ENSMUSG00000027869.14, ENSMUSG00000027871.16	XP_015669554.1
OG0000611	ENSMUSG00000032310.4, ENSMUSG00000032315.6	XP_015676461.1, XP_015676452.1
OG0000612	ENSMUSG00000056222.15	XP_015666986.1, XP_015682439.1
OG0000612	ENSMUSG00000054162.15	XP_015675038.1, XP_015675036.1, XP_015675035.1, XP_015675037.1
OG0000613	ENSMUSG00000020483.14	XP_015680902.1
OG0000613	ENSMUSG00000009013.5, ENSMUSG00000064063.6	XP_015678097.1
OG0000614	ENSMUSG00000059316.2	XP_015687588.1
OG0000614	ENSMUSG00000031808.7	XP_015671209.1
OG0000615	ENSMUSG00000057236.10	XP_015667132.1
OG0000616	ENSMUSG00000024036.16	XP_015685140.1
OG0000616	ENSMUSG00000032122.15	XP_015679619.1, XP_015685531.1, XP_015681671.1
OG0000617	ENSMUSG00000040653.6	XP_015671395.1
OG0000617	ENSMUSG00000056612.7, ENSMUSG00000073730.2	XP_015683914.1
OG0000618	ENSMUSG00000056379.3	XP_015682686.1
OG0000618	ENSMUSG00000069708.3, ENSMUSG00000059763.4	XP_015686856.1, XP_029142230.1
OG0000620	ENSMUSG00000032220.10	XP_015666503.1
OG0000620	ENSMUSG00000024300.17	XP_015665521.1
OG0000621	ENSMUSG00000090236.3	XP_015677574.1
OG0000622	ENSMUSG00000032261.16	XP_015672294.1
OG0000622	ENSMUSG00000031246.14	XP_015683958.1
OG0000623	ENSMUSG00000038765.13	XP_029141988.1
OG0000623	ENSMUSG00000026686.14	XP_015670146.1
OG0000624	ENSMUSG00000026764.15	XP_015677540.1, XP_015677557.1, XP_015677549.1
OG0000624	ENSMUSG00000006740.14	XP_015667512.1, XP_015667511.1
OG0000625	ENSMUSG00000078302.5	XP_015674915.1
OG0000625	ENSMUSG00000116152.1, ENSMUSG00000067261.4	XP_015686655.2
OG0000626	ENSMUSG00000022311.15	XP_015677050.1
OG0000626	ENSMUSG00000060924.15	XP_029139307.1
OG0000628	ENSMUSG00000048775.10, ENSMUSG00000058017.6, ENSMUSG00000044594.14, ENSMUSG00000073601.2, ENSMUSG00000073602.10	XP_029142715.1
OG0000629	ENSMUSG00000022292.16	XP_029140045.1
OG0000629	ENSMUSG00000020649.11	XP_015683407.1, XP_015685090.1
OG0000630	ENSMUSG00000071379.2	XP_015678771.1
OG0000630	ENSMUSG00000028785.13	XP_015667161.1
OG0000630	ENSMUSG00000051359.15	XP_015671858.1
OG0000631	ENSMUSG00000046329.14	XP_015682873.1
OG0000631	ENSMUSG00000027880.6, ENSMUSG00000040322.10	XP_015679389.1, XP_015680675.2
OG0000632	ENSMUSG00000024397.14	XP_015675308.1
OG0000632	ENSMUSG00000001864.13	XP_015675830.1
OG0000633	ENSMUSG00000045193.13	XP_015666184.1, XP_015666183.1
OG0000633	ENSMUSG00000031167.16	XP_015685093.1, XP_015685082.1, XP_015685076.1
OG0000634	ENSMUSG00000010097.15	XP_015677003.1
OG0000635	ENSMUSG00000029664.10	XP_015667095.1, XP_029142887.1
OG0000636	ENSMUSG00000058620.5	XP_015666866.1
OG0000636	ENSMUSG00000033717.6	XP_029143003.1, XP_015673604.2
OG0000637	ENSMUSG00000068205.14	XP_015682607.1, XP_015681742.1
OG0000638	ENSMUSG00000020402.11	XP_015679656.1
OG0000638	ENSMUSG00000021771.14	XP_029142427.1
OG0000639	ENSMUSG00000068798.10	XP_015677128.1
OG0000639	ENSMUSG00000052681.8	XP_015667955.1, XP_029139267.1, XP_029139266.1, XP_015667953.1, XP_015667951.1, XP_015667954.1
OG0000640	ENSMUSG00000020401.6, ENSMUSG00000091017.1	XP_015687691.1
OG0000641	ENSMUSG00000035027.18	XP_015680117.1
OG0000642	ENSMUSG00000033826.10	XP_029140899.1
OG0000642	ENSMUSG00000022262.8	XP_015668484.1
OG0000643	ENSMUSG00000011148.14	XP_015687023.1
OG0000643	ENSMUSG00000015961.8	XP_015682293.1, XP_015682295.1
OG0000644	ENSMUSG00000060675.13	XP_015678312.1, XP_015678311.1
OG0000645	ENSMUSG00000029581.14	XP_015687579.1
OG0000645	ENSMUSG00000025380.2	XP_015670775.1
OG0000646	ENSMUSG00000016940.18	XP_029139811.1
OG0000646	ENSMUSG00000016946.6	XP_015687225.1
OG0000646	ENSMUSG00000033287.16	XP_015687420.1
OG0000647	ENSMUSG00000005986.16	XP_015683966.1
OG0000648	ENSMUSG00000102802.3, ENSMUSG00000068587.10, ENSMUSG00000027790.14	XP_015677564.1
OG0000649	ENSMUSG00000042581.14	XP_029140014.1
OG0000649	ENSMUSG00000032625.14	XP_015667313.1
OG0000650	ENSMUSG00000035674.13	XP_015666441.1, XP_015685465.1
OG0000651	ENSMUSG00000037953.7	XP_015669649.1
OG0000652	ENSMUSG00000044986.10	XP_015687481.1
OG0000652	ENSMUSG00000071711.12	XP_015687402.1, XP_015687410.1, XP_015687394.1, XP_015687386.1
OG0000653	ENSMUSG00000020793.5	XP_015675201.2
OG0000653	ENSMUSG00000114755.1	XP_015674755.1, XP_015672773.2
OG0000654	ENSMUSG00000034254.17	XP_029143198.1, XP_029141069.1, XP_015681557.1
OG0000655	ENSMUSG00000033460.14, ENSMUSG00000033436.13, ENSMUSG00000049047.11, ENSMUSG00000038525.16	XP_029138795.1
OG0000656	ENSMUSG00000027799.12	XP_015671668.1
OG0000656	ENSMUSG00000028080.16	XP_029140069.1
OG0000657	ENSMUSG00000054509.7	XP_015672315.1
OG0000658	ENSMUSG00000044080.9	XP_015668879.1, XP_015668878.1
OG0000658	ENSMUSG00000021679.4	XP_015678195.1
OG0000659	ENSMUSG00000032494.12, ENSMUSG00000026124.4	XP_015672443.1
OG0000660	ENSMUSG00000062098.11	XP_015677928.1
OG0000660	ENSMUSG00000002803.14	XP_015678979.1, XP_015678980.1, XP_015678978.1
OG0000661	ENSMUSG00000034402.3	XP_015683008.1
OG0000661	ENSMUSG00000058248.12	XP_015672701.1
OG0000662	ENSMUSG00000020160.18	XP_015666217.1
OG0000662	ENSMUSG00000027210.20	XP_015666218.1
OG0000663	ENSMUSG00000019558.14	XP_015670598.1, XP_015670597.1
OG0000664	ENSMUSG00000023019.12	XP_015674622.1, XP_015687342.1, XP_015687343.1
OG0000664	ENSMUSG00000050627.13	XP_015667916.1
OG0000666	ENSMUSG00000097663.8, ENSMUSG00000058216.13, ENSMUSG00000038155.11, ENSMUSG00000097808.4, ENSMUSG00000097830.4, ENSMUSG00000060803.6	XP_015675208.1
OG0000667	ENSMUSG00000020385.16	XP_015681106.1
OG0000667	ENSMUSG00000026034.17	XP_015676285.1, XP_015676284.1
OG0000668	ENSMUSG00000007035.15	XP_015675286.1
OG0000669	ENSMUSG00000073418.4	XP_015686340.1, XP_015681966.1
OG0000670	ENSMUSG00000015478.13	XP_015685875.1, XP_029141996.1
OG0000670	ENSMUSG00000020448.16	XP_015678142.1
OG0000683	ENSMUSG00000016024.9	XP_015686229.1
OG0000684	ENSMUSG00000050493.8	XP_015669189.1
OG0000684	ENSMUSG00000035095.11	XP_015673539.1
OG0000685	ENSMUSG00000032518.6	XP_015678284.1
OG0000686	ENSMUSG00000020456.17	XP_015682306.1
OG0000686	ENSMUSG00000021913.8	XP_029141303.1, XP_015678509.1
OG0000688	ENSMUSG00000032549.7	XP_015680734.1
OG0000688	ENSMUSG00000030704.14	XP_029139880.1
OG0000689	ENSMUSG00000070871.10	XP_015669950.1
OG0000689	ENSMUSG00000024286.8	XP_015667499.1
OG0000690	ENSMUSG00000028032.13	XP_015665766.1
OG0000690	ENSMUSG00000024899.7	XP_029139432.1
OG0000691	ENSMUSG00000003762.13	XP_015669383.1
OG0000691	ENSMUSG00000026489.13	XP_015675658.1
OG0000692	ENSMUSG00000020088.10	XP_015681136.1
OG0000692	ENSMUSG00000020386.5	XP_015679745.1, XP_015679729.1, XP_015679737.1
OG0000693	ENSMUSG00000027893.14	XP_015670091.1, XP_015670090.1
OG0000694	ENSMUSG00000034912.17	XP_029140738.1
OG0000694	ENSMUSG00000043557.16	XP_015676469.1
OG0000695	ENSMUSG00000022829.14	XP_015667604.1, XP_015667603.1
OG0000695	ENSMUSG00000019790.17	XP_015680041.1, XP_015680040.1
OG0000696	ENSMUSG00000018921.11	XP_029139417.1
OG0000697	ENSMUSG00000094125.1, ENSMUSG00000096484.1, ENSMUSG00000096337.1, ENSMUSG00000095824.1, ENSMUSG00000079247.2, ENSMUSG00000096729.1, ENSMUSG00000094336.1, ENSMUSG00000027014.14	XP_015682407.1
OG0000698	ENSMUSG00000058740.14	XP_015680346.1, XP_015680347.1
OG0000698	ENSMUSG00000052726.16	XP_015669230.1, XP_015669229.1, XP_015669228.1
OG0000699	ENSMUSG00000043670.4	XP_015681691.1
OG0000699	ENSMUSG00000047842.7	XP_015685178.1, XP_015676528.1
OG0000700	ENSMUSG00000022544.14	XP_015683897.2
OG0000702	ENSMUSG00000026755.14	XP_015681621.1, XP_015681620.1
OG0000702	ENSMUSG00000008475.13	XP_015668604.1
OG0000703	ENSMUSG00000036073.17	XP_015685272.1
OG0000703	ENSMUSG00000095623.1, ENSMUSG00000095456.1, ENSMUSG00000078735.4, ENSMUSG00000073876.3, ENSMUSG00000073889.10	XP_029142758.1
OG0000704	ENSMUSG00000078776.9, ENSMUSG00000047730.17	XP_029140165.1
OG0000705	ENSMUSG00000022074.6	XP_029142553.1
OG0000705	ENSMUSG00000010751.15, ENSMUSG00000037613.16, ENSMUSG00000045362.8	XP_015677559.1
OG0000706	ENSMUSG00000025888.6, ENSMUSG00000025887.10, ENSMUSG00000033538.13	XP_015676226.1, XP_029140224.1
OG0000707	ENSMUSG00000041444.14	XP_015676810.1
OG0000707	ENSMUSG00000036882.7	XP_015672084.1, XP_015684109.1
OG0000708	ENSMUSG00000017978.18	XP_029141204.1, XP_029141201.1, XP_015677712.1, XP_015677705.1
OG0000708	ENSMUSG00000054423.14	XP_015675689.1
OG0000709	ENSMUSG00000022098.10	XP_015673461.1
OG0000709	ENSMUSG00000053626.5	XP_015675300.1
OG0000710	ENSMUSG00000029595.9	XP_015683742.1
OG0000710	ENSMUSG00000018698.15	XP_015682628.1
OG0000711	ENSMUSG00000031264.13	XP_015676086.1, XP_015676088.1
OG0000711	ENSMUSG00000029217.16	XP_015684005.1
OG0000712	ENSMUSG00000056888.11	XP_015675164.1, XP_015675160.1, XP_015675161.1
OG0000713	ENSMUSG00000020890.11	XP_029142065.1
OG0000713	ENSMUSG00000074003.4	XP_029142426.1, XP_015685183.1
OG0000714	ENSMUSG00000054455.5	XP_015687567.1
OG0000714	ENSMUSG00000024091.9	XP_015669747.1, XP_015669746.1, XP_015669745.1
OG0000715	ENSMUSG00000037440.8, ENSMUSG00000020010.7	XP_015682690.1, XP_015682688.1, XP_015682689.1
OG0000716	ENSMUSG00000031933.17, ENSMUSG00000001827.12, ENSMUSG00000032725.10	XP_015684582.1, XP_015682256.1
OG0000717	ENSMUSG00000050996.7	XP_015677791.1
OG0000717	ENSMUSG00000045031.18	XP_029139032.1, XP_015667029.1
OG0000718	ENSMUSG00000022587.14	XP_029142045.1
OG0000719	ENSMUSG00000028068.14	XP_015675336.1, XP_029140667.1
OG0000719	ENSMUSG00000030536.10	XP_015674085.1
OG0000720	ENSMUSG00000028184.12	XP_029139913.1, XP_015671170.1, XP_029139912.1, XP_029139911.1
OG0000720	ENSMUSG00000013033.16	XP_029140530.1
OG0000721	ENSMUSG00000028197.4	XP_029140522.1
OG0000721	ENSMUSG00000045672.15	XP_015684975.1, XP_015684544.1
OG0000722	ENSMUSG00000009035.15	XP_015672742.1
OG0000722	ENSMUSG00000098140.1, ENSMUSG00000036687.13	XP_015674997.1
OG0000723	ENSMUSG00000020679.11	XP_015683974.1, XP_015683972.1
OG0000723	ENSMUSG00000029556.12	XP_015678138.1
OG0000724	ENSMUSG00000052180.15, ENSMUSG00000047889.9, ENSMUSG00000069248.11, ENSMUSG00000042842.11, ENSMUSG00000060147.15, ENSMUSG00000026315.13	XP_015668246.1
OG0000725	ENSMUSG00000006057.15	XP_015687747.1
OG0000726	ENSMUSG00000006127.9	XP_015673839.1
OG0000726	ENSMUSG00000034570.12	XP_015669115.2
OG0000727	ENSMUSG00000059588.13	XP_015675276.1, XP_015675278.1
OG0000727	ENSMUSG00000023964.15	XP_015667094.1
OG0000728	ENSMUSG00000037426.18	XP_029142711.1
OG0000729	ENSMUSG00000018500.2	XP_015668005.2
OG0000730	ENSMUSG00000025006.18	XP_029139428.1
OG0000731	ENSMUSG00000032101.6	XP_015683699.1, XP_015683698.1
OG0000731	ENSMUSG00000015023.7, ENSMUSG00000033658.16	XP_029140755.1
OG0000732	ENSMUSG00000053799.8	XP_015666765.1
OG0000732	ENSMUSG00000033769.16	XP_029142151.1, XP_029142154.1, XP_029142153.1, XP_029142152.1
OG0000733	ENSMUSG00000052372.10	XP_029139272.1
OG0000733	ENSMUSG00000059203.10	XP_015679976.1
OG0000734	ENSMUSG00000064105.13	XP_015675271.2
OG0000734	ENSMUSG00000037408.10	XP_015674212.1, XP_015672006.1
OG0000735	ENSMUSG00000028469.15	XP_015684133.1
OG0000735	ENSMUSG00000027931.12	XP_015668828.1
OG0000736	ENSMUSG00000036561.9	XP_029140326.1
OG0000736	ENSMUSG00000024908.15	XP_015669568.1, XP_015669569.1, XP_015669570.1
OG0000737	ENSMUSG00000040043.17	XP_015675385.1
OG0000737	ENSMUSG00000026970.16	XP_015679342.1, XP_015679340.1, XP_015679339.1, XP_015679341.1
OG0000738	ENSMUSG00000050445.4	XP_015667876.2, XP_015667877.1, XP_015667878.1, XP_015667879.1, XP_015667880.1, XP_015667895.1
OG0000739	ENSMUSG00000018634.10	XP_015687782.2
OG0000739	ENSMUSG00000003476.16	XP_015667892.1
OG0000740	ENSMUSG00000022754.6	XP_015684367.1
OG0000740	ENSMUSG00000041737.8	XP_029140838.1
OG0000741	ENSMUSG00000029273.10, ENSMUSG00000030711.16	XP_015665843.1, XP_015680676.1, XP_015665796.1, XP_015665795.1
OG0000742	ENSMUSG00000070473.4	XP_015668295.1
OG0000742	ENSMUSG00000047501.3	XP_015668296.1
OG0000743	ENSMUSG00000024236.18	XP_015666148.1
OG0000744	ENSMUSG00000044533.15	XP_015671733.1
OG0000745	ENSMUSG00000026114.14	XP_015685276.1
OG0000745	ENSMUSG00000067220.12	XP_015684003.1, XP_029142526.1
OG0000746	ENSMUSG00000032002.10	XP_015670204.1
OG0000746	ENSMUSG00000051674.15	XP_015681114.1
OG0000747	ENSMUSG00000033985.17	XP_015666810.1
OG0000747	ENSMUSG00000028458.12	XP_015685504.1, XP_015685508.1
OG0000748	ENSMUSG00000030303.15	XP_015681350.1
OG0000748	ENSMUSG00000030759.16	XP_015675535.1, XP_015675534.1, XP_015675536.1
OG0000749	ENSMUSG00000020936.8	XP_015670113.1, XP_015682514.1
OG0000749	ENSMUSG00000026643.16	XP_015666694.1, XP_029142546.1
OG0000750	ENSMUSG00000018677.9	XP_015687727.1, XP_015687726.1
OG0000750	ENSMUSG00000054099.11	XP_015666711.1
OG0000751	ENSMUSG00000025946.13	XP_015669949.1
OG0000751	ENSMUSG00000032492.14	XP_015665637.1, XP_015669773.1
OG0000752	ENSMUSG00000006333.14	XP_015681061.1, XP_015665736.1
OG0000753	ENSMUSG00000027782.10	XP_015687323.1
OG0000753	ENSMUSG00000021929.9	XP_015667806.1
OG0000754	ENSMUSG00000030170.14	XP_015679225.1, XP_015679224.1
OG0000754	ENSMUSG00000021994.15	XP_015677307.1, XP_015677309.1, XP_015677308.1
OG0000755	ENSMUSG00000027429.16	XP_015668009.1, XP_015668008.1
OG0000755	ENSMUSG00000020986.13	XP_015680778.1, XP_015680779.1
OG0000756	ENSMUSG00000004902.7	XP_015676840.1
OG0000756	ENSMUSG00000019082.18	XP_015667553.1, XP_015667427.1
