Orthogroup	M_musculus.pep	X_tropicalis.pep
OG0002170	ENSMUSG00000021981.10	ENSXETG00000012883.1
OG0002170	ENSMUSG00000036707.16	ENSXETG00000007851.1
OG0002171	ENSMUSG00000026271.15	ENSXETG00000007789.1, ENSXETG00000007796.1, ENSXETG00000007799.1
OG0002172	ENSMUSG00000001783.3	ENSXETG00000020670.1
OG0002173	ENSMUSG00000029686.15	ENSXETG00000007163.1
OG0002174	ENSMUSG00000033565.18	ENSXETG00000011613.1
OG0002175	ENSMUSG00000033688.10, ENSMUSG00000032554.15, ENSMUSG00000032496.7	ENSXETG00000002622.1
OG0002176	ENSMUSG00000020182.16	ENSXETG00000002813.1
OG0002177	ENSMUSG00000042406.8	ENSXETG00000001818.1
OG0002178	ENSMUSG00000014602.15	ENSXETG00000010460.1
OG0002179	ENSMUSG00000045394.9, ENSMUSG00000051397.5	ENSXETG00000002233.1
OG0002180	ENSMUSG00000022471.14	ENSXETG00000015318.1
OG0002181	ENSMUSG00000024386.9	ENSXETG00000002455.1
OG0002182	ENSMUSG00000063316.13	ENSXETG00000015640.1
OG0002183	ENSMUSG00000020019.4	ENSXETG00000012973.1
OG0002184	ENSMUSG00000028677.19	ENSXETG00000019556.1
OG0002185	ENSMUSG00000024975.13	ENSXETG00000003231.1
OG0002186	ENSMUSG00000017428.16	ENSXETG00000011355.1
OG0002187	ENSMUSG00000035681.7	ENSXETG00000009407.1
OG0002188	ENSMUSG00000028568.16, ENSMUSG00000114133.1	ENSXETG00000001627.1
OG0002189	ENSMUSG00000026439.14	ENSXETG00000011972.1
OG0002190	ENSMUSG00000030979.13	ENSXETG00000020285.1
OG0002191	ENSMUSG00000034667.8	ENSXETG00000014030.1
OG0002192	ENSMUSG00000036422.10	ENSXETG00000004826.1, ENSXETG00000004820.1, ENSXETG00000002514.1
OG0002193	ENSMUSG00000020102.15	ENSXETG00000008053.1, ENSXETG00000002100.1
OG0002194	ENSMUSG00000059883.16	ENSXETG00000005970.1
OG0002195	ENSMUSG00000038976.12	ENSXETG00000009335.1
OG0002196	ENSMUSG00000023089.12	ENSXETG00000020803.1
OG0002197	ENSMUSG00000019087.13	ENSXETG00000009416.1
OG0002198	ENSMUSG00000038482.11	ENSXETG00000003985.1
OG0002199	ENSMUSG00000066877.11	ENSXETG00000006350.1
OG0002199	ENSMUSG00000032475.15	ENSXETG00000014258.1
OG0002200	ENSMUSG00000000399.10	ENSXETG00000017701.1
OG0002202	ENSMUSG00000016619.10, ENSMUSG00000072878.4	ENSXETG00000010427.1
OG0002203	ENSMUSG00000031370.12, ENSMUSG00000044068.7	ENSXETG00000014824.1
OG0002204	ENSMUSG00000031295.13	ENSXETG00000020883.1
OG0002205	ENSMUSG00000041020.14	ENSXETG00000000395.1
OG0002206	ENSMUSG00000074892.9	ENSXETG00000012875.1, ENSXETG00000012871.1, ENSXETG00000012882.1, ENSXETG00000012877.1, ENSXETG00000012870.1, ENSXETG00000012869.1
OG0002207	ENSMUSG00000052496.5	ENSXETG00000013171.1
OG0002209	ENSMUSG00000022956.11	ENSXETG00000009523.1
OG0002210	ENSMUSG00000022865.14	ENSXETG00000019479.1
OG0002211	ENSMUSG00000026566.15	ENSXETG00000010705.1
OG0002212	ENSMUSG00000026571.12	ENSXETG00000006976.1
OG0002213	ENSMUSG00000022661.14	ENSXETG00000010928.1, ENSXETG00000010913.1
OG0002214	ENSMUSG00000031568.16	ENSXETG00000000405.1
OG0002215	ENSMUSG00000102805.5, ENSMUSG00000074513.9	ENSXETG00000001988.1
OG0002216	ENSMUSG00000029651.16	ENSXETG00000019383.1
OG0002217	ENSMUSG00000029647.15	ENSXETG00000002153.1
OG0002218	ENSMUSG00000053199.13	ENSXETG00000005493.1
OG0002219	ENSMUSG00000018623.9	ENSXETG00000012665.1, ENSXETG00000012654.1, ENSXETG00000012713.1, ENSXETG00000012648.1
OG0002220	ENSMUSG00000046111.17	ENSXETG00000008923.1
OG0002221	ENSMUSG00000034663.13	ENSXETG00000012853.1
OG0002222	ENSMUSG00000034724.18	ENSXETG00000017845.1
OG0002223	ENSMUSG00000029291.11	ENSXETG00000012855.1
OG0002224	ENSMUSG00000116016.1, ENSMUSG00000032745.18	ENSXETG00000021090.1
OG0002225	ENSMUSG00000041417.15	ENSXETG00000000417.1
OG0002226	ENSMUSG00000049658.13	ENSXETG00000002214.1
OG0002227	ENSMUSG00000033114.11	ENSXETG00000017725.1
OG0002228	ENSMUSG00000060176.4	ENSXETG00000005344.1
OG0002229	ENSMUSG00000024782.7	ENSXETG00000020849.1
OG0002230	ENSMUSG00000016496.7, ENSMUSG00000016498.10	ENSXETG00000019729.1
OG0002231	ENSMUSG00000094103.2, ENSMUSG00000095595.2	ENSXETG00000000943.1
OG0002232	ENSMUSG00000038578.15	ENSXETG00000018318.1
OG0002233	ENSMUSG00000039231.18, ENSMUSG00000026646.16	ENSXETG00000004020.1
OG0002234	ENSMUSG00000031706.7	ENSXETG00000005017.1
OG0002235	ENSMUSG00000021038.17	ENSXETG00000001093.1
OG0002236	ENSMUSG00000021243.14	ENSXETG00000001314.1
OG0002237	ENSMUSG00000028132.15	ENSXETG00000021412.1
OG0002238	ENSMUSG00000038895.16, ENSMUSG00000111842.1	ENSXETG00000002517.1
OG0002239	ENSMUSG00000039840.8, ENSMUSG00000116023.2	ENSXETG00000009633.1
OG0002240	ENSMUSG00000027286.16	ENSXETG00000005818.1
OG0002241	ENSMUSG00000027176.8	ENSXETG00000002185.1, ENSXETG00000006319.1, ENSXETG00000007259.1, ENSXETG00000000959.1, ENSXETG00000000021.1, ENSXETG00000006891.1
OG0002242	ENSMUSG00000048277.15, ENSMUSG00000093485.1	ENSXETG00000007946.1
OG0002243	ENSMUSG00000025498.15	ENSXETG00000000625.1
OG0002244	ENSMUSG00000110136.1, ENSMUSG00000025484.9	ENSXETG00000014504.1
OG0002245	ENSMUSG00000090173.8	ENSXETG00000018926.1
OG0002246	ENSMUSG00000050628.6, ENSMUSG00000039568.6	ENSXETG00000004734.1
OG0002247	ENSMUSG00000020859.16	ENSXETG00000020190.1
OG0002248	ENSMUSG00000027346.15	ENSXETG00000004915.1
OG0002249	ENSMUSG00000048332.13	ENSXETG00000007857.1
OG0002249	ENSMUSG00000041700.9	ENSXETG00000006266.1
OG0002250	ENSMUSG00000025878.16	ENSXETG00000018944.1
OG0002251	ENSMUSG00000021481.11	ENSXETG00000019849.1
OG0002252	ENSMUSG00000004642.13	ENSXETG00000019674.1
OG0002254	ENSMUSG00000009828.15	ENSXETG00000021297.1
OG0002255	ENSMUSG00000054204.6	ENSXETG00000005793.1
OG0002255	ENSMUSG00000087247.3	ENSXETG00000001018.1
OG0002256	ENSMUSG00000000441.17	ENSXETG00000015911.1, ENSXETG00000015176.1
OG0002257	ENSMUSG00000028248.15	ENSXETG00000016508.1
OG0002258	ENSMUSG00000019787.9	ENSXETG00000010923.1
OG0002259	ENSMUSG00000019797.11	ENSXETG00000014355.1
OG0002260	ENSMUSG00000030096.8	ENSXETG00000011651.1
OG0002261	ENSMUSG00000001632.16	ENSXETG00000018374.1
OG0002262	ENSMUSG00000039220.16	ENSXETG00000008628.1
OG0002263	ENSMUSG00000024436.16	ENSXETG00000008606.1
OG0002264	ENSMUSG00000024426.17	ENSXETG00000008694.1
OG0002265	ENSMUSG00000050705.15	ENSXETG00000008719.1
OG0002266	ENSMUSG00000014426.9	ENSXETG00000013722.1
OG0002267	ENSMUSG00000024403.16	ENSXETG00000020072.1
OG0002268	ENSMUSG00000040356.16	ENSXETG00000000086.1
OG0002269	ENSMUSG00000013787.15	ENSXETG00000000683.1
OG0002270	ENSMUSG00000019726.12	ENSXETG00000019132.1
OG0002271	ENSMUSG00000116953.1, ENSMUSG00000116895.1, ENSMUSG00000036552.19	ENSXETG00000007668.1
OG0002272	ENSMUSG00000116672.1, ENSMUSG00000056133.5, ENSMUSG00000067049.8	ENSXETG00000002379.1, ENSXETG00000002376.1, ENSXETG00000020457.1
OG0002273	ENSMUSG00000020460.15	ENSXETG00000004410.1
OG0002275	ENSMUSG00000004677.17	ENSXETG00000012821.1
OG0002276	ENSMUSG00000073423.10	ENSXETG00000013209.1
OG0002276	ENSMUSG00000032739.16	ENSXETG00000009339.1
OG0002278	ENSMUSG00000040940.18	ENSXETG00000011632.1
OG0002279	ENSMUSG00000001419.17	ENSXETG00000000691.1
OG0002280	ENSMUSG00000062006.12	ENSXETG00000002546.1, ENSXETG00000006653.1
OG0002281	ENSMUSG00000006699.17	ENSXETG00000013880.1
OG0002284	ENSMUSG00000076755.2, ENSMUSG00000076754.2, ENSMUSG00000076750.6, ENSMUSG00000076745.4	ENSXETG00000019514.1
OG0002284	ENSMUSG00000076747.3	ENSXETG00000018512.1, ENSXETG00000018793.1
OG0002285	ENSMUSG00000052584.10	ENSXETG00000000313.1, ENSXETG00000015385.1
OG0002285	ENSMUSG00000027808.8	ENSXETG00000017409.1
OG0002286	ENSMUSG00000071337.11	ENSXETG00000008838.1
OG0002287	ENSMUSG00000078784.8	ENSXETG00000019535.1
OG0002288	ENSMUSG00000049950.6	ENSXETG00000002744.1
OG0002289	ENSMUSG00000032293.8	ENSXETG00000017619.1
OG0002290	ENSMUSG00000040706.4	ENSXETG00000000506.1
OG0002291	ENSMUSG00000036402.13	ENSXETG00000018213.1
OG0002291	ENSMUSG00000048240.14	ENSXETG00000004004.1
OG0002292	ENSMUSG00000074004.3, ENSMUSG00000031803.8	ENSXETG00000000266.1, ENSXETG00000000271.1, ENSXETG00000000291.1
OG0002298	ENSMUSG00000037994.14, ENSMUSG00000050150.16	ENSXETG00000005335.1
OG0002299	ENSMUSG00000008435.15	ENSXETG00000003015.1
OG0002320	ENSMUSG00000029720.9, ENSMUSG00000093445.7	ENSXETG00000016129.1
OG0002321	ENSMUSG00000030007.8	ENSXETG00000003241.1
OG0002322	ENSMUSG00000031781.14	ENSXETG00000016704.1
OG0002323	ENSMUSG00000035547.14	ENSXETG00000002918.1
OG0002324	ENSMUSG00000031776.17	ENSXETG00000012051.1
OG0002325	ENSMUSG00000015165.16	ENSXETG00000008743.1
OG0002326	ENSMUSG00000017376.15	ENSXETG00000018906.1
OG0002327	ENSMUSG00000025986.6	ENSXETG00000019786.1
OG0002328	ENSMUSG00000025980.14	ENSXETG00000012453.1
OG0002329	ENSMUSG00000001482.15	ENSXETG00000006758.1
OG0002330	ENSMUSG00000024301.10, ENSMUSG00000079553.11	ENSXETG00000018746.1
OG0002331	ENSMUSG00000006932.17	ENSXETG00000010348.1
OG0002332	ENSMUSG00000031932.14	ENSXETG00000003717.1, ENSXETG00000012002.1, ENSXETG00000003703.1
OG0002333	ENSMUSG00000116359.1, ENSMUSG00000032803.15	ENSXETG00000007001.1
OG0002334	ENSMUSG00000022682.8	ENSXETG00000019417.1
OG0002335	ENSMUSG00000032726.12, ENSMUSG00000002384.2	ENSXETG00000018014.1
OG0002336	ENSMUSG00000029436.9	ENSXETG00000015383.1
OG0002337	ENSMUSG00000020471.11	ENSXETG00000020134.1
OG0002339	ENSMUSG00000041560.12	ENSXETG00000003217.1
OG0002340	ENSMUSG00000038712.16	ENSXETG00000004010.1
OG0002341	ENSMUSG00000089865.2, ENSMUSG00000092192.7	ENSXETG00000001045.1
OG0002342	ENSMUSG00000024054.14	ENSXETG00000000324.1
OG0002343	ENSMUSG00000026924.17	ENSXETG00000016988.1
OG0002344	ENSMUSG00000046717.5, ENSMUSG00000031221.7	ENSXETG00000014171.1
OG0002345	ENSMUSG00000059273.9	ENSXETG00000013923.1
OG0002346	ENSMUSG00000040488.17	ENSXETG00000011261.1
OG0002347	ENSMUSG00000055670.14	ENSXETG00000006972.1
OG0002348	ENSMUSG00000020063.16	ENSXETG00000018624.1
OG0002349	ENSMUSG00000020064.9	ENSXETG00000021242.1
OG0002350	ENSMUSG00000049643.15	ENSXETG00000011671.1
OG0002351	ENSMUSG00000000881.12	ENSXETG00000007906.1
OG0002352	ENSMUSG00000030583.16	ENSXETG00000014368.1
OG0002353	ENSMUSG00000021259.5	ENSXETG00000004906.1, ENSXETG00000004722.1, ENSXETG00000016979.1, ENSXETG00000018608.1
OG0002354	ENSMUSG00000049323.8	ENSXETG00000009371.1
OG0002355	ENSMUSG00000030557.17	ENSXETG00000005969.1
OG0002356	ENSMUSG00000020534.14	ENSXETG00000008811.1
OG0002357	ENSMUSG00000027185.15	ENSXETG00000002715.1
OG0002358	ENSMUSG00000001151.10	ENSXETG00000002286.1
OG0002359	ENSMUSG00000037469.10	ENSXETG00000003978.1
OG0002360	ENSMUSG00000022843.17	ENSXETG00000000063.1, ENSXETG00000002016.1
OG0002361	ENSMUSG00000027086.16	ENSXETG00000015796.1, ENSXETG00000002596.1
OG0002363	ENSMUSG00000031822.20	ENSXETG00000019331.1
OG0002364	ENSMUSG00000072663.12	ENSXETG00000015439.1
OG0002365	ENSMUSG00000026915.16	ENSXETG00000016590.1
OG0002366	ENSMUSG00000011382.8, ENSMUSG00000109926.1	ENSXETG00000009848.1, ENSXETG00000009823.1
OG0002367	ENSMUSG00000074129.14	ENSXETG00000015432.1
OG0002368	ENSMUSG00000116100.1, ENSMUSG00000022362.13, ENSMUSG00000116094.1, ENSMUSG00000101892.1	ENSXETG00000011922.1
OG0002369	ENSMUSG00000029518.15	ENSXETG00000000172.1
OG0002371	ENSMUSG00000004558.15	ENSXETG00000010156.1
OG0002372	ENSMUSG00000022110.13	ENSXETG00000002575.1
OG0002373	ENSMUSG00000093701.7, ENSMUSG00000022969.13	ENSXETG00000009737.1
OG0002374	ENSMUSG00000044033.16	ENSXETG00000019971.1
OG0002376	ENSMUSG00000004948.12	ENSXETG00000009331.1, ENSXETG00000007643.1
OG0002377	ENSMUSG00000000088.7	ENSXETG00000008010.1
OG0002378	ENSMUSG00000030525.8	ENSXETG00000011471.1
OG0002379	ENSMUSG00000031201.17, ENSMUSG00000112039.1	ENSXETG00000007177.1
OG0002380	ENSMUSG00000034088.15	ENSXETG00000020503.1
OG0002381	ENSMUSG00000020728.17	ENSXETG00000002001.1
OG0002383	ENSMUSG00000020899.16	ENSXETG00000003853.1
OG0002384	ENSMUSG00000021248.9	ENSXETG00000003004.1
OG0002385	ENSMUSG00000005802.12, ENSMUSG00000111214.1	ENSXETG00000020566.1
OG0002386	ENSMUSG00000055067.15	ENSXETG00000004976.1
OG0002387	ENSMUSG00000027404.15, ENSMUSG00000102252.5	ENSXETG00000005428.1
OG0002388	ENSMUSG00000005442.13	ENSXETG00000001602.1
OG0002389	ENSMUSG00000028452.7	ENSXETG00000002980.1
OG0002390	ENSMUSG00000042129.8, ENSMUSG00000027339.15	ENSXETG00000013798.1
OG0002391	ENSMUSG00000066406.16	ENSXETG00000019741.1
OG0002392	ENSMUSG00000007050.17	ENSXETG00000004144.1
OG0002393	ENSMUSG00000007030.8	ENSXETG00000006621.1
OG0002394	ENSMUSG00000052516.19	ENSXETG00000006614.1
OG0002395	ENSMUSG00000026875.14	ENSXETG00000017563.1
OG0002396	ENSMUSG00000031766.4	ENSXETG00000021077.1
OG0002397	ENSMUSG00000024182.16	ENSXETG00000012421.1
OG0002398	ENSMUSG00000046556.7	ENSXETG00000006563.1
OG0002399	ENSMUSG00000022097.4	ENSXETG00000008193.1
OG0002400	ENSMUSG00000006289.14	ENSXETG00000004373.1
OG0002401	ENSMUSG00000028790.13	ENSXETG00000017387.1
OG0002402	ENSMUSG00000001017.15	ENSXETG00000011341.1
OG0002403	ENSMUSG00000048895.13	ENSXETG00000011421.1
OG0002404	ENSMUSG00000030779.16	ENSXETG00000006787.1
OG0002405	ENSMUSG00000019854.17	ENSXETG00000015113.1
OG0002406	ENSMUSG00000020897.12, ENSMUSG00000070837.5	ENSXETG00000017022.1
OG0002407	ENSMUSG00000046447.3, ENSMUSG00000051146.2	ENSXETG00000012169.1
OG0002408	ENSMUSG00000026959.13	ENSXETG00000012342.1
OG0002409	ENSMUSG00000039384.8	ENSXETG00000019001.1
OG0002410	ENSMUSG00000030138.8	ENSXETG00000001472.1
OG0002411	ENSMUSG00000019978.16	ENSXETG00000020959.1
OG0002412	ENSMUSG00000038916.7	ENSXETG00000016539.1
OG0002413	ENSMUSG00000040430.18	ENSXETG00000015095.1
OG0002415	ENSMUSG00000023092.16, ENSMUSG00000050035.7	ENSXETG00000017200.1
OG0002416	ENSMUSG00000061731.9	ENSXETG00000015196.1
OG0002417	ENSMUSG00000023043.7	ENSXETG00000003306.1
OG0002418	ENSMUSG00000013833.15	ENSXETG00000016908.1
OG0002419	ENSMUSG00000025544.13	ENSXETG00000018256.1
OG0002420	ENSMUSG00000028868.13	ENSXETG00000008529.1
OG0002421	ENSMUSG00000035121.6	ENSXETG00000015401.1, ENSXETG00000004863.1
OG0002422	ENSMUSG00000070934.6, ENSMUSG00000041658.12	ENSXETG00000014411.1
OG0002423	ENSMUSG00000031951.8	ENSXETG00000002309.1
OG0002424	ENSMUSG00000032094.8, ENSMUSG00000002033.14	ENSXETG00000009180.1
OG0002425	ENSMUSG00000029095.17	ENSXETG00000006599.1
OG0002426	ENSMUSG00000047098.18	ENSXETG00000013056.1
OG0002427	ENSMUSG00000070880.10	ENSXETG00000005001.1
OG0002428	ENSMUSG00000037993.8	ENSXETG00000010873.1
OG0002429	ENSMUSG00000029101.16	ENSXETG00000012881.1
OG0002430	ENSMUSG00000000301.16	ENSXETG00000008445.1
OG0002431	ENSMUSG00000005417.17	ENSXETG00000003230.1
OG0002432	ENSMUSG00000116271.1, ENSMUSG00000037106.8	ENSXETG00000011557.1
OG0002433	ENSMUSG00000037119.4, ENSMUSG00000116351.1	ENSXETG00000011874.1
OG0002435	ENSMUSG00000011306.7	ENSXETG00000008218.1
OG0002436	ENSMUSG00000049036.7	ENSXETG00000014054.1
OG0002438	ENSMUSG00000039103.12	ENSXETG00000019601.1
OG0002439	ENSMUSG00000028717.12	ENSXETG00000014305.1
OG0002440	ENSMUSG00000029056.13	ENSXETG00000013747.1
OG0002441	ENSMUSG00000003848.14	ENSXETG00000003198.1
OG0002442	ENSMUSG00000026824.11	ENSXETG00000011079.1
OG0002443	ENSMUSG00000005677.14	ENSXETG00000009759.1
OG0002443	ENSMUSG00000022809.4	ENSXETG00000004427.1
OG0002444	ENSMUSG00000042709.15	ENSXETG00000001553.1
OG0002445	ENSMUSG00000033047.5	ENSXETG00000002553.1
OG0002446	ENSMUSG00000071708.11	ENSXETG00000020817.1
OG0002447	ENSMUSG00000033458.17	ENSXETG00000019068.1
OG0002448	ENSMUSG00000028557.10	ENSXETG00000006680.1
OG0002449	ENSMUSG00000001666.8	ENSXETG00000007475.1
OG0002452	ENSMUSG00000031788.14	ENSXETG00000006613.1
OG0002453	ENSMUSG00000032066.9	ENSXETG00000006455.1, ENSXETG00000006187.1
OG0002454	ENSMUSG00000022032.14	ENSXETG00000011653.1
OG0002455	ENSMUSG00000000167.14	ENSXETG00000013890.1, ENSXETG00000005491.1
OG0002456	ENSMUSG00000022299.9, ENSMUSG00000107007.3	ENSXETG00000001866.1
OG0002457	ENSMUSG00000032231.14	ENSXETG00000011856.1
OG0002458	ENSMUSG00000063952.16	ENSXETG00000018482.1
OG0002459	ENSMUSG00000021124.13	ENSXETG00000009981.1
OG0002460	ENSMUSG00000030120.14	ENSXETG00000002641.1
OG0002461	ENSMUSG00000009621.18	ENSXETG00000000013.1
OG0002462	ENSMUSG00000026853.15	ENSXETG00000019253.1, ENSXETG00000014386.1
OG0002463	ENSMUSG00000115987.1	ENSXETG00000004659.1
OG0002464	ENSMUSG00000095567.8	ENSXETG00000009480.1
OG0002465	ENSMUSG00000022565.15	ENSXETG00000003713.1
OG0002466	ENSMUSG00000040511.14, ENSMUSG00000062300.14	ENSXETG00000014977.1, ENSXETG00000013684.1
OG0002468	ENSMUSG00000073982.11	ENSXETG00000015862.1
OG0002469	ENSMUSG00000073434.12	ENSXETG00000004304.1
OG0002470	ENSMUSG00000022487.14	ENSXETG00000003475.1
OG0002471	ENSMUSG00000102976.6, ENSMUSG00000116275.1	ENSXETG00000012759.1
OG0002472	ENSMUSG00000023806.10, ENSMUSG00000073471.3	ENSXETG00000005817.1, ENSXETG00000011771.1
OG0002475	ENSMUSG00000072720.9	ENSXETG00000008817.1
OG0002476	ENSMUSG00000027601.13	ENSXETG00000021159.1
OG0002477	ENSMUSG00000036270.16	ENSXETG00000010999.1
OG0002478	ENSMUSG00000067567.12	ENSXETG00000020187.1
OG0002479	ENSMUSG00000051065.9	ENSXETG00000002362.1
OG0002480	ENSMUSG00000030598.15, ENSMUSG00000037463.14	ENSXETG00000003956.1
OG0002481	ENSMUSG00000029714.11	ENSXETG00000003319.1
OG0002482	ENSMUSG00000024589.18	ENSXETG00000012498.1
OG0002483	ENSMUSG00000022035.6	ENSXETG00000015179.1
OG0002484	ENSMUSG00000015750.15	ENSXETG00000002273.1
OG0002485	ENSMUSG00000032038.7	ENSXETG00000003059.1
OG0002486	ENSMUSG00000025925.14	ENSXETG00000018782.1
OG0002487	ENSMUSG00000079658.9	ENSXETG00000018801.1
OG0002488	ENSMUSG00000031755.6	ENSXETG00000020412.1
OG0002489	ENSMUSG00000034235.17	ENSXETG00000000880.1
OG0002490	ENSMUSG00000037098.18	ENSXETG00000003782.1
OG0002491	ENSMUSG00000101678.3, ENSMUSG00000106864.3	ENSXETG00000007073.1
OG0002492	ENSMUSG00000037013.17	ENSXETG00000018126.1
OG0002493	ENSMUSG00000022863.15	ENSXETG00000008432.1, ENSXETG00000008461.1, ENSXETG00000008447.1, ENSXETG00000019965.1
OG0002494	ENSMUSG00000031556.6	ENSXETG00000018560.1
OG0002495	ENSMUSG00000092212.3, ENSMUSG00000074028.4	ENSXETG00000003081.1
OG0002496	ENSMUSG00000022561.13	ENSXETG00000007277.1
OG0002497	ENSMUSG00000098301.6, ENSMUSG00000018379.17	ENSXETG00000018685.1
OG0002498	ENSMUSG00000027466.15	ENSXETG00000007452.1
OG0002499	ENSMUSG00000032840.7	ENSXETG00000011808.1
OG0002500	ENSMUSG00000053286.11	ENSXETG00000013740.1
OG0002501	ENSMUSG00000024087.4	ENSXETG00000001635.1
OG0002502	ENSMUSG00000032743.15	ENSXETG00000003784.1
OG0002504	ENSMUSG00000004655.5	ENSXETG00000012228.1
OG0002505	ENSMUSG00000038264.8	ENSXETG00000013280.1
OG0002506	ENSMUSG00000056608.14	ENSXETG00000020502.1
OG0002507	ENSMUSG00000009549.14	ENSXETG00000017987.1
OG0002508	ENSMUSG00000026435.15	ENSXETG00000016833.1, ENSXETG00000007988.1
OG0002509	ENSMUSG00000030744.13	ENSXETG00000010858.1
OG0002510	ENSMUSG00000029475.17	ENSXETG00000000162.1
OG0002511	ENSMUSG00000099481.6	ENSXETG00000006492.1
OG0002511	ENSMUSG00000070425.13, ENSMUSG00000100254.1	ENSXETG00000003567.1
OG0002512	ENSMUSG00000039105.6	ENSXETG00000012450.1
OG0002513	ENSMUSG00000022214.15	ENSXETG00000013142.1
OG0002514	ENSMUSG00000043923.8	ENSXETG00000003305.1
OG0002515	ENSMUSG00000083649.5, ENSMUSG00000029430.13, ENSMUSG00000028287.4	ENSXETG00000011277.1
OG0002516	ENSMUSG00000020184.15	ENSXETG00000011818.1
OG0002517	ENSMUSG00000020630.9	ENSXETG00000001665.1, ENSXETG00000001618.1
OG0002518	ENSMUSG00000048410.17	ENSXETG00000016659.1
OG0002519	ENSMUSG00000001566.9	ENSXETG00000013515.1
OG0002520	ENSMUSG00000022721.19, ENSMUSG00000098930.9	ENSXETG00000012748.1
OG0002521	ENSMUSG00000031898.9, ENSMUSG00000053687.15, ENSMUSG00000115067.1	ENSXETG00000000644.1
OG0002523	ENSMUSG00000010342.16, ENSMUSG00000062132.10	ENSXETG00000004495.1
OG0002524	ENSMUSG00000021149.8	ENSXETG00000007719.1
OG0002525	ENSMUSG00000024027.8	ENSXETG00000009979.1
OG0002526	ENSMUSG00000006711.15	ENSXETG00000003541.1
OG0002527	ENSMUSG00000033520.2, ENSMUSG00000021148.11, ENSMUSG00000058258.14	ENSXETG00000007483.1
OG0002528	ENSMUSG00000026869.12	ENSXETG00000019997.1
OG0002529	ENSMUSG00000028873.16	ENSXETG00000018288.1
OG0002530	ENSMUSG00000052934.14	ENSXETG00000019448.1
OG0002531	ENSMUSG00000023909.4	ENSXETG00000014620.1
OG0002532	ENSMUSG00000035597.19	ENSXETG00000021254.1
OG0002533	ENSMUSG00000010086.17	ENSXETG00000009064.1, ENSXETG00000009096.1, ENSXETG00000009176.1, ENSXETG00000009148.1, ENSXETG00000009553.1
OG0002535	ENSMUSG00000038271.17	ENSXETG00000013759.1
OG0002536	ENSMUSG00000024238.15	ENSXETG00000019293.1
OG0002537	ENSMUSG00000022272.17	ENSXETG00000005834.1
OG0002538	ENSMUSG00000029148.15	ENSXETG00000006286.1
OG0002539	ENSMUSG00000003382.18	ENSXETG00000000389.1
OG0002540	ENSMUSG00000039198.8	ENSXETG00000018142.1
OG0002541	ENSMUSG00000042043.6	ENSXETG00000011216.1
OG0002542	ENSMUSG00000036782.13, ENSMUSG00000070923.4	ENSXETG00000019789.1
OG0002543	ENSMUSG00000044229.9, ENSMUSG00000032028.15	ENSXETG00000001510.1
OG0002544	ENSMUSG00000029036.18	ENSXETG00000007765.1
OG0002545	ENSMUSG00000028329.13	ENSXETG00000010032.1
OG0002547	ENSMUSG00000038187.14	ENSXETG00000009856.1
OG0002548	ENSMUSG00000026712.3	ENSXETG00000019801.1
OG0002549	ENSMUSG00000048612.16	ENSXETG00000001433.1, ENSXETG00000011745.1, ENSXETG00000004248.1, ENSXETG00000018934.1
OG0002550	ENSMUSG00000037197.11	ENSXETG00000020927.1
OG0002551	ENSMUSG00000073639.6	ENSXETG00000020706.1
OG0002552	ENSMUSG00000027195.10	ENSXETG00000002647.1
OG0002553	ENSMUSG00000023883.13	ENSXETG00000007828.1
OG0002555	ENSMUSG00000066151.11	ENSXETG00000020828.1
OG0002556	ENSMUSG00000012428.9	ENSXETG00000006335.1, ENSXETG00000006349.1
OG0002557	ENSMUSG00000015652.9	ENSXETG00000013796.1
OG0002558	ENSMUSG00000029763.17	ENSXETG00000020382.1
OG0002559	ENSMUSG00000040464.15	ENSXETG00000013871.1
OG0002560	ENSMUSG00000057230.14	ENSXETG00000007302.1
OG0002561	ENSMUSG00000027680.15	ENSXETG00000016170.1
OG0002562	ENSMUSG00000027677.17	ENSXETG00000015817.1
OG0002563	ENSMUSG00000030980.17	ENSXETG00000006104.1
OG0002564	ENSMUSG00000019179.10	ENSXETG00000008424.1
OG0002565	ENSMUSG00000057280.15	ENSXETG00000004146.1
OG0002566	ENSMUSG00000035561.5	ENSXETG00000003786.1
OG0002566	ENSMUSG00000029455.14	ENSXETG00000013146.1
OG0002568	ENSMUSG00000021281.15	ENSXETG00000020981.1
OG0002569	ENSMUSG00000024277.14	ENSXETG00000009539.1
OG0002570	ENSMUSG00000007987.12	ENSXETG00000017127.1, ENSXETG00000006403.1
OG0002571	ENSMUSG00000032757.6	ENSXETG00000000579.1, ENSXETG00000000566.1
OG0002573	ENSMUSG00000043432.7	ENSXETG00000005526.1, ENSXETG00000011868.1
OG0002574	ENSMUSG00000030428.16	ENSXETG00000011840.1
OG0002575	ENSMUSG00000027879.9	ENSXETG00000000185.1
OG0002576	ENSMUSG00000040170.13	ENSXETG00000015001.1, ENSXETG00000015051.1
OG0002577	ENSMUSG00000024663.20	ENSXETG00000002124.1
OG0002578	ENSMUSG00000029754.13	ENSXETG00000005794.1
OG0002579	ENSMUSG00000032172.8	ENSXETG00000000953.1
OG0002580	ENSMUSG00000060860.8	ENSXETG00000011460.1
OG0002581	ENSMUSG00000102422.1, ENSMUSG00000027777.15	ENSXETG00000014186.1
