M_musculus.pep,P_Mucros.pep
ENSMUSG00000039298,XP_029139573.1
ENSMUSG00000003429,XP_015683398.2
ENSMUSG00000000693,XP_015677076.1
ENSMUSG00000022419,XP_015679784.1
ENSMUSG00000047492,XP_015671840.2
ENSMUSG00000009092,XP_015681755.1
ENSMUSG00000021273,XP_015673530.1
ENSMUSG00000041633,XP_015687896.1
ENSMUSG00000098557,XP_015687833.1
ENSMUSG00000025283,XP_015683269.1
ENSMUSG00000079834,XP_015680210.1
ENSMUSG00000003154,XP_015682285.1
ENSMUSG00000020736,XP_015670531.1
ENSMUSG00000032615,XP_015673314.1
ENSMUSG00000049550,XP_015670898.1
ENSMUSG00000005142,XP_029139856.1
ENSMUSG00000025854,XP_029140867.1
ENSMUSG00000056413,XP_015676419.1
ENSMUSG00000038664,XP_015666501.1
ENSMUSG00000022568,XP_015672596.1
ENSMUSG00000070330,XP_029140503.1
ENSMUSG00000022715,XP_015677132.1
ENSMUSG00000025464,XP_029140774.1
ENSMUSG00000028245,XP_015667859.1
ENSMUSG00000042439,XP_015682481.1
ENSMUSG00000024513,XP_015681640.1
ENSMUSG00000029491,XP_029140935.1
ENSMUSG00000092083,XP_015672648.1
ENSMUSG00000050556,XP_015681459.1
ENSMUSG00000036256,XP_015670843.1
ENSMUSG00000094483,XP_029140079.1
ENSMUSG00000043991,XP_015667638.1
ENSMUSG00000028138,XP_015672890.1
ENSMUSG00000061787,XP_015673942.1
ENSMUSG00000022185,XP_015678805.1
ENSMUSG00000097886,XP_015677120.1
ENSMUSG00000055368,XP_015671674.2
ENSMUSG00000022415,XP_015672206.1
ENSMUSG00000007021,XP_015671737.1
ENSMUSG00000038056,XP_029138786.1
ENSMUSG00000021027,XP_015668495.1
ENSMUSG00000030226,XP_015675907.1
ENSMUSG00000036111,XP_015667716.1
ENSMUSG00000029211,XP_015677812.1
ENSMUSG00000031290,XP_029138776.1
ENSMUSG00000021612,XP_015676659.1
ENSMUSG00000021565,XP_015676661.1
ENSMUSG00000028495,XP_015680585.1
ENSMUSG00000042419,XP_015669808.1
ENSMUSG00000029158,XP_015682852.1
ENSMUSG00000024487,XP_015686040.1
ENSMUSG00000058503,XP_015667024.1
ENSMUSG00000029146,XP_015670297.1
ENSMUSG00000013611,XP_015669004.1
ENSMUSG00000079055,XP_015675513.1
ENSMUSG00000053399,XP_015670243.1
ENSMUSG00000049538,XP_029140010.1
ENSMUSG00000018707,XP_015679535.1
ENSMUSG00000025364,XP_015668459.1
ENSMUSG00000039985,XP_015671163.1
ENSMUSG00000027820,XP_015672104.1
ENSMUSG00000068154,XP_029142226.1
ENSMUSG00000045440,XP_029141753.1
ENSMUSG00000029924,XP_015679567.1
ENSMUSG00000019936,XP_029139360.1
ENSMUSG00000034645,XP_015666378.1
ENSMUSG00000034636,XP_015666380.1
ENSMUSG00000037935,XP_015687765.1
ENSMUSG00000020913,XP_015687767.1
ENSMUSG00000034165,XP_015678642.1
ENSMUSG00000031250,XP_015676064.1
ENSMUSG00000052146,XP_015675910.1
ENSMUSG00000055865,XP_029141490.1
ENSMUSG00000061517,XP_015682094.1
ENSMUSG00000053747,XP_015669651.1
ENSMUSG00000033228,XP_015672389.1
ENSMUSG00000029084,XP_015677037.1
ENSMUSG00000018666,XP_015680169.1
ENSMUSG00000027840,XP_015685376.1
ENSMUSG00000021643,XP_015674031.2
ENSMUSG00000020205,XP_015675171.1
ENSMUSG00000041801,XP_015671829.1
ENSMUSG00000024039,XP_015683626.1
ENSMUSG00000041132,XP_015670719.1
ENSMUSG00000029655,XP_029139846.1
ENSMUSG00000028081,XP_015671928.1
ENSMUSG00000006262,XP_015674079.1
ENSMUSG00000061474,XP_015685415.1
ENSMUSG00000021638,XP_015674036.1
ENSMUSG00000046550,XP_015678498.1
ENSMUSG00000056829,XP_015669961.1
ENSMUSG00000059246,XP_015666518.1
ENSMUSG00000024878,XP_015673514.1
ENSMUSG00000037996,XP_015680582.1
ENSMUSG00000001924,XP_015680764.1
ENSMUSG00000023051,XP_015687769.1
ENSMUSG00000075707,XP_015680165.1
ENSMUSG00000031142,XP_029139226.1
ENSMUSG00000037887,XP_015675182.1
ENSMUSG00000038611,XP_015677368.1
ENSMUSG00000039307,XP_029140305.1
ENSMUSG00000037477,XP_015678270.1
ENSMUSG00000009097,XP_015684134.1
ENSMUSG00000036309,XP_015679684.1
ENSMUSG00000051056,XP_015672868.1
ENSMUSG00000030082,XP_015678987.1
ENSMUSG00000025816,XP_015682039.1
ENSMUSG00000028865,XP_015670659.1
ENSMUSG00000024462,XP_015681423.1
ENSMUSG00000007038,XP_015683115.1
ENSMUSG00000007034,XP_015679604.1
ENSMUSG00000024939,XP_015673169.1
ENSMUSG00000043068,XP_015674534.1
ENSMUSG00000052525,XP_029142265.1
ENSMUSG00000109941,XP_015677155.1
ENSMUSG00000039959,XP_029139769.1
ENSMUSG00000015377,XP_015673393.2
ENSMUSG00000060791,XP_015676168.1
ENSMUSG00000062014,XP_015678800.1
ENSMUSG00000062203,XP_015683395.1
ENSMUSG00000046093,XP_015667168.1
ENSMUSG00000032399,XP_015667377.1
ENSMUSG00000022680,XP_015682369.1
ENSMUSG00000040746,XP_015668675.2
ENSMUSG00000030996,XP_029142347.1
ENSMUSG00000060657,XP_015682366.1
ENSMUSG00000051220,XP_029141458.1
ENSMUSG00000034342,XP_015669059.1
ENSMUSG00000013662,XP_015668749.1
ENSMUSG00000026021,XP_015675087.1
ENSMUSG00000066621,XP_015676259.1
ENSMUSG00000033526,XP_015674092.1
ENSMUSG00000031333,XP_015666258.1
ENSMUSG00000035506,XP_015674616.1
ENSMUSG00000029255,XP_015680322.1
ENSMUSG00000029423,XP_015681878.1
ENSMUSG00000025511,XP_015676692.1
ENSMUSG00000032098,XP_015668401.2
ENSMUSG00000043909,XP_029140454.1
ENSMUSG00000005803,XP_015666242.1
ENSMUSG00000022136,XP_015674716.1
ENSMUSG00000037373,XP_015684837.2
ENSMUSG00000005107,XP_015679327.1
ENSMUSG00000041241,XP_015675873.1
ENSMUSG00000060034,XP_029140542.1
ENSMUSG00000042340,XP_015674588.1
ENSMUSG00000051855,XP_015684271.1
ENSMUSG00000038550,XP_015674245.2
ENSMUSG00000049739,XP_029141423.1
ENSMUSG00000028760,XP_015682374.1
ENSMUSG00000040761,XP_015681272.1
ENSMUSG00000045374,XP_015673829.1
ENSMUSG00000032120,XP_029139350.1
ENSMUSG00000022122,XP_015678531.1
ENSMUSG00000004069,XP_015667441.1
ENSMUSG00000031993,XP_029140342.1
ENSMUSG00000018559,XP_015680216.1
ENSMUSG00000030655,XP_015681907.1
ENSMUSG00000000171,XP_015668057.1
ENSMUSG00000027386,XP_015681141.1
ENSMUSG00000033543,XP_015666517.1
ENSMUSG00000044950,XP_015670801.1
ENSMUSG00000035284,XP_029138979.1
ENSMUSG00000032212,XP_015666504.1
ENSMUSG00000058600,XP_015668960.1
ENSMUSG00000078486,XP_029142643.1
ENSMUSG00000032228,XP_015666507.1
ENSMUSG00000024338,XP_015683848.1
ENSMUSG00000028218,XP_015687079.1
ENSMUSG00000046714,XP_015682233.1
ENSMUSG00000050295,XP_015668584.1
ENSMUSG00000033416,XP_029140458.1
ENSMUSG00000007564,XP_015679853.1
ENSMUSG00000031310,XP_029138773.1
ENSMUSG00000034327,XP_015673984.1
ENSMUSG00000028223,XP_015669468.1
ENSMUSG00000079278,XP_015672956.1
ENSMUSG00000067274,XP_015672928.1
ENSMUSG00000022201,XP_015672499.1
ENSMUSG00000045493,XP_015679297.1
ENSMUSG00000019189,XP_015682937.1
ENSMUSG00000024990,XP_015666767.1
ENSMUSG00000047714,XP_015676213.1
ENSMUSG00000027861,XP_015673564.1
ENSMUSG00000065954,XP_029141828.1
ENSMUSG00000009115,XP_029141854.1
ENSMUSG00000049653,XP_015679421.1
ENSMUSG00000029179,XP_015682619.2
ENSMUSG00000014633,XP_015672265.1
ENSMUSG00000034424,XP_015677203.1
ENSMUSG00000021156,XP_015678925.1
ENSMUSG00000004285,XP_015683243.1
ENSMUSG00000038346,XP_029139580.1
ENSMUSG00000108367,XP_029140428.1
ENSMUSG00000023084,XP_029142308.1
ENSMUSG00000015217,XP_015676589.1
ENSMUSG00000070426,XP_015684723.1
ENSMUSG00000050410,XP_015682478.1
ENSMUSG00000026674,XP_029143149.1
ENSMUSG00000024734,XP_015677241.1
ENSMUSG00000048154,XP_015670234.1
ENSMUSG00000040225,XP_015687509.1
ENSMUSG00000041720,XP_029141255.1
ENSMUSG00000024660,XP_029141461.1
ENSMUSG00000025794,XP_015678759.1
ENSMUSG00000026271,XP_015681661.1
ENSMUSG00000001783,XP_015668318.1
ENSMUSG00000042406,XP_015672202.1
ENSMUSG00000045394,XP_015667639.1
ENSMUSG00000051397,XP_015687049.1
ENSMUSG00000022471,XP_015669092.2
ENSMUSG00000024386,XP_015669214.2
ENSMUSG00000020019,XP_029139305.1
ENSMUSG00000034667,XP_015676274.1
ENSMUSG00000036422,XP_015666539.1
ENSMUSG00000023089,XP_015677735.1
ENSMUSG00000038482,XP_015674802.1
ENSMUSG00000066877,XP_015672978.1
ENSMUSG00000031295,XP_015680781.1
ENSMUSG00000074892,XP_015686747.1
ENSMUSG00000022956,XP_015678564.1
ENSMUSG00000029651,XP_029141520.1
ENSMUSG00000029647,XP_015671136.2
ENSMUSG00000053199,XP_015680714.1
ENSMUSG00000029291,XP_029141482.1
ENSMUSG00000033114,XP_015681734.1
ENSMUSG00000038578,XP_029140560.1
ENSMUSG00000031706,XP_015682943.1
ENSMUSG00000028132,XP_015684743.1
ENSMUSG00000027176,XP_015687011.1
ENSMUSG00000025498,XP_015677366.1
ENSMUSG00000090173,XP_015680986.1
ENSMUSG00000027346,XP_015671458.1
ENSMUSG00000048332,XP_015674186.1
ENSMUSG00000004642,XP_015683721.2
ENSMUSG00000009828,XP_015676711.1
ENSMUSG00000054204,XP_015668135.1
ENSMUSG00000028248,XP_015675650.1
ENSMUSG00000039220,XP_015682578.1
ENSMUSG00000024436,XP_015682579.2
ENSMUSG00000024426,XP_029142212.1
ENSMUSG00000050705,XP_015682577.2
ENSMUSG00000014426,XP_029140909.1
ENSMUSG00000024403,XP_015683109.1
ENSMUSG00000040356,XP_015683105.1
ENSMUSG00000013787,XP_015679812.1
ENSMUSG00000004677,XP_029138801.1
ENSMUSG00000073423,XP_029138810.1
ENSMUSG00000040940,XP_029140429.1
ENSMUSG00000001419,XP_015675329.1
ENSMUSG00000062006,XP_015667143.1
ENSMUSG00000052584,XP_029139409.1
ENSMUSG00000027808,XP_015685239.1
ENSMUSG00000078784,XP_015679155.1
ENSMUSG00000040706,XP_015675838.1
ENSMUSG00000036402,XP_015684184.1
ENSMUSG00000048240,XP_015681688.1
ENSMUSG00000042306,XP_015668876.1
ENSMUSG00000042312,XP_015668877.1
ENSMUSG00000035547,XP_015680962.1
ENSMUSG00000015165,XP_015680284.1
ENSMUSG00000017376,XP_015682776.1
ENSMUSG00000025980,XP_015668523.1
ENSMUSG00000031932,XP_015668189.1
ENSMUSG00000020471,XP_015670044.1
ENSMUSG00000038712,XP_015677509.1
ENSMUSG00000024054,XP_015678680.1
ENSMUSG00000026924,XP_015681066.1
ENSMUSG00000059273,XP_029139550.1
ENSMUSG00000040488,XP_029139554.1
ENSMUSG00000055670,XP_015679790.2
ENSMUSG00000020063,XP_015672141.2
ENSMUSG00000020064,XP_015672142.1
ENSMUSG00000049643,XP_015669391.1
ENSMUSG00000030583,XP_029139555.1
ENSMUSG00000021259,XP_015675829.1
ENSMUSG00000049323,XP_015673307.1
ENSMUSG00000027185,XP_015671504.1
ENSMUSG00000037469,XP_015676149.1
ENSMUSG00000031822,XP_015672323.1
ENSMUSG00000026915,XP_015683265.1
ENSMUSG00000029518,XP_015672940.1
ENSMUSG00000074665,XP_015682508.1
ENSMUSG00000004948,XP_015685623.1
ENSMUSG00000030525,XP_015683205.1
ENSMUSG00000020728,XP_015672444.1
ENSMUSG00000020899,XP_015683798.1
ENSMUSG00000021248,XP_015677706.1
ENSMUSG00000027404,XP_015680957.1
ENSMUSG00000005442,XP_015680840.1
ENSMUSG00000028452,XP_015684035.1
ENSMUSG00000007050,XP_015681092.2
ENSMUSG00000007030,XP_029141360.1
ENSMUSG00000052516,XP_029141589.1
ENSMUSG00000031766,XP_015680044.1
ENSMUSG00000024182,XP_015667434.1
ENSMUSG00000046556,XP_029139201.1
ENSMUSG00000006289,XP_015676885.1
ENSMUSG00000030779,XP_015668737.1
ENSMUSG00000019854,XP_015677659.1
ENSMUSG00000046447,XP_015675854.1
ENSMUSG00000039384,XP_015687406.1
ENSMUSG00000030138,XP_029142217.1
ENSMUSG00000038916,XP_029139981.1
ENSMUSG00000040430,XP_015668447.1
ENSMUSG00000051648,XP_015667657.1
ENSMUSG00000023043,XP_015672253.1
ENSMUSG00000013833,XP_015665551.1
ENSMUSG00000025544,XP_015683463.1
ENSMUSG00000031951,XP_015666909.1
ENSMUSG00000029095,XP_029142744.1
ENSMUSG00000047098,XP_029141152.1
ENSMUSG00000070880,XP_015667359.1
ENSMUSG00000037993,XP_015666937.1
ENSMUSG00000000301,XP_015673329.1
ENSMUSG00000011306,XP_015668946.1
ENSMUSG00000026567,XP_029143152.1
ENSMUSG00000028717,XP_015668047.1
ENSMUSG00000029056,XP_015678542.1
ENSMUSG00000003848,XP_029139079.1
ENSMUSG00000026824,XP_015681706.1
ENSMUSG00000005677,XP_015676977.2
ENSMUSG00000042709,XP_015673319.1
ENSMUSG00000033047,XP_015672751.1
ENSMUSG00000071708,XP_015669907.1
ENSMUSG00000033458,XP_015666516.1
ENSMUSG00000028557,XP_015666396.1
ENSMUSG00000001666,XP_015676362.1
ENSMUSG00000020841,XP_015683284.1
ENSMUSG00000031788,XP_029139200.1
ENSMUSG00000032066,XP_029139286.1
ENSMUSG00000032231,XP_015666490.1
ENSMUSG00000021124,XP_015669586.1
ENSMUSG00000022565,XP_029140206.1
ENSMUSG00000073982,XP_015683278.1
ENSMUSG00000073434,XP_015680133.1
ENSMUSG00000022487,XP_015672256.2
ENSMUSG00000072720,XP_015671254.1
ENSMUSG00000036270,XP_029140286.1
ENSMUSG00000067567,XP_015687922.1
ENSMUSG00000051065,XP_015684283.1
ENSMUSG00000029714,XP_015668630.1
ENSMUSG00000022035,XP_015675468.1
ENSMUSG00000025925,XP_015672652.1
ENSMUSG00000079658,XP_015682125.1
ENSMUSG00000034235,XP_029141719.1
ENSMUSG00000037098,XP_015674669.1
ENSMUSG00000031556,XP_015685275.1
ENSMUSG00000027466,XP_029142706.1
ENSMUSG00000032840,XP_015680400.1
ENSMUSG00000053286,XP_015680215.1
ENSMUSG00000024087,XP_015671488.1
ENSMUSG00000032743,XP_029139173.1
ENSMUSG00000021966,XP_015668654.1
ENSMUSG00000034623,XP_029139535.1
ENSMUSG00000004655,XP_029139259.1
ENSMUSG00000009549,XP_015675230.1
ENSMUSG00000030744,XP_015674055.1
ENSMUSG00000029475,XP_015670901.1
ENSMUSG00000022214,XP_015677728.1
ENSMUSG00000043923,XP_029139351.1
ENSMUSG00000001566,XP_015688033.1
ENSMUSG00000021149,XP_015666980.1
ENSMUSG00000024027,XP_015675113.1
ENSMUSG00000006711,XP_015673867.1
ENSMUSG00000026869,XP_015682560.1
ENSMUSG00000028873,XP_029142232.1
ENSMUSG00000052934,XP_015677497.1
ENSMUSG00000035597,XP_015674495.1
ENSMUSG00000022272,XP_029139374.1
ENSMUSG00000003382,XP_015683063.1
ENSMUSG00000039198,XP_015666115.1
ENSMUSG00000029036,XP_015671544.1
ENSMUSG00000026712,XP_015666709.1
ENSMUSG00000048612,XP_015666778.1
ENSMUSG00000073639,XP_015666139.1
ENSMUSG00000027195,XP_015673951.1
ENSMUSG00000030751,XP_015679799.1
ENSMUSG00000066151,XP_029143135.1
ENSMUSG00000015652,XP_015667339.1
ENSMUSG00000057230,XP_015666587.1
ENSMUSG00000027677,XP_015676961.1
ENSMUSG00000030980,XP_029142083.1
ENSMUSG00000019179,XP_015674357.1
ENSMUSG00000045078,XP_029143161.1
ENSMUSG00000021281,XP_029139425.1
ENSMUSG00000032757,XP_015667058.1
ENSMUSG00000043432,XP_015665743.1
ENSMUSG00000027879,XP_015676949.1
ENSMUSG00000024663,XP_029142772.1
ENSMUSG00000029754,XP_029139100.1
ENSMUSG00000040797,XP_015669665.1
ENSMUSG00000019256,XP_015666275.1
ENSMUSG00000029916,XP_015674507.1
ENSMUSG00000029911,XP_015674512.1
ENSMUSG00000033805,XP_015666395.1
ENSMUSG00000026288,XP_029139526.1
ENSMUSG00000022450,XP_015669011.1
ENSMUSG00000046733,XP_015673151.1
ENSMUSG00000087260,XP_015670088.1
ENSMUSG00000058589,XP_015673644.1
ENSMUSG00000025172,XP_029141626.1
ENSMUSG00000020691,XP_015687702.1
ENSMUSG00000034163,XP_015667278.1
ENSMUSG00000029798,XP_015675430.2
ENSMUSG00000061414,XP_015667147.1
ENSMUSG00000041684,XP_015678536.1
ENSMUSG00000038398,XP_015671960.1
ENSMUSG00000042207,XP_015671064.1
ENSMUSG00000050122,XP_015685971.1
ENSMUSG00000029106,XP_029141938.1
ENSMUSG00000030357,XP_015682856.2
ENSMUSG00000032834,XP_015670352.1
ENSMUSG00000020648,XP_029142435.1
ENSMUSG00000022965,XP_015674841.1
ENSMUSG00000025612,XP_015674884.1
ENSMUSG00000031592,XP_015686366.1
ENSMUSG00000031590,XP_015686336.1
ENSMUSG00000051451,XP_015678242.2
ENSMUSG00000021639,XP_015674035.1
ENSMUSG00000001542,XP_015687427.1
ENSMUSG00000014867,XP_015682318.1
ENSMUSG00000028484,XP_015675525.1
ENSMUSG00000039126,XP_029139693.1
ENSMUSG00000045232,XP_015682853.1
ENSMUSG00000035021,XP_015674569.1
ENSMUSG00000035247,XP_015671633.1
ENSMUSG00000037679,XP_015670109.1
ENSMUSG00000033713,XP_015676960.1
ENSMUSG00000007670,XP_029142302.1
ENSMUSG00000021242,XP_015677695.1
ENSMUSG00000048191,XP_015679972.1
ENSMUSG00000054662,XP_015675551.1
ENSMUSG00000026383,XP_015681203.1
ENSMUSG00000055322,XP_029139390.1
ENSMUSG00000057948,XP_015674548.1
ENSMUSG00000020766,XP_029140561.1
ENSMUSG00000039450,XP_015673011.1
ENSMUSG00000002885,XP_029140532.1
ENSMUSG00000022000,XP_029140464.1
ENSMUSG00000047495,XP_015676270.1
ENSMUSG00000052144,XP_015680093.1
ENSMUSG00000034973,XP_015687568.1
ENSMUSG00000001524,XP_015680762.1
ENSMUSG00000023861,XP_015673836.1
ENSMUSG00000015467,XP_015681517.1
ENSMUSG00000034786,XP_029141997.1
ENSMUSG00000012296,XP_015673558.1
ENSMUSG00000053293,XP_015670275.1
ENSMUSG00000032860,XP_015679296.1
ENSMUSG00000050608,XP_015680226.1
ENSMUSG00000038370,XP_015676976.1
ENSMUSG00000035431,XP_015680775.2
ENSMUSG00000027371,XP_015667003.1
ENSMUSG00000076441,XP_015675825.1
ENSMUSG00000029575,XP_015671248.1
ENSMUSG00000005373,XP_015668293.1
ENSMUSG00000022620,XP_015683409.1
ENSMUSG00000043259,XP_015675054.1
ENSMUSG00000005864,XP_015687880.1
ENSMUSG00000004896,XP_015683065.1
ENSMUSG00000034168,XP_015680904.1
ENSMUSG00000001472,XP_015666948.1
ENSMUSG00000018974,XP_029139943.1
ENSMUSG00000034579,XP_015669114.2
ENSMUSG00000031967,XP_015685616.1
ENSMUSG00000024527,XP_015672239.1
ENSMUSG00000055980,XP_015670548.1
ENSMUSG00000031216,XP_029139315.1
ENSMUSG00000029776,XP_015666080.1
ENSMUSG00000020476,XP_029139721.1
ENSMUSG00000028649,XP_015667116.1
ENSMUSG00000036555,XP_029140616.1
ENSMUSG00000054676,XP_015677340.1
ENSMUSG00000010914,XP_015674787.1
ENSMUSG00000004937,XP_015681682.1
ENSMUSG00000052920,XP_015675544.1
ENSMUSG00000021263,XP_015675853.1
ENSMUSG00000022518,XP_015667442.1
ENSMUSG00000057110,XP_029141667.1
ENSMUSG00000057278,XP_015666619.1
ENSMUSG00000026874,XP_015683531.2
ENSMUSG00000035949,XP_015675491.1
ENSMUSG00000022221,XP_029139797.1
ENSMUSG00000059447,XP_015675467.1
ENSMUSG00000047284,XP_029141707.1
ENSMUSG00000026027,XP_015681814.1
ENSMUSG00000025204,XP_015677595.1
ENSMUSG00000054199,XP_029142583.1
ENSMUSG00000042423,XP_029142167.1
ENSMUSG00000005575,XP_015665646.1
ENSMUSG00000040428,XP_015685495.1
ENSMUSG00000049897,XP_015682312.1
ENSMUSG00000015357,XP_015674641.1
ENSMUSG00000022971,XP_029140650.1
ENSMUSG00000031545,XP_015672003.1
ENSMUSG00000061410,XP_015677501.1
ENSMUSG00000041959,XP_015668862.1
ENSMUSG00000035686,XP_029142100.1
ENSMUSG00000028901,XP_015687629.1
ENSMUSG00000032269,XP_029139341.1
ENSMUSG00000032267,XP_029139346.1
ENSMUSG00000027363,XP_015678234.1
ENSMUSG00000061981,XP_015684144.1
ENSMUSG00000055720,XP_015676458.1
ENSMUSG00000022801,XP_029141276.1
ENSMUSG00000034940,XP_029141369.1
ENSMUSG00000021745,XP_015666691.1
ENSMUSG00000032215,XP_015666536.1
ENSMUSG00000032897,XP_015687168.1
ENSMUSG00000031672,XP_015667664.1
ENSMUSG00000034311,XP_015681936.1
ENSMUSG00000052707,XP_029139431.1
ENSMUSG00000035829,XP_015676627.1
ENSMUSG00000001173,XP_029140796.1
ENSMUSG00000026955,XP_029141359.1
ENSMUSG00000024515,XP_015667626.1
ENSMUSG00000030802,XP_029141422.1
ENSMUSG00000026192,XP_015677140.1
ENSMUSG00000014837,XP_029139215.1
ENSMUSG00000043903,XP_029139049.1
ENSMUSG00000037455,XP_015684051.1
ENSMUSG00000020832,XP_015683253.1
ENSMUSG00000030534,XP_015674075.1
ENSMUSG00000028437,XP_015679532.1
ENSMUSG00000028438,XP_015683821.2
ENSMUSG00000024940,XP_015677855.1
ENSMUSG00000039262,XP_029141784.1
ENSMUSG00000038195,XP_015673831.1
ENSMUSG00000038188,XP_015673832.1
ENSMUSG00000020790,XP_015676550.1
ENSMUSG00000032126,XP_015668394.2
ENSMUSG00000037486,XP_029141223.1
ENSMUSG00000000916,XP_015670325.1
ENSMUSG00000021356,XP_015668804.1
ENSMUSG00000061313,XP_015680193.1
ENSMUSG00000036057,XP_015685357.1
ENSMUSG00000031730,XP_015666903.1
ENSMUSG00000039849,XP_015683952.1
ENSMUSG00000029073,XP_015671549.1
ENSMUSG00000029034,XP_015671534.1
ENSMUSG00000027479,XP_015687391.1
ENSMUSG00000029434,XP_015670936.1
ENSMUSG00000046761,XP_015672600.1
ENSMUSG00000031919,XP_015666962.2
ENSMUSG00000031924,XP_015666963.1
ENSMUSG00000031930,XP_029139069.1
ENSMUSG00000038335,XP_015666612.1
ENSMUSG00000061136,XP_015675802.1
ENSMUSG00000022560,XP_015681698.1
ENSMUSG00000021911,XP_015685447.1
ENSMUSG00000041479,XP_029141427.1
ENSMUSG00000037366,XP_015680465.1
ENSMUSG00000020415,XP_015670825.1
ENSMUSG00000049721,XP_015669159.2
ENSMUSG00000027580,XP_029142304.1
ENSMUSG00000041762,XP_029139959.1
ENSMUSG00000050812,XP_015674700.1
ENSMUSG00000026858,XP_029141847.1
ENSMUSG00000032232,XP_029138985.1
ENSMUSG00000031543,XP_029140081.1
ENSMUSG00000012017,XP_029142508.1
ENSMUSG00000034022,XP_015682353.1
ENSMUSG00000029866,XP_015670834.1
ENSMUSG00000022574,XP_015678848.1
ENSMUSG00000090626,XP_015666474.1
ENSMUSG00000018776,XP_015680236.1
ENSMUSG00000060681,XP_015687990.1
ENSMUSG00000029863,XP_029140485.1
ENSMUSG00000034850,XP_015667112.1
ENSMUSG00000021520,XP_015675120.1
ENSMUSG00000041354,XP_029142484.1
ENSMUSG00000026042,XP_015672544.1
ENSMUSG00000029522,XP_015672951.1
ENSMUSG00000037971,XP_015668076.1
ENSMUSG00000048337,XP_015672011.1
ENSMUSG00000025255,XP_015668713.1
ENSMUSG00000025199,XP_015675929.1
ENSMUSG00000039354,XP_015686615.1
ENSMUSG00000032394,XP_029139452.1
ENSMUSG00000024583,XP_015669827.1
ENSMUSG00000047911,XP_029141965.1
ENSMUSG00000038127,XP_015683934.1
ENSMUSG00000027951,XP_015668818.1
ENSMUSG00000029165,XP_029139774.1
ENSMUSG00000036646,XP_029141596.1
ENSMUSG00000043716,XP_015672644.1
ENSMUSG00000061979,XP_015678688.1
ENSMUSG00000048232,XP_015675724.1
ENSMUSG00000045973,XP_015675718.1
ENSMUSG00000039367,XP_015683682.1
ENSMUSG00000029401,XP_015669148.1
ENSMUSG00000038095,XP_015669124.1
ENSMUSG00000022009,XP_015666549.1
ENSMUSG00000022008,XP_015666558.1
ENSMUSG00000044496,XP_015684793.1
ENSMUSG00000060126,XP_015666561.1
ENSMUSG00000031826,XP_015666023.1
ENSMUSG00000029468,XP_015670903.1
ENSMUSG00000059495,XP_015669223.1
ENSMUSG00000040549,XP_015679610.1
ENSMUSG00000039637,XP_015667455.2
ENSMUSG00000047409,XP_015667899.1
ENSMUSG00000024833,XP_015679088.1
ENSMUSG00000043257,XP_029140469.1
ENSMUSG00000079480,XP_015676091.1
ENSMUSG00000055184,XP_015676947.1
ENSMUSG00000079235,XP_029139261.1
ENSMUSG00000075703,XP_015675478.2
ENSMUSG00000038384,XP_015670919.1
ENSMUSG00000063801,XP_015675317.1
ENSMUSG00000024505,XP_015679063.1
ENSMUSG00000019214,XP_015673740.1
ENSMUSG00000029176,XP_029142218.1
ENSMUSG00000020515,XP_015675401.1
ENSMUSG00000031903,XP_015682474.1
ENSMUSG00000060098,XP_015680053.1
ENSMUSG00000030720,XP_015665726.1
ENSMUSG00000021342,XP_015673876.1
ENSMUSG00000021375,XP_029139740.1
ENSMUSG00000020949,XP_015674496.1
ENSMUSG00000033216,XP_015676340.2
ENSMUSG00000019320,XP_015671736.1
ENSMUSG00000026087,XP_015686945.1
ENSMUSG00000030726,XP_029139883.1
ENSMUSG00000022240,XP_015682425.1
ENSMUSG00000028423,XP_015682291.1
ENSMUSG00000070733,XP_015678325.1
ENSMUSG00000062110,XP_015680529.1
ENSMUSG00000024803,XP_015681441.1
ENSMUSG00000026726,XP_029139015.1
ENSMUSG00000030870,XP_015687232.1
ENSMUSG00000026709,XP_015687489.1
ENSMUSG00000029726,XP_015685078.1
ENSMUSG00000039208,XP_015665667.1
ENSMUSG00000021799,XP_029139918.1
ENSMUSG00000070699,XP_029142104.1
ENSMUSG00000056234,XP_015679043.1
ENSMUSG00000001467,XP_015670761.1
ENSMUSG00000033799,XP_029141459.1
ENSMUSG00000024325,XP_015686018.1
ENSMUSG00000024740,XP_015677235.1
ENSMUSG00000048307,XP_015668870.1
ENSMUSG00000047735,XP_029139098.1
ENSMUSG00000003316,XP_015667558.1
ENSMUSG00000045996,XP_015668893.1
ENSMUSG00000030279,XP_029141746.1
ENSMUSG00000078427,XP_015670225.1
ENSMUSG00000039427,XP_015680135.1
ENSMUSG00000021143,XP_029139037.1
ENSMUSG00000003528,XP_015677584.1
ENSMUSG00000036246,XP_029139928.1
ENSMUSG00000029629,XP_029139141.1
ENSMUSG00000054499,XP_015681195.1
ENSMUSG00000001380,XP_015667088.1
ENSMUSG00000044595,XP_015667031.1
ENSMUSG00000029918,XP_015672805.1
ENSMUSG00000032239,XP_015667238.1
ENSMUSG00000020048,XP_015679347.1
ENSMUSG00000015672,XP_015674842.1
ENSMUSG00000020431,XP_015671886.1
ENSMUSG00000009292,XP_015669654.2
ENSMUSG00000033099,XP_015672774.1
ENSMUSG00000021577,XP_029140349.1
ENSMUSG00000035851,XP_015670642.1
