Orthogroup	M_musculus.pep	P_troglodytes.pep
OG0002238	ENSMUSG00000038895.16	ENSPTRG00000010507.4
OG0002239	ENSMUSG00000039840.8, ENSMUSG00000116023.2	ENSPTRG00000009989.6
OG0002240	ENSMUSG00000027286.16	ENSPTRG00000006976.6
OG0002241	ENSMUSG00000027176.8	ENSPTRG00000003485.4
OG0002242	ENSMUSG00000048277.15	ENSPTRG00000033952.3, ENSPTRG00000048739.1
OG0002242	ENSMUSG00000093485.1	ENSPTRG00000043444.1
OG0002243	ENSMUSG00000025498.15	ENSPTRG00000003126.6
OG0002244	ENSMUSG00000110136.1, ENSMUSG00000025484.9	ENSPTRG00000003103.6
OG0002245	ENSMUSG00000090173.8	ENSPTRG00000047516.1, ENSPTRG00000052359.1, ENSPTRG00000044245.1, ENSPTRG00000008859.5
OG0002246	ENSMUSG00000050628.6	ENSPTRG00000009676.5
OG0002246	ENSMUSG00000039568.6	ENSPTRG00000007722.4
OG0002247	ENSMUSG00000020859.16	ENSPTRG00000009414.6
OG0002248	ENSMUSG00000027346.15	ENSPTRG00000051099.1, ENSPTRG00000045775.1, ENSPTRG00000013228.7
OG0002249	ENSMUSG00000048332.13	ENSPTRG00000005804.4
OG0002249	ENSMUSG00000041700.9	ENSPTRG00000022195.4
OG0002250	ENSMUSG00000025878.16	ENSPTRG00000017572.6
OG0002251	ENSMUSG00000021481.11	ENSPTRG00000017573.6
OG0002252	ENSMUSG00000004642.13	ENSPTRG00000015832.4
OG0002253	ENSMUSG00000066861.14, ENSMUSG00000052776.10, ENSMUSG00000029605.16, ENSMUSG00000032623.9, ENSMUSG00000066867.8, ENSMUSG00000001166.17, ENSMUSG00000053765.4, ENSMUSG00000001168.16	ENSPTRG00000005477.6
OG0002254	ENSMUSG00000009828.15	ENSPTRG00000018286.6
OG0002255	ENSMUSG00000054204.6	ENSPTRG00000011606.6
OG0002255	ENSMUSG00000087247.3	ENSPTRG00000024172.4
OG0002256	ENSMUSG00000000441.17	ENSPTRG00000014635.5
OG0002257	ENSMUSG00000028248.15	ENSPTRG00000018442.6
OG0002258	ENSMUSG00000019787.9	ENSPTRG00000018567.6
OG0002259	ENSMUSG00000019797.11	ENSPTRG00000018464.4
OG0002260	ENSMUSG00000030096.8	ENSPTRG00000052720.1, ENSPTRG00000014651.7
OG0002261	ENSMUSG00000001632.16	ENSPTRG00000014592.6
OG0002262	ENSMUSG00000039220.16	ENSPTRG00000017931.6
OG0002263	ENSMUSG00000024436.16	ENSPTRG00000017932.6
OG0002264	ENSMUSG00000024426.17	ENSPTRG00000017933.6
OG0002265	ENSMUSG00000050705.15	ENSPTRG00000017934.7
OG0002266	ENSMUSG00000014426.9	ENSPTRG00000046415.1
OG0002267	ENSMUSG00000024403.16	ENSPTRG00000050741.1
OG0002268	ENSMUSG00000040356.16	ENSPTRG00000017997.5
OG0002269	ENSMUSG00000013787.15	ENSPTRG00000017992.6
OG0002270	ENSMUSG00000019726.12	ENSPTRG00000002134.7
OG0002271	ENSMUSG00000116953.1, ENSMUSG00000116895.1, ENSMUSG00000036552.19	ENSPTRG00000018821.7
OG0002272	ENSMUSG00000116672.1, ENSMUSG00000056133.5, ENSMUSG00000067049.8	ENSPTRG00000018803.6
OG0002273	ENSMUSG00000020460.15	ENSPTRG00000011928.4, ENSPTRG00000023227.5
OG0002274	ENSMUSG00000076861.10	ENSPTRG00000044789.1
OG0002274	ENSMUSG00000076864.9	ENSPTRG00000052728.1, ENSPTRG00000048999.1, ENSPTRG00000046695.1
OG0002275	ENSMUSG00000004677.17	ENSPTRG00000010658.7
OG0002276	ENSMUSG00000073423.10	ENSPTRG00000010427.5
OG0002276	ENSMUSG00000032739.16	ENSPTRG00000010425.4
OG0002277	ENSMUSG00000053391.5, ENSMUSG00000093942.3, ENSMUSG00000095901.2, ENSMUSG00000063230.5, ENSMUSG00000096069.4, ENSMUSG00000060112.4, ENSMUSG00000057997.6, ENSMUSG00000059136.4, ENSMUSG00000066122.6, ENSMUSG00000094819.3	ENSPTRG00000002457.5
OG0002278	ENSMUSG00000040940.18	ENSPTRG00000011039.6
OG0002279	ENSMUSG00000001419.17	ENSPTRG00000001460.7
OG0002280	ENSMUSG00000062006.12	ENSPTRG00000016353.6
OG0002282	ENSMUSG00000026983.10	ENSPTRG00000043228.1
OG0002282	ENSMUSG00000046845.1	ENSPTRG00000012377.5
OG0002282	ENSMUSG00000026981.15	ENSPTRG00000012378.6
OG0002284	ENSMUSG00000076755.2, ENSMUSG00000076754.2, ENSMUSG00000076750.6, ENSMUSG00000076745.4	ENSPTRG00000044691.1, ENSPTRG00000047272.1
OG0002285	ENSMUSG00000052584.10	ENSPTRG00000049445.1
OG0002285	ENSMUSG00000027808.8	ENSPTRG00000015527.5
OG0002286	ENSMUSG00000071337.11	ENSPTRG00000023495.3
OG0002287	ENSMUSG00000078784.8	ENSPTRG00000040206.2, ENSPTRG00000020385.6
OG0002288	ENSMUSG00000049950.6	ENSPTRG00000051932.1, ENSPTRG00000002318.6, ENSPTRG00000045647.1
OG0002289	ENSMUSG00000032293.8	ENSPTRG00000007342.4
OG0002290	ENSMUSG00000040706.4	ENSPTRG00000000202.5
OG0002291	ENSMUSG00000036402.13	ENSPTRG00000048598.1
OG0002291	ENSMUSG00000048240.14	ENSPTRG00000043589.1
OG0002292	ENSMUSG00000074004.3	ENSPTRG00000023606.5
OG0002292	ENSMUSG00000031803.8	ENSPTRG00000010684.4
OG0002293	ENSMUSG00000042306.11	ENSPTRG00000024364.4
OG0002293	ENSMUSG00000042312.9	ENSPTRG00000022794.5
OG0002295	ENSMUSG00000060510.14	ENSPTRG00000040667.2, ENSPTRG00000049136.1, ENSPTRG00000010448.6, ENSPTRG00000010449.4
OG0002295	ENSMUSG00000059475.13, ENSMUSG00000063108.15	ENSPTRG00000010447.5, ENSPTRG00000023219.6
OG0002297	ENSMUSG00000054594.13	ENSPTRG00000011440.5, ENSPTRG00000048476.1
OG0002298	ENSMUSG00000037994.14	ENSPTRG00000016328.6
OG0002298	ENSMUSG00000050150.16	ENSPTRG00000034546.3, ENSPTRG00000016327.6
OG0002299	ENSMUSG00000008435.15	ENSPTRG00000011484.6
OG0002303	ENSMUSG00000090556.5, ENSMUSG00000096477.2, ENSMUSG00000091601.3, ENSMUSG00000056600.4, ENSMUSG00000067186.2	ENSPTRG00000051925.1, ENSPTRG00000049294.1
OG0002320	ENSMUSG00000029720.9, ENSMUSG00000093445.7	ENSPTRG00000049956.1, ENSPTRG00000028467.3
OG0002321	ENSMUSG00000030007.8	ENSPTRG00000012060.6
OG0002322	ENSMUSG00000031781.14	ENSPTRG00000041531.2, ENSPTRG00000008155.6, ENSPTRG00000050341.1
OG0002323	ENSMUSG00000035547.14	ENSPTRG00000049993.1
OG0002324	ENSMUSG00000031776.17	ENSPTRG00000048483.1
OG0002325	ENSMUSG00000015165.16	ENSPTRG00000052392.1, ENSPTRG00000010941.5
OG0002326	ENSMUSG00000017376.15	ENSPTRG00000008904.5
OG0002327	ENSMUSG00000025986.6	ENSPTRG00000012760.6
OG0002328	ENSMUSG00000025980.14	ENSPTRG00000052601.1, ENSPTRG00000044665.1, ENSPTRG00000049884.1, ENSPTRG00000043291.1, ENSPTRG00000045315.1
OG0002329	ENSMUSG00000001482.15	ENSPTRG00000008497.4
OG0002330	ENSMUSG00000024301.10, ENSMUSG00000079553.11	ENSPTRG00000018047.5
OG0002331	ENSMUSG00000006932.17	ENSPTRG00000023062.5
OG0002332	ENSMUSG00000031932.14	ENSPTRG00000004183.4
OG0002333	ENSMUSG00000116359.1	ENSPTRG00000048407.1
OG0002333	ENSMUSG00000032803.15	ENSPTRG00000015409.6
OG0002334	ENSMUSG00000022682.8	ENSPTRG00000007801.5
OG0002335	ENSMUSG00000032726.12, ENSMUSG00000002384.2	ENSPTRG00000000578.6, ENSPTRG00000000572.6
OG0002336	ENSMUSG00000029436.9	ENSPTRG00000005641.6
OG0002337	ENSMUSG00000020471.11	ENSPTRG00000019138.4, ENSPTRG00000046411.1
OG0002339	ENSMUSG00000041560.12	ENSPTRG00000052493.1, ENSPTRG00000043520.1, ENSPTRG00000011215.6
OG0002340	ENSMUSG00000038712.16	ENSPTRG00000001270.6
OG0002341	ENSMUSG00000089865.2, ENSMUSG00000092192.7	ENSPTRG00000007098.6
OG0002342	ENSMUSG00000024054.14	ENSPTRG00000009831.5
OG0002343	ENSMUSG00000026924.17	ENSPTRG00000050333.1
OG0002344	ENSMUSG00000046717.5, ENSMUSG00000031221.7	ENSPTRG00000021990.4, ENSPTRG00000042309.2
OG0002345	ENSMUSG00000059273.9	ENSPTRG00000048581.1, ENSPTRG00000011201.6
OG0002346	ENSMUSG00000040488.17	ENSPTRG00000011002.6
OG0002347	ENSMUSG00000055670.14	ENSPTRG00000008583.3
OG0002348	ENSMUSG00000020063.16	ENSPTRG00000051532.1, ENSPTRG00000002548.6
OG0002349	ENSMUSG00000020064.9	ENSPTRG00000002549.6
OG0002350	ENSMUSG00000049643.15	ENSPTRG00000010993.4
OG0002351	ENSMUSG00000000881.12	ENSPTRG00000021999.4
OG0002352	ENSMUSG00000030583.16	ENSPTRG00000010917.4
OG0002353	ENSMUSG00000021259.5	ENSPTRG00000006713.5
OG0002354	ENSMUSG00000049323.8	ENSPTRG00000008850.5
OG0002355	ENSMUSG00000030557.17	ENSPTRG00000007496.7
OG0002356	ENSMUSG00000020534.14	ENSPTRG00000008851.6, ENSPTRG00000051785.1
OG0002357	ENSMUSG00000027185.15	ENSPTRG00000003494.5
OG0002358	ENSMUSG00000001151.10	ENSPTRG00000014023.6
OG0002359	ENSMUSG00000037469.10	ENSPTRG00000010951.5
OG0002360	ENSMUSG00000022843.17	ENSPTRG00000015692.6
OG0002361	ENSMUSG00000027086.16	ENSPTRG00000012616.6
OG0002362	ENSMUSG00000031168.14	ENSPTRG00000044865.1
OG0002363	ENSMUSG00000031822.20	ENSPTRG00000008429.6
OG0002364	ENSMUSG00000072663.12	ENSPTRG00000016788.6
OG0002365	ENSMUSG00000026915.16	ENSPTRG00000021346.6
OG0002366	ENSMUSG00000011382.8, ENSMUSG00000109926.1	ENSPTRG00000011266.4
OG0002367	ENSMUSG00000074129.14	ENSPTRG00000011298.5, ENSPTRG00000049426.1, ENSPTRG00000051766.1, ENSPTRG00000050666.1
OG0002368	ENSMUSG00000116100.1, ENSMUSG00000022362.13, ENSMUSG00000116094.1, ENSMUSG00000101892.1	ENSPTRG00000020549.7
OG0002369	ENSMUSG00000029518.15	ENSPTRG00000005524.6
OG0002371	ENSMUSG00000004558.15	ENSPTRG00000006110.6
OG0002372	ENSMUSG00000022110.13	ENSPTRG00000047695.1, ENSPTRG00000005859.6
OG0002373	ENSMUSG00000093701.7, ENSMUSG00000022969.13	ENSPTRG00000049058.1, ENSPTRG00000013866.6
OG0002374	ENSMUSG00000044033.16	ENSPTRG00000012693.6
OG0002375	ENSMUSG00000074665.11	ENSPTRG00000013390.5
OG0002375	ENSMUSG00000068008.8	ENSPTRG00000022778.4
OG0002376	ENSMUSG00000004948.12	ENSPTRG00000028525.3, ENSPTRG00000048014.1, ENSPTRG00000019323.6
OG0002377	ENSMUSG00000000088.7	ENSPTRG00000047915.1, ENSPTRG00000048659.1, ENSPTRG00000007289.5
OG0002378	ENSMUSG00000030525.8	ENSPTRG00000006865.4
OG0002379	ENSMUSG00000031201.17	ENSPTRG00000046052.1, ENSPTRG00000044491.1
OG0002380	ENSMUSG00000034088.15	ENSPTRG00000013121.6
OG0002381	ENSMUSG00000020728.17	ENSPTRG00000009555.6
OG0002383	ENSMUSG00000020899.16	ENSPTRG00000008735.4
OG0002384	ENSMUSG00000021248.9	ENSPTRG00000049755.1, ENSPTRG00000052822.1
OG0002385	ENSMUSG00000005802.12, ENSMUSG00000111214.1	ENSPTRG00000007036.4
OG0002386	ENSMUSG00000055067.15	ENSPTRG00000002187.6
OG0002387	ENSMUSG00000027404.15	ENSPTRG00000013176.6
OG0002387	ENSMUSG00000102252.5	ENSPTRG00000006826.7
OG0002388	ENSMUSG00000005442.13	ENSPTRG00000011051.4
OG0002389	ENSMUSG00000028452.7	ENSPTRG00000020900.7
OG0002390	ENSMUSG00000042129.8	ENSPTRG00000002452.6
OG0002390	ENSMUSG00000027339.15	ENSPTRG00000013219.6
OG0002391	ENSMUSG00000066406.16	ENSPTRG00000007414.6
OG0002392	ENSMUSG00000007050.17	ENSPTRG00000017986.7
OG0002393	ENSMUSG00000007030.8	ENSPTRG00000017984.6
OG0002394	ENSMUSG00000052516.19	ENSPTRG00000015117.6
OG0002395	ENSMUSG00000026875.14	ENSPTRG00000021307.4
OG0002396	ENSMUSG00000031766.4	ENSPTRG00000008143.4
OG0002397	ENSMUSG00000024182.16	ENSPTRG00000007537.6
OG0002398	ENSMUSG00000046556.7	ENSPTRG00000031195.2
OG0002399	ENSMUSG00000022097.4	ENSPTRG00000020053.6
OG0002400	ENSMUSG00000006289.14	ENSPTRG00000006092.4
OG0002401	ENSMUSG00000028790.13	ENSPTRG00000000469.7
OG0002402	ENSMUSG00000001017.15	ENSPTRG00000001356.6
OG0002403	ENSMUSG00000048895.13	ENSPTRG00000030892.3
OG0002404	ENSMUSG00000030779.16	ENSPTRG00000007897.6
OG0002405	ENSMUSG00000019854.17	ENSPTRG00000018654.7
OG0002406	ENSMUSG00000020897.12	ENSPTRG00000008731.5, ENSPTRG00000052224.1
OG0002406	ENSMUSG00000070837.5	ENSPTRG00000011547.4
OG0002407	ENSMUSG00000046447.3	ENSPTRG00000000287.4
OG0002407	ENSMUSG00000051146.2	ENSPTRG00000015688.4
OG0002408	ENSMUSG00000026959.13	ENSPTRG00000021594.5
OG0002409	ENSMUSG00000039384.8	ENSPTRG00000002005.5
OG0002410	ENSMUSG00000030138.8	ENSPTRG00000002441.5, ENSPTRG00000047176.1, ENSPTRG00000043199.1, ENSPTRG00000052221.1
OG0002411	ENSMUSG00000019978.16	ENSPTRG00000018597.6
OG0002412	ENSMUSG00000038916.7	ENSPTRG00000018582.5
OG0002413	ENSMUSG00000040430.18	ENSPTRG00000009564.6
OG0002414	ENSMUSG00000051648.13	ENSPTRG00000008226.4
OG0002415	ENSMUSG00000023092.16	ENSPTRG00000043363.1
OG0002415	ENSMUSG00000050035.7	ENSPTRG00000044682.1
OG0002416	ENSMUSG00000061731.9	ENSPTRG00000020526.5
OG0002417	ENSMUSG00000023043.7	ENSPTRG00000051489.1, ENSPTRG00000044139.1, ENSPTRG00000047333.1, ENSPTRG00000004996.4
OG0002419	ENSMUSG00000025544.13	ENSPTRG00000005997.5
OG0002420	ENSMUSG00000028868.13	ENSPTRG00000000408.4, ENSPTRG00000000409.5
OG0002421	ENSMUSG00000035121.6	ENSPTRG00000043716.1, ENSPTRG00000019995.7
OG0002422	ENSMUSG00000070934.6	ENSPTRG00000020798.4
OG0002422	ENSMUSG00000041658.12	ENSPTRG00000021955.5
OG0002423	ENSMUSG00000031951.8	ENSPTRG00000033870.3
OG0002424	ENSMUSG00000032094.8	ENSPTRG00000004339.6
OG0002424	ENSMUSG00000002033.14	ENSPTRG00000004340.5
OG0002425	ENSMUSG00000029095.17	ENSPTRG00000015900.6
OG0002426	ENSMUSG00000047098.18	ENSPTRG00000006197.7
OG0002427	ENSMUSG00000070880.10	ENSPTRG00000012626.7
OG0002428	ENSMUSG00000037993.8	ENSPTRG00000008338.2
OG0002429	ENSMUSG00000029101.16	ENSPTRG00000015856.6
OG0002430	ENSMUSG00000000301.16	ENSPTRG00000008832.6
OG0002431	ENSMUSG00000005417.17	ENSPTRG00000043946.1, ENSPTRG00000008824.6
OG0002432	ENSMUSG00000116271.1, ENSMUSG00000037106.8	ENSPTRG00000034198.3
OG0002433	ENSMUSG00000037119.4, ENSMUSG00000116351.1	ENSPTRG00000046494.1, ENSPTRG00000051930.1, ENSPTRG00000020560.6
OG0002435	ENSMUSG00000011306.7	ENSPTRG00000010737.6
OG0002436	ENSMUSG00000049036.7	ENSPTRG00000044299.1
OG0002437	ENSMUSG00000026567.16	ENSPTRG00000001638.7
OG0002438	ENSMUSG00000039103.12	ENSPTRG00000000886.7
OG0002439	ENSMUSG00000028717.12	ENSPTRG00000051380.1
OG0002440	ENSMUSG00000029056.13	ENSPTRG00000000052.5, ENSPTRG00000048145.1
OG0002441	ENSMUSG00000003848.14	ENSPTRG00000008285.5
OG0002442	ENSMUSG00000026824.11	ENSPTRG00000012547.3
OG0002443	ENSMUSG00000005677.14	ENSPTRG00000001582.6
OG0002443	ENSMUSG00000022809.4	ENSPTRG00000015263.6
OG0002444	ENSMUSG00000042709.15	ENSPTRG00000008840.4
OG0002445	ENSMUSG00000033047.5	ENSPTRG00000014352.6
OG0002446	ENSMUSG00000071708.11	ENSPTRG00000044028.1, ENSPTRG00000050587.1, ENSPTRG00000047992.1
OG0002447	ENSMUSG00000033458.17	ENSPTRG00000006854.5
OG0002448	ENSMUSG00000028557.10	ENSPTRG00000041089.2
OG0002449	ENSMUSG00000001666.8	ENSPTRG00000051494.1, ENSPTRG00000047543.1
OG0002450	ENSMUSG00000020841.5	ENSPTRG00000008961.5
OG0002451	ENSMUSG00000003813.15	ENSPTRG00000010552.4
OG0002452	ENSMUSG00000031788.14	ENSPTRG00000008167.5
OG0002453	ENSMUSG00000032066.9	ENSPTRG00000023726.6
OG0002454	ENSMUSG00000022032.14	ENSPTRG00000020113.6
OG0002455	ENSMUSG00000000167.14	ENSPTRG00000004280.4
OG0002456	ENSMUSG00000022299.9, ENSMUSG00000107007.3	ENSPTRG00000020492.5
OG0002457	ENSMUSG00000032231.14	ENSPTRG00000020865.6, ENSPTRG00000007132.5, ENSPTRG00000043478.1, ENSPTRG00000047641.1
OG0002458	ENSMUSG00000063952.16	ENSPTRG00000024347.5
OG0002459	ENSMUSG00000021124.13	ENSPTRG00000006468.6, ENSPTRG00000046766.1
OG0002460	ENSMUSG00000030120.14	ENSPTRG00000004587.3
OG0002461	ENSMUSG00000009621.18	ENSPTRG00000021525.7
OG0002462	ENSMUSG00000026853.15	ENSPTRG00000048224.1, ENSPTRG00000021452.6
OG0002463	ENSMUSG00000115987.1	ENSPTRG00000047275.1, ENSPTRG00000020701.6
OG0002464	ENSMUSG00000095567.8	ENSPTRG00000050461.1, ENSPTRG00000050965.1, ENSPTRG00000022530.4
OG0002465	ENSMUSG00000022565.15	ENSPTRG00000020672.6
OG0002466	ENSMUSG00000040511.14	ENSPTRG00000011119.6
OG0002466	ENSMUSG00000062300.14	ENSPTRG00000011125.6
OG0002468	ENSMUSG00000073982.11	ENSPTRG00000028742.3
OG0002469	ENSMUSG00000073434.12	ENSPTRG00000007549.6
OG0002470	ENSMUSG00000022487.14	ENSPTRG00000005041.6
OG0002471	ENSMUSG00000102976.6, ENSMUSG00000116275.1	ENSPTRG00000001876.6
OG0002472	ENSMUSG00000023806.10, ENSMUSG00000073471.3	ENSPTRG00000018751.6
OG0002474	ENSMUSG00000047502.14	ENSPTRG00000000773.6
OG0002474	ENSMUSG00000074627.11	ENSPTRG00000013470.7
OG0002475	ENSMUSG00000072720.9	ENSPTRG00000046234.1
OG0002476	ENSMUSG00000027601.13	ENSPTRG00000020299.5
OG0002477	ENSMUSG00000036270.16	ENSPTRG00000008249.7
OG0002478	ENSMUSG00000067567.12	ENSPTRG00000051531.1
OG0002479	ENSMUSG00000051065.9	ENSPTRG00000043316.1
OG0002480	ENSMUSG00000030598.15	ENSPTRG00000052313.1
OG0002480	ENSMUSG00000037463.14	ENSPTRG00000010950.3
OG0002481	ENSMUSG00000029714.11	ENSPTRG00000044127.1, ENSPTRG00000019503.5
OG0002482	ENSMUSG00000024589.18	ENSPTRG00000010051.6
OG0002483	ENSMUSG00000022035.6	ENSPTRG00000044983.1, ENSPTRG00000020109.6
OG0002484	ENSMUSG00000015750.15	ENSPTRG00000001250.7
OG0002485	ENSMUSG00000032038.7	ENSPTRG00000004461.7
OG0002486	ENSMUSG00000025925.14	ENSPTRG00000043869.1, ENSPTRG00000044451.1, ENSPTRG00000048018.1, ENSPTRG00000043149.1, ENSPTRG00000022919.6
OG0002487	ENSMUSG00000079658.9	ENSPTRG00000045560.1, ENSPTRG00000047164.1
OG0002488	ENSMUSG00000031755.6	ENSPTRG00000008133.5
OG0002489	ENSMUSG00000034235.17	ENSPTRG00000002632.6
OG0002490	ENSMUSG00000037098.18	ENSPTRG00000007543.6
OG0002491	ENSMUSG00000101678.3, ENSMUSG00000106864.3	ENSPTRG00000011763.6
OG0002492	ENSMUSG00000037013.17	ENSPTRG00000009931.5
OG0002493	ENSMUSG00000022863.15	ENSPTRG00000013797.6
OG0002494	ENSMUSG00000031556.6	ENSPTRG00000042247.2
OG0002495	ENSMUSG00000092212.3, ENSMUSG00000074028.4	ENSPTRG00000014756.4
OG0002496	ENSMUSG00000022561.13	ENSPTRG00000020678.6
OG0002497	ENSMUSG00000098301.6, ENSMUSG00000018379.17	ENSPTRG00000049077.1
OG0002498	ENSMUSG00000027466.15	ENSPTRG00000013144.7
OG0002499	ENSMUSG00000032840.7	ENSPTRG00000005500.4
OG0002500	ENSMUSG00000053286.11	ENSPTRG00000001776.6
OG0002501	ENSMUSG00000024087.4	ENSPTRG00000011843.4
OG0002502	ENSMUSG00000032743.15	ENSPTRG00000007917.6
OG0002503	ENSMUSG00000034623.14	ENSPTRG00000019975.4
OG0002504	ENSMUSG00000004655.5	ENSPTRG00000019047.6
OG0002505	ENSMUSG00000038264.8	ENSPTRG00000007275.4
OG0002506	ENSMUSG00000056608.14	ENSPTRG00000008113.6
OG0002507	ENSMUSG00000009549.14	ENSPTRG00000050411.1, ENSPTRG00000006911.4
OG0002508	ENSMUSG00000026435.15	ENSPTRG00000001903.3
OG0002509	ENSMUSG00000030744.13	ENSPTRG00000048574.1, ENSPTRG00000015680.5, ENSPTRG00000047655.1, ENSPTRG00000047374.1
OG0002510	ENSMUSG00000029475.17	ENSPTRG00000005560.6
OG0002511	ENSMUSG00000099481.6	ENSPTRG00000023860.4
OG0002512	ENSMUSG00000039105.6	ENSPTRG00000021290.5
OG0002513	ENSMUSG00000022214.15	ENSPTRG00000006192.6
OG0002514	ENSMUSG00000043923.8	ENSPTRG00000004360.3
OG0002515	ENSMUSG00000083649.5	ENSPTRG00000046852.1
OG0002515	ENSMUSG00000029430.13, ENSMUSG00000028287.4	ENSPTRG00000005636.5
OG0002516	ENSMUSG00000020184.15	ENSPTRG00000005203.7
OG0002517	ENSMUSG00000020630.9	ENSPTRG00000043403.1, ENSPTRG00000011614.4
OG0002518	ENSMUSG00000048410.17	ENSPTRG00000010117.6
OG0002519	ENSMUSG00000001566.9	ENSPTRG00000019918.6
OG0002520	ENSMUSG00000022721.19, ENSMUSG00000098930.9	ENSPTRG00000014074.6
OG0002521	ENSMUSG00000031898.9	ENSPTRG00000008256.5
OG0002521	ENSMUSG00000053687.15, ENSMUSG00000115067.1	ENSPTRG00000008257.6
OG0002523	ENSMUSG00000010342.16	ENSPTRG00000009457.6
OG0002524	ENSMUSG00000021149.8	ENSPTRG00000002236.6
OG0002525	ENSMUSG00000024027.8	ENSPTRG00000018131.4
OG0002526	ENSMUSG00000006711.15	ENSPTRG00000017777.6
OG0002527	ENSMUSG00000058258.14	ENSPTRG00000002239.4
OG0002528	ENSMUSG00000026869.12	ENSPTRG00000021305.7
OG0002529	ENSMUSG00000028873.16	ENSPTRG00000000552.3
OG0002530	ENSMUSG00000052934.14	ENSPTRG00000008444.6
OG0002531	ENSMUSG00000023909.4	ENSPTRG00000040616.2
OG0002532	ENSMUSG00000035597.19	ENSPTRG00000006304.7
OG0002533	ENSMUSG00000010086.17	ENSPTRG00000052164.1
OG0002535	ENSMUSG00000038271.17	ENSPTRG00000004578.6
OG0002536	ENSMUSG00000024238.15	ENSPTRG00000002404.7
OG0002537	ENSMUSG00000022272.17	ENSPTRG00000016745.6
OG0002538	ENSMUSG00000029148.15	ENSPTRG00000011769.6
OG0002539	ENSMUSG00000003382.18	ENSPTRG00000049741.1
OG0002540	ENSMUSG00000039198.8	ENSPTRG00000002383.4
OG0002541	ENSMUSG00000042043.6	ENSPTRG00000049061.1, ENSPTRG00000039221.2, ENSPTRG00000017013.3
OG0002542	ENSMUSG00000036782.13	ENSPTRG00000044070.1
OG0002542	ENSMUSG00000070923.4	ENSPTRG00000022846.4
OG0002543	ENSMUSG00000044229.9	ENSPTRG00000004308.6
OG0002543	ENSMUSG00000032028.15	ENSPTRG00000004307.3, ENSPTRG00000028394.4
OG0002544	ENSMUSG00000029036.18	ENSPTRG00000000033.5, ENSPTRG00000044190.1, ENSPTRG00000000031.6
OG0002545	ENSMUSG00000028329.13	ENSPTRG00000021168.4
OG0002546	ENSMUSG00000028332.13	ENSPTRG00000021171.3
OG0002547	ENSMUSG00000038187.14	ENSPTRG00000048652.1, ENSPTRG00000003377.5
OG0002548	ENSMUSG00000026712.3	ENSPTRG00000002336.3
OG0002549	ENSMUSG00000048612.16	ENSPTRG00000002765.6
OG0002550	ENSMUSG00000037197.11	ENSPTRG00000051854.1, ENSPTRG00000002265.6
OG0002551	ENSMUSG00000073639.6	ENSPTRG00000002384.7
OG0002552	ENSMUSG00000027195.10	ENSPTRG00000048763.1, ENSPTRG00000003522.6
OG0002553	ENSMUSG00000023883.13	ENSPTRG00000018819.5, ENSPTRG00000048785.1
OG0002554	ENSMUSG00000030751.18	ENSPTRG00000003385.6
OG0002555	ENSMUSG00000066151.11	ENSPTRG00000021271.3
OG0002556	ENSMUSG00000012428.9	ENSPTRG00000051066.1, ENSPTRG00000019377.6
OG0002557	ENSMUSG00000015652.9	ENSPTRG00000051985.1, ENSPTRG00000019381.2, ENSPTRG00000049287.1, ENSPTRG00000051768.1
OG0002558	ENSMUSG00000029763.17	ENSPTRG00000019712.6
OG0002559	ENSMUSG00000040464.15	ENSPTRG00000019384.7, ENSPTRG00000048897.1
OG0002560	ENSMUSG00000057230.14	ENSPTRG00000012018.6
OG0002561	ENSMUSG00000027680.15	ENSPTRG00000015656.6
OG0002562	ENSMUSG00000027677.17	ENSPTRG00000015652.6
OG0002563	ENSMUSG00000030980.17	ENSPTRG00000048629.1, ENSPTRG00000051787.1, ENSPTRG00000046575.1, ENSPTRG00000007836.5
OG0002564	ENSMUSG00000019179.10	ENSPTRG00000019316.4
OG0002565	ENSMUSG00000057280.15	ENSPTRG00000021248.7
OG0002566	ENSMUSG00000035561.5	ENSPTRG00000020956.2
OG0002566	ENSMUSG00000029455.14	ENSPTRG00000005463.5
OG0002567	ENSMUSG00000045078.12	ENSPTRG00000048429.1, ENSPTRG00000018894.6
OG0002568	ENSMUSG00000021281.15	ENSPTRG00000006749.4
OG0002569	ENSMUSG00000024277.14	ENSPTRG00000009965.3
OG0002570	ENSMUSG00000007987.12	ENSPTRG00000046790.1, ENSPTRG00000019528.5
OG0002571	ENSMUSG00000032757.6	ENSPTRG00000048482.1, ENSPTRG00000049050.1, ENSPTRG00000052163.1
OG0002572	ENSMUSG00000076939.2	ENSPTRG00000049615.1, ENSPTRG00000050151.1
OG0002573	ENSMUSG00000043432.7	ENSPTRG00000011460.5, ENSPTRG00000050721.1
OG0002574	ENSMUSG00000030428.16	ENSPTRG00000051064.1, ENSPTRG00000011458.5
OG0002575	ENSMUSG00000027879.9	ENSPTRG00000046704.1
OG0002576	ENSMUSG00000040170.13	ENSPTRG00000001672.5
OG0002577	ENSMUSG00000024663.20	ENSPTRG00000003755.5
OG0002578	ENSMUSG00000029754.13	ENSPTRG00000019425.5
OG0002579	ENSMUSG00000032172.8	ENSPTRG00000010453.4
OG0002580	ENSMUSG00000060860.8	ENSPTRG00000011507.4, ENSPTRG00000042884.1, ENSPTRG00000048409.1
