Orthogroup	M_musculus.pep	G_gallus.pep
OG0001430	ENSMUSG00000025037.6	ENSGALG00000016224.6
OG0001430	ENSMUSG00000040147.14	ENSGALG00000032836.2
OG0001431	ENSMUSG00000055782.9	ENSGALG00000042554.2
OG0001432	ENSMUSG00000047215.14, ENSMUSG00000062456.4, ENSMUSG00000081906.2	ENSGALG00000000150.7
OG0001433	ENSMUSG00000023764.18	ENSGALG00000051488.1
OG0001434	ENSMUSG00000010803.13	ENSGALG00000001698.6
OG0001434	ENSMUSG00000000560.9	ENSGALG00000014206.6
OG0001435	ENSMUSG00000042035.11	ENSGALG00000036738.2
OG0001436	ENSMUSG00000022658.10	ENSGALG00000015379.7
OG0001436	ENSMUSG00000026547.15	ENSGALG00000036086.3
OG0001438	ENSMUSG00000042258.13	ENSGALG00000014884.6
OG0001438	ENSMUSG00000032318.12	ENSGALG00000033391.3
OG0001439	ENSMUSG00000004929.12	ENSGALG00000041934.3
OG0001439	ENSMUSG00000021710.11	ENSGALG00000014769.6
OG0001441	ENSMUSG00000021456.8	ENSGALG00000012612.6
OG0001441	ENSMUSG00000069805.10	ENSGALG00000012613.6
OG0001442	ENSMUSG00000021546.18	ENSGALG00000040086.3, ENSGALG00000012591.7
OG0001443	ENSMUSG00000024921.17	ENSGALG00000010164.5
OG0001443	ENSMUSG00000032187.16	ENSGALG00000047145.1
OG0001444	ENSMUSG00000040929.17	ENSGALG00000010179.6
OG0001444	ENSMUSG00000024206.15	ENSGALG00000001773.6
OG0001445	ENSMUSG00000021010.8	ENSGALG00000029022.4
OG0001446	ENSMUSG00000054160.2	ENSGALG00000035835.2
OG0001446	ENSMUSG00000001496.15	ENSGALG00000037632.3
OG0001447	ENSMUSG00000041219.14	ENSGALG00000009731.7
OG0001449	ENSMUSG00000091519.1	ENSGALG00000051844.1
OG0001449	ENSMUSG00000022245.15	ENSGALG00000045544.2
OG0001450	ENSMUSG00000096847.2	ENSGALG00000010169.5
OG0001451	ENSMUSG00000045631.10	ENSGALG00000036550.2
OG0001452	ENSMUSG00000035804.5, ENSMUSG00000000215.11	ENSGALG00000006552.6
OG0001453	ENSMUSG00000018736.14	ENSGALG00000001163.7
OG0001454	ENSMUSG00000033364.13, ENSMUSG00000055780.10, ENSMUSG00000051527.11	ENSGALG00000011427.6
OG0001456	ENSMUSG00000026197.12	ENSGALG00000029226.3
OG0001456	ENSMUSG00000053581.13	ENSGALG00000003122.6
OG0001457	ENSMUSG00000020334.6	ENSGALG00000035026.2
OG0001457	ENSMUSG00000063652.10, ENSMUSG00000018900.7	ENSGALG00000036920.2
OG0001458	ENSMUSG00000026301.16, ENSMUSG00000038199.12	ENSGALG00000003980.7
OG0001459	ENSMUSG00000074604.9	ENSGALG00000009803.6
OG0001460	ENSMUSG00000029992.14	ENSGALG00000036391.3
OG0001460	ENSMUSG00000020363.6	ENSGALG00000039705.2
OG0001461	ENSMUSG00000112814.1, ENSMUSG00000112419.1, ENSMUSG00000112495.1, ENSMUSG00000112781.1, ENSMUSG00000112027.1, ENSMUSG00000112919.1, ENSMUSG00000112252.1, ENSMUSG00000112216.1, ENSMUSG00000023932.9	ENSGALG00000016704.6
OG0001463	ENSMUSG00000046753.10	ENSGALG00000005450.6
OG0001464	ENSMUSG00000030061.16	ENSGALG00000013410.6
OG0001468	ENSMUSG00000000579.14, ENSMUSG00000096255.2, ENSMUSG00000092074.2, ENSMUSG00000095677.2	ENSGALG00000019979.5
OG0001469	ENSMUSG00000024369.16	ENSGALG00000045676.2
OG0001470	ENSMUSG00000038045.14	ENSGALG00000046375.2
OG0001473	ENSMUSG00000020698.11, ENSMUSG00000029447.11	ENSGALG00000002448.5
OG0001474	ENSMUSG00000002059.18	ENSGALG00000026315.4
OG0001474	ENSMUSG00000020175.15	ENSGALG00000006710.6
OG0001477	ENSMUSG00000039830.9	ENSGALG00000031010.2
OG0001478	ENSMUSG00000018339.11, ENSMUSG00000004341.8, ENSMUSG00000004344.12	ENSGALG00000004521.6
OG0001494	ENSMUSG00000006270.7	ENSGALG00000009261.7
OG0001495	ENSMUSG00000031818.12	ENSGALG00000005749.6
OG0001497	ENSMUSG00000110974.1, ENSMUSG00000071076.6	ENSGALG00000043641.2
OG0001497	ENSMUSG00000052684.4	ENSGALG00000010870.7
OG0001500	ENSMUSG00000026072.12	ENSGALG00000043044.2
OG0001500	ENSMUSG00000070942.8	ENSGALG00000030526.2
OG0001503	ENSMUSG00000020902.12	ENSGALG00000023626.4
OG0001504	ENSMUSG00000004885.5	ENSGALG00000029140.3
OG0001504	ENSMUSG00000032291.8	ENSGALG00000003193.7
OG0001505	ENSMUSG00000028996.9	ENSGALG00000002637.6
OG0001505	ENSMUSG00000032454.9	ENSGALG00000005327.6
OG0001506	ENSMUSG00000064138.14	ENSGALG00000014661.7
OG0001507	ENSMUSG00000060261.15	ENSGALG00000021665.5, ENSGALG00000048401.1
OG0001508	ENSMUSG00000023067.14	ENSGALG00000028318.3
OG0001509	ENSMUSG00000031209.14	ENSGALG00000037410.2
OG0001509	ENSMUSG00000031936.9	ENSGALG00000043027.3
OG0001510	ENSMUSG00000035530.13, ENSMUSG00000006941.5	ENSGALG00000038646.3
OG0001512	ENSMUSG00000030043.11	ENSGALG00000036638.3
OG0001513	ENSMUSG00000079657.10	ENSGALG00000032418.3
OG0001514	ENSMUSG00000041375.18	ENSGALG00000047981.1
OG0001515	ENSMUSG00000052833.9	ENSGALG00000048152.1
OG0001517	ENSMUSG00000027243.8	ENSGALG00000008354.5
OG0001518	ENSMUSG00000022076.10	ENSGALG00000016907.5
OG0001518	ENSMUSG00000025597.13	ENSGALG00000006877.6
OG0001519	ENSMUSG00000027416.2	ENSGALG00000008732.2
OG0001520	ENSMUSG00000040514.6	ENSGALG00000005938.7
OG0001521	ENSMUSG00000037965.14	ENSGALG00000003143.6
OG0001522	ENSMUSG00000003546.10	ENSGALG00000030384.2
OG0001523	ENSMUSG00000059743.12	ENSGALG00000028880.4
OG0001524	ENSMUSG00000026473.16	ENSGALG00000043754.2
OG0001525	ENSMUSG00000039676.4	ENSGALG00000013376.6
OG0001526	ENSMUSG00000036371.6	ENSGALG00000011229.7
OG0001528	ENSMUSG00000030268.17	ENSGALG00000013177.6
OG0001530	ENSMUSG00000025656.17	ENSGALG00000007608.6
OG0001531	ENSMUSG00000059708.12	ENSGALG00000008689.7
OG0001532	ENSMUSG00000028148.11, ENSMUSG00000028145.9	ENSGALG00000026039.4
OG0001533	ENSMUSG00000048537.16	ENSGALG00000040030.2
OG0001534	ENSMUSG00000034109.15	ENSGALG00000045246.2
OG0001535	ENSMUSG00000025735.13	ENSGALG00000028345.3
OG0001535	ENSMUSG00000017692.8	ENSGALG00000003426.6
OG0001536	ENSMUSG00000020612.16	ENSGALG00000004237.7
OG0001536	ENSMUSG00000025855.13	ENSGALG00000003675.7
OG0001537	ENSMUSG00000030022.14	ENSGALG00000041750.2
OG0001537	ENSMUSG00000022449.14	ENSGALG00000009572.6
OG0001538	ENSMUSG00000018648.15	ENSGALG00000027641.3
OG0001539	ENSMUSG00000022382.15	ENSGALG00000036255.2
OG0001539	ENSMUSG00000030093.7	ENSGALG00000005123.6
OG0001540	ENSMUSG00000030543.10, ENSMUSG00000030544.5	ENSGALG00000026467.2, ENSGALG00000008275.5
OG0001541	ENSMUSG00000010453.12	ENSGALG00000014540.6
OG0001542	ENSMUSG00000022003.7	ENSGALG00000016979.6
OG0001544	ENSMUSG00000046598.15	ENSGALG00000006947.7
OG0001547	ENSMUSG00000038319.14	ENSGALG00000042836.2
OG0001547	ENSMUSG00000059742.10	ENSGALG00000038543.2
OG0001548	ENSMUSG00000026254.17	ENSGALG00000007919.6
OG0001549	ENSMUSG00000022822.16	ENSGALG00000008369.6
OG0001550	ENSMUSG00000039601.16	ENSGALG00000016709.6
OG0001550	ENSMUSG00000059713.12	ENSGALG00000004282.4
OG0001551	ENSMUSG00000046922.7, ENSMUSG00000049649.8	ENSGALG00000015068.6
OG0001552	ENSMUSG00000030533.16	ENSGALG00000029714.2
OG0001553	ENSMUSG00000001415.10	ENSGALG00000029918.2, ENSGALG00000049544.1
OG0001554	ENSMUSG00000054850.4	ENSGALG00000007133.6
OG0001555	ENSMUSG00000000804.14	ENSGALG00000005350.6
OG0001556	ENSMUSG00000018501.17	ENSGALG00000004477.6, ENSGALG00000052725.1
OG0001558	ENSMUSG00000020716.16	ENSGALG00000005660.6
OG0001559	ENSMUSG00000033487.14	ENSGALG00000017002.6
OG0001560	ENSMUSG00000032093.7	ENSGALG00000007416.6
OG0001561	ENSMUSG00000022803.12	ENSGALG00000014988.7
OG0001562	ENSMUSG00000070544.6	ENSGALG00000003681.6
OG0001562	ENSMUSG00000000934.9	ENSGALG00000029572.2
OG0001564	ENSMUSG00000101725.6	ENSGALG00000052041.1, ENSGALG00000050905.1, ENSGALG00000053504.1
OG0001565	ENSMUSG00000051391.9	ENSGALG00000017358.6
OG0001565	ENSMUSG00000018965.11	ENSGALG00000006743.2
OG0001566	ENSMUSG00000046808.17	ENSGALG00000014192.5
OG0001566	ENSMUSG00000055415.8	ENSGALG00000001662.5
OG0001567	ENSMUSG00000025482.11	ENSGALG00000048776.1, ENSGALG00000037051.3, ENSGALG00000033320.3
OG0001568	ENSMUSG00000024309.15	ENSGALG00000048705.1
OG0001569	ENSMUSG00000018932.9	ENSGALG00000041285.2
OG0001569	ENSMUSG00000020623.11	ENSGALG00000004370.7
OG0001570	ENSMUSG00000028367.5	ENSGALG00000015704.6
OG0001571	ENSMUSG00000111647.2, ENSMUSG00000003531.15	ENSGALG00000027369.4
OG0001573	ENSMUSG00000061589.14	ENSGALG00000000843.6
OG0001575	ENSMUSG00000029603.15	ENSGALG00000027897.3
OG0001575	ENSMUSG00000039982.8	ENSGALG00000010835.5
OG0001576	ENSMUSG00000029596.13	ENSGALG00000008317.6
OG0001577	ENSMUSG00000039018.15	ENSGALG00000003549.7
OG0001578	ENSMUSG00000047187.9	ENSGALG00000015450.5
OG0001579	ENSMUSG00000024518.4	ENSGALG00000033279.2
OG0001580	ENSMUSG00000021047.7	ENSGALG00000009850.7
OG0001581	ENSMUSG00000098559.1, ENSMUSG00000031320.9	ENSGALG00000004831.6
OG0001582	ENSMUSG00000048001.7	ENSGALG00000001141.6
OG0001583	ENSMUSG00000048540.8	ENSGALG00000033432.3
OG0001583	ENSMUSG00000051251.3	ENSGALG00000025817.2
OG0001584	ENSMUSG00000039048.15	ENSGALG00000046347.2
OG0001585	ENSMUSG00000035200.7	ENSGALG00000003005.6
OG0001585	ENSMUSG00000027950.7	ENSGALG00000002707.7
OG0001586	ENSMUSG00000021790.12, ENSMUSG00000021791.7	ENSGALG00000002432.5
OG0001587	ENSMUSG00000027978.9	ENSGALG00000012004.5
OG0001588	ENSMUSG00000031586.17	ENSGALG00000010291.6
OG0001588	ENSMUSG00000032387.15	ENSGALG00000030988.2
OG0001589	ENSMUSG00000001334.9	ENSGALG00000003567.6
OG0001589	ENSMUSG00000038552.14	ENSGALG00000016507.5
OG0001590	ENSMUSG00000020635.8	ENSGALG00000016500.6
OG0001591	ENSMUSG00000056426.3, ENSMUSG00000025588.4, ENSMUSG00000051147.10	ENSGALG00000005473.6, ENSGALG00000005472.5, ENSGALG00000005474.3
OG0001592	ENSMUSG00000022210.7, ENSMUSG00000022209.12	ENSGALG00000029624.2
OG0001593	ENSMUSG00000032265.14	ENSGALG00000035903.2
OG0001594	ENSMUSG00000031667.16	ENSGALG00000033378.3
OG0001595	ENSMUSG00000005873.6	ENSGALG00000023157.5
OG0001596	ENSMUSG00000016528.10	ENSGALG00000000883.6
OG0001596	ENSMUSG00000032577.16	ENSGALG00000002283.7
OG0001598	ENSMUSG00000044469.8	ENSGALG00000004266.5
OG0001598	ENSMUSG00000062210.13	ENSGALG00000027761.3
OG0001599	ENSMUSG00000009927.9	ENSGALG00000007699.7
OG0001600	ENSMUSG00000032114.9	ENSGALG00000007716.5
OG0001601	ENSMUSG00000024381.16	ENSGALG00000011541.6
OG0001602	ENSMUSG00000024283.15	ENSGALG00000035281.2
OG0001603	ENSMUSG00000026739.13	ENSGALG00000041267.2
OG0001604	ENSMUSG00000015247.10, ENSMUSG00000015242.14	ENSGALG00000027334.4
OG0001605	ENSMUSG00000033774.4	ENSGALG00000015261.7
OG0001606	ENSMUSG00000006526.13	ENSGALG00000001720.5
OG0001607	ENSMUSG00000033671.18	ENSGALG00000003955.6, ENSGALG00000053422.1
OG0001608	ENSMUSG00000062432.4	ENSGALG00000043213.2
OG0001608	ENSMUSG00000063415.12	ENSGALG00000016102.6
OG0001610	ENSMUSG00000009291.13	ENSGALG00000005675.6, ENSGALG00000009044.6
OG0001611	ENSMUSG00000042688.16	ENSGALG00000031448.2
OG0001612	ENSMUSG00000074890.4	ENSGALG00000017333.6
OG0001613	ENSMUSG00000026749.11	ENSGALG00000001118.6
OG0001613	ENSMUSG00000026393.10	ENSGALG00000002216.6
OG0001614	ENSMUSG00000024524.17	ENSGALG00000013785.6
OG0001615	ENSMUSG00000025348.9	ENSGALG00000035879.2
OG0001616	ENSMUSG00000020684.14	ENSGALG00000002086.6
OG0001617	ENSMUSG00000079547.4, ENSMUSG00000037548.15	ENSGALG00000038393.3, ENSGALG00000000162.6
OG0001618	ENSMUSG00000039046.15	ENSGALG00000035563.2
OG0001619	ENSMUSG00000037570.16	ENSGALG00000035203.3
OG0001620	ENSMUSG00000024064.14	ENSGALG00000009078.6
OG0001620	ENSMUSG00000021130.8	ENSGALG00000009452.6
OG0001622	ENSMUSG00000006134.4	ENSGALG00000006390.7
OG0001623	ENSMUSG00000029614.13	ENSGALG00000004818.7
OG0001624	ENSMUSG00000051703.14	ENSGALG00000018803.6
OG0001626	ENSMUSG00000002588.13, ENSMUSG00000032667.17, ENSMUSG00000029759.9	ENSGALG00000009689.7
OG0001627	ENSMUSG00000026560.13, ENSMUSG00000028088.14	ENSGALG00000003022.5
OG0001628	ENSMUSG00000034829.8	ENSGALG00000038506.2
OG0001628	ENSMUSG00000021396.5	ENSGALG00000026598.4
OG0001629	ENSMUSG00000029571.14	ENSGALG00000035140.2
OG0001630	ENSMUSG00000028744.15	ENSGALG00000033204.2
OG0001631	ENSMUSG00000030177.14	ENSGALG00000012987.6
OG0001632	ENSMUSG00000024346.6	ENSGALG00000000946.6
OG0001633	ENSMUSG00000029836.15	ENSGALG00000011038.6
OG0001634	ENSMUSG00000038507.6	ENSGALG00000034511.2, ENSGALG00000013911.6
OG0001635	ENSMUSG00000038496.16	ENSGALG00000021092.6, ENSGALG00000003025.6
OG0001636	ENSMUSG00000057716.7	ENSGALG00000028444.3
OG0001637	ENSMUSG00000037649.10	ENSGALG00000000158.6
OG0001638	ENSMUSG00000112241.1	ENSGALG00000032783.2
OG0001638	ENSMUSG00000020738.16	ENSGALG00000007971.6
OG0001639	ENSMUSG00000081225.3, ENSMUSG00000082932.3, ENSMUSG00000066097.6, ENSMUSG00000081362.3, ENSMUSG00000015224.10, ENSMUSG00000028571.15, ENSMUSG00000052520.7, ENSMUSG00000052914.4	ENSGALG00000052676.1, ENSGALG00000011394.6, ENSGALG00000051992.1, ENSGALG00000011413.6
OG0001640	ENSMUSG00000026255.15	ENSGALG00000001428.6
OG0001640	ENSMUSG00000040659.3	ENSGALG00000038313.2
OG0001641	ENSMUSG00000039629.14	ENSGALG00000038520.2
OG0001642	ENSMUSG00000041245.13, ENSMUSG00000035112.17	ENSGALG00000032191.3
OG0001643	ENSMUSG00000020015.10	ENSGALG00000011456.6
OG0001644	ENSMUSG00000020713.6	ENSGALG00000000249.7
OG0001645	ENSMUSG00000028539.14	ENSGALG00000032098.2
OG0001646	ENSMUSG00000068173.12, ENSMUSG00000098348.7, ENSMUSG00000036478.8	ENSGALG00000011276.5
OG0001647	ENSMUSG00000064373.12	ENSGALG00000014857.6
OG0001648	ENSMUSG00000019916.14	ENSGALG00000004325.7
OG0001650	ENSMUSG00000018412.16	ENSGALG00000000603.6
OG0001651	ENSMUSG00000020186.7	ENSGALG00000029921.3
OG0001651	ENSMUSG00000026421.14	ENSGALG00000000318.5
OG0001652	ENSMUSG00000021779.17	ENSGALG00000011294.7
OG0001653	ENSMUSG00000062859.15, ENSMUSG00000058252.6	ENSGALG00000002692.6
OG0001654	ENSMUSG00000045128.9	ENSGALG00000049865.1
OG0001655	ENSMUSG00000022451.12	ENSGALG00000009595.6
OG0001655	ENSMUSG00000023277.13	ENSGALG00000003977.6
OG0001656	ENSMUSG00000047696.16, ENSMUSG00000079324.11, ENSMUSG00000007827.10	ENSGALG00000009104.6
OG0001657	ENSMUSG00000022961.18	ENSGALG00000052354.1
OG0001658	ENSMUSG00000029209.15	ENSGALG00000014210.7
OG0001658	ENSMUSG00000052102.15	ENSGALG00000040594.3
OG0001659	ENSMUSG00000029227.15	ENSGALG00000013943.6
OG0001660	ENSMUSG00000061974.2, ENSMUSG00000038064.7	ENSGALG00000006926.5, ENSGALG00000010662.5
OG0001661	ENSMUSG00000056947.5	ENSGALG00000045052.2
OG0001662	ENSMUSG00000063457.14	ENSGALG00000015195.6
OG0001663	ENSMUSG00000037815.7	ENSGALG00000002447.6
OG0001663	ENSMUSG00000063063.12	ENSGALG00000027853.3
OG0001664	ENSMUSG00000021732.14	ENSGALG00000014872.3
OG0001665	ENSMUSG00000017778.14	ENSGALG00000027963.3
OG0001666	ENSMUSG00000021585.10	ENSGALG00000014682.7
OG0001667	ENSMUSG00000021557.15	ENSGALG00000012595.6
OG0001668	ENSMUSG00000062929.8	ENSGALG00000010027.4
OG0001669	ENSMUSG00000056185.5, ENSMUSG00000005656.9	ENSGALG00000010025.6
OG0001670	ENSMUSG00000021036.10	ENSGALG00000031928.2
OG0001670	ENSMUSG00000039092.9	ENSGALG00000009037.6
OG0001671	ENSMUSG00000012396.12	ENSGALG00000053547.1, ENSGALG00000027772.3
OG0001672	ENSMUSG00000018567.14, ENSMUSG00000030161.8	ENSGALG00000014723.5
OG0001673	ENSMUSG00000033852.16, ENSMUSG00000098488.7	ENSGALG00000008727.6
OG0001674	ENSMUSG00000027168.21	ENSGALG00000012123.6
OG0001676	ENSMUSG00000108011.1, ENSMUSG00000001520.12, ENSMUSG00000034825.14	ENSGALG00000005903.7
OG0001677	ENSMUSG00000110040.1, ENSMUSG00000007891.16	ENSGALG00000006613.5
OG0001678	ENSMUSG00000026797.16	ENSGALG00000040003.2
OG0001679	ENSMUSG00000058665.8	ENSGALG00000042389.2
OG0001679	ENSMUSG00000039095.8	ENSGALG00000041295.2
OG0001680	ENSMUSG00000026180.8, ENSMUSG00000048480.5	ENSGALG00000036627.2
OG0001681	ENSMUSG00000024682.3	ENSGALG00000031546.3
OG0001682	ENSMUSG00000024858.14	ENSGALG00000042741.2
OG0001682	ENSMUSG00000042249.11	ENSGALG00000037097.2
OG0001683	ENSMUSG00000056211.13	ENSGALG00000012246.6
OG0001685	ENSMUSG00000043760.16	ENSGALG00000050313.1, ENSGALG00000047129.1, ENSGALG00000048370.1, ENSGALG00000050753.1, ENSGALG00000050553.1, ENSGALG00000054596.1
OG0001686	ENSMUSG00000041872.9, ENSMUSG00000025929.4	ENSGALG00000016678.6, ENSGALG00000016677.7
OG0001687	ENSMUSG00000019874.11	ENSGALG00000038933.3
OG0001687	ENSMUSG00000028773.8	ENSGALG00000037050.2
OG0001688	ENSMUSG00000069668.4, ENSMUSG00000090298.2	ENSGALG00000014950.6
OG0001689	ENSMUSG00000034192.5	ENSGALG00000031139.2
OG0001691	ENSMUSG00000040966.10, ENSMUSG00000023829.9	ENSGALG00000011579.6, ENSGALG00000011615.6
OG0001699	ENSMUSG00000014767.17	ENSGALG00000011171.7
OG0001699	ENSMUSG00000061809.8	ENSGALG00000012145.4
OG0001702	ENSMUSG00000056050.13	ENSGALG00000041034.3
OG0001704	ENSMUSG00000032330.7	ENSGALG00000015906.6
OG0001705	ENSMUSG00000022500.15, ENSMUSG00000107252.1	ENSGALG00000003217.4
OG0001709	ENSMUSG00000034285.15	ENSGALG00000038301.2
OG0001709	ENSMUSG00000029432.12	ENSGALG00000002388.5
OG0001710	ENSMUSG00000015852.13, ENSMUSG00000059994.10, ENSMUSG00000048031.15	ENSGALG00000010507.6, ENSGALG00000054978.1
OG0001716	ENSMUSG00000022770.17	ENSGALG00000006908.6
OG0001717	ENSMUSG00000024937.15	ENSGALG00000051458.1
OG0001725	ENSMUSG00000021361.7	ENSGALG00000051398.1, ENSGALG00000034591.3
OG0001726	ENSMUSG00000020114.12	ENSGALG00000008420.6, ENSGALG00000033879.2
OG0001729	ENSMUSG00000079317.10, ENSMUSG00000007777.9	ENSGALG00000016578.4
OG0001730	ENSMUSG00000073676.4, ENSMUSG00000117621.1	ENSGALG00000009070.7
OG0001731	ENSMUSG00000009545.14	ENSGALG00000037138.3
OG0001732	ENSMUSG00000022378.14	ENSGALG00000036490.2
OG0001733	ENSMUSG00000022671.13	ENSGALG00000035749.2
OG0001734	ENSMUSG00000044117.12	ENSGALG00000006456.6
OG0001735	ENSMUSG00000030835.6	ENSGALG00000029360.2
OG0001736	ENSMUSG00000025967.16	ENSGALG00000008590.6
OG0001737	ENSMUSG00000006019.15	ENSGALG00000034016.2
OG0001738	ENSMUSG00000037475.15, ENSMUSG00000097392.3	ENSGALG00000008507.6
OG0001740	ENSMUSG00000042734.6	ENSGALG00000017652.7
OG0001741	ENSMUSG00000020069.16	ENSGALG00000003947.7
OG0001742	ENSMUSG00000021264.12, ENSMUSG00000091736.3, ENSMUSG00000051176.6	ENSGALG00000017388.6
OG0001743	ENSMUSG00000028656.14	ENSGALG00000036294.2
OG0001744	ENSMUSG00000022685.9	ENSGALG00000003091.6
OG0001746	ENSMUSG00000039771.13	ENSGALG00000030808.3
OG0001747	ENSMUSG00000035509.17	ENSGALG00000006327.6
OG0001747	ENSMUSG00000022124.15	ENSGALG00000048716.1
OG0001748	ENSMUSG00000029299.14, ENSMUSG00000029802.13	ENSGALG00000030677.3
OG0001749	ENSMUSG00000028825.7	ENSGALG00000040279.2
OG0001750	ENSMUSG00000039801.7	ENSGALG00000003631.6
OG0001751	ENSMUSG00000068794.7	ENSGALG00000010259.6
OG0001753	ENSMUSG00000055436.18	ENSGALG00000011305.6
OG0001754	ENSMUSG00000027860.15	ENSGALG00000015025.6
OG0001754	ENSMUSG00000026556.15	ENSGALG00000030643.2
OG0001755	ENSMUSG00000029368.10, ENSMUSG00000070690.7, ENSMUSG00000054932.6	ENSGALG00000035219.2
OG0001757	ENSMUSG00000015522.18	ENSGALG00000000751.7
OG0001758	ENSMUSG00000032397.7	ENSGALG00000007649.5
OG0001759	ENSMUSG00000034908.16	ENSGALG00000046843.1, ENSGALG00000037273.2
OG0001760	ENSMUSG00000027907.4	ENSGALG00000036711.2
OG0001761	ENSMUSG00000061559.15	ENSGALG00000003221.7
OG0001762	ENSMUSG00000076490.6, ENSMUSG00000076498.2	ENSGALG00000014754.7
OG0001763	ENSMUSG00000113949.1	ENSGALG00000001030.6
OG0001763	ENSMUSG00000040722.7	ENSGALG00000051621.1
OG0001765	ENSMUSG00000004846.10, ENSMUSG00000019055.15	ENSGALG00000004531.3
OG0001767	ENSMUSG00000001739.14	ENSGALG00000038964.2
OG0001768	ENSMUSG00000116207.1, ENSMUSG00000025453.18	ENSGALG00000014869.6
OG0001769	ENSMUSG00000002524.17	ENSGALG00000039901.3
OG0001770	ENSMUSG00000033703.9	ENSGALG00000047215.1
OG0001771	ENSMUSG00000028194.15	ENSGALG00000008663.6
OG0001772	ENSMUSG00000039298.16	ENSGALG00000041102.2
OG0001773	ENSMUSG00000003429.11	ENSGALG00000017299.6
OG0001774	ENSMUSG00000000693.10	ENSGALG00000036142.2
OG0001774	ENSMUSG00000034205.16	ENSGALG00000000402.5
OG0001775	ENSMUSG00000030795.18	ENSGALG00000032219.2
OG0001777	ENSMUSG00000020719.14	ENSGALG00000003532.7
OG0001778	ENSMUSG00000022419.16	ENSGALG00000043787.2
OG0001779	ENSMUSG00000026241.5	ENSGALG00000054873.1
OG0001780	ENSMUSG00000025405.9	ENSGALG00000051871.1
OG0001780	ENSMUSG00000047492.5	ENSGALG00000055023.1
OG0001781	ENSMUSG00000009092.5	ENSGALG00000041844.3
OG0001782	ENSMUSG00000021273.11	ENSGALG00000016665.4
OG0001783	ENSMUSG00000059439.15	ENSGALG00000005295.6
OG0001784	ENSMUSG00000041633.14	ENSGALG00000009628.6
OG0001784	ENSMUSG00000098557.1	ENSGALG00000033816.2
OG0001785	ENSMUSG00000025283.15	ENSGALG00000016348.5
OG0001786	ENSMUSG00000079834.2	ENSGALG00000007443.4
OG0001788	ENSMUSG00000003154.15	ENSGALG00000014329.6
OG0001789	ENSMUSG00000029098.17	ENSGALG00000015591.6
OG0001790	ENSMUSG00000087119.4, ENSMUSG00000079418.3, ENSMUSG00000116318.1	ENSGALG00000008282.8
OG0001791	ENSMUSG00000022595.7	ENSGALG00000051312.1, ENSGALG00000046632.2
OG0001792	ENSMUSG00000032615.14	ENSGALG00000004842.7
OG0001793	ENSMUSG00000049550.17	ENSGALG00000004467.6
OG0001794	ENSMUSG00000028199.18	ENSGALG00000011361.6
OG0001795	ENSMUSG00000068523.12, ENSMUSG00000117145.1	ENSGALG00000027561.3
OG0001797	ENSMUSG00000025854.15	ENSGALG00000038768.3
OG0001798	ENSMUSG00000056413.16	ENSGALG00000003819.6
OG0001799	ENSMUSG00000067215.5, ENSMUSG00000046269.17, ENSMUSG00000042506.15	ENSGALG00000029817.2
OG0001800	ENSMUSG00000038664.16	ENSGALG00000003381.6
OG0001801	ENSMUSG00000022568.17	ENSGALG00000033626.2
OG0001802	ENSMUSG00000070330.2, ENSMUSG00000022715.3	ENSGALG00000039005.2
OG0001803	ENSMUSG00000022099.17	ENSGALG00000040807.2
OG0001804	ENSMUSG00000025868.6	ENSGALG00000003348.6
OG0001805	ENSMUSG00000025871.18	ENSGALG00000003370.4
OG0001806	ENSMUSG00000022255.16	ENSGALG00000048883.1, ENSGALG00000034050.3
OG0001807	ENSMUSG00000024104.11	ENSGALG00000005914.7
OG0001808	ENSMUSG00000025464.15	ENSGALG00000054212.1
OG0001809	ENSMUSG00000028245.15	ENSGALG00000038838.2
OG0001810	ENSMUSG00000031876.18, ENSMUSG00000110430.2, ENSMUSG00000078953.1	ENSGALG00000005254.6
OG0001811	ENSMUSG00000042439.13	ENSGALG00000035785.2, ENSGALG00000041052.2
OG0001812	ENSMUSG00000027599.9	ENSGALG00000036567.2
OG0001813	ENSMUSG00000050541.14	ENSGALG00000001416.6
OG0001813	ENSMUSG00000027335.9	ENSGALG00000038787.2
OG0001814	ENSMUSG00000035478.14	ENSGALG00000001101.6
OG0001815	ENSMUSG00000029491.7	ENSGALG00000015373.6
OG0001816	ENSMUSG00000092083.4	ENSGALG00000031693.2
OG0001816	ENSMUSG00000050556.9	ENSGALG00000004758.5
OG0001817	ENSMUSG00000036256.13	ENSGALG00000037332.2
OG0001818	ENSMUSG00000043991.5	ENSGALG00000029387.2
OG0001819	ENSMUSG00000028138.8	ENSGALG00000012245.7
OG0001820	ENSMUSG00000061787.15	ENSGALG00000002157.7
OG0001821	ENSMUSG00000022185.19	ENSGALG00000052095.1
OG0001822	ENSMUSG00000029162.15	ENSGALG00000051301.1
OG0001823	ENSMUSG00000028086.15	ENSGALG00000017336.5, ENSGALG00000010103.7
OG0001824	ENSMUSG00000097886.2	ENSGALG00000042022.2
OG0001824	ENSMUSG00000046182.8	ENSGALG00000036373.2
OG0001825	ENSMUSG00000030649.18, ENSMUSG00000074780.2	ENSGALG00000032499.2
OG0001827	ENSMUSG00000055368.14	ENSGALG00000003560.6
OG0001828	ENSMUSG00000022415.12	ENSGALG00000027665.2
