Orthogroup	M_musculus.pep	N_naja.pep
OG0003050	ENSMUSG00000048337.3	Nana28163-RA
OG0003051	ENSMUSG00000025255.18	Nana16497-RA
OG0003052	ENSMUSG00000029063.16	Nana37349-RC, Nana37349-RB, Nana37349-RA
OG0003053	ENSMUSG00000028249.15	Nana16360-RA
OG0003054	ENSMUSG00000038696.14	Nana36984-RA, Nana36983-RA
OG0003055	ENSMUSG00000025199.16	Nana26733-RC, Nana26733-RA, Nana26733-RB
OG0003056	ENSMUSG00000025766.14	Nana18064-RB, Nana18064-RA
OG0003057	ENSMUSG00000022205.15	Nana12462-RA
OG0003058	ENSMUSG00000040824.3	Nana30815-RA
OG0003059	ENSMUSG00000039354.16	Nana03834-RA, Nana03834-RD, Nana03834-RB, Nana03834-RC
OG0003060	ENSMUSG00000006715.11	Nana15920-RA, Nana15920-RB
OG0003062	ENSMUSG00000049230.8, ENSMUSG00000027201.16	Nana33179-RE, Nana33179-RB, Nana33179-RA
OG0003063	ENSMUSG00000026343.6	Nana03691-RA, Nana03694-RA
OG0003064	ENSMUSG00000024583.3	Nana12524-RB, Nana12524-RA
OG0003065	ENSMUSG00000047911.6	Nana28398-RA, Nana28546-RA
OG0003066	ENSMUSG00000038127.15	Nana20991-RA
OG0003067	ENSMUSG00000029420.14	Nana35341-RA
OG0003068	ENSMUSG00000025935.10, ENSMUSG00000044528.5	Nana16440-RA
OG0003069	ENSMUSG00000027951.16	Nana36055-RB, Nana36055-RC, Nana36055-RA
OG0003070	ENSMUSG00000029165.17	Nana00696-RH, Nana00696-RG, Nana00696-RC, Nana00696-RB
OG0003071	ENSMUSG00000036646.13	Nana36764-RA, Nana36764-RB
OG0003073	ENSMUSG00000039599.16	Nana19248-RA, Nana19248-RB
OG0003074	ENSMUSG00000043716.13	Nana16464-RA
OG0003075	ENSMUSG00000061979.8	Nana00433-RA
OG0003076	ENSMUSG00000048232.12	Nana11243-RA, Nana11242-RA, Nana11241-RA, Nana11244-RA, Nana11240-RA
OG0003077	ENSMUSG00000045973.18	Nana11239-RA
OG0003078	ENSMUSG00000030499.9	Nana31059-RA, Nana16222-RA
OG0003079	ENSMUSG00000039367.11	Nana18813-RC, Nana18813-RB, Nana18813-RD, Nana18813-RA
OG0003080	ENSMUSG00000029401.8	Nana34866-RB, Nana34670-RA, Nana34670-RB, Nana34866-RA
OG0003081	ENSMUSG00000038095.15	Nana34860-RB, Nana34860-RC, Nana34860-RE, Nana34860-RD
OG0003082	ENSMUSG00000001424.14	Nana27949-RA, Nana27952-RA
OG0003083	ENSMUSG00000022009.1	Nana26650-RB, Nana26650-RA
OG0003084	ENSMUSG00000022008.4	Nana26651-RD, Nana26651-RA, Nana26651-RC, Nana26651-RB
OG0003085	ENSMUSG00000044496.6	Nana37189-RB
OG0003086	ENSMUSG00000031865.16	Nana17497-RB, Nana17497-RA
OG0003087	ENSMUSG00000060126.14	Nana26659-RA
OG0003088	ENSMUSG00000028792.14	Nana29813-RA
OG0003089	ENSMUSG00000079164.8	Nana01230-RA
OG0003090	ENSMUSG00000031826.20	Nana31656-RB, Nana31656-RA
OG0003091	ENSMUSG00000025078.9	Nana19703-RA, Nana19702-RA
OG0003092	ENSMUSG00000006205.13	Nana28287-RA, Nana19584-RA
OG0003093	ENSMUSG00000006010.14	Nana15089-RA
OG0003094	ENSMUSG00000029468.17	Nana34829-RA, Nana34828-RA
OG0003095	ENSMUSG00000059495.14	Nana28795-RD, Nana28795-RC, Nana28795-RB, Nana28795-RA
OG0003096	ENSMUSG00000040549.16	Nana21023-RA, Nana04882-RA, Nana04882-RB
OG0003097	ENSMUSG00000039637.15	Nana34617-RA
OG0003098	ENSMUSG00000028580.15, ENSMUSG00000106966.3	Nana30241-RA, Nana30241-RB
OG0003099	ENSMUSG00000029363.14	Nana35116-RB, Nana35116-RA, Nana35116-RC
OG0003100	ENSMUSG00000108747.1, ENSMUSG00000028772.19	Nana30246-RA
OG0003102	ENSMUSG00000047409.13	Nana21163-RA, Nana21163-RC, Nana21163-RB, Nana21163-RD
OG0003103	ENSMUSG00000019945.10	Nana18837-RA
OG0003104	ENSMUSG00000024833.15	Nana36028-RA
OG0003105	ENSMUSG00000043257.15	Nana30123-RA, Nana30123-RD, Nana30123-RB, Nana30123-RC
OG0003106	ENSMUSG00000034403.16, ENSMUSG00000024083.16	Nana11977-RA, Nana11976-RA
OG0003107	ENSMUSG00000024376.7	Nana11963-RA, Nana11964-RA
OG0003109	ENSMUSG00000055184.4	Nana14108-RA
OG0003110	ENSMUSG00000079235.10	Nana21141-RB, Nana21141-RA
OG0003111	ENSMUSG00000029917.15, ENSMUSG00000058400.13	Nana18113-RA
OG0003112	ENSMUSG00000075703.15	Nana00717-RB, Nana00717-RA
OG0003113	ENSMUSG00000038384.16	Nana34814-RD, Nana34814-RH, Nana34814-RI, Nana34814-RE
OG0003114	ENSMUSG00000059395.4, ENSMUSG00000016409.4	Nana32404-RA
OG0003115	ENSMUSG00000063801.7	Nana11941-RA
OG0003116	ENSMUSG00000022571.9	Nana17145-RA, Nana17145-RB
OG0003117	ENSMUSG00000030689.15	Nana23788-RB, Nana23788-RC, Nana23788-RA
OG0003118	ENSMUSG00000024505.16	Nana11921-RA
OG0003119	ENSMUSG00000024170.15	Nana34064-RC, Nana34064-RB, Nana34064-RA
OG0003120	ENSMUSG00000024169.16	Nana34065-RA, Nana34070-RA
OG0003121	ENSMUSG00000019214.14	Nana33679-RA, Nana33679-RB, Nana33679-RD, Nana33679-RC
OG0003122	ENSMUSG00000029176.13	Nana18427-RA
OG0003124	ENSMUSG00000020515.13	Nana08778-RB, Nana08778-RA, Nana08778-RC, Nana08778-RD
OG0003125	ENSMUSG00000050534.8, ENSMUSG00000039106.6	Nana21237-RA
OG0003126	ENSMUSG00000008301.11	Nana11870-RA
OG0003127	ENSMUSG00000024570.7	Nana15945-RA, Nana15945-RB
OG0003128	ENSMUSG00000073838.10	Nana23549-RB, Nana23549-RA, Nana23549-RC
OG0003129	ENSMUSG00000032637.15	Nana23548-RA, Nana37825-RB, Nana37825-RA
OG0003130	ENSMUSG00000031903.7	Nana31220-RB, Nana31220-RA, Nana31220-RD, Nana31220-RC
OG0003131	ENSMUSG00000060098.11	Nana31208-RA, Nana31208-RD, Nana31208-RB, Nana31208-RC
OG0003132	ENSMUSG00000033499.14	Nana21283-RB, Nana21283-RA, Nana39297-RA
OG0003133	ENSMUSG00000030720.16	Nana23533-RB
OG0003134	ENSMUSG00000021342.14	Nana15901-RA
OG0003135	ENSMUSG00000000078.7	Nana21304-RA, Nana21304-RB
OG0003136	ENSMUSG00000021375.11	Nana15865-RC, Nana15865-RB, Nana15865-RA
OG0003137	ENSMUSG00000054021.6, ENSMUSG00000091831.5, ENSMUSG00000055109.5	Nana15863-RA
OG0003138	ENSMUSG00000020949.9	Nana05977-RA
OG0003140	ENSMUSG00000042436.12	Nana23485-RA
OG0003141	ENSMUSG00000041654.15	Nana09768-RA
OG0003142	ENSMUSG00000036323.14	Nana11152-RA
OG0003143	ENSMUSG00000033216.9	Nana08318-RA, Nana39235-RA
OG0003144	ENSMUSG00000029249.15	Nana11148-RA, Nana11148-RB
OG0003145	ENSMUSG00000029250.5	Nana11146-RC, Nana11146-RB, Nana11146-RA
OG0003146	ENSMUSG00000026966.6	Nana21376-RA
OG0003147	ENSMUSG00000019320.14	Nana33694-RA
OG0003148	ENSMUSG00000039826.13	Nana36555-RC, Nana36555-RB, Nana36555-RA
OG0003149	ENSMUSG00000026087.11	Nana26077-RA
OG0003150	ENSMUSG00000027322.11	Nana17449-RA, Nana17445-RA
OG0003151	ENSMUSG00000030726.16	Nana25542-RD, Nana25542-RA, Nana25542-RC, Nana25542-RB
OG0003152	ENSMUSG00000030432.12	Nana23682-RA
OG0003155	ENSMUSG00000028423.15	Nana15591-RD, Nana15591-RA, Nana15591-RB, Nana15591-RC
OG0003156	ENSMUSG00000045237.5	Nana32480-RA
OG0003157	ENSMUSG00000070733.13	Nana18597-RD, Nana18597-RA, Nana18597-RB, Nana18597-RC
OG0003158	ENSMUSG00000026494.12	Nana01494-RA, Nana01493-RA
OG0003159	ENSMUSG00000016128.14, ENSMUSG00000107011.1	Nana25020-RA, Nana25020-RB
OG0003160	ENSMUSG00000028330.8	Nana11215-RA, Nana11211-RA, Nana11211-RB
OG0003161	ENSMUSG00000000902.13	Nana35584-RA
OG0003162	ENSMUSG00000062110.14	Nana18587-RA, Nana18585-RA
OG0003163	ENSMUSG00000028232.13	Nana16327-RB
OG0003164	ENSMUSG00000024803.9	Nana19329-RB, Nana19329-RA, Nana19329-RC, Nana19331-RA
OG0003165	ENSMUSG00000026707.15	Nana21496-RB, Nana21496-RC, Nana21496-RA
OG0003166	ENSMUSG00000025726.11, ENSMUSG00000079071.2, ENSMUSG00000027219.13	Nana33060-RA
OG0003167	ENSMUSG00000026726.10	Nana21480-RA, Nana21481-RA, Nana16008-RA
OG0003168	ENSMUSG00000003623.4	Nana21465-RA
OG0003169	ENSMUSG00000012443.4, ENSMUSG00000111220.2	Nana19396-RC, Nana19396-RA, Nana19396-RB
OG0003170	ENSMUSG00000029310.13	Nana17704-RA, Nana17706-RA
OG0003171	ENSMUSG00000030870.12	Nana33765-RA
OG0003172	ENSMUSG00000026709.10	Nana15264-RD, Nana15264-RC, Nana15264-RB
OG0003173	ENSMUSG00000017760.16	Nana13143-RA, Nana13143-RC, Nana13143-RB
OG0003174	ENSMUSG00000029726.16	Nana24354-RB, Nana39904-RA, Nana24354-RA
OG0003175	ENSMUSG00000017754.13	Nana13138-RB, Nana13138-RA, Nana13138-RC
OG0003176	ENSMUSG00000039208.15	Nana09398-RA, Nana09397-RA
OG0003177	ENSMUSG00000024892.17	Nana35652-RA, Nana35640-RB, Nana35640-RA
OG0003178	ENSMUSG00000021799.9	Nana17761-RA
OG0003179	ENSMUSG00000027665.13	Nana20652-RB, Nana20652-RA
OG0003180	ENSMUSG00000053205.9, ENSMUSG00000071748.2	Nana05921-RA, Nana05921-RC
OG0003181	ENSMUSG00000070699.5	Nana30785-RA
OG0003182	ENSMUSG00000038274.13	Nana35811-RA, Nana35811-RC
OG0003183	ENSMUSG00000056234.15	Nana19082-RA, Nana19082-RB
OG0003184	ENSMUSG00000014226.10	Nana15257-RA
OG0003185	ENSMUSG00000058594.15	Nana27827-RA
OG0003186	ENSMUSG00000001467.5	Nana21438-RA
OG0003187	ENSMUSG00000029348.11	Nana34699-RA, Nana23784-RA
OG0003188	ENSMUSG00000025351.14	Nana09935-RA, Nana09935-RB
OG0003189	ENSMUSG00000033799.10	Nana27975-RC, Nana27975-RA, Nana27975-RB
OG0003190	ENSMUSG00000040351.11	Nana21435-RB, Nana21435-RA
OG0003192	ENSMUSG00000029454.15, ENSMUSG00000105340.5	Nana34762-RB, Nana34762-RA
OG0003193	ENSMUSG00000005514.14	Nana00532-RA
OG0003194	ENSMUSG00000040212.12	Nana23652-RB
OG0003195	ENSMUSG00000068617.5	Nana21429-RA, Nana21429-RB, Nana21427-RA
OG0003196	ENSMUSG00000068566.12, ENSMUSG00000097829.3	Nana23648-RA
OG0003197	ENSMUSG00000033624.10	Nana31080-RB, Nana31080-RA, Nana31080-RC
OG0003198	ENSMUSG00000024740.10	Nana04164-RB, Nana04164-RC, Nana04164-RD, Nana04164-RA
OG0003199	ENSMUSG00000048307.8	Nana16684-RC, Nana16684-RB, Nana16684-RA, Nana16684-RD
OG0003200	ENSMUSG00000021134.17	Nana04957-RA
OG0003202	ENSMUSG00000003316.14	Nana31081-RA, Nana31081-RC, Nana31081-RD, Nana31081-RB
OG0003204	ENSMUSG00000045996.12	Nana16678-RB, Nana16678-RA
OG0003205	ENSMUSG00000102758.3	Nana20635-RA, Nana20631-RA, Nana20633-RA
OG0003206	ENSMUSG00000030279.15	Nana27647-RA, Nana27644-RA, Nana27644-RB, Nana27644-RC, Nana27642-RA
OG0003207	ENSMUSG00000041923.15	Nana13246-RA, Nana16274-RA
OG0003208	ENSMUSG00000040667.11	Nana00498-RB, Nana00498-RA
OG0003209	ENSMUSG00000078427.3	Nana09898-RA
OG0003210	ENSMUSG00000039427.14	Nana33926-RB, Nana33926-RC, Nana33926-RD, Nana33926-RA
OG0003211	ENSMUSG00000037896.17	Nana05703-RA
OG0003213	ENSMUSG00000029623.14	Nana34337-RB
OG0003214	ENSMUSG00000033382.15	Nana16251-RC, Nana16251-RA, Nana16251-RB
OG0003215	ENSMUSG00000026694.19	Nana15283-RA
OG0003216	ENSMUSG00000019254.16	Nana23625-RB, Nana23625-RA
OG0003217	ENSMUSG00000021143.10	Nana00972-RB, Nana00972-RA
OG0003218	ENSMUSG00000003528.15	Nana35168-RA, Nana35168-RB, Nana35168-RC
OG0003220	ENSMUSG00000026691.10, ENSMUSG00000095576.5	Nana15294-RA
OG0003221	ENSMUSG00000036246.14	Nana10462-RD, Nana10462-RA, Nana10462-RC, Nana10462-RB
OG0003222	ENSMUSG00000029752.12	Nana21656-RA
OG0003223	ENSMUSG00000029629.17	Nana21677-RD, Nana21677-RA, Nana21677-RC, Nana21677-RB
OG0003224	ENSMUSG00000054499.9	Nana30612-RC, Nana30612-RF, Nana30612-RD, Nana30612-RB, Nana30612-RE
OG0003225	ENSMUSG00000003452.15	Nana27470-RA
OG0003226	ENSMUSG00000030313.15	Nana27476-RA, Nana27476-RC, Nana27476-RB
OG0003227	ENSMUSG00000074579.14	Nana20450-RA
OG0003228	ENSMUSG00000027824.5, ENSMUSG00000043897.13, ENSMUSG00000068999.13, ENSMUSG00000091967.5, ENSMUSG00000091572.9, ENSMUSG00000092049.9, ENSMUSG00000090581.9, ENSMUSG00000062200.14	Nana20434-RA
OG0003229	ENSMUSG00000001380.7	Nana15467-RA
OG0003230	ENSMUSG00000044595.10	Nana15469-RA
OG0003231	ENSMUSG00000051331.16	Nana08395-RA, Nana27524-RA
OG0003232	ENSMUSG00000051431.7	Nana20398-RA
OG0003233	ENSMUSG00000027981.14	Nana14956-RA
OG0003234	ENSMUSG00000029918.9	Nana27430-RA
OG0003235	ENSMUSG00000033554.17	Nana14944-RA, Nana14945-RA
OG0003236	ENSMUSG00000032239.10	Nana22350-RA
OG0003237	ENSMUSG00000020048.13	Nana27384-RB, Nana27384-RA
OG0003238	ENSMUSG00000039865.8	Nana14913-RB, Nana14913-RA
OG0003239	ENSMUSG00000020260.9	Nana02984-RA, Nana02984-RB
OG0003240	ENSMUSG00000020042.15	Nana27356-RA
OG0003241	ENSMUSG00000015671.11	Nana22514-RA, Nana22514-RB
OG0003242	ENSMUSG00000015672.4	Nana22515-RA, Nana22515-RB, Nana22516-RA, Nana22516-RB
OG0003243	ENSMUSG00000026279.14	Nana20146-RC, Nana20146-RB, Nana20146-RA
OG0003244	ENSMUSG00000111375.4, ENSMUSG00000106631.2	Nana14864-RA
OG0003245	ENSMUSG00000020431.5	Nana22611-RA, Nana22612-RA
OG0003246	ENSMUSG00000020413.11	Nana22634-RA
OG0003247	ENSMUSG00000028480.14	Nana22673-RA, Nana22673-RB
OG0003248	ENSMUSG00000009292.18	Nana20084-RA
OG0003249	ENSMUSG00000057649.6	Nana22679-RA, Nana22680-RA
OG0003250	ENSMUSG00000033099.10	Nana27303-RA
OG0003251	ENSMUSG00000021578.17	Nana22695-RB, Nana22695-RA, Nana22695-RC
OG0003252	ENSMUSG00000116378.1, ENSMUSG00000006378.15	Nana27299-RA
OG0003253	ENSMUSG00000021577.14	Nana22694-RB, Nana22694-RA
OG0003254	ENSMUSG00000028550.15	Nana14633-RB, Nana14633-RC, Nana14633-RA
OG0003255	ENSMUSG00000035851.14	Nana37814-RA, Nana22727-RA, Nana22727-RC
OG0003256	ENSMUSG00000026309.14	Nana20032-RA, Nana20032-RB
OG0003257	ENSMUSG00000029403.14	Nana22775-RA
OG0003258	ENSMUSG00000078612.9	Nana14569-RA, Nana14569-RB
OG0003259	ENSMUSG00000022390.11	Nana27223-RB, Nana27223-RC, Nana27223-RD, Nana27223-RE
OG0003260	ENSMUSG00000026289.15	Nana20009-RA, Nana20009-RB, Nana20009-RC
OG0003261	ENSMUSG00000022477.13	Nana27219-RA, Nana27219-RB
OG0003262	ENSMUSG00000055204.15	Nana22791-RA, Nana22791-RF, Nana22791-RE, Nana22791-RD
OG0003263	ENSMUSG00000063480.8	Nana27213-RA
OG0003264	ENSMUSG00000034853.16	Nana14550-RC, Nana14550-RB, Nana14550-RA, Nana14550-RD
OG0003265	ENSMUSG00000052656.12	Nana22815-RB, Nana22815-RA
OG0003266	ENSMUSG00000040699.13	Nana22830-RA, Nana22830-RB
OG0003267	ENSMUSG00000058486.11	Nana27135-RG, Nana27135-RD, Nana27135-RC, Nana27135-RF
OG0003268	ENSMUSG00000020062.7	Nana27114-RA
OG0003269	ENSMUSG00000017801.15	Nana22851-RB, Nana22851-RD, Nana22851-RC
OG0003270	ENSMUSG00000035198.9, ENSMUSG00000045007.9	Nana22853-RA
OG0003271	ENSMUSG00000018820.13	Nana19941-RA, Nana19941-RB, Nana19941-RC
OG0003272	ENSMUSG00000020014.17	Nana27085-RA
OG0003273	ENSMUSG00000025035.9	Nana19822-RA
OG0003274	ENSMUSG00000020018.6	Nana27076-RA
OG0003275	ENSMUSG00000010362.9	Nana22912-RA
OG0003276	ENSMUSG00000062981.5	Nana27062-RA
OG0003277	ENSMUSG00000020925.16	Nana22927-RB, Nana22927-RC, Nana22927-RA
OG0003278	ENSMUSG00000028688.13	Nana14403-RB, Nana14403-RA
OG0003279	ENSMUSG00000020937.14	Nana22949-RD, Nana22949-RB, Nana22949-RA
OG0003280	ENSMUSG00000034187.18	Nana22963-RA
OG0003281	ENSMUSG00000012819.15	Nana19191-RA, Nana19193-RA, Nana19187-RA
OG0003282	ENSMUSG00000018486.2	Nana22965-RA
OG0003283	ENSMUSG00000028551.14	Nana14498-RC, Nana14498-RB, Nana14498-RA, Nana14498-RD
OG0003284	ENSMUSG00000034768.4	Nana23004-RA
OG0003285	ENSMUSG00000020687.13	Nana23019-RA
OG0003286	ENSMUSG00000017404.12	Nana23023-RA
OG0003287	ENSMUSG00000000568.15	Nana17648-RB, Nana17648-RC, Nana17648-RD
OG0003288	ENSMUSG00000035325.16	Nana17656-RC, Nana17656-RD, Nana17656-RA, Nana17656-RB
OG0003289	ENSMUSG00000091002.2	Nana19456-RA, Nana19451-RA, Nana19454-RA
OG0003290	ENSMUSG00000035310.15	Nana17657-RB, Nana17657-RA
OG0003291	ENSMUSG00000057375.13	Nana14535-RC, Nana14535-RB, Nana14535-RA
OG0003292	ENSMUSG00000040177.10	Nana19575-RA
OG0003293	ENSMUSG00000030861.15	Nana19569-RA, Nana19569-RC, Nana19569-RB, Nana19569-RD
OG0003294	ENSMUSG00000030934.9	Nana19538-RA
OG0003295	ENSMUSG00000109864.1, ENSMUSG00000040331.16	Nana19591-RA
OG0003296	ENSMUSG00000001552.14	Nana23116-RA
OG0003297	ENSMUSG00000004040.16	Nana23143-RB, Nana23143-RA
OG0003298	ENSMUSG00000022023.6	Nana26618-RA, Nana26618-RC, Nana26618-RB, Nana39903-RA
OG0003300	ENSMUSG00000038437.11	Nana21535-RA, Nana23158-RA, Nana23157-RA
OG0003301	ENSMUSG00000055421.8	Nana26520-RA
OG0003302	ENSMUSG00000018882.12	Nana23174-RA
OG0003303	ENSMUSG00000001445.10	Nana19271-RA, Nana23185-RA
OG0003304	ENSMUSG00000022132.15	Nana26333-RA
OG0003305	ENSMUSG00000020876.14	Nana23199-RB, Nana23199-RA
OG0003306	ENSMUSG00000056648.5	Nana23214-RA
OG0003307	ENSMUSG00000055717.13	Nana26320-RA, Nana39781-RA
OG0003308	ENSMUSG00000075595.9	Nana37859-RA, Nana37857-RA, Nana23235-RA
OG0003309	ENSMUSG00000005148.8	Nana26474-RA
OG0003310	ENSMUSG00000058914.12	Nana12449-RA
OG0003311	ENSMUSG00000036257.15	Nana29702-RA, Nana29703-RA
OG0003312	ENSMUSG00000055917.15	Nana29710-RA, Nana29712-RA
OG0003313	ENSMUSG00000037318.10	Nana14039-RD, Nana14039-RA, Nana14039-RB, Nana14039-RC
OG0003314	ENSMUSG00000020922.11	Nana23283-RB, Nana23283-RA
OG0003315	ENSMUSG00000000416.16	Nana29641-RC, Nana29641-RA, Nana29641-RB, Nana29641-RD
OG0003316	ENSMUSG00000022760.17	Nana23366-RA, Nana27740-RA
OG0003317	ENSMUSG00000032902.1	Nana13995-RA
OG0003318	ENSMUSG00000041763.14	Nana26306-RD, Nana26306-RA, Nana26306-RB, Nana26306-RC
OG0003319	ENSMUSG00000079157.4	Nana26246-RA
OG0003320	ENSMUSG00000024174.9, ENSMUSG00000098835.3, ENSMUSG00000029676.15	Nana29587-RA
OG0003321	ENSMUSG00000063511.11	Nana23321-RA, Nana23321-RC, Nana23321-RB
OG0003322	ENSMUSG00000038542.14	Nana26201-RB, Nana26201-RA
OG0003323	ENSMUSG00000042451.12, ENSMUSG00000068745.6	Nana13903-RA
OG0003324	ENSMUSG00000037890.13	Nana18508-RA
OG0003325	ENSMUSG00000027217.13	Nana04850-RA
OG0003326	ENSMUSG00000005881.13	Nana13870-RA, Nana13870-RB
OG0003327	ENSMUSG00000027634.14	Nana13852-RA, Nana13852-RB
OG0003328	ENSMUSG00000027641.13	Nana13842-RA, Nana13842-RB, Nana13842-RE
OG0003329	ENSMUSG00000030346.16	Nana29369-RB, Nana29369-RC, Nana29369-RA
OG0003330	ENSMUSG00000000182.9	Nana29370-RB, Nana29370-RA
OG0003331	ENSMUSG00000048875.3	Nana10317-RA, Nana25987-RA
OG0003332	ENSMUSG00000031358.17	Nana25925-RA
OG0003333	ENSMUSG00000040586.8	Nana25902-RA
OG0003334	ENSMUSG00000059842.12	Nana13799-RA
OG0003335	ENSMUSG00000036046.14	Nana29479-RD, Nana29479-RC, Nana29479-RB, Nana29479-RA
OG0003336	ENSMUSG00000048087.6, ENSMUSG00000027597.15	Nana13791-RA, Nana13791-RB
OG0003337	ENSMUSG00000037605.16	Nana11040-RA, Nana11039-RA
OG0003338	ENSMUSG00000044150.12	Nana25854-RA, Nana25853-RA
OG0003339	ENSMUSG00000026672.11	Nana29195-RA, Nana29195-RD, Nana29195-RC, Nana29195-RB
OG0003340	ENSMUSG00000025287.15, ENSMUSG00000047565.5	Nana25829-RA
OG0003341	ENSMUSG00000026657.17	Nana29184-RA
OG0003342	ENSMUSG00000040234.16	Nana29218-RA, Nana29218-RB, Nana29218-RC, Nana29218-RD
OG0003343	ENSMUSG00000073077.7	Nana24394-RA, Nana24389-RA, Nana24392-RA
OG0003344	ENSMUSG00000048520.16	Nana29354-RA, Nana29352-RA
OG0003345	ENSMUSG00000036743.4, ENSMUSG00000027566.15	Nana13481-RA
OG0003346	ENSMUSG00000068457.14, ENSMUSG00000037369.17	Nana24494-RA
OG0003347	ENSMUSG00000084902.2, ENSMUSG00000035860.9	Nana29313-RA
OG0003348	ENSMUSG00000002996.17	Nana29300-RA, Nana29300-RB, Nana29300-RC
OG0003349	ENSMUSG00000035933.5	Nana29299-RA, Nana29301-RA
OG0003350	ENSMUSG00000027579.6	Nana13402-RA
OG0003351	ENSMUSG00000054226.13	Nana29518-RA, Nana29518-RB, Nana29518-RC
OG0003352	ENSMUSG00000058240.14	Nana24645-RA
OG0003353	ENSMUSG00000022962.15	Nana24649-RB
OG0003354	ENSMUSG00000010277.7	Nana00093-RA, Nana00094-RA
OG0003355	ENSMUSG00000037736.20	Nana18479-RA, Nana18476-RA
OG0003356	ENSMUSG00000053414.8	Nana24674-RA, Nana02261-RA, Nana24673-RA
OG0003357	ENSMUSG00000050520.4	Nana24682-RA
OG0003358	ENSMUSG00000041079.12	Nana24689-RB, Nana24689-RA
OG0003359	ENSMUSG00000029233.15	Nana18612-RA, Nana18612-RC, Nana18612-RB
OG0003360	ENSMUSG00000036435.13	Nana18620-RA, Nana18620-RB, Nana18620-RC
OG0003361	ENSMUSG00000039470.15	Nana18141-RA
OG0003362	ENSMUSG00000031596.15	Nana18147-RA, Nana18147-RB
OG0003363	ENSMUSG00000031645.4, ENSMUSG00000109764.1	Nana18174-RA
OG0003364	ENSMUSG00000031637.13	Nana18191-RA
OG0003365	ENSMUSG00000018796.13	Nana18198-RB, Nana18198-RC, Nana18198-RD, Nana18198-RA
OG0003367	ENSMUSG00000071533.11	Nana24891-RB, Nana24891-RA
OG0003368	ENSMUSG00000023087.15	Nana18029-RB, Nana18029-RA
OG0003369	ENSMUSG00000036208.13	Nana24934-RB, Nana24934-RA
OG0003370	ENSMUSG00000071550.14	Nana24937-RA
OG0003371	ENSMUSG00000022790.14	Nana24989-RA
OG0003372	ENSMUSG00000028015.3	Nana39057-RA, Nana39057-RB, Nana39057-RC
OG0003374	ENSMUSG00000033767.14	Nana17925-RC, Nana17925-RA, Nana17925-RD, Nana17925-RB
OG0003375	ENSMUSG00000041842.15	Nana25665-RA
OG0003376	ENSMUSG00000041264.16	Nana25038-RB, Nana25038-RC, Nana25038-RA
OG0003377	ENSMUSG00000116169.1, ENSMUSG00000025759.11	Nana18071-RB, Nana18071-RA, Nana18071-RC
OG0003378	ENSMUSG00000027714.11	Nana18107-RA, Nana18107-RB
OG0003379	ENSMUSG00000063888.7	Nana18123-RA
OG0003380	ENSMUSG00000053965.10	Nana18125-RA, Nana18125-RC, Nana18125-RB
OG0003381	ENSMUSG00000041220.10	Nana17877-RA
OG0003382	ENSMUSG00000058952.12	Nana17872-RA, Nana17872-RB
OG0003383	ENSMUSG00000041084.8	Nana17858-RA
OG0003384	ENSMUSG00000030562.17	Nana25347-RA
OG0003385	ENSMUSG00000029415.4	Nana17580-RA
OG0003386	ENSMUSG00000052928.9	Nana12595-RA, Nana12597-RA
OG0003387	ENSMUSG00000023132.8	Nana12350-RA
OG0003388	ENSMUSG00000076436.1, ENSMUSG00000076438.5, ENSMUSG00000022186.14	Nana12401-RA
OG0003389	ENSMUSG00000069089.8	Nana12252-RB, Nana12252-RA
OG0003390	ENSMUSG00000021669.15	Nana12211-RB, Nana12211-RC, Nana12211-RD
OG0003391	ENSMUSG00000024597.11	Nana11859-RC, Nana11859-RA, Nana11859-RD, Nana11859-RB
OG0003392	ENSMUSG00000036810.16	Nana31517-RB, Nana31517-RA
OG0003393	ENSMUSG00000020268.14	Nana11842-RA
OG0003394	ENSMUSG00000033102.15	Nana11786-RA
OG0003395	ENSMUSG00000024712.9	Nana11668-RA
OG0003396	ENSMUSG00000024750.11	Nana11643-RB, Nana11643-RC, Nana11643-RA
OG0003397	ENSMUSG00000024754.13	Nana11639-RC, Nana11639-RB, Nana11639-RD
OG0003399	ENSMUSG00000041360.8	Nana11593-RC, Nana11593-RB, Nana11593-RA
OG0003400	ENSMUSG00000020954.16	Nana05215-RB, Nana05215-RA
OG0003401	ENSMUSG00000028383.17	Nana11400-RA
OG0003402	ENSMUSG00000028385.14	Nana11414-RA, Nana11414-RC, Nana11414-RB
OG0003403	ENSMUSG00000002799.6	Nana05759-RB, Nana05759-RA
OG0003404	ENSMUSG00000098112.8	Nana10181-RA, Nana10182-RA
OG0003405	ENSMUSG00000001134.9	Nana10511-RB, Nana10511-RA
OG0003406	ENSMUSG00000072825.11, ENSMUSG00000115972.1	Nana05746-RA, Nana01514-RA, Nana05747-RA
OG0003407	ENSMUSG00000032936.13	Nana10503-RA, Nana08634-RA
OG0003408	ENSMUSG00000074817.2, ENSMUSG00000021111.15	Nana05588-RA
OG0003409	ENSMUSG00000041645.14	Nana05569-RA
OG0003410	ENSMUSG00000041702.7	Nana05563-RA, Nana05564-RA
OG0003411	ENSMUSG00000021194.6	Nana30783-RA, Nana05559-RA
OG0003413	ENSMUSG00000021244.15	Nana05331-RC, Nana05331-RA, Nana39337-RA, Nana05331-RB
