Orthogroup	M_musculus.pep	A_carolinensis.pep
OG0001621	ENSMUSG00000017002.14	ENSACAG00000028517.1
OG0001622	ENSMUSG00000006134.4	ENSACAG00000014912.2
OG0001623	ENSMUSG00000029614.13	ENSACAG00000003060.3
OG0001624	ENSMUSG00000051703.14	ENSACAG00000014231.2
OG0001624	ENSMUSG00000047090.13	ENSACAG00000015363.3
OG0001625	ENSMUSG00000109129.1, ENSMUSG00000051184.7	ENSACAG00000029472.1
OG0001626	ENSMUSG00000002588.13, ENSMUSG00000032667.17, ENSMUSG00000029759.9	ENSACAG00000013907.3
OG0001628	ENSMUSG00000034829.8	ENSACAG00000004907.2
OG0001628	ENSMUSG00000021396.5	ENSACAG00000016534.1
OG0001629	ENSMUSG00000029571.14	ENSACAG00000013407.2
OG0001631	ENSMUSG00000030177.14	ENSACAG00000000033.3
OG0001632	ENSMUSG00000024346.6	ENSACAG00000013539.3
OG0001633	ENSMUSG00000029836.15	ENSACAG00000012973.3
OG0001634	ENSMUSG00000038507.6	ENSACAG00000013338.3, ENSACAG00000016815.3
OG0001635	ENSMUSG00000038496.16	ENSACAG00000022448.2
OG0001636	ENSMUSG00000057716.7	ENSACAG00000011370.3
OG0001637	ENSMUSG00000037649.10	ENSACAG00000003989.2
OG0001638	ENSMUSG00000112241.1	ENSACAG00000008281.3
OG0001638	ENSMUSG00000020738.16	ENSACAG00000006212.2
OG0001639	ENSMUSG00000081225.3, ENSMUSG00000082932.3, ENSMUSG00000066097.6, ENSMUSG00000081362.3, ENSMUSG00000015224.10, ENSMUSG00000028571.15, ENSMUSG00000052520.7, ENSMUSG00000052914.4	ENSACAG00000007240.3
OG0001640	ENSMUSG00000026255.15	ENSACAG00000006450.3
OG0001641	ENSMUSG00000014601.13	ENSACAG00000012251.3
OG0001642	ENSMUSG00000035112.17	ENSACAG00000013892.3
OG0001643	ENSMUSG00000031065.14	ENSACAG00000005069.3
OG0001643	ENSMUSG00000020015.10	ENSACAG00000013452.3
OG0001644	ENSMUSG00000020713.6	ENSACAG00000012951.3
OG0001645	ENSMUSG00000028539.14	ENSACAG00000014291.2
OG0001646	ENSMUSG00000068173.12, ENSMUSG00000098348.7, ENSMUSG00000036478.8	ENSACAG00000012417.3
OG0001647	ENSMUSG00000064373.12	ENSACAG00000026650.1
OG0001648	ENSMUSG00000019916.14	ENSACAG00000000564.3
OG0001649	ENSMUSG00000018411.17	ENSACAG00000017319.3
OG0001650	ENSMUSG00000018412.16	ENSACAG00000017346.3
OG0001651	ENSMUSG00000020186.7	ENSACAG00000006675.3
OG0001651	ENSMUSG00000026421.14	ENSACAG00000003710.3
OG0001652	ENSMUSG00000058756.13	ENSACAG00000002898.3
OG0001653	ENSMUSG00000062859.15, ENSMUSG00000058252.6	ENSACAG00000001834.3
OG0001654	ENSMUSG00000045128.9	ENSACAG00000003125.3
OG0001655	ENSMUSG00000022451.12	ENSACAG00000002880.3
OG0001655	ENSMUSG00000023277.13	ENSACAG00000006679.3
OG0001656	ENSMUSG00000047696.16	ENSACAG00000007208.3
OG0001657	ENSMUSG00000022961.18	ENSACAG00000004681.2
OG0001658	ENSMUSG00000029209.15	ENSACAG00000007035.3
OG0001658	ENSMUSG00000052102.15	ENSACAG00000013374.3
OG0001659	ENSMUSG00000029227.15	ENSACAG00000010556.3
OG0001660	ENSMUSG00000061974.2, ENSMUSG00000038064.7	ENSACAG00000021129.1
OG0001661	ENSMUSG00000056947.5, ENSMUSG00000057777.4	ENSACAG00000004191.2
OG0001663	ENSMUSG00000037815.7	ENSACAG00000015986.3
OG0001663	ENSMUSG00000063063.12	ENSACAG00000007657.3
OG0001664	ENSMUSG00000021732.14	ENSACAG00000011129.3
OG0001665	ENSMUSG00000017778.14	ENSACAG00000001016.1
OG0001666	ENSMUSG00000021585.10	ENSACAG00000012586.3
OG0001667	ENSMUSG00000021557.15	ENSACAG00000000770.3
OG0001668	ENSMUSG00000062929.8	ENSACAG00000002385.3
OG0001669	ENSMUSG00000056185.5, ENSMUSG00000005656.9	ENSACAG00000002409.3
OG0001670	ENSMUSG00000021036.10	ENSACAG00000017261.3
OG0001670	ENSMUSG00000039092.9	ENSACAG00000001123.3
OG0001671	ENSMUSG00000012396.12	ENSACAG00000015317.3
OG0001672	ENSMUSG00000018567.14, ENSMUSG00000030161.8	ENSACAG00000017563.3
OG0001673	ENSMUSG00000033852.16, ENSMUSG00000098488.7	ENSACAG00000014794.2
OG0001673	ENSMUSG00000070719.4	ENSACAG00000014700.2
OG0001674	ENSMUSG00000027168.21	ENSACAG00000002252.3
OG0001675	ENSMUSG00000023007.15	ENSACAG00000009074.2
OG0001676	ENSMUSG00000108011.1, ENSMUSG00000001520.12, ENSMUSG00000034825.14	ENSACAG00000009845.3
OG0001677	ENSMUSG00000110040.1, ENSMUSG00000007891.16	ENSACAG00000009355.3
OG0001678	ENSMUSG00000004626.14	ENSACAG00000017105.3
OG0001679	ENSMUSG00000058665.8, ENSMUSG00000039095.8	ENSACAG00000001792.2
OG0001680	ENSMUSG00000026180.8, ENSMUSG00000048480.5	ENSACAG00000001076.2, ENSACAG00000001066.2
OG0001681	ENSMUSG00000024682.3	ENSACAG00000009964.3
OG0001682	ENSMUSG00000024858.14	ENSACAG00000007663.3
OG0001683	ENSMUSG00000056211.13	ENSACAG00000001676.3
OG0001685	ENSMUSG00000043760.16	ENSACAG00000005250.1
OG0001686	ENSMUSG00000041872.9, ENSMUSG00000025929.4	ENSACAG00000005245.3
OG0001687	ENSMUSG00000019874.11	ENSACAG00000001499.3
OG0001688	ENSMUSG00000069668.4, ENSMUSG00000090298.2	ENSACAG00000013979.3, ENSACAG00000028542.1, ENSACAG00000013906.3, ENSACAG00000029503.1
OG0001689	ENSMUSG00000034192.5	ENSACAG00000013503.2
OG0001690	ENSMUSG00000024429.9	ENSACAG00000010395.3
OG0001691	ENSMUSG00000040966.10, ENSMUSG00000023829.9	ENSACAG00000003650.3, ENSACAG00000003452.3
OG0001692	ENSMUSG00000036398.13	ENSACAG00000011505.2
OG0001693	ENSMUSG00000036315.13	ENSACAG00000011535.3
OG0001694	ENSMUSG00000061207.11	ENSACAG00000012116.3
OG0001695	ENSMUSG00000040482.16	ENSACAG00000012071.3
OG0001696	ENSMUSG00000092511.7, ENSMUSG00000090231.10	ENSACAG00000011208.3
OG0001697	ENSMUSG00000015476.6	ENSACAG00000010578.3
OG0001698	ENSMUSG00000024401.14	ENSACAG00000028461.1, ENSACAG00000025384.2
OG0001699	ENSMUSG00000014767.17	ENSACAG00000002576.3
OG0001700	ENSMUSG00000033327.18	ENSACAG00000014009.3
OG0001701	ENSMUSG00000015468.14	ENSACAG00000012354.3
OG0001702	ENSMUSG00000056050.13	ENSACAG00000002254.3
OG0001725	ENSMUSG00000021361.7	ENSACAG00000021049.3
OG0001726	ENSMUSG00000020114.12	ENSACAG00000014771.3, ENSACAG00000003817.3
OG0001727	ENSMUSG00000034387.13	ENSACAG00000029409.1, ENSACAG00000029316.1, ENSACAG00000029410.1, ENSACAG00000004762.3
OG0001728	ENSMUSG00000020821.17	ENSACAG00000027496.1, ENSACAG00000001893.3
OG0001729	ENSMUSG00000079317.10, ENSMUSG00000007777.9	ENSACAG00000001719.3, ENSACAG00000001051.1
OG0001730	ENSMUSG00000073676.4, ENSMUSG00000117621.1	ENSACAG00000009482.3
OG0001731	ENSMUSG00000009545.14	ENSACAG00000028718.1
OG0001732	ENSMUSG00000022378.14	ENSACAG00000010376.3
OG0001733	ENSMUSG00000022671.13	ENSACAG00000020976.2, ENSACAG00000028327.1
OG0001734	ENSMUSG00000044117.12	ENSACAG00000003741.3
OG0001736	ENSMUSG00000025967.16	ENSACAG00000001423.3
OG0001737	ENSMUSG00000006019.15	ENSACAG00000004112.3
OG0001738	ENSMUSG00000037475.15, ENSMUSG00000097392.3	ENSACAG00000011585.3
OG0001739	ENSMUSG00000045005.9	ENSACAG00000009794.3
OG0001739	ENSMUSG00000036904.6	ENSACAG00000001137.2
OG0001740	ENSMUSG00000042734.6	ENSACAG00000013060.2
OG0001741	ENSMUSG00000020069.16	ENSACAG00000010365.3
OG0001742	ENSMUSG00000021264.12, ENSMUSG00000091736.3, ENSMUSG00000051176.6	ENSACAG00000013402.2
OG0001743	ENSMUSG00000028656.14	ENSACAG00000004929.3
OG0001744	ENSMUSG00000022685.9	ENSACAG00000004973.3
OG0001746	ENSMUSG00000039771.13	ENSACAG00000000251.1
OG0001747	ENSMUSG00000035509.17	ENSACAG00000001144.3
OG0001747	ENSMUSG00000022124.15	ENSACAG00000000608.3
OG0001748	ENSMUSG00000029299.14, ENSMUSG00000029802.13	ENSACAG00000012812.3, ENSACAG00000028261.1, ENSACAG00000009175.3
OG0001749	ENSMUSG00000028825.7	ENSACAG00000013694.3
OG0001750	ENSMUSG00000039801.7	ENSACAG00000024019.1
OG0001751	ENSMUSG00000068794.7	ENSACAG00000013078.3
OG0001752	ENSMUSG00000061607.15	ENSACAG00000029581.1
OG0001753	ENSMUSG00000055436.18	ENSACAG00000013654.3
OG0001754	ENSMUSG00000027860.15	ENSACAG00000003153.2
OG0001754	ENSMUSG00000026556.15	ENSACAG00000012063.3
OG0001755	ENSMUSG00000029368.10, ENSMUSG00000070690.7, ENSMUSG00000054932.6	ENSACAG00000027678.1, ENSACAG00000010772.3
OG0001756	ENSMUSG00000041319.14	ENSACAG00000010341.3
OG0001757	ENSMUSG00000015522.18	ENSACAG00000011254.3
OG0001758	ENSMUSG00000032397.7	ENSACAG00000004267.3
OG0001759	ENSMUSG00000034908.16	ENSACAG00000001276.3
OG0001760	ENSMUSG00000027907.4	ENSACAG00000000617.2
OG0001761	ENSMUSG00000061559.15	ENSACAG00000005963.3
OG0001762	ENSMUSG00000076490.6, ENSMUSG00000076498.2	ENSACAG00000007933.3
OG0001763	ENSMUSG00000040722.7	ENSACAG00000017126.2
OG0001765	ENSMUSG00000004846.10, ENSMUSG00000019055.15	ENSACAG00000003968.3
OG0001767	ENSMUSG00000001739.14	ENSACAG00000028796.1, ENSACAG00000017570.3
OG0001768	ENSMUSG00000116207.1, ENSMUSG00000025453.18	ENSACAG00000010913.3
OG0001769	ENSMUSG00000002524.17	ENSACAG00000001645.3
OG0001770	ENSMUSG00000033703.9	ENSACAG00000002266.2
OG0001771	ENSMUSG00000028194.15	ENSACAG00000013151.2
OG0001772	ENSMUSG00000039298.16	ENSACAG00000013674.3, ENSACAG00000003890.2
OG0001773	ENSMUSG00000003429.11	ENSACAG00000003051.2
OG0001774	ENSMUSG00000000693.10	ENSACAG00000008711.3
OG0001775	ENSMUSG00000030795.18	ENSACAG00000006776.3
OG0001776	ENSMUSG00000030793.4	ENSACAG00000006690.2
OG0001777	ENSMUSG00000020719.14	ENSACAG00000000843.3
OG0001778	ENSMUSG00000022419.16	ENSACAG00000009022.3
OG0001780	ENSMUSG00000047492.5	ENSACAG00000022469.2
OG0001781	ENSMUSG00000009092.5	ENSACAG00000015130.2
OG0001782	ENSMUSG00000021273.11	ENSACAG00000015108.3, ENSACAG00000009101.2, ENSACAG00000001710.3, ENSACAG00000001793.2, ENSACAG00000015185.2, ENSACAG00000015224.3
OG0001783	ENSMUSG00000059439.15	ENSACAG00000025006.1, ENSACAG00000015364.3
OG0001784	ENSMUSG00000041633.14	ENSACAG00000006433.2
OG0001784	ENSMUSG00000098557.1	ENSACAG00000026026.1
OG0001785	ENSMUSG00000025283.15	ENSACAG00000007429.3
OG0001786	ENSMUSG00000079834.2	ENSACAG00000015669.3
OG0001787	ENSMUSG00000001123.15	ENSACAG00000008176.3
OG0001788	ENSMUSG00000003154.15	ENSACAG00000011293.3
OG0001789	ENSMUSG00000029098.17	ENSACAG00000012039.3
OG0001790	ENSMUSG00000087119.4, ENSMUSG00000079418.3, ENSMUSG00000116318.1	ENSACAG00000012035.2
OG0001791	ENSMUSG00000022595.7	ENSACAG00000001280.2
OG0001791	ENSMUSG00000022596.3	ENSACAG00000001305.2
OG0001792	ENSMUSG00000020736.12	ENSACAG00000028622.1
OG0001792	ENSMUSG00000032615.14	ENSACAG00000004475.3
OG0001793	ENSMUSG00000049550.17	ENSACAG00000001333.3
OG0001794	ENSMUSG00000028199.18	ENSACAG00000011385.3
OG0001795	ENSMUSG00000068523.12, ENSMUSG00000117145.1	ENSACAG00000005743.1
OG0001796	ENSMUSG00000005142.10	ENSACAG00000003913.3
OG0001797	ENSMUSG00000025854.15	ENSACAG00000000349.3
OG0001798	ENSMUSG00000056413.16	ENSACAG00000001117.1
OG0001799	ENSMUSG00000067215.5, ENSMUSG00000046269.17, ENSMUSG00000042506.15	ENSACAG00000001485.3
OG0001800	ENSMUSG00000038664.16	ENSACAG00000015385.2
OG0001801	ENSMUSG00000022568.17	ENSACAG00000000280.2
OG0001802	ENSMUSG00000070330.2	ENSACAG00000028438.1
OG0001802	ENSMUSG00000022715.3	ENSACAG00000006949.2
OG0001803	ENSMUSG00000022099.17	ENSACAG00000000794.3
OG0001804	ENSMUSG00000025868.6	ENSACAG00000006329.2
OG0001805	ENSMUSG00000025871.18	ENSACAG00000006360.3
OG0001806	ENSMUSG00000022255.16	ENSACAG00000015888.2, ENSACAG00000013717.2
OG0001807	ENSMUSG00000024104.11	ENSACAG00000007735.3
OG0001808	ENSMUSG00000025464.15	ENSACAG00000011786.2
OG0001809	ENSMUSG00000028245.15	ENSACAG00000005468.3
OG0001810	ENSMUSG00000031876.18, ENSMUSG00000110430.2, ENSMUSG00000078953.1, ENSMUSG00000054400.16	ENSACAG00000029155.1
OG0001811	ENSMUSG00000042439.13	ENSACAG00000007475.2
OG0001812	ENSMUSG00000027599.9	ENSACAG00000016790.3
OG0001813	ENSMUSG00000027335.9	ENSACAG00000000099.3
OG0001814	ENSMUSG00000024513.16	ENSACAG00000008739.3
OG0001816	ENSMUSG00000092083.4	ENSACAG00000026570.2
OG0001817	ENSMUSG00000036256.13	ENSACAG00000002080.3
OG0001817	ENSMUSG00000035551.6	ENSACAG00000012226.3
OG0001818	ENSMUSG00000094483.2	ENSACAG00000006057.2
OG0001819	ENSMUSG00000028138.8	ENSACAG00000014296.3
OG0001820	ENSMUSG00000061787.15	ENSACAG00000012225.2
OG0001821	ENSMUSG00000022185.19	ENSACAG00000007190.3
OG0001822	ENSMUSG00000029162.15	ENSACAG00000012086.2
OG0001823	ENSMUSG00000028086.15	ENSACAG00000010257.2, ENSACAG00000027328.2, ENSACAG00000002680.3
OG0001824	ENSMUSG00000097886.2	ENSACAG00000028705.1
OG0001824	ENSMUSG00000046182.8	ENSACAG00000016436.3
OG0001825	ENSMUSG00000030649.18, ENSMUSG00000074780.2	ENSACAG00000007875.3
OG0001827	ENSMUSG00000055368.14	ENSACAG00000016675.2
OG0001828	ENSMUSG00000022415.12	ENSACAG00000025152.2
OG0001828	ENSMUSG00000007021.5	ENSACAG00000012083.2
OG0001829	ENSMUSG00000046157.13	ENSACAG00000005611.2
OG0001830	ENSMUSG00000038056.15	ENSACAG00000014195.2
OG0001831	ENSMUSG00000021123.12, ENSMUSG00000066441.14	ENSACAG00000005799.3, ENSACAG00000005796.3, ENSACAG00000028597.1
OG0001832	ENSMUSG00000021027.17	ENSACAG00000023072.2
OG0001833	ENSMUSG00000099164.8, ENSMUSG00000005732.14	ENSACAG00000007966.2
OG0001834	ENSMUSG00000030738.11	ENSACAG00000005937.3
OG0001835	ENSMUSG00000030226.12	ENSACAG00000014542.3
OG0001835	ENSMUSG00000036111.8	ENSACAG00000012661.3
OG0001836	ENSMUSG00000029915.14	ENSACAG00000029563.1
OG0001837	ENSMUSG00000035227.7	ENSACAG00000003877.3
OG0001838	ENSMUSG00000002546.16, ENSMUSG00000075425.10	ENSACAG00000007239.3
OG0001839	ENSMUSG00000020428.13	ENSACAG00000015043.3
OG0001839	ENSMUSG00000029211.11	ENSACAG00000006845.3
OG0001840	ENSMUSG00000026502.13, ENSMUSG00000111522.1	ENSACAG00000004473.3
OG0001842	ENSMUSG00000031290.14	ENSACAG00000004355.3
OG0001843	ENSMUSG00000021565.16	ENSACAG00000001587.3
OG0001844	ENSMUSG00000027224.14, ENSMUSG00000027225.7	ENSACAG00000006617.3
OG0001845	ENSMUSG00000042476.12, ENSMUSG00000028970.9, ENSMUSG00000040584.8	ENSACAG00000016167.3
OG0001847	ENSMUSG00000042419.8	ENSACAG00000005365.3, ENSACAG00000007241.3
OG0001848	ENSMUSG00000042814.8, ENSMUSG00000000355.13	ENSACAG00000010791.3
OG0001849	ENSMUSG00000092534.8, ENSMUSG00000107068.1, ENSMUSG00000030680.6	ENSACAG00000014321.3
OG0001850	ENSMUSG00000029712.14, ENSMUSG00000027671.14	ENSACAG00000004548.3
OG0001851	ENSMUSG00000026377.12	ENSACAG00000004655.3
OG0001852	ENSMUSG00000024487.5	ENSACAG00000013799.3
OG0001853	ENSMUSG00000058503.11	ENSACAG00000015319.2
OG0001854	ENSMUSG00000013611.14	ENSACAG00000016431.3
OG0001855	ENSMUSG00000079055.10	ENSACAG00000022701.2
OG0001856	ENSMUSG00000049538.14	ENSACAG00000000648.3
OG0001857	ENSMUSG00000034055.16	ENSACAG00000006479.3
OG0001858	ENSMUSG00000024317.15, ENSMUSG00000083695.6	ENSACAG00000017867.3
OG0001859	ENSMUSG00000018707.13	ENSACAG00000000102.3
OG0001860	ENSMUSG00000025364.13	ENSACAG00000005022.3
OG0001861	ENSMUSG00000039985.14	ENSACAG00000012913.3
OG0001862	ENSMUSG00000036095.11	ENSACAG00000008171.3, ENSACAG00000012896.3
OG0001863	ENSMUSG00000027820.12	ENSACAG00000003903.3
OG0001864	ENSMUSG00000068154.5	ENSACAG00000024600.1
OG0001865	ENSMUSG00000053375.8, ENSMUSG00000019210.10	ENSACAG00000012403.3
OG0001866	ENSMUSG00000029924.12	ENSACAG00000012773.3
OG0001867	ENSMUSG00000020256.14	ENSACAG00000015729.3
OG0001868	ENSMUSG00000028341.9	ENSACAG00000008988.3
OG0001869	ENSMUSG00000044186.10, ENSMUSG00000044220.13	ENSACAG00000003684.2
OG0001870	ENSMUSG00000104158.2, ENSMUSG00000035086.13	ENSACAG00000013769.3
OG0001871	ENSMUSG00000078652.9	ENSACAG00000007122.2, ENSACAG00000013688.3
OG0001872	ENSMUSG00000078650.2	ENSACAG00000029477.1, ENSACAG00000013598.3
OG0001873	ENSMUSG00000025041.17	ENSACAG00000004601.3
OG0001874	ENSMUSG00000028538.12	ENSACAG00000014279.2
OG0001875	ENSMUSG00000019936.10	ENSACAG00000012287.2
OG0001875	ENSMUSG00000010311.15	ENSACAG00000002051.3
OG0001876	ENSMUSG00000028684.14	ENSACAG00000015256.3
OG0001877	ENSMUSG00000019888.16	ENSACAG00000004978.2, ENSACAG00000011183.3
OG0001878	ENSMUSG00000020923.17	ENSACAG00000017186.2
OG0001879	ENSMUSG00000034645.14	ENSACAG00000029108.1
OG0001879	ENSMUSG00000034636.9	ENSACAG00000008334.2
OG0001880	ENSMUSG00000056856.13, ENSMUSG00000111614.2	ENSACAG00000007932.3
OG0001881	ENSMUSG00000030188.12, ENSMUSG00000028609.6	ENSACAG00000008778.2
OG0001882	ENSMUSG00000037935.16	ENSACAG00000016067.3
OG0001883	ENSMUSG00000020912.4	ENSACAG00000017866.2
OG0001883	ENSMUSG00000020913.3	ENSACAG00000015988.3
OG0001884	ENSMUSG00000034165.16	ENSACAG00000003106.3
OG0001885	ENSMUSG00000024217.10	ENSACAG00000015721.3
OG0001886	ENSMUSG00000022025.13	ENSACAG00000000442.3
OG0001887	ENSMUSG00000052146.16	ENSACAG00000015886.3
OG0001888	ENSMUSG00000044071.9	ENSACAG00000001431.3
OG0001888	ENSMUSG00000055865.8	ENSACAG00000029548.1
OG0001889	ENSMUSG00000061517.8	ENSACAG00000002492.2
OG0001890	ENSMUSG00000033228.8	ENSACAG00000002372.3
OG0001891	ENSMUSG00000018678.13	ENSACAG00000006793.2
OG0001892	ENSMUSG00000029084.5	ENSACAG00000022948.1
OG0001893	ENSMUSG00000018666.13	ENSACAG00000006594.3
OG0001894	ENSMUSG00000027840.5	ENSACAG00000017925.3
OG0001895	ENSMUSG00000068823.10	ENSACAG00000003120.3
OG0001896	ENSMUSG00000021643.15	ENSACAG00000003491.2
OG0001897	ENSMUSG00000041801.5	ENSACAG00000003708.2
OG0001898	ENSMUSG00000002944.15	ENSACAG00000015775.3
OG0001899	ENSMUSG00000039050.8	ENSACAG00000004657.3
OG0001900	ENSMUSG00000061032.9, ENSMUSG00000058392.13	ENSACAG00000017851.3
OG0001901	ENSMUSG00000024039.15	ENSACAG00000002605.3, ENSACAG00000017832.3
OG0001902	ENSMUSG00000022957.20	ENSACAG00000004697.3
OG0001903	ENSMUSG00000022964.14	ENSACAG00000004223.3
OG0001904	ENSMUSG00000036977.8	ENSACAG00000003368.3
OG0001905	ENSMUSG00000037016.11, ENSMUSG00000042353.9	ENSACAG00000003206.2
OG0001906	ENSMUSG00000041132.11	ENSACAG00000004526.3
OG0001906	ENSMUSG00000029655.17	ENSACAG00000004509.2
OG0001907	ENSMUSG00000028081.6	ENSACAG00000002978.3
OG0001908	ENSMUSG00000032000.17, ENSMUSG00000057367.12	ENSACAG00000012650.3
OG0001909	ENSMUSG00000006262.15	ENSACAG00000012966.3
OG0001911	ENSMUSG00000061474.11	ENSACAG00000016447.2
OG0001912	ENSMUSG00000021645.16	ENSACAG00000010017.3
OG0001913	ENSMUSG00000021638.12	ENSACAG00000022344.2
OG0001915	ENSMUSG00000021707.5	ENSACAG00000010508.2
OG0001916	ENSMUSG00000046550.8	ENSACAG00000016513.2
OG0001917	ENSMUSG00000056829.4	ENSACAG00000023403.1
OG0001918	ENSMUSG00000024878.9	ENSACAG00000001658.2
OG0001919	ENSMUSG00000037996.17	ENSACAG00000017625.3
OG0001920	ENSMUSG00000069053.11	ENSACAG00000007320.3
OG0001920	ENSMUSG00000001924.15	ENSACAG00000005270.3
OG0001921	ENSMUSG00000023051.11	ENSACAG00000001100.3
OG0001922	ENSMUSG00000007682.6	ENSACAG00000017365.3
OG0001922	ENSMUSG00000075707.5	ENSACAG00000026352.1
OG0001923	ENSMUSG00000027751.13	ENSACAG00000017639.3
OG0001924	ENSMUSG00000060499.7, ENSMUSG00000058443.5, ENSMUSG00000008682.13	ENSACAG00000008192.3
OG0001925	ENSMUSG00000032566.4, ENSMUSG00000032565.9, ENSMUSG00000022516.10	ENSACAG00000012219.2
OG0001926	ENSMUSG00000031142.17	ENSACAG00000012965.3
OG0001927	ENSMUSG00000030666.11, ENSMUSG00000030669.13	ENSACAG00000012729.3
OG0001928	ENSMUSG00000037887.11	ENSACAG00000009286.3
OG0001929	ENSMUSG00000038611.17	ENSACAG00000015010.2
OG0001930	ENSMUSG00000026342.10	ENSACAG00000002712.3
OG0001931	ENSMUSG00000039307.16	ENSACAG00000016881.3
OG0001932	ENSMUSG00000020792.15	ENSACAG00000007951.3
OG0001933	ENSMUSG00000034616.17	ENSACAG00000007983.3
OG0001934	ENSMUSG00000075289.5, ENSMUSG00000097064.3	ENSACAG00000008231.3
OG0001935	ENSMUSG00000037477.8	ENSACAG00000008549.2
OG0001936	ENSMUSG00000036309.14	ENSACAG00000002723.3
OG0001937	ENSMUSG00000051056.5	ENSACAG00000014390.2
OG0001938	ENSMUSG00000030082.14	ENSACAG00000007248.3
OG0001939	ENSMUSG00000075225.14	ENSACAG00000006214.2, ENSACAG00000006204.2, ENSACAG00000006223.2
OG0001940	ENSMUSG00000019818.15	ENSACAG00000006232.1
OG0001941	ENSMUSG00000038246.7, ENSMUSG00000001962.8	ENSACAG00000005285.3
OG0001942	ENSMUSG00000024462.17	ENSACAG00000010752.3
OG0001943	ENSMUSG00000070520.4, ENSMUSG00000100937.1	ENSACAG00000011664.3
OG0001944	ENSMUSG00000059791.14	ENSACAG00000010370.3
OG0001945	ENSMUSG00000007038.5	ENSACAG00000012147.2
OG0001946	ENSMUSG00000007034.15	ENSACAG00000010687.3
OG0001947	ENSMUSG00000024939.6, ENSMUSG00000043068.6	ENSACAG00000002315.2
OG0001948	ENSMUSG00000052525.14	ENSACAG00000009356.2
OG0001985	ENSMUSG00000062997.6, ENSMUSG00000078193.2	ENSACAG00000004065.3
OG0001986	ENSMUSG00000060791.15	ENSACAG00000008921.3
OG0001986	ENSMUSG00000062014.13	ENSACAG00000016607.3
OG0001987	ENSMUSG00000028950.3	ENSACAG00000011436.2
OG0001987	ENSMUSG00000028738.14	ENSACAG00000008627.2
OG0001988	ENSMUSG00000022621.16	ENSACAG00000000418.3
OG0001989	ENSMUSG00000020990.5, ENSMUSG00000033966.8	ENSACAG00000001810.3
OG0001991	ENSMUSG00000040964.16	ENSACAG00000025490.2
OG0001992	ENSMUSG00000062070.12, ENSMUSG00000031233.6	ENSACAG00000003255.2
OG0001993	ENSMUSG00000062203.15	ENSACAG00000003979.3
OG0001994	ENSMUSG00000046093.9	ENSACAG00000002443.1
OG0001994	ENSMUSG00000054459.8	ENSACAG00000001746.3
OG0001995	ENSMUSG00000032399.8	ENSACAG00000009759.3
OG0001996	ENSMUSG00000022680.14	ENSACAG00000003758.2
OG0001997	ENSMUSG00000040746.15	ENSACAG00000008222.2, ENSACAG00000022127.1
OG0001998	ENSMUSG00000030996.8	ENSACAG00000002319.3, ENSACAG00000014091.3
OG0001999	ENSMUSG00000060657.8	ENSACAG00000024525.2, ENSACAG00000003689.3
OG0002000	ENSMUSG00000068615.4	ENSACAG00000001156.3, ENSACAG00000011341.3
OG0002002	ENSMUSG00000037031.10	ENSACAG00000005503.2, ENSACAG00000009256.2
OG0002003	ENSMUSG00000051220.2	ENSACAG00000029354.1, ENSACAG00000028866.1, ENSACAG00000001226.3
OG0002004	ENSMUSG00000034342.9	ENSACAG00000002124.2
OG0002005	ENSMUSG00000013662.6	ENSACAG00000015140.3
OG0002006	ENSMUSG00000026021.15	ENSACAG00000005177.3
OG0002007	ENSMUSG00000021136.13	ENSACAG00000005048.2, ENSACAG00000009748.3
OG0002008	ENSMUSG00000020076.7, ENSMUSG00000020075.8	ENSACAG00000009829.3
OG0002009	ENSMUSG00000052974.8, ENSMUSG00000078787.9	ENSACAG00000026791.2
OG0002011	ENSMUSG00000027187.10	ENSACAG00000013184.3, ENSACAG00000028247.1, ENSACAG00000013118.2
OG0002012	ENSMUSG00000004947.15	ENSACAG00000000996.3
OG0002013	ENSMUSG00000066621.12	ENSACAG00000001975.2
OG0002015	ENSMUSG00000054115.11, ENSMUSG00000111328.2	ENSACAG00000009107.2
OG0002016	ENSMUSG00000033526.16	ENSACAG00000005024.3
OG0002017	ENSMUSG00000029254.16, ENSMUSG00000038781.7	ENSACAG00000013238.3
OG0002018	ENSMUSG00000049152.11, ENSMUSG00000072664.11	ENSACAG00000008989.3
OG0002019	ENSMUSG00000058670.5, ENSMUSG00000042508.16	ENSACAG00000001448.3
OG0002020	ENSMUSG00000021848.16	ENSACAG00000005818.3
OG0002021	ENSMUSG00000031333.7	ENSACAG00000001179.3
OG0002022	ENSMUSG00000035506.16	ENSACAG00000025893.2
OG0002023	ENSMUSG00000029255.8	ENSACAG00000004483.2
OG0002024	ENSMUSG00000005069.12	ENSACAG00000007658.3
OG0002025	ENSMUSG00000001855.15	ENSACAG00000027354.2, ENSACAG00000026181.2
OG0002026	ENSMUSG00000029423.10	ENSACAG00000015614.3, ENSACAG00000024183.1, ENSACAG00000010879.3
OG0002027	ENSMUSG00000034903.18	ENSACAG00000015464.3, ENSACAG00000000923.3
OG0002028	ENSMUSG00000025511.15	ENSACAG00000015514.3
OG0002029	ENSMUSG00000054293.10, ENSMUSG00000050921.12	ENSACAG00000000910.3, ENSACAG00000027131.2
OG0002030	ENSMUSG00000026750.6, ENSMUSG00000031897.9	ENSACAG00000025211.2
