Orthogroup	X_tropicalis.pep	P_troglodytes.pep
OG0000580	ENSXETG00000019428.1	ENSPTRG00000012969.6
OG0000580	ENSXETG00000003806.1	ENSPTRG00000000253.7
OG0000581	ENSXETG00000000238.1	ENSPTRG00000044005.1
OG0000581	ENSXETG00000010904.1	ENSPTRG00000030045.4
OG0000582	ENSXETG00000008049.1	ENSPTRG00000023130.5
OG0000583	ENSXETG00000007604.1	ENSPTRG00000007199.3
OG0000583	ENSXETG00000008167.1	ENSPTRG00000043695.1
OG0000584	ENSXETG00000001067.1	ENSPTRG00000011933.6
OG0000584	ENSXETG00000018652.1	ENSPTRG00000006638.6, ENSPTRG00000042725.1
OG0000585	ENSXETG00000002905.1	ENSPTRG00000006549.5
OG0000585	ENSXETG00000011732.1, ENSXETG00000010103.1	ENSPTRG00000047166.1
OG0000586	ENSXETG00000006105.1	ENSPTRG00000006545.6, ENSPTRG00000043213.1
OG0000587	ENSXETG00000009679.1	ENSPTRG00000006967.6
OG0000588	ENSXETG00000020568.1, ENSXETG00000002881.1	ENSPTRG00000002002.7, ENSPTRG00000002003.7
OG0000589	ENSXETG00000008322.1	ENSPTRG00000011861.5
OG0000592	ENSXETG00000020468.1	ENSPTRG00000023535.3, ENSPTRG00000003214.5, ENSPTRG00000046060.1
OG0000601	ENSXETG00000014994.1	ENSPTRG00000002979.7
OG0000601	ENSXETG00000012462.1, ENSXETG00000001201.1, ENSXETG00000003245.1, ENSXETG00000001247.1, ENSXETG00000001260.1	ENSPTRG00000020039.7
OG0000602	ENSXETG00000016251.1	ENSPTRG00000017589.4
OG0000602	ENSXETG00000016385.1	ENSPTRG00000017590.6
OG0000603	ENSXETG00000011688.1	ENSPTRG00000020917.6
OG0000603	ENSXETG00000019555.1	ENSPTRG00000007140.5
OG0000604	ENSXETG00000007057.1	ENSPTRG00000031120.3
OG0000604	ENSXETG00000013739.1	ENSPTRG00000052729.1
OG0000605	ENSXETG00000004596.1	ENSPTRG00000005029.4
OG0000605	ENSXETG00000005181.1	ENSPTRG00000049485.1, ENSPTRG00000047890.1
OG0000606	ENSXETG00000016255.1	ENSPTRG00000049896.1, ENSPTRG00000048515.1, ENSPTRG00000045939.1, ENSPTRG00000044433.1, ENSPTRG00000002807.4
OG0000606	ENSXETG00000018084.1	ENSPTRG00000051032.1, ENSPTRG00000043134.1
OG0000607	ENSXETG00000003828.1, ENSXETG00000013042.1	ENSPTRG00000009449.6, ENSPTRG00000009446.5, ENSPTRG00000009448.5
OG0000608	ENSXETG00000020543.1	ENSPTRG00000049841.1, ENSPTRG00000043410.1, ENSPTRG00000043681.1, ENSPTRG00000039066.2, ENSPTRG00000052737.1
OG0000610	ENSXETG00000015666.1	ENSPTRG00000047558.1, ENSPTRG00000052660.1, ENSPTRG00000042979.1, ENSPTRG00000048520.1, ENSPTRG00000024031.4, ENSPTRG00000023445.6
OG0000611	ENSXETG00000009575.1	ENSPTRG00000007281.4, ENSPTRG00000007280.5
OG0000612	ENSXETG00000006661.1	ENSPTRG00000017270.4, ENSPTRG00000016579.6
OG0000613	ENSXETG00000009965.1	ENSPTRG00000009444.5
OG0000613	ENSXETG00000000737.1	ENSPTRG00000005536.4, ENSPTRG00000030689.2
OG0000614	ENSXETG00000018069.1	ENSPTRG00000021425.7, ENSPTRG00000048440.1, ENSPTRG00000010676.6
OG0000615	ENSXETG00000003673.1	ENSPTRG00000021702.5
OG0000615	ENSXETG00000009288.1	ENSPTRG00000050769.1, ENSPTRG00000051660.1, ENSPTRG00000052184.1, ENSPTRG00000043223.1, ENSPTRG00000049405.1, ENSPTRG00000050153.1
OG0000616	ENSXETG00000010429.1	ENSPTRG00000013945.6, ENSPTRG00000004437.6
OG0000617	ENSXETG00000006951.1	ENSPTRG00000023599.5
OG0000617	ENSXETG00000013906.1	ENSPTRG00000041138.2, ENSPTRG00000045370.1, ENSPTRG00000051883.1, ENSPTRG00000003827.5, ENSPTRG00000047650.1
OG0000618	ENSXETG00000020639.1	ENSPTRG00000018612.3
OG0000618	ENSXETG00000019735.1, ENSXETG00000015542.1, ENSXETG00000018451.1, ENSXETG00000002268.1	ENSPTRG00000029408.2, ENSPTRG00000047246.1
OG0000620	ENSXETG00000011588.1	ENSPTRG00000007124.4
OG0000620	ENSXETG00000013372.1	ENSPTRG00000010428.5
OG0000621	ENSXETG00000019141.1, ENSXETG00000019521.1	ENSPTRG00000009482.4
OG0000622	ENSXETG00000011741.1	ENSPTRG00000050701.1
OG0000622	ENSXETG00000000749.1	ENSPTRG00000022061.6
OG0000623	ENSXETG00000014494.1	ENSPTRG00000021377.7
OG0000623	ENSXETG00000016264.1	ENSPTRG00000001612.5
OG0000624	ENSXETG00000001084.1	ENSPTRG00000012521.6
OG0000624	ENSXETG00000017691.1	ENSPTRG00000002408.4
OG0000625	ENSXETG00000020795.1	ENSPTRG00000047627.1
OG0000625	ENSXETG00000002398.1	ENSPTRG00000030580.3
OG0000626	ENSXETG00000000169.1	ENSPTRG00000020517.5
OG0000626	ENSXETG00000010902.1	ENSPTRG00000000507.6
OG0000626	ENSXETG00000010385.1	ENSPTRG00000019945.6
OG0000627	ENSXETG00000001580.1, ENSXETG00000015576.1	ENSPTRG00000048560.1, ENSPTRG00000002711.7, ENSPTRG00000048181.1, ENSPTRG00000047592.1, ENSPTRG00000052644.1
OG0000629	ENSXETG00000003049.1	ENSPTRG00000020481.6
OG0000629	ENSXETG00000010278.1, ENSXETG00000018159.1	ENSPTRG00000050890.1, ENSPTRG00000011647.6, ENSPTRG00000042985.1
OG0000630	ENSXETG00000019352.1	ENSPTRG00000011649.4
OG0000630	ENSXETG00000008910.1	ENSPTRG00000000494.4
OG0000630	ENSXETG00000000092.1	ENSPTRG00000052014.1
OG0000631	ENSXETG00000006527.1	ENSPTRG00000010366.5
OG0000631	ENSXETG00000007762.1	ENSPTRG00000001026.5
OG0000632	ENSXETG00000016337.1	ENSPTRG00000017969.7, ENSPTRG00000021481.6
OG0000633	ENSXETG00000006372.1	ENSPTRG00000010192.6, ENSPTRG00000021864.6, ENSPTRG00000044048.1
OG0000634	ENSXETG00000010777.1	ENSPTRG00000041593.2, ENSPTRG00000022116.6, ENSPTRG00000048802.1, ENSPTRG00000003791.4
OG0000635	ENSXETG00000000494.1	ENSPTRG00000019405.6
OG0000636	ENSXETG00000014858.1	ENSPTRG00000041448.2
OG0000636	ENSXETG00000017413.1	ENSPTRG00000034025.3
OG0000637	ENSXETG00000014380.1	ENSPTRG00000003818.3
OG0000637	ENSXETG00000003574.1, ENSXETG00000003529.1	ENSPTRG00000013261.7
OG0000638	ENSXETG00000013516.1	ENSPTRG00000048534.1, ENSPTRG00000051293.1, ENSPTRG00000048439.1, ENSPTRG00000017235.6
OG0000638	ENSXETG00000020162.1	ENSPTRG00000028515.4, ENSPTRG00000050280.1
OG0000639	ENSXETG00000018751.1	ENSPTRG00000001102.7
OG0000639	ENSXETG00000011519.1	ENSPTRG00000005197.4
OG0000641	ENSXETG00000008254.1	ENSPTRG00000010294.4, ENSPTRG00000042432.2, ENSPTRG00000050269.1, ENSPTRG00000043672.1, ENSPTRG00000007193.3
OG0000642	ENSXETG00000016331.1	ENSPTRG00000016734.4
OG0000643	ENSXETG00000005442.1	ENSPTRG00000006773.6
OG0000643	ENSXETG00000017433.1	ENSPTRG00000044720.1, ENSPTRG00000002178.5
OG0000644	ENSXETG00000004872.1	ENSPTRG00000015748.3, ENSPTRG00000003805.5, ENSPTRG00000003806.6, ENSPTRG00000003804.6
OG0000645	ENSXETG00000001400.1	ENSPTRG00000018892.5, ENSPTRG00000049607.1, ENSPTRG00000041962.2
OG0000645	ENSXETG00000002711.1	ENSPTRG00000030742.4
OG0000646	ENSXETG00000019564.1	ENSPTRG00000009629.5
OG0000647	ENSXETG00000020280.1	ENSPTRG00000023124.5, ENSPTRG00000003947.6
OG0000648	ENSXETG00000017484.1	ENSPTRG00000028382.4, ENSPTRG00000048454.1, ENSPTRG00000019786.7, ENSPTRG00000050880.1, ENSPTRG00000015590.6
OG0000649	ENSXETG00000018465.1	ENSPTRG00000012502.6
OG0000649	ENSXETG00000019322.1	ENSPTRG00000018936.5
OG0000650	ENSXETG00000014490.1	ENSPTRG00000028890.5, ENSPTRG00000045461.1
OG0000651	ENSXETG00000002035.1, ENSXETG00000002043.1, ENSXETG00000002020.1, ENSXETG00000015382.1, ENSXETG00000015372.1, ENSXETG00000015392.1, ENSXETG00000014174.1, ENSXETG00000020486.1, ENSXETG00000002048.1, ENSXETG00000007264.1, ENSXETG00000007233.1, ENSXETG00000007239.1, ENSXETG00000007087.1, ENSXETG00000014183.1	ENSPTRG00000015440.4
OG0000652	ENSXETG00000011408.1, ENSXETG00000008156.1	ENSPTRG00000014323.3
OG0000652	ENSXETG00000011398.1	ENSPTRG00000014324.6
OG0000653	ENSXETG00000004090.1	ENSPTRG00000009671.3
OG0000653	ENSXETG00000008503.1, ENSXETG00000000058.1	ENSPTRG00000014349.3
OG0000654	ENSXETG00000021131.1	ENSPTRG00000018009.5
OG0000655	ENSXETG00000020969.1	ENSPTRG00000028239.2, ENSPTRG00000047833.1, ENSPTRG00000022110.5, ENSPTRG00000019546.5
OG0000656	ENSXETG00000006524.1	ENSPTRG00000005775.7
OG0000657	ENSXETG00000006256.1, ENSXETG00000005776.1	ENSPTRG00000005711.5
OG0000658	ENSXETG00000002599.1	ENSPTRG00000001355.6
OG0000658	ENSXETG00000006731.1	ENSPTRG00000017006.5
OG0000659	ENSXETG00000020113.1	ENSPTRG00000052864.1, ENSPTRG00000047296.1, ENSPTRG00000014854.4
OG0000660	ENSXETG00000002139.1	ENSPTRG00000013252.4
OG0000660	ENSXETG00000000338.1	ENSPTRG00000039900.2, ENSPTRG00000052248.1
OG0000661	ENSXETG00000000043.1	ENSPTRG00000006423.5
OG0000661	ENSXETG00000005982.1	ENSPTRG00000001946.5
OG0000662	ENSXETG00000007304.1	ENSPTRG00000011994.6
OG0000662	ENSXETG00000017666.1	ENSPTRG00000006901.7
OG0000663	ENSXETG00000003592.1	ENSPTRG00000044981.1, ENSPTRG00000022405.6, ENSPTRG00000043055.1, ENSPTRG00000042890.1, ENSPTRG00000048840.1, ENSPTRG00000051137.1, ENSPTRG00000050829.1
OG0000664	ENSXETG00000016832.1	ENSPTRG00000004925.5
OG0000664	ENSXETG00000006093.1	ENSPTRG00000043993.1
OG0000666	ENSXETG00000004426.1, ENSXETG00000016612.1	ENSPTRG00000003968.5
OG0000667	ENSXETG00000013701.1	ENSPTRG00000017605.4, ENSPTRG00000012792.6
OG0000668	ENSXETG00000012221.1	ENSPTRG00000017983.6
OG0000669	ENSXETG00000019178.1	ENSPTRG00000045611.1, ENSPTRG00000044552.1, ENSPTRG00000046780.1
OG0000670	ENSXETG00000017204.1	ENSPTRG00000031009.4, ENSPTRG00000018010.7
OG0000670	ENSXETG00000017242.1	ENSPTRG00000014264.5
OG0000673	ENSXETG00000014621.1	ENSPTRG00000047626.1, ENSPTRG00000044941.1, ENSPTRG00000047539.1, ENSPTRG00000049235.1
OG0000683	ENSXETG00000009377.1, ENSXETG00000009424.1, ENSXETG00000009445.1, ENSXETG00000009486.1	ENSPTRG00000013485.6, ENSPTRG00000013486.2
OG0000684	ENSXETG00000018253.1	ENSPTRG00000000478.3
OG0000684	ENSXETG00000004789.1	ENSPTRG00000050313.1
OG0000685	ENSXETG00000011674.1	ENSPTRG00000048408.1, ENSPTRG00000045345.1, ENSPTRG00000022841.4, ENSPTRG00000047373.1, ENSPTRG00000044294.1, ENSPTRG00000008341.4, ENSPTRG00000042763.1, ENSPTRG00000049971.1
OG0000686	ENSXETG00000018614.1	ENSPTRG00000045026.1, ENSPTRG00000019149.5
OG0000686	ENSXETG00000005238.1	ENSPTRG00000002492.7
OG0000687	ENSXETG00000007901.1	ENSPTRG00000048973.1, ENSPTRG00000043117.1, ENSPTRG00000045620.1, ENSPTRG00000000034.4
OG0000688	ENSXETG00000000495.1	ENSPTRG00000048374.1
OG0000689	ENSXETG00000007519.1	ENSPTRG00000002438.6, ENSPTRG00000052470.1, ENSPTRG00000012853.5
OG0000689	ENSXETG00000007128.1	ENSPTRG00000002421.7
OG0000690	ENSXETG00000009782.1	ENSPTRG00000016347.4
OG0000690	ENSXETG00000011246.1	ENSPTRG00000023677.5
OG0000691	ENSXETG00000010112.1	ENSPTRG00000011004.5
OG0000691	ENSXETG00000004850.1	ENSPTRG00000033741.3
OG0000692	ENSXETG00000000039.1	ENSPTRG00000002584.6
OG0000692	ENSXETG00000001574.1	ENSPTRG00000017244.3
OG0000693	ENSXETG00000014873.1	ENSPTRG00000001067.7
OG0000693	ENSXETG00000018258.1	ENSPTRG00000051713.1, ENSPTRG00000019681.5, ENSPTRG00000052110.1
OG0000694	ENSXETG00000005807.1	ENSPTRG00000006311.6
OG0000694	ENSXETG00000005473.1	ENSPTRG00000018124.6
OG0000695	ENSXETG00000010089.1	ENSPTRG00000015274.6
OG0000695	ENSXETG00000018699.1	ENSPTRG00000018687.6
OG0000696	ENSXETG00000010479.1	ENSPTRG00000008598.6
OG0000697	ENSXETG00000018214.1	ENSPTRG00000012698.6
OG0000698	ENSXETG00000001871.1	ENSPTRG00000050307.1
OG0000698	ENSXETG00000013449.1	ENSPTRG00000001798.6
OG0000699	ENSXETG00000004016.1	ENSPTRG00000029182.2
OG0000699	ENSXETG00000016932.1, ENSXETG00000012547.1	ENSPTRG00000052148.1
OG0000700	ENSXETG00000003491.1	ENSPTRG00000048676.1, ENSPTRG00000048734.1, ENSPTRG00000045768.1, ENSPTRG00000043543.1, ENSPTRG00000049369.1, ENSPTRG00000042326.2, ENSPTRG00000048745.1, ENSPTRG00000044220.1, ENSPTRG00000044931.1
OG0000702	ENSXETG00000016357.1	ENSPTRG00000021362.6
OG0000702	ENSXETG00000014047.1	ENSPTRG00000001767.6
OG0000703	ENSXETG00000001203.1	ENSPTRG00000033974.2
OG0000704	ENSXETG00000006082.1, ENSXETG00000005904.1, ENSXETG00000005887.1	ENSPTRG00000049008.1, ENSPTRG00000010984.5
OG0000705	ENSXETG00000017846.1	ENSPTRG00000031023.3, ENSPTRG00000020072.5, ENSPTRG00000020070.6, ENSPTRG00000020074.4
OG0000706	ENSXETG00000007556.1	ENSPTRG00000048268.1, ENSPTRG00000004231.7, ENSPTRG00000028413.3, ENSPTRG00000004230.4, ENSPTRG00000023646.2
OG0000707	ENSXETG00000021061.1	ENSPTRG00000004472.6
OG0000707	ENSXETG00000009595.1	ENSPTRG00000010866.6
OG0000708	ENSXETG00000021171.1	ENSPTRG00000019632.6
OG0000708	ENSXETG00000004023.1	ENSPTRG00000015072.6
OG0000709	ENSXETG00000001945.1	ENSPTRG00000002795.5
OG0000709	ENSXETG00000008707.1	ENSPTRG00000020054.7
OG0000709	ENSXETG00000006835.1	ENSPTRG00000016577.4
OG0000710	ENSXETG00000002075.1	ENSPTRG00000005493.3
OG0000710	ENSXETG00000005076.1	ENSPTRG00000009050.6
OG0000711	ENSXETG00000014111.1	ENSPTRG00000049477.1, ENSPTRG00000022104.7
OG0000711	ENSXETG00000010419.1	ENSPTRG00000016041.6
OG0000713	ENSXETG00000002216.1	ENSPTRG00000008720.6
OG0000713	ENSXETG00000004110.1	ENSPTRG00000022174.4
OG0000714	ENSXETG00000004006.1	ENSPTRG00000013672.6
OG0000714	ENSXETG00000011546.1	ENSPTRG00000052052.1
OG0000715	ENSXETG00000019088.1, ENSXETG00000020058.1	ENSPTRG00000018613.5, ENSPTRG00000018615.6, ENSPTRG00000018614.6
OG0000716	ENSXETG00000010805.1	ENSPTRG00000004182.4, ENSPTRG00000004029.5, ENSPTRG00000045624.1, ENSPTRG00000004027.4, ENSPTRG00000004030.6
OG0000717	ENSXETG00000010350.1	ENSPTRG00000029345.2
OG0000717	ENSXETG00000014394.1	ENSPTRG00000022389.5, ENSPTRG00000044072.1
OG0000719	ENSXETG00000000850.1	ENSPTRG00000001461.6
OG0000719	ENSXETG00000015532.1	ENSPTRG00000007455.6
OG0000720	ENSXETG00000004700.1	ENSPTRG00000000896.6
OG0000720	ENSXETG00000007768.1	ENSPTRG00000010588.6
OG0000721	ENSXETG00000007115.1	ENSPTRG00000052159.1
OG0000721	ENSXETG00000008541.1	ENSPTRG00000021286.6
OG0000722	ENSXETG00000018462.1	ENSPTRG00000022822.4
OG0000722	ENSXETG00000009129.1	ENSPTRG00000046342.1
OG0000723	ENSXETG00000008507.1	ENSPTRG00000009059.3
OG0000723	ENSXETG00000018718.1	ENSPTRG00000005551.7
OG0000724	ENSXETG00000016609.1	ENSPTRG00000017669.6, ENSPTRG00000017668.4, ENSPTRG00000010084.6, ENSPTRG00000046485.1
OG0000725	ENSXETG00000019850.1	ENSPTRG00000047314.1, ENSPTRG00000009364.5
OG0000726	ENSXETG00000002468.1	ENSPTRG00000008525.5
OG0000726	ENSXETG00000016133.1	ENSPTRG00000014262.6
OG0000727	ENSXETG00000012309.1	ENSPTRG00000012722.4
OG0000727	ENSXETG00000000454.1, ENSXETG00000000470.1	ENSPTRG00000019404.7
OG0000728	ENSXETG00000017569.1	ENSPTRG00000047761.1, ENSPTRG00000014279.6
OG0000729	ENSXETG00000011252.1	ENSPTRG00000014173.6
OG0000729	ENSXETG00000007502.1	ENSPTRG00000008806.3
OG0000730	ENSXETG00000004122.1	ENSPTRG00000002784.7
OG0000731	ENSXETG00000017527.1	ENSPTRG00000004450.4
OG0000731	ENSXETG00000003200.1	ENSPTRG00000008301.7, ENSPTRG00000008298.5
OG0000732	ENSXETG00000015204.1	ENSPTRG00000002761.6
OG0000732	ENSXETG00000015156.1	ENSPTRG00000012052.6
OG0000733	ENSXETG00000010733.1	ENSPTRG00000021762.4
OG0000733	ENSXETG00000019378.1	ENSPTRG00000022140.4
OG0000734	ENSXETG00000004034.1	ENSPTRG00000002904.6
OG0000734	ENSXETG00000013874.1	ENSPTRG00000012241.6
OG0000735	ENSXETG00000003814.1	ENSPTRG00000020921.7
OG0000735	ENSXETG00000001640.1	ENSPTRG00000001359.5, ENSPTRG00000043694.1
OG0000736	ENSXETG00000014969.1, ENSXETG00000011616.1	ENSPTRG00000014540.6
OG0000736	ENSXETG00000015529.1	ENSPTRG00000003984.6
OG0000737	ENSXETG00000018899.1	ENSPTRG00000005104.4
OG0000737	ENSXETG00000017301.1	ENSPTRG00000039358.2, ENSPTRG00000052304.1
OG0000738	ENSXETG00000011956.1, ENSXETG00000011948.1	ENSPTRG00000014804.4
OG0000739	ENSXETG00000000151.1	ENSPTRG00000047862.1, ENSPTRG00000009311.6
OG0000739	ENSXETG00000012454.1	ENSPTRG00000019043.6
OG0000740	ENSXETG00000015127.1	ENSPTRG00000015163.6
OG0000740	ENSXETG00000021142.1	ENSPTRG00000004475.4
OG0000741	ENSXETG00000000426.1	ENSPTRG00000044013.1, ENSPTRG00000051835.1, ENSPTRG00000051496.1, ENSPTRG00000034249.3
OG0000742	ENSXETG00000007273.1	ENSPTRG00000050183.1, ENSPTRG00000028539.3
OG0000742	ENSXETG00000007241.1	ENSPTRG00000051682.1, ENSPTRG00000042699.1
OG0000743	ENSXETG00000002421.1	ENSPTRG00000002392.7
OG0000744	ENSXETG00000006412.1	ENSPTRG00000044130.1, ENSPTRG00000050277.1, ENSPTRG00000051295.1, ENSPTRG00000050569.1, ENSPTRG00000042923.1, ENSPTRG00000046517.1, ENSPTRG00000047742.1, ENSPTRG00000045169.1, ENSPTRG00000052871.1, ENSPTRG00000047136.1
OG0000745	ENSXETG00000019656.1	ENSPTRG00000012265.6
OG0000745	ENSXETG00000002559.1	ENSPTRG00000046448.1, ENSPTRG00000016036.7
OG0000746	ENSXETG00000019900.1	ENSPTRG00000004223.4, ENSPTRG00000016051.5
OG0000747	ENSXETG00000009188.1	ENSPTRG00000000673.6
OG0000747	ENSXETG00000015678.1	ENSPTRG00000020911.4
OG0000748	ENSXETG00000011188.1	ENSPTRG00000004796.5, ENSPTRG00000024190.5
OG0000749	ENSXETG00000007809.1	ENSPTRG00000009295.6
OG0000749	ENSXETG00000004889.1	ENSPTRG00000002319.6
OG0000750	ENSXETG00000019687.1	ENSPTRG00000009272.6
OG0000750	ENSXETG00000016238.1	ENSPTRG00000019371.5, ENSPTRG00000050572.1
OG0000751	ENSXETG00000011207.1	ENSPTRG00000012868.2
OG0000751	ENSXETG00000008721.1, ENSXETG00000007193.1	ENSPTRG00000014861.5
OG0000752	ENSXETG00000000678.1	ENSPTRG00000011449.6, ENSPTRG00000045479.1, ENSPTRG00000049556.1, ENSPTRG00000041697.2, ENSPTRG00000050995.1
OG0000753	ENSXETG00000013542.1	ENSPTRG00000015582.5
OG0000753	ENSXETG00000012968.1	ENSPTRG00000005878.4
OG0000754	ENSXETG00000018199.1	ENSPTRG00000004519.4
OG0000754	ENSXETG00000017672.1	ENSPTRG00000045050.1
OG0000755	ENSXETG00000000327.1	ENSPTRG00000013290.6
OG0000755	ENSXETG00000019204.1	ENSPTRG00000006290.4
OG0000756	ENSXETG00000012347.1	ENSPTRG00000014038.4
OG0000756	ENSXETG00000016121.1, ENSXETG00000010500.1	ENSPTRG00000047433.1
OG0000757	ENSXETG00000008749.1	ENSPTRG00000005354.6
OG0000757	ENSXETG00000018423.1	ENSPTRG00000001089.5
OG0000758	ENSXETG00000000350.1	ENSPTRG00000021442.7
OG0000758	ENSXETG00000020631.1	ENSPTRG00000041247.2
OG0000759	ENSXETG00000013867.1	ENSPTRG00000014343.4
OG0000760	ENSXETG00000003833.1	ENSPTRG00000050450.1, ENSPTRG00000015429.6
OG0000763	ENSXETG00000006176.1	ENSPTRG00000003441.6
OG0000763	ENSXETG00000004714.1	ENSPTRG00000004848.5
OG0000764	ENSXETG00000012536.1	ENSPTRG00000015197.5
OG0000764	ENSXETG00000013172.1	ENSPTRG00000018167.5
OG0000765	ENSXETG00000015664.1	ENSPTRG00000021683.5
OG0000765	ENSXETG00000015689.1	ENSPTRG00000021682.5, ENSPTRG00000044489.1
OG0000766	ENSXETG00000009481.1	ENSPTRG00000039094.2, ENSPTRG00000042842.1, ENSPTRG00000023546.4, ENSPTRG00000049090.1, ENSPTRG00000044153.1, ENSPTRG00000048546.1
OG0000768	ENSXETG00000002232.1	ENSPTRG00000047359.1, ENSPTRG00000048008.1, ENSPTRG00000048984.1, ENSPTRG00000050599.1, ENSPTRG00000044268.1, ENSPTRG00000044893.1
OG0000768	ENSXETG00000016925.1	ENSPTRG00000016597.5
OG0000769	ENSXETG00000005799.1	ENSPTRG00000004153.6
OG0000769	ENSXETG00000020023.1	ENSPTRG00000018684.7
OG0000770	ENSXETG00000013426.1	ENSPTRG00000016942.5
OG0000770	ENSXETG00000020227.1, ENSXETG00000007722.1	ENSPTRG00000051825.1, ENSPTRG00000007123.4
OG0000771	ENSXETG00000020607.1	ENSPTRG00000020961.7, ENSPTRG00000008367.7
OG0000772	ENSXETG00000000785.1	ENSPTRG00000006504.6, ENSPTRG00000002161.6
OG0000773	ENSXETG00000005777.1	ENSPTRG00000006516.3, ENSPTRG00000030702.4, ENSPTRG00000006518.4
OG0000774	ENSXETG00000005378.1, ENSXETG00000012368.1, ENSXETG00000012392.1, ENSXETG00000012316.1	ENSPTRG00000015297.6
OG0000775	ENSXETG00000018224.1	ENSPTRG00000046378.1, ENSPTRG00000034281.3, ENSPTRG00000047416.1, ENSPTRG00000042970.1, ENSPTRG00000049153.1, ENSPTRG00000052422.1, ENSPTRG00000052386.1, ENSPTRG00000051964.1, ENSPTRG00000052368.1, ENSPTRG00000044889.1
OG0000776	ENSXETG00000018419.1	ENSPTRG00000017591.3
OG0000776	ENSXETG00000018834.1	ENSPTRG00000045674.1
OG0000776	ENSXETG00000021384.1	ENSPTRG00000019148.5
OG0000777	ENSXETG00000001954.1	ENSPTRG00000051839.1
OG0000778	ENSXETG00000001230.1	ENSPTRG00000002040.5, ENSPTRG00000018214.6
OG0000779	ENSXETG00000014946.1, ENSXETG00000014907.1, ENSXETG00000014801.1	ENSPTRG00000044511.1, ENSPTRG00000049386.1, ENSPTRG00000047614.1
OG0000784	ENSXETG00000016090.1, ENSXETG00000013100.1, ENSXETG00000013103.1, ENSXETG00000013090.1, ENSXETG00000013109.1, ENSXETG00000015793.1, ENSXETG00000013121.1, ENSXETG00000013117.1, ENSXETG00000013114.1, ENSXETG00000013120.1, ENSXETG00000013113.1, ENSXETG00000013111.1, ENSXETG00000013126.1, ENSXETG00000013140.1, ENSXETG00000013133.1, ENSXETG00000012701.1	ENSPTRG00000017346.7
OG0000790	ENSXETG00000008357.1	ENSPTRG00000010478.4
OG0000790	ENSXETG00000009273.1	ENSPTRG00000010642.4
OG0000791	ENSXETG00000020707.1	ENSPTRG00000010319.6
OG0000791	ENSXETG00000004213.1, ENSXETG00000015787.1	ENSPTRG00000007182.6
OG0000792	ENSXETG00000010011.1	ENSPTRG00000044358.1
OG0000792	ENSXETG00000012899.1	ENSPTRG00000010422.5
OG0000793	ENSXETG00000012320.1	ENSPTRG00000000257.7
OG0000794	ENSXETG00000004541.1	ENSPTRG00000019030.5
OG0000794	ENSXETG00000018850.1	ENSPTRG00000012659.6
OG0000795	ENSXETG00000004405.1	ENSPTRG00000008843.6
OG0000795	ENSXETG00000018071.1	ENSPTRG00000049499.1
OG0000796	ENSXETG00000014221.1	ENSPTRG00000010219.4
OG0000796	ENSXETG00000017303.1	ENSPTRG00000007389.5
OG0000797	ENSXETG00000014840.1	ENSPTRG00000052288.1
OG0000797	ENSXETG00000020516.1	ENSPTRG00000004565.6
OG0000798	ENSXETG00000005011.1	ENSPTRG00000016335.6
OG0000798	ENSXETG00000020750.1	ENSPTRG00000041040.2, ENSPTRG00000050687.1, ENSPTRG00000002585.7
OG0000799	ENSXETG00000003176.1	ENSPTRG00000008860.3
OG0000799	ENSXETG00000004796.1	ENSPTRG00000009678.6
OG0000800	ENSXETG00000007367.1	ENSPTRG00000008470.6
OG0000800	ENSXETG00000011639.1	ENSPTRG00000020416.6
OG0000801	ENSXETG00000009703.1	ENSPTRG00000019322.6, ENSPTRG00000046806.1
OG0000802	ENSXETG00000010054.1	ENSPTRG00000006146.6
OG0000802	ENSXETG00000002475.1	ENSPTRG00000008263.7
OG0000804	ENSXETG00000018499.1	ENSPTRG00000001703.7
OG0000804	ENSXETG00000006706.1	ENSPTRG00000021342.7
OG0000805	ENSXETG00000012861.1	ENSPTRG00000016207.6
OG0000805	ENSXETG00000011677.1	ENSPTRG00000012011.6
OG0000806	ENSXETG00000005294.1	ENSPTRG00000001204.5
OG0000806	ENSXETG00000007041.1	ENSPTRG00000007215.5
OG0000808	ENSXETG00000001798.1	ENSPTRG00000051995.1, ENSPTRG00000048842.1, ENSPTRG00000049337.1
OG0000809	ENSXETG00000017833.1	ENSPTRG00000001740.4, ENSPTRG00000021546.6
OG0000810	ENSXETG00000017220.1	ENSPTRG00000049206.1
OG0000810	ENSXETG00000018743.1, ENSXETG00000003896.1	ENSPTRG00000052020.1, ENSPTRG00000031262.3
OG0000811	ENSXETG00000017787.1	ENSPTRG00000014694.5
OG0000811	ENSXETG00000003254.1	ENSPTRG00000009189.6
OG0000812	ENSXETG00000003335.1	ENSPTRG00000015311.6
OG0000812	ENSXETG00000011780.1	ENSPTRG00000016735.6
OG0000813	ENSXETG00000009482.1	ENSPTRG00000030043.4
OG0000814	ENSXETG00000010345.1	ENSPTRG00000014367.4
OG0000815	ENSXETG00000000511.1	ENSPTRG00000008612.4
OG0000815	ENSXETG00000020144.1	ENSPTRG00000022726.5
OG0000816	ENSXETG00000017405.1	ENSPTRG00000007061.6
OG0000817	ENSXETG00000003519.1	ENSPTRG00000012336.6
OG0000817	ENSXETG00000011008.1	ENSPTRG00000016587.4
OG0000818	ENSXETG00000000289.1	ENSPTRG00000009546.6
