Orthogroup	X_tropicalis.pep	H_sapiens.pep
OG0000604	ENSXETG00000013739.1	ENSG00000100836.10
OG0000605	ENSXETG00000004596.1	ENSG00000180806.5
OG0000605	ENSXETG00000005181.1	ENSG00000257184.3, ENSG00000078399.19
OG0000606	ENSXETG00000016255.1	ENSG00000226784.3, ENSG00000171314.9
OG0000606	ENSXETG00000018084.1	ENSG00000164708.6
OG0000607	ENSXETG00000003828.1, ENSXETG00000013042.1	ENSG00000005381.8, ENSG00000121053.6, ENSG00000167419.11
OG0000608	ENSXETG00000020543.1	ENSG00000011009.11, ENSG00000120992.18
OG0000609	ENSXETG00000019747.1	ENSG00000235155.4, ENSG00000206285.6, ENSG00000235863.4, ENSG00000226936.4, ENSG00000236802.4
OG0000610	ENSXETG00000015666.1	ENSG00000203857.10, ENSG00000203859.10
OG0000611	ENSXETG00000009575.1	ENSG00000140505.7, ENSG00000140465.14
OG0000612	ENSXETG00000006661.1	ENSG00000152377.14, ENSG00000196104.11
OG0000613	ENSXETG00000009965.1	ENSG00000264364.3
OG0000613	ENSXETG00000000737.1	ENSG00000088986.11
OG0000614	ENSXETG00000018069.1	ENSG00000167114.13, ENSG00000130304.17
OG0000615	ENSXETG00000003673.1	ENSG00000102054.17
OG0000615	ENSXETG00000009288.1	ENSG00000162521.19
OG0000616	ENSXETG00000010429.1	ENSG00000160190.14, ENSG00000134955.11
OG0000617	ENSXETG00000006951.1	ENSG00000198729.5
OG0000617	ENSXETG00000013906.1	ENSG00000173457.11
OG0000618	ENSXETG00000020639.1	ENSG00000146399.2
OG0000618	ENSXETG00000019735.1, ENSXETG00000015542.1, ENSXETG00000018451.1, ENSXETG00000002268.1	ENSG00000146378.6
OG0000620	ENSXETG00000011588.1	ENSG00000157483.9
OG0000620	ENSXETG00000013372.1	ENSG00000142347.19
OG0000621	ENSXETG00000019141.1, ENSXETG00000019521.1	ENSG00000167434.10
OG0000622	ENSXETG00000011741.1	ENSG00000198478.8
OG0000622	ENSXETG00000000749.1	ENSG00000131171.13
OG0000623	ENSXETG00000014494.1	ENSG00000136944.18
OG0000623	ENSXETG00000016264.1	ENSG00000162761.14
OG0000624	ENSXETG00000001084.1	ENSG00000168280.17, ENSG00000276734.4
OG0000624	ENSXETG00000017691.1	ENSG00000170759.11
OG0000625	ENSXETG00000020795.1	ENSG00000251493.5
OG0000625	ENSXETG00000002398.1	ENSG00000187140.6
OG0000626	ENSXETG00000000169.1	ENSG00000164796.18
OG0000626	ENSXETG00000010902.1	ENSG00000121904.17
OG0000626	ENSXETG00000010385.1	ENSG00000183117.19
OG0000627	ENSXETG00000001580.1, ENSXETG00000015576.1	ENSG00000148672.9, ENSG00000182890.5, ENSG00000288118.1
OG0000629	ENSXETG00000003049.1	ENSG00000048392.12
OG0000629	ENSXETG00000010278.1, ENSXETG00000018159.1	ENSG00000171848.15
OG0000630	ENSXETG00000019352.1	ENSG00000115756.13
OG0000630	ENSXETG00000008910.1	ENSG00000121905.10
OG0000631	ENSXETG00000006527.1	ENSG00000125648.15
OG0000631	ENSXETG00000007762.1	ENSG00000085491.17, ENSG00000284468.3
OG0000632	ENSXETG00000016337.1	ENSG00000234836.7, ENSG00000206428.9, ENSG00000204472.13, ENSG00000235588.8, ENSG00000235985.7, ENSG00000237727.7, ENSG00000126878.13
OG0000633	ENSXETG00000006372.1	ENSG00000099622.14, ENSG00000102317.18
OG0000634	ENSXETG00000010777.1	ENSG00000126952.17, ENSG00000269405.6, ENSG00000269437.7, ENSG00000162231.14
OG0000635	ENSXETG00000000494.1	ENSG00000105825.14
OG0000636	ENSXETG00000014858.1	ENSG00000274286.2
OG0000636	ENSXETG00000017413.1	ENSG00000184160.8
OG0000637	ENSXETG00000014380.1	ENSG00000133315.11
OG0000637	ENSXETG00000003574.1, ENSXETG00000003529.1	ENSG00000172264.17
OG0000638	ENSXETG00000013516.1	ENSG00000213585.11
OG0000638	ENSXETG00000020162.1	ENSG00000165637.13
OG0000639	ENSXETG00000018751.1	ENSG00000116473.14
OG0000639	ENSXETG00000011519.1	ENSG00000127314.18
OG0000641	ENSXETG00000008254.1	ENSG00000126934.13, ENSG00000230626.4, ENSG00000169032.9
OG0000642	ENSXETG00000016331.1	ENSG00000039139.9
OG0000643	ENSXETG00000005442.1	ENSG00000185100.10
OG0000643	ENSXETG00000017433.1	ENSG00000035687.10
OG0000644	ENSXETG00000004872.1	ENSG00000127252.7, ENSG00000133328.4, ENSG00000176485.11, ENSG00000133321.11
OG0000645	ENSXETG00000001400.1	ENSG00000075618.18
OG0000645	ENSXETG00000002711.1	ENSG00000186765.11
OG0000646	ENSXETG00000019564.1	ENSG00000180901.11
OG0000647	ENSXETG00000020280.1	ENSG00000198720.13, ENSG00000172932.15
OG0000648	ENSXETG00000017484.1	ENSG00000257743.8, ENSG00000278563.2, ENSG00000282607.1, ENSG00000257335.8, ENSG00000090402.8
OG0000649	ENSXETG00000018465.1	ENSG00000144229.12
OG0000649	ENSXETG00000019322.1	ENSG00000005108.16
OG0000650	ENSXETG00000014490.1	ENSG00000275605.1, ENSG00000277722.1, ENSG00000275724.1, ENSG00000276766.1, ENSG00000276220.1, ENSG00000278365.1, ENSG00000274359.1, ENSG00000276061.4, ENSG00000170906.16, ENSG00000273642.1
OG0000651	ENSXETG00000002035.1, ENSXETG00000002043.1, ENSXETG00000002020.1, ENSXETG00000015382.1, ENSXETG00000015372.1, ENSXETG00000015392.1, ENSXETG00000014174.1, ENSXETG00000020486.1, ENSXETG00000002048.1, ENSXETG00000007264.1, ENSXETG00000007233.1, ENSXETG00000007239.1, ENSXETG00000007087.1, ENSXETG00000014183.1	ENSG00000118017.4
OG0000652	ENSXETG00000011408.1, ENSXETG00000008156.1	ENSG00000128311.14
OG0000652	ENSXETG00000011398.1	ENSG00000128309.16
OG0000653	ENSXETG00000004090.1	ENSG00000182687.4
OG0000653	ENSXETG00000008503.1, ENSXETG00000000058.1	ENSG00000128310.3
OG0000654	ENSXETG00000021131.1	ENSG00000235758.9, ENSG00000204310.13, ENSG00000227642.9, ENSG00000236873.9, ENSG00000226467.9, ENSG00000206324.11, ENSG00000228892.9
OG0000655	ENSXETG00000020969.1	ENSG00000126947.13, ENSG00000184867.14, ENSG00000102401.20, ENSG00000282813.1, ENSG00000170632.14
OG0000656	ENSXETG00000006524.1	ENSG00000172915.18
OG0000656	ENSXETG00000010580.1	ENSG00000198589.13
OG0000657	ENSXETG00000006256.1, ENSXETG00000005776.1	ENSG00000102699.6
OG0000658	ENSXETG00000002599.1	ENSG00000160678.11
OG0000658	ENSXETG00000006731.1	ENSG00000171643.14
OG0000659	ENSXETG00000020113.1	ENSG00000241186.10
OG0000660	ENSXETG00000002139.1	ENSG00000132640.15
OG0000660	ENSXETG00000000338.1	ENSG00000184887.13
OG0000661	ENSXETG00000000043.1	ENSG00000140015.20
OG0000661	ENSXETG00000005982.1	ENSG00000143473.13
OG0000662	ENSXETG00000007304.1	ENSG00000143995.20
OG0000662	ENSXETG00000017666.1	ENSG00000134138.20
OG0000663	ENSXETG00000003592.1	ENSG00000273554.4, ENSG00000130821.16
OG0000664	ENSXETG00000016832.1	ENSG00000167588.13
OG0000664	ENSXETG00000006093.1	ENSG00000152642.10
OG0000666	ENSXETG00000004426.1, ENSXETG00000016612.1	ENSG00000084207.18
OG0000667	ENSXETG00000013701.1	ENSG00000113240.13, ENSG00000013441.16
OG0000668	ENSXETG00000012221.1	ENSG00000235222.12, ENSG00000227314.12, ENSG00000204410.16, ENSG00000230293.11, ENSG00000266027.8, ENSG00000255152.8, ENSG00000266442.5, ENSG00000230961.10, ENSG00000235569.12, ENSG00000254405.10, ENSG00000264619.6, ENSG00000255419.6, ENSG00000233345.9, ENSG00000237333.12
OG0000669	ENSXETG00000019178.1	ENSG00000227746.9, ENSG00000244207.8, ENSG00000244731.8, ENSG00000206340.10, ENSG00000236625.8, ENSG00000224389.9, ENSG00000228267.8, ENSG00000233312.8, ENSG00000228454.7
OG0000670	ENSXETG00000017204.1	ENSG00000228405.5, ENSG00000223767.5, ENSG00000228907.5, ENSG00000225452.5, ENSG00000204308.8, ENSG00000227277.9, ENSG00000183574.12
OG0000670	ENSXETG00000017242.1	ENSG00000138942.16
OG0000673	ENSXETG00000014621.1	ENSG00000211782.2, ENSG00000211787.1, ENSG00000211790.2, ENSG00000211786.3
OG0000683	ENSXETG00000009377.1, ENSXETG00000009424.1, ENSXETG00000009445.1, ENSXETG00000009486.1	ENSG00000101425.14, ENSG00000129988.6
OG0000684	ENSXETG00000018253.1	ENSG00000183615.6
OG0000684	ENSXETG00000004789.1	ENSG00000154319.16, ENSG00000285072.2
OG0000685	ENSXETG00000011674.1	ENSG00000168028.14
OG0000686	ENSXETG00000018614.1	ENSG00000105953.15
OG0000686	ENSXETG00000005238.1	ENSG00000197444.10
OG0000687	ENSXETG00000007901.1	ENSG00000230268.3, ENSG00000284018.1, ENSG00000284546.1, ENSG00000283873.1, ENSG00000284438.1, ENSG00000284306.1, ENSG00000160075.12
OG0000688	ENSXETG00000000495.1	ENSG00000154917.11
OG0000689	ENSXETG00000007519.1	ENSG00000163249.12
OG0000689	ENSXETG00000007128.1	ENSG00000108100.18
OG0000690	ENSXETG00000009782.1	ENSG00000138801.9
OG0000690	ENSXETG00000011246.1	ENSG00000198682.13
OG0000691	ENSXETG00000010112.1	ENSG00000123815.12
OG0000691	ENSXETG00000004850.1	ENSG00000163050.17
OG0000692	ENSXETG00000000039.1	ENSG00000079332.15
OG0000692	ENSXETG00000001574.1	ENSG00000152700.14
OG0000693	ENSXETG00000014873.1	ENSG00000168710.18
OG0000693	ENSXETG00000018258.1	ENSG00000158467.16
OG0000694	ENSXETG00000005807.1	ENSG00000139915.20
OG0000694	ENSXETG00000005473.1	ENSG00000112139.16
OG0000695	ENSXETG00000010089.1	ENSG00000145087.12
OG0000695	ENSXETG00000018699.1	ENSG00000164506.14
OG0000696	ENSXETG00000010479.1	ENSG00000141456.16
OG0000697	ENSXETG00000018214.1	ENSG00000163510.14
OG0000698	ENSXETG00000001871.1	ENSG00000107147.13
OG0000698	ENSXETG00000013449.1	ENSG00000162687.18
OG0000699	ENSXETG00000004016.1	ENSG00000176490.5
OG0000699	ENSXETG00000016932.1, ENSXETG00000012547.1	ENSG00000165023.7
OG0000700	ENSXETG00000003491.1	ENSG00000145002.12, ENSG00000186523.14, ENSG00000285397.1, ENSG00000285316.2, ENSG00000118894.15
OG0000702	ENSXETG00000016357.1	ENSG00000136950.13
OG0000702	ENSXETG00000014047.1	ENSG00000162704.16
OG0000703	ENSXETG00000006047.1	ENSG00000213930.11
OG0000703	ENSXETG00000001203.1	ENSG00000258728.1
OG0000704	ENSXETG00000006082.1, ENSXETG00000005904.1, ENSXETG00000005887.1	ENSG00000275395.6, ENSG00000281123.3
OG0000705	ENSXETG00000017846.1	ENSG00000173530.6, ENSG00000173535.14, ENSG00000120889.13, ENSG00000104689.10
OG0000706	ENSXETG00000007556.1	ENSG00000137752.24, ENSG00000255221.3, ENSG00000204403.9, ENSG00000137757.11, ENSG00000196954.14
OG0000707	ENSXETG00000021061.1	ENSG00000134909.18
OG0000707	ENSXETG00000009595.1	ENSG00000004777.18
OG0000708	ENSXETG00000021171.1	ENSG00000081803.16
OG0000708	ENSXETG00000004023.1	ENSG00000163618.18
OG0000709	ENSXETG00000001945.1	ENSG00000095587.9
OG0000709	ENSXETG00000008707.1	ENSG00000168487.19
OG0000709	ENSXETG00000006835.1	ENSG00000038295.8
OG0000710	ENSXETG00000002075.1	ENSG00000089116.4
OG0000710	ENSXETG00000005076.1	ENSG00000274577.2, ENSG00000273706.5
OG0000711	ENSXETG00000014111.1	ENSG00000010671.15
OG0000711	ENSXETG00000010419.1	ENSG00000135605.13
OG0000713	ENSXETG00000002216.1	ENSG00000132518.7
OG0000713	ENSXETG00000004110.1	ENSG00000101890.5
OG0000714	ENSXETG00000004006.1	ENSG00000124164.16
OG0000714	ENSXETG00000011546.1	ENSG00000101558.13
OG0000715	ENSXETG00000019088.1, ENSXETG00000020058.1	ENSG00000093134.15, ENSG00000112299.8, ENSG00000112303.14
OG0000716	ENSXETG00000010805.1	ENSG00000183560.9, ENSG00000110195.13, ENSG00000110203.9, ENSG00000165457.14
OG0000717	ENSXETG00000010350.1	ENSG00000177143.5
OG0000717	ENSXETG00000014394.1	ENSG00000147400.10
OG0000719	ENSXETG00000000850.1	ENSG00000183856.11
OG0000719	ENSXETG00000015532.1	ENSG00000140575.13
OG0000720	ENSXETG00000004700.1	ENSG00000117114.19
OG0000720	ENSXETG00000007768.1	ENSG00000288324.1, ENSG00000072071.16
OG0000721	ENSXETG00000007115.1	ENSG00000171502.15
OG0000721	ENSXETG00000008541.1	ENSG00000196739.15
OG0000722	ENSXETG00000018462.1	ENSG00000198792.13
OG0000722	ENSXETG00000009129.1	ENSG00000164855.16
OG0000723	ENSXETG00000008507.1	ENSG00000275410.5, ENSG00000276194.4
OG0000723	ENSXETG00000018718.1	ENSG00000135100.17
OG0000724	ENSXETG00000016609.1	ENSG00000124570.20, ENSG00000170542.6, ENSG00000166401.15
OG0000725	ENSXETG00000019850.1	ENSG00000154518.9, ENSG00000159199.14
OG0000726	ENSXETG00000002468.1	ENSG00000132376.20
OG0000726	ENSXETG00000016133.1	ENSG00000185133.14
OG0000727	ENSXETG00000012309.1	ENSG00000064989.13
OG0000727	ENSXETG00000000454.1, ENSXETG00000000470.1	ENSG00000004948.15
OG0000728	ENSXETG00000017569.1	ENSG00000100150.20, ENSG00000285404.1
OG0000729	ENSXETG00000011252.1	ENSG00000128271.22
OG0000729	ENSXETG00000007502.1	ENSG00000170425.3
OG0000730	ENSXETG00000004122.1	ENSG00000095637.22
OG0000731	ENSXETG00000017527.1	ENSG00000109832.14
OG0000731	ENSXETG00000003200.1	ENSG00000260537.2, ENSG00000168872.17, ENSG00000157349.16
OG0000732	ENSXETG00000015204.1	ENSG00000138190.17
OG0000732	ENSXETG00000015156.1	ENSG00000144036.15
OG0000733	ENSXETG00000010733.1	ENSG00000169306.10
OG0000733	ENSXETG00000019378.1	ENSG00000189108.13
OG0000734	ENSXETG00000004034.1	ENSG00000148842.18
OG0000734	ENSXETG00000013874.1	ENSG00000158158.12
OG0000735	ENSXETG00000003814.1	ENSG00000159899.14
OG0000735	ENSXETG00000001640.1	ENSG00000169418.10
OG0000736	ENSXETG00000014969.1, ENSXETG00000011616.1	ENSG00000100239.16
OG0000736	ENSXETG00000015529.1	ENSG00000110075.14
OG0000737	ENSXETG00000018899.1	ENSG00000076067.13
OG0000737	ENSXETG00000017301.1	ENSG00000153250.20
OG0000738	ENSXETG00000011956.1, ENSXETG00000011948.1	ENSG00000180432.6
OG0000739	ENSXETG00000000151.1	ENSG00000278232.4, ENSG00000276191.4, ENSG00000120088.14
OG0000739	ENSXETG00000012454.1	ENSG00000106113.19, ENSG00000263715.7
OG0000740	ENSXETG00000015127.1	ENSG00000181458.10
OG0000740	ENSXETG00000021142.1	ENSG00000151715.8
OG0000741	ENSXETG00000000426.1	ENSG00000261052.5, ENSG00000213648.10, ENSG00000196502.11, ENSG00000197165.11
OG0000742	ENSXETG00000007273.1	ENSG00000165215.6
OG0000742	ENSXETG00000007241.1	ENSG00000189143.9
OG0000743	ENSXETG00000002421.1	ENSG00000197321.14
OG0000744	ENSXETG00000006412.1	ENSG00000140988.16
OG0000745	ENSXETG00000019656.1	ENSG00000144191.12
OG0000745	ENSXETG00000002559.1	ENSG00000198515.13
OG0000746	ENSXETG00000019900.1	ENSG00000137692.12, ENSG00000109184.15
OG0000747	ENSXETG00000009188.1	ENSG00000070759.17
OG0000747	ENSXETG00000015678.1	ENSG00000107140.16
OG0000748	ENSXETG00000011188.1	ENSG00000064763.11, ENSG00000197601.13
OG0000749	ENSXETG00000007809.1	ENSG00000136448.12
OG0000749	ENSXETG00000004889.1	ENSG00000152465.18
OG0000750	ENSXETG00000019687.1	ENSG00000013306.16
OG0000750	ENSXETG00000016238.1	ENSG00000075303.13
OG0000751	ENSXETG00000011207.1	ENSG00000144407.9
OG0000751	ENSXETG00000008721.1, ENSXETG00000007193.1	ENSG00000160801.14
OG0000752	ENSXETG00000000678.1	ENSG00000274646.4, ENSG00000278270.4, ENSG00000274626.3, ENSG00000278081.3, ENSG00000277359.3, ENSG00000277079.3, ENSG00000274005.3, ENSG00000275323.3, ENSG00000274950.4, ENSG00000170889.14
OG0000753	ENSXETG00000013542.1	ENSG00000186432.9
OG0000753	ENSXETG00000012968.1	ENSG00000102753.10
OG0000754	ENSXETG00000018199.1	ENSG00000111186.13
OG0000754	ENSXETG00000017672.1	ENSG00000114251.14
OG0000755	ENSXETG00000000327.1	ENSG00000101310.17
OG0000755	ENSXETG00000019204.1	ENSG00000100934.15
OG0000756	ENSXETG00000012347.1	ENSG00000182902.14
OG0000756	ENSXETG00000016121.1, ENSXETG00000010500.1	ENSG00000177542.11
OG0000757	ENSXETG00000008749.1	ENSG00000111666.11
OG0000757	ENSXETG00000018423.1	ENSG00000134255.14
OG0000758	ENSXETG00000000350.1	ENSG00000171097.14, ENSG00000286112.1
OG0000758	ENSXETG00000020631.1	ENSG00000137944.18
OG0000759	ENSXETG00000013867.1	ENSG00000100097.12
OG0000760	ENSXETG00000003833.1	ENSG00000273850.3, ENSG00000167393.18, ENSG00000276438.3, ENSG00000073711.11
OG0000763	ENSXETG00000006176.1	ENSG00000165973.19
OG0000763	ENSXETG00000004714.1	ENSG00000184613.10
OG0000764	ENSXETG00000012536.1	ENSG00000138472.11
OG0000764	ENSXETG00000013172.1	ENSG00000287363.1, ENSG00000048545.14
OG0000765	ENSXETG00000015664.1	ENSG00000165192.14
OG0000765	ENSXETG00000015689.1	ENSG00000102048.16
OG0000766	ENSXETG00000009481.1	ENSG00000196475.6, ENSG00000198814.12, ENSG00000229894.4
OG0000768	ENSXETG00000002232.1	ENSG00000189403.15
OG0000768	ENSXETG00000016925.1	ENSG00000164104.12
OG0000769	ENSXETG00000005799.1	ENSG00000168959.14
OG0000769	ENSXETG00000020023.1	ENSG00000152822.14
OG0000770	ENSXETG00000013426.1	ENSG00000134057.15
OG0000770	ENSXETG00000020227.1, ENSXETG00000007722.1	ENSG00000157456.8
OG0000771	ENSXETG00000020607.1	ENSG00000106714.17, ENSG00000154529.14, ENSG00000283378.1, ENSG00000287694.1, ENSG00000152910.19
OG0000772	ENSXETG00000000785.1	ENSG00000182732.18, ENSG00000182901.16
OG0000773	ENSXETG00000005777.1	ENSG00000184227.8, ENSG00000119673.14, ENSG00000205669.4, ENSG00000177465.4
OG0000774	ENSXETG00000005378.1, ENSXETG00000012368.1, ENSXETG00000012392.1, ENSXETG00000012316.1	ENSG00000173193.15
OG0000775	ENSXETG00000018224.1	ENSG00000181163.13
OG0000776	ENSXETG00000018419.1	ENSG00000184840.12
OG0000776	ENSXETG00000021384.1	ENSG00000158604.15
OG0000777	ENSXETG00000001954.1	ENSG00000096155.15, ENSG00000229524.10, ENSG00000233348.10, ENSG00000204463.12, ENSG00000227761.10, ENSG00000234651.10, ENSG00000228760.10
OG0000778	ENSXETG00000001230.1	ENSG00000196187.12, ENSG00000137216.19
OG0000779	ENSXETG00000014946.1, ENSXETG00000014907.1, ENSXETG00000014801.1	ENSG00000211778.2, ENSG00000211812.1, ENSG00000211807.3
OG0000784	ENSXETG00000016090.1, ENSXETG00000013100.1, ENSXETG00000013103.1, ENSXETG00000013090.1, ENSXETG00000013109.1, ENSXETG00000015793.1, ENSXETG00000013121.1, ENSXETG00000013117.1, ENSXETG00000013114.1, ENSXETG00000013120.1, ENSXETG00000013113.1, ENSXETG00000013111.1, ENSXETG00000013126.1, ENSXETG00000013140.1, ENSXETG00000013133.1, ENSXETG00000012701.1	ENSG00000240764.3
OG0000790	ENSXETG00000008357.1	ENSG00000129354.11
OG0000790	ENSXETG00000009273.1	ENSG00000072958.8
OG0000791	ENSXETG00000020707.1	ENSG00000142002.17
OG0000791	ENSXETG00000004213.1, ENSXETG00000015787.1	ENSG00000074603.19
OG0000792	ENSXETG00000010011.1	ENSG00000103769.10
OG0000792	ENSXETG00000012899.1	ENSG00000185236.12
OG0000793	ENSXETG00000012320.1	ENSG00000127481.15
OG0000794	ENSXETG00000004541.1	ENSG00000285162.1, ENSG00000106069.22
OG0000794	ENSXETG00000018850.1	ENSG00000128656.14
OG0000795	ENSXETG00000004405.1	ENSG00000091536.19
OG0000795	ENSXETG00000018071.1	ENSG00000266714.9
OG0000796	ENSXETG00000014221.1	ENSG00000133243.10
OG0000796	ENSXETG00000017303.1	ENSG00000064726.10
OG0000797	ENSXETG00000014840.1	ENSG00000131620.17
OG0000797	ENSXETG00000020516.1	ENSG00000047617.15
OG0000798	ENSXETG00000005011.1	ENSG00000138777.20
OG0000798	ENSXETG00000020750.1	ENSG00000180817.12
OG0000799	ENSXETG00000003176.1	ENSG00000141127.15
OG0000799	ENSXETG00000004796.1	ENSG00000161542.17
OG0000800	ENSXETG00000007367.1	ENSG00000129993.15
OG0000800	ENSXETG00000011639.1	ENSG00000079102.16
OG0000801	ENSXETG00000009703.1	ENSG00000146700.9
OG0000802	ENSXETG00000010054.1	ENSG00000155465.18
OG0000802	ENSXETG00000002475.1	ENSG00000103064.15
OG0000804	ENSXETG00000018499.1	ENSG00000152061.23
OG0000804	ENSXETG00000006706.1	ENSG00000011454.17
OG0000805	ENSXETG00000012861.1	ENSG00000163297.17
OG0000805	ENSXETG00000011677.1	ENSG00000169604.19
OG0000806	ENSXETG00000005294.1	ENSG00000143127.13
OG0000806	ENSXETG00000007041.1	ENSG00000137809.17
OG0000808	ENSXETG00000001798.1	ENSG00000074201.9
OG0000809	ENSXETG00000017833.1	ENSG00000121454.6, ENSG00000107187.17
OG0000810	ENSXETG00000017220.1	ENSG00000184845.4
OG0000810	ENSXETG00000018743.1, ENSXETG00000003896.1	ENSG00000169676.6
OG0000811	ENSXETG00000017787.1	ENSG00000197885.10
OG0000811	ENSXETG00000003254.1	ENSG00000168256.18
OG0000812	ENSXETG00000003335.1	ENSG00000160145.15
OG0000812	ENSXETG00000011780.1	ENSG00000038382.20
OG0000813	ENSXETG00000007226.1	ENSG00000170315.14
OG0000813	ENSXETG00000009482.1	ENSG00000150991.15
OG0000814	ENSXETG00000000184.1	ENSG00000136240.10
OG0000814	ENSXETG00000010345.1	ENSG00000100196.11
OG0000815	ENSXETG00000000511.1	ENSG00000108556.10
OG0000815	ENSXETG00000020144.1	ENSG00000196811.13
OG0000816	ENSXETG00000017405.1	ENSG00000104043.14
OG0000817	ENSXETG00000003519.1	ENSG00000172985.11
OG0000817	ENSXETG00000011008.1	ENSG00000154447.15
OG0000818	ENSXETG00000000289.1	ENSG00000108854.16
OG0000818	ENSXETG00000001512.1	ENSG00000198742.9, ENSG00000284126.1
OG0000819	ENSXETG00000020165.1	ENSG00000115271.11
OG0000819	ENSXETG00000006361.1, ENSXETG00000011736.1	ENSG00000075142.13
OG0000820	ENSXETG00000007350.1	ENSG00000136999.5
OG0000820	ENSXETG00000002301.1	ENSG00000118523.6
OG0000821	ENSXETG00000020266.1	ENSG00000119335.16, ENSG00000230667.5
OG0000822	ENSXETG00000018456.1	ENSG00000073417.15
OG0000822	ENSXETG00000011710.1	ENSG00000284762.1, ENSG00000113231.13
OG0000823	ENSXETG00000016543.1	ENSG00000099804.9
OG0000823	ENSXETG00000003235.1	ENSG00000107341.5
OG0000824	ENSXETG00000001886.1	ENSG00000131730.16, ENSG00000237289.9, ENSG00000223572.9
OG0000825	ENSXETG00000009038.1	ENSG00000189043.10
OG0000825	ENSXETG00000006224.1	ENSG00000185633.10
OG0000826	ENSXETG00000020561.1	ENSG00000126733.21
OG0000826	ENSXETG00000003889.1	ENSG00000276644.5
OG0000827	ENSXETG00000020231.1	ENSG00000157107.14
OG0000827	ENSXETG00000000279.1	ENSG00000130475.14
OG0000828	ENSXETG00000008708.1	ENSG00000126777.18
OG0000829	ENSXETG00000009446.1, ENSXETG00000006388.1, ENSXETG00000010143.1, ENSXETG00000010142.1, ENSXETG00000018390.1	ENSG00000170379.20, ENSG00000283528.2, ENSG00000198420.10
OG0000830	ENSXETG00000009634.1	ENSG00000077380.15
OG0000830	ENSXETG00000008797.1	ENSG00000158560.14
OG0000831	ENSXETG00000015257.1	ENSG00000124140.13, ENSG00000276482.3, ENSG00000113504.21
OG0000832	ENSXETG00000021381.1	ENSG00000156976.17
OG0000832	ENSXETG00000003058.1	ENSG00000161960.15
OG0000833	ENSXETG00000020951.1	ENSG00000152556.17
OG0000833	ENSXETG00000015743.1	ENSG00000067057.17
OG0000834	ENSXETG00000008030.1	ENSG00000167701.14
OG0000834	ENSXETG00000016465.1	ENSG00000166123.14
OG0000835	ENSXETG00000013456.1	ENSG00000152092.16
OG0000835	ENSXETG00000017441.1	ENSG00000148219.16
OG0000836	ENSXETG00000003646.1, ENSXETG00000003680.1	ENSG00000167815.12, ENSG00000117450.14
OG0000837	ENSXETG00000011829.1, ENSXETG00000011869.1, ENSXETG00000006873.1, ENSXETG00000006848.1, ENSXETG00000008511.1, ENSXETG00000019815.1, ENSXETG00000020514.1, ENSXETG00000017632.1, ENSXETG00000011596.1	ENSG00000179914.5, ENSG00000158764.7
OG0000838	ENSXETG00000009840.1	ENSG00000100280.16
OG0000838	ENSXETG00000007326.1	ENSG00000006125.18
OG0000839	ENSXETG00000007344.1	ENSG00000100012.11, ENSG00000214491.8, ENSG00000133488.15, ENSG00000249590.7, ENSG00000100003.18
OG0000840	ENSXETG00000012709.1	ENSG00000112062.10
OG0000840	ENSXETG00000017620.1	ENSG00000185386.15
OG0000841	ENSXETG00000013562.1, ENSXETG00000013604.1	ENSG00000117385.16
OG0000841	ENSXETG00000021136.1	ENSG00000090530.10
OG0000842	ENSXETG00000007215.1	ENSG00000157450.15
OG0000843	ENSXETG00000003945.1	ENSG00000128918.15
OG0000843	ENSXETG00000015597.1	ENSG00000165092.13
OG0000844	ENSXETG00000012464.1	ENSG00000151224.13
OG0000844	ENSXETG00000013513.1	ENSG00000168906.13
OG0000845	ENSXETG00000018412.1	ENSG00000189050.16
OG0000845	ENSXETG00000011832.1	ENSG00000135119.14
OG0000846	ENSXETG00000011964.1	ENSG00000136699.19
OG0000847	ENSXETG00000008211.1	ENSG00000166741.7, ENSG00000254959.6, ENSG00000241644.2
OG0000848	ENSXETG00000019308.1	ENSG00000171033.13
OG0000848	ENSXETG00000001276.1, ENSXETG00000007863.1	ENSG00000135549.15
OG0000849	ENSXETG00000003297.1, ENSXETG00000003228.1	ENSG00000122852.15, ENSG00000185303.17
OG0000850	ENSXETG00000012366.1	ENSG00000178217.14
OG0000850	ENSXETG00000012970.1	ENSG00000104611.12
OG0000851	ENSXETG00000015053.1	ENSG00000117868.17, ENSG00000158220.14
OG0000852	ENSXETG00000004807.1	ENSG00000155368.16, ENSG00000176244.7
OG0000853	ENSXETG00000000191.1	ENSG00000250479.8, ENSG00000273607.3, ENSG00000106153.13
OG0000854	ENSXETG00000001075.1	ENSG00000260916.7
OG0000855	ENSXETG00000010930.1	ENSG00000239521.8, ENSG00000274070.2
OG0000855	ENSXETG00000008172.1	ENSG00000248751.6, ENSG00000239282.7
OG0000856	ENSXETG00000005259.1, ENSXETG00000005225.1	ENSG00000102854.16, ENSG00000162006.9
OG0000857	ENSXETG00000019113.1	ENSG00000115290.10
OG0000857	ENSXETG00000003151.1	ENSG00000106070.19
OG0000858	ENSXETG00000003627.1	ENSG00000111713.3, ENSG00000104812.15
OG0000859	ENSXETG00000003861.1	ENSG00000082701.15
OG0000859	ENSXETG00000003284.1	ENSG00000105723.12
OG0000860	ENSXETG00000005813.1	ENSG00000171793.16
OG0000860	ENSXETG00000014453.1	ENSG00000047230.15
