Orthogroup	X_tropicalis.pep	M_musculus.pep
OG0001716	ENSXETG00000000688.1	ENSMUSG00000022770.17
OG0001717	ENSXETG00000010561.1	ENSMUSG00000024937.15
OG0001718	ENSXETG00000019166.1	ENSMUSG00000073422.11
OG0001725	ENSXETG00000006428.1	ENSMUSG00000021361.7
OG0001726	ENSXETG00000016779.1	ENSMUSG00000020114.12
OG0001727	ENSXETG00000020319.1, ENSXETG00000020510.1	ENSMUSG00000034387.13
OG0001728	ENSXETG00000002967.1	ENSMUSG00000020821.17
OG0001729	ENSXETG00000019855.1	ENSMUSG00000079317.10, ENSMUSG00000007777.9
OG0001730	ENSXETG00000003212.1	ENSMUSG00000073676.4, ENSMUSG00000117621.1
OG0001731	ENSXETG00000011646.1	ENSMUSG00000009545.14
OG0001732	ENSXETG00000019192.1	ENSMUSG00000022378.14
OG0001733	ENSXETG00000003171.1	ENSMUSG00000022671.13
OG0001734	ENSXETG00000017462.1	ENSMUSG00000044117.12
OG0001735	ENSXETG00000003067.1	ENSMUSG00000030835.6
OG0001736	ENSXETG00000019950.1	ENSMUSG00000025967.16
OG0001737	ENSXETG00000013731.1	ENSMUSG00000006019.15
OG0001738	ENSXETG00000018136.1	ENSMUSG00000037475.15, ENSMUSG00000097392.3
OG0001739	ENSXETG00000007463.1	ENSMUSG00000045005.9
OG0001739	ENSXETG00000007090.1	ENSMUSG00000036904.6
OG0001740	ENSXETG00000014497.1	ENSMUSG00000007944.8
OG0001740	ENSXETG00000020923.1	ENSMUSG00000042734.6
OG0001741	ENSXETG00000011625.1	ENSMUSG00000020069.16
OG0001742	ENSXETG00000017714.1	ENSMUSG00000021264.12, ENSMUSG00000091736.3, ENSMUSG00000051176.6
OG0001743	ENSXETG00000019168.1	ENSMUSG00000028656.14
OG0001744	ENSXETG00000015705.1	ENSMUSG00000022685.9
OG0001746	ENSXETG00000003575.1	ENSMUSG00000039771.13
OG0001747	ENSXETG00000020697.1	ENSMUSG00000035509.17
OG0001747	ENSXETG00000008740.1	ENSMUSG00000022124.15
OG0001748	ENSXETG00000012964.1	ENSMUSG00000029299.14, ENSMUSG00000029802.13
OG0001749	ENSXETG00000008644.1	ENSMUSG00000028825.7
OG0001750	ENSXETG00000013534.1	ENSMUSG00000039801.7
OG0001751	ENSXETG00000002883.1	ENSMUSG00000068794.7
OG0001752	ENSXETG00000004022.1	ENSMUSG00000061607.15
OG0001753	ENSXETG00000019061.1	ENSMUSG00000055436.18
OG0001754	ENSXETG00000021341.1	ENSMUSG00000027860.15, ENSMUSG00000026556.15
OG0001755	ENSXETG00000011552.1	ENSMUSG00000029368.10, ENSMUSG00000070690.7, ENSMUSG00000054932.6
OG0001756	ENSXETG00000011064.1	ENSMUSG00000041319.14
OG0001757	ENSXETG00000009724.1	ENSMUSG00000015522.18
OG0001758	ENSXETG00000008436.1	ENSMUSG00000032397.7
OG0001759	ENSXETG00000011715.1	ENSMUSG00000034908.16
OG0001760	ENSXETG00000001898.1	ENSMUSG00000027907.4
OG0001761	ENSXETG00000000071.1	ENSMUSG00000061559.15
OG0001763	ENSXETG00000012099.1	ENSMUSG00000113949.1, ENSMUSG00000040722.7
OG0001765	ENSXETG00000012329.1	ENSMUSG00000004846.10, ENSMUSG00000019055.15
OG0001767	ENSXETG00000007491.1, ENSXETG00000007377.1	ENSMUSG00000001739.14
OG0001768	ENSXETG00000012519.1	ENSMUSG00000116207.1, ENSMUSG00000025453.18
OG0001769	ENSXETG00000012402.1	ENSMUSG00000002524.17
OG0001770	ENSXETG00000003449.1	ENSMUSG00000033703.9
OG0001771	ENSXETG00000007345.1	ENSMUSG00000028194.15
OG0001772	ENSXETG00000011119.1	ENSMUSG00000039298.16
OG0001773	ENSXETG00000020769.1	ENSMUSG00000003429.11
OG0001774	ENSXETG00000020974.1	ENSMUSG00000000693.10, ENSMUSG00000034205.16
OG0001775	ENSXETG00000008735.1	ENSMUSG00000030795.18
OG0001777	ENSXETG00000015012.1	ENSMUSG00000020719.14
OG0001778	ENSXETG00000009932.1	ENSMUSG00000022419.16
OG0001779	ENSXETG00000010137.1	ENSMUSG00000026241.5
OG0001780	ENSXETG00000006401.1	ENSMUSG00000025405.9
OG0001780	ENSXETG00000006411.1	ENSMUSG00000047492.5
OG0001781	ENSXETG00000003891.1	ENSMUSG00000009092.5, ENSMUSG00000018442.13
OG0001782	ENSXETG00000004879.1	ENSMUSG00000021273.11
OG0001783	ENSXETG00000019343.1	ENSMUSG00000059439.15
OG0001784	ENSXETG00000007251.1	ENSMUSG00000041633.14
OG0001784	ENSXETG00000008816.1	ENSMUSG00000098557.1
OG0001785	ENSXETG00000005912.1	ENSMUSG00000025283.15
OG0001786	ENSXETG00000010205.1	ENSMUSG00000079834.2
OG0001787	ENSXETG00000001714.1	ENSMUSG00000001123.15
OG0001788	ENSXETG00000005193.1	ENSMUSG00000003154.15
OG0001789	ENSXETG00000020745.1	ENSMUSG00000029098.17
OG0001790	ENSXETG00000006414.1	ENSMUSG00000087119.4, ENSMUSG00000079418.3, ENSMUSG00000116318.1
OG0001791	ENSXETG00000011670.1	ENSMUSG00000022595.7, ENSMUSG00000022596.3
OG0001792	ENSXETG00000008490.1	ENSMUSG00000020736.12, ENSMUSG00000032615.14
OG0001794	ENSXETG00000015716.1	ENSMUSG00000028199.18
OG0001795	ENSXETG00000003698.1	ENSMUSG00000068523.12, ENSMUSG00000117145.1
OG0001796	ENSXETG00000010816.1	ENSMUSG00000005142.10
OG0001797	ENSXETG00000010268.1	ENSMUSG00000025854.15
OG0001798	ENSXETG00000021354.1	ENSMUSG00000056413.16
OG0001799	ENSXETG00000011413.1	ENSMUSG00000067215.5, ENSMUSG00000046269.17, ENSMUSG00000042506.15
OG0001800	ENSXETG00000019776.1	ENSMUSG00000038664.16
OG0001801	ENSXETG00000006603.1	ENSMUSG00000022568.17
OG0001802	ENSXETG00000003360.1	ENSMUSG00000070330.2, ENSMUSG00000022715.3
OG0001803	ENSXETG00000007959.1	ENSMUSG00000022099.17
OG0001804	ENSXETG00000021284.1	ENSMUSG00000025868.6
OG0001805	ENSXETG00000013749.1	ENSMUSG00000025871.18
OG0001806	ENSXETG00000009026.1	ENSMUSG00000022255.16
OG0001807	ENSXETG00000002976.1	ENSMUSG00000024104.11
OG0001808	ENSXETG00000013815.1	ENSMUSG00000025464.15
OG0001809	ENSXETG00000017346.1	ENSMUSG00000028245.15
OG0001811	ENSXETG00000005258.1	ENSMUSG00000042439.13
OG0001812	ENSXETG00000019077.1	ENSMUSG00000027599.9
OG0001813	ENSXETG00000005687.1	ENSMUSG00000050541.14
OG0001813	ENSXETG00000012791.1	ENSMUSG00000027335.9
OG0001814	ENSXETG00000014070.1	ENSMUSG00000035478.14
OG0001814	ENSXETG00000013925.1	ENSMUSG00000024513.16
OG0001815	ENSXETG00000002736.1	ENSMUSG00000029491.7
OG0001815	ENSXETG00000013414.1	ENSMUSG00000024575.16
OG0001816	ENSXETG00000019261.1	ENSMUSG00000092083.4, ENSMUSG00000050556.9
OG0001817	ENSXETG00000003788.1	ENSMUSG00000036256.13, ENSMUSG00000035551.6
OG0001818	ENSXETG00000013622.1	ENSMUSG00000094483.2
OG0001818	ENSXETG00000013597.1	ENSMUSG00000043991.5
OG0001819	ENSXETG00000002909.1	ENSMUSG00000037797.14
OG0001819	ENSXETG00000003129.1	ENSMUSG00000028138.8
OG0001820	ENSXETG00000004597.1	ENSMUSG00000061787.15
OG0001821	ENSXETG00000009028.1	ENSMUSG00000022185.19
OG0001822	ENSXETG00000001431.1	ENSMUSG00000029162.15
OG0001823	ENSXETG00000002079.1	ENSMUSG00000028086.15
OG0001824	ENSXETG00000009312.1	ENSMUSG00000097886.2
OG0001824	ENSXETG00000003664.1	ENSMUSG00000046182.8
OG0001825	ENSXETG00000008549.1	ENSMUSG00000030649.18, ENSMUSG00000074780.2
OG0001827	ENSXETG00000012423.1	ENSMUSG00000021609.6
OG0001827	ENSXETG00000008978.1	ENSMUSG00000055368.14
OG0001828	ENSXETG00000000315.1	ENSMUSG00000022415.12, ENSMUSG00000007021.5
OG0001829	ENSXETG00000014109.1	ENSMUSG00000046157.13
OG0001830	ENSXETG00000018133.1	ENSMUSG00000038056.15
OG0001832	ENSXETG00000020466.1	ENSMUSG00000021027.17
OG0001833	ENSXETG00000012887.1	ENSMUSG00000099164.8, ENSMUSG00000005732.14
OG0001834	ENSXETG00000015831.1	ENSMUSG00000030738.11
OG0001837	ENSXETG00000016566.1, ENSXETG00000016577.1, ENSXETG00000016589.1	ENSMUSG00000035227.7
OG0001838	ENSXETG00000019978.1	ENSMUSG00000002546.16, ENSMUSG00000075425.10
OG0001839	ENSXETG00000006134.1	ENSMUSG00000020428.13, ENSMUSG00000029211.11
OG0001840	ENSXETG00000011624.1	ENSMUSG00000026502.13, ENSMUSG00000111522.1
OG0001842	ENSXETG00000017348.1	ENSMUSG00000031290.14
OG0001843	ENSXETG00000005260.1	ENSMUSG00000021612.15, ENSMUSG00000021565.16
OG0001844	ENSXETG00000019544.1, ENSXETG00000021371.1	ENSMUSG00000027224.14, ENSMUSG00000027225.7
OG0001845	ENSXETG00000011442.1	ENSMUSG00000042476.12, ENSMUSG00000028970.9, ENSMUSG00000040584.8
OG0001846	ENSXETG00000014627.1	ENSMUSG00000028495.14
OG0001847	ENSXETG00000001731.1	ENSMUSG00000042419.8
OG0001848	ENSXETG00000021379.1	ENSMUSG00000042814.8, ENSMUSG00000000355.13
OG0001849	ENSXETG00000000437.1	ENSMUSG00000092534.8, ENSMUSG00000107068.1, ENSMUSG00000030680.6
OG0001850	ENSXETG00000014865.1	ENSMUSG00000029712.14, ENSMUSG00000027671.14
OG0001851	ENSXETG00000006303.1	ENSMUSG00000026377.12
OG0001852	ENSXETG00000001450.1	ENSMUSG00000029158.9, ENSMUSG00000024487.5
OG0001853	ENSXETG00000002822.1	ENSMUSG00000058503.11
OG0001854	ENSXETG00000002811.1	ENSMUSG00000029146.14
OG0001854	ENSXETG00000007849.1	ENSMUSG00000013611.14
OG0001855	ENSXETG00000017005.1	ENSMUSG00000079055.10
OG0001855	ENSXETG00000001504.1	ENSMUSG00000030376.8
OG0001856	ENSXETG00000014230.1	ENSMUSG00000053399.9
OG0001856	ENSXETG00000003079.1	ENSMUSG00000049538.14
OG0001857	ENSXETG00000013763.1	ENSMUSG00000034055.16
OG0001858	ENSXETG00000010115.1	ENSMUSG00000024317.15, ENSMUSG00000083695.6
OG0001859	ENSXETG00000018494.1	ENSMUSG00000018707.13
OG0001860	ENSXETG00000019783.1	ENSMUSG00000025364.13
OG0001861	ENSXETG00000018015.1	ENSMUSG00000039985.14
OG0001862	ENSXETG00000017850.1	ENSMUSG00000036095.11
OG0001863	ENSXETG00000002506.1	ENSMUSG00000027820.12, ENSMUSG00000058183.14
OG0001864	ENSXETG00000000728.1	ENSMUSG00000068154.5
OG0001864	ENSXETG00000018121.1	ENSMUSG00000045440.4
OG0001865	ENSXETG00000012174.1	ENSMUSG00000053375.8, ENSMUSG00000019210.10
OG0001866	ENSXETG00000003154.1	ENSMUSG00000029924.12
OG0001867	ENSXETG00000007394.1	ENSMUSG00000030088.15
OG0001867	ENSXETG00000001966.1	ENSMUSG00000020256.14
OG0001868	ENSXETG00000004155.1	ENSMUSG00000028341.9
OG0001869	ENSXETG00000017786.1	ENSMUSG00000044186.10
OG0001869	ENSXETG00000008851.1	ENSMUSG00000044220.13
OG0001870	ENSXETG00000010683.1	ENSMUSG00000104158.2, ENSMUSG00000035086.13
OG0001871	ENSXETG00000015904.1	ENSMUSG00000078652.9
OG0001872	ENSXETG00000015673.1, ENSXETG00000015720.1, ENSXETG00000015695.1	ENSMUSG00000078650.2
OG0001873	ENSXETG00000003428.1	ENSMUSG00000025041.17
OG0001874	ENSXETG00000004975.1	ENSMUSG00000028538.12
OG0001875	ENSXETG00000017798.1	ENSMUSG00000019936.10
OG0001875	ENSXETG00000012919.1	ENSMUSG00000010311.15
OG0001876	ENSXETG00000009825.1, ENSXETG00000003661.1	ENSMUSG00000028684.14
OG0001877	ENSXETG00000002203.1	ENSMUSG00000019888.16
OG0001878	ENSXETG00000003527.1	ENSMUSG00000020923.17
OG0001879	ENSXETG00000000636.1	ENSMUSG00000034645.14, ENSMUSG00000034636.9
OG0001880	ENSXETG00000017225.1	ENSMUSG00000056856.13, ENSMUSG00000111614.2
OG0001881	ENSXETG00000018022.1	ENSMUSG00000030188.12, ENSMUSG00000028609.6
OG0001882	ENSXETG00000005336.1	ENSMUSG00000037935.16
OG0001883	ENSXETG00000006005.1, ENSXETG00000005795.1, ENSXETG00000005855.1	ENSMUSG00000020912.4, ENSMUSG00000020913.3
OG0001884	ENSXETG00000016880.1	ENSMUSG00000034165.16, ENSMUSG00000000184.12
OG0001885	ENSXETG00000019580.1	ENSMUSG00000024217.10
OG0001886	ENSXETG00000000095.1	ENSMUSG00000031250.8
OG0001886	ENSXETG00000004840.1	ENSMUSG00000022025.13
OG0001887	ENSXETG00000018902.1	ENSMUSG00000052146.16
OG0001888	ENSXETG00000008037.1	ENSMUSG00000044071.9
OG0001888	ENSXETG00000017174.1	ENSMUSG00000055865.8
OG0001889	ENSXETG00000011293.1	ENSMUSG00000061517.8
OG0001889	ENSXETG00000014237.1	ENSMUSG00000053747.9
OG0001890	ENSXETG00000003772.1	ENSMUSG00000033228.8
OG0001891	ENSXETG00000017086.1	ENSMUSG00000018678.13
OG0001892	ENSXETG00000008745.1	ENSMUSG00000029084.5
OG0001892	ENSXETG00000008793.1	ENSMUSG00000029082.17
OG0001893	ENSXETG00000021364.1	ENSMUSG00000018666.13
OG0001894	ENSXETG00000019640.1	ENSMUSG00000010797.6
OG0001894	ENSXETG00000018768.1	ENSMUSG00000027840.5
OG0001895	ENSXETG00000016371.1	ENSMUSG00000068823.10
OG0001896	ENSXETG00000002252.1	ENSMUSG00000021643.15
OG0001897	ENSXETG00000009536.1	ENSMUSG00000020205.8, ENSMUSG00000041801.5
OG0001898	ENSXETG00000017415.1, ENSXETG00000018641.1	ENSMUSG00000002944.15
OG0001899	ENSXETG00000001955.1	ENSMUSG00000039050.8
OG0001900	ENSXETG00000003373.1	ENSMUSG00000061032.9, ENSMUSG00000058392.13
OG0001902	ENSXETG00000015845.1	ENSMUSG00000022957.20
OG0001903	ENSXETG00000009676.1	ENSMUSG00000022964.14
OG0001904	ENSXETG00000018870.1	ENSMUSG00000036977.8
OG0001905	ENSXETG00000008177.1	ENSMUSG00000037016.11, ENSMUSG00000042353.9
OG0001906	ENSXETG00000000979.1	ENSMUSG00000041132.11
OG0001906	ENSXETG00000000967.1	ENSMUSG00000029655.17
OG0001907	ENSXETG00000002985.1	ENSMUSG00000028081.6
OG0001908	ENSXETG00000012727.1	ENSMUSG00000032000.17, ENSMUSG00000057367.12
OG0001909	ENSXETG00000000803.1	ENSMUSG00000043131.14
OG0001909	ENSXETG00000012818.1	ENSMUSG00000006262.15
OG0001910	ENSXETG00000013054.1	ENSMUSG00000041841.8
OG0001911	ENSXETG00000013521.1	ENSMUSG00000061474.11
OG0001912	ENSXETG00000002260.1	ENSMUSG00000021645.16
OG0001913	ENSXETG00000016950.1	ENSMUSG00000021638.12
OG0001915	ENSXETG00000021170.1	ENSMUSG00000021707.5
OG0001916	ENSXETG00000017652.1	ENSMUSG00000021395.11, ENSMUSG00000046550.8
OG0001917	ENSXETG00000003697.1	ENSMUSG00000056829.4
OG0001917	ENSXETG00000020033.1	ENSMUSG00000059246.4
OG0001918	ENSXETG00000017164.1	ENSMUSG00000024878.9
OG0001919	ENSXETG00000014810.1	ENSMUSG00000037996.17
OG0001919	ENSXETG00000003668.1	ENSMUSG00000034452.7
OG0001921	ENSXETG00000004956.1	ENSMUSG00000023051.11
OG0001922	ENSXETG00000020854.1	ENSMUSG00000007682.6, ENSMUSG00000075707.5
OG0001923	ENSXETG00000004278.1	ENSMUSG00000027751.13
OG0001924	ENSXETG00000009286.1	ENSMUSG00000060499.7, ENSMUSG00000058443.5, ENSMUSG00000008682.13
OG0001925	ENSXETG00000002556.1	ENSMUSG00000032566.4, ENSMUSG00000032565.9, ENSMUSG00000022516.10
OG0001926	ENSXETG00000012143.1	ENSMUSG00000031142.17
OG0001926	ENSXETG00000004858.1	ENSMUSG00000015968.18
OG0001927	ENSXETG00000007152.1	ENSMUSG00000030666.11, ENSMUSG00000030669.13
OG0001928	ENSXETG00000001360.1	ENSMUSG00000037887.11
OG0001929	ENSXETG00000000613.1	ENSMUSG00000038611.17
OG0001931	ENSXETG00000017617.1	ENSMUSG00000039307.16
OG0001932	ENSXETG00000004131.1, ENSXETG00000004575.1	ENSMUSG00000020792.15
OG0001933	ENSXETG00000006324.1	ENSMUSG00000034616.17
OG0001934	ENSXETG00000004910.1	ENSMUSG00000075289.5, ENSMUSG00000097064.3
OG0001935	ENSXETG00000018243.1	ENSMUSG00000037477.8, ENSMUSG00000009097.10
OG0001936	ENSXETG00000016846.1	ENSMUSG00000036309.14
OG0001937	ENSXETG00000013402.1	ENSMUSG00000051056.5
OG0001938	ENSXETG00000012437.1	ENSMUSG00000030082.14, ENSMUSG00000025816.15
OG0001939	ENSXETG00000013821.1	ENSMUSG00000075225.14
OG0001940	ENSXETG00000013811.1	ENSMUSG00000028865.14, ENSMUSG00000019818.15
OG0001941	ENSXETG00000009509.1	ENSMUSG00000038246.7, ENSMUSG00000001962.8
OG0001942	ENSXETG00000020475.1	ENSMUSG00000024462.17
OG0001943	ENSXETG00000020765.1	ENSMUSG00000070520.4, ENSMUSG00000100937.1
OG0001944	ENSXETG00000008368.1	ENSMUSG00000059791.14
OG0001945	ENSXETG00000020901.1	ENSMUSG00000007038.5
OG0001946	ENSXETG00000019434.1	ENSMUSG00000007034.15
OG0001947	ENSXETG00000004768.1	ENSMUSG00000024939.6, ENSMUSG00000043068.6
OG0001948	ENSXETG00000016710.1	ENSMUSG00000052525.14
OG0001949	ENSXETG00000003389.1, ENSXETG00000015943.1, ENSXETG00000019752.1, ENSXETG00000015607.1, ENSXETG00000011004.1, ENSXETG00000013896.1, ENSXETG00000005067.1, ENSXETG00000010606.1, ENSXETG00000013802.1	ENSMUSG00000109941.1
OG0001950	ENSXETG00000003883.1, ENSXETG00000009781.1	ENSMUSG00000042985.7
OG0001951	ENSXETG00000012946.1	ENSMUSG00000039959.13
OG0001952	ENSXETG00000005796.1, ENSXETG00000002687.1	ENSMUSG00000092417.3
OG0001953	ENSXETG00000004675.1	ENSMUSG00000026390.7
OG0001956	ENSXETG00000011434.1	ENSMUSG00000015377.10
OG0001957	ENSXETG00000015433.1	ENSMUSG00000041459.15
OG0001958	ENSXETG00000000424.1	ENSMUSG00000034211.14
OG0001964	ENSXETG00000013244.1, ENSXETG00000013239.1	ENSMUSG00000037727.6, ENSMUSG00000027301.7
OG0001985	ENSXETG00000016377.1	ENSMUSG00000062997.6, ENSMUSG00000078193.2
OG0001986	ENSXETG00000003118.1	ENSMUSG00000060791.15, ENSMUSG00000062014.13
OG0001987	ENSXETG00000016457.1	ENSMUSG00000028950.3, ENSMUSG00000028738.14
OG0001988	ENSXETG00000017981.1	ENSMUSG00000022621.16
OG0001989	ENSXETG00000008377.1	ENSMUSG00000020990.5, ENSMUSG00000033966.8
OG0001991	ENSXETG00000016918.1	ENSMUSG00000040964.16
OG0001992	ENSXETG00000019508.1	ENSMUSG00000062070.12, ENSMUSG00000031233.6
OG0001993	ENSXETG00000017035.1	ENSMUSG00000071723.7, ENSMUSG00000062203.15
OG0001994	ENSXETG00000021195.1	ENSMUSG00000046093.9
OG0001994	ENSXETG00000007381.1	ENSMUSG00000054459.8
OG0001995	ENSXETG00000008171.1	ENSMUSG00000032399.8
OG0001996	ENSXETG00000019773.1	ENSMUSG00000022680.14
OG0001997	ENSXETG00000007691.1	ENSMUSG00000040746.15
OG0001998	ENSXETG00000003510.1	ENSMUSG00000030996.8
OG0001999	ENSXETG00000021028.1	ENSMUSG00000060657.8
OG0002000	ENSXETG00000021144.1, ENSXETG00000003213.1	ENSMUSG00000068615.4
OG0002002	ENSXETG00000003920.1, ENSXETG00000019230.1	ENSMUSG00000037031.10
OG0002003	ENSXETG00000009473.1	ENSMUSG00000051220.2
OG0002004	ENSXETG00000000366.1	ENSMUSG00000034342.9
OG0002005	ENSXETG00000011076.1	ENSMUSG00000013662.6
OG0002006	ENSXETG00000017792.1	ENSMUSG00000026021.15
OG0002007	ENSXETG00000020915.1	ENSMUSG00000021136.13
OG0002008	ENSXETG00000003498.1	ENSMUSG00000020076.7, ENSMUSG00000020075.8
OG0002009	ENSXETG00000004280.1	ENSMUSG00000052974.8, ENSMUSG00000078787.9
OG0002011	ENSXETG00000001006.1	ENSMUSG00000027187.10
OG0002012	ENSXETG00000009734.1	ENSMUSG00000004947.15
OG0002013	ENSXETG00000002344.1	ENSMUSG00000066621.12
OG0002014	ENSXETG00000009257.1	ENSMUSG00000026029.14
OG0002015	ENSXETG00000013297.1	ENSMUSG00000054115.11, ENSMUSG00000111328.2
OG0002016	ENSXETG00000001568.1	ENSMUSG00000033526.16
OG0002017	ENSXETG00000006595.1	ENSMUSG00000029254.16
OG0002017	ENSXETG00000019796.1	ENSMUSG00000038781.7
OG0002018	ENSXETG00000013189.1, ENSXETG00000013207.1, ENSXETG00000015061.1, ENSXETG00000015092.1, ENSXETG00000013204.1	ENSMUSG00000049152.11, ENSMUSG00000072664.11
OG0002019	ENSXETG00000003372.1	ENSMUSG00000058670.5, ENSMUSG00000042508.16
OG0002020	ENSXETG00000008508.1	ENSMUSG00000021848.16
OG0002021	ENSXETG00000020646.1	ENSMUSG00000031333.7
OG0002022	ENSXETG00000014843.1	ENSMUSG00000035506.16
OG0002023	ENSXETG00000001290.1, ENSXETG00000005637.1	ENSMUSG00000029255.8
OG0002024	ENSXETG00000005296.1	ENSMUSG00000005069.12
OG0002025	ENSXETG00000016388.1	ENSMUSG00000001855.15
OG0002026	ENSXETG00000010626.1, ENSXETG00000011877.1	ENSMUSG00000029423.10
OG0002027	ENSXETG00000016067.1, ENSXETG00000019430.1	ENSMUSG00000034903.18
OG0002028	ENSXETG00000010379.1	ENSMUSG00000025511.15
OG0002029	ENSXETG00000010364.1	ENSMUSG00000054293.10, ENSMUSG00000050921.12
OG0002030	ENSXETG00000004292.1	ENSMUSG00000026750.6
OG0002030	ENSXETG00000017814.1	ENSMUSG00000031897.9
OG0002031	ENSXETG00000001297.1	ENSMUSG00000032098.13
OG0002032	ENSXETG00000016194.1	ENSMUSG00000111123.2, ENSMUSG00000023307.14
OG0002033	ENSXETG00000001354.1	ENSMUSG00000043909.16
OG0002034	ENSXETG00000020958.1	ENSMUSG00000005803.14
OG0002035	ENSXETG00000019498.1	ENSMUSG00000022136.8
OG0002036	ENSXETG00000008981.1	ENSMUSG00000046865.7, ENSMUSG00000051062.6
OG0002037	ENSXETG00000011179.1	ENSMUSG00000024844.15
OG0002039	ENSXETG00000008834.1	ENSMUSG00000022178.11, ENSMUSG00000022177.9
OG0002040	ENSXETG00000013306.1	ENSMUSG00000053460.8, ENSMUSG00000103019.2
OG0002041	ENSXETG00000014498.1	ENSMUSG00000074734.3, ENSMUSG00000009596.9, ENSMUSG00000051316.8
OG0002042	ENSXETG00000017977.1	ENSMUSG00000037373.12
OG0002043	ENSXETG00000002527.1	ENSMUSG00000029617.10
OG0002044	ENSXETG00000005300.1	ENSMUSG00000022558.16
OG0002045	ENSXETG00000019289.1	ENSMUSG00000025745.12
OG0002046	ENSXETG00000003820.1	ENSMUSG00000005107.13
OG0002047	ENSXETG00000014573.1	ENSMUSG00000019851.8
OG0002048	ENSXETG00000002952.1	ENSMUSG00000041241.12
OG0002049	ENSXETG00000020576.1	ENSMUSG00000060034.5, ENSMUSG00000042340.6
OG0002050	ENSXETG00000001868.1	ENSMUSG00000036893.17
OG0002051	ENSXETG00000010716.1	ENSMUSG00000108815.1, ENSMUSG00000042308.14
OG0002052	ENSXETG00000017472.1	ENSMUSG00000051855.15
OG0002053	ENSXETG00000002238.1	ENSMUSG00000038550.10
OG0002054	ENSXETG00000020060.1	ENSMUSG00000057738.14
OG0002055	ENSXETG00000006010.1, ENSXETG00000016981.1	ENSMUSG00000049739.10
OG0002056	ENSXETG00000005606.1	ENSMUSG00000028760.16
OG0002057	ENSXETG00000016302.1	ENSMUSG00000025157.8
OG0002058	ENSXETG00000017359.1	ENSMUSG00000040761.16
OG0002059	ENSXETG00000018193.1, ENSXETG00000018738.1	ENSMUSG00000079440.2, ENSMUSG00000036500.4, ENSMUSG00000026246.12
OG0002060	ENSXETG00000005233.1	ENSMUSG00000028433.14
OG0002061	ENSXETG00000014210.1	ENSMUSG00000045374.18
OG0002062	ENSXETG00000003445.1	ENSMUSG00000070327.14
OG0002063	ENSXETG00000002676.1	ENSMUSG00000032120.11
OG0002064	ENSXETG00000006892.1	ENSMUSG00000022122.15
OG0002065	ENSXETG00000005124.1	ENSMUSG00000022556.11
OG0002067	ENSXETG00000005171.1, ENSXETG00000005182.1	ENSMUSG00000032372.14, ENSMUSG00000032369.13
OG0002068	ENSXETG00000007952.1	ENSMUSG00000004069.17
OG0002069	ENSXETG00000007436.1	ENSMUSG00000031993.7
OG0002070	ENSXETG00000012948.1	ENSMUSG00000029462.18
OG0002071	ENSXETG00000015978.1	ENSMUSG00000038473.14
OG0002072	ENSXETG00000005408.1	ENSMUSG00000022338.8
OG0002073	ENSXETG00000013962.1	ENSMUSG00000051483.9, ENSMUSG00000082815.2, ENSMUSG00000022947.8
OG0002074	ENSXETG00000007027.1	ENSMUSG00000030699.16
OG0002075	ENSXETG00000015194.1	ENSMUSG00000018559.16
OG0002076	ENSXETG00000006475.1	ENSMUSG00000030655.15
OG0002077	ENSXETG00000013768.1	ENSMUSG00000000171.5
OG0002078	ENSXETG00000013974.1	ENSMUSG00000027386.9
OG0002079	ENSXETG00000010276.1	ENSMUSG00000033543.17
OG0002080	ENSXETG00000009942.1	ENSMUSG00000044950.7
OG0002081	ENSXETG00000018227.1	ENSMUSG00000112449.1, ENSMUSG00000073079.6, ENSMUSG00000079108.6
OG0002082	ENSXETG00000017318.1	ENSMUSG00000021693.20
OG0002083	ENSXETG00000018638.1	ENSMUSG00000035284.10
OG0002084	ENSXETG00000016585.1	ENSMUSG00000044734.16, ENSMUSG00000079049.9, ENSMUSG00000051029.8
OG0002085	ENSXETG00000014961.1	ENSMUSG00000048602.9, ENSMUSG00000034543.15
OG0002086	ENSXETG00000006811.1, ENSXETG00000007038.1	ENSMUSG00000032212.10
OG0002087	ENSXETG00000001755.1	ENSMUSG00000111321.2, ENSMUSG00000003526.12
OG0002088	ENSXETG00000008869.1	ENSMUSG00000058600.13
OG0002089	ENSXETG00000008913.1	ENSMUSG00000078486.3
OG0002090	ENSXETG00000001249.1	ENSMUSG00000032228.16
OG0002091	ENSXETG00000017649.1	ENSMUSG00000024338.15
OG0002092	ENSXETG00000010627.1	ENSMUSG00000041670.17, ENSMUSG00000111628.3
OG0002093	ENSXETG00000001488.1	ENSMUSG00000038535.17, ENSMUSG00000036916.13
OG0002094	ENSXETG00000007180.1	ENSMUSG00000028218.19
OG0002095	ENSXETG00000001284.1	ENSMUSG00000046714.7
OG0002095	ENSXETG00000016345.1	ENSMUSG00000050295.4
OG0002096	ENSXETG00000010151.1	ENSMUSG00000008892.12
OG0002097	ENSXETG00000011395.1	ENSMUSG00000023452.19, ENSMUSG00000093574.1
OG0002097	ENSXETG00000002509.1	ENSMUSG00000095041.7
OG0002098	ENSXETG00000010889.1	ENSMUSG00000033444.14
OG0002099	ENSXETG00000011577.1	ENSMUSG00000033416.15
OG0002100	ENSXETG00000008105.1	ENSMUSG00000007564.15
OG0002100	ENSXETG00000014228.1	ENSMUSG00000032058.14
