Orthogroup	X_tropicalis.pep	N_naja.pep
OG0002840	ENSXETG00000006926.1	Nana19267-RA
OG0002841	ENSXETG00000020302.1	Nana05680-RA, Nana05680-RB
OG0002842	ENSXETG00000018700.1	Nana05669-RB, Nana05669-RA, Nana05669-RC
OG0002843	ENSXETG00000018567.1	Nana05666-RA
OG0002843	ENSXETG00000017737.1	Nana30849-RA
OG0002845	ENSXETG00000006356.1	Nana34609-RA, Nana34609-RC, Nana34609-RB
OG0002846	ENSXETG00000006877.1	Nana36460-RA, Nana36460-RB, Nana36460-RD
OG0002847	ENSXETG00000015539.1	Nana37236-RA
OG0002848	ENSXETG00000008650.1	Nana28011-RA
OG0002849	ENSXETG00000017166.1	Nana36446-RA
OG0002850	ENSXETG00000003148.1	Nana34544-RA, Nana34544-RC, Nana34544-RB
OG0002851	ENSXETG00000011118.1	Nana36875-RA, Nana36875-RC, Nana36875-RB
OG0002852	ENSXETG00000018388.1, ENSXETG00000003056.1, ENSXETG00000014613.1, ENSXETG00000003040.1, ENSXETG00000008920.1, ENSXETG00000019787.1	Nana36479-RA
OG0002853	ENSXETG00000018444.1	Nana36478-RD, Nana36478-RC, Nana36478-RA, Nana36478-RB
OG0002854	ENSXETG00000006770.1, ENSXETG00000010062.1, ENSXETG00000010052.1	Nana23975-RA
OG0002855	ENSXETG00000015011.1	Nana34595-RA, Nana27202-RA
OG0002856	ENSXETG00000001498.1	Nana34211-RA
OG0002857	ENSXETG00000018342.1, ENSXETG00000017506.1	Nana00715-RA
OG0002858	ENSXETG00000013773.1	Nana04786-RB, Nana04786-RA
OG0002859	ENSXETG00000011336.1	Nana00441-RB, Nana00441-RA
OG0002860	ENSXETG00000020428.1	Nana39635-RA
OG0002861	ENSXETG00000009230.1	Nana03184-RA, Nana03184-RB
OG0002862	ENSXETG00000000882.1	Nana19112-RA
OG0002863	ENSXETG00000006508.1	Nana36127-RA
OG0002864	ENSXETG00000012851.1	Nana00649-RA, Nana00649-RB
OG0002865	ENSXETG00000017393.1	Nana30683-RA
OG0002866	ENSXETG00000013220.1	Nana12428-RA
OG0002867	ENSXETG00000013345.1	Nana12434-RB, Nana12434-RC, Nana12434-RA
OG0002868	ENSXETG00000008050.1	Nana36137-RB
OG0002869	ENSXETG00000003777.1	Nana29168-RA
OG0002870	ENSXETG00000016319.1	Nana12441-RB, Nana12440-RA, Nana12441-RA
OG0002871	ENSXETG00000011259.1	Nana23830-RB, Nana38283-RA, Nana23830-RA, Nana23830-RC, Nana39502-RA
OG0002872	ENSXETG00000008865.1	Nana23587-RC, Nana23587-RA, Nana23587-RB
OG0002873	ENSXETG00000002387.1	Nana23378-RA, Nana23378-RE, Nana23378-RD, Nana23378-RF
OG0002874	ENSXETG00000009909.1	Nana04436-RA, Nana27577-RA, Nana39076-RA
OG0002875	ENSXETG00000016393.1	Nana23820-RB, Nana23820-RA
OG0002876	ENSXETG00000015575.1	Nana23818-RA, Nana23818-RB, Nana23818-RC, Nana23818-RD
OG0002878	ENSXETG00000005832.1	Nana36922-RB
OG0002879	ENSXETG00000005827.1	Nana33423-RB, Nana33423-RD, Nana33423-RA, Nana33423-RC
OG0002880	ENSXETG00000009748.1	Nana24656-RA
OG0002881	ENSXETG00000006301.1	Nana11074-RA
OG0002882	ENSXETG00000006419.1, ENSXETG00000006334.1	Nana11073-RA
OG0002883	ENSXETG00000000290.1, ENSXETG00000013183.1	Nana35695-RA
OG0002885	ENSXETG00000002391.1	Nana28137-RC, Nana28137-RA
OG0002886	ENSXETG00000003131.1	Nana09514-RA
OG0002886	ENSXETG00000001458.1	Nana34209-RA
OG0002887	ENSXETG00000006622.1	Nana36069-RB, Nana36069-RC
OG0002887	ENSXETG00000002842.1	Nana33649-RA
OG0002888	ENSXETG00000020359.1	Nana31719-RC, Nana31719-RA, Nana31719-RB
OG0002889	ENSXETG00000004207.1	Nana05048-RA
OG0002891	ENSXETG00000006449.1	Nana25453-RA, Nana25459-RA
OG0002892	ENSXETG00000006445.1	Nana25460-RA, Nana25457-RA
OG0002893	ENSXETG00000001893.1	Nana25455-RA, Nana25464-RA, Nana25464-RB
OG0002894	ENSXETG00000012518.1	Nana00337-RA
OG0002895	ENSXETG00000018486.1	Nana34112-RA, Nana34115-RA
OG0002896	ENSXETG00000004760.1	Nana30199-RA
OG0002897	ENSXETG00000004719.1	Nana30197-RC, Nana30197-RB, Nana30197-RA, Nana30197-RD
OG0002898	ENSXETG00000004543.1, ENSXETG00000004595.1, ENSXETG00000005313.1, ENSXETG00000006059.1	Nana28940-RA
OG0002899	ENSXETG00000004957.1	Nana28937-RC, Nana28937-RD, Nana28937-RA, Nana28937-RB
OG0002900	ENSXETG00000017430.1	Nana33215-RD, Nana33215-RB, Nana33215-RC
OG0002901	ENSXETG00000012618.1, ENSXETG00000006695.1, ENSXETG00000012710.1	Nana00104-RA, Nana00104-RB
OG0002902	ENSXETG00000013517.1	Nana32977-RA, Nana32975-RA
OG0002903	ENSXETG00000015494.1	Nana09811-RA
OG0002905	ENSXETG00000007091.1	Nana20871-RA, Nana20870-RA, Nana20869-RA
OG0002906	ENSXETG00000009421.1	Nana00322-RA, Nana00324-RA
OG0002907	ENSXETG00000003586.1	Nana17298-RA, Nana17298-RB
OG0002908	ENSXETG00000001964.1	Nana08410-RA, Nana08411-RA
OG0002909	ENSXETG00000005116.1	Nana08011-RA
OG0002910	ENSXETG00000021397.1	Nana32748-RB, Nana32748-RA
OG0002911	ENSXETG00000006373.1	Nana26091-RA
OG0002912	ENSXETG00000013130.1	Nana28023-RC, Nana28023-RB, Nana28023-RA, Nana28023-RD
OG0002913	ENSXETG00000000167.1	Nana34237-RA, Nana34229-RA
OG0002914	ENSXETG00000011214.1	Nana03351-RA
OG0002915	ENSXETG00000013167.1	Nana28020-RA
OG0002916	ENSXETG00000016154.1	Nana29921-RB, Nana29921-RA
OG0002917	ENSXETG00000017940.1	Nana26691-RA, Nana26694-RA
OG0002918	ENSXETG00000000016.1	Nana34250-RA
OG0002919	ENSXETG00000000871.1	Nana28050-RC, Nana28050-RB, Nana28050-RA
OG0002920	ENSXETG00000005135.1	Nana31032-RA, Nana31032-RB
OG0002921	ENSXETG00000008798.1, ENSXETG00000008480.1	Nana24311-RA
OG0002922	ENSXETG00000007084.1	Nana33795-RA, Nana33795-RB, Nana33795-RC
OG0002923	ENSXETG00000020326.1	Nana32268-RA
OG0002924	ENSXETG00000008680.1	Nana37042-RB, Nana37042-RA
OG0002925	ENSXETG00000016083.1	Nana37063-RA
OG0002926	ENSXETG00000016058.1	Nana01812-RA, Nana01812-RB
OG0002927	ENSXETG00000012080.1	Nana32256-RA, Nana32256-RB, Nana32256-RC
OG0002928	ENSXETG00000020623.1	Nana00472-RA, Nana23879-RA
OG0002929	ENSXETG00000016007.1	Nana16110-RA
OG0002930	ENSXETG00000012384.1	Nana36762-RA
OG0002931	ENSXETG00000016563.1	Nana25634-RA, Nana18565-RA
OG0002933	ENSXETG00000019933.1	Nana01777-RA, Nana01779-RA
OG0002934	ENSXETG00000019570.1	Nana01771-RA
OG0002935	ENSXETG00000004686.1	Nana00789-RA
OG0002936	ENSXETG00000016615.1	Nana03402-RA, Nana03402-RB, Nana03399-RA
OG0002937	ENSXETG00000003934.1	Nana19011-RA
OG0002938	ENSXETG00000016588.1	Nana12568-RA, Nana12568-RC, Nana12568-RB, Nana12568-RD
OG0002939	ENSXETG00000003181.1	Nana01948-RB, Nana01948-RA
OG0002940	ENSXETG00000007686.1	Nana08801-RB, Nana08801-RA
OG0002941	ENSXETG00000008281.1	Nana23865-RF, Nana23865-RH, Nana23865-RE, Nana23865-RG, Nana23865-RB
OG0002942	ENSXETG00000018549.1	Nana03039-RA
OG0002943	ENSXETG00000010697.1	Nana31025-RC, Nana31025-RD, Nana31025-RA, Nana31025-RB
OG0002944	ENSXETG00000020820.1	Nana31749-RA, Nana31747-RA, Nana31748-RA, Nana31750-RA, Nana31746-RA
OG0002945	ENSXETG00000020681.1	Nana01957-RA
OG0002946	ENSXETG00000017789.1	Nana01960-RC, Nana01960-RA, Nana01960-RB, Nana01958-RA
OG0002947	ENSXETG00000012885.1	Nana08793-RA
OG0002948	ENSXETG00000011114.1, ENSXETG00000011203.1	Nana18293-RA
OG0002949	ENSXETG00000000864.1	Nana09853-RB, Nana09853-RA
OG0002950	ENSXETG00000006606.1	Nana25475-RA, Nana25475-RB
OG0002951	ENSXETG00000012314.1	Nana00103-RA, Nana00103-RB, Nana00103-RC, Nana00103-RD
OG0002952	ENSXETG00000005347.1	Nana20808-RB, Nana20808-RC, Nana20808-RA
OG0002953	ENSXETG00000017361.1	Nana03514-RA, Nana03515-RA
OG0002954	ENSXETG00000017692.1	Nana33671-RE, Nana33671-RD, Nana33671-RB
OG0002955	ENSXETG00000005088.1	Nana12781-RB, Nana12781-RA, Nana12787-RA
OG0002956	ENSXETG00000005081.1	Nana12792-RA, Nana12790-RA
OG0002956	ENSXETG00000014714.1	Nana12782-RA
OG0002957	ENSXETG00000003048.1	Nana37634-RB, Nana37634-RA
OG0002958	ENSXETG00000010632.1	Nana36036-RA, Nana35858-RA, Nana01419-RA
OG0002959	ENSXETG00000016681.1	Nana36874-RA, Nana37127-RA
OG0002960	ENSXETG00000018346.1	Nana00054-RG, Nana00054-RE, Nana00054-RF
OG0002961	ENSXETG00000018593.1	Nana00054-RA, Nana00054-RC, Nana00054-RB, Nana00054-RD
OG0002962	ENSXETG00000006650.1	Nana00457-RD, Nana00457-RG, Nana00457-RC, Nana00457-RB
OG0002963	ENSXETG00000011998.1	Nana00456-RB, Nana00456-RA
OG0002964	ENSXETG00000001703.1, ENSXETG00000005635.1	Nana29030-RI, Nana29030-RK, Nana29030-RF
OG0002965	ENSXETG00000004854.1	Nana00801-RA
OG0002966	ENSXETG00000009468.1	Nana32201-RA
OG0002967	ENSXETG00000008411.1	Nana36575-RB, Nana36575-RA
OG0002968	ENSXETG00000009832.1	Nana00708-RA, Nana00708-RB
OG0002969	ENSXETG00000007404.1	Nana00626-RA
OG0002970	ENSXETG00000015974.1	Nana15755-RB, Nana15755-RC
OG0002971	ENSXETG00000021331.1	Nana16924-RA
OG0002972	ENSXETG00000017656.1, ENSXETG00000019995.1	Nana28387-RB, Nana28387-RA
OG0002973	ENSXETG00000015291.1	Nana28385-RA, Nana28384-RA
OG0002974	ENSXETG00000010275.1	Nana39860-RB, Nana39860-RA, Nana21069-RA
OG0002975	ENSXETG00000020138.1	Nana28617-RA
OG0002976	ENSXETG00000011253.1	Nana31874-RB, Nana31874-RD, Nana31874-RE, Nana31874-RC
OG0002977	ENSXETG00000007420.1	Nana36570-RA, Nana36570-RB, Nana36570-RC
OG0002978	ENSXETG00000011383.1	Nana13135-RD, Nana13135-RA, Nana13135-RC, Nana13135-RB
OG0002979	ENSXETG00000007158.1	Nana39426-RA
OG0002979	ENSXETG00000007236.1	Nana37403-RA
OG0002980	ENSXETG00000007037.1, ENSXETG00000016175.1	Nana37404-RA, Nana37404-RC, Nana37404-RB
OG0002981	ENSXETG00000002991.1	Nana13239-RA
OG0002982	ENSXETG00000020170.1	Nana20704-RA, Nana20702-RA, Nana20703-RA
OG0002983	ENSXETG00000002110.1	Nana34798-RC, Nana34798-RB, Nana34798-RA
OG0002985	ENSXETG00000014000.1	Nana32097-RA
OG0002986	ENSXETG00000020035.1	Nana27708-RA, Nana27710-RA
OG0002987	ENSXETG00000015929.1	Nana17248-RC, Nana17248-RB, Nana17248-RA
OG0002988	ENSXETG00000006704.1	Nana15342-RA
OG0002989	ENSXETG00000014336.1	Nana14470-RA
OG0002989	ENSXETG00000010051.1	Nana11207-RA
OG0002990	ENSXETG00000021385.1	Nana03595-RB, Nana03595-RA
OG0002991	ENSXETG00000012312.1	Nana31834-RC, Nana31834-RB, Nana31834-RA
OG0002993	ENSXETG00000012345.1	Nana31835-RA, Nana31835-RB
OG0002994	ENSXETG00000012381.1	Nana31837-RA, Nana31837-RB
OG0002995	ENSXETG00000001238.1	Nana31840-RD, Nana31840-RB, Nana31840-RC, Nana31840-RA
OG0002996	ENSXETG00000000969.1, ENSXETG00000011512.1	Nana31525-RA
OG0002997	ENSXETG00000013781.1	Nana33598-RA, Nana33598-RB
OG0002998	ENSXETG00000013543.1	Nana28071-RC, Nana28071-RB, Nana28071-RD, Nana28071-RA
OG0002999	ENSXETG00000011378.1	Nana03572-RC, Nana03572-RE, Nana03572-RD, Nana03572-RA
OG0003000	ENSXETG00000015442.1	Nana17201-RA
OG0003001	ENSXETG00000005079.1	Nana16751-RA, Nana14505-RA
OG0003002	ENSXETG00000000589.1	Nana11969-RA
OG0003003	ENSXETG00000004174.1	Nana19080-RA
OG0003004	ENSXETG00000004001.1	Nana19081-RA
OG0003005	ENSXETG00000001556.1	Nana19085-RB, Nana19085-RA
OG0003006	ENSXETG00000004979.1	Nana09230-RB, Nana09230-RA
OG0003007	ENSXETG00000012591.1	Nana30091-RC, Nana30091-RA, Nana30091-RD, Nana30091-RB
OG0003008	ENSXETG00000005031.1	Nana15792-RA, Nana15792-RB, Nana15792-RC
OG0003009	ENSXETG00000000040.1	Nana09229-RA
OG0003010	ENSXETG00000010389.1	Nana32490-RA, Nana26082-RA, Nana26083-RA, Nana26084-RA
OG0003011	ENSXETG00000016933.1	Nana34645-RA
OG0003012	ENSXETG00000007015.1	Nana34916-RC, Nana34916-RB, Nana34916-RA
OG0003013	ENSXETG00000003110.1	Nana34907-RA
OG0003014	ENSXETG00000018379.1	Nana17035-RA
OG0003015	ENSXETG00000014748.1	Nana13304-RB, Nana13304-RA
OG0003015	ENSXETG00000015424.1	Nana12930-RA
OG0003016	ENSXETG00000002442.1	Nana37088-RA
OG0003018	ENSXETG00000015738.1	Nana03385-RB, Nana03385-RD, Nana03385-RA, Nana03385-RC
OG0003020	ENSXETG00000003807.1	Nana11412-RA, Nana11412-RD, Nana11412-RC, Nana11412-RB
OG0003021	ENSXETG00000009111.1	Nana36818-RA, Nana36818-RB
OG0003022	ENSXETG00000001166.1	Nana32766-RA, Nana32766-RB, Nana32766-RC, Nana32766-RD
OG0003023	ENSXETG00000021305.1	Nana02318-RB, Nana02318-RA
OG0003024	ENSXETG00000000098.1	Nana20924-RB, Nana20924-RC, Nana20924-RA
OG0003025	ENSXETG00000006359.1	Nana30990-RA, Nana13851-RA
OG0003026	ENSXETG00000004247.1	Nana37481-RA
OG0003027	ENSXETG00000010279.1	Nana28140-RC, Nana28140-RD, Nana28140-RE, Nana28140-RF
OG0003028	ENSXETG00000001727.1	Nana35430-RA, Nana35428-RA
OG0003030	ENSXETG00000014875.1	Nana17173-RB, Nana17173-RA
OG0003032	ENSXETG00000007438.1, ENSXETG00000007423.1	Nana17152-RA
OG0003033	ENSXETG00000011763.1, ENSXETG00000011754.1, ENSXETG00000011748.1	Nana16604-RA
OG0003034	ENSXETG00000001613.1	Nana32761-RB, Nana32761-RD, Nana32761-RA, Nana32761-RC
OG0003036	ENSXETG00000021295.1	Nana32593-RD, Nana32593-RB, Nana32593-RC, Nana32593-RA
OG0003037	ENSXETG00000004404.1	Nana00727-RB, Nana00727-RC
OG0003039	ENSXETG00000020455.1	Nana33153-RA
OG0003040	ENSXETG00000019236.1	Nana33150-RC, Nana33150-RA, Nana33150-RB
OG0003041	ENSXETG00000004215.1	Nana11120-RA, Nana39722-RA, Nana11119-RA
OG0003042	ENSXETG00000014798.1	Nana28119-RD, Nana28119-RC, Nana28119-RB, Nana28119-RA
OG0003043	ENSXETG00000009452.1	Nana16632-RA
OG0003045	ENSXETG00000017685.1	Nana06817-RA
OG0003046	ENSXETG00000015660.1	Nana03290-RD, Nana03290-RA, Nana03290-RB, Nana03290-RC
OG0003047	ENSXETG00000000452.1, ENSXETG00000018028.1	Nana39244-RA, Nana39246-RA
OG0003048	ENSXETG00000014023.1	Nana28879-RB, Nana28879-RC, Nana28879-RA
OG0003049	ENSXETG00000016722.1	Nana33776-RC, Nana33776-RB, Nana33776-RA
OG0003050	ENSXETG00000013625.1	Nana28163-RA
OG0003051	ENSXETG00000012067.1	Nana16495-RA, Nana16497-RA
OG0003052	ENSXETG00000009927.1	Nana37349-RC, Nana37349-RB, Nana37349-RA
OG0003053	ENSXETG00000017707.1	Nana16360-RA
OG0003054	ENSXETG00000014856.1	Nana36984-RA, Nana36983-RA
OG0003055	ENSXETG00000002632.1, ENSXETG00000011703.1	Nana26733-RC, Nana26733-RA, Nana26733-RB
OG0003056	ENSXETG00000013670.1	Nana18064-RB, Nana18064-RA
OG0003057	ENSXETG00000004327.1	Nana12462-RA
OG0003058	ENSXETG00000003255.1	Nana30815-RA
OG0003059	ENSXETG00000019117.1	Nana03834-RA, Nana03834-RD, Nana03834-RB, Nana03834-RC
OG0003060	ENSXETG00000016584.1	Nana15920-RA, Nana15920-RB
OG0003061	ENSXETG00000005512.1	Nana33436-RA
OG0003062	ENSXETG00000019671.1	Nana33179-RE, Nana33179-RB, Nana33179-RA
OG0003063	ENSXETG00000017948.1	Nana03691-RA, Nana03694-RA
OG0003064	ENSXETG00000013399.1	Nana12524-RB, Nana12524-RA
OG0003065	ENSXETG00000007867.1	Nana28398-RA, Nana28546-RA
OG0003066	ENSXETG00000002386.1	Nana20991-RA
OG0003066	ENSXETG00000015185.1	Nana37570-RA
OG0003067	ENSXETG00000011532.1	Nana35341-RA
OG0003068	ENSXETG00000002911.1	Nana16440-RA
OG0003069	ENSXETG00000004941.1	Nana36055-RB, Nana36055-RC, Nana36055-RA
OG0003070	ENSXETG00000018920.1	Nana00696-RH, Nana00696-RG, Nana00696-RC, Nana00696-RB
OG0003071	ENSXETG00000009010.1	Nana36764-RA, Nana36764-RB
OG0003072	ENSXETG00000003271.1	Nana19033-RA
OG0003073	ENSXETG00000018020.1	Nana19248-RA, Nana19248-RB
OG0003074	ENSXETG00000019337.1	Nana16464-RA
OG0003075	ENSXETG00000004005.1	Nana00433-RA
OG0003076	ENSXETG00000001647.1	Nana11243-RA, Nana11242-RA, Nana11241-RA, Nana11244-RA, Nana11240-RA
OG0003077	ENSXETG00000001600.1	Nana11239-RA
OG0003078	ENSXETG00000003780.1	Nana31059-RA, Nana16222-RA
OG0003079	ENSXETG00000000954.1	Nana18813-RC, Nana18813-RB, Nana18813-RD, Nana18813-RA
OG0003080	ENSXETG00000003576.1	Nana34866-RB, Nana34670-RA, Nana34670-RB, Nana34866-RA
OG0003081	ENSXETG00000003759.1	Nana34860-RB, Nana34860-RC, Nana34860-RE, Nana34860-RD
OG0003082	ENSXETG00000016650.1	Nana27949-RA, Nana27952-RA
OG0003083	ENSXETG00000000355.1	Nana26650-RB, Nana26650-RA
OG0003084	ENSXETG00000000388.1	Nana26651-RD, Nana26651-RA, Nana26651-RC, Nana26651-RB
OG0003085	ENSXETG00000021351.1	Nana37189-RB
OG0003086	ENSXETG00000005712.1	Nana17497-RB, Nana17497-RA
OG0003087	ENSXETG00000000440.1	Nana26659-RA
OG0003088	ENSXETG00000009504.1	Nana29813-RA
OG0003089	ENSXETG00000000931.1	Nana01230-RA
OG0003090	ENSXETG00000001769.1	Nana31656-RB, Nana31656-RA
OG0003091	ENSXETG00000006162.1	Nana19703-RA, Nana19702-RA
OG0003092	ENSXETG00000017182.1	Nana28287-RA, Nana19584-RA
OG0003093	ENSXETG00000008938.1	Nana15089-RA
OG0003094	ENSXETG00000001016.1, ENSXETG00000001030.1	Nana34829-RA, Nana34828-RA
OG0003095	ENSXETG00000001114.1	Nana28795-RD, Nana28795-RC, Nana28795-RB, Nana28795-RA
OG0003096	ENSXETG00000015584.1	Nana21023-RA, Nana04882-RA, Nana04882-RB
OG0003097	ENSXETG00000008810.1	Nana34617-RA
OG0003098	ENSXETG00000001979.1	Nana30241-RA, Nana30241-RB
OG0003099	ENSXETG00000006452.1	Nana35116-RB, Nana35116-RA, Nana35116-RC
OG0003100	ENSXETG00000001308.1	Nana30246-RA
OG0003102	ENSXETG00000000526.1	Nana21163-RA, Nana21163-RC, Nana21163-RB, Nana21163-RD
OG0003103	ENSXETG00000016446.1	Nana18835-RA, Nana18837-RA
OG0003104	ENSXETG00000019443.1	Nana36028-RA
OG0003105	ENSXETG00000006967.1	Nana30123-RA, Nana30123-RD, Nana30123-RB, Nana30123-RC
OG0003106	ENSXETG00000018433.1	Nana11977-RA, Nana11976-RA
OG0003107	ENSXETG00000000410.1	Nana11963-RA, Nana11964-RA
OG0003109	ENSXETG00000008645.1	Nana14108-RA
OG0003110	ENSXETG00000011974.1	Nana21141-RB, Nana21141-RA
OG0003111	ENSXETG00000011348.1, ENSXETG00000009636.1	Nana18113-RA
OG0003112	ENSXETG00000009770.1	Nana00717-RB, Nana00717-RA
OG0003113	ENSXETG00000010617.1	Nana34814-RD, Nana34814-RH, Nana34814-RI, Nana34814-RE
OG0003114	ENSXETG00000019304.1	Nana32404-RA
OG0003115	ENSXETG00000012909.1	Nana11941-RA
OG0003116	ENSXETG00000007309.1	Nana17145-RA, Nana17145-RB
OG0003117	ENSXETG00000004973.1	Nana23788-RB, Nana23788-RC, Nana23788-RA
OG0003118	ENSXETG00000012820.1	Nana11921-RA
OG0003119	ENSXETG00000005785.1	Nana34064-RC, Nana34064-RB, Nana34064-RA
OG0003120	ENSXETG00000005962.1	Nana34065-RA, Nana34070-RA
OG0003121	ENSXETG00000004696.1	Nana33679-RA, Nana33679-RB, Nana33679-RD, Nana33679-RC
OG0003122	ENSXETG00000011706.1, ENSXETG00000016467.1	Nana18427-RA
OG0003124	ENSXETG00000020184.1	Nana08778-RB, Nana08778-RA, Nana08778-RC, Nana08778-RD
OG0003125	ENSXETG00000019848.1	Nana21237-RA
OG0003126	ENSXETG00000020191.1	Nana11870-RA
OG0003127	ENSXETG00000020020.1	Nana15945-RA, Nana15945-RB
OG0003128	ENSXETG00000015543.1	Nana23549-RB, Nana23549-RA, Nana23549-RC
OG0003129	ENSXETG00000001566.1	Nana23548-RA, Nana37825-RB, Nana37825-RA
OG0003130	ENSXETG00000007919.1	Nana31220-RB, Nana31220-RA, Nana31220-RD, Nana31220-RC
OG0003131	ENSXETG00000018252.1	Nana31208-RA, Nana31208-RD, Nana31208-RB, Nana31208-RC
OG0003132	ENSXETG00000008547.1	Nana21283-RB, Nana21283-RA, Nana39297-RA
OG0003133	ENSXETG00000017602.1	Nana23533-RB
OG0003134	ENSXETG00000008754.1, ENSXETG00000008701.1, ENSXETG00000015925.1, ENSXETG00000003895.1	Nana15901-RA
OG0003135	ENSXETG00000007079.1	Nana21304-RA, Nana21304-RB
OG0003136	ENSXETG00000017117.1, ENSXETG00000017708.1	Nana15865-RC, Nana15865-RB, Nana15865-RA
OG0003137	ENSXETG00000012324.1	Nana15863-RA
OG0003138	ENSXETG00000008168.1	Nana05977-RA
OG0003140	ENSXETG00000009016.1, ENSXETG00000009002.1, ENSXETG00000008982.1, ENSXETG00000008969.1	Nana23485-RA
OG0003141	ENSXETG00000003526.1	Nana09768-RA
OG0003142	ENSXETG00000011298.1	Nana11152-RA
OG0003143	ENSXETG00000003260.1	Nana08318-RA, Nana39235-RA
OG0003144	ENSXETG00000017878.1	Nana11148-RA, Nana11148-RB
OG0003145	ENSXETG00000017950.1	Nana11146-RC, Nana11146-RB, Nana11146-RA
OG0003146	ENSXETG00000016313.1	Nana21376-RA, Nana36722-RA, Nana21932-RA
OG0003147	ENSXETG00000004579.1, ENSXETG00000005589.1	Nana33694-RA
OG0003149	ENSXETG00000020206.1	Nana26077-RA
OG0003150	ENSXETG00000014066.1	Nana17449-RA, Nana17445-RA
OG0003151	ENSXETG00000000132.1	Nana25542-RD, Nana25542-RA, Nana25542-RC, Nana25542-RB
OG0003152	ENSXETG00000011490.1	Nana23682-RA
OG0003153	ENSXETG00000014320.1	Nana15600-RA
OG0003155	ENSXETG00000002547.1	Nana15591-RD, Nana15591-RA, Nana15591-RB, Nana15591-RC
OG0003156	ENSXETG00000010199.1	Nana32480-RA
OG0003157	ENSXETG00000017386.1	Nana18597-RD, Nana18597-RA, Nana18597-RB, Nana18597-RC
OG0003158	ENSXETG00000005003.1	Nana01494-RA, Nana01493-RA
OG0003159	ENSXETG00000001421.1	Nana25020-RA, Nana25020-RB
OG0003160	ENSXETG00000009971.1	Nana11215-RA, Nana11211-RA, Nana11211-RB
OG0003161	ENSXETG00000008222.1	Nana35584-RA
OG0003162	ENSXETG00000018708.1	Nana18587-RA, Nana18585-RA
OG0003163	ENSXETG00000018033.1	Nana16327-RB
OG0003164	ENSXETG00000020517.1	Nana19329-RB, Nana19329-RA, Nana19329-RC, Nana19331-RA
OG0003165	ENSXETG00000017659.1	Nana21496-RB, Nana21496-RC, Nana21496-RA
OG0003166	ENSXETG00000020780.1	Nana33060-RA
OG0003167	ENSXETG00000013545.1	Nana21480-RA, Nana21481-RA, Nana16008-RA
OG0003168	ENSXETG00000004717.1	Nana21465-RA
OG0003169	ENSXETG00000015525.1	Nana19396-RC, Nana19396-RA, Nana19396-RB
OG0003170	ENSXETG00000015917.1	Nana17704-RA, Nana17706-RA
OG0003171	ENSXETG00000002555.1, ENSXETG00000002565.1	Nana33765-RA
OG0003172	ENSXETG00000015166.1, ENSXETG00000019837.1	Nana15264-RD, Nana15264-RC, Nana15264-RB
OG0003173	ENSXETG00000011778.1	Nana13143-RA, Nana13143-RC, Nana13143-RB
OG0003174	ENSXETG00000001529.1	Nana24354-RB, Nana39904-RA, Nana24354-RA
OG0003175	ENSXETG00000011555.1	Nana13138-RB, Nana13138-RA, Nana13138-RC
OG0003176	ENSXETG00000008977.1	Nana09398-RA, Nana09397-RA
OG0003177	ENSXETG00000001800.1	Nana35652-RA, Nana35640-RB, Nana35640-RA
OG0003178	ENSXETG00000016801.1	Nana17761-RA
OG0003179	ENSXETG00000019482.1	Nana20652-RB, Nana20652-RA
OG0003180	ENSXETG00000012162.1	Nana05921-RA, Nana05921-RC
OG0003181	ENSXETG00000003832.1	Nana30785-RA
OG0003182	ENSXETG00000002282.1	Nana35811-RA, Nana35811-RC
OG0003183	ENSXETG00000003968.1	Nana19082-RA, Nana19082-RB
OG0003184	ENSXETG00000019073.1	Nana15257-RA
OG0003185	ENSXETG00000021201.1	Nana27827-RA
OG0003186	ENSXETG00000012389.1	Nana21438-RA
OG0003187	ENSXETG00000005544.1	Nana34699-RA, Nana23784-RA
OG0003188	ENSXETG00000010649.1	Nana09935-RA, Nana09935-RB
OG0003189	ENSXETG00000012061.1	Nana27975-RC, Nana27975-RA, Nana27975-RB
OG0003190	ENSXETG00000001711.1	Nana21435-RB, Nana21435-RA
OG0003192	ENSXETG00000014522.1	Nana34762-RB, Nana34762-RA
OG0003193	ENSXETG00000007866.1	Nana00532-RA
OG0003194	ENSXETG00000003848.1	Nana23652-RB
OG0003195	ENSXETG00000004287.1	Nana21429-RA, Nana21429-RB, Nana21427-RA
OG0003196	ENSXETG00000003878.1	Nana23648-RA
OG0003197	ENSXETG00000009630.1	Nana31080-RB, Nana31080-RA, Nana31080-RC
OG0003198	ENSXETG00000014850.1	Nana04164-RB, Nana04164-RC, Nana04164-RD, Nana04164-RA
OG0003199	ENSXETG00000007833.1	Nana16684-RC, Nana16684-RB, Nana16684-RA, Nana16684-RD
OG0003200	ENSXETG00000020845.1	Nana04957-RA
OG0003202	ENSXETG00000009263.1	Nana31081-RA, Nana31081-RC, Nana31081-RD, Nana31081-RB
OG0003203	ENSXETG00000007466.1	Nana16679-RA, Nana16679-RB
OG0003204	ENSXETG00000007421.1	Nana16678-RB, Nana16678-RA
OG0003205	ENSXETG00000019235.1	Nana20635-RA, Nana20631-RA, Nana20633-RA
OG0003207	ENSXETG00000008330.1	Nana13246-RA, Nana16274-RA
OG0003208	ENSXETG00000000272.1	Nana00498-RB, Nana00498-RA
