Orthogroup	X_tropicalis.pep	G_gallus.pep
OG0000589	ENSXETG00000008322.1	ENSGALG00000008544.6
OG0000601	ENSXETG00000014994.1	ENSGALG00000009289.6
OG0000601	ENSXETG00000012462.1, ENSXETG00000001201.1, ENSXETG00000003245.1, ENSXETG00000001247.1, ENSXETG00000001260.1	ENSGALG00000001693.6
OG0000602	ENSXETG00000016251.1	ENSGALG00000042994.2
OG0000602	ENSXETG00000016385.1	ENSGALG00000040787.2
OG0000603	ENSXETG00000011688.1	ENSGALG00000002548.7
OG0000603	ENSXETG00000019555.1	ENSGALG00000003628.7
OG0000604	ENSXETG00000007057.1	ENSGALG00000006242.7
OG0000605	ENSXETG00000004596.1	ENSGALG00000029439.3
OG0000605	ENSXETG00000005181.1	ENSGALG00000028983.3
OG0000606	ENSXETG00000016255.1	ENSGALG00000007606.6
OG0000607	ENSXETG00000003828.1, ENSXETG00000013042.1	ENSGALG00000039554.2, ENSGALG00000043254.2
OG0000608	ENSXETG00000020543.1	ENSGALG00000004002.5, ENSGALG00000040421.3
OG0000610	ENSXETG00000015666.1	ENSGALG00000050866.1
OG0000611	ENSXETG00000009575.1	ENSGALG00000001320.6, ENSGALG00000001325.6
OG0000612	ENSXETG00000006661.1	ENSGALG00000006258.5, ENSGALG00000009568.6
OG0000613	ENSXETG00000009965.1	ENSGALG00000005522.5
OG0000613	ENSXETG00000000737.1	ENSGALG00000007153.6, ENSGALG00000020999.5
OG0000614	ENSXETG00000018069.1	ENSGALG00000004965.6, ENSGALG00000040553.2
OG0000615	ENSXETG00000003673.1	ENSGALG00000016546.5
OG0000615	ENSXETG00000009288.1	ENSGALG00000003522.5
OG0000616	ENSXETG00000010429.1	ENSGALG00000035842.2, ENSGALG00000016185.6
OG0000617	ENSXETG00000006951.1	ENSGALG00000041575.2
OG0000617	ENSXETG00000013906.1	ENSGALG00000053274.1
OG0000618	ENSXETG00000020639.1, ENSXETG00000019735.1, ENSXETG00000015542.1, ENSXETG00000018451.1, ENSXETG00000002268.1	ENSGALG00000012040.5
OG0000619	ENSXETG00000019608.1	ENSGALG00000001791.7, ENSGALG00000050464.1, ENSGALG00000021451.6, ENSGALG00000052887.1, ENSGALG00000049254.1, ENSGALG00000054926.1, ENSGALG00000049652.1, ENSGALG00000053446.1, ENSGALG00000001824.5
OG0000620	ENSXETG00000011588.1	ENSGALG00000004150.6
OG0000620	ENSXETG00000013372.1	ENSGALG00000001571.5
OG0000621	ENSXETG00000019141.1, ENSXETG00000019521.1	ENSGALG00000005360.6
OG0000621	ENSXETG00000008463.1	ENSGALG00000005896.7
OG0000622	ENSXETG00000011741.1	ENSGALG00000015877.7
OG0000622	ENSXETG00000012886.1	ENSGALG00000016127.6
OG0000622	ENSXETG00000000749.1	ENSGALG00000007128.6
OG0000623	ENSXETG00000014494.1	ENSGALG00000040582.2
OG0000623	ENSXETG00000016264.1	ENSGALG00000003424.6
OG0000624	ENSXETG00000001084.1	ENSGALG00000012462.7
OG0000624	ENSXETG00000017691.1	ENSGALG00000007215.6
OG0000626	ENSXETG00000000169.1	ENSGALG00000031578.2
OG0000626	ENSXETG00000010902.1	ENSGALG00000030229.2
OG0000626	ENSXETG00000010385.1	ENSGALG00000035230.2
OG0000627	ENSXETG00000001580.1, ENSXETG00000015576.1	ENSGALG00000034735.2
OG0000629	ENSXETG00000003049.1	ENSGALG00000040921.2
OG0000629	ENSXETG00000010278.1, ENSXETG00000018159.1	ENSGALG00000016442.8
OG0000630	ENSXETG00000019352.1	ENSGALG00000016443.6
OG0000630	ENSXETG00000008910.1	ENSGALG00000003573.6
OG0000630	ENSXETG00000000092.1	ENSGALG00000032518.2
OG0000631	ENSXETG00000007762.1	ENSGALG00000001938.6
OG0000632	ENSXETG00000016337.1	ENSGALG00000029834.2
OG0000633	ENSXETG00000006372.1	ENSGALG00000030918.3
OG0000634	ENSXETG00000010777.1	ENSGALG00000032057.3
OG0000635	ENSXETG00000000494.1	ENSGALG00000009512.6
OG0000636	ENSXETG00000017413.1	ENSGALG00000015608.5
OG0000637	ENSXETG00000003574.1	ENSGALG00000023773.5
OG0000637	ENSXETG00000003529.1	ENSGALG00000048886.1
OG0000638	ENSXETG00000013516.1	ENSGALG00000006503.6
OG0000638	ENSXETG00000020162.1	ENSGALG00000005002.7
OG0000639	ENSXETG00000018751.1	ENSGALG00000001476.5
OG0000641	ENSXETG00000008254.1	ENSGALG00000001267.6, ENSGALG00000007687.7
OG0000642	ENSXETG00000000839.1	ENSGALG00000013268.6
OG0000642	ENSXETG00000016331.1	ENSGALG00000012997.6
OG0000643	ENSXETG00000005442.1	ENSGALG00000011618.6
OG0000643	ENSXETG00000017433.1	ENSGALG00000010702.6
OG0000644	ENSXETG00000004872.1	ENSGALG00000007193.6
OG0000645	ENSXETG00000001400.1	ENSGALG00000021128.5
OG0000645	ENSXETG00000002711.1	ENSGALG00000023354.3
OG0000646	ENSXETG00000019564.1	ENSGALG00000007934.4
OG0000646	ENSXETG00000019385.1	ENSGALG00000042419.2
OG0000647	ENSXETG00000020280.1	ENSGALG00000032723.2, ENSGALG00000042297.2
OG0000648	ENSXETG00000017484.1	ENSGALG00000031341.2, ENSGALG00000009511.6
OG0000649	ENSXETG00000018465.1	ENSGALG00000012362.6
OG0000649	ENSXETG00000019322.1	ENSGALG00000010718.6, ENSGALG00000051980.1
OG0000651	ENSXETG00000002035.1, ENSXETG00000002043.1, ENSXETG00000002020.1, ENSXETG00000015382.1, ENSXETG00000015372.1, ENSXETG00000015392.1, ENSXETG00000014174.1, ENSXETG00000020486.1, ENSXETG00000002048.1, ENSXETG00000007264.1, ENSXETG00000007233.1, ENSXETG00000007239.1, ENSXETG00000007087.1, ENSXETG00000014183.1	ENSGALG00000006600.5
OG0000652	ENSXETG00000011408.1, ENSXETG00000008156.1	ENSGALG00000012488.5
OG0000652	ENSXETG00000011398.1	ENSGALG00000040840.3
OG0000653	ENSXETG00000004090.1	ENSGALG00000002088.5
OG0000653	ENSXETG00000008503.1	ENSGALG00000001866.6
OG0000653	ENSXETG00000000058.1	ENSGALG00000012307.5
OG0000654	ENSXETG00000021131.1	ENSGALG00000050616.1, ENSGALG00000044527.2
OG0000655	ENSXETG00000020969.1	ENSGALG00000008288.7
OG0000656	ENSXETG00000006524.1	ENSGALG00000017062.6
OG0000656	ENSXETG00000010580.1	ENSGALG00000010061.6
OG0000657	ENSXETG00000006256.1, ENSXETG00000005776.1	ENSGALG00000034473.3
OG0000658	ENSXETG00000002599.1	ENSGALG00000034458.2
OG0000658	ENSXETG00000006731.1	ENSGALG00000014989.6
OG0000659	ENSXETG00000020113.1	ENSGALG00000012623.5
OG0000660	ENSXETG00000002139.1	ENSGALG00000009028.6
OG0000660	ENSXETG00000000338.1	ENSGALG00000033813.3
OG0000661	ENSXETG00000000043.1	ENSGALG00000011858.6
OG0000661	ENSXETG00000005982.1	ENSGALG00000009877.6
OG0000662	ENSXETG00000007304.1	ENSGALG00000041626.2
OG0000662	ENSXETG00000017666.1	ENSGALG00000039118.2
OG0000663	ENSXETG00000020185.1	ENSGALG00000041419.3
OG0000664	ENSXETG00000016832.1	ENSGALG00000012061.6
OG0000664	ENSXETG00000006093.1	ENSGALG00000011481.6
OG0000665	ENSXETG00000000341.1, ENSXETG00000014607.1	ENSGALG00000037220.2
OG0000665	ENSXETG00000008174.1, ENSXETG00000002900.1, ENSXETG00000011154.1, ENSXETG00000002878.1, ENSXETG00000008476.1, ENSXETG00000008720.1, ENSXETG00000008580.1, ENSXETG00000003518.1, ENSXETG00000008587.1, ENSXETG00000004308.1, ENSXETG00000004336.1, ENSXETG00000008668.1, ENSXETG00000008383.1, ENSXETG00000008220.1, ENSXETG00000008261.1	ENSGALG00000043984.2
OG0000667	ENSXETG00000013701.1	ENSGALG00000006057.6, ENSGALG00000028438.3
OG0000668	ENSXETG00000012221.1	ENSGALG00000038188.3
OG0000669	ENSXETG00000019178.1	ENSGALG00000017040.6, ENSGALG00000032231.3
OG0000670	ENSXETG00000017242.1	ENSGALG00000006960.5
OG0000683	ENSXETG00000009377.1, ENSXETG00000009424.1, ENSXETG00000009445.1, ENSXETG00000009486.1	ENSGALG00000021025.5, ENSGALG00000006756.6
OG0000684	ENSXETG00000018253.1	ENSGALG00000003301.6
OG0000684	ENSXETG00000004789.1	ENSGALG00000048387.1
OG0000685	ENSXETG00000011674.1	ENSGALG00000035079.3
OG0000686	ENSXETG00000018614.1	ENSGALG00000014155.6
OG0000686	ENSXETG00000005238.1	ENSGALG00000002266.6
OG0000687	ENSXETG00000007901.1	ENSGALG00000001489.4
OG0000688	ENSXETG00000013736.1	ENSGALG00000026278.3
OG0000689	ENSXETG00000007519.1	ENSGALG00000008485.6
OG0000689	ENSXETG00000007128.1	ENSGALG00000007076.6
OG0000690	ENSXETG00000009782.1	ENSGALG00000010542.7
OG0000690	ENSXETG00000011246.1	ENSGALG00000003689.6
OG0000691	ENSXETG00000004850.1	ENSGALG00000009082.6
OG0000692	ENSXETG00000000039.1	ENSGALG00000004431.5
OG0000692	ENSXETG00000001574.1	ENSGALG00000038753.2
OG0000693	ENSXETG00000014873.1	ENSGALG00000000329.7
OG0000693	ENSXETG00000018258.1	ENSGALG00000032868.2
OG0000694	ENSXETG00000005807.1	ENSGALG00000012228.6
OG0000694	ENSXETG00000005473.1	ENSGALG00000010145.6
OG0000695	ENSXETG00000010089.1	ENSGALG00000032361.2
OG0000695	ENSXETG00000018699.1	ENSGALG00000012336.6
OG0000696	ENSXETG00000010479.1	ENSGALG00000049559.1
OG0000697	ENSXETG00000018214.1	ENSGALG00000009001.6
OG0000698	ENSXETG00000001871.1	ENSGALG00000001645.7
OG0000698	ENSXETG00000013449.1	ENSGALG00000041680.2
OG0000699	ENSXETG00000004016.1	ENSGALG00000026955.3
OG0000699	ENSXETG00000012547.1	ENSGALG00000005323.4
OG0000700	ENSXETG00000003491.1	ENSGALG00000002044.5
OG0000702	ENSXETG00000016357.1	ENSGALG00000001014.6
OG0000702	ENSXETG00000014047.1	ENSGALG00000020927.5
OG0000703	ENSXETG00000006047.1	ENSGALG00000026195.3
OG0000703	ENSXETG00000001203.1	ENSGALG00000005848.8
OG0000704	ENSXETG00000006082.1	ENSGALG00000030075.2
OG0000705	ENSXETG00000017846.1	ENSGALG00000000452.6, ENSGALG00000006407.6
OG0000706	ENSXETG00000007556.1	ENSGALG00000001049.7
OG0000707	ENSXETG00000021061.1	ENSGALG00000052453.1
OG0000708	ENSXETG00000021171.1	ENSGALG00000008926.6
OG0000708	ENSXETG00000004023.1	ENSGALG00000007268.6
OG0000709	ENSXETG00000001945.1	ENSGALG00000005519.6
OG0000709	ENSXETG00000006835.1	ENSGALG00000009567.6
OG0000710	ENSXETG00000002075.1	ENSGALG00000008303.6
OG0000710	ENSXETG00000005076.1	ENSGALG00000005409.7
OG0000711	ENSXETG00000014111.1	ENSGALG00000004958.6
OG0000711	ENSXETG00000010419.1	ENSGALG00000014124.5
OG0000713	ENSXETG00000005130.1	ENSGALG00000000808.7
OG0000714	ENSXETG00000004006.1	ENSGALG00000007549.6
OG0000714	ENSXETG00000011546.1	ENSGALG00000039455.3
OG0000715	ENSXETG00000019088.1, ENSXETG00000020058.1	ENSGALG00000048781.1, ENSGALG00000013993.7
OG0000716	ENSXETG00000010805.1	ENSGALG00000017343.6
OG0000717	ENSXETG00000014394.1	ENSGALG00000007510.7
OG0000718	ENSXETG00000011667.1, ENSXETG00000006932.1, ENSXETG00000011678.1, ENSXETG00000007004.1	ENSGALG00000043582.2, ENSGALG00000041621.2, ENSGALG00000039585.3, ENSGALG00000054636.1
OG0000719	ENSXETG00000000850.1	ENSGALG00000049193.1
OG0000719	ENSXETG00000015532.1	ENSGALG00000030162.2
OG0000720	ENSXETG00000004700.1	ENSGALG00000036789.2
OG0000721	ENSXETG00000007115.1	ENSGALG00000006864.6
OG0000721	ENSXETG00000008541.1	ENSGALG00000006958.6
OG0000722	ENSXETG00000018462.1	ENSGALG00000012272.5
OG0000722	ENSXETG00000009129.1	ENSGALG00000004199.5
OG0000723	ENSXETG00000008507.1	ENSGALG00000005504.6
OG0000723	ENSXETG00000018718.1	ENSGALG00000006968.7
OG0000724	ENSXETG00000016609.1	ENSGALG00000012866.7
OG0000725	ENSXETG00000019850.1	ENSGALG00000009286.6, ENSGALG00000001330.6
OG0000726	ENSXETG00000002468.1	ENSGALG00000002739.5
OG0000726	ENSXETG00000016133.1	ENSGALG00000054099.1
OG0000727	ENSXETG00000012309.1	ENSGALG00000002632.6
OG0000727	ENSXETG00000000454.1, ENSXETG00000000470.1	ENSGALG00000009509.7
OG0000728	ENSXETG00000017569.1	ENSGALG00000006766.6
OG0000729	ENSXETG00000011252.1	ENSGALG00000006642.6
OG0000729	ENSXETG00000007502.1	ENSGALG00000014182.4
OG0000730	ENSXETG00000004122.1	ENSGALG00000038722.2, ENSGALG00000005359.6
OG0000731	ENSXETG00000003200.1	ENSGALG00000039967.2
OG0000732	ENSXETG00000015204.1	ENSGALG00000006763.6
OG0000732	ENSXETG00000015156.1	ENSGALG00000016098.6
OG0000733	ENSXETG00000010733.1	ENSGALG00000016288.6
OG0000733	ENSXETG00000019378.1	ENSGALG00000008888.6
OG0000734	ENSXETG00000004034.1	ENSGALG00000008160.5
OG0000734	ENSXETG00000013874.1	ENSGALG00000029646.2
OG0000735	ENSXETG00000003814.1	ENSGALG00000027630.3
OG0000735	ENSXETG00000001640.1	ENSGALG00000037869.2
OG0000736	ENSXETG00000011616.1	ENSGALG00000029341.2
OG0000736	ENSXETG00000015529.1	ENSGALG00000007037.5
OG0000737	ENSXETG00000018899.1	ENSGALG00000038757.2
OG0000737	ENSXETG00000017301.1	ENSGALG00000011132.6
OG0000739	ENSXETG00000000151.1	ENSGALG00000000371.6
OG0000739	ENSXETG00000012454.1	ENSGALG00000005657.5
OG0000740	ENSXETG00000015127.1	ENSGALG00000015293.6
OG0000740	ENSXETG00000021142.1	ENSGALG00000001203.6
OG0000741	ENSXETG00000000426.1	ENSGALG00000011812.5
OG0000742	ENSXETG00000007273.1	ENSGALG00000022557.4
OG0000743	ENSXETG00000002421.1	ENSGALG00000007331.6
OG0000744	ENSXETG00000006412.1	ENSGALG00000005490.7
OG0000745	ENSXETG00000019656.1	ENSGALG00000039826.2
OG0000745	ENSXETG00000002559.1	ENSGALG00000014136.3
OG0000746	ENSXETG00000019900.1	ENSGALG00000017181.6, ENSGALG00000014078.6
OG0000747	ENSXETG00000009188.1	ENSGALG00000010230.6
OG0000747	ENSXETG00000015678.1	ENSGALG00000027658.3
OG0000748	ENSXETG00000011188.1	ENSGALG00000017291.6, ENSGALG00000005353.6
OG0000749	ENSXETG00000007809.1	ENSGALG00000000857.7
OG0000749	ENSXETG00000004889.1	ENSGALG00000008791.6
OG0000750	ENSXETG00000019687.1	ENSGALG00000042894.3
OG0000750	ENSXETG00000016238.1	ENSGALG00000019662.5
OG0000751	ENSXETG00000008721.1	ENSGALG00000019797.6
OG0000751	ENSXETG00000007193.1	ENSGALG00000005476.6
OG0000753	ENSXETG00000013542.1	ENSGALG00000009549.4
OG0000753	ENSXETG00000012968.1	ENSGALG00000017009.7
OG0000754	ENSXETG00000018199.1	ENSGALG00000012998.6
OG0000754	ENSXETG00000017672.1	ENSGALG00000034168.2
OG0000755	ENSXETG00000000327.1	ENSGALG00000008793.5
OG0000755	ENSXETG00000019204.1	ENSGALG00000010150.6
OG0000756	ENSXETG00000010500.1	ENSGALG00000039335.2
OG0000757	ENSXETG00000008749.1	ENSGALG00000012769.6
OG0000757	ENSXETG00000018423.1	ENSGALG00000000142.6
OG0000758	ENSXETG00000000350.1	ENSGALG00000004604.6
OG0000758	ENSXETG00000020631.1	ENSGALG00000006188.7
OG0000759	ENSXETG00000013867.1	ENSGALG00000042020.2, ENSGALG00000012420.6
OG0000760	ENSXETG00000003833.1	ENSGALG00000016702.7, ENSGALG00000034512.2
OG0000763	ENSXETG00000006176.1	ENSGALG00000003777.6
OG0000763	ENSXETG00000004714.1	ENSGALG00000009601.7
OG0000764	ENSXETG00000012536.1	ENSGALG00000015364.6
OG0000764	ENSXETG00000017681.1	ENSGALG00000031626.3
OG0000764	ENSXETG00000013172.1	ENSGALG00000001431.6
OG0000765	ENSXETG00000015664.1	ENSGALG00000016562.7
OG0000765	ENSXETG00000015689.1	ENSGALG00000016563.6
OG0000766	ENSXETG00000009481.1	ENSGALG00000016285.6
OG0000768	ENSXETG00000002232.1	ENSGALG00000042875.3
OG0000768	ENSXETG00000016925.1	ENSGALG00000010745.4
OG0000769	ENSXETG00000005799.1	ENSGALG00000017238.6
OG0000769	ENSXETG00000020023.1	ENSGALG00000012297.6
OG0000770	ENSXETG00000020227.1, ENSXETG00000007722.1	ENSGALG00000004161.7
OG0000771	ENSXETG00000020607.1	ENSGALG00000023179.4, ENSGALG00000054848.1
OG0000772	ENSXETG00000000785.1	ENSGALG00000009368.6, ENSGALG00000039772.3
OG0000773	ENSXETG00000005777.1	ENSGALG00000009292.7, ENSGALG00000046931.1
OG0000774	ENSXETG00000005378.1, ENSXETG00000012368.1, ENSXETG00000012392.1, ENSXETG00000012316.1	ENSGALG00000012072.7, ENSGALG00000026422.3
OG0000775	ENSXETG00000018224.1	ENSGALG00000002197.7
OG0000776	ENSXETG00000018834.1	ENSGALG00000015722.6
OG0000778	ENSXETG00000001230.1	ENSGALG00000009275.7, ENSGALG00000010282.6
OG0000779	ENSXETG00000014946.1, ENSXETG00000014907.1, ENSXETG00000014801.1	ENSGALG00000036395.3, ENSGALG00000048919.1, ENSGALG00000049483.1, ENSGALG00000053628.1, ENSGALG00000042956.2, ENSGALG00000050359.1, ENSGALG00000048288.1
OG0000784	ENSXETG00000016090.1, ENSXETG00000013100.1, ENSXETG00000013103.1, ENSXETG00000013090.1, ENSXETG00000013109.1, ENSXETG00000015793.1, ENSXETG00000013121.1, ENSXETG00000013117.1, ENSXETG00000013114.1, ENSXETG00000013120.1, ENSXETG00000013113.1, ENSXETG00000013111.1, ENSXETG00000013126.1, ENSXETG00000013140.1, ENSXETG00000013133.1, ENSXETG00000012701.1	ENSGALG00000053457.1
OG0000790	ENSXETG00000009273.1	ENSGALG00000003959.5
OG0000791	ENSXETG00000020707.1	ENSGALG00000004200.6
OG0000791	ENSXETG00000004213.1, ENSXETG00000015787.1	ENSGALG00000007437.6
OG0000792	ENSXETG00000010011.1	ENSGALG00000007615.4
OG0000792	ENSXETG00000012899.1	ENSGALG00000000613.6
OG0000793	ENSXETG00000012320.1	ENSGALG00000030563.2, ENSGALG00000050374.1
OG0000794	ENSXETG00000004541.1	ENSGALG00000011164.6
OG0000794	ENSXETG00000018850.1	ENSGALG00000009293.6
OG0000795	ENSXETG00000018071.1	ENSGALG00000038574.2
OG0000796	ENSXETG00000014221.1	ENSGALG00000001019.6
OG0000796	ENSXETG00000017303.1	ENSGALG00000006020.7
OG0000797	ENSXETG00000014840.1	ENSGALG00000041808.2
OG0000797	ENSXETG00000020516.1	ENSGALG00000017271.7
OG0000798	ENSXETG00000020750.1	ENSGALG00000004442.6
OG0000799	ENSXETG00000003176.1	ENSGALG00000005064.7
OG0000799	ENSXETG00000004796.1	ENSGALG00000021539.6
OG0000800	ENSXETG00000007367.1	ENSGALG00000032410.3
OG0000800	ENSXETG00000011639.1	ENSGALG00000033091.3
OG0000801	ENSXETG00000009320.1	ENSGALG00000046937.1
OG0000801	ENSXETG00000009703.1	ENSGALG00000001917.7
OG0000801	ENSXETG00000011178.1, ENSXETG00000011162.1	ENSGALG00000047283.1, ENSGALG00000046217.2
OG0000802	ENSXETG00000018413.1	ENSGALG00000034806.2
OG0000804	ENSXETG00000018499.1	ENSGALG00000004578.6
OG0000804	ENSXETG00000006706.1	ENSGALG00000001225.6
OG0000805	ENSXETG00000012861.1	ENSGALG00000043675.2
OG0000805	ENSXETG00000002393.1	ENSGALG00000005969.6
OG0000805	ENSXETG00000011677.1	ENSGALG00000030603.2
OG0000806	ENSXETG00000005294.1	ENSGALG00000050728.1
OG0000806	ENSXETG00000007041.1	ENSGALG00000008007.6
OG0000808	ENSXETG00000001798.1	ENSGALG00000008574.7
OG0000809	ENSXETG00000017833.1	ENSGALG00000036587.2, ENSGALG00000003928.6
OG0000810	ENSXETG00000017220.1	ENSGALG00000039698.2
OG0000810	ENSXETG00000018743.1	ENSGALG00000049000.1
OG0000810	ENSXETG00000003896.1	ENSGALG00000014975.7
OG0000811	ENSXETG00000017787.1	ENSGALG00000011289.5
OG0000811	ENSXETG00000003254.1	ENSGALG00000028971.3
OG0000812	ENSXETG00000003335.1	ENSGALG00000011744.7
OG0000812	ENSXETG00000011780.1	ENSGALG00000031495.2
OG0000813	ENSXETG00000007226.1	ENSGALG00000041277.3
OG0000814	ENSXETG00000000184.1	ENSGALG00000040793.2
OG0000814	ENSXETG00000010345.1	ENSGALG00000032313.3
OG0000815	ENSXETG00000020144.1	ENSGALG00000007906.5
OG0000816	ENSXETG00000007315.1	ENSGALG00000002326.6
OG0000817	ENSXETG00000003519.1	ENSGALG00000016810.6
OG0000817	ENSXETG00000011008.1	ENSGALG00000009692.6
OG0000818	ENSXETG00000000289.1	ENSGALG00000003566.6
OG0000818	ENSXETG00000001512.1	ENSGALG00000004655.6
OG0000819	ENSXETG00000006361.1, ENSXETG00000011736.1	ENSGALG00000008985.6
OG0000820	ENSXETG00000007350.1	ENSGALG00000038364.3
OG0000820	ENSXETG00000002301.1	ENSGALG00000034756.3, ENSGALG00000037402.3
OG0000821	ENSXETG00000020266.1	ENSGALG00000004701.4
OG0000822	ENSXETG00000018456.1	ENSGALG00000005992.7
OG0000822	ENSXETG00000011710.1	ENSGALG00000004339.6
OG0000823	ENSXETG00000016543.1	ENSGALG00000024332.4
OG0000823	ENSXETG00000003235.1	ENSGALG00000001668.7, ENSGALG00000048542.1
OG0000824	ENSXETG00000001886.1	ENSGALG00000015602.6, ENSGALG00000008352.6
OG0000825	ENSXETG00000009038.1	ENSGALG00000025999.4
OG0000826	ENSXETG00000020561.1	ENSGALG00000006886.2
OG0000826	ENSXETG00000003889.1	ENSGALG00000037015.2
OG0000827	ENSXETG00000020231.1	ENSGALG00000044064.2
OG0000827	ENSXETG00000000279.1	ENSGALG00000037712.2
OG0000828	ENSXETG00000008708.1	ENSGALG00000012137.6
OG0000830	ENSXETG00000009634.1	ENSGALG00000009551.7
OG0000830	ENSXETG00000008797.1	ENSGALG00000009722.7
OG0000831	ENSXETG00000015257.1	ENSGALG00000042199.2, ENSGALG00000042396.3
OG0000832	ENSXETG00000021381.1, ENSXETG00000003058.1	ENSGALG00000008684.7
OG0000833	ENSXETG00000015743.1	ENSGALG00000006939.6
OG0000834	ENSXETG00000016465.1	ENSGALG00000033338.2
OG0000835	ENSXETG00000013456.1	ENSGALG00000004472.6
OG0000835	ENSXETG00000017441.1	ENSGALG00000007038.5
OG0000836	ENSXETG00000003646.1, ENSXETG00000003680.1	ENSGALG00000010243.6
OG0000838	ENSXETG00000009840.1	ENSGALG00000042213.2
OG0000838	ENSXETG00000007326.1	ENSGALG00000042125.2
OG0000839	ENSXETG00000007344.1	ENSGALG00000051008.1
OG0000840	ENSXETG00000012709.1	ENSGALG00000042833.2
OG0000840	ENSXETG00000017620.1	ENSGALG00000040023.3
OG0000841	ENSXETG00000013562.1, ENSXETG00000013604.1	ENSGALG00000004833.5
OG0000841	ENSXETG00000021136.1	ENSGALG00000040866.2
OG0000842	ENSXETG00000007215.1	ENSGALG00000004171.6
OG0000843	ENSXETG00000003945.1	ENSGALG00000004270.7
OG0000843	ENSXETG00000015597.1	ENSGALG00000015147.7
OG0000844	ENSXETG00000012464.1	ENSGALG00000002479.6
OG0000844	ENSXETG00000013513.1	ENSGALG00000047947.1, ENSGALG00000015366.5
OG0000845	ENSXETG00000018412.1	ENSGALG00000005205.6
OG0000845	ENSXETG00000011832.1	ENSGALG00000008217.6
OG0000846	ENSXETG00000011964.1	ENSGALG00000006455.6
OG0000848	ENSXETG00000019308.1	ENSGALG00000053281.1
OG0000848	ENSXETG00000001276.1	ENSGALG00000021686.5
OG0000848	ENSXETG00000007863.1	ENSGALG00000027036.3
OG0000849	ENSXETG00000003297.1, ENSXETG00000003228.1	ENSGALG00000002496.6, ENSGALG00000002503.6
OG0000850	ENSXETG00000012366.1	ENSGALG00000002370.7
OG0000850	ENSXETG00000012970.1	ENSGALG00000010122.7
OG0000851	ENSXETG00000015053.1	ENSGALG00000006542.7, ENSGALG00000012092.7
OG0000852	ENSXETG00000004807.1	ENSGALG00000012112.6, ENSGALG00000019663.5
OG0000853	ENSXETG00000000191.1	ENSGALG00000028810.4, ENSGALG00000002495.7
OG0000854	ENSXETG00000001075.1	ENSGALG00000004387.7
OG0000855	ENSXETG00000010930.1	ENSGALG00000036742.2
OG0000855	ENSXETG00000008172.1	ENSGALG00000007964.6
OG0000856	ENSXETG00000005259.1, ENSXETG00000005225.1	ENSGALG00000005349.6, ENSGALG00000045510.2
OG0000857	ENSXETG00000019113.1	ENSGALG00000020703.5
OG0000857	ENSXETG00000003151.1	ENSGALG00000013100.6
OG0000858	ENSXETG00000003627.1	ENSGALG00000013265.6, ENSGALG00000046826.1
OG0000859	ENSXETG00000003861.1	ENSGALG00000014977.6
OG0000860	ENSXETG00000005813.1	ENSGALG00000042967.3
OG0000860	ENSXETG00000014453.1	ENSGALG00000016549.6
OG0000861	ENSXETG00000002227.1, ENSXETG00000002215.1	ENSGALG00000004017.5, ENSGALG00000029238.3
OG0000863	ENSXETG00000000701.1	ENSGALG00000028133.4, ENSGALG00000008015.7
OG0000864	ENSXETG00000021006.1	ENSGALG00000039182.3
OG0000864	ENSXETG00000010465.1	ENSGALG00000040006.2
OG0000865	ENSXETG00000017653.1	ENSGALG00000040005.2, ENSGALG00000029996.3
OG0000866	ENSXETG00000010631.1	ENSGALG00000036739.2
OG0000867	ENSXETG00000010848.1	ENSGALG00000005329.6
OG0000867	ENSXETG00000015773.1, ENSXETG00000018209.1	ENSGALG00000001317.6
OG0000868	ENSXETG00000008344.1	ENSGALG00000039363.2
OG0000868	ENSXETG00000003237.1	ENSGALG00000035345.2
OG0000869	ENSXETG00000011561.1	ENSGALG00000035492.2
OG0000869	ENSXETG00000004384.1	ENSGALG00000007246.6
OG0000870	ENSXETG00000007743.1	ENSGALG00000005550.4
OG0000870	ENSXETG00000006228.1	ENSGALG00000016803.6
OG0000871	ENSXETG00000019811.1	ENSGALG00000002921.7
OG0000871	ENSXETG00000008648.1	ENSGALG00000032570.2
OG0000872	ENSXETG00000007440.1	ENSGALG00000008418.6
OG0000872	ENSXETG00000005521.1	ENSGALG00000012559.5
OG0000873	ENSXETG00000019200.1	ENSGALG00000034119.2, ENSGALG00000052798.1
OG0000874	ENSXETG00000008285.1	ENSGALG00000012007.5
OG0000875	ENSXETG00000002396.1	ENSGALG00000001803.6
OG0000876	ENSXETG00000000876.1	ENSGALG00000011738.7
OG0000876	ENSXETG00000006237.1	ENSGALG00000008443.6
OG0000877	ENSXETG00000016927.1, ENSXETG00000015552.1	ENSGALG00000034572.3
OG0000877	ENSXETG00000018632.1	ENSGALG00000035493.3
OG0000878	ENSXETG00000009626.1	ENSGALG00000010221.6
OG0000878	ENSXETG00000021133.1	ENSGALG00000043838.2, ENSGALG00000014734.5, ENSGALG00000027170.3
OG0000879	ENSXETG00000001857.1	ENSGALG00000010619.5
OG0000879	ENSXETG00000005150.1	ENSGALG00000049794.1
OG0000880	ENSXETG00000013158.1	ENSGALG00000009782.6
OG0000880	ENSXETG00000005143.1	ENSGALG00000032808.2, ENSGALG00000040808.3
OG0000881	ENSXETG00000004393.1	ENSGALG00000043336.2
OG0000882	ENSXETG00000017637.1	ENSGALG00000009939.6
