"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9"
"2664","107285138","calponin 1",40,157,194,17,26,68,12,15,53,19,62,66,103,21,26,32,20,15,158,24,19,80,128,167,108,144,40,9,71,28
"2665","107285139","thioredoxin like 4B",140,110,151,152,93,79,31,55,187,28,79,104,60,54,37,56,46,31,101,31,70,72,141,64,105,145,75,123,117,84
"2666","107285140","transmembrane protein 56-B-like",66,21,30,11,33,16,18,31,20,23,29,13,14,32,11,17,34,28,16,45,16,33,31,37,78,12,33,4,17,10
"2667","107285141","ECSIT signalling integrator",874,991,1025,918,585,701,337,376,647,347,688,867,457,381,493,357,429,400,854,377,396,705,933,763,937,1047,662,537,1043,660
"2668","107285142","protein kinase C substrate 80K-H",1286,810,1003,815,597,528,375,459,737,409,724,1094,545,542,583,566,592,488,935,543,550,814,1368,953,882,728,744,520,610,767
"2669","107285143","coiled-coil domain containing 151",84,518,493,244,112,302,29,307,292,123,480,302,505,127,93,419,60,62,797,262,292,906,518,625,177,462,167,34,325,58
"2670","107285144","transmembrane protein 205",811,771,1096,840,422,397,338,457,729,280,561,739,474,483,471,430,439,366,1064,379,498,514,796,864,794,748,753,372,476,417
"2671","107285145","RAB3D member RAS oncogene family",250,166,231,125,125,94,115,87,127,33,126,91,105,107,101,116,121,95,163,143,91,145,233,221,137,127,190,187,96,146
"2672","107285146","Kruppel-like factor 1 (erythroid)",13,11,6,0,0,0,4,3,6,2,10,4,3,4,3,1,1,6,8,3,3,6,17,11,11,2,11,8,4,4
"2673","107285147","ring finger protein 19A RBR E3 ubiquitin protein ligase",729.08,884.16,1120.54,568.45,389.25,534,208.28,266.23,547.09,288.41,729.68,632.26,525.81,351.54,498.33,343.96,409.32,367.21,786.06,401.47,342.51,777.96,1858.28,566.26,910.17,516.8,683.82,298.2,395.37,336.88
"2674","107285148","lymphoblastic leukemia associated hematopoiesis regulator 1",48,50,88,11,18,11,13,1,22,10,20,87,26,49,22,10,10,12,32,28,7,63,101,50,98,24,54,9,16,23
"2675","107285149","acid phosphatase 5 tartrate resistant",25,37,163,14,17,6,4,14,50,8,60,77,72,19,9,20,5,17,90,18,17,68,79,64,28,37,82,5,13,25
"2676","107285150","ELAV like neuron-specific RNA binding protein 3",1,3,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,1,2,0,0,0,0,0,1,1
"2677","107285151","SWIM-type zinc finger 7 associated protein 1",690,47,69,292,342,76,105,93,149,114,74,77,32,139,39,103,157,281,65,81,63,67,93,87,230,75,147,358,46.97,196
"2678","107285152","hemicentin 1",36,222.99,153,46,48,71,42,48,85,58,191.99,41,84,42,48,36,28,27,171,95,57,173,209,103,92,118,49,21,188,39
"2679","107285153","translocated promoter region nuclear basket protein",864,979,1183,780,542,671,350,528,1156,500,1108,909,686,602,573,520,600,715,915,547,471,1081,1892,919,1066,763,886,519,966,724
"2680","107285154","phosducin",1,1,5,0,0,1,0,1,4,0,0,12,0,0,0,0,0,0,0,0,0,1,5,2,0,2,0,0,2,0
"2681","107285155","F-box protein 43",0,3,7,17,0,9,7,51,6,1,25,2,20,16,6,17,6,4,45,15,19,48,7,10,3,14,13,0,8,0
"2682","107285156","uncharacterized LOC107285156",15.98,10.04,13.97,3.02,7.44,4.89,2.68,6.41,7.58,0,16.53,2.06,7.93,5.96,3.33,10.46,5.73,6.33,7.88,7.42,4.32,8.05,22.62,7.59,13.86,9.57,12.9,1.01,11.92,0.95
"2683","107285157","chromosome unknown open reading frame human C1orf27",1955,438,579,1127,1277,388,444,463,769,568,427,765,280,546,587,592,1103,1056,711,584,402,394,867,575,1285,530,900,575,496,910
"2684","107285158","prostaglandin-endoperoxide synthase 2",21,49,53,12,28,11,11,29,8,6,141,27,33,36,22,20,14,4,27,29,27,62,264,33,46,42,19,3,13,19
"2685","107285159","phospholipase A2 group IVA",517,260,432,259,356,215,116,176,220,149,394,134,201,225,235,208,243,256,312,236,177,322,649,304,555,223,435,68,241,147
"2686","107285160","sphingosine-1-phosphate phosphatase 1-like",34,71,66,19,40,46,13,38,35,22,69,68,45,23,17,42,52,24,84,57,28,91,298,90,76,47,52,6,47,16
"2687","107285161","spectrin repeat containing nuclear envelope 2",525,1298,1694,556,384,931,295,520,922,417,1246,362,644,410,420,516,471,441,1236,430,417,1177,956,1112,860,598,1008,176,1183,664
"2688","107285162","estrogen receptor 2 (ER beta)",17,143,105,38,21,44,4,21,50,17,57,42,29,22,6,24,9,2,64,21,13,42,45,86,71,84,26,19,97,12
"2689","107285163","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 methenyltetrahydrofolate cyclohydrolase formyltetrahydrofolate synthetase",591,546,678,232,335,365,174,215,437,176,551,510,401,256,200,250,265,240,673,323,180,547,1270,619,710,225,344,237,360,221
"2690","107285164","zinc finger and BTB domain containing 25",39,170,169,44,55,132,58,77,92,48,124,106,98,53,50,67,37,32,169,61,64,158,218,87,83,91,71,37,84,44
"2691","107285165","regulator of G-protein signaling 22",4,15,32,2,6,20,1,14,22,5,39,7,24,15,3,28,9,11,25,18,23,77.99,13,13,8,26,11,0,15,4
"2692","107285166","zinc finger and BTB domain containing 1",226,436,475,178,99,281,61,128,196,99,337,224,263,117,175,146,121,116,307,192,127,273,557,291,256,259,178,30,238,90
"2693","107285167","heat shock protein family A (Hsp70) member 2",1329,1322,3830,851,895,1237,519,1209,821,707,2337,2064,1369,687,756,1810,943,955,2284,925,1251,2761,5691,1657,1549,1419,635,584,2173,428
"2694","107285168","protein phosphatase 1 regulatory subunit 36",42.58,60.23,45.27,28.18,23.27,55.52,7.31,12.96,43.44,2.23,44.52,51.89,53.97,0,39.25,9.81,23.82,3.36,51.14,28.48,31.26,82.24,37.86,49.86,68.89,6.6,35.05,19.24,25.61,20.81
"2695","107285169","adenosine deaminase RNA-specific",51.01,25.08,37,24,24,8,20,30.01,29.12,18,79,25,30,26,24.01,56.02,21,19,33,13.01,11,54,73.08,64.94,83.01,21.95,29,39.44,30,42
"2696","107285171","ubiquitin conjugating enzyme E2Q family member 1",14,14,20,12,9,11,5,8,10,13,8,7,3,10,7,5,4,7,10,7,4,7,14,21,22,11,6,38,11,14
"2697","107285172","tudor domain containing 10",2,1,2,3,0,0,1,0,3,1,4,5,2,3,0,2,2,10,2,3,0,2,0,3,4,2,2,6,5,8
"2698","107285173","nucleoporin 210kDa like",6,12,23,4,9,9,0,5,6,11,9,7,10,5,0,4,2,1,16,2,2,3,20,16,25,8,4,12,11,1
"2699","107285174","jumping translocation breakpoint",530,343,421,438,342,302,283,342,305,337,390,389,233,370,264,404,287,177,629,282,371,368,510,491,502,259,208,816,322,308
"2700","107285175","matrilin 2",73,280,134,45,32,78,15,14,70,38,112,48,90,45,65,37,81,26,204,78,32,123,196,98,103,100,68,8,142,49
"2701","107285176","cocaine- and amphetamine-regulated transcript protein-like",0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0
"2702","107285177","uncharacterized LOC107285177",28,224.81,431.27,67.58,55.75,116.83,5,61.92,164.36,12,85.4,140.71,117.28,21.89,16,59,9.76,18,244.41,36.92,51.7,168.88,506.49,199.33,100.86,315.75,20,17,206.53,9
"2703","107285178","SNAP associated protein",47,19,25,37,18,28,14,16,28,6,31,38,20,19,16,15,24,17,26,12,14,23,12,15,18,19,16,93,13,46
"2704","107285179","natriuretic peptide receptor 1",11,47,53,23,17,12,8,8,50,10,48,34,27,15,10,10,8,9,33,17,14,30,40,51,37,36,17,37,38,31
"2705","107285180","integrator complex subunit 3",12,9,7,8,6,1,5,1,7,4,5,5,1,0,0,6,8,7,11,0,0,11,5,5,11,2,6,16,5,10
"2706","107285181","solute carrier family 27 member 3",7,11,12,8,3,7,6,4,12,1,7,21,2,2,6,4,3,2,6,5,6,6,11,6,9,10,1,3,16,4
"2707","107285183","DENN domain containing 4B",1,8,5,2,5,4,0,4,2,4,8,4,3,3,1,0,0,2,6,2,3,5,8,5,9,3,2,7,5,3
"2708","107285186","14-3-3 protein zeta/delta",9113,8105,11000,6048,4826,3824,1467,2491,5263,1652,6088,10524,5338,3263,2264,2492,3156,2940,7669,2617,3046,7900,19421,7063,5657,9150.01,3727,3638,5574,5811
"2709","107285187","chorion class A protein L11-like",0,0,0,0,1,0,0,1.01,7.37,1,0,57.51,7.91,0,0,0,0,0,4.37,0,0,0,72.14,1,1,1,0,2,0,0
"2710","107285189","feather keratin-like",0,0,0,1,0,0,0,0,6,0,0,45.2,4.81,0,0,0,0,0,6.63,0,0,11,66.81,0,0,0,1,0,0,0
"2711","107285192","acyl-coenzyme A thioesterase THEM4-like",8,2,1,5,4,4,0,3,5,1,5,2,1,3,3,6,0,8,7,2,1,7,4,6,7,7,1,7,3,8
"2712","107285193","acyl-coenzyme A thioesterase THEM4-like",5,1,0,2,2,2,5,5,2,2,2,1,3,2,1,1,1,7,2,0,0,2,4,8,2,2.52,2,8,2,10
"2713","107285194","acyl-coenzyme A thioesterase THEM4-like",4,3,4,6,3,1,1,2,4,3,4,5,7,6,3,2,3,3,7,7,3,5,4,13,4,2.48,0,7,3,13
"2714","107285195","leucine rich repeat and Ig domain containing 4",4,1,4,0,0,1,2,0,0,5,2,1,0,2,2,3,0,1,1,2,2,1,0,0,4,1,0,0,1,2
"2715","107285196","tudor and KH domain containing",8,0,1,3,6,4,1,11,0,4,1,2,2,2,1,1,3,0,0,1,0,4,4,1,4,3,1,3,1,3
"2716","107285197","poly(A) binding protein cytoplasmic 1",32893.97,10630.95,12799.09,12033.97,15228.93,10865.89,8383,6455.97,14262.94,6625.95,9946.97,23497.93,5947.99,13856.97,10688.99,6846.98,6012.98,5353.99,13258.95,5311.91,5044.99,6743.9,13518.95,10839.94,26172.82,6649.05,13875.98,50111.29,12266.89,18886.99
"2717","107285199","ubiquitin associated protein 2 like",36,68,79,34,38,29,27,33,53,39,82,57,38,46,26,23,21,31,57,20,20,30,62,100,110,28,34,111,61,66
"2718","107285200","tropomyosin 3",7,35,38,19,8,26,4,12,35,16,23,29,24,6,15,5,7,4,24,6,11,26,34,27,43,19,26,6,37,11
"2719","107285201","protein S100-A2-like",23,122,198,79,22,72,1,46,145,17,62,93,78,19,14,34,12,14,81,20,33,100,222,101,83,227,27,29,155,40
"2720","107285202","protein S100-A4-like",0,44.19,66.73,4.42,3.25,1.17,0,1.08,9.64,1,29.6,21.29,43.72,1.11,6,0,1.24,0,50.59,4.08,2.3,11.12,56.51,51.67,3.14,8.25,0,0,19.47,0
"2721","107285203","vegetative cell wall protein gp1-like",12,1189,1514,38,280,382,21,121,183,53,499,693,500,43,116,355,16,13,1808,439,55,380,2927,746,485,609,17,10,1057,20
"2722","107285204","S100 calcium binding protein A11",423,2198,3261,1626,541,1119,131,496,2023,396,1208,1163,1425,494,274,550,310,219,2407,461,681,2592,2533,1649,873,2817,756,1350,1216,614
"2723","107285205","S100 calcium binding protein A10",593,1439,2671,1068,548,897,191,394,1125,278,767,932,1283,353,213,345,182,161,1864,336,464,1143,1788,1290,766,1642,377,1012,702,500
"2724","107285206","Src homology 2 domain containing E",10,22,17,14,4,12,5,4,16,4,13,11,6,11,7,15,4,10,21,15,12,11,13,15,11,18,9,5,12,19
"2725","107285207","ATPase phospholipid transporting 8B2",0,3,3,1,1,1,1,0,2,1,4,3,3,0,0,0,2,0,5,0,0,5,9,6,3,2,0,0,2,3
"2726","107285209","HCLS1 associated protein X-1",73,75,110,58,33,65,28,36,46,54,88,46,28,59,35,46,37,36,158,86,54,51,65,82,83,61,60,133,62,44
"2727","107285210","ankyrin repeat domain 46",1217,1197,875,981,651,581,226,461,777,412,651,784,661,509,536,451,534,469,1131,568,512,919,1745,787,956,1057,730,355,745,445
"2728","107285211","chromosome unknown open reading frame human C1orf43",34,25,35,20,18,19,10,18,15,11,35,21,8,15,11,17,24,15,23,16,5,25,36,35,47,11,14,57,24,37
"2729","107285212","ribosomal protein S27",6562,6093,7372,7043,4138,5588,3104,2723,5889,2738,2528,5291.75,2046,3569,3550,2926,2028,1749,6066,2642,2953,3427,4430,3509,4799,5576,4491,17515,3285,4198
"2730","107285213","RAB13 member RAS oncogene family",15,12,11,5,2,6,3,5,12,4,6,9,11,11,6,9,4,4,22,10,10,11,13,18,13,9,8,7,8,5
"2731","107285214","solute carrier family 39 (zinc transporter) member 1",3,7,9,1,3,1,5,3,2,7,9,11,9,5,4,5,3,3,6,7,4,9,5,9,14,1,6,6,3,2
"2732","107285215","CREB regulated transcription coactivator 2",7,7,8,8,5,3,4,3,9,6,9,6,4,5,0,3,1,3,7,1,4,5,6,15,10,3,6,30,9,9
"2733","107285216","protein S100-A6-like",719,4301,9794,4334,1411,3633,342,1984,4931,524,2546,1897,3153,1282,511,1246,267,260,6884,870,2397,6412,4844,2672,1525,10208,1259,1349,2766,840
"2734","107285217","protein S100-A16-like",235,950,1551,346,271,536,63,249,835,131,1128,666,919,255,197,323,108,104,1404,298,349,1028.93,1973,769.86,479,632.9,133,212,1078.92,242
"2735","107285218","protein S100-A16-like",12,45,51,59,7,44,4,17,85,20,64,35,63,20,12,12,1,8,35,12,21,69.07,66,68.14,55,136.1,23,61,103.08,17
"2736","107285219","protein S100-A14-like",53,308,563,103,52,126,9,28,123,20,157,263,174,26,48,78,20,13,230,96,68,252,663,177,152,243,26,17,229,51
"2737","107285220","S100 calcium binding protein A13",182,416,474,345,145,222,60,148,567,82,881,306,388,186,121,202,115,73,1006,117,189,601,367,555,224,400,221,561,274,272
"2738","107285221","sperm associated antigen 1",1000,1628,1751,759,564,843,246,680,702,356,1059,543,803,428,427,598,526,419,1162,586,418,1129,1961,895,790,1406,704,212,1012,448
"2739","107285222","S100 calcium binding protein A1",20,73,73,29,18,36,6,9,50,7,22,26,25,13,12,7,10,8,95,14,23,24,37,30,22,52,39,63,26,32
"2740","107285223","chromatin target of PRMT1",0,0,2,1,1,2,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,2,0,1,1,0,0,1,4,1
"2741","107285224","dual specificity phosphatase 22",26,27,53,15,16,14,1,12,3,4,16,15,13,12,10,10,11,6,22,8,4,14,44,46,32,35,12,6,12,5
"2742","107285225","interleukin enhancer binding factor 2",550,300,612,295,591,280,194,353,268,445,712,301,213,496,122,352,434,494,532,341,240,493,1112,685,680,221,177,818,659,528
"2743","107285226","GATA zinc finger domain containing 2B",1,1,6,2,2,6,2,3,3,0,6,2,2,2,0,0,0,2,2,2,1,0,1,1,3.03,2,2,11,2,1
"2744","107285227","protein S100-A12-like",207,625,1438,1835,823,117,18,52,660,12,289,912,85,352,63,170,106,97,7046,45,457,278,3059,3535,765,2128,275,752,332,688
"2745","107285228","peptidoglycan recognition protein 3-like",1,0,0,19,5,2,0,0,5,0,1,0,1,2,1,9,1,2,2,0,0,1,4,2,0,2,2,7,0,19
"2746","107285229","shematrin-like protein 2",0,2.78,0,0,0,3,0,0,12.63,2,3,63.28,3.28,0,0,0,0,0,7,0,0,7,115.04,2,0,1,0,3,3,0
"2747","107285231","polymerase (RNA) II subunit K",566,217,294,453,356,240,105,226,360,123,226,283,233,210,178,153,167,172,360,111,206,306,302,244,307,385,258,1070,259,543
"2748","107285232","C2 calcium-dependent domain containing 4D",3,2,1,2,0,0,0,1,0,0,0,1,4,1,0,1,0,0,2,0,3,1,0,4,6,4,2,1,0,1
"2749","107285233","RAR related orphan receptor C",3,4,2,1,6,5,11,15,4,7,1,2,1,6,10,6,6,16,0,8,5,2,1,7,8,0,7,4,6,1
"2750","107285235","synapse defective 1 Rho GTPase homolog 2 (C. elegans)",42,20,22,21,11,13,18,15,27,27,21,29,5,33,12,13,24,16,18,14,19,24,33,12,37,27,21,22,22,19
"2751","107285236","mucolipin 3",41,24,18,14,14,11,12,14,10,8,13,2,5,12,48,7,44,44,8,17,2,3,39,5,24,17,27,17,13,13
"2752","107285237","vitellogenin-2-like",1,54,91,3,12,18,1,5,28,4,57,20,20,8,8,17,0,1,42,30,5,34,76,39,17,18,1,2,72,0
"2753","107285238","vitellogenin-2-like",3,66,147,3,16,36,0,10,41,10,60,33,58,9,8,27,7,1,51,43,11,39,82,38,37,10,11,0,114,1
"2754","107285239","di-N-acetylchitobiase-like",4,16,0,6,0,3,2,13,2,2,7,8.01,5,3,7,7,1,1,7,4,10,14,26,2,3,0,7,2,2,0
"2755","107285240","spermatogenesis associated 1",17,21,85,17,4,31,6,12,36,5,46,20,21,4,14,12,4,14,79,17,26,46,36,57,17,84,20,7,26,12
"2756","107285241","cytochrome c oxidase subunit 6C",1013,1269,1684,1618,759,881,436,818,1618,674,1529,935,1142,778,544,832,795,563,2181,537,953,1580,1249,1486,1145,1886,907,2240,1478,929
"2757","107285242","uricase-like",0,6,3,0,2,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,3,2,2,0,1,0
"2758","107285243","dimethylarginine dimethylaminohydrolase 1",0,3,2,3,1,2,0,0,2,0,5,1,2,0,0,1,1,0,0,0,0,1,3,1,3,5,0,0,1,0
"2759","107285244","B-cell CLL/lymphoma 10",3642,5437,7969,4826,4187,3901,1353,2154,1923,1630,4027,1458,2635,1442,1072,2462,2678,1687,5465,2381,2125,5236,7085,9551,5338,5921,2110,190,5448,941
"2760","107285245","chromosome unknown open reading frame human C1orf52",668,458.99,565,444,293,322,76,193,277,198,320,426,200,152,200,144,244,183,368,141,204,288,553.99,298,409,531,287,138,526,185
"2761","107285246","WD repeat domain 63",12,125,98,56,27,160,4,115,41,44,129,48,104,32,43,109,30,25,148,98,68,327,129,124,44,123,37,2,82,11
"2762","107285247","lysophosphatidic acid receptor 3",327,1171,1043,206,198,597,165,301,687,152,600.98,649,628,213,331,290,71,335,1136,274,208,679,1634,412,627,529,406,84,612,157
"2763","107285248","synovial sarcoma X breakpoint 2 interacting protein",111,412,314,169,40,185,35,139,152,50,229,138,212,94,110,97,36,70,261,111,111,236,421,249,211.99,298,189,26,185,73
"2764","107285249","di-N-acetylchitobiase-like",332,261,569,26,160,104,59,113,234,28,267,231.99,189,129,204,49,17,129,629,123,215,242,286,524,283,212,325,141,208,108
"2765","107285250","ribosome production factor 1 homolog",524,353,439,204,183,208,61,119,258,81,186,389,193,185,178,100,119,136,353,116,131,203,376,271,337,276,259,162,226,227
"2766","107285251","guanine nucleotide binding protein (G protein) gamma 5",3419,3666,4689,3144,1831,1993,796,1536,2808,1003,2496,3328,2147,1436,1284,1344,1132,1229,4228,1259,1894,3085,4341,3189,2729,3965,2417,1718,2666,1868
"2767","107285252","vacuolar protein sorting 13 homolog B (yeast)",340,301,313,220,183,126,163,115,182,138,240,123,111,225,173,165,221,211,163,153,113,219,386,163,277,187,214,101,156,183
"2768","107285253","uncharacterized LOC107285253",11,7,12,6,2,7,2,7,39,1,3,4,16,6,8,7,3,7,13,0,3,11,10,0,3,8,15,19,0,10
"2769","107285254","mucolipin 2",28,112,54,51,23,46,44,75,27,50,98,105,68,59,64,39,43,42,56,78,41,172,128,31,69,102,75,14,36,18
"2770","107285255","semaphorin 4G",26,75,112,17,18,34,8,30,29,15,57,45,37,13,17,23,8,11,67,24,20,110,163,50,65,45,16,11,44,26
"2771","107285256","PDZ domain containing 7",4,6,9,0,2,1,3,7,9,1,5,2,3,0,2,2,8,1,2,10,5,10,8,4,7,5,4,0,5,1
"2772","107285257","solute carrier family 2 facilitated glucose transporter member 5-like",0,5,3,0,1,0,0,2,0,1,2,1,0,0,1,0,0,0,9,0,0,8,0,0,2,3,2,0,0,0
"2773","107285259","leucine zipper putative tumor suppressor 2",64,92,111,37,41,52,27,62,59,39,116,61,64,33,44,29,57,56,87,66,29,142,241,76,129,43,58,19,86,43
"2774","107285260","sideroflexin 3",220,969,1020,283,277,344,91,297,364,119,1119,501,791,237,209,282,110,104,945,231,268,1155,1476,838,331,645,248,40,787,177
"2775","107285261","Kazal type serine peptidase inhibitor domain 1",109.92,187.23,133.48,60.09,91.96,191.49,126.72,177,223.1,43.41,122.39,265.94,178.41,277.53,275.77,247.64,515.02,105.99,341.93,143.15,217.8,132.97,627.09,48.33,137.46,102.39,196.87,53,386.29,151.45
"2776","107285262","beta-transducin repeat containing E3 ubiquitin protein ligase",311,368,464,187,179,234,97,121,221,146,402,156,206,153,196,170,226,234,486,269,189,328,504,301,395,222,282,75,266,165
"2777","107285263","F-box and WD repeat domain containing 4",294,373,407,234,159,259,235,238,249,247,327,353,189,254,259,211,196,194,405,252,219,268,451,313,324,236,204,334,249,224
"2778","107285264","serine/threonine kinase 3",106,151,147,51,56,64,25,35,55,31,126,44,65,58,39,30,51,65,85,47,36,100,307,60,90,93,50,20,79,42
"2779","107285265","nucleophosmin/nucleoplasmin 3",350.64,422.94,1322.55,352.12,230.17,383.28,34.68,149.81,409.79,94.36,454.85,321.13,218.36,163.2,204.24,172.18,106.77,115,606.75,217.57,177.89,300.75,402.24,395.99,363.12,725.45,364.85,203.81,362.08,261.18
"2780","107285266","nucleoplasmin-3-like",47.36,249.06,114.45,49.88,43.83,87.72,44.32,13.19,61.21,16.64,47.15,214.87,25.64,36.8,22.76,2.82,13.23,0,76.25,10.43,93.11,19.25,296.76,16.01,41.88,156.55,34.15,77.19,58.92,24.82
"2781","107285267","meningioma expressed antigen 5 (hyaluronidase)",232,657,833,239,234,356,123,288,348,192,610,234,448,236,214,232,153,253,525,244,208,702,1452,444,462,525,344,35,585,177
"2782","107285268","potassium voltage-gated channel interacting protein 2",1,2,4,1,0,3,0,1,0,1,1,0,1,1,0,2,1,0,0,0,0,2,3,1,3,1,0,0,2,0
"2783","107285269","mitochondrial ribosomal protein L43",711,520,685,850,518,395,207,356,626,209,556,453,410,362,403,431,349,246,807,258,450,753,619,734,588,773,542,1446,528,523
"2784","107285270","chromosome unknown open reading frame human C10orf2",22,47,54,29,20,39,11,18,17,10,88,31,30,7,20,33,8,6,23,13,26,39,65,66,31,57,25,23,43,14
"2785","107285273","NIPA like domain containing 2",1111,460,1025,521,418,467,253,440,417,374,289,577,371,376,374,397,395,390,721,295,410,417,344,1023,968,626,935,386,660,256
"2786","107285274","polymerase (DNA) lambda",34,49,39,24,39,34,20,33,41,45,81,48,63,73,52,83,29,47,53,64,42,64,113,26,103,32,59,8,44,17
"2787","107285275","deleted in primary ciliary dyskinesia homolog (mouse)",264,248,322,365,156,205,76,195,364,120,242,250,258,157,108,191,102,85,436,107,192,529,398,470,213,393,185,511,229,290
"2788","107285276","endochitinase A-like",2.27,15.39,81.27,5.7,6.95,43.86,3.96,27.87,5.29,2.88,30.85,1.97,31.62,5.57,0,4.95,2.58,0.01,31.87,4.2,12.59,29.4,82.47,31.09,28.53,38.81,8.44,12.09,30.93,2.46
"2789","107285277","flocculation protein FLO11-like",0,25.54,66.12,2.74,6.12,19.62,0,16.1,8.05,14.64,32.4,4.14,25.2,0,0,10.17,0,0,16.35,6.91,26.73,1.83,36.36,18.24,31.15,20.42,6.87,8.63,22.1,0
"2790","107285278","WD repeat domain 18",116,56,54,58,49,42,19,26,91,27,92,94,27,40,40,62,59,48,57,16,27,62,127,66,95,65,55,89,45,114
"2791","107285279","MAU2 sister chromatid cohesion factor",14,11,29,12,2,10,1,13,16,11,25,14,11,19,8,10,7,4,12,12,9,17,25,14,31,25,23,10,13,13
"2792","107285280","transmembrane 6 superfamily member 2",0,5,3,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,2,0,3,0,1,1,2,1,0,1,0,0
"2793","107285281","FK506 binding protein 8",347.77,548.56,1314.73,526.42,345.58,395.73,237.35,301.55,455.4,224.55,490.18,505.14,212.07,241.08,333,283.78,205.79,174.13,620.35,285.84,258.45,433.78,846.5,955.07,745.14,536.81,485.13,711.09,1374.96,556.94
"2794","107285282","transmembrane protein 259",60,41,46,41,33,24,21,29,41,23,66,48,35,37,37,34,22,40,33,36,19,55,142,49,116,32,43,41,34,42
"2795","107285283","GATA zinc finger domain containing 2A",94,45,71,47,36,21,39,40,61,55,70,91,47,48,28,40,71,60,70,54,18,69,328,61,149.97,27,27,37,56,42
"2796","107285284","POP1 homolog ribonuclease P/MRP subunit",60,113,95,36,56,50,18,27,61,17,75,57,72,48,23,31,49,29,74,46,25,130,285,114,88,94,36,32,87,33
"2797","107285285","SURP and G-patch domain containing 1",224.01,211.25,244,149,196.49,164,87,127,185,152,220,311,157.35,125,105.34,159.77,118.57,140.13,266,167,107.99,286,617.94,266,447.05,129.01,156,140.99,220.01,149.68
"2798","107285286","alpha-crystallin A chain-like",481,280,264,3391,182,680,20,106,624,168,230,357,113,15,19,60,15,29,1460,35,33,57,440,2745,734,1231,155,167,847,108
"2799","107285287","heat shock protein 30C-like",116,36,197,60,53,92,47,58,75,114,156,55,139,54,18,28,162,21,61,52,76,104,93,179,124,73,32,532,37,111
"2800","107285288","KxDL motif containing 1",14,8,16,5,8,10,5,5,12,5,16,13,14,7,5,16,8,9,19,4,12,18,23,10,12,15,11,5,19,7
"2801","107285289","NADH:ubiquinone oxidoreductase subunit A13",271,300,318,349,179,224,118,156,382,145,244,249,162,246,168,178,151,120,348,128,217,306,419,312,212,370,190,574,285,234
"2802","107285290","NDC80 kinetochore complex component",16,47,55,30,14,98,7,67,61,25,164,38,115,43,26,54,19,23,80,31,41,192,111,91,18,43,33,6,60,20
"2803","107285291","methyltransferase like 4",325,359,408,243,199,218,97,130,314,110,293,175,165,211,206,208,172,116,474,199,146,228,327,264,262,354,279,23,209,156
"2804","107285292","YES proto-oncogene 1 Src family tyrosine kinase",45,79,110,46,25,43,34,56,58,23,115,45,43,42,56,42,36,33,80,65,71,67,75,67,75,99,56,20,64,25
"2805","107285293","enolase superfamily member 1",344.09,243,237,195.99,111,134.91,148.13,76,157.17,104,110,200.83,78,150.95,171.91,126,178.81,147.16,139.41,151.62,98.48,120.24,140.71,120.95,176.52,160,238.86,145.82,83,251.94
"2806","107285294","collectin subfamily member 12",110,525,448,193,180,234,46,93,810,85,561,380,415,132,133,146,111,90,706,140,150,577,1809,753,207,392,249,75,257,127
"2807","107285295","ribosomal protein L30",5081.94,3242.72,4904.05,6674.19,3747.36,3581.12,2129.47,2101.44,4763.53,2137.47,1899.34,3505.3,1785.14,3513.7,2709,2324.21,1679.98,1125.54,4471.71,1539.5,2330.26,2548.48,2596.27,3378.6,3422.74,4009.65,3657.66,16446.92,2017.21,4024
"2808","107285296","THO complex 1",896,485,547,300,322,213,159,117,351,141,301,404,260,219,223,190,185,179,472,158,169,330,698,265,624,466,320,175,272,357
"2809","107285297","ubiquitin specific peptidase 14",3204,2066,2334,2053,1522,1363,711,923,1559,847,1487,1868,1185,977,936,749,956,1007,2006,836,829,1288,2530,1853,2530,2088,1361,1013,1948,1729
"2810","107285298","Rho associated coiled-coil containing protein kinase 1",1236,1553,1903,1052,755,741,447,647,1310,430,1427,772,1032,660,816,646,597,554,1398,590,563,996,2296,1144,1275,1203,1029,361,1163,890
"2811","107285299","adenylate cyclase activating polypeptide 1 (pituitary)",0,3,1,0,0,0,0,1,1,0,1,0,0,0,1,3,0,0,1,1,0,0,0,2,3,1,0,0,0,0
"2812","107285300","thymidylate synthetase",37,74,83,73,31,187,9,43,332,13,143,134,109,41,24,34,14,9,141,15,48,361,526,261,43,77,48,14,94,29
"2813","107285301","teneurin-2-like",5,19,7,0,7,6,2,3,7,1,7,3,0,1,4,2,0,0,1,2,3,2,4,12,2,8,10,1,4,0
