Orthogroup	P_Mucros.pep	M_musculus.pep
OG0001236	XP_029140737.1	ENSMUSG00000041708.12
OG0001237	XP_029141813.1	ENSMUSG00000062168.12
OG0001237	XP_015675622.1, XP_015685500.1	ENSMUSG00000029410.11
OG0001238	XP_015679858.1	ENSMUSG00000109378.1, ENSMUSG00000078765.11, ENSMUSG00000061613.13
OG0001239	XP_029141301.1, XP_029141287.1, XP_015670300.1	ENSMUSG00000089917.7
OG0001240	XP_029141325.1	ENSMUSG00000074505.6
OG0001240	XP_015687259.2	ENSMUSG00000070047.14
OG0001241	XP_029139767.1, XP_015672355.1, XP_015667444.1	ENSMUSG00000022683.13
OG0001242	XP_015678841.1, XP_015678844.1, XP_015678842.1	ENSMUSG00000029649.10
OG0001243	XP_029142780.1, XP_015684989.1	ENSMUSG00000042993.6
OG0001244	XP_015670174.1	ENSMUSG00000026626.11
OG0001244	XP_015677946.1	ENSMUSG00000021051.10
OG0001245	XP_015671434.1	ENSMUSG00000066595.9
OG0001245	XP_015669730.1	ENSMUSG00000034258.4
OG0001246	XP_015670594.1	ENSMUSG00000031385.14
OG0001246	XP_029142289.1	ENSMUSG00000053646.13
OG0001247	XP_029141845.1	ENSMUSG00000055471.7
OG0001247	XP_029141681.1	ENSMUSG00000027297.14
OG0001248	XP_029139225.1	ENSMUSG00000038984.4, ENSMUSG00000074671.6, ENSMUSG00000039485.8, ENSMUSG00000047514.6
OG0001249	XP_015686115.1	ENSMUSG00000091780.3
OG0001249	XP_015665802.1, XP_015685784.1	ENSMUSG00000069844.12
OG0001250	XP_015687142.1, XP_015687141.1	ENSMUSG00000015090.13
OG0001251	XP_015684596.1	ENSMUSG00000019857.7
OG0001251	XP_015675606.1	ENSMUSG00000005470.8
OG0001252	XP_015674976.1, XP_015674975.1, XP_015674974.1	ENSMUSG00000024576.14
OG0001253	XP_015687662.1, XP_015687663.1, XP_015687664.1, XP_015687665.1, XP_015687666.1, XP_015687667.1	ENSMUSG00000026305.15
OG0001254	XP_015671460.1	ENSMUSG00000040594.19
OG0001254	XP_015666625.1	ENSMUSG00000022100.14
OG0001256	XP_015678598.2, XP_029142340.1	ENSMUSG00000015461.15
OG0001257	XP_015677940.1	ENSMUSG00000023885.9
OG0001257	XP_015681307.1	ENSMUSG00000040152.8
OG0001258	XP_015668820.1	ENSMUSG00000042572.12
OG0001259	XP_029142432.1	ENSMUSG00000038690.15
OG0001260	XP_015681906.1	ENSMUSG00000034974.13
OG0001260	XP_015666523.1	ENSMUSG00000032380.9
OG0001261	XP_029138823.1	ENSMUSG00000073898.3, ENSMUSG00000049674.7, ENSMUSG00000073897.5
OG0001262	XP_015666165.1	ENSMUSG00000020156.16, ENSMUSG00000042515.13, ENSMUSG00000079534.1, ENSMUSG00000079531.1, ENSMUSG00000067771.9, ENSMUSG00000071745.1
OG0001265	XP_015678150.1	ENSMUSG00000026848.14
OG0001265	XP_015678154.1	ENSMUSG00000026849.18
OG0001266	XP_029141009.1	ENSMUSG00000062987.6, ENSMUSG00000060503.6, ENSMUSG00000073896.5, ENSMUSG00000045581.7, ENSMUSG00000056863.5, ENSMUSG00000062553.3, ENSMUSG00000069390.5, ENSMUSG00000073899.3
OG0001267	XP_015677180.1	ENSMUSG00000013083.8
OG0001276	XP_015680686.1	ENSMUSG00000033726.8
OG0001277	XP_015681262.1	ENSMUSG00000042179.6, ENSMUSG00000046008.8, ENSMUSG00000025091.4
OG0001279	XP_029141657.1	ENSMUSG00000054708.17
OG0001279	XP_029141878.1, XP_015680359.1	ENSMUSG00000038354.13
OG0001280	XP_029140964.1	ENSMUSG00000062064.6
OG0001280	XP_029140965.1	ENSMUSG00000028976.10
OG0001281	XP_015681929.1	ENSMUSG00000008683.16
OG0001282	XP_015674674.1	ENSMUSG00000024130.16, ENSMUSG00000035435.17, ENSMUSG00000051900.12, ENSMUSG00000054746.18, ENSMUSG00000062017.15
OG0001283	XP_015685299.1	ENSMUSG00000020149.17
OG0001284	XP_015676534.1	ENSMUSG00000039328.11
OG0001284	XP_015680706.1	ENSMUSG00000048911.15
OG0001285	XP_015675374.1	ENSMUSG00000007908.14
OG0001285	XP_015675147.1	ENSMUSG00000028672.13
OG0001286	XP_015683530.1	ENSMUSG00000021221.15
OG0001286	XP_015669388.1, XP_015669386.1, XP_015669387.2	ENSMUSG00000030584.14
OG0001287	XP_015679890.1	ENSMUSG00000019478.16
OG0001287	XP_015669380.1	ENSMUSG00000053291.15
OG0001288	XP_015674351.1	ENSMUSG00000029030.14
OG0001288	XP_029142318.1, XP_015682884.1	ENSMUSG00000048399.4
OG0001289	XP_015678168.1	ENSMUSG00000032564.16
OG0001289	XP_015666889.1	ENSMUSG00000034796.14
OG0001290	XP_015665419.1	ENSMUSG00000034799.16
OG0001291	XP_029140457.1	ENSMUSG00000046807.10
OG0001291	XP_015670286.1	ENSMUSG00000046417.14
OG0001292	XP_015667334.1	ENSMUSG00000032640.10
OG0001292	XP_015670747.1	ENSMUSG00000058152.8
OG0001293	XP_015680670.1	ENSMUSG00000039496.8
OG0001293	XP_015668052.1	ENSMUSG00000032575.16
OG0001294	XP_015684263.2, XP_015684362.2	ENSMUSG00000053877.12, ENSMUSG00000107023.2
OG0001295	XP_029138918.1	ENSMUSG00000025716.14
OG0001295	XP_029140557.1	ENSMUSG00000042064.13
OG0001296	XP_015665722.1, XP_015681315.1	ENSMUSG00000070570.5
OG0001296	XP_015678786.1	ENSMUSG00000030500.6
OG0001297	XP_029142297.1, XP_015685285.1	ENSMUSG00000030659.14
OG0001297	XP_015665752.1	ENSMUSG00000030824.17
OG0001298	XP_015684301.1, XP_015683734.1, XP_015684549.1	ENSMUSG00000017733.4, ENSMUSG00000074595.9, ENSMUSG00000070531.4
OG0001299	XP_015666426.1	ENSMUSG00000003271.17
OG0001300	XP_015674650.1	ENSMUSG00000066510.5
OG0001300	XP_015675636.1	ENSMUSG00000047117.13
OG0001301	XP_015669709.2	ENSMUSG00000030862.13
OG0001302	XP_015678248.2	ENSMUSG00000035206.10
OG0001302	XP_015678233.1	ENSMUSG00000027366.12
OG0001303	XP_015686383.1, XP_015681283.1	ENSMUSG00000040740.7
OG0001303	XP_015683561.1	ENSMUSG00000018740.14
OG0001305	XP_015673184.1	ENSMUSG00000014164.15
OG0001305	XP_015676122.1	ENSMUSG00000031605.8
OG0001306	XP_015682175.2	ENSMUSG00000019944.14
OG0001306	XP_015684086.1	ENSMUSG00000022075.7
OG0001307	XP_015675299.1, XP_029140659.1	ENSMUSG00000031604.10
OG0001308	XP_015686903.1	ENSMUSG00000021743.6
OG0001308	XP_029141179.1	ENSMUSG00000029697.6
OG0001309	XP_015672059.1, XP_015669088.1	ENSMUSG00000020570.15
OG0001310	XP_029139216.1	ENSMUSG00000031671.11
OG0001311	XP_015669222.1	ENSMUSG00000032017.14
OG0001311	XP_015677441.1	ENSMUSG00000003378.9
OG0001312	XP_015675387.1	ENSMUSG00000021099.6
OG0001313	XP_029138993.1, XP_029138994.1	ENSMUSG00000022012.9
OG0001313	XP_029140791.1	ENSMUSG00000031109.16
OG0001314	XP_015670563.1	ENSMUSG00000046997.5
OG0001314	XP_015676919.1	ENSMUSG00000039911.13
OG0001315	XP_015668921.1	ENSMUSG00000025217.15
OG0001315	XP_015674778.1	ENSMUSG00000020271.17
OG0001316	XP_015681943.1	ENSMUSG00000020893.17
OG0001316	XP_015677955.2	ENSMUSG00000055866.9
OG0001317	XP_015668300.1	ENSMUSG00000029681.12
OG0001318	XP_015665523.1, XP_015665515.1, XP_015665501.1, XP_015665507.1	ENSMUSG00000037608.16
OG0001319	XP_015668308.1, XP_015668309.1	ENSMUSG00000007207.10
OG0001320	XP_015683930.1, XP_015679032.1	ENSMUSG00000096145.2, ENSMUSG00000030804.8
OG0001320	XP_015671024.1	ENSMUSG00000066735.8
OG0001321	XP_015674222.1	ENSMUSG00000045680.8
OG0001321	XP_015672650.1	ENSMUSG00000025930.6
OG0001322	XP_029139366.1	ENSMUSG00000040481.17
OG0001323	XP_029142101.1, XP_029140696.1	ENSMUSG00000038605.11
OG0001323	XP_029141611.1	ENSMUSG00000058656.13
OG0001324	XP_015685146.1, XP_015686050.1	ENSMUSG00000030753.15
OG0001325	XP_015672254.1	ENSMUSG00000058655.9
OG0001326	XP_029141899.1	ENSMUSG00000033770.13, ENSMUSG00000006216.10
OG0001327	XP_029142547.1, XP_015684833.1, XP_029140402.1	ENSMUSG00000022763.18
OG0001328	XP_015673160.1	ENSMUSG00000096370.8, ENSMUSG00000094936.8, ENSMUSG00000033760.17
OG0001329	XP_015675437.1	ENSMUSG00000040249.15
OG0001329	XP_029140041.1	ENSMUSG00000049252.17
OG0001330	XP_015672635.1	ENSMUSG00000000605.9
OG0001330	XP_015687925.1, XP_015687924.1	ENSMUSG00000004317.14
OG0001331	XP_015681473.1	ENSMUSG00000020883.18
OG0001332	XP_015673125.1	ENSMUSG00000064302.13
OG0001332	XP_029141318.1	ENSMUSG00000033392.16
OG0001333	XP_015685609.1	ENSMUSG00000030688.15
OG0001334	XP_015686652.1	ENSMUSG00000048385.9
OG0001335	XP_015671390.1	ENSMUSG00000026058.11
OG0001335	XP_015682414.1	ENSMUSG00000022332.8
OG0001336	XP_015672710.2, XP_029142820.1, XP_015681663.1	ENSMUSG00000047773.15
OG0001337	XP_015677049.1	ENSMUSG00000019433.9
OG0001337	XP_015673703.1	ENSMUSG00000039131.15
OG0001338	XP_015666902.1	ENSMUSG00000031921.17
OG0001339	XP_015672888.1	ENSMUSG00000028156.12
OG0001340	XP_029140723.1	ENSMUSG00000005469.10
OG0001340	XP_029141351.1	ENSMUSG00000005034.15
OG0001341	XP_015668557.1	ENSMUSG00000055069.3
OG0001341	XP_015687804.1	ENSMUSG00000031202.5
OG0001342	XP_015666881.1	ENSMUSG00000039079.1
OG0001342	XP_015682024.1	ENSMUSG00000038760.14
OG0001343	XP_015681097.1	ENSMUSG00000000420.15
OG0001343	XP_015681707.1	ENSMUSG00000060988.12
OG0001345	XP_015673090.1	ENSMUSG00000020686.12
OG0001346	XP_015674007.1	ENSMUSG00000004031.13
OG0001346	XP_015675030.1, XP_015675031.1	ENSMUSG00000035131.14
OG0001347	XP_015687106.1	ENSMUSG00000026085.11, ENSMUSG00000061584.6
OG0001349	XP_015677641.1	ENSMUSG00000066798.3
OG0001349	XP_015674000.1	ENSMUSG00000050714.9
OG0001350	XP_029139117.1, XP_029142493.1, XP_029142492.1, XP_015683862.1	ENSMUSG00000063651.11
OG0001351	XP_015676215.1	ENSMUSG00000022528.8
OG0001352	XP_015687947.1	ENSMUSG00000036022.15
OG0001353	XP_015671409.1	ENSMUSG00000024566.10
OG0001353	XP_015669853.1	ENSMUSG00000027546.15
OG0001354	XP_015676272.1	ENSMUSG00000020823.16
OG0001355	XP_015673362.1	ENSMUSG00000049969.3
OG0001355	XP_015677341.1	ENSMUSG00000074170.5
OG0001356	XP_015684762.1	ENSMUSG00000001095.5
OG0001356	XP_015670281.2	ENSMUSG00000020805.14
OG0001357	XP_015681812.1	ENSMUSG00000094282.1
OG0001357	XP_015670699.2	ENSMUSG00000045915.15
OG0001358	XP_015682483.1	ENSMUSG00000024516.13
OG0001358	XP_015678763.1	ENSMUSG00000025724.12
OG0001359	XP_015669980.1	ENSMUSG00000079316.10
OG0001359	XP_015687888.1	ENSMUSG00000043463.6
OG0001360	XP_015686651.2	ENSMUSG00000046330.10
OG0001361	XP_015675255.1, XP_015672024.1	ENSMUSG00000025228.5, ENSMUSG00000037351.9
OG0001362	XP_015667467.2	ENSMUSG00000023088.17
OG0001363	XP_015681036.1	ENSMUSG00000015627.5
OG0001363	XP_029140750.1	ENSMUSG00000005836.10
OG0001364	XP_015678294.1, XP_015678224.1	ENSMUSG00000002475.16
OG0001364	XP_015670310.1	ENSMUSG00000006638.15
OG0001365	XP_015670080.1, XP_015670081.1, XP_015670072.1, XP_029139725.1, XP_015670076.1, XP_015670077.1, XP_015670078.1, XP_015670075.1	ENSMUSG00000024985.20
OG0001366	XP_015669844.1, XP_015669843.1	ENSMUSG00000032570.17
OG0001366	XP_015666002.1	ENSMUSG00000034112.9
OG0001367	XP_015674482.1	ENSMUSG00000038481.13
OG0001367	XP_015672518.1	ENSMUSG00000029635.15
OG0001368	XP_029141607.1	ENSMUSG00000030256.11
OG0001368	XP_015678070.1	ENSMUSG00000030103.11
OG0001369	XP_015683519.1	ENSMUSG00000038900.17
OG0001370	XP_029139873.1	ENSMUSG00000054434.14
OG0001370	XP_015674359.1	ENSMUSG00000039886.8
OG0001371	XP_015684376.1	ENSMUSG00000030747.5
OG0001372	XP_015681507.1	ENSMUSG00000041845.11
OG0001372	XP_015670899.1	ENSMUSG00000029449.11
OG0001373	XP_015687030.1	ENSMUSG00000028743.7
OG0001374	XP_015677325.1	ENSMUSG00000024538.8
OG0001374	XP_015673928.1	ENSMUSG00000032383.7
OG0001375	XP_015678780.1	ENSMUSG00000061477.4
OG0001376	XP_015680341.1, XP_015665833.1	ENSMUSG00000062785.14
OG0001376	XP_015679374.1	ENSMUSG00000058975.7
OG0001377	XP_015680925.1	ENSMUSG00000036510.17
OG0001377	XP_015671449.1	ENSMUSG00000031673.6
OG0001379	XP_015678829.1, XP_015665805.1, XP_015678830.1, XP_015665806.1	ENSMUSG00000055839.6
OG0001380	XP_015669336.1	ENSMUSG00000053030.11
OG0001381	XP_015675976.2	ENSMUSG00000040502.5
OG0001381	XP_015686741.1	ENSMUSG00000039372.5
OG0001382	XP_015666141.1	ENSMUSG00000052373.14
OG0001383	XP_015676595.1	ENSMUSG00000045336.5
OG0001384	XP_015673852.1	ENSMUSG00000026836.15
OG0001384	XP_015675296.2	ENSMUSG00000000530.16
OG0001385	XP_015666703.1	ENSMUSG00000026728.9
OG0001385	XP_015670128.1	ENSMUSG00000020932.14
OG0001386	XP_015683282.1	ENSMUSG00000066279.3
OG0001386	XP_015683474.1	ENSMUSG00000029205.12
OG0001387	XP_015679864.1	ENSMUSG00000031442.21
OG0001388	XP_015687376.2	ENSMUSG00000031095.15
OG0001389	XP_015677270.1, XP_015677242.1	ENSMUSG00000039653.9, ENSMUSG00000060317.9, ENSMUSG00000070985.3
OG0001390	XP_029141550.1	ENSMUSG00000041570.14
OG0001390	XP_015680996.1	ENSMUSG00000044433.16
OG0001391	XP_015682649.1	ENSMUSG00000030245.10
OG0001391	XP_015687653.1	ENSMUSG00000103421.1, ENSMUSG00000098306.9
OG0001392	XP_015665744.1, XP_015681080.1	ENSMUSG00000035545.13
OG0001393	XP_015675200.2	ENSMUSG00000092300.7
OG0001393	XP_015671805.1	ENSMUSG00000025358.16
OG0001394	XP_029141102.1	ENSMUSG00000001804.9, ENSMUSG00000056632.8, ENSMUSG00000061928.6, ENSMUSG00000069441.3, ENSMUSG00000034774.6
OG0001395	XP_015671807.1	ENSMUSG00000025362.6
OG0001396	XP_015684337.2	ENSMUSG00000037279.13
OG0001396	XP_029142899.1	ENSMUSG00000024922.2
OG0001397	XP_015680029.1, XP_015680036.1	ENSMUSG00000026276.20, ENSMUSG00000116048.1
OG0001398	XP_015666682.1	ENSMUSG00000019734.16
OG0001399	XP_029139611.1	ENSMUSG00000041372.10
OG0001399	XP_015675547.1	ENSMUSG00000055629.5
OG0001400	XP_015666099.1	ENSMUSG00000029819.6
OG0001400	XP_015665953.1	ENSMUSG00000017311.15
OG0001401	XP_015677098.1	ENSMUSG00000026167.14
OG0001401	XP_015683449.2	ENSMUSG00000022996.15
OG0001402	XP_015683506.1	ENSMUSG00000061524.8
OG0001402	XP_015668438.1	ENSMUSG00000032368.14
OG0001403	XP_015674405.1	ENSMUSG00000021890.6
OG0001404	XP_015679575.1	ENSMUSG00000029922.15
OG0001405	XP_015667243.1	ENSMUSG00000085576.3, ENSMUSG00000043067.15
OG0001406	XP_029139175.1	ENSMUSG00000004070.15
OG0001406	XP_015687234.1	ENSMUSG00000005413.8
OG0001407	XP_015679724.1, XP_015679723.1, XP_015679725.1	ENSMUSG00000073608.4, ENSMUSG00000094651.2, ENSMUSG00000093805.7
OG0001408	XP_015671658.1	ENSMUSG00000020193.3
OG0001408	XP_015687684.2	ENSMUSG00000017195.15
OG0001409	XP_015668739.1	ENSMUSG00000066189.9
OG0001409	XP_015687363.1	ENSMUSG00000019146.2
OG0001410	XP_029141189.1	ENSMUSG00000032198.9
OG0001410	XP_015671029.1	ENSMUSG00000028556.15
OG0001411	XP_029139205.1	ENSMUSG00000010080.15
OG0001411	XP_029141142.1	ENSMUSG00000050439.7
OG0001412	XP_015680943.1	ENSMUSG00000008575.17
OG0001413	XP_015669010.1	ENSMUSG00000071262.10, ENSMUSG00000041852.15
OG0001414	XP_015678356.1	ENSMUSG00000070368.9
OG0001415	XP_029139726.1	ENSMUSG00000032915.6
OG0001416	XP_015668341.1, XP_015668333.1	ENSMUSG00000020029.6, ENSMUSG00000073295.4, ENSMUSG00000073293.4
OG0001417	XP_015673487.1	ENSMUSG00000026458.13
OG0001417	XP_029139198.1	ENSMUSG00000053825.15
OG0001418	XP_015681592.1	ENSMUSG00000037171.6
OG0001419	XP_015687851.1	ENSMUSG00000089809.9
OG0001419	XP_015681105.1	ENSMUSG00000020374.16
OG0001420	XP_015687862.1, XP_015687861.1	ENSMUSG00000029322.12
OG0001421	XP_015679361.2	ENSMUSG00000002228.7
OG0001421	XP_015677600.1	ENSMUSG00000034613.12
OG0001422	XP_015670351.1	ENSMUSG00000053329.7
OG0001423	XP_015682137.1	ENSMUSG00000070372.11
OG0001423	XP_015669039.1	ENSMUSG00000015733.13
OG0001424	XP_015682136.1	ENSMUSG00000045576.16
OG0001424	XP_015669040.1	ENSMUSG00000029534.17
OG0001425	XP_015665663.1	ENSMUSG00000060601.13
OG0001425	XP_015674139.1	ENSMUSG00000002108.10
OG0001426	XP_015676819.1	ENSMUSG00000028259.13
OG0001426	XP_015670725.1	ENSMUSG00000008136.14
OG0001427	XP_015667775.1	ENSMUSG00000030451.16
OG0001428	XP_015667711.1, XP_015667710.1	ENSMUSG00000049091.6
OG0001429	XP_015685174.1	ENSMUSG00000017817.11
OG0001430	XP_015682122.1	ENSMUSG00000025037.6
OG0001430	XP_015682121.2	ENSMUSG00000040147.14
OG0001431	XP_015670595.1	ENSMUSG00000031378.14
OG0001431	XP_015681157.1	ENSMUSG00000055782.9
OG0001432	XP_015687446.1	ENSMUSG00000047215.14, ENSMUSG00000062456.4, ENSMUSG00000081906.2
OG0001434	XP_015675061.1	ENSMUSG00000010803.13
OG0001434	XP_015669892.1	ENSMUSG00000000560.9
OG0001435	XP_015673204.1	ENSMUSG00000042035.11
OG0001435	XP_015679910.1	ENSMUSG00000086564.9
OG0001436	XP_015676954.1	ENSMUSG00000022658.10
OG0001436	XP_015678955.1	ENSMUSG00000026547.15
OG0001437	XP_029141483.1, XP_029142221.1	ENSMUSG00000057068.15, ENSMUSG00000078315.5, ENSMUSG00000035651.7, ENSMUSG00000045797.1
OG0001438	XP_015675397.1	ENSMUSG00000042258.13
OG0001438	XP_015682950.1	ENSMUSG00000032318.12
OG0001439	XP_015681683.1	ENSMUSG00000004929.12
OG0001439	XP_015668158.1	ENSMUSG00000021710.11
OG0001440	XP_015674048.1	ENSMUSG00000078945.10, ENSMUSG00000078942.10, ENSMUSG00000071203.6, ENSMUSG00000021640.6
OG0001441	XP_015683495.1	ENSMUSG00000021456.8
OG0001441	XP_015676237.1	ENSMUSG00000069805.10
OG0001442	XP_015683456.1, XP_015683457.1	ENSMUSG00000021546.18
OG0001443	XP_015681579.1	ENSMUSG00000024921.17
OG0001443	XP_015668764.1	ENSMUSG00000032187.16
OG0001444	XP_015679757.1	ENSMUSG00000040929.17
OG0001444	XP_015682288.1	ENSMUSG00000024206.15
OG0001445	XP_029140893.1	ENSMUSG00000001988.9
OG0001445	XP_015677565.1	ENSMUSG00000021010.8
OG0001446	XP_015682749.1	ENSMUSG00000054160.2
OG0001446	XP_015668499.1	ENSMUSG00000001496.15
OG0001447	XP_015671216.1	ENSMUSG00000041219.14
OG0001449	XP_015682591.1	ENSMUSG00000091519.1
OG0001449	XP_029139150.1	ENSMUSG00000022245.15
OG0001450	XP_015680792.1	ENSMUSG00000096847.2
OG0001451	XP_029143112.1, XP_029143113.1, XP_015687330.1, XP_029143115.1, XP_029143110.1	ENSMUSG00000045631.10
OG0001452	XP_015678733.1	ENSMUSG00000035804.5, ENSMUSG00000000215.11
OG0001453	XP_015677188.1, XP_015677187.1, XP_015677189.1	ENSMUSG00000018736.14
OG0001454	XP_015675959.1	ENSMUSG00000033364.13, ENSMUSG00000055780.10, ENSMUSG00000051527.11
OG0001455	XP_015686417.1, XP_015684937.1	ENSMUSG00000008200.15
OG0001456	XP_029142881.1, XP_015682859.1	ENSMUSG00000026197.12
OG0001456	XP_015673324.1	ENSMUSG00000053581.13
OG0001457	XP_015675048.1	ENSMUSG00000020334.6
OG0001457	XP_015675046.1	ENSMUSG00000063652.10, ENSMUSG00000018900.7
OG0001458	XP_029140656.1	ENSMUSG00000026301.16
OG0001458	XP_015684883.1, XP_015682659.1	ENSMUSG00000038199.12
OG0001459	XP_015681486.1	ENSMUSG00000074604.9
OG0001460	XP_015666610.1	ENSMUSG00000029992.14
OG0001460	XP_015679368.1	ENSMUSG00000020363.6
OG0001461	XP_015676186.1	ENSMUSG00000112814.1, ENSMUSG00000112419.1, ENSMUSG00000112495.1, ENSMUSG00000112781.1, ENSMUSG00000112027.1, ENSMUSG00000112919.1, ENSMUSG00000112252.1, ENSMUSG00000112216.1, ENSMUSG00000023932.9
OG0001463	XP_015673147.1, XP_015686234.1, XP_015685314.2, XP_015682341.1, XP_015682343.1, XP_015682342.1	ENSMUSG00000046753.10
OG0001464	XP_015687250.1, XP_015687251.1, XP_015687253.1, XP_015687252.1, XP_015687254.1	ENSMUSG00000030061.16
OG0001465	XP_015682576.1	ENSMUSG00000038762.15
OG0001466	XP_029142211.1, XP_015686437.1	ENSMUSG00000024422.14
OG0001467	XP_029140661.1	ENSMUSG00000024393.14
OG0001468	XP_015672334.1	ENSMUSG00000000579.14, ENSMUSG00000096255.2, ENSMUSG00000092074.2, ENSMUSG00000095677.2
OG0001469	XP_015671929.1, XP_015683107.1	ENSMUSG00000024369.16
OG0001470	XP_015685559.1, XP_029140075.1	ENSMUSG00000038045.14
OG0001473	XP_015670991.1, XP_015670983.1	ENSMUSG00000020698.11, ENSMUSG00000029447.11
OG0001474	XP_029142285.1, XP_015686088.1	ENSMUSG00000002059.18
OG0001474	XP_029141389.1	ENSMUSG00000020175.15
OG0001476	XP_015683763.1	ENSMUSG00000033898.17, ENSMUSG00000057037.8
OG0001477	XP_015675197.1	ENSMUSG00000039830.9
OG0001477	XP_015686768.1	ENSMUSG00000045591.6
OG0001478	XP_015679695.1	ENSMUSG00000018339.11, ENSMUSG00000004341.8, ENSMUSG00000004344.12
OG0001480	XP_015681505.1, XP_015684656.1, XP_015686144.1, XP_015684654.1, XP_029142714.1, XP_029142558.1, XP_015684657.1, XP_015681501.2, XP_015681502.1, XP_015681503.1, XP_015686135.1, XP_015681500.1, XP_015686923.1, XP_015686867.1	ENSMUSG00000111747.2, ENSMUSG00000075156.4
OG0001493	XP_015674961.1	ENSMUSG00000045052.3
OG0001494	XP_015670707.1	ENSMUSG00000006270.7
OG0001495	XP_015672330.1	ENSMUSG00000031818.12, ENSMUSG00000009876.13
OG0001497	XP_015665538.2	ENSMUSG00000110974.1, ENSMUSG00000071076.6
OG0001497	XP_015687047.1	ENSMUSG00000052684.4
OG0001500	XP_015672273.2	ENSMUSG00000026072.12
OG0001500	XP_015672279.1	ENSMUSG00000070942.8
OG0001501	XP_029140743.1	ENSMUSG00000053964.17
OG0001503	XP_015670685.1	ENSMUSG00000020902.12
OG0001504	XP_015683068.1	ENSMUSG00000004885.5
OG0001504	XP_015671841.1	ENSMUSG00000032291.8
OG0001505	XP_015676914.1	ENSMUSG00000028996.9
OG0001505	XP_015676771.1	ENSMUSG00000032454.9
OG0001506	XP_015668162.1	ENSMUSG00000064138.14
OG0001507	XP_015686274.1, XP_029141345.1	ENSMUSG00000060261.15
OG0001508	XP_015670997.1, XP_015670996.1, XP_015670995.1	ENSMUSG00000023067.14
OG0001509	XP_015680243.1	ENSMUSG00000031209.14
OG0001510	XP_015678831.1	ENSMUSG00000035530.13, ENSMUSG00000006941.5
OG0001511	XP_015676521.1	ENSMUSG00000001794.13
OG0001511	XP_029140027.1	ENSMUSG00000078144.4
OG0001512	XP_015678450.1	ENSMUSG00000020081.5
OG0001512	XP_015666591.1	ENSMUSG00000030043.11
OG0001513	XP_015678320.1	ENSMUSG00000079657.10
OG0001513	XP_015675344.2	ENSMUSG00000020732.13
OG0001514	XP_015669395.2	ENSMUSG00000041375.18
OG0001515	XP_015669394.1	ENSMUSG00000052833.9
OG0001516	XP_015683616.1	ENSMUSG00000024875.5
OG0001516	XP_015669355.1	ENSMUSG00000030588.12
OG0001517	XP_015684330.1	ENSMUSG00000027243.8
OG0001518	XP_015687824.1	ENSMUSG00000022076.10
OG0001520	XP_015684157.1	ENSMUSG00000040514.6
OG0001521	XP_015667464.1	ENSMUSG00000037965.14
OG0001522	XP_015686718.1	ENSMUSG00000024862.16
OG0001522	XP_015666770.1, XP_015666769.1	ENSMUSG00000003546.10
OG0001523	XP_015681867.1	ENSMUSG00000059743.12
OG0001524	XP_015668617.1	ENSMUSG00000026473.16
OG0001525	XP_015682819.1	ENSMUSG00000039676.4
OG0001526	XP_015684389.1, XP_015684457.1, XP_015684552.1	ENSMUSG00000036371.6
OG0001528	XP_015665749.1	ENSMUSG00000030826.19
OG0001528	XP_029142223.1	ENSMUSG00000030268.17
OG0001530	XP_015666261.2, XP_029138940.1	ENSMUSG00000025656.17
OG0001531	XP_015682389.1	ENSMUSG00000059708.12
OG0001532	XP_015668842.1, XP_015668843.1, XP_029139456.1	ENSMUSG00000028148.11, ENSMUSG00000028145.9
OG0001533	XP_015668373.1	ENSMUSG00000048537.16
OG0001534	XP_015677650.1	ENSMUSG00000034109.15
OG0001535	XP_029140571.1	ENSMUSG00000025735.13
OG0001535	XP_015681776.1	ENSMUSG00000017692.8
OG0001536	XP_015665862.1	ENSMUSG00000020612.16
OG0001536	XP_015676407.1	ENSMUSG00000025855.13
OG0001537	XP_015681357.1	ENSMUSG00000030022.14
OG0001538	XP_015684811.1, XP_015684812.1, XP_015666018.1, XP_015666019.1, XP_015678790.1	ENSMUSG00000018648.15
OG0001539	XP_015670951.1	ENSMUSG00000022382.15
OG0001539	XP_015669233.1	ENSMUSG00000030093.7
OG0001541	XP_029139006.1	ENSMUSG00000010453.12
OG0001542	XP_029138995.1	ENSMUSG00000022003.7
OG0001542	XP_015676092.1	ENSMUSG00000031105.16
OG0001543	XP_015681928.1	ENSMUSG00000047242.14, ENSMUSG00000078941.9, ENSMUSG00000052293.14
OG0001544	XP_015676221.1	ENSMUSG00000046598.15
OG0001545	XP_015681063.1	ENSMUSG00000037202.6
OG0001547	XP_015683877.1	ENSMUSG00000038319.14
OG0001547	XP_029142006.1	ENSMUSG00000059742.10
OG0001548	XP_015687180.1	ENSMUSG00000026254.17
OG0001549	XP_015687188.1	ENSMUSG00000022822.16
OG0001550	XP_015667797.1, XP_015667796.1	ENSMUSG00000039601.16
OG0001550	XP_015675779.2	ENSMUSG00000059713.12
OG0001551	XP_015682666.1, XP_015670660.1	ENSMUSG00000046922.7, ENSMUSG00000049649.8
OG0001552	XP_015674094.1	ENSMUSG00000030533.16
OG0001553	XP_029141875.1, XP_029141877.1, XP_029141876.1	ENSMUSG00000001415.10
OG0001554	XP_015675066.1	ENSMUSG00000054850.4
OG0001555	XP_015683152.1, XP_015678910.1, XP_015678364.1	ENSMUSG00000000804.14
