Orthogroup	P_Mucros.pep	N_naja.pep
OG0001504	XP_015683068.1	Nana36348-RA
OG0001504	XP_015671841.1	Nana32897-RA
OG0001505	XP_015676771.1	Nana20208-RA
OG0001506	XP_015668162.1	Nana12069-RA
OG0001506	XP_015668759.1	Nana24892-RB
OG0001507	XP_029141345.1	Nana00437-RB, Nana00437-RC, Nana00437-RA
OG0001508	XP_029139881.1	Nana29439-RA
OG0001508	XP_015670997.1, XP_015670996.1, XP_015670995.1	Nana14255-RA
OG0001509	XP_015680243.1	Nana31893-RA
OG0001510	XP_015678831.1	Nana23110-RA, Nana22250-RA
OG0001511	XP_029140027.1	Nana30858-RB, Nana30858-RA, Nana30858-RD, Nana30858-RC
OG0001512	XP_015678450.1	Nana19168-RA
OG0001512	XP_015666591.1	Nana27996-RA
OG0001513	XP_015675344.2	Nana09548-RB
OG0001514	XP_015669395.2	Nana30960-RA, Nana30960-RD, Nana30960-RE, Nana30960-RB, Nana30960-RC, Nana30960-RF, Nana30960-RG
OG0001515	XP_015669394.1	Nana30957-RD, Nana30957-RF, Nana30957-RB, Nana30957-RA, Nana30957-RC, Nana30957-RE
OG0001516	XP_015683616.1	Nana36117-RB, Nana36117-RA
OG0001516	XP_015669355.1	Nana30953-RA
OG0001517	XP_029142838.1	Nana07291-RA
OG0001518	XP_015684681.1, XP_015687824.1	Nana26501-RA
OG0001520	XP_015670689.1	Nana09365-RA, Nana09364-RA
OG0001520	XP_015684157.1	Nana33772-RA
OG0001521	XP_015667464.1	Nana34593-RF, Nana34593-RA, Nana34593-RD, Nana34593-RH, Nana34593-RB, Nana34593-RE, Nana34593-RG, Nana34593-RC
OG0001522	XP_015686718.1	Nana36124-RA
OG0001522	XP_015666770.1, XP_015666769.1	Nana00975-RA
OG0001524	XP_015685027.1	Nana36428-RA
OG0001524	XP_015668617.1	Nana15154-RA
OG0001525	XP_015665474.1, XP_015665472.1	Nana06055-RB
OG0001525	XP_015682819.1	Nana12435-RB, Nana12435-RA
OG0001526	XP_015684389.1, XP_015684457.1, XP_015684552.1	Nana14682-RC, Nana14682-RA
OG0001527	XP_015665640.1, XP_015665641.1	Nana23380-RA, Nana23380-RB, Nana23383-RA, Nana23383-RB
OG0001528	XP_015665749.1	Nana23596-RA
OG0001528	XP_029142223.1	Nana27606-RA
OG0001529	XP_015677482.1, XP_015677480.1	Nana23943-RA
OG0001530	XP_015673989.1	Nana19983-RA
OG0001530	XP_015666261.2, XP_029138940.1	Nana32048-RA
OG0001531	XP_015673964.1	Nana26020-RA
OG0001531	XP_015682389.1	Nana32420-RA
OG0001532	XP_015668842.1, XP_015668843.1, XP_029139456.1	Nana36257-RB, Nana36257-RA
OG0001533	XP_015668373.1	Nana29051-RC, Nana29051-RB, Nana29051-RA, Nana29051-RF, Nana29051-RG, Nana29051-RH, Nana29051-RD, Nana29051-RE
OG0001534	XP_015671519.1	Nana37361-RB, Nana37361-RA
OG0001534	XP_015677650.1	Nana20539-RA, Nana20539-RB
OG0001535	XP_029140571.1	Nana33962-RA
OG0001535	XP_015681776.1	Nana09937-RA
OG0001536	XP_015665862.1	Nana09806-RA
OG0001537	XP_015681357.1	Nana08038-RA
OG0001538	XP_015684811.1, XP_015684812.1, XP_015666018.1, XP_015666019.1	Nana23786-RA
OG0001538	XP_015678790.1	Nana00321-RA
OG0001539	XP_015670951.1	Nana29465-RA
OG0001541	XP_029139006.1	Nana28051-RJ, Nana28051-RL, Nana28051-RM, Nana28051-RB, Nana28051-RH, Nana28051-RN, Nana28051-RK, Nana28051-RG
OG0001542	XP_029138995.1	Nana26660-RB, Nana26660-RA
OG0001543	XP_015681928.1	Nana24312-RB
OG0001544	XP_015676221.1	Nana20941-RB, Nana20941-RA
OG0001544	XP_015676214.1	Nana20940-RA
OG0001545	XP_015681063.1	Nana23872-RA, Nana23872-RB
OG0001547	XP_029142006.1	Nana03503-RA
OG0001548	XP_015687180.1	Nana21038-RA, Nana20833-RA
OG0001549	XP_015687188.1	Nana20813-RJ, Nana20813-RI, Nana20813-RG, Nana20813-RK, Nana20813-RF, Nana20813-RM, Nana20813-RH, Nana20813-RL
OG0001550	XP_015667797.1, XP_015667796.1	Nana02922-RA
OG0001551	XP_015682666.1	Nana02098-RA
OG0001551	XP_015670660.1	Nana30148-RA
OG0001552	XP_015674094.1	Nana33668-RD, Nana33668-RH, Nana33668-RG, Nana33668-RE, Nana33668-RB, Nana33668-RA, Nana33668-RC, Nana33668-RI
OG0001553	XP_029141875.1, XP_029141877.1, XP_029141876.1	Nana35628-RB, Nana35628-RC, Nana35628-RA
OG0001554	XP_015675066.1	Nana11446-RA
OG0001555	XP_015683152.1	Nana00267-RA
OG0001555	XP_015678910.1	Nana00265-RA
OG0001555	XP_015678364.1	Nana00269-RA
OG0001556	XP_015668028.1	Nana38227-RA
OG0001556	XP_015684962.1	Nana38228-RA
OG0001556	XP_029141382.1	Nana38230-RA
OG0001558	XP_015681551.1	Nana00354-RA
OG0001558	XP_015681348.1	Nana00362-RA, Nana00363-RA
OG0001559	XP_029140255.1	Nana32143-RG, Nana32141-RA, Nana32143-RD, Nana32143-RA, Nana32143-RE, Nana32143-RH
OG0001560	XP_029139356.1	Nana29065-RA, Nana29065-RF, Nana29065-RG, Nana29065-RD, Nana29065-RC
OG0001561	XP_029139688.1	Nana11001-RA
OG0001562	XP_015671235.1	Nana13707-RA
OG0001563	XP_015668896.1, XP_015668897.1	Nana14809-RA
OG0001563	XP_029139495.1	Nana14774-RA
OG0001564	XP_029142928.1, XP_029141518.1, XP_029142179.1, XP_015674328.1, XP_015667216.1	Nana17427-RA, Nana18640-RA
OG0001565	XP_015679290.1	Nana00521-RA
OG0001566	XP_029139324.1	Nana37579-RA
OG0001567	XP_015678967.1	Nana04208-RA
OG0001568	XP_015671518.1	Nana06956-RA
OG0001569	XP_015665850.1	Nana09790-RA
OG0001570	XP_015674706.1	Nana11417-RA
OG0001570	XP_015674703.1	Nana11415-RA
OG0001571	XP_015683980.1	Nana35432-RA
OG0001572	XP_015677116.1	Nana30424-RB, Nana30424-RC, Nana30424-RA, Nana30425-RA, Nana30425-RF, Nana30425-RE, Nana30425-RB, Nana30425-RD, Nana30425-RC, Nana30425-RG, Nana30425-RH, Nana30425-RJ, Nana30425-RI, Nana30424-RD
OG0001573	XP_029138805.1	Nana06197-RG, Nana06197-RA, Nana06197-RC, Nana06197-RE, Nana06197-RD, Nana06197-RF, Nana06197-RH, Nana06197-RB
OG0001575	XP_015681811.1	Nana35012-RA
OG0001575	XP_015680510.1	Nana04094-RA
OG0001576	XP_015683743.1	Nana35031-RA
OG0001576	XP_015683744.1	Nana35028-RA
OG0001577	XP_015675930.2, XP_015684876.1	Nana26734-RB, Nana26734-RF, Nana26734-RA, Nana26734-RE, Nana26734-RG, Nana26734-RC, Nana26734-RD
OG0001578	XP_015670462.1	Nana24081-RA
OG0001578	XP_015667862.1	Nana16371-RA
OG0001579	XP_015674023.1	Nana06543-RA
OG0001580	XP_015682153.2	Nana30792-RA
OG0001581	XP_015687923.1, XP_015666663.1	Nana32706-RA
OG0001582	XP_015685939.1, XP_015665465.1	Nana37278-RA
OG0001583	XP_015673568.1	Nana10993-RA
OG0001583	XP_015672884.1	Nana35732-RA
OG0001584	XP_029142274.1	Nana28556-RG, Nana28556-RE, Nana28556-RB, Nana28556-RH, Nana28556-RC, Nana28556-RA, Nana28556-RF, Nana28556-RD
OG0001585	XP_029139447.1	Nana36052-RA
OG0001586	XP_015683827.1	Nana19041-RA
OG0001586	XP_029142483.1	Nana19043-RA
OG0001587	XP_029141425.1	Nana38866-RA, Nana18817-RA
OG0001587	XP_015678773.1	Nana18133-RA
OG0001588	XP_015673936.1	Nana33099-RA
OG0001589	XP_029139111.1	Nana29822-RA
OG0001589	XP_015670289.1	Nana00657-RA
OG0001590	XP_015685920.1	Nana02662-RA
OG0001591	XP_015677299.1	Nana23960-RA
OG0001591	XP_015671728.1	Nana31625-RA
OG0001592	XP_015677710.1	Nana38823-RA
OG0001593	XP_015680801.1	Nana30130-RA
OG0001593	XP_015687574.1	Nana02282-RB, Nana02282-RC, Nana02282-RA
OG0001594	XP_015674225.1, XP_015674226.1, XP_015674227.1	Nana31573-RA, Nana31573-RD, Nana31573-RE, Nana31573-RB
OG0001595	XP_015674020.1	Nana06542-RA
OG0001595	XP_015677877.1	Nana11959-RA
OG0001596	XP_015669613.1	Nana08579-RA
OG0001597	XP_015686501.1, XP_015677717.1, XP_015686783.1, XP_015686787.2	Nana24259-RA
OG0001598	XP_015679066.1, XP_015679065.1	Nana11916-RA
OG0001599	XP_015668398.1, XP_015668399.1	Nana29041-RA
OG0001600	XP_015668396.1	Nana29036-RA, Nana29036-RG, Nana29036-RB, Nana29036-RJ, Nana29036-RF, Nana29036-RH, Nana29036-RK
OG0001601	XP_015686731.1, XP_015686701.1, XP_015686688.1, XP_015686695.1, XP_015686708.1, XP_015686715.1, XP_015686725.1, XP_015686720.1	Nana03824-RA
OG0001602	XP_015666142.1, XP_015679457.1, XP_015679456.1	Nana21374-RC, Nana21374-RB, Nana21374-RA, Nana37938-RA
OG0001603	XP_015667045.1, XP_015667048.1, XP_015667047.1, XP_015667046.1, XP_015678615.1	Nana21551-RA, Nana21551-RC, Nana21551-RB
OG0001604	XP_015670140.1	Nana11333-RA
OG0001604	XP_015670139.1	Nana11332-RA
OG0001605	XP_029140322.1	Nana16311-RA
OG0001606	XP_015684213.1	Nana27730-RA
OG0001606	XP_029140645.1	Nana08493-RA
OG0001607	XP_015666755.1	Nana15196-RB, Nana15196-RC, Nana15196-RD, Nana15196-RG, Nana15196-RK, Nana15196-RE, Nana15196-RF
OG0001608	XP_029139038.1	Nana19380-RA
OG0001608	XP_029142150.1	Nana17475-RA
OG0001609	XP_015665703.1	Nana23296-RA
OG0001609	XP_015678793.1	Nana04467-RA
OG0001610	XP_015670757.1	Nana21444-RA, Nana21444-RB, Nana21444-RC
OG0001611	XP_015679198.1, XP_015679197.1, XP_015679196.1	Nana33137-RB, Nana33137-RC, Nana33137-RA
OG0001612	XP_029140211.1	Nana25701-RB, Nana25701-RG, Nana25701-RH, Nana25701-RC, Nana25701-RJ, Nana25701-RE, Nana25701-RI, Nana25701-RD, Nana25701-RF, Nana25701-RA
OG0001613	XP_015671605.1	Nana14995-RA
OG0001614	XP_029141567.1, XP_015679666.1, XP_015680351.1	Nana13533-RA, Nana16092-RA
OG0001615	XP_029141576.1	Nana09929-RG, Nana09929-RA, Nana09929-RH, Nana09929-RF, Nana09929-RE, Nana09929-RC, Nana09929-RB, Nana09929-RD
OG0001616	XP_015672950.1	Nana34934-RA
OG0001616	XP_015673100.1	Nana00539-RA
OG0001618	XP_029142041.1	Nana27680-RA
OG0001619	XP_015685893.1	Nana09925-RC, Nana09925-RA, Nana09925-RD, Nana09925-RB, Nana09926-RA
OG0001619	XP_015679682.1	Nana09928-RA, Nana09928-RB
OG0001620	XP_015674012.1	Nana01290-RA
OG0001620	XP_015679360.1	Nana04948-RA
OG0001621	XP_015677839.1	Nana13683-RA
OG0001622	XP_015683690.1, XP_015666028.1	Nana23758-RB, Nana39288-RA, Nana23758-RA, Nana39288-RB
OG0001622	XP_015679937.2	Nana35562-RA
OG0001623	XP_015670925.1	Nana34752-RA
OG0001624	XP_015670681.1	Nana03977-RA
OG0001624	XP_015670240.1	Nana09893-RB, Nana09893-RA
OG0001625	XP_015666409.1, XP_015678121.1	Nana23720-RA
OG0001626	XP_015667064.1	Nana21623-RB, Nana21623-RA
OG0001627	XP_015682354.1	Nana15325-RA
OG0001627	XP_015687513.1	Nana15295-RA
OG0001628	XP_015671220.1	Nana10464-RA
OG0001628	XP_015678497.1	Nana11812-RA
OG0001629	XP_015667318.1, XP_015667317.1, XP_015667316.1, XP_015667314.1, XP_015667319.1	Nana21683-RB, Nana21683-RA, Nana21683-RD, Nana21683-RC
OG0001630	XP_015687034.1	Nana37201-RA
OG0001630	XP_015670885.1	Nana20460-RA
OG0001631	XP_015669658.1	Nana27498-RA
OG0001632	XP_015667644.1, XP_015667643.1	Nana15487-RA
OG0001633	XP_015666074.1, XP_015666076.1, XP_015666075.1	Nana21813-RC, Nana21813-RB, Nana21813-RA, Nana21813-RD
OG0001634	XP_015675815.1	Nana27417-RA
OG0001634	XP_029139731.1	Nana29452-RA
OG0001634	XP_015673728.1	Nana27400-RA
OG0001635	XP_015671781.1, XP_015671782.1	Nana20292-RA
OG0001636	XP_015677541.1	Nana04904-RA
OG0001637	XP_015685629.1	Nana06918-RA
OG0001638	XP_015669626.1	Nana20081-RA
OG0001638	XP_015670526.1	Nana09523-RA
OG0001640	XP_015675860.1	Nana37640-RA
OG0001641	XP_015670089.1	Nana14321-RB, Nana14321-RA
OG0001642	XP_029139615.1	Nana22876-RA
OG0001643	XP_015681243.1	Nana10507-RC
OG0001643	XP_015668124.1	Nana27083-RA
OG0001644	XP_029143058.1	Nana22749-RA, Nana22754-RA
OG0001645	XP_015666787.2	Nana14368-RA
OG0001646	XP_015668365.1	Nana27057-RA
OG0001646	XP_015677816.1	Nana08479-RA, Nana08479-RB
OG0001647	XP_015666870.1, XP_015666871.1	Nana14400-RB, Nana14400-RA
OG0001647	XP_015672602.1	Nana12394-RA
OG0001648	XP_015673583.1, XP_029140356.1, XP_015673582.1, XP_015673584.1	Nana19241-RD, Nana19241-RB, Nana19241-RA, Nana19241-RC, Nana19241-RE
OG0001649	XP_015684742.1	Nana23012-RA
OG0001649	XP_029143182.1	Nana23013-RA
OG0001650	XP_015687729.1	Nana23017-RA
OG0001650	XP_015687730.1	Nana23014-RA
OG0001650	XP_015682261.1	Nana23015-RA
OG0001651	XP_015675172.1	Nana26960-RA
OG0001651	XP_015668006.1	Nana13937-RA
OG0001652	XP_015667187.1	Nana21961-RA
OG0001652	XP_015687685.1	Nana23062-RA
OG0001653	XP_029143141.1	Nana14219-RA
OG0001654	XP_015676241.1	Nana26806-RA
OG0001655	XP_015681331.1	Nana08520-RA, Nana08520-RB
OG0001656	XP_015669042.1	Nana29632-RA
OG0001657	XP_015675093.1	Nana24648-RD, Nana24648-RC, Nana24648-RK, Nana24648-RH, Nana24648-RB, Nana24648-RA
OG0001658	XP_015670751.1	Nana08976-RA
OG0001659	XP_015680530.1	Nana18584-RF, Nana18584-RD, Nana18584-RE, Nana18584-RC, Nana18584-RA, Nana18584-RB
OG0001660	XP_015668356.1	Nana28936-RA
OG0001660	XP_015687303.1	Nana18214-RA
OG0001661	XP_015671659.1	Nana25011-RA
OG0001661	XP_015671930.1	Nana17945-RA
OG0001662	XP_015666201.2	Nana06303-RB
OG0001664	XP_015675453.1	Nana12384-RA, Nana12383-RA
OG0001665	XP_015686703.1	Nana12106-RA
OG0001666	XP_029143130.1, XP_029143129.1, XP_029143131.1	Nana12043-RE, Nana12043-RD, Nana12043-RC, Nana12043-RA, Nana12043-RB
OG0001667	XP_015674008.1	Nana11725-RC, Nana11725-RD, Nana11725-RE, Nana11725-RB, Nana11725-RH, Nana11725-RA, Nana11725-RG, Nana11725-RF
OG0001668	XP_015681955.1	Nana35893-RA
OG0001669	XP_015677566.1	Nana05247-RA, Nana05247-RC, Nana05247-RD, Nana05247-RE
OG0001670	XP_015677881.1	Nana02774-RA
OG0001671	XP_029141584.1	Nana10967-RA
OG0001672	XP_015680140.1	Nana10961-RA, Nana38955-RA, Nana38955-RB
OG0001673	XP_029139964.1	Nana05028-RA
OG0001674	XP_015678410.1, XP_015678411.1, XP_015678412.1, XP_015678413.1	Nana04625-RA
OG0001674	XP_015678414.1	Nana04624-RA
OG0001675	XP_015670232.2	Nana10154-RK, Nana10154-RE, Nana10154-RA, Nana10154-RG, Nana10154-RF, Nana10154-RH, Nana10154-RJ, Nana10154-RD, Nana10154-RC
OG0001677	XP_015675180.1	Nana04350-RA
OG0001678	XP_015683872.1	Nana36396-RA
OG0001678	XP_015681437.1	Nana09307-RB, Nana09307-RA
OG0001679	XP_029142439.1	Nana03709-RA
OG0001679	XP_015687998.1	Nana21243-RA
OG0001680	XP_015675970.2, XP_015675969.1	Nana03851-RA, Nana17387-RA
OG0001681	XP_015675207.1, XP_015675206.1	Nana04104-RA, Nana04104-RB
OG0001681	XP_029140647.1	Nana04103-RA
OG0001682	XP_015681495.1	Nana04051-RA
OG0001682	XP_029139942.1	Nana34706-RA
OG0001683	XP_015667925.1, XP_015667924.1, XP_015667923.1	Nana03668-RE, Nana03668-RA, Nana03668-RC, Nana03668-RF, Nana03668-RD, Nana03668-RB
OG0001684	XP_015674194.1	Nana09049-RA
OG0001685	XP_029139533.1	Nana02881-RA
OG0001686	XP_029139532.1	Nana02884-RA
OG0001687	XP_015674898.1	Nana02022-RA
OG0001687	XP_015677669.1	Nana30247-RA
OG0001688	XP_015685647.1, XP_015677052.1, XP_015678207.1	Nana02053-RB, Nana02053-RA, Nana02057-RA
OG0001689	XP_015684807.1, XP_015684168.1	Nana08270-RA
OG0001690	XP_015687533.1, XP_015683923.1	Nana07799-RA
OG0001691	XP_015676612.1	Nana01703-RB
OG0001691	XP_015676613.1	Nana01702-RA
OG0001693	XP_015682876.1	Nana07828-RA, Nana07828-RB
OG0001694	XP_015683108.1	Nana07627-RA, Nana07627-RB
OG0001695	XP_015683106.1	Nana07626-RC, Nana07626-RA, Nana07626-RB
OG0001696	XP_029143153.1	Nana07622-RA
OG0001697	XP_015683228.1	Nana07608-RA
OG0001698	XP_015681363.1	Nana07649-RA
OG0001699	XP_015687614.2	Nana05874-RA
OG0001700	XP_015677833.1	Nana07504-RA
OG0001701	XP_029141994.1	Nana07543-RD
OG0001702	XP_015687407.1	Nana01214-RD, Nana01214-RC, Nana01214-RA, Nana01214-RB
OG0001705	XP_015667485.1, XP_029139188.1	Nana34591-RA
OG0001708	XP_015671261.1	Nana34675-RA, Nana34675-RB, Nana34675-RC
OG0001708	XP_015676361.1	Nana35582-RA
OG0001709	XP_015672686.1	Nana00573-RA
OG0001716	XP_029140825.1, XP_015676204.1, XP_015676206.1, XP_029140826.1, XP_029140828.1, XP_029140827.1, XP_029140829.1, XP_015676205.1, XP_015676207.1	Nana20946-RA
OG0001718	XP_015683836.1	Nana39315-RF, Nana39315-RE, Nana39315-RC, Nana39315-RD, Nana39315-RB, Nana39315-RA
OG0001725	XP_015666316.1	Nana15814-RA
OG0001725	XP_015675995.1	Nana15836-RA, Nana15836-RB
OG0001726	XP_015667958.1	Nana26773-RB, Nana26773-RC, Nana26773-RA
OG0001727	XP_015678992.1, XP_015678991.1	Nana08217-RA
OG0001727	XP_015680929.1	Nana08215-RA
OG0001728	XP_029140967.1	Nana37516-RE, Nana37516-RG, Nana37516-RH, Nana37516-RJ, Nana37516-RF, Nana37516-RI
OG0001729	XP_015669975.1, XP_015669974.1, XP_015669978.1, XP_015669977.1	Nana25903-RA
OG0001730	XP_015668522.1	Nana03216-RA
OG0001731	XP_015685158.1	Nana29432-RA
OG0001731	XP_015681396.1, XP_029140519.1	Nana04373-RA
OG0001732	XP_015667298.1, XP_015667303.1	Nana16895-RA
OG0001733	XP_015675247.1	Nana15357-RA, Nana18054-RA
OG0001734	XP_015670700.1	Nana09347-RA
OG0001734	XP_015682367.1	Nana34168-RA
OG0001735	XP_029140488.1	Nana34159-RB, Nana34159-RA
OG0001736	XP_015674735.1	Nana03113-RA
OG0001737	XP_015669358.1	Nana30962-RF, Nana30962-RI, Nana30962-RB, Nana30962-RA, Nana30962-RG
OG0001737	XP_029142597.1	Nana30962-RE
OG0001738	XP_015682264.1	Nana32374-RE, Nana32374-RD, Nana32374-RF, Nana32374-RC, Nana32374-RA, Nana32374-RB
OG0001739	XP_015669951.1	Nana03095-RA
OG0001740	XP_015679004.1	Nana04969-RA
OG0001741	XP_015672144.1, XP_015672146.1, XP_029140097.1	Nana19142-RC
OG0001741	XP_015672145.1, XP_015672143.1	Nana19142-RB, Nana19142-RA
OG0001742	XP_015675877.1	Nana05668-RA
OG0001743	XP_015686271.1	Nana30010-RA
OG0001744	XP_015667461.1	Nana34603-RE, Nana34603-RC, Nana34603-RF, Nana34603-RG, Nana34603-RB, Nana34603-RD
OG0001746	XP_015682395.1	Nana00467-RA
OG0001747	XP_015678672.1	Nana08901-RA
OG0001748	XP_015680196.1	Nana17719-RA, Nana17719-RB
OG0001748	XP_029141671.1	Nana17718-RA
OG0001749	XP_015677736.1	Nana30065-RA, Nana30065-RB, Nana30065-RE, Nana30065-RC, Nana30065-RD, Nana30068-RA
OG0001750	XP_029140160.1	Nana12425-RA
OG0001750	XP_015686487.1	Nana12425-RB, Nana12425-RC, Nana12425-RE, Nana12425-RD, Nana39866-RA
OG0001751	XP_015682805.2	Nana03450-RA, Nana03449-RA
OG0001751	XP_029139101.1	Nana21660-RA
OG0001752	XP_029141861.1	Nana07734-RA
OG0001753	XP_029142007.1, XP_015681778.1, XP_015681779.1, XP_029142008.1	Nana14696-RC, Nana14696-RB, Nana14696-RA, Nana14696-RE
OG0001754	XP_015672883.1	Nana35727-RA, Nana35729-RA
OG0001755	XP_015665590.1, XP_015665591.1	Nana23389-RA
OG0001756	XP_015682412.1	Nana23805-RA, Nana23805-RB, Nana23802-RA, Nana23802-RB
OG0001756	XP_015666020.1	Nana23801-RA
OG0001757	XP_029141090.1, XP_015677523.1, XP_015677524.1	Nana36300-RF, Nana36300-RH, Nana36300-RI, Nana36300-RJ, Nana36300-RG
OG0001758	XP_015674076.1, XP_015674077.1, XP_015674078.1	Nana33534-RB, Nana33534-RC, Nana33534-RA
OG0001759	XP_029139349.1	Nana29025-RK, Nana29025-RJ, Nana29025-RL, Nana29025-RF, Nana29025-RB, Nana29025-RG
OG0001761	XP_015671809.1, XP_015671800.1, XP_015671791.1, XP_015671783.1, XP_015686421.1	Nana32896-RA
OG0001762	XP_015670851.1	Nana11136-RB, Nana11136-RA
OG0001763	XP_015678024.1	Nana33005-RA
OG0001764	XP_015680201.1	Nana32242-RA, Nana32242-RC, Nana32242-RB, Nana32242-RF, Nana32242-RH, Nana32242-RG, Nana32242-RE, Nana32242-RD
OG0001765	XP_015680219.1, XP_015675787.1	Nana24054-RA
OG0001766	XP_015679084.1, XP_015681285.1, XP_029141955.1	Nana19580-RA, Nana19580-RD, Nana19580-RC, Nana19580-RE, Nana19580-RB
OG0001767	XP_015671762.1	Nana19971-RA, Nana19971-RB
OG0001767	XP_015675796.1	Nana24050-RA
OG0001768	XP_015675455.1	Nana12387-RA
OG0001768	XP_015671704.1	Nana33202-RA, Nana33202-RB
OG0001769	XP_015672597.1	Nana17242-RB, Nana17242-RC, Nana17242-RD, Nana17242-RA
OG0001770	XP_015667658.1	Nana31008-RA, Nana31008-RB, Nana31008-RD, Nana31008-RC, Nana31008-RE, Nana31008-RF, Nana31008-RG
OG0001771	XP_015668901.1	Nana14820-RA
OG0001771	XP_015677922.1	Nana07706-RA, Nana07706-RB
OG0001772	XP_029139573.1	Nana36605-RA
OG0001773	XP_029142231.1	Nana25598-RA
OG0001773	XP_015683398.2	Nana24158-RA
OG0001774	XP_015677076.1	Nana17532-RA
OG0001775	XP_015679035.1, XP_015681118.1	Nana23856-RG, Nana23856-RE, Nana23856-RD, Nana23856-RI, Nana23856-RJ, Nana23856-RH
OG0001776	XP_015682305.1, XP_015681125.1	Nana28300-RA
OG0001776	XP_015682456.1, XP_015681124.1	Nana23850-RA
OG0001776	XP_029141856.1	Nana23849-RA
OG0001777	XP_015668455.1, XP_015668456.1	Nana09863-RA, Nana09863-RC, Nana09863-RD
OG0001778	XP_015683268.1	Nana13431-RA
OG0001778	XP_015679784.1	Nana16831-RA, Nana16832-RA
OG0001779	XP_029142904.1, XP_015680879.2	Nana20852-RA, Nana20851-RA, Nana20849-RA
OG0001780	XP_015671840.2	Nana10357-RA
OG0001782	XP_015673530.1	Nana00803-RA
OG0001783	XP_015683202.1, XP_015681304.1	Nana00210-RA, Nana00221-RA
OG0001783	XP_015683921.1, XP_015683758.1	Nana00214-RA
OG0001784	XP_015687896.1	Nana32680-RA
OG0001784	XP_015687833.1	Nana26450-RA
OG0001785	XP_029141832.1	Nana32202-RA
OG0001785	XP_015683269.1	Nana25828-RA
OG0001786	XP_015680210.1	Nana32230-RF, Nana32230-RB, Nana32230-RC, Nana32230-RE, Nana32230-RA, Nana32230-RD
OG0001787	XP_015684787.1	Nana00372-RA
OG0001787	XP_015681040.1, XP_015681041.1	Nana00371-RA
OG0001788	XP_015682285.1	Nana18731-RG, Nana18731-RD, Nana18731-RA, Nana18731-RC, Nana18731-RE, Nana18731-RF, Nana18731-RB
OG0001789	XP_015686528.1, XP_015685059.1	Nana18735-RA, Nana18735-RB, Nana18735-RD, Nana18735-RC, Nana18735-RF, Nana18735-RE
OG0001790	XP_015687889.1, XP_015687882.1	Nana32106-RD, Nana32106-RB, Nana32106-RC, Nana32106-RA
OG0001791	XP_015683553.1	Nana17107-RA
OG0001792	XP_015670531.1	Nana09524-RB
OG0001793	XP_015670898.1	Nana34794-RF, Nana34794-RD, Nana34794-RC, Nana34794-RE, Nana34794-RA, Nana34794-RH, Nana34794-RB, Nana34794-RG
OG0001794	XP_015668696.1, XP_015668695.1, XP_015668694.1, XP_015668698.1, XP_015668693.1	Nana14733-RA, Nana14733-RB
OG0001795	XP_015668910.1	Nana14804-RA, Nana14804-RB
OG0001796	XP_029139856.1	Nana09258-RF, Nana09258-RB, Nana09258-RA, Nana09258-RD, Nana09258-RE
OG0001797	XP_015677028.1	Nana27267-RA
OG0001797	XP_029140867.1	Nana34292-RA
OG0001798	XP_015672758.1	Nana27304-RA
OG0001798	XP_015676419.1	Nana34315-RA
OG0001799	XP_015676416.1	Nana34317-RA
OG0001800	XP_015666501.1	Nana32796-RI, Nana32796-RK, Nana32796-RL, Nana32796-RH, Nana32796-RJ, Nana32796-RF, Nana32796-RG
OG0001801	XP_015672596.1	Nana17244-RA, Nana17244-RE, Nana17244-RB, Nana17244-RD, Nana17244-RC
OG0001802	XP_029140503.1	Nana09636-RA
OG0001802	XP_015677132.1	Nana33879-RA
OG0001803	XP_015666649.1, XP_015666650.1, XP_029139010.1, XP_029139009.1	Nana28032-RB, Nana28032-RC, Nana28032-RA
OG0001804	XP_015677016.1, XP_015677015.1	Nana08730-RB, Nana08730-RA
OG0001805	XP_015677022.1, XP_015677021.1, XP_015677020.1, XP_015677019.1	Nana08733-RA, Nana08733-RB
OG0001806	XP_029139483.1, XP_015668971.1	Nana16641-RC, Nana16641-RA, Nana16641-RB
OG0001807	XP_015678530.1, XP_015679873.1	Nana26313-RA, Nana26313-RB, Nana26313-RC
OG0001808	XP_029140774.1	Nana26736-RF, Nana26736-RE, Nana26736-RG, Nana26736-RC, Nana26736-RB, Nana26736-RA, Nana26736-RD
OG0001809	XP_015667859.1	Nana16361-RI, Nana16361-RB, Nana16361-RD, Nana16361-RE, Nana16361-RG, Nana16361-RJ, Nana16361-RC
OG0001810	XP_015673041.1, XP_015673040.1	Nana31320-RA
OG0001811	XP_015682481.1	Nana12497-RA
OG0001812	XP_015673106.1, XP_015673108.1, XP_015673112.1, XP_015673109.1, XP_015673111.1, XP_015673110.1	Nana16405-RA
OG0001814	XP_015665506.1, XP_015665508.1	Nana06177-RA
OG0001815	XP_015683534.1	Nana11279-RA
OG0001816	XP_015672648.1	Nana16457-RA
OG0001817	XP_015672743.1	Nana11231-RA
OG0001818	XP_029140079.1	Nana28160-RA
OG0001818	XP_015667638.1	Nana15490-RA
OG0001819	XP_015672890.1	Nana17786-RA
OG0001820	XP_015673942.1	Nana33107-RB, Nana33103-RA, Nana33103-RB
OG0001821	XP_015678805.1	Nana38171-RC, Nana38171-RD, Nana38171-RA, Nana38171-RB, Nana24238-RA, Nana38168-RA, Nana24382-RA
