Orthogroup	P_Mucros.pep	X_tropicalis.pep
OG0001823	XP_015672796.1, XP_015681197.1, XP_015681191.1	ENSXETG00000002079.1
OG0001824	XP_015677120.1	ENSXETG00000009312.1
OG0001825	XP_029142694.1, XP_029142141.1, XP_015682257.1, XP_015684583.1	ENSXETG00000008549.1
OG0001827	XP_015671674.2	ENSXETG00000008978.1
OG0001828	XP_015672206.1, XP_015672207.1, XP_015671737.1	ENSXETG00000000315.1
OG0001829	XP_015669582.1, XP_015669581.1	ENSXETG00000014109.1
OG0001829	XP_015676171.1, XP_015676156.1	ENSXETG00000004335.1
OG0001830	XP_029138786.1	ENSXETG00000018133.1
OG0001832	XP_015680611.1, XP_015668495.1	ENSXETG00000020466.1
OG0001833	XP_015680252.1	ENSXETG00000012887.1
OG0001834	XP_015665785.1, XP_015674197.1	ENSXETG00000015831.1
OG0001837	XP_015670976.1, XP_015670977.1	ENSXETG00000016566.1, ENSXETG00000016577.1, ENSXETG00000016589.1
OG0001838	XP_015687583.1, XP_015685746.1, XP_015682505.1	ENSXETG00000019978.1
OG0001839	XP_015677812.1	ENSXETG00000006134.1
OG0001840	XP_029140702.1	ENSXETG00000018233.1, ENSXETG00000005037.1
OG0001840	XP_029139833.1	ENSXETG00000011624.1
OG0001841	XP_015670986.1	ENSXETG00000006317.1, ENSXETG00000006306.1, ENSXETG00000006363.1, ENSXETG00000006210.1, ENSXETG00000006248.1, ENSXETG00000006185.1, ENSXETG00000018496.1
OG0001842	XP_029138776.1	ENSXETG00000017348.1
OG0001843	XP_015676659.1, XP_015676661.1	ENSXETG00000005260.1
OG0001844	XP_015678756.1	ENSXETG00000019544.1, ENSXETG00000021371.1
OG0001845	XP_029139020.1	ENSXETG00000011442.1
OG0001846	XP_015680585.1	ENSXETG00000014627.1
OG0001847	XP_015669808.1	ENSXETG00000001731.1
OG0001848	XP_015687387.1	ENSXETG00000021379.1
OG0001849	XP_015666031.1, XP_015666032.1, XP_015673821.1, XP_015673823.1, XP_015673822.1	ENSXETG00000000437.1
OG0001850	XP_015676939.1	ENSXETG00000014865.1
OG0001851	XP_015686871.1, XP_015686850.1, XP_015676927.1, XP_015683817.1	ENSXETG00000006303.1
OG0001852	XP_015682852.1, XP_015686040.1	ENSXETG00000001450.1
OG0001853	XP_015667024.1	ENSXETG00000002822.1
OG0001854	XP_015670297.1	ENSXETG00000002811.1
OG0001854	XP_015669004.1	ENSXETG00000007849.1
OG0001855	XP_015675513.1	ENSXETG00000017005.1
OG0001856	XP_015670243.1	ENSXETG00000014230.1
OG0001856	XP_029140010.1	ENSXETG00000003079.1
OG0001857	XP_015687971.1, XP_015687972.1	ENSXETG00000013763.1
OG0001858	XP_015677421.1, XP_015677420.1, XP_015677419.2	ENSXETG00000010115.1
OG0001859	XP_015686723.1, XP_015686285.1, XP_015684909.1, XP_015679535.1	ENSXETG00000018494.1
OG0001860	XP_015668459.1	ENSXETG00000019783.1
OG0001861	XP_015671163.1	ENSXETG00000018015.1
OG0001862	XP_015669628.1, XP_029140123.1, XP_029140122.1, XP_029140121.1, XP_015672258.1	ENSXETG00000017850.1
OG0001863	XP_015672104.1	ENSXETG00000002506.1
OG0001864	XP_029142226.1	ENSXETG00000000728.1
OG0001864	XP_029141753.1	ENSXETG00000018121.1
OG0001865	XP_015676844.1	ENSXETG00000012174.1
OG0001866	XP_015675806.1, XP_015679567.1	ENSXETG00000003154.1
OG0001867	XP_015670555.1, XP_015670556.1	ENSXETG00000001966.1
OG0001868	XP_029141094.1, XP_029141095.1, XP_029141096.1, XP_015677538.1	ENSXETG00000004155.1
OG0001869	XP_029140035.1	ENSXETG00000017786.1, ENSXETG00000008851.1
OG0001870	XP_015669668.1, XP_015669669.1	ENSXETG00000010683.1
OG0001871	XP_015669672.1, XP_015683581.1, XP_029142485.1, XP_029142500.1, XP_029142519.1	ENSXETG00000015904.1
OG0001872	XP_015669675.1, XP_015669697.1	ENSXETG00000015673.1, ENSXETG00000015720.1, ENSXETG00000015695.1
OG0001873	XP_015675266.1	ENSXETG00000017321.1
OG0001873	XP_015675264.1, XP_015675265.1, XP_029140658.1	ENSXETG00000003428.1
OG0001874	XP_015666842.1, XP_015666844.1, XP_015666840.1, XP_015666843.1, XP_015666847.1, XP_015666846.1, XP_015666845.1	ENSXETG00000004975.1
OG0001875	XP_029139360.1	ENSXETG00000017798.1
OG0001876	XP_015666801.1, XP_015666800.1, XP_015666802.1, XP_015666803.1, XP_015666804.1	ENSXETG00000009825.1, ENSXETG00000003661.1
OG0001877	XP_015673484.1, XP_029140319.1	ENSXETG00000002203.1
OG0001878	XP_015680094.1, XP_015687723.1	ENSXETG00000003527.1
OG0001879	XP_015666378.1, XP_015666380.1	ENSXETG00000000636.1
OG0001880	XP_029139255.1, XP_015667874.1, XP_015667875.1, XP_029139253.1, XP_029139254.1, XP_029139252.1	ENSXETG00000017225.1
OG0001881	XP_015666373.1	ENSXETG00000018022.1
OG0001882	XP_015687765.1	ENSXETG00000005336.1
OG0001883	XP_015687767.1	ENSXETG00000006005.1, ENSXETG00000005795.1, ENSXETG00000005855.1
OG0001884	XP_015678642.1	ENSXETG00000016880.1
OG0001885	XP_015685527.1, XP_015685487.1	ENSXETG00000019580.1
OG0001886	XP_015676064.1	ENSXETG00000000095.1
OG0001887	XP_015675910.1	ENSXETG00000018902.1
OG0001888	XP_029141490.1	ENSXETG00000017174.1
OG0001889	XP_015682094.1	ENSXETG00000011293.1
OG0001889	XP_015669651.1	ENSXETG00000014237.1
OG0001890	XP_015672389.1	ENSXETG00000003772.1
OG0001891	XP_015683011.1, XP_015665927.1, XP_015665928.1	ENSXETG00000017086.1
OG0001892	XP_015677037.1	ENSXETG00000008745.1
OG0001893	XP_015680169.1, XP_015665922.1, XP_015665920.1	ENSXETG00000021364.1
OG0001894	XP_015685376.1	ENSXETG00000018768.1
OG0001895	XP_015667543.1, XP_015667542.1, XP_015667541.1, XP_015667538.1, XP_015667539.1	ENSXETG00000016371.1
OG0001896	XP_015674031.2	ENSXETG00000002252.1
OG0001897	XP_015675171.1, XP_015671829.1	ENSXETG00000009536.1
OG0001898	XP_015668220.1, XP_029141526.1, XP_015679504.1, XP_029141525.1, XP_015679505.1	ENSXETG00000017415.1, ENSXETG00000018641.1
OG0001899	XP_015684875.1, XP_015673625.1	ENSXETG00000001955.1
OG0001900	XP_015670231.1, XP_015670238.1	ENSXETG00000003373.1
OG0001902	XP_015678563.1, XP_029140634.1	ENSXETG00000015845.1
OG0001903	XP_015685598.1, XP_015675047.1, XP_015675039.1, XP_015675053.1	ENSXETG00000009676.1
OG0001904	XP_015670003.1, XP_015669999.1, XP_015670001.1, XP_015670002.1, XP_015670000.1	ENSXETG00000018870.1
OG0001905	XP_015676722.1	ENSXETG00000016892.1
OG0001905	XP_015670007.1	ENSXETG00000008177.1
OG0001906	XP_015670719.1	ENSXETG00000000979.1
OG0001906	XP_029139846.1	ENSXETG00000000967.1
OG0001907	XP_015671928.1	ENSXETG00000002985.1
OG0001908	XP_015670196.1	ENSXETG00000012727.1
OG0001909	XP_015674079.1	ENSXETG00000012818.1
OG0001910	XP_015675573.1	ENSXETG00000013054.1
OG0001911	XP_015685415.1	ENSXETG00000013521.1
OG0001912	XP_015674033.1, XP_015674032.1, XP_015674034.1	ENSXETG00000002260.1
OG0001913	XP_029142130.1	ENSXETG00000020877.1
OG0001913	XP_015674036.1	ENSXETG00000016950.1
OG0001914	XP_015674040.1	ENSXETG00000010134.1
OG0001915	XP_015685480.1, XP_015674049.2	ENSXETG00000021170.1
OG0001916	XP_015678498.1	ENSXETG00000017652.1
OG0001917	XP_015669961.1	ENSXETG00000003697.1
OG0001917	XP_015666518.1	ENSXETG00000020033.1
OG0001918	XP_015673514.1	ENSXETG00000017164.1
OG0001919	XP_015680582.1	ENSXETG00000014810.1
OG0001921	XP_015687769.1	ENSXETG00000004956.1
OG0001922	XP_015667422.1, XP_015667423.1, XP_015680165.1	ENSXETG00000020854.1
OG0001923	XP_015683102.1, XP_015683103.1, XP_015683094.1, XP_015683060.1, XP_015683079.1, XP_015683071.1, XP_015683086.1	ENSXETG00000004278.1
OG0001924	XP_015670590.1, XP_015674666.1	ENSXETG00000009286.1
OG0001925	XP_015667702.1	ENSXETG00000002556.1
OG0001926	XP_029139226.1	ENSXETG00000012143.1
OG0001927	XP_015679797.1	ENSXETG00000007152.1
OG0001928	XP_015675182.1	ENSXETG00000001360.1
OG0001929	XP_015677368.1	ENSXETG00000000613.1
OG0001931	XP_029140305.1	ENSXETG00000017617.1
OG0001931	XP_015682815.1	ENSXETG00000014508.1
OG0001932	XP_015675193.1, XP_015675191.1, XP_015675192.1, XP_015675189.1, XP_015675190.1	ENSXETG00000004131.1, ENSXETG00000004575.1
OG0001933	XP_015681490.1, XP_015681491.1	ENSXETG00000006324.1
OG0001934	XP_015678273.1	ENSXETG00000004910.1
OG0001935	XP_015678270.1, XP_015684134.1	ENSXETG00000018243.1
OG0001936	XP_015679684.1, XP_015679676.1	ENSXETG00000016846.1
OG0001937	XP_015672868.1	ENSXETG00000013402.1
OG0001938	XP_015678987.1, XP_015682039.1	ENSXETG00000012437.1
OG0001939	XP_015676795.1, XP_015676798.1	ENSXETG00000013821.1
OG0001940	XP_015670659.1	ENSXETG00000013811.1
OG0001941	XP_015670584.1, XP_015670586.1, XP_015670585.1, XP_015670587.1	ENSXETG00000009509.1
OG0001942	XP_015681423.1	ENSXETG00000020475.1
OG0001943	XP_015670427.1, XP_015670426.1, XP_015670425.1	ENSXETG00000020765.1
OG0001944	XP_015687539.1, XP_015684525.1	ENSXETG00000008368.1
OG0001945	XP_015683115.1	ENSXETG00000020901.1
OG0001946	XP_015679604.1	ENSXETG00000019434.1
OG0001947	XP_015673169.1, XP_015674534.1	ENSXETG00000004768.1
OG0001948	XP_029142265.1	ENSXETG00000016710.1
OG0001948	XP_029141433.1	ENSXETG00000001887.1
OG0001949	XP_015677155.1	ENSXETG00000003389.1, ENSXETG00000015943.1, ENSXETG00000019752.1, ENSXETG00000015607.1, ENSXETG00000011004.1, ENSXETG00000013896.1, ENSXETG00000005067.1, ENSXETG00000010606.1, ENSXETG00000013802.1
OG0001951	XP_029139769.1	ENSXETG00000012946.1
OG0001952	XP_015669751.1, XP_015669759.1	ENSXETG00000005796.1, ENSXETG00000002687.1
OG0001953	XP_029140227.1	ENSXETG00000013675.1
OG0001956	XP_015673393.2	ENSXETG00000011434.1
OG0001957	XP_015680330.1, XP_015680331.1, XP_015680332.1, XP_015680333.1, XP_015680334.1	ENSXETG00000015433.1
OG0001958	XP_015672692.1, XP_015672690.1, XP_015672691.1	ENSXETG00000000424.1
OG0001964	XP_015683992.1	ENSXETG00000013244.1
OG0001964	XP_015685122.1	ENSXETG00000013239.1
OG0001985	XP_015681622.1	ENSXETG00000016377.1
OG0001986	XP_015676168.1, XP_015678800.1	ENSXETG00000003118.1
OG0001988	XP_015682417.1, XP_015682177.1	ENSXETG00000017981.1
OG0001989	XP_015681057.1	ENSXETG00000008377.1
OG0001991	XP_015681297.1, XP_015681298.1, XP_015681299.1, XP_015684515.1	ENSXETG00000016918.1
OG0001992	XP_015668204.1	ENSXETG00000019508.1
OG0001993	XP_015683395.1	ENSXETG00000017035.1
OG0001994	XP_015667168.1	ENSXETG00000021195.1
OG0001995	XP_015667377.1	ENSXETG00000008171.1
OG0001996	XP_015682369.1	ENSXETG00000019773.1
OG0001997	XP_015668675.2	ENSXETG00000007691.1
OG0001998	XP_029142347.1	ENSXETG00000003510.1
OG0001999	XP_015682366.1	ENSXETG00000021028.1
OG0002000	XP_015672103.1	ENSXETG00000021144.1
OG0002000	XP_015680062.1	ENSXETG00000003213.1
OG0002002	XP_015666643.2	ENSXETG00000003920.1
OG0002002	XP_015678458.1	ENSXETG00000019230.1
OG0002003	XP_029141458.1	ENSXETG00000009473.1
OG0002004	XP_015669059.1	ENSXETG00000000366.1
OG0002005	XP_015668749.1, XP_029140335.1	ENSXETG00000011076.1
OG0002006	XP_015675087.1	ENSXETG00000017792.1
OG0002007	XP_015675519.1, XP_015682146.1	ENSXETG00000020915.1
OG0002008	XP_015672151.2	ENSXETG00000003498.1
OG0002009	XP_015669343.1, XP_029139548.1, XP_029139549.1	ENSXETG00000004280.1
OG0002010	XP_015676357.1, XP_015676355.2	ENSXETG00000007785.1, ENSXETG00000007792.1
OG0002011	XP_015673879.1, XP_015673878.1, XP_029140410.1	ENSXETG00000001006.1
OG0002012	XP_015686098.1, XP_029141528.1	ENSXETG00000009734.1
OG0002013	XP_015676259.1	ENSXETG00000002344.1
OG0002014	XP_015685429.1, XP_015681818.2	ENSXETG00000009302.1
OG0002015	XP_015682818.1	ENSXETG00000013297.1
OG0002016	XP_015674092.1	ENSXETG00000001568.1
OG0002017	XP_029142220.1	ENSXETG00000006595.1, ENSXETG00000019796.1
OG0002019	XP_015680938.1	ENSXETG00000003372.1
OG0002020	XP_015687623.1, XP_015687624.1	ENSXETG00000008508.1
OG0002020	XP_015680064.1	ENSXETG00000003199.1
OG0002021	XP_015666258.1	ENSXETG00000020646.1
OG0002022	XP_015674616.1, XP_029140549.1	ENSXETG00000014843.1
OG0002023	XP_015680322.1	ENSXETG00000001290.1, ENSXETG00000005637.1
OG0002023	XP_015667374.1	ENSXETG00000021161.1
OG0002024	XP_015669519.1, XP_029139589.1	ENSXETG00000005296.1
OG0002025	XP_029141785.1, XP_015684798.1, XP_015675820.1	ENSXETG00000016388.1
OG0002026	XP_015681878.1	ENSXETG00000010626.1, ENSXETG00000011877.1
OG0002027	XP_015679932.1, XP_015679930.1	ENSXETG00000016067.1, ENSXETG00000019430.1
OG0002028	XP_015665831.1, XP_015665830.1	ENSXETG00000015388.1, ENSXETG00000010919.1
OG0002028	XP_015676692.1	ENSXETG00000010379.1
OG0002029	XP_029140483.1, XP_015674279.1	ENSXETG00000010364.1
OG0002030	XP_015683685.1	ENSXETG00000004292.1, ENSXETG00000017814.1
OG0002031	XP_015668401.2	ENSXETG00000001297.1
OG0002032	XP_015672010.1, XP_029139039.1	ENSXETG00000016194.1
OG0002033	XP_029140454.1	ENSXETG00000001354.1
OG0002034	XP_015666242.1	ENSXETG00000020958.1
OG0002035	XP_015674716.1	ENSXETG00000019498.1
OG0002035	XP_015675793.1	ENSXETG00000007296.1
OG0002036	XP_015672061.1	ENSXETG00000008981.1
OG0002037	XP_015678479.1, XP_015672882.1	ENSXETG00000011179.1
OG0002038	XP_015681997.1, XP_015685224.1, XP_015686565.1, XP_015685588.1, XP_015671550.1, XP_015671571.1, XP_015684819.1, XP_015685335.1, XP_015671561.1, XP_015686117.1	ENSXETG00000010423.1
OG0002039	XP_015678807.1	ENSXETG00000008834.1
OG0002040	XP_029139001.1	ENSXETG00000013306.1
OG0002041	XP_015676084.1	ENSXETG00000014498.1
OG0002042	XP_015684837.2	ENSXETG00000017977.1
OG0002042	XP_015673381.1	ENSXETG00000016998.1
OG0002043	XP_015676249.1, XP_015676248.1	ENSXETG00000002527.1
OG0002044	XP_015679426.1, XP_029141508.1, XP_015686023.1	ENSXETG00000005300.1
OG0002045	XP_015675466.2, XP_015685318.1, XP_015685659.1	ENSXETG00000019289.1
OG0002046	XP_015679327.1	ENSXETG00000003820.1
OG0002046	XP_029139464.1	ENSXETG00000012214.1
OG0002047	XP_015679220.1, XP_015679217.1	ENSXETG00000014573.1
OG0002048	XP_015679749.1	ENSXETG00000012263.1
OG0002048	XP_015675873.1	ENSXETG00000002952.1
OG0002049	XP_029140542.1, XP_015674588.1	ENSXETG00000020576.1
OG0002050	XP_015687066.1, XP_015667433.1, XP_029142123.1	ENSXETG00000001868.1
OG0002051	XP_029140543.1, XP_015685997.1, XP_029141019.1	ENSXETG00000010716.1
OG0002052	XP_015684271.1	ENSXETG00000017472.1
OG0002053	XP_015674245.2	ENSXETG00000002238.1
OG0002054	XP_015683767.1, XP_015685627.1, XP_015680709.1	ENSXETG00000020060.1
OG0002055	XP_029141423.1	ENSXETG00000006010.1, ENSXETG00000016981.1
OG0002056	XP_015682374.1	ENSXETG00000005606.1
OG0002057	XP_015678938.1, XP_015678937.1, XP_015678939.1	ENSXETG00000016302.1
OG0002058	XP_015681272.1	ENSXETG00000017359.1
OG0002059	XP_015674366.1	ENSXETG00000018193.1, ENSXETG00000018738.1
OG0002060	XP_015667961.1, XP_015684666.1, XP_015679530.1	ENSXETG00000005233.1
OG0002061	XP_015673829.1	ENSXETG00000014210.1
OG0002062	XP_015683806.1, XP_029140254.1, XP_015672859.1, XP_015672891.1, XP_015680739.1	ENSXETG00000003445.1
OG0002063	XP_029139350.1	ENSXETG00000002676.1
OG0002064	XP_015678531.1	ENSXETG00000006892.1
OG0002064	XP_015677787.1	ENSXETG00000010225.1
OG0002065	XP_029142821.1, XP_029141503.1	ENSXETG00000005124.1
OG0002067	XP_015685956.1, XP_015680150.1, XP_015680151.1	ENSXETG00000005171.1, ENSXETG00000005182.1
OG0002068	XP_015667441.1	ENSXETG00000007952.1
OG0002069	XP_029140342.1	ENSXETG00000007436.1
OG0002070	XP_015683104.1, XP_015670895.1, XP_015670894.1	ENSXETG00000012948.1
OG0002071	XP_015679828.1	ENSXETG00000007212.1
OG0002071	XP_015677144.1, XP_015677147.1, XP_015677146.1	ENSXETG00000015978.1
OG0002072	XP_015682752.1, XP_015682754.1, XP_015682753.1, XP_015682755.1	ENSXETG00000005408.1
OG0002073	XP_015678660.1	ENSXETG00000013962.1
OG0002074	XP_015679933.1, XP_029138895.1, XP_015684877.1	ENSXETG00000007027.1
OG0002075	XP_015680216.1	ENSXETG00000015194.1
OG0002076	XP_015681907.1	ENSXETG00000006475.1
OG0002077	XP_015668057.1	ENSXETG00000013768.1
OG0002078	XP_015667560.1	ENSXETG00000009984.1
OG0002078	XP_015681141.1	ENSXETG00000013974.1
OG0002079	XP_015666517.1	ENSXETG00000010276.1, ENSXETG00000003370.1
OG0002080	XP_015670801.1	ENSXETG00000009942.1
OG0002081	XP_015674563.1	ENSXETG00000018227.1
OG0002082	XP_015674233.1, XP_015674231.1	ENSXETG00000017318.1
OG0002083	XP_029138979.1	ENSXETG00000018638.1
OG0002084	XP_015668361.1	ENSXETG00000016585.1
OG0002085	XP_015669134.1	ENSXETG00000014961.1
OG0002086	XP_015666504.1	ENSXETG00000006811.1, ENSXETG00000007038.1
OG0002087	XP_015683938.2, XP_015685316.1, XP_015686916.1	ENSXETG00000001755.1
OG0002088	XP_015668960.1	ENSXETG00000008869.1
OG0002089	XP_029142643.1	ENSXETG00000008913.1
OG0002090	XP_015666507.1	ENSXETG00000001249.1
OG0002091	XP_015683848.1	ENSXETG00000017649.1
OG0002092	XP_029139915.1, XP_029139917.1, XP_029139916.1, XP_015671171.1, XP_029139914.1	ENSXETG00000010627.1
OG0002093	XP_015666509.1	ENSXETG00000001488.1
OG0002094	XP_015687079.1	ENSXETG00000007180.1
OG0002095	XP_015682233.1	ENSXETG00000001284.1
OG0002095	XP_015668584.1	ENSXETG00000016345.1
OG0002096	XP_015671998.1, XP_015671996.1, XP_015671999.1	ENSXETG00000010151.1
OG0002097	XP_015683043.1, XP_015686415.1	ENSXETG00000011395.1, ENSXETG00000002509.1
OG0002098	XP_015678884.1, XP_015678887.1, XP_015678886.1, XP_015678885.1	ENSXETG00000010889.1
OG0002099	XP_029140458.1	ENSXETG00000011577.1
OG0002100	XP_015679853.1	ENSXETG00000008105.1
OG0002102	XP_029138773.1	ENSXETG00000011260.1
OG0002103	XP_015673984.1	ENSXETG00000021276.1
OG0002104	XP_015669468.1	ENSXETG00000017588.1
OG0002105	XP_015665982.1, XP_015675750.1	ENSXETG00000000466.1
OG0002105	XP_015672956.1	ENSXETG00000001910.1
OG0002106	XP_015672928.1	ENSXETG00000000261.1
OG0002107	XP_015677448.1	ENSXETG00000012467.1
OG0002108	XP_015687544.1, XP_015687542.1, XP_015687543.1	ENSXETG00000021182.1
OG0002109	XP_029142947.1, XP_029141334.1	ENSXETG00000019277.1
OG0002110	XP_015672499.1	ENSXETG00000009722.1
OG0002111	XP_015679297.1, XP_015685717.1, XP_029140292.1	ENSXETG00000018551.1
OG0002112	XP_015673031.1, XP_015682411.1	ENSXETG00000016634.1
OG0002113	XP_015679898.1, XP_015679896.1, XP_015679899.1	ENSXETG00000020275.1
OG0002114	XP_015682937.1	ENSXETG00000008686.1, ENSXETG00000010026.1
OG0002115	XP_015666767.1	ENSXETG00000018770.1
OG0002115	XP_015683532.1	ENSXETG00000002701.1
OG0002116	XP_015674253.2, XP_015680466.1, XP_015680464.1	ENSXETG00000000554.1
OG0002117	XP_015680619.1	ENSXETG00000020902.1, ENSXETG00000013698.1
OG0002118	XP_015672023.1	ENSXETG00000020333.1, ENSXETG00000013631.1
OG0002119	XP_015673946.1, XP_015673945.1, XP_015673943.1	ENSXETG00000004870.1
OG0002120	XP_015676213.1	ENSXETG00000000623.1
OG0002121	XP_015673564.1, XP_015683078.1	ENSXETG00000017594.1
OG0002123	XP_015680353.1, XP_015685975.1, XP_015679450.1	ENSXETG00000009186.1
OG0002124	XP_015676048.1, XP_015676050.1, XP_015676051.1, XP_015676049.1, XP_015676053.1	ENSXETG00000006348.1
OG0002125	XP_029141828.1	ENSXETG00000019468.1
OG0002127	XP_029139185.1, XP_029139184.1, XP_015667453.1, XP_015667452.1, XP_015667451.1	ENSXETG00000009314.1
OG0002128	XP_015668607.1, XP_015668610.1, XP_015668609.1, XP_015668606.1	ENSXETG00000014340.1
OG0002129	XP_015677875.1, XP_015677876.1	ENSXETG00000000333.1
OG0002130	XP_015683122.1, XP_015683121.1, XP_029142314.1, XP_015683124.1, XP_029142628.1, XP_029142315.1, XP_015683120.1	ENSXETG00000001442.1
OG0002131	XP_015682619.2	ENSXETG00000003332.1, ENSXETG00000016447.1, ENSXETG00000015108.1, ENSXETG00000016463.1, ENSXETG00000011892.1
OG0002132	XP_015673629.1	ENSXETG00000001949.1
OG0002132	XP_015674446.1	ENSXETG00000015986.1
OG0002133	XP_015672265.1	ENSXETG00000014104.1
OG0002134	XP_015677203.1	ENSXETG00000013550.1
OG0002135	XP_015682196.1, XP_015682197.1, XP_015682200.1, XP_015682198.1, XP_015682199.1, XP_015682195.1	ENSXETG00000007323.1
OG0002136	XP_015678925.1, XP_015666977.1, XP_015666976.1, XP_015666974.1, XP_015666975.1	ENSXETG00000014218.1
OG0002137	XP_015669305.1, XP_015669307.1, XP_015669304.1, XP_015669306.1	ENSXETG00000016864.1
OG0002138	XP_029139742.1, XP_029139741.1, XP_015670183.1, XP_015670185.1	ENSXETG00000020871.1
OG0002139	XP_015667502.1, XP_015667503.1	ENSXETG00000007262.1
OG0002140	XP_015683243.1	ENSXETG00000017969.1
OG0002141	XP_015674290.1, XP_015674288.1	ENSXETG00000016762.1
OG0002142	XP_029139580.1	ENSXETG00000002688.1
OG0002143	XP_029140428.1	ENSXETG00000011930.1
OG0002144	XP_029142308.1	ENSXETG00000010619.1
OG0002145	XP_015676589.1	ENSXETG00000018968.1
OG0002146	XP_015682290.1, XP_015676765.1, XP_015676766.1	ENSXETG00000013761.1
OG0002147	XP_015686713.1, XP_015676596.1	ENSXETG00000000427.1
OG0002148	XP_015679442.1, XP_015686660.1	ENSXETG00000018177.1
OG0002148	XP_015667844.1	ENSXETG00000010453.1
OG0002149	XP_029141936.1, XP_015681415.1, XP_015681416.1	ENSXETG00000019820.1
OG0002150	XP_015678755.1	ENSXETG00000018811.1, ENSXETG00000010435.1
OG0002151	XP_015685548.1, XP_015683810.1, XP_015684723.1	ENSXETG00000001487.1
OG0002152	XP_015682127.1, XP_015682479.1	ENSXETG00000004044.1
OG0002153	XP_015682478.1	ENSXETG00000004117.1
OG0002154	XP_015681617.1	ENSXETG00000010554.1
OG0002154	XP_029143149.1	ENSXETG00000011952.1
OG0002155	XP_015677241.1, XP_029141992.1	ENSXETG00000007327.1, ENSXETG00000014072.1
OG0002156	XP_015683775.1	ENSXETG00000006484.1
OG0002157	XP_015677529.1, XP_015677528.1	ENSXETG00000001948.1, ENSXETG00000001981.1, ENSXETG00000001967.1
OG0002158	XP_015666921.1, XP_015666920.1, XP_015671169.1, XP_015683619.1	ENSXETG00000007035.1
OG0002159	XP_015670234.1	ENSXETG00000012074.1
OG0002160	XP_029138850.1, XP_015682031.2	ENSXETG00000018004.1
OG0002161	XP_015687509.1	ENSXETG00000014389.1
OG0002163	XP_029141255.1, XP_015684911.1, XP_015686224.1	ENSXETG00000004971.1
OG0002164	XP_029141461.1	ENSXETG00000002806.1
OG0002165	XP_015681216.1, XP_015671573.1, XP_015671574.1	ENSXETG00000008876.1
OG0002166	XP_015666072.1, XP_015666070.1, XP_015666073.1, XP_015666071.1	ENSXETG00000005374.1
OG0002167	XP_015678759.1	ENSXETG00000012554.1, ENSXETG00000004481.1
OG0002168	XP_015672732.1, XP_015686529.1	ENSXETG00000003073.1
OG0002169	XP_015667248.1, XP_015667246.1, XP_015667247.1	ENSXETG00000007861.1
OG0002170	XP_015681659.1	ENSXETG00000012883.1, ENSXETG00000007851.1
OG0002171	XP_015681661.1	ENSXETG00000007789.1, ENSXETG00000007796.1, ENSXETG00000007799.1
OG0002172	XP_015668318.1	ENSXETG00000020670.1
OG0002173	XP_015674765.1, XP_015672991.1, XP_015672990.1	ENSXETG00000007163.1
OG0002174	XP_015687293.1, XP_015687302.1, XP_015687285.1, XP_015687276.1, XP_015687268.1	ENSXETG00000011613.1
OG0002175	XP_015679734.1	ENSXETG00000002622.1
OG0002176	XP_015671655.1, XP_015671653.1, XP_015671650.1, XP_015671652.1, XP_015671654.1	ENSXETG00000002813.1
OG0002177	XP_015672202.1	ENSXETG00000001818.1
OG0002178	XP_029139528.1, XP_015669217.1, XP_029139527.1, XP_029139529.1, XP_015669216.1	ENSXETG00000010460.1
OG0002179	XP_015667639.1, XP_015687049.1	ENSXETG00000002233.1
OG0002180	XP_015669092.2	ENSXETG00000015318.1
OG0002181	XP_015669214.2	ENSXETG00000002455.1
OG0002181	XP_029139521.1, XP_015685448.1	ENSXETG00000002445.1
OG0002182	XP_015669680.1, XP_015669679.1	ENSXETG00000015640.1
OG0002183	XP_015680452.1	ENSXETG00000006888.1
OG0002183	XP_029139305.1	ENSXETG00000012973.1
OG0002184	XP_015666831.1, XP_015666832.1, XP_029139040.1	ENSXETG00000019556.1
OG0002185	XP_015673602.1, XP_015673601.1, XP_015673600.1	ENSXETG00000003231.1
OG0002186	XP_015687697.1, XP_015681046.1	ENSXETG00000011355.1
OG0002187	XP_029140321.1, XP_015673363.1, XP_015673366.1, XP_015673365.1, XP_015673364.1, XP_029140320.1	ENSXETG00000009407.1
OG0002188	XP_015666388.1, XP_015666389.1	ENSXETG00000001627.1
OG0002189	XP_015673286.1, XP_015673285.1	ENSXETG00000011972.1
OG0002190	XP_015673074.1, XP_015673049.1, XP_015673058.1, XP_015673066.1	ENSXETG00000020285.1
OG0002191	XP_015676274.1	ENSXETG00000014030.1
OG0002192	XP_015666539.1	ENSXETG00000004826.1, ENSXETG00000004820.1, ENSXETG00000002514.1
OG0002193	XP_015687561.1	ENSXETG00000008053.1
OG0002193	XP_015676178.1	ENSXETG00000002100.1
OG0002194	XP_015667939.1, XP_015667940.1, XP_015667941.1, XP_015667942.1	ENSXETG00000005970.1
OG0002195	XP_015683424.1, XP_015675775.1, XP_029138882.1	ENSXETG00000009335.1
OG0002196	XP_015677735.1	ENSXETG00000020803.1
OG0002197	XP_015686073.1, XP_015670588.1	ENSXETG00000009416.1
OG0002197	XP_015677786.1	ENSXETG00000017428.1
OG0002198	XP_015674802.1	ENSXETG00000003985.1
OG0002199	XP_015672978.1	ENSXETG00000006350.1
OG0002200	XP_015685084.1, XP_015685581.1	ENSXETG00000017701.1
