Orthogroup	P_Mucros.pep	P_troglodytes.pep
OG0000489	XP_029139993.1	ENSPTRG00000000025.7
OG0000489	XP_015680138.1	ENSPTRG00000008665.5
OG0000489	XP_029141578.1	ENSPTRG00000015681.7
OG0000491	XP_015681995.1	ENSPTRG00000015279.3
OG0000491	XP_015671494.1, XP_015671495.1	ENSPTRG00000049553.1
OG0000492	XP_015686288.1	ENSPTRG00000000581.7
OG0000492	XP_029141230.1	ENSPTRG00000030551.4
OG0000493	XP_015677318.1	ENSPTRG00000009642.6
OG0000493	XP_029140315.1, XP_015673322.1	ENSPTRG00000045434.1
OG0000495	XP_015668918.2	ENSPTRG00000017654.5
OG0000495	XP_015672327.1, XP_015672328.1, XP_015684992.1, XP_015686397.1	ENSPTRG00000013364.6
OG0000496	XP_029143072.1	ENSPTRG00000007062.5
OG0000498	XP_015680521.1	ENSPTRG00000052662.1
OG0000498	XP_015672404.1	ENSPTRG00000002133.5
OG0000498	XP_015676484.1	ENSPTRG00000043557.1
OG0000499	XP_015678387.1, XP_015678388.1, XP_015678389.1	ENSPTRG00000043738.1, ENSPTRG00000009492.5
OG0000501	XP_015673407.2	ENSPTRG00000044884.1, ENSPTRG00000052101.1, ENSPTRG00000052003.1, ENSPTRG00000048458.1, ENSPTRG00000052569.1, ENSPTRG00000019660.6
OG0000501	XP_015677383.1, XP_015677382.1	ENSPTRG00000014908.5
OG0000502	XP_029140957.1	ENSPTRG00000021230.6
OG0000502	XP_029138797.1	ENSPTRG00000010643.5
OG0000503	XP_015678787.1	ENSPTRG00000009052.6
OG0000503	XP_029139940.1	ENSPTRG00000005420.6
OG0000504	XP_015682319.1	ENSPTRG00000051913.1, ENSPTRG00000043198.1, ENSPTRG00000043884.1, ENSPTRG00000029310.4, ENSPTRG00000047886.1, ENSPTRG00000044655.1, ENSPTRG00000048979.1, ENSPTRG00000050173.1, ENSPTRG00000049410.1, ENSPTRG00000049514.1, ENSPTRG00000051833.1
OG0000505	XP_015670868.1	ENSPTRG00000003457.5
OG0000505	XP_015665631.1	ENSPTRG00000011278.5
OG0000505	XP_015667533.1	ENSPTRG00000005262.5
OG0000506	XP_015678099.1	ENSPTRG00000023622.5
OG0000506	XP_015669731.1, XP_015669732.1, XP_015669733.1, XP_015684043.1	ENSPTRG00000006566.6
OG0000508	XP_015669848.1	ENSPTRG00000012538.4
OG0000508	XP_015670865.1	ENSPTRG00000002341.3
OG0000509	XP_015678255.2, XP_029142877.1, XP_015681319.1	ENSPTRG00000002700.6
OG0000510	XP_015675216.1	ENSPTRG00000003967.7
OG0000510	XP_015665836.1	ENSPTRG00000011222.4
OG0000511	XP_015670178.1	ENSPTRG00000017739.7
OG0000511	XP_015673071.1, XP_015673069.1, XP_015673070.1	ENSPTRG00000008244.3
OG0000512	XP_015681685.1	ENSPTRG00000010689.5
OG0000512	XP_015681523.1	ENSPTRG00000001392.7
OG0000512	XP_015681710.1	ENSPTRG00000017144.5
OG0000513	XP_015667771.1, XP_015667772.1	ENSPTRG00000006818.4
OG0000513	XP_015687612.1, XP_015687613.1, XP_029143166.1, XP_029143167.1	ENSPTRG00000017465.7
OG0000514	XP_015666978.1	ENSPTRG00000002230.5
OG0000514	XP_015687334.1	ENSPTRG00000004938.5
OG0000515	XP_015679541.1	ENSPTRG00000043934.1, ENSPTRG00000006736.6
OG0000515	XP_015680795.1	ENSPTRG00000018217.6, ENSPTRG00000048010.1, ENSPTRG00000042951.1, ENSPTRG00000045702.1
OG0000516	XP_029142182.1	ENSPTRG00000043680.1
OG0000516	XP_015668315.1, XP_015668314.1	ENSPTRG00000052240.1, ENSPTRG00000043964.1
OG0000517	XP_015681345.1	ENSPTRG00000004823.6
OG0000517	XP_015687157.1	ENSPTRG00000018110.4
OG0000517	XP_029140669.1	ENSPTRG00000014591.6
OG0000518	XP_015668027.1	ENSPTRG00000000693.6
OG0000519	XP_029140821.1	ENSPTRG00000005145.6
OG0000519	XP_015682656.1	ENSPTRG00000019876.6
OG0000520	XP_015670750.1	ENSPTRG00000043525.1, ENSPTRG00000017356.7
OG0000521	XP_029139951.1, XP_015671350.1, XP_029139952.1	ENSPTRG00000015014.4, ENSPTRG00000015015.5
OG0000522	XP_015673909.1, XP_015673902.2	ENSPTRG00000034260.3
OG0000523	XP_015673969.1, XP_015673968.1	ENSPTRG00000024122.5, ENSPTRG00000046054.1, ENSPTRG00000014563.7
OG0000524	XP_015686789.1, XP_015686709.1, XP_015686910.1	ENSPTRG00000003250.4
OG0000525	XP_015676307.1, XP_015676306.1, XP_015676315.2, XP_015676314.1, XP_015676318.2, XP_015676316.1, XP_015671097.1, XP_015671100.1, XP_015676325.1, XP_015671098.1, XP_015671101.1, XP_015671102.1, XP_015676326.1, XP_015676328.1, XP_015676329.1, XP_015676327.1, XP_015676310.1, XP_015676311.1, XP_015676308.1	ENSPTRG00000042253.2
OG0000533	XP_015678798.1	ENSPTRG00000006361.5
OG0000533	XP_015669140.1	ENSPTRG00000002027.3
OG0000533	XP_015683615.1	ENSPTRG00000003916.4
OG0000535	XP_015682606.1, XP_015683942.1	ENSPTRG00000046743.1
OG0000535	XP_029140654.1	ENSPTRG00000033774.3
OG0000536	XP_015678146.1	ENSPTRG00000050182.1
OG0000536	XP_029140325.1	ENSPTRG00000047768.1, ENSPTRG00000014541.7
OG0000537	XP_029140875.1	ENSPTRG00000007278.7
OG0000538	XP_015682911.1, XP_029142808.1, XP_029142278.1	ENSPTRG00000014880.4
OG0000539	XP_015684476.1, XP_015685423.1	ENSPTRG00000043137.1, ENSPTRG00000048485.1, ENSPTRG00000052859.1, ENSPTRG00000050870.1, ENSPTRG00000052178.1, ENSPTRG00000014802.6
OG0000540	XP_015672537.1, XP_029140185.1, XP_015665689.1	ENSPTRG00000023679.3
OG0000541	XP_029140230.1	ENSPTRG00000007418.7
OG0000541	XP_029141480.1, XP_015679292.1	ENSPTRG00000021064.6
OG0000542	XP_015667384.1	ENSPTRG00000047384.1, ENSPTRG00000007219.6
OG0000543	XP_029142592.1	ENSPTRG00000015750.5
OG0000543	XP_029142593.1	ENSPTRG00000015749.5
OG0000544	XP_015682901.1, XP_015682902.1, XP_015682900.1	ENSPTRG00000000298.7
OG0000544	XP_015679750.1	ENSPTRG00000015687.6
OG0000545	XP_015685360.1	ENSPTRG00000004164.3, ENSPTRG00000046982.1, ENSPTRG00000048371.1, ENSPTRG00000049408.1
OG0000545	XP_029138772.1	ENSPTRG00000022012.3
OG0000546	XP_015668235.1	ENSPTRG00000000098.6
OG0000547	XP_029142168.1, XP_029141857.1	ENSPTRG00000008042.7, ENSPTRG00000008043.5, ENSPTRG00000008045.5
OG0000548	XP_015687960.1, XP_015687961.1	ENSPTRG00000049750.1, ENSPTRG00000052216.1
OG0000549	XP_015684259.1	ENSPTRG00000000146.6
OG0000549	XP_029142605.1	ENSPTRG00000000147.6, ENSPTRG00000000148.5
OG0000550	XP_015686849.2	ENSPTRG00000042899.1
OG0000550	XP_015686704.1	ENSPTRG00000048108.1
OG0000551	XP_015681073.1, XP_015686405.1, XP_015677964.1, XP_015677963.1	ENSPTRG00000015714.6
OG0000552	XP_015670932.1	ENSPTRG00000050600.1
OG0000552	XP_015669019.1	ENSPTRG00000049204.1
OG0000553	XP_015668789.1, XP_029139438.1, XP_015668765.2	ENSPTRG00000010546.5
OG0000554	XP_015675980.1	ENSPTRG00000012919.5
OG0000554	XP_015676131.1	ENSPTRG00000005153.4
OG0000555	XP_015684026.1	ENSPTRG00000021296.6
OG0000555	XP_015674005.1	ENSPTRG00000001712.3
OG0000556	XP_015673002.1, XP_015672999.1, XP_015673001.1, XP_015673000.1	ENSPTRG00000009796.6
OG0000556	XP_015672741.1	ENSPTRG00000014365.6
OG0000557	XP_029140264.1	ENSPTRG00000014218.7, ENSPTRG00000048937.1
OG0000558	XP_015678274.1	ENSPTRG00000003957.5
OG0000559	XP_015685242.1, XP_015669836.1	ENSPTRG00000012536.7
OG0000560	XP_015685362.1, XP_015685512.1	ENSPTRG00000040434.2, ENSPTRG00000005532.2
OG0000560	XP_015681126.1, XP_015682361.1	ENSPTRG00000008046.4
OG0000561	XP_015681703.1	ENSPTRG00000005727.6
OG0000563	XP_029138781.1	ENSPTRG00000022333.6
OG0000563	XP_015684336.1	ENSPTRG00000006047.5
OG0000564	XP_015675641.1, XP_015675639.1, XP_015675640.1	ENSPTRG00000020251.6
OG0000564	XP_015682845.1	ENSPTRG00000013769.6
OG0000565	XP_015679170.1	ENSPTRG00000015532.4
OG0000565	XP_015675220.1	ENSPTRG00000008094.6
OG0000566	XP_015669786.2	ENSPTRG00000002064.5
OG0000566	XP_015687790.1	ENSPTRG00000009321.4
OG0000567	XP_015672209.1	ENSPTRG00000045605.1, ENSPTRG00000047294.1, ENSPTRG00000042351.2, ENSPTRG00000049360.1, ENSPTRG00000049504.1
OG0000567	XP_015671735.1	ENSPTRG00000007617.5
OG0000568	XP_015682194.1	ENSPTRG00000017461.3
OG0000569	XP_015669323.2	ENSPTRG00000019972.5
OG0000569	XP_015678172.1	ENSPTRG00000002749.5
OG0000570	XP_015687300.1	ENSPTRG00000016664.5
OG0000571	XP_015678513.1	ENSPTRG00000002738.6
OG0000571	XP_015680705.1	ENSPTRG00000013211.6
OG0000571	XP_015677471.1	ENSPTRG00000017509.5
OG0000572	XP_015669412.1	ENSPTRG00000015645.6
OG0000572	XP_015680228.1	ENSPTRG00000000159.6
OG0000573	XP_015677939.1	ENSPTRG00000017208.5
OG0000573	XP_015680376.1, XP_015680377.1	ENSPTRG00000023156.4
OG0000574	XP_029142654.1	ENSPTRG00000003403.7
OG0000574	XP_029142594.1	ENSPTRG00000004764.7
OG0000575	XP_015678548.1, XP_015666005.1	ENSPTRG00000007988.5
OG0000576	XP_015665961.1	ENSPTRG00000009370.3
OG0000576	XP_015667097.1, XP_015667096.1	ENSPTRG00000019406.5, ENSPTRG00000019407.3
OG0000577	XP_015684650.1, XP_015684651.1	ENSPTRG00000019449.5
OG0000577	XP_015684647.1	ENSPTRG00000050251.1, ENSPTRG00000051667.1, ENSPTRG00000033819.3
OG0000578	XP_015666443.1, XP_015685467.1	ENSPTRG00000043910.1, ENSPTRG00000011442.4
OG0000579	XP_029139653.1, XP_029139654.1	ENSPTRG00000015386.6, ENSPTRG00000030122.4
OG0000580	XP_015673342.1, XP_015673338.1, XP_015673341.1, XP_015673340.1	ENSPTRG00000012969.6
OG0000580	XP_015685388.1, XP_015685850.1	ENSPTRG00000000253.7
OG0000581	XP_029143213.1, XP_015687993.1	ENSPTRG00000044005.1
OG0000581	XP_015676874.1, XP_015676873.1	ENSPTRG00000040942.2
OG0000581	XP_015684084.1	ENSPTRG00000030045.4
OG0000582	XP_015678285.1, XP_015678286.1, XP_015678289.1, XP_015678288.1, XP_015678287.1	ENSPTRG00000023130.5
OG0000583	XP_015667378.1, XP_015667379.1	ENSPTRG00000007199.3
OG0000583	XP_015666678.1, XP_015666667.1	ENSPTRG00000043695.1
OG0000584	XP_015686865.1	ENSPTRG00000011933.6
OG0000584	XP_015682174.1	ENSPTRG00000006638.6, ENSPTRG00000042725.1
OG0000585	XP_015686217.1, XP_015677691.1, XP_015677692.1, XP_015677694.1	ENSPTRG00000006549.5
OG0000585	XP_015687237.1, XP_015669176.1	ENSPTRG00000047166.1
OG0000586	XP_015677690.2	ENSPTRG00000006545.6
OG0000586	XP_015673452.1, XP_015673445.1, XP_015673435.1	ENSPTRG00000043213.1
OG0000587	XP_015671425.1, XP_029139965.1, XP_029139967.1, XP_029141207.1, XP_029139969.1, XP_015685005.1	ENSPTRG00000006967.6
OG0000589	XP_015673437.2, XP_015673431.1, XP_015673433.1, XP_015673430.1, XP_015673432.1, XP_029140329.1, XP_015673442.1, XP_015673439.1, XP_015673443.1, XP_015673441.1, XP_015673440.1, XP_015673429.2, XP_015673436.1, XP_015673434.1, XP_015673438.1	ENSPTRG00000011861.5
OG0000592	XP_015672354.1, XP_015669537.2	ENSPTRG00000023535.3
OG0000592	XP_015683290.1	ENSPTRG00000003214.5, ENSPTRG00000046060.1
OG0000594	XP_029141217.1	ENSPTRG00000003608.2, ENSPTRG00000003610.6
OG0000601	XP_015670709.1	ENSPTRG00000002979.7
OG0000601	XP_015682301.1	ENSPTRG00000020039.7
OG0000602	XP_015685296.1, XP_015675884.1	ENSPTRG00000017589.4
OG0000602	XP_015675878.1	ENSPTRG00000017590.6
OG0000603	XP_029139948.1	ENSPTRG00000020917.6
OG0000603	XP_015666519.1	ENSPTRG00000007140.5
OG0000604	XP_029139053.1	ENSPTRG00000031120.3
OG0000604	XP_015679555.1, XP_015679554.1	ENSPTRG00000052729.1
OG0000605	XP_015673760.1	ENSPTRG00000005029.4
OG0000605	XP_015681199.1, XP_015666106.1	ENSPTRG00000049485.1, ENSPTRG00000047890.1
OG0000606	XP_015678942.1	ENSPTRG00000049896.1, ENSPTRG00000048515.1, ENSPTRG00000045939.1, ENSPTRG00000044433.1, ENSPTRG00000002807.4
OG0000606	XP_015670061.1	ENSPTRG00000051032.1, ENSPTRG00000043134.1
OG0000607	XP_029140223.1	ENSPTRG00000009449.6, ENSPTRG00000009446.5
OG0000607	XP_015672685.1	ENSPTRG00000009448.5
OG0000608	XP_015675134.1	ENSPTRG00000049841.1, ENSPTRG00000043410.1
OG0000608	XP_015675642.1	ENSPTRG00000043681.1, ENSPTRG00000039066.2, ENSPTRG00000052737.1
OG0000610	XP_015669554.1	ENSPTRG00000047558.1, ENSPTRG00000052660.1, ENSPTRG00000042979.1, ENSPTRG00000048520.1, ENSPTRG00000024031.4, ENSPTRG00000023445.6
OG0000611	XP_015676461.1, XP_015676452.1	ENSPTRG00000007281.4, ENSPTRG00000007280.5
OG0000612	XP_015666986.1	ENSPTRG00000017270.4
OG0000612	XP_015675038.1, XP_015675036.1, XP_015675035.1, XP_015675037.1	ENSPTRG00000016579.6
OG0000613	XP_015680902.1	ENSPTRG00000009444.5
OG0000613	XP_015678097.1	ENSPTRG00000005536.4, ENSPTRG00000030689.2
OG0000614	XP_015687588.1	ENSPTRG00000021425.7, ENSPTRG00000048440.1
OG0000614	XP_015671209.1	ENSPTRG00000010676.6
OG0000615	XP_015667132.1	ENSPTRG00000050769.1, ENSPTRG00000051660.1, ENSPTRG00000052184.1, ENSPTRG00000043223.1, ENSPTRG00000049405.1, ENSPTRG00000050153.1
OG0000616	XP_015685140.1	ENSPTRG00000013945.6
OG0000616	XP_015679619.1, XP_015685531.1, XP_015681671.1	ENSPTRG00000004437.6
OG0000617	XP_015671395.1	ENSPTRG00000023599.5
OG0000617	XP_015683914.1	ENSPTRG00000041138.2, ENSPTRG00000045370.1, ENSPTRG00000051883.1, ENSPTRG00000003827.5, ENSPTRG00000047650.1
OG0000618	XP_015682686.1	ENSPTRG00000018612.3
OG0000618	XP_015686856.1, XP_029142230.1	ENSPTRG00000029408.2
OG0000620	XP_015666503.1	ENSPTRG00000007124.4
OG0000620	XP_015665521.1	ENSPTRG00000010428.5
OG0000622	XP_015672294.1	ENSPTRG00000050701.1
OG0000622	XP_015683958.1	ENSPTRG00000022061.6
OG0000623	XP_029141988.1	ENSPTRG00000021377.7
OG0000623	XP_015670146.1	ENSPTRG00000001612.5
OG0000624	XP_015677540.1, XP_015677557.1, XP_015677549.1	ENSPTRG00000012521.6
OG0000624	XP_015667512.1, XP_015667511.1	ENSPTRG00000002408.4
OG0000625	XP_015674915.1	ENSPTRG00000047627.1
OG0000625	XP_015686655.2	ENSPTRG00000030580.3
OG0000626	XP_015677050.1	ENSPTRG00000020517.5
OG0000626	XP_029139307.1	ENSPTRG00000019945.6
OG0000627	XP_015685095.1, XP_015679752.1	ENSPTRG00000048560.1
OG0000628	XP_029142715.1	ENSPTRG00000045927.1, ENSPTRG00000024181.5, ENSPTRG00000041544.2, ENSPTRG00000051194.1, ENSPTRG00000049226.1
OG0000629	XP_029140045.1	ENSPTRG00000020481.6
OG0000629	XP_015683407.1, XP_015685090.1	ENSPTRG00000050890.1, ENSPTRG00000011647.6, ENSPTRG00000042985.1
OG0000630	XP_015678771.1	ENSPTRG00000011649.4
OG0000630	XP_015667161.1	ENSPTRG00000000494.4
OG0000630	XP_015671858.1	ENSPTRG00000052014.1
OG0000631	XP_015682873.1	ENSPTRG00000010366.5
OG0000631	XP_015679389.1, XP_015680675.2	ENSPTRG00000001026.5
OG0000632	XP_015675308.1	ENSPTRG00000017969.7
OG0000632	XP_015675830.1	ENSPTRG00000021481.6
OG0000633	XP_015666184.1, XP_015666183.1	ENSPTRG00000010192.6
OG0000633	XP_015685093.1, XP_015685082.1, XP_015685076.1	ENSPTRG00000021864.6, ENSPTRG00000044048.1
OG0000634	XP_015677003.1	ENSPTRG00000041593.2, ENSPTRG00000022116.6, ENSPTRG00000048802.1, ENSPTRG00000003791.4
OG0000635	XP_015667095.1, XP_029142887.1	ENSPTRG00000019405.6
OG0000636	XP_015666866.1	ENSPTRG00000041448.2
OG0000636	XP_029143003.1, XP_015673604.2	ENSPTRG00000029720.3
OG0000637	XP_015682607.1, XP_015681742.1	ENSPTRG00000013261.7
OG0000638	XP_015679656.1	ENSPTRG00000048534.1, ENSPTRG00000051293.1, ENSPTRG00000048439.1, ENSPTRG00000017235.6
OG0000638	XP_029142427.1	ENSPTRG00000028515.4, ENSPTRG00000050280.1
OG0000639	XP_015677128.1	ENSPTRG00000001102.7
OG0000639	XP_015667955.1, XP_029139267.1, XP_029139266.1, XP_015667953.1, XP_015667951.1, XP_015667954.1	ENSPTRG00000005197.4
OG0000640	XP_015687691.1	ENSPTRG00000017463.3, ENSPTRG00000005338.4, ENSPTRG00000001964.5
OG0000641	XP_015680117.1	ENSPTRG00000010294.4, ENSPTRG00000042432.2, ENSPTRG00000050269.1
OG0000641	XP_015667403.1	ENSPTRG00000043672.1
OG0000642	XP_029140899.1	ENSPTRG00000018129.7
OG0000642	XP_015668484.1	ENSPTRG00000016734.4
OG0000643	XP_015687023.1	ENSPTRG00000006773.6
OG0000643	XP_015682293.1, XP_015682295.1	ENSPTRG00000044720.1, ENSPTRG00000002178.5
OG0000644	XP_015678312.1, XP_015678311.1	ENSPTRG00000003805.5, ENSPTRG00000003806.6
OG0000645	XP_015687579.1	ENSPTRG00000049607.1, ENSPTRG00000041962.2
OG0000645	XP_015670775.1	ENSPTRG00000030742.4
OG0000646	XP_029139811.1	ENSPTRG00000009629.5
OG0000646	XP_015687420.1	ENSPTRG00000014325.6
OG0000647	XP_015683966.1	ENSPTRG00000003947.6
OG0000648	XP_015677564.1	ENSPTRG00000028382.4, ENSPTRG00000048454.1, ENSPTRG00000019786.7, ENSPTRG00000050880.1, ENSPTRG00000015590.6
OG0000649	XP_029140014.1	ENSPTRG00000012502.6
OG0000649	XP_015667313.1	ENSPTRG00000018936.5
OG0000650	XP_015666441.1, XP_015685465.1	ENSPTRG00000028890.5, ENSPTRG00000045461.1
OG0000651	XP_015669649.1	ENSPTRG00000015440.4
OG0000652	XP_015687481.1	ENSPTRG00000014323.3
OG0000652	XP_015687402.1, XP_015687410.1, XP_015687394.1, XP_015687386.1	ENSPTRG00000014324.6
OG0000653	XP_015675201.2	ENSPTRG00000009671.3
OG0000653	XP_015674755.1, XP_015672773.2	ENSPTRG00000014349.3
OG0000654	XP_029143198.1, XP_029141069.1, XP_015681557.1	ENSPTRG00000018009.5
OG0000655	XP_029138795.1	ENSPTRG00000028239.2, ENSPTRG00000047833.1, ENSPTRG00000022110.5, ENSPTRG00000019546.5
OG0000656	XP_015671668.1	ENSPTRG00000005775.7
OG0000656	XP_015671660.1	ENSPTRG00000023095.5
OG0000657	XP_015672315.1	ENSPTRG00000005711.5
OG0000658	XP_015668879.1, XP_015668878.1	ENSPTRG00000001355.6
OG0000658	XP_015678195.1	ENSPTRG00000017006.5
OG0000659	XP_015672443.1	ENSPTRG00000052864.1, ENSPTRG00000047296.1, ENSPTRG00000014854.4, ENSPTRG00000012455.4
OG0000660	XP_015677928.1	ENSPTRG00000013252.4
OG0000660	XP_015678979.1, XP_015678980.1, XP_015678978.1	ENSPTRG00000039900.2, ENSPTRG00000052248.1
OG0000661	XP_015683008.1	ENSPTRG00000006423.5
OG0000661	XP_015672701.1	ENSPTRG00000001946.5
OG0000662	XP_015666217.1	ENSPTRG00000011994.6
OG0000662	XP_015666218.1	ENSPTRG00000006901.7
OG0000663	XP_015670598.1, XP_015670597.1	ENSPTRG00000048840.1, ENSPTRG00000051137.1, ENSPTRG00000050829.1
OG0000664	XP_015674622.1, XP_015687342.1, XP_015687343.1	ENSPTRG00000004925.5
OG0000664	XP_015667916.1	ENSPTRG00000043993.1
OG0000666	XP_015675208.1	ENSPTRG00000003968.5
OG0000667	XP_015681106.1	ENSPTRG00000017605.4
OG0000667	XP_015676285.1, XP_015676284.1	ENSPTRG00000012792.6
OG0000668	XP_015675286.1	ENSPTRG00000017983.6
OG0000669	XP_015686340.1, XP_015681966.1	ENSPTRG00000045611.1, ENSPTRG00000044552.1, ENSPTRG00000046780.1
OG0000670	XP_015685875.1, XP_029141996.1	ENSPTRG00000031009.4, ENSPTRG00000018010.7
OG0000670	XP_015678142.1	ENSPTRG00000014264.5
OG0000683	XP_015686229.1	ENSPTRG00000013486.2
OG0000684	XP_015669189.1	ENSPTRG00000000478.3
OG0000684	XP_015673539.1	ENSPTRG00000050313.1
OG0000685	XP_015678284.1	ENSPTRG00000048408.1, ENSPTRG00000045345.1, ENSPTRG00000022841.4, ENSPTRG00000047373.1, ENSPTRG00000044294.1, ENSPTRG00000008341.4, ENSPTRG00000042763.1, ENSPTRG00000049971.1
OG0000686	XP_015682306.1	ENSPTRG00000045026.1, ENSPTRG00000019149.5
OG0000686	XP_029141303.1, XP_015678509.1	ENSPTRG00000002492.7
OG0000687	XP_015671521.1	ENSPTRG00000000034.4
OG0000688	XP_015680734.1	ENSPTRG00000048374.1
OG0000688	XP_029139880.1	ENSPTRG00000044137.1
OG0000689	XP_015669950.1	ENSPTRG00000002438.6, ENSPTRG00000052470.1, ENSPTRG00000012853.5
OG0000689	XP_015667499.1	ENSPTRG00000002421.7
OG0000690	XP_015665766.1	ENSPTRG00000016347.4
OG0000690	XP_029139432.1	ENSPTRG00000023677.5
OG0000691	XP_015669383.1	ENSPTRG00000011004.5
OG0000691	XP_015675658.1	ENSPTRG00000033741.3
OG0000692	XP_015681136.1	ENSPTRG00000002584.6
OG0000692	XP_015679745.1, XP_015679729.1, XP_015679737.1	ENSPTRG00000017244.3
OG0000693	XP_015670091.1, XP_015670090.1	ENSPTRG00000001067.7
OG0000694	XP_029140738.1	ENSPTRG00000006311.6
OG0000694	XP_015676469.1	ENSPTRG00000018124.6
OG0000695	XP_015667604.1, XP_015667603.1	ENSPTRG00000015274.6
OG0000695	XP_015680041.1, XP_015680040.1	ENSPTRG00000018687.6
OG0000696	XP_029139417.1	ENSPTRG00000008598.6
OG0000697	XP_015682407.1	ENSPTRG00000012698.6
OG0000698	XP_015680346.1, XP_015680347.1	ENSPTRG00000050307.1
OG0000698	XP_015669230.1, XP_015669229.1, XP_015669228.1	ENSPTRG00000001798.6
OG0000699	XP_015681691.1	ENSPTRG00000029182.2
OG0000699	XP_015685178.1, XP_015676528.1	ENSPTRG00000052148.1
OG0000700	XP_015683897.2	ENSPTRG00000048676.1, ENSPTRG00000048734.1, ENSPTRG00000045768.1, ENSPTRG00000043543.1, ENSPTRG00000049369.1, ENSPTRG00000042326.2, ENSPTRG00000048745.1, ENSPTRG00000044220.1, ENSPTRG00000044931.1
OG0000702	XP_015681621.1, XP_015681620.1	ENSPTRG00000021362.6
OG0000702	XP_015668604.1	ENSPTRG00000001767.6
OG0000703	XP_029142758.1	ENSPTRG00000033974.2
OG0000704	XP_029140165.1	ENSPTRG00000049008.1, ENSPTRG00000010984.5
OG0000705	XP_029142553.1	ENSPTRG00000031023.3, ENSPTRG00000020072.5, ENSPTRG00000020070.6, ENSPTRG00000020074.4
OG0000706	XP_015676226.1, XP_029140224.1	ENSPTRG00000048268.1, ENSPTRG00000004231.7, ENSPTRG00000028413.3, ENSPTRG00000004230.4, ENSPTRG00000023646.2
OG0000707	XP_015676810.1	ENSPTRG00000004472.6
OG0000707	XP_015672084.1, XP_015684109.1	ENSPTRG00000010866.6
OG0000708	XP_029141204.1, XP_029141201.1, XP_015677712.1, XP_015677705.1	ENSPTRG00000019632.6
OG0000708	XP_015675689.1	ENSPTRG00000015072.6
OG0000709	XP_015673461.1	ENSPTRG00000020054.7
OG0000709	XP_015675300.1	ENSPTRG00000016577.4
OG0000710	XP_015683742.1	ENSPTRG00000005493.3
OG0000710	XP_015682628.1	ENSPTRG00000009050.6
OG0000711	XP_015676086.1, XP_015676088.1	ENSPTRG00000049477.1, ENSPTRG00000022104.7
OG0000711	XP_015684005.1	ENSPTRG00000016041.6
OG0000712	XP_015675164.1, XP_015675160.1, XP_015675161.1	ENSPTRG00000005237.4
OG0000713	XP_029142065.1	ENSPTRG00000008720.6
OG0000714	XP_015687567.1	ENSPTRG00000013672.6
OG0000714	XP_015669747.1, XP_015669746.1, XP_015669745.1	ENSPTRG00000052052.1
OG0000715	XP_015682690.1, XP_015682688.1, XP_015682689.1	ENSPTRG00000018613.5, ENSPTRG00000018615.6, ENSPTRG00000018614.6
OG0000716	XP_015684582.1, XP_015682256.1	ENSPTRG00000004182.4, ENSPTRG00000004029.5, ENSPTRG00000045624.1, ENSPTRG00000004027.4, ENSPTRG00000004030.6
OG0000717	XP_015677791.1	ENSPTRG00000029345.2
OG0000719	XP_015675336.1, XP_029140667.1	ENSPTRG00000001461.6
OG0000719	XP_015674085.1	ENSPTRG00000007455.6
OG0000720	XP_029139913.1, XP_015671170.1, XP_029139912.1, XP_029139911.1	ENSPTRG00000000896.6
OG0000720	XP_029140530.1	ENSPTRG00000010588.6
OG0000721	XP_029140522.1	ENSPTRG00000052159.1
OG0000721	XP_015684975.1, XP_015684544.1	ENSPTRG00000021286.6
OG0000722	XP_015672742.1	ENSPTRG00000022822.4
OG0000722	XP_015674997.1	ENSPTRG00000046342.1
OG0000723	XP_015683974.1, XP_015683972.1	ENSPTRG00000009059.3
OG0000723	XP_015678138.1	ENSPTRG00000005551.7
OG0000724	XP_015668246.1	ENSPTRG00000017669.6, ENSPTRG00000017668.4, ENSPTRG00000010084.6, ENSPTRG00000046485.1
OG0000725	XP_015687747.1	ENSPTRG00000009364.5
OG0000726	XP_015673839.1	ENSPTRG00000008525.5
OG0000726	XP_015669115.2	ENSPTRG00000014262.6
OG0000727	XP_015675276.1, XP_015675278.1	ENSPTRG00000012722.4
OG0000727	XP_015667094.1	ENSPTRG00000019404.7
OG0000728	XP_029142711.1	ENSPTRG00000047761.1, ENSPTRG00000014279.6
OG0000729	XP_015686606.1, XP_015685565.1, XP_015678882.1	ENSPTRG00000014173.6
OG0000729	XP_015668005.2	ENSPTRG00000008806.3
OG0000730	XP_029139428.1	ENSPTRG00000002784.7
OG0000731	XP_015683699.1, XP_015683698.1	ENSPTRG00000004450.4
OG0000731	XP_029140755.1	ENSPTRG00000008301.7, ENSPTRG00000008298.5
OG0000732	XP_015666765.1	ENSPTRG00000002761.6
OG0000732	XP_029142151.1, XP_029142154.1, XP_029142153.1, XP_029142152.1	ENSPTRG00000012052.6
OG0000733	XP_029139272.1	ENSPTRG00000021762.4
OG0000733	XP_015679976.1	ENSPTRG00000022140.4
OG0000734	XP_015675271.2	ENSPTRG00000002904.6
OG0000734	XP_015674212.1, XP_015672006.1	ENSPTRG00000012241.6
OG0000735	XP_015684133.1	ENSPTRG00000020921.7
OG0000735	XP_015668828.1	ENSPTRG00000001359.5, ENSPTRG00000043694.1
OG0000736	XP_029140326.1	ENSPTRG00000014540.6
