Orthogroup	P_Mucros.pep	C_familiaris.pep
OG0001924	XP_015670590.1, XP_015674666.1	ENSCAFG00000014147.1, ENSCAFG00000045333.1
OG0001925	XP_015667702.1	ENSCAFG00000006117.4, ENSCAFG00000019196.4
OG0001926	XP_029139226.1	ENSCAFG00000015873.5
OG0001927	XP_015679797.1	ENSCAFG00000002317.2, ENSCAFG00000008546.3, ENSCAFG00000008550.5, ENSCAFG00000004868.5
OG0001928	XP_015675182.1	ENSCAFG00000010009.4
OG0001929	XP_015677368.1	ENSCAFG00000006539.5
OG0001930	XP_015683264.1, XP_015683192.1	ENSCAFG00000004990.4
OG0001931	XP_029140305.1	ENSCAFG00000012958.4
OG0001932	XP_015675193.1, XP_015675191.1, XP_015675192.1, XP_015675189.1, XP_015675190.1	ENSCAFG00000005043.5
OG0001933	XP_015681490.1, XP_015681491.1	ENSCAFG00000011655.4
OG0001934	XP_015678273.1	ENSCAFG00000011597.4
OG0001935	XP_015678270.1	ENSCAFG00000011264.5
OG0001936	XP_015679684.1	ENSCAFG00000000994.4
OG0001936	XP_015679676.1	ENSCAFG00000029675.2, ENSCAFG00000008345.1
OG0001937	XP_015672868.1	ENSCAFG00000003115.4
OG0001938	XP_015678987.1	ENSCAFG00000004107.5
OG0001938	XP_015682039.1	ENSCAFG00000032738.2
OG0001939	XP_015676795.1, XP_015676798.1	ENSCAFG00000003804.4
OG0001940	XP_015670659.1	ENSCAFG00000012135.4
OG0001941	XP_015670584.1, XP_015670586.1, XP_015670585.1, XP_015670587.1	ENSCAFG00000019586.4
OG0001942	XP_015681423.1	ENSCAFG00000012152.4
OG0001943	XP_015670427.1, XP_015670426.1, XP_015670425.1	ENSCAFG00000013194.5
OG0001944	XP_015687539.1, XP_015684525.1	ENSCAFG00000049487.1
OG0001945	XP_015683115.1	ENSCAFG00000000642.4
OG0001946	XP_015679604.1	ENSCAFG00000000658.4
OG0001947	XP_015673169.1	ENSCAFG00000013474.3
OG0001948	XP_029142265.1	ENSCAFG00000029923.2
OG0001948	XP_029141433.1	ENSCAFG00000031059.2
OG0001949	XP_015677155.1	ENSCAFG00000049011.1
OG0001951	XP_029139769.1	ENSCAFG00000013367.5
OG0001952	XP_015669751.1, XP_015669759.1	ENSCAFG00000000601.4
OG0001953	XP_029140227.1	ENSCAFG00000046140.1, ENSCAFG00000025572.3
OG0001956	XP_015673393.2	ENSCAFG00000000629.4
OG0001957	XP_015680330.1, XP_015680331.1	ENSCAFG00000016759.4
OG0001957	XP_015680332.1, XP_015680333.1, XP_015680334.1	ENSCAFG00000049613.1
OG0001958	XP_015672692.1, XP_015672690.1, XP_015672691.1	ENSCAFG00000010098.4
OG0001960	XP_015676150.1	ENSCAFG00000011481.3, ENSCAFG00000005582.3, ENSCAFG00000005588.3
OG0001964	XP_015683992.1, XP_015685122.1	ENSCAFG00000006432.6, ENSCAFG00000006437.4
OG0001966	XP_029142514.1, XP_029142467.1, XP_029142468.1, XP_029142513.1	ENSCAFG00000008050.3, ENSCAFG00000008052.3, ENSCAFG00000024481.2
OG0001985	XP_015681622.1	ENSCAFG00000011166.2, ENSCAFG00000020212.4
OG0001986	XP_015676168.1	ENSCAFG00000028607.2
OG0001988	XP_015682417.1, XP_015682177.1	ENSCAFG00000000554.4
OG0001989	XP_015681057.1	ENSCAFG00000014292.5, ENSCAFG00000006354.5
OG0001991	XP_015681297.1, XP_015681298.1, XP_015681299.1, XP_015684515.1	ENSCAFG00000015727.5
OG0001992	XP_015668204.1	ENSCAFG00000017270.4, ENSCAFG00000043946.1
OG0001993	XP_015683395.1	ENSCAFG00000018856.5
OG0001994	XP_015667168.1	ENSCAFG00000030867.2
OG0001995	XP_015667377.1	ENSCAFG00000011417.4, ENSCAFG00000017309.5, ENSCAFG00000010555.3, ENSCAFG00000018632.4
OG0001996	XP_015682369.1	ENSCAFG00000018760.4
OG0001997	XP_015668675.2	ENSCAFG00000015830.4, ENSCAFG00000019051.4
OG0001998	XP_029142347.1	ENSCAFG00000005864.4
OG0002000	XP_015672103.1, XP_015680062.1	ENSCAFG00000008244.3
OG0002002	XP_015666643.2, XP_015678458.1	ENSCAFG00000013957.3
OG0002003	XP_029141458.1	ENSCAFG00000023690.3
OG0002004	XP_015669059.1	ENSCAFG00000012100.4
OG0002005	XP_015668749.1	ENSCAFG00000015667.5
OG0002006	XP_015675087.1	ENSCAFG00000042471.1, ENSCAFG00000012431.4
OG0002007	XP_015675519.1, XP_015682146.1	ENSCAFG00000016602.4
OG0002008	XP_015672151.2	ENSCAFG00000013776.5, ENSCAFG00000013791.4
OG0002009	XP_015669343.1, XP_029139548.1, XP_029139549.1	ENSCAFG00000023821.4, ENSCAFG00000023820.4
OG0002011	XP_015673879.1, XP_015673878.1, XP_029140410.1	ENSCAFG00000006941.4
OG0002012	XP_029141528.1	ENSCAFG00000013614.5
OG0002013	XP_015676259.1	ENSCAFG00000015408.4
OG0002015	XP_015682818.1	ENSCAFG00000018725.4
OG0002016	XP_015674092.1	ENSCAFG00000012999.5
OG0002017	XP_029142220.1	ENSCAFG00000002756.4, ENSCAFG00000019095.4
OG0002019	XP_015680938.1	ENSCAFG00000001819.4
OG0002020	XP_015687623.1, XP_015687624.1	ENSCAFG00000015216.4
OG0002021	XP_015666258.1	ENSCAFG00000017214.4
OG0002022	XP_015674616.1	ENSCAFG00000012555.4
OG0002023	XP_015680322.1	ENSCAFG00000002785.4
OG0002024	XP_015669519.1, XP_029139589.1	ENSCAFG00000014064.4
OG0002025	XP_029141785.1, XP_015684798.1, XP_015675820.1	ENSCAFG00000019920.4
OG0002026	XP_015681878.1	ENSCAFG00000010566.4, ENSCAFG00000006773.5
OG0002027	XP_015679932.1, XP_015679930.1	ENSCAFG00000010630.5
OG0002028	XP_015676692.1	ENSCAFG00000030372.2
OG0002029	XP_029140483.1, XP_015674279.1	ENSCAFG00000017294.4
OG0002030	XP_015683685.1	ENSCAFG00000020224.4, ENSCAFG00000020333.4
OG0002031	XP_015668401.2	ENSCAFG00000012455.5
OG0002032	XP_015672010.1, XP_029139039.1	ENSCAFG00000007428.4
OG0002033	XP_029140454.1	ENSCAFG00000012508.5
OG0002034	XP_015666242.1	ENSCAFG00000013769.4
OG0002035	XP_015674716.1	ENSCAFG00000005480.4
OG0002036	XP_015672061.1	ENSCAFG00000005412.4, ENSCAFG00000044465.1
OG0002037	XP_015678479.1, XP_015672882.1	ENSCAFG00000045253.1
OG0002039	XP_015678807.1	ENSCAFG00000011267.4
OG0002040	XP_029139001.1	ENSCAFG00000007720.4
OG0002041	XP_015676084.1	ENSCAFG00000017627.6, ENSCAFG00000006114.2
OG0002042	XP_015684837.2	ENSCAFG00000016687.5
OG0002043	XP_015676249.1, XP_015676248.1	ENSCAFG00000015459.4
OG0002044	XP_015679426.1, XP_029141508.1, XP_015686023.1	ENSCAFG00000001546.4
OG0002045	XP_015675466.2, XP_015685318.1, XP_015685659.1	ENSCAFG00000004267.5
OG0002046	XP_015679327.1	ENSCAFG00000015634.5
OG0002047	XP_015679220.1, XP_015679217.1	ENSCAFG00000030892.2
OG0002048	XP_015675873.1	ENSCAFG00000015058.3
OG0002049	XP_029140542.1	ENSCAFG00000045072.1
OG0002049	XP_015674588.1	ENSCAFG00000016723.4
OG0002050	XP_015687066.1, XP_015667433.1	ENSCAFG00000019390.4
OG0002051	XP_029140543.1, XP_015685997.1, XP_029141019.1	ENSCAFG00000016758.5
OG0002052	XP_015684271.1	ENSCAFG00000047142.1, ENSCAFG00000001450.4
OG0002053	XP_015674245.2	ENSCAFG00000011804.4
OG0002054	XP_015683767.1, XP_015685627.1, XP_015680709.1	ENSCAFG00000020049.5
OG0002055	XP_029141423.1	ENSCAFG00000016793.4
OG0002056	XP_015682374.1	ENSCAFG00000014975.5
OG0002057	XP_015678938.1, XP_015678937.1, XP_015678939.1	ENSCAFG00000009087.4
OG0002060	XP_015667961.1, XP_015684666.1, XP_015679530.1	ENSCAFG00000001891.5
OG0002061	XP_015673829.1	ENSCAFG00000019236.5
OG0002062	XP_015683806.1, XP_029140254.1, XP_015672859.1, XP_015672891.1, XP_015680739.1	ENSCAFG00000005675.5
OG0002063	XP_029139350.1	ENSCAFG00000012269.5
OG0002064	XP_015678531.1	ENSCAFG00000005187.4
OG0002065	XP_029142821.1, XP_029141503.1	ENSCAFG00000001563.5
OG0002066	XP_015682142.1, XP_015682144.1	ENSCAFG00000018658.1, ENSCAFG00000019471.1
OG0002067	XP_015685956.1, XP_015680150.1, XP_015680151.1	ENSCAFG00000008181.5
OG0002068	XP_015667441.1	ENSCAFG00000019212.5
OG0002069	XP_029140342.1	ENSCAFG00000009955.4
OG0002070	XP_015670895.1, XP_015670894.1	ENSCAFG00000008481.4
OG0002072	XP_015682752.1, XP_015682754.1, XP_015682753.1, XP_015682755.1	ENSCAFG00000014268.4, ENSCAFG00000047970.1
OG0002073	XP_015678660.1	ENSCAFG00000009633.3
OG0002074	XP_029138895.1, XP_015684877.1	ENSCAFG00000017092.4
OG0002075	XP_015680216.1	ENSCAFG00000016110.5
OG0002076	XP_015681907.1	ENSCAFG00000018156.5
OG0002077	XP_015668057.1	ENSCAFG00000047557.1, ENSCAFG00000043878.1
OG0002078	XP_015681141.1	ENSCAFG00000007149.5
OG0002079	XP_015666517.1	ENSCAFG00000044891.1
OG0002080	XP_015670801.1	ENSCAFG00000048252.1
OG0002081	XP_015674563.1	ENSCAFG00000013331.4
OG0002083	XP_029138979.1	ENSCAFG00000016774.4
OG0002084	XP_015668361.1	ENSCAFG00000009276.4
OG0002085	XP_015669134.1	ENSCAFG00000012861.5
OG0002086	XP_015666504.1	ENSCAFG00000016586.4
OG0002087	XP_015683938.2, XP_015685316.1, XP_015686916.1	ENSCAFG00000014154.4
OG0002088	XP_015668960.1	ENSCAFG00000042970.1, ENSCAFG00000017901.4, ENSCAFG00000031952.2, ENSCAFG00000041508.1
OG0002089	XP_029142643.1	ENSCAFG00000019352.4
OG0002090	XP_015666507.1	ENSCAFG00000016200.5
OG0002092	XP_029139915.1, XP_029139917.1, XP_029139916.1, XP_015671171.1, XP_029139914.1	ENSCAFG00000002640.6
OG0002093	XP_015666509.1	ENSCAFG00000016112.5, ENSCAFG00000018759.5
OG0002094	XP_015687079.1	ENSCAFG00000009105.4
OG0002095	XP_015682233.1	ENSCAFG00000019916.4
OG0002096	XP_015671998.1, XP_015671996.1, XP_015671999.1	ENSCAFG00000005502.5, ENSCAFG00000007865.2
OG0002097	XP_015683043.1, XP_015686415.1	ENSCAFG00000013233.5
OG0002098	XP_015678884.1, XP_015678887.1, XP_015678886.1, XP_015678885.1	ENSCAFG00000013823.5
OG0002099	XP_029140458.1	ENSCAFG00000018270.4, ENSCAFG00000013855.4
OG0002100	XP_015679853.1	ENSCAFG00000002772.4
OG0002102	XP_029138773.1	ENSCAFG00000017043.4
OG0002103	XP_015673984.1	ENSCAFG00000008969.4
OG0002104	XP_015669468.1	ENSCAFG00000009009.4
OG0002105	XP_015672956.1	ENSCAFG00000030109.2
OG0002106	XP_015672928.1	ENSCAFG00000010494.4, ENSCAFG00000030635.2, ENSCAFG00000010227.4
OG0002107	XP_015677448.1	ENSCAFG00000009910.4
OG0002108	XP_015687544.1, XP_015687542.1, XP_015687543.1	ENSCAFG00000008408.4
OG0002109	XP_029142947.1, XP_029141334.1	ENSCAFG00000006624.4
OG0002110	XP_015672499.1	ENSCAFG00000018886.6
OG0002112	XP_015673031.1	ENSCAFG00000044046.1, ENSCAFG00000012004.3, ENSCAFG00000047452.1, ENSCAFG00000035134.2
OG0002113	XP_015679898.1, XP_015679896.1, XP_015679899.1	ENSCAFG00000007353.4
OG0002114	XP_015682937.1	ENSCAFG00000017296.5
OG0002115	XP_015666767.1	ENSCAFG00000007893.4
OG0002116	XP_015674253.2, XP_015680466.1, XP_015680464.1	ENSCAFG00000011418.4
OG0002117	XP_015680619.1	ENSCAFG00000016716.3
OG0002118	XP_015672023.1	ENSCAFG00000002387.5, ENSCAFG00000044511.1, ENSCAFG00000043201.1
OG0002119	XP_015673946.1, XP_015673945.1, XP_015673943.1	ENSCAFG00000013064.5
OG0002120	XP_015676213.1	ENSCAFG00000045519.1, ENSCAFG00000014417.2, ENSCAFG00000032648.2
OG0002121	XP_015673564.1	ENSCAFG00000009765.3
OG0002122	XP_015671942.1, XP_029140072.1, XP_029140071.1, XP_029140073.1, XP_015671941.1	ENSCAFG00000015357.5
OG0002123	XP_015680353.1, XP_015685975.1, XP_015679450.1	ENSCAFG00000012183.4
OG0002124	XP_015676048.1, XP_015676050.1, XP_015676051.1, XP_015676049.1, XP_015676053.1	ENSCAFG00000011169.5
OG0002125	XP_029141828.1	ENSCAFG00000005876.4
OG0002126	XP_029141854.1	ENSCAFG00000011938.4
OG0002127	XP_029139185.1, XP_029139184.1, XP_015667453.1, XP_015667452.1, XP_015667451.1	ENSCAFG00000019233.5
OG0002128	XP_015668607.1, XP_015668610.1, XP_015668609.1, XP_015668606.1	ENSCAFG00000013276.4
OG0002129	XP_015677875.1, XP_015677876.1	ENSCAFG00000045845.1, ENSCAFG00000031549.2
OG0002130	XP_015683122.1, XP_015683121.1, XP_029142314.1, XP_015683124.1, XP_029142628.1, XP_029142315.1, XP_015683120.1	ENSCAFG00000025252.3
OG0002131	XP_015682619.2	ENSCAFG00000016448.4
OG0002132	XP_015673629.1, XP_015674446.1	ENSCAFG00000012578.4
OG0002133	XP_015672265.1	ENSCAFG00000043716.1, ENSCAFG00000033667.2, ENSCAFG00000042536.1, ENSCAFG00000043822.1
OG0002134	XP_015677203.1	ENSCAFG00000020014.4
OG0002135	XP_015682196.1, XP_015682197.1, XP_015682200.1, XP_015682198.1, XP_015682199.1, XP_015682195.1	ENSCAFG00000017576.4
OG0002136	XP_015678925.1, XP_015666977.1, XP_015666976.1, XP_015666974.1, XP_015666975.1	ENSCAFG00000005669.5
OG0002137	XP_015669305.1, XP_015669307.1, XP_015669304.1, XP_015669306.1	ENSCAFG00000001812.5
OG0002138	XP_029139742.1, XP_029139741.1, XP_015670183.1, XP_015670185.1	ENSCAFG00000007622.4, ENSCAFG00000010184.4
OG0002139	XP_015667502.1, XP_015667503.1	ENSCAFG00000003705.4
OG0002140	XP_015683243.1	ENSCAFG00000001620.4
OG0002141	XP_015674290.1, XP_015674288.1	ENSCAFG00000023764.3, ENSCAFG00000004632.3, ENSCAFG00000029004.2
OG0002142	XP_029139580.1	ENSCAFG00000014740.4
OG0002143	XP_029140428.1	ENSCAFG00000049375.1
OG0002144	XP_029142308.1	ENSCAFG00000016502.4
OG0002145	XP_015676589.1	ENSCAFG00000028715.2
OG0002146	XP_015682290.1, XP_015676765.1, XP_015676766.1	ENSCAFG00000010064.4
OG0002147	XP_015686713.1, XP_015676596.1	ENSCAFG00000019103.5
OG0002148	XP_015679442.1, XP_015686660.1	ENSCAFG00000001204.5
OG0002149	XP_029141936.1, XP_015681415.1, XP_015681416.1	ENSCAFG00000005024.4
OG0002150	XP_015678755.1	ENSCAFG00000013715.4, ENSCAFG00000013693.5
OG0002151	XP_015684723.1	ENSCAFG00000042857.1
OG0002152	XP_015682127.1, XP_015682479.1	ENSCAFG00000000478.5
OG0002153	XP_015682478.1	ENSCAFG00000000483.4
OG0002154	XP_029143149.1	ENSCAFG00000013180.4
OG0002155	XP_029141992.1	ENSCAFG00000010014.4
OG0002156	XP_015683775.1	ENSCAFG00000015887.5
OG0002157	XP_015677529.1, XP_015677528.1	ENSCAFG00000012093.4
OG0002158	XP_015666921.1, XP_015666920.1, XP_015671169.1, XP_015683619.1	ENSCAFG00000019856.4
OG0002159	XP_015670234.1	ENSCAFG00000008718.6
OG0002160	XP_029138850.1, XP_015682031.2	ENSCAFG00000029267.1
OG0002161	XP_015687509.1	ENSCAFG00000014949.5
OG0002162	XP_015677577.1, XP_015677576.1, XP_015677581.2	ENSCAFG00000014813.4, ENSCAFG00000014810.1, ENSCAFG00000023784.2
OG0002163	XP_029141255.1	ENSCAFG00000015248.4
OG0002164	XP_029141461.1	ENSCAFG00000015888.5
OG0002165	XP_015681216.1, XP_015671573.1, XP_015671574.1	ENSCAFG00000048992.1, ENSCAFG00000006913.4, ENSCAFG00000010202.3
OG0002166	XP_015666072.1, XP_015666070.1, XP_015666073.1, XP_015666071.1	ENSCAFG00000002885.5
OG0002167	XP_015678759.1	ENSCAFG00000015445.4, ENSCAFG00000005138.3, ENSCAFG00000010106.4
OG0002168	XP_015672732.1, XP_015686529.1	ENSCAFG00000003933.4
OG0002169	XP_015667248.1, XP_015667246.1, XP_015667247.1	ENSCAFG00000003216.4
OG0002170	XP_015681659.1	ENSCAFG00000010732.4
OG0002171	XP_015681661.1	ENSCAFG00000023772.3, ENSCAFG00000047776.1
OG0002172	XP_015668318.1	ENSCAFG00000010789.2, ENSCAFG00000001785.4
OG0002173	XP_015674765.1, XP_015672991.1, XP_015672990.1	ENSCAFG00000003440.4
OG0002174	XP_015687293.1, XP_015687302.1, XP_015687285.1, XP_015687276.1, XP_015687268.1	ENSCAFG00000001701.5
OG0002175	XP_015679734.1	ENSCAFG00000006540.5, ENSCAFG00000013763.4
OG0002176	XP_015671655.1, XP_015671653.1, XP_015671650.1, XP_015671652.1, XP_015671654.1	ENSCAFG00000003400.4
OG0002177	XP_015672202.1	ENSCAFG00000001324.4
OG0002178	XP_029139528.1, XP_015669217.1, XP_029139527.1, XP_029139529.1, XP_015669216.1	ENSCAFG00000042242.1, ENSCAFG00000012713.6
OG0002179	XP_015667639.1	ENSCAFG00000002653.5
OG0002180	XP_015669092.2	ENSCAFG00000001043.5
OG0002181	XP_015669214.2	ENSCAFG00000004493.5
OG0002182	XP_015669680.1, XP_015669679.1	ENSCAFG00000013201.3, ENSCAFG00000014630.4
OG0002183	XP_029139305.1	ENSCAFG00000006388.4
OG0002184	XP_015666831.1, XP_015666832.1	ENSCAFG00000004792.5
OG0002185	XP_015673602.1, XP_015673601.1, XP_015673600.1	ENSCAFG00000010807.5
OG0002186	XP_015687697.1, XP_015681046.1	ENSCAFG00000018382.4
OG0002187	XP_029140321.1, XP_015673363.1, XP_015673366.1, XP_015673365.1, XP_015673364.1, XP_029140320.1	ENSCAFG00000000479.5
OG0002188	XP_015666388.1, XP_015666389.1	ENSCAFG00000003782.4
OG0002189	XP_015673286.1, XP_015673285.1	ENSCAFG00000009970.5
OG0002190	XP_015673074.1, XP_015673049.1, XP_015673058.1, XP_015673066.1	ENSCAFG00000012866.4
OG0002191	XP_015676274.1	ENSCAFG00000000352.5
OG0002192	XP_015666539.1	ENSCAFG00000024745.3, ENSCAFG00000004836.5
OG0002193	XP_015687561.1, XP_015676178.1	ENSCAFG00000000316.4
OG0002194	XP_015667939.1, XP_015667940.1, XP_015667941.1, XP_015667942.1	ENSCAFG00000009700.4
OG0002195	XP_015683424.1, XP_015675775.1, XP_029138882.1	ENSCAFG00000017004.5
OG0002196	XP_015677735.1	ENSCAFG00000025112.3, ENSCAFG00000004150.4, ENSCAFG00000045818.1
OG0002197	XP_015686073.1, XP_015670588.1	ENSCAFG00000019582.4
OG0002198	XP_015674802.1	ENSCAFG00000006384.4
OG0002199	XP_015672978.1	ENSCAFG00000002099.4
OG0002200	XP_015685084.1, XP_015685581.1	ENSCAFG00000015320.4
OG0002201	XP_015687139.1, XP_015685087.1	ENSCAFG00000003503.4
OG0002202	XP_015675244.1	ENSCAFG00000000856.4
OG0002203	XP_015681162.1	ENSCAFG00000012201.4, ENSCAFG00000025134.3
OG0002204	XP_015680781.1	ENSCAFG00000012925.4
OG0002205	XP_015680834.1, XP_015680838.1, XP_015680839.1, XP_015680848.1	ENSCAFG00000013101.5
OG0002206	XP_015686747.1	ENSCAFG00000029475.2
OG0002207	XP_029139730.1, XP_029139729.1, XP_015670101.2	ENSCAFG00000000785.4
OG0002208	XP_015669294.1	ENSCAFG00000047424.1
OG0002208	XP_015669295.1	ENSCAFG00000044333.1
OG0002209	XP_015678564.1	ENSCAFG00000001388.4, ENSCAFG00000002335.4, ENSCAFG00000009541.4, ENSCAFG00000028733.2
OG0002210	XP_015669611.1, XP_015669612.1	ENSCAFG00000008291.5
OG0002211	XP_029142442.1, XP_015685637.1, XP_029142441.1, XP_015682904.2	ENSCAFG00000031390.2
OG0002212	XP_015687395.1, XP_015687396.1, XP_029143125.1, XP_015687397.1	ENSCAFG00000015343.5
OG0002213	XP_015674471.1, XP_015674472.1, XP_015674474.1, XP_015674473.1	ENSCAFG00000010469.4
OG0002214	XP_015687294.1, XP_015687292.1	ENSCAFG00000010782.2, ENSCAFG00000007880.4
OG0002215	XP_015681180.1, XP_015681156.1, XP_015681172.1, XP_015681163.1	ENSCAFG00000008185.4
OG0002216	XP_029141520.1	ENSCAFG00000024936.4
OG0002217	XP_015671136.2	ENSCAFG00000006733.5
OG0002218	XP_015680714.1	ENSCAFG00000014221.5
OG0002219	XP_015670199.1, XP_015670200.1	ENSCAFG00000015080.5
OG0002220	XP_015683161.1, XP_029142818.1, XP_015683707.2, XP_015683160.1	ENSCAFG00000004234.5
OG0002221	XP_015685018.1, XP_029143206.1	ENSCAFG00000008858.5
OG0002222	XP_015671868.1, XP_029140046.1, XP_015671867.1, XP_029140048.1, XP_029140047.1	ENSCAFG00000008699.4
OG0002223	XP_029141482.1	ENSCAFG00000002918.4
OG0002224	XP_015676875.1, XP_015685846.1, XP_015670629.1	ENSCAFG00000006945.5
OG0002225	XP_015669941.1, XP_015669937.1, XP_015669939.1, XP_015669940.1, XP_015669943.1, XP_015669942.1	ENSCAFG00000007626.4
OG0002226	XP_015666271.1, XP_015674047.2	ENSCAFG00000007822.5
OG0002227	XP_015681734.1	ENSCAFG00000001216.4
OG0002228	XP_029139275.1, XP_015686349.1	ENSCAFG00000001417.4
OG0002229	XP_015676119.2, XP_015685042.1	ENSCAFG00000015156.3, ENSCAFG00000002083.4, ENSCAFG00000013746.4, ENSCAFG00000012522.4, ENSCAFG00000000211.1
OG0002230	XP_029140802.1	ENSCAFG00000002120.4, ENSCAFG00000002121.4
OG0002231	XP_015687418.1	ENSCAFG00000013509.4
OG0002231	XP_015674565.1	ENSCAFG00000013335.4
OG0002232	XP_029140560.1	ENSCAFG00000003013.4
OG0002233	XP_015684880.1	ENSCAFG00000015545.4, ENSCAFG00000004696.4
OG0002234	XP_015682943.1	ENSCAFG00000016511.6
OG0002235	XP_015668103.1, XP_015668102.1	ENSCAFG00000017204.4
OG0002236	XP_015677697.1, XP_015677698.1	ENSCAFG00000024332.1, ENSCAFG00000024506.1, ENSCAFG00000016971.4, ENSCAFG00000003473.1, ENSCAFG00000024482.2
OG0002237	XP_015684743.1	ENSCAFG00000020100.2
OG0002238	XP_015668755.1	ENSCAFG00000031712.2
OG0002239	XP_015684530.1, XP_029142175.1	ENSCAFG00000017660.5
OG0002240	XP_015680562.1, XP_015680563.1, XP_015680564.1, XP_015680561.1	ENSCAFG00000011121.4
OG0002241	XP_015687011.1	ENSCAFG00000007264.4
OG0002242	XP_015679651.1	ENSCAFG00000005287.4
OG0002243	XP_015677366.1	ENSCAFG00000006557.3
OG0002244	XP_015679093.1, XP_015679101.1, XP_015679107.1	ENSCAFG00000006433.4
OG0002245	XP_015680986.1	ENSCAFG00000017933.5
OG0002246	XP_015674387.1	ENSCAFG00000019202.4
OG0002247	XP_015671191.1, XP_015671192.1, XP_015671189.1, XP_015671190.1	ENSCAFG00000017265.5
OG0002248	XP_015671458.1	ENSCAFG00000005997.3
OG0002249	XP_015674186.1	ENSCAFG00000005998.4
OG0002250	XP_015676024.1, XP_015676025.1, XP_015676023.1, XP_015676022.1, XP_015685138.1	ENSCAFG00000016547.4
OG0002251	XP_015680484.1, XP_015680487.1, XP_015680485.1, XP_015680489.1, XP_015680486.1	ENSCAFG00000050046.1, ENSCAFG00000016541.4
OG0002252	XP_015683721.2	ENSCAFG00000015016.4
OG0002252	XP_029140323.1	ENSCAFG00000032438.3
OG0002253	XP_015669153.1	ENSCAFG00000023556.3
OG0002254	XP_015676711.1	ENSCAFG00000002255.4
OG0002255	XP_015668135.1	ENSCAFG00000042100.1
OG0002256	XP_015680318.1, XP_015680329.1, XP_015680338.1, XP_015685785.1, XP_015685811.1	ENSCAFG00000004951.5
OG0002257	XP_015675650.1	ENSCAFG00000003471.5
OG0002258	XP_015674891.1, XP_015674890.1, XP_015674888.1, XP_015687055.1, XP_015687056.1, XP_015674889.1, XP_015687052.1	ENSCAFG00000001016.5
OG0002259	XP_015672381.1, XP_015672378.1, XP_015672375.1, XP_015672380.1, XP_015672377.1, XP_015672376.1	ENSCAFG00000003732.4
OG0002260	XP_015677072.1, XP_015677073.1, XP_015677069.1, XP_015677071.1	ENSCAFG00000004481.4
OG0002261	XP_015675356.1, XP_015675360.1, XP_015675358.1, XP_015675359.1	ENSCAFG00000005408.4
OG0002262	XP_015682578.1	ENSCAFG00000000406.5
OG0002263	XP_015682579.2	ENSCAFG00000000411.4
OG0002264	XP_029142212.1	ENSCAFG00000015550.4, ENSCAFG00000000414.4
OG0002265	XP_015682577.2	ENSCAFG00000000416.4
OG0002266	XP_029140909.1	ENSCAFG00000000760.5
OG0002267	XP_015683109.1	ENSCAFG00000000513.4, ENSCAFG00000043986.1
OG0002268	XP_015683105.1	ENSCAFG00000000679.4
OG0002269	XP_015679812.1	ENSCAFG00000000669.5
OG0002270	XP_029140153.1, XP_015685679.1	ENSCAFG00000011231.5
OG0002271	XP_015683201.1	ENSCAFG00000004084.4
OG0002271	XP_029142332.1	ENSCAFG00000042351.1
OG0002272	XP_015673950.1	ENSCAFG00000000858.4
OG0002273	XP_015686894.1, XP_015686900.1	ENSCAFG00000046609.1
OG0002275	XP_029138801.1	ENSCAFG00000015532.5
OG0002276	XP_029138810.1	ENSCAFG00000018529.4
OG0002278	XP_029140429.1	ENSCAFG00000030005.3, ENSCAFG00000028799.3
OG0002279	XP_015675329.1	ENSCAFG00000016806.5
OG0002280	XP_015667143.1	ENSCAFG00000043730.1, ENSCAFG00000046934.1, ENSCAFG00000000027.4, ENSCAFG00000045297.1
OG0002281	XP_015674342.1	ENSCAFG00000014707.5
OG0002281	XP_015674340.1, XP_015674341.1	ENSCAFG00000007554.3, ENSCAFG00000048076.1, ENSCAFG00000017518.2
OG0002282	XP_015666651.1	ENSCAFG00000007272.4, ENSCAFG00000031233.2, ENSCAFG00000007277.5
OG0002285	XP_029139409.1	ENSCAFG00000004600.3
OG0002286	XP_029139004.1, XP_015666618.1	ENSCAFG00000003341.4
OG0002287	XP_015679155.1	ENSCAFG00000041132.1, ENSCAFG00000044792.1, ENSCAFG00000042472.1
OG0002288	XP_015666693.1, XP_015666692.1, XP_015666690.1, XP_015666689.1	ENSCAFG00000024373.3
OG0002289	XP_029142879.1, XP_015685824.1, XP_015685818.1	ENSCAFG00000001766.4
OG0002290	XP_015675838.1	ENSCAFG00000016233.4
OG0002291	XP_015684184.1	ENSCAFG00000028654.2
OG0002292	XP_029141990.1	ENSCAFG00000005189.3, ENSCAFG00000015192.3
OG0002293	XP_015668876.1	ENSCAFG00000017544.4
OG0002293	XP_015668877.1	ENSCAFG00000017542.4
OG0002298	XP_029142531.1, XP_015683716.1	ENSCAFG00000010801.4, ENSCAFG00000010790.4
OG0002321	XP_015684118.1, XP_015681381.1	ENSCAFG00000008879.4, ENSCAFG00000047783.1, ENSCAFG00000024588.3, ENSCAFG00000005198.4
OG0002322	XP_015671371.1, XP_015671370.1	ENSCAFG00000008740.4
OG0002323	XP_015680962.1	ENSCAFG00000005179.4
OG0002324	XP_015678428.1, XP_015678429.1	ENSCAFG00000016344.3, ENSCAFG00000008785.4
OG0002326	XP_015682776.1	ENSCAFG00000018650.5
OG0002327	XP_015676466.1, XP_015676464.1, XP_015676465.1, XP_015676462.1	ENSCAFG00000010142.4
