Orthogroup	P_Mucros.pep	G_gallus.pep
OG0000583	XP_015667379.1	ENSGALG00000035701.2
OG0000583	XP_015666678.1, XP_015666667.1	ENSGALG00000014184.4, ENSGALG00000036001.2
OG0000584	XP_015686865.1	ENSGALG00000030810.3
OG0000584	XP_015682174.1	ENSGALG00000010734.6
OG0000585	XP_015686217.1, XP_015677691.1, XP_015677692.1, XP_015677694.1	ENSGALG00000010307.4
OG0000585	XP_015669176.1	ENSGALG00000027632.3
OG0000586	XP_015677690.2	ENSGALG00000047771.1
OG0000586	XP_015673452.1, XP_015673445.1, XP_015673435.1	ENSGALG00000010290.6
OG0000587	XP_015671425.1, XP_029139965.1	ENSGALG00000020458.6, ENSGALG00000044307.2
OG0000587	XP_029139967.1	ENSGALG00000028402.4
OG0000587	XP_029139969.1, XP_015685005.1	ENSGALG00000026584.4
OG0000588	XP_015687415.1, XP_029143127.1, XP_015686385.1, XP_015687403.1, XP_015683592.1	ENSGALG00000009453.6
OG0000589	XP_015673437.2, XP_015673431.1, XP_015673433.1, XP_015673430.1, XP_015673432.1, XP_029140329.1, XP_015673442.1, XP_015673439.1, XP_015673443.1, XP_015673441.1, XP_015673440.1, XP_015673429.2, XP_015673436.1, XP_015673434.1, XP_015673438.1	ENSGALG00000008544.6
OG0000601	XP_015670709.1	ENSGALG00000009289.6
OG0000601	XP_015682301.1	ENSGALG00000001693.6
OG0000602	XP_015685296.1, XP_015675884.1	ENSGALG00000042994.2
OG0000602	XP_015675878.1	ENSGALG00000040787.2
OG0000603	XP_029139948.1	ENSGALG00000002548.7
OG0000603	XP_015666519.1	ENSGALG00000003628.7
OG0000604	XP_029139053.1	ENSGALG00000006242.7
OG0000605	XP_015673760.1	ENSGALG00000029439.3
OG0000605	XP_015681199.1, XP_015666106.1	ENSGALG00000028983.3
OG0000606	XP_015678942.1	ENSGALG00000007606.6
OG0000607	XP_015672685.1	ENSGALG00000039554.2
OG0000608	XP_015675134.1	ENSGALG00000004002.5
OG0000608	XP_015675642.1	ENSGALG00000040421.3
OG0000610	XP_015669554.1	ENSGALG00000050866.1
OG0000611	XP_015676461.1, XP_015676452.1	ENSGALG00000001320.6, ENSGALG00000001325.6
OG0000612	XP_015666986.1, XP_015682439.1	ENSGALG00000006258.5
OG0000612	XP_015675038.1, XP_015675036.1, XP_015675035.1, XP_015675037.1	ENSGALG00000009568.6
OG0000613	XP_015680902.1	ENSGALG00000005522.5
OG0000613	XP_015678097.1	ENSGALG00000007153.6, ENSGALG00000020999.5
OG0000614	XP_015687588.1	ENSGALG00000004965.6
OG0000614	XP_015671209.1	ENSGALG00000040553.2
OG0000615	XP_015667132.1	ENSGALG00000003522.5
OG0000616	XP_029141655.1	ENSGALG00000035842.2
OG0000616	XP_015685140.1	ENSGALG00000016185.6
OG0000617	XP_015671395.1	ENSGALG00000041575.2
OG0000617	XP_015683914.1	ENSGALG00000053274.1
OG0000618	XP_015682686.1, XP_015686856.1, XP_029142230.1	ENSGALG00000012040.5
OG0000619	XP_015677162.1	ENSGALG00000050464.1
OG0000619	XP_015673023.1, XP_015673022.1, XP_015673021.1, XP_015677164.1, XP_015677161.1	ENSGALG00000021451.6, ENSGALG00000052887.1, ENSGALG00000049254.1, ENSGALG00000054926.1, ENSGALG00000049652.1, ENSGALG00000053446.1, ENSGALG00000001824.5
OG0000620	XP_015666503.1	ENSGALG00000004150.6
OG0000620	XP_015665521.1	ENSGALG00000001571.5
OG0000621	XP_015677574.1	ENSGALG00000005896.7
OG0000622	XP_015672294.1	ENSGALG00000015877.7
OG0000622	XP_015682548.1	ENSGALG00000016127.6
OG0000622	XP_015683958.1	ENSGALG00000007128.6
OG0000623	XP_029141988.1	ENSGALG00000040582.2
OG0000623	XP_015670146.1	ENSGALG00000003424.6
OG0000624	XP_015677540.1, XP_015677557.1, XP_015677549.1	ENSGALG00000012462.7
OG0000624	XP_015667512.1, XP_015667511.1	ENSGALG00000007215.6
OG0000626	XP_015677050.1	ENSGALG00000031578.2
OG0000626	XP_029139307.1	ENSGALG00000035230.2
OG0000627	XP_015679049.1, XP_015685095.1, XP_015679752.1	ENSGALG00000034735.2
OG0000629	XP_029140045.1	ENSGALG00000040921.2
OG0000629	XP_015683407.1, XP_015685090.1	ENSGALG00000016442.8
OG0000630	XP_015678771.1	ENSGALG00000016443.6
OG0000630	XP_015667161.1	ENSGALG00000003573.6
OG0000630	XP_015671858.1	ENSGALG00000032518.2
OG0000631	XP_015679389.1, XP_015680675.2	ENSGALG00000001938.6
OG0000632	XP_015675830.1	ENSGALG00000029834.2
OG0000633	XP_015666184.1, XP_015666183.1	ENSGALG00000030918.3
OG0000634	XP_015677003.1	ENSGALG00000032057.3
OG0000635	XP_015667095.1, XP_029142887.1	ENSGALG00000009512.6
OG0000636	XP_029143003.1, XP_015673604.2	ENSGALG00000023521.3
OG0000637	XP_015682607.1	ENSGALG00000023773.5
OG0000637	XP_015681742.1	ENSGALG00000048886.1
OG0000638	XP_015679656.1	ENSGALG00000006503.6
OG0000638	XP_029142427.1	ENSGALG00000005002.7
OG0000639	XP_015677128.1	ENSGALG00000001476.5
OG0000640	XP_015687691.1	ENSGALG00000043908.2
OG0000641	XP_015680117.1	ENSGALG00000001267.6
OG0000642	XP_029140899.1	ENSGALG00000010116.6
OG0000642	XP_015678091.1, XP_015681196.1	ENSGALG00000013268.6
OG0000642	XP_015668484.1	ENSGALG00000012997.6
OG0000643	XP_015687023.1	ENSGALG00000011618.6
OG0000643	XP_015682293.1, XP_015682295.1	ENSGALG00000010702.6
OG0000644	XP_015678312.1, XP_015678311.1	ENSGALG00000007193.6
OG0000645	XP_015687579.1	ENSGALG00000021128.5
OG0000645	XP_015670775.1	ENSGALG00000023354.3
OG0000646	XP_029139811.1	ENSGALG00000007934.4
OG0000646	XP_015687225.1, XP_015687420.1	ENSGALG00000042419.2
OG0000647	XP_015681492.1	ENSGALG00000042297.2
OG0000648	XP_015677564.1	ENSGALG00000031341.2, ENSGALG00000009511.6
OG0000649	XP_029140014.1	ENSGALG00000012362.6
OG0000649	XP_015667313.1	ENSGALG00000051980.1
OG0000651	XP_015669649.1	ENSGALG00000006600.5
OG0000652	XP_015687481.1	ENSGALG00000012488.5
OG0000652	XP_015687402.1, XP_015687410.1, XP_015687394.1, XP_015687386.1	ENSGALG00000040840.3
OG0000653	XP_015675201.2	ENSGALG00000002088.5
OG0000653	XP_015674755.1	ENSGALG00000001866.6
OG0000653	XP_015672773.2	ENSGALG00000012307.5
OG0000654	XP_029143198.1	ENSGALG00000050616.1
OG0000654	XP_029141069.1	ENSGALG00000044527.2
OG0000655	XP_029138795.1	ENSGALG00000008288.7
OG0000656	XP_015671668.1	ENSGALG00000017062.6
OG0000656	XP_029140069.1	ENSGALG00000010061.6
OG0000657	XP_015672315.1	ENSGALG00000034473.3
OG0000658	XP_015668879.1, XP_015668878.1	ENSGALG00000034458.2
OG0000658	XP_015678195.1	ENSGALG00000014989.6
OG0000659	XP_015672443.1	ENSGALG00000012623.5
OG0000660	XP_015677928.1	ENSGALG00000009028.6
OG0000660	XP_015678979.1, XP_015678980.1, XP_015678978.1	ENSGALG00000033813.3
OG0000661	XP_015683008.1	ENSGALG00000011858.6
OG0000661	XP_015672701.1	ENSGALG00000009877.6
OG0000662	XP_015666217.1	ENSGALG00000041626.2
OG0000662	XP_015666218.1	ENSGALG00000039118.2
OG0000663	XP_015668547.1	ENSGALG00000041419.3
OG0000664	XP_015674622.1, XP_015687342.1, XP_015687343.1	ENSGALG00000012061.6
OG0000664	XP_015667916.1	ENSGALG00000011481.6
OG0000665	XP_015680512.1	ENSGALG00000043984.2
OG0000667	XP_015681106.1	ENSGALG00000006057.6
OG0000667	XP_015676285.1, XP_015676284.1	ENSGALG00000028438.3
OG0000668	XP_015675286.1	ENSGALG00000038188.3
OG0000669	XP_015686340.1, XP_015681966.1	ENSGALG00000017040.6, ENSGALG00000032231.3
OG0000670	XP_015678142.1	ENSGALG00000006960.5
OG0000683	XP_015684265.1	ENSGALG00000006756.6
OG0000684	XP_015669189.1	ENSGALG00000003301.6
OG0000684	XP_015673539.1	ENSGALG00000048387.1
OG0000685	XP_015678284.1	ENSGALG00000035079.3
OG0000686	XP_015682306.1	ENSGALG00000014155.6
OG0000686	XP_029141303.1, XP_015678509.1	ENSGALG00000002266.6
OG0000687	XP_015671521.1	ENSGALG00000001489.4
OG0000688	XP_015672834.1	ENSGALG00000026278.3
OG0000688	XP_029139880.1	ENSGALG00000017320.7
OG0000689	XP_015669950.1	ENSGALG00000008485.6
OG0000689	XP_015667499.1	ENSGALG00000007076.6
OG0000690	XP_015665766.1	ENSGALG00000010542.7
OG0000690	XP_029139432.1	ENSGALG00000003689.6
OG0000691	XP_015675658.1	ENSGALG00000009082.6
OG0000692	XP_015681136.1	ENSGALG00000004431.5
OG0000692	XP_015679745.1, XP_015679729.1, XP_015679737.1	ENSGALG00000038753.2
OG0000693	XP_015670091.1, XP_015670090.1	ENSGALG00000000329.7
OG0000694	XP_029140738.1	ENSGALG00000012228.6
OG0000694	XP_015676469.1	ENSGALG00000010145.6
OG0000695	XP_015667604.1, XP_015667603.1	ENSGALG00000032361.2
OG0000695	XP_015680041.1, XP_015680040.1	ENSGALG00000012336.6
OG0000696	XP_029139417.1	ENSGALG00000049559.1
OG0000697	XP_015682407.1	ENSGALG00000009001.6
OG0000698	XP_015680346.1, XP_015680347.1	ENSGALG00000001645.7
OG0000698	XP_015669230.1, XP_015669229.1, XP_015669228.1	ENSGALG00000041680.2
OG0000699	XP_015681691.1	ENSGALG00000026955.3
OG0000699	XP_015676528.1	ENSGALG00000005323.4
OG0000700	XP_015683897.2	ENSGALG00000002044.5
OG0000702	XP_015681621.1, XP_015681620.1	ENSGALG00000001014.6
OG0000702	XP_015668604.1	ENSGALG00000020927.5
OG0000703	XP_015685272.1	ENSGALG00000026195.3
OG0000703	XP_029142758.1	ENSGALG00000005848.8
OG0000705	XP_029142553.1	ENSGALG00000000452.6
OG0000705	XP_015677559.1	ENSGALG00000006407.6
OG0000706	XP_015676226.1, XP_029140224.1	ENSGALG00000001049.7
OG0000707	XP_015676810.1	ENSGALG00000052453.1
OG0000708	XP_029141204.1, XP_029141201.1, XP_015677712.1, XP_015677705.1	ENSGALG00000008926.6
OG0000708	XP_015675689.1	ENSGALG00000007268.6
OG0000709	XP_015675300.1	ENSGALG00000009567.6
OG0000710	XP_015683742.1	ENSGALG00000008303.6
OG0000710	XP_015682628.1	ENSGALG00000005409.7
OG0000711	XP_015676086.1, XP_015676088.1	ENSGALG00000004958.6
OG0000711	XP_015684005.1	ENSGALG00000014124.5
OG0000712	XP_015675164.1, XP_015675160.1, XP_015675161.1	ENSGALG00000010223.5
OG0000713	XP_029142426.1, XP_015685183.1	ENSGALG00000000808.7
OG0000714	XP_015687567.1	ENSGALG00000007549.6
OG0000714	XP_015669747.1, XP_015669746.1, XP_015669745.1	ENSGALG00000039455.3
OG0000715	XP_015684049.1	ENSGALG00000048781.1
OG0000715	XP_015682690.1, XP_015682688.1, XP_015682689.1	ENSGALG00000013993.7
OG0000716	XP_015684582.1, XP_015682256.1	ENSGALG00000017343.6
OG0000718	XP_029142045.1	ENSGALG00000043582.2, ENSGALG00000041621.2
OG0000718	XP_015678602.1	ENSGALG00000054636.1
OG0000719	XP_015675336.1, XP_029140667.1	ENSGALG00000049193.1
OG0000719	XP_015674085.1	ENSGALG00000030162.2
OG0000720	XP_029139913.1, XP_015671170.1, XP_029139912.1, XP_029139911.1	ENSGALG00000036789.2
OG0000722	XP_015672742.1	ENSGALG00000012272.5
OG0000722	XP_015674997.1	ENSGALG00000004199.5
OG0000723	XP_015683974.1, XP_015683972.1	ENSGALG00000005504.6
OG0000723	XP_015678138.1	ENSGALG00000006968.7
OG0000724	XP_015668246.1	ENSGALG00000012866.7
OG0000725	XP_015665914.1	ENSGALG00000001330.6
OG0000726	XP_015673839.1	ENSGALG00000002739.5
OG0000726	XP_015669115.2	ENSGALG00000054099.1
OG0000727	XP_015675276.1, XP_015675278.1	ENSGALG00000002632.6
OG0000727	XP_015667094.1	ENSGALG00000009509.7
OG0000728	XP_029142711.1	ENSGALG00000006766.6
OG0000729	XP_015686606.1, XP_015685565.1, XP_015678882.1	ENSGALG00000006642.6
OG0000729	XP_015668005.2	ENSGALG00000014182.4
OG0000730	XP_029139428.1	ENSGALG00000038722.2, ENSGALG00000005359.6
OG0000731	XP_029140755.1	ENSGALG00000039967.2
OG0000732	XP_015666765.1	ENSGALG00000006763.6
OG0000732	XP_029142151.1, XP_029142154.1, XP_029142153.1, XP_029142152.1	ENSGALG00000016098.6
OG0000733	XP_029139272.1	ENSGALG00000016288.6
OG0000733	XP_015679976.1	ENSGALG00000008888.6
OG0000734	XP_015675271.2	ENSGALG00000008160.5
OG0000734	XP_015672006.1	ENSGALG00000029646.2
OG0000735	XP_015684133.1	ENSGALG00000027630.3
OG0000735	XP_015668828.1	ENSGALG00000037869.2
OG0000736	XP_029140326.1	ENSGALG00000029341.2
OG0000736	XP_015669568.1, XP_015669569.1, XP_015669570.1	ENSGALG00000007037.5
OG0000737	XP_015675385.1	ENSGALG00000038757.2
OG0000737	XP_015679342.1, XP_015679340.1, XP_015679339.1, XP_015679341.1	ENSGALG00000011132.6
OG0000739	XP_015687782.2	ENSGALG00000000371.6
OG0000739	XP_015667892.1	ENSGALG00000005657.5
OG0000740	XP_015684367.1	ENSGALG00000015293.6
OG0000740	XP_029140838.1	ENSGALG00000001203.6
OG0000741	XP_015665843.1, XP_015680676.1, XP_015665796.1, XP_015665795.1	ENSGALG00000011812.5
OG0000742	XP_015668295.1	ENSGALG00000022557.4
OG0000743	XP_015666148.1	ENSGALG00000007331.6
OG0000744	XP_015671733.1	ENSGALG00000005490.7
OG0000745	XP_015685276.1	ENSGALG00000039826.2
OG0000745	XP_015684003.1, XP_029142526.1	ENSGALG00000014136.3
OG0000746	XP_015670204.1	ENSGALG00000017181.6
OG0000746	XP_015681114.1	ENSGALG00000014078.6
OG0000747	XP_015666810.1	ENSGALG00000010230.6
OG0000747	XP_015685504.1, XP_015685508.1	ENSGALG00000027658.3
OG0000748	XP_015681350.1	ENSGALG00000017291.6
OG0000748	XP_015675535.1, XP_015675534.1, XP_015675536.1	ENSGALG00000005353.6
OG0000749	XP_015670113.1, XP_015682514.1	ENSGALG00000000857.7
OG0000749	XP_015666694.1, XP_029142546.1	ENSGALG00000008791.6
OG0000750	XP_015687727.1, XP_015687726.1	ENSGALG00000042894.3
OG0000750	XP_015666711.1	ENSGALG00000019662.5
OG0000751	XP_015665637.1	ENSGALG00000019797.6
OG0000751	XP_015669773.1	ENSGALG00000005476.6
OG0000753	XP_015687323.1	ENSGALG00000009549.4
OG0000753	XP_015667806.1	ENSGALG00000017009.7
OG0000754	XP_015679225.1, XP_015679224.1	ENSGALG00000012998.6
OG0000754	XP_015677307.1, XP_015677309.1, XP_015677308.1	ENSGALG00000034168.2
OG0000755	XP_015668009.1, XP_015668008.1	ENSGALG00000008793.5
OG0000755	XP_015680778.1, XP_015680779.1	ENSGALG00000010150.6
OG0000756	XP_015667427.1	ENSGALG00000039335.2
OG0000757	XP_015673719.1	ENSGALG00000012769.6
OG0000757	XP_015673795.1, XP_015678995.1	ENSGALG00000000142.6
OG0000758	XP_015684174.1, XP_015686308.1	ENSGALG00000004604.6
OG0000758	XP_015683055.1, XP_015683056.1, XP_015683057.1	ENSGALG00000006188.7
OG0000759	XP_015671870.1	ENSGALG00000042020.2
OG0000759	XP_015672759.1	ENSGALG00000012420.6
OG0000760	XP_015667760.1, XP_015667761.1	ENSGALG00000016702.7
OG0000760	XP_015674370.1, XP_015674369.1	ENSGALG00000034512.2
OG0000763	XP_015672119.1, XP_015681371.1	ENSGALG00000003777.6
OG0000763	XP_015672394.1	ENSGALG00000009601.7
OG0000764	XP_015677902.1	ENSGALG00000015364.6
OG0000764	XP_015676825.1	ENSGALG00000001431.6
OG0000765	XP_015674392.1, XP_015674393.1	ENSGALG00000016563.6
OG0000766	XP_015667974.1, XP_015667975.1	ENSGALG00000016285.6
OG0000768	XP_015670710.1	ENSGALG00000042875.3
OG0000769	XP_015678855.1	ENSGALG00000017238.6
OG0000769	XP_015681370.1	ENSGALG00000012297.6
OG0000771	XP_029140162.1	ENSGALG00000054848.1
OG0000772	XP_015678370.1	ENSGALG00000009368.6
OG0000772	XP_015672167.1, XP_015672169.1, XP_015672166.1, XP_015672168.1, XP_015672170.1	ENSGALG00000039772.3
OG0000773	XP_015674439.2	ENSGALG00000009292.7, ENSGALG00000046931.1
OG0000774	XP_029140551.1, XP_029140550.1, XP_015674623.1	ENSGALG00000012072.7, ENSGALG00000026422.3
OG0000775	XP_015671461.1	ENSGALG00000002197.7
OG0000778	XP_029142035.1	ENSGALG00000009275.7
OG0000778	XP_015679177.1	ENSGALG00000010282.6
OG0000784	XP_029142634.1	ENSGALG00000053457.1
OG0000790	XP_015665450.1	ENSGALG00000003959.5
OG0000791	XP_029141821.1	ENSGALG00000004200.6
OG0000791	XP_015674967.1	ENSGALG00000007437.6
OG0000792	XP_015674072.1	ENSGALG00000007615.4
OG0000792	XP_015682471.1	ENSGALG00000000613.6
OG0000793	XP_015685101.1	ENSGALG00000050374.1
OG0000794	XP_015666087.1	ENSGALG00000011164.6
OG0000795	XP_015674593.1	ENSGALG00000038574.2
OG0000796	XP_015665560.1	ENSGALG00000001019.6
OG0000796	XP_015685399.1	ENSGALG00000006020.7
OG0000797	XP_015686069.1	ENSGALG00000041808.2
OG0000797	XP_029142507.1	ENSGALG00000017271.7
OG0000798	XP_015681137.1	ENSGALG00000004442.6
OG0000799	XP_015673336.2	ENSGALG00000005064.7
OG0000799	XP_015674386.1	ENSGALG00000021539.6
OG0000800	XP_029139052.1, XP_015666916.1, XP_029139050.1, XP_029139051.1	ENSGALG00000032410.3
OG0000800	XP_015669476.1	ENSGALG00000033091.3
OG0000801	XP_029141431.1	ENSGALG00000046937.1
OG0000801	XP_029141532.1	ENSGALG00000001917.7
OG0000801	XP_015669712.1	ENSGALG00000047283.1, ENSGALG00000046217.2
OG0000802	XP_015669466.1, XP_015669465.1	ENSGALG00000034806.2
OG0000804	XP_015687483.2	ENSGALG00000004578.6
OG0000804	XP_015683263.1, XP_015677644.1	ENSGALG00000001225.6
OG0000805	XP_015687848.1	ENSGALG00000043675.2
OG0000805	XP_015666761.1	ENSGALG00000030603.2
OG0000806	XP_015672085.1	ENSGALG00000050728.1
OG0000806	XP_015667410.1	ENSGALG00000008007.6
OG0000808	XP_015682768.1, XP_015682769.1, XP_015682767.1	ENSGALG00000008574.7
OG0000809	XP_029139036.1	ENSGALG00000036587.2
OG0000809	XP_015679823.1	ENSGALG00000003928.6
OG0000810	XP_015677977.1	ENSGALG00000039698.2
OG0000810	XP_015685185.1	ENSGALG00000049000.1
OG0000811	XP_015667207.1	ENSGALG00000011289.5
OG0000811	XP_015687709.1, XP_015687708.1	ENSGALG00000028971.3
OG0000812	XP_029140287.1	ENSGALG00000011744.7
OG0000812	XP_015668493.2	ENSGALG00000031495.2
OG0000814	XP_015672740.1	ENSGALG00000032313.3
OG0000815	XP_015684873.1, XP_015682775.2	ENSGALG00000007906.5
OG0000816	XP_029142011.1	ENSGALG00000002326.6
OG0000817	XP_015687101.1	ENSGALG00000016810.6
OG0000817	XP_015669904.1	ENSGALG00000009692.6
OG0000818	XP_015668445.1	ENSGALG00000003566.6
OG0000818	XP_015687577.1	ENSGALG00000004655.6
OG0000819	XP_015666680.1, XP_015666681.1	ENSGALG00000008985.6
OG0000820	XP_015672874.1	ENSGALG00000038364.3
OG0000820	XP_015687246.1	ENSGALG00000037402.3
OG0000821	XP_015679843.1, XP_015679844.1	ENSGALG00000004701.4
OG0000822	XP_015687110.1, XP_015687109.1	ENSGALG00000005992.7
OG0000822	XP_015668176.1	ENSGALG00000004339.6
OG0000823	XP_015680941.1, XP_015685578.1	ENSGALG00000024332.4
OG0000823	XP_015667971.1	ENSGALG00000001668.7, ENSGALG00000048542.1
OG0000824	XP_015670154.1	ENSGALG00000015602.6
OG0000824	XP_015674098.1	ENSGALG00000008352.6
OG0000825	XP_015683814.1, XP_015683956.1	ENSGALG00000025999.4
OG0000826	XP_029141831.1	ENSGALG00000006886.2
OG0000826	XP_015687823.1	ENSGALG00000037015.2
OG0000827	XP_015674912.1	ENSGALG00000044064.2
OG0000827	XP_029141991.1	ENSGALG00000037712.2
OG0000828	XP_015676740.1	ENSGALG00000012137.6
OG0000830	XP_015667351.1	ENSGALG00000009551.7
OG0000830	XP_015667070.1, XP_015667069.1, XP_015667067.1, XP_015667068.1	ENSGALG00000009722.7
OG0000831	XP_029142611.1, XP_015684281.1	ENSGALG00000042199.2
OG0000831	XP_015677175.1, XP_015677174.1	ENSGALG00000042396.3
OG0000832	XP_015677966.1, XP_015677967.1	ENSGALG00000008684.7
OG0000833	XP_015667428.1, XP_015667429.1, XP_015667426.1	ENSGALG00000006939.6
OG0000834	XP_015674443.1, XP_015685926.1	ENSGALG00000033338.2
OG0000835	XP_029140435.1	ENSGALG00000004472.6
OG0000835	XP_015672910.2	ENSGALG00000007038.5
OG0000836	XP_015666820.1, XP_015666821.1	ENSGALG00000010243.6
OG0000838	XP_015672918.1, XP_015672919.1	ENSGALG00000042213.2
OG0000838	XP_015673092.1, XP_015673091.1	ENSGALG00000042125.2
OG0000839	XP_015672932.1	ENSGALG00000051008.1
OG0000840	XP_015677436.1, XP_015677435.1	ENSGALG00000042833.2
OG0000840	XP_015670162.1	ENSGALG00000040023.3
OG0000841	XP_015674349.1	ENSGALG00000004833.5
OG0000841	XP_029142622.1	ENSGALG00000040866.2
OG0000842	XP_015666528.1, XP_015666530.1, XP_015666529.1, XP_015666527.1, XP_029138986.1	ENSGALG00000004171.6
OG0000843	XP_015666534.1, XP_015666533.1	ENSGALG00000004270.7
OG0000843	XP_015672208.1	ENSGALG00000015147.7
OG0000844	XP_015686597.1	ENSGALG00000047947.1
OG0000844	XP_015671995.1	ENSGALG00000015366.5
OG0000845	XP_015683565.1	ENSGALG00000005205.6
OG0000845	XP_015680404.1, XP_015680401.1	ENSGALG00000008217.6
OG0000846	XP_015674107.1	ENSGALG00000006455.6
OG0000848	XP_015670011.1	ENSGALG00000053281.1
OG0000848	XP_015674892.1	ENSGALG00000027036.3
OG0000849	XP_015685492.1, XP_015685498.1, XP_015685485.1, XP_015685477.1, XP_015673271.1, XP_015673283.1	ENSGALG00000002496.6
OG0000849	XP_015685457.1	ENSGALG00000002503.6
OG0000850	XP_015681485.1	ENSGALG00000002370.7
OG0000850	XP_015686959.1, XP_015686958.1, XP_015686957.1	ENSGALG00000010122.7
OG0000851	XP_015666972.2, XP_029139081.1	ENSGALG00000006542.7
OG0000851	XP_029140553.1	ENSGALG00000012092.7
OG0000852	XP_015681099.1	ENSGALG00000012112.6
OG0000852	XP_015666688.1	ENSGALG00000019663.5
OG0000853	XP_015677444.1	ENSGALG00000028810.4
OG0000853	XP_015671014.1	ENSGALG00000002495.7
OG0000854	XP_015666512.1	ENSGALG00000004387.7
OG0000855	XP_015678684.1	ENSGALG00000036742.2
OG0000855	XP_015672927.1	ENSGALG00000007964.6
OG0000856	XP_015673738.1, XP_015673737.1	ENSGALG00000005349.6
OG0000857	XP_015679929.1	ENSGALG00000020703.5
OG0000857	XP_029140012.1	ENSGALG00000013100.6
OG0000858	XP_015682699.1, XP_015682700.1	ENSGALG00000013265.6
OG0000858	XP_015665762.1, XP_015680654.1	ENSGALG00000046826.1
OG0000859	XP_029139689.1	ENSGALG00000014977.6
OG0000860	XP_015672082.1	ENSGALG00000042967.3
OG0000860	XP_015673806.1, XP_015673805.1	ENSGALG00000016549.6
OG0000861	XP_015666752.1, XP_015666753.1	ENSGALG00000004017.5
OG0000861	XP_015666754.2	ENSGALG00000029238.3
OG0000863	XP_015673545.1	ENSGALG00000028133.4
OG0000863	XP_015673608.1	ENSGALG00000008015.7
OG0000864	XP_015673250.1	ENSGALG00000039182.3
OG0000864	XP_015675451.1	ENSGALG00000040006.2
OG0000865	XP_029142082.1	ENSGALG00000040005.2
OG0000865	XP_029141666.1	ENSGALG00000029996.3
OG0000866	XP_015678061.1	ENSGALG00000036739.2
OG0000867	XP_015675734.1	ENSGALG00000005329.6
OG0000867	XP_015678506.1	ENSGALG00000001317.6
OG0000868	XP_015679050.1	ENSGALG00000039363.2
OG0000868	XP_015679359.1	ENSGALG00000035345.2
OG0000869	XP_015680958.1, XP_015680960.1	ENSGALG00000007246.6
OG0000870	XP_029139772.1	ENSGALG00000005550.4
OG0000870	XP_015672979.1	ENSGALG00000016803.6
OG0000871	XP_015686562.1, XP_015686556.1	ENSGALG00000002921.7
OG0000871	XP_015668283.1	ENSGALG00000032570.2
OG0000872	XP_015682531.1, XP_029142204.1	ENSGALG00000008418.6
OG0000872	XP_015668313.1	ENSGALG00000012559.5
OG0000874	XP_015669078.1	ENSGALG00000012007.5
OG0000875	XP_015669213.1, XP_015685449.1, XP_015680106.1, XP_015680105.1, XP_015680104.1, XP_015680107.1	ENSGALG00000001803.6
OG0000876	XP_015669919.1, XP_015669920.1	ENSGALG00000011738.7
OG0000876	XP_015680644.1	ENSGALG00000008443.6
OG0000877	XP_015671335.1	ENSGALG00000034572.3
OG0000877	XP_015666460.1, XP_015666459.1	ENSGALG00000035493.3
OG0000878	XP_015666806.1	ENSGALG00000010221.6
OG0000878	XP_015674237.1	ENSGALG00000043838.2, ENSGALG00000014734.5
OG0000879	XP_015666386.1	ENSGALG00000010619.5
OG0000879	XP_015682975.1	ENSGALG00000049794.1
OG0000880	XP_015677780.1	ENSGALG00000009782.6
OG0000880	XP_015666555.1	ENSGALG00000032808.2
OG0000881	XP_015678838.1	ENSGALG00000043336.2
OG0000882	XP_015665907.1	ENSGALG00000009939.6
OG0000882	XP_015669600.1	ENSGALG00000012380.6
OG0000883	XP_015676726.1	ENSGALG00000006799.6
OG0000885	XP_015687919.1	ENSGALG00000004908.6
OG0000885	XP_015687058.1, XP_015687059.1	ENSGALG00000016592.6
OG0000886	XP_015672856.1	ENSGALG00000038242.2
OG0000886	XP_015684625.1, XP_015687935.2, XP_015685503.1	ENSGALG00000008486.9
OG0000887	XP_015680288.1	ENSGALG00000005789.7
OG0000887	XP_015666205.1	ENSGALG00000008280.7
OG0000888	XP_015680212.2	ENSGALG00000029585.2
OG0000888	XP_015670348.1	ENSGALG00000028187.4
OG0000889	XP_015672411.1, XP_029140155.1	ENSGALG00000016144.6
OG0000890	XP_015671361.1	ENSGALG00000019231.6, ENSGALG00000015191.6
OG0000891	XP_015671932.1	ENSGALG00000032386.2
OG0000891	XP_015671671.1, XP_015671670.1	ENSGALG00000041263.2
OG0000892	XP_015666615.1	ENSGALG00000028673.3
OG0000892	XP_015682470.1, XP_029142189.1	ENSGALG00000000599.5
OG0000893	XP_015677568.1	ENSGALG00000010001.6
OG0000893	XP_015675370.1	ENSGALG00000041422.2
OG0000894	XP_015680872.1	ENSGALG00000005309.6
OG0000895	XP_029139566.1	ENSGALG00000031244.3
OG0000895	XP_029140681.1	ENSGALG00000050760.1
OG0000896	XP_015680637.1	ENSGALG00000032336.2
OG0000896	XP_015679642.1	ENSGALG00000045753.2
OG0000897	XP_015676292.1, XP_029140847.1, XP_015676291.1	ENSGALG00000020876.5
OG0000916	XP_015676247.1	ENSGALG00000021286.5
OG0000916	XP_015676261.1	ENSGALG00000003462.3
OG0000917	XP_029140955.1	ENSGALG00000017044.6
OG0000917	XP_015674116.1	ENSGALG00000007972.6
OG0000918	XP_015683072.1	ENSGALG00000045721.2
OG0000918	XP_029141271.1	ENSGALG00000044204.2
OG0000920	XP_015678959.1	ENSGALG00000027142.3
