Orthogroup	C_familiaris.pep	X_tropicalis.pep
OG0001319	ENSCAFG00000016780.4	ENSXETG00000016425.1
OG0001320	ENSCAFG00000016799.4	ENSXETG00000015729.1
OG0001320	ENSCAFG00000010185.4	ENSXETG00000003019.1
OG0001321	ENSCAFG00000000205.3	ENSXETG00000000647.1
OG0001321	ENSCAFG00000007923.3	ENSXETG00000018721.1
OG0001322	ENSCAFG00000011552.5	ENSXETG00000000343.1
OG0001323	ENSCAFG00000013129.2, ENSCAFG00000000833.4	ENSXETG00000015479.1
OG0001324	ENSCAFG00000041510.1, ENSCAFG00000044326.1, ENSCAFG00000005274.3	ENSXETG00000015652.1
OG0001325	ENSCAFG00000007117.4, ENSCAFG00000045085.1	ENSXETG00000003218.1
OG0001327	ENSCAFG00000030423.2	ENSXETG00000000383.1, ENSXETG00000017458.1
OG0001328	ENSCAFG00000012378.5	ENSXETG00000006998.1
OG0001329	ENSCAFG00000000178.6	ENSXETG00000014189.1
OG0001329	ENSCAFG00000005403.5	ENSXETG00000020864.1
OG0001330	ENSCAFG00000011537.4	ENSXETG00000010167.1
OG0001330	ENSCAFG00000015971.4	ENSXETG00000009561.1
OG0001331	ENSCAFG00000004630.5, ENSCAFG00000016461.5	ENSXETG00000021179.1
OG0001333	ENSCAFG00000005663.4	ENSXETG00000007978.1
OG0001335	ENSCAFG00000002470.4	ENSXETG00000005899.1
OG0001335	ENSCAFG00000001166.4	ENSXETG00000002485.1
OG0001336	ENSCAFG00000017372.5	ENSXETG00000007742.1, ENSXETG00000020406.1
OG0001337	ENSCAFG00000016295.4	ENSXETG00000010568.1
OG0001337	ENSCAFG00000030926.2	ENSXETG00000019911.1
OG0001338	ENSCAFG00000020267.4	ENSXETG00000012326.1
OG0001339	ENSCAFG00000016643.4	ENSXETG00000019396.1
OG0001339	ENSCAFG00000010307.4	ENSXETG00000010653.1
OG0001340	ENSCAFG00000016488.5	ENSXETG00000006666.1
OG0001340	ENSCAFG00000020319.5	ENSXETG00000003904.1
OG0001341	ENSCAFG00000032014.2, ENSCAFG00000019640.4	ENSXETG00000008578.1
OG0001342	ENSCAFG00000010434.4	ENSXETG00000019727.1, ENSXETG00000009223.1
OG0001342	ENSCAFG00000000717.4	ENSXETG00000005417.1
OG0001343	ENSCAFG00000017879.4	ENSXETG00000002639.1
OG0001343	ENSCAFG00000009140.5	ENSXETG00000011104.1
OG0001345	ENSCAFG00000018190.4	ENSXETG00000007610.1
OG0001345	ENSCAFG00000012219.5	ENSXETG00000009962.1
OG0001346	ENSCAFG00000014152.4, ENSCAFG00000010624.3	ENSXETG00000005446.1
OG0001347	ENSCAFG00000002291.4, ENSCAFG00000023912.3	ENSXETG00000014064.1, ENSXETG00000021071.1
OG0001348	ENSCAFG00000017038.2, ENSCAFG00000016581.1	ENSXETG00000020694.1
OG0001349	ENSCAFG00000032570.2	ENSXETG00000017436.1
OG0001350	ENSCAFG00000004814.2	ENSXETG00000002598.1, ENSXETG00000002074.1, ENSXETG00000002061.1, ENSXETG00000014904.1, ENSXETG00000002053.1, ENSXETG00000002040.1
OG0001351	ENSCAFG00000019350.5	ENSXETG00000008893.1
OG0001352	ENSCAFG00000018882.5	ENSXETG00000020363.1
OG0001352	ENSCAFG00000018887.5	ENSXETG00000017716.1
OG0001353	ENSCAFG00000000012.5	ENSXETG00000002432.1
OG0001353	ENSCAFG00000011659.5	ENSXETG00000001926.1
OG0001354	ENSCAFG00000005176.4	ENSXETG00000005803.1
OG0001354	ENSCAFG00000019128.4	ENSXETG00000010105.1
OG0001355	ENSCAFG00000007627.4	ENSXETG00000015672.1
OG0001356	ENSCAFG00000018692.4	ENSXETG00000013294.1
OG0001356	ENSCAFG00000015368.4	ENSXETG00000013082.1
OG0001357	ENSCAFG00000009007.4	ENSXETG00000003672.1
OG0001357	ENSCAFG00000017374.4	ENSXETG00000016411.1
OG0001358	ENSCAFG00000000100.4	ENSXETG00000005180.1
OG0001358	ENSCAFG00000012889.4	ENSXETG00000019429.1
OG0001359	ENSCAFG00000011750.3	ENSXETG00000018239.1
OG0001360	ENSCAFG00000043173.1, ENSCAFG00000010763.3, ENSCAFG00000047561.1, ENSCAFG00000047734.1, ENSCAFG00000025725.2, ENSCAFG00000025660.2, ENSCAFG00000024313.3, ENSCAFG00000009988.4	ENSXETG00000003147.1
OG0001361	ENSCAFG00000010210.3, ENSCAFG00000002380.4	ENSXETG00000004751.1
OG0001362	ENSCAFG00000018208.5	ENSXETG00000000949.1, ENSXETG00000019704.1
OG0001363	ENSCAFG00000012709.5	ENSXETG00000000489.1
OG0001364	ENSCAFG00000018243.4, ENSCAFG00000004678.4	ENSXETG00000018183.1
OG0001365	ENSCAFG00000011005.6	ENSXETG00000016328.1
OG0001366	ENSCAFG00000006055.4	ENSXETG00000008660.1
OG0001366	ENSCAFG00000019952.5	ENSXETG00000010576.1
OG0001367	ENSCAFG00000003902.5	ENSXETG00000013409.1
OG0001367	ENSCAFG00000006870.4	ENSXETG00000016632.1
OG0001368	ENSCAFG00000005621.4	ENSXETG00000018086.1
OG0001369	ENSCAFG00000020136.5, ENSCAFG00000002166.4	ENSXETG00000020552.1
OG0001370	ENSCAFG00000008203.5	ENSXETG00000020472.1
OG0001371	ENSCAFG00000005365.5	ENSXETG00000001427.1
OG0001371	ENSCAFG00000013896.4	ENSXETG00000000094.1, ENSXETG00000014797.1, ENSXETG00000014088.1
OG0001372	ENSCAFG00000011814.4, ENSCAFG00000008188.4	ENSXETG00000010644.1
OG0001373	ENSCAFG00000015181.6	ENSXETG00000002820.1
OG0001374	ENSCAFG00000031961.2	ENSXETG00000018725.1
OG0001375	ENSCAFG00000003263.4	ENSXETG00000001694.1
OG0001376	ENSCAFG00000009072.4	ENSXETG00000000699.1
OG0001377	ENSCAFG00000020436.4	ENSXETG00000014366.1
OG0001377	ENSCAFG00000020425.4	ENSXETG00000014645.1
OG0001378	ENSCAFG00000007547.4	ENSXETG00000018677.1
OG0001379	ENSCAFG00000019351.5	ENSXETG00000014708.1
OG0001380	ENSCAFG00000006647.4, ENSCAFG00000044467.1	ENSXETG00000011590.1
OG0001381	ENSCAFG00000031631.2	ENSXETG00000000600.1
OG0001381	ENSCAFG00000014414.4	ENSXETG00000016972.1
OG0001382	ENSCAFG00000003894.4, ENSCAFG00000023403.4	ENSXETG00000002212.1
OG0001384	ENSCAFG00000009287.4	ENSXETG00000014709.1
OG0001384	ENSCAFG00000025220.3	ENSXETG00000013810.1
OG0001385	ENSCAFG00000006373.3, ENSCAFG00000013973.5	ENSXETG00000019903.1
OG0001386	ENSCAFG00000015915.3	ENSXETG00000006285.1
OG0001387	ENSCAFG00000006240.5	ENSXETG00000005036.1
OG0001387	ENSCAFG00000011796.5	ENSXETG00000002497.1
OG0001388	ENSCAFG00000006290.4	ENSXETG00000004375.1
OG0001388	ENSCAFG00000018537.4	ENSXETG00000000739.1
OG0001389	ENSCAFG00000023863.2, ENSCAFG00000002590.4	ENSXETG00000015573.1, ENSXETG00000015654.1, ENSXETG00000015601.1, ENSXETG00000015699.1
OG0001390	ENSCAFG00000011082.5	ENSXETG00000010114.1
OG0001391	ENSCAFG00000012256.5, ENSCAFG00000009628.4	ENSXETG00000015624.1
OG0001392	ENSCAFG00000002649.4	ENSXETG00000011919.1, ENSXETG00000015969.1
OG0001393	ENSCAFG00000005007.4, ENSCAFG00000000082.2	ENSXETG00000020590.1
OG0001394	ENSCAFG00000018064.5	ENSXETG00000017914.1
OG0001395	ENSCAFG00000031955.2, ENSCAFG00000011389.2	ENSXETG00000019151.1
OG0001396	ENSCAFG00000005453.6	ENSXETG00000019394.1, ENSXETG00000001160.1
OG0001396	ENSCAFG00000013285.4	ENSXETG00000003916.1
OG0001397	ENSCAFG00000012960.4	ENSXETG00000021007.1
OG0001398	ENSCAFG00000002694.4	ENSXETG00000014456.1
OG0001399	ENSCAFG00000015788.5	ENSXETG00000018439.1
OG0001399	ENSCAFG00000006492.5	ENSXETG00000013423.1
OG0001400	ENSCAFG00000002801.4	ENSXETG00000003209.1
OG0001401	ENSCAFG00000014987.5	ENSXETG00000020344.1
OG0001401	ENSCAFG00000008767.5	ENSXETG00000006352.1
OG0001402	ENSCAFG00000005835.5	ENSXETG00000018092.1
OG0001403	ENSCAFG00000011657.4, ENSCAFG00000006017.5	ENSXETG00000004240.1
OG0001404	ENSCAFG00000004144.4, ENSCAFG00000003953.5, ENSCAFG00000007296.3	ENSXETG00000003126.1
OG0001406	ENSCAFG00000019207.4, ENSCAFG00000001711.4	ENSXETG00000007353.1
OG0001407	ENSCAFG00000013175.5	ENSXETG00000001838.1, ENSXETG00000001816.1
OG0001408	ENSCAFG00000003356.5, ENSCAFG00000045970.1	ENSXETG00000001068.1
OG0001409	ENSCAFG00000017571.4	ENSXETG00000015794.1
OG0001409	ENSCAFG00000029809.2	ENSXETG00000011579.1
OG0001410	ENSCAFG00000017507.5	ENSXETG00000000907.1
OG0001410	ENSCAFG00000018765.5	ENSXETG00000003477.1
OG0001411	ENSCAFG00000017080.4, ENSCAFG00000001303.4	ENSXETG00000012275.1
OG0001412	ENSCAFG00000001520.5	ENSXETG00000017015.1
OG0001413	ENSCAFG00000000978.5	ENSXETG00000011396.1
OG0001414	ENSCAFG00000047924.1, ENSCAFG00000019786.4	ENSXETG00000010832.1
OG0001415	ENSCAFG00000023661.2, ENSCAFG00000049807.1, ENSCAFG00000023356.3, ENSCAFG00000018568.4, ENSCAFG00000023992.2	ENSXETG00000000516.1, ENSXETG00000000428.1, ENSXETG00000000416.1, ENSXETG00000000400.1
OG0001416	ENSCAFG00000031564.2	ENSXETG00000016815.1
OG0001417	ENSCAFG00000010321.5, ENSCAFG00000005854.4	ENSXETG00000002416.1
OG0001418	ENSCAFG00000014052.4	ENSXETG00000016917.1, ENSXETG00000019212.1, ENSXETG00000018569.1, ENSXETG00000018572.1, ENSXETG00000021045.1, ENSXETG00000021221.1, ENSXETG00000017951.1, ENSXETG00000017245.1, ENSXETG00000000109.1
OG0001419	ENSCAFG00000008919.4, ENSCAFG00000000391.5	ENSXETG00000008083.1
OG0001421	ENSCAFG00000013382.5, ENSCAFG00000000337.4	ENSXETG00000019537.1
OG0001422	ENSCAFG00000041383.1	ENSXETG00000014743.1
OG0001423	ENSCAFG00000013477.4	ENSXETG00000018495.1
OG0001423	ENSCAFG00000003408.4	ENSXETG00000017576.1
OG0001424	ENSCAFG00000013597.4	ENSXETG00000018815.1
OG0001424	ENSCAFG00000003410.4	ENSXETG00000012048.1
OG0001425	ENSCAFG00000003338.4, ENSCAFG00000008824.3	ENSXETG00000001523.1
OG0001426	ENSCAFG00000028858.2	ENSXETG00000016190.1
OG0001426	ENSCAFG00000002105.4	ENSXETG00000000386.1
OG0001427	ENSCAFG00000009863.4	ENSXETG00000011000.1
OG0001428	ENSCAFG00000041789.1, ENSCAFG00000004743.4	ENSXETG00000004943.1
OG0001429	ENSCAFG00000025116.3	ENSXETG00000009201.1, ENSXETG00000009205.1
OG0001429	ENSCAFG00000042378.1	ENSXETG00000009196.1
OG0001430	ENSCAFG00000014451.4	ENSXETG00000006168.1
OG0001431	ENSCAFG00000019247.3	ENSXETG00000010049.1
OG0001431	ENSCAFG00000010022.4	ENSXETG00000012468.1
OG0001432	ENSCAFG00000016008.4, ENSCAFG00000000653.4, ENSCAFG00000015886.2	ENSXETG00000004265.1, ENSXETG00000014668.1
OG0001433	ENSCAFG00000013206.6	ENSXETG00000002477.1
OG0001434	ENSCAFG00000001883.4	ENSXETG00000006253.1
OG0001434	ENSCAFG00000025069.3	ENSXETG00000002977.1
OG0001435	ENSCAFG00000009811.4, ENSCAFG00000009839.5	ENSXETG00000000378.1
OG0001436	ENSCAFG00000010378.4, ENSCAFG00000011821.4	ENSXETG00000004108.1
OG0001437	ENSCAFG00000008622.4, ENSCAFG00000024210.3, ENSCAFG00000044436.1	ENSXETG00000007710.1
OG0001438	ENSCAFG00000018449.4	ENSXETG00000016822.1
OG0001439	ENSCAFG00000019378.4	ENSXETG00000004179.1
OG0001439	ENSCAFG00000007515.4	ENSXETG00000010334.1
OG0001441	ENSCAFG00000023446.4	ENSXETG00000019095.1
OG0001441	ENSCAFG00000001305.4	ENSXETG00000019190.1, ENSXETG00000019404.1
OG0001442	ENSCAFG00000017503.4, ENSCAFG00000001399.5	ENSXETG00000017423.1
OG0001443	ENSCAFG00000002013.6	ENSXETG00000020964.1
OG0001443	ENSCAFG00000017584.5	ENSXETG00000006375.1
OG0001444	ENSCAFG00000002053.5	ENSXETG00000017429.1
OG0001444	ENSCAFG00000018728.4	ENSXETG00000013063.1
OG0001445	ENSCAFG00000049790.1, ENSCAFG00000032405.2	ENSXETG00000019158.1
OG0001446	ENSCAFG00000031316.1	ENSXETG00000001003.1
OG0001447	ENSCAFG00000008236.5	ENSXETG00000002028.1
OG0001448	ENSCAFG00000013853.5	ENSXETG00000009127.1, ENSXETG00000001038.1, ENSXETG00000003842.1, ENSXETG00000004119.1, ENSXETG00000004163.1, ENSXETG00000003992.1
OG0001449	ENSCAFG00000029670.2	ENSXETG00000008241.1
OG0001449	ENSCAFG00000024680.4	ENSXETG00000007378.1
OG0001450	ENSCAFG00000001986.5	ENSXETG00000005175.1
OG0001452	ENSCAFG00000046194.1	ENSXETG00000014750.1
OG0001452	ENSCAFG00000010092.5	ENSXETG00000005507.1
OG0001453	ENSCAFG00000017078.5	ENSXETG00000009697.1
OG0001454	ENSCAFG00000014781.5, ENSCAFG00000018853.3	ENSXETG00000019926.1
OG0001455	ENSCAFG00000008315.6	ENSXETG00000017564.1
OG0001456	ENSCAFG00000015093.3, ENSCAFG00000011773.5	ENSXETG00000018212.1
OG0001457	ENSCAFG00000000840.4	ENSXETG00000003547.1, ENSXETG00000003604.1
OG0001458	ENSCAFG00000012170.4, ENSCAFG00000004812.4	ENSXETG00000019759.1
OG0001459	ENSCAFG00000000354.4	ENSXETG00000017676.1
OG0001460	ENSCAFG00000003296.5	ENSXETG00000006858.1
OG0001460	ENSCAFG00000000433.4	ENSXETG00000014172.1
OG0001461	ENSCAFG00000001996.4	ENSXETG00000002109.1
OG0001463	ENSCAFG00000008112.4	ENSXETG00000016484.1
OG0001464	ENSCAFG00000006548.5	ENSXETG00000008342.1
OG0001465	ENSCAFG00000030478.3	ENSXETG00000008902.1
OG0001466	ENSCAFG00000000427.4	ENSXETG00000008438.1
OG0001467	ENSCAFG00000000533.5	ENSXETG00000001809.1
OG0001468	ENSCAFG00000000657.4	ENSXETG00000016100.1
OG0001469	ENSCAFG00000000690.4	ENSXETG00000000535.1
OG0001470	ENSCAFG00000006067.5	ENSXETG00000011196.1, ENSXETG00000011111.1, ENSXETG00000011221.1, ENSXETG00000011012.1
OG0001473	ENSCAFG00000018298.4, ENSCAFG00000010149.4, ENSCAFG00000043266.1	ENSXETG00000000330.1
OG0001474	ENSCAFG00000018780.4	ENSXETG00000012900.1
OG0001474	ENSCAFG00000013676.4	ENSXETG00000015025.1
OG0001475	ENSCAFG00000031651.1, ENSCAFG00000028926.2, ENSCAFG00000031792.2, ENSCAFG00000032653.2	ENSXETG00000007403.1, ENSXETG00000007338.1, ENSXETG00000007434.1, ENSXETG00000007429.1, ENSXETG00000007389.1
OG0001476	ENSCAFG00000045959.1, ENSCAFG00000013809.5	ENSXETG00000020131.1, ENSXETG00000013437.1, ENSXETG00000017679.1
OG0001477	ENSCAFG00000028529.2	ENSXETG00000009795.1
OG0001477	ENSCAFG00000000265.4	ENSXETG00000014526.1
OG0001478	ENSCAFG00000031922.2, ENSCAFG00000017960.4, ENSCAFG00000011947.5	ENSXETG00000006662.1
OG0001493	ENSCAFG00000012005.1	ENSXETG00000006017.1
OG0001494	ENSCAFG00000011912.5	ENSXETG00000014951.1
OG0001495	ENSCAFG00000019921.4	ENSXETG00000020645.1
OG0001495	ENSCAFG00000007049.4	ENSXETG00000011243.1
OG0001497	ENSCAFG00000023338.4	ENSXETG00000012013.1
OG0001500	ENSCAFG00000002147.4, ENSCAFG00000002145.5	ENSXETG00000003137.1
OG0001501	ENSCAFG00000005673.4	ENSXETG00000020327.1
OG0001502	ENSCAFG00000018023.5, ENSCAFG00000018021.4	ENSXETG00000008481.1, ENSXETG00000020791.1, ENSXETG00000019131.1, ENSXETG00000018773.1, ENSXETG00000020619.1, ENSXETG00000020198.1, ENSXETG00000021251.1
OG0001504	ENSCAFG00000016755.3	ENSXETG00000000540.1
OG0001505	ENSCAFG00000019753.4, ENSCAFG00000007612.4	ENSXETG00000003524.1
OG0001506	ENSCAFG00000008064.4	ENSXETG00000008616.1
OG0001506	ENSCAFG00000009584.4	ENSXETG00000001138.1
OG0001507	ENSCAFG00000042528.1, ENSCAFG00000011514.4	ENSXETG00000011107.1
OG0001508	ENSCAFG00000029853.2	ENSXETG00000003867.1
OG0001509	ENSCAFG00000016633.4, ENSCAFG00000004184.4	ENSXETG00000007088.1
OG0001510	ENSCAFG00000029183.2	ENSXETG00000016730.1
OG0001511	ENSCAFG00000031314.2	ENSXETG00000005188.1
OG0001512	ENSCAFG00000013952.4, ENSCAFG00000008184.4	ENSXETG00000003894.1
OG0001513	ENSCAFG00000019392.5	ENSXETG00000000927.1
OG0001513	ENSCAFG00000004583.4	ENSXETG00000010247.1
OG0001514	ENSCAFG00000029063.2	ENSXETG00000013889.1
OG0001515	ENSCAFG00000004180.4	ENSXETG00000013907.1
OG0001516	ENSCAFG00000030485.2, ENSCAFG00000005924.4	ENSXETG00000013956.1
OG0001517	ENSCAFG00000009186.4	ENSXETG00000010725.1
OG0001518	ENSCAFG00000004969.4, ENSCAFG00000017445.5	ENSXETG00000019609.1
OG0001519	ENSCAFG00000030197.2	ENSXETG00000008379.1
OG0001519	ENSCAFG00000046401.1	ENSXETG00000004169.1
OG0001520	ENSCAFG00000001859.1	ENSXETG00000006727.1
OG0001521	ENSCAFG00000018876.4	ENSXETG00000014777.1
OG0001523	ENSCAFG00000030749.2, ENSCAFG00000042944.1	ENSXETG00000014966.1
OG0001524	ENSCAFG00000013102.5	ENSXETG00000011135.1
OG0001525	ENSCAFG00000018746.3	ENSXETG00000013009.1
OG0001526	ENSCAFG00000018538.4	ENSXETG00000017784.1
OG0001528	ENSCAFG00000003901.4, ENSCAFG00000011487.4	ENSXETG00000008954.1
OG0001530	ENSCAFG00000004213.4	ENSXETG00000006726.1
OG0001530	ENSCAFG00000016540.4	ENSXETG00000010361.1
OG0001531	ENSCAFG00000030459.2, ENSCAFG00000028835.2	ENSXETG00000016741.1
OG0001531	ENSCAFG00000018374.4	ENSXETG00000002159.1
OG0001532	ENSCAFG00000012906.4, ENSCAFG00000012908.5	ENSXETG00000006156.1
OG0001533	ENSCAFG00000012537.5	ENSXETG00000001452.1
OG0001534	ENSCAFG00000014599.4	ENSXETG00000010184.1
OG0001536	ENSCAFG00000010999.5, ENSCAFG00000011233.5	ENSXETG00000018692.1
OG0001537	ENSCAFG00000006777.4	ENSXETG00000009673.1
OG0001537	ENSCAFG00000009744.4	ENSXETG00000006086.1
OG0001538	ENSCAFG00000018142.1	ENSXETG00000004945.1
OG0001539	ENSCAFG00000032632.2	ENSXETG00000008946.1
OG0001540	ENSCAFG00000032472.2, ENSCAFG00000030023.2	ENSXETG00000019774.1, ENSXETG00000018900.1, ENSXETG00000019777.1
OG0001541	ENSCAFG00000002425.5	ENSXETG00000013984.1
OG0001543	ENSCAFG00000017278.5, ENSCAFG00000007766.4	ENSXETG00000017052.1
OG0001544	ENSCAFG00000013354.4	ENSXETG00000000635.1, ENSXETG00000000205.1
OG0001545	ENSCAFG00000014071.4	ENSXETG00000016301.1, ENSXETG00000015918.1, ENSXETG00000015853.1, ENSXETG00000015835.1, ENSXETG00000015867.1, ENSXETG00000015882.1, ENSXETG00000015891.1, ENSXETG00000015906.1
OG0001546	ENSCAFG00000002853.5	ENSXETG00000008845.1, ENSXETG00000008649.1, ENSXETG00000008872.1, ENSXETG00000006390.1, ENSXETG00000008855.1, ENSXETG00000016330.1, ENSXETG00000008898.1, ENSXETG00000016340.1, ENSXETG00000015797.1, ENSXETG00000015759.1
OG0001547	ENSCAFG00000025442.3	ENSXETG00000011138.1
OG0001547	ENSCAFG00000010498.5	ENSXETG00000020044.1
OG0001548	ENSCAFG00000004686.4, ENSCAFG00000008828.4, ENSCAFG00000047620.1, ENSCAFG00000011328.5, ENSCAFG00000017487.3, ENSCAFG00000012558.4	ENSXETG00000019645.1
OG0001549	ENSCAFG00000012085.4	ENSXETG00000008370.1
OG0001550	ENSCAFG00000002023.5	ENSXETG00000001576.1
OG0001551	ENSCAFG00000003846.4, ENSCAFG00000012122.2	ENSXETG00000013601.1
OG0001552	ENSCAFG00000012179.4	ENSXETG00000019050.1
OG0001553	ENSCAFG00000016839.4	ENSXETG00000004113.1
OG0001554	ENSCAFG00000015713.4, ENSCAFG00000048831.1, ENSCAFG00000018903.4	ENSXETG00000000403.1
OG0001555	ENSCAFG00000017793.4	ENSXETG00000018946.1
OG0001556	ENSCAFG00000018040.5	ENSXETG00000007939.1
OG0001557	ENSCAFG00000018754.4, ENSCAFG00000018757.3	ENSXETG00000000508.1, ENSXETG00000000496.1, ENSXETG00000000504.1, ENSXETG00000015101.1, ENSXETG00000019829.1, ENSXETG00000018326.1, ENSXETG00000015117.1
OG0001558	ENSCAFG00000018592.5	ENSXETG00000012359.1
OG0001559	ENSCAFG00000004379.5	ENSXETG00000012643.1
OG0001560	ENSCAFG00000012802.4	ENSXETG00000009138.1
OG0001561	ENSCAFG00000030985.2	ENSXETG00000004527.1
OG0001561	ENSCAFG00000028591.2	ENSXETG00000015694.1
OG0001562	ENSCAFG00000009058.4	ENSXETG00000017696.1
OG0001564	ENSCAFG00000049829.1	ENSXETG00000007250.1
OG0001565	ENSCAFG00000013549.4	ENSXETG00000009686.1
OG0001565	ENSCAFG00000031015.2	ENSXETG00000014631.1
OG0001566	ENSCAFG00000001903.4	ENSXETG00000000407.1
OG0001566	ENSCAFG00000017260.5	ENSXETG00000005393.1
OG0001567	ENSCAFG00000006423.4, ENSCAFG00000029336.2	ENSXETG00000001116.1
OG0001568	ENSCAFG00000017742.4, ENSCAFG00000000956.4, ENSCAFG00000020325.3	ENSXETG00000019748.1
OG0001569	ENSCAFG00000018530.5, ENSCAFG00000010758.4	ENSXETG00000009410.1
OG0001570	ENSCAFG00000049401.1, ENSCAFG00000030164.2, ENSCAFG00000032363.2	ENSXETG00000004772.1
OG0001571	ENSCAFG00000014151.4	ENSXETG00000001716.1
OG0001573	ENSCAFG00000019420.5	ENSXETG00000013813.1
OG0001574	ENSCAFG00000007085.4	ENSXETG00000006576.1, ENSXETG00000012094.1
OG0001575	ENSCAFG00000007651.4	ENSXETG00000003427.1
OG0001576	ENSCAFG00000009097.4	ENSXETG00000002087.1
OG0001577	ENSCAFG00000029027.2	ENSXETG00000013857.1
OG0001578	ENSCAFG00000014123.3	ENSXETG00000015679.1
OG0001579	ENSCAFG00000019191.2	ENSXETG00000019739.1
OG0001579	ENSCAFG00000000098.4	ENSXETG00000005158.1
OG0001580	ENSCAFG00000029157.2	ENSXETG00000019910.1
OG0001580	ENSCAFG00000004359.5	ENSXETG00000020256.1
OG0001581	ENSCAFG00000014234.1, ENSCAFG00000012516.4	ENSXETG00000009391.1
OG0001582	ENSCAFG00000019421.4	ENSXETG00000002680.1, ENSXETG00000013709.1
OG0001583	ENSCAFG00000009767.3	ENSXETG00000018884.1
OG0001584	ENSCAFG00000010449.4	ENSXETG00000014545.1
OG0001585	ENSCAFG00000023904.3	ENSXETG00000020255.1
OG0001585	ENSCAFG00000017172.4	ENSXETG00000004859.1
OG0001586	ENSCAFG00000015851.5, ENSCAFG00000015857.5	ENSXETG00000012448.1
OG0001587	ENSCAFG00000012328.4	ENSXETG00000011941.1
OG0001588	ENSCAFG00000006503.4	ENSXETG00000001186.1
OG0001589	ENSCAFG00000010445.4, ENSCAFG00000005144.4	ENSXETG00000005945.1
OG0001590	ENSCAFG00000003954.5, ENSCAFG00000006795.4, ENSCAFG00000023724.3	ENSXETG00000006597.1
OG0001592	ENSCAFG00000025298.2, ENSCAFG00000025462.3	ENSXETG00000006654.1
OG0001593	ENSCAFG00000031894.2	ENSXETG00000007228.1
OG0001594	ENSCAFG00000009500.4	ENSXETG00000007112.1
OG0001595	ENSCAFG00000023645.3	ENSXETG00000005991.1
OG0001595	ENSCAFG00000007330.4	ENSXETG00000000323.1
OG0001596	ENSCAFG00000010281.4	ENSXETG00000001673.1
OG0001597	ENSCAFG00000011966.4	ENSXETG00000013094.1
OG0001598	ENSCAFG00000019011.4, ENSCAFG00000000165.4	ENSXETG00000012657.1
OG0001599	ENSCAFG00000012395.4	ENSXETG00000003290.1
OG0001599	ENSCAFG00000006896.2	ENSXETG00000015842.1
OG0001600	ENSCAFG00000012380.5	ENSXETG00000003665.1
OG0001601	ENSCAFG00000004606.5	ENSXETG00000018848.1
OG0001602	ENSCAFG00000023478.4, ENSCAFG00000003936.5, ENSCAFG00000025415.3	ENSXETG00000010362.1
OG0001603	ENSCAFG00000004164.4	ENSXETG00000018901.1
OG0001604	ENSCAFG00000023949.3	ENSXETG00000011575.1
OG0001605	ENSCAFG00000032193.1	ENSXETG00000019386.1
OG0001606	ENSCAFG00000008815.4	ENSXETG00000011615.1
OG0001607	ENSCAFG00000012684.5	ENSXETG00000017720.1
OG0001608	ENSCAFG00000009005.4	ENSXETG00000015977.1
OG0001609	ENSCAFG00000008396.4	ENSXETG00000013999.1
OG0001610	ENSCAFG00000014422.5, ENSCAFG00000031003.3	ENSXETG00000002026.1, ENSXETG00000006422.1
OG0001611	ENSCAFG00000015640.5	ENSXETG00000018309.1
OG0001613	ENSCAFG00000020225.5	ENSXETG00000003615.1
OG0001613	ENSCAFG00000011330.4	ENSXETG00000009378.1
OG0001614	ENSCAFG00000018787.4, ENSCAFG00000023756.4	ENSXETG00000009266.1
OG0001615	ENSCAFG00000000060.5	ENSXETG00000003068.1
OG0001616	ENSCAFG00000012230.2	ENSXETG00000009947.1
OG0001616	ENSCAFG00000018193.4	ENSXETG00000007602.1
OG0001618	ENSCAFG00000023621.3, ENSCAFG00000049071.1, ENSCAFG00000023521.3	ENSXETG00000004363.1
OG0001618	ENSCAFG00000004866.4	ENSXETG00000000670.1
OG0001619	ENSCAFG00000008549.5	ENSXETG00000020234.1
OG0001620	ENSCAFG00000005328.5	ENSXETG00000012289.1
OG0001621	ENSCAFG00000009641.4, ENSCAFG00000030633.2, ENSCAFG00000028626.2	ENSXETG00000001506.1, ENSXETG00000001509.1
OG0001622	ENSCAFG00000015188.4	ENSXETG00000006930.1
OG0001623	ENSCAFG00000007816.4, ENSCAFG00000016065.2, ENSCAFG00000008873.4, ENSCAFG00000004838.2	ENSXETG00000016327.1
OG0001624	ENSCAFG00000015617.4, ENSCAFG00000000072.4	ENSXETG00000019661.1
OG0001625	ENSCAFG00000032256.1	ENSXETG00000011025.1
OG0001626	ENSCAFG00000002123.4	ENSXETG00000008024.1
OG0001627	ENSCAFG00000010883.4	ENSXETG00000007010.1, ENSXETG00000015094.1
OG0001629	ENSCAFG00000002306.4	ENSXETG00000018958.1
OG0001630	ENSCAFG00000015174.5	ENSXETG00000002741.1, ENSXETG00000002760.1, ENSXETG00000002812.1
OG0001631	ENSCAFG00000015784.5	ENSXETG00000002884.1, ENSXETG00000009454.1, ENSXETG00000009467.1, ENSXETG00000007271.1, ENSXETG00000005477.1, ENSXETG00000002902.1, ENSXETG00000006525.1, ENSXETG00000016044.1
OG0001632	ENSCAFG00000013656.1, ENSCAFG00000005742.4, ENSCAFG00000013750.1, ENSCAFG00000024495.2, ENSCAFG00000044994.1, ENSCAFG00000019041.2	ENSXETG00000006959.1
