Orthogroup	C_familiaris.pep	G_gallus.pep
OG0001951	ENSCAFG00000013367.5	ENSGALG00000040908.2
OG0001953	ENSCAFG00000004913.5	ENSGALG00000012119.6
OG0001953	ENSCAFG00000046140.1	ENSGALG00000050151.1
OG0001953	ENSCAFG00000025572.3	ENSGALG00000053705.1
OG0001956	ENSCAFG00000000629.4	ENSGALG00000043771.2
OG0001957	ENSCAFG00000016759.4	ENSGALG00000002906.7
OG0001958	ENSCAFG00000010098.4	ENSGALG00000002379.7
OG0001960	ENSCAFG00000011481.3, ENSCAFG00000005582.3, ENSCAFG00000005588.3	ENSGALG00000052146.1, ENSGALG00000050947.1, ENSGALG00000047344.1
OG0001964	ENSCAFG00000006432.6, ENSCAFG00000006437.4	ENSGALG00000014117.4, ENSGALG00000019026.5
OG0001985	ENSCAFG00000011166.2, ENSCAFG00000020212.4	ENSGALG00000035677.3
OG0001987	ENSCAFG00000019609.4	ENSGALG00000046030.2
OG0001988	ENSCAFG00000000554.4	ENSGALG00000032458.2
OG0001989	ENSCAFG00000014292.5, ENSCAFG00000006354.5	ENSGALG00000012295.6
OG0001991	ENSCAFG00000015727.5	ENSGALG00000043128.2
OG0001992	ENSCAFG00000017270.4, ENSCAFG00000043946.1	ENSGALG00000007936.4
OG0001993	ENSCAFG00000018856.5	ENSGALG00000039500.3
OG0001994	ENSCAFG00000030867.2	ENSGALG00000003829.6
OG0001995	ENSCAFG00000011417.4, ENSCAFG00000017309.5, ENSCAFG00000010555.3, ENSCAFG00000018632.4	ENSGALG00000007711.7
OG0001996	ENSCAFG00000018760.4	ENSGALG00000034829.3
OG0001998	ENSCAFG00000005864.4	ENSGALG00000027166.3, ENSGALG00000028988.2, ENSGALG00000000871.6, ENSGALG00000006443.5, ENSGALG00000032614.2
OG0002000	ENSCAFG00000008244.3	ENSGALG00000009845.4, ENSGALG00000040044.3
OG0002002	ENSCAFG00000013957.3	ENSGALG00000013528.6, ENSGALG00000004257.6
OG0002003	ENSCAFG00000023690.3	ENSGALG00000003881.5
OG0002004	ENSCAFG00000012100.4	ENSGALG00000029077.3
OG0002005	ENSCAFG00000015667.5	ENSGALG00000003652.7
OG0002006	ENSCAFG00000042471.1, ENSCAFG00000012431.4	ENSGALG00000008435.5
OG0002007	ENSCAFG00000016602.4	ENSGALG00000009415.7
OG0002008	ENSCAFG00000013776.5, ENSCAFG00000013791.4	ENSGALG00000042254.2, ENSGALG00000004144.7
OG0002011	ENSCAFG00000006941.4	ENSGALG00000030187.3
OG0002012	ENSCAFG00000013614.5	ENSGALG00000001905.7
OG0002013	ENSCAFG00000015408.4	ENSGALG00000003507.6
OG0002014	ENSCAFG00000025192.2	ENSGALG00000008346.5, ENSGALG00000008355.5
OG0002015	ENSCAFG00000018725.4	ENSGALG00000003547.6
OG0002016	ENSCAFG00000012999.5	ENSGALG00000008385.6
OG0002017	ENSCAFG00000002756.4	ENSGALG00000011684.5
OG0002019	ENSCAFG00000001819.4	ENSGALG00000030844.3
OG0002020	ENSCAFG00000015216.4	ENSGALG00000034889.3
OG0002021	ENSCAFG00000017214.4	ENSGALG00000007788.6
OG0002022	ENSCAFG00000012555.4	ENSGALG00000045127.2
OG0002023	ENSCAFG00000002785.4	ENSGALG00000021020.4
OG0002024	ENSCAFG00000014064.4	ENSGALG00000014683.6
OG0002025	ENSCAFG00000019920.4	ENSGALG00000041111.3
OG0002026	ENSCAFG00000010566.4, ENSCAFG00000006773.5	ENSGALG00000002645.6
OG0002027	ENSCAFG00000010630.5	ENSGALG00000011068.6
OG0002028	ENSCAFG00000030372.2	ENSGALG00000006837.6
OG0002029	ENSCAFG00000017294.4	ENSGALG00000020331.6, ENSGALG00000004113.6
OG0002030	ENSCAFG00000020224.4	ENSGALG00000001103.7
OG0002032	ENSCAFG00000007428.4	ENSGALG00000032234.3
OG0002033	ENSCAFG00000012508.5	ENSGALG00000042201.3
OG0002034	ENSCAFG00000013769.4	ENSGALG00000033780.2
OG0002035	ENSCAFG00000005480.4	ENSGALG00000016894.6
OG0002037	ENSCAFG00000045253.1	ENSGALG00000031723.2
OG0002039	ENSCAFG00000011267.4	ENSGALG00000039755.3
OG0002040	ENSCAFG00000007720.4	ENSGALG00000052348.1
OG0002041	ENSCAFG00000017627.6, ENSCAFG00000006114.2	ENSGALG00000004999.7
OG0002042	ENSCAFG00000016687.5	ENSGALG00000039942.2
OG0002043	ENSCAFG00000015459.4	ENSGALG00000003458.4
OG0002044	ENSCAFG00000001546.4	ENSGALG00000029867.2
OG0002045	ENSCAFG00000004267.5	ENSGALG00000016536.7
OG0002046	ENSCAFG00000015634.5	ENSGALG00000014971.6
OG0002047	ENSCAFG00000030892.2	ENSGALG00000027207.3, ENSGALG00000027536.3
OG0002048	ENSCAFG00000015058.3	ENSGALG00000042761.3
OG0002050	ENSCAFG00000019390.4	ENSGALG00000033678.2
OG0002051	ENSCAFG00000016758.5	ENSGALG00000051771.1
OG0002052	ENSCAFG00000047142.1, ENSCAFG00000001450.4	ENSGALG00000008111.7
OG0002053	ENSCAFG00000011804.4	ENSGALG00000053641.1
OG0002054	ENSCAFG00000020049.5	ENSGALG00000004719.6
OG0002055	ENSCAFG00000016793.4	ENSGALG00000048773.1
OG0002056	ENSCAFG00000014975.5	ENSGALG00000010084.6
OG0002057	ENSCAFG00000009087.4	ENSGALG00000007592.6
OG0002060	ENSCAFG00000001891.5	ENSGALG00000040780.2, ENSGALG00000013809.6
OG0002061	ENSCAFG00000019236.5	ENSGALG00000026822.3
OG0002062	ENSCAFG00000005675.5	ENSGALG00000039269.2
OG0002063	ENSCAFG00000012269.5	ENSGALG00000034014.3
OG0002064	ENSCAFG00000005187.4	ENSGALG00000016912.6
OG0002065	ENSCAFG00000001563.5	ENSGALG00000036821.2
OG0002066	ENSCAFG00000018658.1, ENSCAFG00000019471.1	ENSGALG00000001078.6
OG0002067	ENSCAFG00000008181.5	ENSGALG00000006805.6
OG0002068	ENSCAFG00000019212.5	ENSGALG00000007821.7
OG0002069	ENSCAFG00000009955.4	ENSGALG00000001425.6
OG0002070	ENSCAFG00000008481.4	ENSGALG00000004529.7
OG0002072	ENSCAFG00000014268.4	ENSGALG00000052204.1
OG0002073	ENSCAFG00000009633.3	ENSGALG00000016027.7
OG0002074	ENSCAFG00000017092.4	ENSGALG00000006374.6
OG0002076	ENSCAFG00000018156.5	ENSGALG00000006829.6
OG0002077	ENSCAFG00000047557.1, ENSCAFG00000043878.1	ENSGALG00000007878.5
OG0002078	ENSCAFG00000007149.5	ENSGALG00000046358.2
OG0002079	ENSCAFG00000044891.1	ENSGALG00000003793.7
OG0002080	ENSCAFG00000048252.1	ENSGALG00000038202.2
OG0002081	ENSCAFG00000013331.4	ENSGALG00000023135.4
OG0002082	ENSCAFG00000007191.5	ENSGALG00000014737.6
OG0002083	ENSCAFG00000016774.4	ENSGALG00000003705.8
OG0002084	ENSCAFG00000009276.4	ENSGALG00000019555.5
OG0002085	ENSCAFG00000012861.5	ENSGALG00000007512.6
OG0002086	ENSCAFG00000016586.4	ENSGALG00000004192.6
OG0002087	ENSCAFG00000014154.4	ENSGALG00000007728.5
OG0002088	ENSCAFG00000042970.1, ENSCAFG00000017901.4, ENSCAFG00000031952.2, ENSCAFG00000041508.1	ENSGALG00000029897.3
OG0002089	ENSCAFG00000019352.4	ENSGALG00000026875.4
OG0002090	ENSCAFG00000016200.5	ENSGALG00000004304.7
OG0002092	ENSCAFG00000002640.6	ENSGALG00000015944.6
OG0002093	ENSCAFG00000016112.5, ENSCAFG00000018759.5	ENSGALG00000037723.2
OG0002094	ENSCAFG00000009105.4	ENSGALG00000041493.3
OG0002096	ENSCAFG00000005502.5, ENSCAFG00000007865.2	ENSGALG00000041463.3
OG0002097	ENSCAFG00000013233.5	ENSGALG00000006872.6
OG0002098	ENSCAFG00000013823.5	ENSGALG00000006648.5
OG0002099	ENSCAFG00000018270.4, ENSCAFG00000013855.4	ENSGALG00000006607.7
OG0002102	ENSCAFG00000017043.4	ENSGALG00000005533.6
OG0002103	ENSCAFG00000008969.4	ENSGALG00000000275.6
OG0002104	ENSCAFG00000009009.4	ENSGALG00000036990.3
OG0002105	ENSCAFG00000030109.2	ENSGALG00000020975.3
OG0002106	ENSCAFG00000010494.4, ENSCAFG00000030635.2, ENSCAFG00000010227.4	ENSGALG00000023294.5
OG0002107	ENSCAFG00000009910.4	ENSGALG00000007403.6
OG0002108	ENSCAFG00000008408.4	ENSGALG00000040167.2
OG0002109	ENSCAFG00000006624.4	ENSGALG00000006254.6
OG0002110	ENSCAFG00000018886.6	ENSGALG00000034488.2, ENSGALG00000003235.6
OG0002112	ENSCAFG00000044046.1, ENSCAFG00000012004.3, ENSCAFG00000047452.1, ENSCAFG00000035134.2	ENSGALG00000001602.7
OG0002113	ENSCAFG00000007353.4	ENSGALG00000043570.2
OG0002114	ENSCAFG00000017296.5	ENSGALG00000003691.7
OG0002115	ENSCAFG00000007893.4	ENSGALG00000006629.6
OG0002116	ENSCAFG00000011418.4	ENSGALG00000052250.1
OG0002117	ENSCAFG00000016716.3	ENSGALG00000027920.3
OG0002118	ENSCAFG00000002387.5, ENSCAFG00000044511.1, ENSCAFG00000043201.1	ENSGALG00000033446.2
OG0002119	ENSCAFG00000013064.5	ENSGALG00000002150.6
OG0002120	ENSCAFG00000045519.1, ENSCAFG00000014417.2, ENSCAFG00000032648.2	ENSGALG00000029789.2
OG0002121	ENSCAFG00000009765.3	ENSGALG00000015018.6
OG0002122	ENSCAFG00000015357.5	ENSGALG00000005035.6
OG0002123	ENSCAFG00000012183.4	ENSGALG00000007462.7
OG0002124	ENSCAFG00000011169.5	ENSGALG00000020679.5
OG0002125	ENSCAFG00000005876.4	ENSGALG00000042739.3
OG0002127	ENSCAFG00000019233.5	ENSGALG00000038884.2
OG0002128	ENSCAFG00000013276.4	ENSGALG00000004667.6
OG0002129	ENSCAFG00000045845.1, ENSCAFG00000031549.2	ENSGALG00000000218.6
OG0002130	ENSCAFG00000025252.3	ENSGALG00000014170.7
OG0002131	ENSCAFG00000016448.4	ENSGALG00000036621.2
OG0002132	ENSCAFG00000012578.4	ENSGALG00000005170.5, ENSGALG00000004428.5
OG0002133	ENSCAFG00000043716.1, ENSCAFG00000033667.2, ENSCAFG00000042536.1, ENSCAFG00000043822.1	ENSGALG00000034430.3
OG0002134	ENSCAFG00000020014.4	ENSGALG00000032679.3
OG0002135	ENSCAFG00000017576.4	ENSGALG00000003870.7
OG0002136	ENSCAFG00000005669.5	ENSGALG00000006599.6
OG0002137	ENSCAFG00000001812.5	ENSGALG00000001954.6
OG0002138	ENSCAFG00000007622.4, ENSCAFG00000010184.4	ENSGALG00000012684.6
OG0002139	ENSCAFG00000003705.4	ENSGALG00000007095.6
OG0002140	ENSCAFG00000001620.4	ENSGALG00000053846.1
OG0002141	ENSCAFG00000023764.3, ENSCAFG00000004632.3, ENSCAFG00000029004.2	ENSGALG00000014708.7
OG0002142	ENSCAFG00000014740.4	ENSGALG00000032599.2
OG0002143	ENSCAFG00000016474.2	ENSGALG00000027138.3
OG0002143	ENSCAFG00000049375.1	ENSGALG00000036751.3
OG0002144	ENSCAFG00000016502.4	ENSGALG00000027351.3
OG0002145	ENSCAFG00000028715.2	ENSGALG00000009071.5
OG0002146	ENSCAFG00000010064.4	ENSGALG00000013033.7, ENSGALG00000035925.3
OG0002147	ENSCAFG00000019103.5	ENSGALG00000009139.7
OG0002149	ENSCAFG00000005024.4	ENSGALG00000006753.7
OG0002150	ENSCAFG00000013715.4, ENSCAFG00000013693.5	ENSGALG00000041510.2
OG0002151	ENSCAFG00000005836.5, ENSCAFG00000042857.1	ENSGALG00000000868.6
OG0002154	ENSCAFG00000013180.4	ENSGALG00000039322.2
OG0002155	ENSCAFG00000010014.4	ENSGALG00000005462.5
OG0002156	ENSCAFG00000015887.5	ENSGALG00000014262.6
OG0002157	ENSCAFG00000012093.4	ENSGALG00000028147.4
OG0002158	ENSCAFG00000019856.4	ENSGALG00000006250.7
OG0002159	ENSCAFG00000008718.6	ENSGALG00000031702.2
OG0002161	ENSCAFG00000014949.5	ENSGALG00000035841.3
OG0002163	ENSCAFG00000015248.4	ENSGALG00000040756.2
OG0002164	ENSCAFG00000015888.5	ENSGALG00000007537.7
OG0002166	ENSCAFG00000002885.5	ENSGALG00000011036.6
OG0002167	ENSCAFG00000015445.4, ENSCAFG00000005138.3, ENSCAFG00000010106.4	ENSGALG00000043379.3
OG0002168	ENSCAFG00000003933.4	ENSGALG00000012863.6
OG0002169	ENSCAFG00000003216.4	ENSGALG00000032830.2
OG0002170	ENSCAFG00000010732.4	ENSGALG00000017005.6, ENSGALG00000027262.3
OG0002171	ENSCAFG00000023772.3, ENSCAFG00000047776.1	ENSGALG00000020986.5, ENSGALG00000037223.2, ENSGALG00000047316.1
OG0002172	ENSCAFG00000010789.2, ENSCAFG00000001785.4	ENSGALG00000012611.6
OG0002173	ENSCAFG00000003440.4	ENSGALG00000036941.2
OG0002174	ENSCAFG00000001701.5	ENSGALG00000012540.6
OG0002175	ENSCAFG00000006540.5, ENSCAFG00000013763.4	ENSGALG00000006453.7
OG0002176	ENSCAFG00000003400.4	ENSGALG00000013094.6
OG0002177	ENSCAFG00000001324.4	ENSGALG00000012135.5
OG0002178	ENSCAFG00000042242.1, ENSCAFG00000012713.6	ENSGALG00000006221.6
OG0002179	ENSCAFG00000002653.5	ENSGALG00000008969.5
OG0002180	ENSCAFG00000001043.5	ENSGALG00000011932.6
OG0002181	ENSCAFG00000004493.5	ENSGALG00000001780.5
OG0002182	ENSCAFG00000013201.3	ENSGALG00000002837.6
OG0002183	ENSCAFG00000006388.4	ENSGALG00000011406.7
OG0002184	ENSCAFG00000004792.5	ENSGALG00000045795.2
OG0002185	ENSCAFG00000010807.5	ENSGALG00000008700.7
OG0002186	ENSCAFG00000018382.4	ENSGALG00000024112.4
OG0002187	ENSCAFG00000000479.5	ENSGALG00000010204.6
OG0002188	ENSCAFG00000003782.4	ENSGALG00000010570.6
OG0002189	ENSCAFG00000009970.5	ENSGALG00000000668.6
OG0002190	ENSCAFG00000012866.4	ENSGALG00000013688.7
OG0002191	ENSCAFG00000000352.5	ENSGALG00000009835.7
OG0002192	ENSCAFG00000024745.3, ENSCAFG00000004836.5	ENSGALG00000036258.2
OG0002193	ENSCAFG00000000316.4	ENSGALG00000009759.6, ENSGALG00000007596.6
OG0002194	ENSCAFG00000009700.4	ENSGALG00000048820.1, ENSGALG00000009586.5
OG0002195	ENSCAFG00000017004.5	ENSGALG00000029276.2
OG0002196	ENSCAFG00000025112.3, ENSCAFG00000004150.4, ENSCAFG00000045818.1	ENSGALG00000008821.7
OG0002198	ENSCAFG00000006384.4	ENSGALG00000016823.6
OG0002199	ENSCAFG00000002099.4	ENSGALG00000016799.6
OG0002200	ENSCAFG00000015320.4	ENSGALG00000017282.5
OG0002201	ENSCAFG00000003503.4	ENSGALG00000017276.6
OG0002202	ENSCAFG00000000856.4	ENSGALG00000014222.6
OG0002203	ENSCAFG00000012201.4, ENSCAFG00000025134.3	ENSGALG00000016552.6
OG0002204	ENSCAFG00000012925.4	ENSGALG00000016518.6
OG0002205	ENSCAFG00000013101.5	ENSGALG00000016415.7
OG0002206	ENSCAFG00000029475.2	ENSGALG00000016128.6
OG0002207	ENSCAFG00000000785.4	ENSGALG00000051852.1, ENSGALG00000050747.1
OG0002208	ENSCAFG00000047424.1, ENSCAFG00000044333.1, ENSCAFG00000041919.1, ENSCAFG00000010045.4	ENSGALG00000016067.6
OG0002209	ENSCAFG00000001388.4, ENSCAFG00000002335.4, ENSCAFG00000009541.4, ENSCAFG00000028733.2	ENSGALG00000041812.3
OG0002210	ENSCAFG00000008291.5	ENSGALG00000015701.7
OG0002211	ENSCAFG00000031390.2	ENSGALG00000015438.6
OG0002212	ENSCAFG00000015343.5	ENSGALG00000015435.6
OG0002213	ENSCAFG00000010469.4	ENSGALG00000015396.4
OG0002214	ENSCAFG00000010782.2, ENSCAFG00000007880.4	ENSGALG00000010658.6
OG0002215	ENSCAFG00000008185.4	ENSGALG00000041361.3
OG0002216	ENSCAFG00000024936.4	ENSGALG00000051492.1
OG0002217	ENSCAFG00000006733.5	ENSGALG00000017092.6
OG0002218	ENSCAFG00000014221.5	ENSGALG00000055067.1
OG0002219	ENSCAFG00000015080.5	ENSGALG00000017184.5
OG0002220	ENSCAFG00000004234.5	ENSGALG00000040433.2
OG0002221	ENSCAFG00000008858.5	ENSGALG00000010885.6
OG0002222	ENSCAFG00000008699.4	ENSGALG00000010333.6
OG0002223	ENSCAFG00000002918.4	ENSGALG00000011564.6
OG0002224	ENSCAFG00000006945.5	ENSGALG00000048633.1, ENSGALG00000014724.6
OG0002225	ENSCAFG00000007626.4	ENSGALG00000014786.6
OG0002226	ENSCAFG00000007822.5	ENSGALG00000002439.6
OG0002228	ENSCAFG00000001417.4	ENSGALG00000012588.6
OG0002229	ENSCAFG00000015156.3, ENSCAFG00000002083.4, ENSCAFG00000013746.4, ENSCAFG00000012522.4, ENSCAFG00000000211.1	ENSGALG00000014447.5
OG0002230	ENSCAFG00000002120.4	ENSGALG00000015032.6
OG0002230	ENSCAFG00000002121.4	ENSGALG00000031794.2
OG0002231	ENSCAFG00000013335.4	ENSGALG00000010046.4
OG0002232	ENSCAFG00000003013.4	ENSGALG00000015677.6
OG0002233	ENSCAFG00000015545.4, ENSCAFG00000004696.4	ENSGALG00000013920.4
OG0002235	ENSCAFG00000017204.4	ENSGALG00000010459.7
OG0002236	ENSCAFG00000024332.1, ENSCAFG00000024506.1, ENSCAFG00000016971.4, ENSCAFG00000003473.1, ENSCAFG00000024482.2	ENSGALG00000010275.6
OG0002237	ENSCAFG00000020100.2	ENSGALG00000005580.7
OG0002238	ENSCAFG00000031712.2	ENSGALG00000047517.1
OG0002239	ENSCAFG00000017660.5	ENSGALG00000036259.2, ENSGALG00000054205.1
OG0002240	ENSCAFG00000011121.4	ENSGALG00000009112.7
OG0002241	ENSCAFG00000007264.4	ENSGALG00000011685.7
OG0002242	ENSCAFG00000005287.4	ENSGALG00000027902.3
OG0002243	ENSCAFG00000006557.3	ENSGALG00000014297.6
OG0002244	ENSCAFG00000006433.4	ENSGALG00000004172.7
OG0002245	ENSCAFG00000017933.5	ENSGALG00000044567.2
OG0002246	ENSCAFG00000019202.4	ENSGALG00000040877.2, ENSGALG00000007619.7
OG0002247	ENSCAFG00000017265.5	ENSGALG00000034001.2
OG0002248	ENSCAFG00000005997.3	ENSGALG00000009130.6
OG0002249	ENSCAFG00000005998.4	ENSGALG00000017036.5
OG0002250	ENSCAFG00000016547.4	ENSGALG00000001158.6
OG0002251	ENSCAFG00000050046.1, ENSCAFG00000016541.4	ENSGALG00000001144.7
OG0002252	ENSCAFG00000015016.4	ENSGALG00000015712.6
OG0002253	ENSCAFG00000023556.3	ENSGALG00000013723.6
OG0002254	ENSCAFG00000002255.4	ENSGALG00000016321.6
OG0002255	ENSCAFG00000042100.1	ENSGALG00000016364.6, ENSGALG00000048885.1
OG0002256	ENSCAFG00000004951.5	ENSGALG00000004998.6
OG0002257	ENSCAFG00000003471.5	ENSGALG00000015483.7
OG0002258	ENSCAFG00000001016.5	ENSGALG00000014848.6
OG0002259	ENSCAFG00000003732.4	ENSGALG00000015316.6
OG0002260	ENSCAFG00000004481.4	ENSGALG00000006425.7
OG0002261	ENSCAFG00000005408.4	ENSGALG00000033529.2
OG0002262	ENSCAFG00000000406.5	ENSGALG00000049360.1
OG0002266	ENSCAFG00000000760.5	ENSGALG00000020003.5
OG0002268	ENSCAFG00000000679.4	ENSGALG00000035499.2
OG0002270	ENSCAFG00000011231.5	ENSGALG00000032840.2, ENSGALG00000048321.1
OG0002271	ENSCAFG00000004084.4	ENSGALG00000011186.7
OG0002272	ENSCAFG00000000858.4	ENSGALG00000011341.7
OG0002273	ENSCAFG00000046609.1	ENSGALG00000036790.3
OG0002275	ENSCAFG00000015532.5	ENSGALG00000003717.7
OG0002276	ENSCAFG00000018529.4	ENSGALG00000024378.4
OG0002279	ENSCAFG00000016806.5	ENSGALG00000037787.3
OG0002280	ENSCAFG00000000027.4, ENSCAFG00000045297.1	ENSGALG00000032002.3
OG0002281	ENSCAFG00000014707.5, ENSCAFG00000007554.3, ENSCAFG00000048076.1, ENSCAFG00000017518.2	ENSGALG00000004796.7
OG0002285	ENSCAFG00000004600.3	ENSGALG00000037325.2
OG0002286	ENSCAFG00000003341.4	ENSGALG00000013879.7
OG0002287	ENSCAFG00000041132.1, ENSCAFG00000044792.1, ENSCAFG00000042472.1	ENSGALG00000052650.1
OG0002288	ENSCAFG00000024373.3	ENSGALG00000008794.6
OG0002289	ENSCAFG00000001766.4	ENSGALG00000035462.3
OG0002290	ENSCAFG00000016233.4	ENSGALG00000031872.2
OG0002291	ENSCAFG00000028654.2	ENSGALG00000026591.4
OG0002292	ENSCAFG00000005189.3, ENSCAFG00000015192.3	ENSGALG00000050532.1
OG0002293	ENSCAFG00000017544.4	ENSGALG00000053980.1
OG0002293	ENSCAFG00000017542.4	ENSGALG00000046614.2
OG0002298	ENSCAFG00000010801.4, ENSCAFG00000010790.4	ENSGALG00000012319.7
OG0002321	ENSCAFG00000008879.4, ENSCAFG00000047783.1, ENSCAFG00000024588.3, ENSCAFG00000005198.4	ENSGALG00000016088.7
OG0002322	ENSCAFG00000008740.4	ENSGALG00000029268.3
OG0002323	ENSCAFG00000005179.4	ENSGALG00000040478.2
OG0002324	ENSCAFG00000016344.3, ENSCAFG00000008785.4	ENSGALG00000049492.1, ENSGALG00000039116.2
OG0002325	ENSCAFG00000005652.4	ENSGALG00000043929.2
OG0002326	ENSCAFG00000018650.5	ENSGALG00000005699.6
OG0002327	ENSCAFG00000010142.4	ENSGALG00000007777.7
OG0002328	ENSCAFG00000010865.4	ENSGALG00000008094.6
OG0002329	ENSCAFG00000019806.4	ENSGALG00000025712.3
OG0002331	ENSCAFG00000005204.4	ENSGALG00000037203.3
OG0002332	ENSCAFG00000031257.2	ENSGALG00000038728.2, ENSGALG00000017212.5, ENSGALG00000037390.2
OG0002333	ENSCAFG00000043091.1	ENSGALG00000032316.2
OG0002334	ENSCAFG00000018783.4	ENSGALG00000041989.3
OG0002335	ENSCAFG00000003087.4, ENSCAFG00000029263.2	ENSGALG00000038984.2
OG0002336	ENSCAFG00000006533.4	ENSGALG00000002461.6
OG0002339	ENSCAFG00000004080.5	ENSGALG00000039473.3
OG0002340	ENSCAFG00000012326.4	ENSGALG00000028499.3
OG0002341	ENSCAFG00000015932.4	ENSGALG00000049218.1
OG0002342	ENSCAFG00000018420.4	ENSGALG00000014811.6
OG0002343	ENSCAFG00000019656.6	ENSGALG00000002364.6
OG0002344	ENSCAFG00000016756.4	ENSGALG00000044628.2
OG0002345	ENSCAFG00000004182.6	ENSGALG00000054320.1
OG0002346	ENSCAFG00000005133.7	ENSGALG00000048210.1
OG0002347	ENSCAFG00000015219.4	ENSGALG00000001546.6
OG0002348	ENSCAFG00000013316.4	ENSGALG00000002761.7
OG0002349	ENSCAFG00000013475.5	ENSGALG00000003861.7
OG0002350	ENSCAFG00000005372.5	ENSGALG00000046691.1
OG0002351	ENSCAFG00000016874.4	ENSGALG00000041900.2
OG0002353	ENSCAFG00000017838.4	ENSGALG00000011162.5
OG0002354	ENSCAFG00000018255.3	ENSGALG00000024082.4
OG0002355	ENSCAFG00000010775.5	ENSGALG00000032366.3
OG0002356	ENSCAFG00000018253.4	ENSGALG00000005046.7
OG0002357	ENSCAFG00000007028.4	ENSGALG00000014573.6
OG0002358	ENSCAFG00000012045.5	ENSGALG00000007021.6
OG0002360	ENSCAFG00000012764.5	ENSGALG00000025804.3
OG0002361	ENSCAFG00000012344.4	ENSGALG00000009841.6
OG0002362	ENSCAFG00000015193.4	ENSGALG00000048205.1
OG0002363	ENSCAFG00000019928.4	ENSGALG00000031896.2
OG0002364	ENSCAFG00000018767.5	ENSGALG00000023552.4, ENSGALG00000051958.1
OG0002365	ENSCAFG00000020235.4	ENSGALG00000029927.3
OG0002366	ENSCAFG00000003869.4	ENSGALG00000031013.2
OG0002368	ENSCAFG00000001000.5	ENSGALG00000039590.2
OG0002369	ENSCAFG00000010145.5	ENSGALG00000007308.5
OG0002372	ENSCAFG00000004454.4	ENSGALG00000016993.7
OG0002373	ENSCAFG00000009071.4	ENSGALG00000037989.3
OG0002374	ENSCAFG00000014079.5	ENSGALG00000020788.5
OG0002375	ENSCAFG00000007349.4	ENSGALG00000020982.3
OG0002376	ENSCAFG00000013648.3	ENSGALG00000001559.5, ENSGALG00000001721.6
OG0002377	ENSCAFG00000008403.4, ENSCAFG00000017977.4, ENSCAFG00000048213.1	ENSGALG00000014121.6
OG0002378	ENSCAFG00000010220.4	ENSGALG00000004096.6
OG0002379	ENSCAFG00000010854.4, ENSCAFG00000030946.2	ENSGALG00000005383.6
OG0002380	ENSCAFG00000012913.5	ENSGALG00000005823.7
OG0002381	ENSCAFG00000029256.2	ENSGALG00000034989.3
OG0002382	ENSCAFG00000018129.4	ENSGALG00000044471.2
OG0002383	ENSCAFG00000017021.4	ENSGALG00000049003.1, ENSGALG00000053647.1, ENSGALG00000048158.1
OG0002385	ENSCAFG00000013741.4	ENSGALG00000005703.6
OG0002386	ENSCAFG00000029171.3	ENSGALG00000010653.6
OG0002387	ENSCAFG00000006693.4, ENSCAFG00000010127.4	ENSGALG00000035421.3
OG0002388	ENSCAFG00000004858.4	ENSGALG00000054106.1
OG0002389	ENSCAFG00000001976.4	ENSGALG00000001986.7, ENSGALG00000033705.3
OG0002390	ENSCAFG00000007010.4, ENSCAFG00000006052.4	ENSGALG00000030432.3
OG0002391	ENSCAFG00000011376.5	ENSGALG00000006840.6, ENSGALG00000046779.1
OG0002394	ENSCAFG00000007956.5	ENSGALG00000015519.7
OG0002395	ENSCAFG00000003587.4	ENSGALG00000001583.7
OG0002397	ENSCAFG00000019684.4	ENSGALG00000029402.3
OG0002398	ENSCAFG00000008559.4	ENSGALG00000000999.6
OG0002399	ENSCAFG00000009613.4	ENSGALG00000053247.1
OG0002400	ENSCAFG00000032205.2	ENSGALG00000052971.1
OG0002401	ENSCAFG00000010777.6	ENSGALG00000003272.6
OG0002403	ENSCAFG00000018375.4	ENSGALG00000041907.2
OG0002404	ENSCAFG00000017566.6	ENSGALG00000006043.5
OG0002405	ENSCAFG00000000279.5, ENSCAFG00000005387.4	ENSGALG00000013829.6
OG0002408	ENSCAFG00000019499.5	ENSGALG00000008898.7
OG0002409	ENSCAFG00000013641.4	ENSGALG00000009450.2
OG0002410	ENSCAFG00000007114.4	ENSGALG00000002624.6
OG0002411	ENSCAFG00000001136.5	ENSGALG00000035769.2, ENSGALG00000047664.1
OG0002412	ENSCAFG00000001071.6	ENSGALG00000031564.2
OG0002413	ENSCAFG00000011476.5	ENSGALG00000026816.3
OG0002414	ENSCAFG00000020366.4	ENSGALG00000044087.2
OG0002415	ENSCAFG00000018932.4	ENSGALG00000006190.6
OG0002416	ENSCAFG00000000831.5	ENSGALG00000043829.2, ENSGALG00000039013.2
OG0002417	ENSCAFG00000017358.4, ENSCAFG00000007154.4	ENSGALG00000030002.3
OG0002418	ENSCAFG00000046669.1, ENSCAFG00000019659.6	ENSGALG00000001978.6
OG0002419	ENSCAFG00000005809.4	ENSGALG00000016878.5
OG0002420	ENSCAFG00000012104.5	ENSGALG00000014012.6
OG0002421	ENSCAFG00000007953.3	ENSGALG00000016664.6
OG0002422	ENSCAFG00000032347.2, ENSCAFG00000016503.4	ENSGALG00000041226.3
OG0002423	ENSCAFG00000020074.5	ENSGALG00000003219.7
OG0002424	ENSCAFG00000031719.2, ENSCAFG00000012780.4	ENSGALG00000007418.5
