Orthogroup	C_familiaris.pep	N_naja.pep
OG0002520	ENSCAFG00000014190.4	Nana35251-RC, Nana35251-RD, Nana35251-RA, Nana35251-RB
OG0002523	ENSCAFG00000017556.5	Nana00183-RA
OG0002523	ENSCAFG00000041779.1	Nana07797-RA
OG0002524	ENSCAFG00000005536.4	Nana21284-RB, Nana21284-RA, Nana21284-RD, Nana21284-RE, Nana21284-RC
OG0002525	ENSCAFG00000001547.5	Nana01348-RA
OG0002526	ENSCAFG00000010398.5	Nana15917-RB, Nana15917-RC, Nana15917-RE, Nana15917-RD, Nana15917-RA
OG0002527	ENSCAFG00000043636.1	Nana21285-RA
OG0002528	ENSCAFG00000001422.3, ENSCAFG00000003574.4	Nana36443-RD, Nana36443-RB, Nana36443-RC, Nana36443-RA
OG0002529	ENSCAFG00000003278.4	Nana25607-RA
OG0002530	ENSCAFG00000019910.5	Nana31716-RI, Nana31716-RE, Nana31716-RD, Nana31716-RH, Nana31716-RJ
OG0002531	ENSCAFG00000019340.4	Nana38028-RA, Nana23508-RA
OG0002532	ENSCAFG00000014041.5	Nana05978-RC, Nana05978-RD
OG0002533	ENSCAFG00000018198.5	Nana23484-RA
OG0002535	ENSCAFG00000015047.5	Nana11107-RA
OG0002536	ENSCAFG00000004023.6	Nana21354-RA
OG0002537	ENSCAFG00000019081.4	Nana15628-RA
OG0002538	ENSCAFG00000004954.4	Nana17241-RA, Nana00661-RB, Nana00661-RC, Nana00661-RA
OG0002539	ENSCAFG00000016469.4	Nana36350-RI, Nana36350-RJ, Nana36350-RG, Nana36350-RH, Nana36350-RK
OG0002540	ENSCAFG00000013789.4, ENSCAFG00000025396.3	Nana21394-RA
OG0002541	ENSCAFG00000028682.3	Nana12231-RA
OG0002542	ENSCAFG00000018272.5, ENSCAFG00000023674.3	Nana32629-RA
OG0002544	ENSCAFG00000019256.4	Nana37374-RA
OG0002545	ENSCAFG00000002454.5	Nana11210-RA
OG0002546	ENSCAFG00000002461.5	Nana11206-RE, Nana11206-RF, Nana11206-RC, Nana11206-RB, Nana11206-RA, Nana11206-RD
OG0002547	ENSCAFG00000008166.5	Nana04578-RA
OG0002548	ENSCAFG00000004496.5	Nana21489-RA
OG0002549	ENSCAFG00000007749.5	Nana19372-RA
OG0002550	ENSCAFG00000005206.5	Nana27737-RA, Nana27736-RA
OG0002551	ENSCAFG00000028839.2	Nana21389-RA
OG0002552	ENSCAFG00000006702.4	Nana04834-RA
OG0002553	ENSCAFG00000004071.4	Nana01647-RA
OG0002554	ENSCAFG00000010495.2, ENSCAFG00000016650.3, ENSCAFG00000001396.2, ENSCAFG00000020055.3, ENSCAFG00000041293.1, ENSCAFG00000002696.3	Nana04463-RA
OG0002555	ENSCAFG00000003198.4	Nana36939-RE, Nana36939-RD, Nana36939-RA, Nana36939-RB, Nana36939-RC
OG0002556	ENSCAFG00000001856.4	Nana21455-RA
OG0002557	ENSCAFG00000001866.4	Nana21449-RA
OG0002558	ENSCAFG00000001308.4	Nana27815-RA, Nana27805-RA, Nana27808-RA
OG0002559	ENSCAFG00000001882.4	Nana21446-RB, Nana21446-RA
OG0002560	ENSCAFG00000003309.5	Nana28074-RC
OG0002561	ENSCAFG00000011582.5	Nana20672-RA, Nana20672-RC, Nana20672-RB
OG0002562	ENSCAFG00000011520.5	Nana20669-RA, Nana20669-RB, Nana20669-RE, Nana20669-RD, Nana20669-RC
OG0002563	ENSCAFG00000018032.4, ENSCAFG00000018533.4	Nana34175-RA
OG0002564	ENSCAFG00000005851.3, ENSCAFG00000006166.1, ENSCAFG00000028832.2, ENSCAFG00000008332.3, ENSCAFG00000013515.4	Nana00528-RA
OG0002565	ENSCAFG00000032331.2	Nana11421-RA
OG0002566	ENSCAFG00000002400.3	Nana34765-RA
OG0002567	ENSCAFG00000015990.4	Nana34351-RB, Nana34351-RA, Nana34351-RC, Nana34351-RD, Nana34350-RA
OG0002568	ENSCAFG00000018188.5	Nana05718-RB, Nana05718-RA, Nana39578-RA, Nana05717-RA, Nana05719-RA
OG0002569	ENSCAFG00000017942.4	Nana16283-RA
OG0002570	ENSCAFG00000013793.3	Nana00496-RA, Nana00496-RB
OG0002571	ENSCAFG00000046675.1, ENSCAFG00000044569.1	Nana21609-RA
OG0002574	ENSCAFG00000002657.5	Nana23618-RA
OG0002575	ENSCAFG00000010738.4	Nana15377-RA
OG0002576	ENSCAFG00000014986.4	Nana15293-RA
OG0002577	ENSCAFG00000015918.4	Nana04201-RD, Nana04201-RC, Nana04201-RE, Nana04201-RB, Nana04201-RA
OG0002578	ENSCAFG00000002187.4	Nana21639-RA
OG0002579	ENSCAFG00000017965.4	Nana10442-RA
OG0002580	ENSCAFG00000029379.2	Nana38771-RA, Nana23678-RA
OG0002581	ENSCAFG00000014195.5	Nana20487-RA, Nana20489-RA
OG0002582	ENSCAFG00000015750.5	Nana27492-RA, Nana27488-RA
OG0002583	ENSCAFG00000002448.4	Nana21717-RA, Nana21720-RA
OG0002585	ENSCAFG00000016081.3	Nana08437-RA, Nana27527-RA
OG0002586	ENSCAFG00000003077.4	Nana22094-RA
OG0002587	ENSCAFG00000010659.4	Nana20302-RA, Nana26183-RA
OG0002588	ENSCAFG00000047744.1	Nana20289-RA
OG0002589	ENSCAFG00000003893.4	Nana27432-RA
OG0002590	ENSCAFG00000003885.4, ENSCAFG00000029533.1, ENSCAFG00000029109.1	Nana27436-RA
OG0002591	ENSCAFG00000004806.4	Nana22319-RA, Nana22302-RA, Nana39251-RA
OG0002592	ENSCAFG00000003154.5	Nana22357-RA
OG0002593	ENSCAFG00000045802.1, ENSCAFG00000042460.1, ENSCAFG00000030535.2	Nana27383-RA
OG0002594	ENSCAFG00000029177.2	Nana27379-RA, Nana27379-RB
OG0002595	ENSCAFG00000003571.4	Nana22457-RA, Nana22458-RA, Nana22454-RA
OG0002596	ENSCAFG00000003411.6	Nana22577-RA
OG0002597	ENSCAFG00000013088.3	Nana20142-RA, Nana20142-RB
OG0002599	ENSCAFG00000009669.4	Nana14158-RB, Nana14158-RA
OG0002600	ENSCAFG00000011650.4	Nana20013-RA, Nana38006-RA, Nana20012-RA, Nana20011-RA, Nana20010-RA
OG0002601	ENSCAFG00000000982.4	Nana27200-RA
OG0002602	ENSCAFG00000013217.4	Nana27158-RA
OG0002603	ENSCAFG00000019944.4, ENSCAFG00000041717.1, ENSCAFG00000039767.2	Nana14326-RB
OG0002604	ENSCAFG00000006596.4	Nana27094-RA, Nana27096-RA, Nana27100-RA
OG0002605	ENSCAFG00000006545.5	Nana14529-RA, Nana27091-RA
OG0002606	ENSCAFG00000009185.5	Nana19936-RC, Nana19936-RB, Nana19936-RE, Nana19936-RA, Nana19936-RF
OG0002607	ENSCAFG00000013770.5, ENSCAFG00000032099.2	Nana22909-RA
OG0002608	ENSCAFG00000013895.4	Nana22950-RA, Nana22950-RB
OG0002609	ENSCAFG00000013365.4	Nana22976-RA, Nana22976-RB
OG0002610	ENSCAFG00000000453.5	Nana26929-RC, Nana26929-RD, Nana26929-RE, Nana26929-RB, Nana26929-RA
OG0002611	ENSCAFG00000005694.4	Nana26954-RA
OG0002612	ENSCAFG00000029051.2, ENSCAFG00000009800.4, ENSCAFG00000009781.4	Nana17723-RA, Nana17723-RB
OG0002613	ENSCAFG00000012374.5	Nana19594-RA
OG0002614	ENSCAFG00000015346.4, ENSCAFG00000015509.4	Nana23144-RA
OG0002615	ENSCAFG00000016644.4	Nana23175-RA, Nana23176-RB, Nana23176-RA
OG0002616	ENSCAFG00000015404.4	Nana29374-RB, Nana29374-RA
OG0002618	ENSCAFG00000030751.2	Nana26895-RB, Nana26895-RA
OG0002619	ENSCAFG00000005561.4	Nana26276-RC
OG0002620	ENSCAFG00000009267.4	Nana13974-RA, Nana13974-RB, Nana13974-RD, Nana13974-RC
OG0002621	ENSCAFG00000006000.5	Nana26309-RB, Nana26309-RC, Nana26309-RA
OG0002623	ENSCAFG00000016145.4	Nana18509-RA, Nana32370-RA
OG0002624	ENSCAFG00000010330.4	Nana13895-RA, Nana13895-RB
OG0002626	ENSCAFG00000010452.4	Nana13881-RD, Nana13881-RA, Nana13881-RC, Nana13881-RE, Nana13881-RB
OG0002627	ENSCAFG00000041073.1	Nana26070-RA, Nana26070-RB
OG0002628	ENSCAFG00000016672.4	Nana18304-RA
OG0002629	ENSCAFG00000002358.5	Nana26065-RA, Nana26064-RA
OG0002630	ENSCAFG00000014808.5	Nana18447-RC, Nana18447-RB, Nana18447-RE, Nana18447-RF, Nana18447-RD
OG0002631	ENSCAFG00000015576.4	Nana18453-RA
OG0002632	ENSCAFG00000014821.4	Nana26034-RA
OG0002633	ENSCAFG00000008491.4	Nana13775-RB, Nana13775-RA, Nana16128-RA, Nana13773-RA
OG0002634	ENSCAFG00000000926.4	Nana29509-RC, Nana29509-RB, Nana29509-RA
OG0002635	ENSCAFG00000013425.4	Nana25823-RA
OG0002636	ENSCAFG00000014207.4	Nana24439-RB, Nana24439-RA
OG0002637	ENSCAFG00000004293.4	Nana29359-RA
OG0002638	ENSCAFG00000010687.4	Nana24511-RB, Nana24511-RC, Nana24511-RD
OG0002639	ENSCAFG00000010167.4	Nana24558-RA
OG0002640	ENSCAFG00000003891.4	Nana29294-RA
OG0002641	ENSCAFG00000003919.3	Nana29292-RA, Nana29290-RB, Nana29290-RA
OG0002642	ENSCAFG00000045160.1, ENSCAFG00000047350.1	Nana39256-RA
OG0002643	ENSCAFG00000030501.2, ENSCAFG00000009095.4	Nana24653-RA
OG0002644	ENSCAFG00000008729.4	Nana24685-RE, Nana24685-RA, Nana24685-RD, Nana24685-RC, Nana24685-RB
OG0002645	ENSCAFG00000024922.3, ENSCAFG00000042967.1, ENSCAFG00000008488.4	Nana24699-RA
OG0002646	ENSCAFG00000008215.5	Nana24716-RM, Nana24716-RJ, Nana24716-RK, Nana24716-RL
OG0002647	ENSCAFG00000020381.3	Nana31161-RA, Nana31162-RA
OG0002648	ENSCAFG00000006979.5	Nana18152-RA, Nana18150-RA
OG0002649	ENSCAFG00000007113.6	Nana18155-RB, Nana18155-RC, Nana18155-RE, Nana18155-RA, Nana18155-RD
OG0002650	ENSCAFG00000009030.5	Nana24830-RA
OG0002651	ENSCAFG00000007135.5	Nana18159-RA
OG0002653	ENSCAFG00000003733.4	Nana18028-RB, Nana18028-RA
OG0002654	ENSCAFG00000018714.4, ENSCAFG00000030831.2, ENSCAFG00000049900.1	Nana25005-RA, Nana25006-RA
OG0002656	ENSCAFG00000031728.2	Nana25252-RA
OG0002657	ENSCAFG00000003991.4	Nana25265-RA, Nana25265-RB
OG0002658	ENSCAFG00000042079.1, ENSCAFG00000011715.5	Nana17909-RA
OG0002660	ENSCAFG00000018598.4	Nana12404-RB, Nana12404-RA
OG0002661	ENSCAFG00000009012.5	Nana12249-RA, Nana12249-RB, Nana12249-RC
OG0002662	ENSCAFG00000008311.4, ENSCAFG00000017739.4	Nana12199-RA
OG0002663	ENSCAFG00000007808.5	Nana12146-RA
OG0002664	ENSCAFG00000030896.2	Nana12117-RA, Nana12118-RA
OG0002665	ENSCAFG00000019057.4, ENSCAFG00000007900.5	Nana12051-RA, Nana12051-RB, Nana12051-RC
OG0002666	ENSCAFG00000019762.4	Nana36921-RA
OG0002667	ENSCAFG00000001551.4	Nana11507-RB, Nana11507-RC, Nana11507-RA
OG0002668	ENSCAFG00000044726.1	Nana11729-RA
OG0002669	ENSCAFG00000001435.5	Nana11707-RA, Nana11707-RB
OG0002670	ENSCAFG00000001646.5	Nana11671-RA, Nana11671-RB, Nana11673-RA, Nana11675-RA, Nana11672-RA
OG0002671	ENSCAFG00000041658.1	Nana10806-RA
OG0002672	ENSCAFG00000013302.6	Nana39714-RA
OG0002673	ENSCAFG00000012911.4	Nana05218-RC, Nana05218-RA, Nana05218-RB, Nana05218-RD, Nana05218-RE
OG0002674	ENSCAFG00000049761.1, ENSCAFG00000018333.5	Nana05744-RA, Nana05744-RC, Nana05744-RB
OG0002675	ENSCAFG00000018292.5	Nana05729-RB, Nana05729-RA
OG0002677	ENSCAFG00000017486.3, ENSCAFG00000011068.3	Nana05499-RA
OG0002678	ENSCAFG00000018667.4	Nana10816-RA, Nana10816-RF, Nana10816-RB, Nana10816-RD, Nana10816-RE, Nana10816-RC
OG0002680	ENSCAFG00000013780.2, ENSCAFG00000016932.4	Nana05320-RB, Nana05320-RA, Nana05322-RA, Nana05322-RB
OG0002681	ENSCAFG00000004360.4	Nana05307-RA, Nana00908-RA
OG0002682	ENSCAFG00000013859.5	Nana05290-RA, Nana05290-RC, Nana05290-RB
OG0002683	ENSCAFG00000017671.3	Nana10941-RA, Nana10940-RA, Nana10940-RB, Nana10940-RC
OG0002684	ENSCAFG00000017637.5	Nana12633-RA
OG0002685	ENSCAFG00000016834.5	Nana04991-RB, Nana04991-RA, Nana04991-RD, Nana04991-RC
OG0002686	ENSCAFG00000016869.4	Nana04997-RA, Nana04997-RB
OG0002687	ENSCAFG00000008862.3	Nana10705-RA
OG0002688	ENSCAFG00000006865.4	Nana04795-RA
OG0002689	ENSCAFG00000010256.5	Nana04381-RB, Nana04381-RA
OG0002691	ENSCAFG00000009734.4, ENSCAFG00000032054.2	Nana04334-RA
OG0002692	ENSCAFG00000009523.4, ENSCAFG00000029967.1	Nana04319-RA
OG0002693	ENSCAFG00000016276.4	Nana14918-RA, Nana09296-RA
OG0002694	ENSCAFG00000006515.5	Nana04268-RA, Nana04268-RB
OG0002695	ENSCAFG00000006512.4	Nana04267-RA
OG0002696	ENSCAFG00000017598.4	Nana09332-RA
OG0002697	ENSCAFG00000017596.4	Nana09410-RC, Nana09410-RB, Nana09410-RE, Nana09410-RD
OG0002698	ENSCAFG00000004855.5	Nana03806-RC, Nana03806-RF, Nana03806-RD, Nana03806-RA, Nana03806-RE, Nana03806-RB
OG0002699	ENSCAFG00000014575.5	Nana03847-RA, Nana03847-RB, Nana03847-RC, Nana03847-RD
OG0002700	ENSCAFG00000004938.5	Nana09493-RD, Nana09493-RC, Nana39761-RA, Nana09493-RA, Nana09493-RB
OG0002701	ENSCAFG00000004914.4	Nana09500-RA, Nana09498-RD, Nana09498-RA, Nana09498-RC, Nana09498-RB
OG0002702	ENSCAFG00000014943.4	Nana03918-RA, Nana03918-RB
OG0002703	ENSCAFG00000005938.4	Nana09596-RB, Nana09596-RD, Nana09596-RE, Nana09596-RC
OG0002704	ENSCAFG00000005927.5	Nana09598-RD, Nana09598-RA, Nana09598-RB, Nana09598-RC, Nana09598-RE
OG0002705	ENSCAFG00000005906.4, ENSCAFG00000016140.4	Nana09610-RA
OG0002706	ENSCAFG00000016385.4, ENSCAFG00000016245.4, ENSCAFG00000023035.4	Nana09285-RA
OG0002707	ENSCAFG00000000799.5	Nana08950-RB
OG0002708	ENSCAFG00000009467.5	Nana03274-RA, Nana03276-RA, Nana03275-RA
OG0002709	ENSCAFG00000024037.3	Nana08808-RA
OG0002710	ENSCAFG00000005544.5	Nana02795-RA, Nana02794-RA
OG0002711	ENSCAFG00000000344.5	Nana08854-RA
OG0002712	ENSCAFG00000001345.5	Nana02699-RA
OG0002713	ENSCAFG00000004511.4	Nana02695-RB, Nana02695-RD, Nana02695-RC, Nana02695-RE, Nana02695-RA
OG0002715	ENSCAFG00000010866.4	Nana08626-RE, Nana08626-RG, Nana08626-RD, Nana08626-RC
OG0002716	ENSCAFG00000003949.5	Nana02659-RA
OG0002717	ENSCAFG00000003729.4	Nana02605-RA, Nana02606-RA
OG0002718	ENSCAFG00000009537.5, ENSCAFG00000017855.4	Nana08804-RA
OG0002719	ENSCAFG00000016291.4	Nana02451-RA, Nana02450-RA
OG0002720	ENSCAFG00000030791.2, ENSCAFG00000012683.4	Nana02170-RA
OG0002722	ENSCAFG00000006496.5	Nana08082-RA
OG0002723	ENSCAFG00000029100.2	Nana02268-RA
OG0002724	ENSCAFG00000002898.5	Nana02276-RF, Nana02276-RE, Nana02276-RB, Nana02276-RD, Nana02276-RC
OG0002725	ENSCAFG00000002741.4	Nana02308-RB, Nana02308-RA
OG0002727	ENSCAFG00000016455.4	Nana10618-RA, Nana10618-RC, Nana10618-RB, Nana39390-RA
OG0002728	ENSCAFG00000032081.2	Nana07783-RA
OG0002730	ENSCAFG00000000720.4	Nana01711-RA, Nana01712-RA
OG0002731	ENSCAFG00000000674.3	Nana07619-RA
OG0002732	ENSCAFG00000000842.5	Nana01672-RA
OG0002733	ENSCAFG00000041860.1, ENSCAFG00000044525.1, ENSCAFG00000047464.1, ENSCAFG00000041296.1, ENSCAFG00000041773.1	Nana01675-RC
OG0002734	ENSCAFG00000000768.4	Nana07547-RA
OG0002736	ENSCAFG00000001865.5	Nana01407-RA, Nana01407-RD, Nana01407-RE, Nana01407-RB, Nana01407-RC
OG0002737	ENSCAFG00000001847.6	Nana01411-RA, Nana01413-RA, Nana01413-RB
OG0002738	ENSCAFG00000006041.4, ENSCAFG00000007015.4	Nana01445-RB, Nana01445-RA
OG0002739	ENSCAFG00000006085.4	Nana01475-RA, Nana01475-RD, Nana01475-RB, Nana01475-RC
OG0002740	ENSCAFG00000016039.4	Nana01278-RA
OG0002741	ENSCAFG00000002692.5	Nana00894-RB, Nana00894-RC, Nana00894-RA, Nana00894-RD
OG0002742	ENSCAFG00000017967.4	Nana10445-RC, Nana10445-RA, Nana10446-RA
OG0002743	ENSCAFG00000017395.5, ENSCAFG00000019126.5	Nana06422-RB, Nana06422-RA
OG0002744	ENSCAFG00000044924.1, ENSCAFG00000048541.1, ENSCAFG00000047218.1, ENSCAFG00000049311.1, ENSCAFG00000048917.1	Nana25827-RA
OG0002745	ENSCAFG00000041744.1, ENSCAFG00000043585.1	Nana16616-RA
OG0002747	ENSCAFG00000013017.4	Nana05991-RB, Nana05991-RA, Nana05991-RC
OG0002748	ENSCAFG00000000686.5	Nana07620-RA
OG0002750	ENSCAFG00000007560.5	Nana12264-RC, Nana12264-RD, Nana12264-RE, Nana12264-RA, Nana12264-RB
OG0002751	ENSCAFG00000013253.4	Nana00627-RC
OG0002751	ENSCAFG00000030653.2	Nana00627-RB
OG0002752	ENSCAFG00000032522.2	Nana36487-RB, Nana36487-RA, Nana36487-RD, Nana36487-RC
OG0002753	ENSCAFG00000005630.4	Nana25495-RA
OG0002754	ENSCAFG00000004131.4	Nana11562-RA
OG0002755	ENSCAFG00000000897.6, ENSCAFG00000004383.5	Nana17817-RA, Nana17817-RB
OG0002762	ENSCAFG00000031225.2	Nana36104-RA
OG0002763	ENSCAFG00000011741.5	Nana34695-RC, Nana34695-RA, Nana34695-RD, Nana34695-RB
OG0002764	ENSCAFG00000013755.4	Nana05279-RA
OG0002765	ENSCAFG00000006920.4	Nana28108-RA
OG0002767	ENSCAFG00000019945.4	Nana36857-RA
OG0002768	ENSCAFG00000046360.1	Nana04193-RB, Nana04193-RA, Nana04190-RB, Nana38156-RA, Nana04187-RA, Nana12362-RA, Nana04196-RA, Nana38158-RA, Nana38442-RA, Nana04195-RA
OG0002770	ENSCAFG00000010857.3	Nana34722-RF, Nana34722-RB, Nana34722-RA, Nana34722-RE, Nana34722-RD, Nana34722-RC
OG0002771	ENSCAFG00000024140.1	Nana08815-RA
OG0002797	ENSCAFG00000016820.3	Nana37386-RA, Nana24339-RA
OG0002798	ENSCAFG00000019387.6	Nana37321-RA, Nana37136-RA
OG0002799	ENSCAFG00000008680.4	Nana31121-RA, Nana31122-RA
OG0002800	ENSCAFG00000012970.4	Nana00607-RA
OG0002801	ENSCAFG00000000566.4	Nana27918-RA, Nana27918-RB
OG0002802	ENSCAFG00000007038.5	Nana13260-RB, Nana13260-RA, Nana13262-RA
OG0002803	ENSCAFG00000012414.4	Nana39880-RA, Nana18856-RB, Nana18856-RA, Nana18856-RC
OG0002804	ENSCAFG00000019153.3	Nana32722-RC, Nana32722-RD, Nana32722-RB
OG0002805	ENSCAFG00000043181.1, ENSCAFG00000005131.5	Nana21254-RA, Nana08231-RA
OG0002806	ENSCAFG00000025031.3, ENSCAFG00000008324.4	Nana20370-RB
OG0002809	ENSCAFG00000017611.5	Nana33633-RC, Nana33633-RB
OG0002810	ENSCAFG00000016750.4	Nana36350-RC, Nana36350-RB, Nana36350-RA, Nana36350-RD
OG0002811	ENSCAFG00000010550.4	Nana29833-RA
OG0002812	ENSCAFG00000006389.4	Nana17410-RA, Nana17408-RA, Nana17407-RA
OG0002813	ENSCAFG00000004361.3	Nana30795-RA
OG0002815	ENSCAFG00000011352.4	Nana34744-RD, Nana34744-RC, Nana34744-RA, Nana34744-RB
OG0002816	ENSCAFG00000012981.5	Nana34888-RA
OG0002817	ENSCAFG00000018817.4	Nana16080-RA
OG0002819	ENSCAFG00000016720.5	Nana32036-RC, Nana32036-RA, Nana32036-RB
OG0002820	ENSCAFG00000049244.1, ENSCAFG00000002977.5	Nana21876-RA, Nana21873-RA
OG0002822	ENSCAFG00000005236.5	Nana22245-RA, Nana28785-RA
OG0002823	ENSCAFG00000014073.5	Nana20843-RB
OG0002824	ENSCAFG00000002858.4	Nana28495-RC, Nana28495-RB, Nana28495-RD
OG0002825	ENSCAFG00000031187.2	Nana20995-RA
OG0002826	ENSCAFG00000003120.5	Nana29776-RB
OG0002828	ENSCAFG00000014825.4	Nana37249-RA
OG0002829	ENSCAFG00000004385.5	Nana00734-RA
OG0002830	ENSCAFG00000016379.5	Nana34411-RC, Nana34411-RB, Nana34411-RA
OG0002831	ENSCAFG00000013457.4	Nana03101-RA
OG0002832	ENSCAFG00000015996.3	Nana32695-RA
OG0002833	ENSCAFG00000007621.4	Nana31421-RA, Nana31423-RA
OG0002835	ENSCAFG00000006898.4	Nana04788-RA, Nana04788-RB
OG0002836	ENSCAFG00000012876.4	Nana03147-RA, Nana03147-RB
OG0002837	ENSCAFG00000005615.3, ENSCAFG00000001476.4	Nana33234-RE, Nana33234-RA
OG0002838	ENSCAFG00000013181.4	Nana33233-RA
OG0002839	ENSCAFG00000019382.4	Nana24040-RA, Nana06738-RC, Nana06738-RA, Nana06738-RB
OG0002840	ENSCAFG00000031979.3	Nana19267-RA
OG0002841	ENSCAFG00000017925.4	Nana05680-RA, Nana05680-RB
OG0002842	ENSCAFG00000030764.2	Nana05669-RB, Nana05669-RA, Nana05669-RC
OG0002843	ENSCAFG00000017891.4	Nana05666-RA, Nana30849-RA
OG0002844	ENSCAFG00000032741.2	Nana34610-RD, Nana34610-RB, Nana34610-RE, Nana34610-RA, Nana34610-RC
OG0002845	ENSCAFG00000019201.5	Nana34609-RA, Nana34609-RC, Nana34609-RB
OG0002846	ENSCAFG00000003608.5	Nana36460-RA, Nana36460-RB, Nana36460-RD
OG0002847	ENSCAFG00000015752.5	Nana37236-RA
OG0002848	ENSCAFG00000003361.1, ENSCAFG00000046613.1	Nana28011-RA
OG0002849	ENSCAFG00000003591.4	Nana36446-RA
OG0002850	ENSCAFG00000018209.4	Nana34544-RA, Nana34544-RC, Nana34544-RB
OG0002851	ENSCAFG00000019905.4	Nana36875-RA, Nana36875-RC, Nana36875-RB
OG0002853	ENSCAFG00000003570.4	Nana36478-RD, Nana36478-RC, Nana36478-RA, Nana36478-RB
OG0002854	ENSCAFG00000012367.4	Nana23975-RA
OG0002855	ENSCAFG00000000988.4	Nana34595-RA, Nana27202-RA
OG0002856	ENSCAFG00000017810.4	Nana34211-RA
OG0002857	ENSCAFG00000018651.4, ENSCAFG00000029395.2	Nana00715-RA
OG0002858	ENSCAFG00000031582.2	Nana04786-RB, Nana04786-RA
OG0002859	ENSCAFG00000011916.5	Nana00441-RB, Nana00441-RA
OG0002860	ENSCAFG00000016148.4	Nana39635-RA
OG0002861	ENSCAFG00000012286.5	Nana03184-RA, Nana03184-RB
OG0002862	ENSCAFG00000009698.4	Nana19112-RA
OG0002863	ENSCAFG00000000919.4	Nana36127-RA
OG0002864	ENSCAFG00000010783.4	Nana00649-RA, Nana00649-RB
OG0002865	ENSCAFG00000004558.5	Nana30683-RA
OG0002866	ENSCAFG00000018704.4	Nana12428-RA
OG0002867	ENSCAFG00000018731.4	Nana12434-RB, Nana12434-RC, Nana12434-RA
OG0002868	ENSCAFG00000016929.5	Nana36137-RB
OG0002869	ENSCAFG00000030738.2	Nana29168-RA
OG0002870	ENSCAFG00000018790.4	Nana12441-RB, Nana12440-RA, Nana12441-RA
OG0002871	ENSCAFG00000016634.4	Nana23830-RB, Nana38283-RA, Nana23830-RA, Nana23830-RC, Nana39502-RA
OG0002872	ENSCAFG00000003649.4	Nana23587-RC, Nana23587-RA, Nana23587-RB
OG0002873	ENSCAFG00000002349.4	Nana23378-RA, Nana23378-RE, Nana23378-RD, Nana23378-RF
OG0002874	ENSCAFG00000003886.5	Nana04436-RA
OG0002875	ENSCAFG00000030720.2	Nana23820-RB, Nana23820-RA
OG0002876	ENSCAFG00000016940.4	Nana23818-RA, Nana23818-RB, Nana23818-RC, Nana23818-RD
OG0002878	ENSCAFG00000019765.4	Nana36922-RB
OG0002879	ENSCAFG00000017131.4	Nana33423-RB, Nana33423-RD, Nana33423-RA, Nana33423-RC
OG0002880	ENSCAFG00000029858.2, ENSCAFG00000009065.4	Nana24656-RA
OG0002881	ENSCAFG00000014346.4	Nana11074-RA
OG0002882	ENSCAFG00000014220.5	Nana11073-RA
OG0002883	ENSCAFG00000016863.5	Nana35695-RA
OG0002885	ENSCAFG00000005716.4	Nana28137-RC, Nana28137-RA
OG0002886	ENSCAFG00000001143.4	Nana09514-RA, Nana34209-RA
OG0002887	ENSCAFG00000017398.4	Nana36069-RB, Nana36069-RC, Nana33649-RA
OG0002888	ENSCAFG00000019907.5	Nana31719-RA, Nana31719-RB
OG0002889	ENSCAFG00000006588.4	Nana05048-RA
OG0002890	ENSCAFG00000023111.3, ENSCAFG00000019141.3, ENSCAFG00000043436.1, ENSCAFG00000012479.3	Nana25754-RA, Nana36255-RA
OG0002891	ENSCAFG00000004842.4	Nana25453-RA, Nana25459-RA
OG0002892	ENSCAFG00000004845.1	Nana25460-RA, Nana25457-RA
OG0002893	ENSCAFG00000004851.4	Nana25455-RA, Nana25464-RA, Nana25464-RB
OG0002894	ENSCAFG00000017426.5	Nana00337-RA
OG0002895	ENSCAFG00000018849.4	Nana34112-RA, Nana34115-RA
OG0002896	ENSCAFG00000003417.4, ENSCAFG00000011723.3, ENSCAFG00000024324.3	Nana30199-RA
OG0002897	ENSCAFG00000011711.4	Nana30197-RC, Nana30197-RB, Nana30197-RA, Nana30197-RD
OG0002898	ENSCAFG00000013556.4	Nana28940-RA
OG0002899	ENSCAFG00000013688.5	Nana28937-RC, Nana28937-RD, Nana28937-RA, Nana28937-RB
OG0002900	ENSCAFG00000015145.4	Nana33215-RD, Nana33215-RB, Nana33215-RC
OG0002901	ENSCAFG00000018824.4	Nana00104-RA, Nana00104-RB
OG0002902	ENSCAFG00000017922.4	Nana32977-RA, Nana32975-RA
OG0002903	ENSCAFG00000011099.4	Nana09811-RA
OG0002905	ENSCAFG00000012735.4	Nana20871-RA, Nana20870-RA, Nana20869-RA
OG0002906	ENSCAFG00000018133.5	Nana00322-RA, Nana00324-RA
OG0002907	ENSCAFG00000006534.4	Nana17298-RA, Nana17298-RB
OG0002908	ENSCAFG00000002261.4	Nana08411-RA
OG0002909	ENSCAFG00000007152.7	Nana08011-RA
OG0002910	ENSCAFG00000015904.4	Nana32748-RB, Nana32748-RA
OG0002911	ENSCAFG00000002226.4	Nana26091-RA
OG0002912	ENSCAFG00000007667.4	Nana28023-RC, Nana28023-RB, Nana28023-RA, Nana28023-RD
OG0002913	ENSCAFG00000017706.5	Nana34237-RA, Nana34229-RA
OG0002915	ENSCAFG00000007680.4	Nana28020-RA
OG0002916	ENSCAFG00000002827.4	Nana29921-RB, Nana29921-RA
OG0002917	ENSCAFG00000015039.4	Nana26691-RA, Nana26694-RA
