Orthogroup	C_familiaris.pep	P_troglodytes.pep
OG0001404	ENSCAFG00000004144.4	ENSPTRG00000044899.1, ENSPTRG00000044248.1, ENSPTRG00000045063.1, ENSPTRG00000049646.1
OG0001404	ENSCAFG00000003953.5, ENSCAFG00000007296.3	ENSPTRG00000044764.1
OG0001405	ENSCAFG00000003176.5	ENSPTRG00000050262.1, ENSPTRG00000042939.1, ENSPTRG00000051764.1, ENSPTRG00000005168.4, ENSPTRG00000051553.1
OG0001405	ENSCAFG00000003174.4	ENSPTRG00000019074.7
OG0001406	ENSCAFG00000019207.4	ENSPTRG00000007720.6
OG0001406	ENSCAFG00000001711.4	ENSPTRG00000014298.6
OG0001407	ENSCAFG00000013175.5	ENSPTRG00000028939.2
OG0001408	ENSCAFG00000003356.5	ENSPTRG00000019183.4
OG0001408	ENSCAFG00000045970.1	ENSPTRG00000009105.6
OG0001409	ENSCAFG00000017571.4	ENSPTRG00000007896.4
OG0001409	ENSCAFG00000029809.2	ENSPTRG00000014315.3
OG0001410	ENSCAFG00000017507.5	ENSPTRG00000010493.6
OG0001410	ENSCAFG00000018765.5	ENSPTRG00000000811.7
OG0001411	ENSCAFG00000017080.4	ENSPTRG00000050099.1
OG0001411	ENSCAFG00000001303.4	ENSPTRG00000014402.5
OG0001412	ENSCAFG00000001520.5	ENSPTRG00000020777.7
OG0001413	ENSCAFG00000000978.5	ENSPTRG00000014452.6
OG0001414	ENSCAFG00000047924.1	ENSPTRG00000015104.3
OG0001414	ENSCAFG00000019786.4	ENSPTRG00000001080.4
OG0001415	ENSCAFG00000023661.2, ENSCAFG00000049807.1, ENSCAFG00000023356.3, ENSCAFG00000018568.4, ENSCAFG00000023992.2	ENSPTRG00000010598.5, ENSPTRG00000052258.1
OG0001416	ENSCAFG00000031564.2	ENSPTRG00000005296.5
OG0001417	ENSCAFG00000010321.5	ENSPTRG00000050591.1
OG0001417	ENSCAFG00000005854.4	ENSPTRG00000005265.6
OG0001418	ENSCAFG00000014052.4	ENSPTRG00000002592.4
OG0001419	ENSCAFG00000008919.4	ENSPTRG00000016213.4
OG0001419	ENSCAFG00000000391.5	ENSPTRG00000017631.6
OG0001420	ENSCAFG00000047810.1	ENSPTRG00000016226.4
OG0001421	ENSCAFG00000013382.5	ENSPTRG00000001113.6
OG0001421	ENSCAFG00000000337.4	ENSPTRG00000005165.5
OG0001422	ENSCAFG00000041383.1	ENSPTRG00000047816.1
OG0001423	ENSCAFG00000003408.4	ENSPTRG00000019615.5
OG0001424	ENSCAFG00000013597.4	ENSPTRG00000001109.7
OG0001424	ENSCAFG00000003410.4	ENSPTRG00000019616.6
OG0001425	ENSCAFG00000003338.4	ENSPTRG00000011337.5
OG0001425	ENSCAFG00000008824.3	ENSPTRG00000003560.6
OG0001426	ENSCAFG00000028858.2	ENSPTRG00000018433.3
OG0001426	ENSCAFG00000002105.4	ENSPTRG00000012315.6
OG0001427	ENSCAFG00000009863.4	ENSPTRG00000044996.1, ENSPTRG00000050016.1
OG0001429	ENSCAFG00000042378.1	ENSPTRG00000047332.1
OG0001430	ENSCAFG00000014451.4	ENSPTRG00000021817.6
OG0001431	ENSCAFG00000019247.3	ENSPTRG00000051738.1
OG0001431	ENSCAFG00000010022.4	ENSPTRG00000004825.3
OG0001432	ENSCAFG00000016008.4	ENSPTRG00000050404.1
OG0001432	ENSCAFG00000000653.4, ENSCAFG00000015886.2	ENSPTRG00000050716.1
OG0001433	ENSCAFG00000013206.6	ENSPTRG00000022847.6, ENSPTRG00000048273.1
OG0001434	ENSCAFG00000001883.4	ENSPTRG00000017499.7
OG0001434	ENSCAFG00000025069.3	ENSPTRG00000016026.6
OG0001435	ENSCAFG00000009811.4	ENSPTRG00000001154.5
OG0001435	ENSCAFG00000009839.5	ENSPTRG00000001160.6
OG0001436	ENSCAFG00000010378.4	ENSPTRG00000015211.4
OG0001436	ENSCAFG00000011821.4	ENSPTRG00000044459.1, ENSPTRG00000001533.6
OG0001437	ENSCAFG00000008622.4	ENSPTRG00000016187.5
OG0001438	ENSCAFG00000018449.4	ENSPTRG00000016858.5
OG0001439	ENSCAFG00000019378.4	ENSPTRG00000010244.6
OG0001439	ENSCAFG00000007515.4	ENSPTRG00000016934.6
OG0001441	ENSCAFG00000023446.4	ENSPTRG00000021136.3
OG0001441	ENSCAFG00000001305.4	ENSPTRG00000021138.4
OG0001442	ENSCAFG00000001399.5	ENSPTRG00000048500.1, ENSPTRG00000042775.1, ENSPTRG00000050553.1, ENSPTRG00000021061.6
OG0001443	ENSCAFG00000002013.6	ENSPTRG00000051168.1
OG0001443	ENSCAFG00000017584.5	ENSPTRG00000010488.6
OG0001444	ENSCAFG00000002053.5	ENSPTRG00000048670.1
OG0001444	ENSCAFG00000018728.4	ENSPTRG00000010352.6
OG0001445	ENSCAFG00000032405.2	ENSPTRG00000011199.5
OG0001446	ENSCAFG00000031316.1	ENSPTRG00000013309.6
OG0001447	ENSCAFG00000008236.5	ENSPTRG00000006867.5
OG0001448	ENSCAFG00000013853.5	ENSPTRG00000004645.6
OG0001449	ENSCAFG00000029670.2	ENSPTRG00000033850.3
OG0001449	ENSCAFG00000024680.4	ENSPTRG00000007209.5
OG0001450	ENSCAFG00000001986.5	ENSPTRG00000018220.6
OG0001452	ENSCAFG00000046194.1	ENSPTRG00000003172.6
OG0001453	ENSCAFG00000017078.5	ENSPTRG00000052777.1, ENSPTRG00000039556.2, ENSPTRG00000008744.6
OG0001454	ENSCAFG00000014781.5	ENSPTRG00000012920.5
OG0001454	ENSCAFG00000018853.3	ENSPTRG00000028202.2
OG0001455	ENSCAFG00000008315.6	ENSPTRG00000003575.5
OG0001456	ENSCAFG00000015093.3	ENSPTRG00000012944.5
OG0001456	ENSCAFG00000011773.5	ENSPTRG00000044832.1
OG0001457	ENSCAFG00000000840.4	ENSPTRG00000044897.1
OG0001458	ENSCAFG00000012170.4	ENSPTRG00000013070.7
OG0001458	ENSCAFG00000004812.4	ENSPTRG00000051690.1, ENSPTRG00000047459.1
OG0001459	ENSCAFG00000000354.4	ENSPTRG00000017624.6
OG0001460	ENSCAFG00000003296.5	ENSPTRG00000024129.5
OG0001460	ENSCAFG00000000433.4	ENSPTRG00000017635.6
OG0001461	ENSCAFG00000001996.4	ENSPTRG00000018224.6
OG0001462	ENSCAFG00000029207.2	ENSPTRG00000034288.3
OG0001462	ENSCAFG00000010070.4	ENSPTRG00000014978.3
OG0001462	ENSCAFG00000010066.4	ENSPTRG00000014977.6
OG0001462	ENSCAFG00000024845.2, ENSCAFG00000010073.4	ENSPTRG00000023832.5
OG0001463	ENSCAFG00000008112.4	ENSPTRG00000015037.6
OG0001464	ENSCAFG00000006548.5	ENSPTRG00000015095.5
OG0001465	ENSCAFG00000030478.3	ENSPTRG00000017930.7
OG0001466	ENSCAFG00000000427.4	ENSPTRG00000017935.7
OG0001467	ENSCAFG00000000533.5	ENSPTRG00000017970.6
OG0001468	ENSCAFG00000000657.4	ENSPTRG00000052783.1, ENSPTRG00000050777.1, ENSPTRG00000018746.6
OG0001469	ENSCAFG00000000690.4	ENSPTRG00000017996.7
OG0001470	ENSCAFG00000006067.5	ENSPTRG00000011835.6
OG0001471	ENSCAFG00000031368.2	ENSPTRG00000017386.3
OG0001472	ENSCAFG00000000610.4	ENSPTRG00000017978.5
OG0001473	ENSCAFG00000018298.4	ENSPTRG00000023221.4
OG0001473	ENSCAFG00000010149.4, ENSCAFG00000043266.1	ENSPTRG00000042789.1, ENSPTRG00000019206.5, ENSPTRG00000045231.1, ENSPTRG00000052536.1
OG0001474	ENSCAFG00000018780.4	ENSPTRG00000008931.6
OG0001474	ENSCAFG00000013676.4	ENSPTRG00000014136.6
OG0001475	ENSCAFG00000031651.1	ENSPTRG00000012862.5
OG0001475	ENSCAFG00000032653.2	ENSPTRG00000012861.4
OG0001476	ENSCAFG00000045959.1	ENSPTRG00000001800.5, ENSPTRG00000023151.6
OG0001476	ENSCAFG00000013809.5	ENSPTRG00000001804.5
OG0001477	ENSCAFG00000028529.2	ENSPTRG00000047986.1, ENSPTRG00000051353.1
OG0001477	ENSCAFG00000000265.4	ENSPTRG00000018643.3
OG0001478	ENSCAFG00000031922.2	ENSPTRG00000017427.6
OG0001478	ENSCAFG00000017960.4	ENSPTRG00000017878.6
OG0001478	ENSCAFG00000011947.5	ENSPTRG00000017879.6
OG0001479	ENSCAFG00000050060.1	ENSPTRG00000049501.1
OG0001493	ENSCAFG00000012005.1	ENSPTRG00000002985.3
OG0001494	ENSCAFG00000011912.5	ENSPTRG00000045431.1
OG0001495	ENSCAFG00000019921.4	ENSPTRG00000008434.6
OG0001495	ENSCAFG00000007049.4	ENSPTRG00000047225.1, ENSPTRG00000013358.2
OG0001497	ENSCAFG00000023338.4	ENSPTRG00000042879.1
OG0001500	ENSCAFG00000002147.4	ENSPTRG00000012299.4
OG0001500	ENSCAFG00000002145.5	ENSPTRG00000012300.4
OG0001501	ENSCAFG00000005673.4	ENSPTRG00000010939.5
OG0001502	ENSCAFG00000018023.5	ENSPTRG00000007840.6
OG0001502	ENSCAFG00000018021.4	ENSPTRG00000007841.5
OG0001503	ENSCAFG00000017403.5	ENSPTRG00000008752.6
OG0001504	ENSCAFG00000016755.3	ENSPTRG00000001470.4
OG0001505	ENSCAFG00000019753.4	ENSPTRG00000000125.6
OG0001505	ENSCAFG00000007612.4	ENSPTRG00000015460.2
OG0001506	ENSCAFG00000008064.4	ENSPTRG00000017074.5
OG0001506	ENSCAFG00000009584.4	ENSPTRG00000051126.1
OG0001507	ENSCAFG00000042528.1	ENSPTRG00000043124.1
OG0001507	ENSCAFG00000011514.4	ENSPTRG00000019293.6, ENSPTRG00000048479.1
OG0001508	ENSCAFG00000029853.2	ENSPTRG00000018107.4
OG0001509	ENSCAFG00000016633.4	ENSPTRG00000046447.1
OG0001509	ENSCAFG00000004184.4	ENSPTRG00000004180.6
OG0001510	ENSCAFG00000029183.2	ENSPTRG00000014776.3
OG0001511	ENSCAFG00000031314.2	ENSPTRG00000010887.6
OG0001512	ENSCAFG00000013952.4	ENSPTRG00000023335.3
OG0001512	ENSCAFG00000008184.4	ENSPTRG00000012106.5
OG0001513	ENSCAFG00000019392.5	ENSPTRG00000007634.4
OG0001513	ENSCAFG00000004583.4	ENSPTRG00000009614.6
OG0001514	ENSCAFG00000029063.2	ENSPTRG00000011204.4, ENSPTRG00000047865.1
OG0001515	ENSCAFG00000004180.4	ENSPTRG00000011202.5, ENSPTRG00000051556.1, ENSPTRG00000049765.1
OG0001516	ENSCAFG00000030485.2	ENSPTRG00000003917.7
OG0001516	ENSCAFG00000005924.4	ENSPTRG00000010923.6
OG0001517	ENSCAFG00000009186.4	ENSPTRG00000003548.4
OG0001518	ENSCAFG00000004969.4	ENSPTRG00000005923.5
OG0001518	ENSCAFG00000017445.5	ENSPTRG00000022075.6
OG0001519	ENSCAFG00000030197.2	ENSPTRG00000013272.6
OG0001519	ENSCAFG00000046401.1	ENSPTRG00000011008.4
OG0001520	ENSCAFG00000001859.1	ENSPTRG00000019379.3, ENSPTRG00000045749.1
OG0001521	ENSCAFG00000018876.4	ENSPTRG00000007776.5
OG0001522	ENSCAFG00000012899.4	ENSPTRG00000003914.5
OG0001522	ENSCAFG00000001787.4	ENSPTRG00000018187.5
OG0001523	ENSCAFG00000030749.2	ENSPTRG00000001422.5
OG0001523	ENSCAFG00000042944.1	ENSPTRG00000051846.1, ENSPTRG00000050852.1, ENSPTRG00000052269.1, ENSPTRG00000045976.1, ENSPTRG00000047827.1, ENSPTRG00000050917.1, ENSPTRG00000048502.1
OG0001524	ENSCAFG00000013102.5	ENSPTRG00000001751.5, ENSPTRG00000043818.1
OG0001525	ENSCAFG00000018746.3	ENSPTRG00000010350.5
OG0001526	ENSCAFG00000018538.4	ENSPTRG00000050542.1, ENSPTRG00000048835.1, ENSPTRG00000023560.4
OG0001527	ENSCAFG00000004061.5	ENSPTRG00000011221.5
OG0001528	ENSCAFG00000003901.4	ENSPTRG00000011258.5
OG0001528	ENSCAFG00000011487.4	ENSPTRG00000004772.7
OG0001530	ENSCAFG00000016540.4	ENSPTRG00000021964.7
OG0001531	ENSCAFG00000030459.2, ENSCAFG00000028835.2	ENSPTRG00000042976.1
OG0001532	ENSCAFG00000012906.4	ENSPTRG00000001300.6
OG0001532	ENSCAFG00000012908.5	ENSPTRG00000001301.7
OG0001533	ENSCAFG00000012537.5	ENSPTRG00000004351.6
OG0001534	ENSCAFG00000014599.4	ENSPTRG00000015600.5
OG0001535	ENSCAFG00000019630.4	ENSPTRG00000007552.5
OG0001535	ENSCAFG00000018418.5	ENSPTRG00000008987.6
OG0001536	ENSCAFG00000010999.5	ENSPTRG00000009579.6
OG0001536	ENSCAFG00000011233.5	ENSPTRG00000052771.1
OG0001537	ENSCAFG00000006777.4	ENSPTRG00000015082.6
OG0001537	ENSCAFG00000009744.4	ENSPTRG00000004841.6
OG0001538	ENSCAFG00000018142.1	ENSPTRG00000050415.1
OG0001539	ENSCAFG00000032632.2	ENSPTRG00000046824.1
OG0001540	ENSCAFG00000032472.2	ENSPTRG00000007440.3, ENSPTRG00000050155.1
OG0001540	ENSCAFG00000030023.2	ENSPTRG00000007439.5
OG0001541	ENSCAFG00000002425.5	ENSPTRG00000012235.6
OG0001542	ENSCAFG00000004531.4	ENSPTRG00000005845.6
OG0001542	ENSCAFG00000018766.5	ENSPTRG00000042664.1, ENSPTRG00000022268.6
OG0001543	ENSCAFG00000017278.5	ENSPTRG00000047793.1
OG0001543	ENSCAFG00000007766.4	ENSPTRG00000052821.1, ENSPTRG00000052212.1
OG0001544	ENSCAFG00000013354.4	ENSPTRG00000015794.6
OG0001545	ENSCAFG00000014071.4	ENSPTRG00000002595.4
OG0001546	ENSCAFG00000002853.5	ENSPTRG00000019128.7
OG0001547	ENSCAFG00000025442.3	ENSPTRG00000019867.6
OG0001547	ENSCAFG00000010498.5	ENSPTRG00000012584.6
OG0001548	ENSCAFG00000004686.4, ENSCAFG00000008828.4, ENSCAFG00000047620.1, ENSCAFG00000011328.5	ENSPTRG00000013043.6
OG0001548	ENSCAFG00000017487.3, ENSCAFG00000012558.4	ENSPTRG00000047830.1
OG0001549	ENSCAFG00000012085.4	ENSPTRG00000050934.1
OG0001550	ENSCAFG00000002023.5	ENSPTRG00000018233.7
OG0001551	ENSCAFG00000003846.4	ENSPTRG00000018493.4
OG0001551	ENSCAFG00000012122.2	ENSPTRG00000044871.1
OG0001552	ENSCAFG00000012179.4	ENSPTRG00000007465.5
OG0001553	ENSCAFG00000016839.4	ENSPTRG00000023925.5, ENSPTRG00000049282.1
OG0001554	ENSCAFG00000048831.1	ENSPTRG00000044208.1, ENSPTRG00000046750.1
OG0001554	ENSCAFG00000018903.4	ENSPTRG00000050467.1, ENSPTRG00000028666.3
OG0001555	ENSCAFG00000017793.4	ENSPTRG00000009483.7, ENSPTRG00000008624.7
OG0001556	ENSCAFG00000018040.5	ENSPTRG00000008808.6
OG0001557	ENSCAFG00000018754.4, ENSCAFG00000018757.3	ENSPTRG00000010347.5, ENSPTRG00000010346.7
OG0001558	ENSCAFG00000018592.5	ENSPTRG00000008970.5
OG0001559	ENSCAFG00000004379.5	ENSPTRG00000023284.6
OG0001560	ENSCAFG00000012802.4	ENSPTRG00000004338.5
OG0001561	ENSCAFG00000030985.2	ENSPTRG00000015259.7
OG0001561	ENSCAFG00000028591.2	ENSPTRG00000018455.3
OG0001562	ENSCAFG00000009058.4	ENSPTRG00000013498.7
OG0001565	ENSCAFG00000013549.4	ENSPTRG00000019320.2
OG0001565	ENSCAFG00000031015.2	ENSPTRG00000046963.1, ENSPTRG00000014281.6
OG0001566	ENSCAFG00000001903.4	ENSPTRG00000016032.4
OG0001566	ENSCAFG00000017260.5	ENSPTRG00000017493.6
OG0001567	ENSCAFG00000006423.4	ENSPTRG00000003102.6
OG0001567	ENSCAFG00000029336.2	ENSPTRG00000034356.3
OG0001568	ENSCAFG00000017742.4, ENSCAFG00000000956.4, ENSCAFG00000020325.3	ENSPTRG00000018041.5
OG0001569	ENSCAFG00000018530.5	ENSPTRG00000042570.2
OG0001569	ENSCAFG00000010758.4	ENSPTRG00000009588.6
OG0001570	ENSCAFG00000049401.1	ENSPTRG00000039424.2
OG0001570	ENSCAFG00000030164.2, ENSCAFG00000032363.2	ENSPTRG00000021245.6, ENSPTRG00000051748.1
OG0001571	ENSCAFG00000014151.4	ENSPTRG00000014049.6, ENSPTRG00000043519.1, ENSPTRG00000014080.4
OG0001573	ENSCAFG00000019420.5	ENSPTRG00000010225.6
OG0001574	ENSCAFG00000007085.4	ENSPTRG00000005002.6
OG0001575	ENSCAFG00000007651.4	ENSPTRG00000003688.4
OG0001576	ENSCAFG00000009097.4	ENSPTRG00000005492.5
OG0001577	ENSCAFG00000029027.2	ENSPTRG00000003096.5
OG0001578	ENSCAFG00000007153.5	ENSPTRG00000020284.6
OG0001579	ENSCAFG00000019191.2	ENSPTRG00000010277.7
OG0001579	ENSCAFG00000000098.4	ENSPTRG00000010058.7
OG0001580	ENSCAFG00000029157.2	ENSPTRG00000006229.6
OG0001580	ENSCAFG00000004359.5	ENSPTRG00000011173.4
OG0001581	ENSCAFG00000012516.4	ENSPTRG00000022025.5
OG0001582	ENSCAFG00000019421.4	ENSPTRG00000051233.1, ENSPTRG00000024233.5
OG0001583	ENSCAFG00000009767.3	ENSPTRG00000044281.1
OG0001584	ENSCAFG00000010449.4	ENSPTRG00000004457.6
OG0001585	ENSCAFG00000023904.3	ENSPTRG00000007348.3
OG0001585	ENSCAFG00000017172.4	ENSPTRG00000001389.5
OG0001586	ENSCAFG00000015851.5	ENSPTRG00000002683.6
OG0001586	ENSCAFG00000015857.5	ENSPTRG00000002684.6
OG0001587	ENSCAFG00000012328.4	ENSPTRG00000044055.1, ENSPTRG00000016390.3
OG0001588	ENSCAFG00000006503.4	ENSPTRG00000020135.6
OG0001589	ENSCAFG00000010445.4	ENSPTRG00000000493.6
OG0001589	ENSCAFG00000005144.4	ENSPTRG00000011772.3
OG0001590	ENSCAFG00000003954.5	ENSPTRG00000011708.6
OG0001590	ENSCAFG00000006795.4, ENSCAFG00000023724.3	ENSPTRG00000013163.5
OG0001592	ENSCAFG00000025462.3	ENSPTRG00000006182.6
OG0001593	ENSCAFG00000031894.2	ENSPTRG00000047338.1
OG0001594	ENSCAFG00000009500.4	ENSPTRG00000039522.2, ENSPTRG00000008116.6
OG0001595	ENSCAFG00000023645.3	ENSPTRG00000042733.1
OG0001595	ENSCAFG00000007330.4	ENSPTRG00000017137.4
OG0001596	ENSCAFG00000010281.4	ENSPTRG00000014968.4
OG0001597	ENSCAFG00000011966.4	ENSPTRG00000044539.1, ENSPTRG00000038674.2, ENSPTRG00000006196.6
OG0001598	ENSCAFG00000019011.4	ENSPTRG00000029168.2
OG0001598	ENSCAFG00000000165.4	ENSPTRG00000017167.5
OG0001599	ENSCAFG00000012395.4	ENSPTRG00000043690.1, ENSPTRG00000047667.1, ENSPTRG00000004361.4
OG0001599	ENSCAFG00000006896.2	ENSPTRG00000049764.1
OG0001600	ENSCAFG00000012380.5	ENSPTRG00000049421.1
OG0001601	ENSCAFG00000004606.5	ENSPTRG00000012423.6
OG0001602	ENSCAFG00000023478.4, ENSCAFG00000003936.5, ENSCAFG00000025415.3	ENSPTRG00000002388.7
OG0001603	ENSCAFG00000004164.4	ENSPTRG00000045156.1
OG0001604	ENSCAFG00000023949.3	ENSPTRG00000021217.7, ENSPTRG00000021218.6
OG0001605	ENSCAFG00000032193.1	ENSPTRG00000031000.3
OG0001606	ENSCAFG00000008815.4	ENSPTRG00000015018.6
OG0001607	ENSCAFG00000012684.5	ENSPTRG00000001738.7
OG0001608	ENSCAFG00000009005.4	ENSPTRG00000012051.4
OG0001609	ENSCAFG00000008396.4	ENSPTRG00000048812.1
OG0001610	ENSCAFG00000014422.5, ENSCAFG00000031003.3	ENSPTRG00000013992.6
OG0001611	ENSCAFG00000015640.5	ENSPTRG00000020224.5, ENSPTRG00000042691.1, ENSPTRG00000051942.1, ENSPTRG00000048350.1
OG0001613	ENSCAFG00000020225.5	ENSPTRG00000021352.7
OG0001613	ENSCAFG00000011330.4	ENSPTRG00000001815.6
OG0001614	ENSCAFG00000018787.4	ENSPTRG00000009871.6
OG0001614	ENSCAFG00000023756.4	ENSPTRG00000032488.4
OG0001615	ENSCAFG00000000060.5	ENSPTRG00000005059.6
OG0001616	ENSCAFG00000012230.2	ENSPTRG00000014220.5
OG0001616	ENSCAFG00000018193.4	ENSPTRG00000009022.3
OG0001618	ENSCAFG00000004866.4	ENSPTRG00000002286.5
OG0001619	ENSCAFG00000008549.5	ENSPTRG00000004910.6
OG0001620	ENSCAFG00000005328.5	ENSPTRG00000050487.1
OG0001621	ENSCAFG00000009641.4	ENSPTRG00000013537.4
OG0001621	ENSCAFG00000030633.2, ENSCAFG00000028626.2	ENSPTRG00000013540.6
OG0001622	ENSCAFG00000015188.4	ENSPTRG00000014094.5, ENSPTRG00000047066.1
OG0001623	ENSCAFG00000007816.4	ENSPTRG00000049353.1, ENSPTRG00000048715.1
OG0001623	ENSCAFG00000016065.2, ENSCAFG00000008873.4, ENSCAFG00000004838.2	ENSPTRG00000051592.1, ENSPTRG00000047767.1, ENSPTRG00000052060.1
OG0001624	ENSCAFG00000015617.4	ENSPTRG00000012962.6
OG0001624	ENSCAFG00000000072.4	ENSPTRG00000046377.1
OG0001625	ENSCAFG00000032256.1	ENSPTRG00000033802.2
OG0001626	ENSCAFG00000002123.4	ENSPTRG00000019419.6
OG0001627	ENSCAFG00000010883.4	ENSPTRG00000001219.5
OG0001629	ENSCAFG00000002306.4	ENSPTRG00000018937.6
OG0001630	ENSCAFG00000015174.5	ENSPTRG00000000266.4
OG0001631	ENSCAFG00000015784.5	ENSPTRG00000004509.4
OG0001632	ENSCAFG00000013656.1, ENSCAFG00000005742.4, ENSCAFG00000013750.1, ENSCAFG00000024495.2, ENSCAFG00000044994.1, ENSCAFG00000019041.2	ENSPTRG00000017310.3
OG0001633	ENSCAFG00000024655.3, ENSCAFG00000048606.1, ENSCAFG00000002897.4	ENSPTRG00000019003.6
OG0001634	ENSCAFG00000003997.4	ENSPTRG00000019761.5
OG0001635	ENSCAFG00000031160.2, ENSCAFG00000010482.4	ENSPTRG00000028998.3
OG0001636	ENSCAFG00000028628.2	ENSPTRG00000047632.1
OG0001637	ENSCAFG00000000848.5	ENSPTRG00000018026.6
OG0001639	ENSCAFG00000018871.4	ENSPTRG00000000800.4
OG0001640	ENSCAFG00000029937.2, ENSCAFG00000016307.4	ENSPTRG00000050778.1
OG0001641	ENSCAFG00000001515.5	ENSPTRG00000019682.5, ENSPTRG00000046573.1
OG0001641	ENSCAFG00000019793.5	ENSPTRG00000001069.5
OG0001642	ENSCAFG00000014660.5	ENSPTRG00000009221.6
OG0001643	ENSCAFG00000006459.4	ENSPTRG00000005323.3
OG0001644	ENSCAFG00000012681.2	ENSPTRG00000034560.3, ENSPTRG00000030805.2, ENSPTRG00000034209.3
OG0001645	ENSCAFG00000018689.4	ENSPTRG00000045539.1
OG0001646	ENSCAFG00000006153.4	ENSPTRG00000050131.1
OG0001647	ENSCAFG00000028589.2	ENSPTRG00000050063.1
OG0001648	ENSCAFG00000014573.5	ENSPTRG00000002619.6
OG0001649	ENSCAFG00000013670.5	ENSPTRG00000046868.1, ENSPTRG00000009314.7
OG0001650	ENSCAFG00000013708.5	ENSPTRG00000009315.6, ENSPTRG00000045288.1
OG0001651	ENSCAFG00000029227.2	ENSPTRG00000001836.5
OG0001652	ENSCAFG00000005741.4	ENSPTRG00000014697.6
OG0001652	ENSCAFG00000016173.4	ENSPTRG00000009112.4
OG0001653	ENSCAFG00000001287.5	ENSPTRG00000018077.6
OG0001653	ENSCAFG00000017771.5	ENSPTRG00000022115.4, ENSPTRG00000047704.1, ENSPTRG00000049368.1
OG0001654	ENSCAFG00000015122.4	ENSPTRG00000010686.5, ENSPTRG00000048716.1, ENSPTRG00000043668.1, ENSPTRG00000047651.1
OG0001654	ENSCAFG00000012879.3	ENSPTRG00000047041.1, ENSPTRG00000051172.1
OG0001655	ENSCAFG00000009652.5	ENSPTRG00000004846.7
OG0001655	ENSCAFG00000023309.3	ENSPTRG00000042003.2
OG0001656	ENSCAFG00000014758.4, ENSCAFG00000048489.1, ENSCAFG00000041268.1, ENSCAFG00000049457.1, ENSCAFG00000024938.3	ENSPTRG00000008076.5
OG0001657	ENSCAFG00000032306.2	ENSPTRG00000052356.1, ENSPTRG00000013872.6
OG0001658	ENSCAFG00000006243.4	ENSPTRG00000017357.6
OG0001659	ENSCAFG00000002034.4	ENSPTRG00000016060.7
OG0001660	ENSCAFG00000032135.1, ENSCAFG00000030597.2	ENSPTRG00000016627.4, ENSPTRG00000016628.5
OG0001661	ENSCAFG00000006261.1	ENSPTRG00000005777.3
OG0001661	ENSCAFG00000007960.4	ENSPTRG00000038821.2
OG0001662	ENSCAFG00000023247.3	ENSPTRG00000042958.1
OG0001662	ENSCAFG00000002285.2	ENSPTRG00000048422.1
OG0001663	ENSCAFG00000001315.4	ENSPTRG00000017291.7
OG0001663	ENSCAFG00000008079.4	ENSPTRG00000049489.1
OG0001664	ENSCAFG00000032695.3	ENSPTRG00000051664.1
OG0001664	ENSCAFG00000019707.3	ENSPTRG00000043857.1
OG0001665	ENSCAFG00000042558.1, ENSCAFG00000042417.1, ENSCAFG00000046386.1, ENSCAFG00000041986.1, ENSCAFG00000048533.1, ENSCAFG00000047873.1	ENSPTRG00000051644.1, ENSPTRG00000017060.3, ENSPTRG00000048661.1
OG0001666	ENSCAFG00000007854.5	ENSPTRG00000017093.6
OG0001667	ENSCAFG00000001358.5	ENSPTRG00000021066.6
OG0001668	ENSCAFG00000032562.2	ENSPTRG00000006254.6
OG0001668	ENSCAFG00000047423.1, ENSCAFG00000024955.3	ENSPTRG00000003895.5
OG0001669	ENSCAFG00000013251.5	ENSPTRG00000003894.5
OG0001669	ENSCAFG00000013240.4	ENSPTRG00000006253.4
OG0001670	ENSCAFG00000005607.4	ENSPTRG00000013255.6
OG0001671	ENSCAFG00000049160.1, ENSCAFG00000013914.4	ENSPTRG00000048998.1, ENSPTRG00000050176.1, ENSPTRG00000045828.1, ENSPTRG00000048378.1, ENSPTRG00000052270.1, ENSPTRG00000029807.2
OG0001672	ENSCAFG00000016104.4	ENSPTRG00000034115.2
OG0001672	ENSCAFG00000013479.4	ENSPTRG00000052409.1, ENSPTRG00000040709.2
OG0001673	ENSCAFG00000009735.5	ENSPTRG00000042167.2
OG0001673	ENSCAFG00000024815.3	ENSPTRG00000006969.4
OG0001675	ENSCAFG00000008513.6	ENSPTRG00000004912.6
OG0001676	ENSCAFG00000015655.4	ENSPTRG00000004531.6
OG0001676	ENSCAFG00000007014.4	ENSPTRG00000003341.4
OG0001678	ENSCAFG00000018306.4	ENSPTRG00000010397.6
OG0001680	ENSCAFG00000014615.4, ENSCAFG00000014612.4	ENSPTRG00000050817.1
OG0001681	ENSCAFG00000010339.4	ENSPTRG00000003702.4
OG0001681	ENSCAFG00000010325.2	ENSPTRG00000003701.3
OG0001682	ENSCAFG00000011733.4	ENSPTRG00000003946.6
OG0001682	ENSCAFG00000011603.4	ENSPTRG00000014187.6
OG0001683	ENSCAFG00000005075.5	ENSPTRG00000012494.7
OG0001684	ENSCAFG00000004590.3	ENSPTRG00000045837.1, ENSPTRG00000008742.6
OG0001684	ENSCAFG00000017066.4	ENSPTRG00000043990.1
OG0001685	ENSCAFG00000002165.4	ENSPTRG00000018272.6
OG0001686	ENSCAFG00000002183.4	ENSPTRG00000018274.4
OG0001686	ENSCAFG00000028874.2	ENSPTRG00000018273.4
