Orthogroup	C_familiaris.pep	H_sapiens.pep
OG0002294	ENSCAFG00000046051.1, ENSCAFG00000041582.1	ENSG00000196578.4
OG0002295	ENSCAFG00000032585.2	ENSG00000130818.12, ENSG00000174652.19
OG0002297	ENSCAFG00000024209.3	ENSG00000170909.13, ENSG00000275736.4, ENSG00000274703.4, ENSG00000277088.4, ENSG00000273511.4, ENSG00000276982.4, ENSG00000278533.4, ENSG00000275551.4, ENSG00000275644.4, ENSG00000278378.4
OG0002298	ENSCAFG00000010801.4	ENSG00000164038.16
OG0002298	ENSCAFG00000010790.4	ENSG00000164037.17
OG0002299	ENSCAFG00000002635.3	ENSG00000278149.1, ENSG00000275474.1, ENSG00000276826.1, ENSG00000274504.1, ENSG00000274418.1, ENSG00000273944.1, ENSG00000276341.1, ENSG00000278284.1, ENSG00000160439.16, ENSG00000276684.4
OG0002321	ENSCAFG00000008879.4, ENSCAFG00000047783.1, ENSCAFG00000024588.3, ENSCAFG00000005198.4	ENSG00000135624.16
OG0002322	ENSCAFG00000008740.4	ENSG00000005194.15
OG0002323	ENSCAFG00000005179.4	ENSG00000149260.18
OG0002324	ENSCAFG00000016344.3, ENSCAFG00000008785.4	ENSG00000102931.8
OG0002325	ENSCAFG00000005652.4	ENSG00000104824.17, ENSG00000282947.2
OG0002326	ENSCAFG00000018650.5	ENSG00000087095.13
OG0002327	ENSCAFG00000010142.4	ENSG00000196950.14
OG0002328	ENSCAFG00000010865.4	ENSG00000144381.17
OG0002329	ENSCAFG00000019806.4	ENSG00000140995.16
OG0002330	ENSCAFG00000000987.5	ENSG00000233450.7, ENSG00000237649.8, ENSG00000204197.9
OG0002331	ENSCAFG00000005204.4	ENSG00000168036.18
OG0002332	ENSCAFG00000031257.2	ENSG00000123901.9
OG0002334	ENSCAFG00000018783.4	ENSG00000085721.12, ENSG00000278494.2
OG0002335	ENSCAFG00000029263.2	ENSG00000183682.8
OG0002336	ENSCAFG00000006533.4	ENSG00000198598.6
OG0002337	ENSCAFG00000002933.4	ENSG00000106628.10
OG0002339	ENSCAFG00000004080.5	ENSG00000105373.19
OG0002340	ENSCAFG00000012326.4	ENSG00000143409.15
OG0002341	ENSCAFG00000015932.4	ENSG00000256061.7
OG0002342	ENSCAFG00000018420.4	ENSG00000101596.15
OG0002343	ENSCAFG00000019656.6	ENSG00000148396.18
OG0002344	ENSCAFG00000016756.4	ENSG00000089289.16, ENSG00000266826.2
OG0002345	ENSCAFG00000004182.6	ENSG00000130749.10
OG0002346	ENSCAFG00000005133.7	ENSG00000090006.17
OG0002347	ENSCAFG00000015219.4	ENSG00000074755.15
OG0002348	ENSCAFG00000013316.4	ENSG00000096717.12
OG0002349	ENSCAFG00000013475.5	ENSG00000148634.15
OG0002350	ENSCAFG00000005372.5	ENSG00000160392.13
OG0002351	ENSCAFG00000016874.4	ENSG00000082458.12
OG0002352	ENSCAFG00000005973.6	ENSG00000105738.11
OG0002353	ENSCAFG00000017838.4	ENSG00000036530.9
OG0002354	ENSCAFG00000018255.3	ENSG00000176994.11, ENSG00000283741.2
OG0002355	ENSCAFG00000010775.5	ENSG00000068305.17
OG0002356	ENSCAFG00000018253.4	ENSG00000176974.20, ENSG00000284320.3
OG0002357	ENSCAFG00000007028.4	ENSG00000135372.9
OG0002358	ENSCAFG00000012045.5	ENSG00000160299.17
OG0002359	ENSCAFG00000005618.1	ENSG00000183760.11
OG0002360	ENSCAFG00000012764.5	ENSG00000114859.16
OG0002361	ENSCAFG00000012344.4	ENSG00000138399.18
OG0002362	ENSCAFG00000015193.4	ENSG00000147155.11, ENSG00000286268.1
OG0002363	ENSCAFG00000019928.4	ENSG00000131149.19
OG0002364	ENSCAFG00000018767.5	ENSG00000152582.14
OG0002365	ENSCAFG00000020235.4	ENSG00000165209.19
OG0002366	ENSCAFG00000003869.4	ENSG00000104808.8
OG0002367	ENSCAFG00000029892.2	ENSG00000142541.17
OG0002368	ENSCAFG00000001000.5	ENSG00000259305.6, ENSG00000189376.12
OG0002369	ENSCAFG00000010145.5	ENSG00000111737.12
OG0002371	ENSCAFG00000005461.4	ENSG00000165795.23
OG0002372	ENSCAFG00000004454.4	ENSG00000136143.16
OG0002373	ENSCAFG00000009071.4	ENSG00000243646.10
OG0002374	ENSCAFG00000014079.5	ENSG00000163492.15
OG0002375	ENSCAFG00000007356.5	ENSG00000186191.8
OG0002375	ENSCAFG00000007349.4	ENSG00000186190.7
OG0002376	ENSCAFG00000013648.3	ENSG00000188372.15
OG0002377	ENSCAFG00000017977.4	ENSG00000178741.12
OG0002378	ENSCAFG00000010220.4	ENSG00000275917.4, ENSG00000166664.13, ENSG00000175344.18, ENSG00000282088.3, ENSG00000274542.1
OG0002379	ENSCAFG00000010854.4	ENSG00000185515.14
OG0002380	ENSCAFG00000012913.5	ENSG00000115677.17
OG0002381	ENSCAFG00000029256.2	ENSG00000154240.17
OG0002382	ENSCAFG00000045229.1	ENSG00000181143.15
OG0002383	ENSCAFG00000017021.4	ENSG00000178921.14
OG0002385	ENSCAFG00000013741.4	ENSG00000104154.7
OG0002386	ENSCAFG00000029171.3	ENSG00000185420.19
OG0002387	ENSCAFG00000006693.4	ENSG00000125835.18
OG0002387	ENSCAFG00000010127.4	ENSG00000128739.22
OG0002388	ENSCAFG00000004858.4	ENSG00000079432.7
OG0002389	ENSCAFG00000001976.4	ENSG00000165280.16
OG0002390	ENSCAFG00000007010.4	ENSG00000107551.21
OG0002390	ENSCAFG00000006052.4	ENSG00000101265.16
OG0002391	ENSCAFG00000011376.5	ENSG00000170776.21
OG0002392	ENSCAFG00000046466.1	ENSG00000225998.6, ENSG00000231502.6, ENSG00000236826.7, ENSG00000204392.11, ENSG00000172850.11
OG0002393	ENSCAFG00000000630.4	ENSG00000234433.8, ENSG00000204396.11, ENSG00000227144.8, ENSG00000238203.8, ENSG00000230048.8, ENSG00000223757.8
OG0002394	ENSCAFG00000007956.5	ENSG00000185008.17
OG0002395	ENSCAFG00000003587.4	ENSG00000056558.11
OG0002396	ENSCAFG00000009034.4	ENSG00000070915.9
OG0002397	ENSCAFG00000019684.4	ENSG00000103126.15
OG0002398	ENSCAFG00000008559.4	ENSG00000166188.2
OG0002399	ENSCAFG00000009613.4	ENSG00000168484.12
OG0002400	ENSCAFG00000032205.2	ENSG00000092094.11
OG0002401	ENSCAFG00000010777.6	ENSG00000121774.18
OG0002402	ENSCAFG00000017537.5	ENSG00000160679.13
OG0002403	ENSCAFG00000018375.4	ENSG00000176749.9
OG0002404	ENSCAFG00000017566.6	ENSG00000122257.20
OG0002405	ENSCAFG00000000279.5, ENSCAFG00000005387.4	ENSG00000135597.18
OG0002406	ENSCAFG00000017008.4	ENSG00000178999.13
OG0002406	ENSCAFG00000023297.2	ENSG00000105146.13
OG0002408	ENSCAFG00000019499.5	ENSG00000176884.15
OG0002409	ENSCAFG00000013641.4	ENSG00000143507.18
OG0002410	ENSCAFG00000007114.4	ENSG00000165733.8
OG0002411	ENSCAFG00000001136.5	ENSG00000079819.19
OG0002412	ENSCAFG00000001071.6	ENSG00000255330.9, ENSG00000214338.10
OG0002413	ENSCAFG00000011476.5	ENSG00000154217.15
OG0002414	ENSCAFG00000020366.4	ENSG00000168676.11
OG0002415	ENSCAFG00000018932.4	ENSG00000022267.19
OG0002416	ENSCAFG00000000831.5	ENSG00000182197.11
OG0002417	ENSCAFG00000017358.4, ENSCAFG00000007154.4	ENSG00000111057.11
OG0002418	ENSCAFG00000019659.6	ENSG00000175221.15, ENSG00000282092.1
OG0002419	ENSCAFG00000005809.4	ENSG00000125304.10
OG0002420	ENSCAFG00000012104.5	ENSG00000158195.11
OG0002421	ENSCAFG00000007953.3	ENSG00000154328.16
OG0002422	ENSCAFG00000032347.2	ENSG00000155876.6
OG0002422	ENSCAFG00000016503.4	ENSG00000083750.12
OG0002423	ENSCAFG00000020074.5	ENSG00000260092.1, ENSG00000205084.11
OG0002424	ENSCAFG00000031719.2	ENSG00000167286.9
OG0002424	ENSCAFG00000012780.4	ENSG00000160654.10
OG0002425	ENSCAFG00000014530.5	ENSG00000163995.20
OG0002426	ENSCAFG00000011993.4	ENSG00000259529.2, ENSG00000092098.17, ENSG00000285152.2, ENSG00000284845.2
OG0002427	ENSCAFG00000012560.5	ENSG00000128683.14
OG0002428	ENSCAFG00000020228.4	ENSG00000140829.12
OG0002429	ENSCAFG00000029577.2	ENSG00000159788.19
OG0002430	ENSCAFG00000028791.2	ENSG00000133027.18
OG0002431	ENSCAFG00000018501.6	ENSG00000133030.21
OG0002432	ENSCAFG00000001037.5	ENSG00000214814.7
OG0002433	ENSCAFG00000001027.5	ENSG00000176853.16
OG0002435	ENSCAFG00000014314.5	ENSG00000105705.16
OG0002436	ENSCAFG00000023986.4	ENSG00000184986.11
OG0002437	ENSCAFG00000001582.5, ENSCAFG00000015387.4	ENSG00000143199.18
OG0002439	ENSCAFG00000004032.4	ENSG00000162367.11
OG0002440	ENSCAFG00000019416.4	ENSG00000273494.3, ENSG00000157881.15
OG0002441	ENSCAFG00000020251.4	ENSG00000141101.13
OG0002442	ENSCAFG00000009183.4	ENSG00000162989.5
OG0002443	ENSCAFG00000012921.4	ENSG00000143257.11
OG0002443	ENSCAFG00000011094.5	ENSG00000144852.17
OG0002444	ENSCAFG00000018396.5	ENSG00000171953.16
OG0002445	ENSCAFG00000001066.4, ENSCAFG00000029213.2, ENSCAFG00000016113.4, ENSCAFG00000001443.5	ENSG00000100129.18
OG0002446	ENSCAFG00000013284.3, ENSCAFG00000042466.1	ENSG00000102172.16
OG0002447	ENSCAFG00000010347.4	ENSG00000276787.1, ENSG00000198690.10
OG0002448	ENSCAFG00000003897.4	ENSG00000123091.5
OG0002449	ENSCAFG00000043275.1, ENSCAFG00000045775.1	ENSG00000099974.8, ENSG00000275758.2, ENSG00000285762.1
OG0002450	ENSCAFG00000019016.5	ENSG00000108582.12
OG0002451	ENSCAFG00000017085.4	ENSG00000179262.10
OG0002452	ENSCAFG00000008630.5	ENSG00000140859.16
OG0002453	ENSCAFG00000013963.4	ENSG00000197580.13
OG0002454	ENSCAFG00000008354.4	ENSG00000168079.17
OG0002455	ENSCAFG00000031426.2	ENSG00000150773.10
OG0002456	ENSCAFG00000028968.2	ENSG00000164933.12, ENSG00000285982.1
OG0002457	ENSCAFG00000016686.4	ENSG00000182718.16
OG0002458	ENSCAFG00000001386.6	ENSG00000096070.19
OG0002459	ENSCAFG00000016442.4, ENSCAFG00000007690.3	ENSG00000100568.11
OG0002460	ENSCAFG00000014690.4	ENSG00000089693.10
OG0002461	ENSCAFG00000019810.4	ENSG00000160293.17
OG0002462	ENSCAFG00000019996.5	ENSG00000095321.17
OG0002463	ENSCAFG00000001610.5	ENSG00000160948.14, ENSG00000285339.2
OG0002464	ENSCAFG00000019369.5	ENSG00000188976.11
OG0002465	ENSCAFG00000001433.5	ENSG00000178209.15
OG0002466	ENSCAFG00000004666.4	ENSG00000073008.15
OG0002466	ENSCAFG00000004626.4	ENSG00000130202.10
OG0002468	ENSCAFG00000005889.4	ENSG00000177105.10
OG0002469	ENSCAFG00000019654.5	ENSG00000161996.19
OG0002470	ENSCAFG00000006465.4	ENSG00000170627.11
OG0002471	ENSCAFG00000009602.5	ENSG00000215817.7, ENSG00000058673.16
OG0002472	ENSCAFG00000000664.4	ENSG00000130363.12
OG0002474	ENSCAFG00000019006.4	ENSG00000271723.5, ENSG00000184313.20
OG0002474	ENSCAFG00000008726.5	ENSG00000101353.14
OG0002475	ENSCAFG00000011660.4	ENSG00000133454.15
OG0002476	ENSCAFG00000007260.6	ENSG00000066855.16
OG0002477	ENSCAFG00000020337.4	ENSG00000038358.15
OG0002478	ENSCAFG00000017157.5	ENSG00000147099.21
OG0002479	ENSCAFG00000014075.4	ENSG00000180611.7
OG0002480	ENSCAFG00000005622.5	ENSG00000269190.6, ENSG00000282954.2
OG0002480	ENSCAFG00000024310.3	ENSG00000161243.9
OG0002481	ENSCAFG00000014223.5	ENSG00000146830.10
OG0002482	ENSCAFG00000000116.5	ENSG00000049759.18
OG0002483	ENSCAFG00000012316.4, ENSCAFG00000008385.4	ENSG00000147419.18
OG0002484	ENSCAFG00000011777.4	ENSG00000117362.13
OG0002485	ENSCAFG00000010386.5	ENSG00000110080.18
OG0002486	ENSCAFG00000007975.5	ENSG00000147601.14
OG0002487	ENSCAFG00000008152.5	ENSG00000154582.16
OG0002488	ENSCAFG00000009127.5	ENSG00000125124.12
OG0002489	ENSCAFG00000014835.5	ENSG00000166348.18
OG0002490	ENSCAFG00000019670.4	ENSG00000275338.4, ENSG00000090565.16
OG0002491	ENSCAFG00000004881.4	ENSG00000115207.13
OG0002492	ENSCAFG00000018147.4	ENSG00000141380.14
OG0002493	ENSCAFG00000008295.4	ENSG00000281484.2, ENSG00000154640.14
OG0002494	ENSCAFG00000029617.2	ENSG00000169490.17
OG0002495	ENSCAFG00000005013.4	ENSG00000172940.13
OG0002496	ENSCAFG00000001523.5	ENSG00000197858.11
OG0002497	ENSCAFG00000017430.4	ENSG00000136450.13
OG0002498	ENSCAFG00000006921.4	ENSG00000125826.20
OG0002499	ENSCAFG00000009288.3, ENSCAFG00000007327.3	ENSG00000111412.6
OG0002500	ENSCAFG00000013518.4	ENSG00000121486.12
OG0002501	ENSCAFG00000006164.5	ENSG00000138061.12
OG0002502	ENSCAFG00000017396.5	ENSG00000047578.13
OG0002503	ENSCAFG00000008120.5	ENSG00000285141.2, ENSG00000184647.11
OG0002504	ENSCAFG00000003102.4	ENSG00000250424.4, ENSG00000240583.12
OG0002505	ENSCAFG00000017916.4	ENSG00000138623.10, ENSG00000288455.1
OG0002506	ENSCAFG00000009699.5	ENSG00000177200.17
OG0002507	ENSCAFG00000029889.2, ENSCAFG00000006775.3, ENSCAFG00000016775.1, ENSCAFG00000048139.1	ENSG00000140319.11
OG0002508	ENSCAFG00000010144.4	ENSG00000158715.6
OG0002509	ENSCAFG00000048037.1, ENSCAFG00000005402.4	ENSG00000149273.15
OG0002510	ENSCAFG00000008259.7	ENSG00000089094.19
OG0002512	ENSCAFG00000042819.1	ENSG00000136888.7
OG0002513	ENSCAFG00000011896.4	ENSG00000284796.1, ENSG00000100897.17
OG0002514	ENSCAFG00000012404.5	ENSG00000186166.9, ENSG00000280975.3
OG0002515	ENSCAFG00000006670.4	ENSG00000132341.12
OG0002516	ENSCAFG00000047297.1, ENSCAFG00000000418.4	ENSG00000135679.25
OG0002517	ENSCAFG00000003259.5	ENSG00000286905.1, ENSG00000171865.10
OG0002518	ENSCAFG00000000022.4	ENSG00000215421.9
OG0002519	ENSCAFG00000005148.5	ENSG00000130675.15
OG0002520	ENSCAFG00000014190.4	ENSG00000099899.15
OG0002521	ENSCAFG00000049852.1	ENSG00000141096.6
OG0002521	ENSCAFG00000024187.4	ENSG00000167261.14
OG0002523	ENSCAFG00000017556.5	ENSG00000121101.15
OG0002524	ENSCAFG00000005536.4	ENSG00000107937.19
OG0002525	ENSCAFG00000001547.5	ENSG00000112164.6
OG0002526	ENSCAFG00000010398.5	ENSG00000137261.14
OG0002527	ENSCAFG00000043636.1	ENSG00000067064.11
OG0002528	ENSCAFG00000001422.3, ENSCAFG00000003574.4	ENSG00000095261.14
OG0002529	ENSCAFG00000003278.4	ENSG00000134690.11
OG0002530	ENSCAFG00000019910.5	ENSG00000103264.18
OG0002531	ENSCAFG00000019340.4	ENSG00000162073.14
OG0002532	ENSCAFG00000014041.5	ENSG00000185246.18
OG0002533	ENSCAFG00000018198.5	ENSG00000128482.16
OG0002535	ENSCAFG00000015047.5	ENSG00000010295.19
OG0002536	ENSCAFG00000004023.6	ENSG00000148516.21
OG0002537	ENSCAFG00000019081.4	ENSG00000145555.15
OG0002538	ENSCAFG00000004954.4	ENSG00000115216.14
OG0002539	ENSCAFG00000016469.4	ENSG00000117036.12
OG0002540	ENSCAFG00000013789.4, ENSCAFG00000025396.3	ENSG00000182077.11, ENSG00000276595.4
OG0002541	ENSCAFG00000028682.3	ENSG00000171530.14
OG0002542	ENSCAFG00000018272.5	ENSG00000003096.14
OG0002542	ENSCAFG00000023674.3	ENSG00000198642.7
OG0002543	ENSCAFG00000013505.4	ENSG00000137634.10
OG0002544	ENSCAFG00000019256.4	ENSG00000215915.10, ENSG00000160072.20, ENSG00000197785.14
OG0002545	ENSCAFG00000002454.5	ENSG00000136936.10
OG0002546	ENSCAFG00000002461.5	ENSG00000136929.13
OG0002547	ENSCAFG00000008166.5	ENSG00000148925.10
OG0002548	ENSCAFG00000004496.5	ENSG00000260314.3
OG0002549	ENSCAFG00000007749.5	ENSG00000138119.17
OG0002550	ENSCAFG00000005206.5	ENSG00000134453.16
OG0002551	ENSCAFG00000028839.2	ENSG00000099246.16
OG0002552	ENSCAFG00000006702.4	ENSG00000149084.13
OG0002553	ENSCAFG00000004071.4	ENSG00000130024.15
OG0002554	ENSCAFG00000010495.2, ENSCAFG00000016650.3, ENSCAFG00000001396.2, ENSCAFG00000020055.3, ENSCAFG00000041293.1, ENSCAFG00000002696.3	ENSG00000129084.17
OG0002555	ENSCAFG00000003198.4	ENSG00000119321.9
OG0002556	ENSCAFG00000001856.4	ENSG00000127954.12
OG0002557	ENSCAFG00000001866.4	ENSG00000164647.9, ENSG00000105889.15
OG0002558	ENSCAFG00000001308.4	ENSG00000131558.15
OG0002559	ENSCAFG00000001882.4	ENSG00000105793.15
OG0002560	ENSCAFG00000003309.5	ENSG00000115977.19
OG0002561	ENSCAFG00000011582.5	ENSG00000114416.18
OG0002562	ENSCAFG00000011520.5	ENSG00000163728.11
OG0002563	ENSCAFG00000018032.4, ENSCAFG00000018533.4	ENSG00000103550.14
OG0002564	ENSCAFG00000005851.3, ENSCAFG00000006166.1, ENSCAFG00000028832.2, ENSCAFG00000008332.3, ENSCAFG00000013515.4	ENSG00000146701.12
OG0002565	ENSCAFG00000032331.2	ENSG00000030304.14
OG0002566	ENSCAFG00000002400.3	ENSG00000137124.8
OG0002567	ENSCAFG00000015990.4	ENSG00000011275.18
OG0002568	ENSCAFG00000018188.5	ENSG00000185215.9
OG0002569	ENSCAFG00000017942.4	ENSG00000166974.13
OG0002570	ENSCAFG00000013793.3	ENSG00000128581.17
OG0002571	ENSCAFG00000046675.1, ENSCAFG00000044569.1	ENSG00000105829.13
OG0002572	ENSCAFG00000015176.4, ENSCAFG00000047177.1, ENSCAFG00000043925.1, ENSCAFG00000014432.4, ENSCAFG00000028847.2	ENSG00000211672.2
OG0002574	ENSCAFG00000002657.5	ENSG00000276537.4, ENSG00000167614.14, ENSG00000275650.4, ENSG00000276887.4
OG0002575	ENSCAFG00000010738.4	ENSG00000265808.4
OG0002576	ENSCAFG00000014986.4	ENSG00000094963.14
OG0002577	ENSCAFG00000015918.4	ENSG00000167994.13
OG0002578	ENSCAFG00000002187.4	ENSG00000006377.11
OG0002579	ENSCAFG00000017965.4	ENSG00000105088.8
OG0002580	ENSCAFG00000029379.2	ENSG00000108106.14
OG0002581	ENSCAFG00000014195.5	ENSG00000151967.18, ENSG00000283154.2
OG0002582	ENSCAFG00000015750.5	ENSG00000120645.12, ENSG00000262607.5, ENSG00000282676.1
OG0002583	ENSCAFG00000002448.4	ENSG00000283321.1, ENSG00000106546.14
OG0002584	ENSCAFG00000008523.4	ENSG00000174944.9
OG0002585	ENSCAFG00000016081.3	ENSG00000069998.12
OG0002586	ENSCAFG00000003077.4	ENSG00000281039.1, ENSG00000006625.18
OG0002587	ENSCAFG00000010659.4	ENSG00000153832.12
OG0002588	ENSCAFG00000047744.1	ENSG00000168958.19
OG0002589	ENSCAFG00000003893.4	ENSG00000262327.7, ENSG00000006530.18
OG0002590	ENSCAFG00000003885.4, ENSCAFG00000029533.1, ENSCAFG00000029109.1	ENSG00000106028.11, ENSG00000262771.5
OG0002591	ENSCAFG00000004806.4	ENSG00000144674.16
OG0002592	ENSCAFG00000003154.5	ENSG00000122643.21
OG0002593	ENSCAFG00000045802.1, ENSCAFG00000042460.1, ENSCAFG00000030535.2	ENSG00000204954.10
OG0002594	ENSCAFG00000029177.2	ENSG00000120837.8
OG0002595	ENSCAFG00000003571.4	ENSG00000106536.20
OG0002596	ENSCAFG00000003411.6	ENSG00000106462.11
OG0002597	ENSCAFG00000013088.3	ENSG00000168395.15
OG0002598	ENSCAFG00000029522.2	ENSG00000105131.8
OG0002599	ENSCAFG00000009669.4	ENSG00000198625.13
OG0002600	ENSCAFG00000011650.4	ENSG00000281614.3, ENSG00000168918.14
OG0002601	ENSCAFG00000000982.4	ENSG00000272765.2, ENSG00000273397.4, ENSG00000281013.4, ENSG00000184983.11, ENSG00000277365.3
OG0002602	ENSCAFG00000013217.4	ENSG00000013588.8
OG0002603	ENSCAFG00000019944.4	ENSG00000134248.13
OG0002604	ENSCAFG00000006596.4	ENSG00000185046.18
OG0002605	ENSCAFG00000006545.5	ENSG00000075415.12
OG0002606	ENSCAFG00000009185.5	ENSG00000165887.12
OG0002607	ENSCAFG00000013770.5, ENSCAFG00000032099.2	ENSG00000159314.11, ENSG00000276907.4, ENSG00000276836.4
OG0002608	ENSCAFG00000013895.4	ENSG00000181513.14
OG0002609	ENSCAFG00000013365.4	ENSG00000165055.15, ENSG00000087995.15
OG0002610	ENSCAFG00000000453.5	ENSG00000133858.16
OG0002611	ENSCAFG00000005694.4	ENSG00000187109.14
OG0002612	ENSCAFG00000029051.2, ENSCAFG00000009800.4	ENSG00000138646.9
OG0002612	ENSCAFG00000009781.4	ENSG00000138642.14
OG0002613	ENSCAFG00000012374.5	ENSG00000066468.22
OG0002614	ENSCAFG00000015346.4	ENSG00000126561.16
OG0002614	ENSCAFG00000015509.4	ENSG00000173757.10
OG0002615	ENSCAFG00000016644.4	ENSG00000141279.16
OG0002616	ENSCAFG00000015404.4	ENSG00000130038.10
OG0002617	ENSCAFG00000009764.5	ENSG00000134283.18
OG0002618	ENSCAFG00000030751.2	ENSG00000139168.8
OG0002619	ENSCAFG00000005561.4	ENSG00000137040.10, ENSG00000065150.21
OG0002620	ENSCAFG00000009267.4	ENSG00000134262.13
OG0002621	ENSCAFG00000006000.5	ENSG00000134899.21, ENSG00000270181.3, ENSG00000134897.14
OG0002622	ENSCAFG00000006504.5	ENSG00000169062.15
OG0002623	ENSCAFG00000016145.4	ENSG00000109790.16
OG0002624	ENSCAFG00000010330.4	ENSG00000163444.12
OG0002625	ENSCAFG00000017322.3	ENSG00000188501.11
OG0002625	ENSCAFG00000016529.4	ENSG00000249948.6
OG0002626	ENSCAFG00000010452.4	ENSG00000117139.18
OG0002627	ENSCAFG00000041073.1	ENSG00000115446.11
OG0002628	ENSCAFG00000016672.4	ENSG00000178177.15
OG0002629	ENSCAFG00000002358.5	ENSG00000168658.19
OG0002630	ENSCAFG00000014808.5	ENSG00000087274.17
OG0002631	ENSCAFG00000015576.4	ENSG00000004478.8
OG0002632	ENSCAFG00000014821.4	ENSG00000130988.13
OG0002633	ENSCAFG00000008491.4	ENSG00000080845.17
OG0002634	ENSCAFG00000000926.4	ENSG00000100271.17
OG0002635	ENSCAFG00000013425.4	ENSG00000130741.11, ENSG00000180574.3
OG0002636	ENSCAFG00000014207.4	ENSG00000124486.13
OG0002637	ENSCAFG00000004293.4	ENSG00000135205.15
OG0002638	ENSCAFG00000010687.4	ENSG00000241945.8, ENSG00000275464.5
OG0002639	ENSCAFG00000010167.4	ENSG00000157601.14, ENSG00000183486.13
OG0002640	ENSCAFG00000003891.4	ENSG00000091137.14
OG0002641	ENSCAFG00000003919.3	ENSG00000105865.11, ENSG00000284103.2, ENSG00000288558.1
OG0002642	ENSCAFG00000045160.1, ENSCAFG00000047350.1	ENSG00000262911.5, ENSG00000177692.11
OG0002643	ENSCAFG00000030501.2, ENSCAFG00000009095.4	ENSG00000159128.14, ENSG00000262795.5
OG0002644	ENSCAFG00000008729.4	ENSG00000156273.16
OG0002645	ENSCAFG00000024922.3	ENSG00000154723.12
OG0002646	ENSCAFG00000008215.5	ENSG00000155313.15
OG0002647	ENSCAFG00000020381.3	ENSG00000265690.7, ENSG00000135722.9
OG0002648	ENSCAFG00000006979.5	ENSG00000129422.14
OG0002649	ENSCAFG00000007113.6	ENSG00000078674.17
OG0002650	ENSCAFG00000009030.5	ENSG00000178694.10
OG0002651	ENSCAFG00000007135.5	ENSG00000283153.2, ENSG00000109536.12, ENSG00000275145.3, ENSG00000283630.2
OG0002652	ENSCAFG00000011367.4	ENSG00000174428.18, ENSG00000196275.14
OG0002653	ENSCAFG00000003733.4	ENSG00000109381.20
OG0002654	ENSCAFG00000018714.4, ENSCAFG00000030831.2, ENSCAFG00000049900.1	ENSG00000242715.8
OG0002655	ENSCAFG00000029537.1	ENSG00000165474.8
OG0002656	ENSCAFG00000031728.2	ENSG00000137693.14
OG0002657	ENSCAFG00000003991.4	ENSG00000165895.19
OG0002658	ENSCAFG00000042079.1, ENSCAFG00000011715.5	ENSG00000174720.16
OG0002660	ENSCAFG00000018598.4	ENSG00000039537.13
OG0002661	ENSCAFG00000009012.5	ENSG00000177034.16
OG0002662	ENSCAFG00000008311.4	ENSG00000164346.10
OG0002663	ENSCAFG00000007808.5	ENSG00000276910.4, ENSG00000145736.14, ENSG00000275045.4, ENSG00000274675.4, ENSG00000183474.15
OG0002664	ENSCAFG00000030896.2	ENSG00000186468.13
OG0002665	ENSCAFG00000019057.4, ENSCAFG00000007900.5	ENSG00000118985.16
OG0002666	ENSCAFG00000019762.4	ENSG00000280951.3, ENSG00000148248.14
OG0002667	ENSCAFG00000001551.4	ENSG00000164985.15
OG0002668	ENSCAFG00000044726.1	ENSG00000135070.15
OG0002669	ENSCAFG00000001435.5	ENSG00000135018.14
OG0002670	ENSCAFG00000001646.5	ENSG00000106772.18
OG0002671	ENSCAFG00000041658.1	ENSG00000171136.7, ENSG00000288474.1
OG0002672	ENSCAFG00000013302.6	ENSG00000198604.11
OG0002673	ENSCAFG00000012911.4	ENSG00000092148.13
OG0002674	ENSCAFG00000049761.1, ENSCAFG00000018333.5	ENSG00000203485.13
OG0002675	ENSCAFG00000018292.5	ENSG00000100711.13
OG0002676	ENSCAFG00000009353.3	ENSG00000100764.14
OG0002677	ENSCAFG00000017486.3, ENSCAFG00000011068.3	ENSG00000053254.15
OG0002678	ENSCAFG00000018667.4	ENSG00000088247.17
OG0002679	ENSCAFG00000017246.4	ENSG00000063761.16
OG0002680	ENSCAFG00000013780.2, ENSCAFG00000016932.4	ENSG00000119655.10
OG0002681	ENSCAFG00000004360.4	ENSG00000154930.15
OG0002682	ENSCAFG00000013859.5	ENSG00000092208.17
OG0002683	ENSCAFG00000017671.3	ENSG00000213339.9
OG0002684	ENSCAFG00000017637.5	ENSG00000152242.11
OG0002685	ENSCAFG00000016834.5	ENSG00000133961.20
OG0002686	ENSCAFG00000016869.4	ENSG00000258653.3, ENSG00000140043.11
OG0002687	ENSCAFG00000008862.3	ENSG00000156269.5
OG0002688	ENSCAFG00000006865.4	ENSG00000149090.11
OG0002689	ENSCAFG00000010256.5	ENSG00000205531.13, ENSG00000273562.4
OG0002690	ENSCAFG00000031882.2	ENSG00000184281.15
OG0002691	ENSCAFG00000009734.4, ENSCAFG00000032054.2	ENSG00000277281.3, ENSG00000277518.3, ENSG00000283350.2, ENSG00000184956.16
OG0002692	ENSCAFG00000009523.4, ENSCAFG00000029967.1	ENSG00000177600.9
OG0002693	ENSCAFG00000016276.4	ENSG00000099797.15
OG0002694	ENSCAFG00000006515.5	ENSG00000282367.1, ENSG00000174915.12
OG0002695	ENSCAFG00000006512.4	ENSG00000185101.13
OG0002696	ENSCAFG00000017598.4	ENSG00000188803.15
OG0002697	ENSCAFG00000017596.4	ENSG00000187824.8
OG0002698	ENSCAFG00000004855.5	ENSG00000115109.14
