Orthogroup	C_familiaris.pep	A_carolinensis.pep
OG0000508	ENSCAFG00000004413.4	ENSACAG00000005634.3
OG0000509	ENSCAFG00000024991.3	ENSACAG00000013544.1
OG0000509	ENSCAFG00000015954.4	ENSACAG00000002005.3, ENSACAG00000022250.2
OG0000510	ENSCAFG00000011363.4	ENSACAG00000010150.2
OG0000510	ENSCAFG00000004058.4	ENSACAG00000005858.3
OG0000510	ENSCAFG00000010401.5	ENSACAG00000003096.3
OG0000511	ENSCAFG00000009853.4	ENSACAG00000003604.3
OG0000511	ENSCAFG00000020331.6	ENSACAG00000001369.3
OG0000512	ENSCAFG00000000220.5	ENSACAG00000007809.3
OG0000513	ENSCAFG00000009720.4	ENSACAG00000012406.2
OG0000513	ENSCAFG00000017484.4	ENSACAG00000003535.2
OG0000514	ENSCAFG00000005624.5	ENSACAG00000002493.3
OG0000514	ENSCAFG00000008039.4	ENSACAG00000017156.3
OG0000515	ENSCAFG00000049365.1, ENSCAFG00000041148.1, ENSCAFG00000046815.1	ENSACAG00000014791.3
OG0000516	ENSCAFG00000015146.5	ENSACAG00000014584.3
OG0000516	ENSCAFG00000004994.5	ENSACAG00000013404.3
OG0000517	ENSCAFG00000010406.4	ENSACAG00000007800.3
OG0000517	ENSCAFG00000001423.5	ENSACAG00000010611.2
OG0000517	ENSCAFG00000005432.4	ENSACAG00000010141.3
OG0000518	ENSCAFG00000004254.4	ENSACAG00000002040.3
OG0000519	ENSCAFG00000000273.6	ENSACAG00000013313.3
OG0000519	ENSCAFG00000004773.4, ENSCAFG00000012092.4	ENSACAG00000010229.2
OG0000520	ENSCAFG00000006241.4	ENSACAG00000013340.3
OG0000521	ENSCAFG00000008867.4, ENSCAFG00000015068.5	ENSACAG00000027634.2
OG0000522	ENSCAFG00000003439.4	ENSACAG00000029685.1, ENSACAG00000028748.1, ENSACAG00000011790.3
OG0000522	ENSCAFG00000002491.3	ENSACAG00000015706.3
OG0000533	ENSCAFG00000028645.2	ENSACAG00000016585.3
OG0000533	ENSCAFG00000012831.4	ENSACAG00000023149.2
OG0000535	ENSCAFG00000015465.5	ENSACAG00000008216.3
OG0000535	ENSCAFG00000028535.3	ENSACAG00000015565.2
OG0000536	ENSCAFG00000007500.4	ENSACAG00000009005.3
OG0000536	ENSCAFG00000000612.4	ENSACAG00000007176.2
OG0000537	ENSCAFG00000016969.4	ENSACAG00000002517.3
OG0000538	ENSCAFG00000012896.3	ENSACAG00000006634.3
OG0000539	ENSCAFG00000042135.1	ENSACAG00000012703.2
OG0000539	ENSCAFG00000049617.1, ENSCAFG00000031852.2, ENSCAFG00000003974.3, ENSCAFG00000049493.1	ENSACAG00000006500.2
OG0000540	ENSCAFG00000048689.1, ENSCAFG00000042063.1, ENSCAFG00000049538.1, ENSCAFG00000044342.1, ENSCAFG00000048995.1, ENSCAFG00000044674.1, ENSCAFG00000049564.1, ENSCAFG00000047287.1, ENSCAFG00000049012.1, ENSCAFG00000042239.1, ENSCAFG00000046441.1	ENSACAG00000022874.1
OG0000541	ENSCAFG00000011457.5	ENSACAG00000005252.3
OG0000541	ENSCAFG00000001380.4	ENSACAG00000000978.3
OG0000542	ENSCAFG00000017502.5	ENSACAG00000013788.2
OG0000543	ENSCAFG00000014158.4	ENSACAG00000022044.2
OG0000543	ENSCAFG00000031774.2	ENSACAG00000023558.1, ENSACAG00000015283.3, ENSACAG00000024961.1, ENSACAG00000006153.2, ENSACAG00000015116.3, ENSACAG00000015474.2
OG0000544	ENSCAFG00000014920.4	ENSACAG00000005393.3
OG0000544	ENSCAFG00000012533.5	ENSACAG00000001350.3
OG0000545	ENSCAFG00000004292.4	ENSACAG00000014370.3
OG0000545	ENSCAFG00000017081.4	ENSACAG00000014967.3, ENSACAG00000027324.1
OG0000546	ENSCAFG00000031447.2	ENSACAG00000005033.2
OG0000546	ENSCAFG00000017001.4	ENSACAG00000002860.3
OG0000547	ENSCAFG00000016881.4	ENSACAG00000006162.2, ENSACAG00000006445.3
OG0000548	ENSCAFG00000045275.1, ENSCAFG00000030853.2, ENSCAFG00000018962.4, ENSCAFG00000007544.4, ENSCAFG00000024996.5	ENSACAG00000009551.3
OG0000549	ENSCAFG00000016590.4	ENSACAG00000016479.3
OG0000549	ENSCAFG00000029614.2	ENSACAG00000004002.3
OG0000550	ENSCAFG00000000950.4	ENSACAG00000002918.3
OG0000551	ENSCAFG00000013568.4	ENSACAG00000007839.3
OG0000553	ENSCAFG00000020313.4	ENSACAG00000005782.3
OG0000554	ENSCAFG00000014686.5	ENSACAG00000002214.2, ENSACAG00000002087.2
OG0000554	ENSCAFG00000000297.4	ENSACAG00000012787.3
OG0000555	ENSCAFG00000003488.3	ENSACAG00000017955.3
OG0000555	ENSCAFG00000014225.5	ENSACAG00000014663.2
OG0000556	ENSCAFG00000006059.5	ENSACAG00000002494.3
OG0000557	ENSCAFG00000017391.3, ENSCAFG00000044178.1, ENSCAFG00000012160.5, ENSCAFG00000012292.3, ENSCAFG00000000632.3, ENSCAFG00000000749.4	ENSACAG00000009298.2
OG0000558	ENSCAFG00000011590.5	ENSACAG00000008242.3
OG0000559	ENSCAFG00000005717.5	ENSACAG00000003769.3
OG0000560	ENSCAFG00000047633.1, ENSCAFG00000028679.2, ENSCAFG00000013550.3	ENSACAG00000002859.2
OG0000561	ENSCAFG00000006816.4	ENSACAG00000003130.3
OG0000561	ENSCAFG00000002014.5	ENSACAG00000005889.3
OG0000562	ENSCAFG00000047016.1, ENSCAFG00000041666.1, ENSCAFG00000018652.3, ENSCAFG00000014723.4	ENSACAG00000026561.1, ENSACAG00000025324.2
OG0000563	ENSCAFG00000019020.5	ENSACAG00000005875.3
OG0000563	ENSCAFG00000006199.4	ENSACAG00000006490.3
OG0000564	ENSCAFG00000006970.4	ENSACAG00000017972.2
OG0000564	ENSCAFG00000013179.4	ENSACAG00000026158.2, ENSACAG00000006351.3
OG0000565	ENSCAFG00000049434.1	ENSACAG00000007771.2
OG0000565	ENSCAFG00000010013.4	ENSACAG00000014413.2
OG0000566	ENSCAFG00000013442.4	ENSACAG00000006935.3
OG0000567	ENSCAFG00000001346.4, ENSCAFG00000003564.2	ENSACAG00000007688.3
OG0000567	ENSCAFG00000047824.1	ENSACAG00000008872.3
OG0000568	ENSCAFG00000032010.2	ENSACAG00000028140.1
OG0000568	ENSCAFG00000023455.4	ENSACAG00000028639.1
OG0000569	ENSCAFG00000006632.5	ENSACAG00000002619.2
OG0000569	ENSCAFG00000007302.6	ENSACAG00000007762.3
OG0000570	ENSCAFG00000047663.1	ENSACAG00000007053.2
OG0000570	ENSCAFG00000004246.4	ENSACAG00000010003.3, ENSACAG00000013273.2, ENSACAG00000014668.2
OG0000571	ENSCAFG00000007165.5	ENSACAG00000008075.3
OG0000571	ENSCAFG00000017049.5	ENSACAG00000011546.3
OG0000572	ENSCAFG00000011308.5	ENSACAG00000004702.2
OG0000572	ENSCAFG00000016472.4	ENSACAG00000007952.3
OG0000573	ENSCAFG00000000737.5	ENSACAG00000001389.2
OG0000573	ENSCAFG00000012392.3	ENSACAG00000022941.1
OG0000574	ENSCAFG00000008779.5	ENSACAG00000000048.3
OG0000575	ENSCAFG00000017108.4, ENSCAFG00000031581.2	ENSACAG00000015056.3
OG0000576	ENSCAFG00000016918.3	ENSACAG00000024163.2
OG0000576	ENSCAFG00000002044.3	ENSACAG00000013285.3
OG0000577	ENSCAFG00000015094.5	ENSACAG00000012777.3
OG0000578	ENSCAFG00000002701.4	ENSACAG00000016045.2
OG0000579	ENSCAFG00000006046.5, ENSCAFG00000006035.4	ENSACAG00000002473.3, ENSACAG00000002476.3
OG0000579	ENSCAFG00000024259.4	ENSACAG00000002516.2
OG0000580	ENSCAFG00000016041.4	ENSACAG00000004981.3
OG0000582	ENSCAFG00000011347.5	ENSACAG00000015909.3
OG0000583	ENSCAFG00000017567.4	ENSACAG00000018008.3
OG0000584	ENSCAFG00000002860.4	ENSACAG00000003620.3
OG0000584	ENSCAFG00000017570.4	ENSACAG00000009586.3
OG0000585	ENSCAFG00000015933.4, ENSCAFG00000042895.1	ENSACAG00000016844.2
OG0000586	ENSCAFG00000016995.4	ENSACAG00000016795.3
OG0000586	ENSCAFG00000001938.5	ENSACAG00000001612.3
OG0000587	ENSCAFG00000024908.3	ENSACAG00000014943.2, ENSACAG00000015030.2, ENSACAG00000028594.1
OG0000588	ENSCAFG00000011332.4	ENSACAG00000028965.1
OG0000589	ENSCAFG00000023592.4	ENSACAG00000026062.2
OG0000601	ENSCAFG00000011950.4	ENSACAG00000010212.3
OG0000601	ENSCAFG00000010147.4	ENSACAG00000000930.3
OG0000602	ENSCAFG00000016304.5	ENSACAG00000005778.3
OG0000602	ENSCAFG00000016293.5	ENSACAG00000005737.3, ENSACAG00000028186.1
OG0000603	ENSCAFG00000002154.5	ENSACAG00000010939.3
OG0000603	ENSCAFG00000016905.4	ENSACAG00000007879.2
OG0000605	ENSCAFG00000044287.1	ENSACAG00000010895.3
OG0000605	ENSCAFG00000002961.2	ENSACAG00000007286.3
OG0000606	ENSCAFG00000002877.4	ENSACAG00000002010.1
OG0000607	ENSCAFG00000017474.6, ENSCAFG00000049763.1	ENSACAG00000000090.2
OG0000607	ENSCAFG00000024533.3	ENSACAG00000013406.3
OG0000608	ENSCAFG00000013210.4	ENSACAG00000005161.3
OG0000610	ENSCAFG00000010039.4	ENSACAG00000008094.2
OG0000611	ENSCAFG00000017941.4, ENSCAFG00000017937.4	ENSACAG00000014636.3, ENSACAG00000014872.3
OG0000612	ENSCAFG00000032668.2	ENSACAG00000004020.3
OG0000612	ENSCAFG00000008936.5	ENSACAG00000016126.3
OG0000613	ENSCAFG00000017436.4	ENSACAG00000005974.2
OG0000613	ENSCAFG00000046342.1, ENSCAFG00000046311.1	ENSACAG00000002915.2
OG0000614	ENSCAFG00000020063.5	ENSACAG00000010253.2
OG0000614	ENSCAFG00000015315.4	ENSACAG00000004910.3
OG0000615	ENSCAFG00000010527.4, ENSCAFG00000009894.3	ENSACAG00000003389.3
OG0000616	ENSCAFG00000010450.5	ENSACAG00000002938.3
OG0000617	ENSCAFG00000000402.4	ENSACAG00000006718.1
OG0000620	ENSCAFG00000016635.4	ENSACAG00000015242.3
OG0000620	ENSCAFG00000018540.4	ENSACAG00000016910.3
OG0000621	ENSCAFG00000017829.4	ENSACAG00000015167.3
OG0000622	ENSCAFG00000002824.4	ENSACAG00000017424.3
OG0000622	ENSCAFG00000017353.5	ENSACAG00000014696.2
OG0000623	ENSCAFG00000030076.2	ENSACAG00000001879.3
OG0000623	ENSCAFG00000013317.4	ENSACAG00000005919.2
OG0000624	ENSCAFG00000005610.4	ENSACAG00000002862.2
OG0000624	ENSCAFG00000004076.4	ENSACAG00000007071.3
OG0000625	ENSCAFG00000023383.4	ENSACAG00000022097.1
OG0000626	ENSCAFG00000000786.5	ENSACAG00000003719.3
OG0000626	ENSCAFG00000008686.5	ENSACAG00000004617.3
OG0000627	ENSCAFG00000003639.3	ENSACAG00000014769.2
OG0000627	ENSCAFG00000016095.4, ENSCAFG00000004229.4	ENSACAG00000007073.3
OG0000628	ENSCAFG00000023050.3, ENSCAFG00000000062.4	ENSACAG00000000878.3, ENSACAG00000000879.3
OG0000629	ENSCAFG00000000602.4	ENSACAG00000008913.3
OG0000629	ENSCAFG00000003409.4	ENSACAG00000000112.3
OG0000630	ENSCAFG00000031890.2	ENSACAG00000012561.2
OG0000631	ENSCAFG00000018643.5	ENSACAG00000015342.3
OG0000631	ENSCAFG00000041140.1	ENSACAG00000005628.3, ENSACAG00000000721.3
OG0000632	ENSCAFG00000032693.2	ENSACAG00000016031.1, ENSACAG00000028801.1
OG0000632	ENSCAFG00000019926.4	ENSACAG00000001526.3
OG0000633	ENSCAFG00000019506.4	ENSACAG00000000441.3
OG0000633	ENSCAFG00000015485.4, ENSCAFG00000048437.1, ENSCAFG00000016002.4	ENSACAG00000023931.1, ENSACAG00000013718.3
OG0000634	ENSCAFG00000030854.2, ENSCAFG00000028462.2, ENSCAFG00000031569.3, ENSCAFG00000017721.4, ENSCAFG00000005653.4, ENSCAFG00000015594.5	ENSACAG00000015804.3
OG0000635	ENSCAFG00000002040.4	ENSACAG00000013275.3, ENSACAG00000028907.1, ENSACAG00000024806.1, ENSACAG00000024579.1, ENSACAG00000006251.3, ENSACAG00000000118.3, ENSACAG00000028335.1, ENSACAG00000004852.2, ENSACAG00000026991.2, ENSACAG00000000114.2
OG0000636	ENSCAFG00000006805.5	ENSACAG00000003752.2
OG0000636	ENSCAFG00000010840.4	ENSACAG00000015853.3
OG0000637	ENSCAFG00000014712.5	ENSACAG00000012554.3
OG0000637	ENSCAFG00000046699.1	ENSACAG00000016892.2
OG0000638	ENSCAFG00000000985.5, ENSCAFG00000015023.4	ENSACAG00000002795.3
OG0000639	ENSCAFG00000013686.5	ENSACAG00000028340.1
OG0000639	ENSCAFG00000000415.4	ENSACAG00000028906.1
OG0000640	ENSCAFG00000017574.4, ENSCAFG00000046952.1, ENSCAFG00000012347.4	ENSACAG00000017908.2, ENSACAG00000017907.2
OG0000640	ENSCAFG00000016336.4	ENSACAG00000006211.3
OG0000641	ENSCAFG00000019138.4	ENSACAG00000000286.3
OG0000642	ENSCAFG00000001518.5	ENSACAG00000014346.2
OG0000642	ENSCAFG00000009850.6	ENSACAG00000005926.3
OG0000643	ENSCAFG00000018342.4	ENSACAG00000011672.2
OG0000643	ENSCAFG00000015815.4	ENSACAG00000004299.3
OG0000644	ENSCAFG00000015082.5	ENSACAG00000023838.1, ENSACAG00000002666.3
OG0000644	ENSCAFG00000015087.4	ENSACAG00000002665.3
OG0000645	ENSCAFG00000016010.4	ENSACAG00000011681.3
OG0000645	ENSCAFG00000005745.3	ENSACAG00000015216.3
OG0000646	ENSCAFG00000004711.5	ENSACAG00000006112.2
OG0000646	ENSCAFG00000019357.4	ENSACAG00000003448.3
OG0000647	ENSCAFG00000011687.4	ENSACAG00000012324.2
OG0000648	ENSCAFG00000025371.3, ENSCAFG00000003841.5, ENSCAFG00000014397.4	ENSACAG00000017607.2
OG0000649	ENSCAFG00000047488.1	ENSACAG00000000545.3
OG0000649	ENSCAFG00000002280.5	ENSACAG00000013316.3
OG0000650	ENSCAFG00000030091.2, ENSCAFG00000049918.1, ENSCAFG00000002760.3, ENSCAFG00000002703.3	ENSACAG00000016034.2
OG0000651	ENSCAFG00000029516.2	ENSACAG00000009237.2
OG0000652	ENSCAFG00000001516.4	ENSACAG00000016192.2
OG0000652	ENSCAFG00000001514.4	ENSACAG00000016188.3
OG0000653	ENSCAFG00000005029.3	ENSACAG00000007924.3
OG0000653	ENSCAFG00000001447.4	ENSACAG00000015447.3
OG0000654	ENSCAFG00000000771.4	ENSACAG00000017931.2, ENSACAG00000028734.1, ENSACAG00000012462.3
OG0000655	ENSCAFG00000023802.4, ENSCAFG00000017705.4, ENSCAFG00000017704.3, ENSCAFG00000004247.4	ENSACAG00000006456.3
OG0000656	ENSCAFG00000007907.5	ENSACAG00000003023.3
OG0000657	ENSCAFG00000007375.6	ENSACAG00000001725.3
OG0000658	ENSCAFG00000012228.4	ENSACAG00000007976.2
OG0000659	ENSCAFG00000042781.1, ENSCAFG00000049371.1, ENSCAFG00000024065.4	ENSACAG00000012757.3
OG0000660	ENSCAFG00000030748.2	ENSACAG00000001511.3
OG0000660	ENSCAFG00000018413.4	ENSACAG00000015747.3
OG0000661	ENSCAFG00000032548.3	ENSACAG00000016161.3
OG0000661	ENSCAFG00000012077.5	ENSACAG00000001495.3
OG0000662	ENSCAFG00000003233.4	ENSACAG00000002083.3
OG0000662	ENSCAFG00000008498.5	ENSACAG00000000476.3
OG0000663	ENSCAFG00000049708.1	ENSACAG00000008691.1
OG0000664	ENSCAFG00000008288.4	ENSACAG00000009804.3, ENSACAG00000017063.3
OG0000666	ENSCAFG00000019307.2, ENSCAFG00000011827.4, ENSCAFG00000008551.4, ENSCAFG00000011452.4, ENSCAFG00000010648.3, ENSCAFG00000011349.4, ENSCAFG00000046068.1, ENSCAFG00000025332.3	ENSACAG00000003940.3
OG0000667	ENSCAFG00000000248.4	ENSACAG00000016756.3
OG0000667	ENSCAFG00000011929.4	ENSACAG00000016964.3
OG0000668	ENSCAFG00000000626.7	ENSACAG00000001836.2
OG0000669	ENSCAFG00000000701.5	ENSACAG00000012647.3
OG0000670	ENSCAFG00000000774.4	ENSACAG00000012494.3
OG0000683	ENSCAFG00000008901.4, ENSCAFG00000025201.3, ENSCAFG00000008917.4	ENSACAG00000011470.3
OG0000684	ENSCAFG00000010656.4	ENSACAG00000028694.1
OG0000684	ENSCAFG00000007970.4	ENSACAG00000011156.2
OG0000685	ENSCAFG00000006064.2, ENSCAFG00000005101.5, ENSCAFG00000049519.1, ENSCAFG00000008047.3, ENSCAFG00000017317.2, ENSCAFG00000016319.3	ENSACAG00000004183.3
OG0000686	ENSCAFG00000003104.4	ENSACAG00000001508.2
OG0000686	ENSCAFG00000006729.4	ENSACAG00000015082.3
OG0000687	ENSCAFG00000019254.4	ENSACAG00000013400.3
OG0000688	ENSCAFG00000029052.2	ENSACAG00000006401.2
OG0000689	ENSCAFG00000013539.5	ENSACAG00000009752.3
OG0000689	ENSCAFG00000003678.4	ENSACAG00000001075.2
OG0000690	ENSCAFG00000011167.4	ENSACAG00000008271.3
OG0000690	ENSCAFG00000015654.4	ENSACAG00000015171.3
OG0000691	ENSCAFG00000016023.5	ENSACAG00000006522.3
OG0000692	ENSCAFG00000014026.5	ENSACAG00000001470.3
OG0000692	ENSCAFG00000031992.2	ENSACAG00000001850.3
OG0000693	ENSCAFG00000019796.5	ENSACAG00000012027.3
OG0000693	ENSCAFG00000001524.4	ENSACAG00000014330.3
OG0000694	ENSCAFG00000014164.4	ENSACAG00000000891.3
OG0000694	ENSCAFG00000001488.4	ENSACAG00000009301.3
OG0000695	ENSCAFG00000011430.4	ENSACAG00000011603.3
OG0000695	ENSCAFG00000000353.5	ENSACAG00000007114.3
OG0000696	ENSCAFG00000015914.4	ENSACAG00000013787.3
OG0000697	ENSCAFG00000014160.6	ENSACAG00000009438.3
OG0000698	ENSCAFG00000019737.6	ENSACAG00000012267.3
OG0000698	ENSCAFG00000031664.2	ENSACAG00000008118.3
OG0000699	ENSCAFG00000019384.3	ENSACAG00000008622.1
OG0000700	ENSCAFG00000019092.5	ENSACAG00000009469.2
OG0000702	ENSCAFG00000032451.2	ENSACAG00000008582.2
OG0000702	ENSCAFG00000013341.4	ENSACAG00000015160.3
OG0000703	ENSCAFG00000001946.4	ENSACAG00000006105.3
OG0000704	ENSCAFG00000005406.4	ENSACAG00000016316.2, ENSACAG00000026306.2, ENSACAG00000016278.2, ENSACAG00000016282.3, ENSACAG00000016346.3
OG0000705	ENSCAFG00000046229.1	ENSACAG00000016665.2, ENSACAG00000029485.1
OG0000706	ENSCAFG00000014864.5, ENSCAFG00000014860.5	ENSACAG00000013588.2
OG0000707	ENSCAFG00000010235.5	ENSACAG00000016199.3
OG0000707	ENSCAFG00000006785.5	ENSACAG00000023821.2
OG0000708	ENSCAFG00000003553.4	ENSACAG00000006571.3
OG0000708	ENSCAFG00000007072.4	ENSACAG00000002370.3
OG0000709	ENSCAFG00000008883.4	ENSACAG00000000252.3
OG0000710	ENSCAFG00000009121.3	ENSACAG00000005037.3
OG0000710	ENSCAFG00000017853.4	ENSACAG00000002508.3
OG0000711	ENSCAFG00000017669.4	ENSACAG00000008298.3
OG0000711	ENSCAFG00000001942.4	ENSACAG00000006427.3
OG0000712	ENSCAFG00000000525.5	ENSACAG00000007763.3, ENSACAG00000007743.2, ENSACAG00000005178.2, ENSACAG00000029585.1, ENSACAG00000007749.2
OG0000713	ENSCAFG00000016906.3	ENSACAG00000005489.3
OG0000713	ENSCAFG00000005230.4	ENSACAG00000011233.2
OG0000714	ENSCAFG00000012110.4	ENSACAG00000014708.3
OG0000714	ENSCAFG00000018733.5	ENSACAG00000003736.2
OG0000715	ENSCAFG00000023591.4	ENSACAG00000010522.3
OG0000716	ENSCAFG00000004172.4, ENSCAFG00000005768.4, ENSCAFG00000046638.1	ENSACAG00000027409.1
OG0000717	ENSCAFG00000018336.3	ENSACAG00000015832.3
OG0000718	ENSCAFG00000001289.4	ENSACAG00000001318.3, ENSACAG00000023700.1
OG0000719	ENSCAFG00000016616.4	ENSACAG00000029629.1
OG0000719	ENSCAFG00000012639.4	ENSACAG00000003240.3
OG0000720	ENSCAFG00000020330.5	ENSACAG00000006572.3
OG0000720	ENSCAFG00000016453.5	ENSACAG00000010837.3
OG0000721	ENSCAFG00000020270.5	ENSACAG00000028516.1, ENSACAG00000013228.3
OG0000721	ENSCAFG00000003327.5	ENSACAG00000013779.2
OG0000722	ENSCAFG00000001420.5	ENSACAG00000008348.3
OG0000722	ENSCAFG00000016479.4	ENSACAG00000011489.3
OG0000723	ENSCAFG00000018150.4	ENSACAG00000006458.3
OG0000724	ENSCAFG00000025512.4, ENSCAFG00000030335.3, ENSCAFG00000000058.4	ENSACAG00000001034.3
OG0000725	ENSCAFG00000011952.4	ENSACAG00000001246.3
OG0000726	ENSCAFG00000019181.4	ENSACAG00000023343.2, ENSACAG00000023321.2
OG0000726	ENSCAFG00000012969.4	ENSACAG00000010115.3
OG0000727	ENSCAFG00000014737.4	ENSACAG00000001093.2
OG0000727	ENSCAFG00000002033.4	ENSACAG00000013135.3
OG0000728	ENSCAFG00000013268.5	ENSACAG00000002647.3
OG0000729	ENSCAFG00000013828.3, ENSCAFG00000018074.4	ENSACAG00000003228.3
OG0000730	ENSCAFG00000008270.4	ENSACAG00000012338.3
OG0000731	ENSCAFG00000010519.5	ENSACAG00000000173.3
OG0000732	ENSCAFG00000007534.5	ENSACAG00000006673.3
OG0000732	ENSCAFG00000008981.5	ENSACAG00000001049.3
OG0000733	ENSCAFG00000013632.4	ENSACAG00000007187.3
OG0000733	ENSCAFG00000017859.4	ENSACAG00000026655.1, ENSACAG00000008413.3
OG0000734	ENSCAFG00000010310.5	ENSACAG00000004555.3
OG0000734	ENSCAFG00000002404.4	ENSACAG00000016747.2, ENSACAG00000006409.3
OG0000735	ENSCAFG00000002233.7	ENSACAG00000014358.3
OG0000735	ENSCAFG00000017511.4	ENSACAG00000001580.3
OG0000736	ENSCAFG00000000620.5	ENSACAG00000007414.3
OG0000736	ENSCAFG00000010819.4	ENSACAG00000014254.3
OG0000737	ENSCAFG00000000134.4	ENSACAG00000016623.3
OG0000737	ENSCAFG00000009922.5	ENSACAG00000011984.3
OG0000738	ENSCAFG00000005370.2	ENSACAG00000006809.2, ENSACAG00000005591.2, ENSACAG00000009156.2, ENSACAG00000006797.2, ENSACAG00000006794.2
OG0000739	ENSCAFG00000013585.5	ENSACAG00000017912.3
OG0000739	ENSCAFG00000003097.4	ENSACAG00000005741.3
OG0000740	ENSCAFG00000009317.3	ENSACAG00000011528.3
OG0000740	ENSCAFG00000010219.4	ENSACAG00000001116.3
OG0000741	ENSCAFG00000002873.4, ENSCAFG00000017122.4	ENSACAG00000025478.2, ENSACAG00000006642.2
OG0000742	ENSCAFG00000012523.1	ENSACAG00000011537.1
OG0000743	ENSCAFG00000004006.5	ENSACAG00000007423.3
OG0000744	ENSCAFG00000017509.3, ENSCAFG00000013905.4, ENSCAFG00000009244.4, ENSCAFG00000018477.4	ENSACAG00000002549.3
OG0000745	ENSCAFG00000048451.1	ENSACAG00000012148.3
OG0000745	ENSCAFG00000001917.4	ENSACAG00000006622.3
OG0000746	ENSCAFG00000015037.4	ENSACAG00000012400.3
OG0000746	ENSCAFG00000001999.5	ENSACAG00000006045.3
OG0000747	ENSCAFG00000002058.5	ENSACAG00000013781.2
OG0000748	ENSCAFG00000010901.4	ENSACAG00000002279.3, ENSACAG00000027163.2
OG0000748	ENSCAFG00000008245.4	ENSACAG00000004307.3
OG0000749	ENSCAFG00000013869.5	ENSACAG00000007348.3
OG0000749	ENSCAFG00000024890.4	ENSACAG00000016397.3
OG0000750	ENSCAFG00000014180.4	ENSACAG00000017306.3
OG0000750	ENSCAFG00000001841.4	ENSACAG00000028482.1
OG0000751	ENSCAFG00000013703.5	ENSACAG00000011092.2
OG0000751	ENSCAFG00000013600.4	ENSACAG00000003901.2, ENSACAG00000004743.3
OG0000753	ENSCAFG00000024856.4	ENSACAG00000007217.3
OG0000753	ENSCAFG00000004325.4	ENSACAG00000013836.3
OG0000754	ENSCAFG00000015919.4	ENSACAG00000000022.3
OG0000754	ENSCAFG00000029321.2	ENSACAG00000017453.3
OG0000755	ENSCAFG00000005405.4	ENSACAG00000007168.3
OG0000755	ENSCAFG00000013826.5	ENSACAG00000015751.3
OG0000756	ENSCAFG00000016143.5	ENSACAG00000012327.2
OG0000757	ENSCAFG00000019766.4	ENSACAG00000004632.3
OG0000758	ENSCAFG00000020207.4	ENSACAG00000001299.3
OG0000759	ENSCAFG00000001487.5, ENSCAFG00000016577.1	ENSACAG00000007326.2, ENSACAG00000007368.2, ENSACAG00000012474.3, ENSACAG00000015643.2
OG0000760	ENSCAFG00000010945.5, ENSCAFG00000029674.2	ENSACAG00000011315.3
OG0000760	ENSCAFG00000007061.4	ENSACAG00000007261.3
OG0000761	ENSCAFG00000031337.3, ENSCAFG00000028642.2	ENSACAG00000028160.2
OG0000762	ENSCAFG00000044734.1, ENSCAFG00000023806.4, ENSCAFG00000016012.5, ENSCAFG00000016014.3	ENSACAG00000028648.1
OG0000763	ENSCAFG00000009933.4	ENSACAG00000015311.3
OG0000763	ENSCAFG00000009592.4	ENSACAG00000002584.3
OG0000764	ENSCAFG00000010299.3	ENSACAG00000007957.3
OG0000764	ENSCAFG00000001631.3	ENSACAG00000006019.2
OG0000765	ENSCAFG00000011901.5	ENSACAG00000010668.3, ENSACAG00000004391.3
OG0000766	ENSCAFG00000008864.4, ENSCAFG00000013713.5	ENSACAG00000007235.3
OG0000767	ENSCAFG00000035589.2	ENSACAG00000023366.1
OG0000767	ENSCAFG00000028571.1	ENSACAG00000017802.2
OG0000767	ENSCAFG00000028815.1	ENSACAG00000027262.1
OG0000768	ENSCAFG00000006597.5	ENSACAG00000005092.3
OG0000768	ENSCAFG00000007851.4	ENSACAG00000005480.3
OG0000769	ENSCAFG00000004381.6	ENSACAG00000015032.3
OG0000769	ENSCAFG00000000338.4	ENSACAG00000007305.3
OG0000770	ENSCAFG00000007705.4, ENSCAFG00000006595.4, ENSCAFG00000049247.1, ENSCAFG00000008532.4, ENSCAFG00000009965.4	ENSACAG00000016419.3
OG0000771	ENSCAFG00000042625.1	ENSACAG00000016407.3
OG0000772	ENSCAFG00000016763.5	ENSACAG00000016418.3
OG0000772	ENSCAFG00000015679.5	ENSACAG00000003468.3
OG0000773	ENSCAFG00000023467.3	ENSACAG00000016077.2
OG0000774	ENSCAFG00000011970.5	ENSACAG00000009769.3
OG0000775	ENSCAFG00000016912.4, ENSCAFG00000010097.4, ENSCAFG00000005880.4, ENSCAFG00000007173.4	ENSACAG00000015626.3
OG0000776	ENSCAFG00000000228.4	ENSACAG00000006558.3
OG0000777	ENSCAFG00000000575.5	ENSACAG00000012381.3
OG0000778	ENSCAFG00000016154.4	ENSACAG00000005883.3
OG0000778	ENSCAFG00000001941.4	ENSACAG00000001436.3
OG0000790	ENSCAFG00000017746.5	ENSACAG00000015870.3
OG0000790	ENSCAFG00000015762.5	ENSACAG00000008925.3
OG0000791	ENSCAFG00000018991.4	ENSACAG00000014262.3
OG0000791	ENSCAFG00000017203.5	ENSACAG00000004752.3
OG0000792	ENSCAFG00000017255.4	ENSACAG00000004479.3
OG0000793	ENSCAFG00000015314.5	ENSACAG00000013577.3, ENSACAG00000013267.3, ENSACAG00000021945.2
OG0000794	ENSCAFG00000003023.4	ENSACAG00000007001.3
