P_Mucros.pep,P_bivittatus_protein
XP_015677575.1,XP_007435627.1
XP_015670281.2,XP_007420960.2
XP_015666298.1,XP_007420613.2
XP_015673133.1,XP_025022507.1
XP_015668580.1,XP_007430293.1
XP_015667669.1,XP_007443193.1
XP_015670963.1,XP_007443075.1
XP_015667039.1,XP_007442098.1
XP_015678847.1,XP_007435796.1
XP_015674897.1,XP_007440408.1
XP_015687888.1,XP_025025854.1
XP_015674253.2,XP_025022971.1
XP_015681459.1,XP_025029583.1
XP_015668200.1,XP_007428737.1
XP_015671975.1,XP_025024866.1
XP_015684133.1,XP_025031748.1
XP_015672241.1,XP_007427903.1
XP_015670311.1,XP_007426535.1
XP_015670312.1,XP_007426536.1
XP_015688032.1,XP_025024065.1
XP_015671880.1,XP_007437110.1
XP_015677299.1,XP_007442853.1
XP_015668660.1,XP_015745891.1
XP_015684376.1,XP_007436486.1
XP_015673928.1,XP_007426835.1
XP_015672263.1,XP_007422613.1
XP_015688012.1,XP_007421869.2
XP_015669029.2,XP_007422828.3
XP_015674493.1,XP_007434206.1
XP_029139835.1,XP_025028118.1
XP_015678689.1,XP_007437880.1
XP_015671360.2,XP_007428258.2
XP_029139833.1,XP_025024595.1
XP_015687989.1,XP_007422448.1
XP_015684827.1,XP_025025291.1
XP_015675625.1,XP_025021294.1
XP_015671106.1,XP_007421348.1
XP_015670243.1,XP_025018762.1
XP_015682649.1,XP_007420989.1
XP_015678058.1,XP_025033461.1
XP_015679702.1,XP_007443488.1
XP_015667321.1,XP_007433385.1
XP_015687318.1,XP_007432902.1
XP_029139641.1,XP_025029818.1
XP_029139698.1,XP_007431484.2
XP_015673207.1,XP_007431551.1
XP_015665945.1,XP_007424966.2
XP_015666223.2,XP_007425911.1
XP_015679572.1,XP_007427262.1
XP_015679575.1,XP_007427261.1
XP_015674932.2,XP_007436636.1
XP_015669333.1,XP_007427080.1
XP_015679058.1,XP_007429998.1
XP_015681203.1,XP_025022132.1
XP_015674171.1,XP_007425941.1
XP_015680452.1,XP_007429707.1
XP_029139305.1,XP_025020137.1
XP_015668261.1,XP_007431623.1
XP_015674237.1,XP_007437435.2
XP_015666806.1,XP_007420283.1
XP_015687691.1,XP_025023034.1
XP_029141490.1,XP_007422749.1
XP_015666105.1,XP_007428294.3
XP_015665970.1,XP_007434273.1
XP_015673812.2,XP_007443987.2
XP_015676341.1,XP_007440915.2
XP_015684275.1,XP_007422171.1
XP_015677386.1,XP_007437066.1
XP_015681157.1,XP_007420603.1
XP_015670595.1,XP_007420535.1
XP_015675163.1,XP_007428023.1
XP_015675173.1,XP_007428024.1
XP_015673204.1,XP_007439240.1
XP_015679910.1,XP_025022802.1
XP_015678955.1,XP_007439886.1
XP_015680367.1,XP_007435712.1
XP_015680366.1,XP_007435714.1
XP_015681368.1,XP_007436065.1
XP_015668809.1,XP_025025751.1
XP_015678075.1,XP_007427743.2
XP_015682240.1,XP_025033517.1
XP_015682226.1,XP_007422602.1
XP_015668101.1,XP_007431400.1
XP_015677881.1,XP_007423981.2
XP_015687240.1,XP_007440625.2
XP_015668496.1,XP_007430740.1
XP_015674439.2,XP_007438260.1
XP_015678357.1,XP_007432416.1
XP_015677366.1,XP_007439545.2
XP_015681437.1,XP_007426232.1
XP_015673182.1,XP_007427533.1
XP_029140464.1,XP_007429778.1
XP_015681307.1,XP_015744455.1
XP_015683252.1,XP_007433007.1
XP_029142265.1,XP_007431915.2
XP_029141433.1,XP_007437818.3
XP_015675488.1,XP_007421544.3
XP_015680175.1,XP_025028093.1
XP_015675487.1,XP_007421545.1
XP_015676617.1,XP_007434346.1
XP_015675995.1,XP_007421655.1
XP_015682558.1,XP_007423534.1
XP_015680460.1,XP_025033233.1
XP_029141723.1,XP_025031055.1
XP_015687028.1,XP_025027640.1
XP_015677534.1,XP_025022237.1
XP_029142347.1,XP_025029559.1
XP_015671521.1,XP_015743850.1
XP_015676537.1,XP_007433790.1
XP_029139467.1,XP_025026888.1
XP_015671459.1,XP_007424788.1
XP_015678557.1,XP_025021674.1
XP_015671506.1,XP_007428780.1
XP_015674351.1,XP_007430276.1
XP_015687842.1,XP_007428802.1
XP_015677596.1,XP_007426207.2
XP_029140160.1,XP_025024521.1
XP_015680045.1,XP_007429237.1
XP_015679869.1,XP_007436447.1
XP_015684389.1,XP_025027409.1
XP_015671994.1,XP_007430054.1
XP_015683765.1,XP_007435067.1
XP_015665749.1,XP_007441991.2
XP_015672140.1,XP_025032348.1
XP_015665492.1,XP_007436699.1
XP_015682968.1,XP_025033046.1
XP_015682967.1,XP_015746769.1
XP_015674943.1,XP_007435924.1
XP_029140483.1,XP_007426674.2
XP_015668373.1,XP_007424324.1
XP_029140165.1,XP_025025323.1
XP_015676122.1,XP_015746427.1
XP_015673184.1,XP_007427523.1
XP_029140294.1,XP_025023343.1
XP_015672597.1,XP_007440761.2
XP_029142102.1,XP_025030316.1
NP_001310179.1,XP_007437328.1
XP_029141363.1,XP_025021539.1
XP_015674570.1,XP_007444469.3
XP_015668300.1,XP_007430321.1
XP_015677721.2,XP_007436322.2
XP_015676694.1,XP_007428350.1
XP_015675243.1,XP_007436947.1
XP_015679484.1,XP_007423824.1
XP_015679145.1,XP_025031986.1
XP_015687793.1,XP_007439719.1
XP_029140934.1,XP_007428902.1
XP_015671390.1,XP_007429448.1
XP_015682414.1,XP_025026987.1
XP_015672888.1,XP_007426382.1
XP_029141579.1,XP_025021916.1
XP_029139495.1,XP_025025310.1
XP_015668897.1,XP_025027335.1
XP_015668896.1,XP_025027341.1
XP_015671570.1,XP_025024964.1
XP_015670345.2,XP_007441234.1
XP_015679469.1,XP_007422112.1
XP_029142715.1,XP_007443510.1
XP_015680811.1,XP_007435562.1
XP_029139503.1,XP_007437716.1
XP_015681532.1,XP_015744764.1
XP_015685397.1,XP_007422346.1
XP_015678880.2,XP_015744800.2
XP_015682129.2,XP_007442631.1
XP_015676966.1,XP_007434442.2
XP_015679151.1,XP_007430291.1
XP_015678352.1,XP_007437956.2
XP_029141425.1,XP_025028055.1
XP_015678773.1,XP_007445022.1
XP_015665849.1,XP_025029155.1
XP_015679937.2,XP_025029339.1
XP_029140169.1,XP_025021989.1
XP_029140125.1,XP_007431805.2
XP_015674454.2,XP_007433453.2
XP_015675404.1,XP_007423368.1
XP_015670376.1,XP_007430095.1
XP_015688010.1,XP_015744514.2
XP_015670227.1,XP_007426278.1
XP_029143169.1,XP_007427963.2
XP_015677219.1,XP_025026695.1
XP_015672098.1,XP_007430038.1
XP_029143061.1,XP_007424500.1
XP_015669336.1,XP_007427088.1
XP_015675976.2,XP_007432711.1
XP_015686741.1,XP_007420229.2
XP_015671733.1,XP_007441890.1
XP_015678326.1,XP_025026781.1
XP_029139845.1,XP_007423573.1
XP_015681784.1,XP_007438953.1
XP_015666755.1,XP_025030510.1
XP_015668079.1,XP_025029619.1
XP_015680079.1,XP_007434862.1
XP_015665703.1,XP_007424194.1
XP_015682852.1,XP_007440233.1
XP_029142659.1,XP_025020770.1
XP_015667822.1,XP_007430821.1
XP_029140576.1,XP_025022621.1
XP_015672988.1,XP_007428604.1
XP_015675201.2,XP_007435775.1
XP_015669092.2,XP_007425756.2
XP_015666787.2,XP_015745092.2
XP_015681331.1,XP_007435483.1
XP_015670351.1,XP_007426407.2
XP_015681697.1,XP_007427693.1
XP_015681849.1,XP_007434898.1
XP_015683137.1,XP_025029004.1
XP_015675422.1,XP_007441544.1
XP_015672315.1,XP_015745662.2
XP_015670200.1,XP_007443198.2
XP_015670199.1,XP_007434824.2
XP_015685667.1,XP_025029597.1
XP_015680386.2,XP_007428270.1
XP_015668107.1,XP_007437702.1
XP_015668778.1,XP_007444225.1
XP_015684743.1,XP_025021503.1
XP_015676761.1,XP_007431028.1
XP_015684688.1,XP_007425636.1
XP_015680506.1,XP_015747065.1
XP_015681495.1,XP_007431013.1
XP_015679368.1,XP_007421988.1
XP_015669606.1,XP_007439951.1
XP_015676270.1,XP_007441325.1
XP_015671480.1,XP_025022308.1
XP_015671473.1,XP_007435906.1
XP_015671261.1,XP_007443236.1
XP_015676361.1,XP_025030460.1
XP_015678150.1,XP_007431324.2
XP_015678154.1,XP_007431317.1
XP_015676939.1,XP_007422848.1
XP_015666958.1,XP_007444807.1
XP_015679566.1,XP_007425903.1
XP_015678959.1,XP_007423320.1
XP_015666269.1,XP_007430782.1
XP_015675049.1,XP_007430099.1
XP_015681336.1,XP_007425261.1
XP_015682310.1,XP_007433795.1
XP_015666591.1,XP_007444426.1
XP_015675570.1,XP_007428900.1
XP_015666643.2,XP_007432672.1
XP_015678458.1,XP_015743429.2
XP_029142838.1,XP_007439336.1
XP_015687359.1,XP_025030402.1
XP_015687358.1,XP_007445214.1
XP_015670689.1,XP_007436903.2
XP_015684157.1,XP_025029094.1
XP_029139178.1,XP_025030555.1
XP_029141671.1,XP_007437213.2
XP_015670286.1,XP_007420958.2
XP_029140457.1,XP_025028448.1
XP_015668617.1,XP_007441097.1
XP_015685027.1,XP_007421527.1
XP_015685740.1,XP_007439958.1
XP_015680826.1,XP_007439957.1
XP_029140557.1,XP_015746326.1
XP_029138918.1,XP_025025745.1
XP_015681110.1,XP_015745159.1
XP_015674646.1,XP_007428445.2
XP_029138813.1,XP_025028079.1
XP_015676783.1,XP_007422312.1
XP_015679930.1,XP_007442145.1
XP_015678024.1,XP_007434200.1
XP_015675796.1,XP_025027302.1
XP_015675455.1,XP_015744668.2
XP_015671704.1,XP_007424346.1
XP_015672059.1,XP_025023913.1
XP_015669088.1,XP_007440296.1
XP_015669222.1,XP_015747023.1
XP_015677441.1,XP_007436576.1
XP_015676888.2,XP_025029141.1
XP_015680044.1,XP_025026282.1
XP_029140960.1,XP_007445073.1
XP_015679824.1,XP_007438212.1
XP_015670870.1,XP_007442150.1
XP_015670124.1,XP_025019317.1
XP_015676822.1,XP_007422511.2
XP_015675892.1,XP_007431584.1
XP_015671646.1,XP_025026525.1
XP_015683140.1,XP_015744833.1
XP_015667565.1,XP_007440819.1
XP_015678443.1,XP_007425057.1
XP_015678250.1,XP_007426336.1
XP_015686652.1,XP_015746936.1
XP_015683553.1,XP_025030881.1
XP_015671235.1,XP_007438445.1
XP_015678728.1,XP_007426769.1
XP_015668557.1,XP_007440347.2
XP_015687804.1,XP_007431219.1
XP_015670812.1,XP_007421028.1
XP_015666397.1,XP_007443580.1
XP_015681141.1,XP_007426685.1
XP_015667560.1,XP_007440372.1
XP_015673090.1,XP_007445465.1
XP_029140873.1,XP_025028186.1
XP_029143069.1,XP_025028007.1
XP_015677496.1,XP_025032096.1
XP_015680510.1,XP_007440273.1
XP_015670699.2,XP_007422107.1
XP_015681812.1,XP_025031313.1
XP_015678530.1,XP_025030479.1
XP_015674023.1,XP_007443454.1
XP_029142388.1,XP_007444932.2
XP_029139447.1,XP_025029380.1
XP_015685807.1,XP_025025048.1
XP_015680619.1,XP_007442449.1
XP_015668208.1,XP_007428742.1
XP_015675255.1,XP_007421090.1
XP_015672024.1,XP_015745832.1
XP_029140486.1,XP_025029666.1
XP_029141854.1,XP_025030349.1
XP_015679421.1,XP_025033309.1
XP_029141607.1,XP_007423384.1
XP_015678070.1,XP_007430914.1
XP_015687712.1,XP_007434089.1
XP_015669252.2,XP_007430880.2
XP_015677803.1,XP_007427653.2
XP_015671677.1,XP_025031648.1
XP_015677877.1,XP_007429634.1
XP_015674020.1,XP_007443455.1
XP_015674359.1,XP_007433825.1
XP_029139873.1,XP_007422816.1
XP_015682433.1,XP_007426509.1
XP_015687176.2,XP_025025709.1
XP_015671644.1,XP_007438257.1
XP_015677500.1,XP_007422184.3
XP_029140322.1,XP_007444173.1
XP_015683051.1,XP_007444515.1
XP_015673853.1,XP_025019754.1
XP_015680130.1,XP_007432687.1
XP_029140645.1,XP_007436519.2
XP_015683474.1,XP_007437942.1
XP_015683282.1,XP_025029558.1
XP_029142192.1,XP_025025255.1
XP_029143149.1,XP_007439379.1
XP_015681617.1,XP_007420661.1
XP_015669410.1,XP_007422861.1
XP_015674012.1,XP_007430111.1
XP_015679360.1,XP_007439523.2
XP_015678497.1,XP_007437040.1
XP_015671220.1,XP_007439974.1
XP_029141251.1,XP_025025020.1
XP_015678184.1,XP_007441132.1
XP_015687311.1,XP_015744360.2
XP_015687312.1,XP_007432979.1
XP_029139611.1,XP_007433562.2
XP_015675547.1,XP_025022437.1
XP_029139654.1,XP_007443113.2
XP_029139653.1,XP_025025449.1
XP_015669078.1,XP_007438093.1
XP_015669202.1,XP_007429437.1
XP_029139728.1,XP_007431125.2
XP_015678356.1,XP_007432418.1
XP_015687877.1,XP_007432179.2
XP_015666792.1,XP_007427167.1
XP_015687878.1,XP_007444321.2
XP_015679361.2,XP_025018773.1
XP_015677600.1,XP_007438478.2
XP_015680168.1,XP_007420201.1
XP_015682137.1,XP_007422751.1
XP_015673788.1,XP_007430103.1
XP_015674893.1,XP_007430014.1
XP_015685250.1,XP_007420896.1
XP_015670397.1,XP_015743809.1
XP_015671361.1,XP_025021024.1
XP_015665552.2,XP_007436698.1
XP_015675453.1,XP_007423426.3
XP_015678498.1,XP_007437038.1
XP_015676239.1,XP_007431331.1
XP_015680582.1,XP_025019342.1
XP_029139150.1,XP_015745738.1
XP_015682591.1,XP_007445567.1
XP_015671421.1,XP_007436300.2
XP_015680792.1,XP_007440762.1
XP_015684331.1,XP_007421822.1
XP_015680512.1,XP_007429967.1
XP_029139838.1,XP_025028070.1
XP_015684596.1,XP_007443832.1
XP_015675606.1,XP_007442644.1
XP_015671461.1,XP_007441824.1
XP_015669032.1,XP_025023639.1
XP_015674898.1,XP_007442642.1
XP_015676798.1,XP_025026672.1
XP_015676795.1,XP_025026164.1
XP_015678770.1,XP_007421434.2
XP_029139220.1,XP_007438288.1
XP_029141996.1,XP_007430368.1
XP_015687407.1,XP_007433774.1
XP_015682189.2,XP_025031557.1
XP_015674400.1,XP_025024616.1
XP_015684347.1,XP_007441846.1
XP_015677675.1,XP_025020246.1
XP_015686768.1,XP_007429853.1
XP_015675197.1,XP_007434497.1
XP_015683716.1,XP_007429869.1
XP_015670707.1,XP_007437175.1
XP_015665538.2,XP_007445452.3
XP_015687047.1,XP_007434929.1
XP_015683090.1,XP_007427719.1
XP_015671841.1,XP_025030923.1
XP_015683068.1,XP_015745351.1
XP_015668669.1,XP_007445582.2
XP_015674674.1,XP_007438032.1
XP_015685099.1,XP_025023152.1
XP_015680729.1,XP_015743766.1
XP_029139404.1,XP_025030163.1
XP_015668543.1,XP_007421742.1
XP_015667167.1,XP_007439820.1
XP_015682367.1,XP_007422059.1
XP_029140616.1,XP_007436134.2
XP_029141458.1,XP_025025693.1
XP_015667497.1,XP_007444674.1
XP_015669951.1,XP_015744496.1
XP_029142747.1,XP_025026074.1
XP_029139369.1,XP_007434684.2
XP_015667374.1,XP_007438296.1
XP_015680322.1,XP_007437330.1
XP_015685623.1,XP_015746112.2
XP_015685256.1,XP_025032408.1
XP_015687609.1,XP_025031278.1
XP_015681580.1,XP_007444260.2
XP_015678939.1,XP_007419959.1
XP_015675779.2,XP_025019786.1
XP_015682666.1,XP_007442716.1
XP_015670660.1,XP_007435581.1
XP_015674075.1,XP_025025898.1
XP_015673160.1,XP_007431339.1
XP_015673161.1,XP_007431340.1
XP_015670531.1,XP_007445067.1
XP_029139424.1,XP_025033396.1
XP_015667467.2,XP_007443149.2
XP_015681782.1,XP_007422737.1
XP_015666902.1,XP_007438744.2
XP_015665869.1,XP_007432345.1
XP_015681706.1,XP_015744512.1
XP_015678967.1,XP_007426605.1
XP_029142160.1,XP_025030969.1
XP_015683773.1,XP_007440017.1
XP_029138805.1,XP_025026133.1
XP_015669853.1,XP_007423802.1
XP_015673031.1,XP_007421137.1
XP_015682937.1,XP_007422563.1
XP_015670843.1,XP_007427073.1
XP_015678040.1,XP_007421278.1
XP_015685920.1,XP_007444074.2
XP_015682455.1,XP_007422488.1
XP_029139334.1,XP_025028148.1
XP_015671674.2,XP_025025504.1
XP_015681507.1,XP_007431017.1
XP_015670899.1,XP_007422826.1
XP_015678149.1,XP_007435224.2
XP_029142536.1,XP_025021111.1
XP_015667284.1,XP_025019290.1
XP_015678433.1,XP_025024979.1
XP_015672969.1,XP_007427020.1
XP_029142308.1,XP_025029055.1
XP_015675644.1,XP_007428278.2
XP_015670860.1,XP_025033454.1
XP_015670128.1,XP_007423513.1
XP_015666703.1,XP_007422475.1
XP_029142150.1,XP_007444295.1
XP_029139038.1,XP_025023555.1
XP_015684016.1,XP_015743367.1
XP_015675200.2,XP_015745221.2
XP_015671805.1,XP_007427068.1
XP_015666429.1,XP_007438871.1
XP_015670885.1,XP_015743381.2
XP_015687034.1,XP_007443684.2
XP_029141291.1,XP_007427877.1
XP_015672426.1,XP_007440752.1
XP_015668286.1,XP_025029873.1
XP_015687049.1,XP_007432876.1
XP_029140319.1,XP_007440847.2
XP_015679081.1,XP_007439131.2
XP_015681321.1,XP_025021680.1
XP_015665928.1,XP_025019246.1
XP_015674370.1,XP_007435100.1
XP_015679062.1,XP_007437638.1
XP_015667719.1,XP_007425792.1
XP_015672831.1,XP_025019769.1
XP_015687446.1,XP_025021340.1
XP_015675403.1,XP_015747100.2
XP_015670381.1,XP_015743874.1
XP_015671659.1,XP_007426030.1
XP_015669900.1,XP_007427605.1
XP_015676237.1,XP_007436159.1
XP_015683495.1,XP_007436158.1
XP_029139693.1,XP_007441043.1
XP_015678809.1,XP_007423690.1
XP_015676890.1,XP_007425871.1
XP_015686303.1,XP_025025383.1
XP_015666353.1,XP_007443581.2
XP_015668499.1,XP_007421592.1
XP_015682749.1,XP_025027359.1
XP_015674136.1,XP_025027503.1
XP_015677046.1,XP_025025174.1
XP_029141715.1,XP_007422902.1
XP_015674559.1,XP_007439843.1
XP_015684134.1,XP_007428203.1
XP_015678270.1,XP_025020490.1
XP_015684937.1,XP_007432656.2
XP_029139837.1,XP_025027235.1
XP_015673003.1,XP_015744566.1
XP_015675046.1,XP_007437532.2
XP_015672855.1,XP_007420713.1
XP_015676602.1,XP_025020520.1
XP_015676601.1,XP_007425245.1
XP_015672973.1,XP_025021662.1
XP_029142340.1,XP_007444012.2
XP_029141171.1,XP_007439680.1
XP_015673972.1,XP_025024025.1
XP_015672923.1,XP_007443764.1
XP_015677641.1,XP_025019225.1
XP_015677642.1,XP_007423352.1
XP_015672935.1,XP_015745320.1
XP_015672686.1,XP_007429750.1
XP_015681045.1,XP_025023178.1
XP_015680334.1,XP_015747015.1
XP_015670329.1,XP_007439891.1
XP_015670096.1,XP_025024236.1
XP_029141271.1,XP_007427213.1
XP_015676914.1,XP_007420161.1
XP_015676771.1,XP_007422306.1
XP_015680715.1,XP_007430885.1
XP_015668186.1,XP_025027372.1
XP_015668847.1,XP_007429173.1
XP_015669395.2,XP_007444668.2
XP_029140643.1,XP_007430568.1
XP_015671499.1,XP_025025608.1
XP_015670415.1,XP_007423650.1
XP_029142398.1,XP_007426318.1
XP_015683082.1,XP_015745157.1
XP_015676681.1,XP_025026627.1
XP_015685495.1,XP_007444040.3
XP_015672883.1,XP_007443106.1
XP_015672940.1,XP_007439217.1
XP_015666020.1,XP_007432287.1
XP_015686421.1,XP_025030921.1
XP_029142100.1,XP_025033096.1
XP_015672010.1,XP_007442419.1
XP_015672650.1,XP_025025019.1
XP_015668830.1,XP_025029796.1
XP_015668892.1,XP_007428872.1
XP_015676455.1,XP_007430162.1
XP_015672254.1,XP_007434667.1
XP_029140686.1,XP_025024001.1
XP_015683819.1,XP_007440185.2
XP_015677443.1,XP_015745376.1
XP_029139086.1,XP_025030489.1
XP_015667359.1,XP_007437339.1
XP_015671549.1,XP_025029247.1
XP_015670895.1,XP_007422799.1
XP_015670894.1,XP_007422798.1
XP_029140207.1,XP_007445100.2
XP_029140867.1,XP_007426299.1
XP_015677028.1,XP_007429700.2
XP_015681600.1,XP_007443869.2
XP_015679602.2,XP_007444991.2
XP_029140503.1,XP_007428575.1
XP_015677448.1,XP_007443118.1
XP_015683744.1,XP_007436773.1
XP_015683743.1,XP_007436771.1
XP_015672011.1,XP_007442418.2
XP_015679842.1,XP_007441362.2
XP_015669775.1,XP_025026237.1
XP_015665960.2,XP_007433527.1
XP_015686651.2,XP_007420224.2
XP_015669769.1,XP_007439072.1
XP_029142107.1,XP_025023324.1
XP_015679556.1,XP_007441565.3
XP_015677157.1,XP_025021910.1
XP_015667634.1,XP_025025605.1
XP_029141553.1,XP_025028275.1
XP_015677912.1,XP_025033480.1
XP_015672796.1,XP_015746609.1
XP_015681197.1,XP_015743049.2
XP_015688005.2,XP_007430841.2
XP_015683519.1,XP_007420652.1
XP_029139268.1,XP_007423469.1
XP_015684637.1,XP_025030945.1
XP_015676007.1,XP_025028793.1
XP_029139619.1,XP_015746581.1
XP_015677929.1,XP_015745416.2
XP_015667844.1,XP_025023688.1
XP_015670140.1,XP_007428695.1
XP_015670139.1,XP_025022668.1
XP_029139848.1,XP_025031236.1
XP_015679682.1,XP_025027085.1
XP_015683315.1,XP_025025746.1
XP_015685518.1,XP_007443635.2
XP_015668893.1,XP_007427417.1
XP_015666744.1,XP_007443293.1
XP_015677577.1,XP_007435528.1
XP_015677576.1,XP_007435529.2
XP_029142899.1,XP_007440243.1
XP_015684337.2,XP_007431466.3
XP_015678061.1,XP_007422505.1
XP_029140539.1,XP_025022648.1
XP_015674561.1,XP_007428650.1
XP_015666445.1,XP_007438868.1
XP_029139612.1,XP_015744631.1
XP_015675811.2,XP_007441300.2
XP_015673714.1,XP_007420003.1
XP_015668330.1,XP_025022214.1
XP_015669214.2,XP_025031185.1
XP_015677611.1,XP_007432931.1
XP_029139615.1,XP_025029288.1
XP_015675258.1,XP_007421097.1
XP_015667275.1,XP_007423004.1
XP_015681592.1,XP_007427566.1
XP_015667532.1,XP_025025161.1
XP_015682556.1,XP_007424973.3
XP_015677063.1,XP_025020344.1
XP_015685174.1,XP_007420887.1
XP_015683626.1,XP_007435006.1
XP_015683266.1,XP_007422164.1
XP_015683171.1,XP_007431446.1
XP_029139729.1,XP_025032723.1
XP_029139730.1,XP_025029707.1
XP_015670101.2,XP_025032724.1
XP_015683501.1,XP_007428242.1
XP_015682050.1,XP_007437753.1
XP_015674184.1,XP_007421267.1
XP_015686377.1,XP_007426958.1
XP_015687292.1,XP_007422774.1
XP_015687294.1,XP_007422775.1
XP_015687165.1,XP_025025018.1
XP_029141520.1,XP_025029703.1
XP_015678975.1,XP_007443137.1
XP_015674048.1,XP_025033537.1
XP_015681734.1,XP_015745518.1
XP_015665558.2,XP_007431428.1
XP_015684236.2,XP_007426449.1
XP_029140802.1,XP_007428193.2
XP_015676960.1,XP_007433570.1
XP_015679608.1,XP_007421826.1
XP_029140633.1,XP_007440416.2
XP_029139818.1,XP_025020444.1
XP_029140618.1,XP_025031417.1
XP_015675182.1,XP_015744784.2
XP_015685742.1,XP_007426584.1
XP_015681486.1,XP_007436775.1
XP_015673147.1,XP_007437796.1
XP_029140989.1,XP_025021292.1
XP_015680762.1,XP_007439115.1
XP_015682996.1,XP_007439114.1
XP_029140153.1,XP_015746542.2
XP_029140874.1,XP_025027180.1
XP_015671452.1,XP_007439902.2
XP_015681489.1,XP_015744054.2
XP_015678800.1,XP_007425686.1
XP_015672330.1,XP_007427366.1
XP_015674147.2,XP_007443076.1
XP_015683409.1,XP_007443348.1
XP_015682776.1,XP_007442563.2
XP_015683091.1,XP_007427730.1
XP_015684661.1,XP_025021758.1
XP_029141764.1,XP_007432067.1
XP_015674102.1,XP_025024818.1
XP_015681929.1,XP_007434109.1
XP_015666084.2,XP_007439786.2
XP_015666053.1,XP_025020910.1
XP_015668189.1,XP_007436320.1
XP_015681227.1,XP_025021187.1
XP_015667168.1,XP_007439819.1
XP_015683932.1,XP_025028020.1
XP_015680062.1,XP_007427040.1
XP_015672103.1,XP_007434177.1
XP_029142261.1,XP_025021625.1
XP_015679004.1,XP_025022492.1
XP_015682395.1,XP_007421842.1
XP_029141707.1,XP_007442310.1
XP_015681816.1,XP_007429568.1
XP_015672323.1,XP_007431272.1
XP_029139417.1,XP_007444594.1
XP_015687249.1,XP_007435504.1
XP_015665823.1,XP_007431700.1
XP_015684035.1,XP_025031807.1
XP_029139001.1,XP_007430924.1
XP_015681928.1,XP_007441168.1
XP_029139464.1,XP_007422141.1
XP_015679327.1,XP_007432409.1
XP_015674586.1,XP_007442205.1
XP_015685017.1,XP_007421839.2
XP_029141018.1,XP_007434134.1
XP_015674217.1,XP_007425537.1
XP_015684051.1,XP_007425995.1
XP_029140164.1,XP_007439086.1
XP_015667657.1,XP_025027081.1
XP_015687915.1,XP_007428918.1
XP_015683463.1,XP_007431202.1
XP_029142904.1,XP_007443632.1
XP_015678364.1,XP_007437621.1
XP_015678910.1,XP_007427218.1
XP_015687896.1,XP_025021060.1
XP_029141832.1,XP_025026012.1
XP_015683269.1,XP_007436711.1
XP_015678516.1,XP_007421784.1
XP_029141718.1,XP_007435336.1
XP_015668769.1,XP_007432166.1
XP_015679290.1,XP_007425980.1
XP_015680499.1,XP_007428132.1
XP_029140837.1,XP_025024294.1
XP_029138979.1,XP_025029482.1
XP_029140823.1,XP_007444744.2
XP_029142326.1,XP_015743979.1
XP_015677116.1,XP_025032281.1
XP_015684983.1,XP_007440268.1
XP_015687927.1,XP_007426083.2
XP_015683278.1,XP_007439255.1
XP_029140458.1,XP_025028452.1
XP_015687979.1,XP_007426089.1
XP_015670291.1,XP_007420933.1
XP_015667859.1,XP_007421693.1
XP_015679297.1,XP_007437151.2
XP_015684283.1,XP_007444450.1
XP_015668630.1,XP_025030164.1
XP_015686762.1,XP_007440275.1
XP_029139180.1,XP_025026453.1
XP_015672885.1,XP_025021255.1
XP_015672886.1,XP_007426388.1
XP_015670299.1,XP_007420919.1
XP_015667638.1,XP_007434664.1
XP_015676213.1,XP_007440327.1
XP_015673564.1,XP_007439236.1
XP_029139110.1,XP_025030123.1
XP_015680353.1,XP_007431930.1
XP_029141828.1,XP_025023526.1
XP_029141505.1,XP_007444461.2
XP_029142701.1,XP_007442541.1
XP_015671148.1,XP_007437700.2
XP_015677179.1,XP_025028597.1
XP_015674207.1,XP_015743742.1
XP_015687030.1,XP_025032305.1
XP_015673629.1,XP_025026411.1
XP_015674446.1,XP_025020377.1
XP_015669587.1,XP_025033230.1
XP_015677609.1,XP_025030576.1
XP_015676595.1,XP_007420056.1
XP_015670633.1,XP_025032929.1
XP_015678187.1,XP_007427028.1
XP_015684723.1,XP_025029361.1
XP_015665892.1,XP_007428631.1
XP_015666139.1,XP_007420827.1
XP_029139020.1,XP_015742969.1
XP_015667016.1,XP_007436378.1
XP_029139019.1,XP_015745946.2
XP_015669627.1,XP_007438737.1
XP_015670757.1,XP_007443280.1
XP_015687376.2,XP_007436244.1
XP_029141992.1,XP_007436693.1
XP_015679391.1,XP_007423562.1
XP_015673422.1,XP_007438595.1
XP_015673621.1,XP_007423107.1
XP_029140701.1,XP_007436791.1
XP_029141102.1,XP_025027110.1
XP_015667064.1,XP_007425171.1
XP_029139928.1,XP_007421480.1
XP_015681216.1,XP_025021596.1
XP_015670884.1,XP_007427278.1
XP_015666050.1,XP_007425777.2
XP_015666227.1,XP_025030457.1
XP_015671778.1,XP_007422928.1
XP_015672223.1,XP_025022004.1
XP_015677756.1,XP_025029887.1
XP_015669626.1,XP_007438736.1
XP_015670526.1,XP_007443140.1
XP_015673623.1,XP_025031672.1
XP_029139526.1,XP_007422038.1
XP_015672049.2,XP_025028166.1
XP_029143190.1,XP_025033391.1
XP_015666403.1,XP_007430967.3
XP_015676241.1,XP_007433473.1
XP_015676064.1,XP_025023647.1
XP_015669651.1,XP_007439042.1
XP_015682094.1,XP_015746939.1
XP_015669042.1,XP_015747036.2
XP_015673500.1,XP_007424124.1
