P_guttatus_protein,P_Mucros.pep,python_protein,Pm_geneid
XP_034293022.1,XP_015668901.1,XP_007435611.1,107285243
XP_034293018.1,XP_015668904.1,XP_007437625.1,107285245
XP_034293015.1,XP_015668905.2,XP_025028555.1,107285246
XP_034293005.1,XP_015668907.1,XP_025027265.1,107285248
XP_034292998.1,XP_015668909.1,XP_007421441.1,107285250
XP_034295844.1,XP_015668912.1,XP_007424994.1,107285255
XP_034295836.1,XP_015668917.1,XP_025020353.1,107285259
XP_034295840.1,XP_015668919.1,XP_007424988.1,107285260
XP_034295829.1,XP_015668920.1,XP_007424986.1,107285261
XP_034278400.1,XP_029139469.1,XP_007424857.1,107285264
XP_034295841.1,XP_029139465.1,XP_007424992.1,107285270
XP_034295813.1,XP_015668934.1,XP_025021016.1,107285274
XP_034298431.1,XP_015668940.1,XP_007431541.1,107285279
XP_034298415.1,XP_015668944.1,XP_007435139.1,107285282
XP_034285439.1,XP_015668952.1,XP_007433049.1,107285290
XP_034285441.1,XP_015668953.1,XP_025025421.1,107285291
XP_034285447.1,XP_015668954.1,XP_007435343.1,107285292
XP_034285451.1,XP_015668956.1,XP_007435381.1,107285294
XP_034263514.1,XP_015668958.1,XP_007435378.1,107285297
XP_034285446.1,XP_015668962.1,XP_025029805.1,107285299
XP_034278379.1,XP_015668981.1,XP_025027653.1,107285316
XP_034278376.1,XP_015668993.1,XP_007428943.1,107285326
XP_034259165.1,XP_015669008.1,XP_007436648.1,107285342
XP_034259203.1,XP_015669010.1,XP_025022562.1,107285344
XP_034259590.1,XP_015669011.1,XP_007428501.1,107285345
XP_034259551.1,XP_015669013.1,XP_025022565.1,107285348
XP_034258870.1,XP_015669014.1,XP_007428497.1,107285349
XP_034298548.1,XP_015669021.1,XP_007425924.1,107285355
XP_034285218.1,XP_015669024.1,XP_007421821.1,107285357
XP_034285224.1,XP_015669026.1,XP_025021258.1,107285359
XP_034288236.1,XP_015669027.1,XP_025018854.1,107285361
XP_034288255.1,XP_015669028.1,XP_007430167.1,107285362
XP_034288246.1,XP_015669032.1,XP_025023639.1,107285366
XP_034281181.1,XP_029139491.1,XP_025029616.1,107285381
XP_034286376.1,XP_015669052.1,XP_007434389.1,107285385
XP_034273826.1,XP_015669061.1,XP_007421177.2,107285393
XP_034273827.1,XP_015669062.1,XP_025021391.1,107285394
XP_034273829.1,XP_015669063.1,XP_007426607.2,107285395
XP_034261901.1,XP_015669065.1,XP_007428730.2,107285399
XP_034261914.1,XP_015669067.1,XP_007439739.1,107285400
XP_034259088.1,XP_015669071.1,XP_007420068.1,107285403
XP_034289565.1,XP_015669077.1,XP_007440298.1,107285407
XP_034259290.1,XP_015669074.1,XP_007420074.1,107285408
XP_034259093.1,XP_015669078.1,XP_007438093.1,107285411
XP_034258767.1,XP_015669082.1,XP_007438091.1,107285413
XP_034259526.1,XP_015669089.1,XP_007425751.1,107285420
XP_034258603.1,XP_015669093.1,XP_007425755.1,107285424
XP_034294521.1,XP_015669102.1,XP_007442879.1,107285432
XP_034294514.1,XP_015669103.1,XP_007442882.1,107285433
XP_034284950.1,XP_015669141.1,XP_007430413.1,107285434
XP_034292948.1,XP_015669105.1,XP_007432920.1,107285436
XP_034284624.1,XP_015669107.1,XP_007433222.1,107285439
XP_034284569.1,XP_029139503.1,XP_007437716.1,107285449
XP_034284626.1,XP_015669121.1,XP_025031170.1,107285452
XP_034284589.1,XP_015669129.1,XP_015742959.1,107285460
XP_034284512.1,XP_015669130.1,XP_007424716.1,107285461
XP_034284505.1,XP_015669135.1,XP_015744556.1,107285465
XP_034262646.1,XP_015669137.1,XP_007441837.1,107285467
XP_034284635.1,XP_015669138.1,XP_007441838.2,107285468
XP_034289568.1,XP_015669146.1,XP_015743122.1,107285470
XP_034284585.1,XP_015669150.1,XP_007424727.1,107285476
XP_034283270.1,XP_015669161.1,XP_025032172.1,107285488
XP_034283280.1,XP_015669173.1,XP_007439422.1,107285494
XP_034295630.1,XP_015669196.1,XP_015745875.1,107285516
XP_034295603.1,XP_015669206.1,XP_007443548.1,107285524
XP_034286388.1,XP_015669227.1,XP_007422935.1,107285545
XP_034293471.1,XP_029139531.1,XP_007421868.1,107285550
XP_034293520.1,XP_015669238.1,XP_007434900.1,107285551
XP_034288411.1,XP_015669248.1,XP_007430815.1,107285561
XP_034288410.1,XP_015669250.1,XP_007430809.1,107285564
XP_034269969.1,XP_029139537.1,XP_007419949.1,107285571
XP_034269989.1,XP_015669264.1,XP_015743563.1,107285576
XP_034269957.1,XP_015669270.1,XP_007419946.1,107285581
XP_034269967.1,XP_015669274.1,XP_025022748.1,107285584
XP_034295800.1,XP_015669275.1,XP_007442877.3,107285585
XP_034298367.1,XP_015669285.1,XP_015744534.1,107285591
XP_034278545.1,XP_015669286.1,XP_007430779.1,107285595
XP_034257655.1,XP_015669289.1,XP_007422473.1,107285598
XP_034259306.1,XP_015669292.1,XP_007422468.1,107285601
XP_034274745.1,XP_015669303.1,XP_007427494.1,107285602
XP_034266704.1,XP_015669300.1,XP_007433840.1,107285608
XP_034266710.1,XP_015669302.1,XP_007427951.1,107285611
XP_034266712.1,XP_015669308.1,XP_007427944.1,107285613
XP_034266715.1,XP_015669309.1,XP_007427943.1,107285614
XP_034266716.1,XP_015669310.1,XP_007427942.1,107285615
XP_034274748.1,XP_015669315.1,XP_007427492.1,107285617
XP_034266720.1,XP_015669312.1,XP_007427938.1,107285618
XP_034266753.1,XP_015669323.2,XP_007434838.1,107285629
XP_034266758.1,XP_015669337.1,XP_007427085.1,107285639
XP_034268200.1,XP_015669385.1,XP_025026391.1,107285673
XP_034268205.1,XP_015669397.1,XP_007426141.1,107285682
XP_034284956.1,XP_015669447.1,XP_025019621.1,107285698
XP_034294831.1,XP_015669414.1,XP_025018867.1,107285703
XP_034298589.1,XP_029139565.1,XP_007425787.1,107285706
XP_034257195.1,XP_015669426.1,XP_025020868.1,107285711
XP_034298723.1,XP_015669427.1,XP_007431059.1,107285712
XP_034268202.1,XP_015669439.1,XP_007421313.1,107285719
XP_034290281.1,XP_015669437.1,XP_007425914.1,107285720
XP_034296620.1,XP_015669450.1,XP_007430127.1,107285730
XP_034280718.1,XP_015669462.1,XP_007423895.1,107285742
XP_034278294.1,XP_015669467.1,XP_007441342.1,107285745
XP_034278299.1,XP_015669469.1,XP_007443116.1,107285747
XP_034278316.1,XP_015669474.1,XP_025023574.1,107285751
XP_034278295.1,XP_029139574.1,XP_007441341.2,107285753
XP_034278310.1,XP_015669478.1,XP_007430062.1,107285754
XP_034278304.1,XP_015669480.1,XP_007430066.1,107285756
XP_034266829.1,XP_015669482.1,XP_025023310.1,107285758
XP_034266834.1,XP_015669483.1,XP_007429674.1,107285760
XP_034266880.1,XP_015669508.1,XP_007420484.1,107285775
XP_034266900.1,XP_015669512.1,XP_007420472.1,107285778
XP_034266913.1,XP_015669520.1,XP_007420461.1,107285786
XP_034266917.1,XP_015669521.1,XP_007441583.1,107285787
XP_034266920.1,XP_015669523.1,XP_025024138.1,107285788
XP_034266912.1,XP_015669536.1,XP_007420498.1,107285802
XP_034266825.1,XP_015669540.1,XP_007429678.2,107285807
XP_034265873.1,XP_029139592.1,XP_007425695.1,107285819
XP_034265868.1,XP_029139593.1,XP_025021796.1,107285820
XP_034296128.1,XP_029139594.1,XP_007437273.1,107285825
XP_034273531.1,XP_015669573.1,XP_007424624.1,107285831
XP_034273528.1,XP_015669575.1,XP_007424628.1,107285832
XP_034273482.1,XP_015669592.1,XP_025020024.1,107285846
XP_034273475.1,XP_029139599.1,XP_025020029.1,107285847
XP_034280080.1,XP_015669616.1,XP_025025554.1,107285868
XP_034295495.1,XP_015669619.1,XP_007433587.1,107285871
XP_034295506.1,XP_015669625.1,XP_007438734.1,107285876
XP_034295544.1,XP_015669638.1,XP_007420691.1,107285887
XP_034295542.1,XP_015669639.1,XP_025022206.1,107285888
XP_034295546.1,XP_015669640.1,XP_007420687.1,107285889
XP_034295548.1,XP_015669641.1,XP_007420689.1,107285890
XP_034295537.1,XP_015669645.1,XP_025022222.1,107285893
XP_034259154.1,XP_015669657.2,XP_025023250.1,107285905
XP_034258979.1,XP_015669658.1,XP_025023246.1,107285906
XP_034272111.1,XP_015669681.1,XP_025020416.1,107285924
XP_034272106.1,XP_015669698.1,XP_007425089.1,107285936
XP_034274030.1,XP_015669717.1,XP_007425512.1,107285955
XP_034274047.1,XP_029139623.1,XP_007432370.1,107285959
XP_034274053.1,XP_015669725.1,XP_025025017.1,107285961
XP_034285340.1,XP_015669743.1,XP_007433598.1,107285975
XP_034285341.1,XP_015669744.1,XP_007434910.1,107285977
XP_034285347.1,XP_015669748.1,XP_007429249.1,107285980
XP_034285348.1,XP_015669749.1,XP_007429251.1,107285981
XP_034285365.1,XP_015669750.1,XP_007429253.1,107285982
XP_034285367.1,XP_015669754.1,XP_025029125.1,107285984
XP_034285382.1,XP_015669757.1,XP_007437599.2,107285987
XP_034285397.1,XP_029139626.1,XP_025020032.1,107285988
XP_034285349.1,XP_015669761.2,XP_007429247.1,107285990
XP_034285395.1,XP_015669762.1,XP_025020035.1,107285991
XP_034260394.1,XP_015669776.2,XP_025026233.1,107286005
XP_034298475.1,XP_015669784.1,XP_007438937.1,107286012
XP_034298477.1,XP_015669785.1,XP_007438934.1,107286013
XP_034288748.1,XP_015669825.1,XP_007436535.1,107286043
XP_034272738.1,XP_015669840.1,XP_007440085.1,107286059
XP_034259954.1,XP_015669841.1,XP_007433607.1,107286060
XP_034259887.1,XP_015669846.1,XP_007433092.1,107286065
XP_034288910.1,XP_015669853.1,XP_007423802.1,107286072
XP_034288913.1,XP_015669855.1,XP_007443437.1,107286076
XP_034280975.1,XP_015669869.1,XP_007427424.2,107286085
XP_034266023.1,XP_015669890.1,XP_007433074.1,107286110
XP_034266084.1,XP_015669893.1,XP_007430661.1,107286111
XP_034266066.1,XP_015669896.1,XP_007430666.1,107286114
XP_034266119.1,XP_015669897.1,XP_007430667.2,107286115
XP_034265912.1,XP_015669901.1,XP_007427606.2,107286120
XP_034289854.1,XP_015669906.1,XP_007438203.1,107286124
XP_034289812.1,XP_015669907.1,XP_015745300.1,107286125
XP_034289773.1,XP_015669908.1,XP_007438201.1,107286126
XP_034259527.1,XP_015669917.1,XP_007423262.1,107286132
XP_034259144.1,XP_015669935.1,XP_007423258.1,107286150
XP_034270272.1,XP_015669972.1,XP_025029785.1,107286174
XP_034298811.1,XP_015669998.1,XP_007428690.1,107286197
XP_034298634.1,XP_015670006.1,XP_007428694.1,107286200
XP_034273730.1,XP_015670017.1,XP_007430134.1,107286207
XP_034273734.1,XP_015670021.1,XP_007430131.1,107286209
XP_034273735.1,XP_015670022.1,XP_007430135.1,107286210
XP_034298558.1,XP_015670032.1,XP_025023457.1,107286213
XP_034273739.1,XP_015670039.1,XP_007430136.1,107286222
XP_034267042.1,XP_029139688.1,XP_007435352.1,107286233
XP_034284394.1,XP_015670073.1,XP_025023180.1,107286244
XP_034284395.1,XP_015670087.1,XP_025020454.1,107286253
XP_034270697.1,XP_015670088.1,XP_007431123.1,107286257
XP_034270683.1,XP_015670097.1,XP_025024235.1,107286266
XP_034270682.1,XP_015670099.1,XP_007431129.1,107286267
XP_034296264.1,XP_015670105.1,XP_007435863.1,107286273
XP_034283665.1,XP_029139735.1,XP_007426933.1,107286292
XP_034271908.1,XP_015670129.1,XP_007437097.1,107286293
XP_034283663.1,XP_015670142.1,XP_007426928.1,107286302
XP_034266556.1,XP_015670144.1,XP_007428699.1,107286307
XP_034297101.1,XP_015670148.1,XP_007422722.1,107286315
XP_034297098.1,XP_029139737.1,XP_007422727.1,107286318
XP_034288269.1,XP_015670155.1,XP_007426865.1,107286320
XP_034283674.1,XP_015670163.1,XP_007425696.1,107286323
XP_034277191.1,XP_015670166.1,XP_015744092.1,107286329
XP_034283670.1,XP_015670174.1,XP_007426932.2,107286334
XP_034285097.1,XP_015670173.1,XP_025026902.1,107286336
XP_034285130.1,XP_015670181.1,XP_025022201.1,107286342
XP_034293104.1,XP_029139752.1,XP_015743539.1,107286343
XP_034285123.1,XP_015670182.1,XP_025022200.1,107286344
XP_034264907.1,XP_015670194.1,XP_007429521.1,107286353
XP_034265124.1,XP_015670204.1,XP_007439443.2,107286361
XP_034265113.1,XP_015670205.1,XP_007437091.1,107286362
XP_034281592.1,XP_015670222.1,XP_025031298.1,107286376
XP_034268462.1,XP_015670226.1,XP_007441998.1,107286380
XP_034268447.1,XP_015670227.1,XP_007426278.1,107286381
XP_034268463.1,XP_029139758.1,XP_007442436.1,107286388
XP_034268453.1,XP_015670235.1,XP_007437346.1,107286391
XP_034268472.1,XP_015670239.1,XP_025021686.1,107286394
XP_034272129.1,XP_015670247.1,XP_007429906.1,107286403
XP_034272128.1,XP_015670248.1,XP_025023472.1,107286404
XP_034279800.1,XP_029139757.1,XP_007437988.1,107286410
XP_034283596.1,XP_015670260.1,XP_007439657.1,107286413
XP_034283614.1,XP_029139761.1,XP_025024932.1,107286420
XP_034272877.1,XP_029139765.1,XP_025018700.1,107286428
XP_034276950.1,XP_015670323.2,XP_007441600.2,107286462
XP_034276953.1,XP_015670325.1,XP_007436949.1,107286465
XP_034284971.1,XP_015670379.1,XP_015744003.1,107286483
XP_034259124.1,XP_015670359.1,XP_007421419.1,107286499
XP_034266196.1,XP_015670366.1,XP_007422589.1,107286507
XP_034257384.1,XP_015670376.1,XP_007430095.1,107286511
XP_034298543.1,XP_015670377.1,XP_007443914.1,107286513
XP_034279733.1,XP_015670391.1,XP_007426563.1,107286520
XP_034279725.1,XP_015670393.1,XP_007443665.3,107286522
XP_034279722.1,XP_015670394.1,XP_015746534.1,107286523
XP_034279704.1,XP_015670402.1,XP_007440282.1,107286528
XP_034279654.1,XP_015670405.1,XP_007433306.2,107286531
XP_034275869.1,XP_029139783.1,XP_025026716.1,107286534
XP_034259650.1,XP_015670414.1,XP_007431257.1,107286540
XP_034294874.1,XP_015670416.1,XP_025028683.1,107286542
XP_034294865.1,XP_015670418.1,XP_007424361.1,107286544
XP_034294869.1,XP_015670419.1,XP_007424362.1,107286546
XP_034294862.1,XP_015670422.1,XP_025029794.1,107286549
XP_034282947.1,XP_015670452.1,XP_007429394.1,107286571
XP_034283795.1,XP_015670455.1,XP_025020690.1,107286576
XP_034284090.1,XP_015670456.1,XP_025020692.1,107286577
XP_034284132.1,XP_015670459.1,XP_025020104.1,107286580
XP_034284201.1,XP_015670460.1,XP_025022497.1,107286583
XP_034271066.1,XP_015670513.1,XP_007430836.1,107286634
XP_034271059.1,XP_015670521.1,XP_007430835.1,107286640
XP_034271073.1,XP_015670523.2,XP_025030498.1,107286642
XP_034264589.1,XP_015670535.1,XP_007428091.1,107286653
XP_034264590.1,XP_015670536.1,XP_007428090.1,107286654
XP_034264598.1,XP_029139813.1,XP_007436481.1,107286655
XP_034295268.1,XP_015670549.1,XP_025021215.1,107286668
XP_034295338.1,XP_015670565.1,XP_007428085.1,107286680
XP_034298182.1,XP_015670574.1,XP_007438329.1,107286687
XP_034298180.1,XP_015670575.1,XP_007437810.1,107286688
XP_034298242.1,XP_015670582.1,XP_025031404.1,107286694
XP_034290079.1,XP_015670599.1,XP_007420544.1,107286707
XP_034284207.1,XP_015670623.1,XP_007430227.1,107286723
XP_034296821.1,XP_015670627.1,XP_007428426.1,107286728
XP_034284112.1,XP_015670636.1,XP_007431675.1,107286735
XP_034284110.1,XP_015670641.1,XP_025024591.1,107286740
XP_034268650.1,XP_015670662.1,XP_007419915.2,107286753
XP_034296748.1,XP_015670666.1,XP_025023432.1,107286758
XP_034289686.1,XP_015670669.1,XP_007435766.1,107286761
XP_034289581.1,XP_015670672.1,XP_025029074.1,107286763
XP_034289698.1,XP_029139836.1,XP_007444725.1,107286764
XP_034289696.1,XP_015670678.2,XP_007435767.1,107286770
XP_034263967.1,XP_015670686.1,XP_007435617.2,107286777
XP_034264079.1,XP_029139838.1,XP_025028070.1,107286784
XP_034263907.1,XP_015670701.1,XP_015746073.1,107286790
XP_034296114.1,XP_015670703.1,XP_025025945.1,107286793
XP_034296118.1,XP_015670704.1,XP_007433746.1,107286794
XP_034266800.1,XP_015670710.1,XP_007424427.1,107286799
XP_034267143.1,XP_015670720.1,XP_007423572.1,107286808
XP_034267177.1,XP_015670723.1,XP_007420864.1,107286810
XP_034275553.1,XP_015670725.1,XP_007433131.1,107286811
XP_034275588.1,XP_015670729.1,XP_007433129.1,107286813
XP_034267072.1,XP_029139845.1,XP_007423573.1,107286818
XP_034265897.1,XP_015670745.2,XP_007422351.1,107286826
XP_034260694.1,XP_015670749.1,XP_007428682.1,107286830
XP_034260683.1,XP_015670751.1,XP_007428679.1,107286833
XP_034260619.1,XP_015670755.1,XP_007431954.1,107286835
XP_034258552.1,XP_015670756.1,XP_025019823.1,107286837
XP_034258243.1,XP_015670758.1,XP_007424735.1,107286839
XP_034258162.1,XP_015670761.1,XP_007430653.1,107286842
XP_034268664.1,XP_015670764.1,XP_025021766.1,107286843
XP_034280548.1,XP_015670766.1,XP_015744412.1,107286847
XP_034268646.1,XP_015670794.1,XP_025021039.1,107286867
XP_034262480.1,XP_015670802.1,XP_025024463.1,107286877
XP_034262622.1,XP_015670810.1,XP_007421030.1,107286882
XP_034262672.1,XP_029139858.1,XP_007421029.1,107286883
XP_034273110.1,XP_015670868.1,XP_025026519.1,107286937
XP_034273103.1,XP_015670870.1,XP_007442150.1,107286938
XP_034273121.1,XP_015670875.1,XP_025030976.1,107286943
XP_034295041.1,XP_015670878.1,XP_007426361.1,107286947
XP_034295035.1,XP_015670883.1,XP_007427275.1,107286950
XP_034284715.1,XP_015670891.1,XP_025018853.1,107286959
XP_034284702.1,XP_015670896.1,XP_007422800.1,107286961
XP_034284666.1,XP_015670899.1,XP_007422826.1,107286964
XP_034284646.1,XP_015670905.1,XP_007433330.1,107286969
XP_034284764.1,XP_015670906.1,XP_025025887.1,107286970
XP_034284725.1,XP_015670910.1,XP_025018822.1,107286974
XP_034284711.1,XP_015670912.1,XP_025018844.1,107286977
XP_034284709.1,XP_015670913.1,XP_025018845.1,107286978
XP_034284672.1,XP_029139871.1,XP_025018841.1,107286981
XP_034284765.1,XP_015670925.1,XP_007433584.1,107286990
XP_034284758.1,XP_015670927.2,XP_025025881.1,107286991
XP_034284742.1,XP_015670930.1,XP_007433663.1,107286994
XP_034284736.1,XP_015670931.1,XP_025025877.1,107286995
XP_034284723.1,XP_015670933.1,XP_025018847.1,107286997
XP_034284673.1,XP_015670938.1,XP_007422811.1,107287002
XP_034284670.1,XP_015670940.1,XP_007422814.1,107287004
XP_034284668.1,XP_015670941.1,XP_007422815.1,107287005
XP_034296270.1,XP_015670948.1,XP_007425972.1,107287009
XP_034284640.1,XP_015670946.1,XP_007433333.1,107287011
XP_034296250.1,XP_015670950.1,XP_025026558.1,107287014
XP_034291764.1,XP_015670963.1,XP_007443075.1,107287026
XP_034294672.1,XP_015670984.1,XP_007428989.1,107287045
XP_034288327.1,XP_015670994.1,XP_025023468.1,107287053
XP_034270565.1,XP_015670998.1,XP_025019020.1,107287055
XP_034271130.1,XP_015671016.1,XP_025026501.1,107287072
XP_034271135.1,XP_015671019.1,XP_025026450.1,107287074
XP_034271141.1,XP_015671023.1,XP_007431261.1,107287078
XP_034271117.1,XP_029139888.1,XP_015744299.1,107287081
XP_034271128.1,XP_015671028.1,XP_025026512.1,107287082
XP_034271127.1,XP_015671029.1,XP_025026487.1,107287083
XP_034270008.1,XP_015671045.1,XP_007439562.1,107287097
XP_034270009.1,XP_015671046.1,XP_007439561.1,107287098
XP_034270025.1,XP_015671057.1,XP_007429096.1,107287104
XP_034295479.1,XP_015671088.1,XP_025026649.1,107287134
XP_034267700.1,XP_015671091.1,XP_025024749.1,107287137
XP_034265079.1,XP_015671118.1,XP_007426656.1,107287161
XP_034266648.1,XP_015671140.1,XP_007436343.1,107287179
XP_034274415.1,XP_015671145.1,XP_025023929.1,107287185
XP_034259501.1,XP_015671149.1,XP_007439748.1,107287188
XP_034259262.1,XP_015671154.1,XP_007443900.1,107287192
XP_034259528.1,XP_015671160.1,XP_007430882.1,107287196
XP_034259459.1,XP_029139910.1,XP_025029861.1,107287198
XP_034259663.1,XP_015671163.1,XP_025027905.1,107287199
XP_034259298.1,XP_015671164.1,XP_007440163.1,107287200
XP_034258648.1,XP_015671165.1,XP_007428448.1,107287201
XP_034274261.1,XP_015671183.1,XP_007435257.1,107287214
XP_034274278.1,XP_015671184.1,XP_007437078.1,107287215
XP_034273812.1,XP_015671193.1,XP_025021858.1,107287220
XP_034268867.1,XP_029139923.1,XP_025020093.1,107287222
XP_034273813.1,XP_015671205.1,XP_007427319.1,107287227
XP_034275249.1,XP_029139924.1,XP_007421474.1,107287229
XP_034275257.1,XP_015671207.1,XP_007421477.1,107287233
XP_034275269.1,XP_015671210.1,XP_007439976.1,107287236
XP_034269809.1,XP_015671230.1,XP_025023754.1,107287253
XP_034269667.1,XP_015671231.1,XP_007430305.1,107287254
XP_034269819.1,XP_029139930.1,XP_007430382.1,107287257
XP_034269820.1,XP_015671235.1,XP_007438445.1,107287258
XP_034284776.1,XP_029139934.1,XP_025025828.1,107287262
XP_034284782.1,XP_015671266.1,XP_007433576.1,107287287
XP_034284792.1,XP_015671270.1,XP_007437498.1,107287291
XP_034284808.1,XP_015671275.1,XP_025029769.1,107287296
XP_034284816.1,XP_015671279.1,XP_007439615.1,107287298
XP_034273291.1,XP_015671297.1,XP_007443184.1,107287312
XP_034265636.1,XP_015671298.1,XP_025018689.1,107287313
XP_034265647.1,XP_015671300.2,XP_007422651.1,107287315
XP_034296071.1,XP_015671311.1,XP_025028159.1,107287328
XP_034296065.1,XP_015671313.1,XP_025027233.1,107287330
XP_034267825.1,XP_015671373.1,XP_007426015.1,107287377
XP_034268716.1,XP_015671375.1,XP_025031676.1,107287381
XP_034267840.1,XP_015671396.1,XP_007429195.1,107287395
XP_034274891.1,XP_015671401.1,XP_025031891.1,107287402
XP_034274888.1,XP_015671404.1,XP_007422143.1,107287405
XP_034285212.1,XP_015671411.1,XP_025021334.1,107287412
XP_034285210.1,XP_015671412.1,XP_007426507.1,107287413
XP_034273693.1,XP_029139963.1,XP_015744944.1,107287415
XP_034273677.1,XP_015671418.1,XP_007440405.1,107287419
XP_034283690.1,XP_015671432.1,XP_007425710.1,107287432
XP_034283685.1,XP_015671433.1,XP_007425707.1,107287433
XP_034283681.1,XP_015671434.1,XP_007425703.1,107287436
XP_034283680.1,XP_029139971.1,XP_007425709.1,107287437
XP_034269513.1,XP_015671450.1,XP_025029946.1,107287445
XP_034267955.1,XP_015671465.1,XP_007429189.1,107287456
XP_034284035.1,XP_029139975.1,XP_025030995.1,107287465
XP_034284048.1,XP_015671481.1,XP_007420984.1,107287474
XP_034267967.1,XP_015671487.1,XP_015743720.1,107287477
XP_034267995.1,XP_015671498.1,XP_007428210.1,107287487
XP_034273229.1,XP_015671502.1,XP_007433281.1,107287496
XP_034290768.1,XP_015671521.1,XP_015743850.1,107287517
XP_034290777.1,XP_015671528.1,XP_007429913.1,107287522
XP_034290792.1,XP_015671530.1,XP_007426300.1,107287524
XP_034293337.1,XP_015671616.1,XP_015745864.1,107287604
XP_034297141.1,XP_015671622.1,XP_007423597.1,107287614
XP_034273841.1,XP_015671624.2,XP_007427178.1,107287618
XP_034273852.1,XP_015671628.1,XP_007429085.1,107287620
XP_034273844.1,XP_015671637.2,XP_007443728.1,107287628
XP_034287958.1,XP_015671639.1,XP_007441125.1,107287629
XP_034272296.1,XP_029140012.1,XP_025020825.1,107287641
XP_034272310.1,XP_015671656.1,XP_025020820.1,107287644
XP_034267184.1,XP_015671659.1,XP_007426030.1,107287649
XP_034267309.1,XP_015671665.1,XP_007436557.1,107287652
XP_034267348.1,XP_015671666.1,XP_025027836.1,107287653
XP_034267243.1,XP_015671669.1,XP_007434992.1,107287656
XP_034267274.1,XP_015671673.2,XP_007440212.1,107287659
XP_034288321.1,XP_029140014.1,XP_007433095.1,107287663
XP_034295668.1,XP_015671681.1,XP_025031063.1,107287666
XP_034295673.1,XP_015671683.1,XP_025031125.1,107287669
XP_034290578.1,XP_015671700.1,XP_007424354.1,107287684
XP_034290594.1,XP_015671707.1,XP_007438063.1,107287689
XP_034290605.1,XP_015671711.1,XP_007438069.1,107287693
XP_034282422.1,XP_015671716.1,XP_007433147.1,107287696
XP_034290582.1,XP_015671714.2,XP_025019910.1,107287698
XP_034274645.1,XP_015671719.1,XP_007421066.1,107287701
XP_034274648.1,XP_015671720.2,XP_015744176.1,107287702
XP_034276553.1,XP_015671731.1,XP_025029299.1,107287712
XP_034295691.1,XP_015671740.1,XP_007424797.1,107287721
XP_034295707.1,XP_015671746.1,XP_025020241.1,107287726
XP_034295715.1,XP_015671747.1,XP_007424809.1,107287727
XP_034295727.1,XP_015671752.1,XP_007424820.1,107287731
XP_034295729.1,XP_015671754.1,XP_015742976.1,107287733
XP_034295736.1,XP_015671755.1,XP_007419978.1,107287734
XP_034295740.1,XP_015671756.1,XP_007419974.1,107287735
XP_034295719.1,XP_015671763.1,XP_007424811.1,107287742
XP_034295733.1,XP_029140033.1,XP_025025871.1,107287745
XP_034295686.1,XP_015671773.1,XP_007439354.1,107287752
XP_034295217.1,XP_015671776.1,XP_007444317.1,107287755
XP_034295231.1,XP_015671779.1,XP_007422927.1,107287759
XP_034295250.1,XP_015671780.1,XP_007420501.1,107287760
XP_034295230.1,XP_015671789.1,XP_025018927.1,107287764
XP_034295219.1,XP_015671796.1,XP_007422924.1,107287770
XP_034295263.1,XP_015671797.1,XP_007420511.1,107287771
XP_034268488.1,XP_015671798.1,XP_025029451.1,107287772
XP_034268485.1,XP_015671805.1,XP_007427068.1,107287774
XP_034268475.1,XP_015671806.1,XP_025021689.1,107287775
XP_034268491.1,XP_015671807.1,XP_007439089.1,107287776
XP_034264615.1,XP_015671818.1,XP_015743053.1,107287785
XP_034292494.1,XP_015671821.1,XP_015743054.1,107287787
XP_034270116.1,XP_015671828.1,XP_007421223.1,107287795
XP_034270117.1,XP_029140042.1,XP_007421222.2,107287797
XP_034292917.1,XP_015671833.1,XP_007431020.1,107287799
XP_034292911.1,XP_015671835.1,XP_007428508.1,107287801
XP_034288027.1,XP_015671842.1,XP_007438192.1,107287809
XP_034288019.1,XP_015671844.1,XP_007440409.1,107287811
XP_034278214.1,XP_029140045.1,XP_025032270.1,107287819
XP_034278025.1,XP_015671853.1,XP_007427656.1,107287820
XP_034278031.1,XP_015671854.1,XP_007427657.1,107287821
XP_034278032.1,XP_015671855.1,NP_001278715.1,107287822
XP_034278033.1,XP_015671857.1,XP_007427661.1,107287824
XP_034287020.1,XP_015671865.1,XP_007426658.2,107287829
XP_034282667.1,XP_015671880.1,XP_007437110.1,107287843
XP_034282725.1,XP_015671884.1,XP_007421910.1,107287846
XP_034282701.1,XP_015671885.1,XP_025024352.1,107287847
XP_034283522.1,XP_015671894.1,XP_015746012.1,107287855
XP_034283535.1,XP_015671896.1,XP_007436563.1,107287856
XP_034283544.1,XP_015671900.1,XP_007439002.3,107287860
XP_034283546.1,XP_015671901.1,XP_007429817.1,107287861
XP_034283500.1,XP_015671902.1,XP_007436620.1,107287862
XP_034296951.1,XP_015671913.1,XP_007443394.1,107287872
XP_034296957.1,XP_015671916.1,XP_007435031.1,107287875
XP_034286912.1,XP_015671921.1,XP_007432689.1,107287880
XP_034286913.1,XP_015671922.1,XP_007438789.1,107287881
XP_034257226.1,XP_029140066.1,XP_007437218.1,107287885
XP_034298607.1,XP_015671932.1,XP_007425469.1,107287889
XP_034257304.1,XP_015671934.1,XP_015743255.1,107287891
XP_034298859.1,XP_015671935.1,XP_007426478.1,107287892
XP_034298860.1,XP_015671936.1,XP_007426480.1,107287893
