P_Mucros.pep,N_naja.pep
XP_015672853.2,Nana08610-RA
XP_015676601.1,Nana08284-RA
XP_015672973.1,Nana02312-RA
XP_015675295.2,Nana01974-RA
XP_029141171.1,Nana07502-RA
XP_015673972.1,Nana01411-RA
XP_015672686.1,Nana00573-RA
XP_015670329.1,Nana00632-RA
XP_015666129.1,Nana21403-RA
XP_015670685.1,Nana09350-RA
XP_029138789.1,Nana21254-RA
XP_015682692.1,Nana08231-RA
XP_015676771.1,Nana20208-RA
XP_015678373.1,Nana22223-RA
XP_015680715.1,Nana25179-RA
XP_015668186.1,Nana31905-RA
XP_029140643.1,Nana30017-RA
XP_015670415.1,Nana08905-RA
XP_029142398.1,Nana37453-RA
XP_015676279.1,Nana03189-RA
XP_029142220.1,Nana06399-RA
XP_029140883.1,Nana10570-RA
XP_015676681.1,Nana14694-RA
XP_015685495.1,Nana04436-RA
XP_015672940.1,Nana34985-RA
XP_015666020.1,Nana23801-RA
XP_029142100.1,Nana25457-RA
XP_015672010.1,Nana28165-RA
XP_015678297.1,Nana01564-RA
XP_015674222.1,Nana01953-RA
XP_015672650.1,Nana16450-RA
XP_015667656.1,Nana31011-RB
XP_015668830.1,Nana39941-RA
XP_015668892.1,Nana36262-RA
XP_015676455.1,Nana32974-RA
XP_015672254.1,Nana10384-RA
XP_015673530.1,Nana00803-RA
XP_029138769.1,Nana32699-RA
XP_015672255.1,Nana03848-RA
XP_029140686.1,Nana10382-RC
XP_015683822.1,Nana12794-RA
XP_015677443.1,Nana19215-RA
XP_029139086.1,Nana15704-RA
XP_029139414.1,Nana39426-RA
XP_015671549.1,Nana37403-RA
XP_015670894.1,Nana34789-RA
XP_029140207.1,Nana17249-RA
XP_029139089.1,Nana15709-RA
XP_015666330.1,Nana15788-RA
XP_029140867.1,Nana34292-RA
XP_015677028.1,Nana27267-RA
XP_015672926.1,Nana09687-RA
XP_015686827.1,Nana03383-RA
XP_015679602.2,Nana07609-RA
XP_015684175.1,Nana36806-RA
XP_029140503.1,Nana09636-RA
XP_015677132.1,Nana33879-RA
XP_015674104.1,Nana35546-RA
XP_015683744.1,Nana35028-RA
XP_015683743.1,Nana35031-RA
XP_015672011.1,Nana28163-RA
XP_015679842.1,Nana36773-RA
XP_015669775.1,Nana21102-RA
XP_015665960.2,Nana23240-RA
XP_015673034.1,Nana31330-RA
XP_015686651.2,Nana03836-RA
XP_015669769.1,Nana21114-RA
XP_015677157.1,Nana31377-RA
XP_015665459.1,Nana06007-RA
XP_015667634.1,Nana15498-RA
XP_029141553.1,Nana19093-RA
XP_015675718.1,Nana11239-RA
XP_015672796.1,Nana25680-RA
XP_015681191.1,Nana17934-RA
XP_015688004.1,Nana21179-RA
XP_015683519.1,Nana36951-RA
XP_029139268.1,Nana26904-RA
XP_029139593.1,Nana11884-RA
XP_015684637.1,Nana15928-RA
XP_015667501.2,Nana21316-RA
XP_015671230.1,Nana13705-RA
XP_015666115.1,Nana21394-RA
XP_029141118.1,Nana01513-RA
XP_015667844.1,Nana16337-RA
XP_015670140.1,Nana11333-RA
XP_015670139.1,Nana11332-RA
XP_015669750.1,Nana16109-RA
XP_029139848.1,Nana21439-RA
XP_015683315.1,Nana13209-RA
XP_015666744.1,Nana15224-RA
XP_015677576.1,Nana35162-RA
XP_015677581.2,Nana35163-RA
XP_029142899.1,Nana35915-RA
XP_015672907.2,Nana15386-RA
XP_015666445.1,Nana23665-RA
XP_015666278.1,Nana21743-RA
XP_015675811.2,Nana27414-RA
XP_029140360.1,Nana27402-RA
XP_015673714.1,Nana27392-RA
XP_015668330.1,Nana27353-RA
XP_029140232.1,Nana27311-RA
XP_015679286.1,Nana22741-RA
XP_015673151.1,Nana27158-RA
XP_015671685.1,Nana19996-RA
XP_015671681.1,Nana19993-RA
XP_015677210.1,Nana14315-RA
XP_029139615.1,Nana22876-RA
XP_015675258.1,Nana19822-RA
XP_015666815.2,Nana14402-RA
XP_015667275.1,Nana26930-RA
XP_015681592.1,Nana28393-RA
XP_015667532.1,Nana26970-RA
XP_015673074.1,Nana19514-RA
XP_015665946.1,Nana23144-RA
XP_029141804.1,Nana18325-RA
XP_015685174.1,Nana13660-RA
XP_015683266.1,Nana29296-RA
XP_015683171.1,Nana07964-RA
XP_029139729.1,Nana29454-RB
XP_029139730.1,Nana29454-RA
XP_015670101.2,Nana29455-RA
XP_015683501.1,Nana25562-RA
XP_015682050.1,Nana24797-RA
XP_015674184.1,Nana02679-RA
XP_015686377.1,Nana18154-RA
XP_015687259.2,Nana18168-RA
XP_015687165.1,Nana25055-RA
XP_029141520.1,Nana25056-RA
XP_015678975.1,Nana25227-RA
XP_015681734.1,Nana11780-RF
XP_015665558.2,Nana06181-RA
XP_015685177.1,Nana11655-RA
XP_015684236.2,Nana11654-RA
XP_029140802.1,Nana11577-RA
XP_015674552.1,Nana05579-RA
XP_029142357.1,Nana05569-RA
XP_015676958.1,Nana05493-RA
XP_015676960.1,Nana05499-RA
XP_029139624.1,Nana05376-RA
XP_015679608.1,Nana04877-RA
XP_015679797.1,Nana04456-RA
XP_029140633.1,Nana04407-RA
XP_029139818.1,Nana09741-RB
XP_029140618.1,Nana34428-RA
XP_015672179.1,Nana03929-RA
XP_015679126.1,Nana09610-RA
XP_015681486.1,Nana08850-RA
XP_029141495.1,Nana02572-RA
XP_015672865.1,Nana02225-RA
XP_029140153.1,Nana01572-RB
XP_029139936.1,Nana34707-RE
XP_015667475.1,Nana34630-RA
XP_015671452.1,Nana30176-RA
XP_015678800.1,Nana05899-RA
XP_015672330.1,Nana31699-RA
XP_015675772.1,Nana32070-RB
XP_015674147.2,Nana20155-RA
XP_015682776.1,Nana00375-RA
XP_015686071.1,Nana05952-RA
XP_015684661.1,Nana33210-RA
XP_015677093.1,Nana17510-RA
XP_015674102.1,Nana33635-RA
XP_015666084.2,Nana21890-RA
XP_015666110.1,Nana21867-RA
XP_015668193.1,Nana31897-RA
XP_015668189.1,Nana32038-RA
XP_015681227.1,Nana13771-RA
XP_015667168.1,Nana29767-RA
XP_015683932.1,Nana18546-RA
XP_015680062.1,Nana30715-RA
XP_015672103.1,Nana05171-RA
XP_015679004.1,Nana04969-RA
XP_015675877.1,Nana05668-RA
XP_015682395.1,Nana00467-RA
XP_029141528.1,Nana00516-RA
XP_029141707.1,Nana39635-RA
XP_015681816.1,Nana03180-RA
XP_029142255.1,Nana03445-RA
XP_015676574.1,Nana10569-RA
XP_015687249.1,Nana08074-RA
XP_015665823.1,Nana23592-RA
XP_029141861.1,Nana07734-RA
XP_029142758.1,Nana12830-RA
XP_015680204.1,Nana32238-RA
XP_015675793.1,Nana24048-RA
XP_015674716.1,Nana26328-RB
XP_015675690.1,Nana08013-RA
XP_015684035.1,Nana12842-RA
XP_029141180.1,Nana09291-RA
XP_029141360.1,Nana07712-RA
XP_015681928.1,Nana24312-RB
XP_029139464.1,Nana19889-RA
XP_015679327.1,Nana18697-RA
XP_015671401.1,Nana01814-RA
XP_015674586.1,Nana23879-RA
XP_015685017.1,Nana00472-RA
XP_029141018.1,Nana23876-RA
XP_015682157.1,Nana01978-RA
XP_029142339.1,Nana01979-RA
XP_015674217.1,Nana01950-RA
XP_015665532.1,Nana06026-RB
XP_015683463.1,Nana26285-RA
XP_015678364.1,Nana00269-RA
XP_015683152.1,Nana00267-RA
XP_015678910.1,Nana00265-RA
XP_015687896.1,Nana32680-RA
XP_015687833.1,Nana26450-RA
XP_015678431.1,Nana22201-RA
XP_029141832.1,Nana32202-RA
XP_015683269.1,Nana25828-RA
XP_015678516.1,Nana22187-RA
XP_015681551.1,Nana00354-RA
XP_029141012.1,Nana31387-RA
XP_015676176.1,Nana10223-RA
XP_015676233.1,Nana28620-RB
XP_015670896.1,Nana34792-RA
XP_015673689.1,Nana14768-RB
XP_015667387.1,Nana33593-RA
XP_029141718.1,Nana19002-RA
XP_015679290.1,Nana00521-RA
XP_029140823.1,Nana15993-RA
XP_015667680.1,Nana13851-RA
XP_029142326.1,Nana35432-RA
XP_015683980.1,Nana35431-RA
XP_015683278.1,Nana25589-RA
XP_015684158.1,Nana33773-RA
XP_015679297.1,Nana13445-RA
XP_015683889.1,Nana39027-RA
XP_015686762.1,Nana39030-RA
XP_015682234.1,Nana31681-RA
XP_015685273.1,Nana18793-RA
XP_015672885.1,Nana17782-RA
XP_015667638.1,Nana15490-RA
XP_029140079.1,Nana28160-RA
XP_015676213.1,Nana20933-RE
XP_015683078.1,Nana36357-RA
XP_015681744.1,Nana35971-RA
XP_015671311.1,Nana19690-RA
XP_029140490.1,Nana28268-RA
XP_029139110.1,Nana29828-RA
XP_015676684.1,Nana16196-RA
XP_015680353.1,Nana13530-RA
XP_029141828.1,Nana28277-RA
XP_029142701.1,Nana13271-RA
XP_015671148.1,Nana12014-RA
XP_015677179.1,Nana12013-RA
XP_015684726.1,Nana25578-RA
XP_015677874.1,Nana11961-RA
XP_015681354.1,Nana08788-RA
XP_015673629.1,Nana13478-RA
XP_015674446.1,Nana31451-RA
XP_029143172.1,Nana05871-RA
XP_015677609.1,Nana01515-RA
XP_015677812.1,Nana18680-RA
XP_015666155.2,Nana21420-RA
XP_015670639.1,Nana01493-RA
XP_015678187.1,Nana16307-RA
XP_015684723.1,Nana25581-RA
XP_015665892.1,Nana23275-RA
XP_015666139.1,Nana21389-RA
XP_029139020.1,Nana21464-RA
XP_015667016.1,Nana14435-RA
XP_029139019.1,Nana21457-RA
XP_015687376.2,Nana32396-RA
XP_029141992.1,Nana06697-RA
XP_015677241.1,Nana04144-RA
XP_015666116.1,Nana21436-RA
XP_015673422.1,Nana16297-RA
XP_015673621.1,Nana13626-RA
XP_015686404.1,Nana14976-RA
XP_015671145.1,Nana05706-RA
XP_029141102.1,Nana16244-RA
XP_015668459.1,Nana09874-RA
XP_029139101.1,Nana21660-RA
XP_015666280.1,Nana21760-RA
XP_015666227.1,Nana21923-RA
XP_015671778.1,Nana20302-RA
XP_015672223.1,Nana20162-RA
XP_015668319.1,Nana27354-RA
XP_015686691.1,Nana14900-RA
XP_015679935.1,Nana11100-RA
XP_029140012.1,Nana22652-RA
XP_015683230.1,Nana22679-RA
XP_015677756.1,Nana22680-RA
XP_015669626.1,Nana20081-RA
XP_015670526.1,Nana09523-RA
XP_015673623.1,Nana22687-RA
XP_015671756.1,Nana19950-RB
XP_015668912.1,Nana19840-RB
XP_015673603.1,Nana19726-RA
XP_015687675.1,Nana22971-RA
XP_015687740.1,Nana23031-RA
XP_015666403.1,Nana14521-RA
XP_015669453.1,Nana19436-RA
XP_015676241.1,Nana26806-RA
XP_015676064.1,Nana32300-RA
XP_015669651.1,Nana20098-RA
XP_015682094.1,Nana26353-RA
XP_015669042.1,Nana29632-RA
XP_029138820.1,Nana23350-RA
XP_029139738.1,Nana29559-RD
XP_015670166.1,Nana29566-RA
XP_015665668.1,Nana23326-RA
XP_015665633.1,Nana23316-RA
XP_015673792.1,Nana13908-RA
XP_029139537.1,Nana13840-RA
XP_015673554.1,Nana16749-RA
XP_029140736.1,Nana29498-RA
XP_015685980.1,Nana29499-RA
XP_015680741.1,Nana25857-RA
XP_015678080.1,Nana24519-RA
XP_015687441.1,Nana18494-RA
XP_015679605.1,Nana24731-RA
XP_015684066.1,Nana18632-RA
XP_015677844.1,Nana24831-RA
XP_015671666.1,Nana24999-RA
XP_015666201.2,Nana06303-RB
XP_015682318.1,Nana36921-RA
XP_015674569.1,Nana39714-RA
XP_015685080.2,Nana05248-RA
XP_015668560.1,Nana05224-RA
XP_015672624.1,Nana10307-RA
XP_015673760.1,Nana10263-RA
XP_029139789.1,Nana03364-RA
XP_015670599.1,Nana10672-RA
XP_029139231.1,Nana10696-RA
XP_029143084.1,Nana05060-RA
XP_015673652.1,Nana10042-RA
XP_015671297.1,Nana04821-RA
XP_029140676.1,Nana10079-RA
XP_029139860.1,Nana09715-RA
XP_015678997.1,Nana04217-RA
XP_015680698.1,Nana04295-RA
XP_015679412.1,Nana09332-RA
XP_015681900.1,Nana09335-RA
XP_015675204.1,Nana04101-RA
XP_015674582.1,Nana09507-RA
XP_015670669.1,Nana03973-RA
XP_015672185.1,Nana03939-RA
XP_015672997.1,Nana09585-RA
XP_015686547.1,Nana03048-RA
XP_015686049.1,Nana08980-RA
XP_015687661.1,Nana03036-RA
XP_015676289.1,Nana03197-RA
XP_029139532.1,Nana02884-RA
XP_015675885.1,Nana08695-RA
XP_015676186.1,Nana02907-RA
XP_015678036.1,Nana02659-RA
XP_015678783.1,Nana02487-RA
XP_029140304.1,Nana02193-RA
XP_015673225.2,Nana02194-RA
XP_015672373.1,Nana02123-RA
XP_015672384.1,Nana02122-RA
XP_015673361.1,Nana08143-RA
XP_015682164.1,Nana08144-RA
XP_015680093.1,Nana08115-RA
XP_029141400.1,Nana07998-RA
XP_015681423.1,Nana07886-RA
XP_015681474.1,Nana01822-RA
XP_029142212.1,Nana07808-RA
XP_015680988.1,Nana07814-RA
XP_015683110.1,Nana07631-RA
XP_015673907.1,Nana01662-RA
XP_015673977.1,Nana01416-RA
XP_015673510.1,Nana01125-RA
XP_029143029.1,Nana00856-RA
XP_015680640.1,Nana09615-RE
XP_015680641.1,Nana09615-RC
XP_015683652.1,Nana29371-RA
XP_015675856.1,Nana37632-RA
XP_015676211.1,Nana20928-RA
XP_015679695.1,Nana08814-RA
XP_015682124.1,Nana16468-RA
XP_015684128.1,Nana35242-RA
XP_029142580.1,Nana15418-RA
XP_029142585.1,Nana15420-RA
XP_015671720.2,Nana01993-RA
XP_029140885.1,Nana30795-RA
XP_015680904.1,Nana05395-RA
XP_029139066.1,Nana31815-RA
XP_015675247.1,Nana15357-RA
XP_015677340.1,Nana31421-RA
XP_015680514.2,Nana32339-RA
XP_015679269.1,Nana19267-RA
XP_015675829.1,Nana05648-RA
XP_015672151.2,Nana19155-RA
XP_029142717.1,Nana23842-RA
XP_029142596.1,Nana23841-RA
XP_015675800.1,Nana05630-RA
XP_015685323.1,Nana00277-RA
XP_029140877.1,Nana10557-RA
XP_029142259.1,Nana12430-RA
XP_015674657.1,Nana03443-RA
XP_029142253.1,Nana23437-RA
XP_015668360.1,Nana28967-RA
XP_015679017.1,Nana03338-RA
XP_015674091.1,Nana33649-RA
XP_015668861.1,Nana36255-RA
XP_015675376.1,Nana19420-RA
XP_015679674.1,Nana08033-RA
XP_015674883.1,Nana08032-RA
XP_015684013.1,Nana08410-RA
XP_029142205.1,Nana08411-RA
XP_029139832.1,Nana01488-RA
XP_015680957.1,Nana13015-RA
XP_015673137.1,Nana08406-RB
XP_029142055.1,Nana24271-RA
XP_029139573.1,Nana36605-RA
XP_015666532.1,Nana32775-RA
XP_015679217.1,Nana01912-RA
XP_015679220.1,Nana01910-RA
XP_029140542.1,Nana23885-RA
XP_015674588.1,Nana23886-RA
XP_015674791.1,Nana03399-RA
XP_029139317.1,Nana37662-RA
XP_015665700.1,Nana09400-RA
XP_015669742.1,Nana16099-RA
XP_015669938.1,Nana18285-RA
XP_029139265.1,Nana12766-RA
XP_015668226.1,Nana37172-RA
XP_015681789.1,Nana13574-RA
XP_029142009.1,Nana00150-RA
XP_015675066.1,Nana11446-RA
XP_029140936.1,Nana05836-RA
XP_015668687.1,Nana14717-RA
XP_015686944.1,Nana22938-RA
XP_029139084.1,Nana15720-RA
XP_015678660.1,Nana24608-RA
XP_015671576.1,Nana30400-RA
XP_015680216.1,Nana38954-RA
XP_015681142.1,Nana00955-RA
XP_015672744.1,Nana27284-RA
XP_015671853.1,Nana16712-RB
XP_015677431.1,Nana14272-RA
XP_015683954.1,Nana13312-RA
XP_015675677.1,Nana33256-RA
XP_029139065.1,Nana31814-RA
XP_015669726.1,Nana05394-RA
XP_029142165.1,Nana17170-RA
XP_015687148.1,Nana36737-RC
XP_015687477.2,Nana15306-RA
XP_015672014.1,Nana28155-RA
XP_015684060.1,Nana35436-RA
XP_015667905.1,Nana02854-RA
XP_015672256.2,Nana10395-RA
XP_029140485.1,Nana11119-RA
XP_015687898.1,Nana32667-RA
XP_015672338.2,Nana01718-RA
XP_015668713.1,Nana16497-RA
XP_015671694.1,Nana33173-RA
XP_015682159.2,Nana16419-RA
XP_015679578.1,Nana03689-RA
XP_015681053.1,Nana05948-RA
XP_015675468.1,Nana00718-RA
XP_015674258.1,Nana36387-RA
XP_015677749.1,Nana11265-RA
XP_015677750.1,Nana11264-RB
XP_015666204.1,Nana06295-RA
XP_015679849.2,Nana30492-RA
XP_015686874.1,Nana30499-RA
XP_015673321.1,Nana34536-RE
XP_015674311.1,Nana28266-RA
XP_015669136.1,Nana34838-RA
XP_015671488.1,Nana01435-RA
XP_015672091.1,Nana30275-RA
XP_015667209.1,Nana21996-RA
XP_015677710.1,Nana38823-RA
XP_015675225.1,Nana05096-RA
XP_015673247.1,Nana04061-RA
XP_015669154.2,Nana34901-RA
XP_015671374.1,Nana31111-RA
XP_015688023.1,Nana21207-RA
XP_015677186.1,Nana15989-RA
XP_015667510.1,Nana21346-RA
XP_029138920.1,Nana21361-RA
XP_015665412.1,Nana06103-RA
XP_015667739.1,Nana10759-RA
XP_015676219.1,Nana26790-RA
XP_015680529.1,Nana18585-RA
XP_029140708.1,Nana04577-RA
XP_015678180.2,Nana19349-RA
XP_015678756.1,Nana33069-RA
XP_029139491.1,Nana28854-RA
XP_029141185.1,Nana20693-RA
XP_015667339.1,Nana21449-RA
XP_015671013.1,Nana09961-RA
XP_015673262.1,Nana05921-RC
XP_029140573.1,Nana33959-RA
XP_015676902.1,Nana00482-RA
XP_015666121.1,Nana21430-RA
XP_015670925.1,Nana34752-RA
XP_015672912.1,Nana20617-RA
XP_015671952.1,Nana04176-RA
XP_015678152.1,Nana36827-RA
XP_015665873.2,Nana23249-RA
XP_029139100.1,Nana21639-RA
XP_015684722.1,Nana20565-RA
XP_015666417.1,Nana23674-RA
XP_029138946.1,Nana21721-RA
XP_015666061.1,Nana21778-RA
XP_015666067.1,Nana21792-RB
XP_015679073.1,Nana27547-RA
XP_015679352.2,Nana27382-RA
XP_015681659.1,Nana20184-RA
XP_029139772.1,Nana00653-RA
XP_015666662.1,Nana22457-RA
XP_015666661.1,Nana22458-RA
XP_015666664.1,Nana22461-RA
XP_015685629.1,Nana06918-RA
XP_015679985.1,Nana20146-RC
XP_029141554.1,Nana14858-RA
XP_015684659.1,Nana22639-RA
XP_015679734.1,Nana20125-RA
XP_015684303.1,Nana20120-RA
XP_015667555.1,Nana22663-RA
XP_015667556.1,Nana22664-RA
XP_015669636.1,Nana20065-RA
XP_015669000.1,Nana27212-RA
XP_015670255.1,Nana22909-RA
XP_029143051.1,Nana22923-RA
XP_015687696.1,Nana22960-RA
XP_015687698.1,Nana22963-RA
XP_015669098.1,Nana19189-RA
XP_015687676.1,Nana22981-RA
XP_015677442.1,Nana19214-RA
XP_015687865.1,Nana17677-RA
XP_029143177.1,Nana23086-RA
XP_015678642.1,Nana14185-RA
XP_029143141.1,Nana14219-RA
XP_015675910.1,Nana14231-RA
XP_029141117.1,Nana26818-RA
XP_029138893.1,Nana23166-RA
XP_015665931.1,Nana23185-RA
XP_015677037.1,Nana29693-RA
XP_029139140.1,Nana26894-RA
XP_015665955.1,Nana23264-RA
XP_015685376.1,Nana14016-RA
XP_015677763.1,Nana29621-RA
XP_015667304.1,Nana26229-RA
XP_015675106.1,Nana04394-RA
XP_015674806.1,Nana26197-RA
XP_015678996.1,Nana13902-RA
XP_015672978.1,Nana26157-RA
XP_015685971.1,Nana26064-RA
XP_015672495.1,Nana13776-RA
XP_015680771.1,Nana25867-RA
XP_015683309.1,Nana25824-RA
XP_029141530.1,Nana24409-RA
XP_015681700.1,Nana24589-RA
XP_015675104.1,Nana24645-RA
XP_015686451.1,Nana18142-RA
XP_029143102.1,Nana18204-RA
XP_015671669.1,Nana25004-RA
XP_015678204.1,Nana08841-RA
XP_015672047.1,Nana18672-RA
XP_015678974.1,Nana25226-RA
XP_029139822.1,Nana17908-RA
XP_015674079.1,Nana17567-RA
XP_015680343.1,Nana12597-RA
XP_015679740.1,Nana12341-RA
XP_015672609.1,Nana12392-RA
XP_015686703.1,Nana12106-RA
XP_015672195.1,Nana11502-RA
XP_015678499.1,Nana11820-RA
XP_015674010.1,Nana11727-RA
XP_015668130.1,Nana11679-RD
XP_015667967.1,Nana11639-RD
XP_015682853.1,Nana10806-RA
XP_015676651.1,Nana10183-RA
XP_015684880.1,Nana10548-RA
XP_015682139.1,Nana05523-RA
XP_015673959.1,Nana11312-RA
XP_015684033.1,Nana05479-RA
XP_015680970.1,Nana05480-RA
XP_029142316.1,Nana10939-RA
XP_029141584.1,Nana10967-RA
XP_015680363.1,Nana10953-RA
XP_015679005.1,Nana04971-RA
XP_015678867.1,Nana04987-RA
XP_015667695.1,Nana10742-RA
XP_015674785.1,Nana04794-RA
XP_015683366.1,Nana04795-RA
XP_015678401.1,Nana10093-RA
XP_015675410.1,Nana10159-RA
XP_029141468.1,Nana04518-RA
XP_029140635.1,Nana04393-RA
XP_015675180.1,Nana04350-RA
XP_015665413.1,Nana06112-RB
XP_015680021.1,Nana09302-RA
XP_029140532.1,Nana09285-RA
XP_015672366.1,Nana09111-RA
XP_029140612.1,Nana09092-RA
XP_029140585.1,Nana03041-RA
XP_015687671.1,Nana03024-RA
XP_015667849.1,Nana02845-RA
XP_015666593.1,Nana02806-RA
XP_015679659.1,Nana02708-RA
XP_015674176.1,Nana02700-RA
XP_015671894.1,Nana00989-RA
XP_015685430.1,Nana00966-RA
XP_029140764.1,Nana08693-RA
XP_015674905.1,Nana08629-RA
XP_015677829.1,Nana08804-RA
XP_029141694.1,Nana08340-RA
XP_015678987.1,Nana08314-RA
XP_015686082.1,Nana08308-RA
XP_015682987.1,Nana02102-RA
XP_015670789.1,Nana01864-RA
XP_015682579.2,Nana07805-RA
XP_015676901.1,Nana16314-RA
XP_015683228.1,Nana07608-RA
XP_015681363.1,Nana07649-RA
XP_015672403.1,Nana01576-RA
XP_029140721.1,Nana01601-RA
XP_015677941.1,Nana01656-RA
XP_015679175.1,Nana01381-RA
XP_015681872.1,Nana01265-RA
XP_015677508.1,Nana01420-RA
XP_015673424.1,Nana00925-RA
XP_015667852.1,Nana16338-RA
XP_029138810.1,Nana06058-RA
XP_029140916.1,Nana37039-RA
XP_015673720.1,Nana27396-RB
XP_015676976.1,Nana36104-RA
XP_015685122.1,Nana17400-RA
XP_015676308.1,Nana24120-RA
XP_015668948.1,Nana06222-RA
XP_015681622.1,Nana36970-RA
XP_029139340.1,Nana29016-RB
XP_015671545.1,Nana37386-RA
XP_029142931.1,Nana24339-RA
XP_015681226.1,Nana31115-RA
XP_015681225.1,Nana31119-RA
XP_015685121.1,Nana00413-RA
XP_015679936.1,Nana35559-RA
XP_029140337.1,Nana32928-RA
XP_015670911.1,Nana34781-RA
XP_015667128.1,Nana29834-RA
XP_029139380.1,Nana22309-RA
XP_015668520.1,Nana03215-RA
XP_015668522.1,Nana03216-RA
XP_015669776.2,Nana21101-RA
XP_015674832.1,Nana13758-RA
XP_015666257.1,Nana31978-RA
XP_015674735.1,Nana03113-RA
XP_015672922.1,Nana34953-RA
XP_029140478.1,Nana36367-RC
XP_015687903.1,Nana32653-RA
XP_015669348.1,Nana30931-RA
XP_015675733.1,Nana05632-RA
XP_015675808.1,Nana05633-RA
XP_015679758.1,Nana08923-RA
XP_015668605.1,Nana15116-RA
XP_015675467.1,Nana00715-RA
XP_015668885.1,Nana36167-RA
XP_015677595.1,Nana19112-RA
XP_029142583.1,Nana36137-RA
XP_015686195.1,Nana36137-RB
XP_015684111.1,Nana12437-RA
XP_015679499.1,Nana12438-RA
XP_015674663.2,Nana03438-RA
XP_015679941.1,Nana16851-RA
XP_015682312.1,Nana36922-RB
XP_015668829.1,Nana36165-RA
XP_015683344.2,Nana34209-RA
XP_029141039.1,Nana09514-RA
XP_015674336.1,Nana03343-RA
XP_015687636.1,Nana27182-RA
XP_029140006.1,Nana15003-RA
XP_015666320.1,Nana19414-RA
XP_015666775.1,Nana19398-RA
XP_015672431.1,Nana09823-RA
XP_015665522.1,Nana06212-RA
XP_015683798.1,Nana24066-RA
XP_015676458.1,Nana32975-RA
XP_015683585.1,Nana30365-RA
XP_015677706.1,Nana05348-RA
XP_015681948.1,Nana35903-RA
XP_015671714.2,Nana33201-RA
XP_015678792.1,Nana00319-RA
XP_015676837.1,Nana08422-RA
XP_015676838.1,Nana08423-RA
XP_029139531.1,Nana08416-RA
XP_015666705.1,Nana08011-RA
XP_029139083.1,Nana28098-RA
XP_015669748.1,Nana16107-RA
XP_015670032.1,Nana18290-RA
XP_015687952.1,Nana32591-RA
XP_015671455.1,Nana30165-RA
XP_015671453.1,Nana30167-RA
XP_015683820.1,Nana12785-RA
XP_015667746.1,Nana10715-RA
XP_015671840.2,Nana10357-RA
XP_015670245.1,Nana31296-RA
XP_015682848.1,Nana00167-RA
XP_015684141.1,Nana28384-RA
XP_015684140.1,Nana28385-RA
XP_015676228.1,Nana28617-RA
XP_029140342.1,Nana28641-RA
XP_015679943.1,Nana16860-RA
XP_015683225.1,Nana32096-RA
XP_015666997.1,Nana15717-RA
XP_015678707.1,Nana14798-RA
XP_015676977.2,Nana36106-RA
XP_015668907.1,Nana14810-RA
XP_029140597.1,Nana16751-RA
XP_015666391.1,Nana14505-RA
XP_015679934.1,Nana35568-RA
XP_015669907.1,Nana25837-RA
XP_029139289.1,Nana28896-RA
XP_015668062.1,Nana28895-RA
XP_015668057.1,Nana28891-RA
XP_015681343.1,Nana34271-RA
XP_015684018.1,Nana34275-RA
XP_015670825.1,Nana09229-RA
XP_029141674.1,Nana37197-RA
XP_015672944.1,Nana34923-RA
XP_015686990.1,Nana26081-RA
XP_015671518.1,Nana06956-RA
XP_015671250.1,Nana34711-RA
XP_015679561.1,Nana13320-RC
XP_015683030.2,Nana37683-RA
XP_015669342.2,Nana30919-RA
XP_015669288.1,Nana24719-RA
XP_015674957.2,Nana19620-RA
XP_015687080.1,Nana16604-RA
XP_015668584.1,Nana15750-RA
XP_015682233.1,Nana31680-RA
XP_029139894.1,Nana10904-RA
XP_015677355.1,Nana16607-RA
XP_015677138.1,Nana33878-RA
XP_015679853.1,Nana30486-RB
XP_015673619.1,Nana13611-RB
XP_015673134.1,Nana10417-RA
XP_015673551.1,Nana29544-RB
XP_015672928.1,Nana34987-RA
XP_015679152.1,Nana16530-RA
XP_029139249.1,Nana16368-RA
XP_029141378.1,Nana16385-RA
XP_029140890.1,Nana30817-RA
XP_015673024.1,Nana31368-RA
XP_015676728.1,Nana11281-RA
XP_029139718.1,Nana28489-RA
XP_015683827.1,Nana19041-RA
XP_015669150.1,Nana34883-RA
XP_015679552.1,Nana24244-RA
XP_029141703.1,Nana35620-RA
XP_015686515.1,Nana19696-RA
XP_029139944.1,Nana19697-RA
XP_015671308.1,Nana19702-RA
XP_015685599.1,Nana19703-RA
XP_015674939.1,Nana15353-RA
XP_015682096.1,Nana36759-RA
XP_015684598.1,Nana12940-RA
XP_015667455.2,Nana34617-RA
XP_015667208.1,Nana21985-RA
XP_015668654.1,Nana38727-RA
XP_029139535.1,Nana00784-RA
XP_015678679.1,Nana16130-RA
XP_015673277.1,Nana14131-RA
XP_015675320.1,Nana11946-RA
XP_015675317.1,Nana11941-RA
XP_015677728.1,Nana24255-RA
XP_015676019.1,Nana03538-RA
XP_015676201.1,Nana15997-RA
XP_029140679.1,Nana08777-RA
XP_015688036.1,Nana21237-RA
XP_015677739.1,Nana15978-RA
XP_015688033.1,Nana21258-RA
XP_029140109.1,Nana21267-RA
XP_015687607.2,Nana08758-RA
XP_015673862.1,Nana15922-RA
XP_015674290.1,Nana11114-RA
XP_015674288.1,Nana11113-RA
XP_015670170.1,Nana15846-RA
XP_029138916.1,Nana21365-RA
