P_Mucros.pep,E_macularius_gene_v1.0.pep
XP_015681812.1,CCG013183.2
XP_015674023.1,CCG003953.1
XP_015687353.1,CCG009647.1
XP_029139447.1,CCG015905.1
XP_015685807.1,CCG018996.1
XP_015680619.1,CCG014792.1
XP_029139186.1,CCG017367.1
XP_029140486.1,CCG001348.1
XP_029142275.1,CCG019595.5
XP_015676142.1,CCG019017.1
XP_015684313.1,CCG007861.2
XP_029141854.1,CCG023642.1
XP_015679421.1,CCG002478.1
XP_029141607.1,CCG007571.1
XP_015678070.1,CCG015726.1
XP_015687712.1,CCG017682.1
XP_015677803.1,CCG020888.1
XP_015671677.1,CCG008044.1
XP_015677877.1,CCG021900.1
XP_015674020.1,CCG003952.2
XP_015674359.1,CCG012259.1
XP_029139873.1,CCG020798.1
XP_015670919.1,CCG020799.1
XP_015677626.1,CCG011475.1
XP_015686048.1,CCG001884.1
XP_029142439.1,CCG010992.1
XP_015687998.1,CCG003107.1
XP_015677206.1,CCG018052.1
XP_029142185.1,CCG024329.1
XP_015682433.1,CCG024327.1
XP_015677772.1,CCG002079.1
XP_015671644.1,CCG014545.1
XP_029139740.1,CCG023413.1
XP_029139190.1,CCG006192.1
XP_015677500.1,CCG012857.1
XP_015683061.1,CCG002908.1
XP_015667044.1,CCG024023.2
XP_029140322.1,CCG008018.1
XP_015683051.1,CCG017053.2
XP_029140707.1,CCG007640.1
XP_015673853.1,CCG006416.1
XP_015683474.1,CCG023503.1
XP_015683282.1,CCG018158.1
XP_029140715.1,CCG013034.1
XP_015668078.1,CCG017300.2
XP_029142192.1,CCG015233.3
XP_015671871.2,CCG023971.1
XP_029143149.1,CCG016910.1
XP_015681617.1,CCG013029.3
XP_015668625.1,CCG023799.2
XP_015674012.1,CCG005225.1
XP_015679360.1,CCG016500.1
XP_029142772.1,CCG014318.1
XP_015678497.1,CCG021481.2
XP_015671220.1,CCG004356.1
XP_029141251.1,CCG005554.1
XP_015678184.1,CCG005556.1
XP_015672260.1,CCG003216.1
XP_015687312.1,CCG013123.2
XP_015669658.1,CCG002863.1
XP_029139611.1,CCG002865.1
XP_015675547.1,CCG005765.1
XP_015672104.1,CCG015564.1
XP_015665953.1,CCG012177.1
XP_015666099.1,CCG013270.1
XP_015682541.1,CCG004728.1
XP_015669078.1,CCG006937.1
XP_015669202.1,CCG012590.1
XP_015675860.1,CCG013587.1
XP_015671747.1,CCG001539.1
XP_029139728.1,CCG022503.1
XP_015678356.1,CCG020876.1
XP_015674930.1,CCG007383.1
XP_015687877.1,CCG013920.1
XP_015669457.1,CCG014954.1
XP_015666792.1,CCG016461.1
XP_015687878.1,CCG013919.1
XP_015678237.1,CCG010537.1
XP_015687657.1,CCG017063.1
XP_015687765.1,CCG000821.1
XP_015687651.1,CCG000969.1
XP_015679361.2,CCG020557.1
XP_015677600.1,CCG023993.1
XP_015682137.1,CCG022825.1
XP_015669039.1,CCG009521.1
XP_015674803.1,CCG015294.1
XP_015675310.1,CCG020986.1
XP_029139536.1,CCG018448.1
XP_029142145.1,CCG023353.2
XP_015685250.1,CCG022900.1
XP_015683004.1,CCG004760.2
XP_015670397.1,CCG020183.1
XP_015686225.1,CCG002267.1
XP_015681690.1,CCG001286.1
XP_015674895.1,CCG021668.1
XP_015679476.1,CCG009637.1
XP_015671361.1,CCG023892.2
XP_015665552.2,CCG018390.1
XP_015675453.1,CCG013950.1
XP_015678498.1,CCG022970.1
XP_015671633.1,CCG016524.1
XP_015680582.1,CCG023015.1
XP_029139150.1,CCG019718.1
XP_015682591.1,CCG000074.1
XP_015671421.1,CCG015784.1
XP_015680792.1,CCG013784.1
XP_015684331.1,CCG002391.1
XP_015681636.1,CCG015534.1
XP_015674750.1,CCG005010.1
XP_015674627.1,CCG021761.1
XP_029139838.1,CCG004141.3
XP_015674390.1,CCG020524.1
XP_029141324.1,CCG021245.1
XP_015675606.1,CCG012531.1
XP_015676223.1,CCG007746.1
XP_029141733.1,CCG016974.1
XP_015668135.1,CCG013641.1
XP_015674898.1,CCG007888.1
XP_015670659.1,CCG004486.1
XP_015678770.1,CCG023975.1
XP_029139220.1,CCG021933.2
XP_015683108.1,CCG009229.2
XP_015683201.1,CCG018636.1
XP_015685875.1,CCG007998.1
XP_029141996.1,CCG013138.1
XP_015671432.1,CCG002156.3
XP_015687407.1,CCG019303.1
XP_015679627.1,CCG013222.1
XP_015682189.2,CCG011079.1
XP_015671090.1,CCG007358.1
XP_015674400.1,CCG004724.1
XP_015686768.1,CCG011401.1
XP_015675197.1,CCG023501.1
XP_029142531.1,CCG002930.1
XP_015678639.1,CCG006816.1
XP_015674958.1,CCG019799.1
XP_015670707.1,CCG016031.1
XP_015665538.2,CCG001631.1
XP_015687047.1,CCG003429.1
XP_015679778.1,CCG019009.1
XP_015666306.1,CCG022303.1
XP_015683090.1,CCG014906.1
XP_015671841.1,CCG021591.1
XP_015683068.1,CCG002898.1
XP_015674674.1,CCG024274.3
XP_015680729.1,CCG003488.1
XP_029139404.1,CCG023789.2
XP_015668543.1,CCG022757.2
XP_015682367.1,CCG017423.1
XP_015670700.1,CCG004152.1
XP_029140616.1,CCG022744.1
XP_029140482.1,CCG023424.1
XP_015667497.1,CCG006186.2
XP_015669951.1,CCG011018.2
XP_015667461.1,CCG012025.1
XP_015683138.1,CCG013649.1
XP_015685614.1,CCG004787.1
XP_029139369.1,CCG020734.1
XP_015683265.1,CCG017726.1
XP_015680578.1,CCG018562.1
XP_015667374.1,CCG006996.1
XP_015680322.1,CCG021627.1
XP_015670875.1,CCG021482.1
XP_015667583.1,CCG021662.2
XP_015687617.1,CCG017686.1
XP_015687629.1,CCG017684.1
XP_029143068.1,CCG015790.1
XP_015685116.1,CCG022231.1
XP_015675387.1,CCG006452.1
XP_015681936.1,CCG023320.1
XP_015675779.2,CCG016168.1
XP_015682666.1,CCG000719.1
XP_015670660.1,CCG004487.1
XP_015674075.1,CCG006062.1
XP_015673160.1,CCG007207.1
XP_029141223.1,CCG009024.1
XP_015682285.1,CCG020217.1
XP_015670531.1,CCG009761.1
XP_015667467.2,CCG012021.1
XP_015681782.1,CCG002193.1
XP_015670829.1,CCG011689.1
XP_015678967.1,CCG002647.1
XP_029139329.1,CCG003897.1
XP_015669509.1,CCG007702.1
XP_029138985.1,CCG007164.1
XP_015683773.1,CCG005095.1
XP_029138805.1,CCG002837.2
XP_015667564.1,CCG024494.1
XP_015669853.1,CCG021889.1
XP_015674741.1,CCG006349.2
XP_015676836.1,CCG021538.1
XP_015687922.1,CCG022691.1
XP_029142520.1,CCG001340.2
XP_015670843.1,CCG022239.1
XP_015672743.1,CCG008835.1
XP_015674669.1,CCG003961.1
XP_015666621.1,CCG024457.2
XP_015669223.1,CCG016370.1
XP_015671674.2,CCG022194.1
XP_015681507.1,CCG011365.1
XP_029141384.1,CCG021430.4
XP_029142536.1,CCG018760.2
XP_015678777.1,CCG013880.1
XP_015678433.1,CCG003740.1
XP_015672969.1,CCG018022.1
XP_029142308.1,CCG002906.2
XP_015681875.1,CCG020296.1
XP_015675644.1,CCG008021.1
XP_029142150.1,CCG010800.1
XP_029139038.1,CCG002141.1
XP_029141459.1,CCG016635.1
XP_015675519.1,CCG018773.1
XP_015667083.1,CCG006775.1
XP_015679146.1,CCG008275.3
XP_015687034.1,CCG005030.1
XP_029141291.1,CCG006393.1
XP_015672426.1,CCG002877.1
XP_015672708.1,CCG015466.1
XP_015677541.1,CCG012972.1
XP_029140528.1,CCG015464.1
XP_015668551.1,CCG007754.1
XP_015668286.1,CCG009481.1
XP_015667639.1,CCG024534.1
XP_015687049.1,CCG022466.1
XP_015666836.1,CCG006812.1
XP_015677816.1,CCG006634.1
XP_015668365.1,CCG009868.1
XP_015673484.1,CCG007731.1
XP_015679081.1,CCG019641.1
XP_015675431.1,CCG011588.1
XP_029138869.1,CCG009251.1
XP_015665927.1,CCG017819.2
XP_015673220.2,CCG003318.1
XP_015665680.1,CCG009320.1
XP_015667760.1,CCG004306.1
XP_015667719.1,CCG006586.1
XP_015669290.1,CCG003917.1
XP_015670381.1,CCG005810.1
XP_015678436.1,CCG018063.1
XP_015671659.1,CCG015059.1
XP_029140604.1,CCG002429.1
XP_015675571.1,CCG006712.1
XP_029140716.1,CCG006713.1
XP_015667693.1,CCG016383.1
XP_015683495.1,CCG000945.1
XP_029139693.1,CCG011035.1
XP_015678809.1,CCG024710.1
XP_015668723.1,CCG013722.1
XP_015668772.1,CCG019472.1
XP_015668499.1,CCG001418.1
XP_029141715.1,CCG000940.1
XP_015679973.1,CCG017988.1
XP_029140305.1,CCG004293.1
XP_029140844.1,CCG005914.1
XP_015674559.1,CCG009673.1
XP_015673003.1,CCG006136.1
XP_029139618.1,CCG011278.1
XP_015675048.1,CCG005769.1
XP_015675046.1,CCG005770.1
XP_015672853.2,CCG011058.1
XP_015680807.1,CCG014802.1
XP_015676601.1,CCG014356.1
XP_029141496.1,CCG016992.1
XP_015672973.1,CCG018023.1
XP_029140354.1,CCG002415.1
XP_015673972.1,CCG020435.1
XP_015683595.1,CCG019706.1
XP_015677641.1,CCG017729.1
XP_015677642.1,CCG017728.1
XP_015672935.1,CCG013215.1
XP_015672686.1,CCG007086.1
XP_015670329.1,CCG021844.1
XP_015666647.1,CCG004613.3
XP_015666129.1,CCG006755.1
XP_015670096.1,CCG022500.1
XP_029141271.1,CCG001379.1
XP_015670685.1,CCG004148.1
XP_015676914.1,CCG005118.1
XP_015680715.1,CCG008577.1
XP_015668186.1,CCG012942.1
XP_015668847.1,CCG006474.1
XP_015684666.1,CCG024655.1
XP_015669395.2,CCG000841.2
XP_029139554.1,CCG000848.1
XP_015671499.1,CCG013955.1
XP_029141667.1,CCG000716.1
XP_015670415.1,CCG024567.1
XP_015667464.1,CCG012032.1
XP_015683082.1,CCG005094.1
XP_015681814.1,CCG020848.1
XP_015676279.1,CCG008436.1
XP_029140846.1,CCG015101.1
XP_029142220.1,CCG001615.1
XP_029140883.1,CCG019417.1
XP_029142167.1,CCG005358.1
XP_015676681.1,CCG011169.1
XP_015672883.1,CCG012698.1
XP_015672940.1,CCG013197.1
XP_015682412.1,CCG005343.1
XP_029141785.1,CCG002788.1
XP_029139349.1,CCG013427.2
XP_029142100.1,CCG015750.1
XP_015672010.1,CCG004507.1
XP_029139039.1,CCG016304.1
XP_015678234.1,CCG015676.3
XP_015678297.1,CCG022862.1
XP_015674222.1,CCG017363.1
XP_015668830.1,CCG002805.1
XP_015668892.1,CCG011801.1
XP_015676455.1,CCG018978.1
XP_015672254.1,CCG001109.1
XP_029138769.1,CCG022688.1
XP_015680210.1,CCG023965.2
XP_015677443.1,CCG008534.1
XP_029139086.1,CCG011817.1
XP_015667359.1,CCG007904.1
XP_029139414.1,CCG023762.1
XP_015671549.1,CCG005073.1
XP_015683104.1,CCG019757.1
XP_015668072.1,CCG017283.2
XP_029140207.1,CCG011639.1
XP_029139089.1,CCG021663.1
XP_015673960.1,CCG011696.1
XP_015666330.1,CCG021228.1
XP_029140867.1,CCG013471.1
XP_015677028.1,CCG004078.1
XP_015675027.1,CCG020228.1
XP_015672926.1,CCG003333.1
XP_015681600.1,CCG001838.1
XP_015679602.2,CCG009240.1
XP_029140081.1,CCG002508.1
XP_015684175.1,CCG019832.3
XP_029140503.1,CCG020971.1
XP_015671393.1,CCG015508.1
XP_015683743.1,CCG008720.1
XP_015672011.1,CCG004509.1
XP_015679842.1,CCG017741.1
XP_015669775.1,CCG001641.1
XP_015665960.2,CCG015326.1
XP_015673034.1,CCG023197.1
XP_015669769.1,CCG023907.1
XP_029142107.1,CCG019116.2
XP_015679556.1,CCG023274.1
XP_015667634.1,CCG010332.1
XP_015675718.1,CCG008842.1
XP_015676503.1,CCG012513.1
XP_015672796.1,CCG006228.1
XP_015688005.2,CCG003076.1
XP_015675492.1,CCG023139.1
XP_029139268.1,CCG019649.1
XP_029139593.1,CCG003190.1
XP_015684637.1,CCG024319.2
XP_015667501.2,CCG006190.1
XP_015671230.1,CCG013538.1
XP_015666305.1,CCG022305.1
XP_015676007.1,CCG022307.1
XP_015668494.1,CCG000464.1
XP_029141118.1,CCG014972.1
XP_015667844.1,CCG013565.1
XP_015683148.1,CCG004754.1
XP_015670139.1,CCG004489.1
XP_015686108.1,CCG018634.3
XP_015669750.1,CCG020506.1
XP_015678169.1,CCG014047.1
XP_029139848.1,CCG024693.1
XP_015685518.1,CCG001291.3
XP_015667024.1,CCG017261.1
XP_015668893.1,CCG010514.1
XP_015677576.1,CCG022330.1
XP_015677581.2,CCG022331.1
XP_029142899.1,CCG007186.1
XP_015672907.2,CCG014783.3
XP_015678061.1,CCG013044.1
XP_015666445.1,CCG008273.1
XP_015666682.1,CCG008272.1
XP_015666278.1,CCG018911.1
XP_029139612.1,CCG002867.1
XP_015675811.2,CCG015484.1
XP_029140360.1,CCG008978.1
XP_015673714.1,CCG016343.1
XP_015667247.1,CCG007276.1
XP_015668330.1,CCG002629.1
XP_029139898.1,CCG007361.2
XP_015669214.2,CCG008626.1
XP_015685448.1,CCG008627.1
XP_015673151.1,CCG010632.1
XP_015671685.1,CCG008631.3
XP_015671681.1,CCG008634.1
XP_015677210.1,CCG004135.1
XP_015675258.1,CCG018376.1
XP_015668275.1,CCG003032.1
XP_015666815.2,CCG004629.1
XP_015681592.1,CCG016862.1
XP_015667532.1,CCG020491.2
XP_015676827.1,CCG021539.1
XP_015667147.1,CCG012394.1
XP_015672510.1,CCG011286.2
XP_015685174.1,CCG022891.1
XP_015684547.1,CCG016877.1
XP_029141811.1,CCG022402.4
XP_015683171.1,CCG013318.1
XP_029140970.1,CCG014760.1
XP_015683501.1,CCG001204.1
XP_015682050.1,CCG006679.1
XP_015674184.1,CCG024396.1
XP_015686377.1,CCG006544.1
XP_015687259.2,CCG004119.1
XP_029141520.1,CCG013892.1
XP_015671136.2,CCG006100.1
XP_015678975.1,CCG019025.1
XP_029141263.1,CCG018401.1
XP_015674048.1,CCG007599.1
XP_029139308.1,CCG016522.1
XP_015675525.1,CCG019235.1
XP_015681734.1,CCG020286.1
XP_015665558.2,CCG001148.1
XP_015685177.1,CCG002080.1
XP_029140802.1,CCG007544.1
XP_015670109.1,CCG006515.1
XP_015674552.1,CCG002112.2
XP_015676960.1,CCG016657.1
XP_029139624.1,CCG010130.1
XP_015671216.1,CCG017935.1
XP_015670436.1,CCG006913.1
XP_015679608.1,CCG002393.1
XP_015675385.1,CCG020392.1
XP_015679797.1,CCG012937.1
XP_029140633.1,CCG010291.1
XP_029139818.1,CCG014800.1
XP_029140618.1,CCG023439.1
XP_015675182.1,CCG002044.1
XP_015677368.1,CCG001843.1
XP_015673084.1,CCG019853.1
XP_015685593.1,CCG001829.2
XP_015678273.1,CCG008926.2
XP_029140108.1,CCG016410.1
XP_015672179.1,CCG016409.2
XP_015679126.1,CCG002967.1
XP_015678726.1,CCG023074.1
XP_015671458.1,CCG020646.1
XP_015687197.1,CCG016541.1
XP_015682209.1,CCG020640.1
XP_029141495.1,CCG008698.1
XP_015672865.1,CCG005316.1
XP_015687568.1,CCG011132.1
XP_015673574.1,CCG002414.1
XP_015682996.1,CCG021964.1
XP_015682875.1,CCG005749.1
XP_015676697.1,CCG018793.1
XP_029140874.1,CCG007026.1
XP_029139936.1,CCG000930.2
XP_015667475.1,CCG012051.2
XP_015671452.1,CCG016581.1
XP_015678800.1,CCG022747.1
XP_015675772.1,CCG017049.1
XP_015683409.1,CCG003447.1
XP_015682776.1,CCG008732.1
XP_015684661.1,CCG016782.1
XP_015677093.1,CCG014083.2
XP_015674102.1,CCG006984.4
XP_015681929.1,CCG008787.1
XP_015666053.1,CCG008809.1
XP_015666110.1,CCG002225.1
XP_015668193.1,CCG021728.1
XP_015668189.1,CCG021732.1
XP_015667168.1,CCG021183.1
XP_015682369.1,CCG017422.3
XP_015683932.1,CCG008657.1
XP_015680062.1,CCG022037.1
XP_015672103.1,CCG008495.1
XP_015678680.1,CCG003835.3
XP_029140099.1,CCG002987.1
XP_015679004.1,CCG012934.1
XP_015675877.1,CCG020915.1
XP_015687147.1,CCG023168.1
XP_015682395.1,CCG012272.1
XP_029141528.1,CCG012266.2
XP_015681816.1,CCG002256.2
XP_015685922.1,CCG011496.1
XP_015672323.1,CCG012851.1
XP_029139417.1,CCG023755.3
XP_015687249.1,CCG020866.1
XP_015665824.1,CCG014420.1
XP_015665823.1,CCG014424.1
XP_029142758.1,CCG022430.1
XP_015680204.1,CCG003939.1
XP_015674716.1,CCG020126.1
XP_015675690.1,CCG014283.1
XP_015679625.1,CCG013218.2
XP_015684035.1,CCG008362.1
XP_029141180.1,CCG012525.1
XP_029141124.1,CCG020082.2
XP_029139001.1,CCG024450.2
XP_029141360.1,CCG015239.1
XP_015681928.1,CCG023321.1
XP_029139464.1,CCG001778.1
XP_015679327.1,CCG008826.2
XP_015671401.1,CCG016573.1
XP_015674586.1,CCG013488.1
XP_015685017.1,CCG012275.1
XP_029141018.1,CCG013490.1
XP_015674245.2,CCG009084.2
XP_015674217.1,CCG016364.1
XP_015684051.1,CCG023114.1
XP_029140164.1,CCG002999.1
XP_015687915.1,CCG002296.1
XP_015683463.1,CCG010395.1
XP_015681272.1,CCG023561.1
XP_015675780.1,CCG016169.1
XP_029142904.1,CCG023804.1
XP_015680879.2,CCG005043.1
XP_015687896.1,CCG022678.2
XP_015687833.1,CCG006379.1
XP_015678431.1,CCG008139.3
XP_015683269.1,CCG019309.1
XP_015678516.1,CCG019119.1
XP_015677170.1,CCG023240.1
XP_015668378.1,CCG013403.1
XP_015676738.1,CCG003841.1
XP_029141012.1,CCG023243.1
XP_015685059.1,CCG020212.1
XP_015676176.1,CCG020675.1
XP_015676233.1,CCG007963.2
XP_015670896.1,CCG011423.2
XP_015667387.1,CCG006990.1
XP_029141718.1,CCG003705.2
XP_029140777.1,CCG016215.1
XP_015679290.1,CCG012264.1
XP_029139286.1,CCG017276.2
XP_015670801.1,CCG011690.1
XP_015680499.1,CCG007785.1
XP_029140837.1,CCG018829.2
XP_029138979.1,CCG020061.1
XP_015682777.1,CCG011665.1
XP_015675460.2,CCG003577.1
XP_015675655.1,CCG003343.1
XP_029140823.1,CCG009585.1
XP_029142326.1,CCG010560.1
XP_015677116.1,CCG018160.1
XP_015687927.1,CCG022669.1
XP_015683278.1,CCG016800.2
XP_015670291.1,CCG008992.1
XP_015684158.1,CCG012809.2
XP_015667859.1,CCG010437.1
XP_015679297.1,CCG022399.1
XP_015684283.1,CCG022954.1
XP_015668630.1,CCG023791.3
XP_015683889.1,CCG022962.1
XP_015682234.1,CCG012843.3
XP_029142274.1,CCG019937.1
XP_029139180.1,CCG017374.1
XP_015670299.1,CCG009000.2
XP_015667638.1,CCG010334.2
XP_029140079.1,CCG004511.1
XP_015679039.1,CCG004707.1
XP_015683078.1,CCG002909.1
XP_015673564.1,CCG003576.1
XP_015681744.1,CCG010079.2
XP_015678805.1,CCG023271.2
XP_029140490.1,CCG002524.1
XP_029139110.1,CCG021168.2
XP_029141828.1,CCG002522.1
XP_029141505.1,CCG002482.1
XP_029142701.1,CCG006786.1
XP_029142655.1,CCG001212.1
XP_015674302.2,CCG003911.1
XP_015677874.1,CCG021902.1
XP_015678133.1,CCG023095.2
XP_029139261.1,CCG022143.1
XP_015686188.1,CCG003281.1
XP_015687030.1,CCG005029.1
XP_015673629.1,CCG024638.1
XP_015674446.1,CCG024259.1
XP_015680247.1,CCG022369.2
XP_015680252.1,CCG020837.1
XP_015666973.1,CCG002075.1
XP_015677609.1,CCG022610.1
XP_015676595.1,CCG019516.1
XP_015666155.2,CCG006749.1
XP_015670633.1,CCG011235.1
XP_015667041.1,CCG024019.1
XP_015673367.1,CCG015789.1
XP_015678187.1,CCG007226.1
XP_015665892.1,CCG009301.1
XP_015666139.1,CCG006767.1
XP_015667016.1,CCG000695.1
XP_029139019.1,CCG012322.1
XP_029143135.1,CCG008907.3
XP_015687376.2,CCG024681.1
XP_029141992.1,CCG004026.1
XP_015677241.1,CCG017018.1
XP_015666116.1,CCG024696.1
XP_015673422.1,CCG012976.1
XP_015673621.1,CCG013244.2
XP_015686404.1,CCG019818.1
XP_015671145.1,CCG013568.1
XP_029141102.1,CCG010936.1
XP_015667064.1,CCG001167.1
XP_015685820.1,CCG020737.1
XP_029139101.1,CCG006780.1
XP_015681216.1,CCG008289.1
XP_015666280.1,CCG014878.1
XP_015666050.1,CCG013271.1
XP_015671778.1,CCG003982.1
XP_015671777.1,CCG003981.1
XP_015670556.1,CCG013730.1
XP_015668319.1,CCG002628.1
XP_015671886.1,CCG012458.1
XP_029140012.1,CCG015808.1
XP_015683230.1,CCG013332.4
XP_015670526.1,CCG009762.1
XP_015673623.1,CCG015073.1
XP_029139526.1,CCG008622.1
XP_015686972.1,CCG001193.1
XP_015686941.1,CCG012072.4
XP_015671756.1,CCG001555.1
XP_015668912.1,CCG008479.1
XP_015686946.2,CCG008600.1
XP_015673603.1,CCG024476.1
XP_015672049.2,CCG009718.1
XP_015687675.1,CCG015811.1
XP_029143190.1,CCG000616.1
XP_015687739.1,CCG000611.1
XP_015687740.1,CCG000610.1
XP_015669453.1,CCG014950.1
XP_015676274.1,CCG005867.1
XP_015676064.1,CCG011731.1
XP_015672389.1,CCG017167.1
XP_015678836.1,CCG023121.1
XP_015669042.1,CCG009527.1
XP_015673500.1,CCG007827.2
XP_015684713.1,CCG023180.2
XP_015678536.1,CCG007831.1
XP_015686759.1,CCG018488.1
XP_029139738.1,CCG018487.1
XP_015670166.1,CCG003630.1
XP_015665668.1,CCG009335.1
XP_015665633.1,CCG009329.1
XP_015673792.1,CCG007739.1
XP_015685873.1,CCG023725.1
XP_029139537.1,CCG018445.1
XP_015675244.1,CCG000515.1
XP_015685980.1,CCG018421.2
XP_015680741.1,CCG010164.1
XP_015670393.1,CCG010906.1
XP_015678080.1,CCG000661.1
XP_015687441.1,CCG023506.2
XP_015674884.1,CCG003381.1
XP_015679605.1,CCG009717.1
XP_015684066.1,CCG008415.1
XP_015682906.1,CCG006683.1
XP_029140422.1,CCG000444.1
XP_015671666.1,CCG008046.1
XP_015666201.2,CCG017767.1
XP_015672390.1,CCG006706.4
XP_015673514.1,CCG021115.1
XP_015676106.1,CCG007540.1
XP_015677566.1,CCG020034.1
XP_015672624.1,CCG000556.1
XP_015673760.1,CCG000535.3
XP_029139789.1,CCG009417.1
XP_015680140.1,CCG023831.1
XP_015670599.1,CCG007034.1
XP_029139231.1,CCG006616.1
XP_029143084.1,CCG022880.1
XP_015674138.1,CCG001892.1
XP_015673652.1,CCG019097.1
XP_015671297.1,CCG020556.1
XP_015675396.1,CCG020393.2
XP_029140676.1,CCG020387.4
XP_015675412.1,CCG001060.1
XP_015678733.1,CCG009729.1
XP_015680698.1,CCG016108.1
XP_029140156.1,CCG024424.1
XP_015679412.1,CCG023878.1
XP_015681900.1,CCG023880.1
XP_015675204.1,CCG011760.1
XP_015677319.1,CCG009769.1
XP_015670669.1,CCG016426.1
XP_015672185.1,CCG016417.2
XP_015672997.1,CCG006131.1
XP_015686577.1,CCG011026.1
XP_015686547.1,CCG019151.1
XP_015686049.1,CCG005790.1
XP_029141594.1,CCG003649.1
XP_015679684.1,CCG003650.1
XP_015671897.1,CCG012679.1
XP_015674186.1,CCG008872.1
XP_015675885.1,CCG016967.1
XP_015676186.1,CCG001221.1
XP_015678035.1,CCG014766.1
XP_015687899.1,CCG019494.3
XP_015677822.1,CCG006633.1
XP_015678783.1,CCG001120.1
XP_015673225.2,CCG020921.1
XP_015672373.1,CCG007843.1
XP_015672384.1,CCG021801.1
XP_015680093.1,CCG021060.1
XP_015681423.1,CCG004571.1
XP_015681474.1,CCG014212.1
XP_015682578.1,CCG021715.2
XP_029142212.1,CCG021713.1
XP_015680988.1,CCG021710.1
XP_015672334.1,CCG011390.1
XP_015680390.1,CCG018509.1
XP_015673907.1,CCG009457.1
XP_015673510.1,CCG016591.1
XP_015681072.1,CCG010605.1
XP_029143029.1,CCG004276.1
XP_015669161.1,CCG004265.3
XP_015676522.1,CCG014471.2
XP_015676065.1,CCG011734.1
XP_015680319.1,CCG012719.1
XP_015675856.1,CCG013597.1
XP_015679695.1,CCG004201.1
XP_015682124.1,CCG020660.1
XP_015672451.2,CCG002036.1
XP_029139413.1,CCG023775.1
XP_015681057.1,CCG014900.1
XP_015683470.1,CCG011012.3
XP_015671720.2,CCG023156.1
XP_029140885.1,CCG022079.1
XP_015680904.1,CCG013657.1
XP_029139315.1,CCG014228.1
XP_015683395.1,CCG017416.1
XP_029139721.1,CCG019897.1
XP_015675247.1,CCG020542.1
XP_015687373.1,CCG003455.1
XP_015675676.1,CCG016088.2
XP_015677340.1,CCG024003.1
XP_015680514.2,CCG005609.1
XP_015679269.1,CCG002950.1
XP_015675544.1,CCG001444.1
XP_015675829.1,CCG017247.1
XP_015672151.2,CCG013994.1
XP_015675800.1,CCG004017.1
XP_015685373.1,CCG002784.1
XP_029140877.1,CCG019421.2
XP_029142259.1,CCG015609.1
XP_015674657.1,CCG011493.1
XP_015682819.1,CCG015612.1
XP_029142253.1,CCG004778.1
XP_015683418.1,CCG021285.1
XP_015674091.1,CCG006050.2
XP_015668871.1,CCG002800.1
XP_015668861.1,CCG005432.1
XP_015680201.1,CCG003935.1
XP_015675376.1,CCG000742.1
XP_029139346.1,CCG018085.2
XP_015674883.1,CCG008731.1
XP_029141369.1,CCG007868.1
XP_015684013.1,CCG017048.1
XP_029142205.1,CCG014331.1
XP_029139832.1,CCG017808.1
XP_015680957.1,CCG006080.1
XP_015673137.1,CCG006199.1
XP_015680840.1,CCG004656.1
XP_015687170.1,CCG016234.1
XP_015680111.1,CCG019909.2
XP_029142055.1,CCG023309.1
XP_015666166.1,CCG023488.1
XP_029139573.1,CCG019089.1
XP_015668865.1,CCG006476.2
XP_015679220.1,CCG011404.1
XP_015665700.1,CCG007141.1
XP_015669938.1,CCG001744.1
XP_015686379.1,CCG016121.3
XP_029139265.1,CCG013746.1
XP_015668226.1,CCG005199.1
XP_015674094.1,CCG006059.1
XP_015681789.1,CCG006432.1
XP_015673829.1,CCG017875.2
XP_029142009.1,CCG008756.1
XP_029140936.1,CCG003843.1
XP_015678074.1,CCG016482.2
XP_015673329.1,CCG003866.1
XP_015668687.1,CCG017660.1
XP_015672600.1,CCG011637.3
XP_029139084.1,CCG014176.1
XP_029139069.1,CCG012929.1
XP_015678660.1,CCG004900.1
XP_029139856.1,CCG011711.2
XP_015679933.1,CCG010383.1
XP_015668465.1,CCG008074.3
XP_015666516.1,CCG020077.1
XP_015680216.1,CCG023832.1
XP_015681142.1,CCG016044.1
XP_015672744.1,CCG004064.1
XP_015669586.1,CCG006256.1
XP_015671853.1,CCG022423.1
XP_015677431.1,CCG021051.1
XP_029140619.1,CCG023434.2
XP_015675677.1,CCG015656.1
XP_029139763.1,CCG008997.1
XP_029139065.1,CCG012901.4
XP_015668960.1,CCG024223.1
XP_015665491.1,CCG007974.1
XP_015669726.1,CCG013658.1
XP_029140756.1,CCG003889.2
XP_015687477.2,CCG001084.1
XP_029139890.1,CCG019221.1
XP_015684060.1,CCG010564.1
XP_015667905.1,CCG007467.1
XP_029140485.1,CCG001346.1
XP_015673351.1,CCG014440.1
XP_015675121.1,CCG016607.1
XP_015677764.1,CCG019138.1
XP_015672963.2,CCG013189.1
XP_015680693.1,CCG015528.1
XP_015672338.2,CCG011386.1
XP_015668708.1,CCG003975.1
XP_029140774.1,CCG019998.1
XP_015671694.1,CCG015701.3
XP_015671696.2,CCG015699.1
XP_015679578.1,CCG009719.1
XP_015681053.1,CCG019981.1
XP_015675468.1,CCG010694.1
XP_015677749.1,CCG014257.1
XP_015677750.1,CCG014256.2
XP_015677747.1,CCG011786.1
XP_015679587.1,CCG004688.1
