CroVir_rnd1.all.maker.proteins.final,P_Mucros.pep
crovir-protein-16473,XP_015678912.2
crovir-protein-6264,XP_029143173.1
crovir-protein-3297,XP_015679875.1
crovir-protein-6561,XP_015678282.1
crovir-protein-5054,XP_015682160.1
crovir-protein-10357,XP_015678182.1
crovir-protein-15257,XP_015683534.1
crovir-protein-10108,XP_029142427.1
crovir-protein-13903,XP_015679656.1
crovir-protein-16492,XP_015671749.1
crovir-protein-345,XP_029140921.1
crovir-protein-15602,XP_015678322.1
crovir-protein-11036,XP_015666512.1
crovir-protein-953,XP_015680801.1
crovir-protein-8920,XP_015687574.1
crovir-protein-5191,XP_015678682.1
crovir-protein-6478,XP_015672479.1
crovir-protein-3838,XP_015684367.1
crovir-protein-12965,XP_029140838.1
crovir-protein-8068,XP_015672179.1
crovir-protein-7421,XP_015669582.1
crovir-protein-1276,XP_015676156.1
crovir-protein-2848,XP_015665767.1
crovir-protein-17467,XP_015683296.1
crovir-protein-457,XP_015671733.1
crovir-protein-10933,XP_015669412.1
crovir-protein-15526,XP_015677939.1
crovir-protein-3223,XP_015666569.1
crovir-protein-7931,XP_015677270.1
crovir-protein-15334,XP_029141808.1
crovir-protein-2305,XP_029142713.1
crovir-protein-14238,XP_029139811.1
crovir-protein-468,XP_015687225.1
crovir-protein-9535,XP_015680795.1
crovir-protein-7085,XP_015679541.1
crovir-protein-12285,XP_015677113.1
crovir-protein-12284,XP_029141462.1
crovir-protein-7130,XP_029142136.1
crovir-protein-5504,XP_015682678.1
crovir-protein-12193,XP_029141158.1
crovir-protein-12117,XP_015672773.2
crovir-protein-545,XP_015674755.1
crovir-protein-14183,XP_015675201.2
crovir-protein-2396,XP_015669697.1
crovir-protein-2393,XP_015669675.1
crovir-protein-3215,XP_015666565.1
crovir-protein-13657,XP_015672856.1
crovir-protein-11624,XP_015684625.1
crovir-protein-3635,XP_015679857.1
crovir-protein-4689,XP_015675785.1
crovir-protein-13905,XP_015669763.2
crovir-protein-15789,XP_015667257.1
crovir-protein-7580,XP_015675560.2
crovir-protein-7581,XP_029142158.1
crovir-protein-13360,XP_015677854.1
crovir-protein-5818,XP_029139658.1
crovir-protein-10993,XP_015677833.1
crovir-protein-9974,XP_015679791.1
crovir-protein-12799,XP_015682301.1
crovir-protein-10470,XP_015670709.1
crovir-protein-6938,XP_015683128.2
crovir-protein-16865,XP_029141326.1
crovir-protein-6045,XP_029139284.1
crovir-protein-15251,XP_015687633.1
crovir-protein-271,XP_029141905.1
crovir-protein-3398,XP_029139783.1
crovir-protein-13406,XP_015678956.1
crovir-protein-11861,XP_015667958.1
crovir-protein-9798,XP_015678837.1
crovir-protein-5392,XP_015666997.1
crovir-protein-9993,XP_015676372.1
crovir-protein-1753,XP_029138791.1
crovir-protein-8164,XP_015679015.1
crovir-protein-12360,XP_015667410.1
crovir-protein-17079,XP_015672085.1
crovir-protein-2930,XP_015666426.1
crovir-protein-4138,XP_015681878.1
crovir-protein-4050,XP_015679266.1
crovir-protein-15288,XP_015676856.1
crovir-protein-1695,XP_015671883.1
crovir-protein-461,XP_015687217.1
crovir-protein-14251,XP_029140668.1
crovir-protein-13057,XP_029140797.1
crovir-protein-11303,XP_029140398.1
crovir-protein-11305,XP_029139213.1
crovir-protein-5567,XP_029140657.1
crovir-protein-11893,XP_015675164.1
crovir-protein-6768,XP_015665424.1
crovir-protein-6609,XP_015687567.1
crovir-protein-5215,XP_015669745.1
crovir-protein-16806,XP_029142768.1
crovir-protein-114,XP_029142407.1
crovir-protein-112,XP_029141830.1
crovir-protein-12871,XP_015681007.1
crovir-protein-10433,XP_015672729.1
crovir-protein-6815,XP_029138801.1
crovir-protein-14065,XP_015675603.1
crovir-protein-8209,XP_015681707.1
crovir-protein-2346,XP_015681097.1
crovir-protein-16799,XP_015672910.2
crovir-protein-5672,XP_029140435.1
crovir-protein-11070,XP_015666484.1
crovir-protein-4356,XP_015679529.1
crovir-protein-10972,XP_015680306.1
crovir-protein-4918,XP_029140045.1
crovir-protein-16345,XP_015669115.2
crovir-protein-3268,XP_015673839.1
crovir-protein-11256,XP_015681132.1
crovir-protein-15369,XP_015680751.1
crovir-protein-4221,XP_029142711.1
crovir-protein-16277,XP_015672957.1
crovir-protein-5562,XP_015685925.1
crovir-protein-4997,XP_015679151.1
crovir-protein-4992,XP_015679153.1
crovir-protein-5005,XP_015687560.1
crovir-protein-5006,XP_015687553.1
crovir-protein-10178,XP_015681485.1
crovir-protein-16012,XP_015667581.1
crovir-protein-15717,XP_029139309.1
crovir-protein-10631,XP_029139526.1
crovir-protein-3331,XP_015673825.1
crovir-protein-16431,XP_015671275.1
crovir-protein-6306,XP_015669969.1
crovir-protein-8138,XP_015682465.1
crovir-protein-9543,XP_029140899.1
crovir-protein-5459,XP_015677172.1
crovir-protein-8365,XP_015677751.1
crovir-protein-5464,XP_015676661.1
crovir-protein-5463,XP_015676659.1
crovir-protein-8115,XP_015673087.1
crovir-protein-15354,XP_015680585.1
crovir-protein-10929,XP_015673250.1
crovir-protein-3486,XP_015675451.1
crovir-protein-2653,XP_015665961.1
crovir-protein-1941,XP_015667096.1
crovir-protein-7088,XP_015679536.1
crovir-protein-7089,XP_015679537.1
crovir-protein-14527,XP_015670240.1
crovir-protein-8035,XP_015670681.1
crovir-protein-8618,XP_015667806.1
crovir-protein-10868,XP_015687323.1
crovir-protein-2002,XP_015666285.1
crovir-protein-5513,XP_015668014.1
crovir-protein-6399,XP_015673795.1
crovir-protein-12206,XP_015673719.1
crovir-protein-12175,XP_015668329.1
crovir-protein-9178,XP_015679118.1
crovir-protein-13965,XP_015674232.1
crovir-protein-11906,XP_015675172.1
crovir-protein-6379,XP_015668006.1
crovir-protein-10401,XP_015673148.1
crovir-protein-17054,XP_015681220.1
crovir-protein-3256,XP_029143200.1
crovir-protein-6345,XP_015682137.1
crovir-protein-11769,XP_015669039.1
crovir-protein-11742,XP_015677744.1
crovir-protein-13530,XP_015682032.1
crovir-protein-11677,XP_015679518.1
crovir-protein-3530,XP_015680860.1
crovir-protein-3566,XP_015667975.1
crovir-protein-3693,XP_029140634.1
crovir-protein-13940,XP_015670751.1
crovir-protein-16726,XP_015682851.1
crovir-protein-4452,XP_015671932.1
crovir-protein-13846,XP_015669608.1
crovir-protein-9256,XP_015681370.1
crovir-protein-15715,XP_015678195.1
crovir-protein-7349,XP_015671423.1
crovir-protein-12492,XP_015683610.1
crovir-protein-8172,XP_029140550.1
crovir-protein-8169,XP_015674623.1
crovir-protein-16535,XP_015686115.1
crovir-protein-13935,XP_015670750.1
crovir-protein-8619,XP_015667807.1
crovir-protein-13619,XP_029139950.1
crovir-protein-9287,XP_029140909.1
crovir-protein-16488,XP_015680314.1
crovir-protein-13764,XP_015686868.1
crovir-protein-12818,XP_015681594.1
crovir-protein-10464,XP_015674961.1
crovir-protein-10465,XP_015674962.2
crovir-protein-15808,XP_015680081.1
crovir-protein-5808,XP_015674540.1
crovir-protein-11388,XP_015667417.1
crovir-protein-15677,XP_029139737.1
crovir-protein-7393,XP_015680569.1
crovir-protein-12472,XP_015676986.1
crovir-protein-1286,XP_015676500.2
crovir-protein-7397,XP_015680570.1
crovir-protein-1280,XP_015676523.1
crovir-protein-4146,XP_029142538.1
crovir-protein-15330,XP_015682942.1
crovir-protein-4395,XP_029143147.1
crovir-protein-10246,XP_015681137.1
crovir-protein-4394,XP_015687480.1
crovir-protein-10245,XP_015681136.1
crovir-protein-6845,XP_015665471.1
crovir-protein-10010,XP_015671003.1
crovir-protein-10575,XP_015671775.1
crovir-protein-12895,XP_015673447.1
crovir-protein-8334,XP_015674333.1
crovir-protein-10627,XP_029141653.1
crovir-protein-12351,XP_029139800.1
crovir-protein-9093,XP_015683742.1
crovir-protein-10078,XP_015682602.1
crovir-protein-10079,XP_015682628.1
crovir-protein-13008,XP_015666589.1
crovir-protein-2422,XP_015686975.1
crovir-protein-12309,XP_015676568.1
crovir-protein-12068,XP_015669083.1
crovir-protein-1668,XP_015667445.1
crovir-protein-9190,XP_015665515.1
crovir-protein-9173,XP_015684049.1
crovir-protein-3029,XP_015681123.1
crovir-protein-3598,XP_015668447.1
crovir-protein-4715,XP_029140574.1
crovir-protein-11476,XP_029140402.1
crovir-protein-14699,XP_015677394.1
crovir-protein-14700,XP_015677399.1
crovir-protein-9872,XP_015680350.1
crovir-protein-5897,XP_015668702.2
crovir-protein-15025,XP_015669438.1
crovir-protein-13745,XP_029142509.1
crovir-protein-14066,XP_029140723.1
crovir-protein-15000,XP_015671075.1
crovir-protein-8241,XP_015679122.1
crovir-protein-14706,XP_015676648.1
crovir-protein-16413,XP_015670924.1
crovir-protein-17217,XP_029142132.1
crovir-protein-12536,XP_015681533.1
crovir-protein-15743,XP_015671917.1
crovir-protein-15,XP_029139313.1
crovir-protein-13380,XP_029142047.1
crovir-protein-1743,XP_015688002.1
crovir-protein-11436,XP_015666002.1
crovir-protein-9044,XP_015674482.1
crovir-protein-3947,XP_015681704.1
crovir-protein-11475,XP_015680527.1
crovir-protein-5469,XP_015677867.1
crovir-protein-10908,XP_015681257.1
crovir-protein-2482,XP_015687790.1
crovir-protein-448,XP_015671735.1
crovir-protein-12090,XP_015672209.1
crovir-protein-14974,XP_015683877.1
crovir-protein-2416,XP_029143062.1
crovir-protein-7288,XP_015668495.1
crovir-protein-7735,XP_015667716.1
crovir-protein-5447,XP_015676347.1
crovir-protein-8026,XP_015670672.1
crovir-protein-1898,XP_029142546.1
crovir-protein-2470,XP_015670113.1
crovir-protein-7560,XP_015673951.1
crovir-protein-15504,XP_015684535.1
crovir-protein-14547,XP_015670234.1
crovir-protein-14360,XP_015670604.1
crovir-protein-147,XP_015684647.1
crovir-protein-3371,XP_015671956.1
crovir-protein-10781,XP_015671776.1
crovir-protein-1380,XP_015679821.1
crovir-protein-5842,XP_015683054.1
crovir-protein-5848,XP_015684067.1
crovir-protein-1394,XP_015681083.1
crovir-protein-15420,XP_015673513.1
crovir-protein-2642,XP_029138873.1
crovir-protein-14900,XP_015667710.1
crovir-protein-11648,XP_015685190.1
crovir-protein-11649,XP_015679848.1
crovir-protein-4094,XP_029142434.1
crovir-protein-13836,XP_015681349.1
crovir-protein-4482,XP_015677070.1
crovir-protein-4409,XP_015666470.1
crovir-protein-15702,XP_015675634.1
crovir-protein-16822,XP_015682404.1
crovir-protein-15356,XP_015677343.1
crovir-protein-13705,XP_015672814.1
crovir-protein-13704,XP_015673382.1
crovir-protein-14765,XP_015680764.1
crovir-protein-16832,XP_015686832.1
crovir-protein-14094,XP_029142948.1
crovir-protein-14134,XP_015665717.1
crovir-protein-8017,XP_029141609.1
crovir-protein-6720,XP_015666165.1
crovir-protein-11954,XP_015676169.1
crovir-protein-6946,XP_015678796.1
crovir-protein-13720,XP_015675878.1
crovir-protein-2063,XP_015666087.1
crovir-protein-10066,XP_029141345.1
crovir-protein-10569,XP_015678942.1
crovir-protein-12791,XP_015670061.1
crovir-protein-10012,XP_015672685.1
crovir-protein-9970,XP_029140223.1
crovir-protein-1236,XP_015669376.1
crovir-protein-9657,XP_015673506.1
crovir-protein-8486,XP_015669950.1
crovir-protein-1806,XP_015667499.1
crovir-protein-10234,XP_015672142.1
crovir-protein-12697,XP_015677806.1
crovir-protein-10276,XP_015678452.1
crovir-protein-16227,XP_015666889.1
crovir-protein-14492,XP_015678168.1
crovir-protein-1069,XP_029140628.1
crovir-protein-1283,XP_029140894.1
crovir-protein-7351,XP_015671415.1
crovir-protein-2756,XP_015665619.1
crovir-protein-2771,XP_015668995.1
crovir-protein-16487,XP_015678486.1
crovir-protein-15071,XP_015667606.1
crovir-protein-12462,XP_015682507.1
crovir-protein-12643,XP_029142323.1
crovir-protein-12924,XP_015672013.1
crovir-protein-14406,XP_015672444.1
crovir-protein-14405,XP_015669583.1
crovir-protein-13558,XP_015669233.1
crovir-protein-4196,XP_015678097.1
crovir-protein-2139,XP_015678799.1
crovir-protein-3112,XP_015671103.1
crovir-protein-4073,XP_015685360.1
crovir-protein-16134,XP_029138772.1
crovir-protein-13562,XP_015683118.1
crovir-protein-12588,XP_015668822.1
crovir-protein-10732,XP_015677955.2
crovir-protein-9139,XP_015681943.1
crovir-protein-17326,XP_015672779.1
crovir-protein-4753,XP_015683447.1
crovir-protein-7813,XP_015666739.1
crovir-protein-1415,XP_015675823.1
crovir-protein-1522,XP_015683767.1
crovir-protein-3120,XP_029142065.1
crovir-protein-6714,XP_015680125.1
crovir-protein-15791,XP_015679747.1
crovir-protein-15719,XP_015668176.1
crovir-protein-12393,XP_015673162.2
crovir-protein-9823,XP_015669178.1
crovir-protein-8070,XP_015672178.1
crovir-protein-2193,XP_015678272.1
crovir-protein-1208,XP_015674248.1
crovir-protein-11064,XP_015666486.2
crovir-protein-12830,XP_015680182.2
crovir-protein-10451,XP_015672731.1
crovir-protein-16423,XP_015670931.1
crovir-protein-10735,XP_015676835.1
crovir-protein-16101,XP_015676905.1
crovir-protein-14581,XP_015674901.1
crovir-protein-5377,XP_029142715.1
crovir-protein-11152,XP_015682682.1
crovir-protein-6710,XP_015680942.1
crovir-protein-12500,XP_015676997.1
crovir-protein-692,XP_015675767.1
crovir-protein-1861,XP_015666126.1
crovir-protein-16106,XP_015687912.2
crovir-protein-7137,XP_015682129.2
crovir-protein-12476,XP_015676966.1
crovir-protein-15878,XP_015682483.1
crovir-protein-14444,XP_015678402.1
crovir-protein-8364,XP_015673420.1
crovir-protein-10190,XP_015685457.1
crovir-protein-4420,XP_015679384.1
crovir-protein-10431,XP_029139620.1
crovir-protein-1899,XP_015666688.1
crovir-protein-8177,XP_015681099.1
crovir-protein-10008,XP_015671014.1
crovir-protein-9152,XP_015677444.1
crovir-protein-2106,XP_015667191.1
crovir-protein-2561,XP_015687762.1
crovir-protein-5466,XP_015676660.2
crovir-protein-13654,XP_015669613.1
crovir-protein-1764,XP_015688037.1
crovir-protein-8136,XP_015674053.1
crovir-protein-15553,XP_015677323.1
crovir-protein-11583,XP_015680925.1
crovir-protein-11582,XP_015671449.1
crovir-protein-1179,XP_029142309.1
crovir-protein-16125,XP_015687938.1
crovir-protein-3321,XP_015665632.1
crovir-protein-16943,XP_015685858.1
crovir-protein-13445,XP_015687035.1
crovir-protein-1511,XP_015683674.1
crovir-protein-5720,XP_015671605.1
crovir-protein-12645,XP_015677531.1
crovir-protein-10902,XP_015674609.1
crovir-protein-1076,XP_029140629.1
crovir-protein-10881,XP_015677564.1
crovir-protein-1987,XP_015667320.1
crovir-protein-14247,XP_015683330.1
crovir-protein-15510,XP_015678506.1
crovir-protein-5759,XP_015675734.1
crovir-protein-8117,XP_015683227.1
crovir-protein-2541,XP_015687684.2
crovir-protein-3286,XP_015674717.2
crovir-protein-10626,XP_029140015.1
crovir-protein-10257,XP_029141581.1
crovir-protein-4357,XP_015679528.1
crovir-protein-13848,XP_015681105.1
crovir-protein-4291,XP_015687851.1
crovir-protein-4309,XP_015687861.1
crovir-protein-4308,XP_015687862.1
crovir-protein-8101,XP_015674404.1
crovir-protein-3320,XP_015665621.1
crovir-protein-3809,XP_015677902.1
crovir-protein-6339,XP_015676825.1
crovir-protein-7456,XP_029140461.1
crovir-protein-2734,XP_015665629.1
crovir-protein-44,XP_029138935.1
crovir-protein-3517,XP_029141813.1
crovir-protein-6554,XP_015674714.2
crovir-protein-9937,XP_015670300.1
crovir-protein-4731,XP_015685757.1
crovir-protein-15830,XP_015675579.1
crovir-protein-3924,XP_015670733.1
crovir-protein-11116,XP_015685613.1
crovir-protein-6736,XP_015665428.1
crovir-protein-15523,XP_015676527.1
crovir-protein-15498,XP_015672443.1
crovir-protein-15502,XP_029141945.1
crovir-protein-15472,XP_015674008.1
crovir-protein-9691,XP_015671898.1
crovir-protein-6979,XP_015681829.1
crovir-protein-9506,XP_015673558.1
crovir-protein-9595,XP_015683592.1
crovir-protein-4220,XP_029141389.1
crovir-protein-17258,XP_029142381.1
crovir-protein-17256,XP_029142837.1
crovir-protein-54,XP_015674116.1
crovir-protein-14984,XP_029140955.1
crovir-protein-10143,XP_029140627.1
crovir-protein-4964,XP_015677349.1
crovir-protein-15241,XP_029141557.1
crovir-protein-15515,XP_015678495.1
crovir-protein-1678,XP_015667480.1
crovir-protein-8417,XP_015679509.1
crovir-protein-2863,XP_015665752.1
crovir-protein-7759,XP_015685285.1
crovir-protein-16273,XP_015672938.1
crovir-protein-3001,XP_029138899.1
crovir-protein-15700,XP_015675636.1
crovir-protein-11332,XP_015674650.1
crovir-protein-15140,XP_015670836.1
crovir-protein-15138,XP_015670835.1
crovir-protein-11091,XP_015671820.1
crovir-protein-15194,XP_015669308.1
crovir-protein-10889,XP_015677650.1
crovir-protein-1043,XP_015671519.1
crovir-protein-2016,XP_015683561.1
crovir-protein-2093,XP_015667207.1
crovir-protein-12270,XP_015669663.1
crovir-protein-13549,XP_015673141.1
crovir-protein-2341,XP_015682337.1
crovir-protein-8734,XP_015674188.1
crovir-protein-13016,XP_015666992.1
crovir-protein-171,XP_029140792.1
crovir-protein-7983,XP_015670674.1
crovir-protein-1485,XP_015682319.1
crovir-protein-9486,XP_029139981.1
crovir-protein-9118,XP_015671727.2
crovir-protein-9175,XP_029143096.1
crovir-protein-4645,XP_015672037.1
crovir-protein-228,XP_015687961.1
crovir-protein-5317,XP_015676004.1
crovir-protein-6605,XP_015680911.1
crovir-protein-15675,XP_015670154.1
crovir-protein-11399,XP_015674098.1
crovir-protein-4756,XP_015677574.1
crovir-protein-2567,XP_029143195.1
crovir-protein-2190,XP_015678261.1
crovir-protein-6878,XP_015665448.2
crovir-protein-12816,XP_015675240.1
crovir-protein-10960,XP_015677966.1
crovir-protein-15005,XP_015677967.1
crovir-protein-6719,XP_029138930.1
crovir-protein-15587,XP_015683002.1
crovir-protein-14046,XP_015670813.1
crovir-protein-15694,XP_015674918.1
crovir-protein-4926,XP_015687354.1
crovir-protein-11054,XP_015666501.1
crovir-protein-4779,XP_015678609.1
crovir-protein-5820,XP_015675308.1
crovir-protein-12418,XP_015679191.2
crovir-protein-15312,XP_015672945.1
crovir-protein-11706,XP_015673552.1
crovir-protein-11571,XP_015673036.2
crovir-protein-15886,XP_015682481.1
crovir-protein-7246,XP_015673360.1
crovir-protein-1330,XP_015682153.2
crovir-protein-16160,XP_015687970.1
crovir-protein-4139,XP_029142037.1
crovir-protein-5149,XP_015674722.1
crovir-protein-16011,XP_015667562.2
crovir-protein-16189,XP_015673936.1
crovir-protein-15177,XP_015679523.1
crovir-protein-590,XP_029139111.1
crovir-protein-9920,XP_015670289.1
crovir-protein-9099,XP_029141675.1
crovir-protein-2583,XP_015667892.1
crovir-protein-16268,XP_015672927.1
crovir-protein-10019,XP_015678684.1
crovir-protein-9464,XP_015681904.1
crovir-protein-15574,XP_015679065.1
crovir-protein-7988,XP_029139835.1
crovir-protein-5421,XP_029139374.1
crovir-protein-2695,XP_015665891.1
crovir-protein-1838,XP_015666141.1
crovir-protein-8991,XP_029141827.1
crovir-protein-8221,XP_015673852.1
crovir-protein-16282,XP_015672950.1
crovir-protein-9980,XP_015673100.1
crovir-protein-7963,XP_015681492.1
crovir-protein-14179,XP_029140506.1
crovir-protein-2928,XP_015666433.1
crovir-protein-2649,XP_015665962.1
crovir-protein-2024,XP_015666098.1
crovir-protein-12151,XP_015687285.1
crovir-protein-12142,XP_015687363.1
crovir-protein-490,XP_015668739.1
crovir-protein-12069,XP_015669086.1
crovir-protein-12016,XP_015669935.1
crovir-protein-14385,XP_015670817.1
crovir-protein-7986,XP_015670676.2
crovir-protein-12020,XP_015669929.1
crovir-protein-13438,XP_015680452.1
crovir-protein-11955,XP_015668322.1
crovir-protein-2511,XP_015687723.1
crovir-protein-6199,XP_015670999.1
crovir-protein-2632,XP_015665924.1
crovir-protein-14650,XP_015678838.1
crovir-protein-17484,XP_015667206.1
crovir-protein-4555,XP_015679284.1
crovir-protein-17257,XP_015681330.1
crovir-protein-26,XP_029138938.1
crovir-protein-3429,XP_015686159.1
crovir-protein-4648,XP_015672040.1
crovir-protein-9260,XP_015674850.1
crovir-protein-3572,XP_029139026.1
crovir-protein-3611,XP_015682121.2
crovir-protein-3609,XP_015682122.1
crovir-protein-3817,XP_029141317.1
crovir-protein-15751,XP_015667688.1
crovir-protein-15539,XP_015666615.1
crovir-protein-7233,XP_015669730.1
crovir-protein-9652,XP_015671434.1
crovir-protein-7391,XP_015678869.1
crovir-protein-14459,XP_015687340.1
crovir-protein-8260,XP_015671884.1
crovir-protein-14470,XP_015675379.2
crovir-protein-14538,XP_015670232.2
crovir-protein-14313,XP_015680637.1
crovir-protein-14315,XP_015679642.1
crovir-protein-8813,XP_015668139.1
crovir-protein-62,XP_015680737.1
crovir-protein-16641,XP_015680962.1
crovir-protein-12940,XP_029140083.1
crovir-protein-11355,XP_015674967.1
crovir-protein-4991,XP_015668583.1
crovir-protein-11104,XP_015673479.1
crovir-protein-9788,XP_015667999.1
crovir-protein-12401,XP_029142061.1
crovir-protein-17189,XP_015685101.1
crovir-protein-10094,XP_015672132.1
crovir-protein-16236,XP_029139053.1
crovir-protein-7705,XP_015685158.1
crovir-protein-2186,XP_029141338.1
crovir-protein-2187,XP_015678831.1
crovir-protein-2566,XP_015687774.1
crovir-protein-16628,XP_015674021.1
crovir-protein-11407,XP_015674097.2
crovir-protein-12379,XP_029139165.1
crovir-protein-14386,XP_029138996.1
crovir-protein-298,XP_029140614.1
crovir-protein-6750,XP_015665560.1
crovir-protein-11252,XP_015685399.1
crovir-protein-9976,XP_029141532.1
crovir-protein-989,XP_029141155.1
crovir-protein-9916,XP_015670290.1
crovir-protein-12523,XP_015681867.1
crovir-protein-2854,XP_029138856.1
crovir-protein-1354,XP_015679827.1
crovir-protein-12589,XP_015668843.1
crovir-protein-12582,XP_029139456.1
crovir-protein-14398,XP_015665851.1
crovir-protein-13332,XP_015684662.1
crovir-protein-14863,XP_015667742.1
crovir-protein-3101,XP_015670511.1
crovir-protein-3100,XP_015670512.1
crovir-protein-2030,XP_015666069.1
crovir-protein-10547,XP_015668919.1
crovir-protein-13957,XP_015680337.1
crovir-protein-9225,XP_015677659.1
crovir-protein-662,XP_015684663.1
crovir-protein-663,XP_015675938.1
crovir-protein-6610,XP_015687566.1
crovir-protein-5216,XP_015669761.2
crovir-protein-4513,XP_015672448.1
crovir-protein-14417,XP_029139366.1
crovir-protein-14418,XP_015668445.1
crovir-protein-152,XP_015687577.1
crovir-protein-6713,XP_015685578.1
crovir-protein-11368,XP_015674075.1
crovir-protein-82,XP_015672838.2
crovir-protein-16171,XP_015666968.1
crovir-protein-16184,XP_015666906.1
crovir-protein-10430,XP_015669715.1
crovir-protein-14501,XP_015672710.2
crovir-protein-434,XP_015681663.1
crovir-protein-6779,XP_015666182.2
crovir-protein-15656,XP_015665434.1
crovir-protein-6185,XP_015668086.1
crovir-protein-11704,XP_015678985.1
crovir-protein-3414,XP_029140114.1
crovir-protein-11421,XP_029141239.1
crovir-protein-9930,XP_015670310.1
crovir-protein-6532,XP_015681151.1
crovir-protein-4791,XP_015686633.1
crovir-protein-16150,XP_015687897.1
crovir-protein-7812,XP_015666750.1
crovir-protein-4231,XP_015674107.1
crovir-protein-16143,XP_029138773.1
crovir-protein-4939,XP_029139469.1
crovir-protein-6523,XP_015671848.1
crovir-protein-9088,XP_015674897.1
crovir-protein-9433,XP_015682696.1
crovir-protein-6920,XP_015673270.1
crovir-protein-6767,XP_015665506.1
crovir-protein-15899,XP_015681640.1
crovir-protein-10129,XP_015683682.1
crovir-protein-7802,XP_029138906.1
crovir-protein-16109,XP_015687944.1
crovir-protein-3277,XP_015678086.1
crovir-protein-5675,XP_015680214.1
crovir-protein-16428,XP_015670922.1
crovir-protein-10047,XP_015678291.1
crovir-protein-5197,XP_029140524.1
crovir-protein-675,XP_015679491.1
crovir-protein-7495,XP_029139599.1
crovir-protein-5438,XP_015682425.1
crovir-protein-5437,XP_015679394.1
crovir-protein-2407,XP_015670248.1
crovir-protein-1934,XP_015667052.1
crovir-protein-11168,XP_015666754.2
crovir-protein-17056,XP_029140211.1
crovir-protein-3333,XP_015667302.1
crovir-protein-11588,XP_015670243.1
crovir-protein-5473,XP_029140010.1
crovir-protein-5131,XP_029140725.1
crovir-protein-14424,XP_015671807.1
crovir-protein-5143,XP_029141101.1
crovir-protein-9205,XP_029141461.1
crovir-protein-1974,XP_029139141.1
crovir-protein-12257,XP_029139910.1
crovir-protein-2605,XP_015665945.1
crovir-protein-2096,XP_015666223.2
crovir-protein-15660,XP_015678641.1
crovir-protein-8100,XP_015674405.1
crovir-protein-12189,XP_015679359.1
crovir-protein-13440,XP_015679050.1
crovir-protein-12153,XP_029143103.1
crovir-protein-8498,XP_015686504.1
crovir-protein-10680,XP_015669649.1
crovir-protein-15691,XP_015674044.1
crovir-protein-5990,XP_015666343.2
crovir-protein-12050,XP_015669010.1
crovir-protein-7593,XP_015677632.1
crovir-protein-11991,XP_029140362.1
crovir-protein-6143,XP_029139726.1
crovir-protein-11496,XP_029141479.1
crovir-protein-6085,XP_015667013.1
crovir-protein-6014,XP_015666377.1
crovir-protein-15524,XP_015681899.1
crovir-protein-6228,XP_015684008.1
crovir-protein-3219,XP_015666555.1
crovir-protein-4491,XP_015677780.1
crovir-protein-2617,XP_015665938.1
crovir-protein-6216,XP_015671002.1
crovir-protein-2052,XP_015666105.1
crovir-protein-2646,XP_015665970.1
crovir-protein-3361,XP_015674802.1
crovir-protein-3450,XP_015667775.1
crovir-protein-17439,XP_015670105.1
crovir-protein-7860,XP_029139596.1
crovir-protein-6357,XP_015675422.1
crovir-protein-1035,XP_015684757.1
crovir-protein-11629,XP_015683137.1
crovir-protein-13636,XP_015675589.2
crovir-protein-11659,XP_015683405.1
crovir-protein-17473,XP_015666205.1
crovir-protein-13472,XP_015680288.1
crovir-protein-6663,XP_029142446.1
crovir-protein-8823,XP_015672361.1
crovir-protein-4771,XP_015687443.1
crovir-protein-3923,XP_015670720.1
crovir-protein-4506,XP_015674949.1
crovir-protein-4077,XP_015680367.1
crovir-protein-15755,XP_015668158.1
crovir-protein-15580,XP_015681683.1
crovir-protein-15482,XP_015683457.1
crovir-protein-9440,XP_015674704.1
crovir-protein-9735,XP_015667662.1
crovir-protein-7165,XP_015676956.1
crovir-protein-14970,XP_015672654.1
crovir-protein-9546,XP_029141845.1
crovir-protein-7385,XP_029141681.1
crovir-protein-14862,XP_015667727.1
crovir-protein-13535,XP_015680872.1
crovir-protein-7454,XP_029140225.1
crovir-protein-1323,XP_015687140.1
crovir-protein-13734,XP_015679983.1
crovir-protein-12955,XP_015666639.1
crovir-protein-13736,XP_029141510.1
crovir-protein-13563,XP_015671907.1
crovir-protein-13301,XP_029141045.1
crovir-protein-13475,XP_015671819.1
crovir-protein-9361,XP_015674530.1
crovir-protein-6778,XP_015668945.1
crovir-protein-15869,XP_015672506.1
crovir-protein-11404,XP_029139151.1
crovir-protein-15629,XP_015668162.1
crovir-protein-15439,XP_015672175.1
crovir-protein-2191,XP_029141288.1
crovir-protein-2196,XP_015678284.1
crovir-protein-494,XP_015678320.1
crovir-protein-14250,XP_015675344.2
crovir-protein-1214,XP_015669358.1
crovir-protein-12710,XP_029142911.1
crovir-protein-1234,XP_015669355.1
crovir-protein-12484,XP_015683616.1
crovir-protein-208,XP_015682566.1
crovir-protein-6152,XP_015670089.1
crovir-protein-2277,XP_015684445.1
crovir-protein-14608,XP_015679468.1
crovir-protein-8660,XP_015669033.1
crovir-protein-11653,XP_015680670.1
crovir-protein-8574,XP_015668052.1
crovir-protein-8331,XP_015682407.1
crovir-protein-11426,XP_015672331.1
crovir-protein-14953,XP_015682975.1
crovir-protein-6381,XP_015671832.1
crovir-protein-11029,XP_029138984.1
crovir-protein-8131,XP_015674616.1
