P_Mucros.pep,P_guttatus.pep
XP_015681683.1,XP_034281742.1
XP_015685436.1,XP_034296933.1
XP_015683456.1,XP_034266045.1
XP_015683457.1,XP_034266043.1
XP_015676956.1,XP_034274199.1
XP_029141845.1,XP_034283862.1
XP_015667727.1,XP_034290135.1
XP_015680872.1,XP_034293143.1
XP_029141823.1,XP_034264145.1
XP_015675208.1,XP_034276154.1
XP_015679983.1,XP_034297746.1
XP_015666639.1,XP_034286511.1
XP_029141510.1,XP_034297627.1
XP_015681476.1,XP_034277558.1
XP_015676612.1,XP_034284418.1
XP_029140662.1,XP_034277373.1
XP_015687614.2,XP_034289325.1
XP_029142222.1,XP_034282896.1
XP_015685719.1,XP_034261443.1
XP_029141059.1,XP_034260458.1
XP_029139804.1,XP_034286047.1
XP_015672273.2,XP_034275820.1
XP_029139151.1,XP_034291324.1
XP_015685158.1,XP_034296294.1
XP_029141870.1,XP_034257793.1
XP_015665969.1,XP_034271438.1
XP_015672175.1,XP_034267122.1
XP_015668806.1,XP_034265497.1
XP_015668719.1,XP_034274425.1
XP_015676139.1,XP_034294171.1
XP_015678320.1,XP_034276481.1
XP_015679007.1,XP_034273571.1
XP_015679890.1,XP_034284247.1
XP_015682566.1,XP_034263007.1
XP_015667334.1,XP_034280593.1
XP_015680670.1,XP_034280720.1
XP_015668052.1,XP_034295979.1
XP_029141600.1,XP_034262215.1
XP_015671832.1,XP_034270115.1
XP_015669554.1,XP_034266915.1
XP_015682554.1,XP_034262689.1
XP_015682408.1,XP_034260911.1
XP_015670610.1,XP_034290054.1
XP_015669523.1,XP_034266920.1
XP_015674551.1,XP_034264812.1
XP_015681058.1,XP_034262291.1
XP_015682767.1,XP_034264168.1
XP_029139036.1,XP_034265847.1
XP_015679823.1,XP_034292061.1
XP_015683562.1,XP_034297737.1
XP_015675284.1,XP_034298331.1
XP_015678027.1,XP_034265446.1
XP_015666588.1,XP_034286524.1
XP_015674101.1,XP_034287151.1
XP_015680645.1,XP_034268776.1
XP_015671395.1,XP_034274900.1
XP_015683914.1,XP_034284907.1
XP_015668811.1,XP_034289464.1
XP_015671024.1,XP_034276864.1
XP_015688043.1,XP_034297132.1
XP_015683178.1,XP_034280555.1
XP_015679843.1,XP_034292051.1
XP_015687738.1,XP_034271755.1
XP_015675637.1,XP_034297039.1
XP_015667650.1,XP_034280586.1
XP_015670146.1,XP_034265760.1
XP_015667000.1,XP_034288835.1
XP_015666928.1,XP_034282590.1
XP_015667881.1,XP_034298483.1
XP_015682808.1,XP_034282867.1
XP_015677966.1,XP_034294778.1
XP_015677967.1,XP_034263139.1
XP_029141410.1,XP_034261805.1
XP_029141758.1,XP_034277904.1
XP_015677049.1,XP_034263276.1
XP_015678263.1,XP_034263667.1
XP_029139461.1,XP_034293012.1
XP_015671076.1,XP_034293718.1
XP_015679968.1,XP_034260192.1
XP_015672767.1,XP_034258987.1
XP_015677120.1,XP_034264397.1
XP_015670338.1,XP_034277011.1
XP_015676419.1,XP_034292436.1
XP_029141239.1,XP_034281790.1
XP_029140114.1,XP_034287177.1
XP_015672026.1,XP_034291084.1
XP_015671995.1,XP_034291081.1
XP_015670281.2,XP_034276964.1
XP_015684762.1,XP_034280394.1
XP_015666298.1,XP_034257954.1
XP_015673133.1,XP_034275207.1
XP_015667669.1,XP_034281526.1
XP_015670963.1,XP_034291764.1
XP_015667039.1,XP_034286503.1
XP_015678623.1,XP_034275971.1
XP_015678847.1,XP_034285734.1
XP_015674897.1,XP_034274605.1
XP_015669980.1,XP_034291134.1
XP_015687888.1,XP_034297694.1
XP_015671667.1,XP_034267334.1
XP_015668200.1,XP_034291043.1
XP_015684133.1,XP_034297775.1
XP_015672241.1,XP_034285316.1
XP_015670311.1,XP_034277030.1
XP_015670312.1,XP_034277031.1
XP_015671880.1,XP_034282667.1
XP_015677299.1,XP_034267359.1
XP_015671728.1,XP_034282326.1
XP_015684376.1,XP_034297992.1
XP_015673928.1,XP_034288502.1
XP_015677325.1,XP_034265855.1
XP_015672263.1,XP_034281305.1
XP_015688012.1,XP_034257619.1
XP_029142227.1,XP_034291725.1
XP_015669029.2,XP_034288237.1
XP_015674493.1,XP_034289192.1
XP_029139374.1,XP_034267797.1
XP_015671360.2,XP_034281429.1
XP_015675625.1,XP_034297037.1
XP_015671106.1,XP_034285616.1
XP_015671107.1,XP_034285620.1
XP_015671111.1,XP_034285621.1
XP_015670243.1,XP_034291635.1
XP_015665711.1,XP_034279083.1
XP_015682649.1,XP_034298496.1
XP_015678058.1,XP_034291674.1
XP_029139909.1,XP_034258756.1
XP_015679702.1,XP_034282112.1
XP_015667321.1,XP_034258564.1
XP_029139698.1,XP_034287338.1
XP_015673207.1,XP_034295147.1
XP_015665945.1,XP_034272438.1
XP_015679572.1,XP_034259315.1
XP_015679575.1,XP_034259314.1
XP_015668326.1,XP_034259343.1
XP_015674932.2,XP_034273322.1
XP_015669333.1,XP_034266767.1
XP_015679058.1,XP_034289168.1
XP_015674171.1,XP_034261376.1
XP_015671753.1,XP_034295732.1
XP_015680452.1,XP_034287441.1
XP_029139305.1,XP_034258638.1
XP_015668261.1,XP_034295946.1
XP_015674237.1,XP_034296852.1
XP_015666806.1,XP_034270847.1
XP_029141490.1,XP_034270182.1
XP_015665970.1,XP_034271442.1
XP_015673812.2,XP_034291886.1
XP_015676341.1,XP_034274951.1
XP_015677386.1,XP_034287571.1
XP_015670595.1,XP_034290069.1
XP_015675163.1,XP_034260816.1
XP_015675173.1,XP_034260918.1
XP_015679910.1,XP_034270089.1
XP_015676954.1,XP_034269246.1
XP_015678955.1,XP_034278381.1
XP_015680367.1,XP_034264085.1
XP_015680366.1,XP_034264175.1
XP_015681368.1,XP_034274863.1
XP_015668809.1,XP_034289458.1
XP_015678075.1,XP_034296646.1
XP_015686573.1,XP_034274245.1
XP_015668101.1,XP_034274117.1
XP_015674863.1,XP_034273983.1
XP_015668496.1,XP_034273925.1
XP_015674439.2,XP_034273620.1
XP_015678357.1,XP_034296459.1
XP_015683872.1,XP_034280514.1
XP_015681307.1,XP_034273781.1
XP_015683252.1,XP_034284307.1
XP_015675488.1,XP_034272535.1
XP_015680175.1,XP_034272519.1
XP_015675487.1,XP_034272515.1
XP_015681290.1,XP_034279903.1
XP_015676617.1,XP_034264632.1
XP_015669537.2,XP_034267183.1
XP_015672354.1,XP_034271104.1
XP_015665479.1,XP_034293521.1
XP_015666316.1,XP_034285019.1
XP_015675995.1,XP_034285061.1
XP_015682558.1,XP_034265087.1
XP_015687028.1,XP_034275801.1
XP_015677534.1,XP_034280980.1
XP_029142347.1,XP_034291805.1
XP_015671521.1,XP_034290768.1
XP_015676537.1,XP_034292792.1
XP_029139467.1,XP_034298446.1
XP_015671459.1,XP_034288208.1
XP_015678557.1,XP_034293985.1
XP_015687936.1,XP_034297641.1
XP_015676605.1,XP_034265011.1
XP_015686879.1,XP_034273234.1
XP_015674351.1,XP_034264319.1
XP_015684445.1,XP_034286780.1
XP_015687842.1,XP_034287072.1
XP_015679869.1,XP_034262224.1
XP_015684389.1,XP_034289136.1
XP_015671994.1,XP_034291102.1
XP_015684362.2,XP_034275664.1
XP_015672140.1,XP_034283126.1
XP_015665492.1,XP_034293552.1
XP_015667827.1,XP_034282778.1
XP_015682968.1,XP_034279413.1
XP_015682967.1,XP_034279409.1
XP_015682387.1,XP_034281819.1
XP_015674943.1,XP_034298705.1
XP_029140483.1,XP_034290852.1
XP_015668401.2,XP_034281069.1
XP_029140447.1,XP_034260896.1
XP_015682072.1,XP_034276615.1
XP_015682073.1,XP_034276618.1
XP_029140165.1,XP_034279418.1
XP_015676122.1,XP_034267312.1
XP_029142102.1,XP_034261044.1
NP_001310179.1,XP_034284074.1
XP_015674570.1,XP_034275741.1
XP_015668300.1,XP_034277267.1
XP_015677722.1,XP_034261307.1
XP_015676694.1,XP_034288973.1
XP_015675243.1,XP_034292778.1
XP_015675944.1,XP_034279897.1
XP_015679484.1,XP_034288075.1
XP_015687793.1,XP_034290907.1
XP_015671390.1,XP_034292558.1
XP_015682414.1,XP_034290721.1
XP_029141579.1,XP_034264619.1
XP_029139495.1,XP_034293377.1
XP_015668897.1,XP_034293378.1
XP_015668896.1,XP_034293379.1
XP_015671570.1,XP_034279564.1
XP_029138875.1,XP_034272435.1
XP_015687106.1,XP_034287188.1
XP_015676416.1,XP_034292442.1
XP_029139503.1,XP_034284569.1
XP_015687947.1,XP_034297543.1
XP_015681532.1,XP_034262874.1
XP_015678880.2,XP_034294486.1
XP_015676966.1,XP_034281233.1
XP_015679151.1,XP_034278258.1
XP_015679153.1,XP_034278259.1
XP_015667095.1,XP_034257910.1
XP_015683532.1,XP_034266611.1
XP_029139774.1,XP_034277045.1
XP_029141425.1,XP_034291178.1
XP_015679937.2,XP_034294475.1
XP_015669182.1,XP_034269642.1
XP_015683547.1,XP_034269788.1
XP_015674454.2,XP_034282342.1
XP_015675404.1,XP_034257737.1
XP_015670376.1,XP_034257384.1
XP_015670227.1,XP_034268447.1
XP_029143169.1,XP_034257495.1
XP_015677219.1,XP_034287756.1
XP_029143061.1,XP_034272445.1
XP_015669336.1,XP_034266757.1
XP_015675976.2,XP_034268093.1
XP_015671733.1,XP_034276569.1
XP_029139845.1,XP_034267072.1
XP_015668079.1,XP_034281004.1
XP_015665703.1,XP_034271273.1
XP_015678793.1,XP_034272896.1
XP_015686040.1,XP_034260855.1
XP_015675728.1,XP_034293210.1
XP_015681658.1,XP_034295373.1
XP_015667822.1,XP_034282779.1
XP_015675201.2,XP_034264642.1
XP_015672773.2,XP_034259161.1
XP_015681331.1,XP_034295365.1
XP_015681849.1,XP_034270414.1
XP_015683137.1,XP_034274972.1
XP_015675422.1,XP_034270174.1
XP_015670200.1,XP_034265084.1
XP_015670199.1,XP_034265070.1
XP_015680386.2,XP_034265977.1
XP_015671180.1,XP_034274275.1
XP_015668774.1,XP_034290389.1
XP_015676761.1,XP_034268742.1
XP_015684688.1,XP_034294106.1
XP_015676701.1,XP_034272732.1
XP_015681495.1,XP_034276282.1
XP_029141446.1,XP_034271164.1
XP_015666610.1,XP_034286513.1
XP_015679368.1,XP_034264656.1
XP_015682576.1,XP_034277516.1
XP_015671473.1,XP_034284044.1
XP_015685559.1,XP_034284072.1
XP_029140075.1,XP_034284071.1
XP_015678150.1,XP_034263319.1
XP_015678154.1,XP_034292002.1
XP_015680686.1,XP_034281991.1
XP_015676939.1,XP_034294819.1
XP_015666958.1,XP_034282587.1
XP_015679566.1,XP_034278131.1
XP_015668529.1,XP_034285863.1
XP_029139381.1,XP_034285810.1
XP_015678959.1,XP_034287496.1
XP_015675049.1,XP_034293087.1
XP_015681336.1,XP_034261196.1
XP_015682310.1,XP_034292795.1
XP_015666591.1,XP_034286508.1
XP_015675570.1,XP_034298099.1
XP_015678458.1,XP_034294532.1
XP_015675150.1,XP_034269634.1
XP_015687358.1,XP_034286245.1
XP_015670689.1,XP_034264009.1
XP_029141671.1,XP_034296352.1
XP_015673881.1,XP_034273241.1
XP_029140410.1,XP_034273240.1
XP_015670286.1,XP_034276976.1
XP_029140457.1,XP_034294432.1
XP_015668617.1,XP_034265557.1
XP_015680826.1,XP_034261708.1
XP_029140557.1,XP_034283056.1
XP_029138918.1,XP_034257750.1
XP_015674646.1,XP_034280526.1
XP_029138813.1,XP_034293562.1
XP_015676783.1,XP_034295347.1
XP_015679932.1,XP_034282410.1
XP_015665559.1,XP_034293621.1
XP_015675796.1,XP_034297727.1
XP_015672059.1,XP_034279535.1
XP_015669088.1,XP_034289567.1
XP_015669222.1,XP_034286368.1
XP_015677441.1,XP_034293785.1
XP_029140960.1,XP_034267395.1
XP_015686023.1,XP_034275894.1
XP_015670870.1,XP_034273103.1
XP_015670124.1,XP_034272443.1
XP_015680475.1,XP_034269408.1
XP_015675892.1,XP_034264205.1
XP_015671646.1,XP_034267698.1
XP_015683140.1,XP_034282318.1
XP_015686652.1,XP_034275935.1
XP_015671235.1,XP_034269820.1
XP_015678605.2,XP_034275980.1
XP_015667853.1,XP_034285700.1
XP_015678728.1,XP_034278099.1
XP_015668557.1,XP_034265451.1
XP_015687804.1,XP_034290910.1
XP_015666396.1,XP_034270957.1
XP_015681141.1,XP_034283438.1
XP_015683828.1,XP_034275989.1
XP_029143069.1,XP_034278330.1
XP_015677496.1,XP_034282467.1
XP_015683043.1,XP_034294395.1
XP_015686415.1,XP_034294394.1
XP_015678521.1,XP_034294368.1
XP_015680510.1,XP_034276183.1
XP_015670699.2,XP_034263829.1
XP_015681812.1,XP_034260571.1
XP_015679873.1,XP_034273727.1
XP_029142388.1,XP_034262723.1
XP_029139447.1,XP_034261446.1
XP_015668208.1,XP_034291042.1
XP_015675255.1,XP_034295855.1
XP_029142275.1,XP_034260607.1
XP_015684313.1,XP_034276612.1
XP_029141607.1,XP_034278011.1
XP_015678070.1,XP_034287541.1
XP_015677877.1,XP_034288659.1
XP_015674020.1,XP_034260451.1
XP_015674359.1,XP_034277265.1
XP_029139873.1,XP_034284665.1
XP_015673679.2,XP_034288724.1
XP_029142439.1,XP_034279580.1
XP_015687998.1,XP_034257561.1
XP_015682433.1,XP_034285202.1
XP_015687176.2,XP_034285135.1
XP_015671644.1,XP_034287941.1
XP_029139740.1,XP_034284928.1
XP_015677500.1,XP_034282320.1
XP_015683061.1,XP_034280823.1
XP_029140322.1,XP_034285661.1
XP_015673853.1,XP_034281292.1
XP_015680130.1,XP_034292549.1
XP_029140645.1,XP_034294805.1
XP_015684213.1,XP_034261947.1
XP_015683474.1,XP_034280665.1
XP_015683282.1,XP_034291806.1
XP_029142192.1,XP_034277453.1
XP_015668625.1,XP_034292485.1
XP_015674012.1,XP_034283853.1
XP_015679360.1,XP_034273534.1
XP_015678497.1,XP_034265939.1
XP_015678184.1,XP_034298542.1
XP_015671158.1,XP_034259443.1
XP_029139227.1,XP_034290179.1
XP_015687311.1,XP_034295013.1
XP_015687312.1,XP_034295015.1
XP_015669658.1,XP_034258979.1
XP_029139611.1,XP_034259130.1
XP_015675547.1,XP_034272595.1
XP_015665953.1,XP_034271324.1
XP_015666099.1,XP_034257923.1
XP_029139654.1,XP_034259850.1
XP_029139653.1,XP_034259886.1
XP_015669078.1,XP_034259093.1
XP_015669202.1,XP_034295615.1
XP_015675860.1,XP_034280201.1
XP_029139728.1,XP_034271189.1
XP_015678356.1,XP_034296458.1
XP_015687729.1,XP_034271782.1
XP_015687877.1,XP_034287037.1
XP_015669457.1,XP_034292422.1
XP_015666792.1,XP_034286646.1
XP_015687878.1,XP_034287036.1
XP_015687651.1,XP_034270417.1
XP_015679361.2,XP_034270183.1
XP_015677600.1,XP_034258676.1
XP_015669039.1,XP_034286921.1
XP_015673788.1,XP_034270088.1
XP_015683761.1,XP_034287540.1
XP_015674893.1,XP_034274600.1
XP_015685250.1,XP_034269763.1
XP_015683004.1,XP_034272854.1
XP_029142443.1,XP_034289501.1
XP_015677782.1,XP_034257183.1
XP_015671361.1,XP_034267815.1
XP_015665552.2,XP_034293658.1
XP_015676239.1,XP_034265993.1
XP_029139150.1,XP_034291364.1
XP_015682591.1,XP_034259797.1
XP_015671421.1,XP_034274514.1
XP_015680792.1,XP_034283945.1
XP_015680512.1,XP_034274543.1
XP_015684596.1,XP_034274589.1
XP_015675606.1,XP_034263099.1
XP_015669765.1,XP_034260164.1
XP_015671461.1,XP_034288195.1
XP_015674898.1,XP_034274603.1
XP_015677669.1,XP_034269611.1
XP_015670659.1,XP_034269489.1
XP_029139220.1,XP_034281521.1
XP_015685875.1,XP_034277315.1
XP_015682189.2,XP_034297990.1
XP_015671090.1,XP_034295325.1
XP_015674400.1,XP_034262282.1
XP_015686768.1,XP_034274948.1
XP_015675197.1,XP_034290262.1
XP_029142531.1,XP_034298085.1
XP_015670707.1,XP_034296119.1
XP_015665538.2,XP_034293518.1
XP_015687047.1,XP_034271085.1
XP_015683090.1,XP_034289227.1
XP_015671841.1,XP_034265344.1
XP_015683068.1,XP_034280906.1
XP_029140967.1,XP_034294747.1
XP_015685099.1,XP_034262631.1
XP_015680729.1,XP_034262619.1
XP_029139404.1,XP_034292502.1
XP_015668543.1,XP_034288049.1
XP_015678546.1,XP_034259815.1
XP_015678556.1,XP_034259816.1
XP_015682367.1,XP_034286124.1
XP_015670700.1,XP_034263841.1
XP_029141458.1,XP_034263015.1
XP_015667497.1,XP_034258515.1
XP_015685614.1,XP_034261147.1
XP_029142747.1,XP_034276596.1
XP_015667374.1,XP_034291325.1
XP_015680322.1,XP_034282883.1
XP_015685623.1,XP_034265409.1
XP_015687609.1,XP_034269533.1
XP_015681580.1,XP_034280793.1
XP_015675387.1,XP_034289420.1
XP_029142231.1,XP_034291824.1
XP_015682666.1,XP_034265119.1
XP_015670660.1,XP_034269490.1
XP_015673314.1,XP_034297430.1
XP_015670531.1,XP_034264578.1
XP_015677142.1,XP_034265831.1
XP_015678967.1,XP_034276036.1
XP_015683773.1,XP_034263027.1
XP_015671409.1,XP_034284929.1
XP_015673031.1,XP_034281705.1
XP_029142520.1,XP_034262532.1
XP_015670843.1,XP_034266778.1
XP_015672743.1,XP_034266671.1
XP_015678040.1,XP_034288096.1
XP_015685920.1,XP_034263735.1
XP_029142186.1,XP_034291684.1
XP_029139334.1,XP_034276927.1
XP_015681507.1,XP_034276277.1
XP_015670899.1,XP_034284666.1
XP_029142536.1,XP_034291746.1
XP_015678433.1,XP_034281386.1
XP_015672969.1,XP_034287773.1
XP_015670859.1,XP_034258220.1
XP_015681875.1,XP_034257676.1
XP_015675644.1,XP_034285664.1
XP_015670862.1,XP_034257851.1
XP_015666703.1,XP_034258113.1
XP_029142150.1,XP_034281994.1
XP_029139038.1,XP_034286234.1
XP_029141459.1,XP_034263648.1
XP_015677839.1,XP_034271169.1
XP_015671805.1,XP_034268485.1
XP_015666429.1,XP_034275379.1
XP_015670885.1,XP_034295027.1
XP_015687034.1,XP_034263075.1
XP_015672708.1,XP_034258798.1
XP_015667639.1,XP_034283339.1
XP_015687049.1,XP_034271082.1
XP_015677816.1,XP_034294601.1
XP_015668365.1,XP_034259583.1
XP_015668263.1,XP_034295941.1
XP_015668268.1,XP_034295936.1
XP_015672602.1,XP_034296707.1
XP_015673484.1,XP_034270047.1
XP_029140319.1,XP_034259513.1
XP_015679081.1,XP_034292274.1
XP_015672728.1,XP_034292270.1
XP_015665927.1,XP_034271480.1
XP_015674370.1,XP_034295569.1
XP_015667760.1,XP_034287306.1
XP_015679062.1,XP_034296247.1
XP_015667719.1,XP_034290165.1
XP_015687446.1,XP_034280666.1
XP_015675403.1,XP_034264655.1
XP_015670381.1,XP_034298617.1
XP_015678426.1,XP_034281282.1
XP_015678436.1,XP_034281376.1
XP_015671659.1,XP_034267184.1
XP_015671930.1,XP_034298609.1
XP_015669899.1,XP_034265878.1
XP_015675571.1,XP_034296694.1
XP_029140716.1,XP_034296695.1
XP_015676237.1,XP_034265995.1
XP_015683495.1,XP_034265994.1
XP_029139693.1,XP_034266095.1
XP_015676890.1,XP_034296851.1
XP_015686303.1,XP_034274225.1
XP_015668499.1,XP_034274520.1
XP_015682749.1,XP_034267838.1
XP_015685553.1,XP_034272926.1
XP_015677047.1,XP_034263290.1
XP_015677046.1,XP_034263284.1
XP_029141715.1,XP_034293191.1
XP_015684134.1,XP_034291687.1
XP_015678270.1,XP_034289752.1
XP_015675048.1,XP_034260422.1
XP_015675046.1,XP_034260431.1
XP_029140661.1,XP_034277374.1
XP_015673972.1,XP_034284008.1
XP_015677993.1,XP_034283726.1
XP_015677642.1,XP_034294637.1
XP_015672935.1,XP_034282051.1
XP_015672686.1,XP_034276871.1
XP_015681045.1,XP_034294591.1
XP_015680334.1,XP_034286106.1
XP_015673903.1,XP_034277591.1
XP_015673904.1,XP_034277625.1
XP_015673901.1,XP_034277627.1
XP_029140417.1,XP_034277590.1
XP_029140473.1,XP_034267870.1
XP_029138789.1,XP_034257560.1
XP_015676914.1,XP_034294763.1
XP_015676771.1,XP_034296202.1
XP_015678373.1,XP_034260027.1
XP_015680715.1,XP_034265612.1
XP_015668186.1,XP_034291062.1
XP_029140643.1,XP_034269329.1
XP_015670415.1,XP_034264629.1
XP_015667464.1,XP_034297335.1
XP_015683082.1,XP_034260423.1
XP_015672940.1,XP_034263560.1
XP_015686421.1,XP_034265341.1
XP_029142100.1,XP_034264178.1
XP_015672010.1,XP_034291105.1
XP_029139039.1,XP_034286345.1
XP_015682345.1,XP_034285203.1
XP_015674222.1,XP_034274946.1
XP_015672650.1,XP_034285856.1
XP_015668892.1,XP_034291571.1
XP_015676455.1,XP_034265428.1
XP_015683832.1,XP_034286765.1
XP_015683819.1,XP_034262298.1
XP_015677443.1,XP_034281905.1
XP_029139086.1,XP_034267833.1
XP_015683104.1,XP_034262130.1
XP_015668072.1,XP_034261091.1
XP_029140867.1,XP_034286474.1
XP_015677028.1,XP_034259622.1
XP_015675027.1,XP_034297458.1
XP_015672926.1,XP_034268702.1
XP_015679602.2,XP_034277342.1
XP_029140503.1,XP_034268952.1
XP_015677132.1,XP_034276602.1
XP_015677448.1,XP_034261846.1
XP_015683744.1,XP_034261927.1
XP_015683743.1,XP_034261930.1
XP_015672011.1,XP_034291104.1
XP_015669775.1,XP_034261372.1
XP_015665960.2,XP_034271370.1
XP_015686651.2,XP_034277828.1
XP_015667634.1,XP_034267572.1
XP_029141553.1,XP_034280821.1
XP_015672796.1,XP_034282261.1
XP_015681191.1,XP_034298816.1
XP_015681197.1,XP_034298817.1
XP_015688004.1,XP_034257628.1
XP_015688005.2,XP_034257567.1
XP_015683519.1,XP_034260284.1
XP_015684637.1,XP_034285188.1
XP_015676007.1,XP_034285048.1
XP_015667844.1,XP_034284938.1
XP_015670140.1,XP_034266560.1
XP_015670139.1,XP_034266561.1
XP_015683315.1,XP_034275305.1
XP_015685518.1,XP_034262566.1
XP_015684735.1,XP_034261593.1
XP_015677577.1,XP_034262126.1
XP_015677576.1,XP_034262127.1
XP_015677581.2,XP_034262129.1
XP_029142899.1,XP_034280245.1
XP_015678061.1,XP_034291666.1
XP_029140539.1,XP_034275231.1
XP_015674561.1,XP_034275232.1
XP_015666445.1,XP_034275374.1
XP_015666682.1,XP_034275373.1
XP_015675811.2,XP_034258914.1
XP_015667248.1,XP_034266334.1
XP_015667246.1,XP_034266071.1
XP_015679358.1,XP_034259656.1
XP_015668330.1,XP_034259228.1
XP_015679287.1,XP_034272159.1
XP_015669214.2,XP_034295634.1
XP_015667275.1,XP_034258886.1
XP_015681592.1,XP_034292701.1
XP_015673074.1,XP_034292329.1
XP_015682556.1,XP_034271565.1
XP_015667147.1,XP_034261844.1
XP_015684547.1,XP_034290689.1
XP_015683266.1,XP_034289512.1
XP_029139729.1,XP_034296301.1
XP_029139730.1,XP_034296291.1
XP_015670101.2,XP_034296259.1
XP_015683501.1,XP_034291753.1
XP_015686377.1,XP_034298729.1
XP_015687292.1,XP_034298717.1
XP_015687165.1,XP_034266752.1
XP_015671136.2,XP_034266682.1
XP_029141263.1,XP_034270370.1
XP_015681734.1,XP_034265968.1
XP_015665558.2,XP_034293620.1
XP_015684236.2,XP_034266128.1
XP_015675385.1,XP_034268281.1
XP_029140618.1,XP_034293780.1
XP_015683264.1,XP_034279691.1
XP_015681486.1,XP_034258668.1
XP_029140153.1,XP_034284192.1
XP_015681489.1,XP_034289775.1
XP_015678800.1,XP_034289186.1
XP_015676168.1,XP_034294123.1
XP_015672330.1,XP_034282458.1
XP_015683091.1,XP_034289226.1
XP_015684661.1,XP_034290560.1
XP_015674102.1,XP_034291509.1
XP_015681929.1,XP_034282123.1
XP_015666084.2,XP_034258212.1
XP_015666110.1,XP_034257771.1
XP_015668189.1,XP_034290854.1
XP_015681227.1,XP_034269752.1
XP_015682369.1,XP_034286125.1
XP_015683372.1,XP_034260621.1
XP_015680062.1,XP_034263442.1
XP_015672103.1,XP_034273831.1
XP_015679004.1,XP_034273572.1
XP_015682395.1,XP_034277262.1
XP_015674665.1,XP_034282914.1
XP_029139417.1,XP_034286674.1
XP_015676574.1,XP_034289938.1
XP_015687249.1,XP_034296491.1
XP_015665823.1,XP_034279148.1
XP_015675793.1,XP_034297744.1
XP_015674716.1,XP_034273532.1
XP_015684035.1,XP_034297819.1
XP_029141180.1,XP_034263258.1
XP_015681928.1,XP_034262471.1
XP_029139464.1,XP_034295820.1
XP_015679327.1,XP_034288738.1
XP_015674586.1,XP_034275731.1
XP_029142339.1,XP_034274679.1
XP_015674217.1,XP_034274739.1
XP_015674218.1,XP_034274737.1
XP_015684051.1,XP_034274725.1
XP_015687915.1,XP_034297513.1
XP_015683463.1,XP_034274239.1
XP_015680879.2,XP_034263217.1
XP_015687833.1,XP_034272891.1
XP_029141832.1,XP_034279916.1
XP_015683269.1,XP_034289075.1
XP_029139356.1,XP_034281042.1
XP_015673689.1,XP_034292936.1
XP_015673690.1,XP_034292937.1
XP_015668769.1,XP_034290374.1
XP_015679290.1,XP_034276804.1
XP_015680499.1,XP_034269411.1
XP_029140837.1,XP_034257685.1
XP_015683980.1,XP_034294338.1
XP_015671999.1,XP_034291092.1
XP_015677116.1,XP_034279453.1
XP_015684983.1,XP_034290444.1
XP_015683278.1,XP_034291812.1
XP_029140458.1,XP_034294427.1
XP_015687979.1,XP_034297620.1
XP_029139483.1,XP_034278384.1
XP_015667859.1,XP_034285717.1
XP_015679297.1,XP_034297156.1
XP_015684283.1,XP_034280443.1
XP_029142274.1,XP_034277811.1
XP_015672886.1,XP_034296408.1
XP_015667638.1,XP_034267571.1
XP_029140079.1,XP_034261896.1
XP_015683078.1,XP_034280877.1
XP_015673564.1,XP_034267054.1
XP_015681744.1,XP_034282073.1
XP_015678805.1,XP_034262214.1
XP_015680353.1,XP_034289001.1
XP_029142701.1,XP_034263275.1
XP_015674207.1,XP_034269459.1
XP_015687030.1,XP_034275803.1
XP_015673629.1,XP_034289036.1
XP_015674446.1,XP_034282331.1
XP_015677812.1,XP_034288790.1
XP_015676595.1,XP_034294500.1
XP_015684723.1,XP_034291802.1
XP_015666139.1,XP_034258069.1
XP_015667016.1,XP_034270885.1
XP_015669627.1,XP_034295509.1
XP_015670757.1,XP_034258182.1
XP_015687376.2,XP_034281794.1
XP_015677241.1,XP_034276292.1
XP_029141497.1,XP_034268409.1
XP_015673422.1,XP_034285630.1
XP_015673621.1,XP_034269690.1
XP_015686404.1,XP_034293297.1
XP_015675512.1,XP_034273541.1
XP_015687503.1,XP_034265708.1
XP_029141102.1,XP_034285547.1
XP_015667064.1,XP_034258514.1
XP_015668459.1,XP_034268494.1
XP_015681216.1,XP_034275410.1
XP_015671778.1,XP_034295229.1
XP_015670555.1,XP_034259152.1
XP_015668054.1,XP_034293159.1
XP_015686691.1,XP_034293160.1
XP_015670526.1,XP_034264576.1
XP_015672049.2,XP_034288798.1
XP_029142652.1,XP_034281768.1
XP_015676241.1,XP_034258706.1
XP_015676064.1,XP_034272562.1
XP_015669651.1,XP_034296212.1
XP_015682094.1,XP_034273407.1
XP_015672389.1,XP_034258707.1
XP_029138820.1,XP_034279063.1
XP_015673500.1,XP_034273967.1
XP_015665633.1,XP_034271256.1
XP_015673554.1,XP_034274635.1
XP_029140422.1,XP_034270624.1
XP_015677783.1,XP_034298566.1
XP_015682318.1,XP_034260303.1
XP_015676106.1,XP_034266237.1
XP_015668560.1,XP_034273874.1
XP_015673760.1,XP_034274994.1
XP_029139789.1,XP_034283965.1
XP_015674138.1,XP_034273427.1
XP_015678733.1,XP_034274503.1
XP_015679412.1,XP_034263704.1
XP_015674670.1,XP_034264541.1
XP_015670669.1,XP_034289686.1
XP_015686577.1,XP_034288135.1
XP_015687661.1,XP_034282092.1
XP_015679676.1,XP_034259942.1
XP_015679684.1,XP_034259933.1
XP_029139532.1,XP_034288445.1
