"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_livr_1","Mus_livr_2","Mus_livr_3","Mus_livr_4","Homo_livr_1","Homo_livr_2","Homo_livr_3","Canis_livr_1","Canis_livr_2","Canis_livr_3"
"1132",107286997,"myosin light chain 2",7,103,2,5,24,1402,4,43,2,14,155,68,5,7,1,57,18,2,25,0,1,111,20,38,0,3,33,187,1276,79,0,0.0758376,0.0857416,0.0685402,0,0.151121,0.776174,0,0.230186,9.372043
"1133",107286998,"MANSC domain containing 1",232,110,69,69,129,29,45,107,70,28,292,100,63,51,38,93,96,108,88,91,53,183,338,116,222,124,19,68,50,14,0.635823,0.638759,0.499867,0.577589,1.106509,1.5565397,1.864195,12.5435,19.2917,7.7164
"1134",107287000,"RAD9 checkpoint clamp component B",12,45,41,9,6,10,4,12,24,15,34,24,8,18,8,16,9,4,31,1,5,28,22,27,26,25,7,15,18,8,0.800757,1.1304437,1.2014293,1.1196079,0.535255,0.10905505,0.6018632,1.56132,0.986245,0.976521
"1135",107287002,"diablo, IAP-binding mitochondrial protein",451,350,538,229,219,284,92,250,295,214,372,748,285,267,257,273,163,175,609,190,213,424,600,406,648,274,343,182,406,192,24.152888,27.098791,24.653766,26.34323,27.6701,18.51723,20.78781,47.0251,41.2446,29.9824
"1136",107287004,"proteasome 26S subunit, non-ATPase 9",296,172,236,125,120,189,83,62,182,87,152,254,154,103,125,114,88,67,270,69,98,172,265,204,204,181,197,454,187,57,28.848942,26.901133,25.684077,29.05615,34.148002,25.732677,20.75077111,49.464577,39.1521,14.4591761
"1137",107287005,"4-hydroxyphenylpyruvate dioxygenase",0,6,10,1,0,1,0,1,0,0,1,0,0,2,1,0,0,0,1,0,1,2,2,2,1,6,1,1,0,0,3627.8396,2743.67963,2609.20751,2758.53646,1814.80549,616.988631,1363.55506,2080.42406,4619.3379,3331.82038
"1138",107287006,"MORN repeat containing 3",44,196,140,121,52,177,12,99,125,41,150,86,94,22,44,90,23,33,221,46,75,178,161,297,77,135,58,25,227,31,0,0.148548,0,0.0671281,0.441328,0.0424735,0.0947036,1.86016,2.56128,2.51053
"1139",107287008,"ring finger protein 34, E3 ubiquitin protein ligase",8,12,16,2,11,8,2,5,11,4,14,17,13,6,3,9,14,5,15,12,8,20,44,9,16,8,6,9,19,15,2.45678,3.77864,3.16096,2.925406,18.50402,5.043494,9.357924,12.64896,9.55853,5.51633
"1140",107287009,"dual specificity phosphatase 16",26,35,74,33,11,30,11,11,36,10,45,20,30,18,10,14,13,11,61,15,32,24,59,52,24,51,21,36,43,41,16.0641807,18.07702,15.4758648,17.1125302,8.134316,2.24309,3.793101,25.9695,21.3047,9.75232
"1141",107287010,"anaphase promoting complex subunit 5",55,53,96,39,98,68,26,84,46,32,87,132,64,65,22,75,38,40,99,37,48,170,210,139,174,55,50,58,92,44,54.413776,48.077511,47.8615449,56.4542486,36.59447106,20.0989491,36.748899,6.78867,9.27032,6.28797
"1142",107287011,"intraflagellar transport 81",9,26,32,11,11,21,6,30,12,21,33,25,47,17,8,41,8,5,51,24,26,123,52,23,22,35,13,5,24,1,0.4454767,0.3502211,0.3415804,0.4778204,1.214562372,1.296437,2.1592283,1.21925,0.7409626,0.309624
"1143",107287012,"piccolo presynaptic cytomatrix protein",7,20,19,3,12,16,3,5,14,5,19,1,8,4,4,4,3,6,9,3,0,9,24,32,36,33,9,17,21,2,0.1090471,0.156122726,0.2278616,0.14970749,0,0.02582357,0.06364161,0.02293412,0.334905,0.0274059
"1144",107287013,"fibulin 1",102,161,182,208,45,24,32,30,374,31,102,182,56,72,43,50,133,121,385,112,65,112,536,405,104,120,146,91,46,180,1.574679,1.283489,1.283466,1.20094,2.554463,1.342138,2.534666,129.44625,211.716875,274.011358
"1145",107287014,"ataxin 10",148,48,53,76,83,29,23,42,77,45,55,40,35,64,34,51,48,54,85,29,41,35,52,60,74,28,44,177,39,155,37.0079,34.1007,34.4183,31.8878,52.186728,39.265559,67.242841,30.74105,48.81024,24.62051
"1146",107287015,"wingless-type MMTV integration site family member 7B",0,17,16,0,1,17,3,7,0,4,7,8,4,1,1,4,1,0,5,2,7,2,16,5,6,6,2,6,4,1,0.102193,0.018325435,0.0191562,0.0919538,0.2841496,0,0.041239,0.119362,0.262496,0.1687918
"1147",107287025,"lipoyl(octanoyl) transferase 2 (putative)",7,2,6,4,4,2,2,8,4,2,3,8,1,5,2,2,0,5,4,2,5,6,4,8,7,4,5,18,4,8,3.70877,4.6166,4.93104,4.73273,1.400806,1.560896,1.832705,10.6413,8.24242,4.97162
"1148",107287026,"phosphoglucomutase 2-like 1",1,6,2,1,0,6,0,0,2,1,5,0,1,4,0,1,1,0,0,2,0,4,0,8,1,2,0,4,2,0,0.579496,0.729085,0.524608,0.722158,0.1824749,0.0841964,0.218972,0.529931,0.507738,0.325903
"1149",107287037,"RELT tumor necrosis factor receptor",0,0,0,0,0,0,0,0,3,0,1,6,1,0,0,0,0,0,1,0,0,0,6,1,0,1,0,0,0,0,0.92657,1.267424,0.485954,1.47344,0.808927,0.181567,0.3039824,0.488914,0.353838,0.414838
"1150",107287045,"DnaJ heat shock protein family (Hsp40) member B13",21,80,65,32,14,45,3,32,56,28,69,37,106,20,4,109,17,13,205,25,77,152,62,173,11,54,22,7,36,7,0.1291977,0.37086,0.251574,0.20110769,0.228158,0.0213954,0.129721,1.526308,0.808825,0.366119
"1151",107287049,"mitochondrial ribosomal protein L48",49,17,40,49,20,24,5,20,36,9,25,25,12,9,17,10,4,8,28,5,18,42,19,17,34,15,28,52,12,26,13.733857,17.7133325,19.3191752,15.465475,16.20702,23.39925,18.24918,9.3958,13.912348,9.466467
"1152",107287053,"sprouty related, EVH1 domain containing 2",3,7,9,2,1,5,3,2,7,4,6,0,2,4,0,1,2,1,8,6,1,4,5,2,6,2,2,3,8,3,3.79926,4.554348,4.811016,4.09474,14.3437,1.53991,4.456463,4.848634351,7.79912386,3.72375855
"1153",107287055,"serine/arginine-rich splicing factor 3",1535,1375,1790,1353,930,1024,381,626,1512,467,1146,1211,1093,756,445,715,537,568,1480,440,602,1560,2154,1355,1391,1629,1058,1062,1130,1290,20.3075381,31.096733,33.3880521,31.246621,140.097739,58.56941,53.143552,126.952,151.216,48.7644
"1154",107287060,"apolipoprotein B mRNA editing enzyme catalytic polypeptide like 2",338,1942,755,1209,375,1848,203,722,334,762,1222,350,1061,327,406,278,63,38,1134,294,470,1473,177,1381,1321,3080,384,672,2063,29,0.0376232,0.0651818,0.0491231,0.0589287,0.217386,0.122416,0.0927306,0.20679,0.175669,0.352074
"1155",107287068,"BCL2 antagonist/killer 1",9,34,13,8,12,16,2,9,13,6,47,4,18,10,7,9,2,5,25,12,5,30,71,16,25,15,11,7,18,2,17.968025,15.1532337,15.60486016,17.06443,5.247797,1.50544,2.43009,9.78516,7.737026,12.00481
"1156",107287071,"KN motif and ankyrin repeat domains 4",163,228,190,167,74,78,155,80,239,113,207,151,119,65,219,140,132,140,202,137,106,254,593,123,190,77,183,30,179,183,0.120825,0.0117001,0,0.0211621,2.2816403,0.0823535,0.26781747,0,0.0206115,0.7521214
"1157",107287072,"angiopoietin like 3",159,12,18,27,13,16,8,20,49,9,17,8,12,7,34,17,37,45,42,13,14,8,22,21,30,22,70,7,14,140,159.562347,129.288305,120.028213,136.089655,75.5123,81.05147,290.8611,0.967858,1.77137,464.798
"1158",107287074,"ALG6, alpha-1,3-glucosyltransferase",321,92,124,182,277,81,125,137,189,118,131,131,107,135,151,137,87,98,246,130,116,103,132,194,224,101,281,121,44,193,0.9696446,1.6059805,1.67722,1.8669274,2.0199025,3.639993,5.138624,0,0.12943,9.45111
"1159",107287078,"receptor tyrosine kinase-like orphan receptor 1",40,38,21,9,42,36,11,35,15,17,67,14,27,29,42,40,30,16,20,52,25,60,220,16,75,5,15,21,102,25,0.649147,0.512751,0.677976,0.822441,0.1235088,0.0325063,0.0590968,0,0,0.0448033
"1160",107287080,"TM2 domain containing 1",310,251,327,162,149,162,74,69,126,51,149,210,133,134,131,102,91,70,187,100,74,211,353,166,264,216,164,80,226,117,10.559118,10.430667,10.773836,10.203089,8.6695157,7.649752193,13.219739,0.308276,0.0827709,27.09961
"1161",107287081,"PATJ, crumbs cell polarity complex component",175,378,421,266,154,172,108,201,319,136,545,132,152,272,243,227,150,217,305,125,152,290,332,270,248,219,310,62,266,156,3.8149357,2.4238993,4.4249473,2.4009829,6.5383141,2.7207496,4.564998561,0,0.03611419,11.3015
"1162",107287082,"ubiquitin specific peptidase 1",299.65,475.48,699.94,265.46,176.79,360.26,71,166.15,365.27,157.62,406.66,330.48,314.84,179.86,160.75,92.8,126,131.85,415.97,133.87,169.48,402.32,826.06,481.37,355.31,579.2,192.94,179.8,447.48,251.63,24.424242,30.970962,32.925094,23.353133,1.346464,2.87031,4.207759,1.6344,1.16629,3.33036
"1163",107287083,"dedicator of cytokinesis 7",1125,415,363,326,233,264,397,332,825,245,340,528,242,329,571,423,529,1051,552,675,317,312,781,318,647,224,1170,398,222,1272,5.8774834,6.087234001,5.6517278,5.2124039,3.5135628,2.826759378,3.6506291,0.0103351,0.00969941,4.81329
"1164",107287085,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",624.02,506.05,1192.76,104,192.89,109.67,37,80,170,75,1907.05,383.05,283.02,300,178.02,94,125,59,243,112,69,729,2306.17,449,1138.01,240.09,256.85,51,329.18,269,0,0,0,0,0,0,0,0,0,0
"1165",107287087,"zinc finger protein 217",132,89,91,94,86,80,136,145,97,120,168,37,114,109,125,112,185,180,100,165,95,151,249,72,187,109,145,44,59,43,6.057672,4.426133,4.2510626,2.969979,2.206861,1.83794,1.555768,2.8575299,1.84492,1.0549503
"1166",107287097,"NFS1 cysteine desulfurase",296,754,734,279,202,340,112,299,405,173,374,766,369,179,190,183,195,232,683,238,234,532,857,633,555,392,320,72,411,244,65.20544,69.90547,70.49852,70.15533,23.17078,17.626,23.5742,29.9561,34.2817,28.013397
"1167",107287098,"reactive oxygen species modulator 1",875,522,714,1066,472,557,324,531,966,401,582,600,423,459,344,446,387,391,857,266,533,626,690,588,724,844,482,2520,972,1028,179.83091,216.14922,222.302603,202.120414,107.83385,91.65397068,84.7344,617.547,330.717,232.375
"1168",107287104,"growth differentiation factor 5",233,8,1,553,274,95,173,390,231,290,52,97,0,198,396,265,659,715,74,205,293,3,0,16,264,2,398,84,18,322,0,0,0,0,0,0.0161609,0,0,0,0
"1169",107287111,"RAB interacting factor",562,449,651,359,338,229,153,288,353,212,415,551,361,214,179,181,231,211,559,226,282,425,947,460,577.06,581,363,219,311.42,275,7.75562,9.3198,8.75985,9.13756,1.53356,1.00072,1.36812,0,0,13.1214
"1170",107287127,"peptidoglycan recognition protein 2",4,25,33,0,3,9,0,5,2,1,10,8,2,2,2,11,2,0,8,14,5,11,21,17,14,9,2,0,48,1,163.430594,208.59607,211.07617,214.329578,421.6683,19.703385,182.45317,27.6455,53.3119,14.2521
"1171",107287134,"angiomotin like 2",610,549,476,377,361,550,263,329,440,324,468,449,375,326,416,425,415,598,510,565,251,535,1349,378,1002,397,494,252,580,289,12.302444,9.847416,7.531921,8.354147132,4.7775742,3.761444,3.780035,7.62226,17.027,7.52955
"1172",107287137,"iroquois homeobox 2",550.01,601.02,871.97,640.97,434,264.01,265.5,402,464.04,168.01,458,390.01,335,312.02,358.01,394.01,307.01,329.01,566,242,370.03,442,808,568,424,252,369.67,566.02,531,598,0.176822,0,0,0,0,0,0.02166675,0.214361,0.128294,0.0881225
"1173",107287152,"defender against cell death 1",2622,488,723,1957,1542,629,1068,1184,1634,1266,814,705,674,1672,895,1245,1346,1517,1025,832,1256,1417,948,916,1188,984,1151,6101,591,2042,425.3741757,529.055093,484.869244,501.734255,105.3,101.445,89.6159,60.8612,87.906,143.509
"1174",107287154,"CGRP receptor component",56,60,78,46,25,54,31,29,50,35,61,40,43,30,53,36,53,37,103,27,54,54,102,63,97,49,53,84,77,35,12.99972,9.302575,10.558837,11.90936,7.813984,5.065971,5.005389,0,0.169764,60.17255
"1175",107287160,"tubulin epsilon 1",65,168,190,164,31,116,26,184,160,38,206,126,356,82,56,199,58,34,326,101,124,443,175,238,92,174,88,4,115,61,0.7696094,1.026606,0.5775035,1.4168576,21.779485,7.200568,20.5876,10.1048,5.919827,3.446123
"1176",107287161,"FYN proto-oncogene, Src family tyrosine kinase",106,404,394,162,61,110,30,80,141.99,35,344,139,205,109,93,39,55,44,305,104,90,289,490,265,183,259,137,29,221,99,2.60612,3.753899,4.270298,3.668789905,20.78087667,7.4693355,21.9612006,10.103577,6.113431,2.076971
"1177",107287179,"ligand of numb-protein X 2",5,12,10,7,5,7,7,4,17,6,10,25,7,9,4,8,7,1,14,5,1,21,56,8,11,12,7,3,5,5,28.7968,22.6818,27.6687,20.11608,2.83212,4.314163,4.447189,22.3838,29.8044,10.72648
"1178",107287183,"CDC42 binding protein kinase beta",661,1450.98,1706,799,602,704,489,784,1072,544,1130,668.99,635,543,888,796,633,606,1093,937,610,1160,1612,986,1097,994,1009,305,1049.99,677,63.73028,83.21748,90.15831,96.77298,25.88601,1.424515,7.318331,0.0134992,0.100781,13.95141
"1179",107287185,"TNF receptor associated factor 3",15,44,59,22,16,36,16,30,39,20,143,48,36,16,13,9,8,15,30,5,13,54,48,34,32,55,42,3,94,11,5.618298,5.704538953,5.278253,5.3907482,9.805539208,1.4593278,1.704622021,0,0,0.732896
"1180",107287186,"solute carrier organic anion transporter family member 4C1",55,329,245,23,74,139,6,107,54,25,167,140,96,57,44,59,14,13,291,114,74,113,450,403,341,305,224,4,144,9,0,0,0,0,4.25498,0.138103,2.42704,0.280848,0.133422,0.207064
"1181",107287188,"importin 8",76,68,142,72,90,54,33,50,54,67,103,47,60,74,42,58,56,77,86,46,44,140,184,104,166,56,105,17,110,42,10.6725964,10.055746,9.847801,11.1164159,14.452094,2.821347,7.340055,9.3217,8.25131,2.76988489
"1182",107287192,"KIAA1551 ortholog",592,881,672,529,591,332,336,376,558,317,3530,339,988,394,489,401,744,389,873,209,414,1324,870,597,802,657,443,172,586,963,7.0007459,4.402399,4.060666,4.328693,8.49168,14.31529,27.3564,7.44496,5.86388,2.47734
"1183",107287196,"FYVE, RhoGEF and PH domain containing 4",84,138.28,127.83,150.64,39.4,76.69,27.89,66.56,173.33,69.82,168.96,113.88,66,39,72.95,113.83,43,56,150.09,87.72,99,182,184.94,112.19,111.96,134.07,101.31,22.23,122.51,78,2.30974,3.1135589,3.3821727,3.1625435,6.247189656,1.5379536,5.5052067,4.313611,4.71469843,7.31322
"1184",107287197,"plakophilin 2",286,1177,1460,167,174,527,114,299,336,124,643,615,474,195,315,442,157,104,921,525,256,548,1443,629,551,447,311,97,453,146,19.62636,17.851038,18.343361,17.615309,5.563408,3.0976212,8.874253,8.119533,16.4491,19.1802946
"1185",107287198,"caprin family member 2",2,8,6,3,1,6,0,4,17,1,5,7,7,0,2,0,0,1,10,3,1,2,51,9,6,3,5,1,5,2,1.7015162,3.3329378,3.0107115,4.077222,4.129431,1.5713996,2.862813,2.429382,2.253862,1.4871545
"1186",107287199,"family with sequence similarity 60 member A",6,10,10,3,5,10,0,3,7,5,3,3,10,0,2,2,1,2,5,3,1,6,53,8,7,10,6,1,5,1,0.58104825,4.525361,7.295762,6.256359,0.4745113,0.8861587,1.03664941,8.44213,3.81906,3.43192
"1187",107287200,"electron transfer flavoprotein beta subunit lysine methyltransferase",2,7,9,13,4,4,2,5,11,4,29,12,8,2,3,9,2,4,6,6,4,28,13,2,17,8,8,0,3,3,15.23608,4.38585539,3.754556,4.974282993,3.774418,0.98221614,3.003242,2.31177,2.87133,1.55492
"1188",107287201,"tyrosyl-tRNA synthetase 2",84,54,79,87,47,46,30,59,78,26,63,59,47,36,81,37,40,55,52,35,45,150,68,73,87,75,49,158,60,81,22.784977,22.779305,25.866292,21.307605,4.00238,4.744157,3.837664,8.64159,11.91754,3.93276
"1189",107287203,"synaptotagmin 10",1,7,2,1,3,0,0,2,0,3,0,0,1,3,0,0,0,0,0,0,0,3,2,0,3,3,2,0,1,0,0,0,0,0,0.1112067,0.0158543,0.0600485,0.472933,0.400007,0.169214
"1190",107287214,"ubiquitin protein ligase E3 component n-recognin 7 (putative)",2984,1980,2164,1506,1075,1171,443,740,1188,723,1434,1092,943,795,755,610,1068,1301,1743,726,533,1696,3010,1946,2234,1474,1529,661,1921,777,5.08543,5.0292,4.63178,4.7154,2.36802,2.22237,3.672715,0.0690718,0.0586634,8.23121
"1191",107287215,"ankyrin repeat and SOCS box containing 2",476.78,5057.58,1902.83,1467.61,899.08,2571.44,220.93,570.54,1005.78,819.17,2157,294.74,857.03,679.22,377.04,472.06,68.3,287,2508.89,512.97,302.02,1888.74,1104.09,2706.99,1946.83,5428.71,676.81,228.05,3952.28,117.01,4.63357,4.8878,5.77419,4.31533,0.06004238,0,0.1355062,0,0,0.376424
"1192",107287220,"RAS guanyl releasing protein 1",54,20,36,87,47,22,42,35,32,64,30,25,15,45,49,40,85,61,17,34,74,22,24,19,57,32,85,26,24,61,0.2853502,0.82945693,1.19520838,1.101213,0.5343251,0.04185201,0.3857199,4.41546,3.82869,7.5768704
"1193",107287222,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",2,7,8,1,4,0,0,4,2,0,3,0,12,2,0,3,0,2,0,1,2,8,9,1,8,9,0,3,33,0,0.0572356,0.108286,0.121083,0.113764,0.0628557,0,0.0241525,0,0,0.175274
"1194",107287223,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",461,956,1025,482,326,613,175,355,561,259,586,690,478,353,199,207,445,453,962,362,330,714,989,983,524,610,418,101,758,201,8.14731,7.34484,8.14413,7.30973,40.655524,26.5961203,23.325296,34.39147,26.80552,18.776218
"1195",107287225,"ubiquitin like 5",1031,967,1206,1340,597,839,386,637,1032,435,843,765,657,584,557,616,400,378,1068,378,665,1060,949,737,821,1142,701,1972,987,916,223.594287,209.032775,206.376326,226.670599,196.1783,157.3625,210.2816,76.3086,87.1363,296.772
"1196",107287227,"family with sequence similarity 98 member B",22.42,18.64,15.79,3.95,4.95,3.95,2,7.9,11.83,2,17.11,5,9,1,2,0,1.18,5,15.79,3.95,3.95,11.62,14.2,14.47,11.85,16.43,7.9,2.63,14.48,3.76,2.7159,2.2087004,2.35699,2.27033899,0.973226,1.421581,1.26549,13.7147,12.3575,4.16483
"1197",107287229,"ATPase 13A1",535,127,159,324,450,120,219,155,230,178,191,181,94,274,231,207,270,274,154,299,171,140,405,157,366,105,235,587,121,377,36.0915,53.7985,56.1041,53.7884,16.0943682,4.3186635,8.2160355,7.69031,9.42381,8.74811
"1198",107287230,"DSN1 homolog, MIS12 kinetochore complex component",34,151,101,48,26,82,8,117,88,17,219,76,160,56,30,51,13,18,141,42,82,269,259,214,52,109,53,18,104,41,0.701346,0.149576,0.8377872,0.261856282,1.470302,1.411308624,2.861511097,0.2961476,0.56040766,0.718519
"1199",107287233,"lysophosphatidic acid receptor 2",257,658,647,190,201,296,86,208,215,85,377,370,291,175,135,172,190,134,535,265,145,353,1000,341,271,233,199,28,248,95,0.134631001,0.635789,0.699166003,0.619218,2.653015014,0.6396959,0.942956,0.0715528,0.059375,0.160432
"1200",107287236,"6-phosphogluconolactonase",120,201,158,91,44,86,31,55,125,35,132,102,60,55,74,37,51,48,180,59,100,108,138,159,124,116,76,217,60,116,113.374033,95.626291,123.865499,99.091817,43.545629,25.480839,25.672994,22.0358,28.0808,22.0409
"1201",107287253,"zinc fingers and homeoboxes 3",339,376,357,273,152,234,94,151,284,127,331,253,142,157,209,188,183,197,313,154,162,309,533,269,262,384,247,118,241,145,12.490052,13.221346,17.00662,12.371636,6.302891,3.76826,4.579707,19.4478,22.9355,12.2686
"1202",107287254,"SRC proto-oncogene, non-receptor tyrosine kinase",45,113,135,37,29,34,17,31,51,19,111,35,63,22,21,62,22,14,51,22,24,71,154,63,86,63,49,7,49,8,2.933964371,6.167710062,5.695043,4.464906301,5.799583,0.879794,2.1522,3.49054,4.82621,4.467864
"1203",107287255,"growth hormone releasing hormone",1,1,2,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,2,1,1,2,0,2,3,3,0.422572,0,0,0,0,0,0,0,0,0.018182
"1204",107287256,"elastin microfibril interfacer 3",1,6.13,8,5,5,3.35,1,5,6,0.97,1.11,1,2,1,0,2,1,0,2,1,0,4,26,5.13,4,5,0,9.23,4,3,0,0.0167842,0.0189717,0.0151781,0.410954,0.0234039,0.126725,0,0,0
"1205",107287257,"phospholipase C gamma 1",25,93,73,17,15,44,33,25,57,17,79,34,78,24,36,37,26,19,73,33,25,78,273,75,80,33,46,12,53,12,37.328932,41.578221,46.506508,42.200077,11.986245,1.7548532,5.9355859,6.20388,5.50129,4.6166742
"1206",107287258,"topoisomerase (DNA) I",668,774,815,511,300,341,182,290,598,189,579,437,472,270,321,319,374,298,636,260,292,533,1274,555,632,850,398,583,579,660,5.877757,6.026322,7.553304,5.6688546,15.3681,7.19026,9.74239,24.1008,26.8229,14.4208
"1207",107287259,"secretogranin V",15,18,77,9,24,16,6,2,90,1,5,58,3,41,2,6,6,7,65,22,8,9,21,20,95,16,30,22,6,6,0,0.10477,0,0.0473555,3.686446,0.5071258,7.233772,1.408943,1.584399,2.896605
"1208",107287262,"chemerin chemokine-like receptor 1",50,168,123,95,26,41,17,41,74,17,151,55,73,45,28,26,24,19,170,43,46,228,96,173,103,122,92,3,48,25,5.58023,4.122394,5.623795,4.426712,1.420527,0.150604,0.570418,3.00561,3.18743,0.75803
"1209",107287284,"X-box binding protein 1",1666,198,293,918,642,241,512,302,924,315,300,523,155,618,622,528,833,612,465,313,443,225,480,425,910,406,584,2224,257,1507,125.99756,218.11338,214.36859,209.8657,204.91759,188.18336,235.26416,920.003,883.913,219.827
"1210",107287287,"iron-sulfur cluster assembly enzyme",228,359,458,304,175,336,77,156,331,90,247,210,203,132,93,180,132,95,398,115,140,213,219,284,332,417,222,437,418,195,117.45236,100.012856,103.485241,97.024453,52.37174,38.470514,53.625051,258.480847,219.66574,127.3722009
"1211",107287290,"D-amino-acid oxidase",2,33,26,14,6,36,4,5,24,5,18,16,12,8,3,4,5,2,27,7,12,22,43,30,6,24,2,2,24,8,0,0.101507,0,0,236.85057,7.6082259,85.033799,67.608247,109.34434,96.403568
"1212",107287291,"SV2 related protein",2,19,19,0,5,12,2,6,6,4,12,9,7,0,1,6,2,2,9,8,0,10,8,13,11,16,6,3,16,0,0.0620701,0.0717971,0.0405798,0,0.296384,0.00632175,0.126796,0.385952,0.551239,0.8692517
"1213",107287293,"ubiquitin specific peptidase 30",42,42,48,34,26,18,10,20,34,23,43,46,20,19,16,21,12,20,55,21,27,42,76,37,66,47,24,54,35,45,15.878289,14.388242,14.152416,13.204619,11.73102566,2.9506293,13.338488,4.169866,4.21214,3.82183
"1214",107287296,"myosin IH",2,6,1,1,1,5,0,9,2,1,2,10,5,4,3,2,0,0,6,1,4,12,18,7,4,6,1,2,7,3,0,0.0523852,0,0.0180945,0.0148088,0,0.0589401,0,0,0
"1215",107287298,"ubiquitin protein ligase E3B",16,12,5,3,18,4,16,4,7,3,5,10,7,6,10,6,2,3,9,4,3,10,14,9,13,4,4,14,12,11,36.60753203,45.89919461,44.31029134,43.870843,6.7220132,1.6548353,3.7863646,12.5951946,20.40716727,10.9703821
"1216",107287311,"coiled-coil domain containing 117",68.1,91.38,77.76,50.01,40.51,49.09,25.59,35.66,72.86,25.73,52.38,82.21,40,42,57.08,37.11,43.28,35.36,72,20.82,41.14,49.38,67.47,62.52,70.89,81.59,35.87,44.25,78.93,66.51,4.37008,4.66724,4.85501,4.75583,11.183907,5.705722791,10.5791267,33.71118,16.39874,7.587886
"1217",107287312,"leucine rich repeat containing 4C",1,28,18,1,6,2,3,5,56,2,8,31,29,1,1,5,1,0,26,2,6,34,204,13,2,15,7,1,17,0,0.252063,0.53022,0.330663,0.231471,0.250001,0.0505393,0.1788283,0,0,0
"1218",107287313,"tenascin R",0,16,8,0,3,2,0,3,2,0,5,0,1,0,0,3,0,0,1,2,0,0,3,2,5,8,2,2,7,3,0.0394294,0.173157,0.0883663,0.0979875,0.0427088,0.00673243,0.01589,0,0,0.0118275
"1219",107287314,"tenascin N",1,3,11,2,2,2,4,7,8,0,4,3,5,1,5,3,0,1,7,2,1,7,10,9,4,7,3,2,9,2,0,0,0,0,0.326422,0.0922988,0.2605993,0,0,0.135302155
"1220",107287315,"mitochondrial ribosomal protein S14",268,308,386,336,149,200,86,193,371,127,281,252,286,161,166,191,137,128,442,106,181,379,372,472,201,319,167,620,283,227,15.73608,17.32742,18.15313,18.72547,16.10482,11.42432,12.40658,75.5984,34.3085,59.0497
"1221",107287320,"actin binding LIM protein 1",476,2500.34,1902.39,515,338,1233,112,249,1238,267,703.14,601,630,414,344,421,502,324,2035,578,327,795,1713,1161,1040,1570,784,146,1091.2,304,17.967895,15.124523,15.234993,15.076462,7.7410321,3.241031,4.253301,2.677078,5.626562,5.3023059
"1222",107287321,"actin filament associated protein 1 like 2",78,132,130,47,56,41,26,28,237,52,120,143,184,50,72,29,57,64,135,72,22,246,1365,79,201,40,83,10,82,39,0.5965206,0.708786,0.541679,0.7125928,1.183077,0.1972462,0.6897241,1.923877,2.6956423,0.9741699
"1223",107287322,"adrenoceptor beta 1",36,342,272,38,27,71,14,25,83,19,112,141,105,25,36,38,4,9,106,88,25,168,593,161,103,119,27,7,242,18,1.115666,1.005014,0.990307,0.89515,0.333912,0.0969901,0.112339,0.402771,1.24494,0.703471
"1224",107287324,"coiled-coil domain containing 172",3,4,6,3,6,3,1,8.01,3,4,13.36,6.99,3.99,4,1.99,2,0.99,0,5.98,2,1.25,5,12,13,17,2.99,1,1,2,4,0,0,0,0,0,0,0.0186027,0.225781,1.25411,0.679806
"1225",107287326,"GDNF family receptor alpha 1",4,230,236,4,8,28,3,10,205,14,123,354,381,12,18,15,2,4,217,25,13,390,1819,86,32,32,10,3,135,9,53.073106,51.78358711,44.51903,44.488385,23.722537,2.14534394,10.9249648,0.118528,0.0511452,0.112356
"1226",107287328,"von Willebrand factor A domain containing 2",18,56,52,2,5,12,13,10,9,3,4,13,11,6,30,6,14,7,21,31,18,32,116,31,18,12,31,2,22,6,0.0120136,0,0.0157725,0.0126191,0.172409,0.017799,0.0405189,1.4346222,1.09207713,0.539812
"1227",107287330,"coiled-coil domain containing 186",1311,1208,1341,797,584,774,352,465,803,343,935,586,703,496,481,468,396,458,1121,488,533,932,1333,786,1059,1041,833,324,1048,520,0.937097,1.690347,0.740514,1.181576,0.926528,0.94162,1.353789,5.8502,3.76382,2.464638
"1228",107287336,"Rho guanine nucleotide exchange factor 39",0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,2,0,0,2,3,2,0,0,0,0.9449607,1.4505828,1.3177588,0.725957,0.663417,0.0460323,1.102191,0.695667,0.514672,0.857216
"1229",107287341,"glucosidase, beta (bile acid) 2",32,50,35,45,58,20,28,39,39,30,14,38,23,44,32,30,34,41,41,36,27,48,50,55,49,19,32,79,50,51,7.594959,12.82374,11.417622,10.353245,27.151524,6.465031,16.475819,10.7494,12.4086,8.47486
