"","X","gene","description","class","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Pm_1_heart","Pm_10_heart","Pm_3_heart","Pm_5_heart","Pm_8_heart","Pm_1_kidney","Pm_10_kidney","Pm_3_kidney","Pm_5_kidney","Pm_8_kidney","Pm_1_liver","Pm_10_liver","Pm_3_liver","Pm_5_liver","Pm_8_liver","sg_1","sg_2","sg_3","sg_4","hrt_1","hr2_2","kidn_1","kidn_2","kidn_3","livr_1","livr_2","livr_3","Naja_vg_1","Naja_vg_2","Naja_vg_3","Naja_vg_4","Naja_vg_5","Naja_vg_6","Naja_liv_1","Naja_liv_2","Naja_kid_1","Naja_kid_2","Naja_pan_1","Naja_pan_2","Naja_sg_1"
"318",545,107283786,"multiciliate differentiation and DNA synthesis associated cell cycle protein",NA,1,3,5,3,1,12,1,6,1,0,8,0,6,5,1,9,1,1,0,0,2,20,1,7,1,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.78,2.45,3.17,3.18,7.14,6.78,20.82,21.43,19.7,15.1,15.72,15.65,0,0,0,0,0,0.454562,0,0,0,0.0393925,0,0,3.25249
"319",546,107283789,"mutL homolog 1",NA,55,193,187,152,54,285,30,122,92,91,215,169,106,79,71,48,46,88,119,62,88,338,476,164,126,258,99,15,313,55,114,75,270,163,301,133,131,596,349,367,71,135,156,130,319,0.07,0.12,0.14,0.03,12.34,10.74,3.59,4.23,4.42,0.35,0.46,0.19,0.818088,0.219277,1.49235,1.67313,0.883751,1.09221,1.77583,1.58705,1.23271,4.55511,1.57115,1.12329,4.27385
"320",547,107283790,"leucine rich repeat (in FLII) interacting protein 2",NA,578,1329,1149,2016,440,1931,169,786,649,752,1043,959,745,367,563,350,326,497,1122,391,674,1610,1445,1066,1066,2132,567,198,2331,344,838,739,1464,455,1532,469,350,996,716,644,247,175,249,184,253,47.96,64.72,47.96,49.73,523.51,431.08,762.38,731.45,755.54,375.97,373.14,378.92,5.43622,14.6058,9.04766,7.42616,7.94617,10.8046,7.97646,10.3943,13.2529,43.2273,8.22138,11.6006,37.4158
"321",548,107283792,"golgin A4",NA,1284,768,957,1751,542,857,403,856,1155,573,484,1032,430,631,632,467,555,1108,829,370,925,715,989,682,970,1219,880,728,1334,1221,566,895,790,603,1146,766,883,2166,1859,2354,892,586,545,589,909,0,0.35,0.15,0,0.77,1.05,2.07,2.26,1.32,64.89,63.15,65.45,0.950242,36.2601,2.52758,1.67541,5.40451,2.7731,1.69742,0.867468,2.98462,3.92284,3.28054,1.4849,5.89767
"322",549,107283794,"AVL9 cell migration associated",NA,301,173,152,229,132,170,71,171,104,173,110,201,82,102,77,90,114,230,174,125,84,185,586,133,202,216,140,30,194,105,51,29,112,64,85,101,60,190,166,137,35,71,85,105,144,3.75,11.5,2.66,3.08,0.76,0.42,3.87,3.5,3.41,0.09,0.32,0.34,2.35377,1.13274,7.14111,2.52432,2.67487,6.77058,1.98347,1.2062,7.68959,8.18993,4.04483,0.987691,7.6666
"323",551,107283800,"5'-nucleotidase, cytosolic IIIA",NA,110,467,405,496,137,489,42,271,188,181,223,328,232,128,134,69,71,110,227,80,164,552,385,318,226,564,116,99,798,90,99,202,160,104,224,120,98,252,225,169,81,80,115,86,85,5.03,4.02,4.87,5.24,9.77,8.26,65.03,64.86,70.23,12.22,12.49,14.14,0.497518,6.99297,1.25785,0.747954,1.25788,5.31524,0.715615,0.090663,1.46422,3.18515,2.04818,1.94012,4.12375
"324",552,107283801,"BMP binding endothelial regulator",NA,105,16,12,100,113,98,70,119,80,103,14,126,5,111,130,62,106,226,78,130,138,19,18,63,174,12,172,82,10,143,41,37,102,40,35,9,7,44,25,23,0,0,0,3,0,1.04,0.58,0.31,0.77,9.48,9.23,7.23,8.13,5.88,0.78,1.47,0.94,0.037796,0,0,0.145396,0.204656,0.376589,0.437937,0.0998699,0.127688,0.867092,0.188453,0.130845,0.21427
"325",553,107283802,"dpy-19 like 1 (C. elegans)",NA,247,638,793,277,118,463,46,199,445,97,516,267,323,178,122,84,123,190,441,235,217,736,1690,287,333,716,308,17,809,117,869,455,1386,466,1849,1305,662,2907,1288,1794,810,627,1214,669,985,0,0,0.05,0.06,0.28,0.2,0.86,1.16,0.94,0.09,0.28,0.18,0.915551,6.33018,0.91742,1.95232,6.95556,1.45081,2.5563,4.54628,2.80969,4.48401,3.09895,0.915513,5.68989
"326",554,107283803,"HERPUD family member 2",NA,727,800,776,1125,364,1278,255,639,428,733,445,999,363,365,444,492,436,624,837,380,795,943,1325,688,843,1426,438,270,1507,314,306,335,662,343,620,317,296,715,660,480,216,343,498,455,1313,33.72,26.61,32.54,31.5,23.45,20.79,138.55,134.87,142.3,109.23,106.23,106.8,2.66604,6.76053,4.14436,4.15602,4.43748,5.89018,3.42278,2.00712,3.39236,8.53544,4.22705,2.77747,8.78271
"327",555,107283806,"KIAA0895 ortholog",NA,54,156,189,202,53,202,20,151,95,101,182,82,101,66,63,61,51,104,154,62,145,436,332,100,108,302,90,9,203,36,69,38,152,86,137,91,59,266,146,194,52,31,108,58,79,1.31,0.99,1.43,1.66,0.92,0.38,1.33,1.24,1.46,1.64,1.24,2.22,0.401802,0.163617,0.468858,0.528437,0.668714,0.61123,0.955001,0.471866,1.43467,2.76618,0.691875,0.427997,4.15856
"328",556,107283807,"anillin actin binding protein",NA,24,131,177,73,38,273,27,186,153,46,544,86,295,99,75,85,24,25,208,82,169,757,620,188,57,150,55,4,267,15,13,125,39,187,57,3,5,48,77,34,3,16,6,20,19,0,0,0,0,7.13,6.37,2.39,3.09,3.56,0.38,0.25,0.27,0.120707,9.82719,2.08363,0.672497,0.0300182,0.548755,0.135039,0.0219965,0.0747889,0.0237777,0.403752,0.00960627,9.62741
"329",557,107283809,"glutathione peroxidase 8 (putative)",NA,272.75,377.7,658.22,283.13,217,518.07,86.04,183.52,993.62,169,463.12,438.89,371.91,142.68,154.15,202.47,163.04,193,1377.12,111.99,178.52,412.42,574.14,575,327.38,411.87,283.68,233,668.64,324,751.53,1704.28,748.64,368.53,1726.57,381.48,257.73,538.81,329.44,480,146.2,148.07,38.74,75,179,18.53,10.77,22.22,23.21,2.21,1.94,39.9,38.27,37.6,4182.8,4201.75,4097.33,0.882952,3.63541,2.7284,1.22205,2.22366,2.95638,3.24783,1.35787,3.14782,2.72214,4.04362,1.06741,4.89432
"330",558,107283816,"T-box 20",NA,0,1,0,0,1,2,0,2,1,0,1,1,1,0,1,0,1,0,1,0,2,1,2,2,0,0,0,0,3,1,472,97,765,419,829,0,1,2,0,0,7,4,5,2,11,5.54,3.12,5.77,4.07,338.12,302.64,86.56,86.61,85.44,249.24,229.98,238.66,0.018987,0,0,0,0,0.375484,0.439999,0.133787,0,0,0,0,0
"331",559,107283817,"endothelial cell specific molecule 1",NA,35,34,41,63,35,41,24,31,40,15,29,99,25,24,32,13,14,35,59,10,39,68,82,46,77,66,52,9,53,45,44,227,65,35,89,80,61,219,207,84,39,12,36,105,39,12,7.8,13.85,11.06,336.55,296.47,198.33,193.17,195.43,286.92,269.65,287.72,0.159342,2.53052,0.292987,0.780137,1.20139,0.143233,1.20847,0.19138,0.878442,2.1722,0.342276,0.150442,0.36133
"332",560,107283818,"thyrotropin releasing hormone degrading enzyme",NA,3,13,9,0,0,0,2,3,2,1,3,2,2,1,1,3,3,0,2,1,0,0,4,8,8,5,4,3,7,2,2,4,4,2,4,0,2,4,2,0,2,6,0,2,1,0.22,0.35,0.11,0.18,0.98,1.15,2.16,2.33,1.83,0.07,0.16,0.04,0.346511,0,2.04416,0.423168,0.0595001,0,0.764758,0.0872001,0.592967,0.141392,0.287284,0,0.0374173
"333",561,107283821,"leucine-rich repeat containing G protein-coupled receptor 5",NA,23,153,78,47,18,67,7,16,90,13,25,13,24,8,17,14,28,15,109,19,13,35,49,82,37,66,23,6,38,24,3,87,6,45,11,168,96,349,244,355,36,30,26,19,52,8.49,4.23,8,6.5,38.77,28.17,103.33,91.73,90.31,110.99,124.67,113.28,0.140526,0.657819,0.448781,0.237176,0.746809,0.134428,5.7291,1.65882,0.502287,1.91603,0.761459,0.142738,2.66716
"334",562,107283827,"RAB21, member RAS oncogene family",NA,1240,1132,1235,1480,827,709,495,627,981,620,1103,702,739,714,523,594,847,793,1226,699,625,881,1034,1243,1283,1180,774,1279,1337,1414,2730,2499,2932,628,2128,1347,1021,1822,1706,1200,764,448,450,458,477,0.3,0.55,0.1,0.09,10.03,10.02,19.35,18.96,20.11,0.65,0.75,0.82,15.9601,108.785,28.4267,23.2033,60.1422,38.8807,15.8426,17.0904,18.8403,18.962,11.8698,3.72209,32.5923
"335",563,107283830,"protein tyrosine phosphatase, receptor type R",NA,10,47,49,21,14,20,5,13,32,15,45,14,30,11,6,10,9,1,29,8,14,48,33,55,40,52,19,8,37,7,34,706,33,104,40,31,30,85,51,60,11,13,9,6,5,0.25,0.38,0.45,0.32,3.25,2.41,2.56,2.23,2.56,3.4,4.34,3.41,0.336508,0.209574,0.450413,0.406118,1.35619,1.43534,0.458715,0.174347,4.80157,2.88351,0.78774,0.137053,0.359097
"336",564,107283836,"chaperonin containing TCP1 subunit 2",NA,7415,3059,3844,3318,2544,2260,670,1243,2652,1013,2551,3476,2700,1472,1030,1529,1273,1250,3396,1031,1163,3077,5474,3407,5442,4405,2181,1486,4234,2788,1756,1871,1906,862,1952,3680,2716,3711,2743,3576,3214,3545,3491,2616,2783,2.53,2.36,3.58,2.17,52.22,50.07,179.34,174.41,181.8,49.02,45.96,44.13,33.6011,80.3869,75.5317,46.2963,156.12,39.9207,109.323,220.811,204.658,209.39,100.979,59.6249,74.7153
"337",565,107283837,"fibroblast growth factor receptor substrate 2",NA,129,175,214,104,84,77,19,42,87,45,112,86,92,66,52,42,102,68,140,67,49,125,235,97,131,96,133,24,79,71,114,87,177,81,102,113,92,115,94,72,38,83,41,60,57,0.15,0.11,0.31,0.19,0.95,0.85,1.24,0.96,1.04,75.65,71.11,73,0.811413,0.536923,1.31422,0.585261,5.56229,0.6686,1.3515,1.11668,1.93635,1.77445,0.819882,0.438908,2.98999
"338",566,107283841,"tryptophan hydroxylase 2",NA,0,3,2,0,0,1,2,2,1,1,3,2,0,0,0,0,0,0,1,0,0,2,3,1,1,6,0,0,3,0,0,2,1,4,0,0,1,4,0,1,1,0,0,2,3,2.69,2.29,2.44,2.77,23.19,19.01,47.05,41.76,46.94,33.57,34.57,31.85,0,0,0,0,0.018979,0,0.146363,0,0.035464,0.0451003,0,0,0.0358055
"339",567,107283843,"tetraspanin 8",NA,3,19,18.99,7,6,12,0,34,13,5,45,7,40,10,1,8,0,4,46,6,12,93,8,52,2,27,8,0,6,2,0,9,0,1,5,53,140,1774,619,1249,5,3,0,0,1,0.05,0.13,0.23,0.02,3.56,4.01,2.33,1.92,1.91,0.51,0.44,0.45,4.00028,0,0,1.92657,0,8.04708,0,0.0330833,3.83853,10.5677,221.741,38.7063,29.6411
"340",569,107283850,"Rho guanine nucleotide exchange factor 7",NA,139,175,243,112,86,72,49,41,166,61,179,203,134,95,90,77,126,85,177,63,78,113,332,147,202,130,103,30,159,100,136,150,123,102,111,98,113,249,140,105,83,94,122,65,101,0.48,0.27,0.37,0.85,0.08,0.04,0.09,0.05,0,0.19,0.23,0.06,1.53784,3.65306,2.249,2.47283,4.53727,1.73687,3.21066,4.17661,2.97477,3.88447,3.35125,0.854031,6.22465
"341",570,107283853,"inhibitor of growth family member 1",NA,155,318,365,164,111,190,56,107,234,98,244,200,243,102,102,134,64,90,412,130,145,217,395,392,239,203,188,68,243,75,174,232,235,149,183,147,184,319,223,239,112,120,86,143,206,0.53,0.31,0.28,0.17,27.2,25.15,14.45,15.5,15.12,3.11,2.59,3.14,2.61269,9.55682,5.28699,4.35979,5.20188,6.80977,6.67051,3.26851,5.87941,8.27911,6.1616,1.68976,7.78962
"342",571,107283858,"thrombospondin type 1 domain containing 7A",NA,38,123,158,78,35,118,12,49,57,36,62,83,35,22,33,42,36,59,123,34,47,71,80,73,122,151,94,43,152,59,13,56,64,82,52,8,4,39,19,23,3,0,1,4,6,11.87,8.36,12.17,12.8,52.08,43.7,145.39,136.33,149.07,179.3,162.31,170.38,1.47787,0.131119,0.125244,1.7786,3.80085,1.03407,0.0382656,0.0727195,0.0185437,0.518813,0.780338,1.27667,12.3754
"343",575,107283866,"repulsive guidance molecule family member a",NA,6,15,29,8,10,13,4,6,10,8,26,8,16,3,3,4,7,7,23,6,2,22,74,19,48,17,5,11,30,4,1,2,0,35,0,0,0,0,1,3,1,0,0,0,1,0,0,0.01,0,0.15,0.02,1.22,1.39,0.77,0.51,0.4,0.48,9.62789,6.53182,13.0589,15.8566,42.0954,1.72173,0.333941,0.666347,1.26429,2.62397,2.29611,2.44237,14.327
"344",576,107283867,"leucine rich repeat containing 28",NA,74,73,91,45,80,96,18,55,76,45,110,48,37,27,47,48,34,40,161,50,18,123,175,174,89,63,72,12,151,25,44,14,91,42,110,106,74,93,89,87,30,44,33,50,88,0.02,0,0.02,0.01,0,0,0.03,0.02,0.01,0.05,0,0,4.79852,6.76781,6.52865,5.67918,9.94584,2.11091,10.6187,7.20265,14.6335,12.4659,6.91722,2.49657,9.262
"345",577,107283868,"myocyte enhancer factor 2A",NA,248.79,941.14,535.73,199.36,221.86,393.13,143.97,262.66,233.13,228.22,842.77,251.06,239.53,237.85,144.44,217.59,163.96,146.96,336.1,234.63,128.43,547.11,579.81,274.58,868.58,364.51,257.68,141.76,577.44,128.25,506.79,240.6,703.89,411.61,400,159,131.39,258.02,155,105.64,67,76,82,63,73,0.23,0.14,0.31,0.26,0.43,0.22,0.67,0.42,0.46,0.38,0.29,0.41,3.26652,4.09548,6.51995,3.74771,10.849,1.69995,5.57771,3.93707,6.95051,7.1204,4.4899,1.38874,10.1363
"346",579,107283872,"chondroitin sulfate synthase 1",NA,32,1003,1296,51,124,136,12,23,482,10,402,298,512,67,112,66,19,30,332,201,50,712,2048,673,92,66,28,8,801,47,68,337,59,156,100,34,25,57,85,22,21,13,11,16,10,5.97,16.62,36.53,29.65,32.77,26.6,181.39,136.72,165.19,366.3,396.3,300.06,0.585257,0.568,0.54255,0.550343,0.726919,0.771598,3.30023,1.78701,2.14701,4.42994,2.13498,0.900484,43.7076
"347",580,107283874,"small nuclear ribonucleoprotein polypeptide A'",NA,1031,492,641,687,488,444,137,264,488,223,425,681,395,281,215,255,351,299,562,198,244,598,909,443,715,822,402,988,523,503,537,653,512,215,559,398,391,550,457,437,301,443,370,423,503,5.42,7.62,4.84,5.98,13.09,14.34,21.24,16.08,18.53,29.52,37.14,27.58,8.47957,17.7466,20.6076,10.9575,29.53,26.6485,21.1736,15.7189,21.9242,18.5876,14.1422,5.65107,28.5076
"348",581,107283875,"proprotein convertase subtilisin/kexin type 6",NA,28,151,91,19,26,34,15,23,79,27,31,90,38,26,32,27,29,44,217,27,18,38,229,42,108,42.99,51,3,59,10,23,20,4,14,9,8,30,11,16,2,14,178,109,110,139,4.93,3.29,4.32,3.71,7.43,8.01,165.95,157.8,168.08,108.31,105.29,109.17,0.895124,0.583203,0.301747,0.729886,0.4083,0.272336,19.0839,6.49324,2.95899,2.29452,2.39764,0.317826,1.63427
"349",582,107283876,"cilia and flagella associated protein 69",NA,17,188,112,210,23,205,8,313,86,87,180,121,214,34,31,152,26,33,259,130,321,947,363,245,59,583,56,2,231,9,0,0,1,10,0,17,32,228,112,167,18,1,3,2,7,16.71,6.79,9.45,8.83,36.36,35.54,302.51,300.68,298.5,725.16,675.21,736.38,0.00531208,0,0.0402909,0,0.0127701,1.54075,0.123101,0.0187151,0.226689,1.15314,0.251035,0.147118,0.782984
"350",583,107283877,"STEAP2 metalloreductase",NA,4,104,74,10,16,43,0,6,37,4,54,34,28,6,4,2,0,7,86,15,12,99,325,18,12,50,3,0,76,6,0,0,2,0,7,274,236,738,281,456,256,249,699,335,318,2.24,3.52,2.62,2.63,34.22,31.3,65.67,62.54,68.2,31.09,33.59,31.94,0,0,0,0,0,0,2.15802,0.953739,0.364809,0.402078,0.0538651,0.149945,0.66298
"351",587,107283881,"ankyrin repeat and SOCS box containing 7",NA,1,1,0,1,0,1,1,1,0,0,0,3,1,1,0,1,3,0,0,0,1,5,0,4,2,1,0,4,4,1,0,0,3,10,1,5,3,1,1,4,0,0,1,1,2,3.53,5.16,3.05,2.28,7.49,6.03,8.85,9.18,8.19,5.8,5.5,5.64,0.829586,0.991421,1.15968,1.08296,2.08187,0.812974,1.86205,2.75567,2.46988,3.39501,1.44197,0.63406,2.96304
"352",588,107283883,"VCP interacting membrane selenoprotein",NA,657,187,308,472,417,233,264,202,388,276,249,198,91,465,283,339,420,400,473,375,218,162,209,320,363,180,290,1193,178,1088,37,84,65,22,82,254,203,299,478,252,172,265,171,223,405,12.6,14.49,18.84,16.53,57.14,47.83,98.25,94.75,98.02,50.16,45.73,51.25,14.2473,14.6464,26.619,17.2181,33.8052,17.82,10.2431,14.2377,8.33268,10.8667,7.21983,3.25632,23.5727
"353",590,107283888,"dynein, cytoplasmic 1, intermediate chain 2",NA,1297,801,989,558,494,499,419,279,612,318,585,826,493,484,498,319,532,526,802,538,379,610,1605,838,968,677,635,512,536,613,555,509,440,310,556,522,388,627,611,498,218,344,217,262,416,17.17,17.96,14.58,12.71,14.39,12.29,38.65,30.38,34,17.4,15.1,17.81,12.664,12.6897,24.1959,16.0919,23.8052,6.85851,13.8717,10.0198,17.4388,15.9849,10.5108,2.84552,31.0768
"354",591,107283891,"tousled like kinase 1",NA,502,468,416,505,211,228,251,249,498,192,343,291,206,281,376,237,333,296,416,282,283,289,447,290,468,329,419,322,272,468,186,425,213,273,267,527,453,563,453,405,209,262,158,247,325,101.77,57.37,88.68,80.56,37.03,28.95,110.31,104.52,112.91,54.11,52.79,52.67,8.33269,10.114,15.7269,13.332,17.5296,10.0259,7.17588,5.37651,10.9928,12.6423,11.0172,4.19646,16.9657
"355",592,107283892,"golgi reassembly stacking protein 2",NA,3159,569,632,1693,1800,833,990,723,1154,999,611,1043,341,1229,669,918,1382,1684,899,964,738,481,1262,645,1868,620,1437,2428,657,1598,320,445,295,414,288,610,493,639,686,499,343,448,268,302,489,12.79,8.75,11.93,9.53,354.71,314.01,353.41,351.79,347.69,306.38,299.62,307.41,108.029,49.343,120.662,120.068,196.435,42.7179,45.1505,38.4929,35.936,41.3263,37.9732,22.254,68.1374
"356",593,107283895,"distal-less homeobox 2",NA,0,3,1,0,0,1,0,0,5,0,0,8,4,0,0,1,0,1,3,0,0,1,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.43,37.71,38.13,0.0553959,0,0.233425,0.142067,0.13317,0.486889,0,0,0,0,0,0,0.62809
"357",594,107283896,"distal-less homeobox 1",NA,0,4,3,1,0,3,0,3,2,0,2,5,7,3,3,3,0,1,8,1,1,6,12,12,8,3,1,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.03,0.04,0.57,0.48,2.71,2.66,2.67,1.14,0.88,0.97,0.145285,0.307638,0,0.149037,0.139704,0,0,0,0,0,0,0,0.131781
"358",595,107283899,"IQ motif containing H",NA,1,7,7,6,1,4,0,6,8,1,5,3,1,1,1,4,0,1,6,2,1,6,13,12,1,2.99,0,2,5,0,0,1,1,3,3,3,2,1,1,0,0,0,0,0,2,0,0,0,0,0.44,0.17,0.22,0.13,0.11,0.06,0.03,0.07,0.0717517,0,0.285068,0,0.19713,0.337846,0.902638,0.50558,1.93386,1.69811,0.407915,0.165597,0.627585
"359",596,107283900,"chromosome unknown open reading frame, human C15orf61",NA,250,229,407,123,50,192,41,74,147,113,132,197,133,141,77,110,124,58,353,54,86,184,204,341,279,253,220,242,450,99,189,128,103,39,169,325,211,303,189,358,85,20,37,24,72,0.04,0.04,0.01,0.01,0.2,0.24,0.05,0.05,0.07,0.03,0.02,0.02,10.0877,28.1439,11.7182,9.78887,24.1685,6.73961,12.3203,10.3258,44.0894,33.486,17.9701,10.8542,10.6648
"360",599,107283906,"family with sequence similarity 96 member A",NA,146,71,101,122,48,47,67,55,75,49,59,81,30,65,64,52,43,29,86,25,66,58,59,75,77,91,69,213,65,185,35,33,49,43,48,172,115,157,137,94,382,330,241,117,221,0.05,0,0.03,0.04,0.41,0.35,0.6,0.56,0.45,290.94,277.77,304.34,34.6777,39.631,58.0774,45.4176,96.5435,104.171,118.823,140.4,140.188,118.114,45.2776,40.5056,53.372
"361",600,107283907,"spastic paraplegia 11 (autosomal recessive)",NA,78.24,80.33,111.37,70.31,70.11,50.19,34.12,38,108.11,45.13,87.14,114.23,65,62.12,65.27,54.17,52,44,134.65,40,48.06,98.38,210.44,109.29,207.44,71.23,61.06,97.44,110.38,102.23,45,79,46,106,28,87,38,36,66,34,37,67,37,54,65,0.68,0.92,0.94,0.88,10.22,8.8,20.88,19.14,19.51,18.74,18.68,17.44,2.06784,2.01184,3.99444,2.93187,3.32545,0.983264,5.2691,3.93473,11.7779,8.59524,5.23167,2.62087,6.22861
"362",601,107283908,"WD repeat domain 76",NA,7,36,45,18,10,14,2,8,34,2,45,13,21,5,3,14,8,7,39,5,14,27,41,55,11,23,17,5,34,5,13,29,20,16,16,8,28,45,56,16,1,0,1,3,6,0.38,0.26,0.22,0.64,0.87,0.65,3.46,3.27,2.49,4.74,4.59,4.77,1.16399,1.29488,3.43335,1.9252,2.60557,2.11285,9.46047,3.32826,7.7862,10.9378,7.06996,2.78373,13.5036
"363",604,107283913,"ribosomal protein L4",NA,10860,5417,5838,6854,4389,4906,3643,2831,6486,2855,3245,9349,2398,4283,5586,3343,3168,2900,6242,3319,2975,3473,5825,4100,7325,3843,5492,13705,4221,7118,8308,15766,7762,4544,10523,17444,13715,17330,9782,12132,19079,20837,11568,10234,17183,6.72,6.9,7.63,7.74,41.71,36.71,44.58,43.97,43.71,41.21,38.97,40.15,774.101,707.387,1553.36,1025.6,2966.44,1531.71,2095.46,2891.69,2600.03,3195.22,1819.27,1316.48,1358.42
"364",605,107283915,"EPS8 like 2",NA,359,340,468,165,237,227,288,140,361,284,289,309,179,220,210,196,234,187,239,302,233,274,473,263,369,159,250,101,317,277,77,81,72,99,50,236,146,220,171,179,14,19,14,11,36,0.86,0.89,0.93,0.82,7.85,7.99,45.37,42.29,44.39,17.01,17.56,16.3,12.6997,8.65734,19.5647,22.7963,24.2245,12.7855,2.67638,1.71997,17.1281,19.2703,5.89311,3.31148,23.4806
"365",606,107283921,"eukaryotic translation initiation factor 3 subunit J",NA,410.76,257.67,259.76,322.69,233.89,140.81,99.88,139,340.89,119.87,224.86,254.76,169,184.88,165.73,164.83,144,143,323.35,102,140.57,174.62,316.56,326.71,311.56,330.77,164.94,520.11,253.62,389.77,217,412,191,197,263,665,507,562,626,484,609,533,480,365,673,7.35,3.59,3.82,5.17,5.69,5.52,58.51,57.16,57.75,263.96,264.12,276.21,41.5957,77.9379,73.753,57.0894,75.7079,48.2598,59.8267,59.8546,89.3851,87.6072,43.3388,22.3679,60.9618
"366",607,107283922,"cancer susceptibility candidate 4",NA,124,190,207,167,65,87,55,90,129,60,126,170,87,97,126,77,91,70,154,54,97,114,189,172,134,147,105,199,112,170,74,220,56,124,90,161,154,262,192,178,78,143,84,111,169,0.24,0.49,0.14,0.32,7.07,7.49,5.28,5.07,4.66,0.43,0.31,0.24,17.0067,17.3756,33.7257,26.9349,39.5249,16.116,33.448,34.4031,30.417,33.8263,25.378,13.4069,49.5237
"367",608,107283923,"alanyl aminopeptidase, membrane","Other",182,130,293,199,476,141,521,309,334,563,155,353,60,338,224,309,429,446,220,360,132,104,297,408,833,110,222,466,158,534,18,143,21,58,15,388,361,251,148,149,76,110,96,55,170,0.05,0.16,0.01,0.06,0.29,0.25,0.22,3.61,0.19,0.22,0.09,2.61,113.942,11.7546,216.163,107.924,94.2384,31.845,935.811,336.976,717.148,227.552,56.1779,9.04636,100.622
"368",609,107283924,"zinc finger protein 710",NA,11,14,35,20,17,11,6,12,12,16,22,30,11,12,6,23,16,7,21,11,15,26,41,45,51,14,15,35,23,14,5,6,3,16,1,2,6,7,4,1,5,17,3,8,9,0.18,0.02,0.15,0.1,0.92,0.96,3.52,3.9,3.69,0.32,0.38,0.56,7.92416,0.420885,8.71057,8.29195,10.2319,3.87837,7.36986,2.70774,8.05959,10.2041,5.247,2.2631,20.2529
"369",610,107283925,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",NA,421.23,348.52,240.02,182.9,226.13,443.31,143.09,130.55,243.62,135.86,203.94,348.24,146.03,149.84,163.6,117.29,93.41,66.64,201.87,152.49,83.56,220.79,272.8,188.11,292.54,172.19,104.77,1066.31,474.5,178.45,2583.02,3757.74,2655.4,272.99,2375.23,2556.89,1885.18,1309.48,1046.55,1064.54,4560.12,8061.49,3339.9,3638.51,6335.21,3.91,3.9,3.34,4.68,14.44,12.4,51.1,44.83,51.8,33.42,50.8,34.9,105.163,303.36,164.11,114.432,228.824,113.44,2188.4,3157.78,798.227,1252.23,130.548,52.7098,267.238
"370",611,107283926,"transaldolase 1",NA,1607.99,2181.4,3784.61,3404.26,1573.13,1320.51,569.6,1259.81,2321.44,804.71,1589.83,1985.12,2098.62,1197.65,697.04,1390.05,1395.08,984.17,2744.07,732.83,1118.69,2416.1,2601.59,2293.72,1627.21,3291.57,1823.19,800.41,2218.99,1998.55,374.55,659.68,287.5,374.77,428.38,659.05,697.2,1070.2,1209.7,896.23,470.91,487.75,394.59,572.04,556.43,0,0,0,0,0.01,0.03,0.76,0.53,0.81,0.07,0.03,0.02,15.0983,9.98668,30.5968,22.0749,30.7835,29.0717,31.939,26.7248,36.1728,35.9176,17.7278,7.65808,55.9473
"371",614,107283933,"Parkinson disease 7 domain containing 1",NA,310,304,385,224,234,215,64,136,293,75,217,332,180,160,162,136,117,127,436,127,165,211,421,324,329,343,290,89,179,143,240,283,277,126,215,276,183,484,445,347,245,125,166,121,129,0,0.03,0.04,0.02,3.83,3.06,1.81,2.29,1.96,0.41,0.26,0.23,2.21608,1.57732,5.32033,3.39088,8.31566,4.84898,8.76055,6.15089,17.0025,16.2235,6.27616,2.19194,6.73558
"372",615,107283934,"zwilch kinetochore protein",NA,10,16,19,21,20,15,0,17,40,8,43,10,28,9,1,7,12,15,8,9,14,53,49,33,19,27,6,3,23,8,1,4,2,6,1,5,0,2,12,4,2,7,3,4,8,0.12,0.15,0.12,0.12,0.04,0.01,10.92,8.91,10.58,9.22,11.27,8.69,2.56653,0.592863,3.49218,2.77643,3.74678,1.78413,3.07113,2.30165,8.21697,4.90497,2.1588,0.280012,4.86761
"373",616,107283935,"SMAD family member 6",NA,0,0,2,0,1,4,2,1,15,2,1,0,4,0,0,2,1,0,4,1,0,2,3,3,1,4,0,0,3,10,3,21,4,17,5,8,6,4,5,2,2,2,1,6,0,0,0,0,0,0.03,0.01,0.56,0.48,0.6,0.11,0.12,0.26,2.02953,4.17812,5.70131,5.63862,6.70853,0.371627,9.92894,5.06479,13.9283,15.1365,6.45011,5.72488,3.19601
