"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_hrt_1","Mus_hrt_2","Mus_hrt_3","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Canis_hrt_1","Canis_hrt_2","Canis_hrt_3"
"825",107285711,"WD repeat domain 17",12,39,30,9,4,19,3,14,17,15,35,1,22,10,6,44,4,7,26,6,9,83,17,27,13,25,5,1,12,3,0,0.0510284,0.16072,0.1752605,0.349517,0.311479,0.048542968,0.100379046,0.38267273
"826",107285712,"glycoprotein M6A",939,1492,1556,421,443,797,278,264,1167,384,895,625,1003,550,542,517,778,585,2124,554,303,941,1496,1198,1140,786,999,49,1256,672,4.50272,3.69424,2.94919,1.1897296,0.671868,1.3441206,0.767381,1.46434,2.6786
"827",107285715,"kelch like ECH associated protein 1",12.53,15.58,14.56,11.85,9,7.19,7.31,4.12,5.19,4,19.62,14.49,8.32,7.52,4.11,7.16,1.06,2.15,42.37,6.37,9.35,15.84,57.94,13.25,30,17.81,8,5,6.31,10,19.46283,24.36272,25.899266,48.976496,94.90061,112.282151,18.72034,29.2901,98.9043
"828",107285716,"SPC24, NDC80 kinetochore complex component",13.47,25.42,24.44,17.15,9,26.81,15.69,65.88,39.81,5,91.38,17.51,77.68,36.48,12.89,32.84,6.94,4.85,79.63,17.63,27.65,104.16,47.06,56.75,13,27.19,19,10,37.69,4,3.753388,4.603978,3.7585218,1.4333622,1.241677,2.982571,5.87378,6.68987,5.99886
"829",107285719,"calcium voltage-gated channel auxiliary subunit beta 3",1,4,11,0,1,0,1,1,7,3,5,3,10,1,0,6,1,0,13,8,0,7,24,12,13,7,0,1,6,2,3.13203103,3.7913098,3.868769,5.065934,2.793825,3.828626,7.4672,8.698585,15.05774
"830",107285720,"chromosome unknown open reading frame, human C19orf53",1455,2152,2583,1444,1033,1356,497,813,1755,638,1503,1401,1100,776,535,685,870,578,2593,765,783,1521,2115,2013,1904,1784,1220,699,1361,861,59.0458,87.1898,91.7046,134.16135,110.43696,113.773,64.496,85.6339,308.737
"831",107285730,"limb and CNS expressed 1",0,6,4,1,2,4,0,7,49,1,6,41,16,0,0,0,0,1,2,0,3,35,164,4,1,9,0,0,3,0,1.2408152,0.8494522,1.10598,0.025378,0.266029,0.118362,0.0172796,0.174825,0.271841
"832",107285742,"BMP/retinoic acid inducible neural specific 1",0,2,3,0,4,1,0,2,1,2,6,5,2,0,0,1,0,0,0,0,3,1,38,2,3,3,0,1,1,0,0,0.112627,0.108607,0.0525045,0.053684,0.312524,0.0628676,0.0156591,0.292682
"833",107285743,"receptor interacting serine/threonine kinase 2",194,135,209,152,160,87,100,79,129,91,208,246,85,129,132,140,118,125,197,127,97,117,262,179,211,136,146,202,118,249,1.224236,1.53094,1.508986,3.736662,5.664161,5.023884,1.4686052,2.6498942,4.749767
"834",107285745,"oxidative stress induced growth inhibitor family member 2",13,35,104,29,16,10,4,18,37,5,84,31,53,12,9,16,15,6,34,19,9,66.96,109,40,23,71,40,7,31,26,2.652763,1.7794685,1.827309,1.20902,2.022946,2.69142,9.02373,15.5455,69.4445
"835",107285747,"calbindin 1",2494,90,31,754,1247,872,1005,1067,2831,2648,269,1281,144,1212,3581,1958,1464,2069,1441,1834,1464,169,2772,328,1649,8,1589,751,44,1260,0.0659553,0,0.169573,0.9970811,1.0784167,2.134519,0,0.0924335,0
"836",107285749,"transmembrane protein 64",64,225,329,62,51,69,15,34,225,14,106,132,146,44,63,33,28,26,339,36,47,207,494,211,126,142,102,17,196,36,9.9639,7.32728,7.17568,1.704659,2.94808,3.222597,1.73728,4.82435,16.4654
"837",107285751,"solute carrier family 26 member 7",126,13,28,59,3,10,30,5,21,4,17,40,9,28,18,13,103,4,48,52,62,22,61,80,63,22,166,16,8,25,0.2921147,0.0544646,0.0572874,0.0357159,0.132411312,0.2161854,0.00752603,0.0599545,0.0700418
"838",107285753,"nibrin",309,296,442,267,128,217,59,73,289,73,180,290,184,105,139,127,108,106,334,107,120,260,364,192,249,334,200,101,250,189,3.39936,2.27344,2.44887,2.815410983,2.943073451,5.798389,16.6712,17.99922,26.76103
"839",107285754,"transmembrane protein 55A",126,418,475,160,115,278,25,56,264,50,167,259,197,54,76,50,42,41,459,95,82,266,451,320,237,475,156,34,281,53,10.0777,10.6057,10.8092,15.22515,31.6115,30.56978,4.43749,18.9233,29.5574
"840",107285756,"N-terminal EF-hand calcium binding protein 1",0,8,0,3,0,3,0,5,3,0,0,1,3,0,0,1,0,0,2,1,2,6,5,0,0,1,1,0,0,0,0.337031,0.1859575,0.17424598,1.083567,0.600524,0.404005,0.00970204,0.0376093,0
"841",107285758,"non-SMC condensin I complex subunit D2",36.35,96.92,98.2,49,39.36,54.21,16.08,58.24,67.6,22.27,208.64,77.68,100.42,67.61,40,76.76,27.01,21.19,107.4,45,46.32,244.39,290.91,151,73.5,166.15,25.28,31.93,73.38,31.13,15.828491,20.136713,18.317957,6.755106,13.157005,8.631805,0.657326,2.23546,1.5698
"842",107285760,"glyceraldehyde-3-phosphate dehydrogenase",6635,40585,26978,21528,11017,35336,2129,7625,9201,6731,13867,10463,12957,6005,4556,5398,1321,1239,24907,4710,5820,23208,10201,20111,20147,39856,5704,21757,26475,3535,2386.490405,3750.42771,3999.38637,1852.011406,4342.88036,4418.71963,6093.85,15377.7,16205.7
"843",107285762,"NOP2 nucleolar protein",565,231,365,185,326,224,157,159,204,217,264,405,169,287,141,275,217,286,366,182,140,328,622,373,734,280,220,347,301,253,5.19722,4.98667,4.8365,13.05962324,8.978715402,12.30008,2.39181,3.86403,5.37711
"844",107285774,"inner mitochondrial membrane peptidase subunit 2",12,21,38,14,8,14,3,14,21,10,26,27,17,5,18,11,8,8,40,6,16,21,25,15,17,35,16,6,36,13,7.856271,10.62568,11.06927,6.040895,10.61975,9.46923,1.0787466,0.864077,3.709125
"845",107285775,"triosephosphate isomerase 1",4804,18493,12378,7909,4303,13865,1699,3887,6104,3297,9425,7722,7044,3517,2751,2642,1680,1156,14472,3070,3268,13098,10500,9090,8373,17653,4306,4476,11833,2003,426.689037,446.3016168,452.523534,349.481882,564.74452,537.82098,563.952,514.07,483.306
"846",107285778,"prohibitin 2",3417,1796,2279,1990,1716,1153,635,880,1531,859,1412,2243,1085,1135,877,861,968,1103,1715,753,910,1586,2984,1902,2169,1744,1371,1405,1534,2106,77.855222,111.77185,110.79535,91.0449,128.3147,139.8432,113.5159504,251.245316,264.167909
"847",107285782,"calsyntenin 3",27,31,36,14,8,7,3,5,61,6,20,65,18,20,16,4,9,19,89,11,16,34,142,52,75,5,42,23,12,11,4.15281,10.5546669,13.427482,4.265274,3.96114835,4.476854,0.0509324,0.121246,0.787629
"848",107285784,"dedicator of cytokinesis 4",80,282,259,134,71,107,37,105,209,56,207,65,187,75,68,89,62,55,234,104,73,197,258,183,100,189,133,22,131,87,3.0714183,2.65685539,2.52435066,5.607249003,5.92810528,6.383188,0.4197143,1.05346473,0.2781223
"849",107285786,"mannosidase alpha class 1A member 2",6406,229,258,2599,1125,237,925,695,1128,853,301,533,142,1095,644,580,893,1612,260,549,850,177,387,248,1769,174,959,1243,168,3788,3.2038173,2.22908,1.86987,8.146014,2.376733,4.696588,1.19713,7.388722,16.049001
"850",107285787,"hydroxyacid oxidase 2 (long chain)",32,51,114,41,15,20,12,17,33,18,67,71,22,2,69,49,7,3,35,14,7,110,124,45,73,41,47,5,8,34,0.0178292,0.0305473,0.0321338,0.0635575,0,0.40941,0,0.0904904,0
"851",107285788,"T-box 15",44,232,148,105,74,299,22,81,65,88,286,71,100,52,34,36,7,8,127,36,27,134,53,178,290,272,54,36,575,9,0.102361,0.146703,0.208315,1.134395,0.674719,0.352658,0.00984181,0.0196743,0.0867302
"852",107285802,"calcium sensing receptor",14,9,2,1,1,3,0,9,1,4,1,0,1,2,0,9,0,6,1,0,0,5,7,3,3,5,5,5,10,1,0.00952517,0,0,0.110807,0.201277,0.178577,0,0.011568,0
"853",107285804,"sperm associated antigen 17",25,176,163,90,47,118,11,92,87,48,148,33,131,29,23,120,33,36,191,65,93,241,141,185,39,135,55,19,82,32,0.00429861,0.1863325,0.0278553,0.0197456,0,0,0,0.0411839,0.0481547
"854",107285807,"sodium channel epithelial 1 alpha subunit",0,18,24,4,1,5,7,1,3,4,1,8,1,1,2,1,0,1,4,4,0,1,26,9,8,9,5,0,9,2,0.354269,1.771932,1.95794169,0.2786546,2.276959,0.224716,15.378594,57.2235,98.3612
"855",107285808,"mitochondrial ribosomal protein L51",821,390,483,566,280,271,213,300,470,174,396,409,261,308,388,358,264,333,467,190,363,507,611,438,453,560,305,914,445,572,67.56396,97.03498,94.68429,115.00708,68.4387,68.6773,82.27297,84.15998,220.1988
"856",107285811,"leucine rich repeat containing 23",26,296,245,160,40,157,16,133,122,46,135,117,233,55,44,192,44,35,348,141,173,453,212,412,32,269,75,12,143,22,0.3638069,2.832159,2.8042,10.45618596,4.4316445,5.55455079,0.0361494,0.0725246,0.218369
"857",107285817,"tryptophanyl tRNA synthetase 2, mitochondrial",28,39,58,55,27,43,17,15,41,14,40,48,39,34,26,40,21,22,65,29,20,45,51,21,46,49,41,23,35,29,2.200944,1.911694,2.247299,4.49543,5.8021427,5.658871,1.814909,2.279635,9.057
"858",107285819,"GRAM domain containing 3",68,198,190,37,70.77,184,9.95,65,26,40,120,44,48,49,44,46,38,57,77,90,39,160,201,85,189,142,70.77,22,258,30,5.432579226,4.848176,4.605786,6.5399265,9.620569,9.559488,8.747615,22.609115,21.254027
"859",107285820,"zinc finger protein 608",46,194,174,70,40,121,36,69,161,40,126,124,79,52,54,66,39,32,161,65,64,149,307,51,139,104,101,33,146,53,1.889769,2.150592,1.9881724,2.988324,3.410089,3.323062,0.34738,1.92193,3.43318
"860",107285825,"RAB11 family interacting protein 2 (class I)",66,148,121.99,97,47,110,30,69,100,29,110,27,121,45,62,41,44,50,118,73,26,144,129,80,112,145,69,8,135,29,1.987631,1.254991,1.315362,0.961967,1.15101,1.01536,1.4967796,5.5482496,22.045918
"861",107285831,"DDB1 and CUL4 associated factor 5",267,514,550,175,183,357,129,213,260,210,370,296,230,198,202,182,201,266,499,309,148,459,796,450,469,228,299,80,344,163,9.20708,8.67807,8.776481,12.91723717,17.98797,20.00017,3.01267,10.5907,19.3483
"862",107285832,"actinin alpha 1",341,472,832,273,246,254,102,170,425,140,499,398,424,247,187,250,182,229,723,282,181,586,1558,599,587,472,351,137,246,317,11.949301,17.388169,16.976683,58.325959,79.028556,76.645552,2.5507124,8.10561839,7.12579
"863",107285838,"phosphatidylinositol glycan anchor biosynthesis class H",839,183,263,643,538,286,409,441,409,411,241,510,128,521,660,320,471,463,273,359,327,152,242,249,353,184,707,712,165,497,2.80634,2.895405,3.225434,7.380973,11.12218174,7.221353567,14.3098,22.7795,77.762
"864",107285839,"arginase 2",4581,316,471,1960,1535,259,1315,1300,623,833,420,1390,198,1039,1587,1290,2174,1096,499,869,1031,392,1353,394,3044,309,1577,397,161,1049,0.0805853,0.183739,0.24209,3.20796,4.44186,2.5789,2.971645,7.85009,32.31693
"865",107285846,"membrane protein, palmitoylated 5",108,187,182,123,43,80,33,60,111,48,178,84,109,50,66,52,49,64,129,50,74,149,175,99,123,121,117,14,127,45,3.075259,1.2378185,1.2469517,2.1384679,1.7654191,2.449782,1.26553,6.31144,13.084649
"866",107285847,"gephyrin",233,534,726,320,215,435,56,153,507,80,392,275,378,81,116,113,53,97,604,69,134,399,708,405,366,463,197,55,722,114,7.66603,7.125864,7.533461,7.371164,6.37924,6.089091,1.843468625,7.644115438,7.152180413
"867",107285853,"family with sequence similarity 196 member B",0,3,5,2,2,0,0,3,3,0,7,0,6,0,0,1,0,0,3,1,2,4,0,3,0,7,2,0,0,4,0.0318512,0.0547055,0.0554362,0,0.5851596,0.037537,0.07924073,0.140343,0.147577
"868",107285868,"chondrolectin",3,18,3,2,5,9,1,8,33,7,45,35,53,9,8,10,0,0,49,2,8,46,83,9,9,11,2,1,10,1,0.0639585,0.276168,0.3153488,0.678741,0.414089,0.36728,0.0227901,0.0988285,0.2168639
"869",107285869,"transmembrane protease, serine 15",1,11,6,0,3,4,2,1,4,3,1,2,0,1,0,1,0,0,1,0,0,0,6,0,1,6,5,0,3,0,0,0,0,0,0,0.0270309,0,0,0
"870",107285871,"DnaJ heat shock protein family (Hsp40) member B11",6655,1546,2199,5411,4826,1591,1553,1170,1971,1757,1101,2068,731,3003,2029,1420,1986,2323,1542,1230,1142,1180,3002,1298,2475,1883,2850,2943,1084,4133,7.785841,7.379611,7.558642,20.228898,7.441715,10.299261,14.88992465,18.27970046,24.13055226
"871",107285876,"ubiquitin conjugating enzyme E2G 2",2624,1995,2857,3314,1857,1252,900,1816,2190,1393,2818,1913,2394,1558,1298,1712,1391,1104,2787,1071,1365,2196,2842,4150,2040,2883,1658,1819,2515,1889,27.437791,28.306038,30.786713,54.34566,53.27249,52.00637,49.6806,99.8444,187.1405
"872",107285887,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase",235,373,399,145,181,245,137,168,239,151,245,175,188,174,237,201,221,168,374,275,160,314,392,311,273,174,244,110,177,84,3.91025,3.66914,3.67804,1.35764,2.9147093,4.740404,3.514565,16.5943,51.9164
"873",107285888,"VPS8, CORVET complex subunit",257,515,465,253,155,261,129,266,294,191,477,139,332,201,167,230,156,190,504,270,198,560,900,393,418,411,261,37,370,142,7.139696175,7.168666635,5.8887201,5.284397304,9.50765793,10.1518083,1.913974739,4.123720122,3.373847
"874",107285889,"propionyl-CoA carboxylase beta subunit",491,656,584,626,329,325,247,301,475,289,348,553,345,363,299,318,396,356,572,398,360,472,783,412,536,522,407,186,460,319,73.830339,71.75869,70.247012,25.36916,87.382442,80.68296307,38.422172,69.4348036,47.771095
"875",107285890,"solute carrier family 35 member G2",43,53,98,30,39,22,12,17,37,9,36,63,38,15,32,9,17,33,52,18,28,50,123,54,47,42,41,2,23,14,2.96576,2.02999,1.96453,3.218218,1.472663,1.984246,0.256718,0.371693,5.9518
"876",107285893,"mitogen-activated protein kinase kinase kinase 13",127,137,109,87,62,95,57,61,94,74,91,61,72,47,35,57,101,87,107,78,50,119,171,52,201,120,102,28,71,54,0.627993,0.468481,0.4476715,2.1248717,6.291773,2.416937,0.22963,0.658923001,0.97273
"877",107285894,"chromosome unknown open reading frame, human C3orf70",114,267,325,133,57,146,35,61,219,45,182,138,147,80,65,70,60,63,252,88,79,156,296,220,129,270,148,65,212,126,8.2175089,6.183219,6.255995,0.511655,0.619964,0.70316,0.191313,3.19417,2.09806
"878",107285905,"lysine demethylase 5A",331,321,354,203,178,170,132,185,316,117,281,256,248,188,135,173,150,151,405,149,111,298,516,265,461,229,236,214,238,232,2.924516,2.2475066,2.049357,7.045808,11.22059,13.67899,0.805342,3.05039,4.60426
"879",107285906,"coiled-coil domain containing 77",205,86,58,79,39,42,25,139,97,49,127,59,125,65,37,106,70,56,137,60,122,293,83,153,59,68,88,23,31,51,3.4124759,1.984065,2.544654,2.2280064,1.815268,2.447778,0.4470025,0.659952,2.023961
"880",107285910,"beta-1,4-N-acetyl-galactosaminyltransferase 3",5121,150,120,761,517,199,326,529,489,830,293,1178,114,709,661,607,678,285,335,369,239,144,158,186,1277,147,744,1044,109,2718,0.144932034,0.0717391,0.1832767,8.385328,10.447195,14.78712,0.758372,1.635421,2.91084
"881",107285913,"RAD52 homolog, DNA repair protein",2,11,3,2,1,4,2,9,5,2,8,1,10,6,4,2,14,0,5,2,2,9,9,6,4,2,2,1,4,3,6.291277,8.7453901,7.1413611,4.51683,7.347697,12.283523,2.88014,6.99376,8.56045
"882",107285922,"RUN domain containing 1",238,140,170,210,109,193,56,176,94,183,125,265,87,92,58,116,83,315,114,104,128,292,715,97,237,238,108,49,308,123,5.67423,6.62283,7.07128,5.079968,6.506677,7.776571,1.2578,4.45963,11.9752
"883",107285924,"vesicle amine transport 1",17,28,30,16,10,18,4,7,25,16,22,40,13,15,5,4,15,11,18,8,14,36,149,27,47,10,21,8,51,1,12.5851,16.8506,16.7535,98.3946003,95.314208,93.249638,21.7362,55.3439,49.5935
"884",107285925,"breast cancer 1",16,38,50,246,17,33,0,122,37,21,279,126,134,16,14,20,7,10,58,32,113,304,258,118,27,565,9,1,42,7,0.0258458,0.1293265,0.0906819,4.4497174,3.766841797,3.12984835,0.49556922,1.0917312,3.549096
"885",107285936,"interferon induced protein 35",63,149,87,105,31,100,22,114,95,73,202,168,104,42,74,105,34,76,138,45,113,294,234,134,102,194,73,14,163,34,11.57177,14.87929,14.63591,16.512253,14.90255,15.150924,3.57979,2.10981,10.3849
"886",107285954,"odd-skipped related transciption factor 1",234,854,699,157,116,327,88,171,274,176,488,367,503,188,163,219,118,94,898,221,170,378,573,472,713,322,384,114,425,214,2.137093,7.73845,8.85012,7.14503,8.1939,7.587437,0.225684,1.16183,7.57451
"887",107285955,"FBJ murine osteosarcoma viral oncogene homolog",54,59,65,61,48,15,15,22,13,33,88,993,48,35,4,39,35,17,148,12,33,66,815,48,233,17,46,27,42,40,4.77759,4.997786,5.15056,99.91587,319.5773,301.3072,6.836983,23.8599,40.46057
"888",107285959,"tubulin tyrosine ligase like 5",82,177,203,119,55.3,129,31,71.77,126.09,54,221.19,79,114.82,67.27,64.71,161,38,67,236,69,85,280.02,226,182.37,105.89,154.78,88.24,43,128,54.06,3.38193104,6.065119127,5.7870537,7.5975411,13.45814531,7.9128531,0.8993104,3.173891001,3.094254
"889",107285961,"intraflagellar transport 43",50,106,118,95,10,50,12,63,111,25,67,61,80,52,39,90,26,18,141,41,78,157,120,135,42,142,41,27,74,44,14.878709,18.6544541,19.033447,18.483141,32.221384,29.673633,8.12099,9.229293,12.9742
"890",107285965,"feline leukemia virus subgroup C cellular receptor family member 2",7,8,8,1,11,7,1,4,5,1,5,6,3,2,1,2,0,1,6,4,0,5,14,3,9,5,6,1,2,3,2.395901,2.34439,1.666094,0.869042,1.315905,2.014841,0.269264,0.9383111,1.6312517
"891",107285970,"biliverdin reductase A",341,146,180,206,88,77,42,72,112,35,59,270,78,42,74,31,87,85,116,56,109,155,311,95,164,237,96,27,158,69,7.597998,5.519051,6.032625,25.3781,22.5927,21.2988,4.66172,4.21157,14.499695
"892",107285975,"NSF attachment protein gamma",1034,858,1558,983,621,749,267,556,935,389,725,437,751,481,339,567,481,487,1397,562,266,953,1521,831,664,1190,902,241,1049,610,10.5032994,9.4277951,8.063505355,6.963059,11.963313,9.365024,4.36727,11.1614,25.4021
"893",107285977,"adenomatosis polyposis coli down-regulated 1",18,158,123,27,13,39,9,11,92,9,31,89,64,16,24,22,10,15,76,43,21,65,281,77,44,64,36,12,50,17,2.570217,5.501932,4.901379,22.551641,55.383279,49.85520759,1.00267,11.649,13.6107
"894",107285980,"protein phosphatase 4 regulatory subunit 1",558,638,787,338,334,435,263,261,445,247,594,363,391,314,323,251,226,253,678,310,278,599,1338,452,734,565,345,105,413,244,19.751726,22.55528,21.77750151,17.63216918,16.021236,25.690516,1.018116,1.898094,4.81942
"895",107285981,"ralA binding protein 1",368,398,482,327,210,235,114,137,433,116,294,354,198,205,142,164,203,237,518,164,156,279,823,307,289,406,205,520,242.05,293,8.464822,9.305697,9.841487,26.732741,25.91105,22.999257,5.406241,16.25665,43.9778
"896",107285982,"twisted gastrulation BMP signaling modulator 1",79,204,223,49,19,40,21,22,118,10,75,114,74,27,38,21,23,23,144,42,62,85,287,104,102,99,68,15,102,39,29.597055,20.988114,21.998406,3.461251,4.204571,4.329178,7.72054,16.21248,58.55442
"897",107285984,"NADH:ubiquinone oxidoreductase core subunit V2",1688.23,1823.91,2239.81,1652.05,1295.44,1479.4,705.01,906.37,1315,815.77,1539.83,1382.73,1084,873.45,693.53,682.23,749,605,2314.16,656.4,1072.73,1716.46,2471.73,1552.83,1893.71,2053.02,1012.58,1003.19,2402.56,832.02,293.94104,290.070529,307.231882,85.81375,114.2434,121.6349,239.269,362.561,112.986
"898",107285986,"microtubule crosslinking factor 1",9,38,59,15,7,36,5,21,27,8,54,17,33,3,11,10,1,4,19,14,5,38,122,47,34,31,16,4,58,3,0.7875574,1.4994807,0.9930739,0.9905055,5.55867,2.199403,0.15232,0.9511304,0.6946799
"899",107285987,"protein tyrosine phosphatase, receptor type M",139,307,222,164,73,185,54,58,208,65,167,145,129,107,116,42,94,72,210,84,49,194,311,190,257,195,138,61,227,171,20.290504,23.2534449,23.342652,57.32349,77.36733,83.63655,12.37451,35.85211,49.28087
"900",107285988,"laminin subunit alpha 1",24,195,104,59,19,52,20,29,126,29,108,99,55,21,30,23,46,24,125,60,23,115,219,81,71,77,72,16,48,96,0,0.00606904,0.00957698,0.274892859,0.1580719,0.1640417,0.306798,0.386322,0.0695028
"901",107285989,"Rho GTPase activating protein 28",4,19,25,2,4,11,3,4,42,6,17,32,4,6,8,12,0,4,17,6,2,22,84,3,16,9,5,7,11,0,1.453052,0.99411,1.1482895,1.068464301,1.257358903,0.505361881,0.0697983,0.110948,0.17286
"902",107285990,"RAB31, member RAS oncogene family",3,24,27,9,3,7,3,1,21,2,9,8,13,6,3,3,7,5,21,14,5,12,41,14,5,17,2,0,8,2,8.387615,6.989056,7.01531,5.683476,3.51025,4.256322,24.16603,126.8349,167.474
"903",107285991,"leucine rich repeat containing 30",42,165,124,50,121,426,17,75,13,71,153,14,68,39,76,35,4,12,13,50,26,148,35,34,152,97,27,22,596,3,0.33819,0.217134,0.0951697,0,0.265366,0,0.0285405,0.352746,0.182489
"904",107285999,"synaptosome associated protein 47kDa",5,4,0,9,3,1,1,0,1,0,0,2,1,3,1,0,2,7,2,2,3,4,7,2,7,0,0,6,6,3,38.178729,29.1963134,29.007439,29.04609569,30.246107,27.4392763,12.91174,13.23448,24.9201
"905",107286005,"SET domain containing 2",89,108,142,178,77,107,43,129,120,104,143,217,60,70,45,59,61,98,115,28,80,196,370,141,162,172,116,91,198,74,9.542495,9.2121667,8.8563596,8.070274,8.459441,4.794181,1.9173559,6.1329141,13.214833
"906",107286006,"kinesin family member 9",2,2,1,1,0,2,0,5,1,1,8,1,0,0,0,1,0,0,4,0,4,7,8,4,5,2,0,1,0,0,0.1646183,0.2224289,0.3464104,6.8408856,2.938826,5.4399134,0.129832,0.342771023,0.180194192
"907",107286012,"mitochondrial ribosomal protein L55",19,11,12,59,15,27,6,24,31,31,12,20,23,16,12,17,13,5,14,6,25,93,45,8,15,36,6,50,27,19,35.94483,71.51895,69.78626,46.91067636,159.6696999,168.4131133,70.52784,101.27903,97.59954
"908",107286013,"chromosome unknown open reading frame, human C1orf35",25,48,45,64,18,38,19,39,27,34,30,88,30,9,23,18,14,36,48,12,52,78,100,36,37,83,37,77,81,45,4.19356,7.61246,6.76988,15.131611,11.717755,9.763442,17.3945,28.6616,29.196
"909",107286035,"immunoglobulin superfamily member 10",36,406,336,47,55,97,27,52,187,37,241,85,123,73,77,73,60,24,149,83,32,218,333,132,98,87,87,17,160,31,0.738165435,0.4201617,0.427280324,3.2784673,4.259,4.882032,0.00669062,0.127713,0.0480634
"910",107286037,"clarin 1",3,1,1,0,1,1,0,1,2,0,3,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,2,1,2,0,0.2559342,0.146447,0.0929954,0.0337935,0.0754138,0,0,0,0
"911",107286041,"folliculin interacting protein 2",40,156,153,87,40,87,13,47,160,36,127,74,160,33,31,69,33,21,269,64,42,255,336,99,101,159,64,19,101,33,3.440643,2.9144054,2.599752,4.734079,7.4336364,6.677362,2.0973545,7.629453,6.7512256
"912",107286043,"peptidylprolyl isomerase D",256,689,597,332,168,276,120,698,363,165,706,393,984,264,216,366,192,138,724,305,584,920,871,438,228,399,380,136,700,142,11.7926192,5.616807,5.174502,11.68575,6.33,7.36988,34.5035,41.1462,177.956
"913",107286059,"toll interacting protein",510,299,393,231,363,196,138,162,164,224,409,135,247,158,131,260,331,335,381,238,134,459,939,323,620,239,334,102,352,142,36.233449,37.083117,37.4217687,26.910818,120.459673,109.52368,14.8828,30.3128,67.865052
"914",107286060,"mitochondrial ribosomal protein L3",285,326,316,392,175,420,83,136,240,136,243,442,182,125,173,93,93,153,254,89,221,454,753,228,219,614,113,193,423,201,30.40158,52.004435,60.077052,22.89068,33.28492636,34.69087,10.4253656,16.956722,38.663131
"915",107286063,"ADP ribosylation factor like GTPase 5A",107,75,102,78,55,55,42,50,78,29,58,63,55,56,49,55,45,47,99,30,57,101,82,84,82,97,67,129,72,82,9.06709,5.6081,5.33273,9.760453,16.223517,12.000749,3.73397,10.6627,29.6639
"916",107286065,"phosphoinositide-3-kinase regulatory subunit 4",316,385,419,404,199,368,136,381,267,287,322,420,254,188,205,172,231,313,358,202,315,629,1354,282,438,603,278,97,582,251,7.0262696,6.563184033,6.37419453,5.002957,11.66377,6.447563,1.381547434,2.968853,5.804790285
"917",107286072,"ATPase phospholipid transporting 9A (putative)",394,435,641,261,296,268,200,248,316,271,580,476,323,276,255,393,442,269,658,465,125,259,1339,175,847,242,401,173,307,276,23.3978167,28.229294,28.5291055,7.82364,8.456624,8.742502,2.307665,14.8652,20.85811
"918",107286076,"spalt-like transcription factor 4",0,6,9,0,2,0,0,0,3,0,3,5,2,0,0,1,0,0,9,0,0,8,35,2,2,2,0,0,2,0,2.227394,3.576819,3.7595446,0.0150402,0.1895645,0.0643027,0.2551014,0.610691,4.231629
"919",107286085,"signal transducing adaptor molecule 2",853,611,881,380,460,438,167,262,418,278,625,401,495,249,256,292,361,471,839,356,269,578,1812,688,1011,490,511,187,524,276,3.8701,3.4304022,3.541711,2.879048,5.296668,4.280249,4.58165,9.15269,16.0124
"920",107286096,"phospholipase A1 member A",0,5,6,2,0,8,6,0,31,1,18,10,14,0,2,0,1,0,6,0,2,2,33,1,4,6,0,1,27,0,5.11056,5.92136,5.87724,4.78221,1.50865,2.13242,0.811903,1.33997,2.316006
"921",107286110,"large tumor suppressor kinase 2",258,709,945.98,298,227,512,69,139,358,174,579,244,517,159,123,149,110,114,539,191,93,586,1072,453,566,497,301,98,670,265,0,0,0,7.08451,9.727863,15.63867,2.82423,5.89903,22.5594
"922",107286111,"Sin3A associated protein 18kDa",1360,971,1123,1078,756,604,267,454,894,288,859,875,657,494,381,479,464,467,1138,345,521,968,1703,1037,988,1487,762,1390,901,834,2.585605,2.18911,3.424292,133.49698,77.867128,69.465104,30.8748,38.8351,176.647
"923",107286112,"dynein, axonemal, heavy chain 14",12,34,36,13,14,14,5,22,12,18,15,12,6,1,6,6,3,6,34,8,9,16,19,21,18,32,6,4,16,9,0.28424,0.0429642,0.0216879,0.231433,0.4310116,0.1807602,0,0.0177893,0.00396287
"924",107286114,"zinc finger DHHC-type containing 20",14,48,37,13,12,19,6,29,17,10,57,15,21,13,18,17,11,13,50,9,7,49,98,44,41,49,15,2,44,5,3.9413491,3.2214004,3.1493735,2.324161,1.443769,1.792237,1.5190781,3.6370447,5.370208722
"925",107286115,"mitochondrial calcium uptake 2",18,57,39,26,19,28,9,23,36,28,33,33,32,18,10,14,10,11,40,11,15,42,40,42,48,43,17,12,37,31,14.359398,12.647814,13.450889,17.01285,21.73711,17.65073,17.682547,40.642187,51.95987804
"926",107286119,"SH3 domain containing ring finger 1",26,167,176,42,34,63,5,50,79,17,141,62,66,31,32,32,19,14,111,29,25,120,266,129,99,99,51,11,128,12,1.7553,1.872866,1.821124,4.29596,5.348971,5.556408,0.628537001,1.815667,3.095950002
