Pm_pro,Pm_geneid,Pm_description,target_id,cro_vg.un.,cro_vg_1,cro_vg_2,cro_vg_3(surrogate)
XP_015672392.1,107288304,sodium-coupled neutral amino acid transporter 2,crovir-protein-11799,3.15694,13.7716,16.024,10.98418
XP_015672393.1,107288273,histone H4,crovir-protein-17261,0,7.1221,3.04488,3.388993333
XP_015672394.1,107288305,protein kinase C-binding protein NELL2,crovir-protein-11806,0,0,0,0
XP_015672396.1,107288307,mitochondrial import receptor subunit TOM20 homolog,crovir-protein-9408,100.882,82.0558,85.4902,89.476
XP_015672403.1,107288312,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2",crovir-protein-9434,2.99135,4.74854,6.08868,4.609523333
XP_015672404.1,107288313,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,crovir-protein-9432,0.389705,2.86735,3.20885,2.155301667
XP_015672407.1,107288315,"probable methyltransferase TARBP1, partial",crovir-protein-9393,2.43426,6.33743,6.60405,5.125246667
XP_015672408.2,107288316,AT-rich interactive domain-containing protein 4B,crovir-protein-9409,6.96496,6.17565,6.85499,6.6652
XP_015672414.1,107288320,protein FAM3B,crovir-protein-3655,47.2581,24.1387,24.9869,32.1279
XP_015672415.2,107288321,beta-secretase 2,crovir-protein-3654,23.5133,29.63,35.1461,29.4298
XP_015672419.1,107288324,ras-related and estrogen-regulated growth inhibitor-like,crovir-protein-7844,0,0,0,0
XP_015672423.1,107288327,"DNA primase large subunit, partial",crovir-protein-8851,0.556888,0.252059,0.315726,0.374891
XP_015672425.1,107288329,voltage-dependent L-type calcium channel subunit alpha-1C,crovir-protein-12294,0.0986316,0,0.0380495,0.045560367
XP_015672426.1,107288330,haloacid dehalogenase-like hydrolase domain-containing 5,crovir-protein-12293,32.0279,12.9287,12.8165,19.2577
XP_015672427.1,107288331,transmembrane protein 121B,crovir-protein-12292,1.52845,1.18171,0.741631,1.150597
XP_015672428.1,107288333,adenosine deaminase 2,crovir-protein-12291,0.381568,0.0398614,0.0295029,0.150310767
XP_015672430.1,107288335,nuclear pore complex protein Nup155,crovir-protein-15838,6.5973,3.49362,4.14813,4.74635
XP_015672431.1,107288332,axin-2,crovir-protein-14395,0.57328,1.6894,1.9482,1.403626667
XP_015672432.1,107288336,nipped-B-like protein,crovir-protein-15845,2.75316,5.14409,5.65739,4.518213333
XP_015672434.1,107288338,glial cell line-derived neurotrophic factor isoform X1,crovir-protein-15833,0,0.0928167,0,0.0309389
XP_015672441.1,107288341,leucine-rich repeat-containing protein 2,crovir-protein-15496,0,0,0,0
XP_015672443.1,107288343,cryptic protein-like,crovir-protein-15498,0,0,0,0
XP_015672444.1,107288340,centrosomal protein of 112 kDa,crovir-protein-14406,6.98452,5.774,4.61425,5.790923333
XP_015672445.1,107288345,26S proteasome non-ATPase regulatory subunit 12,crovir-protein-4520,20.5194,26.8377,34.7738,27.37696667
XP_015672447.1,107288347,voltage-dependent calcium channel gamma-1 subunit,crovir-protein-4512,0,0.0272665,0.0201704,0.0158123
XP_015672448.1,107288348,voltage-dependent calcium channel gamma-4 subunit,crovir-protein-4513,0,0,0.0402392,0.013413067
XP_015672451.2,107288352,IgGFc-binding protein,crovir-protein-837,3.07042,0.00888113,0.0394707,1.03959061
XP_015672452.1,107288353,kin of IRRE-like protein 2,crovir-protein-859,0,0,0,0
XP_015672453.1,107288354,nephrin,crovir-protein-852,0.558879,0.0874395,0.0431614,0.229826633
XP_015672454.1,107288351,FH1/FH2 domain-containing protein 3,crovir-protein-2350,0.538605,1.60748,1.00131,1.049131667
XP_015672455.1,107288355,NF-kappa-B inhibitor delta,crovir-protein-848,0,0,0,0
XP_015672456.1,107288356,IgGFc-binding protein-like,crovir-protein-847,0,0,0,0
XP_015672462.1,107288363,"anosmin-1, partial",crovir-protein-3484,0.758439,0.40316,0.237718,0.466439
XP_015672464.1,107288366,olfactomedin-like protein 3,crovir-protein-6351,15.7503,1.95352,2.00842,6.570746667
XP_015672465.1,107288368,homeodomain-interacting protein kinase 1,crovir-protein-6352,4.03743,5.94173,7.36883,5.782663333
XP_015672467.1,107288370,hematopoietic progenitor cell antigen CD34,crovir-protein-6318,3.21397,1.13352,2.26814,2.20521
XP_015672468.1,107288372,complement component receptor 1-like protein,crovir-protein-6323,0,0.0759616,0,0.025320533
XP_015672469.1,107288374,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",crovir-protein-6310,0.778731,1.79354,1.82935,1.467207
XP_015672473.1,107288377,"plexin-A2, partial",crovir-protein-6325,0,0.0334507,0.0247343,0.019395
XP_015672474.1,107288376,UPF0711 protein C18orf21 homolog,crovir-protein-2347,10.2402,7.74019,7.52026,8.500216667
XP_015672475.1,107288378,complement component receptor 1-like protein,crovir-protein-6321,0,0,0,0
XP_015672476.1,107288379,protein AAR2 homolog,crovir-protein-6485,17.5083,9.50093,9.91119,12.30680667
XP_015672479.1,107288381,myosin regulatory light polypeptide 9,crovir-protein-6478,7.97791,1.2252,1.35946,3.520856667
XP_015672480.1,107288382,uncharacterized protein RAB5IF,crovir-protein-6479,20.0882,17.0777,23.3871,20.18433333
XP_015672481.1,107288383,nuclear receptor coactivator 6,crovir-protein-6482,3.61662,3.33867,3.80041,3.585233333
XP_015672486.1,107288386,phosphatidylinositol glycan anchor biosynthesis class U protein,crovir-protein-6476,5.51874,3.67135,5.65589,4.94866
XP_015672487.1,107288385,ankyrin and armadillo repeat-containing protein,crovir-protein-8403,0.225764,0.517629,0.453039,0.398810667
XP_015672488.1,107288387,dynein light chain roadblock-type 1,crovir-protein-6469,23.5195,18.8895,21.8085,21.40583333
XP_015672491.1,107288388,E3 ubiquitin-protein ligase Itchy homolog,crovir-protein-6471,1.5872,6.5303,7.39533,5.170943333
XP_015672492.1,107288389,adenosylhomocysteinase,crovir-protein-6475,13.947,15.6257,19.0313,16.20133333
XP_015672495.1,107288393,homeobox protein TGIF2,crovir-protein-6477,0.76531,0.43887,0.531783,0.578654333
XP_015672496.1,107288394,glutathione hydrolase 7,crovir-protein-6481,0.129138,0.107721,0.14956,0.128806333
XP_015672497.1,107288395,agouti-signaling protein,crovir-protein-6468,0,0,0,0
XP_015672499.1,107288396,zinc finger RNA-binding protein,crovir-protein-15865,6.77269,11.2575,14.2752,10.76846333
XP_015672500.1,107288397,LOW QUALITY PROTEIN: myotubularin-related protein 12,crovir-protein-15866,3.37263,7.36026,8.21743,6.316773333
XP_015672502.1,107288398,activated RNA polymerase II transcriptional coactivator p15 isoform X2,crovir-protein-15867,151.855,116.832,135.669,134.7853333
XP_015672503.1,107288074,calpain-2 catalytic subunit,crovir-protein-9593,1.07667,3.58133,2.81156,2.489853333
XP_015672504.1,107288399,"threonine--tRNA ligase, cytoplasmic",crovir-protein-15870,56.0306,71.0899,75.592,67.57083333
XP_015672506.1,107288401,A disintegrin and metalloproteinase with thrombospondin motifs 12,crovir-protein-15869,0,0.0898908,0.0380373,0.0426427
XP_015672508.1,107288404,membrane-associated transporter protein,crovir-protein-15853,0,0,0.0234903,0.0078301
XP_015672509.1,107288405,Golgi phosphoprotein 3,crovir-protein-15864,38.847,37.1018,45.411,40.45326667
XP_015672510.1,107288403,rho GTPase-activating protein 6,crovir-protein-6059,0,0.21197,0.233911,0.148627
XP_015672511.1,107288407,alpha-methylacyl-CoA racemase,crovir-protein-15852,7.58796,1.49858,2.69162,3.926053333
XP_015672514.1,107288409,tumor necrosis factor receptor superfamily member 19,crovir-protein-3966,1.11472,0.365635,0.184558,0.554971
XP_015672515.1,107288410,myotubularin-related protein 6,crovir-protein-3960,3.53962,12.3565,13.9564,9.95084
XP_015672519.1,107288414,mitochondrial intermediate peptidase,crovir-protein-3964,7.74534,5.44837,7.46484,6.886183333
XP_015672520.1,107288415,complement C1q and tumor necrosis factor-related protein 9A-like,crovir-protein-3965,0,0,0,0
XP_015672521.1,107288416,spermatogenesis-associated protein 13,crovir-protein-3963,1.89191,0.734301,0.835765,1.153992
XP_015672522.2,107288413,single-stranded DNA cytosine deaminase,crovir-protein-5844,0,0.0619475,0.0229068,0.028284767
XP_015672523.1,107288417,nucleoporin p58/p45,crovir-protein-3961,8.15393,8.37734,8.9731,8.501456667
XP_015672524.1,107288418,protein shisa-2 homolog,crovir-protein-3958,0.739664,0.269887,0.371158,0.460236333
XP_015672525.2,107288419,phospholipid-transporting ATPase IB,crovir-protein-3957,0,0,0,0
XP_015672527.1,107288421,wiskott-Aldrich syndrome protein family member 3 isoform X1,crovir-protein-3954,0,0,0,0
XP_015672533.1,107288423,collagen alpha-1(III) chain,crovir-protein-8358,172.251,14.6936,12.926,66.62353333
XP_015672544.1,107288434,collagen alpha-2(V) chain,crovir-protein-8373,1.46726,0.207475,0.283057,0.652597333
XP_015672555.1,107288445,solute carrier family 40 member 1,crovir-protein-8372,21.9674,11.3815,9.6201,14.323
XP_015672589.1,107288481,forkhead box protein P2,crovir-protein-11780,0,0.029049,0,0.009683
XP_015672592.1,107288486,coiled-coil domain-containing protein 166,crovir-protein-16708,0,0,0,0
XP_015672596.1,107288489,protein scribble homolog,crovir-protein-16702,16.3258,7.05638,8.00274,10.46164
XP_015672597.1,107288490,poly(U)-binding-splicing factor PUF60,crovir-protein-16699,18.2821,15.7647,18.3195,17.45543333
XP_015672600.1,107288493,protein FAM83H,crovir-protein-16696,2.05987,3.75459,4.00889,3.27445
XP_015672602.1,107288494,LOW QUALITY PROTEIN: selenoprotein P,crovir-protein-15821,6.07675,2.44284,1.71993,3.413173333
XP_015672603.1,107288495,zinc finger protein 131,crovir-protein-15822,2.41729,2.95653,3.01592,2.79658
XP_015672606.1,107288497,C-C motif chemokine 28,crovir-protein-15820,44.8457,0,0,14.94856667
XP_015672607.2,107288498,coiled-coil domain-containing protein 152,crovir-protein-15824,2.92E-08,0.161586,0.0537921,0.07179271
XP_015672608.2,107288499,"growth hormone receptor, partial",crovir-protein-15825,0.279618,0.087873,0.0866596,0.151383533
XP_015672609.1,107288501,serine/threonine-protein kinase NIM1,crovir-protein-15823,0,0.609594,0.281625,0.297073
XP_015672610.1,107288502,transmembrane protein 267,crovir-protein-15818,6.09686,4.90576,5.49655,5.499723333
XP_015672611.1,107288503,collagen alpha-1(II) chain,crovir-protein-14626,0,0.0456244,0.0450397,0.030221367
XP_015672612.1,107288500,PMS1 protein homolog 1,crovir-protein-8402,3.65022,1.97824,1.97487,2.534443333
XP_015672618.1,107288504,sentrin-specific protease 1,crovir-protein-14627,3.77556,7.89675,7.8759,6.51607
XP_015672621.1,107288507,prefoldin subunit 5,crovir-protein-14631,23.1629,22.0516,25.1349,23.4498
XP_015672622.1,107288509,nuclear receptor subfamily 1 group D member 2-like,crovir-protein-14628,2.90928,8.4094,11.5931,7.63726
XP_015672625.1,107288508,growth/differentiation factor 8,crovir-protein-8406,0.300176,1.31541,1.28692,0.967502
XP_015672626.1,107288512,unconventional myosin-Ia,crovir-protein-14642,0,0.0133982,0.00992118,0.007773127
XP_015672627.1,107288513,retinol dehydrogenase 16,crovir-protein-14644,40.485,79.5557,86.8802,68.97363333
XP_015672628.1,107288514,zinc finger protein 385A,crovir-protein-14634,2.15962,0.15288,1.29644,1.20298
XP_015672635.1,107288519,H(+)/Cl(-) exchange transporter 4,crovir-protein-11779,0,0.477049,0.787734,0.421594333
XP_015672638.1,107288525,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-A-like,crovir-protein-14623,4.23667,4.37778,9.78268,6.132376667
XP_015672639.1,107288526,ankyrin repeat and SOCS box protein 8,crovir-protein-14632,0.992538,1.37629,1.28717,1.218666
XP_015672640.1,107288527,molybdate-anion transporter,crovir-protein-14630,56.4727,52.5462,46.1409,51.71993333
XP_015672643.1,107288531,retinol dehydrogenase 10,crovir-protein-5037,5.10707,5.26697,6.62706,5.667033333
XP_015672644.1,107288532,60S ribosomal protein L7,crovir-protein-5035,1345.55,981.103,1068.16,1131.604333
XP_015672648.1,107288535,potassium voltage-gated channel subfamily B member 2,crovir-protein-5042,0,0,0,0
XP_015672649.1,107288536,transient receptor potential cation channel subfamily A member 1,crovir-protein-5041,0,0,0,0
XP_015672650.1,107288537,musculin,crovir-protein-5040,0.382056,0.0802974,0,0.1541178
XP_015672651.1,107288538,somatomedin-B and thrombospondin type-1 domain-containing protein,crovir-protein-5033,0.386801,0.162613,0.270401,0.273271667
XP_015672653.1,107288542,glutathione S-transferase 3,crovir-protein-5881,0,0.79577,0.593614,0.463128
XP_015672654.1,107288539,beta-citrylglutamate synthase B,crovir-protein-14970,0.397548,0.258839,0.253054,0.303147
XP_015672658.1,107288546,transmembrane protein 14A,crovir-protein-5878,35.1386,29.6178,31.3134,32.02326667
XP_015672659.1,107288547,angiopoietin-2,crovir-protein-5874,0.355324,0.186543,0.303373,0.281746667
XP_015672660.1,107288548,LOW QUALITY PROTEIN: 1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,crovir-protein-5880,0,0,0,0
XP_015672661.1,107288549,microcephalin,crovir-protein-5879,0.431226,0.405751,0.600512,0.479163
XP_015672665.1,107288552,ubiquitin carboxyl-terminal hydrolase 38,crovir-protein-4475,8.19692,18.6737,21.3416,16.07074
XP_015672666.1,107288553,"type II inositol 3,4-bisphosphate 4-phosphatase isoform X1",crovir-protein-4478,0,0.292109,0.13523,0.142446333
XP_015672667.1,107288554,cytokine-inducible SH2-containing protein,crovir-protein-13651,2.99024,0.85796,0.889288,1.579162667
XP_015672668.2,107288555,MTRF1L release factor glutamine methyltransferase,crovir-protein-13653,3.3386,1.79811,1.9965,2.377736667
XP_015672669.1,107288557,uncharacterized protein C3orf18 homolog,crovir-protein-13652,0,0,0.066313,0.022104333
XP_015672673.1,107288560,myotubularin-related protein 4,crovir-protein-9968,9.45328,9.60268,10.1328,9.729586667
XP_015672674.1,107288561,E3 ubiquitin-protein ligase RNF43,crovir-protein-9967,0.154477,0.900568,1.01854,0.691195
XP_015672678.1,107288563,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase,crovir-protein-10013,12.5316,17.9093,21.4895,17.31013333
XP_015672679.1,107288564,ribosome maturation protein SBDS,crovir-protein-10003,35.6498,47.3661,54.462,45.82596667
XP_015672680.1,107288565,merlin,crovir-protein-10015,2.25235,1.04768,1.55017,1.616733333
XP_015672681.1,107288567,heat shock factor protein 5,crovir-protein-9966,0,0,0.00947926,0.003159753
XP_015672684.1,107288566,"probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",crovir-protein-8405,10.5257,15.3987,15.2086,13.711
XP_015672685.1,107288571,myeloperoxidase,crovir-protein-10012,0,0.173794,0.160769,0.111521
XP_015672686.1,107288572,protein NipSnap homolog 2,crovir-protein-10006,41.6885,26.6357,25.4943,31.27283333
XP_015672688.1,107288574,protein PIMREG isoform X1,crovir-protein-10009,3.59188,5.867,5.61497,5.024616667
XP_015672693.1,107288577,phosphoserine phosphatase isoform X1,crovir-protein-10014,27.9583,56.8253,59.3606,48.04806667
XP_015672705.1,107288587,midkine,crovir-protein-7453,39.2463,35.121,45.9964,40.12123333
XP_015672707.1,107288589,activating molecule in BECN1-regulated autophagy protein 1,crovir-protein-7503,4.39742,4.16297,4.01624,4.19221
XP_015672709.1,107288590,muscarinic acetylcholine receptor M4,crovir-protein-7452,0.606811,0.0972928,0.0470421,0.250381967
XP_015672710.2,107288591,ankyrin repeat and fibronectin type-III domain-containing protein 1,crovir-protein-14501,0,0,0,0
XP_015672712.1,107288593,diacylglycerol kinase epsilon,crovir-protein-14500,0.900856,0.251809,0.488827,0.547164
XP_015672713.1,107288594,nucleolysin TIAR,crovir-protein-10452,9.83624,20.3596,24.0201,18.07198
XP_015672715.1,107288596,phosphatidylinositide phosphatase SAC2,crovir-protein-10455,4.25302,3.81959,4.43539,4.169333333
XP_015672716.1,107288598,mini-chromosome maintenance complex-binding protein,crovir-protein-10453,18.2776,20.4269,23.8829,20.86246667
XP_015672717.1,107288599,SEC23-interacting protein,crovir-protein-10454,5.1717,9.79375,10.0158,8.327083333
XP_015672719.1,107288597,uncharacterized protein LOC107288597,crovir-protein-12225,0.364737,0.133326,0.211471,0.236511333
XP_015672724.1,107288570,tropomodulin-3,crovir-protein-15317,173.263,257.83,325.894,252.329
XP_015672727.1,107288602,transforming acidic coiled-coil-containing protein 2,crovir-protein-10439,1.12825,2.53555,3.83258,2.498793333
XP_015672729.1,107288605,serine protease HTRA1,crovir-protein-10433,6.59299,1.71196,2.37685,3.5606
XP_015672730.1,107288606,"G protein-coupled receptor kinase 5, partial",crovir-protein-10457,0.542042,0.0567658,0.146962,0.248589933
XP_015672731.1,107288607,phospholipid phosphatase 4,crovir-protein-10451,0,0,0.691211,0.230403667
XP_015672733.1,107288608,WD repeat-containing protein 11,crovir-protein-10444,0.730722,1.75333,1.79482,1.426290667
XP_015672735.1,107288610,uncharacterized protein LOC107288610,crovir-protein-10438,0,0,0.00570141,0.00190047
XP_015672737.1,107288612,regulator of G-protein signaling 10,crovir-protein-10456,0.423627,0.312022,0.428134,0.387927667
XP_015672755.1,107288626,serine/threonine-protein kinase B-raf,crovir-protein-12229,0.33615,0.740765,0.704145,0.593686667
XP_015672765.1,107288636,uncharacterized protein LOC107288636,crovir-protein-15216,39.2798,30.3745,29.7095,33.12126667
XP_015672776.1,107288650,uncharacterized protein C11orf42 homolog,crovir-protein-17204,3.74248,1.52414,1.12514,2.130586667
XP_015672778.1,107288651,cyclic nucleotide-gated cation channel alpha-4,crovir-protein-17000,0,0,0,0
XP_015672779.1,107288652,gastrin/cholecystokinin type B receptor,crovir-protein-17326,4.14253,0.182367,0.151818,1.492238333
XP_015672780.1,107288653,sphingomyelin phosphodiesterase,crovir-protein-17327,347.678,251.374,346.507,315.1863333
XP_015672783.1,107288656,ribosomal RNA-processing protein 8,crovir-protein-17060,11.8835,5.60882,6.61527,8.035863333
XP_015672785.1,107288657,integrin-linked protein kinase,crovir-protein-17064,77.3807,26.9721,37.0864,47.1464
XP_015672787.1,107288659,tripeptidyl-peptidase 1,crovir-protein-17055,34.8083,11.5732,11.6197,19.33373333
XP_015672788.1,107288660,protocadherin-16,crovir-protein-17057,0.107245,0.0669388,0.086791,0.0869916
XP_015672793.1,107288666,tripartite motif-containing protein 3,crovir-protein-17059,21.487,5.204,6.03923,10.91007667
XP_015672797.1,107288669,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase",crovir-protein-15606,0,0,0,0
XP_015672802.1,107288677,"aminomethyltransferase, mitochondrial",crovir-protein-13701,8.42195,6.35351,5.94965,6.90837
XP_015672803.1,107288678,T-cell leukemia translocation-altered gene protein,crovir-protein-13706,18.974,23.056,27.1372,23.05573333
XP_015672805.1,107288676,"28S ribosomal protein S33, mitochondrial",crovir-protein-12228,12.9737,9.76017,12.7907,11.84152333
XP_015672806.1,107288680,mannose-1-phosphate guanyltransferase beta,crovir-protein-13707,56.5768,47.4591,53.1117,52.38253333
XP_015672808.1,107288682,E3 ubiquitin-protein ligase RNF123-like,crovir-protein-13698,2.42817,2.10404,3.47568,2.669296667
XP_015672809.1,107288683,"NACHT, LRR and PYD domains-containing protein 3",crovir-protein-13700,3.41166,0.801418,1.31833,1.843802667
XP_015672811.1,107288685,ubiquitin carboxyl-terminal hydrolase 4,crovir-protein-13692,11.2656,18.0941,19.0412,16.13363333
XP_015672814.1,107288689,"ubiquitin-like modifier-activating enzyme 1, partial",crovir-protein-13705,0.507041,0.132679,0.294464,0.311394667
XP_015672816.1,107288687,NADH dehydrogenase,crovir-protein-12219,37.2813,20.349,17.386,25.00543333
XP_015672824.1,107288699,nicolin-1,crovir-protein-13697,4.56901,6.12353,6.83639,5.842976667
XP_015672827.1,107288698,uncharacterized protein LOC107288698,crovir-protein-15215,9.42814,2.55522,2.39138,4.79158
XP_015672829.1,107288703,upstream stimulatory factor 2,crovir-protein-9308,29.9659,9.60109,13.3388,17.63526333
XP_015672830.1,107288704,hepcidin,crovir-protein-801,3.28665,0.354292,0.173578,1.271506667
XP_015672831.1,107288705,cilia- and flagella-associated protein 47,crovir-protein-3579,0,0,0,0
XP_015672837.1,107288710,teneurin-1,crovir-protein-80,0,0,0.010091,0.003363667
XP_015672838.2,107288711,"START domain-containing protein 10, partial",crovir-protein-82,66.7537,24.2709,28.4732,39.8326
XP_015672839.1,107288712,cysteinyl leukotriene receptor 1,crovir-protein-84,0,0.128609,0.332108,0.153572333
XP_015672840.1,107288713,transmembrane protein 115,crovir-protein-13656,22.3837,14.3784,16.7184,17.82683333
XP_015672841.1,107288714,GATOR complex protein NPRL2,crovir-protein-13663,2.44883,1.61437,1.21333,1.758843333
XP_015672842.1,107288715,cytochrome b561 domain-containing protein 2,crovir-protein-13658,1.29555,2.09076,2.31696,1.90109
XP_015672845.1,107288718,ras association domain-containing protein 1 isoform X2,crovir-protein-13661,4.07884,1.87562,2.61843,2.85763
XP_015672849.1,107288720,hyaluronidase-2,crovir-protein-13660,0.755729,1.53942,1.65067,1.315273
XP_015672850.1,107288721,leucine-rich single-pass membrane protein 2,crovir-protein-13672,8.39552,11.9897,14.9839,11.78970667
XP_015672853.2,107288723,acylamino-acid-releasing enzyme,crovir-protein-13678,7.61891,0.935205,1.26655,3.273555
XP_015672854.1,107288724,hepatocyte growth factor-like protein,crovir-protein-13673,0.543921,0.0189351,0.0560625,0.2063062
XP_015672855.1,107288725,acylamino-acid-releasing enzyme,crovir-protein-13677,2.76713,2.28443,2.546,2.53252
XP_015672856.1,107288727,voltage-dependent calcium channel subunit alpha-2/delta-2,crovir-protein-13657,0.620494,0,0.0959893,0.238827767
XP_015672862.1,107288731,hyaluronidase-3,crovir-protein-13674,0,0,0.040636,0.013545333
XP_015672863.1,107288732,teneurin-3,crovir-protein-4602,0.209607,0.40723,0.533326,0.383387667
XP_015672864.1,107288733,deoxycytidylate deaminase,crovir-protein-4600,3.27995,0.468796,0.439145,1.395963667
XP_015672865.1,107288734,ankyrin repeat domain-containing protein 6,crovir-protein-9005,4.31744,4.32403,4.36392,4.33513
XP_015672866.1,107288735,CASP8-associated protein 2,crovir-protein-9004,0.84101,0.5857,0.76308,0.72993
XP_015672867.1,107288737,midasin,crovir-protein-9007,2.51063,3.11497,4.11766,3.247753333
XP_015672871.1,107288740,transcription regulator protein BACH2,crovir-protein-9006,0,0.0169271,0.0501243,0.022350467
XP_015672872.1,107288741,protein MAL2,crovir-protein-4875,55.1603,69.799,86.8818,70.6137
XP_015672873.2,107288742,collectin-10,crovir-protein-4879,0,0.0538797,0.039782,0.031220567
XP_015672874.1,107288743,CCN family member 3,crovir-protein-4876,2.93639,1.46504,2.62174,2.341056667
XP_015672875.1,107288744,"ectonucleotide pyrophosphatase/phosphodiesterase family member 2, partial",crovir-protein-4873,557.743,1091.62,1060.86,903.4076667
XP_015672876.1,107288745,tumor necrosis factor receptor superfamily member 11B,crovir-protein-4877,0.955493,0.0499829,0.0184904,0.3413221
XP_015672881.1,107288750,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L,crovir-protein-3177,5.10078,2.15365,2.46178,3.238736667
XP_015672883.1,107288752,vang-like protein 2,crovir-protein-3182,9.15308,8.58063,10.0412,9.258303333
XP_015672888.1,107288757,eukaryotic translation initiation factor 4E,crovir-protein-4362,16.9274,16.326,19.2009,17.48476667
XP_015672889.1,107288758,methionine aminopeptidase 1,crovir-protein-4363,11.9409,10.2394,14.4401,12.2068
XP_015672895.1,107288762,alcohol dehydrogenase 1,crovir-protein-4369,15.5688,8.99587,10.109,11.55789
XP_015672901.1,107288768,microsomal triglyceride transfer protein large subunit,crovir-protein-4364,2.22705,2.41468,2.81446,2.485396667
XP_015672908.1,107288773,arachidonate 5-lipoxygenase,crovir-protein-5554,5.49706,0.829402,1.01306,2.446507333
XP_015672909.1,107288774,E3 ubiquitin-protein ligase TRIM32,crovir-protein-17441,3.03582,1.12738,1.53947,1.90089
XP_015672910.2,107288775,astrotactin-2,crovir-protein-16799,16.946,11.9067,14.2224,14.35836667
XP_015672911.1,107288776,pappalysin-1,crovir-protein-16795,0.593752,0.0628065,0.0926872,0.249748567
XP_015672912.1,107288778,"protein ECT2, partial",crovir-protein-10916,0.788908,0.0824314,0.213527,0.361622133
XP_015672913.1,107288779,spermatogenesis-associated protein 16,crovir-protein-10920,0,0,0,0
XP_015672915.1,107288777,coiled-coil domain-containing protein 40,crovir-protein-14346,0,0.353107,0.250067,0.201058
XP_015672916.1,107288781,splicing factor 3A subunit 1,crovir-protein-16299,27.6833,17.3981,19.9766,21.686
XP_015672920.1,107288784,THO complex subunit 5 homolog,crovir-protein-16287,16.4683,9.51775,13.2985,13.09485
XP_015672922.1,107288786,activating signal cointegrator 1 complex subunit 2,crovir-protein-10587,17.4514,25.4422,26.2938,23.06246667
XP_015672923.1,107288788,myotubularin-related protein 3,crovir-protein-16278,5.46292,4.61896,5.87375,5.318543333
XP_015672926.1,107288787,lysosomal alpha-glucosidase,crovir-protein-14345,0.239598,0.756664,0.868468,0.621576667
XP_015672927.1,107288791,cytosolic arginine sensor for mTORC1 subunit 1,crovir-protein-16268,13.586,2.99205,3.12398,6.567343333
XP_015672928.1,107288792,60S acidic ribosomal protein P0,crovir-protein-16264,4752.08,1914.84,1988.21,2885.043333
XP_015672929.1,107288793,eIF-2-alpha kinase activator GCN1,crovir-protein-16265,16.0243,15.6593,20.7139,17.46583333
XP_015672930.1,107288794,serine/threonine-protein kinase TAO3,crovir-protein-2267,13.6401,18.8481,19.9914,17.4932
XP_015672931.1,107288795,mitochondrial fission process protein 1,crovir-protein-16288,8.99402,4.7325,5.19469,6.30707
XP_015672932.1,107288796,SEC14-like protein 2,crovir-protein-16286,4.85907,9.85138,9.78311,8.16452
XP_015672935.1,107288800,protein NipSnap homolog 1,crovir-protein-16289,44.9332,18.1307,18.7061,27.25666667
XP_015672937.1,107288798,N-sulphoglucosamine sulphohydrolase,crovir-protein-14347,17.3773,10.901,12.4361,13.57146667
XP_015672938.1,107288802,TBC1 domain family member 10A,crovir-protein-16273,30.1802,21.9666,25.0564,25.7344
XP_015672940.1,107288804,ras-related protein Rab-35,crovir-protein-16261,19.2943,11.4197,14.6863,15.13343333
XP_015672941.2,107288805,coiled-coil domain-containing protein 60,crovir-protein-16259,0.150718,0.11008,0.17464,0.145146
XP_015672943.2,107288807,RING finger protein 215,crovir-protein-16291,4.81075,4.47541,6.45621,5.247456667
XP_015672944.1,107288808,coiled-coil domain-containing protein 157-like,crovir-protein-16283,1.33385,1.43324,1.1492,1.30543
XP_015672945.1,107288772,tropomodulin-2,crovir-protein-15312,3.6794,2.39275,3.41581,3.162653333
XP_015672947.1,107288811,rhomboid domain-containing protein 3,crovir-protein-16284,8.34919,6.06301,8.07983,7.497343333
XP_015672949.1,107288809,sodium-independent sulfate anion transporter,crovir-protein-14357,6.99882,4.223,4.01284,5.07822
XP_015672950.1,107288813,ras-like protein family member 10A,crovir-protein-16282,3.95191,1.57887,1.68444,2.405073333
XP_015672952.1,107288815,cell death activator CIDE-3,crovir-protein-16269,0,0,0,0
XP_015672954.1,107288817,zinc finger matrin-type protein 5,crovir-protein-16275,12.7143,9.67803,10.7178,11.03671
XP_015672956.1,107288821,transmembrane protein 233,crovir-protein-16276,0,0,0,0
XP_015672957.1,107288822,5\'-AMP-activated protein kinase subunit beta-1,crovir-protein-16277,57.6562,44.2364,42.5823,48.1583
XP_015672963.2,107288826,sin3 histone deacetylase corepressor complex component SDS3,crovir-protein-16249,39.8361,26.6414,30.0545,32.17733333
XP_015672964.1,107288827,elongation factor 1-alpha 1,crovir-protein-8910,1248.32,952.814,1183.87,1128.334667
XP_015672967.1,107288830,CD109 antigen,crovir-protein-8913,0.472536,0.726503,0.647431,0.61549
