Orthogroup	H_sapiens.pep	A_carolinensis.pep
OG0003063	ENSG00000183840.7	ENSACAG00000028080.1, ENSACAG00000028207.1
OG0003064	ENSG00000091164.13	ENSACAG00000009121.3
OG0003065	ENSG00000158806.14	ENSACAG00000000163.3
OG0003066	ENSG00000152492.15	ENSACAG00000015518.3
OG0003067	ENSG00000060709.15	ENSACAG00000014219.3
OG0003068	ENSG00000067167.8, ENSG00000174599.5	ENSACAG00000014839.3
OG0003069	ENSG00000160710.17	ENSACAG00000015640.3, ENSACAG00000025913.1
OG0003070	ENSG00000084693.16	ENSACAG00000008335.2
OG0003071	ENSG00000177239.15	ENSACAG00000013155.3
OG0003072	ENSG00000165471.6	ENSACAG00000004891.3
OG0003073	ENSG00000138286.15	ENSACAG00000004289.3
OG0003074	ENSG00000147604.14	ENSACAG00000014396.3
OG0003075	ENSG00000274523.5	ENSACAG00000027886.2, ENSACAG00000009407.2, ENSACAG00000012453.2
OG0003076	ENSG00000147912.13	ENSACAG00000012059.3
OG0003077	ENSG00000141437.9, ENSG00000122696.14	ENSACAG00000012131.2
OG0003078	ENSG00000153885.14	ENSACAG00000013531.2, ENSACAG00000002127.3
OG0003079	ENSG00000176986.16	ENSACAG00000009727.3
OG0003080	ENSG00000150977.10	ENSACAG00000015423.2
OG0003081	ENSG00000139697.14	ENSACAG00000015441.3
OG0003082	ENSG00000197157.11	ENSACAG00000007463.3
OG0003083	ENSG00000083635.8	ENSACAG00000006461.3
OG0003084	ENSG00000133114.18	ENSACAG00000006468.3
OG0003085	ENSG00000116685.16	ENSACAG00000012185.3
OG0003087	ENSG00000133112.16	ENSACAG00000006531.3
OG0003088	ENSG00000004455.17	ENSACAG00000003453.3
OG0003089	ENSG00000187554.14	ENSACAG00000023912.1, ENSACAG00000002483.3
OG0003090	ENSG00000103194.15	ENSACAG00000025660.2, ENSACAG00000014549.3
OG0003091	ENSG00000196865.4	ENSACAG00000009993.3
OG0003092	ENSG00000166033.13	ENSACAG00000009013.2, ENSACAG00000017367.3
OG0003093	ENSG00000157181.16	ENSACAG00000001399.3
OG0003094	ENSG00000089041.17	ENSACAG00000022072.1
OG0003095	ENSG00000196914.9	ENSACAG00000003208.3
OG0003096	ENSG00000175216.15	ENSACAG00000006716.2, ENSACAG00000029651.1
OG0003097	ENSG00000262246.6, ENSG00000282725.1, ENSG00000278760.4, ENSG00000103426.12	ENSACAG00000016277.3
OG0003098	ENSG00000134644.15	ENSACAG00000000682.3
OG0003099	ENSG00000111445.14	ENSACAG00000016614.2
OG0003100	ENSG00000121766.15	ENSACAG00000000389.2
OG0003101	ENSG00000148572.16	ENSACAG00000010317.3
OG0003102	ENSG00000144677.15	ENSACAG00000005539.3
OG0003103	ENSG00000183346.7	ENSACAG00000023245.1, ENSACAG00000010976.2
OG0003104	ENSG00000285816.1, ENSG00000014138.9	ENSACAG00000001115.1, ENSACAG00000002133.3
OG0003105	ENSG00000060642.10	ENSACAG00000016638.2
OG0003106	ENSG00000181191.11, ENSG00000198961.10	ENSACAG00000006938.3
OG0003107	ENSG00000129595.13	ENSACAG00000007361.3
OG0003108	ENSG00000102309.15	ENSACAG00000008618.3
OG0003109	ENSG00000263513.5, ENSG00000215784.6, ENSG00000188610.12, ENSG00000196550.10	ENSACAG00000012851.3
OG0003110	ENSG00000280571.2, ENSG00000244607.7	ENSACAG00000006787.3
OG0003111	ENSG00000186867.11	ENSACAG00000012952.2, ENSACAG00000003885.2
OG0003112	ENSG00000138018.18	ENSACAG00000009014.3, ENSACAG00000006867.3
OG0003113	ENSG00000139718.10	ENSACAG00000011162.3
OG0003114	ENSG00000189134.4, ENSG00000101882.10	ENSACAG00000003695.3
OG0003115	ENSG00000157823.17, ENSG00000177879.16	ENSACAG00000028530.1
OG0003116	ENSG00000276657.2, ENSG00000104524.14	ENSACAG00000001821.3
OG0003117	ENSG00000169592.15	ENSACAG00000010179.3
OG0003118	ENSG00000169570.10	ENSACAG00000004172.2
OG0003119	ENSG00000100726.15	ENSACAG00000014677.3
OG0003120	ENSG00000187535.14	ENSACAG00000014726.3
OG0003121	ENSG00000127586.17	ENSACAG00000008970.3
OG0003122	ENSG00000053900.10	ENSACAG00000013604.3
OG0003123	ENSG00000002726.20	ENSACAG00000013715.2
OG0003124	ENSG00000155508.13	ENSACAG00000004001.3
OG0003125	ENSG00000157219.5	ENSACAG00000010972.3
OG0003126	ENSG00000164902.14	ENSACAG00000002878.2
OG0003127	ENSG00000267127.7, ENSG00000101546.13	ENSACAG00000001323.3
OG0003128	ENSG00000178952.11	ENSACAG00000005399.3
OG0003129	ENSG00000168488.18	ENSACAG00000005425.3
OG0003130	ENSG00000103066.13	ENSACAG00000009961.3
OG0003131	ENSG00000132600.16	ENSACAG00000010119.3
OG0003132	ENSG00000107929.15	ENSACAG00000002858.3
OG0003133	ENSG00000188603.19, ENSG00000261832.6	ENSACAG00000006069.2
OG0003134	ENSG00000172179.12	ENSACAG00000002939.2
OG0003135	ENSG00000067082.15	ENSACAG00000001166.2
OG0003136	ENSG00000137177.20	ENSACAG00000003398.3
OG0003137	ENSG00000124523.16	ENSACAG00000003538.3
OG0003138	ENSG00000100442.11	ENSACAG00000004080.3, ENSACAG00000026768.1
OG0003139	ENSG00000285341.1, ENSG00000185899.1, ENSG00000221855.1, ENSG00000284982.1	ENSACAG00000006850.2
OG0003140	ENSG00000166482.11	ENSACAG00000007087.2
OG0003141	ENSG00000282291.1	ENSACAG00000008777.3
OG0003142	ENSG00000174780.17	ENSACAG00000002381.3
OG0003143	ENSG00000132394.11, ENSG00000284869.2	ENSACAG00000007152.2, ENSACAG00000028177.2
OG0003144	ENSG00000084093.17	ENSACAG00000002355.2
OG0003145	ENSG00000047315.16	ENSACAG00000002123.3
OG0003146	ENSG00000176101.12	ENSACAG00000007648.2
OG0003147	ENSG00000196408.11	ENSACAG00000002450.2
OG0003148	ENSG00000167112.10	ENSACAG00000007331.3
OG0003149	ENSG00000273155.1, ENSG00000185414.20, ENSG00000241962.9	ENSACAG00000000933.2
OG0003150	ENSG00000088827.12	ENSACAG00000004049.2
OG0003151	ENSG00000077514.9	ENSACAG00000014267.3
OG0003152	ENSG00000108107.14	ENSACAG00000006100.1, ENSACAG00000015980.3
OG0003153	ENSG00000169862.19	ENSACAG00000002855.3
OG0003154	ENSG00000175077.6, ENSG00000198471.1	ENSACAG00000027543.1, ENSACAG00000025564.1, ENSACAG00000006945.2
OG0003155	ENSG00000086102.19	ENSACAG00000002412.3
OG0003156	ENSG00000197620.11, ENSG00000197021.9	ENSACAG00000008621.2
OG0003157	ENSG00000075539.15	ENSACAG00000006131.2
OG0003158	ENSG00000281216.1, ENSG00000162849.16	ENSACAG00000011771.3
OG0003159	ENSG00000133121.21	ENSACAG00000004137.3
OG0003160	ENSG00000136937.13	ENSACAG00000004409.3
OG0003161	ENSG00000099956.19, ENSG00000275837.3	ENSACAG00000007478.3
OG0003162	ENSG00000184178.16	ENSACAG00000010600.3, ENSACAG00000005847.2
OG0003163	ENSG00000167904.15	ENSACAG00000029207.1, ENSACAG00000017980.2
OG0003164	ENSG00000148677.6	ENSACAG00000007919.3
OG0003165	ENSG00000241058.4	ENSACAG00000005626.2
OG0003166	ENSG00000156222.12, ENSG00000137860.12	ENSACAG00000006314.3
OG0003167	ENSG00000107611.16	ENSACAG00000005060.3, ENSACAG00000025755.1
OG0003168	ENSG00000005469.11	ENSACAG00000016327.3
OG0003169	ENSG00000138160.6	ENSACAG00000006621.3
OG0003170	ENSG00000170502.13	ENSACAG00000005663.3
OG0003171	ENSG00000103353.16	ENSACAG00000029331.1
OG0003172	ENSG00000117593.12	ENSACAG00000015426.3
OG0003173	ENSG00000064601.18	ENSACAG00000014074.3
OG0003174	ENSG00000146834.14	ENSACAG00000011551.2
OG0003175	ENSG00000100979.15	ENSACAG00000014170.3
OG0003176	ENSG00000176845.13, ENSG00000275031.2	ENSACAG00000017553.2, ENSACAG00000009193.3
OG0003177	ENSG00000173599.15	ENSACAG00000006309.2
OG0003178	ENSG00000122375.12	ENSACAG00000013560.3, ENSACAG00000014422.3
OG0003179	ENSG00000121879.5	ENSACAG00000011632.3, ENSACAG00000004872.3
OG0003180	ENSG00000198252.12	ENSACAG00000006799.3
OG0003181	ENSG00000269547.1, ENSG00000282835.1, ENSG00000104835.14, ENSG00000283104.1	ENSACAG00000028657.1
OG0003182	ENSG00000149806.11	ENSACAG00000010831.2
OG0003183	ENSG00000266412.5	ENSACAG00000014932.3
OG0003184	ENSG00000116161.18	ENSACAG00000015077.2
OG0003185	ENSG00000134452.19	ENSACAG00000002729.3
OG0003186	ENSG00000001630.17	ENSACAG00000015660.3
OG0003187	ENSG00000128203.7	ENSACAG00000014305.3
OG0003188	ENSG00000135404.11	ENSACAG00000009957.3
OG0003189	ENSG00000108021.20	ENSACAG00000003168.2, ENSACAG00000022489.1
OG0003190	ENSG00000001629.10	ENSACAG00000015516.2
OG0003191	ENSG00000228520.3, ENSG00000206287.5, ENSG00000231115.3, ENSG00000235107.3, ENSG00000226788.3, ENSG00000204227.5	ENSACAG00000008962.3
OG0003192	ENSG00000089022.14	ENSACAG00000009296.3
OG0003193	ENSG00000127948.16	ENSACAG00000011250.3
OG0003194	ENSG00000142227.11	ENSACAG00000016345.3
OG0003195	ENSG00000034239.11	ENSACAG00000015360.2
OG0003196	ENSG00000179820.16	ENSACAG00000016360.2
OG0003197	ENSG00000090857.13	ENSACAG00000010473.3
OG0003198	ENSG00000167986.14	ENSACAG00000017758.3
OG0003199	ENSG00000186106.11	ENSACAG00000016427.3
OG0003200	ENSG00000100650.16	ENSACAG00000005143.3
OG0003201	ENSG00000205413.8, ENSG00000177409.12	ENSACAG00000012901.2
OG0003202	ENSG00000090863.11	ENSACAG00000010559.2
OG0003203	ENSG00000104450.12	ENSACAG00000016384.3
OG0003204	ENSG00000147669.11	ENSACAG00000020961.3
OG0003205	ENSG00000177694.16	ENSACAG00000029348.1
OG0003206	ENSG00000111731.12	ENSACAG00000017277.3
OG0003207	ENSG00000101746.15	ENSACAG00000017885.3
OG0003208	ENSG00000108559.12	ENSACAG00000015448.3
OG0003209	ENSG00000205323.9	ENSACAG00000015446.3
OG0003210	ENSG00000033011.12	ENSACAG00000003362.3
OG0003211	ENSG00000089902.10	ENSACAG00000000182.3
OG0003212	ENSG00000176920.13	ENSACAG00000016777.2
OG0003213	ENSG00000106244.13	ENSACAG00000012832.3
OG0003214	ENSG00000153339.14	ENSACAG00000017859.3
OG0003215	ENSG00000010165.20	ENSACAG00000012638.3
OG0003216	ENSG00000125503.13	ENSACAG00000016847.3
OG0003217	ENSG00000179364.13	ENSACAG00000005211.3, ENSACAG00000013636.2
OG0003218	ENSG00000100075.10	ENSACAG00000002556.3
OG0003219	ENSG00000125844.16	ENSACAG00000013887.3
OG0003220	ENSG00000007933.13	ENSACAG00000013117.3
OG0003221	ENSG00000089639.11	ENSACAG00000004868.3
OG0003222	ENSG00000070669.17	ENSACAG00000012961.3
OG0003223	ENSG00000106443.16	ENSACAG00000013266.3
OG0003224	ENSG00000160570.14	ENSACAG00000029646.1
OG0003225	ENSG00000151746.14	ENSACAG00000012712.3
OG0003226	ENSG00000170456.16	ENSACAG00000012799.3
OG0003227	ENSG00000197980.13	ENSACAG00000023624.1, ENSACAG00000001530.2
OG0003229	ENSG00000170445.15	ENSACAG00000012768.3
OG0003230	ENSG00000256453.2	ENSACAG00000012925.3
OG0003231	ENSG00000151067.22, ENSG00000285479.2	ENSACAG00000011077.3
OG0003232	ENSG00000138271.6	ENSACAG00000026620.2
OG0003233	ENSG00000185946.16	ENSACAG00000002029.3
OG0003234	ENSG00000090263.16	ENSACAG00000011355.3
OG0003235	ENSG00000117543.21	ENSACAG00000003102.3
OG0003236	ENSG00000164610.9	ENSACAG00000009290.3
OG0003237	ENSG00000166598.15	ENSACAG00000016190.2
OG0003238	ENSG00000143036.17	ENSACAG00000004877.3
OG0003239	ENSG00000186866.16	ENSACAG00000009812.3
OG0003240	ENSG00000151136.15	ENSACAG00000015113.3
OG0003241	ENSG00000106588.11, ENSG00000256646.7	ENSACAG00000017511.3
OG0003242	ENSG00000106591.4	ENSACAG00000017508.3
OG0003243	ENSG00000176946.12	ENSACAG00000000876.3
OG0003244	ENSG00000189195.13	ENSACAG00000004659.2
OG0003245	ENSG00000164742.16	ENSACAG00000007921.3
OG0003246	ENSG00000136273.13	ENSACAG00000008129.3
OG0003247	ENSG00000122694.16	ENSACAG00000009084.3
OG0003248	ENSG00000142185.16	ENSACAG00000008372.3
OG0003249	ENSG00000028310.18	ENSACAG00000009383.3
OG0003250	ENSG00000100101.15, ENSG00000273899.5	ENSACAG00000015549.3
OG0003251	ENSG00000164366.4	ENSACAG00000009573.2
OG0003252	ENSG00000100116.16	ENSACAG00000015453.3
OG0003253	ENSG00000073578.17	ENSACAG00000009576.2
OG0003254	ENSG00000125703.15	ENSACAG00000008101.3
OG0003255	ENSG00000275272.4, ENSG00000083896.12	ENSACAG00000009697.3
OG0003256	ENSG00000132323.9	ENSACAG00000006573.3
OG0003257	ENSG00000138769.11	ENSACAG00000008598.3
OG0003258	ENSG00000187889.13	ENSACAG00000006851.3
OG0003259	ENSG00000100403.12	ENSACAG00000004820.3
OG0003260	ENSG00000085978.22, ENSG00000281089.3	ENSACAG00000005976.3
OG0003261	ENSG00000100412.16	ENSACAG00000004677.3, ENSACAG00000013398.2
OG0003262	ENSG00000132466.19	ENSACAG00000011145.3
OG0003263	ENSG00000100138.15	ENSACAG00000028496.1
OG0003264	ENSG00000162390.17	ENSACAG00000014353.3
OG0003265	ENSG00000239305.7	ENSACAG00000011597.2
OG0003266	ENSG00000136490.9	ENSACAG00000012593.2
OG0003267	ENSG00000105875.14	ENSACAG00000010904.2
OG0003268	ENSG00000256870.3, ENSG00000262217.3	ENSACAG00000012014.3, ENSACAG00000011810.2
OG0003269	ENSG00000108788.11	ENSACAG00000013679.3
OG0003270	ENSG00000131462.8, ENSG00000037042.9	ENSACAG00000013771.3
OG0003271	ENSG00000155256.17	ENSACAG00000003048.3
OG0003272	ENSG00000188596.11	ENSACAG00000013432.3, ENSACAG00000013409.2
OG0003273	ENSG00000138175.9	ENSACAG00000004245.3, ENSACAG00000006487.2
OG0003274	ENSG00000139343.10	ENSACAG00000014073.2
OG0003275	ENSG00000276432.4, ENSG00000278023.6	ENSACAG00000012989.3
OG0003276	ENSG00000198015.13	ENSACAG00000012606.3
OG0003277	ENSG00000180329.14	ENSACAG00000012551.3
OG0003278	ENSG00000132773.12	ENSACAG00000015161.3
OG0003279	ENSG00000161714.12	ENSACAG00000007219.3
OG0003280	ENSG00000278174.3, ENSG00000073969.18, ENSG00000276262.2	ENSACAG00000016584.3
OG0003281	ENSG00000107736.21	ENSACAG00000028908.1
OG0003282	ENSG00000158955.11, ENSG00000276799.2	ENSACAG00000016690.3
OG0003283	ENSG00000123080.12	ENSACAG00000007393.3
OG0003284	ENSG00000161664.7	ENSACAG00000017168.1
OG0003285	ENSG00000004897.12	ENSACAG00000017359.2
OG0003286	ENSG00000108298.11	ENSACAG00000017455.3
OG0003287	ENSG00000138668.19	ENSACAG00000010342.3
OG0003288	ENSG00000138674.17	ENSACAG00000010481.3
OG0003289	ENSG00000176769.9	ENSACAG00000008136.3
OG0003290	ENSG00000189308.11	ENSACAG00000010548.2
OG0003291	ENSG00000058799.15	ENSACAG00000008956.3
OG0003292	ENSG00000119965.13	ENSACAG00000017448.3
OG0003293	ENSG00000196177.13	ENSACAG00000017471.3
OG0003294	ENSG00000065154.12	ENSACAG00000017543.3
OG0003295	ENSG00000255150.2, ENSG00000107672.15	ENSACAG00000017278.3
OG0003296	ENSG00000173801.17	ENSACAG00000017889.3
OG0003297	ENSG00000168610.14	ENSACAG00000017940.3
OG0003298	ENSG00000120688.9	ENSACAG00000000798.3
OG0003299	ENSG00000137309.20	ENSACAG00000015910.3
OG0003300	ENSG00000275851.4, ENSG00000275023.5	ENSACAG00000017970.3
OG0003301	ENSG00000184226.15	ENSACAG00000004984.3
OG0003302	ENSG00000278845.5, ENSG00000277936.4	ENSACAG00000007343.3
OG0003303	ENSG00000159111.13	ENSACAG00000006889.3
OG0003304	ENSG00000134873.10	ENSACAG00000001996.2
OG0003305	ENSG00000002919.14	ENSACAG00000006556.3
OG0003306	ENSG00000120068.7	ENSACAG00000006423.2
OG0003307	ENSG00000139737.22	ENSACAG00000000948.2
OG0003308	ENSG00000198740.8	ENSACAG00000006063.3
OG0003309	ENSG00000102554.14	ENSACAG00000000949.3
OG0003310	ENSG00000273294.1, ENSG00000082196.20	ENSACAG00000008426.2
OG0003311	ENSG00000135241.17	ENSACAG00000000006.3
OG0003312	ENSG00000198839.10	ENSACAG00000007100.3
OG0003313	ENSG00000009790.15	ENSACAG00000005896.3
OG0003314	ENSG00000161654.10	ENSACAG00000004618.2
OG0003315	ENSG00000077063.11	ENSACAG00000007252.2
OG0003316	ENSG00000184436.12	ENSACAG00000011895.3
OG0003317	ENSG00000155380.11, ENSG00000281917.2	ENSACAG00000017946.3
OG0003318	ENSG00000134900.12	ENSACAG00000002987.3
OG0003320	ENSG00000128513.16	ENSACAG00000001301.3
OG0003321	ENSG00000104852.15	ENSACAG00000013276.3
OG0003322	ENSG00000126226.22	ENSACAG00000000188.3
OG0003323	ENSG00000133055.9, ENSG00000221986.7	ENSACAG00000004704.2
OG0003324	ENSG00000157796.18	ENSACAG00000007508.3
OG0003325	ENSG00000157570.12	ENSACAG00000014461.3
OG0003326	ENSG00000125991.19	ENSACAG00000005774.3
OG0003327	ENSG00000101079.21	ENSACAG00000006578.2
OG0003328	ENSG00000080839.12	ENSACAG00000006847.3
OG0003329	ENSG00000111247.14	ENSACAG00000022364.1
OG0003330	ENSG00000118972.3	ENSACAG00000009467.2
OG0003331	ENSG00000130021.14	ENSACAG00000006758.2, ENSACAG00000004616.3
OG0003332	ENSG00000005302.19	ENSACAG00000001416.2
OG0003333	ENSG00000046651.15	ENSACAG00000001745.3
OG0003334	ENSG00000131061.14	ENSACAG00000008818.3
OG0003335	ENSG00000100364.18	ENSACAG00000015647.3
OG0003336	ENSG00000101444.13	ENSACAG00000009113.3
OG0003337	ENSG00000150471.16	ENSACAG00000014335.3
OG0003338	ENSG00000173681.16	ENSACAG00000012584.3
OG0003339	ENSG00000123240.17	ENSACAG00000001364.3
OG0003340	ENSG00000123130.17	ENSACAG00000007472.3
OG0003341	ENSG00000151474.23	ENSACAG00000000600.3
OG0003342	ENSG00000064115.11	ENSACAG00000012262.2
OG0003343	ENSG00000165164.14	ENSACAG00000021077.2, ENSACAG00000014934.2
OG0003344	ENSG00000161040.16	ENSACAG00000006367.3
OG0003345	ENSG00000154611.14, ENSG00000101182.15	ENSACAG00000016158.3
OG0003346	ENSG00000183878.15, ENSG00000147050.14	ENSACAG00000017877.3
OG0003347	ENSG00000128536.16	ENSACAG00000014646.3
OG0003348	ENSG00000283847.2, ENSG00000105856.14	ENSACAG00000015023.2
OG0003349	ENSG00000284369.1, ENSG00000164597.13	ENSACAG00000015081.3
OG0003350	ENSG00000125508.3	ENSACAG00000024839.2
OG0003351	ENSG00000144034.16	ENSACAG00000007787.3
OG0003352	ENSG00000205758.12	ENSACAG00000024897.1, ENSACAG00000004694.3
OG0003353	ENSG00000159131.17	ENSACAG00000004438.3
OG0003354	ENSG00000007202.15	ENSACAG00000013883.2
OG0003355	ENSG00000064042.18	ENSACAG00000012067.3
OG0003356	ENSG00000142149.9	ENSACAG00000003806.2, ENSACAG00000002743.3
OG0003357	ENSG00000156284.6	ENSACAG00000002394.2
OG0003358	ENSG00000156253.7	ENSACAG00000001560.1
OG0003359	ENSG00000128039.11	ENSACAG00000009601.3
OG0003360	ENSG00000090989.18	ENSACAG00000009187.3
OG0003361	ENSG00000104219.13	ENSACAG00000006191.3
OG0003362	ENSG00000003989.17	ENSACAG00000006443.3
OG0003363	ENSG00000088926.14, ENSG00000164344.16	ENSACAG00000001300.3
OG0003364	ENSG00000109771.15	ENSACAG00000002192.3
OG0003365	ENSG00000151726.14	ENSACAG00000002400.3
OG0003366	ENSG00000164122.9	ENSACAG00000005887.3
OG0003367	ENSG00000081154.12	ENSACAG00000011907.3
OG0003368	ENSG00000151014.6	ENSACAG00000001961.3
OG0003369	ENSG00000163608.15	ENSACAG00000010157.3
OG0003370	ENSG00000206530.11	ENSACAG00000028147.2, ENSACAG00000010078.3
OG0003371	ENSG00000144847.13	ENSACAG00000002923.3
OG0003372	ENSG00000263238.1, ENSG00000256043.3	ENSACAG00000016864.3
OG0003373	ENSG00000185149.6	ENSACAG00000015595.2
OG0003374	ENSG00000121210.16	ENSACAG00000015790.3
OG0003376	ENSG00000132952.12	ENSACAG00000005080.3
OG0003377	ENSG00000164073.10	ENSACAG00000011518.3
OG0003378	ENSG00000123737.12	ENSACAG00000012689.3
OG0003379	ENSG00000146223.15	ENSACAG00000029623.1
OG0003380	ENSG00000138735.16	ENSACAG00000013216.2
OG0003381	ENSG00000170522.9	ENSACAG00000010235.3
OG0003382	ENSG00000205403.13, ENSG00000285330.1	ENSACAG00000010059.3, ENSACAG00000029395.1
OG0003383	ENSG00000198856.13	ENSACAG00000012543.3
OG0003385	ENSG00000198301.12	ENSACAG00000012781.3
OG0003386	ENSG00000282825.2, ENSG00000134030.14	ENSACAG00000018006.3
OG0003387	ENSG00000145649.8	ENSACAG00000015452.3
OG0003388	ENSG00000198754.5, ENSG00000083720.13	ENSACAG00000010461.3
OG0003389	ENSG00000277273.5, ENSG00000134058.12	ENSACAG00000016452.3
OG0003390	ENSG00000113163.17	ENSACAG00000008556.3
OG0003391	ENSG00000064651.14	ENSACAG00000002415.3
OG0003392	ENSG00000205423.11	ENSACAG00000001483.2
OG0003393	ENSG00000186687.16	ENSACAG00000001420.3
OG0003394	ENSG00000081377.17, ENSG00000218305.4	ENSACAG00000012788.3
OG0003395	ENSG00000135002.12	ENSACAG00000005559.3
OG0003396	ENSG00000107372.13	ENSACAG00000012653.2
OG0003397	ENSG00000135048.14	ENSACAG00000012861.3
OG0003398	ENSG00000184492.6, ENSG00000170122.5, ENSG00000187559.6, ENSG00000204779.2, ENSG00000184659.5, ENSG00000273514.1	ENSACAG00000008130.2
OG0003399	ENSG00000080608.10	ENSACAG00000003174.3
OG0003400	ENSG00000196792.12	ENSACAG00000014886.2
OG0003401	ENSG00000119471.15	ENSACAG00000017353.3
OG0003402	ENSG00000148158.17	ENSACAG00000017384.3
OG0003403	ENSG00000184916.9	ENSACAG00000009394.3
OG0003404	ENSG00000110934.12	ENSACAG00000012104.3
OG0003405	ENSG00000126756.12	ENSACAG00000004754.3
OG0003406	ENSG00000099814.16	ENSACAG00000011394.2
OG0003407	ENSG00000164076.17	ENSACAG00000005428.3, ENSACAG00000008359.3
OG0003408	ENSG00000218823.2, ENSG00000090060.18	ENSACAG00000013474.3
OG0003409	ENSG00000273761.5, ENSG00000089737.17	ENSACAG00000008545.3
OG0003411	ENSG00000100604.13, ENSG00000276781.3	ENSACAG00000008883.3
OG0003412	ENSG00000015133.19	ENSACAG00000009670.3
OG0003413	ENSG00000119596.18	ENSACAG00000016685.3
OG0003414	ENSG00000085831.15	ENSACAG00000017092.3
OG0003415	ENSG00000130734.10	ENSACAG00000015993.3
OG0003416	ENSG00000111752.11	ENSACAG00000017447.3
OG0003418	ENSG00000152234.16	ENSACAG00000012698.3
OG0003419	ENSG00000176566.5, ENSG00000182308.7, ENSG00000119599.17	ENSACAG00000016340.3
OG0003420	ENSG00000159459.12	ENSACAG00000015852.3
OG0003421	ENSG00000102076.10, ENSG00000166160.9, ENSG00000268221.6, ENSG00000269433.3	ENSACAG00000012605.2
OG0003422	ENSG00000137804.14, ENSG00000285920.2	ENSACAG00000003726.3
OG0003423	ENSG00000168268.11	ENSACAG00000012833.3, ENSACAG00000007080.3
OG0003424	ENSG00000213689.14	ENSACAG00000008936.2
OG0003424	ENSG00000183479.12	ENSACAG00000012912.2
OG0003425	ENSG00000184194.5	ENSACAG00000021048.2
OG0003426	ENSG00000165912.16	ENSACAG00000003162.3
OG0003427	ENSG00000285387.2, ENSG00000213619.10	ENSACAG00000001966.2
OG0003428	ENSG00000205126.2, ENSG00000110455.14	ENSACAG00000014115.3
OG0003429	ENSG00000175104.15	ENSACAG00000005108.3
OG0003430	ENSG00000170581.14	ENSACAG00000023449.2
OG0003431	ENSG00000172893.15	ENSACAG00000015826.3
OG0003432	ENSG00000110958.16	ENSACAG00000009130.3
OG0003433	ENSG00000166444.19	ENSACAG00000009884.3
OG0003434	ENSG00000172809.13	ENSACAG00000014849.2
OG0003435	ENSG00000266074.8	ENSACAG00000015255.3
OG0003436	ENSG00000288199.1, ENSG00000130592.15	ENSACAG00000009592.3
OG0003438	ENSG00000055483.19	ENSACAG00000016248.3
OG0003439	ENSG00000185359.13	ENSACAG00000016808.3
OG0003440	ENSG00000116014.10	ENSACAG00000017083.3
OG0003441	ENSG00000141867.17	ENSACAG00000017270.3
OG0003442	ENSG00000105127.9	ENSACAG00000017298.3
OG0003443	ENSG00000141560.15	ENSACAG00000017373.3
OG0003444	ENSG00000142102.16	ENSACAG00000017476.3
OG0003445	ENSG00000006695.12	ENSACAG00000017567.3
OG0003447	ENSG00000088179.9	ENSACAG00000020944.2
OG0003448	ENSG00000161547.16, ENSG00000263465.4	ENSACAG00000008553.2
OG0003449	ENSG00000182173.13	ENSACAG00000006714.3
OG0003450	ENSG00000109062.12	ENSACAG00000005447.3
OG0003451	ENSG00000030066.13	ENSACAG00000009437.3
OG0003452	ENSG00000110711.10	ENSACAG00000009693.3
OG0003453	ENSG00000124006.15	ENSACAG00000014245.3
OG0003454	ENSG00000082258.13	ENSACAG00000002335.2
OG0003455	ENSG00000150540.14	ENSACAG00000000451.3
OG0003456	ENSG00000197713.15, ENSG00000235376.5	ENSACAG00000010750.3
OG0003457	ENSG00000258984.5	ENSACAG00000015931.3
OG0003458	ENSG00000177483.11	ENSACAG00000015938.3
OG0003459	ENSG00000113522.14, ENSG00000283782.2	ENSACAG00000012723.3
OG0003460	ENSG00000072682.18	ENSACAG00000012415.3
OG0003461	ENSG00000196290.15	ENSACAG00000017036.3
OG0003462	ENSG00000178093.14	ENSACAG00000006724.2, ENSACAG00000021099.2
OG0003463	ENSG00000198612.11	ENSACAG00000010495.2
OG0003464	ENSG00000145919.11, ENSG00000228075.5	ENSACAG00000015107.3
OG0003465	ENSG00000196743.9	ENSACAG00000010113.3
OG0003466	ENSG00000011523.14	ENSACAG00000001863.3
OG0003467	ENSG00000101292.7, ENSG00000169618.6	ENSACAG00000000824.3
OG0003468	ENSG00000127022.15, ENSG00000283777.2	ENSACAG00000016222.2
OG0003469	ENSG00000120729.10	ENSACAG00000017085.3
OG0003470	ENSG00000151665.13	ENSACAG00000028483.1
OG0003471	ENSG00000139684.15	ENSACAG00000016511.3
OG0003472	ENSG00000102743.15	ENSACAG00000016648.3
OG0003473	ENSG00000125863.20	ENSACAG00000001885.2
OG0003474	ENSG00000169228.14	ENSACAG00000005638.2
OG0003475	ENSG00000112983.17	ENSACAG00000006700.3
OG0003476	ENSG00000134324.11	ENSACAG00000000325.3
OG0003477	ENSG00000134318.14	ENSACAG00000000198.3
OG0003478	ENSG00000134313.15	ENSACAG00000002386.2
OG0003479	ENSG00000167774.2, ENSG00000267855.6	ENSACAG00000007045.2
OG0003480	ENSG00000198000.12	ENSACAG00000009201.3
OG0003481	ENSG00000274726.4, ENSG00000104728.16	ENSACAG00000005109.2
OG0003482	ENSG00000143727.16	ENSACAG00000005389.3
OG0003483	ENSG00000279643.3, ENSG00000144559.10	ENSACAG00000010318.3
OG0003484	ENSG00000261796.1, ENSG00000240682.9	ENSACAG00000013166.3
