Orthogroup	H_sapiens.pep	N_naja.pep
OG0001920	ENSG00000130985.17	Nana10504-RA, Nana10504-RB
OG0001921	ENSG00000139546.11	Nana10237-RG, Nana10237-RF, Nana10237-RE, Nana10237-RC, Nana10237-RA, Nana10237-RB
OG0001922	ENSG00000211448.12	Nana05433-RA
OG0001922	ENSG00000197406.7	Nana05683-RA
OG0001923	ENSG00000102710.20	Nana10979-RA
OG0001924	ENSG00000165496.5, ENSG00000147403.16	Nana10651-RA, Nana10651-RB
OG0001925	ENSG00000198585.11, ENSG00000168101.14	Nana10703-RA
OG0001926	ENSG00000102001.12	Nana10727-RA, Nana10727-RB
OG0001927	ENSG00000175868.14, ENSG00000110680.12	Nana04456-RA
OG0001928	ENSG00000278165.3, ENSG00000184545.11, ENSG00000273793.3	Nana29441-RA, Nana04347-RA, Nana04346-RA, Nana04344-RA
OG0001929	ENSG00000070047.13, ENSG00000274780.2	Nana04304-RA, Nana04304-RB, Nana04304-RD, Nana04304-RE, Nana04304-RC
OG0001930	ENSG00000115084.14	Nana03695-RD, Nana03695-RB, Nana03695-RG, Nana03695-RE, Nana03695-RF, Nana03695-RC, Nana03695-RA
OG0001931	ENSG00000169660.16	Nana09423-RA, Nana09423-RB
OG0001932	ENSG00000182473.22	Nana09479-RA, Nana09479-RB
OG0001933	ENSG00000172830.13	Nana04049-RE, Nana04049-RH, Nana04049-RB, Nana04049-RI, Nana04049-RF, Nana04049-RG, Nana04049-RC
OG0001934	ENSG00000172508.10	Nana04027-RA, Nana04027-RF, Nana04027-RB, Nana04027-RD, Nana04027-RE, Nana04027-RC
OG0001935	ENSG00000184058.14	Nana35226-RA
OG0001936	ENSG00000113558.18	Nana08933-RD, Nana08933-RC, Nana08933-RB, Nana08933-RA
OG0001938	ENSG00000058262.10	Nana08314-RA
OG0001940	ENSG00000174950.11	Nana30147-RA
OG0001940	ENSG00000135535.17	Nana02105-RA
OG0001941	ENSG00000145945.7, ENSG00000071859.15	Nana10644-RF, Nana10644-RG, Nana10644-RD
OG0001942	ENSG00000237051.8, ENSG00000232632.8, ENSG00000237112.8, ENSG00000232569.8, ENSG00000204681.11, ENSG00000206466.10, ENSG00000206511.10	Nana07887-RA
OG0001943	ENSG00000282130.1, ENSG00000185115.6, ENSG00000177383.5	Nana10608-RB, Nana10608-RA
OG0001944	ENSG00000228854.8, ENSG00000206484.10, ENSG00000228867.8, ENSG00000137404.14, ENSG00000234809.8, ENSG00000236843.8, ENSG00000235773.8	Nana07798-RA
OG0001945	ENSG00000228691.6, ENSG00000227129.6, ENSG00000227315.7, ENSG00000234343.6, ENSG00000204386.11, ENSG00000184494.8, ENSG00000234846.7, ENSG00000223957.6	Nana07629-RA
OG0001946	ENSG00000231479.8, ENSG00000206378.10, ENSG00000228263.8, ENSG00000204385.12, ENSG00000232180.8, ENSG00000235336.8, ENSG00000229077.8	Nana07616-RA, Nana07616-RB
OG0001947	ENSG00000176973.8	Nana35867-RB, Nana35867-RE
OG0001947	ENSG00000182118.8	Nana01632-RA
OG0001948	ENSG00000163806.16	Nana01312-RA
OG0001948	ENSG00000204710.2	Nana35926-RA
OG0001949	ENSG00000223496.3	Nana31374-RA
OG0001950	ENSG00000276184.4, ENSG00000243566.6	Nana00514-RA, Nana00515-RA
OG0001951	ENSG00000127946.17	Nana00629-RC, Nana00629-RD, Nana00629-RA, Nana00629-RB
OG0001952	ENSG00000232312.6, ENSG00000223932.6, ENSG00000204438.11, ENSG00000233210.6, ENSG00000228605.6, ENSG00000206408.8, ENSG00000236011.6	Nana07654-RA
OG0001956	ENSG00000205593.12	Nana27958-RB, Nana27958-RE, Nana27958-RG, Nana27958-RD, Nana27958-RA, Nana27958-RC, Nana27958-RF, Nana27958-RH
OG0001957	ENSG00000277726.4	Nana37543-RA
OG0001958	ENSG00000249773.3, ENSG00000239789.6	Nana00574-RA
OG0001960	ENSG00000182393.3, ENSG00000197110.9, ENSG00000183709.7	Nana30885-RA
OG0001964	ENSG00000101200.5, ENSG00000101405.3	Nana17400-RA
OG0001985	ENSG00000136942.15	Nana36970-RA
OG0001986	ENSG00000197045.13	Nana05899-RA
OG0001988	ENSG00000079974.17, ENSG00000144134.18	Nana27913-RA, Nana27913-RB, Nana27913-RC
OG0001989	ENSG00000100490.9, ENSG00000205111.8	Nana05943-RA, Nana05943-RB
OG0001991	ENSG00000074964.17	Nana37221-RB, Nana37221-RA, Nana37221-RC
OG0001992	ENSG00000102144.15, ENSG00000170950.6	Nana31956-RA
OG0001993	ENSG00000103342.13	Nana34116-RB, Nana34116-RC, Nana34116-RA
OG0001994	ENSG00000116983.13	Nana29767-RA
OG0001995	ENSG00000174444.15	Nana33538-RA
OG0001996	ENSG00000276709.4, ENSG00000275498.5, ENSG00000179889.19	Nana34122-RB, Nana34122-RC
OG0001997	ENSG00000108523.16	Nana38626-RA, Nana38624-RA, Nana38624-RB, Nana38626-RB, Nana38626-RC
OG0001998	ENSG00000129744.3	Nana25584-RA
OG0001999	ENSG00000277140.2, ENSG00000166783.22	Nana34166-RD, Nana34166-RC, Nana34166-RE, Nana34166-RB, Nana34166-RA
OG0002000	ENSG00000159248.5	Nana05171-RA, Nana30715-RA
OG0002002	ENSG00000099282.10	Nana27994-RA, Nana19169-RA
OG0002003	ENSG00000186871.7	Nana27831-RA, Nana39094-RA, Nana39089-RA, Nana39088-RA
OG0002004	ENSG00000110395.7	Nana28849-RG, Nana28849-RD, Nana28849-RB, Nana28849-RA, Nana28849-RE, Nana28849-RH
OG0002005	ENSG00000138138.13, ENSG00000283024.1	Nana19274-RA
OG0002006	ENSG00000116030.16	Nana03170-RA
OG0002007	ENSG00000198732.10	Nana04959-RA, Nana04959-RB, Nana04959-RC, Nana30776-RA
OG0002008	ENSG00000107625.13, ENSG00000165732.13	Nana19155-RA
OG0002009	ENSG00000197446.9	Nana30925-RA
OG0002011	ENSG00000121691.7	Nana04782-RA, Nana04784-RA
OG0002012	ENSG00000091073.19	Nana00516-RA
OG0002013	ENSG00000205356.10	Nana34262-RF, Nana34262-RH, Nana34262-RG, Nana34262-RD, Nana34262-RE
OG0002015	ENSG00000145604.16	Nana12431-RA, Nana12432-RA, Nana12432-RB, Nana12432-RC, Nana12433-RA
OG0002016	ENSG00000168781.22	Nana33646-RA, Nana33646-RE, Nana33646-RC, Nana33646-RD, Nana33646-RB
OG0002017	ENSG00000035720.8, ENSG00000178078.11	Nana06399-RA
OG0002019	ENSG00000135164.18	Nana29166-RD, Nana29166-RC, Nana29166-RB, Nana29166-RA
OG0002020	ENSG00000165588.17	Nana05854-RA
OG0002021	ENSG00000131269.19	Nana31989-RI, Nana31989-RH, Nana31989-RG, Nana31989-RE, Nana31989-RF, Nana31988-RA
OG0002022	ENSG00000221955.10	Nana03733-RA
OG0002023	ENSG00000109163.6	Nana35763-RA
OG0002024	ENSG00000288217.1, ENSG00000139197.10	Nana11067-RC, Nana11067-RA, Nana11067-RB
OG0002025	ENSG00000126883.17	Nana36873-RC, Nana36873-RA, Nana36873-RB
OG0002026	ENSG00000275051.2, ENSG00000125207.7	Nana35343-RA
OG0002027	ENSG00000082438.17	Nana03486-RC, Nana03486-RA, Nana03486-RB
OG0002029	ENSG00000078589.13	Nana32153-RA, Nana32154-RA
OG0002030	ENSG00000136930.13, ENSG00000205220.12	Nana36513-RA
OG0002031	ENSG00000118094.12	Nana29049-RE, Nana29049-RD, Nana29049-RF, Nana29049-RH, Nana29049-RG, Nana29049-RI, Nana29049-RL
OG0002032	ENSG00000198060.10	Nana28165-RA, Nana19399-RB, Nana19399-RA
OG0002033	ENSG00000067369.13	Nana33641-RC, Nana33641-RJ, Nana33641-RK, Nana33641-RD, Nana33641-RB, Nana33641-RA
OG0002034	ENSG00000260170.1, ENSG00000137767.14	Nana33208-RC, Nana33208-RG, Nana33208-RD, Nana33208-RH, Nana33208-RA
OG0002035	ENSG00000102580.15	Nana26328-RB
OG0002036	ENSG00000280548.4, ENSG00000105202.9, ENSG00000188573.8	Nana30314-RA
OG0002037	ENSG00000175334.8	Nana35742-RA
OG0002039	ENSG00000259132.1, ENSG00000129474.16, ENSG00000092036.18	Nana14882-RA, Nana24232-RA
OG0002040	ENSG00000115486.12	Nana28056-RA, Nana28056-RB, Nana28056-RC, Nana28056-RE, Nana28056-RD
OG0002041	ENSG00000102387.15, ENSG00000178913.8	Nana32283-RA, Nana32283-RB
OG0002044	ENSG00000179832.17	Nana00614-RA, Nana17210-RC, Nana17210-RB
OG0002045	ENSG00000084754.12	Nana00714-RB, Nana00714-RC
OG0002046	ENSG00000109667.12	Nana18700-RA
OG0002047	ENSG00000112378.12	Nana01910-RA, Nana01912-RA
OG0002048	ENSG00000090432.7	Nana37628-RA, Nana37628-RB
OG0002049	ENSG00000150281.6	Nana23886-RA
OG0002051	ENSG00000099381.18	Nana23877-RB, Nana37714-RA, Nana23877-RA
OG0002052	ENSG00000106484.16	Nana27842-RA, Nana27839-RA
OG0002053	ENSG00000159208.16	Nana36390-RC, Nana36390-RB, Nana36390-RF, Nana36390-RE, Nana36390-RA, Nana36390-RD
OG0002054	ENSG00000197694.17	Nana36532-RE, Nana36532-RF, Nana36532-RG
OG0002055	ENSG00000167395.10	Nana38755-RA, Nana38757-RA, Nana23870-RA, Nana15969-RB
OG0002056	ENSG00000075151.20	Nana37258-RE, Nana37258-RF, Nana37258-RB, Nana37258-RD, Nana37258-RC, Nana37258-RA
OG0002057	ENSG00000171307.19	Nana19932-RD, Nana19932-RC, Nana19932-RB, Nana19932-RA
OG0002058	ENSG00000065526.12	Nana37269-RF, Nana37269-RE, Nana37269-RD, Nana37269-RG, Nana37269-RC, Nana37269-RA, Nana37269-RB
OG0002060	ENSG00000137073.22	Nana12776-RA, Nana12778-RB, Nana12778-RA
OG0002061	ENSG00000276021.4, ENSG00000167716.18	Nana00062-RB, Nana00062-RD, Nana00062-RG, Nana00062-RE, Nana00062-RA
OG0002062	ENSG00000173821.19	Nana09692-RA
OG0002063	ENSG00000172375.13	Nana29030-RC, Nana29030-RE, Nana29030-RD, Nana29030-RH, Nana29030-RG, Nana29030-RJ
OG0002064	ENSG00000136160.17	Nana26310-RA
OG0002065	ENSG00000185122.11, ENSG00000284774.2	Nana17204-RA, Nana17204-RB, Nana17204-RC, Nana17204-RD
OG0002066	ENSG00000123165.8, ENSG00000169717.7	Nana37705-RA, Nana37707-RA
OG0002067	ENSG00000188313.13	Nana20333-RA
OG0002068	ENSG00000276726.4, ENSG00000103423.14	Nana34612-RG, Nana34612-RC, Nana34612-RF, Nana34612-RE, Nana34612-RD
OG0002069	ENSG00000120451.10	Nana28640-RA, Nana28641-RA
OG0002070	ENSG00000111237.19	Nana34789-RA
OG0002071	ENSG00000198929.13	Nana15349-RA
OG0002072	ENSG00000120533.13	Nana16765-RA
OG0002073	ENSG00000159228.13, ENSG00000159231.6	Nana24608-RA
OG0002074	ENSG00000149922.10	Nana23752-RA
OG0002075	ENSG00000175826.12, ENSG00000288307.1, ENSG00000262526.2	Nana38954-RA
OG0002076	ENSG00000157106.16	Nana34137-RA, Nana34137-RB, Nana34137-RG, Nana34137-RC, Nana34137-RF, Nana34137-RD
OG0002077	ENSG00000255292.8, ENSG00000204370.12	Nana28891-RA
OG0002078	ENSG00000144152.13	Nana00954-RA
OG0002079	ENSG00000140307.11	Nana13642-RA
OG0002080	ENSG00000170234.13	Nana09233-RC, Nana09233-RD, Nana09233-RE, Nana09233-RB, Nana09233-RA, Nana09233-RF
OG0002081	ENSG00000100883.12	Nana05250-RB, Nana05250-RA
OG0002083	ENSG00000129003.18	Nana32811-RA, Nana32811-RB, Nana32811-RC, Nana32811-RD, Nana32811-RF, Nana32811-RE
OG0002084	ENSG00000021355.13	Nana15741-RA, Nana15741-RB
OG0002085	ENSG00000133422.13	Nana34898-RD, Nana34898-RC, Nana34898-RA, Nana34898-RB
OG0002086	ENSG00000137776.17	Nana32782-RB, Nana32782-RE, Nana32782-RC, Nana32782-RA, Nana32782-RD
OG0002087	ENSG00000277196.4, ENSG00000100033.16	Nana35425-RB, Nana35425-RA
OG0002088	ENSG00000156482.11	Nana16645-RA
OG0002089	ENSG00000187642.9	Nana37472-RC, Nana37472-RD, Nana37472-RB, Nana37472-RA, Nana37469-RA
OG0002090	ENSG00000140262.17	Nana32764-RB, Nana32764-RD, Nana32764-RE, Nana32764-RF, Nana32764-RA, Nana32764-RC
OG0002091	ENSG00000204264.11, ENSG00000235715.6, ENSG00000236443.6, ENSG00000206298.8, ENSG00000226201.6, ENSG00000230669.6, ENSG00000231631.6, ENSG00000230034.8	Nana07196-RA
OG0002092	ENSG00000079841.18	Nana02326-RA
OG0002093	ENSG00000137871.20, ENSG00000285253.1, ENSG00000056277.16	Nana32762-RA
OG0002094	ENSG00000188343.13	Nana16603-RA
OG0002095	ENSG00000176692.8	Nana31680-RA
OG0002095	ENSG00000054598.9	Nana15750-RA
OG0002096	ENSG00000078668.14	Nana28151-RC, Nana28151-RA
OG0002097	ENSG00000241878.11	Nana35501-RA
OG0002098	ENSG00000100014.20, ENSG00000258555.6	Nana35536-RA, Nana35536-RB
OG0002099	ENSG00000138867.16	Nana35541-RC, Nana35541-RA, Nana35541-RD, Nana35541-RE, Nana35541-RB
OG0002100	ENSG00000105568.18	Nana30486-RA, Nana30486-RB
OG0002102	ENSG00000147130.14	Nana32674-RF, Nana32674-RH, Nana32674-RA, Nana32674-RI, Nana32674-RG, Nana32674-RK
OG0002103	ENSG00000104756.16	Nana28342-RB
OG0002104	ENSG00000104325.7	Nana16576-RA, Nana16575-RB, Nana16575-RA, Nana16572-RA, Nana16577-RA, Nana16577-RB
OG0002105	ENSG00000224982.4	Nana34972-RA
OG0002106	ENSG00000089157.16	Nana34987-RA
OG0002107	ENSG00000089220.5	Nana34667-RA
OG0002108	ENSG00000076554.15, ENSG00000276418.5	Nana16513-RD, Nana16513-RC, Nana14310-RA
OG0002109	ENSG00000225830.13	Nana26743-RE, Nana26743-RA, Nana26743-RB, Nana26743-RD, Nana26743-RC
OG0002110	ENSG00000056097.16	Nana12463-RA, Nana12463-RD, Nana12463-RE, Nana12463-RB, Nana12463-RC
OG0002111	ENSG00000125533.6	Nana13445-RA
OG0002111	ENSG00000180828.3	Nana16401-RA
OG0002112	ENSG00000102898.12	Nana15943-RA
OG0002113	ENSG00000104205.15	Nana16417-RD, Nana16417-RE, Nana16417-RA, Nana16417-RF
OG0002114	ENSG00000145860.11	Nana08749-RB, Nana08749-RA, Nana08749-RC
OG0002115	ENSG00000138207.14	Nana19366-RA
OG0002116	ENSG00000168509.20	Nana36368-RA, Nana05964-RA
OG0002117	ENSG00000168993.15, ENSG00000145920.15	Nana08736-RA
OG0002118	ENSG00000135940.7	Nana28168-RA
OG0002119	ENSG00000282755.1, ENSG00000260836.2, ENSG00000277445.4, ENSG00000214575.9	Nana33109-RA
OG0002120	ENSG00000184203.8, ENSG00000231989.5	Nana20933-RE
OG0002121	ENSG00000118729.11	Nana36357-RA
OG0002122	ENSG00000156650.14, ENSG00000281813.4	Nana18919-RA, Nana18917-RA
OG0002123	ENSG00000101160.14	Nana13530-RA
OG0002124	ENSG00000148735.15	Nana19705-RA
OG0002125	ENSG00000147526.20	Nana23107-RA, Nana19588-RB, Nana19588-RA, Nana28279-RA, Nana28277-RA
OG0002126	ENSG00000186583.12	Nana17223-RA, Nana17224-RA
OG0002127	ENSG00000185739.13	Nana34622-RA, Nana34622-RB
OG0002128	ENSG00000116698.21	Nana15115-RC, Nana15115-RB, Nana15115-RA
OG0002129	ENSG00000153037.15	Nana11960-RA
OG0002131	ENSG00000168228.15	Nana18425-RA, Nana18425-RB
OG0002132	ENSG00000101180.16	Nana13478-RA, Nana31451-RA
OG0002133	ENSG00000286221.1, ENSG00000103121.9	Nana31261-RA, Nana31261-RB
OG0002134	ENSG00000284512.1, ENSG00000260643.2, ENSG00000140905.11	Nana31256-RA
OG0002135	ENSG00000155868.8	Nana08768-RA
OG0002136	ENSG00000015171.19	Nana38675-RA
OG0002137	ENSG00000137074.19	Nana11195-RB, Nana11195-RA, Nana11195-RC
OG0002138	ENSG00000124795.17	Nana15870-RA, Nana15870-RB
OG0002139	ENSG00000108094.15	Nana21318-RB, Nana21318-RA, Nana21318-RD, Nana21318-RC
OG0002140	ENSG00000128524.5	Nana27867-RD, Nana27867-RE
OG0002141	ENSG00000197448.14	Nana11114-RA, Nana11113-RA
OG0002142	ENSG00000126746.17	Nana11099-RB, Nana11099-RF, Nana11099-RA, Nana11099-RE, Nana11099-RC, Nana11099-RD
OG0002143	ENSG00000268041.2	Nana30639-RA
OG0002144	ENSG00000160838.14	Nana36353-RD, Nana36353-RC, Nana36353-RF, Nana36353-RG, Nana36353-RE, Nana36353-RB
OG0002145	ENSG00000029993.15	Nana32459-RA, Nana32459-RB, Nana32459-RC
OG0002146	ENSG00000164237.9	Nana15592-RA, Nana15592-RB, Nana15592-RC
OG0002147	ENSG00000226479.4, ENSG00000269556.8	Nana32481-RC, Nana32481-RD
OG0002148	ENSG00000112984.12	Nana08672-RA
OG0002149	ENSG00000165629.20	Nana27722-RB, Nana27722-RA
OG0002150	ENSG00000137857.17, ENSG00000140279.12	Nana33070-RA
OG0002151	ENSG00000145428.15	Nana25581-RA
OG0002152	ENSG00000206355.11, ENSG00000234114.8, ENSG00000223533.8, ENSG00000224180.8, ENSG00000206457.10, ENSG00000204536.14	Nana07721-RA
OG0002153	ENSG00000137310.12, ENSG00000206455.8, ENSG00000234674.6, ENSG00000233890.6, ENSG00000224379.6, ENSG00000224941.6, ENSG00000224472.6	Nana07720-RA
OG0002154	ENSG00000162733.19	Nana15280-RA
OG0002155	ENSG00000149506.11	Nana04144-RA
OG0002155	ENSG00000116996.9	Nana06697-RA
OG0002156	ENSG00000163697.17	Nana18485-RA
OG0002157	ENSG00000143387.13	Nana36300-RC, Nana36300-RA, Nana36300-RB
OG0002158	ENSG00000167515.10	Nana31779-RB, Nana31779-RA
OG0002159	ENSG00000167548.15	Nana09901-RC, Nana09901-RA, Nana09901-RB, Nana09901-RD, Nana09901-RF, Nana09901-RE
OG0002160	ENSG00000167617.3, ENSG00000273633.1, ENSG00000278444.1, ENSG00000273622.1	Nana23621-RA, Nana23621-RB
OG0002161	ENSG00000117523.16	Nana15287-RD, Nana15287-RB, Nana15287-RF, Nana15287-RC, Nana15287-RA, Nana15287-RE
OG0002162	ENSG00000212122.4, ENSG00000206203.5	Nana35162-RA, Nana35163-RA
OG0002164	ENSG00000149503.13	Nana04207-RA, Nana04207-RC, Nana04207-RB, Nana04207-RE, Nana04207-RD
OG0002166	ENSG00000122566.21	Nana21811-RB, Nana21811-RD, Nana21811-RA
OG0002167	ENSG00000188846.14	Nana22090-RA
OG0002168	ENSG00000133597.11	Nana27426-RA, Nana27426-RD, Nana27426-RB, Nana27426-RC
OG0002169	ENSG00000122545.20	Nana22408-RA
OG0002170	ENSG00000102547.19, ENSG00000135932.11	Nana20184-RA
OG0002172	ENSG00000100220.12	Nana27352-RA, Nana39798-RB, Nana39798-RC, Nana39798-RD, Nana39798-RA
OG0002174	ENSG00000277564.4, ENSG00000100320.23	Nana27333-RA
OG0002175	ENSG00000091513.16, ENSG00000012223.13	Nana20125-RA
OG0002176	ENSG00000132437.18	Nana22651-RA, Nana22650-RA
OG0002177	ENSG00000128272.14	Nana27255-RB, Nana27255-RA
OG0002178	ENSG00000130294.16	Nana20033-RA
OG0002179	ENSG00000119888.11	Nana00905-RA
OG0002180	ENSG00000196419.12	Nana27214-RB, Nana27214-RE, Nana27214-RA
OG0002181	ENSG00000115718.17	Nana20004-RA, Nana20004-RB
OG0002182	ENSG00000131469.14	Nana22889-RA
OG0002183	ENSG00000074527.12	Nana27074-RA
OG0002184	ENSG00000187147.18	Nana14387-RA
OG0002185	ENSG00000150593.18	Nana19733-RD, Nana19733-RA, Nana19733-RC, Nana19733-RB
OG0002186	ENSG00000108671.11	Nana22962-RB, Nana22962-RA, Nana38107-RB, Nana38107-RA, Nana38107-RC
OG0002187	ENSG00000166006.13	Nana26944-RA
OG0002188	ENSG00000134717.18	Nana14508-RA
OG0002189	ENSG00000117222.14	Nana14148-RE, Nana14148-RB, Nana14148-RA, Nana14148-RD, Nana14148-RC
OG0002190	ENSG00000188690.15	Nana19514-RC, Nana19514-RA, Nana19514-RB
OG0002191	ENSG00000184575.12	Nana26805-RD, Nana26805-RC, Nana26805-RB
OG0002192	ENSG00000136099.13	Nana26607-RA, Nana26613-RA
OG0002193	ENSG00000118596.12	Nana26837-RA, Nana08062-RA
OG0002194	ENSG00000198001.13	Nana26891-RA, Nana26891-RB
OG0002195	ENSG00000108819.11	Nana23255-RC, Nana23255-RA, Nana23255-RB, Nana23257-RA
OG0002196	ENSG00000128609.15	Nana29598-RA
OG0002197	ENSG00000071553.17	Nana10647-RA
OG0002198	ENSG00000198176.13	Nana26195-RD, Nana26195-RB, Nana26195-RA, Nana26195-RC
OG0002199	ENSG00000071051.14, ENSG00000158092.7	Nana26157-RA
OG0002200	ENSG00000139180.11, ENSG00000255639.3	Nana29365-RB, Nana29365-RA
OG0002201	ENSG00000284933.2, ENSG00000050327.15, ENSG00000285408.1, ENSG00000288136.1, ENSG00000213214.4, ENSG00000288422.1	Nana29406-RA
OG0002202	ENSG00000093000.19	Nana29481-RA, Nana29481-RB
OG0002203	ENSG00000169249.12	Nana25889-RB, Nana25889-RA
OG0002204	ENSG00000044446.12	Nana25863-RG, Nana25863-RF, Nana25863-RH, Nana25863-RB, Nana25863-RC, Nana25863-RE
OG0002205	ENSG00000184368.16	Nana25852-RA, Nana25852-RC, Nana25852-RB
OG0002207	ENSG00000130943.7	Nana29454-RA, Nana29454-RB, Nana29455-RA
OG0002208	ENSG00000205581.11	Nana24573-RA
OG0002209	ENSG00000241837.7	Nana27539-RA, Nana24641-RA
OG0002210	ENSG00000154639.19	Nana24714-RA
OG0002211	ENSG00000197965.12	Nana24803-RA
OG0002212	ENSG00000143164.15	Nana24805-RA, Nana24805-RB, Nana24805-RC
OG0002213	ENSG00000091972.18	Nana24845-RA
OG0002214	ENSG00000182552.15	Nana18210-RA, Nana18210-RB
OG0002215	ENSG00000164144.16	Nana17931-RA, Nana17931-RB
OG0002216	ENSG00000132938.20	Nana25056-RA
OG0002217	ENSG00000152520.14	Nana25066-RF, Nana25066-RG, Nana25066-RA, Nana25066-RC, Nana25066-RD, Nana25066-RE
OG0002218	ENSG00000137727.12	Nana25177-RA, Nana25178-RA
OG0002219	ENSG00000137673.9	Nana25246-RA
OG0002220	ENSG00000166004.15	Nana25309-RB, Nana25309-RC, Nana25309-RA
OG0002221	ENSG00000138756.17	Nana17625-RA, Nana17625-RD, Nana17625-RC, Nana17625-RB, Nana17625-RE
OG0002222	ENSG00000138767.13	Nana17610-RA
OG0002223	ENSG00000018189.13	Nana17570-RC, Nana17570-RE, Nana17570-RB, Nana17570-RA, Nana17570-RD
OG0002224	ENSG00000062194.16	Nana12328-RB, Nana12328-RA
OG0002225	ENSG00000145675.15	Nana12257-RA
OG0002226	ENSG00000273873.4, ENSG00000145734.19, ENSG00000274803.4	Nana12149-RB, Nana12149-RA
OG0002227	ENSG00000285269.2, ENSG00000130958.13	Nana11780-RE, Nana11780-RC, Nana11780-RB, Nana11780-RD, Nana11780-RA, Nana11780-RF
OG0002228	ENSG00000165115.15	Nana11711-RA
OG0002229	ENSG00000147853.17	Nana11581-RA
OG0002230	ENSG00000120217.14, ENSG00000197646.8	Nana11577-RA
OG0002231	ENSG00000151327.12	Nana05252-RA
OG0002232	ENSG00000106868.16	Nana11403-RB, Nana11403-RA, Nana11403-RD, Nana11403-RF, Nana11403-RC, Nana11403-RE
OG0002233	ENSG00000101945.16, ENSG00000152455.16	Nana10548-RA
OG0002234	ENSG00000132005.9, ENSG00000288283.1	Nana10805-RE, Nana10805-RA, Nana10805-RC, Nana10805-RF, Nana10805-RB, Nana10805-RD
OG0002235	ENSG00000151445.16	Nana05408-RA, Nana05408-RD, Nana05408-RE, Nana05408-RC, Nana05408-RB
OG0002236	ENSG00000119616.11	Nana05330-RA
OG0002237	ENSG00000152078.10, ENSG00000271092.5	Nana14910-RA
OG0002238	ENSG00000161914.10, ENSG00000267477.1	Nana10877-RD, Nana10877-RC, Nana10877-RB, Nana10877-RA
OG0002239	ENSG00000152223.15	Nana39787-RA, Nana12643-RA, Nana12642-RA
OG0002240	ENSG00000180979.10, ENSG00000285942.1	Nana05007-RB, Nana05007-RA
OG0002241	ENSG00000176102.13	Nana04609-RA
OG0002242	ENSG00000108639.7	Nana09633-RC, Nana09633-RD, Nana09633-RB
OG0002243	ENSG00000276561.4, ENSG00000185507.21	Nana04305-RD, Nana04305-RE, Nana04305-RC, Nana04305-RB, Nana04305-RA
OG0002244	ENSG00000177951.17	Nana04209-RB, Nana04209-RA
OG0002245	ENSG00000171931.13, ENSG00000251537.4, ENSG00000241322.10	Nana09376-RA
OG0002246	ENSG00000185262.9, ENSG00000153443.13	Nana09474-RA
OG0002247	ENSG00000008294.21	Nana09581-RA, Nana09581-RB, Nana09581-RC
OG0002248	ENSG00000125772.14	Nana02729-RC, Nana02729-RD, Nana02729-RB, Nana02729-RA
OG0002249	ENSG00000183722.9	Nana02687-RA
OG0002250	ENSG00000087206.17	Nana08710-RA, Nana08709-RA
OG0002251	ENSG00000113761.12	Nana08708-RA
OG0002252	ENSG00000163950.13	Nana26709-RA, Nana26709-RB
OG0002254	ENSG00000112144.15	Nana02415-RH, Nana02415-RD, Nana02415-RF, Nana02415-RC, Nana02415-RB, Nana02415-RG
OG0002255	ENSG00000189292.16	Nana02465-RA
OG0002256	ENSG00000132155.12	Nana08440-RA
OG0002257	ENSG00000132424.16	Nana02176-RD, Nana02176-RB, Nana02176-RC, Nana02176-RA, Nana02176-RE, Nana02176-RG
OG0002259	ENSG00000130349.10	Nana02126-RA
OG0002260	ENSG00000131389.17	Nana08266-RB, Nana08266-RA
OG0002261	ENSG00000156983.16	Nana07918-RC, Nana07918-RB, Nana07918-RA
OG0002263	ENSG00000227420.8, ENSG00000226111.8, ENSG00000223775.8, ENSG00000203624.10, ENSG00000229861.8, ENSG00000233813.8, ENSG00000204568.12	Nana07805-RA
OG0002265	ENSG00000237100.9, ENSG00000224120.9, ENSG00000237012.9, ENSG00000206487.11, ENSG00000233641.9, ENSG00000233164.9, ENSG00000204564.12	Nana07809-RA
OG0002266	ENSG00000085511.20	Nana01698-RA, Nana01698-RE, Nana01698-RC, Nana01698-RD, Nana01698-RB, Nana22244-RA
OG0002268	ENSG00000228896.9, ENSG00000223493.9, ENSG00000206353.11, ENSG00000232616.9, ENSG00000225737.9, ENSG00000204351.12	Nana07625-RA
OG0002269	ENSG00000224143.10, ENSG00000238134.8, ENSG00000232045.7, ENSG00000227333.8, ENSG00000206376.9, ENSG00000204371.11, ENSG00000236759.7	Nana07618-RA
OG0002270	ENSG00000143669.14	Nana39784-RA, Nana01573-RA, Nana01572-RA, Nana01572-RB
OG0002271	ENSG00000276187.4, ENSG00000130023.16	Nana01645-RA
OG0002272	ENSG00000112494.10	Nana01665-RB
OG0002273	ENSG00000231767.4	Nana00859-RA, Nana00859-RB
OG0002275	ENSG00000099331.13	Nana06060-RD, Nana06060-RF, Nana06060-RC, Nana06060-RI, Nana06060-RG, Nana06060-RH, Nana06060-RE
OG0002276	ENSG00000133250.14	Nana06059-RA, Nana06058-RA
OG0002278	ENSG00000076928.17	Nana30640-RI, Nana30640-RE, Nana30640-RF, Nana30640-RC, Nana30640-RD, Nana30640-RH, Nana30640-RG
OG0002279	ENSG00000116604.18	Nana35672-RI, Nana35672-RA, Nana35672-RF, Nana35672-RG, Nana35672-RE, Nana35672-RH, Nana35672-RJ
