Orthogroup	H_sapiens.pep	M_musculus.pep
OG0002855	ENSG00000198951.12	ENSMUSG00000022453.8
OG0002856	ENSG00000284290.2, ENSG00000175311.7	ENSMUSG00000030909.6
OG0002857	ENSG00000138029.14	ENSMUSG00000059447.13
OG0002858	ENSG00000135373.12	ENSMUSG00000012350.15
OG0002859	ENSG00000106665.16	ENSMUSG00000063146.11
OG0002860	ENSG00000288301.1, ENSG00000215041.10, ENSG00000288456.1, ENSG00000261915.6	ENSMUSG00000047284.14
OG0002861	ENSG00000082146.13	ENSMUSG00000026027.13
OG0002862	ENSG00000166136.16, ENSG00000255339.6	ENSMUSG00000025204.10
OG0002863	ENSG00000164405.11	ENSMUSG00000044894.14
OG0002864	ENSG00000106609.16	ENSMUSG00000053094.15
OG0002865	ENSG00000179846.9	ENSMUSG00000060621.6
OG0002866	ENSG00000079215.14	ENSMUSG00000005360.14
OG0002867	ENSG00000164187.7	ENSMUSG00000116236.1, ENSMUSG00000039704.7
OG0002868	ENSG00000163374.19, ENSG00000116580.18	ENSMUSG00000054199.17
OG0002869	ENSG00000197889.10	ENSMUSG00000026650.15
OG0002870	ENSG00000113492.14	ENSMUSG00000089678.8
OG0002871	ENSG00000156860.16	ENSMUSG00000042423.9
OG0002872	ENSG00000269469.1, ENSG00000161618.10	ENSMUSG00000007833.15
OG0002873	ENSG00000130725.8	ENSMUSG00000005575.16
OG0002874	ENSG00000105559.12	ENSMUSG00000040428.19
OG0002875	ENSG00000103485.19	ENSMUSG00000030674.5
OG0002876	ENSG00000169221.14	ENSMUSG00000042492.12
OG0002877	ENSG00000228336.2	ENSMUSG00000049806.4
OG0002878	ENSG00000198870.8, ENSG00000281245.2	ENSMUSG00000049897.14
OG0002879	ENSG00000166855.9	ENSMUSG00000015357.10
OG0002880	ENSG00000249624.9, ENSG00000159110.19	ENSMUSG00000022971.18
OG0002881	ENSG00000182326.15	ENSMUSG00000079343.4, ENSMUSG00000038521.17
OG0002882	ENSG00000288512.1, ENSG00000159403.18	ENSMUSG00000055172.10, ENSMUSG00000098470.1
OG0002883	ENSG00000160789.20	ENSMUSG00000028063.15
OG0002884	ENSG00000157869.15	ENSMUSG00000029128.12
OG0002885	ENSG00000158669.11	ENSMUSG00000031545.6
OG0002886	ENSG00000128285.4	ENSMUSG00000050164.11
OG0002887	ENSG00000143570.18	ENSMUSG00000052310.9
OG0002888	ENSG00000140948.13	ENSMUSG00000061410.6
OG0002889	ENSG00000179715.13	ENSMUSG00000044250.8
OG0002889	ENSG00000132635.17	ENSMUSG00000037773.14
OG0002890	ENSG00000197747.9	ENSMUSG00000041959.14
OG0002891	ENSG00000151366.13, ENSG00000259112.2	ENSMUSG00000030647.8
OG0002892	ENSG00000151365.2	ENSMUSG00000035686.8
OG0002893	ENSG00000149262.17	ENSMUSG00000025133.9
OG0002894	ENSG00000136451.9	ENSMUSG00000098546.6, ENSMUSG00000018377.10
OG0002895	ENSG00000048471.14	ENSMUSG00000071669.14
OG0002896	ENSG00000120656.11	ENSMUSG00000028899.11
OG0002897	ENSG00000162419.12	ENSMUSG00000028901.13
OG0002898	ENSG00000166736.11	ENSMUSG00000032269.8
OG0002899	ENSG00000048028.11	ENSMUSG00000032267.8
OG0002900	ENSG00000138592.14	ENSMUSG00000027363.15
OG0002901	ENSG00000132589.16	ENSMUSG00000061981.14
OG0002902	ENSG00000288408.1, ENSG00000138629.16	ENSMUSG00000055720.10
OG0002903	ENSG00000196704.12	ENSMUSG00000020610.17
OG0002904	ENSG00000166920.12	ENSMUSG00000033213.16, ENSMUSG00000110868.1
OG0002905	ENSG00000186001.14	ENSMUSG00000022801.13
OG0002906	ENSG00000275066.5, ENSG00000274047.4	ENSMUSG00000034940.15
OG0002907	ENSG00000215305.10	ENSMUSG00000027411.17
OG0002908	ENSG00000048828.17	ENSMUSG00000038014.7
OG0002909	ENSG00000144724.20	ENSMUSG00000021745.14
OG0002910	ENSG00000137876.10	ENSMUSG00000032215.15
OG0002911	ENSG00000115539.14	ENSMUSG00000026078.10
OG0002912	ENSG00000168883.20	ENSMUSG00000104250.2, ENSMUSG00000056305.4
OG0002913	ENSG00000155719.17, ENSG00000284559.2	ENSMUSG00000034990.15
OG0002914	ENSG00000196659.10, ENSG00000197557.7	ENSMUSG00000075272.4, ENSMUSG00000075271.4, ENSMUSG00000075273.4
OG0002915	ENSG00000168890.14	ENSMUSG00000102455.5, ENSMUSG00000055912.8
OG0002916	ENSG00000066136.20	ENSMUSG00000032897.17
OG0002917	ENSG00000163945.18	ENSMUSG00000037355.14
OG0002918	ENSG00000106305.10	ENSMUSG00000029610.13
OG0002919	ENSG00000144048.10	ENSMUSG00000030002.15
OG0002920	ENSG00000125166.13	ENSMUSG00000031672.8
OG0002921	ENSG00000226650.6, ENSG00000090889.12	ENSMUSG00000034311.3
OG0002922	ENSG00000288130.1, ENSG00000090905.19	ENSMUSG00000052707.8
OG0002923	ENSG00000253797.2, ENSG00000156697.13	ENSMUSG00000079470.8, ENSMUSG00000063785.12
OG0002924	ENSG00000196422.11	ENSMUSG00000035829.13
OG0002925	ENSG00000130558.19	ENSMUSG00000026833.18
OG0002926	ENSG00000120265.17	ENSMUSG00000019795.17, ENSMUSG00000116405.1
OG0002927	ENSG00000122126.17	ENSMUSG00000001173.15
OG0002928	ENSG00000160991.16	ENSMUSG00000039747.11
OG0002929	ENSG00000101745.17	ENSMUSG00000034647.15
OG0002930	ENSG00000186193.9	ENSMUSG00000026955.13
OG0002931	ENSG00000163394.6	ENSMUSG00000029193.7
OG0002932	ENSG00000072518.20	ENSMUSG00000024969.15
OG0002933	ENSG00000120262.10	ENSMUSG00000019767.12
OG0002934	ENSG00000091831.23	ENSMUSG00000019768.16
OG0002935	ENSG00000171044.11, ENSG00000284927.1	ENSMUSG00000035067.9
OG0002936	ENSG00000091436.17	ENSMUSG00000004085.14
OG0002937	ENSG00000133678.14	ENSMUSG00000021867.16, ENSMUSG00000072680.11, ENSMUSG00000072676.12
OG0002938	ENSG00000141646.14	ENSMUSG00000024515.13
OG0002939	ENSG00000118514.14	ENSMUSG00000037542.13
OG0002940	ENSG00000145907.15	ENSMUSG00000018583.5
OG0002941	ENSG00000103507.14	ENSMUSG00000030802.14
OG0002942	ENSG00000138363.15	ENSMUSG00000026192.13
OG0002943	ENSG00000196123.13	ENSMUSG00000014837.15
OG0002944	ENSG00000225614.3	ENSMUSG00000043903.4
OG0002945	ENSG00000112306.8	ENSMUSG00000061983.7
OG0002946	ENSG00000146409.12	ENSMUSG00000037455.16
OG0002947	ENSG00000155511.18	ENSMUSG00000020524.16
OG0002948	ENSG00000145439.12	ENSMUSG00000031641.14
OG0002949	ENSG00000130935.10	ENSMUSG00000018433.14
OG0002950	ENSG00000158636.16	ENSMUSG00000035401.9
OG0002951	ENSG00000132591.12	ENSMUSG00000020832.14
OG0002952	ENSG00000145191.15	ENSMUSG00000003235.13
OG0002953	ENSG00000115233.12	ENSMUSG00000026914.15
OG0002954	ENSG00000184056.14, ENSG00000284946.1	ENSMUSG00000030534.13
OG0002955	ENSG00000165006.14	ENSMUSG00000028437.14
OG0002956	ENSG00000186638.16	ENSMUSG00000028438.16
OG0002957	ENSG00000158825.6	ENSMUSG00000028755.3
OG0002958	ENSG00000168056.16	ENSMUSG00000024940.11
OG0002959	ENSG00000130723.20	ENSMUSG00000039262.16
OG0002960	ENSG00000274145.2, ENSG00000167705.12	ENSMUSG00000038195.6
OG0002961	ENSG00000276336.4, ENSG00000074660.16	ENSMUSG00000038188.17
OG0002962	ENSG00000185722.18	ENSMUSG00000020790.14
OG0002963	ENSG00000132388.12	ENSMUSG00000020794.13
OG0002964	ENSG00000256269.10	ENSMUSG00000032126.16
OG0002965	ENSG00000285109.1, ENSG00000136574.17	ENSMUSG00000021944.15
OG0002966	ENSG00000155008.14	ENSMUSG00000025525.12
OG0002967	ENSG00000257524.6, ENSG00000160408.14	ENSMUSG00000026811.18
OG0002968	ENSG00000143970.17	ENSMUSG00000037486.18
OG0002969	ENSG00000130305.17	ENSMUSG00000000916.15
OG0002970	ENSG00000137265.15	ENSMUSG00000021356.10
OG0002971	ENSG00000042832.12	ENSMUSG00000053469.14
OG0002972	ENSG00000085788.14	ENSMUSG00000061313.8
OG0002973	ENSG00000171867.17	ENSMUSG00000079037.9
OG0002974	ENSG00000076201.15	ENSMUSG00000036057.11
OG0002975	ENSG00000084234.17	ENSMUSG00000031996.17
OG0002976	ENSG00000102967.12	ENSMUSG00000031730.18
OG0002977	ENSG00000136877.15	ENSMUSG00000009566.12
OG0002978	ENSG00000100982.12	ENSMUSG00000039849.6
OG0002979	ENSG00000224051.7	ENSMUSG00000029073.9
OG0002980	ENSG00000127054.20	ENSMUSG00000029034.9
OG0002981	ENSG00000101367.9	ENSMUSG00000027479.14
OG0002982	ENSG00000090512.12	ENSMUSG00000022871.13
OG0002983	ENSG00000256861.1, ENSG00000139719.11	ENSMUSG00000029434.12
OG0002984	ENSG00000073067.14	ENSMUSG00000029541.12
OG0002985	ENSG00000132661.4	ENSMUSG00000036992.10
OG0002985	ENSG00000101888.11	ENSMUSG00000042271.13
OG0002986	ENSG00000107485.18	ENSMUSG00000015619.10
OG0002987	ENSG00000180921.7, ENSG00000273889.2	ENSMUSG00000046761.13
OG0002988	ENSG00000143198.13	ENSMUSG00000026688.5
OG0002989	ENSG00000178919.9	ENSMUSG00000070990.2
OG0002990	ENSG00000115947.13	ENSMUSG00000026761.12
OG0002991	ENSG00000259900.5, ENSG00000157315.5	ENSMUSG00000031919.6
OG0002992	ENSG00000137965.11	ENSMUSG00000028037.13
OG0002992	ENSG00000137959.16	ENSMUSG00000039146.5
OG0002993	ENSG00000103018.17	ENSMUSG00000031924.4
OG0002994	ENSG00000102908.22	ENSMUSG00000003847.16
OG0002995	ENSG00000198373.12	ENSMUSG00000031930.11
OG0002996	ENSG00000166164.15	ENSMUSG00000031660.13
OG0002997	ENSG00000171877.21	ENSMUSG00000027238.17
OG0002998	ENSG00000167721.11	ENSMUSG00000038335.13
OG0002999	ENSG00000196504.17	ENSMUSG00000061136.15
OG0003000	ENSG00000132517.15, ENSG00000185803.10, ENSG00000285112.2	ENSMUSG00000022560.9
OG0003001	ENSG00000078618.21	ENSMUSG00000053510.12
OG0003002	ENSG00000152495.11	ENSMUSG00000038128.7
OG0003003	ENSG00000227345.8	ENSMUSG00000021911.16
OG0003004	ENSG00000204152.11, ENSG00000265354.4	ENSMUSG00000013701.13
OG0003005	ENSG00000204176.14, ENSG00000288175.1, ENSG00000277758.4	ENSMUSG00000041479.14
OG0003006	ENSG00000164609.10	ENSMUSG00000020409.10
OG0003007	ENSG00000158006.14	ENSMUSG00000037366.14
OG0003008	ENSG00000124783.14	ENSMUSG00000021427.10
OG0003009	ENSG00000250254.2, ENSG00000164611.13	ENSMUSG00000020415.16
OG0003010	ENSG00000144218.19	ENSMUSG00000037138.18
OG0003011	ENSG00000240230.6	ENSMUSG00000045438.12
OG0003012	ENSG00000128242.13	ENSMUSG00000049721.14
OG0003013	ENSG00000167065.13	ENSMUSG00000047205.12
OG0003013	ENSG00000189037.8	ENSMUSG00000025043.3
OG0003014	ENSG00000105339.10	ENSMUSG00000036661.14
OG0003015	ENSG00000130589.16	ENSMUSG00000027580.17
OG0003016	ENSG00000196363.9	ENSMUSG00000026917.15
OG0003017	ENSG00000026036.22, ENSG00000258366.8	ENSMUSG00000038685.18
OG0003018	ENSG00000163328.13	ENSMUSG00000041762.16
OG0003019	ENSG00000273154.3, ENSG00000197114.11	ENSMUSG00000027582.16
OG0003020	ENSG00000136813.14	ENSMUSG00000050812.18
OG0003021	ENSG00000148343.18	ENSMUSG00000026858.18
OG0003022	ENSG00000128849.10	ENSMUSG00000032232.14
OG0003023	ENSG00000119899.13	ENSMUSG00000049624.14
OG0003024	ENSG00000133657.15	ENSMUSG00000022533.14
OG0003025	ENSG00000103034.14	ENSMUSG00000036564.17
OG0003026	ENSG00000187634.12	ENSMUSG00000096351.2
OG0003027	ENSG00000029534.20	ENSMUSG00000031543.18
OG0003028	ENSG00000244486.8	ENSMUSG00000012017.4
OG0003029	ENSG00000083168.11	ENSMUSG00000031540.14
OG0003030	ENSG00000071894.17, ENSG00000285049.2	ENSMUSG00000034022.8
OG0003031	ENSG00000276615.2, ENSG00000197993.9	ENSMUSG00000029866.13
OG0003032	ENSG00000278488.2, ENSG00000147813.16	ENSMUSG00000022574.7
OG0003033	ENSG00000183808.11	ENSMUSG00000052137.11, ENSMUSG00000046667.14
OG0003034	ENSG00000151575.14	ENSMUSG00000090626.9
OG0003035	ENSG00000164729.7, ENSG00000236396.8, ENSG00000285084.1, ENSG00000177710.5, ENSG00000284515.1, ENSG00000259224.2	ENSMUSG00000018776.10
OG0003036	ENSG00000198689.11	ENSMUSG00000060681.15
OG0003037	ENSG00000084710.14	ENSMUSG00000020658.10
OG0003038	ENSG00000136939.1, ENSG00000171459.4	ENSMUSG00000059429.3, ENSMUSG00000078198.2
OG0003039	ENSG00000137869.15	ENSMUSG00000032274.9
OG0003040	ENSG00000081014.11	ENSMUSG00000001998.15
OG0003041	ENSG00000106144.20	ENSMUSG00000029863.13
OG0003042	ENSG00000135956.8	ENSMUSG00000034850.15
OG0003043	ENSG00000156467.9	ENSMUSG00000021520.4
OG0003044	ENSG00000162722.9	ENSMUSG00000037124.6
OG0003044	ENSG00000132109.10	ENSMUSG00000030966.13
OG0003045	ENSG00000224841.9, ENSG00000237825.9, ENSG00000206282.11, ENSG00000237441.10, ENSG00000228736.9	ENSMUSG00000041354.16
OG0003046	ENSG00000204262.14	ENSMUSG00000026042.16
OG0003047	ENSG00000170890.14	ENSMUSG00000029522.12
OG0003048	ENSG00000137720.8	ENSMUSG00000037971.10
OG0003049	ENSG00000205629.12	ENSMUSG00000030763.7
OG0003050	ENSG00000264717.5, ENSG00000288157.1, ENSG00000204174.8	ENSMUSG00000048337.3
OG0003051	ENSG00000091656.19	ENSMUSG00000025255.18
OG0003052	ENSG00000008130.15	ENSMUSG00000029063.16
OG0003053	ENSG00000137575.12	ENSMUSG00000028249.15
OG0003054	ENSG00000119487.17	ENSMUSG00000038696.14
OG0003055	ENSG00000213341.11	ENSMUSG00000025199.16
OG0003056	ENSG00000151470.13	ENSMUSG00000025766.14
OG0003057	ENSG00000113387.12	ENSMUSG00000022205.15
OG0003058	ENSG00000125743.10	ENSMUSG00000040824.3
OG0003059	ENSG00000138375.13	ENSMUSG00000039354.16
OG0003060	ENSG00000112312.10	ENSMUSG00000006715.11
OG0003061	ENSG00000174498.14	ENSMUSG00000032394.6
OG0003062	ENSG00000104177.18	ENSMUSG00000049230.8, ENSMUSG00000027201.16
OG0003063	ENSG00000183840.7	ENSMUSG00000026343.6
OG0003064	ENSG00000091164.13	ENSMUSG00000024583.3
OG0003065	ENSG00000158806.14	ENSMUSG00000047911.6
OG0003066	ENSG00000152492.15	ENSMUSG00000038127.15
OG0003067	ENSG00000060709.15	ENSMUSG00000029420.14
OG0003068	ENSG00000067167.8	ENSMUSG00000025935.10
OG0003068	ENSG00000174599.5	ENSMUSG00000044528.5
OG0003069	ENSG00000160710.17	ENSMUSG00000027951.16
OG0003070	ENSG00000084693.16	ENSMUSG00000029165.17
OG0003071	ENSG00000177239.15	ENSMUSG00000036646.13
OG0003072	ENSG00000165471.6	ENSMUSG00000024863.6, ENSMUSG00000037780.3
OG0003073	ENSG00000138286.15	ENSMUSG00000039599.16
OG0003074	ENSG00000147604.14	ENSMUSG00000043716.13
OG0003075	ENSG00000274523.5	ENSMUSG00000061979.8
OG0003076	ENSG00000147912.13	ENSMUSG00000048232.12
OG0003077	ENSG00000141437.9, ENSG00000122696.14	ENSMUSG00000045973.18
OG0003078	ENSG00000153885.14	ENSMUSG00000030499.9
OG0003079	ENSG00000176986.16	ENSMUSG00000039367.11
OG0003080	ENSG00000150977.10	ENSMUSG00000029401.8
OG0003081	ENSG00000139697.14	ENSMUSG00000038095.15
OG0003082	ENSG00000197157.11	ENSMUSG00000001424.14
OG0003083	ENSG00000083635.8	ENSMUSG00000022009.1
OG0003084	ENSG00000133114.18	ENSMUSG00000022008.4
OG0003085	ENSG00000116685.16	ENSMUSG00000044496.6
OG0003086	ENSG00000204843.12, ENSG00000264324.1	ENSMUSG00000031865.16
OG0003087	ENSG00000133112.16	ENSMUSG00000060126.14
OG0003088	ENSG00000004455.17	ENSMUSG00000028792.14
OG0003089	ENSG00000187554.14	ENSMUSG00000079164.8
OG0003090	ENSG00000103194.15	ENSMUSG00000031826.20
OG0003091	ENSG00000196865.4	ENSMUSG00000025078.9
OG0003092	ENSG00000166033.13	ENSMUSG00000006205.13
OG0003093	ENSG00000157181.16	ENSMUSG00000006010.14
OG0003094	ENSG00000089041.17	ENSMUSG00000029468.17
OG0003095	ENSG00000196914.9	ENSMUSG00000059495.14
OG0003096	ENSG00000175216.15	ENSMUSG00000040549.16
OG0003097	ENSG00000262246.6, ENSG00000282725.1, ENSG00000278760.4, ENSG00000103426.12	ENSMUSG00000039637.15
OG0003098	ENSG00000134644.15	ENSMUSG00000028580.15, ENSMUSG00000106966.3
OG0003099	ENSG00000111445.14	ENSMUSG00000029363.14
OG0003100	ENSG00000121766.15	ENSMUSG00000108747.1, ENSMUSG00000028772.19
OG0003101	ENSG00000148572.16	ENSMUSG00000075000.11, ENSMUSG00000115942.1
OG0003102	ENSG00000144677.15	ENSMUSG00000047409.13
OG0003103	ENSG00000183346.7	ENSMUSG00000019945.10
OG0003104	ENSG00000285816.1, ENSG00000014138.9	ENSMUSG00000024833.15
OG0003105	ENSG00000060642.10	ENSMUSG00000043257.15
OG0003106	ENSG00000181191.11	ENSMUSG00000034403.16
OG0003106	ENSG00000198961.10	ENSMUSG00000024083.16
OG0003107	ENSG00000129595.13	ENSMUSG00000024376.7
OG0003108	ENSG00000102309.15	ENSMUSG00000079480.3
OG0003109	ENSG00000263513.5, ENSG00000215784.6, ENSG00000188610.12, ENSG00000196550.10	ENSMUSG00000055184.4
OG0003110	ENSG00000280571.2, ENSG00000244607.7	ENSMUSG00000079235.10
OG0003111	ENSG00000186867.11	ENSMUSG00000029917.15, ENSMUSG00000058400.13
OG0003112	ENSG00000138018.18	ENSMUSG00000075703.15
OG0003113	ENSG00000139718.10	ENSMUSG00000038384.16
OG0003114	ENSG00000189134.4	ENSMUSG00000059395.4
OG0003114	ENSG00000101882.10	ENSMUSG00000016409.4
OG0003115	ENSG00000157823.17	ENSMUSG00000063801.7
OG0003115	ENSG00000177879.16	ENSMUSG00000024480.9
OG0003116	ENSG00000276657.2, ENSG00000104524.14	ENSMUSG00000022571.9
OG0003117	ENSG00000169592.15	ENSMUSG00000030689.15
OG0003118	ENSG00000169570.10	ENSMUSG00000024505.16
OG0003119	ENSG00000100726.15	ENSMUSG00000024170.15
OG0003120	ENSG00000187535.14	ENSMUSG00000024169.16
OG0003121	ENSG00000127586.17	ENSMUSG00000019214.14
OG0003122	ENSG00000053900.10	ENSMUSG00000029176.13
OG0003123	ENSG00000002726.20	ENSMUSG00000029811.14, ENSMUSG00000068536.11, ENSMUSG00000029813.8, ENSMUSG00000039215.5
OG0003124	ENSG00000155508.13	ENSMUSG00000020515.13
OG0003125	ENSG00000157219.5	ENSMUSG00000039106.6
OG0003126	ENSG00000164902.14	ENSMUSG00000008301.11
OG0003127	ENSG00000267127.7, ENSG00000101546.13	ENSMUSG00000024570.7
OG0003128	ENSG00000178952.11	ENSMUSG00000073838.10
OG0003129	ENSG00000168488.18	ENSMUSG00000032637.15
OG0003130	ENSG00000103066.13	ENSMUSG00000031903.7
OG0003131	ENSG00000132600.16	ENSMUSG00000060098.11
OG0003132	ENSG00000107929.15	ENSMUSG00000033499.14
OG0003133	ENSG00000188603.19, ENSG00000261832.6	ENSMUSG00000030720.16
OG0003134	ENSG00000172179.12	ENSMUSG00000021342.14
OG0003135	ENSG00000067082.15	ENSMUSG00000000078.7
OG0003136	ENSG00000137177.20	ENSMUSG00000021375.11
OG0003137	ENSG00000124523.16	ENSMUSG00000054021.6, ENSMUSG00000091831.5, ENSMUSG00000055109.5
OG0003138	ENSG00000100442.11	ENSMUSG00000020949.9
OG0003139	ENSG00000285341.1, ENSG00000185899.1	ENSMUSG00000056203.4
OG0003139	ENSG00000221855.1, ENSG00000284982.1	ENSMUSG00000048284.4
OG0003140	ENSG00000166482.11	ENSMUSG00000042436.12
OG0003141	ENSG00000282291.1, ENSG00000133195.11	ENSMUSG00000041654.15
OG0003142	ENSG00000174780.17	ENSMUSG00000036323.14
OG0003143	ENSG00000132394.11, ENSG00000284869.2	ENSMUSG00000033216.9
OG0003144	ENSG00000084093.17	ENSMUSG00000029249.15
OG0003145	ENSG00000047315.16	ENSMUSG00000029250.5
OG0003146	ENSG00000176101.12	ENSMUSG00000026966.6
OG0003147	ENSG00000196408.11	ENSMUSG00000019320.14
OG0003148	ENSG00000167112.10	ENSMUSG00000039826.13
OG0003149	ENSG00000273155.1, ENSG00000185414.20, ENSG00000241962.9	ENSMUSG00000026087.11
OG0003150	ENSG00000088827.12	ENSMUSG00000027322.11
OG0003151	ENSG00000077514.9	ENSMUSG00000030726.16
OG0003152	ENSG00000108107.14	ENSMUSG00000030432.12
OG0003153	ENSG00000169862.19	ENSMUSG00000022240.10
OG0003154	ENSG00000175077.6	ENSMUSG00000033383.6
OG0003154	ENSG00000198471.1	ENSMUSG00000047531.9
OG0003155	ENSG00000086102.19	ENSMUSG00000028423.15
OG0003156	ENSG00000197620.11, ENSG00000197021.9	ENSMUSG00000045237.5
OG0003157	ENSG00000075539.15	ENSMUSG00000070733.13
OG0003158	ENSG00000281216.1, ENSG00000162849.16	ENSMUSG00000026494.12
OG0003159	ENSG00000133121.21	ENSMUSG00000016128.14, ENSMUSG00000107011.1
OG0003160	ENSG00000136937.13	ENSMUSG00000028330.8
OG0003161	ENSG00000099956.19, ENSG00000275837.3	ENSMUSG00000000902.13
OG0003162	ENSG00000184178.16	ENSMUSG00000062110.14
OG0003163	ENSG00000167904.15	ENSMUSG00000028232.13
OG0003164	ENSG00000148677.6	ENSMUSG00000024803.9
OG0003165	ENSG00000241058.4	ENSMUSG00000026707.15
OG0003166	ENSG00000156222.12	ENSMUSG00000025726.11
OG0003166	ENSG00000137860.12	ENSMUSG00000079071.2, ENSMUSG00000027219.13
OG0003167	ENSG00000107611.16	ENSMUSG00000026726.10
OG0003168	ENSG00000005469.11	ENSMUSG00000003623.4
OG0003169	ENSG00000138160.6	ENSMUSG00000012443.4, ENSMUSG00000111220.2
OG0003170	ENSG00000170502.13	ENSMUSG00000029310.13
OG0003171	ENSG00000103353.16	ENSMUSG00000030870.12
OG0003172	ENSG00000117593.12	ENSMUSG00000026709.10
OG0003173	ENSG00000064601.18	ENSMUSG00000017760.16
OG0003174	ENSG00000146834.14	ENSMUSG00000029726.16
OG0003175	ENSG00000100979.15	ENSMUSG00000017754.13
OG0003176	ENSG00000176845.13, ENSG00000275031.2	ENSMUSG00000039208.15
OG0003177	ENSG00000173599.15	ENSMUSG00000024892.17
OG0003178	ENSG00000122375.12	ENSMUSG00000021799.9
OG0003179	ENSG00000121879.5	ENSMUSG00000027665.13
OG0003180	ENSG00000198252.12	ENSMUSG00000053205.9, ENSMUSG00000071748.2
OG0003181	ENSG00000269547.1, ENSG00000282835.1, ENSG00000104835.14, ENSG00000283104.1	ENSMUSG00000070699.5
OG0003182	ENSG00000149806.11	ENSMUSG00000038274.13
OG0003183	ENSG00000266412.5	ENSMUSG00000056234.15
OG0003184	ENSG00000116161.18	ENSMUSG00000014226.10
OG0003185	ENSG00000134452.19	ENSMUSG00000058594.15
OG0003186	ENSG00000001630.17	ENSMUSG00000001467.5
OG0003187	ENSG00000128203.7	ENSMUSG00000029348.11
OG0003188	ENSG00000135404.11	ENSMUSG00000025351.14
OG0003189	ENSG00000108021.20	ENSMUSG00000033799.10
OG0003190	ENSG00000001629.10	ENSMUSG00000040351.11
OG0003191	ENSG00000228520.3, ENSG00000206287.5, ENSG00000231115.3, ENSG00000235107.3, ENSG00000226788.3, ENSG00000204227.5	ENSMUSG00000024325.8
OG0003192	ENSG00000089022.14	ENSMUSG00000029454.15, ENSMUSG00000105340.5
OG0003193	ENSG00000127948.16	ENSMUSG00000005514.14
OG0003194	ENSG00000142227.11	ENSMUSG00000040212.12
OG0003195	ENSG00000034239.11	ENSMUSG00000068617.5
OG0003196	ENSG00000179820.16	ENSMUSG00000068566.12, ENSMUSG00000097829.3
OG0003197	ENSG00000090857.13	ENSMUSG00000033624.10
OG0003198	ENSG00000167986.14	ENSMUSG00000024740.10
OG0003199	ENSG00000186106.11	ENSMUSG00000048307.8
OG0003200	ENSG00000100650.16	ENSMUSG00000021134.17
OG0003201	ENSG00000205413.8, ENSG00000177409.12	ENSMUSG00000047735.14
OG0003202	ENSG00000090863.11	ENSMUSG00000003316.14
OG0003203	ENSG00000104450.12	ENSMUSG00000037617.12
OG0003204	ENSG00000147669.11	ENSMUSG00000045996.12
OG0003205	ENSG00000177694.16	ENSMUSG00000102758.3
OG0003206	ENSG00000111731.12	ENSMUSG00000030279.15
OG0003207	ENSG00000101746.15	ENSMUSG00000041923.15
OG0003208	ENSG00000108559.12	ENSMUSG00000040667.11
OG0003209	ENSG00000205323.9	ENSMUSG00000078427.3
OG0003210	ENSG00000033011.12	ENSMUSG00000039427.14
OG0003211	ENSG00000089902.10	ENSMUSG00000037896.17
OG0003212	ENSG00000176920.13	ENSMUSG00000040364.8, ENSMUSG00000055978.5
OG0003213	ENSG00000106244.13	ENSMUSG00000029623.14
OG0003214	ENSG00000153339.14	ENSMUSG00000033382.15
OG0003215	ENSG00000010165.20	ENSMUSG00000026694.19
OG0003216	ENSG00000125503.13	ENSMUSG00000019254.16
OG0003217	ENSG00000179364.13	ENSMUSG00000021143.10
OG0003218	ENSG00000100075.10	ENSMUSG00000003528.15
OG0003219	ENSG00000125844.16	ENSMUSG00000027422.15
OG0003220	ENSG00000007933.13	ENSMUSG00000026691.10
OG0003221	ENSG00000089639.11	ENSMUSG00000036246.14
OG0003222	ENSG00000070669.17	ENSMUSG00000029752.12
OG0003223	ENSG00000106443.16	ENSMUSG00000029629.17
OG0003224	ENSG00000160570.14	ENSMUSG00000054499.9
OG0003225	ENSG00000151746.14	ENSMUSG00000003452.15
OG0003226	ENSG00000170456.16	ENSMUSG00000030313.15
OG0003227	ENSG00000197980.13	ENSMUSG00000074579.14
OG0003229	ENSG00000170445.15	ENSMUSG00000001380.7
OG0003230	ENSG00000256453.2	ENSMUSG00000044595.10
OG0003231	ENSG00000151067.22, ENSG00000285479.2	ENSMUSG00000051331.16
OG0003232	ENSG00000138271.6	ENSMUSG00000051431.7
OG0003233	ENSG00000185946.16	ENSMUSG00000027981.14
OG0003234	ENSG00000090263.16	ENSMUSG00000029918.9
OG0003235	ENSG00000117543.21	ENSMUSG00000033554.17
OG0003236	ENSG00000164610.9	ENSMUSG00000032239.10
OG0003237	ENSG00000166598.15	ENSMUSG00000020048.13
OG0003238	ENSG00000143036.17	ENSMUSG00000039865.8
OG0003239	ENSG00000186866.16	ENSMUSG00000020260.9
OG0003240	ENSG00000151136.15	ENSMUSG00000020042.15
OG0003241	ENSG00000106588.11, ENSG00000256646.7	ENSMUSG00000015671.11
OG0003242	ENSG00000106591.4	ENSMUSG00000015672.4
OG0003243	ENSG00000176946.12	ENSMUSG00000026279.14
OG0003244	ENSG00000189195.13	ENSMUSG00000111375.4, ENSMUSG00000106631.2
OG0003245	ENSG00000164742.16	ENSMUSG00000020431.5
OG0003246	ENSG00000136273.13	ENSMUSG00000020413.11
OG0003247	ENSG00000122694.16	ENSMUSG00000028480.14
OG0003248	ENSG00000142185.16	ENSMUSG00000009292.18
