Orthogroup	H_sapiens.pep	X_tropicalis.pep
OG0001095	ENSG00000116032.5	ENSXETG00000016799.1
OG0001095	ENSG00000198785.7	ENSXETG00000004785.1
OG0001096	ENSG00000125814.17	ENSXETG00000004800.1
OG0001096	ENSG00000105402.8	ENSXETG00000001385.1
OG0001097	ENSG00000213918.10, ENSG00000167968.13	ENSXETG00000007631.1, ENSXETG00000015914.1
OG0001098	ENSG00000143179.16	ENSXETG00000006915.1
OG0001098	ENSG00000130717.13	ENSXETG00000011310.1
OG0001100	ENSG00000145284.12, ENSG00000099194.6	ENSXETG00000000694.1
OG0001101	ENSG00000164032.12	ENSXETG00000001620.1
OG0001101	ENSG00000105968.18	ENSXETG00000013606.1
OG0001102	ENSG00000137449.16	ENSXETG00000009502.1
OG0001102	ENSG00000107864.15	ENSXETG00000016256.1
OG0001103	ENSG00000223680.10, ENSG00000229767.9, ENSG00000204580.13, ENSG00000234078.10, ENSG00000230456.10, ENSG00000137332.19, ENSG00000215522.11	ENSXETG00000010057.1
OG0001104	ENSG00000137878.17, ENSG00000263155.6	ENSXETG00000018667.1
OG0001104	ENSG00000255529.9	ENSXETG00000018661.1
OG0001105	ENSG00000102755.12	ENSXETG00000020532.1
OG0001106	ENSG00000110002.16	ENSXETG00000005412.1, ENSXETG00000005403.1, ENSXETG00000000362.1
OG0001107	ENSG00000111885.7	ENSXETG00000009668.1
OG0001107	ENSG00000198162.12	ENSXETG00000011896.1
OG0001108	ENSG00000112837.17	ENSXETG00000008551.1
OG0001108	ENSG00000092607.15	ENSXETG00000005708.1
OG0001109	ENSG00000107295.10	ENSXETG00000001171.1
OG0001109	ENSG00000141985.9	ENSXETG00000021145.1
OG0001110	ENSG00000206052.11	ENSXETG00000001279.1
OG0001110	ENSG00000101134.12	ENSXETG00000001607.1
OG0001111	ENSG00000103197.18	ENSXETG00000000402.1
OG0001112	ENSG00000108370.17	ENSXETG00000003578.1
OG0001112	ENSG00000076344.16	ENSXETG00000012219.1
OG0001113	ENSG00000101336.14, ENSG00000254087.8	ENSXETG00000020032.1
OG0001114	ENSG00000285456.2, ENSG00000213903.9	ENSXETG00000006747.1
OG0001114	ENSG00000285203.2, ENSG00000213906.10	ENSXETG00000006744.1
OG0001115	ENSG00000131669.10	ENSXETG00000015134.1
OG0001115	ENSG00000171840.12	ENSXETG00000018255.1
OG0001116	ENSG00000124067.17	ENSXETG00000003812.1
OG0001116	ENSG00000140199.12	ENSXETG00000008901.1
OG0001117	ENSG00000116833.14	ENSXETG00000009794.1
OG0001117	ENSG00000136931.10	ENSXETG00000004530.1
OG0001118	ENSG00000089057.15	ENSXETG00000015746.1
OG0001118	ENSG00000170482.17	ENSXETG00000019096.1
OG0001119	ENSG00000182621.18, ENSG00000149782.11	ENSXETG00000006379.1
OG0001120	ENSG00000224748.4, ENSG00000226173.4, ENSG00000232367.5, ENSG00000206297.7, ENSG00000227816.4, ENSG00000230705.4, ENSG00000168394.11, ENSG00000224212.4	ENSXETG00000011033.1, ENSXETG00000002148.1
OG0001121	ENSG00000027075.15	ENSXETG00000017079.1
OG0001121	ENSG00000171132.14	ENSXETG00000016954.1
OG0001123	ENSG00000126778.12	ENSXETG00000010514.1
OG0001123	ENSG00000170577.8	ENSXETG00000020682.1
OG0001124	ENSG00000164466.13	ENSXETG00000017231.1
OG0001124	ENSG00000107819.13	ENSXETG00000005483.1
OG0001125	ENSG00000105355.9	ENSXETG00000017000.1
OG0001126	ENSG00000278211.4, ENSG00000185880.13	ENSXETG00000008949.1, ENSXETG00000016118.1
OG0001127	ENSG00000189433.7, ENSG00000188910.8	ENSXETG00000007727.1
OG0001127	ENSG00000189280.3	ENSXETG00000007709.1, ENSXETG00000007690.1
OG0001128	ENSG00000164574.16	ENSXETG00000018709.1
OG0001128	ENSG00000174473.16	ENSXETG00000020545.1
OG0001129	ENSG00000223618.7, ENSG00000225590.9, ENSG00000228425.9, ENSG00000236014.10, ENSG00000224455.9, ENSG00000223501.9, ENSG00000206286.11	ENSXETG00000019838.1
OG0001130	ENSG00000149970.16	ENSXETG00000017284.1
OG0001131	ENSG00000141696.13	ENSXETG00000004875.1
OG0001131	ENSG00000170275.15	ENSXETG00000020989.1
OG0001132	ENSG00000134769.21, ENSG00000138101.18	ENSXETG00000008766.1
OG0001133	ENSG00000147475.17	ENSXETG00000002353.1
OG0001133	ENSG00000107566.14	ENSXETG00000003503.1
OG0001134	ENSG00000109654.15	ENSXETG00000001885.1
OG0001134	ENSG00000110171.20	ENSXETG00000005583.1
OG0001135	ENSG00000203805.11	ENSXETG00000000990.1
OG0001135	ENSG00000147535.17	ENSXETG00000017729.1
OG0001136	ENSG00000102038.15	ENSXETG00000008206.1
OG0001136	ENSG00000153147.6	ENSXETG00000012544.1
OG0001137	ENSG00000109758.8	ENSXETG00000012833.1
OG0001137	ENSG00000131187.9	ENSXETG00000013895.1
OG0001138	ENSG00000139219.19	ENSXETG00000019459.1
OG0001138	ENSG00000168542.15	ENSXETG00000010954.1
OG0001139	ENSG00000129353.15	ENSXETG00000008525.1
OG0001139	ENSG00000137968.16	ENSXETG00000014677.1
OG0001140	ENSG00000168785.8	ENSXETG00000017736.1
OG0001140	ENSG00000048140.18	ENSXETG00000017912.1
OG0001141	ENSG00000203943.8, ENSG00000288488.1, ENSG00000141858.12	ENSXETG00000003840.1
OG0001142	ENSG00000105711.12	ENSXETG00000009803.1
OG0001142	ENSG00000166257.9	ENSXETG00000020336.1
OG0001143	ENSG00000083312.17	ENSXETG00000010222.1
OG0001143	ENSG00000105576.15	ENSXETG00000017801.1
OG0001144	ENSG00000164045.12	ENSXETG00000005597.1
OG0001144	ENSG00000101224.17	ENSXETG00000009886.1
OG0001145	ENSG00000100156.10, ENSG00000141526.16	ENSXETG00000004684.1
OG0001146	ENSG00000135447.17	ENSXETG00000017006.1
OG0001146	ENSG00000150722.10	ENSXETG00000019804.1
OG0001147	ENSG00000065491.8	ENSXETG00000020321.1
OG0001148	ENSG00000134317.18	ENSXETG00000000020.1
OG0001148	ENSG00000083307.12	ENSXETG00000000114.1
OG0001149	ENSG00000070718.12, ENSG00000185009.12	ENSXETG00000002228.1
OG0001150	ENSG00000158882.15	ENSXETG00000009745.1
OG0001150	ENSG00000130204.13	ENSXETG00000013703.1
OG0001151	ENSG00000147202.18	ENSXETG00000000146.1
OG0001151	ENSG00000139734.19	ENSXETG00000004357.1
OG0001152	ENSG00000148798.11	ENSXETG00000003365.1
OG0001152	ENSG00000104722.14	ENSXETG00000009879.1, ENSXETG00000009820.1, ENSXETG00000020980.1
OG0001153	ENSG00000100121.13, ENSG00000149435.12, ENSG00000274252.1, ENSG00000100031.19, ENSG00000286070.1, ENSG00000133475.17	ENSXETG00000011633.1
OG0001154	ENSG00000128872.10	ENSXETG00000020863.1
OG0001154	ENSG00000138594.14	ENSXETG00000020859.1
OG0001155	ENSG00000175970.11, ENSG00000109103.12	ENSXETG00000013247.1
OG0001156	ENSG00000184634.16, ENSG00000144893.12	ENSXETG00000006760.1
OG0001157	ENSG00000180616.9	ENSXETG00000003540.1, ENSXETG00000016038.1
OG0001157	ENSG00000162009.8	ENSXETG00000006583.1
OG0001158	ENSG00000184471.8, ENSG00000173918.15	ENSXETG00000006589.1
OG0001159	ENSG00000104375.17	ENSXETG00000008176.1
OG0001159	ENSG00000101109.12	ENSXETG00000015769.1
OG0001160	ENSG00000080511.5	ENSXETG00000020297.1, ENSXETG00000001086.1
OG0001161	ENSG00000147614.4	ENSXETG00000017761.1
OG0001161	ENSG00000159720.12	ENSXETG00000002296.1
OG0001162	ENSG00000171587.15	ENSXETG00000012662.1
OG0001162	ENSG00000177103.15	ENSXETG00000007328.1
OG0001163	ENSG00000163217.2	ENSXETG00000011612.1
OG0001163	ENSG00000263761.3	ENSXETG00000018484.1
OG0001164	ENSG00000157514.16	ENSXETG00000009485.1
OG0001165	ENSG00000180638.17	ENSXETG00000017856.1, ENSXETG00000006078.1
OG0001166	ENSG00000066777.9	ENSXETG00000016454.1
OG0001166	ENSG00000124198.9	ENSXETG00000011662.1
OG0001167	ENSG00000145217.14	ENSXETG00000002692.1
OG0001167	ENSG00000155850.8	ENSXETG00000013541.1
OG0001168	ENSG00000173559.13, ENSG00000139579.13	ENSXETG00000017650.1
OG0001169	ENSG00000181789.14	ENSXETG00000001184.1
OG0001169	ENSG00000158623.14	ENSXETG00000021303.1
OG0001170	ENSG00000165240.20	ENSXETG00000012176.1
OG0001170	ENSG00000123191.15	ENSXETG00000013756.1
OG0001171	ENSG00000170558.9, ENSG00000179242.16, ENSG00000280641.2	ENSXETG00000019501.1
OG0001172	ENSG00000167306.20	ENSXETG00000011085.1
OG0001172	ENSG00000197535.14	ENSXETG00000020418.1
OG0001173	ENSG00000139946.10	ENSXETG00000008590.1
OG0001173	ENSG00000197329.12	ENSXETG00000006893.1
OG0001174	ENSG00000183098.11	ENSXETG00000011797.1
OG0001174	ENSG00000076716.9	ENSXETG00000020705.1
OG0001175	ENSG00000198648.11	ENSXETG00000017947.1
OG0001175	ENSG00000172939.9	ENSXETG00000002957.1
OG0001176	ENSG00000063015.20	ENSXETG00000020953.1
OG0001176	ENSG00000174938.14	ENSXETG00000004777.1
OG0001177	ENSG00000138326.21	ENSXETG00000012045.1
OG0001178	ENSG00000174527.9	ENSXETG00000016390.1
OG0001178	ENSG00000197879.17	ENSXETG00000020548.1
OG0001179	ENSG00000284874.1, ENSG00000184702.20	ENSXETG00000021279.1
OG0001181	ENSG00000123500.10	ENSXETG00000004310.1
OG0001181	ENSG00000171812.13	ENSXETG00000009751.1
OG0001182	ENSG00000253626.3, ENSG00000288145.1, ENSG00000132507.18, ENSG00000163577.8	ENSXETG00000021315.1
OG0001183	ENSG00000166342.19	ENSXETG00000009694.1
OG0001183	ENSG00000171208.10	ENSXETG00000011712.1
OG0001184	ENSG00000157734.14	ENSXETG00000004160.1
OG0001184	ENSG00000064652.11	ENSXETG00000020784.1
OG0001185	ENSG00000164105.4	ENSXETG00000001133.1
OG0001185	ENSG00000164576.12	ENSXETG00000018278.1
OG0001186	ENSG00000125971.16	ENSXETG00000019616.1
OG0001186	ENSG00000168589.15	ENSXETG00000014113.1
OG0001187	ENSG00000105983.22	ENSXETG00000013380.1
OG0001187	ENSG00000139636.15	ENSXETG00000001702.1
OG0001188	ENSG00000111218.12	ENSXETG00000004701.1
OG0001188	ENSG00000126457.21	ENSXETG00000015044.1
OG0001189	ENSG00000167536.14	ENSXETG00000012608.1
OG0001190	ENSG00000115738.10	ENSXETG00000002114.1
OG0001190	ENSG00000172201.12	ENSXETG00000020825.1
OG0001191	ENSG00000101363.12	ENSXETG00000012141.1
OG0001192	ENSG00000186187.12	ENSXETG00000008717.1
OG0001192	ENSG00000180233.11	ENSXETG00000004263.1
OG0001193	ENSG00000077721.16	ENSXETG00000020257.1
OG0001193	ENSG00000119048.8	ENSXETG00000001751.1
OG0001194	ENSG00000132694.18	ENSXETG00000000064.1
OG0001195	ENSG00000189167.12	ENSXETG00000001008.1
OG0001195	ENSG00000182223.7	ENSXETG00000019635.1
OG0001196	ENSG00000197702.14	ENSXETG00000002018.1
OG0001196	ENSG00000188677.14	ENSXETG00000009519.1
OG0001197	ENSG00000206480.11, ENSG00000232280.9, ENSG00000206379.12, ENSG00000137312.15, ENSG00000230143.9, ENSG00000224740.8, ENSG00000223654.3, ENSG00000236271.8	ENSXETG00000003515.1
OG0001198	ENSG00000043093.15	ENSXETG00000009106.1
OG0001198	ENSG00000150401.15	ENSXETG00000004193.1
OG0001199	ENSG00000119283.15	ENSXETG00000006982.1
OG0001199	ENSG00000100505.13	ENSXETG00000021156.1
OG0001200	ENSG00000110107.9	ENSXETG00000002359.1
OG0001201	ENSG00000010244.18	ENSXETG00000004315.1
OG0001203	ENSG00000112818.10	ENSXETG00000001615.1
OG0001203	ENSG00000141434.12	ENSXETG00000006691.1
OG0001204	ENSG00000134765.9, ENSG00000134755.17, ENSG00000134762.17	ENSXETG00000019505.1
OG0001205	ENSG00000181867.3, ENSG00000167996.16	ENSXETG00000002782.1
OG0001206	ENSG00000275117.4, ENSG00000105618.14, ENSG00000274894.4, ENSG00000274651.4, ENSG00000275885.4, ENSG00000274144.4, ENSG00000277154.4, ENSG00000277707.4, ENSG00000276421.4, ENSG00000277953.4	ENSXETG00000013743.1
OG0001207	ENSG00000105617.4, ENSG00000278516.1, ENSG00000277457.1, ENSG00000276959.1, ENSG00000276628.1, ENSG00000278257.1, ENSG00000277808.1, ENSG00000275935.1, ENSG00000278426.1, ENSG00000276774.1	ENSXETG00000014431.1
OG0001208	ENSG00000274796.4, ENSG00000274078.4, ENSG00000278622.4, ENSG00000274129.4, ENSG00000278712.4, ENSG00000273896.4, ENSG00000275165.4, ENSG00000278605.4, ENSG00000170892.12, ENSG00000274672.4	ENSXETG00000003505.1
OG0001209	ENSG00000152580.8	ENSXETG00000007220.1
OG0001209	ENSG00000101825.8	ENSXETG00000016554.1
OG0001210	ENSG00000159217.10, ENSG00000136231.14	ENSXETG00000001217.1
OG0001211	ENSG00000070087.14, ENSG00000108518.8	ENSXETG00000019862.1
OG0001212	ENSG00000140090.17	ENSXETG00000021122.1
OG0001212	ENSG00000185052.12	ENSXETG00000000442.1
OG0001213	ENSG00000114166.8	ENSXETG00000017093.1
OG0001213	ENSG00000108773.11	ENSXETG00000000810.1
OG0001214	ENSG00000163754.17	ENSXETG00000005577.1
OG0001214	ENSG00000056998.20	ENSXETG00000016622.1
OG0001215	ENSG00000082684.16, ENSG00000112902.12	ENSXETG00000000219.1
OG0001216	ENSG00000141968.8	ENSXETG00000002209.1
OG0001216	ENSG00000134215.16	ENSXETG00000007263.1
OG0001217	ENSG00000160447.7	ENSXETG00000017402.1
OG0001217	ENSG00000065243.20	ENSXETG00000019369.1
OG0001218	ENSG00000104660.19	ENSXETG00000012259.1
OG0001218	ENSG00000213625.9	ENSXETG00000017766.1
OG0001220	ENSG00000113732.9	ENSXETG00000012475.1
OG0001221	ENSG00000120057.5	ENSXETG00000006870.1
OG0001221	ENSG00000104332.12	ENSXETG00000019413.1
OG0001222	ENSG00000276380.2, ENSG00000177889.10	ENSXETG00000016828.1
OG0001223	ENSG00000148834.13, ENSG00000065621.15	ENSXETG00000006728.1, ENSXETG00000011132.1, ENSXETG00000006743.1
OG0001224	ENSG00000108018.15, ENSG00000156395.13	ENSXETG00000001251.1
OG0001225	ENSG00000182168.15	ENSXETG00000000653.1
OG0001225	ENSG00000107731.12	ENSXETG00000007372.1
OG0001226	ENSG00000121310.17	ENSXETG00000017713.1
OG0001226	ENSG00000148090.11	ENSXETG00000012585.1
OG0001227	ENSG00000170509.12	ENSXETG00000006911.1
OG0001228	ENSG00000133789.15	ENSXETG00000012341.1
OG0001228	ENSG00000023892.11	ENSXETG00000020563.1
OG0001229	ENSG00000211455.8	ENSXETG00000005078.1
OG0001229	ENSG00000112079.9	ENSXETG00000004925.1
OG0001230	ENSG00000120093.11	ENSXETG00000019525.1
OG0001231	ENSG00000106006.6	ENSXETG00000005191.1
OG0001231	ENSG00000108511.10	ENSXETG00000017400.1
OG0001232	ENSG00000134108.13	ENSXETG00000020196.1
OG0001232	ENSG00000143862.8	ENSXETG00000011925.1
OG0001233	ENSG00000185304.15, ENSG00000187627.15, ENSG00000153165.18, ENSG00000196862.9, ENSG00000183054.11, ENSG00000015568.13, ENSG00000169629.12, ENSG00000153201.16	ENSXETG00000003908.1
OG0001234	ENSG00000184347.14	ENSXETG00000011547.1
OG0001234	ENSG00000145147.20	ENSXETG00000012959.1
OG0001235	ENSG00000135577.4	ENSXETG00000016011.1
OG0001235	ENSG00000126010.6	ENSXETG00000014636.1
OG0001236	ENSG00000066382.16	ENSXETG00000003749.1
OG0001236	ENSG00000186732.14	ENSXETG00000009209.1
OG0001237	ENSG00000086717.18	ENSXETG00000019543.1
OG0001237	ENSG00000156194.18	ENSXETG00000020856.1
OG0001238	ENSG00000275895.7, ENSG00000161265.15, ENSG00000160201.11	ENSXETG00000014699.1
OG0001239	ENSG00000198276.16	ENSXETG00000007021.1
OG0001240	ENSG00000165323.15	ENSXETG00000009301.1
OG0001240	ENSG00000083857.14	ENSXETG00000006040.1
OG0001241	ENSG00000276870.2, ENSG00000069764.9	ENSXETG00000015159.1, ENSXETG00000017349.1, ENSXETG00000015087.1
OG0001242	ENSG00000132963.8	ENSXETG00000012306.1
OG0001244	ENSG00000066027.12	ENSXETG00000007869.1
OG0001244	ENSG00000154001.14	ENSXETG00000001139.1
OG0001245	ENSG00000162769.13	ENSXETG00000007371.1
OG0001245	ENSG00000119686.10	ENSXETG00000003045.1
OG0001246	ENSG00000198753.12	ENSXETG00000009786.1
OG0001246	ENSG00000164050.13	ENSXETG00000014312.1
OG0001247	ENSG00000171094.18	ENSXETG00000011647.1
OG0001247	ENSG00000062524.16	ENSXETG00000004385.1
OG0001248	ENSG00000180543.5, ENSG00000187189.11, ENSG00000178021.11, ENSG00000189241.7	ENSXETG00000006216.1
OG0001249	ENSG00000284194.2	ENSXETG00000010407.1
OG0001249	ENSG00000133028.12	ENSXETG00000004254.1
OG0001251	ENSG00000111875.8, ENSG00000105011.9, ENSG00000288210.1	ENSXETG00000006771.1
OG0001252	ENSG00000113712.18, ENSG00000180138.7	ENSXETG00000010486.1
OG0001253	ENSG00000124831.19	ENSXETG00000020832.1
OG0001254	ENSG00000204764.14, ENSG00000130227.17	ENSXETG00000010914.1
OG0001256	ENSG00000234539.9, ENSG00000228628.8, ENSG00000168468.12, ENSG00000213676.13	ENSXETG00000018064.1
OG0001257	ENSG00000186340.15	ENSXETG00000008584.1
OG0001257	ENSG00000137801.11	ENSXETG00000014517.1
OG0001258	ENSG00000140367.12, ENSG00000160714.10	ENSXETG00000019215.1
OG0001259	ENSG00000241468.7	ENSXETG00000003117.1
OG0001260	ENSG00000167657.14	ENSXETG00000016978.1
OG0001260	ENSG00000035664.11	ENSXETG00000017304.1
OG0001262	ENSG00000160953.16, ENSG00000157502.13, ENSG00000278803.2	ENSXETG00000006291.1
OG0001265	ENSG00000136816.16	ENSXETG00000013663.1
OG0001265	ENSG00000136827.12	ENSXETG00000013650.1
OG0001276	ENSG00000135638.14	ENSXETG00000001637.1
OG0001276	ENSG00000170370.12	ENSXETG00000004784.1
OG0001277	ENSG00000187021.15, ENSG00000175535.6, ENSG00000266200.6	ENSXETG00000007807.1, ENSXETG00000007457.1, ENSXETG00000007923.1, ENSXETG00000004695.1
OG0001279	ENSG00000089847.12	ENSXETG00000020458.1
OG0001279	ENSG00000198483.13	ENSXETG00000004731.1
OG0001280	ENSG00000197241.3, ENSG00000142583.18	ENSXETG00000013629.1
OG0001281	ENSG00000134419.15, ENSG00000260342.2	ENSXETG00000017419.1
OG0001282	ENSG00000167972.14	ENSXETG00000012280.1
OG0001283	ENSG00000138069.18, ENSG00000174903.16	ENSXETG00000007095.1
OG0001284	ENSG00000133874.2, ENSG00000101236.17	ENSXETG00000012182.1, ENSXETG00000012794.1
OG0001285	ENSG00000146151.13	ENSXETG00000008748.1
OG0001285	ENSG00000117305.15	ENSXETG00000010164.1
OG0001286	ENSG00000205683.11	ENSXETG00000000697.1
OG0001286	ENSG00000011332.19	ENSXETG00000014096.1
OG0001287	ENSG00000168118.12, ENSG00000171570.11, ENSG00000167578.18	ENSXETG00000004209.1
OG0001288	ENSG00000158109.15	ENSXETG00000017057.1
OG0001288	ENSG00000188001.10	ENSXETG00000016989.1
OG0001289	ENSG00000196353.11	ENSXETG00000008007.1
OG0001289	ENSG00000178773.15	ENSXETG00000003824.1
OG0001290	ENSG00000130477.15	ENSXETG00000015615.1
OG0001291	ENSG00000178026.13	ENSXETG00000011599.1
OG0001291	ENSG00000181350.12	ENSXETG00000012848.1
OG0001292	ENSG00000131873.7	ENSXETG00000001674.1
OG0001292	ENSG00000198108.4	ENSXETG00000000586.1
OG0001293	ENSG00000185267.10	ENSXETG00000004101.1
OG0001293	ENSG00000145050.18	ENSXETG00000006683.1
OG0001294	ENSG00000080603.17, ENSG00000282034.1	ENSXETG00000011152.1
OG0001295	ENSG00000095777.17, ENSG00000071909.18	ENSXETG00000001151.1
OG0001296	ENSG00000104888.10	ENSXETG00000007872.1
OG0001296	ENSG00000091664.9	ENSXETG00000005500.1
OG0001297	ENSG00000070081.17, ENSG00000104805.16	ENSXETG00000008687.1, ENSXETG00000010008.1
OG0001298	ENSG00000101448.13, ENSG00000249139.2, ENSG00000243543.8	ENSXETG00000005815.1
OG0001299	ENSG00000088002.11	ENSXETG00000005051.1, ENSXETG00000004923.1
OG0001300	ENSG00000166839.17	ENSXETG00000012177.1
OG0001300	ENSG00000189045.14	ENSXETG00000000316.1
OG0001301	ENSG00000088882.8	ENSXETG00000003965.1
OG0001301	ENSG00000121898.13	ENSXETG00000001066.1
OG0001302	ENSG00000005206.17	ENSXETG00000017331.1
OG0001302	ENSG00000138600.10	ENSXETG00000017025.1
OG0001303	ENSG00000162461.8, ENSG00000125434.11	ENSXETG00000011023.1
OG0001304	ENSG00000273822.5, ENSG00000276613.4, ENSG00000273984.4, ENSG00000278303.4, ENSG00000145113.22, ENSG00000277585.5, ENSG00000278468.3	ENSXETG00000016787.1, ENSXETG00000016698.1, ENSXETG00000016743.1
OG0001305	ENSG00000146021.15, ENSG00000109466.14	ENSXETG00000007287.1
OG0001306	ENSG00000072422.17	ENSXETG00000014175.1
OG0001306	ENSG00000008853.16	ENSXETG00000017665.1
OG0001307	ENSG00000052802.13	ENSXETG00000007198.1
OG0001308	ENSG00000153266.13	ENSXETG00000005093.1
OG0001308	ENSG00000128610.12	ENSXETG00000020527.1
OG0001309	ENSG00000008282.8	ENSXETG00000019665.1
OG0001310	ENSG00000103037.11	ENSXETG00000016746.1
OG0001311	ENSG00000149403.12	ENSXETG00000002176.1
OG0001311	ENSG00000105737.9	ENSXETG00000006110.1
OG0001312	ENSG00000138083.5	ENSXETG00000017046.1
OG0001312	ENSG00000184302.7	ENSXETG00000010522.1
OG0001313	ENSG00000120658.13, ENSG00000165675.16	ENSXETG00000000207.1
OG0001314	ENSG00000175093.5	ENSXETG00000012240.1
OG0001314	ENSG00000171621.14	ENSXETG00000013686.1
OG0001315	ENSG00000166167.18, ENSG00000072803.17	ENSXETG00000005636.1
OG0001316	ENSG00000179094.16	ENSXETG00000021388.1
OG0001316	ENSG00000132326.12	ENSXETG00000007987.1
OG0001317	ENSG00000106635.8	ENSXETG00000010095.1
OG0001317	ENSG00000099385.11	ENSXETG00000018741.1
OG0001318	ENSG00000029363.17	ENSXETG00000018267.1
OG0001319	ENSG00000106089.12	ENSXETG00000006678.1
OG0001319	ENSG00000099365.11	ENSXETG00000016425.1
OG0001320	ENSG00000167397.15	ENSXETG00000015729.1
OG0001320	ENSG00000196715.7	ENSXETG00000003019.1
OG0001321	ENSG00000118526.6	ENSXETG00000000647.1
OG0001321	ENSG00000178860.8	ENSXETG00000018721.1
OG0001322	ENSG00000171634.18	ENSXETG00000000343.1
OG0001323	ENSG00000130590.14, ENSG00000177570.14	ENSXETG00000015479.1
OG0001324	ENSG00000137492.8	ENSXETG00000015652.1
OG0001325	ENSG00000063046.17	ENSXETG00000003218.1
OG0001327	ENSG00000183773.15	ENSXETG00000000383.1, ENSXETG00000017458.1
OG0001328	ENSG00000173933.20, ENSG00000173914.12	ENSXETG00000006998.1
OG0001329	ENSG00000123384.14	ENSXETG00000014189.1
OG0001329	ENSG00000168702.18	ENSXETG00000020864.1
OG0001330	ENSG00000073464.12	ENSXETG00000010167.1
OG0001330	ENSG00000171365.17	ENSXETG00000009561.1
OG0001331	ENSG00000153558.16, ENSG00000108306.13	ENSXETG00000021179.1
OG0001333	ENSG00000214530.9	ENSXETG00000007978.1
OG0001334	ENSG00000270299.1, ENSG00000215397.4, ENSG00000261678.3, ENSG00000284923.2	ENSXETG00000009349.1
OG0001335	ENSG00000112232.9	ENSXETG00000005899.1
OG0001335	ENSG00000131773.14	ENSXETG00000002485.1
OG0001336	ENSG00000153930.12	ENSXETG00000007742.1, ENSXETG00000020406.1
OG0001337	ENSG00000123159.16	ENSXETG00000010568.1
OG0001337	ENSG00000137960.6	ENSXETG00000019911.1
OG0001338	ENSG00000132604.11	ENSXETG00000012326.1
OG0001339	ENSG00000175766.13	ENSXETG00000019396.1
OG0001339	ENSG00000151247.12	ENSXETG00000010653.1
OG0001340	ENSG00000165059.7, ENSG00000288516.1, ENSG00000072062.14	ENSXETG00000006666.1
OG0001340	ENSG00000142875.19	ENSXETG00000003904.1
OG0001341	ENSG00000179331.3, ENSG00000155961.5	ENSXETG00000008578.1
OG0001342	ENSG00000174417.2	ENSXETG00000005417.1
OG0001343	ENSG00000141429.13	ENSXETG00000002639.1
OG0001343	ENSG00000144278.15	ENSXETG00000011104.1
OG0001345	ENSG00000270765.5	ENSXETG00000007610.1
OG0001345	ENSG00000185340.15	ENSXETG00000009962.1
OG0001346	ENSG00000198797.7, ENSG00000162670.11	ENSXETG00000005446.1
OG0001347	ENSG00000144214.9, ENSG00000185674.9	ENSXETG00000014064.1, ENSXETG00000021071.1
OG0001348	ENSG00000137818.12	ENSXETG00000020694.1
OG0001349	ENSG00000186130.5	ENSXETG00000017436.1
OG0001349	ENSG00000171448.9	ENSXETG00000017486.1
OG0001350	ENSG00000105427.10	ENSXETG00000002598.1, ENSXETG00000002074.1, ENSXETG00000002061.1, ENSXETG00000014904.1, ENSXETG00000002053.1, ENSXETG00000002040.1
OG0001351	ENSG00000114315.4	ENSXETG00000010621.1
OG0001351	ENSG00000188290.10	ENSXETG00000008893.1
OG0001352	ENSG00000156504.16	ENSXETG00000020363.1
OG0001352	ENSG00000187866.10, ENSG00000156500.15	ENSXETG00000017716.1
OG0001353	ENSG00000166377.20	ENSXETG00000002432.1
OG0001353	ENSG00000054793.14	ENSXETG00000001926.1
OG0001354	ENSG00000129657.16	ENSXETG00000005803.1
OG0001354	ENSG00000103184.12	ENSXETG00000010105.1
OG0001355	ENSG00000175895.4	ENSXETG00000009483.1
OG0001355	ENSG00000166289.6	ENSXETG00000015672.1
OG0001356	ENSG00000007216.14	ENSXETG00000013294.1
OG0001356	ENSG00000141485.17	ENSXETG00000013082.1
OG0001357	ENSG00000186710.11	ENSXETG00000003672.1
OG0001357	ENSG00000161973.11	ENSXETG00000016411.1
OG0001358	ENSG00000166562.9	ENSXETG00000005180.1
OG0001358	ENSG00000140612.14	ENSXETG00000019429.1
OG0001359	ENSG00000123595.8	ENSXETG00000018239.1
OG0001359	ENSG00000123570.4	ENSXETG00000013970.1
OG0001360	ENSG00000197756.10	ENSXETG00000003147.1
OG0001361	ENSG00000138107.13, ENSG00000115073.8	ENSXETG00000004751.1
OG0001362	ENSG00000103222.19, ENSG00000278183.4	ENSXETG00000000949.1, ENSXETG00000019704.1
OG0001363	ENSG00000130700.7	ENSXETG00000000489.1
OG0001363	ENSG00000141448.10	ENSXETG00000020240.1
OG0001364	ENSG00000158201.10, ENSG00000143994.14	ENSXETG00000018183.1
OG0001365	ENSG00000148737.17	ENSXETG00000016328.1
OG0001366	ENSG00000017260.19	ENSXETG00000008660.1
OG0001366	ENSG00000064270.12	ENSXETG00000010576.1
OG0001367	ENSG00000155111.15	ENSXETG00000013409.1
OG0001367	ENSG00000132964.12	ENSXETG00000016632.1
OG0001368	ENSG00000123095.6	ENSXETG00000007891.1
OG0001368	ENSG00000134107.5	ENSXETG00000018086.1
OG0001369	ENSG00000197958.13	ENSXETG00000020552.1
OG0001370	ENSG00000188735.13	ENSXETG00000020472.1
OG0001370	ENSG00000189077.11	ENSXETG00000008072.1
OG0001371	ENSG00000062282.15	ENSXETG00000001427.1
OG0001371	ENSG00000106384.12	ENSXETG00000000094.1, ENSXETG00000014797.1, ENSXETG00000014088.1
