Orthogroup	H_sapiens.pep	P_Mucros.pep
OG0001115	ENSG00000131669.10	XP_015673141.1
OG0001115	ENSG00000171840.12	XP_015669663.1
OG0001116	ENSG00000124067.17	XP_015677197.1
OG0001116	ENSG00000140199.12	XP_015677305.1
OG0001117	ENSG00000116833.14	XP_015679380.1
OG0001117	ENSG00000136931.10	XP_015685803.1
OG0001118	ENSG00000089057.15	XP_015666992.1
OG0001118	ENSG00000170482.17	XP_015674188.1
OG0001119	ENSG00000149782.11	XP_015683916.1, XP_015685580.1
OG0001120	ENSG00000224748.4, ENSG00000226173.4, ENSG00000232367.5, ENSG00000206297.7, ENSG00000227816.4, ENSG00000230705.4, ENSG00000168394.11, ENSG00000224212.4	XP_015681580.1
OG0001121	ENSG00000027075.15	XP_015675380.1
OG0001121	ENSG00000171132.14	XP_015671901.1
OG0001123	ENSG00000126778.12	XP_015675386.1
OG0001123	ENSG00000170577.8	XP_015673018.1
OG0001124	ENSG00000164466.13	XP_015680337.1
OG0001124	ENSG00000107819.13	XP_015668919.1
OG0001125	ENSG00000105355.9	XP_015682797.2, XP_015686306.1, XP_015682801.1, XP_015676568.1
OG0001126	ENSG00000278211.4, ENSG00000185880.13	XP_029141363.1
OG0001127	ENSG00000189433.7, ENSG00000188910.8	XP_015675938.1
OG0001127	ENSG00000189280.3	XP_015684663.1
OG0001128	ENSG00000164574.16	XP_015675405.1
OG0001128	ENSG00000174473.16	XP_015679766.1
OG0001129	ENSG00000223618.7, ENSG00000225590.9, ENSG00000228425.9, ENSG00000236014.10, ENSG00000224455.9, ENSG00000223501.9, ENSG00000206286.11	XP_029142487.1, XP_015683832.1, XP_015684895.1, XP_015684894.1
OG0001130	ENSG00000149970.16	XP_015669912.1, XP_029139685.1, XP_029139686.1, XP_015669911.1
OG0001131	ENSG00000141696.13	XP_029143195.1
OG0001131	ENSG00000170275.15	XP_015678261.1
OG0001132	ENSG00000138101.18	XP_029139901.1
OG0001133	ENSG00000147475.17	XP_015685862.1, XP_015675240.1
OG0001133	ENSG00000107566.14	XP_015665448.2
OG0001134	ENSG00000109654.15	XP_015681138.1
OG0001134	ENSG00000110171.20	XP_015672793.1
OG0001135	ENSG00000203805.11	XP_015672731.1
OG0001135	ENSG00000147535.17	XP_015680182.2
OG0001136	ENSG00000102038.15	XP_015687793.1
OG0001136	ENSG00000153147.6	XP_029140934.1
OG0001137	ENSG00000109758.8	XP_029142401.1
OG0001137	ENSG00000131187.9	XP_029140765.1
OG0001138	ENSG00000139219.19	XP_015672611.1
OG0001138	ENSG00000168542.15	XP_015672533.1
OG0001139	ENSG00000129353.15	XP_015669438.1
OG0001139	ENSG00000137968.16	XP_015668702.2
OG0001140	ENSG00000168785.8	XP_015672887.1, XP_029140263.1
OG0001140	ENSG00000048140.18	XP_015679756.1
OG0001141	ENSG00000203943.8	XP_029141349.1, XP_029141350.1
OG0001141	ENSG00000288488.1, ENSG00000141858.12	XP_015675603.1
OG0001142	ENSG00000105711.12	XP_015671570.1
OG0001142	ENSG00000166257.9	XP_015670345.2
OG0001143	ENSG00000083312.17	XP_015674918.1
OG0001143	ENSG00000105576.15	XP_015670813.1
OG0001144	ENSG00000164045.12	XP_029142722.1, XP_029142636.1
OG0001144	ENSG00000101224.17	XP_015682728.1
OG0001145	ENSG00000100156.10	XP_015672767.1
OG0001145	ENSG00000141526.16	XP_015673014.1
OG0001146	ENSG00000135447.17	XP_015674901.1
OG0001146	ENSG00000150722.10	XP_015677229.1, XP_015677230.1
OG0001147	ENSG00000054611.14	XP_015678985.1
OG0001147	ENSG00000065491.8	XP_015668086.1
OG0001148	ENSG00000134317.18	XP_015675740.1, XP_015675741.1
OG0001148	ENSG00000083307.12	XP_015687354.1
OG0001149	ENSG00000070718.12	XP_015672026.1
OG0001149	ENSG00000185009.12	XP_015671943.1
OG0001150	ENSG00000158882.15	XP_015676997.1
OG0001150	ENSG00000130204.13	XP_015675767.1
OG0001151	ENSG00000147202.18	XP_029141676.1
OG0001151	ENSG00000139734.19	XP_029139273.1
OG0001152	ENSG00000148798.11	XP_015675275.1
OG0001152	ENSG00000104722.14	XP_029142824.1
OG0001153	ENSG00000100121.13, ENSG00000149435.12, ENSG00000274252.1, ENSG00000100031.19, ENSG00000286070.1, ENSG00000133475.17	XP_015674104.1
OG0001154	ENSG00000128872.10	XP_015672945.1
OG0001154	ENSG00000138594.14	XP_015679191.2
OG0001155	ENSG00000175970.11	XP_015678521.1
OG0001155	ENSG00000109103.12	XP_029142745.1, XP_029142793.1
OG0001156	ENSG00000184634.16	XP_015687983.1
OG0001156	ENSG00000144893.12	XP_029139640.1
OG0001157	ENSG00000180616.9	XP_015666579.1
OG0001157	ENSG00000162009.8	XP_015683586.1
OG0001158	ENSG00000184471.8	XP_015682415.2
OG0001158	ENSG00000173918.15	XP_015676758.1, XP_015687491.1
OG0001159	ENSG00000104375.17	XP_029139469.1
OG0001159	ENSG00000101109.12	XP_015671848.1
OG0001160	ENSG00000080511.5	XP_015667011.1, XP_015667012.1, XP_015678742.1, XP_015687682.1
OG0001161	ENSG00000147614.4	XP_015668580.1
OG0001161	ENSG00000159720.12	XP_015667669.1
OG0001162	ENSG00000171587.15	XP_029140971.1
OG0001162	ENSG00000177103.15	XP_029139345.1
OG0001163	ENSG00000163217.2	XP_015667039.1
OG0001163	ENSG00000263761.3	XP_015678623.1
OG0001164	ENSG00000157514.16	XP_015687968.1
OG0001165	ENSG00000180638.17	XP_029142388.1
OG0001166	ENSG00000066777.9	XP_015682160.1
OG0001166	ENSG00000124198.9	XP_015678282.1
OG0001167	ENSG00000145217.14	XP_015676366.1
OG0001167	ENSG00000155850.8	XP_015672368.1
OG0001168	ENSG00000173559.13	XP_015673420.1
OG0001168	ENSG00000139579.13	XP_015678402.1
OG0001169	ENSG00000181789.14	XP_015677627.1, XP_015684269.1
OG0001170	ENSG00000165240.20	XP_029139313.1
OG0001170	ENSG00000123191.15	XP_029142047.1
OG0001171	ENSG00000170558.9	XP_015674724.1
OG0001171	ENSG00000179242.16, ENSG00000280641.2	XP_015676546.1
OG0001172	ENSG00000167306.20	XP_029139210.1
OG0001172	ENSG00000197535.14	XP_015679193.1
OG0001173	ENSG00000139946.10	XP_015676741.1
OG0001173	ENSG00000197329.12	XP_015667793.1
OG0001174	ENSG00000183098.11	XP_015678086.1
OG0001174	ENSG00000076716.9	XP_015687944.1
OG0001175	ENSG00000198648.11	XP_015671880.1
OG0001175	ENSG00000172939.9	XP_015688032.1
OG0001176	ENSG00000063015.20	XP_029142735.1
OG0001176	ENSG00000174938.14	XP_029138897.1, XP_029140401.1
OG0001177	ENSG00000138326.21	XP_015682254.1, XP_015682253.1
OG0001178	ENSG00000174527.9	XP_015671275.1
OG0001178	ENSG00000197879.17	XP_015673825.1
OG0001179	ENSG00000284874.1, ENSG00000184702.20	XP_015682455.1, XP_029142186.1
OG0001180	ENSG00000197721.17, ENSG00000203710.11, ENSG00000117322.17	XP_029140169.1
OG0001181	ENSG00000123500.10	XP_015677059.1
OG0001181	ENSG00000171812.13	XP_015679491.1
OG0001182	ENSG00000253626.3, ENSG00000288145.1, ENSG00000132507.18	XP_015685460.1
OG0001182	ENSG00000163577.8	XP_015681257.1
OG0001183	ENSG00000166342.19	XP_029140125.1
OG0001183	ENSG00000171208.10	XP_015674454.2
OG0001184	ENSG00000157734.14	XP_029140423.1
OG0001184	ENSG00000064652.11	XP_015677323.1
OG0001185	ENSG00000164105.4	XP_015670376.1
OG0001185	ENSG00000164576.12	XP_015675404.1
OG0001186	ENSG00000125971.16	XP_015672488.1
OG0001186	ENSG00000168589.15	XP_015672263.1
OG0001187	ENSG00000105983.22	XP_015688010.1
OG0001187	ENSG00000139636.15	XP_015670227.1
OG0001188	ENSG00000111218.12	XP_015683296.1
OG0001188	ENSG00000126457.21	XP_015665767.1, XP_015680655.1, XP_015665764.1, XP_015680656.1
OG0001189	ENSG00000167536.14	XP_029142819.1, XP_015682432.1, XP_015682434.1, XP_015684142.1, XP_015680914.1, XP_015680913.1
OG0001190	ENSG00000115738.10	XP_015671644.1
OG0001190	ENSG00000172201.12	XP_015687176.2
OG0001191	ENSG00000101363.12	XP_015671238.1
OG0001192	ENSG00000186187.12	XP_015671360.2
OG0001192	ENSG00000180233.11	XP_015678689.1
OG0001193	ENSG00000077721.16	XP_015684380.1
OG0001193	ENSG00000119048.8	XP_015679718.1
OG0001194	ENSG00000132694.18	XP_029142309.1
OG0001195	ENSG00000189167.12	XP_029139845.1
OG0001195	ENSG00000182223.7	XP_015678326.1
OG0001196	ENSG00000197702.14	XP_015678192.1
OG0001196	ENSG00000188677.14	XP_015683386.1
OG0001197	ENSG00000206480.11, ENSG00000232280.9, ENSG00000206379.12, ENSG00000137312.15, ENSG00000230143.9, ENSG00000224740.8, ENSG00000223654.3, ENSG00000236271.8	XP_029140715.1
OG0001198	ENSG00000043093.15	XP_015677893.1
OG0001198	ENSG00000150401.15	XP_015674804.1, XP_015674805.1
OG0001199	ENSG00000119283.15	XP_029140534.1
OG0001199	ENSG00000100505.13	XP_015673265.1
OG0001200	ENSG00000110107.9	XP_015677268.1, XP_015677240.1
OG0001201	ENSG00000010244.18	XP_015679688.1, XP_015679689.1, XP_015679690.1
OG0001202	ENSG00000164744.13	XP_029141808.1, XP_029142713.1
OG0001203	ENSG00000112818.10, ENSG00000141434.12	XP_015667780.1, XP_015667779.1
OG0001204	ENSG00000134765.9, ENSG00000134755.17, ENSG00000134762.17	XP_015677563.1, XP_015677562.1, XP_029141101.1
OG0001205	ENSG00000181867.3, ENSG00000167996.16	XP_015679072.1
OG0001206	ENSG00000275117.4, ENSG00000105618.14, ENSG00000274894.4, ENSG00000274651.4, ENSG00000275885.4, ENSG00000274144.4, ENSG00000277154.4, ENSG00000277707.4, ENSG00000276421.4, ENSG00000277953.4	XP_015666429.1
OG0001207	ENSG00000105617.4, ENSG00000278516.1, ENSG00000277457.1, ENSG00000276959.1, ENSG00000276628.1, ENSG00000278257.1, ENSG00000277808.1, ENSG00000275935.1, ENSG00000278426.1, ENSG00000276774.1	XP_015666445.1
OG0001208	ENSG00000274796.4, ENSG00000274078.4, ENSG00000278622.4, ENSG00000274129.4, ENSG00000278712.4, ENSG00000273896.4, ENSG00000275165.4, ENSG00000278605.4, ENSG00000170892.12, ENSG00000274672.4	XP_015665809.1
OG0001209	ENSG00000152580.8	XP_029139641.1
OG0001209	ENSG00000101825.8	XP_029139698.1
OG0001210	ENSG00000159217.10	XP_015665962.1
OG0001210	ENSG00000136231.14	XP_015666098.1
OG0001211	ENSG00000070087.14	XP_015673207.1
OG0001212	ENSG00000140090.17	XP_029142136.1
OG0001212	ENSG00000185052.12	XP_015682678.1
OG0001213	ENSG00000114166.8	XP_015666223.2
OG0001213	ENSG00000108773.11	XP_015665945.1
OG0001214	ENSG00000163754.17	XP_015668434.1, XP_015668433.1
OG0001215	ENSG00000082684.16, ENSG00000112902.12	XP_015682562.1
OG0001216	ENSG00000141968.8	XP_015668763.1
OG0001216	ENSG00000134215.16	XP_015683370.1
OG0001217	ENSG00000160447.7	XP_015679821.1
OG0001217	ENSG00000065243.20	XP_015683054.1
OG0001218	ENSG00000104660.19	XP_015669333.1
OG0001218	ENSG00000213625.9	XP_015679058.1
OG0001220	ENSG00000113732.9	XP_015674171.1, XP_015671753.1
OG0001221	ENSG00000120057.5	XP_015671770.1
OG0001221	ENSG00000104332.12	XP_015673464.2
OG0001222	ENSG00000276380.2, ENSG00000177889.10	XP_015668322.1
OG0001223	ENSG00000148834.13, ENSG00000065621.15	XP_015668268.1, XP_015668263.1
OG0001224	ENSG00000108018.15	XP_015669859.1, XP_029139655.1
OG0001224	ENSG00000156395.13	XP_015668261.1
OG0001225	ENSG00000182168.15	XP_015679528.1
OG0001225	ENSG00000107731.12	XP_029141581.1
OG0001226	ENSG00000121310.17	XP_015666377.1
OG0001226	ENSG00000148090.11	XP_015681899.1
OG0001228	ENSG00000133789.15	XP_029141245.1
OG0001228	ENSG00000023892.11	XP_015687465.1
OG0001229	ENSG00000211455.8	XP_015681344.2
OG0001229	ENSG00000112079.9	XP_015670999.1
OG0001230	ENSG00000120093.11	XP_029141537.1, XP_029141534.1, XP_029141533.1, XP_015679549.1, XP_029141535.1, XP_029141536.1, XP_029138889.1, XP_015665971.1, XP_029138888.1, XP_029138887.1
OG0001231	ENSG00000106006.6	XP_015666105.1
OG0001231	ENSG00000108511.10	XP_015665970.1
OG0001232	ENSG00000134108.13	XP_015683761.1
OG0001232	ENSG00000143862.8	XP_015673788.1
OG0001233	ENSG00000185304.15, ENSG00000187627.15, ENSG00000153165.18, ENSG00000196862.9, ENSG00000183054.11, ENSG00000015568.13, ENSG00000169629.12, ENSG00000153201.16	XP_015675310.1
OG0001234	ENSG00000184347.14	XP_015682985.1
OG0001234	ENSG00000145147.20	XP_029141804.1
OG0001235	ENSG00000135577.4	XP_015676341.1
OG0001235	ENSG00000126010.6	XP_015673812.2
OG0001236	ENSG00000066382.16	XP_015666923.1
OG0001236	ENSG00000186732.14	XP_029140737.1
OG0001237	ENSG00000086717.18	XP_029141813.1
OG0001237	ENSG00000156194.18	XP_015675622.1, XP_015685500.1
OG0001238	ENSG00000161265.15, ENSG00000160201.11	XP_015679858.1
OG0001239	ENSG00000198276.16	XP_029141301.1, XP_029141287.1, XP_015670300.1
OG0001240	ENSG00000165323.15	XP_029141325.1
OG0001240	ENSG00000083857.14	XP_015687259.2
OG0001241	ENSG00000276870.2, ENSG00000069764.9	XP_029139767.1, XP_015672355.1, XP_015667444.1
OG0001242	ENSG00000132963.8	XP_015678841.1, XP_015678844.1, XP_015678842.1
OG0001243	ENSG00000147896.3	XP_029142780.1, XP_015684989.1
OG0001244	ENSG00000066027.12	XP_015670174.1
OG0001244	ENSG00000154001.14	XP_015677946.1
OG0001245	ENSG00000162769.13	XP_015671434.1
OG0001245	ENSG00000119686.10	XP_015669730.1
OG0001246	ENSG00000198753.12	XP_015670594.1
OG0001246	ENSG00000164050.13	XP_029142289.1
OG0001247	ENSG00000171094.18	XP_029141845.1
OG0001247	ENSG00000062524.16	XP_029141681.1
OG0001248	ENSG00000180543.5, ENSG00000187189.11, ENSG00000178021.11, ENSG00000189241.7	XP_029139225.1
OG0001249	ENSG00000284194.2	XP_015686115.1
OG0001249	ENSG00000133028.12	XP_015665802.1, XP_015685784.1
OG0001250	ENSG00000177984.7, ENSG00000214402.7	XP_015687140.1
OG0001250	ENSG00000284341.1, ENSG00000107317.13	XP_015687142.1, XP_015687141.1
OG0001251	ENSG00000111875.8	XP_015684596.1
OG0001251	ENSG00000105011.9, ENSG00000288210.1	XP_015675606.1
OG0001252	ENSG00000113712.18, ENSG00000180138.7	XP_015674976.1, XP_015674975.1, XP_015674974.1
OG0001253	ENSG00000124831.19	XP_015687662.1, XP_015687663.1, XP_015687664.1, XP_015687665.1, XP_015687666.1, XP_015687667.1
OG0001254	ENSG00000204764.14	XP_015671460.1
OG0001254	ENSG00000130227.17	XP_015666625.1
OG0001256	ENSG00000234539.9, ENSG00000228628.8, ENSG00000168468.12, ENSG00000213676.13	XP_015678598.2, XP_029142340.1
OG0001257	ENSG00000186340.15	XP_015677940.1
OG0001257	ENSG00000137801.11	XP_015681307.1
OG0001258	ENSG00000160714.10	XP_015668820.1
OG0001259	ENSG00000241468.7	XP_029142432.1
OG0001260	ENSG00000167657.14	XP_015681906.1
OG0001260	ENSG00000035664.11	XP_015666523.1
OG0001261	ENSG00000179919.3	XP_015665576.2
OG0001261	ENSG00000166363.5, ENSG00000170790.5, ENSG00000170782.3	XP_029138823.1
OG0001262	ENSG00000160953.16, ENSG00000157502.13, ENSG00000278803.2	XP_015666165.1
OG0001265	ENSG00000136816.16	XP_015678150.1
OG0001265	ENSG00000136827.12	XP_015678154.1
OG0001266	ENSG00000166368.2, ENSG00000178358.4	XP_029141009.1
OG0001276	ENSG00000135638.14	XP_015680686.1
OG0001277	ENSG00000187021.15, ENSG00000175535.6, ENSG00000266200.6	XP_015681262.1
OG0001279	ENSG00000089847.12	XP_029141657.1
OG0001279	ENSG00000198483.13	XP_029141878.1, XP_015680359.1
OG0001280	ENSG00000197241.3	XP_029140964.1
OG0001280	ENSG00000142583.18	XP_029140965.1
OG0001281	ENSG00000134419.15, ENSG00000260342.2	XP_015681929.1
OG0001282	ENSG00000167972.14	XP_015674674.1
OG0001283	ENSG00000138069.18	XP_015685299.1
OG0001283	ENSG00000174903.16	XP_015683612.1, XP_015676523.1
OG0001284	ENSG00000133874.2	XP_015676534.1
OG0001284	ENSG00000101236.17	XP_015680706.1
OG0001285	ENSG00000146151.13	XP_015675374.1
OG0001285	ENSG00000117305.15	XP_015675147.1
OG0001286	ENSG00000205683.11	XP_015683530.1
OG0001286	ENSG00000011332.19	XP_015669388.1, XP_015669386.1, XP_015669387.2
OG0001287	ENSG00000168118.12	XP_015679890.1
OG0001287	ENSG00000171570.11, ENSG00000167578.18	XP_015669380.1
OG0001288	ENSG00000158109.15	XP_015674351.1
OG0001288	ENSG00000188001.10	XP_029142318.1, XP_015682884.1
OG0001289	ENSG00000196353.11	XP_015678168.1
OG0001289	ENSG00000178773.15	XP_015666889.1
OG0001290	ENSG00000130477.15	XP_015665419.1
OG0001291	ENSG00000178026.13	XP_029140457.1
OG0001291	ENSG00000181350.12	XP_015670286.1
OG0001292	ENSG00000131873.7	XP_015667334.1
OG0001292	ENSG00000198108.4	XP_015670747.1
OG0001293	ENSG00000185267.10	XP_015680670.1
OG0001293	ENSG00000145050.18	XP_015668052.1
OG0001294	ENSG00000080603.17, ENSG00000282034.1	XP_015684263.2, XP_015684362.2
OG0001295	ENSG00000095777.17	XP_029138918.1
OG0001295	ENSG00000071909.18	XP_029140557.1
OG0001296	ENSG00000104888.10	XP_015665722.1, XP_015681315.1
OG0001296	ENSG00000091664.9	XP_015678786.1
OG0001297	ENSG00000070081.17	XP_029142297.1, XP_015685285.1
OG0001297	ENSG00000104805.16	XP_015665752.1
OG0001298	ENSG00000101448.13, ENSG00000249139.2, ENSG00000243543.8	XP_015684301.1, XP_015683734.1, XP_015684549.1
OG0001299	ENSG00000088002.11	XP_015666426.1
OG0001300	ENSG00000166839.17	XP_015674650.1
OG0001300	ENSG00000189045.14	XP_015675636.1
OG0001301	ENSG00000121898.13	XP_015669709.2
OG0001302	ENSG00000005206.17	XP_015678248.2
OG0001302	ENSG00000138600.10	XP_015678233.1
OG0001303	ENSG00000162461.8	XP_015686383.1, XP_015681283.1
OG0001303	ENSG00000125434.11	XP_015683561.1
OG0001305	ENSG00000146021.15	XP_015673184.1
OG0001305	ENSG00000109466.14	XP_015676122.1
OG0001306	ENSG00000072422.17	XP_015682175.2
OG0001306	ENSG00000008853.16	XP_015684086.1
OG0001307	ENSG00000052802.13	XP_015675299.1, XP_029140659.1
OG0001308	ENSG00000153266.13	XP_015686903.1
OG0001308	ENSG00000128610.12	XP_029141179.1
OG0001309	ENSG00000008282.8	XP_015672059.1, XP_015669088.1
OG0001310	ENSG00000103037.11	XP_029139216.1
OG0001311	ENSG00000149403.12	XP_015669222.1
OG0001311	ENSG00000105737.9	XP_015677441.1
OG0001312	ENSG00000184302.7	XP_015675387.1
OG0001313	ENSG00000120658.13	XP_029138993.1, XP_029138994.1
OG0001313	ENSG00000165675.16	XP_029140791.1
OG0001314	ENSG00000175093.5	XP_015670563.1
OG0001314	ENSG00000171621.14	XP_015676919.1
OG0001315	ENSG00000166167.18	XP_015668921.1
OG0001315	ENSG00000072803.17	XP_015674778.1
OG0001316	ENSG00000179094.16	XP_015681943.1
OG0001316	ENSG00000132326.12	XP_015677955.2
OG0001317	ENSG00000106635.8	XP_015668300.1
OG0001318	ENSG00000029363.17	XP_015665523.1, XP_015665515.1, XP_015665501.1, XP_015665507.1
OG0001319	ENSG00000106089.12	XP_015668308.1, XP_015668309.1
OG0001320	ENSG00000167397.15	XP_015683930.1, XP_015679032.1
OG0001320	ENSG00000196715.7	XP_015671024.1
OG0001321	ENSG00000118526.6	XP_015674222.1
OG0001321	ENSG00000178860.8	XP_015672650.1
OG0001322	ENSG00000171634.18	XP_029139366.1
OG0001323	ENSG00000130590.14	XP_029142101.1, XP_029140696.1
OG0001323	ENSG00000177570.14	XP_029141611.1
OG0001324	ENSG00000137492.8	XP_015685146.1, XP_015686050.1
OG0001325	ENSG00000063046.17	XP_015672254.1
OG0001326	ENSG00000184908.17, ENSG00000186510.12	XP_029141899.1
OG0001327	ENSG00000183773.15	XP_029142547.1, XP_015684833.1, XP_029140402.1
OG0001328	ENSG00000173933.20, ENSG00000173914.12	XP_015673160.1
OG0001329	ENSG00000123384.14	XP_015675437.1
OG0001329	ENSG00000168702.18	XP_029140041.1
OG0001330	ENSG00000073464.12	XP_015672635.1
OG0001330	ENSG00000171365.17	XP_015687925.1, XP_015687924.1
OG0001331	ENSG00000108306.13	XP_015681473.1
OG0001332	ENSG00000074054.18	XP_015673125.1
OG0001332	ENSG00000163539.17	XP_029141318.1
OG0001333	ENSG00000214530.9	XP_015685609.1
OG0001334	ENSG00000261678.3, ENSG00000284923.2	XP_015686652.1
OG0001335	ENSG00000112232.9	XP_015671390.1
OG0001335	ENSG00000131773.14	XP_015682414.1
OG0001336	ENSG00000153930.12	XP_015672710.2, XP_029142820.1, XP_015681663.1
OG0001337	ENSG00000123159.16	XP_015677049.1
OG0001337	ENSG00000137960.6	XP_015673703.1
OG0001338	ENSG00000132604.11	XP_015666902.1
OG0001339	ENSG00000175766.13	XP_029141579.1
OG0001339	ENSG00000151247.12	XP_015672888.1
OG0001340	ENSG00000165059.7, ENSG00000288516.1, ENSG00000072062.14	XP_029140723.1
OG0001340	ENSG00000142875.19	XP_029141351.1
OG0001341	ENSG00000179331.3	XP_015668557.1
OG0001341	ENSG00000155961.5	XP_015687804.1
OG0001342	ENSG00000174417.2	XP_015682024.1
OG0001343	ENSG00000141429.13	XP_015681097.1
OG0001343	ENSG00000144278.15	XP_015681707.1
OG0001345	ENSG00000270765.5	XP_015673090.1
OG0001346	ENSG00000198797.7	XP_015674007.1
OG0001346	ENSG00000162670.11	XP_015675030.1, XP_015675031.1
OG0001347	ENSG00000144214.9, ENSG00000185674.9	XP_015687106.1
OG0001349	ENSG00000186130.5	XP_015677641.1
OG0001349	ENSG00000171448.9	XP_015674000.1
OG0001350	ENSG00000105427.10	XP_029139117.1, XP_029142493.1, XP_029142492.1, XP_015683862.1
OG0001351	ENSG00000114315.4	XP_015676215.1
OG0001351	ENSG00000188290.10	XP_015683773.1
OG0001352	ENSG00000156504.16	XP_015687947.1
OG0001353	ENSG00000166377.20	XP_015671409.1
OG0001353	ENSG00000054793.14	XP_015669853.1
OG0001354	ENSG00000129657.16	XP_015676272.1
OG0001355	ENSG00000175895.4	XP_015673362.1
OG0001355	ENSG00000166289.6	XP_015677341.1
OG0001356	ENSG00000007216.14	XP_015684762.1
OG0001356	ENSG00000141485.17	XP_015670281.2
OG0001357	ENSG00000186710.11	XP_015681812.1
OG0001357	ENSG00000161973.11	XP_015670699.2
OG0001358	ENSG00000166562.9	XP_015682483.1
OG0001358	ENSG00000140612.14	XP_015678763.1
OG0001359	ENSG00000123595.8	XP_015669980.1
OG0001359	ENSG00000123570.4	XP_015687888.1
OG0001360	ENSG00000197756.10	XP_015686651.2
OG0001361	ENSG00000138107.13, ENSG00000115073.8	XP_015675255.1, XP_015672024.1
OG0001362	ENSG00000103222.19, ENSG00000278183.4	XP_015667467.2
OG0001363	ENSG00000130700.7	XP_015681036.1
OG0001363	ENSG00000141448.10	XP_029140750.1
OG0001364	ENSG00000158201.10	XP_015678294.1, XP_015678224.1
OG0001364	ENSG00000143994.14	XP_015670310.1
OG0001365	ENSG00000148737.17	XP_015670080.1, XP_015670081.1, XP_015670072.1, XP_029139725.1, XP_015670076.1, XP_015670077.1, XP_015670078.1, XP_015670075.1
OG0001366	ENSG00000017260.19	XP_015669844.1, XP_015669843.1
OG0001366	ENSG00000064270.12	XP_015666002.1
OG0001367	ENSG00000155111.15	XP_015674482.1
OG0001367	ENSG00000132964.12	XP_015672518.1
OG0001368	ENSG00000123095.6	XP_029141607.1
OG0001368	ENSG00000134107.5	XP_015678070.1
OG0001369	ENSG00000197958.13	XP_015683519.1
OG0001370	ENSG00000188735.13	XP_029139873.1
OG0001370	ENSG00000189077.11	XP_015674359.1
OG0001371	ENSG00000062282.15	XP_015684376.1
OG0001371	ENSG00000106384.12	XP_015668660.1
OG0001372	ENSG00000173156.7	XP_015681507.1
OG0001372	ENSG00000139725.8	XP_015670899.1
OG0001373	ENSG00000162482.5, ENSG00000211454.14, ENSG00000053371.12	XP_015687030.1
OG0001374	ENSG00000168938.6	XP_015677325.1
OG0001374	ENSG00000166794.4	XP_015673928.1
OG0001375	ENSG00000171863.15	XP_015678780.1
OG0001376	ENSG00000131398.14	XP_015680341.1, XP_015665833.1
OG0001376	ENSG00000129159.7	XP_015679374.1
OG0001377	ENSG00000150394.14	XP_015680925.1
OG0001377	ENSG00000140937.14	XP_015671449.1
OG0001378	ENSG00000140941.14, ENSG00000258102.5	XP_015677500.1
OG0001379	ENSG00000103363.14	XP_015678829.1, XP_015665805.1, XP_015678830.1, XP_015665806.1
OG0001381	ENSG00000139266.6	XP_015675976.2
OG0001381	ENSG00000144583.5	XP_015686741.1
OG0001382	ENSG00000161647.18	XP_015666141.1
OG0001383	ENSG00000268738.3, ENSG00000171116.7, ENSG00000169953.12, ENSG00000172468.13	XP_015676595.1
OG0001384	ENSG00000115170.15	XP_015673852.1
OG0001384	ENSG00000139567.13	XP_015675296.2
OG0001385	ENSG00000026025.16	XP_015666703.1
OG0001385	ENSG00000131095.13	XP_015670128.1
OG0001386	ENSG00000129749.3	XP_015683282.1
OG0001386	ENSG00000174343.6	XP_015683474.1
OG0001387	ENSG00000126217.21	XP_015679864.1
OG0001388	ENSG00000158290.17	XP_015687376.2
OG0001389	ENSG00000276559.2, ENSG00000136881.11	XP_015677270.1, XP_015677242.1
OG0001390	ENSG00000118200.14	XP_029141550.1
OG0001390	ENSG00000076826.9	XP_015680996.1
OG0001391	ENSG00000111711.10	XP_015682649.1
OG0001391	ENSG00000174567.8	XP_015687653.1
OG0001392	ENSG00000274305.4, ENSG00000276681.4, ENSG00000276458.4, ENSG00000167615.16	XP_015665744.1, XP_015681080.1
OG0001393	ENSG00000250506.7	XP_015675200.2
OG0001393	ENSG00000123374.11	XP_015671805.1
OG0001394	ENSG00000175065.12, ENSG00000134757.5, ENSG00000134760.6	XP_029141102.1
OG0001395	ENSG00000197728.11	XP_015671807.1
OG0001396	ENSG00000125850.11	XP_015684337.2
OG0001396	ENSG00000172818.10	XP_029142899.1
OG0001397	ENSG00000168385.18	XP_015680029.1, XP_015680036.1
OG0001398	ENSG00000273722.4, ENSG00000274905.1, ENSG00000276260.1, ENSG00000277996.1, ENSG00000274873.1, ENSG00000278363.1, ENSG00000277667.1, ENSG00000167608.11, ENSG00000274384.4, ENSG00000277789.4	XP_015666682.1
OG0001399	ENSG00000139044.12	XP_029139611.1
OG0001399	ENSG00000182272.12	XP_015675547.1
OG0001400	ENSG00000122585.8	XP_015666099.1
OG0001400	ENSG00000131096.10	XP_015665953.1
OG0001401	ENSG00000135925.9	XP_015677098.1
OG0001401	ENSG00000169884.14	XP_015683449.2
OG0001402	ENSG00000043355.12	XP_015683506.1
OG0001402	ENSG00000152977.10	XP_015668438.1
OG0001403	ENSG00000144597.14	XP_015674405.1
OG0001404	ENSG00000133606.11	XP_015679575.1
OG0001405	ENSG00000177990.12, ENSG00000173852.14	XP_015667243.1
OG0001406	ENSG00000103415.12, ENSG00000277424.4	XP_029139175.1
OG0001406	ENSG00000100292.17	XP_015687234.1
