Orthogroup	G_gallus.pep	A_carolinensis.pep
OG0001446	ENSGALG00000037632.3	ENSACAG00000001528.3
OG0001447	ENSGALG00000009731.7	ENSACAG00000015864.3
OG0001448	ENSGALG00000051209.1, ENSGALG00000000293.7	ENSACAG00000015126.3, ENSACAG00000015139.3
OG0001449	ENSGALG00000051844.1	ENSACAG00000006146.3
OG0001450	ENSGALG00000008628.5	ENSACAG00000021076.3
OG0001450	ENSGALG00000010169.5	ENSACAG00000014709.2
OG0001451	ENSGALG00000036550.2	ENSACAG00000017231.2, ENSACAG00000017225.3
OG0001452	ENSGALG00000006552.6	ENSACAG00000009720.3
OG0001453	ENSGALG00000001163.7	ENSACAG00000017556.3
OG0001454	ENSGALG00000011427.6	ENSACAG00000002348.3
OG0001456	ENSGALG00000029226.3	ENSACAG00000012986.3
OG0001457	ENSGALG00000035026.2	ENSACAG00000025303.2
OG0001457	ENSGALG00000036920.2	ENSACAG00000012596.3
OG0001458	ENSGALG00000003980.7	ENSACAG00000010432.3
OG0001459	ENSGALG00000009803.6, ENSGALG00000021275.4, ENSGALG00000011450.7	ENSACAG00000029619.1
OG0001460	ENSGALG00000039705.2	ENSACAG00000016587.3
OG0001461	ENSGALG00000016704.6	ENSACAG00000012874.3
OG0001463	ENSGALG00000005450.6	ENSACAG00000005884.3
OG0001464	ENSGALG00000013410.6	ENSACAG00000015287.3
OG0001468	ENSGALG00000019979.5	ENSACAG00000004817.3
OG0001469	ENSGALG00000045676.2	ENSACAG00000011678.3
OG0001493	ENSGALG00000020656.3	ENSACAG00000026291.1
OG0001493	ENSGALG00000003142.5	ENSACAG00000024240.2
OG0001494	ENSGALG00000009261.7	ENSACAG00000010197.3
OG0001495	ENSGALG00000005749.6	ENSACAG00000005479.3
OG0001497	ENSGALG00000043641.2	ENSACAG00000023362.1
OG0001497	ENSGALG00000010870.7	ENSACAG00000007057.2
OG0001500	ENSGALG00000043044.2	ENSACAG00000007454.3
OG0001503	ENSGALG00000029072.3	ENSACAG00000001585.3
OG0001503	ENSGALG00000023626.4	ENSACAG00000017710.3
OG0001504	ENSGALG00000029140.3	ENSACAG00000015454.3
OG0001505	ENSGALG00000002637.6	ENSACAG00000013132.3
OG0001505	ENSGALG00000005327.6	ENSACAG00000003490.3
OG0001506	ENSGALG00000014661.7	ENSACAG00000013305.3
OG0001506	ENSGALG00000015324.6	ENSACAG00000011883.3
OG0001507	ENSGALG00000048401.1	ENSACAG00000008826.3
OG0001508	ENSGALG00000026896.3	ENSACAG00000026579.1
OG0001508	ENSGALG00000028318.3	ENSACAG00000016653.3
OG0001509	ENSGALG00000037410.2	ENSACAG00000003376.3
OG0001509	ENSGALG00000043027.3	ENSACAG00000024412.2, ENSACAG00000014257.3
OG0001510	ENSGALG00000038646.3	ENSACAG00000017884.3, ENSACAG00000004404.3
OG0001512	ENSGALG00000036638.3	ENSACAG00000005530.3
OG0001513	ENSGALG00000032418.3	ENSACAG00000000487.1
OG0001514	ENSGALG00000047981.1	ENSACAG00000004076.3
OG0001515	ENSGALG00000048152.1	ENSACAG00000004011.3
OG0001517	ENSGALG00000053244.1	ENSACAG00000026814.2
OG0001517	ENSGALG00000008354.5	ENSACAG00000004077.2
OG0001518	ENSGALG00000016907.5	ENSACAG00000004991.3
OG0001518	ENSGALG00000006877.6	ENSACAG00000011367.3
OG0001519	ENSGALG00000008732.2	ENSACAG00000000633.3
OG0001520	ENSGALG00000005938.7	ENSACAG00000014768.2
OG0001521	ENSGALG00000003143.6	ENSACAG00000005331.2
OG0001522	ENSGALG00000030384.2	ENSACAG00000004964.3
OG0001523	ENSGALG00000028880.4	ENSACAG00000003450.2
OG0001524	ENSGALG00000008518.7	ENSACAG00000003447.3
OG0001524	ENSGALG00000043754.2	ENSACAG00000008416.3
OG0001525	ENSGALG00000013376.6	ENSACAG00000028384.1
OG0001526	ENSGALG00000011229.7	ENSACAG00000025960.2
OG0001528	ENSGALG00000013177.6	ENSACAG00000017352.3
OG0001530	ENSGALG00000002193.7	ENSACAG00000004840.3
OG0001530	ENSGALG00000007608.6	ENSACAG00000012048.2
OG0001531	ENSGALG00000016686.5	ENSACAG00000005956.3
OG0001531	ENSGALG00000008689.7	ENSACAG00000012868.2
OG0001532	ENSGALG00000026039.4	ENSACAG00000000594.3
OG0001533	ENSGALG00000040030.2	ENSACAG00000017174.3
OG0001534	ENSGALG00000045246.2	ENSACAG00000017898.3
OG0001535	ENSGALG00000028345.3	ENSACAG00000000231.3
OG0001535	ENSGALG00000003426.6	ENSACAG00000009768.3
OG0001536	ENSGALG00000004237.7	ENSACAG00000013207.3
OG0001536	ENSGALG00000003675.7	ENSACAG00000000490.3
OG0001537	ENSGALG00000041750.2	ENSACAG00000000597.2
OG0001537	ENSGALG00000009572.6	ENSACAG00000003071.3
OG0001538	ENSGALG00000027641.3	ENSACAG00000010171.2, ENSACAG00000014395.1
OG0001539	ENSGALG00000036255.2	ENSACAG00000014385.3
OG0001539	ENSGALG00000005123.6	ENSACAG00000012482.3
OG0001540	ENSGALG00000026467.2, ENSGALG00000008275.5	ENSACAG00000025393.1
OG0001541	ENSGALG00000014540.6	ENSACAG00000001886.3
OG0001542	ENSGALG00000016979.6	ENSACAG00000006577.2
OG0001544	ENSGALG00000006947.7	ENSACAG00000011824.2, ENSACAG00000014536.2
OG0001547	ENSGALG00000038543.2	ENSACAG00000013865.3
OG0001548	ENSGALG00000007919.6	ENSACAG00000010833.3
OG0001549	ENSGALG00000008369.6	ENSACAG00000010771.3
OG0001550	ENSGALG00000004282.4	ENSACAG00000017846.3
OG0001551	ENSGALG00000015068.6	ENSACAG00000006466.2, ENSACAG00000017833.2
OG0001552	ENSGALG00000029714.2	ENSACAG00000022998.2
OG0001553	ENSGALG00000029918.2, ENSGALG00000049544.1	ENSACAG00000015999.3
OG0001554	ENSGALG00000007133.6	ENSACAG00000023820.1, ENSACAG00000025644.1
OG0001555	ENSGALG00000005350.6	ENSACAG00000015190.3
OG0001556	ENSGALG00000052725.1	ENSACAG00000014751.3
OG0001557	ENSGALG00000001806.5	ENSACAG00000008546.2
OG0001558	ENSGALG00000005660.6	ENSACAG00000008957.3, ENSACAG00000008981.2
OG0001559	ENSGALG00000004169.6	ENSACAG00000015354.3
OG0001560	ENSGALG00000007416.6	ENSACAG00000007255.3
OG0001561	ENSGALG00000014988.7	ENSACAG00000003557.2
OG0001562	ENSGALG00000003681.6	ENSACAG00000010889.3
OG0001562	ENSGALG00000029572.2	ENSACAG00000001329.3
OG0001563	ENSGALG00000039354.2, ENSGALG00000053245.1, ENSGALG00000001863.6	ENSACAG00000005664.3
OG0001564	ENSGALG00000052041.1, ENSGALG00000050905.1, ENSGALG00000053504.1	ENSACAG00000028776.1, ENSACAG00000029505.1
OG0001565	ENSGALG00000017358.6, ENSGALG00000006743.2	ENSACAG00000003346.2
OG0001566	ENSGALG00000014192.5	ENSACAG00000007038.3
OG0001566	ENSGALG00000001662.5	ENSACAG00000006180.3
OG0001567	ENSGALG00000048776.1, ENSGALG00000037051.3, ENSGALG00000033320.3	ENSACAG00000017539.2
OG0001568	ENSGALG00000048705.1	ENSACAG00000004292.2, ENSACAG00000003551.2
OG0001569	ENSGALG00000041285.2	ENSACAG00000001703.3
OG0001569	ENSGALG00000004370.7	ENSACAG00000029036.1
OG0001570	ENSGALG00000015704.6	ENSACAG00000029504.1, ENSACAG00000013018.2
OG0001571	ENSGALG00000027369.4	ENSACAG00000010700.3
OG0001573	ENSGALG00000000843.6	ENSACAG00000017065.3
OG0001575	ENSGALG00000027897.3	ENSACAG00000004510.3
OG0001575	ENSGALG00000010835.5	ENSACAG00000006730.2
OG0001576	ENSGALG00000008317.6	ENSACAG00000005004.2
OG0001577	ENSGALG00000003549.7	ENSACAG00000011844.2
OG0001578	ENSGALG00000015450.5	ENSACAG00000005694.3
OG0001579	ENSGALG00000033279.2	ENSACAG00000007597.3
OG0001580	ENSGALG00000009850.7	ENSACAG00000000477.3
OG0001581	ENSGALG00000004831.6	ENSACAG00000014601.3
OG0001582	ENSGALG00000001136.6, ENSGALG00000027002.3	ENSACAG00000003188.2
OG0001583	ENSGALG00000033432.3	ENSACAG00000003304.2
OG0001583	ENSGALG00000025817.2	ENSACAG00000010649.2
OG0001584	ENSGALG00000046347.2	ENSACAG00000000107.2
OG0001585	ENSGALG00000002707.7	ENSACAG00000015594.2
OG0001586	ENSGALG00000002432.5	ENSACAG00000004928.3, ENSACAG00000004935.2
OG0001587	ENSGALG00000005156.6	ENSACAG00000009560.3
OG0001587	ENSGALG00000012004.5	ENSACAG00000013699.3
OG0001588	ENSGALG00000010291.6	ENSACAG00000003012.3
OG0001588	ENSGALG00000030988.2	ENSACAG00000012227.2
OG0001589	ENSGALG00000003567.6	ENSACAG00000003561.2
OG0001590	ENSGALG00000016500.6	ENSACAG00000011663.3
OG0001590	ENSGALG00000027151.4	ENSACAG00000008323.3
OG0001591	ENSGALG00000005473.6, ENSGALG00000005472.5, ENSGALG00000005474.3	ENSACAG00000011485.2
OG0001592	ENSGALG00000029624.2	ENSACAG00000008086.2
OG0001593	ENSGALG00000036117.2	ENSACAG00000016761.2
OG0001593	ENSGALG00000035903.2	ENSACAG00000017341.3
OG0001594	ENSGALG00000033378.3	ENSACAG00000016416.3
OG0001595	ENSGALG00000023157.5	ENSACAG00000007552.3
OG0001596	ENSGALG00000000883.6	ENSACAG00000007803.3
OG0001596	ENSGALG00000002283.7	ENSACAG00000007166.3
OG0001598	ENSGALG00000027761.3	ENSACAG00000003983.3
OG0001599	ENSGALG00000007699.7	ENSACAG00000013939.3
OG0001600	ENSGALG00000007716.5	ENSACAG00000014010.3
OG0001601	ENSGALG00000011541.6	ENSACAG00000010082.3
OG0001602	ENSGALG00000035281.2	ENSACAG00000007583.3
OG0001603	ENSGALG00000041267.2	ENSACAG00000023169.2
OG0001604	ENSGALG00000027334.4	ENSACAG00000028397.1
OG0001605	ENSGALG00000029170.4	ENSACAG00000006302.2
OG0001605	ENSGALG00000015261.7	ENSACAG00000017965.2
OG0001606	ENSGALG00000029446.2	ENSACAG00000004944.3
OG0001606	ENSGALG00000001720.5	ENSACAG00000008201.3
OG0001607	ENSGALG00000003955.6, ENSGALG00000053422.1	ENSACAG00000001054.3
OG0001608	ENSGALG00000043213.2	ENSACAG00000006878.3
OG0001610	ENSGALG00000005675.6	ENSACAG00000008261.3
OG0001610	ENSGALG00000009044.6	ENSACAG00000029267.1
OG0001611	ENSGALG00000031448.2	ENSACAG00000001922.2
OG0001612	ENSGALG00000017333.6	ENSACAG00000000126.3
OG0001613	ENSGALG00000002216.6	ENSACAG00000014482.2
OG0001614	ENSGALG00000030859.2	ENSACAG00000000650.3
OG0001615	ENSGALG00000035879.2	ENSACAG00000010030.3
OG0001616	ENSGALG00000002086.6	ENSACAG00000002753.2
OG0001617	ENSGALG00000038393.3, ENSGALG00000000162.6	ENSACAG00000008949.2
OG0001618	ENSGALG00000039221.3	ENSACAG00000014892.3
OG0001618	ENSGALG00000035563.2	ENSACAG00000007776.3
OG0001619	ENSGALG00000035203.3	ENSACAG00000010308.3
OG0001620	ENSGALG00000009078.6	ENSACAG00000007314.3
OG0001620	ENSGALG00000009452.6	ENSACAG00000005174.2
OG0001622	ENSGALG00000006390.7	ENSACAG00000014912.2
OG0001623	ENSGALG00000004818.7	ENSACAG00000003060.3
OG0001624	ENSGALG00000018803.6	ENSACAG00000014231.2
OG0001626	ENSGALG00000009689.7	ENSACAG00000013907.3
OG0001628	ENSGALG00000038506.2	ENSACAG00000004907.2
OG0001628	ENSGALG00000026598.4	ENSACAG00000016534.1
OG0001629	ENSGALG00000035140.2	ENSACAG00000013407.2
OG0001630	ENSGALG00000020626.5	ENSACAG00000020975.2, ENSACAG00000028952.1
OG0001631	ENSGALG00000012987.6	ENSACAG00000000033.3
OG0001632	ENSGALG00000000946.6	ENSACAG00000013539.3
OG0001633	ENSGALG00000011038.6	ENSACAG00000012973.3
OG0001634	ENSGALG00000034511.2	ENSACAG00000013338.3
OG0001635	ENSGALG00000021092.6, ENSGALG00000003025.6	ENSACAG00000022448.2
OG0001636	ENSGALG00000028444.3	ENSACAG00000011370.3
OG0001636	ENSGALG00000028327.3	ENSACAG00000002428.3
OG0001637	ENSGALG00000000158.6	ENSACAG00000003989.2
OG0001638	ENSGALG00000032783.2	ENSACAG00000008281.3
OG0001638	ENSGALG00000007971.6	ENSACAG00000006212.2
OG0001639	ENSGALG00000052676.1, ENSGALG00000011394.6, ENSGALG00000051992.1, ENSGALG00000011413.6	ENSACAG00000007240.3
OG0001640	ENSGALG00000001428.6	ENSACAG00000006450.3
OG0001642	ENSGALG00000032191.3	ENSACAG00000013892.3
OG0001643	ENSGALG00000011456.6	ENSACAG00000013452.3
OG0001644	ENSGALG00000000249.7	ENSACAG00000012951.3
OG0001645	ENSGALG00000032098.2	ENSACAG00000014291.2
OG0001646	ENSGALG00000011276.5	ENSACAG00000012417.3
OG0001647	ENSGALG00000014857.6	ENSACAG00000026650.1
OG0001648	ENSGALG00000004325.7	ENSACAG00000000564.3
OG0001650	ENSGALG00000000603.6	ENSACAG00000017346.3
OG0001651	ENSGALG00000029921.3	ENSACAG00000006675.3
OG0001651	ENSGALG00000000318.5	ENSACAG00000003710.3
OG0001653	ENSGALG00000002692.6	ENSACAG00000001834.3
OG0001654	ENSGALG00000049865.1	ENSACAG00000003125.3
OG0001655	ENSGALG00000009595.6	ENSACAG00000002880.3
OG0001655	ENSGALG00000003977.6	ENSACAG00000006679.3
OG0001656	ENSGALG00000009104.6	ENSACAG00000007208.3
OG0001657	ENSGALG00000052354.1	ENSACAG00000004681.2
OG0001658	ENSGALG00000014210.7	ENSACAG00000007035.3
OG0001658	ENSGALG00000040594.3	ENSACAG00000013374.3
OG0001659	ENSGALG00000013943.6	ENSACAG00000010556.3
OG0001660	ENSGALG00000010662.5	ENSACAG00000021129.1
OG0001661	ENSGALG00000045052.2	ENSACAG00000004191.2
OG0001663	ENSGALG00000002447.6	ENSACAG00000015986.3
OG0001663	ENSGALG00000027853.3	ENSACAG00000007657.3
OG0001664	ENSGALG00000014872.3	ENSACAG00000011129.3
OG0001665	ENSGALG00000027963.3	ENSACAG00000001016.1
OG0001666	ENSGALG00000014682.7	ENSACAG00000012586.3
OG0001667	ENSGALG00000012595.6	ENSACAG00000000770.3
OG0001668	ENSGALG00000010027.4	ENSACAG00000002385.3
OG0001669	ENSGALG00000010025.6	ENSACAG00000002409.3
OG0001670	ENSGALG00000031928.2	ENSACAG00000017261.3
OG0001670	ENSGALG00000009037.6	ENSACAG00000001123.3
OG0001671	ENSGALG00000053547.1, ENSGALG00000027772.3	ENSACAG00000015317.3
OG0001672	ENSGALG00000014723.5	ENSACAG00000017563.3
OG0001673	ENSGALG00000008727.6	ENSACAG00000014794.2
OG0001674	ENSGALG00000012123.6	ENSACAG00000002252.3
OG0001676	ENSGALG00000005903.7	ENSACAG00000009845.3
OG0001677	ENSGALG00000006613.5	ENSACAG00000009355.3
OG0001679	ENSGALG00000042389.2, ENSGALG00000041295.2	ENSACAG00000001792.2
OG0001680	ENSGALG00000036627.2	ENSACAG00000001076.2, ENSACAG00000001066.2
OG0001681	ENSGALG00000031546.3	ENSACAG00000009964.3
OG0001682	ENSGALG00000042741.2	ENSACAG00000007663.3
OG0001683	ENSGALG00000012246.6	ENSACAG00000001676.3
OG0001684	ENSGALG00000002868.6	ENSACAG00000015187.3
OG0001685	ENSGALG00000047129.1, ENSGALG00000048370.1, ENSGALG00000050753.1	ENSACAG00000005250.1
OG0001686	ENSGALG00000016678.6, ENSGALG00000016677.7	ENSACAG00000005245.3
OG0001687	ENSGALG00000038933.3	ENSACAG00000001499.3
OG0001688	ENSGALG00000014950.6	ENSACAG00000013979.3, ENSACAG00000028542.1, ENSACAG00000013906.3, ENSACAG00000029503.1
OG0001689	ENSGALG00000031139.2	ENSACAG00000013503.2
OG0001691	ENSGALG00000011579.6, ENSGALG00000011615.6	ENSACAG00000003650.3, ENSACAG00000003452.3
OG0001699	ENSGALG00000011171.7	ENSACAG00000002576.3
OG0001702	ENSGALG00000041034.3	ENSACAG00000002254.3
OG0001725	ENSGALG00000051398.1	ENSACAG00000021049.3
OG0001726	ENSGALG00000008420.6	ENSACAG00000014771.3
OG0001726	ENSGALG00000033879.2	ENSACAG00000003817.3
OG0001729	ENSGALG00000016578.4	ENSACAG00000001719.3, ENSACAG00000001051.1
OG0001730	ENSGALG00000009070.7	ENSACAG00000009482.3
OG0001731	ENSGALG00000037138.3	ENSACAG00000028718.1
OG0001732	ENSGALG00000036490.2	ENSACAG00000010376.3
OG0001732	ENSGALG00000003838.6	ENSACAG00000002404.3
OG0001733	ENSGALG00000035749.2	ENSACAG00000020976.2, ENSACAG00000028327.1
OG0001734	ENSGALG00000030259.3	ENSACAG00000017675.3
OG0001734	ENSGALG00000006456.6	ENSACAG00000003741.3
OG0001735	ENSGALG00000029360.2	ENSACAG00000003331.2
OG0001736	ENSGALG00000008590.6	ENSACAG00000001423.3
OG0001737	ENSGALG00000034016.2	ENSACAG00000004112.3
OG0001738	ENSGALG00000008507.6	ENSACAG00000011585.3
OG0001740	ENSGALG00000017652.7	ENSACAG00000013060.2
OG0001741	ENSGALG00000003947.7	ENSACAG00000010365.3
OG0001742	ENSGALG00000017388.6	ENSACAG00000013402.2
OG0001743	ENSGALG00000036294.2	ENSACAG00000004929.3
OG0001744	ENSGALG00000003091.6	ENSACAG00000004973.3
OG0001746	ENSGALG00000030808.3	ENSACAG00000000251.1
OG0001747	ENSGALG00000006327.6	ENSACAG00000001144.3
OG0001747	ENSGALG00000048716.1	ENSACAG00000000608.3
OG0001748	ENSGALG00000030677.3	ENSACAG00000012812.3, ENSACAG00000028261.1, ENSACAG00000009175.3
OG0001749	ENSGALG00000040279.2	ENSACAG00000013694.3
OG0001750	ENSGALG00000003631.6	ENSACAG00000024019.1
OG0001751	ENSGALG00000010259.6	ENSACAG00000013078.3
OG0001753	ENSGALG00000011305.6	ENSACAG00000013654.3
OG0001754	ENSGALG00000015025.6	ENSACAG00000003153.2
OG0001754	ENSGALG00000030643.2	ENSACAG00000012063.3
OG0001755	ENSGALG00000035219.2	ENSACAG00000027678.1, ENSACAG00000010772.3
OG0001757	ENSGALG00000000751.7	ENSACAG00000011254.3
OG0001758	ENSGALG00000007649.5	ENSACAG00000004267.3
OG0001759	ENSGALG00000046843.1, ENSGALG00000037273.2	ENSACAG00000001276.3
OG0001760	ENSGALG00000036711.2	ENSACAG00000000617.2
OG0001761	ENSGALG00000003221.7	ENSACAG00000005963.3
OG0001762	ENSGALG00000014754.7	ENSACAG00000007933.3
OG0001763	ENSGALG00000051621.1	ENSACAG00000017126.2
OG0001764	ENSGALG00000028084.3	ENSACAG00000000425.3
OG0001765	ENSGALG00000004531.3	ENSACAG00000003968.3
OG0001766	ENSGALG00000053794.1, ENSGALG00000038396.3, ENSGALG00000050198.1	ENSACAG00000026254.2
OG0001767	ENSGALG00000038964.2	ENSACAG00000028796.1
OG0001768	ENSGALG00000014869.6	ENSACAG00000010913.3, ENSACAG00000015749.3
OG0001769	ENSGALG00000049593.1, ENSGALG00000039901.3	ENSACAG00000001645.3
OG0001770	ENSGALG00000047215.1	ENSACAG00000002266.2
OG0001771	ENSGALG00000008663.6	ENSACAG00000013151.2
OG0001772	ENSGALG00000041102.2	ENSACAG00000013674.3, ENSACAG00000003890.2
OG0001773	ENSGALG00000017299.6	ENSACAG00000003051.2
OG0001774	ENSGALG00000036142.2	ENSACAG00000008711.3
OG0001775	ENSGALG00000032219.2	ENSACAG00000006776.3
OG0001777	ENSGALG00000003532.7	ENSACAG00000000843.3
OG0001778	ENSGALG00000005790.6	ENSACAG00000005686.3
OG0001778	ENSGALG00000043787.2	ENSACAG00000009022.3
OG0001779	ENSGALG00000028638.2	ENSACAG00000029000.1
OG0001780	ENSGALG00000055023.1	ENSACAG00000022469.2
OG0001781	ENSGALG00000041844.3	ENSACAG00000015130.2
OG0001782	ENSGALG00000016665.4	ENSACAG00000015108.3, ENSACAG00000009101.2, ENSACAG00000001710.3, ENSACAG00000001793.2, ENSACAG00000015185.2, ENSACAG00000015224.3
OG0001783	ENSGALG00000005295.6	ENSACAG00000025006.1, ENSACAG00000015364.3
OG0001784	ENSGALG00000009628.6	ENSACAG00000006433.2
OG0001784	ENSGALG00000033816.2	ENSACAG00000026026.1
OG0001785	ENSGALG00000016348.5	ENSACAG00000007429.3
OG0001786	ENSGALG00000007443.4	ENSACAG00000015669.3
OG0001788	ENSGALG00000014329.6	ENSACAG00000011293.3
OG0001789	ENSGALG00000015591.6	ENSACAG00000012039.3
OG0001790	ENSGALG00000008282.8	ENSACAG00000012035.2
OG0001791	ENSGALG00000046632.2	ENSACAG00000001280.2
OG0001792	ENSGALG00000004842.7	ENSACAG00000004475.3
OG0001793	ENSGALG00000004467.6	ENSACAG00000001333.3
OG0001794	ENSGALG00000011361.6	ENSACAG00000011385.3
OG0001795	ENSGALG00000027561.3	ENSACAG00000005743.1
OG0001797	ENSGALG00000038768.3	ENSACAG00000000349.3
OG0001798	ENSGALG00000012416.6	ENSACAG00000015571.3
OG0001798	ENSGALG00000003819.6	ENSACAG00000001117.1
OG0001799	ENSGALG00000029817.2	ENSACAG00000001485.3
OG0001800	ENSGALG00000003381.6	ENSACAG00000015385.2
OG0001801	ENSGALG00000033626.2	ENSACAG00000000280.2
OG0001802	ENSGALG00000039005.2	ENSACAG00000028438.1, ENSACAG00000006949.2
OG0001803	ENSGALG00000040807.2	ENSACAG00000000794.3
OG0001804	ENSGALG00000003348.6	ENSACAG00000006329.2
OG0001805	ENSGALG00000003370.4	ENSACAG00000006360.3
OG0001806	ENSGALG00000034050.3	ENSACAG00000015888.2, ENSACAG00000013717.2
OG0001807	ENSGALG00000005914.7	ENSACAG00000007735.3
OG0001808	ENSGALG00000054212.1	ENSACAG00000011786.2
OG0001809	ENSGALG00000038838.2	ENSACAG00000005468.3
OG0001810	ENSGALG00000005254.6	ENSACAG00000029155.1
OG0001811	ENSGALG00000035785.2, ENSGALG00000041052.2	ENSACAG00000007475.2
OG0001812	ENSGALG00000036567.2	ENSACAG00000016790.3
OG0001813	ENSGALG00000038787.2	ENSACAG00000000099.3
OG0001815	ENSGALG00000015373.6	ENSACAG00000000577.3
OG0001816	ENSGALG00000031693.2	ENSACAG00000026570.2
OG0001817	ENSGALG00000037332.2	ENSACAG00000002080.3
OG0001819	ENSGALG00000012245.7	ENSACAG00000014296.3
OG0001820	ENSGALG00000002157.7	ENSACAG00000012225.2
OG0001821	ENSGALG00000052095.1	ENSACAG00000007190.3
OG0001822	ENSGALG00000051301.1	ENSACAG00000012086.2
OG0001823	ENSGALG00000017336.5	ENSACAG00000010257.2, ENSACAG00000027328.2
OG0001823	ENSGALG00000010103.7	ENSACAG00000002680.3
OG0001824	ENSGALG00000042022.2	ENSACAG00000028705.1
OG0001824	ENSGALG00000036373.2	ENSACAG00000016436.3
OG0001825	ENSGALG00000032499.2	ENSACAG00000007875.3
OG0001827	ENSGALG00000003560.6	ENSACAG00000016675.2
OG0001828	ENSGALG00000027665.2	ENSACAG00000025152.2
OG0001828	ENSGALG00000005589.7	ENSACAG00000012083.2
OG0001829	ENSGALG00000009493.5	ENSACAG00000005611.2
OG0001830	ENSGALG00000049653.1	ENSACAG00000014195.2
OG0001831	ENSGALG00000009538.6	ENSACAG00000005799.3, ENSACAG00000005796.3, ENSACAG00000028597.1
OG0001832	ENSGALG00000032964.2	ENSACAG00000001642.3
OG0001832	ENSGALG00000010088.7	ENSACAG00000023072.2
OG0001833	ENSGALG00000002107.6	ENSACAG00000007966.2
OG0001834	ENSGALG00000047139.1	ENSACAG00000005937.3
OG0001835	ENSGALG00000036358.2	ENSACAG00000014542.3
OG0001835	ENSGALG00000035679.2	ENSACAG00000012661.3
OG0001837	ENSGALG00000019036.6	ENSACAG00000003877.3
OG0001838	ENSGALG00000004881.6	ENSACAG00000007239.3
OG0001839	ENSGALG00000001695.6	ENSACAG00000015043.3
OG0001839	ENSGALG00000014202.6	ENSACAG00000006845.3
OG0001840	ENSGALG00000009387.7	ENSACAG00000021037.3
OG0001840	ENSGALG00000010678.3	ENSACAG00000004473.3
OG0001841	ENSGALG00000017318.6	ENSACAG00000006390.3
OG0001842	ENSGALG00000005882.6	ENSACAG00000004355.3
OG0001843	ENSGALG00000019527.5	ENSACAG00000001587.3
OG0001844	ENSGALG00000036511.2, ENSGALG00000035246.2	ENSACAG00000006617.3
OG0001845	ENSGALG00000053916.1, ENSGALG00000008912.6	ENSACAG00000016167.3
OG0001846	ENSGALG00000015082.7	ENSACAG00000017634.3, ENSACAG00000014339.1
OG0001848	ENSGALG00000008517.5	ENSACAG00000010791.3
OG0001850	ENSGALG00000030087.2, ENSGALG00000009061.6	ENSACAG00000004548.3
OG0001851	ENSGALG00000011650.6	ENSACAG00000004655.3
OG0001852	ENSGALG00000007404.6	ENSACAG00000013799.3
OG0001853	ENSGALG00000009475.6	ENSACAG00000015319.2
OG0001855	ENSGALG00000009400.7	ENSACAG00000022701.2
OG0001857	ENSGALG00000004801.6	ENSACAG00000006479.3
OG0001858	ENSGALG00000015163.6	ENSACAG00000017867.3
OG0001859	ENSGALG00000011330.6	ENSACAG00000000102.3
OG0001860	ENSGALG00000034218.3	ENSACAG00000005022.3
OG0001861	ENSGALG00000012946.4	ENSACAG00000012913.3
OG0001862	ENSGALG00000005721.6	ENSACAG00000008171.3
OG0001862	ENSGALG00000033561.2	ENSACAG00000012896.3
OG0001863	ENSGALG00000010331.6	ENSACAG00000003903.3
OG0001864	ENSGALG00000053937.1	ENSACAG00000024600.1
OG0001865	ENSGALG00000013036.6	ENSACAG00000012403.3
OG0001866	ENSGALG00000012849.5	ENSACAG00000012773.3
OG0001867	ENSGALG00000012691.6	ENSACAG00000015729.3
OG0001868	ENSGALG00000013568.6	ENSACAG00000008988.3
OG0001869	ENSGALG00000000365.6, ENSGALG00000030932.2	ENSACAG00000003684.2
OG0001870	ENSGALG00000002973.7	ENSACAG00000013769.3
OG0001871	ENSGALG00000002937.7	ENSACAG00000007122.2, ENSACAG00000013688.3
OG0001872	ENSGALG00000030034.2	ENSACAG00000029477.1, ENSACAG00000013598.3
OG0001873	ENSGALG00000008179.5	ENSACAG00000004601.3
OG0001874	ENSGALG00000010083.7	ENSACAG00000014279.2
OG0001875	ENSGALG00000011269.5	ENSACAG00000012287.2
OG0001875	ENSGALG00000003554.5	ENSACAG00000002051.3
OG0001876	ENSGALG00000010219.6	ENSACAG00000015256.3
OG0001877	ENSGALG00000000225.6	ENSACAG00000004978.2
OG0001877	ENSGALG00000028360.3	ENSACAG00000011183.3
OG0001878	ENSGALG00000042976.2	ENSACAG00000017186.2
OG0001879	ENSGALG00000010643.6	ENSACAG00000008334.2
OG0001880	ENSGALG00000010486.6	ENSACAG00000007932.3
OG0001881	ENSGALG00000010689.7	ENSACAG00000008778.2
OG0001882	ENSGALG00000003882.7	ENSACAG00000016067.3
OG0001883	ENSGALG00000019715.5	ENSACAG00000017866.2
OG0001884	ENSGALG00000003485.5	ENSACAG00000003106.3
OG0001885	ENSGALG00000002773.6	ENSACAG00000015721.3
OG0001886	ENSGALG00000016945.6	ENSACAG00000000442.3
OG0001887	ENSGALG00000002813.6	ENSACAG00000015886.3
OG0001888	ENSGALG00000019361.5	ENSACAG00000001431.3
OG0001888	ENSGALG00000026585.4	ENSACAG00000029548.1
OG0001889	ENSGALG00000035157.2	ENSACAG00000002492.2
OG0001890	ENSGALG00000028849.4	ENSACAG00000002372.3
OG0001891	ENSGALG00000000233.6	ENSACAG00000006793.2
OG0001892	ENSGALG00000014508.6	ENSACAG00000022948.1
