Orthogroup	G_gallus.pep	C_familiaris.pep
OG0003302	ENSGALG00000038109.2	ENSCAFG00000016639.4, ENSCAFG00000014787.5
OG0003303	ENSGALG00000014387.6	ENSCAFG00000016800.4
OG0003304	ENSGALG00000019114.5	ENSCAFG00000005458.4
OG0003305	ENSGALG00000017553.6	ENSCAFG00000016833.3
OG0003306	ENSGALG00000040320.3	ENSCAFG00000016860.4
OG0003307	ENSGALG00000016913.7	ENSCAFG00000005183.5
OG0003308	ENSGALG00000001279.6	ENSCAFG00000016924.6
OG0003309	ENSGALG00000016927.6	ENSCAFG00000005037.4
OG0003310	ENSGALG00000027887.4	ENSCAFG00000018825.4
OG0003311	ENSGALG00000009505.6	ENSCAFG00000003661.4
OG0003312	ENSGALG00000009454.6	ENSCAFG00000003317.4
OG0003313	ENSGALG00000001373.6	ENSCAFG00000011943.5
OG0003314	ENSGALG00000039803.2	ENSCAFG00000014379.4
OG0003315	ENSGALG00000009134.5	ENSCAFG00000003432.5
OG0003316	ENSGALG00000049114.1, ENSGALG00000036459.2	ENSCAFG00000030978.2
OG0003317	ENSGALG00000001717.7	ENSCAFG00000045548.1, ENSCAFG00000049335.1, ENSCAFG00000013356.4
OG0003318	ENSGALG00000016865.6	ENSCAFG00000005950.5
OG0003319	ENSGALG00000026994.3	ENSCAFG00000029765.2
OG0003320	ENSGALG00000008740.7	ENSCAFG00000001754.4
OG0003322	ENSGALG00000016831.7	ENSCAFG00000006269.4
OG0003323	ENSGALG00000000164.7	ENSCAFG00000019837.5
OG0003324	ENSGALG00000049347.1, ENSGALG00000014064.6	ENSCAFG00000016105.5
OG0003325	ENSGALG00000036901.2	ENSCAFG00000009416.3
OG0003326	ENSGALG00000027834.3	ENSCAFG00000008085.5
OG0003327	ENSGALG00000001492.7	ENSCAFG00000048343.1, ENSCAFG00000008593.5
OG0003328	ENSGALG00000001332.7	ENSCAFG00000008696.5
OG0003329	ENSGALG00000017290.6	ENSCAFG00000015342.5
OG0003330	ENSGALG00000027791.3	ENSCAFG00000015365.4
OG0003331	ENSGALG00000040388.2	ENSCAFG00000011278.4
OG0003332	ENSGALG00000041433.3	ENSCAFG00000011611.4
OG0003333	ENSGALG00000016576.6	ENSCAFG00000011764.5
OG0003334	ENSGALG00000002968.7	ENSCAFG00000007460.5
OG0003335	ENSGALG00000014226.6	ENSCAFG00000000850.4
OG0003336	ENSGALG00000033677.2	ENSCAFG00000007504.4
OG0003337	ENSGALG00000011319.6	ENSCAFG00000002364.5
OG0003338	ENSGALG00000016418.7	ENSCAFG00000013092.5
OG0003339	ENSGALG00000013738.7	ENSCAFG00000004769.4
OG0003340	ENSGALG00000016351.6	ENSCAFG00000013388.5
OG0003341	ENSGALG00000034992.2	ENSCAFG00000004728.6
OG0003342	ENSGALG00000014085.7	ENSCAFG00000011183.4
OG0003343	ENSGALG00000016268.7	ENSCAFG00000024088.4
OG0003344	ENSGALG00000045817.2, ENSGALG00000053565.1	ENSCAFG00000004262.4
OG0003345	ENSGALG00000030411.3	ENSCAFG00000018134.5
OG0003346	ENSGALG00000016217.5	ENSCAFG00000014589.6
OG0003347	ENSGALG00000054032.1, ENSGALG00000052028.1	ENSCAFG00000004007.3
OG0003348	ENSGALG00000008050.6	ENSCAFG00000003939.4
OG0003349	ENSGALG00000042764.2	ENSCAFG00000003929.5
OG0003350	ENSGALG00000005852.5	ENSCAFG00000012942.3
OG0003352	ENSGALG00000029670.3	ENSCAFG00000028512.2, ENSCAFG00000009315.4
OG0003353	ENSGALG00000033199.2, ENSGALG00000037076.2	ENSCAFG00000030829.3, ENSCAFG00000009235.4
OG0003354	ENSGALG00000003766.7	ENSCAFG00000018736.3
OG0003355	ENSGALG00000051022.1, ENSGALG00000014258.6	ENSCAFG00000001792.5
OG0003356	ENSGALG00000015879.7	ENSCAFG00000008874.4
OG0003357	ENSGALG00000015841.3	ENSCAFG00000008822.3
OG0003358	ENSGALG00000015807.6	ENSCAFG00000008614.4
OG0003359	ENSGALG00000013804.7	ENSCAFG00000002090.4
OG0003360	ENSGALG00000007546.6, ENSGALG00000013778.6	ENSCAFG00000002175.5
OG0003361	ENSGALG00000013655.6	ENSCAFG00000042547.1, ENSCAFG00000046803.1, ENSCAFG00000006873.5
OG0003362	ENSGALG00000013627.7	ENSCAFG00000006944.4
OG0003363	ENSGALG00000013571.6	ENSCAFG00000007348.4
OG0003364	ENSGALG00000045063.2	ENSCAFG00000007567.4
OG0003365	ENSGALG00000010628.6	ENSCAFG00000007662.4
OG0003366	ENSGALG00000010837.7	ENSCAFG00000008421.4
OG0003367	ENSGALG00000015330.5	ENSCAFG00000009593.5
OG0003368	ENSGALG00000032957.2	ENSCAFG00000003725.4
OG0003369	ENSGALG00000015182.6	ENSCAFG00000010568.4
OG0003370	ENSGALG00000042577.3, ENSGALG00000054317.1	ENSCAFG00000010611.5
OG0003371	ENSGALG00000015084.5	ENSCAFG00000010879.4
OG0003372	ENSGALG00000009373.7	ENSCAFG00000008602.4
OG0003373	ENSGALG00000009280.5	ENSCAFG00000008476.4
OG0003374	ENSGALG00000009230.6	ENSCAFG00000008317.6
OG0003375	ENSGALG00000054898.1	ENSCAFG00000008214.5
OG0003376	ENSGALG00000017079.7	ENSCAFG00000006590.4
OG0003377	ENSGALG00000010199.6	ENSCAFG00000003860.5
OG0003378	ENSGALG00000011884.6	ENSCAFG00000004139.5
OG0003379	ENSGALG00000011974.5	ENSCAFG00000001728.4, ENSCAFG00000012801.4
OG0003380	ENSGALG00000011982.6	ENSCAFG00000012472.5
OG0003381	ENSGALG00000054319.1	ENSCAFG00000011549.3
OG0003382	ENSGALG00000012126.6	ENSCAFG00000011462.5
OG0003383	ENSGALG00000010526.6	ENSCAFG00000011286.5, ENSCAFG00000015773.3, ENSCAFG00000003551.3
OG0003384	ENSGALG00000017235.6	ENSCAFG00000004369.4
OG0003385	ENSGALG00000011543.6	ENSCAFG00000008521.4
OG0003386	ENSGALG00000035912.2, ENSGALG00000046886.1	ENSCAFG00000019076.4
OG0003387	ENSGALG00000013548.6	ENSCAFG00000006735.4
OG0003388	ENSGALG00000014846.6	ENSCAFG00000018589.4
OG0003389	ENSGALG00000014790.7	ENSCAFG00000007748.5
OG0003390	ENSGALG00000014952.6	ENSCAFG00000009478.4
OG0003391	ENSGALG00000014690.6	ENSCAFG00000000637.5
OG0003392	ENSGALG00000029793.3	ENSCAFG00000029605.2
OG0003393	ENSGALG00000037299.2	ENSCAFG00000047368.1, ENSCAFG00000045021.1, ENSCAFG00000000736.4
OG0003394	ENSGALG00000012627.6	ENSCAFG00000001201.4
OG0003395	ENSGALG00000054345.1, ENSGALG00000033558.2	ENSCAFG00000030179.3
OG0003396	ENSGALG00000015144.6	ENSCAFG00000001811.4
OG0003397	ENSGALG00000015138.6	ENSCAFG00000001825.4
OG0003399	ENSGALG00000010178.7	ENSCAFG00000002035.4
OG0003400	ENSGALG00000040464.2	ENSCAFG00000012823.5
OG0003401	ENSGALG00000015663.7	ENSCAFG00000003028.5, ENSCAFG00000002101.4
OG0003402	ENSGALG00000015660.6	ENSCAFG00000003059.4
OG0003403	ENSGALG00000011696.6	ENSCAFG00000018401.5
OG0003404	ENSGALG00000037929.2	ENSCAFG00000007778.4
OG0003405	ENSGALG00000050937.1	ENSCAFG00000015183.4
OG0003407	ENSGALG00000035058.2	ENSCAFG00000011008.4
OG0003408	ENSGALG00000033099.3	ENSCAFG00000017783.4
OG0003409	ENSGALG00000010884.8	ENSCAFG00000017624.4
OG0003410	ENSGALG00000034311.2	ENSCAFG00000017600.3
OG0003411	ENSGALG00000010820.6	ENSCAFG00000024864.5
OG0003412	ENSGALG00000040156.2	ENSCAFG00000049086.1, ENSCAFG00000017561.5
OG0003413	ENSGALG00000051654.1	ENSCAFG00000016981.6
OG0003414	ENSGALG00000010540.7	ENSCAFG00000003888.4
OG0003416	ENSGALG00000014263.6	ENSCAFG00000013824.6
OG0003417	ENSGALG00000033884.3	ENSCAFG00000019158.4
OG0003418	ENSGALG00000043758.3, ENSGALG00000037880.3	ENSCAFG00000017648.4
OG0003419	ENSGALG00000009345.6	ENSCAFG00000016792.4
OG0003420	ENSGALG00000009249.7	ENSCAFG00000011434.5
OG0003421	ENSGALG00000050470.1	ENSCAFG00000019441.3
OG0003422	ENSGALG00000008584.2	ENSCAFG00000009538.4, ENSCAFG00000002332.4, ENSCAFG00000008533.4
OG0003423	ENSGALG00000035596.3	ENSCAFG00000009184.4
OG0003426	ENSGALG00000008231.5	ENSCAFG00000008866.5
OG0003427	ENSGALG00000008084.7	ENSCAFG00000008411.4, ENSCAFG00000029587.2
OG0003428	ENSGALG00000033730.2	ENSCAFG00000009497.5
OG0003429	ENSGALG00000007932.6	ENSCAFG00000006813.4
OG0003430	ENSGALG00000030661.2	ENSCAFG00000000121.4
OG0003431	ENSGALG00000004106.6	ENSCAFG00000010424.4
OG0003433	ENSGALG00000047559.1	ENSCAFG00000006966.4
OG0003434	ENSGALG00000001465.6	ENSCAFG00000012371.4, ENSCAFG00000046308.1
OG0003435	ENSGALG00000040308.2	ENSCAFG00000005732.6
OG0003436	ENSGALG00000006583.7	ENSCAFG00000010077.5
OG0003438	ENSGALG00000037018.2	ENSCAFG00000005524.3
OG0003439	ENSGALG00000007224.7	ENSCAFG00000005789.4
OG0003441	ENSGALG00000034725.2	ENSCAFG00000016085.6
OG0003442	ENSGALG00000039773.3	ENSCAFG00000016083.5
OG0003443	ENSGALG00000028979.3	ENSCAFG00000013036.4
OG0003444	ENSGALG00000004234.6	ENSCAFG00000006474.5
OG0003445	ENSGALG00000001375.5	ENSCAFG00000017899.4
OG0003447	ENSGALG00000011596.6	ENSCAFG00000004872.4
OG0003448	ENSGALG00000017357.6	ENSCAFG00000005147.4
OG0003449	ENSGALG00000047163.1	ENSCAFG00000004798.4
OG0003450	ENSGALG00000007650.4	ENSCAFG00000004599.5
OG0003451	ENSGALG00000055069.1, ENSGALG00000043074.3	ENSCAFG00000008299.4
OG0003452	ENSGALG00000040247.3	ENSCAFG00000011515.4
OG0003453	ENSGALG00000011242.6	ENSCAFG00000015641.5
OG0003454	ENSGALG00000012207.6	ENSCAFG00000005031.6
OG0003455	ENSGALG00000012377.5	ENSCAFG00000005178.4
OG0003456	ENSGALG00000051397.1	ENSCAFG00000013811.4
OG0003457	ENSGALG00000003812.7	ENSCAFG00000012363.4
OG0003458	ENSGALG00000003836.5	ENSCAFG00000012357.5
OG0003459	ENSGALG00000006794.6	ENSCAFG00000000867.5
OG0003460	ENSGALG00000006677.6	ENSCAFG00000000824.4
OG0003461	ENSGALG00000008226.7	ENSCAFG00000012006.4
OG0003462	ENSGALG00000052218.1	ENSCAFG00000030319.2
OG0003463	ENSGALG00000033385.3	ENSCAFG00000031268.2, ENSCAFG00000030168.3
OG0003464	ENSGALG00000048496.1	ENSCAFG00000016776.4
OG0003465	ENSGALG00000027534.4	ENSCAFG00000017907.4
OG0003466	ENSGALG00000008787.5	ENSCAFG00000003184.4
OG0003467	ENSGALG00000008741.6	ENSCAFG00000029145.2
OG0003468	ENSGALG00000032148.2	ENSCAFG00000000348.5
OG0003469	ENSGALG00000031826.2	ENSCAFG00000001140.4
OG0003470	ENSGALG00000020057.5	ENSCAFG00000002632.4
OG0003471	ENSGALG00000016991.7	ENSCAFG00000004473.4
OG0003472	ENSGALG00000017032.6	ENSCAFG00000006109.2, ENSCAFG00000005955.5
OG0003473	ENSGALG00000009013.7	ENSCAFG00000005651.4
OG0003474	ENSGALG00000002984.6	ENSCAFG00000016450.4
OG0003475	ENSGALG00000037646.2	ENSCAFG00000001186.5
OG0003476	ENSGALG00000016456.6	ENSCAFG00000003621.4
OG0003477	ENSGALG00000016451.6	ENSCAFG00000003549.4
OG0003478	ENSGALG00000016409.6	ENSCAFG00000003323.5
OG0003479	ENSGALG00000000629.6	ENSCAFG00000018497.4
OG0003480	ENSGALG00000004750.6	ENSCAFG00000002324.4
OG0003481	ENSGALG00000016350.6	ENSCAFG00000013667.4
OG0003482	ENSGALG00000016363.5	ENSCAFG00000030097.2
OG0003483	ENSGALG00000004940.7	ENSCAFG00000005005.5
OG0003484	ENSGALG00000005012.6	ENSCAFG00000004333.5
OG0003485	ENSGALG00000015733.7	ENSCAFG00000003109.6
OG0003486	ENSGALG00000005909.6	ENSCAFG00000004143.4
OG0003487	ENSGALG00000014899.6	ENSCAFG00000000931.5
OG0003488	ENSGALG00000015343.6	ENSCAFG00000003719.4
OG0003489	ENSGALG00000049952.1	ENSCAFG00000003741.3
OG0003490	ENSGALG00000015283.7	ENSCAFG00000003798.4
OG0003491	ENSGALG00000007111.5	ENSCAFG00000007317.3
OG0003492	ENSGALG00000015889.6	ENSCAFG00000002804.5
OG0003493	ENSGALG00000015901.7	ENSCAFG00000002711.4
OG0003494	ENSGALG00000039001.2	ENSCAFG00000002709.4
OG0003495	ENSGALG00000037587.2	ENSCAFG00000000367.5
OG0003498	ENSGALG00000013765.6	ENSCAFG00000000314.4
OG0003499	ENSGALG00000011621.6	ENSCAFG00000000691.5
OG0003500	ENSGALG00000011660.7	ENSCAFG00000023207.4
OG0003502	ENSGALG00000031427.3	ENSCAFG00000015625.5
OG0003503	ENSGALG00000013950.6	ENSCAFG00000011291.5
OG0003504	ENSGALG00000029915.2, ENSGALG00000048698.1	ENSCAFG00000011507.5
OG0003505	ENSGALG00000030590.2	ENSCAFG00000011541.4
OG0003506	ENSGALG00000049034.1	ENSCAFG00000011616.4
OG0003507	ENSGALG00000010303.6, ENSGALG00000009291.7	ENSCAFG00000016160.4
OG0003508	ENSGALG00000010541.5	ENSCAFG00000005775.5
OG0003509	ENSGALG00000040805.3	ENSCAFG00000032095.2
OG0003510	ENSGALG00000010580.5	ENSCAFG00000005936.5
OG0003511	ENSGALG00000010621.5	ENSCAFG00000005708.5
OG0003512	ENSGALG00000009854.7	ENSCAFG00000012136.4
OG0003513	ENSGALG00000009652.7	ENSCAFG00000010731.4
OG0003514	ENSGALG00000009056.6	ENSCAFG00000030771.2
OG0003515	ENSGALG00000009256.7	ENSCAFG00000016127.3
OG0003516	ENSGALG00000008552.6	ENSCAFG00000007047.3
OG0003517	ENSGALG00000038528.2, ENSGALG00000033120.3	ENSCAFG00000029620.2
OG0003519	ENSGALG00000030979.3	ENSCAFG00000017464.4
OG0003520	ENSGALG00000006899.6	ENSCAFG00000000377.2, ENSCAFG00000007483.3, ENSCAFG00000048484.1, ENSCAFG00000044677.1
OG0003521	ENSGALG00000026303.4	ENSCAFG00000019862.4
OG0003522	ENSGALG00000001434.7	ENSCAFG00000003692.4
OG0003525	ENSGALG00000003991.6	ENSCAFG00000015189.5
OG0003526	ENSGALG00000002987.6	ENSCAFG00000019240.4
OG0003527	ENSGALG00000036474.3	ENSCAFG00000002070.3, ENSCAFG00000048510.1, ENSCAFG00000041082.1, ENSCAFG00000044033.1
OG0003528	ENSGALG00000000474.7	ENSCAFG00000044682.1
OG0003529	ENSGALG00000004052.6	ENSCAFG00000019954.4, ENSCAFG00000018620.4
OG0003530	ENSGALG00000002783.6	ENSCAFG00000019194.4
OG0003531	ENSGALG00000014432.7	ENSCAFG00000029884.2, ENSCAFG00000004800.3, ENSCAFG00000044430.1, ENSCAFG00000010653.4
OG0003532	ENSGALG00000001620.6	ENSCAFG00000001008.5
OG0003533	ENSGALG00000005855.6	ENSCAFG00000019899.4, ENSCAFG00000012150.5
OG0003534	ENSGALG00000043676.3	ENSCAFG00000044948.1, ENSCAFG00000007055.4
OG0003537	ENSGALG00000038189.2	ENSCAFG00000015454.6
OG0003541	ENSGALG00000004168.5	ENSCAFG00000048123.1
OG0003542	ENSGALG00000049911.1	ENSCAFG00000005878.4
OG0003543	ENSGALG00000050072.1	ENSCAFG00000012106.5
OG0003546	ENSGALG00000053778.1, ENSGALG00000001921.6	ENSCAFG00000019678.5
OG0003547	ENSGALG00000012229.6	ENSCAFG00000045827.1
OG0003550	ENSGALG00000009369.7	ENSCAFG00000012109.4, ENSCAFG00000005001.2, ENSCAFG00000005529.4
OG0003551	ENSGALG00000006048.6	ENSCAFG00000015464.3
OG0003552	ENSGALG00000000577.6	ENSCAFG00000018739.5
OG0003554	ENSGALG00000037805.2	ENSCAFG00000032295.2, ENSCAFG00000001608.3
OG0003555	ENSGALG00000002151.7	ENSCAFG00000032594.2
OG0003558	ENSGALG00000030576.3	ENSCAFG00000011378.4, ENSCAFG00000013992.3
OG0003560	ENSGALG00000005379.6	ENSCAFG00000011498.5
OG0003561	ENSGALG00000013642.7	ENSCAFG00000041951.1
OG0003565	ENSGALG00000034354.3	ENSCAFG00000017054.4
OG0003566	ENSGALG00000045534.2	ENSCAFG00000025384.4
OG0003567	ENSGALG00000027716.3	ENSCAFG00000009135.5, ENSCAFG00000015205.4, ENSCAFG00000015206.4
OG0003570	ENSGALG00000040844.2	ENSCAFG00000010725.4
OG0003573	ENSGALG00000011357.6	ENSCAFG00000006331.5
OG0003574	ENSGALG00000002024.7	ENSCAFG00000014253.4
OG0003575	ENSGALG00000002056.4	ENSCAFG00000014212.4
OG0003576	ENSGALG00000044479.2	ENSCAFG00000030215.2
OG0003602	ENSGALG00000039071.2	ENSCAFG00000012049.5
OG0003603	ENSGALG00000035819.2	ENSCAFG00000016331.4
OG0003604	ENSGALG00000011902.5	ENSCAFG00000013162.5
OG0003605	ENSGALG00000007976.6	ENSCAFG00000018196.5
OG0003606	ENSGALG00000035717.3	ENSCAFG00000014773.6
OG0003607	ENSGALG00000037939.2	ENSCAFG00000024385.3
OG0003608	ENSGALG00000039895.3	ENSCAFG00000016011.5
OG0003609	ENSGALG00000012809.6	ENSCAFG00000009409.5
OG0003610	ENSGALG00000001350.6	ENSCAFG00000008789.4
OG0003611	ENSGALG00000013352.6	ENSCAFG00000011617.3
OG0003612	ENSGALG00000035923.2	ENSCAFG00000011652.4
OG0003613	ENSGALG00000007491.6	ENSCAFG00000017243.5
OG0003614	ENSGALG00000012778.7	ENSCAFG00000009603.4
OG0003615	ENSGALG00000041403.2	ENSCAFG00000017250.5
OG0003616	ENSGALG00000022976.5	ENSCAFG00000009645.4
OG0003617	ENSGALG00000048035.1	ENSCAFG00000009680.4
OG0003618	ENSGALG00000039727.2, ENSGALG00000003172.6	ENSCAFG00000012440.3
OG0003619	ENSGALG00000032683.3	ENSCAFG00000009785.4
OG0003620	ENSGALG00000007996.7	ENSCAFG00000010791.5
OG0003621	ENSGALG00000030164.2	ENSCAFG00000005661.4
OG0003622	ENSGALG00000008452.6	ENSCAFG00000004785.5
OG0003623	ENSGALG00000012263.7	ENSCAFG00000014226.4
OG0003624	ENSGALG00000009217.6	ENSCAFG00000019365.5
OG0003625	ENSGALG00000015386.6	ENSCAFG00000005417.4
OG0003626	ENSGALG00000020747.5	ENSCAFG00000004867.4
OG0003627	ENSGALG00000015390.6	ENSCAFG00000005407.5
OG0003628	ENSGALG00000044813.2	ENSCAFG00000005499.3, ENSCAFG00000008060.4
OG0003629	ENSGALG00000003405.6	ENSCAFG00000010567.5
OG0003630	ENSGALG00000038896.2, ENSGALG00000003420.6	ENSCAFG00000023779.3
OG0003631	ENSGALG00000002649.6	ENSCAFG00000019797.5
OG0003632	ENSGALG00000037314.2	ENSCAFG00000019132.5
OG0003633	ENSGALG00000028664.4	ENSCAFG00000042514.1
OG0003634	ENSGALG00000028506.3	ENSCAFG00000024175.3
OG0003635	ENSGALG00000010881.6	ENSCAFG00000017612.5
OG0003636	ENSGALG00000008128.7	ENSCAFG00000010899.4
OG0003637	ENSGALG00000008038.6	ENSCAFG00000010826.4
OG0003638	ENSGALG00000042197.2	ENSCAFG00000009325.4
OG0003639	ENSGALG00000030879.2	ENSCAFG00000016656.3
OG0003641	ENSGALG00000035952.2	ENSCAFG00000014132.4
OG0003642	ENSGALG00000040521.3	ENSCAFG00000002942.5
OG0003643	ENSGALG00000007119.6	ENSCAFG00000015734.4
OG0003644	ENSGALG00000002144.7	ENSCAFG00000003389.4
OG0003645	ENSGALG00000034171.2	ENSCAFG00000008413.5
OG0003646	ENSGALG00000034461.2	ENSCAFG00000006447.4
OG0003647	ENSGALG00000040905.3	ENSCAFG00000018776.4
OG0003648	ENSGALG00000041834.2	ENSCAFG00000002917.4
OG0003649	ENSGALG00000029898.2	ENSCAFG00000002903.5, ENSCAFG00000024644.4
OG0003650	ENSGALG00000038299.3	ENSCAFG00000032238.2
OG0003652	ENSGALG00000004255.6	ENSCAFG00000016426.4
OG0003653	ENSGALG00000040999.2	ENSCAFG00000016418.4
OG0003654	ENSGALG00000015821.7	ENSCAFG00000008687.5
OG0003655	ENSGALG00000007750.5	ENSCAFG00000028900.2, ENSCAFG00000017202.5
OG0003656	ENSGALG00000004348.6	ENSCAFG00000016358.4
OG0003658	ENSGALG00000041625.2	ENSCAFG00000048678.1
OG0003659	ENSGALG00000052837.1	ENSCAFG00000029596.2
OG0003660	ENSGALG00000008501.7	ENSCAFG00000013485.5
OG0003661	ENSGALG00000011847.6	ENSCAFG00000004096.4
OG0003663	ENSGALG00000008589.5	ENSCAFG00000013362.3
OG0003664	ENSGALG00000008491.6	ENSCAFG00000018577.4
OG0003665	ENSGALG00000038217.2	ENSCAFG00000009441.5
OG0003667	ENSGALG00000006851.7	ENSCAFG00000017457.5
OG0003668	ENSGALG00000003907.5	ENSCAFG00000010010.4
OG0003669	ENSGALG00000004047.6	ENSCAFG00000013155.4
OG0003670	ENSGALG00000004997.6	ENSCAFG00000018283.5
OG0003671	ENSGALG00000008910.6	ENSCAFG00000014193.4
OG0003672	ENSGALG00000011646.7	ENSCAFG00000005362.4
OG0003673	ENSGALG00000038994.2	ENSCAFG00000004121.4
OG0003674	ENSGALG00000003925.7	ENSCAFG00000013541.4
OG0003675	ENSGALG00000030378.3	ENSCAFG00000042364.1, ENSCAFG00000013232.4
OG0003676	ENSGALG00000029528.2	ENSCAFG00000011401.4
OG0003677	ENSGALG00000035774.2	ENSCAFG00000010544.5
OG0003678	ENSGALG00000003634.6	ENSCAFG00000015670.4
OG0003679	ENSGALG00000006843.6	ENSCAFG00000043481.1
OG0003680	ENSGALG00000003701.7	ENSCAFG00000015628.4
OG0003681	ENSGALG00000050725.1	ENSCAFG00000028343.2, ENSCAFG00000002512.3
OG0003682	ENSGALG00000011139.6	ENSCAFG00000028971.2
OG0003684	ENSGALG00000034802.3	ENSCAFG00000017821.4
OG0003686	ENSGALG00000004197.7	ENSCAFG00000013839.4
OG0003687	ENSGALG00000003111.6	ENSCAFG00000018791.5
OG0003688	ENSGALG00000035867.3	ENSCAFG00000006935.5
OG0003689	ENSGALG00000005374.6	ENSCAFG00000017832.5
OG0003690	ENSGALG00000006161.6	ENSCAFG00000019822.4
OG0003692	ENSGALG00000006144.6	ENSCAFG00000019820.2
OG0003694	ENSGALG00000013639.5	ENSCAFG00000030331.2, ENSCAFG00000012895.4
OG0003695	ENSGALG00000029449.3	ENSCAFG00000011962.4
OG0003696	ENSGALG00000041914.2	ENSCAFG00000015362.5
OG0003697	ENSGALG00000016508.6	ENSCAFG00000029519.2
OG0003698	ENSGALG00000008415.6	ENSCAFG00000012360.4
OG0003699	ENSGALG00000039193.3	ENSCAFG00000019342.4
OG0003700	ENSGALG00000048563.1, ENSGALG00000003747.6	ENSCAFG00000018648.4
OG0003701	ENSGALG00000016649.4	ENSCAFG00000008058.4
OG0003702	ENSGALG00000008240.7	ENSCAFG00000012130.5
OG0003703	ENSGALG00000039023.2, ENSGALG00000003605.6	ENSCAFG00000018695.5
OG0003704	ENSGALG00000008234.4	ENSCAFG00000012060.4
OG0003705	ENSGALG00000002581.7	ENSCAFG00000009822.4
OG0003706	ENSGALG00000006516.6	ENSCAFG00000013986.4
OG0003707	ENSGALG00000053276.1	ENSCAFG00000031942.2
OG0003708	ENSGALG00000001692.6	ENSCAFG00000019723.4
OG0003709	ENSGALG00000033226.2	ENSCAFG00000004714.4
OG0003710	ENSGALG00000005744.5	ENSCAFG00000019922.4, ENSCAFG00000044812.1
OG0003711	ENSGALG00000044224.2, ENSGALG00000031069.3	ENSCAFG00000012387.5
OG0003712	ENSGALG00000019794.5	ENSCAFG00000016938.5
OG0003713	ENSGALG00000003446.7	ENSCAFG00000018782.4
OG0003715	ENSGALG00000046550.2	ENSCAFG00000032716.2
OG0003716	ENSGALG00000009676.6	ENSCAFG00000012438.4
OG0003717	ENSGALG00000003365.7	ENSCAFG00000018802.4
OG0003718	ENSGALG00000002853.6	ENSCAFG00000020077.4
OG0003719	ENSGALG00000028145.4	ENSCAFG00000017005.3
OG0003720	ENSGALG00000033174.2	ENSCAFG00000002356.4
OG0003722	ENSGALG00000012264.6	ENSCAFG00000010535.4
OG0003723	ENSGALG00000049517.1	ENSCAFG00000002352.4
OG0003725	ENSGALG00000033950.3	ENSCAFG00000000974.4
OG0003726	ENSGALG00000034317.2	ENSCAFG00000009041.5
OG0003727	ENSGALG00000007559.6	ENSCAFG00000004332.4
OG0003728	ENSGALG00000046023.2	ENSCAFG00000016794.4
OG0003729	ENSGALG00000048365.1	ENSCAFG00000045310.1, ENSCAFG00000016788.6
OG0003730	ENSGALG00000014568.6	ENSCAFG00000014424.4
OG0003731	ENSGALG00000033889.2	ENSCAFG00000010694.4
OG0003732	ENSGALG00000014800.8	ENSCAFG00000010711.4
OG0003733	ENSGALG00000030363.2	ENSCAFG00000028778.2, ENSCAFG00000009086.5
OG0003734	ENSGALG00000027688.4	ENSCAFG00000011204.4
OG0003736	ENSGALG00000001473.7	ENSCAFG00000019248.5
OG0003737	ENSGALG00000007084.7	ENSCAFG00000013058.4
OG0003738	ENSGALG00000004956.7	ENSCAFG00000007303.4, ENSCAFG00000019017.3
OG0003739	ENSGALG00000031384.2	ENSCAFG00000017985.2
OG0003740	ENSGALG00000026038.3	ENSCAFG00000017939.4
OG0003742	ENSGALG00000009040.6	ENSCAFG00000017944.5
OG0003743	ENSGALG00000007017.5	ENSCAFG00000013514.4
OG0003744	ENSGALG00000009149.7	ENSCAFG00000031859.2
OG0003745	ENSGALG00000001025.6	ENSCAFG00000020208.4
OG0003746	ENSGALG00000037522.2	ENSCAFG00000019543.4
OG0003748	ENSGALG00000001711.7	ENSCAFG00000017983.4
OG0003749	ENSGALG00000037401.3	ENSCAFG00000014166.4
OG0003750	ENSGALG00000054619.1	ENSCAFG00000004782.5
OG0003752	ENSGALG00000000690.6, ENSGALG00000034967.3	ENSCAFG00000005395.5
OG0003753	ENSGALG00000003284.7	ENSCAFG00000018492.4
OG0003754	ENSGALG00000037603.3	ENSCAFG00000011842.5
OG0003755	ENSGALG00000007792.6	ENSCAFG00000016551.2, ENSCAFG00000011856.4
OG0003756	ENSGALG00000017031.6	ENSCAFG00000005944.4
OG0003757	ENSGALG00000004162.6	ENSCAFG00000011086.4
OG0003758	ENSGALG00000040739.3	ENSCAFG00000000008.4
OG0003759	ENSGALG00000032659.2	ENSCAFG00000000714.3
OG0003760	ENSGALG00000007431.6	ENSCAFG00000006722.5
OG0003762	ENSGALG00000007581.6	ENSCAFG00000016270.4, ENSCAFG00000029695.2
OG0003763	ENSGALG00000000409.7	ENSCAFG00000009217.4
OG0003764	ENSGALG00000028158.3	ENSCAFG00000014923.4
OG0003765	ENSGALG00000001056.6	ENSCAFG00000012539.4
OG0003767	ENSGALG00000048873.1	ENSCAFG00000041661.1, ENSCAFG00000007123.4
OG0003768	ENSGALG00000010649.7	ENSCAFG00000015876.4
OG0003769	ENSGALG00000006974.7	ENSCAFG00000011384.5
OG0003770	ENSGALG00000026154.3	ENSCAFG00000002275.4
OG0003771	ENSGALG00000005397.6	ENSCAFG00000017839.5
OG0003772	ENSGALG00000007008.6	ENSCAFG00000017733.5
OG0003773	ENSGALG00000003771.6	ENSCAFG00000015616.5
