Orthogroup	G_gallus.pep	P_troglodytes.pep
OG0000620	ENSGALG00000004150.6	ENSPTRG00000007124.4
OG0000620	ENSGALG00000001571.5	ENSPTRG00000010428.5
OG0000621	ENSGALG00000005360.6	ENSPTRG00000009482.4
OG0000622	ENSGALG00000015877.7	ENSPTRG00000050701.1
OG0000622	ENSGALG00000007128.6	ENSPTRG00000022061.6
OG0000623	ENSGALG00000040582.2	ENSPTRG00000021377.7
OG0000623	ENSGALG00000003424.6	ENSPTRG00000001612.5
OG0000624	ENSGALG00000012462.7	ENSPTRG00000012521.6
OG0000624	ENSGALG00000007215.6	ENSPTRG00000002408.4
OG0000626	ENSGALG00000031578.2	ENSPTRG00000020517.5
OG0000626	ENSGALG00000030229.2	ENSPTRG00000000507.6
OG0000626	ENSGALG00000035230.2	ENSPTRG00000019945.6
OG0000627	ENSGALG00000034735.2	ENSPTRG00000048560.1
OG0000629	ENSGALG00000040921.2	ENSPTRG00000020481.6
OG0000629	ENSGALG00000016442.8	ENSPTRG00000050890.1, ENSPTRG00000011647.6, ENSPTRG00000042985.1
OG0000630	ENSGALG00000016443.6	ENSPTRG00000011649.4
OG0000630	ENSGALG00000003573.6	ENSPTRG00000000494.4
OG0000630	ENSGALG00000032518.2	ENSPTRG00000052014.1
OG0000631	ENSGALG00000001938.6	ENSPTRG00000001026.5
OG0000632	ENSGALG00000029834.2	ENSPTRG00000021481.6
OG0000633	ENSGALG00000030918.3	ENSPTRG00000010192.6
OG0000634	ENSGALG00000032057.3	ENSPTRG00000041593.2, ENSPTRG00000022116.6, ENSPTRG00000048802.1, ENSPTRG00000003791.4
OG0000635	ENSGALG00000009512.6	ENSPTRG00000019405.6
OG0000636	ENSGALG00000023521.3	ENSPTRG00000029720.3
OG0000636	ENSGALG00000015608.5	ENSPTRG00000034025.3
OG0000637	ENSGALG00000023773.5, ENSGALG00000048886.1	ENSPTRG00000013261.7
OG0000638	ENSGALG00000006503.6	ENSPTRG00000048534.1, ENSPTRG00000051293.1, ENSPTRG00000048439.1, ENSPTRG00000017235.6
OG0000638	ENSGALG00000005002.7	ENSPTRG00000028515.4, ENSPTRG00000050280.1
OG0000639	ENSGALG00000001476.5	ENSPTRG00000001102.7
OG0000640	ENSGALG00000043908.2	ENSPTRG00000017463.3, ENSPTRG00000005338.4, ENSPTRG00000001964.5, ENSPTRG00000006459.6
OG0000641	ENSGALG00000001267.6	ENSPTRG00000010294.4, ENSPTRG00000042432.2, ENSPTRG00000050269.1
OG0000641	ENSGALG00000007687.7	ENSPTRG00000007193.3
OG0000642	ENSGALG00000010116.6	ENSPTRG00000018129.7
OG0000642	ENSGALG00000012997.6	ENSPTRG00000016734.4
OG0000643	ENSGALG00000011618.6	ENSPTRG00000006773.6
OG0000643	ENSGALG00000010702.6	ENSPTRG00000044720.1, ENSPTRG00000002178.5
OG0000644	ENSGALG00000007193.6	ENSPTRG00000015748.3, ENSPTRG00000003805.5, ENSPTRG00000003806.6, ENSPTRG00000003804.6
OG0000645	ENSGALG00000021128.5	ENSPTRG00000018892.5, ENSPTRG00000049607.1, ENSPTRG00000041962.2
OG0000645	ENSGALG00000023354.3	ENSPTRG00000030742.4
OG0000646	ENSGALG00000007934.4	ENSPTRG00000009629.5
OG0000646	ENSGALG00000042419.2	ENSPTRG00000014325.6
OG0000647	ENSGALG00000032723.2	ENSPTRG00000023124.5
OG0000648	ENSGALG00000031341.2, ENSGALG00000009511.6	ENSPTRG00000028382.4, ENSPTRG00000048454.1, ENSPTRG00000019786.7, ENSPTRG00000050880.1, ENSPTRG00000015590.6
OG0000649	ENSGALG00000012362.6	ENSPTRG00000012502.6
OG0000649	ENSGALG00000010718.6, ENSGALG00000051980.1	ENSPTRG00000018936.5
OG0000651	ENSGALG00000006600.5	ENSPTRG00000015440.4
OG0000652	ENSGALG00000012488.5	ENSPTRG00000014323.3
OG0000652	ENSGALG00000040840.3	ENSPTRG00000014324.6
OG0000653	ENSGALG00000002088.5	ENSPTRG00000009671.3
OG0000653	ENSGALG00000001866.6, ENSGALG00000012307.5	ENSPTRG00000014349.3
OG0000654	ENSGALG00000050616.1, ENSGALG00000044527.2	ENSPTRG00000018009.5
OG0000655	ENSGALG00000008288.7	ENSPTRG00000028239.2, ENSPTRG00000047833.1, ENSPTRG00000022110.5, ENSPTRG00000019546.5
OG0000656	ENSGALG00000017062.6	ENSPTRG00000005775.7
OG0000657	ENSGALG00000034473.3	ENSPTRG00000005711.5
OG0000658	ENSGALG00000034458.2	ENSPTRG00000001355.6
OG0000658	ENSGALG00000014989.6	ENSPTRG00000017006.5
OG0000659	ENSGALG00000012623.5	ENSPTRG00000052864.1, ENSPTRG00000047296.1, ENSPTRG00000014854.4, ENSPTRG00000012455.4
OG0000660	ENSGALG00000009028.6	ENSPTRG00000013252.4
OG0000660	ENSGALG00000033813.3	ENSPTRG00000039900.2, ENSPTRG00000052248.1
OG0000661	ENSGALG00000011858.6	ENSPTRG00000006423.5
OG0000661	ENSGALG00000009877.6	ENSPTRG00000001946.5
OG0000662	ENSGALG00000041626.2	ENSPTRG00000011994.6
OG0000662	ENSGALG00000039118.2	ENSPTRG00000006901.7
OG0000664	ENSGALG00000012061.6	ENSPTRG00000004925.5
OG0000664	ENSGALG00000011481.6	ENSPTRG00000043993.1
OG0000667	ENSGALG00000006057.6	ENSPTRG00000017605.4
OG0000667	ENSGALG00000028438.3	ENSPTRG00000012792.6
OG0000668	ENSGALG00000038188.3	ENSPTRG00000017983.6
OG0000669	ENSGALG00000017040.6, ENSGALG00000032231.3	ENSPTRG00000045611.1, ENSPTRG00000044552.1, ENSPTRG00000046780.1
OG0000670	ENSGALG00000006960.5	ENSPTRG00000014264.5
OG0000684	ENSGALG00000003301.6	ENSPTRG00000000478.3
OG0000684	ENSGALG00000048387.1	ENSPTRG00000050313.1
OG0000685	ENSGALG00000035079.3	ENSPTRG00000048408.1, ENSPTRG00000045345.1, ENSPTRG00000022841.4, ENSPTRG00000047373.1, ENSPTRG00000044294.1, ENSPTRG00000008341.4, ENSPTRG00000042763.1, ENSPTRG00000049971.1
OG0000686	ENSGALG00000014155.6	ENSPTRG00000045026.1, ENSPTRG00000019149.5
OG0000686	ENSGALG00000002266.6	ENSPTRG00000002492.7
OG0000687	ENSGALG00000001489.4	ENSPTRG00000000034.4
OG0000688	ENSGALG00000017320.7	ENSPTRG00000044137.1
OG0000689	ENSGALG00000008485.6	ENSPTRG00000002438.6, ENSPTRG00000052470.1, ENSPTRG00000012853.5
OG0000689	ENSGALG00000007076.6	ENSPTRG00000002421.7
OG0000690	ENSGALG00000010542.7	ENSPTRG00000016347.4
OG0000690	ENSGALG00000003689.6	ENSPTRG00000023677.5
OG0000691	ENSGALG00000009082.6	ENSPTRG00000033741.3
OG0000692	ENSGALG00000004431.5	ENSPTRG00000002584.6
OG0000692	ENSGALG00000038753.2	ENSPTRG00000017244.3
OG0000693	ENSGALG00000000329.7	ENSPTRG00000001067.7
OG0000693	ENSGALG00000032868.2	ENSPTRG00000051713.1, ENSPTRG00000019681.5, ENSPTRG00000052110.1
OG0000694	ENSGALG00000012228.6	ENSPTRG00000006311.6
OG0000694	ENSGALG00000010145.6	ENSPTRG00000018124.6
OG0000695	ENSGALG00000032361.2	ENSPTRG00000015274.6
OG0000695	ENSGALG00000012336.6	ENSPTRG00000018687.6
OG0000696	ENSGALG00000049559.1	ENSPTRG00000008598.6
OG0000697	ENSGALG00000009001.6	ENSPTRG00000012698.6
OG0000698	ENSGALG00000001645.7	ENSPTRG00000050307.1
OG0000698	ENSGALG00000041680.2	ENSPTRG00000001798.6
OG0000699	ENSGALG00000026955.3	ENSPTRG00000029182.2
OG0000699	ENSGALG00000005323.4	ENSPTRG00000052148.1
OG0000700	ENSGALG00000002044.5	ENSPTRG00000048676.1, ENSPTRG00000048734.1, ENSPTRG00000045768.1, ENSPTRG00000043543.1, ENSPTRG00000049369.1, ENSPTRG00000042326.2, ENSPTRG00000048745.1, ENSPTRG00000044220.1, ENSPTRG00000044931.1
OG0000702	ENSGALG00000001014.6	ENSPTRG00000021362.6
OG0000702	ENSGALG00000020927.5	ENSPTRG00000001767.6
OG0000703	ENSGALG00000005848.8	ENSPTRG00000033974.2
OG0000704	ENSGALG00000030075.2	ENSPTRG00000049008.1, ENSPTRG00000010984.5
OG0000705	ENSGALG00000000452.6	ENSPTRG00000031023.3, ENSPTRG00000020072.5, ENSPTRG00000020070.6, ENSPTRG00000020074.4
OG0000706	ENSGALG00000001049.7	ENSPTRG00000048268.1, ENSPTRG00000004231.7, ENSPTRG00000028413.3, ENSPTRG00000004230.4, ENSPTRG00000023646.2
OG0000707	ENSGALG00000052453.1	ENSPTRG00000004472.6
OG0000708	ENSGALG00000008926.6	ENSPTRG00000019632.6
OG0000708	ENSGALG00000007268.6	ENSPTRG00000015072.6
OG0000709	ENSGALG00000005519.6	ENSPTRG00000002795.5
OG0000709	ENSGALG00000009567.6	ENSPTRG00000016577.4
OG0000710	ENSGALG00000008303.6	ENSPTRG00000005493.3
OG0000710	ENSGALG00000005409.7	ENSPTRG00000009050.6
OG0000711	ENSGALG00000004958.6	ENSPTRG00000049477.1, ENSPTRG00000022104.7
OG0000711	ENSGALG00000014124.5	ENSPTRG00000016041.6
OG0000712	ENSGALG00000010223.5, ENSGALG00000010224.6, ENSGALG00000010222.7	ENSPTRG00000005237.4
OG0000714	ENSGALG00000007549.6	ENSPTRG00000013672.6
OG0000714	ENSGALG00000039455.3	ENSPTRG00000052052.1
OG0000715	ENSGALG00000013993.7	ENSPTRG00000018613.5, ENSPTRG00000018615.6, ENSPTRG00000018614.6
OG0000716	ENSGALG00000017343.6	ENSPTRG00000004182.4, ENSPTRG00000004029.5, ENSPTRG00000045624.1, ENSPTRG00000004027.4, ENSPTRG00000004030.6
OG0000717	ENSGALG00000007510.7	ENSPTRG00000022389.5, ENSPTRG00000044072.1
OG0000719	ENSGALG00000049193.1	ENSPTRG00000001461.6
OG0000719	ENSGALG00000030162.2	ENSPTRG00000007455.6
OG0000720	ENSGALG00000036789.2	ENSPTRG00000000896.6
OG0000721	ENSGALG00000006864.6	ENSPTRG00000052159.1
OG0000721	ENSGALG00000006958.6	ENSPTRG00000021286.6
OG0000722	ENSGALG00000012272.5	ENSPTRG00000022822.4
OG0000722	ENSGALG00000004199.5	ENSPTRG00000046342.1
OG0000723	ENSGALG00000005504.6	ENSPTRG00000009059.3
OG0000723	ENSGALG00000006968.7	ENSPTRG00000005551.7
OG0000724	ENSGALG00000012866.7	ENSPTRG00000017669.6, ENSPTRG00000017668.4, ENSPTRG00000010084.6, ENSPTRG00000046485.1
OG0000725	ENSGALG00000009286.6	ENSPTRG00000047314.1
OG0000726	ENSGALG00000002739.5	ENSPTRG00000008525.5
OG0000726	ENSGALG00000054099.1	ENSPTRG00000014262.6
OG0000727	ENSGALG00000002632.6	ENSPTRG00000012722.4
OG0000727	ENSGALG00000009509.7	ENSPTRG00000019404.7
OG0000728	ENSGALG00000006766.6	ENSPTRG00000047761.1, ENSPTRG00000014279.6
OG0000729	ENSGALG00000006642.6	ENSPTRG00000014173.6
OG0000729	ENSGALG00000014182.4	ENSPTRG00000008806.3
OG0000730	ENSGALG00000005359.6	ENSPTRG00000002784.7
OG0000731	ENSGALG00000039967.2	ENSPTRG00000008301.7, ENSPTRG00000008298.5
OG0000732	ENSGALG00000006763.6	ENSPTRG00000002761.6
OG0000732	ENSGALG00000016098.6	ENSPTRG00000012052.6
OG0000733	ENSGALG00000016288.6	ENSPTRG00000021762.4
OG0000733	ENSGALG00000008888.6	ENSPTRG00000022140.4
OG0000734	ENSGALG00000008160.5	ENSPTRG00000002904.6
OG0000734	ENSGALG00000029646.2	ENSPTRG00000012241.6
OG0000735	ENSGALG00000027630.3	ENSPTRG00000020921.7
OG0000735	ENSGALG00000037869.2	ENSPTRG00000001359.5, ENSPTRG00000043694.1
OG0000736	ENSGALG00000029341.2	ENSPTRG00000014540.6
OG0000736	ENSGALG00000007037.5	ENSPTRG00000003984.6
OG0000737	ENSGALG00000038757.2	ENSPTRG00000005104.4
OG0000737	ENSGALG00000011132.6	ENSPTRG00000039358.2, ENSPTRG00000052304.1
OG0000739	ENSGALG00000000371.6	ENSPTRG00000047862.1, ENSPTRG00000009311.6
OG0000739	ENSGALG00000005657.5	ENSPTRG00000019043.6
OG0000740	ENSGALG00000015293.6	ENSPTRG00000015163.6
OG0000740	ENSGALG00000001203.6	ENSPTRG00000004475.4
OG0000741	ENSGALG00000011812.5	ENSPTRG00000044013.1, ENSPTRG00000051835.1, ENSPTRG00000051496.1, ENSPTRG00000034249.3
OG0000742	ENSGALG00000022557.4	ENSPTRG00000050183.1, ENSPTRG00000028539.3
OG0000743	ENSGALG00000007331.6	ENSPTRG00000002392.7
OG0000744	ENSGALG00000005490.7	ENSPTRG00000044130.1, ENSPTRG00000050277.1, ENSPTRG00000051295.1, ENSPTRG00000050569.1, ENSPTRG00000042923.1, ENSPTRG00000046517.1, ENSPTRG00000047742.1, ENSPTRG00000045169.1, ENSPTRG00000052871.1
OG0000745	ENSGALG00000039826.2	ENSPTRG00000012265.6
OG0000745	ENSGALG00000014136.3	ENSPTRG00000046448.1, ENSPTRG00000016036.7
OG0000746	ENSGALG00000017181.6	ENSPTRG00000004223.4
OG0000746	ENSGALG00000014078.6	ENSPTRG00000016051.5
OG0000747	ENSGALG00000010230.6	ENSPTRG00000000673.6
OG0000747	ENSGALG00000027658.3	ENSPTRG00000020911.4
OG0000748	ENSGALG00000017291.6	ENSPTRG00000004796.5
OG0000748	ENSGALG00000005353.6	ENSPTRG00000024190.5
OG0000749	ENSGALG00000000857.7	ENSPTRG00000009295.6
OG0000749	ENSGALG00000008791.6	ENSPTRG00000002319.6
OG0000750	ENSGALG00000042894.3	ENSPTRG00000009272.6
OG0000750	ENSGALG00000019662.5	ENSPTRG00000019371.5, ENSPTRG00000050572.1
OG0000751	ENSGALG00000019797.6, ENSGALG00000005476.6	ENSPTRG00000014861.5
OG0000753	ENSGALG00000009549.4	ENSPTRG00000015582.5
OG0000753	ENSGALG00000017009.7	ENSPTRG00000005878.4
OG0000754	ENSGALG00000012998.6	ENSPTRG00000004519.4
OG0000754	ENSGALG00000034168.2	ENSPTRG00000045050.1
OG0000755	ENSGALG00000008793.5	ENSPTRG00000013290.6
OG0000755	ENSGALG00000010150.6	ENSPTRG00000006290.4
OG0000756	ENSGALG00000039335.2	ENSPTRG00000047433.1
OG0000757	ENSGALG00000012769.6	ENSPTRG00000005354.6
OG0000757	ENSGALG00000000142.6	ENSPTRG00000001089.5
OG0000758	ENSGALG00000004604.6	ENSPTRG00000021442.7
OG0000758	ENSGALG00000006188.7	ENSPTRG00000041247.2
OG0000759	ENSGALG00000042020.2, ENSGALG00000012420.6	ENSPTRG00000014343.4
OG0000760	ENSGALG00000016702.7	ENSPTRG00000050450.1
OG0000760	ENSGALG00000034512.2	ENSPTRG00000015429.6
OG0000761	ENSGALG00000047878.1	ENSPTRG00000034311.3, ENSPTRG00000046163.1, ENSPTRG00000009256.5, ENSPTRG00000051638.1, ENSPTRG00000051416.1, ENSPTRG00000009573.7, ENSPTRG00000041217.2
OG0000763	ENSGALG00000003777.6	ENSPTRG00000003441.6
OG0000763	ENSGALG00000009601.7	ENSPTRG00000004848.5
OG0000764	ENSGALG00000015364.6	ENSPTRG00000015197.5
OG0000764	ENSGALG00000001431.6	ENSPTRG00000018167.5
OG0000765	ENSGALG00000016562.7	ENSPTRG00000021683.5
OG0000765	ENSGALG00000016563.6	ENSPTRG00000021682.5, ENSPTRG00000044489.1
OG0000766	ENSGALG00000016285.6	ENSPTRG00000039094.2, ENSPTRG00000042842.1, ENSPTRG00000023546.4, ENSPTRG00000049090.1, ENSPTRG00000044153.1, ENSPTRG00000048546.1
OG0000768	ENSGALG00000042875.3	ENSPTRG00000047359.1, ENSPTRG00000048008.1, ENSPTRG00000048984.1, ENSPTRG00000050599.1
OG0000768	ENSGALG00000010745.4	ENSPTRG00000016597.5
OG0000769	ENSGALG00000017238.6	ENSPTRG00000004153.6
OG0000769	ENSGALG00000012297.6	ENSPTRG00000018684.7
OG0000770	ENSGALG00000004161.7	ENSPTRG00000051825.1, ENSPTRG00000007123.4
OG0000771	ENSGALG00000054848.1	ENSPTRG00000020961.7
OG0000772	ENSGALG00000009368.6	ENSPTRG00000006504.6
OG0000772	ENSGALG00000039772.3	ENSPTRG00000002161.6
OG0000773	ENSGALG00000009292.7, ENSGALG00000046931.1	ENSPTRG00000006516.3, ENSPTRG00000030702.4, ENSPTRG00000006518.4
OG0000774	ENSGALG00000012072.7, ENSGALG00000026422.3	ENSPTRG00000015297.6
OG0000775	ENSGALG00000002197.7	ENSPTRG00000046378.1, ENSPTRG00000034281.3, ENSPTRG00000047416.1, ENSPTRG00000042970.1, ENSPTRG00000049153.1, ENSPTRG00000052422.1, ENSPTRG00000052386.1, ENSPTRG00000051964.1, ENSPTRG00000052368.1, ENSPTRG00000044889.1
OG0000776	ENSGALG00000015722.6	ENSPTRG00000045674.1
OG0000778	ENSGALG00000009275.7	ENSPTRG00000002040.5
OG0000778	ENSGALG00000010282.6	ENSPTRG00000018214.6
OG0000779	ENSGALG00000036395.3, ENSGALG00000048919.1, ENSGALG00000049483.1, ENSGALG00000053628.1, ENSGALG00000042956.2, ENSGALG00000050359.1, ENSGALG00000048288.1	ENSPTRG00000044511.1, ENSPTRG00000049386.1, ENSPTRG00000047614.1
OG0000784	ENSGALG00000053457.1	ENSPTRG00000017346.7
OG0000790	ENSGALG00000003959.5	ENSPTRG00000010642.4
OG0000791	ENSGALG00000004200.6	ENSPTRG00000010319.6
OG0000791	ENSGALG00000007437.6	ENSPTRG00000007182.6
OG0000792	ENSGALG00000007615.4	ENSPTRG00000044358.1
OG0000792	ENSGALG00000000613.6	ENSPTRG00000010422.5
OG0000793	ENSGALG00000030563.2, ENSGALG00000050374.1	ENSPTRG00000000257.7
OG0000794	ENSGALG00000011164.6	ENSPTRG00000019030.5
OG0000794	ENSGALG00000009293.6	ENSPTRG00000012659.6
OG0000795	ENSGALG00000038574.2	ENSPTRG00000049499.1
OG0000796	ENSGALG00000001019.6	ENSPTRG00000010219.4
OG0000796	ENSGALG00000006020.7	ENSPTRG00000007389.5
OG0000797	ENSGALG00000041808.2	ENSPTRG00000052288.1
OG0000797	ENSGALG00000017271.7	ENSPTRG00000004565.6
OG0000798	ENSGALG00000004442.6	ENSPTRG00000041040.2, ENSPTRG00000050687.1, ENSPTRG00000002585.7
OG0000799	ENSGALG00000005064.7	ENSPTRG00000008860.3
OG0000799	ENSGALG00000021539.6	ENSPTRG00000009678.6
OG0000800	ENSGALG00000032410.3	ENSPTRG00000008470.6
OG0000800	ENSGALG00000033091.3	ENSPTRG00000020416.6
OG0000801	ENSGALG00000001917.7	ENSPTRG00000019322.6, ENSPTRG00000046806.1
OG0000804	ENSGALG00000004578.6	ENSPTRG00000001703.7
OG0000804	ENSGALG00000001225.6	ENSPTRG00000021342.7
OG0000805	ENSGALG00000043675.2	ENSPTRG00000016207.6
OG0000805	ENSGALG00000030603.2	ENSPTRG00000012011.6
OG0000806	ENSGALG00000050728.1	ENSPTRG00000001204.5
OG0000806	ENSGALG00000008007.6	ENSPTRG00000007215.5
OG0000808	ENSGALG00000008574.7	ENSPTRG00000051995.1, ENSPTRG00000048842.1, ENSPTRG00000049337.1
OG0000809	ENSGALG00000036587.2	ENSPTRG00000001740.4
OG0000809	ENSGALG00000003928.6	ENSPTRG00000021546.6
OG0000810	ENSGALG00000039698.2	ENSPTRG00000049206.1
OG0000810	ENSGALG00000049000.1, ENSGALG00000014975.7	ENSPTRG00000052020.1, ENSPTRG00000031262.3
OG0000811	ENSGALG00000011289.5	ENSPTRG00000014694.5
OG0000811	ENSGALG00000028971.3	ENSPTRG00000009189.6
OG0000812	ENSGALG00000011744.7	ENSPTRG00000015311.6
OG0000812	ENSGALG00000031495.2	ENSPTRG00000016735.6
OG0000814	ENSGALG00000032313.3	ENSPTRG00000014367.4
OG0000815	ENSGALG00000007906.5	ENSPTRG00000022726.5
OG0000816	ENSGALG00000034501.2	ENSPTRG00000001382.7
OG0000817	ENSGALG00000016810.6	ENSPTRG00000012336.6
OG0000817	ENSGALG00000009692.6	ENSPTRG00000016587.4
OG0000818	ENSGALG00000003566.6	ENSPTRG00000009546.6
OG0000818	ENSGALG00000004655.6	ENSPTRG00000019444.4
OG0000819	ENSGALG00000008985.6	ENSPTRG00000046206.1, ENSPTRG00000019376.6
OG0000820	ENSGALG00000038364.3	ENSPTRG00000020531.4
OG0000820	ENSGALG00000037402.3	ENSPTRG00000046307.1
OG0000821	ENSGALG00000004701.4	ENSPTRG00000021436.7
OG0000822	ENSGALG00000005992.7	ENSPTRG00000007408.6
OG0000822	ENSGALG00000004339.6	ENSPTRG00000017010.6
OG0000823	ENSGALG00000024332.4	ENSPTRG00000010153.5
OG0000823	ENSGALG00000001668.7, ENSGALG00000048542.1	ENSPTRG00000020870.3
OG0000824	ENSGALG00000015602.6	ENSPTRG00000024170.5
OG0000824	ENSGALG00000008352.6	ENSPTRG00000044148.1, ENSPTRG00000047722.1, ENSPTRG00000052429.1
OG0000825	ENSGALG00000025999.4	ENSPTRG00000048565.1, ENSPTRG00000022575.3, ENSPTRG00000047787.1
OG0000826	ENSGALG00000006886.2	ENSPTRG00000022073.5
OG0000826	ENSGALG00000037015.2	ENSPTRG00000005924.6
OG0000827	ENSGALG00000044064.2	ENSPTRG00000016973.6
OG0000827	ENSGALG00000037712.2	ENSPTRG00000010683.6
OG0000828	ENSGALG00000012137.6	ENSPTRG00000006378.7
OG0000830	ENSGALG00000009551.7	ENSPTRG00000023476.6
OG0000830	ENSGALG00000009722.7	ENSPTRG00000019422.7
OG0000831	ENSGALG00000042199.2	ENSPTRG00000013578.6
OG0000831	ENSGALG00000042396.3	ENSPTRG00000016692.6
OG0000832	ENSGALG00000008684.7	ENSPTRG00000015718.6, ENSPTRG00000048517.1, ENSPTRG00000008694.6, ENSPTRG00000051629.1, ENSPTRG00000043870.1
OG0000833	ENSGALG00000006939.6	ENSPTRG00000002243.7
OG0000834	ENSGALG00000033338.2	ENSPTRG00000008084.6
OG0000835	ENSGALG00000004472.6	ENSPTRG00000023115.5
OG0000835	ENSGALG00000007038.5	ENSPTRG00000021297.7
OG0000836	ENSGALG00000010243.6	ENSPTRG00000000675.6
OG0000838	ENSGALG00000042213.2	ENSPTRG00000014221.6
OG0000838	ENSGALG00000042125.2	ENSPTRG00000009021.6, ENSPTRG00000043794.1, ENSPTRG00000047694.1
OG0000839	ENSGALG00000051008.1	ENSPTRG00000014246.6, ENSPTRG00000034037.3, ENSPTRG00000014247.6, ENSPTRG00000034178.3
OG0000840	ENSGALG00000042833.2	ENSPTRG00000018097.4
OG0000840	ENSGALG00000040023.3	ENSPTRG00000050982.1
OG0000841	ENSGALG00000004833.5	ENSPTRG00000000617.6
OG0000841	ENSGALG00000040866.2	ENSPTRG00000015736.5
OG0000842	ENSGALG00000004171.6	ENSPTRG00000007122.6
OG0000843	ENSGALG00000004270.7	ENSPTRG00000007113.6
OG0000843	ENSGALG00000015147.7	ENSPTRG00000021023.6
OG0000844	ENSGALG00000002479.6	ENSPTRG00000002682.7
OG0000844	ENSGALG00000047947.1, ENSGALG00000015366.5	ENSPTRG00000012134.4
OG0000845	ENSGALG00000005205.6	ENSPTRG00000046224.1, ENSPTRG00000009480.6
OG0000845	ENSGALG00000008217.6	ENSPTRG00000005501.6
OG0000846	ENSGALG00000006455.6	ENSPTRG00000045581.1, ENSPTRG00000045314.1, ENSPTRG00000042997.1, ENSPTRG00000051286.1, ENSPTRG00000042957.1
OG0000848	ENSGALG00000053281.1	ENSPTRG00000020360.5
OG0000848	ENSGALG00000021686.5, ENSGALG00000027036.3	ENSPTRG00000018563.6
OG0000849	ENSGALG00000002496.6, ENSGALG00000002503.6	ENSPTRG00000002673.6, ENSPTRG00000002671.7
OG0000850	ENSGALG00000002370.7	ENSPTRG00000002687.7
OG0000850	ENSGALG00000010122.7	ENSPTRG00000020034.7
OG0000851	ENSGALG00000006542.7	ENSPTRG00000043595.1
OG0000851	ENSGALG00000012092.7	ENSPTRG00000015446.7
OG0000852	ENSGALG00000012112.6	ENSPTRG00000012401.6
OG0000852	ENSGALG00000019663.5	ENSPTRG00000041316.2, ENSPTRG00000044773.1
OG0000853	ENSGALG00000028810.4	ENSPTRG00000052818.1, ENSPTRG00000044910.1
OG0000853	ENSGALG00000002495.7	ENSPTRG00000052641.1
OG0000854	ENSGALG00000004387.7	ENSPTRG00000034458.3
OG0000855	ENSGALG00000036742.2	ENSPTRG00000049139.1, ENSPTRG00000019482.5, ENSPTRG00000019301.6
OG0000855	ENSGALG00000007964.6	ENSPTRG00000051632.1
OG0000856	ENSGALG00000005349.6	ENSPTRG00000007563.6
OG0000856	ENSGALG00000045510.2	ENSPTRG00000007564.6
OG0000857	ENSGALG00000020703.5	ENSPTRG00000012587.5
OG0000857	ENSGALG00000013100.6	ENSPTRG00000019191.6
OG0000858	ENSGALG00000013265.6	ENSPTRG00000004761.5
OG0000858	ENSGALG00000046826.1	ENSPTRG00000011269.6
OG0000859	ENSGALG00000014977.6	ENSPTRG00000015264.6
OG0000860	ENSGALG00000042967.3	ENSPTRG00000000599.5
OG0000860	ENSGALG00000016549.6	ENSPTRG00000021698.6, ENSPTRG00000045235.1
OG0000861	ENSGALG00000004017.5	ENSPTRG00000001734.5
OG0000861	ENSGALG00000029238.3	ENSPTRG00000001736.7
OG0000863	ENSGALG00000028133.4	ENSPTRG00000048563.1
OG0000863	ENSGALG00000008015.7	ENSPTRG00000034248.3
OG0000864	ENSGALG00000039182.3	ENSPTRG00000015639.6
OG0000864	ENSGALG00000040006.2	ENSPTRG00000022475.6, ENSPTRG00000044234.1
OG0000865	ENSGALG00000040005.2	ENSPTRG00000018180.6
OG0000866	ENSGALG00000036739.2	ENSPTRG00000050842.1, ENSPTRG00000043458.1
OG0000867	ENSGALG00000005329.6	ENSPTRG00000000999.4
OG0000867	ENSGALG00000001317.6	ENSPTRG00000021134.6
OG0000868	ENSGALG00000039363.2	ENSPTRG00000015338.5
OG0000868	ENSGALG00000035345.2	ENSPTRG00000005378.6
OG0000869	ENSGALG00000035492.2	ENSPTRG00000019087.6
OG0000869	ENSGALG00000007246.6	ENSPTRG00000013583.6
OG0000870	ENSGALG00000005550.4	ENSPTRG00000015722.6
OG0000870	ENSGALG00000016803.6	ENSPTRG00000012323.6
OG0000871	ENSGALG00000002921.7	ENSPTRG00000012880.5
OG0000871	ENSGALG00000032570.2	ENSPTRG00000019197.6
OG0000872	ENSGALG00000008418.6	ENSPTRG00000050910.1
OG0000872	ENSGALG00000012559.5	ENSPTRG00000014294.6
OG0000873	ENSGALG00000034119.2	ENSPTRG00000029189.4
OG0000873	ENSGALG00000052798.1	ENSPTRG00000014005.6
OG0000874	ENSGALG00000012007.5	ENSPTRG00000012724.5, ENSPTRG00000051961.1, ENSPTRG00000045923.1, ENSPTRG00000046571.1, ENSPTRG00000046723.1, ENSPTRG00000044653.1, ENSPTRG00000045136.1
OG0000875	ENSGALG00000001803.6	ENSPTRG00000012429.5
OG0000876	ENSGALG00000011738.7	ENSPTRG00000004729.5
OG0000876	ENSGALG00000008443.6	ENSPTRG00000009773.5
OG0000877	ENSGALG00000035493.3	ENSPTRG00000005284.5
OG0000878	ENSGALG00000010221.6	ENSPTRG00000000669.4
OG0000878	ENSGALG00000043838.2, ENSGALG00000014734.5, ENSGALG00000027170.3	ENSPTRG00000016910.5
OG0000879	ENSGALG00000010619.5	ENSPTRG00000000737.7
OG0000879	ENSGALG00000049794.1	ENSPTRG00000010571.6
