Orthogroup	G_gallus.pep	N_naja.pep
OG0001031	ENSGALG00000027757.3	Nana21686-RA
OG0001034	ENSGALG00000013007.6	Nana27516-RA
OG0001035	ENSGALG00000006834.6	Nana20366-RB, Nana20366-RA
OG0001036	ENSGALG00000005850.6	Nana14924-RA
OG0001036	ENSGALG00000004088.6	Nana36848-RA
OG0001037	ENSGALG00000026493.3	Nana03803-RA, Nana03803-RB
OG0001038	ENSGALG00000012638.6	Nana27358-RA
OG0001038	ENSGALG00000008436.6	Nana04862-RB, Nana04862-RA
OG0001039	ENSGALG00000015542.6	Nana11390-RA
OG0001039	ENSGALG00000005470.6	Nana14880-RA
OG0001040	ENSGALG00000011016.7	Nana14654-RA
OG0001041	ENSGALG00000025735.3	Nana27138-RA
OG0001041	ENSGALG00000004514.5	Nana09735-RA
OG0001042	ENSGALG00000011727.7	Nana27137-RA
OG0001042	ENSGALG00000029618.3	Nana04002-RA
OG0001043	ENSGALG00000009480.6	Nana29707-RA
OG0001043	ENSGALG00000002335.6	Nana08576-RA
OG0001044	ENSGALG00000007077.6	Nana04276-RD, Nana04276-RA, Nana04276-RC, Nana04276-RB
OG0001045	ENSGALG00000001550.6	Nana13857-RG, Nana13857-RF, Nana13857-RA, Nana13857-RC, Nana13857-RB, Nana13857-RD
OG0001046	ENSGALG00000001860.6	Nana13978-RA
OG0001046	ENSGALG00000008328.6	Nana29272-RA
OG0001047	ENSGALG00000008294.6	Nana08166-RA
OG0001048	ENSGALG00000029621.2	Nana08623-RA
OG0001048	ENSGALG00000040444.2	Nana29246-RA, Nana29246-RB
OG0001049	ENSGALG00000016231.6	Nana24445-RB, Nana24445-RC, Nana24445-RA, Nana24445-RD
OG0001051	ENSGALG00000017234.7	Nana25343-RB
OG0001051	ENSGALG00000054821.1	Nana25342-RA
OG0001052	ENSGALG00000028018.3	Nana38595-RA
OG0001052	ENSGALG00000012300.6	Nana01829-RA
OG0001053	ENSGALG00000001962.7	Nana06106-RC, Nana06106-RD, Nana06106-RB, Nana06106-RA
OG0001054	ENSGALG00000011855.6	Nana05790-RA
OG0001055	ENSGALG00000032598.2	Nana10297-RA
OG0001055	ENSGALG00000007712.6	Nana03259-RA
OG0001056	ENSGALG00000010766.5	Nana05549-RA, Nana05549-RB, Nana05549-RC, Nana05549-RE, Nana05549-RD, Nana05549-RF, Nana05549-RG
OG0001057	ENSGALG00000010680.7	Nana05515-RA, Nana05518-RA
OG0001057	ENSGALG00000010020.6	Nana00987-RA
OG0001058	ENSGALG00000010639.6	Nana05486-RA
OG0001058	ENSGALG00000008139.6	Nana00864-RA
OG0001059	ENSGALG00000039734.2	Nana10025-RB, Nana10025-RA
OG0001059	ENSGALG00000010902.6	Nana03457-RA
OG0001060	ENSGALG00000033567.2	Nana00973-RA, Nana00973-RB
OG0001061	ENSGALG00000026978.4	Nana08512-RA
OG0001062	ENSGALG00000039742.2	Nana07502-RA
OG0001064	ENSGALG00000039029.2, ENSGALG00000030506.2	Nana25429-RA
OG0001069	ENSGALG00000050752.1	Nana04037-RA, Nana04042-RA, Nana04041-RA, Nana04044-RC, Nana04044-RA, Nana04044-RD, Nana04044-RB, Nana04047-RB, Nana04047-RA
OG0001083	ENSGALG00000050605.1	Nana19994-RA, Nana19994-RB
OG0001084	ENSGALG00000009152.6	Nana19679-RA
OG0001085	ENSGALG00000027655.3	Nana14477-RA, Nana14475-RA
OG0001086	ENSGALG00000012917.7	Nana15698-RA
OG0001086	ENSGALG00000032022.3	Nana15671-RA
OG0001087	ENSGALG00000004917.6	Nana00177-RA
OG0001088	ENSGALG00000017370.6	Nana33124-RA
OG0001089	ENSGALG00000015598.6	Nana12130-RA
OG0001089	ENSGALG00000008262.6	Nana33605-RA
OG0001090	ENSGALG00000015145.5	Nana11645-RA
OG0001091	ENSGALG00000016471.7	Nana02614-RA
OG0001092	ENSGALG00000011511.7	Nana05722-RA
OG0001093	ENSGALG00000033663.2	Nana28463-RB, Nana28463-RA
OG0001094	ENSGALG00000034282.2	Nana30964-RA
OG0001095	ENSGALG00000026241.3	Nana06232-RA
OG0001095	ENSGALG00000015551.6	Nana11381-RA
OG0001096	ENSGALG00000034747.2	Nana11988-RA
OG0001097	ENSGALG00000046313.2	Nana34606-RA
OG0001098	ENSGALG00000003732.7	Nana36877-RA
OG0001100	ENSGALG00000034502.3	Nana17654-RA
OG0001101	ENSGALG00000014023.6	Nana17797-RA
OG0001101	ENSGALG00000033447.3	Nana28158-RA
OG0001102	ENSGALG00000014516.6, ENSGALG00000006912.5	Nana19402-RA
OG0001104	ENSGALG00000036680.2	Nana32769-RA
OG0001104	ENSGALG00000034550.3	Nana32770-RA
OG0001105	ENSGALG00000007646.6	Nana25067-RA, Nana32041-RA
OG0001105	ENSGALG00000017091.5	Nana25063-RA, Nana25064-RA
OG0001106	ENSGALG00000043772.3, ENSGALG00000028815.3	Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB
OG0001107	ENSGALG00000014878.6	Nana02033-RA
OG0001107	ENSGALG00000041564.2	Nana11062-RA
OG0001108	ENSGALG00000032789.3	Nana02264-RA
OG0001108	ENSGALG00000014776.6	Nana11055-RA
OG0001109	ENSGALG00000015096.7	Nana11497-RA
OG0001110	ENSGALG00000013753.7	Nana16034-RA
OG0001110	ENSGALG00000007786.5	Nana13586-RA
OG0001111	ENSGALG00000005646.6	Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK
OG0001112	ENSGALG00000029610.2	Nana09815-RA
OG0001112	ENSGALG00000040648.3	Nana01531-RA
OG0001113	ENSGALG00000042321.2	Nana16336-RA, Nana16336-RB
OG0001114	ENSGALG00000032348.2	Nana23976-RA
OG0001115	ENSGALG00000026891.4	Nana08407-RA
OG0001115	ENSGALG00000012989.7	Nana27500-RA
OG0001116	ENSGALG00000034179.2	Nana31238-RB, Nana31238-RA
OG0001117	ENSGALG00000002182.6	Nana14988-RA
OG0001117	ENSGALG00000001080.3	Nana36519-RA
OG0001118	ENSGALG00000000195.7	Nana28094-RA, Nana28094-RB
OG0001118	ENSGALG00000037642.2	Nana02697-RA
OG0001119	ENSGALG00000008875.6	Nana02749-RA, Nana36026-RA, Nana36026-RB
OG0001121	ENSGALG00000011889.6	Nana05803-RA
OG0001121	ENSGALG00000010000.6	Nana01003-RA
OG0001124	ENSGALG00000033956.3	Nana09016-RA
OG0001124	ENSGALG00000023621.4	Nana19852-RA
OG0001125	ENSGALG00000021972.5	Nana38193-RA, Nana38191-RA
OG0001125	ENSGALG00000002083.6	Nana27551-RA
OG0001127	ENSGALG00000054289.1	Nana29942-RA
OG0001128	ENSGALG00000004033.6	Nana08783-RA, Nana08784-RA
OG0001130	ENSGALG00000016391.6	Nana25844-RA
OG0001130	ENSGALG00000007028.6	Nana32200-RA
OG0001131	ENSGALG00000027462.3	Nana23112-RA
OG0001131	ENSGALG00000034163.3	Nana22266-RA
OG0001132	ENSGALG00000015211.5	Nana16280-RA
OG0001132	ENSGALG00000054948.1, ENSGALG00000038191.2	Nana00706-RA
OG0001133	ENSGALG00000003092.6	Nana28410-RA
OG0001133	ENSGALG00000003308.6	Nana05995-RA
OG0001134	ENSGALG00000009207.6	Nana17929-RA
OG0001134	ENSGALG00000034004.2	Nana25656-RA
OG0001135	ENSGALG00000029020.3	Nana19597-RA
OG0001135	ENSGALG00000044574.2	Nana28386-RA
OG0001136	ENSGALG00000008431.6	Nana32118-RA
OG0001136	ENSGALG00000009913.7	Nana18002-RA
OG0001138	ENSGALG00000030712.2	Nana10327-RA
OG0001138	ENSGALG00000035584.3	Nana03294-RA
OG0001139	ENSGALG00000011379.6	Nana14742-RB, Nana14742-RA
OG0001140	ENSGALG00000012227.6	Nana08717-RA, Nana17783-RA
OG0001141	ENSGALG00000008835.6	Nana14800-RA
OG0001141	ENSGALG00000048879.1	Nana09279-RA
OG0001142	ENSGALG00000047060.1	Nana30382-RA
OG0001142	ENSGALG00000006490.7	Nana28738-RA
OG0001143	ENSGALG00000015014.6	Nana12163-RA
OG0001144	ENSGALG00000054336.1	Nana17440-RA
OG0001145	ENSGALG00000036897.2	Nana27289-RA
OG0001145	ENSGALG00000002728.4	Nana09588-RB, Nana09588-RA
OG0001146	ENSGALG00000051279.1	Nana10405-RA
OG0001147	ENSGALG00000039130.2	Nana14264-RA
OG0001148	ENSGALG00000038495.2	Nana02545-RA
OG0001149	ENSGALG00000038155.2	Nana28144-RA
OG0001149	ENSGALG00000005070.6	Nana18911-RA, Nana18911-RB
OG0001150	ENSGALG00000038400.2	Nana36107-RD
OG0001151	ENSGALG00000030791.2	Nana32319-RA
OG0001151	ENSGALG00000016937.8	Nana26559-RA
OG0001152	ENSGALG00000000317.6	Nana28336-RA
OG0001153	ENSGALG00000006565.7	Nana35546-RA
OG0001154	ENSGALG00000004740.6	Nana33147-RA
OG0001154	ENSGALG00000004710.5	Nana33144-RB, Nana33144-RA
OG0001155	ENSGALG00000026722.4	Nana35470-RA
OG0001155	ENSGALG00000003657.6	Nana00088-RA
OG0001156	ENSGALG00000036322.2	Nana32668-RB, Nana32668-RA
OG0001156	ENSGALG00000010370.6	Nana20400-RA
OG0001157	ENSGALG00000005258.5	Nana33853-RA
OG0001158	ENSGALG00000005253.6	Nana33850-RA
OG0001158	ENSGALG00000047483.1	Nana09655-RA, Nana27317-RA
OG0001159	ENSGALG00000032850.2	Nana16653-RA
OG0001159	ENSGALG00000004098.5	Nana13681-RA
OG0001160	ENSGALG00000032319.3	Nana10842-RB
OG0001161	ENSGALG00000034294.2	Nana16541-RA
OG0001161	ENSGALG00000002237.6	Nana31018-RA
OG0001162	ENSGALG00000016138.6	Nana24564-RA
OG0001162	ENSGALG00000007314.6	Nana29081-RA
OG0001163	ENSGALG00000000120.6	Nana28087-RA, Nana28086-RA
OG0001163	ENSGALG00000005981.4	Nana26761-RA
OG0001164	ENSGALG00000051442.1	Nana20389-RA, Nana26648-RA
OG0001164	ENSGALG00000027069.3	Nana32708-RB, Nana32708-RC, Nana32708-RA
OG0001165	ENSGALG00000037828.2	Nana00013-RA
OG0001166	ENSGALG00000034610.2	Nana16424-RA
OG0001166	ENSGALG00000004663.6	Nana13637-RA
OG0001167	ENSGALG00000027423.3	Nana11276-RA
OG0001167	ENSGALG00000001239.6	Nana09101-RA
OG0001168	ENSGALG00000025884.3	Nana03251-RA
OG0001168	ENSGALG00000031958.2	Nana10092-RA
OG0001169	ENSGALG00000005869.7	Nana08334-RA
OG0001170	ENSGALG00000007902.6	Nana31951-RA
OG0001170	ENSGALG00000017021.6	Nana02671-RA
OG0001171	ENSGALG00000015132.3	Nana16229-RA
OG0001171	ENSGALG00000005102.6	Nana13490-RA
OG0001172	ENSGALG00000012984.7	Nana12579-RA
OG0001172	ENSGALG00000031987.2	Nana33127-RA
OG0001173	ENSGALG00000012124.5	Nana05846-RA, Nana05846-RB
OG0001173	ENSGALG00000008837.5	Nana02840-RA
OG0001174	ENSGALG00000016900.6	Nana26363-RA
OG0001174	ENSGALG00000006080.6	Nana32610-RA
OG0001175	ENSGALG00000010930.6	Nana03461-RA
OG0001175	ENSGALG00000005979.6	Nana21178-RA
OG0001176	ENSGALG00000026431.3	Nana39284-RA
OG0001178	ENSGALG00000005122.6	Nana34725-RA
OG0001178	ENSGALG00000002709.6	Nana00040-RA
OG0001179	ENSGALG00000035185.2	Nana00603-RA
OG0001179	ENSGALG00000001688.7	Nana35215-RA
OG0001180	ENSGALG00000030007.3	Nana14068-RC, Nana14068-RF, Nana14068-RA, Nana14068-RE
OG0001181	ENSGALG00000014965.5	Nana02065-RA
OG0001181	ENSGALG00000002298.6	Nana29978-RA
OG0001182	ENSGALG00000009309.7	Nana20593-RA
OG0001183	ENSGALG00000041184.2	Nana16009-RA
OG0001183	ENSGALG00000004071.6	Nana31464-RA
OG0001184	ENSGALG00000046823.1	Nana33082-RA
OG0001184	ENSGALG00000018874.4	Nana11895-RA
OG0001185	ENSGALG00000036252.2	Nana18276-RA
OG0001185	ENSGALG00000028994.4	Nana08782-RA
OG0001186	ENSGALG00000034509.2	Nana13789-RA
OG0001186	ENSGALG00000005402.5	Nana31265-RA
OG0001187	ENSGALG00000030379.3	Nana21256-RA
OG0001187	ENSGALG00000037665.3	Nana09906-RA
OG0001190	ENSGALG00000035016.3	Nana02526-RA
OG0001190	ENSGALG00000039474.3	Nana15877-RA
OG0001191	ENSGALG00000038797.2, ENSGALG00000037737.2, ENSGALG00000047924.1, ENSGALG00000041512.2, ENSGALG00000040055.2, ENSGALG00000040737.2, ENSGALG00000050205.1, ENSGALG00000033168.2	Nana13699-RA
OG0001192	ENSGALG00000029017.3	Nana31096-RA, Nana31095-RA
OG0001193	ENSGALG00000008648.4	Nana32416-RB, Nana32416-RA
OG0001193	ENSGALG00000032664.2	Nana08930-RA
OG0001194	ENSGALG00000039163.2	Nana36352-RL, Nana36352-RJ, Nana36352-RN, Nana36352-RM, Nana36352-RH, Nana36352-RI, Nana36352-RF, Nana36352-RE, Nana36352-RK, Nana36352-RG
OG0001195	ENSGALG00000034265.2	Nana25025-RA
OG0001195	ENSGALG00000035565.3	Nana18598-RA
OG0001196	ENSGALG00000005438.6	Nana04558-RA
OG0001196	ENSGALG00000014201.7	Nana29494-RA
OG0001197	ENSGALG00000040703.2	Nana07730-RB, Nana07730-RA
OG0001198	ENSGALG00000008807.5	Nana20689-RA
OG0001199	ENSGALG00000030960.2	Nana01634-RA
OG0001199	ENSGALG00000012367.6	Nana05931-RA
OG0001200	ENSGALG00000036530.2	Nana04145-RD, Nana04145-RH, Nana04145-RG, Nana04145-RF, Nana04145-RE, Nana04145-RI, Nana04145-RC, Nana04145-RB, Nana04145-RA
OG0001201	ENSGALG00000003454.7	Nana09935-RF, Nana09935-RC, Nana09935-RG, Nana09935-RH, Nana09935-RD, Nana09935-RI, Nana09935-RE
OG0001202	ENSGALG00000045507.2, ENSGALG00000049315.1, ENSGALG00000055090.1, ENSGALG00000046353.2, ENSGALG00000052084.1	Nana22636-RA
OG0001203	ENSGALG00000033033.2, ENSGALG00000044606.2	Nana02926-RA
OG0001204	ENSGALG00000015140.6	Nana16242-RA
OG0001205	ENSGALG00000007220.5	Nana04204-RA
OG0001209	ENSGALG00000044293.2	Nana20401-RA
OG0001209	ENSGALG00000054344.1	Nana26008-RA
OG0001210	ENSGALG00000041204.2	Nana23229-RA
OG0001210	ENSGALG00000010961.5	Nana21774-RA
OG0001211	ENSGALG00000054686.1	Nana20383-RA
OG0001212	ENSGALG00000010793.7	Nana05553-RA
OG0001212	ENSGALG00000008445.6	Nana15517-RA
OG0001213	ENSGALG00000011278.6	Nana21939-RA
OG0001213	ENSGALG00000003369.6	Nana23151-RA
OG0001214	ENSGALG00000035535.2	Nana20367-RA
OG0001214	ENSGALG00000016655.6	Nana26011-RA
OG0001215	ENSGALG00000028685.3	Nana15541-RA, Nana03770-RA
OG0001216	ENSGALG00000039327.2	Nana14966-RA
OG0001217	ENSGALG00000004689.6	Nana36799-RA
OG0001217	ENSGALG00000006237.8	Nana14841-RA, Nana14841-RB
OG0001218	ENSGALG00000024482.4	Nana11150-RA
OG0001218	ENSGALG00000011047.6	Nana14667-RA
OG0001220	ENSGALG00000049287.1	Nana09048-RA
OG0001220	ENSGALG00000020754.5	Nana19961-RA
OG0001221	ENSGALG00000007515.6	Nana19942-RA
OG0001221	ENSGALG00000003473.6	Nana28210-RA, Nana28207-RA
OG0001222	ENSGALG00000030515.3	Nana27061-RA
OG0001223	ENSGALG00000008409.6	Nana19780-RA, Nana19779-RA
OG0001224	ENSGALG00000008465.6	Nana19766-RA
OG0001224	ENSGALG00000008434.7	Nana19773-RA
OG0001225	ENSGALG00000012219.5	Nana17767-RA
OG0001225	ENSGALG00000004569.6	Nana19197-RA
OG0001226	ENSGALG00000010647.6	Nana14518-RA
OG0001226	ENSGALG00000021843.4	Nana11831-RA
OG0001228	ENSGALG00000005750.6	Nana04529-RA
OG0001228	ENSGALG00000002615.7	Nana14214-RA
OG0001229	ENSGALG00000014094.6	Nana29222-RA
OG0001229	ENSGALG00000000523.6	Nana14252-RA
OG0001230	ENSGALG00000043219.2	Nana23207-RA
OG0001231	ENSGALG00000028908.4	Nana21842-RA
OG0001231	ENSGALG00000037619.2	Nana23212-RA
OG0001232	ENSGALG00000000606.6	Nana13918-RA
OG0001233	ENSGALG00000044260.2	Nana26171-RD, Nana26171-RB
OG0001234	ENSGALG00000001916.6	Nana09157-RA
OG0001234	ENSGALG00000041121.2	Nana18325-RA
OG0001235	ENSGALG00000013813.6	Nana01871-RA
OG0001235	ENSGALG00000027960.3	Nana25887-RA
OG0001236	ENSGALG00000014186.7	Nana04636-RA, Nana29501-RA
OG0001237	ENSGALG00000016522.6	Nana25864-RA
OG0001237	ENSGALG00000011524.5	Nana17582-RA
OG0001238	ENSGALG00000016198.7	Nana24534-RB, Nana24534-RA, Nana24534-RC
OG0001239	ENSGALG00000042005.3	Nana00674-RE, Nana00674-RB, Nana00674-RA, Nana00674-RD
OG0001240	ENSGALG00000017229.7	Nana25325-RA
OG0001240	ENSGALG00000013579.6	Nana18168-RA
OG0001241	ENSGALG00000019233.5, ENSGALG00000021314.5	Nana34596-RA
OG0001242	ENSGALG00000017090.6	Nana25059-RA
OG0001244	ENSGALG00000009828.6	Nana01106-RA
OG0001244	ENSGALG00000011840.6	Nana05788-RA
OG0001245	ENSGALG00000009807.6	Nana01114-RA
OG0001245	ENSGALG00000010326.7	Nana05357-RA
OG0001246	ENSGALG00000006526.6	Nana07907-RA
OG0001247	ENSGALG00000009034.6	Nana01306-RA, Nana01305-RA
OG0001247	ENSGALG00000008615.6	Nana05051-RA
OG0001249	ENSGALG00000030475.2	Nana09410-RF, Nana09410-RA
OG0001250	ENSGALG00000032170.2, ENSGALG00000043064.2	Nana36744-RA
OG0001250	ENSGALG00000030886.2	Nana36743-RA
OG0001251	ENSGALG00000014887.6	Nana02037-RA
OG0001252	ENSGALG00000001364.6	Nana09088-RB, Nana09088-RA, Nana09088-RC
OG0001253	ENSGALG00000003862.6	Nana03034-RA, Nana22295-RA, Nana03033-RA, Nana03032-RA
OG0001254	ENSGALG00000001838.6	Nana28036-RD, Nana28036-RA, Nana28036-RB, Nana28036-RC
OG0001257	ENSGALG00000011200.6	Nana01654-RA
OG0001257	ENSGALG00000009626.7	Nana05106-RA, Nana05106-RB
OG0001258	ENSGALG00000046862.1	Nana32945-RA, Nana32945-RB, Nana32945-RD
OG0001258	ENSGALG00000029450.3	Nana36049-RA
OG0001259	ENSGALG00000033001.2	Nana34333-RA
OG0001260	ENSGALG00000037733.3	Nana06434-RA
OG0001260	ENSGALG00000003336.6	Nana32795-RA, Nana32795-RB, Nana32795-RC
OG0001265	ENSGALG00000004180.7	Nana36837-RB, Nana36458-RA
OG0001265	ENSGALG00000004165.4	Nana36843-RA
OG0001276	ENSGALG00000030516.2	Nana17486-RA, Nana17485-RA
OG0001276	ENSGALG00000009302.7	Nana19637-RA
OG0001277	ENSGALG00000009231.6	Nana19671-RA
OG0001280	ENSGALG00000002466.6	Nana37488-RA
OG0001281	ENSGALG00000051431.1	Nana34141-RB, Nana34141-RA
OG0001282	ENSGALG00000037837.2	Nana34026-RA
OG0001283	ENSGALG00000031582.3	Nana02830-RA, Nana02830-RB, Nana36123-RB, Nana36123-RA
OG0001284	ENSGALG00000001640.5, ENSGALG00000027533.3	Nana28455-RA, Nana17390-RA
OG0001285	ENSGALG00000016294.6	Nana02396-RA
OG0001287	ENSGALG00000036218.2	Nana01614-RA
OG0001288	ENSGALG00000001024.7	Nana37152-RA
OG0001289	ENSGALG00000000507.6	Nana31807-RA
OG0001290	ENSGALG00000002165.6	Nana12855-RB, Nana12855-RA
OG0001290	ENSGALG00000035935.2	Nana06145-RA
OG0001291	ENSGALG00000006588.7	Nana35544-RA
OG0001291	ENSGALG00000002631.3	Nana00650-RA
OG0001292	ENSGALG00000026468.3	Nana33378-RA
OG0001292	ENSGALG00000026899.3	Nana11849-RA
OG0001293	ENSGALG00000002362.6	Nana08573-RA
OG0001295	ENSGALG00000007647.6	Nana21417-RA
OG0001295	ENSGALG00000009602.6	Nana03435-RA
OG0001297	ENSGALG00000006147.5	Nana04431-RA
OG0001299	ENSGALG00000047117.1, ENSGALG00000047281.1	Nana23701-RB, Nana23701-RA
OG0001300	ENSGALG00000007252.6	Nana33421-RA
OG0001300	ENSGALG00000014958.6	Nana12214-RA
OG0001301	ENSGALG00000040759.2	Nana17269-RA
OG0001301	ENSGALG00000048849.1	Nana19543-RA
OG0001302	ENSGALG00000000430.5	Nana06773-RA
OG0001303	ENSGALG00000033034.3	Nana37264-RA
OG0001304	ENSGALG00000048048.1, ENSGALG00000051882.1	Nana20881-RA
OG0001305	ENSGALG00000039124.3	Nana08883-RA
OG0001305	ENSGALG00000009554.7	Nana18780-RA
OG0001306	ENSGALG00000003073.6	Nana18841-RB
OG0001307	ENSGALG00000009560.4	Nana18782-RA
OG0001308	ENSGALG00000007184.7	Nana08014-RA
OG0001308	ENSGALG00000008941.7	Nana29611-RA
OG0001309	ENSGALG00000029006.3	Nana30321-RB, Nana30321-RA, Nana29315-RA, Nana03607-RA, Nana29312-RA, Nana29314-RA
OG0001310	ENSGALG00000002247.6	Nana30987-RH, Nana30987-RG, Nana30987-RB, Nana30987-RE, Nana30987-RF, Nana30987-RA, Nana30987-RC, Nana30987-RD
OG0001311	ENSGALG00000006638.5	Nana28786-RA
OG0001312	ENSGALG00000032259.2	Nana01015-RA
OG0001312	ENSGALG00000020359.4	Nana05814-RA
OG0001313	ENSGALG00000016967.6	Nana26638-RA
OG0001314	ENSGALG00000002506.5	Nana37502-RA
OG0001315	ENSGALG00000002229.6	Nana02711-RA
OG0001316	ENSGALG00000005521.6	Nana20190-RA
OG0001317	ENSGALG00000036647.2	Nana00613-RA
OG0001318	ENSGALG00000013935.6	Nana01932-RB, Nana01932-RE, Nana01932-RA, Nana01932-RC, Nana01932-RD
OG0001319	ENSGALG00000041722.2	Nana00611-RA
OG0001321	ENSGALG00000029024.3	Nana01953-RA
OG0001321	ENSGALG00000037777.3	Nana16450-RA
OG0001322	ENSGALG00000050405.1, ENSGALG00000047203.1, ENSGALG00000038222.3	Nana09855-RA, Nana09855-RE, Nana09855-RD, Nana09855-RF, Nana09855-RC, Nana09855-RB
OG0001323	ENSGALG00000006007.7	Nana00716-RA
OG0001325	ENSGALG00000045352.2	Nana10384-RA
OG0001326	ENSGALG00000003713.6	Nana37269-RL, Nana37269-RM, Nana37269-RH, Nana37269-RN, Nana37269-RI, Nana37269-RJ, Nana37269-RK
OG0001327	ENSGALG00000007720.7	Nana35437-RA
OG0001327	ENSGALG00000023787.4	Nana00057-RB, Nana00057-RA
OG0001328	ENSGALG00000037946.2	Nana35869-RE
OG0001328	ENSGALG00000040489.2	Nana35869-RA
OG0001329	ENSGALG00000030904.2, ENSGALG00000012407.5	Nana03628-RA
OG0001330	ENSGALG00000016607.5	Nana25947-RA
OG0001331	ENSGALG00000001682.6	Nana23025-RC, Nana23025-RB
OG0001332	ENSGALG00000011645.6	Nana03794-RA
OG0001332	ENSGALG00000032647.2	Nana22269-RA, Nana22271-RA
OG0001334	ENSGALG00000040641.2	Nana17197-RA
OG0001335	ENSGALG00000031519.3	Nana16945-RA
OG0001336	ENSGALG00000003105.5	Nana09967-RA
OG0001336	ENSGALG00000009205.7	Nana34041-RB, Nana34041-RA
OG0001337	ENSGALG00000008902.6	Nana14771-RA
OG0001338	ENSGALG00000000657.5	Nana31834-RJ, Nana31834-RI, Nana31834-RL, Nana31834-RK, Nana31834-RG, Nana31834-RE, Nana31834-RF, Nana31834-RD, Nana31834-RH
OG0001339	ENSGALG00000042112.2	Nana17784-RA
OG0001340	ENSGALG00000028530.3	Nana14799-RA
OG0001341	ENSGALG00000017166.5	Nana25200-RA
OG0001341	ENSGALG00000040784.2	Nana32114-RA
OG0001342	ENSGALG00000043055.3	Nana13656-RA
OG0001343	ENSGALG00000012536.6	Nana22698-RA
OG0001345	ENSGALG00000020906.5	Nana00537-RA
OG0001345	ENSGALG00000036731.3	Nana34930-RA
OG0001346	ENSGALG00000004448.6	Nana15236-RA
OG0001347	ENSGALG00000016761.4, ENSGALG00000043257.3, ENSGALG00000054968.1	Nana26078-RA
OG0001348	ENSGALG00000030878.3	Nana17027-RA
OG0001349	ENSGALG00000021570.3	Nana36488-RA
OG0001349	ENSGALG00000042762.3	Nana30652-RA
OG0001351	ENSGALG00000028015.4	Nana20921-RA
OG0001351	ENSGALG00000002055.7	Nana37462-RA
OG0001352	ENSGALG00000006108.6	Nana32601-RB, Nana32601-RA
OG0001353	ENSGALG00000007912.6	Nana13602-RA
OG0001354	ENSGALG00000001684.6	Nana09446-RA
OG0001355	ENSGALG00000040248.2	Nana16625-RA
OG0001355	ENSGALG00000004474.6	Nana31424-RA
OG0001356	ENSGALG00000003647.7	Nana00085-RA
OG0001356	ENSGALG00000005995.7	Nana00639-RA
OG0001357	ENSGALG00000028830.3	Nana35017-RA
OG0001358	ENSGALG00000037553.3	Nana33066-RA
OG0001359	ENSGALG00000016579.3	Nana25904-RA
OG0001359	ENSGALG00000004918.6	Nana32714-RA
OG0001361	ENSGALG00000008086.5	Nana19833-RA
OG0001362	ENSGALG00000006646.7	Nana34589-RE, Nana34589-RH, Nana34589-RI, Nana34589-RD, Nana34589-RC, Nana34589-RG, Nana34589-RB
OG0001363	ENSGALG00000005352.7	Nana13467-RA
OG0001363	ENSGALG00000014976.6	Nana16183-RA
OG0001364	ENSGALG00000014938.6	Nana16173-RA, Nana16172-RA
OG0001365	ENSGALG00000008883.7	Nana19712-RA
OG0001366	ENSGALG00000034340.2	Nana22126-RA
OG0001367	ENSGALG00000015051.6, ENSGALG00000017104.6	Nana25114-RA
OG0001368	ENSGALG00000048539.1	Nana29210-RA
OG0001368	ENSGALG00000008308.7	Nana08172-RA
OG0001369	ENSGALG00000008806.7	Nana36951-RA
OG0001370	ENSGALG00000004254.6	Nana34816-RA
OG0001372	ENSGALG00000033386.2	Nana04056-RA
OG0001372	ENSGALG00000039724.3	Nana34815-RA
OG0001373	ENSGALG00000004005.6	Nana37203-RC, Nana37203-RD, Nana37203-RB, Nana37203-RA
OG0001374	ENSGALG00000002210.6	Nana33083-RB, Nana33083-RA
OG0001375	ENSGALG00000016392.7	Nana02493-RA
OG0001376	ENSGALG00000006220.6	Nana04415-RA
OG0001377	ENSGALG00000039985.3	Nana31311-RA
OG0001378	ENSGALG00000055010.1	Nana31717-RA
OG0001378	ENSGALG00000038721.2	Nana13788-RA
OG0001380	ENSGALG00000052026.1	Nana11157-RA
OG0001381	ENSGALG00000029675.3	Nana03832-RA
OG0001382	ENSGALG00000042521.2	Nana23277-RA
OG0001383	ENSGALG00000047144.1, ENSGALG00000049713.1, ENSGALG00000019262.5, ENSGALG00000028720.3	Nana32481-RA, Nana32481-RB
OG0001384	ENSGALG00000037301.3	Nana03543-RA
OG0001385	ENSGALG00000008677.8	Nana21484-RA
OG0001385	ENSGALG00000000909.7	Nana22942-RA
OG0001386	ENSGALG00000022702.4	Nana25586-RA
OG0001386	ENSGALG00000014268.4	Nana18490-RA
OG0001387	ENSGALG00000016834.6	Nana26203-RB, Nana26203-RC
OG0001387	ENSGALG00000008744.6	Nana20696-RA
OG0001388	ENSGALG00000008559.6	Nana32396-RA
OG0001389	ENSGALG00000040619.2	Nana04143-RA
OG0001390	ENSGALG00000002145.6	Nana14983-RA
OG0001391	ENSGALG00000033855.2	Nana27604-RA
OG0001392	ENSGALG00000035760.2	Nana37903-RA, Nana37903-RB, Nana23619-RA
