Orthogroup	G_gallus.pep	H_sapiens.pep
OG0002019	ENSGALG00000030844.3	ENSG00000135164.18
OG0002020	ENSGALG00000034889.3	ENSG00000165588.17
OG0002021	ENSGALG00000007788.6	ENSG00000131269.19
OG0002022	ENSGALG00000045127.2	ENSG00000221955.10
OG0002023	ENSGALG00000021020.4	ENSG00000109163.6
OG0002024	ENSGALG00000014683.6	ENSG00000288217.1, ENSG00000139197.10
OG0002025	ENSGALG00000041111.3	ENSG00000126883.17
OG0002026	ENSGALG00000002645.6	ENSG00000275051.2, ENSG00000125207.7
OG0002027	ENSGALG00000011068.6	ENSG00000082438.17
OG0002028	ENSGALG00000006837.6	ENSG00000214063.11
OG0002029	ENSGALG00000020331.6, ENSGALG00000004113.6	ENSG00000078589.13
OG0002030	ENSGALG00000001103.7	ENSG00000136930.13
OG0002032	ENSGALG00000032234.3	ENSG00000198060.10
OG0002033	ENSGALG00000042201.3	ENSG00000067369.13
OG0002034	ENSGALG00000033780.2	ENSG00000260170.1, ENSG00000137767.14
OG0002035	ENSGALG00000016894.6	ENSG00000102580.15
OG0002037	ENSGALG00000031723.2	ENSG00000175334.8
OG0002039	ENSGALG00000039755.3	ENSG00000259132.1, ENSG00000129474.16, ENSG00000092036.18
OG0002040	ENSGALG00000052348.1	ENSG00000115486.12
OG0002041	ENSGALG00000004999.7	ENSG00000102387.15, ENSG00000178913.8
OG0002042	ENSGALG00000039942.2	ENSG00000159692.15
OG0002043	ENSGALG00000003458.4	ENSG00000122674.12, ENSG00000146574.15
OG0002044	ENSGALG00000029867.2	ENSG00000179832.17
OG0002045	ENSGALG00000016536.7	ENSG00000084754.12
OG0002046	ENSGALG00000014971.6	ENSG00000109667.12
OG0002047	ENSGALG00000027207.3, ENSGALG00000027536.3	ENSG00000112378.12
OG0002048	ENSGALG00000042761.3	ENSG00000090432.7
OG0002050	ENSGALG00000033678.2	ENSG00000181090.21
OG0002051	ENSGALG00000051771.1	ENSG00000099381.18
OG0002052	ENSGALG00000008111.7	ENSG00000106484.16
OG0002053	ENSGALG00000053641.1	ENSG00000159208.16
OG0002054	ENSGALG00000004719.6	ENSG00000197694.17
OG0002055	ENSGALG00000048773.1	ENSG00000167395.10
OG0002056	ENSGALG00000010084.6	ENSG00000075151.20
OG0002057	ENSGALG00000007592.6	ENSG00000171307.19
OG0002058	ENSGALG00000036932.2	ENSG00000065526.12
OG0002059	ENSGALG00000007814.6	ENSG00000163283.7, ENSG00000163286.9, ENSG00000163295.5
OG0002060	ENSGALG00000040780.2, ENSGALG00000013809.6	ENSG00000137073.22
OG0002061	ENSGALG00000026822.3	ENSG00000276021.4, ENSG00000167716.18
OG0002062	ENSGALG00000039269.2	ENSG00000173821.19
OG0002063	ENSGALG00000034014.3	ENSG00000172375.13
OG0002064	ENSGALG00000016912.6	ENSG00000136160.17
OG0002065	ENSGALG00000036821.2	ENSG00000185122.11, ENSG00000284774.2
OG0002066	ENSGALG00000001078.6	ENSG00000123165.8, ENSG00000169717.7
OG0002067	ENSGALG00000006805.6	ENSG00000188313.13
OG0002068	ENSGALG00000007821.7	ENSG00000276726.4, ENSG00000103423.14
OG0002069	ENSGALG00000001425.6	ENSG00000120451.10
OG0002070	ENSGALG00000004529.7	ENSG00000111237.19
OG0002071	ENSGALG00000036871.2	ENSG00000198929.13
OG0002073	ENSGALG00000016027.7	ENSG00000159228.13, ENSG00000159231.6
OG0002074	ENSGALG00000006374.6	ENSG00000149922.10
OG0002075	ENSGALG00000051612.1	ENSG00000262526.2
OG0002076	ENSGALG00000006829.6	ENSG00000157106.16
OG0002077	ENSGALG00000007878.5	ENSG00000255292.8, ENSG00000204370.12
OG0002078	ENSGALG00000046358.2	ENSG00000144152.13
OG0002079	ENSGALG00000003793.7	ENSG00000140307.11
OG0002080	ENSGALG00000038202.2	ENSG00000170234.13
OG0002081	ENSGALG00000023135.4	ENSG00000100883.12
OG0002082	ENSGALG00000014737.6	ENSG00000068796.17
OG0002083	ENSGALG00000003705.8	ENSG00000129003.18
OG0002084	ENSGALG00000019555.5	ENSG00000021355.13
OG0002085	ENSGALG00000007512.6	ENSG00000133422.13
OG0002086	ENSGALG00000004192.6	ENSG00000137776.17
OG0002087	ENSGALG00000007728.5	ENSG00000277196.4, ENSG00000100033.16
OG0002088	ENSGALG00000029897.3	ENSG00000156482.11
OG0002089	ENSGALG00000026875.4	ENSG00000187642.9
OG0002090	ENSGALG00000004304.7	ENSG00000140262.17
OG0002092	ENSGALG00000015944.6	ENSG00000079841.18
OG0002093	ENSGALG00000037723.2	ENSG00000137871.20, ENSG00000285253.1, ENSG00000056277.16
OG0002094	ENSGALG00000041493.3, ENSGALG00000046258.2	ENSG00000188343.13
OG0002096	ENSGALG00000041463.3	ENSG00000078668.14
OG0002097	ENSGALG00000006872.6	ENSG00000241878.11
OG0002098	ENSGALG00000006648.5	ENSG00000100014.20, ENSG00000258555.6
OG0002099	ENSGALG00000006607.7	ENSG00000138867.16
OG0002102	ENSGALG00000005533.6	ENSG00000147130.14
OG0002103	ENSGALG00000000275.6	ENSG00000104756.16
OG0002104	ENSGALG00000036990.3	ENSG00000104325.7
OG0002105	ENSGALG00000020975.3	ENSG00000224982.4
OG0002106	ENSGALG00000023294.5	ENSG00000089157.16
OG0002107	ENSGALG00000007403.6	ENSG00000089220.5
OG0002108	ENSGALG00000040167.2	ENSG00000076554.15, ENSG00000276418.5
OG0002109	ENSGALG00000006254.6	ENSG00000225830.13
OG0002110	ENSGALG00000034488.2, ENSGALG00000003235.6	ENSG00000056097.16
OG0002111	ENSGALG00000005718.3	ENSG00000125533.6
OG0002111	ENSGALG00000040249.3	ENSG00000180828.3
OG0002112	ENSGALG00000001602.7	ENSG00000102898.12
OG0002113	ENSGALG00000043570.2	ENSG00000104205.15
OG0002114	ENSGALG00000003691.7	ENSG00000145860.11
OG0002115	ENSGALG00000006629.6	ENSG00000138207.14
OG0002116	ENSGALG00000052250.1	ENSG00000168509.20
OG0002117	ENSGALG00000015332.6	ENSG00000168993.15
OG0002117	ENSGALG00000027920.3	ENSG00000145920.15
OG0002118	ENSGALG00000033446.2	ENSG00000135940.7
OG0002119	ENSGALG00000002150.6	ENSG00000282755.1, ENSG00000260836.2, ENSG00000277445.4, ENSG00000214575.9
OG0002120	ENSGALG00000029789.2	ENSG00000184203.8, ENSG00000231989.5
OG0002121	ENSGALG00000015018.6	ENSG00000118729.11
OG0002122	ENSGALG00000005035.6	ENSG00000156650.14, ENSG00000281813.4
OG0002123	ENSGALG00000007462.7	ENSG00000101160.14
OG0002124	ENSGALG00000020679.5	ENSG00000148735.15
OG0002125	ENSGALG00000042739.3	ENSG00000147526.20
OG0002127	ENSGALG00000038884.2	ENSG00000185739.13
OG0002128	ENSGALG00000004667.6	ENSG00000116698.21
OG0002129	ENSGALG00000000218.6	ENSG00000153037.15
OG0002130	ENSGALG00000014170.7	ENSG00000166391.15
OG0002131	ENSGALG00000036621.2	ENSG00000168228.15
OG0002132	ENSGALG00000005170.5, ENSGALG00000004428.5	ENSG00000101180.16
OG0002133	ENSGALG00000034430.3	ENSG00000286221.1, ENSG00000103121.9
OG0002134	ENSGALG00000032679.3	ENSG00000284512.1, ENSG00000260643.2, ENSG00000140905.11
OG0002135	ENSGALG00000003870.7	ENSG00000155868.8
OG0002136	ENSGALG00000006599.6	ENSG00000015171.19
OG0002137	ENSGALG00000001954.6	ENSG00000137074.19
OG0002138	ENSGALG00000012684.6	ENSG00000124795.17
OG0002139	ENSGALG00000007095.6	ENSG00000108094.15
OG0002140	ENSGALG00000053846.1	ENSG00000128524.5
OG0002141	ENSGALG00000014708.7	ENSG00000197448.14
OG0002142	ENSGALG00000032599.2	ENSG00000126746.17
OG0002143	ENSGALG00000027138.3	ENSG00000253831.3
OG0002143	ENSGALG00000036751.3	ENSG00000268041.2
OG0002144	ENSGALG00000027351.3	ENSG00000160838.14
OG0002145	ENSGALG00000009071.5	ENSG00000029993.15
OG0002146	ENSGALG00000013033.7, ENSGALG00000035925.3	ENSG00000164237.9
OG0002147	ENSGALG00000009139.7	ENSG00000226479.4, ENSG00000269556.8
OG0002149	ENSGALG00000006753.7	ENSG00000165629.20
OG0002150	ENSGALG00000041510.2	ENSG00000137857.17, ENSG00000140279.12
OG0002151	ENSGALG00000000868.6	ENSG00000145428.15, ENSG00000137522.18
OG0002154	ENSGALG00000039322.2	ENSG00000162733.19
OG0002155	ENSGALG00000005462.5	ENSG00000116996.9
OG0002157	ENSGALG00000028147.4	ENSG00000143387.13
OG0002158	ENSGALG00000006250.7	ENSG00000167515.10
OG0002159	ENSGALG00000031702.2	ENSG00000167548.15
OG0002161	ENSGALG00000035841.3	ENSG00000117523.16
OG0002163	ENSGALG00000040756.2	ENSG00000241973.11
OG0002164	ENSGALG00000007537.7	ENSG00000149503.13
OG0002166	ENSGALG00000011036.6	ENSG00000122566.21
OG0002167	ENSGALG00000043379.3	ENSG00000188846.14
OG0002168	ENSGALG00000012863.6	ENSG00000133597.11
OG0002169	ENSGALG00000032830.2	ENSG00000122545.20
OG0002170	ENSGALG00000017005.6	ENSG00000102547.19
OG0002170	ENSGALG00000027262.3	ENSG00000135932.11
OG0002171	ENSGALG00000020986.5, ENSGALG00000037223.2, ENSGALG00000047316.1	ENSG00000178623.12
OG0002172	ENSGALG00000012611.6	ENSG00000100220.12
OG0002173	ENSGALG00000036941.2	ENSG00000055130.17
OG0002174	ENSGALG00000012540.6	ENSG00000277564.4, ENSG00000100320.23
OG0002175	ENSGALG00000006453.7	ENSG00000091513.16, ENSG00000012223.13
OG0002176	ENSGALG00000013094.6	ENSG00000132437.18
OG0002177	ENSGALG00000012135.5	ENSG00000128272.14
OG0002178	ENSGALG00000006221.6	ENSG00000130294.16
OG0002179	ENSGALG00000008969.5	ENSG00000119888.11
OG0002179	ENSGALG00000010867.6	ENSG00000184292.7
OG0002180	ENSGALG00000011932.6	ENSG00000196419.12
OG0002181	ENSGALG00000001780.5	ENSG00000115718.17
OG0002182	ENSGALG00000002837.6	ENSG00000131469.14
OG0002183	ENSGALG00000011406.7	ENSG00000074527.12
OG0002184	ENSGALG00000045795.2	ENSG00000187147.18
OG0002185	ENSGALG00000008700.7	ENSG00000150593.18
OG0002186	ENSGALG00000024112.4	ENSG00000108671.11
OG0002187	ENSGALG00000010204.6	ENSG00000166006.13
OG0002188	ENSGALG00000010570.6	ENSG00000134717.18
OG0002189	ENSGALG00000000668.6	ENSG00000117222.14
OG0002190	ENSGALG00000013688.7	ENSG00000188690.15
OG0002191	ENSGALG00000009835.7	ENSG00000184575.12
OG0002192	ENSGALG00000036258.2	ENSG00000136099.13
OG0002193	ENSGALG00000009759.6, ENSGALG00000007596.6	ENSG00000118596.12
OG0002194	ENSGALG00000048820.1, ENSGALG00000009586.5	ENSG00000198001.13
OG0002195	ENSGALG00000029276.2	ENSG00000108819.11
OG0002196	ENSGALG00000008821.7	ENSG00000128609.15
OG0002198	ENSGALG00000016823.6	ENSG00000198176.13
OG0002199	ENSGALG00000016799.6	ENSG00000071051.14
OG0002200	ENSGALG00000017282.5	ENSG00000139180.11, ENSG00000255639.3
OG0002201	ENSGALG00000017276.6	ENSG00000284933.2, ENSG00000050327.15, ENSG00000285408.1, ENSG00000288136.1, ENSG00000213214.4, ENSG00000288422.1
OG0002202	ENSGALG00000014222.6	ENSG00000093000.19
OG0002203	ENSGALG00000016552.6	ENSG00000169249.12
OG0002204	ENSGALG00000016518.6	ENSG00000044446.12
OG0002205	ENSGALG00000016415.7	ENSG00000184368.16
OG0002206	ENSGALG00000016128.6	ENSG00000183778.17
OG0002207	ENSGALG00000051852.1, ENSGALG00000050747.1	ENSG00000130943.7
OG0002208	ENSGALG00000016067.6	ENSG00000205581.11
OG0002209	ENSGALG00000041812.3	ENSG00000241837.7
OG0002210	ENSGALG00000015701.7	ENSG00000154639.19
OG0002211	ENSGALG00000015438.6	ENSG00000197965.12
OG0002212	ENSGALG00000015435.6	ENSG00000143164.15
OG0002213	ENSGALG00000015396.4	ENSG00000091972.18
OG0002214	ENSGALG00000010658.6	ENSG00000182552.15
OG0002215	ENSGALG00000041361.3	ENSG00000164144.16
OG0002216	ENSGALG00000051492.1	ENSG00000132938.20
OG0002217	ENSGALG00000017092.6	ENSG00000152520.14
OG0002218	ENSGALG00000055067.1	ENSG00000137727.12
OG0002219	ENSGALG00000017184.5	ENSG00000137673.9
OG0002220	ENSGALG00000040433.2	ENSG00000166004.15
OG0002221	ENSGALG00000010885.6	ENSG00000138756.17
OG0002222	ENSGALG00000010333.6	ENSG00000138767.13
OG0002223	ENSGALG00000011564.6	ENSG00000018189.13
OG0002224	ENSGALG00000048633.1, ENSGALG00000014724.6	ENSG00000062194.16
OG0002225	ENSGALG00000014786.6	ENSG00000145675.15
OG0002226	ENSGALG00000002439.6	ENSG00000273873.4, ENSG00000145734.19, ENSG00000274803.4
OG0002228	ENSGALG00000012588.6	ENSG00000165115.15
OG0002229	ENSGALG00000014447.5	ENSG00000147853.17
OG0002230	ENSGALG00000015032.6	ENSG00000120217.14
OG0002230	ENSGALG00000031794.2	ENSG00000197646.8
OG0002231	ENSGALG00000010046.4	ENSG00000151327.12
OG0002232	ENSGALG00000015677.6	ENSG00000106868.16
OG0002233	ENSGALG00000013920.4	ENSG00000101945.16, ENSG00000152455.16
OG0002235	ENSGALG00000010459.7	ENSG00000151445.16
OG0002236	ENSGALG00000010275.6	ENSG00000119616.11
OG0002237	ENSGALG00000005580.7	ENSG00000152078.10, ENSG00000271092.5
OG0002238	ENSGALG00000047517.1	ENSG00000161914.10, ENSG00000267477.1
OG0002239	ENSGALG00000036259.2, ENSGALG00000054205.1	ENSG00000152223.15
OG0002240	ENSGALG00000009112.7	ENSG00000180979.10, ENSG00000285942.1
OG0002241	ENSGALG00000011685.7	ENSG00000176102.13
OG0002242	ENSGALG00000027902.3	ENSG00000108639.7
OG0002243	ENSGALG00000014297.6	ENSG00000276561.4, ENSG00000185507.21
OG0002244	ENSGALG00000004172.7	ENSG00000177951.17
OG0002245	ENSGALG00000044567.2	ENSG00000171931.13, ENSG00000251537.4, ENSG00000241322.10
OG0002246	ENSGALG00000040877.2, ENSGALG00000007619.7	ENSG00000153443.13
OG0002247	ENSGALG00000034001.2	ENSG00000008294.21
OG0002248	ENSGALG00000009130.6	ENSG00000125772.14
OG0002249	ENSGALG00000017036.5	ENSG00000183722.9
OG0002250	ENSGALG00000001158.6	ENSG00000087206.17
OG0002251	ENSGALG00000001144.7	ENSG00000113761.12
OG0002252	ENSGALG00000015712.6	ENSG00000163950.13
OG0002253	ENSGALG00000013723.6	ENSG00000089127.13
OG0002254	ENSGALG00000016321.6	ENSG00000112144.15
OG0002255	ENSGALG00000016364.6	ENSG00000189292.16
OG0002255	ENSGALG00000048885.1	ENSG00000196711.9
OG0002256	ENSGALG00000004998.6	ENSG00000132155.12
OG0002257	ENSGALG00000015483.7	ENSG00000132424.16
OG0002258	ENSGALG00000014848.6	ENSG00000186439.14
OG0002259	ENSGALG00000015316.6	ENSG00000130349.10
OG0002260	ENSGALG00000006425.7	ENSG00000131389.17
OG0002261	ENSGALG00000033529.2	ENSG00000156983.16
OG0002262	ENSGALG00000049360.1	ENSG00000227804.7, ENSG00000231737.7, ENSG00000206489.9, ENSG00000230995.7, ENSG00000235291.7, ENSG00000204569.10, ENSG00000238104.7
OG0002266	ENSGALG00000020003.5	ENSG00000085511.20
OG0002268	ENSGALG00000035499.2	ENSG00000228896.9, ENSG00000223493.9, ENSG00000206353.11, ENSG00000232616.9, ENSG00000225737.9, ENSG00000204351.12
OG0002270	ENSGALG00000032840.2, ENSGALG00000048321.1	ENSG00000143669.14
OG0002271	ENSGALG00000011186.7	ENSG00000276187.4, ENSG00000130023.16
OG0002272	ENSGALG00000011341.7	ENSG00000112494.10
OG0002273	ENSGALG00000036790.3	ENSG00000231767.4
OG0002275	ENSGALG00000003717.7	ENSG00000099331.13
OG0002276	ENSGALG00000024378.4	ENSG00000133250.14
OG0002276	ENSGALG00000039708.2	ENSG00000133246.12
OG0002279	ENSGALG00000037787.3	ENSG00000116604.18
OG0002281	ENSGALG00000004796.7	ENSG00000070831.17
OG0002285	ENSGALG00000037325.2	ENSG00000151778.11, ENSG00000120742.11
OG0002286	ENSGALG00000013879.7	ENSG00000116001.16
OG0002287	ENSGALG00000052650.1	ENSG00000176731.12
OG0002288	ENSGALG00000008794.6	ENSG00000152464.15
OG0002289	ENSGALG00000035462.3	ENSG00000136381.13
OG0002290	ENSGALG00000031872.2	ENSG00000116771.6
OG0002291	ENSGALG00000026591.4	ENSG00000172380.6
OG0002292	ENSGALG00000050532.1	ENSG00000198488.10, ENSG00000179913.11
OG0002293	ENSGALG00000053980.1	ENSG00000189334.9
OG0002293	ENSGALG00000046614.2	ENSG00000189171.14
OG0002298	ENSGALG00000012319.7	ENSG00000164038.16, ENSG00000164037.17
OG0002321	ENSGALG00000016088.7	ENSG00000135624.16
OG0002322	ENSGALG00000029268.3	ENSG00000005194.15
OG0002323	ENSGALG00000040478.2	ENSG00000149260.18
OG0002324	ENSGALG00000049492.1, ENSGALG00000039116.2	ENSG00000102931.8
OG0002325	ENSGALG00000043929.2	ENSG00000104824.17, ENSG00000282947.2, ENSG00000282832.1, ENSG00000268083.5
OG0002326	ENSGALG00000005699.6	ENSG00000087095.13
OG0002327	ENSGALG00000007777.7	ENSG00000196950.14
OG0002328	ENSGALG00000008094.6	ENSG00000144381.17
OG0002329	ENSGALG00000025712.3	ENSG00000140995.16
OG0002331	ENSGALG00000037203.3	ENSG00000168036.18
OG0002332	ENSGALG00000038728.2, ENSGALG00000017212.5, ENSGALG00000037390.2	ENSG00000123901.9
OG0002333	ENSGALG00000032316.2	ENSG00000091527.15
OG0002334	ENSGALG00000041989.3	ENSG00000085721.12, ENSG00000278494.2
OG0002335	ENSGALG00000038984.2	ENSG00000116985.12, ENSG00000183682.8
OG0002336	ENSGALG00000002461.6	ENSG00000198598.6
OG0002339	ENSGALG00000039473.3	ENSG00000105373.19
OG0002340	ENSGALG00000028499.3	ENSG00000143409.15
OG0002341	ENSGALG00000049218.1	ENSG00000256061.7
OG0002342	ENSGALG00000014811.6	ENSG00000101596.15
OG0002343	ENSGALG00000002364.6	ENSG00000148396.18
OG0002344	ENSGALG00000044628.2	ENSG00000089289.16, ENSG00000266826.2
OG0002345	ENSGALG00000054320.1	ENSG00000130749.10
OG0002346	ENSGALG00000048210.1	ENSG00000090006.17
OG0002347	ENSGALG00000001546.6	ENSG00000074755.15
OG0002348	ENSGALG00000002761.7	ENSG00000096717.12
OG0002349	ENSGALG00000003861.7	ENSG00000148634.15
OG0002350	ENSGALG00000046691.1	ENSG00000160392.13
OG0002351	ENSGALG00000041900.2	ENSG00000082458.12
OG0002353	ENSGALG00000011162.5	ENSG00000036530.9
OG0002354	ENSGALG00000024082.4	ENSG00000176994.11, ENSG00000283741.2
OG0002355	ENSGALG00000032366.3	ENSG00000068305.17
OG0002356	ENSGALG00000005046.7	ENSG00000176974.20, ENSG00000284320.3
OG0002357	ENSGALG00000014573.6	ENSG00000135372.9
OG0002358	ENSGALG00000007021.6	ENSG00000160299.17
OG0002360	ENSGALG00000025804.3	ENSG00000114859.16
OG0002361	ENSGALG00000009841.6	ENSG00000138399.18
OG0002362	ENSGALG00000048205.1	ENSG00000147155.11, ENSG00000286268.1
OG0002363	ENSGALG00000031896.2	ENSG00000131149.19
OG0002364	ENSGALG00000023552.4, ENSGALG00000051958.1	ENSG00000152582.14
OG0002365	ENSGALG00000029927.3	ENSG00000165209.19
OG0002366	ENSGALG00000031013.2	ENSG00000104808.8
OG0002368	ENSGALG00000039590.2	ENSG00000259305.6, ENSG00000189376.12
OG0002369	ENSGALG00000007308.5	ENSG00000111737.12
OG0002372	ENSGALG00000016993.7	ENSG00000136143.16
OG0002373	ENSGALG00000037989.3	ENSG00000243646.10
OG0002374	ENSGALG00000020788.5	ENSG00000163492.15
OG0002375	ENSGALG00000020982.3	ENSG00000186190.7
OG0002376	ENSGALG00000001559.5, ENSGALG00000001721.6	ENSG00000188372.15
OG0002377	ENSGALG00000014121.6	ENSG00000178741.12
OG0002378	ENSGALG00000004096.6	ENSG00000275917.4, ENSG00000166664.13, ENSG00000175344.18, ENSG00000282088.3, ENSG00000274542.1
OG0002379	ENSGALG00000005383.6	ENSG00000185515.14
OG0002380	ENSGALG00000005823.7	ENSG00000115677.17
OG0002381	ENSGALG00000034989.3	ENSG00000154240.17
OG0002383	ENSGALG00000049003.1, ENSGALG00000053647.1, ENSGALG00000048158.1	ENSG00000178921.14
OG0002384	ENSGALG00000010318.6	ENSG00000170348.9
OG0002385	ENSGALG00000005703.6	ENSG00000104154.7
OG0002386	ENSGALG00000010653.6	ENSG00000185420.19
OG0002387	ENSGALG00000035421.3	ENSG00000125835.18, ENSG00000128739.22
OG0002388	ENSGALG00000054106.1	ENSG00000079432.7
OG0002389	ENSGALG00000001986.7, ENSGALG00000033705.3	ENSG00000165280.16
OG0002390	ENSGALG00000030432.3	ENSG00000107551.21, ENSG00000101265.16
OG0002391	ENSGALG00000006840.6, ENSGALG00000046779.1	ENSG00000170776.21
OG0002394	ENSGALG00000015519.7	ENSG00000185008.17
OG0002395	ENSGALG00000001583.7	ENSG00000056558.11
OG0002397	ENSGALG00000029402.3	ENSG00000103126.15
OG0002398	ENSGALG00000000999.6	ENSG00000166188.2
OG0002399	ENSGALG00000053247.1	ENSG00000168484.12
OG0002400	ENSGALG00000052971.1	ENSG00000092094.11
OG0002401	ENSGALG00000003272.6	ENSG00000121774.18
OG0002403	ENSGALG00000041907.2	ENSG00000176749.9
OG0002404	ENSGALG00000006043.5	ENSG00000122257.20
OG0002405	ENSGALG00000013829.6	ENSG00000135597.18
OG0002407	ENSGALG00000045288.2	ENSG00000162545.6
OG0002407	ENSGALG00000045574.2	ENSG00000163888.4
OG0002408	ENSGALG00000008898.7	ENSG00000176884.15
OG0002409	ENSGALG00000009450.2	ENSG00000143507.18
OG0002410	ENSGALG00000002624.6	ENSG00000165733.8
OG0002411	ENSGALG00000035769.2, ENSGALG00000047664.1	ENSG00000079819.19
OG0002412	ENSGALG00000031564.2	ENSG00000255330.9, ENSG00000214338.10
OG0002413	ENSGALG00000026816.3	ENSG00000154217.15
OG0002414	ENSGALG00000044087.2	ENSG00000168676.11
OG0002415	ENSGALG00000006190.6	ENSG00000022267.19
OG0002416	ENSGALG00000043829.2, ENSGALG00000039013.2	ENSG00000182197.11
OG0002417	ENSGALG00000030002.3	ENSG00000111057.11
OG0002418	ENSGALG00000001978.6	ENSG00000175221.15, ENSG00000282092.1
OG0002419	ENSGALG00000016878.5	ENSG00000125304.10
OG0002420	ENSGALG00000014012.6	ENSG00000158195.11
OG0002421	ENSGALG00000016664.6	ENSG00000154328.16
OG0002422	ENSGALG00000041226.3	ENSG00000155876.6, ENSG00000083750.12
OG0002423	ENSGALG00000003219.7	ENSG00000260092.1, ENSG00000205084.11
OG0002424	ENSGALG00000007418.5	ENSG00000167286.9, ENSG00000160654.10
OG0002425	ENSGALG00000043448.2	ENSG00000163995.20
OG0002426	ENSGALG00000035254.3	ENSG00000259529.2, ENSG00000092098.17, ENSG00000285152.2, ENSG00000284845.2
OG0002427	ENSGALG00000034070.2	ENSG00000128683.14
OG0002428	ENSGALG00000000787.7	ENSG00000140829.12
OG0002429	ENSGALG00000054081.1	ENSG00000159788.19
OG0002430	ENSGALG00000004875.5	ENSG00000133027.18
OG0002431	ENSGALG00000004798.6	ENSG00000133030.21
OG0002432	ENSGALG00000033783.2	ENSG00000214814.7
OG0002433	ENSGALG00000035478.2	ENSG00000176853.16
OG0002435	ENSGALG00000042132.2	ENSG00000105705.16
OG0002436	ENSGALG00000054831.1, ENSGALG00000035063.3	ENSG00000184986.11
OG0002437	ENSGALG00000052413.1, ENSGALG00000053309.1	ENSG00000143199.18
OG0002438	ENSGALG00000008945.7	ENSG00000162614.18
OG0002439	ENSGALG00000023296.4	ENSG00000162367.11
OG0002440	ENSGALG00000001165.6	ENSG00000273494.3, ENSG00000157881.15
OG0002441	ENSGALG00000000693.5	ENSG00000141101.13
OG0002442	ENSGALG00000012537.5	ENSG00000162989.5
OG0002444	ENSGALG00000004926.7	ENSG00000171953.16
OG0002445	ENSGALG00000012296.7	ENSG00000100129.18
OG0002446	ENSGALG00000016379.7	ENSG00000102172.16
OG0002447	ENSGALG00000044177.2	ENSG00000276787.1, ENSG00000198690.10
OG0002448	ENSGALG00000010539.4	ENSG00000123091.5
OG0002449	ENSGALG00000006350.4	ENSG00000099974.8, ENSG00000275758.2, ENSG00000285762.1
OG0002450	ENSGALG00000009693.7, ENSGALG00000004295.6	ENSG00000108582.12
OG0002451	ENSGALG00000033532.2	ENSG00000179262.10
OG0002452	ENSGALG00000043034.2	ENSG00000140859.16
OG0002453	ENSGALG00000007868.6	ENSG00000197580.13
OG0002454	ENSGALG00000016580.6	ENSG00000168079.17
OG0002455	ENSGALG00000047403.1	ENSG00000150773.10
OG0002456	ENSGALG00000039882.2	ENSG00000164933.12, ENSG00000285982.1
OG0002457	ENSGALG00000003770.8	ENSG00000182718.16
OG0002458	ENSGALG00000000776.6	ENSG00000096070.19
OG0002459	ENSGALG00000009526.7	ENSG00000100568.11
OG0002460	ENSGALG00000014468.5	ENSG00000089693.10
OG0002461	ENSGALG00000002699.6	ENSG00000160293.17
OG0002462	ENSGALG00000037443.2	ENSG00000095321.17
OG0002464	ENSGALG00000002222.5	ENSG00000188976.11
OG0002465	ENSGALG00000048190.1	ENSG00000178209.15
OG0002469	ENSGALG00000028172.3	ENSG00000161996.19
OG0002470	ENSGALG00000001109.5	ENSG00000170627.11
OG0002471	ENSGALG00000000541.6	ENSG00000215817.7, ENSG00000058673.16
OG0002472	ENSGALG00000046008.2	ENSG00000130363.12
OG0002475	ENSGALG00000045218.2	ENSG00000133454.15
OG0002476	ENSGALG00000038385.3	ENSG00000066855.16
OG0002477	ENSGALG00000040875.2	ENSG00000038358.15
OG0002478	ENSGALG00000004825.7	ENSG00000147099.21
OG0002479	ENSGALG00000007218.6	ENSG00000180611.7
OG0002482	ENSGALG00000034584.3, ENSGALG00000031355.2	ENSG00000049759.18
OG0002483	ENSGALG00000016586.4	ENSG00000147419.18
OG0002484	ENSGALG00000002578.7, ENSGALG00000045163.2	ENSG00000117362.13
OG0002485	ENSGALG00000029747.2	ENSG00000110080.18
OG0002486	ENSGALG00000037453.2	ENSG00000147601.14
OG0002487	ENSGALG00000035417.2	ENSG00000154582.16
OG0002488	ENSGALG00000042415.3	ENSG00000125124.12
OG0002489	ENSGALG00000005232.7	ENSG00000166348.18
OG0002490	ENSGALG00000002666.5	ENSG00000275338.4, ENSG00000090565.16
OG0002491	ENSGALG00000031281.2	ENSG00000115207.13
OG0002492	ENSGALG00000015119.6	ENSG00000141380.14
OG0002494	ENSGALG00000003356.6	ENSG00000169490.17
OG0002495	ENSGALG00000005934.7, ENSGALG00000006018.7	ENSG00000172940.13
OG0002496	ENSGALG00000054307.1	ENSG00000197858.11
OG0002497	ENSGALG00000005525.7	ENSG00000266086.3, ENSG00000136450.13
OG0002499	ENSGALG00000031821.2	ENSG00000111412.6
OG0002500	ENSGALG00000033077.2	ENSG00000121486.12
OG0002501	ENSGALG00000025822.3	ENSG00000138061.12
OG0002502	ENSGALG00000043363.3	ENSG00000047578.13
OG0002503	ENSGALG00000016642.6	ENSG00000285141.2, ENSG00000184647.11
OG0002504	ENSGALG00000005209.5	ENSG00000250424.4, ENSG00000240583.12
OG0002505	ENSGALG00000001412.6	ENSG00000138623.10, ENSG00000288455.1
OG0002506	ENSGALG00000039178.2	ENSG00000177200.17
OG0002507	ENSGALG00000009592.3	ENSG00000140319.11
