gene,kTotal,MM.turquoise,kWithin,description
107292041,453.6448121,0.83947032,204.4879334,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)
107289611,546.0622977,0.839440289,240.8713969,ETS homologous factor
107290157,565.1772977,0.839307126,253.615057,growth arrest and DNA damage inducible gamma
107294320,454.949448,0.839235153,238.1784659,prostasin-like
107289610,538.1071191,0.839181162,243.7479198,E74 like ETS transcription factor 5
107282815,386.944136,0.839084904,218.138976,UPF0061 protein PFLU_0444
107295364,399.8693425,0.839083289,225.2753678,acetyl-CoA carboxylase-like
107284284,581.3353353,0.838706495,245.3546958,intersectin 2
107302385,444.6050872,0.838611751,219.0076977,eukaryotic translation initiation factor 2 alpha kinase 3
107283923,374.6282395,0.838580897,200.931137,alanyl aminopeptidase membrane
107302900,366.1166923,0.838367742,214.9685836,zinc finger protein 704
107282962,559.6641718,0.838303034,251.3739443,tetraspanin 13
107288202,592.7297108,0.838281109,274.1887418,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4-like
107284931,466.8553919,0.838182333,206.6182371,forkhead box C1
107283869,342.0559703,0.837986589,186.3737891,LysM domain containing 4
107285090,494.0131743,0.837596893,232.3793201,PEST proteolytic signal containing nuclear protein
107291461,525.9943418,0.837424262,236.9076356,small integral membrane protein 12
107291672,591.9283372,0.837365016,266.7855709,Sec61 translocon beta subunit
107287781,602.6961192,0.837141954,248.279547,ADP ribosylation factor 4
107298641,469.9175261,0.837081061,226.4993797,nicalin
107296913,687.124646,0.836957458,277.8424511,derlin 2
107283115,379.0102928,0.836688675,209.9089018,chromosome unknown open reading frame human C12orf29
107283630,679.2157482,0.836306453,267.8616484,DnaJ heat shock protein family (Hsp40) member C1
107289981,450.265534,0.836008288,213.85901,nodal modulator 3-like
107283658,364.2176525,0.835755671,215.6422197,collagen type XXVIII alpha 1
107283272,637.3624037,0.835035531,256.5466445,ubiquitin-fold modifier 1
107296859,423.0407394,0.834847452,217.71377,F-box and leucine-rich repeat protein 6
107286888,320.607928,0.834595091,192.0881329,WD repeat domain 83
107299795,326.9417188,0.834405398,190.2830225,collagen alpha-3(IX) chain-like
107290259,506.9793268,0.833451702,216.7246996,WW domain binding protein 2
107290408,536.6738102,0.833194327,232.4783482,cAMP responsive element binding protein 3-like 1
107290339,332.6328055,0.833109848,179.1166626,KIAA0368 ortholog
107288112,365.7686904,0.832694755,190.5993095,serine/threonine kinase 16
107300483,596.7602271,0.832603907,246.1966297,RAB1A member RAS oncogene family
107289466,376.9252745,0.832379279,195.9450479,synaptonemal complex protein 3
107303227,720.1262751,0.83229699,270.6169913,transmembrane 9 superfamily member 2-like
107282253,400.5619317,0.832253174,188.7347927,methyl-CpG binding domain protein 3
107290464,303.4642693,0.831865271,183.4315578,inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2
107289328,389.8581919,0.831834323,191.1405995,zinc finger BED-type containing 4
107285341,519.6506541,0.831676295,220.6735952,putative RNA-binding protein Luc7-like 2
107292448,418.8341343,0.831574036,215.6136568,KIAA1191 ortholog
107291753,405.6610605,0.83122513,230.9943635,SEC14 like lipid binding 1
107293908,492.6590075,0.830586088,220.4652987,ubiquitin like modifier activating enzyme 5
107293623,516.9970678,0.830550396,218.0643059,forkhead box K2
107284672,635.1688863,0.830020963,249.0152444,Parkinsonism associated deglycase
107283891,517.2914322,0.83001038,230.3376625,tousled like kinase 1
107289596,660.2386862,0.829864705,253.0242569,chromosome unknown open reading frame human C6orf62
107288921,636.1127522,0.829809632,268.3218083,transmembrane protein 208
107288748,555.1378179,0.829724491,227.2053437,coatomer protein complex subunit alpha
107287554,356.0811248,0.829676174,191.0494178,uncharacterized LOC107287554
107287675,675.9828716,0.829060777,271.4998898,selenoprotein K
107298757,602.9568147,0.828949242,240.9167222,gamma-secretase activating protein
107283230,515.7502678,0.828891534,223.5530531,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 methenyltetrahydrofolate cyclohydrolase
107298286,358.8287854,0.828431701,215.2047308,zinc metalloproteinase-disintegrin-like NaMP
107302577,357.45117,0.828328479,181.6492669,eukaryotic translation initiation factor 4E family member 2
107289249,439.1180463,0.828298857,236.4219451,uncharacterized LOC107289249
107287350,309.9690668,0.828042066,176.2749237,5'-nucleotidase domain containing 2
107292378,504.6150824,0.82767912,222.6436141,SEC22 homolog B vesicle trafficking protein
107285151,602.3667817,0.827672253,254.5105461,SWIM-type zinc finger 7 associated protein 1
107297735,448.7290338,0.827502901,212.71781,sterile alpha motif domain-containing protein 11-like
107297073,437.1035853,0.827381344,216.0680197,GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-12-mannosyltransferase-like
107303231,316.6971098,0.827318693,187.0753169,ATPase phospholipid transporting 11C
107292259,453.2182575,0.82727576,204.6991506,isoleucyl-tRNA synthetase
107293822,303.1969284,0.827226571,172.2039733,focadhesin
107291927,355.4230004,0.826684127,197.9828169,dynein heavy chain 7 axonemal-like
107294694,338.8190851,0.826649658,179.9580582,glutamate ionotropic receptor NMDA type subunit associated protein 1
107282288,302.6148366,0.826227972,169.6446607,coiled-coil serine rich protein 1
107290397,389.601802,0.825861916,193.6877976,uncharacterized LOC107290397
107300940,692.3934728,0.825824374,267.117568,signal recognition particle 9kDa
107284972,451.1739211,0.825527575,216.6757671,echinoderm microtubule associated protein like 4
107293422,338.4570101,0.825510472,180.1912526,YdjC homolog (bacterial)
107292526,397.0499076,0.82548979,205.2217845,hook microtubule-tethering protein 1
107287076,514.7969559,0.824971725,220.9165931,vitamin K epoxide reductase complex subunit 1 like 1
107293095,397.1410791,0.824904883,189.4058221,ER membrane protein complex subunit 9
107292103,617.3394838,0.824901045,245.3949247,transmembrane protein 241
107296423,495.3304585,0.82469372,243.3055805,ribosomal protein L22 like 1
107282249,407.7698942,0.824088211,183.6519612,deoxyhypusine hydroxylase/monooxygenase
107298275,398.6495997,0.823987984,215.9100128,transmembrane protein 60
107283249,589.4421029,0.823979032,238.5500702,mitochondrial ribosomal protein S24
107292741,370.4798665,0.823929608,185.2912994,myeloid/lymphoid or mixed-lineage leukemia; translocated to 3
107289603,301.7908939,0.823679593,192.5685413,glycosylphosphatidylinositol specific phospholipase D1
107288722,475.5055461,0.823673327,217.9702572,interferon-related developmental regulator 2
107295655,372.555523,0.823494578,193.3295351,platelet-activating factor acetylhydrolase 2
107296585,337.7993583,0.823424883,195.3182364,family with sequence similarity 107 member A
107295906,407.4008738,0.823216992,173.5470882,solute carrier family 12 member 9
107289667,435.2395955,0.823165031,187.2915589,tetratricopeptide repeat domain 17
107285415,476.3040533,0.823132813,186.876131,l(3)mbt-like 2 (Drosophila)
107285252,358.3770574,0.822880873,172.9552074,vacuolar protein sorting 13 homolog B (yeast)
107301074,550.3680573,0.822441707,237.1822394,ER membrane protein complex subunit 9-like
107292748,456.8845341,0.822399787,195.2718771,epithelial splicing regulatory protein 1
107283188,380.3802462,0.822360537,187.2149303,kinesin family member 16B
107290806,629.048036,0.822283498,242.8743898,cyclin-dependent kinase 2 associated protein 2
107295122,288.5366497,0.822234609,162.7202586,inositol 145-trisphosphate receptor type 2-like
107294617,626.3023239,0.821978078,248.7490344,heat shock protein 90kDa beta family member 1
107293840,407.4955151,0.821897445,198.3711577,pantothenate kinase 1
107294847,302.5573591,0.821702784,172.7596439,ring finger protein 170
107282830,364.7117106,0.821668383,179.1248253,KIAA1462 ortholog
107284078,524.787959,0.820862124,218.139641,CCAAT/enhancer binding protein gamma
107286565,484.9986703,0.820746295,223.5451439,WNK lysine deficient protein kinase 3
107288509,317.439712,0.820576485,171.913346,nuclear receptor subfamily 1 group D member 2-like
107282301,323.3834949,0.820350668,175.2342299,secretory carrier membrane protein 4
107291248,329.8565967,0.819866199,160.1488561,B-cell lymphoma/leukemia 11B-like
107294981,450.4461256,0.81971277,202.4256569,endothelin-converting enzyme 2-like
107301512,311.6118162,0.819709977,179.4436686,zinc transporter 5-like
107293421,707.1890621,0.819649326,260.2625398,stromal cell derived factor 2 like 1
107285400,379.0924584,0.819521311,212.074826,forkhead box I1
107292989,396.3634781,0.819434644,175.8981963,MON2 homolog regulator of endosome-to-Golgi trafficking
107290996,284.3646368,0.819187709,166.4831574,protein phosphatase Mg2+/Mn2+ dependent 1K
107301787,334.4575248,0.819092175,192.5969703,forkhead box protein I1-ema-like
107292146,370.9464578,0.818971549,191.6257287,transmembrane protein 242
107303308,367.1828317,0.8187698,185.2201217,insulin induced gene 1
107291192,487.0195624,0.818219251,210.425062,thiosulfate sulfurtransferase (rhodanese)-like domain containing 3
107291600,536.8610432,0.818201675,224.4049983,establishment of sister chromatid cohesion N-acetyltransferase 1
107292371,560.1296871,0.818102348,245.5890896,metallothionein-2-like
107299014,519.48803,0.818041318,236.4192061,Rab acceptor 1 (prenylated)
107291744,505.9106841,0.817944875,215.598931,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
107289431,492.3819692,0.817854227,196.5214755,solute carrier family 10 member 7
107291178,378.6199923,0.817833266,206.7973708,N-acylethanolamine acid amidase
107295023,383.6625718,0.817569972,181.1641815,calcitonin-like
107288772,306.0915347,0.817297073,187.0315143,tropomodulin-2
107293621,424.875868,0.817293038,215.4466512,RAB40B member RAS oncogene family
107289203,447.954026,0.817098163,210.3463781,staphylococcal nuclease and tudor domain containing 1
107294367,321.0455119,0.817097746,196.237273,SLAM family member 8-like
107287353,499.8387164,0.816573702,235.9383611,glycosyltransferase 8 domain containing 1
107294071,405.2077798,0.816414047,177.383775,zinc finger protein 592
107296249,329.4913993,0.81620521,173.9230836,SH3-domain GRB2-like endophilin B2
107302563,386.5436159,0.815821518,171.5696353,solute carrier family 7 member 1
107282991,474.1739262,0.815685731,198.5395277,solute carrier family 35 member B3
107299732,317.5986726,0.815583302,158.4767785,uncharacterized LOC107299732
107298442,500.8298184,0.815161694,208.1210241,nucleolar protein 4-like
107286550,314.1552706,0.81500858,154.6335351,family with sequence similarity 120C
107298347,526.5747385,0.814935575,216.9971732,Beta-13-galactosyltransferase 6
107302000,547.9108946,0.814382878,232.8498476,TP53 regulated inhibitor of apoptosis 1
107289159,325.9565786,0.814142782,179.2534049,acyl-CoA synthetase long-chain family member 3
107297246,328.2323673,0.81411611,157.4725071,ectonucleoside triphosphate diphosphohydrolase 2
107302921,337.2727352,0.814064553,177.3713493,dopey family member 1
107283959,336.6354534,0.813753107,162.490169,patatin like phospholipase domain containing 2
107302887,272.1331281,0.813745867,165.3330508,discoidin CUB and LCCL domain-containing protein 1-like
107295026,345.884969,0.813546489,196.7465358,thioredoxin domain containing 15
107296756,343.0491678,0.81309489,179.9696646,protein phosphatase 2A regulatory subunit 4
107284820,324.1982012,0.813069548,184.3195208,myelin protein zero like 3
107286863,309.1547201,0.813041838,180.2260887,fumarylacetoacetate hydrolase (fumarylacetoacetase)
107292137,331.3398111,0.813006221,178.5920833,ring finger protein 141
107285293,481.6217656,0.812653259,195.7492044,enolase superfamily member 1
107285827,314.1021756,0.811931888,154.9530461,LDL receptor related protein 5
107282570,263.2197605,0.811882927,164.5212551,regulator of G-protein signaling 9
107297059,623.5198505,0.811619514,249.4012677,myeloid-derived growth factor
107296658,273.4522235,0.811119578,163.2460149,slingshot protein phosphatase 3
107287759,390.2711521,0.810761395,193.5283379,phosphotyrosine interaction domain containing 1
107300419,583.1795692,0.810734894,245.7762992,stress-associated endoplasmic reticulum protein 1
107288876,426.8791935,0.810660725,174.0560171,family with sequence similarity 65 member A
107287165,355.0477719,0.81065375,157.5054846,solute carrier family 16 member 10
107289574,288.8901206,0.810557337,185.0071319,toll like receptor 2
107286970,503.7065959,0.810468565,228.8297143,endoplasmic reticulum protein 29
107293325,576.9171142,0.81040245,230.8225077,transmembrane protein 5
107283721,450.6417505,0.810377011,193.2984253,calcium release activated channel regulator 2A
107287498,406.3492587,0.810270806,182.67605,SFT2 domain containing 2
107287083,407.5717221,0.809843,171.612178,dedicator of cytokinesis 7
107289077,390.4269054,0.809688403,185.7062244,hexosaminidase (glycosyl hydrolase family 20 catalytic domain) containing
107288594,514.510607,0.809075057,214.1631218,TIA1 cytotoxic granule-associated RNA binding protein-like 1
107288181,458.5463006,0.808968804,216.3428559,keratin 18 type I
107294100,422.9217944,0.808927179,208.4112961,related RAS viral (r-ras) oncogene homolog 2
107282177,273.8680726,0.808755615,161.9637448,cartilage intermediate layer protein 2
107292099,286.1731107,0.808369959,154.5688484,polymerase (RNA) III subunit E
107302041,374.4644908,0.808304411,171.1128534,uncharacterized LOC107302041
107287829,294.1786519,0.808192456,156.0968195,shroom family member 3
107283632,498.3477985,0.808123713,214.0669989,BMI1 proto-oncogene polycomb ring finger
107289269,695.4652233,0.807949057,245.8732305,transmembrane protein 183A
107290914,422.1102432,0.807030342,196.3063127,late endosomal/lysosomal adaptor MAPK and MTOR activator 2
107285118,261.7735273,0.806838687,149.0946186,ral guanine nucleotide dissociation stimulator-like 3
107285871,626.7612085,0.806558217,239.084254,DnaJ heat shock protein family (Hsp40) member B11
107294203,343.9241983,0.806552457,167.9128111,transmembrane protein 108
107295910,292.1235655,0.806401957,160.7412613,epidermal growth factor receptor pathway substrate 8
107298764,452.0449587,0.806400822,206.3373706,Yip1 interacting factor homolog A membrane trafficking protein
107302676,477.9963368,0.805912197,207.5854708,RWD domain containing 4
107286431,323.8918597,0.805702334,165.1735452,transmembrane protein 248
107293241,339.1090141,0.805245311,167.0116434,protein kinase N1
107298336,574.9693293,0.804618264,218.9363506,chromosome unknown open reading frame human C6orf120
107294381,335.7379014,0.804414213,159.3913359,glycosyltransferase 1 domain containing 1
107287843,315.8582951,0.8041046,159.3822425,serine/threonine kinase 39
107292700,484.4604883,0.804043068,215.518351,tetratricopeptide repeat domain 39C
107286697,386.5926612,0.803698994,172.936675,ATPase H+ transporting accessory protein 1
107295806,337.1527096,0.803680288,184.1957478,uncharacterized LOC107295806
107302504,378.4704432,0.80336713,188.6469073,15 kDa selenoprotein
107282197,514.8807152,0.803165066,215.104467,transmembrane protein 167A
107301365,281.8695783,0.803049037,141.0163829,activating transcription factor 2
107283278,398.3046584,0.802964256,171.5612741,transmembrane p24 trafficking protein 4
107284856,275.4937206,0.802898083,143.7728817,solute carrier family 35 member F2
107291328,283.9264258,0.802848759,156.693861,solute carrier family 37 member 3
107302669,351.7844735,0.802799494,177.5556975,acyl-CoA synthetase long-chain family member 1
107291847,493.0066633,0.802508234,207.0078918,major facilitator superfamily domain containing 7
107294238,518.655393,0.802240472,197.5570302,zinc finger DHHC-type containing 16
107295587,381.7993947,0.802184314,173.1913163,tetratricopeptide repeat protein 7B-like
107285495,643.5607368,0.802013897,231.2677727,endoplasmic reticulum lectin 1
107291626,429.3624688,0.801807957,181.6978069,fatty acid desaturase 1-like
107290886,557.9268754,0.801698149,192.26075,RAN binding protein 2
107288677,264.6541859,0.80161229,151.4577497,aminomethyltransferase
107302919,396.4078114,0.801608668,177.7955106,erythrocyte membrane protein band 4.1
107288996,491.6320399,0.801278123,198.5209903,uncharacterized LOC107288996
107289259,427.6892161,0.801150908,193.5917301,protein phosphatase 3 catalytic subunit gamma
107291526,268.4445758,0.800613158,144.6566485,pyruvate dehydrogenase kinase 1
107290318,331.6297507,0.800250814,154.099087,ATP binding cassette subfamily A member 3
107291914,489.3157945,0.800178326,176.3836838,CDC like kinase 3
107286870,263.4652139,0.800157568,141.2498782,fucosidase alpha-L- 2 plasma
107302388,486.4202989,0.799806772,181.2115118,eukaryotic translation initiation factor 5B
107293910,262.7626649,0.799173333,151.0119097,solute carrier family 36 (proton/amino acid symporter) member 4
107284127,496.7013433,0.799094262,201.7175624,adipocyte plasma membrane associated protein
107292570,338.1179428,0.798749772,173.0237061,nudix hydrolase 19
107299013,320.0327382,0.798500586,147.5480692,mannosidase beta
107284912,261.6494934,0.798134755,147.1007927,splicing factor 3b subunit 1
107294858,291.4433291,0.79780468,157.5354039,autophagy related 13
107289242,517.3452765,0.797603782,198.7828583,phytanoyl-CoA 2-hydroxylase interacting protein
107298192,418.7217068,0.79715941,203.3073776,ALG5 dolichyl-phosphate beta-glucosyltransferase
107293646,357.9581169,0.797135551,166.8138063,myosin VIIA and Rab interacting protein
107286259,258.573653,0.79636008,141.2882152,adenosylhomocysteinase like 1
107284548,439.7167045,0.795174839,197.1642596,glutathione S-transferase zeta 1
107302794,607.9813093,0.795166492,233.2476575,peptidyl-tRNA hydrolase 2
107291762,422.1811098,0.794969709,170.9529749,peptidylprolyl isomerase like 3
107294967,399.3580578,0.794478439,188.3086619,phosphatidylinositol glycan anchor biosynthesis class X
107289780,356.7918726,0.794231216,158.9054355,vacuolar protein sorting 33 homolog B (yeast)
107293631,316.3654116,0.794229432,159.6073342,carnosine synthase 1
107299804,344.300602,0.793879398,161.769228,asparaginyl-tRNA synthetase
107301659,286.1711207,0.79359018,144.6906675,uncharacterized LOC107301659
107294227,492.0184941,0.793392731,182.5107781,WAPL cohesin release factor
107285703,460.4589542,0.793164212,179.7477991,zinc finger matrin-type 3
107287633,250.8993769,0.792925067,151.8856733,kinase D-interacting substrate 220kDa
107292633,332.9121428,0.792624565,158.8532337,NCK associated protein 1
107294223,286.7685939,0.792297711,161.9630338,sperm-specific antigen 2 homolog
107295451,387.799367,0.792186369,151.1056136,golgin A3
107297833,296.0073547,0.791678431,151.5096374,fibrosin-like 1
107289854,279.5244031,0.791474109,150.3802378,solute carrier family 25 member 15
107302660,247.2793951,0.791451468,141.8024673,toll like receptor 3
107299501,241.645471,0.791218572,146.4478865,mitochondrial genome maintenance exonuclease 1
107291874,321.1355554,0.790063131,139.1961116,UTP20 small subunit processome component
107291403,233.2180956,0.78991989,147.9889119,alpha-2C adrenergic receptor-like
107283928,462.1786795,0.789647858,186.2761626,calcium and integrin binding 1
107285699,286.9141716,0.789567742,153.9812273,phosphatidylinositol-45-bisphosphate 3-kinase catalytic subunit alpha
107282274,264.2232014,0.789260567,147.4791291,microtubule associated serine/threonine kinase 3
107282496,313.3096677,0.788939419,149.4032235,solute carrier family 6 member 16
107287237,391.1535974,0.78879729,179.2862266,collagen beta(1-O)galactosyltransferase 1
107299160,244.5618981,0.788784702,138.6606357,constitutive coactivator of PPAR-gamma-like protein 1
107282175,255.7187841,0.788646745,147.8009306,histocompatibility (minor) HA-1
107300500,241.2079768,0.788440872,130.4972526,protein phosphatase 1 regulatory subunit 37
107297283,459.5645408,0.788398185,160.8409797,tetratricopeptide repeat protein 27-like
107287213,318.5811556,0.788204969,138.9200748,BTB domain containing 7
107299565,297.0836204,0.788170633,170.0986871,neuron-derived neurotrophic factor
107287832,254.8994096,0.788082818,138.1766092,probable phospholipid-transporting ATPase IF
107289869,432.5002268,0.788035802,173.2639521,GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-12-mannosyltransferase-like
107301903,271.5890739,0.788017983,143.9864495,zinc finger protein 239-like
107290152,367.0331766,0.787880307,143.5753916,pre-mRNA processing factor 39
107287355,449.0656316,0.787831494,178.564482,TATA-box binding protein associated factor 13
107298322,437.1234401,0.787639542,183.0206352,solute carrier family 7 member 4
107292601,252.1491964,0.787621586,147.7416356,phospholipase C gamma 2
107291978,329.4631526,0.787184917,157.9493869,alkB homolog 6
107282615,393.960474,0.786470199,184.7524816,solute carrier family 35 member B1
107290281,473.0491832,0.786328476,186.8521949,uncharacterized LOC107290281
107287109,294.2926125,0.786306492,135.2483328,lysine demethylase 5B
107290568,351.8512373,0.786287739,163.0968485,progesterone receptor membrane component 2
107282910,285.5739403,0.786118412,145.4776464,2-hydroxyacyl-CoA lyase 1
107289329,272.3365108,0.785740176,135.1231922,ALG12 alpha-16-mannosyltransferase
107290742,374.012684,0.785613446,179.0189998,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
107290879,317.9608298,0.785595642,151.5093894,proline rich coiled-coil 2A
107293769,332.0718881,0.785566137,156.4860504,family with sequence similarity 192 member A
107302706,328.2054966,0.785455401,146.7051788,acid sensing ion channel subunit 1
107292230,232.9586999,0.78528771,136.9637998,methylthioribose-1-phosphate isomerase 1
107289068,460.364871,0.785264558,186.2830459,LysM domain containing 2
107288116,401.1705771,0.78449546,169.0537569,dnaJ homolog subfamily B member 2-like
107296663,236.7916585,0.783842587,133.3175237,adrenergic beta receptor kinase 1
107290493,353.0382333,0.782973212,149.6772008,lin-52 DREAM MuvB core complex component
107287074,364.3006106,0.782889961,180.4835337,ALG6 alpha-13-glucosyltransferase
107292171,411.8656052,0.782748862,188.7584053,pterin-4 alpha-carbinolamine dehydratase 1
107283126,483.5382945,0.782312923,175.5868928,vacuolar protein sorting 13 homolog C (S. cerevisiae)
107302903,485.204089,0.782190365,204.2027155,myelin P2 protein-like
107284359,469.2009518,0.781644188,188.0973625,glycyl-tRNA synthetase
107291941,331.2422771,0.781640553,144.2904724,neutral amino acid transporter B(0)-like
107303257,422.0390546,0.781410855,169.9342086,motile sperm domain containing 1
107291531,307.126732,0.780611295,151.4461839,methyltransferase like 21B
107290411,402.8062649,0.780595818,164.9581373,dolichyl-phosphate mannosyltransferase polypeptide 1 catalytic subunit
107283003,245.1271247,0.780137352,130.582565,ras responsive element binding protein 1
107282362,373.5641464,0.78002239,187.0472751,solute carrier family 15 (oligopeptide transporter) member 1
107292988,302.2177967,0.77988355,136.2528275,protein phosphatase Mg2+/Mn2+ dependent 1H
107289824,455.4256296,0.779631315,178.3358096,ubiquitin C-terminal hydrolase L5
107284087,435.3940721,0.779470394,171.5351537,casein kinase 2 alpha 2
107298999,282.6164606,0.779438506,137.6722445,bleomycin hydrolase
107292229,299.1837101,0.778803498,159.6406994,ATPase H+ transporting V0 subunit c
107292941,283.8668335,0.77853809,130.8634918,cysteinyl-tRNA synthetase
107290619,478.693693,0.778271181,174.9563851,sidekick cell adhesion molecule 1
107299671,343.3768401,0.778118068,144.4613706,pendrin-like
107284727,335.7088988,0.778088904,140.3790343,PR domain 4
107293009,332.3597838,0.778033472,158.7712254,coatomer protein complex subunit gamma 1
107290928,389.8213154,0.777753383,158.6554334,bromodomain and PHD finger containing 1
107285841,323.6211334,0.777471267,165.1038425,retinol dehydrogenase 12-like
107288406,239.1922258,0.77746807,135.0433722,uncharacterized LOC107288406
107288770,452.8434133,0.777252261,166.5594954,KIAA0141 ortholog
107284351,303.8667805,0.777198786,154.2474585,vasoactive intestinal peptide receptor 1
107289393,263.4225675,0.777009216,116.7804989,mitochondrial ribosome-associated GTPase 2
107288038,247.1938565,0.776912256,155.0413592,snake venom metalloproteinase BaP1-like
107297146,276.8476224,0.776750831,132.9476935,transmembrane protein 255B-like
107287252,338.0419312,0.776654779,153.3549993,lipin 3
107283970,335.3602823,0.775610926,139.5243128,calcium release activated channel regulator 2B
107291259,269.9729701,0.775368647,137.3386388,solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter) member A3
107298236,367.0828525,0.775218051,150.5009985,spermine oxidase
107293701,236.7916337,0.774951419,125.6642788,aminoadipate-semialdehyde synthase
107299311,279.6385759,0.77489685,126.4654575,v-myc avian myelocytomatosis viral oncogene homolog
107299460,231.64185,0.774695107,134.8589236,calcium permeable stress-gated cation channel 1-like
107288375,276.0576203,0.774632772,129.6328018,YOD1 deubiquitinase
107284382,280.1076124,0.774627637,150.0637412,CKLF like MARVEL transmembrane domain containing 8
107287811,293.139496,0.774541521,136.1180153,neuroblastoma amplified sequence
107284415,290.3830764,0.774246822,141.8085248,cullin-associated and neddylation-dissociated 1
107292712,322.0120791,0.773870833,148.8794085,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
107299747,388.6733374,0.773847317,165.0920977,sorting nexin family member 27
107296707,317.3215709,0.773542327,143.6946159,ring finger protein 5 E3 ubiquitin protein ligase
107290023,408.6765976,0.773398954,150.3370588,prolyl 3-hydroxylase 2
107297026,295.6576643,0.772661517,150.8347418,farnesyl diphosphate synthase
107294653,296.8593713,0.772391654,132.8433948,ras homolog family member T1
107297959,333.7665276,0.772296966,140.5210405,family with sequence similarity 84 member B
107285591,244.7201802,0.772043144,124.8006577,ATPase phospholipid transporting 8B1
107297770,293.43003,0.771857741,145.3956072,phosphatidylinositol 4-kinase type 2 beta
107296957,475.053791,0.770936966,163.8305916,DnaJ heat shock protein family (Hsp40) member C21
107285111,415.2190854,0.770892411,164.6998473,phosphatase and tensin homolog
107302904,273.2759135,0.770840125,160.8927311,fatty acid-binding protein adipocyte-like
107289331,296.4072192,0.770771357,133.0794635,Pim-3 proto-oncogene serine/threonine kinase
107293099,288.9366624,0.770535351,133.3833241,phosphoenolpyruvate carboxykinase 2 mitochondrial
107302924,366.8469311,0.770484491,160.4454424,phosphoacetylglucosamine mutase-like
107283125,281.4632675,0.770448424,137.333944,interactor of little elongation complex ELL subunit 2
107288052,292.3525973,0.769635471,146.5873571,translocon-associated protein subunit beta-like
107296982,243.0453781,0.769634407,156.4329012,zinc metalloproteinase-disintegrin-like HF3
107283016,198.137819,0.769250903,118.802502,single stranded DNA binding protein 3
107297190,251.3940323,0.769058948,122.1730069,probable E3 ubiquitin-protein ligase MID2
107295152,235.6331048,0.768428838,126.4683794,sterile alpha motif domain containing 12
107285022,332.6180154,0.768251955,151.4686392,proteasome subunit beta 6
107296256,369.8396596,0.768226592,151.3290566,valyl-tRNA synthetase
107297930,319.0829574,0.768117565,153.4971007,transmembrane protein 97-like
107289988,256.4629047,0.767968551,153.4041988,uncharacterized LOC107289988
107298473,492.7351241,0.766613396,164.6843233,pyruvate dehydrogenase kinase 3
107293166,268.5316715,0.766303822,124.1422747,vesicle associated membrane protein 7
107286869,450.1651034,0.76600296,167.7249843,peroxisomal biogenesis factor 3
107295724,213.3863623,0.765730177,120.0064139,ligand of numb-protein X 1 E3 ubiquitin protein ligase
107298225,417.0651614,0.76534005,159.3735459,phosphatidylserine synthase 1-like
107293829,241.7654819,0.764855397,112.3842439,SECIS binding protein 2
107296981,234.1786479,0.7647933,147.484904,uncharacterized LOC107296981
107290845,212.9155164,0.764552441,111.9125831,sideroflexin 2
107289136,244.3651502,0.764475768,129.1470072,sterol regulatory element binding transcription factor 1
107298799,255.4637572,0.764436937,131.5033588,multiple EGF like domains 9
107291376,350.411781,0.764129901,143.7038635,caspase 9
107285142,448.8795117,0.763916643,158.6126034,protein kinase C substrate 80K-H
107289751,340.7597605,0.763713745,140.7702271,coiled-coil domain containing 125
107286070,283.133827,0.763665344,142.9590593,collagen alpha-6(VI) chain-like
107286331,259.3982107,0.763490074,138.6089115,selenoprotein O
107285366,412.9585398,0.763404892,153.4451536,phospholipase C beta 4
107295275,390.7969733,0.763160982,163.8297487,uncharacterized LOC107295275
107302380,450.6694366,0.763057054,164.7176616,USO1 vesicle transport factor
107302762,277.4292737,0.763054688,121.5449482,MYC induced nuclear antigen
107283283,352.6957957,0.762992006,149.4656571,adducin 2
107301346,421.7258452,0.762983214,144.617033,conserved oligomeric Golgi complex subunit 6-like
107288809,208.5686201,0.762005679,117.0939751,solute carrier family 26 member 11
107286891,298.6540128,0.761908299,134.6360462,tRNA methyltransferase 1
107302593,215.364568,0.761900426,116.8160095,fermitin family homolog 1-like
107289349,229.3206929,0.760936689,110.4414659,GTP binding protein 2
107285233,211.0117101,0.760907114,117.7314874,RAR related orphan receptor C
107288885,226.0635748,0.760866276,122.5440056,pyruvate dehyrogenase phosphatase catalytic subunit 2
107283246,283.3485298,0.760622006,130.3500863,gamma-glutamyl carboxylase
107298367,237.1444883,0.760547486,124.0307298,FK506 binding protein like
107295007,332.857502,0.760415204,134.3825512,chromosome unknown open reading frame human C19orf52
107293732,287.9559338,0.760186948,128.4046841,17-beta-hydroxysteroid dehydrogenase type 6-like
107289376,365.86932,0.760182806,145.6688129,transmembrane protein 189-like
107283289,223.1286078,0.760077752,123.2079791,engulfment and cell motility 1
