Orthogroup	P_troglodytes.pep	H_sapiens.pep
OG0002253	ENSPTRG00000005477.6	ENSG00000089127.13
OG0002254	ENSPTRG00000018286.6	ENSG00000112144.15
OG0002255	ENSPTRG00000011606.6	ENSG00000189292.16
OG0002255	ENSPTRG00000024172.4	ENSG00000196711.9
OG0002256	ENSPTRG00000014635.5	ENSG00000132155.12
OG0002257	ENSPTRG00000018442.6	ENSG00000132424.16
OG0002258	ENSPTRG00000018567.6	ENSG00000186439.14
OG0002259	ENSPTRG00000018464.4	ENSG00000130349.10
OG0002260	ENSPTRG00000052720.1, ENSPTRG00000014651.7	ENSG00000131389.17
OG0002261	ENSPTRG00000014592.6	ENSG00000156983.16
OG0002262	ENSPTRG00000017931.6	ENSG00000227804.7, ENSG00000231737.7, ENSG00000206489.9, ENSG00000230995.7, ENSG00000235291.7, ENSG00000204569.10, ENSG00000238104.7
OG0002263	ENSPTRG00000017932.6	ENSG00000227420.8, ENSG00000226111.8, ENSG00000223775.8, ENSG00000203624.10, ENSG00000229861.8, ENSG00000233813.8, ENSG00000204568.12
OG0002264	ENSPTRG00000017933.6	ENSG00000229061.8, ENSG00000137343.18, ENSG00000234549.8, ENSG00000206488.10, ENSG00000235658.8, ENSG00000223752.8, ENSG00000231257.8
OG0002265	ENSPTRG00000017934.7	ENSG00000237100.9, ENSG00000224120.9, ENSG00000237012.9, ENSG00000206487.11, ENSG00000233641.9, ENSG00000233164.9, ENSG00000204564.12
OG0002266	ENSPTRG00000046415.1	ENSG00000085511.20
OG0002267	ENSPTRG00000050741.1	ENSG00000213760.10
OG0002268	ENSPTRG00000017997.5	ENSG00000228896.9, ENSG00000223493.9, ENSG00000206353.11, ENSG00000232616.9, ENSG00000225737.9, ENSG00000204351.12
OG0002269	ENSPTRG00000017992.6	ENSG00000238134.8, ENSG00000232045.7, ENSG00000227333.8, ENSG00000206376.9, ENSG00000204371.11, ENSG00000236759.7
OG0002270	ENSPTRG00000002134.7	ENSG00000143669.14
OG0002271	ENSPTRG00000018821.7	ENSG00000276187.4, ENSG00000130023.16
OG0002272	ENSPTRG00000018803.6	ENSG00000112494.10
OG0002273	ENSPTRG00000011928.4, ENSPTRG00000023227.5	ENSG00000231767.4, ENSG00000143947.13
OG0002274	ENSPTRG00000044789.1	ENSG00000211809.2
OG0002274	ENSPTRG00000052728.1, ENSPTRG00000048999.1, ENSPTRG00000046695.1	ENSG00000211813.2, ENSG00000259092.1
OG0002274	ENSPTRG00000044743.1	ENSG00000211806.2
OG0002275	ENSPTRG00000010658.7	ENSG00000099331.13
OG0002276	ENSPTRG00000010427.5	ENSG00000133250.14
OG0002276	ENSPTRG00000010425.4	ENSG00000133246.12
OG0002277	ENSPTRG00000002457.5	ENSG00000277495.4, ENSG00000256574.8
OG0002278	ENSPTRG00000011039.6	ENSG00000076928.17
OG0002279	ENSPTRG00000001460.7	ENSG00000116604.18
OG0002280	ENSPTRG00000016353.6	ENSG00000109475.16
OG0002282	ENSPTRG00000043228.1	ENSG00000136695.15
OG0002282	ENSPTRG00000012377.5	ENSG00000136697.13
OG0002282	ENSPTRG00000012378.6	ENSG00000136689.18
OG0002283	ENSPTRG00000029781.5	ENSG00000205810.8
OG0002283	ENSPTRG00000052684.1	ENSG00000255641.1
OG0002283	ENSPTRG00000029778.5	ENSG00000134545.13
OG0002283	ENSPTRG00000040296.2	ENSG00000255819.7, ENSG00000183542.5
OG0002284	ENSPTRG00000044691.1, ENSPTRG00000047272.1	ENSG00000211694.2, ENSG00000211693.2
OG0002285	ENSPTRG00000049445.1	ENSG00000151778.11
OG0002285	ENSPTRG00000015527.5	ENSG00000120742.11
OG0002286	ENSPTRG00000023495.3	ENSG00000116001.16
OG0002287	ENSPTRG00000040206.2, ENSPTRG00000020385.6	ENSG00000176731.12
OG0002288	ENSPTRG00000051932.1, ENSPTRG00000002318.6	ENSG00000152464.15
OG0002289	ENSPTRG00000007342.4	ENSG00000136381.13
OG0002290	ENSPTRG00000000202.5	ENSG00000116771.6
OG0002291	ENSPTRG00000048598.1	ENSG00000172380.6
OG0002291	ENSPTRG00000043589.1	ENSG00000176533.13
OG0002292	ENSPTRG00000023606.5	ENSG00000198488.10
OG0002292	ENSPTRG00000010684.4	ENSG00000179913.11
OG0002293	ENSPTRG00000024364.4	ENSG00000189334.9
OG0002293	ENSPTRG00000022794.5	ENSG00000189171.14
OG0002295	ENSPTRG00000040667.2, ENSPTRG00000049136.1	ENSG00000171469.11
OG0002295	ENSPTRG00000010448.6, ENSPTRG00000010449.4	ENSG00000171466.10
OG0002295	ENSPTRG00000010447.5	ENSG00000130818.12
OG0002295	ENSPTRG00000023219.6	ENSG00000174652.19
OG0002297	ENSPTRG00000011440.5, ENSPTRG00000048476.1	ENSG00000170909.13, ENSG00000275736.4, ENSG00000274703.4, ENSG00000277088.4, ENSG00000273511.4, ENSG00000276982.4, ENSG00000278533.4, ENSG00000275551.4, ENSG00000275644.4, ENSG00000278378.4
OG0002298	ENSPTRG00000016328.6	ENSG00000164038.16
OG0002298	ENSPTRG00000034546.3, ENSPTRG00000016327.6	ENSG00000164037.17
OG0002299	ENSPTRG00000011484.6	ENSG00000278149.1, ENSG00000275474.1, ENSG00000276826.1, ENSG00000274504.1, ENSG00000274418.1, ENSG00000273944.1, ENSG00000276341.1, ENSG00000278284.1, ENSG00000160439.16, ENSG00000276684.4
OG0002302	ENSPTRG00000043148.1, ENSPTRG00000049796.1	ENSG00000282748.1, ENSG00000211731.1, ENSG00000282577.1, ENSG00000211725.3, ENSG00000282803.1, ENSG00000211734.3, ENSG00000282148.1, ENSG00000211715.1, ENSG00000230099.2, ENSG00000282466.1, ENSG00000211728.2, ENSG00000282098.1
OG0002303	ENSPTRG00000051925.1, ENSPTRG00000049294.1	ENSG00000206467.6, ENSG00000224319.4, ENSG00000227044.4, ENSG00000206512.6, ENSG00000204657.4, ENSG00000229680.4, ENSG00000229185.4
OG0002320	ENSPTRG00000049956.1, ENSPTRG00000028467.3	ENSG00000077454.16
OG0002321	ENSPTRG00000012060.6	ENSG00000135624.16
OG0002322	ENSPTRG00000041531.2, ENSPTRG00000008155.6, ENSPTRG00000050341.1	ENSG00000005194.15
OG0002323	ENSPTRG00000049993.1	ENSG00000149260.18
OG0002324	ENSPTRG00000048483.1, ENSPTRG00000008150.2	ENSG00000102931.8
OG0002325	ENSPTRG00000052392.1	ENSG00000104824.17
OG0002325	ENSPTRG00000010941.5	ENSG00000282947.2
OG0002326	ENSPTRG00000008904.5	ENSG00000087095.13
OG0002327	ENSPTRG00000012760.6	ENSG00000196950.14
OG0002328	ENSPTRG00000052601.1, ENSPTRG00000044665.1, ENSPTRG00000049884.1, ENSPTRG00000043291.1, ENSPTRG00000045315.1	ENSG00000144381.17
OG0002329	ENSPTRG00000008497.4	ENSG00000140995.16
OG0002330	ENSPTRG00000018047.5	ENSG00000233450.7, ENSG00000237649.8, ENSG00000204197.9
OG0002331	ENSPTRG00000023062.5	ENSG00000168036.18
OG0002332	ENSPTRG00000004183.4	ENSG00000123901.9
OG0002333	ENSPTRG00000015409.6	ENSG00000091527.15
OG0002334	ENSPTRG00000007801.5	ENSG00000085721.12, ENSG00000278494.2
OG0002335	ENSPTRG00000000578.6	ENSG00000116985.12
OG0002335	ENSPTRG00000000572.6	ENSG00000183682.8
OG0002336	ENSPTRG00000005641.6	ENSG00000198598.6
OG0002337	ENSPTRG00000019138.4, ENSPTRG00000046411.1	ENSG00000106628.10
OG0002339	ENSPTRG00000052493.1, ENSPTRG00000043520.1, ENSPTRG00000011215.6	ENSG00000105373.19
OG0002340	ENSPTRG00000001270.6	ENSG00000143409.15
OG0002341	ENSPTRG00000007098.6	ENSG00000256061.7
OG0002342	ENSPTRG00000009831.5	ENSG00000101596.15
OG0002343	ENSPTRG00000050333.1	ENSG00000148396.18
OG0002344	ENSPTRG00000021990.4	ENSG00000089289.16
OG0002344	ENSPTRG00000042309.2	ENSG00000266826.2
OG0002345	ENSPTRG00000048581.1, ENSPTRG00000011201.6	ENSG00000130749.10
OG0002346	ENSPTRG00000011002.6	ENSG00000090006.17
OG0002347	ENSPTRG00000008583.3	ENSG00000074755.15
OG0002348	ENSPTRG00000051532.1, ENSPTRG00000002548.6	ENSG00000096717.12
OG0002349	ENSPTRG00000002549.6	ENSG00000148634.15
OG0002350	ENSPTRG00000010993.4	ENSG00000160392.13
OG0002351	ENSPTRG00000021999.4	ENSG00000082458.12
OG0002352	ENSPTRG00000010917.4	ENSG00000105738.11
OG0002353	ENSPTRG00000006713.5	ENSG00000036530.9
OG0002354	ENSPTRG00000008850.5	ENSG00000176994.11, ENSG00000283741.2
OG0002355	ENSPTRG00000007496.7	ENSG00000068305.17
OG0002356	ENSPTRG00000008851.6	ENSG00000176974.20, ENSG00000284320.3
OG0002357	ENSPTRG00000003494.5	ENSG00000135372.9
OG0002358	ENSPTRG00000014023.6	ENSG00000160299.17
OG0002359	ENSPTRG00000010951.5	ENSG00000183760.11
OG0002360	ENSPTRG00000015692.6	ENSG00000114859.16
OG0002361	ENSPTRG00000012616.6	ENSG00000138399.18
OG0002362	ENSPTRG00000044865.1	ENSG00000147155.11, ENSG00000286268.1
OG0002363	ENSPTRG00000008429.6	ENSG00000131149.19
OG0002364	ENSPTRG00000016788.6	ENSG00000152582.14
OG0002365	ENSPTRG00000021346.6	ENSG00000165209.19
OG0002366	ENSPTRG00000011266.4	ENSG00000104808.8
OG0002367	ENSPTRG00000011298.5, ENSPTRG00000049426.1, ENSPTRG00000051766.1, ENSPTRG00000050666.1	ENSG00000142541.17
OG0002368	ENSPTRG00000020549.7	ENSG00000259305.6, ENSG00000189376.12
OG0002369	ENSPTRG00000005524.6	ENSG00000111737.12
OG0002371	ENSPTRG00000006110.6	ENSG00000165795.23
OG0002372	ENSPTRG00000047695.1, ENSPTRG00000005859.6	ENSG00000136143.16
OG0002373	ENSPTRG00000049058.1, ENSPTRG00000013866.6	ENSG00000243646.10
OG0002374	ENSPTRG00000012693.6	ENSG00000163492.15
OG0002375	ENSPTRG00000013390.5	ENSG00000186191.8
OG0002375	ENSPTRG00000022778.4	ENSG00000186190.7
OG0002376	ENSPTRG00000028525.3, ENSPTRG00000048014.1, ENSPTRG00000019323.6	ENSG00000188372.15
OG0002377	ENSPTRG00000048659.1, ENSPTRG00000007289.5	ENSG00000178741.12
OG0002378	ENSPTRG00000006865.4	ENSG00000275917.4, ENSG00000166664.13, ENSG00000175344.18, ENSG00000282088.3, ENSG00000274542.1
OG0002379	ENSPTRG00000046052.1, ENSPTRG00000044491.1	ENSG00000185515.14
OG0002380	ENSPTRG00000013121.6	ENSG00000115677.17
OG0002381	ENSPTRG00000009555.6	ENSG00000154240.17
OG0002383	ENSPTRG00000008735.4	ENSG00000178921.14
OG0002384	ENSPTRG00000049755.1, ENSPTRG00000052822.1	ENSG00000170348.9
OG0002385	ENSPTRG00000007036.4	ENSG00000104154.7
OG0002386	ENSPTRG00000002187.6	ENSG00000185420.19
OG0002387	ENSPTRG00000013176.6	ENSG00000125835.18
OG0002387	ENSPTRG00000006826.7	ENSG00000128739.22
OG0002388	ENSPTRG00000011051.4	ENSG00000079432.7
OG0002389	ENSPTRG00000020900.7	ENSG00000165280.16
OG0002390	ENSPTRG00000002452.6	ENSG00000107551.21
OG0002390	ENSPTRG00000013219.6	ENSG00000101265.16
OG0002391	ENSPTRG00000007414.6	ENSG00000170776.21
OG0002392	ENSPTRG00000017986.7	ENSG00000224979.6, ENSG00000225998.6, ENSG00000231502.6, ENSG00000236826.7, ENSG00000204392.11, ENSG00000172850.11
OG0002393	ENSPTRG00000017984.6	ENSG00000234433.8, ENSG00000204396.11, ENSG00000227144.8, ENSG00000238203.8, ENSG00000230048.8, ENSG00000223757.8
OG0002394	ENSPTRG00000015117.6	ENSG00000185008.17
OG0002395	ENSPTRG00000021307.4	ENSG00000056558.11
OG0002396	ENSPTRG00000008143.4	ENSG00000070915.9
OG0002397	ENSPTRG00000007537.6	ENSG00000103126.15
OG0002398	ENSPTRG00000031195.2	ENSG00000166188.2
OG0002399	ENSPTRG00000020053.6	ENSG00000168484.12
OG0002400	ENSPTRG00000006092.4	ENSG00000092094.11
OG0002401	ENSPTRG00000000469.7	ENSG00000121774.18
OG0002402	ENSPTRG00000001356.6	ENSG00000160679.13
OG0002403	ENSPTRG00000030892.3	ENSG00000176749.9
OG0002404	ENSPTRG00000007897.6	ENSG00000122257.20
OG0002405	ENSPTRG00000018654.7	ENSG00000135597.18
OG0002406	ENSPTRG00000008731.5, ENSPTRG00000052224.1	ENSG00000178999.13
OG0002406	ENSPTRG00000011547.4	ENSG00000105146.13
OG0002407	ENSPTRG00000000287.4	ENSG00000162545.6
OG0002407	ENSPTRG00000015688.4	ENSG00000163888.4
OG0002408	ENSPTRG00000021594.5	ENSG00000176884.15
OG0002409	ENSPTRG00000002005.5	ENSG00000143507.18
OG0002410	ENSPTRG00000002441.5	ENSG00000165733.8
OG0002411	ENSPTRG00000018597.6	ENSG00000079819.19
OG0002412	ENSPTRG00000018582.5	ENSG00000255330.9, ENSG00000214338.10
OG0002413	ENSPTRG00000009564.6	ENSG00000154217.15
OG0002414	ENSPTRG00000008226.4	ENSG00000168676.11
OG0002415	ENSPTRG00000043363.1	ENSG00000022267.19
OG0002416	ENSPTRG00000020526.5	ENSG00000182197.11
OG0002417	ENSPTRG00000051489.1, ENSPTRG00000044139.1, ENSPTRG00000047333.1, ENSPTRG00000004996.4	ENSG00000111057.11
OG0002419	ENSPTRG00000005997.5	ENSG00000125304.10
OG0002420	ENSPTRG00000000408.4, ENSPTRG00000000409.5	ENSG00000158195.11
OG0002421	ENSPTRG00000043716.1, ENSPTRG00000019995.7	ENSG00000154328.16
OG0002422	ENSPTRG00000020798.4	ENSG00000155876.6
OG0002422	ENSPTRG00000021955.5	ENSG00000083750.12
OG0002423	ENSPTRG00000033870.3	ENSG00000260092.1, ENSG00000205084.11
OG0002424	ENSPTRG00000004339.6	ENSG00000167286.9
OG0002424	ENSPTRG00000004340.5	ENSG00000160654.10
OG0002425	ENSPTRG00000015900.6	ENSG00000163995.20
OG0002426	ENSPTRG00000006197.7	ENSG00000259529.2, ENSG00000092098.17, ENSG00000285152.2, ENSG00000284845.2
OG0002427	ENSPTRG00000012626.7	ENSG00000128683.14
OG0002428	ENSPTRG00000008338.2	ENSG00000140829.12
OG0002429	ENSPTRG00000015856.6	ENSG00000159788.19
OG0002430	ENSPTRG00000008832.6	ENSG00000133027.18
OG0002431	ENSPTRG00000043946.1, ENSPTRG00000008824.6	ENSG00000133030.21
OG0002432	ENSPTRG00000034198.3	ENSG00000214814.7
OG0002433	ENSPTRG00000046494.1, ENSPTRG00000051930.1, ENSPTRG00000020560.6	ENSG00000176853.16
OG0002434	ENSPTRG00000045975.1, ENSPTRG00000048265.1, ENSPTRG00000049659.1, ENSPTRG00000044401.1, ENSPTRG00000045544.1, ENSPTRG00000046440.1, ENSPTRG00000023301.6, ENSPTRG00000012453.4	ENSG00000260691.6, ENSG00000183148.7, ENSG00000276203.5, ENSG00000172014.12
OG0002435	ENSPTRG00000010737.6	ENSG00000105705.16
OG0002436	ENSPTRG00000044299.1	ENSG00000184986.11
OG0002437	ENSPTRG00000001638.7	ENSG00000143199.18
OG0002438	ENSPTRG00000000886.7	ENSG00000162614.18
OG0002439	ENSPTRG00000051380.1	ENSG00000162367.11
OG0002440	ENSPTRG00000000052.5, ENSPTRG00000048145.1	ENSG00000273494.3, ENSG00000157881.15
OG0002441	ENSPTRG00000008285.5	ENSG00000141101.13
OG0002442	ENSPTRG00000012547.3	ENSG00000162989.5
OG0002443	ENSPTRG00000001582.6	ENSG00000143257.11
OG0002443	ENSPTRG00000015263.6	ENSG00000144852.17
OG0002444	ENSPTRG00000008840.4	ENSG00000171953.16
OG0002445	ENSPTRG00000014352.6	ENSG00000100129.18
OG0002446	ENSPTRG00000044028.1, ENSPTRG00000050587.1, ENSPTRG00000047992.1	ENSG00000102172.16
OG0002447	ENSPTRG00000006854.5	ENSG00000276787.1, ENSG00000198690.10
OG0002448	ENSPTRG00000041089.2	ENSG00000123091.5
OG0002449	ENSPTRG00000051494.1	ENSG00000099974.8
OG0002449	ENSPTRG00000047543.1	ENSG00000275758.2
OG0002450	ENSPTRG00000008961.5	ENSG00000108582.12
OG0002451	ENSPTRG00000010552.4	ENSG00000179262.10
OG0002452	ENSPTRG00000008167.5	ENSG00000140859.16
OG0002453	ENSPTRG00000023726.6	ENSG00000197580.13
OG0002454	ENSPTRG00000020113.6	ENSG00000168079.17
OG0002455	ENSPTRG00000004280.4	ENSG00000150773.10
OG0002456	ENSPTRG00000020492.5	ENSG00000164933.12, ENSG00000285982.1
OG0002457	ENSPTRG00000020865.6, ENSPTRG00000007132.5	ENSG00000182718.16
OG0002458	ENSPTRG00000024347.5	ENSG00000096070.19
OG0002459	ENSPTRG00000006468.6, ENSPTRG00000046766.1	ENSG00000100568.11
OG0002460	ENSPTRG00000004587.3	ENSG00000089693.10
OG0002461	ENSPTRG00000021525.7	ENSG00000160293.17
OG0002462	ENSPTRG00000048224.1, ENSPTRG00000021452.6	ENSG00000095321.17
OG0002463	ENSPTRG00000047275.1, ENSPTRG00000020701.6	ENSG00000160948.14, ENSG00000285339.2
OG0002464	ENSPTRG00000050461.1, ENSPTRG00000050965.1, ENSPTRG00000022530.4	ENSG00000188976.11
OG0002465	ENSPTRG00000020672.6	ENSG00000178209.15
OG0002466	ENSPTRG00000011119.6	ENSG00000073008.15
OG0002466	ENSPTRG00000011125.6	ENSG00000130202.10
OG0002468	ENSPTRG00000028742.3	ENSG00000177105.10
OG0002469	ENSPTRG00000007549.6	ENSG00000161996.19
OG0002470	ENSPTRG00000005041.6	ENSG00000170627.11
OG0002471	ENSPTRG00000001876.6	ENSG00000215817.7, ENSG00000058673.16
OG0002472	ENSPTRG00000018751.6	ENSG00000130363.12
OG0002474	ENSPTRG00000000773.6	ENSG00000271723.5, ENSG00000184313.20
OG0002474	ENSPTRG00000013470.7	ENSG00000101353.14
OG0002475	ENSPTRG00000046234.1	ENSG00000133454.15
OG0002476	ENSPTRG00000020299.5	ENSG00000066855.16
OG0002477	ENSPTRG00000008249.7	ENSG00000038358.15
OG0002478	ENSPTRG00000051531.1	ENSG00000147099.21
OG0002479	ENSPTRG00000043316.1	ENSG00000180611.7
OG0002480	ENSPTRG00000052313.1	ENSG00000269190.6, ENSG00000282954.2
OG0002480	ENSPTRG00000010950.3	ENSG00000161243.9
OG0002481	ENSPTRG00000044127.1, ENSPTRG00000019503.5	ENSG00000146830.10
OG0002482	ENSPTRG00000010051.6	ENSG00000049759.18
OG0002483	ENSPTRG00000044983.1, ENSPTRG00000020109.6	ENSG00000147419.18
OG0002484	ENSPTRG00000001250.7	ENSG00000117362.13
OG0002485	ENSPTRG00000004461.7	ENSG00000110080.18
OG0002486	ENSPTRG00000043869.1, ENSPTRG00000044451.1, ENSPTRG00000048018.1, ENSPTRG00000043149.1, ENSPTRG00000022919.6	ENSG00000147601.14
OG0002487	ENSPTRG00000046987.1	ENSG00000154582.16
OG0002488	ENSPTRG00000008133.5	ENSG00000125124.12
OG0002489	ENSPTRG00000002632.6	ENSG00000166348.18
OG0002490	ENSPTRG00000007543.6	ENSG00000275338.4, ENSG00000090565.16
OG0002491	ENSPTRG00000011763.6	ENSG00000115207.13
OG0002492	ENSPTRG00000009931.5	ENSG00000141380.14
OG0002493	ENSPTRG00000013797.6	ENSG00000281484.2, ENSG00000154640.14
OG0002494	ENSPTRG00000042247.2	ENSG00000169490.17
OG0002495	ENSPTRG00000014756.4	ENSG00000172940.13
OG0002496	ENSPTRG00000020678.6	ENSG00000197858.11
OG0002497	ENSPTRG00000049077.1	ENSG00000136450.13
OG0002498	ENSPTRG00000013144.7	ENSG00000125826.20
OG0002499	ENSPTRG00000005500.4	ENSG00000111412.6
OG0002500	ENSPTRG00000001776.6	ENSG00000121486.12
OG0002501	ENSPTRG00000011843.4	ENSG00000138061.12
OG0002502	ENSPTRG00000007917.6	ENSG00000047578.13
OG0002503	ENSPTRG00000019975.4	ENSG00000285141.2, ENSG00000184647.11
OG0002504	ENSPTRG00000019047.6	ENSG00000240583.12
OG0002505	ENSPTRG00000007275.4	ENSG00000138623.10, ENSG00000288455.1
OG0002506	ENSPTRG00000008113.6	ENSG00000177200.17
OG0002507	ENSPTRG00000050411.1, ENSPTRG00000006911.4	ENSG00000140319.11
OG0002508	ENSPTRG00000001903.3	ENSG00000158715.6
OG0002509	ENSPTRG00000048574.1, ENSPTRG00000015680.5, ENSPTRG00000047655.1, ENSPTRG00000047374.1	ENSG00000149273.15
OG0002510	ENSPTRG00000005560.6	ENSG00000089094.19
OG0002511	ENSPTRG00000023860.4	ENSG00000254469.7
OG0002512	ENSPTRG00000021290.5	ENSG00000136888.7
OG0002513	ENSPTRG00000006192.6	ENSG00000284796.1, ENSG00000100897.17
OG0002514	ENSPTRG00000004360.3	ENSG00000186166.9, ENSG00000280975.3
OG0002515	ENSPTRG00000005636.5	ENSG00000132341.12
OG0002516	ENSPTRG00000005203.7	ENSG00000135679.25
OG0002517	ENSPTRG00000043403.1, ENSPTRG00000011614.4	ENSG00000286905.1, ENSG00000171865.10
OG0002518	ENSPTRG00000010117.6	ENSG00000215421.9
OG0002519	ENSPTRG00000019918.6	ENSG00000130675.15
OG0002520	ENSPTRG00000014074.6	ENSG00000099899.15
OG0002521	ENSPTRG00000008256.5	ENSG00000141096.6
OG0002521	ENSPTRG00000008257.6	ENSG00000167261.14
OG0002523	ENSPTRG00000009457.6	ENSG00000121101.15
OG0002524	ENSPTRG00000002236.6	ENSG00000107937.19
OG0002525	ENSPTRG00000018131.4	ENSG00000112164.6
OG0002526	ENSPTRG00000017777.6	ENSG00000137261.14
OG0002527	ENSPTRG00000002239.4	ENSG00000067064.11
OG0002528	ENSPTRG00000021305.7	ENSG00000095261.14
OG0002529	ENSPTRG00000000552.3	ENSG00000134690.11
OG0002530	ENSPTRG00000008444.6	ENSG00000103264.18
OG0002531	ENSPTRG00000040616.2	ENSG00000162073.14
OG0002532	ENSPTRG00000006304.7	ENSG00000185246.18
OG0002533	ENSPTRG00000052164.1	ENSG00000128482.16
OG0002535	ENSPTRG00000004578.6	ENSG00000010295.19
OG0002536	ENSPTRG00000002404.7	ENSG00000148516.21
OG0002537	ENSPTRG00000016745.6	ENSG00000145555.15
OG0002538	ENSPTRG00000011769.6	ENSG00000115216.14
OG0002539	ENSPTRG00000049741.1	ENSG00000117036.12
OG0002540	ENSPTRG00000002383.4	ENSG00000182077.11, ENSG00000276595.4
OG0002541	ENSPTRG00000039221.2, ENSPTRG00000017013.3	ENSG00000171530.14
OG0002542	ENSPTRG00000044070.1	ENSG00000003096.14
OG0002542	ENSPTRG00000022846.4	ENSG00000198642.7
OG0002543	ENSPTRG00000004308.6	ENSG00000137634.10
OG0002543	ENSPTRG00000004307.3	ENSG00000095110.8
OG0002543	ENSPTRG00000028394.4	ENSG00000204361.10
OG0002544	ENSPTRG00000000033.5	ENSG00000215915.10
OG0002544	ENSPTRG00000044190.1, ENSPTRG00000000031.6	ENSG00000160072.20
OG0002545	ENSPTRG00000021168.4	ENSG00000136936.10
OG0002546	ENSPTRG00000021171.3	ENSG00000136929.13
OG0002547	ENSPTRG00000048652.1, ENSPTRG00000003377.5	ENSG00000148925.10
OG0002548	ENSPTRG00000002336.3	ENSG00000260314.3
OG0002549	ENSPTRG00000002765.6	ENSG00000138119.17
OG0002550	ENSPTRG00000002265.6	ENSG00000134453.16
OG0002551	ENSPTRG00000002384.7	ENSG00000099246.16
OG0002552	ENSPTRG00000048763.1, ENSPTRG00000003522.6	ENSG00000149084.13
OG0002553	ENSPTRG00000018819.5	ENSG00000130024.15
OG0002554	ENSPTRG00000003385.6	ENSG00000129084.17
OG0002555	ENSPTRG00000021271.3	ENSG00000119321.9
OG0002556	ENSPTRG00000051066.1, ENSPTRG00000019377.6	ENSG00000127954.12
OG0002557	ENSPTRG00000051985.1, ENSPTRG00000019381.2	ENSG00000164647.9
OG0002557	ENSPTRG00000049287.1, ENSPTRG00000051768.1	ENSG00000105889.15
OG0002558	ENSPTRG00000019712.6	ENSG00000131558.15
OG0002559	ENSPTRG00000019384.7, ENSPTRG00000048897.1	ENSG00000105793.15
OG0002560	ENSPTRG00000012018.6	ENSG00000115977.19
OG0002561	ENSPTRG00000015656.6	ENSG00000114416.18
OG0002562	ENSPTRG00000015652.6	ENSG00000163728.11
OG0002563	ENSPTRG00000048629.1, ENSPTRG00000051787.1, ENSPTRG00000046575.1, ENSPTRG00000007836.5	ENSG00000103550.14
OG0002564	ENSPTRG00000019316.4	ENSG00000146701.12
OG0002565	ENSPTRG00000021248.7	ENSG00000030304.14
OG0002566	ENSPTRG00000020956.2	ENSG00000137124.8
OG0002566	ENSPTRG00000005463.5	ENSG00000111275.13
OG0002567	ENSPTRG00000048429.1, ENSPTRG00000018894.6	ENSG00000011275.18
OG0002568	ENSPTRG00000006749.4	ENSG00000185215.9
OG0002569	ENSPTRG00000009965.3	ENSG00000166974.13
OG0002570	ENSPTRG00000046790.1, ENSPTRG00000019528.5	ENSG00000128581.17
OG0002571	ENSPTRG00000048482.1, ENSPTRG00000049050.1, ENSPTRG00000052163.1	ENSG00000105829.13
OG0002572	ENSPTRG00000049615.1, ENSPTRG00000050151.1	ENSG00000211637.2, ENSG00000211639.2
OG0002573	ENSPTRG00000011460.5, ENSPTRG00000050721.1	ENSG00000275183.2, ENSG00000278312.1, ENSG00000273574.1, ENSG00000274495.1
OG0002574	ENSPTRG00000051064.1, ENSPTRG00000011458.5	ENSG00000276537.4, ENSG00000167614.14, ENSG00000275650.4, ENSG00000276887.4
OG0002575	ENSPTRG00000046704.1	ENSG00000265808.4
OG0002576	ENSPTRG00000001672.5	ENSG00000094963.14
OG0002577	ENSPTRG00000003755.5	ENSG00000167994.13
OG0002578	ENSPTRG00000019425.5	ENSG00000006377.11
OG0002579	ENSPTRG00000010453.4	ENSG00000105088.8
OG0002580	ENSPTRG00000011507.4, ENSPTRG00000042884.1, ENSPTRG00000048409.1	ENSG00000108106.14
OG0002581	ENSPTRG00000015575.5	ENSG00000283154.2
OG0002582	ENSPTRG00000004503.5	ENSG00000120645.12, ENSG00000262607.5, ENSG00000282676.1
OG0002583	ENSPTRG00000018955.6	ENSG00000283321.1, ENSG00000106546.14
OG0002584	ENSPTRG00000044071.1	ENSG00000174944.9
OG0002585	ENSPTRG00000014034.6	ENSG00000069998.12
OG0002586	ENSPTRG00000019041.5	ENSG00000281039.1, ENSG00000006625.18
OG0002587	ENSPTRG00000013006.6	ENSG00000153832.12
OG0002588	ENSPTRG00000012993.6	ENSG00000168958.19
OG0002589	ENSPTRG00000019775.4, ENSPTRG00000050750.1, ENSPTRG00000045097.1, ENSPTRG00000046004.1	ENSG00000262327.7, ENSG00000006530.18
OG0002590	ENSPTRG00000019778.4	ENSG00000106028.11
OG0002590	ENSPTRG00000052697.1	ENSG00000262771.5
OG0002591	ENSPTRG00000014746.7	ENSG00000144674.16
OG0002592	ENSPTRG00000044145.1, ENSPTRG00000019067.6, ENSPTRG00000050932.1	ENSG00000122643.21
OG0002593	ENSPTRG00000029559.3	ENSG00000204954.10
OG0002594	ENSPTRG00000051467.1, ENSPTRG00000034326.3	ENSG00000120837.8
OG0002595	ENSPTRG00000019105.5	ENSG00000106536.20
OG0002596	ENSPTRG00000043336.1, ENSPTRG00000019837.5	ENSG00000106462.11
OG0002597	ENSPTRG00000013130.6	ENSG00000168395.15
OG0002598	ENSPTRG00000010618.7	ENSG00000105131.8
OG0002598	ENSPTRG00000000955.5	ENSG00000172031.7
OG0002599	ENSPTRG00000001889.7	ENSG00000198625.13
