Orthogroup	P_troglodytes.pep	M_musculus.pep
OG0001831	ENSPTRG00000006470.4	ENSMUSG00000021123.12
OG0001831	ENSPTRG00000006469.6	ENSMUSG00000066441.14
OG0001832	ENSPTRG00000006268.6	ENSMUSG00000021027.17
OG0001833	ENSPTRG00000049505.1, ENSPTRG00000050508.1, ENSPTRG00000051009.1, ENSPTRG00000014075.5, ENSPTRG00000043450.1	ENSMUSG00000099164.8, ENSMUSG00000005732.14
OG0001834	ENSPTRG00000049299.1, ENSPTRG00000007935.5	ENSMUSG00000030738.11
OG0001835	ENSPTRG00000004738.6	ENSMUSG00000030226.12
OG0001835	ENSPTRG00000003330.6	ENSMUSG00000036111.8
OG0001836	ENSPTRG00000019784.5, ENSPTRG00000044670.1	ENSMUSG00000029915.14
OG0001837	ENSPTRG00000004073.6	ENSMUSG00000035227.7
OG0001838	ENSPTRG00000021419.6, ENSPTRG00000050745.1	ENSMUSG00000002546.16
OG0001838	ENSPTRG00000047818.1	ENSMUSG00000075425.10
OG0001839	ENSPTRG00000017497.4	ENSMUSG00000020428.13
OG0001839	ENSPTRG00000016029.5	ENSMUSG00000029211.11
OG0001840	ENSPTRG00000002180.7	ENSMUSG00000026502.13, ENSMUSG00000111522.1
OG0001842	ENSPTRG00000022201.5, ENSPTRG00000051880.1	ENSMUSG00000031290.14
OG0001843	ENSPTRG00000016695.6	ENSMUSG00000021612.15
OG0001843	ENSPTRG00000016694.4	ENSMUSG00000021565.16
OG0001844	ENSPTRG00000007028.6	ENSMUSG00000027224.14
OG0001844	ENSPTRG00000007027.5	ENSMUSG00000027225.7
OG0001845	ENSPTRG00000024082.6	ENSMUSG00000042476.12
OG0001845	ENSPTRG00000019369.6	ENSMUSG00000028970.9, ENSMUSG00000040584.8
OG0001846	ENSPTRG00000039153.2	ENSMUSG00000028495.14
OG0001847	ENSPTRG00000017963.6	ENSMUSG00000042419.8
OG0001848	ENSPTRG00000047770.1, ENSPTRG00000047072.1	ENSMUSG00000042814.8
OG0001849	ENSPTRG00000007970.3	ENSMUSG00000107068.1, ENSMUSG00000030680.6
OG0001850	ENSPTRG00000019500.5, ENSPTRG00000046117.1	ENSMUSG00000029712.14
OG0001850	ENSPTRG00000023973.5	ENSMUSG00000027671.14
OG0001851	ENSPTRG00000043623.1, ENSPTRG00000049930.1, ENSPTRG00000048982.1, ENSPTRG00000012419.5	ENSMUSG00000026377.12
OG0001852	ENSPTRG00000016021.5	ENSMUSG00000029158.9
OG0001852	ENSPTRG00000017365.6	ENSMUSG00000024487.5
OG0001853	ENSPTRG00000050997.1	ENSMUSG00000058503.11
OG0001854	ENSPTRG00000011766.2	ENSMUSG00000029146.14
OG0001854	ENSPTRG00000020474.5	ENSMUSG00000013611.14
OG0001855	ENSPTRG00000006491.6	ENSMUSG00000079055.10
OG0001855	ENSPTRG00000011209.5	ENSMUSG00000030376.8
OG0001856	ENSPTRG00000008372.6	ENSMUSG00000053399.9
OG0001856	ENSPTRG00000016710.6	ENSMUSG00000049538.14
OG0001857	ENSPTRG00000022029.5	ENSMUSG00000034055.16
OG0001858	ENSPTRG00000009956.6	ENSMUSG00000024317.15
OG0001858	ENSPTRG00000041703.2	ENSMUSG00000083695.6
OG0001859	ENSPTRG00000006735.6	ENSMUSG00000018707.13
OG0001860	ENSPTRG00000046124.1, ENSPTRG00000049984.1, ENSPTRG00000049468.1, ENSPTRG00000043601.1, ENSPTRG00000049096.1, ENSPTRG00000040050.2, ENSPTRG00000045671.1	ENSMUSG00000025364.13
OG0001861	ENSPTRG00000046729.1, ENSPTRG00000052642.1, ENSPTRG00000043997.1, ENSPTRG00000052077.1	ENSMUSG00000039985.14
OG0001862	ENSPTRG00000018944.5	ENSMUSG00000036095.11
OG0001863	ENSPTRG00000015550.6	ENSMUSG00000027820.12
OG0001863	ENSPTRG00000000055.6	ENSMUSG00000058183.14
OG0001864	ENSPTRG00000006267.4	ENSMUSG00000045440.4
OG0001865	ENSPTRG00000011893.5	ENSMUSG00000053375.8
OG0001866	ENSPTRG00000019764.5	ENSMUSG00000029924.12
OG0001867	ENSPTRG00000043503.1	ENSMUSG00000030088.15
OG0001867	ENSPTRG00000005382.5	ENSMUSG00000020256.14
OG0001868	ENSPTRG00000021186.6	ENSMUSG00000028341.9
OG0001869	ENSPTRG00000020082.3	ENSMUSG00000044186.10
OG0001869	ENSPTRG00000002830.6	ENSMUSG00000044220.13
OG0001870	ENSPTRG00000044975.1	ENSMUSG00000104158.2
OG0001870	ENSPTRG00000045185.1, ENSPTRG00000022819.5	ENSMUSG00000035086.13
OG0001871	ENSPTRG00000049975.1, ENSPTRG00000009225.4	ENSMUSG00000078652.9
OG0001872	ENSPTRG00000009229.5	ENSMUSG00000078650.2
OG0001873	ENSPTRG00000002905.6	ENSMUSG00000025041.17
OG0001874	ENSPTRG00000000644.7	ENSMUSG00000028538.12
OG0001875	ENSPTRG00000005287.4	ENSMUSG00000019936.10
OG0001875	ENSPTRG00000024044.4	ENSMUSG00000010311.15
OG0001876	ENSPTRG00000000668.7	ENSMUSG00000028684.14
OG0001877	ENSPTRG00000045901.1	ENSMUSG00000019888.16
OG0001878	ENSPTRG00000009269.6	ENSMUSG00000020923.17
OG0001879	ENSPTRG00000030596.5	ENSMUSG00000034645.14
OG0001879	ENSPTRG00000000746.6	ENSMUSG00000034636.9
OG0001880	ENSPTRG00000003069.5	ENSMUSG00000056856.13, ENSMUSG00000111614.2
OG0001881	ENSPTRG00000000753.6	ENSMUSG00000028609.6
OG0001882	ENSPTRG00000048209.1, ENSPTRG00000047957.1, ENSPTRG00000043542.1, ENSPTRG00000022902.5	ENSMUSG00000037935.16
OG0001883	ENSPTRG00000009134.4	ENSMUSG00000020912.4
OG0001884	ENSPTRG00000018164.5	ENSMUSG00000034165.16
OG0001884	ENSPTRG00000004549.3	ENSMUSG00000000184.12
OG0001885	ENSPTRG00000046035.1	ENSMUSG00000024217.10
OG0001886	ENSPTRG00000022086.5	ENSMUSG00000031250.8
OG0001886	ENSPTRG00000005907.3	ENSMUSG00000022025.13
OG0001887	ENSPTRG00000043648.1, ENSPTRG00000045774.1, ENSPTRG00000018063.7	ENSMUSG00000052146.16
OG0001888	ENSPTRG00000005162.6	ENSMUSG00000044071.9
OG0001889	ENSPTRG00000042375.2	ENSMUSG00000053747.9
OG0001890	ENSPTRG00000004854.7	ENSMUSG00000033228.8
OG0001891	ENSPTRG00000009342.5	ENSMUSG00000018678.13
OG0001892	ENSPTRG00000015930.6	ENSMUSG00000029084.5
OG0001892	ENSPTRG00000015929.4	ENSMUSG00000029082.17
OG0001893	ENSPTRG00000052115.1	ENSMUSG00000018666.13
OG0001894	ENSPTRG00000019617.5	ENSMUSG00000010797.6
OG0001894	ENSPTRG00000001108.6	ENSMUSG00000027840.5
OG0001895	ENSPTRG00000033721.3	ENSMUSG00000068823.10
OG0001896	ENSPTRG00000052252.1	ENSMUSG00000021643.15
OG0001897	ENSPTRG00000043613.1	ENSMUSG00000020205.8
OG0001897	ENSPTRG00000047455.1	ENSMUSG00000041801.5
OG0001898	ENSPTRG00000019346.6	ENSMUSG00000002944.15
OG0001899	ENSPTRG00000013703.7	ENSMUSG00000039050.8
OG0001900	ENSPTRG00000013962.5	ENSMUSG00000061032.9
OG0001900	ENSPTRG00000013958.4	ENSMUSG00000058392.13
OG0001901	ENSPTRG00000049777.1, ENSPTRG00000013951.6	ENSMUSG00000024039.15
OG0001902	ENSPTRG00000031436.5, ENSPTRG00000048555.1	ENSMUSG00000022957.20
OG0001903	ENSPTRG00000013869.4, ENSPTRG00000052667.1	ENSMUSG00000022964.14
OG0001904	ENSPTRG00000016480.5	ENSMUSG00000036977.8
OG0001905	ENSPTRG00000005800.6	ENSMUSG00000037016.11
OG0001905	ENSPTRG00000016474.4	ENSMUSG00000042353.9
OG0001906	ENSPTRG00000045602.1	ENSMUSG00000041132.11
OG0001907	ENSPTRG00000046092.1, ENSPTRG00000045771.1, ENSPTRG00000052090.1, ENSPTRG00000046168.1	ENSMUSG00000028081.6
OG0001908	ENSPTRG00000004212.6	ENSMUSG00000032000.17
OG0001908	ENSPTRG00000004213.3	ENSMUSG00000057367.12
OG0001909	ENSPTRG00000012079.6	ENSMUSG00000043131.14
OG0001909	ENSPTRG00000016138.6	ENSMUSG00000006262.15
OG0001910	ENSPTRG00000050195.1	ENSMUSG00000041841.8
OG0001911	ENSPTRG00000043253.1, ENSPTRG00000016944.6	ENSMUSG00000061474.11
OG0001912	ENSPTRG00000016955.5	ENSMUSG00000021645.16
OG0001913	ENSPTRG00000016952.7	ENSMUSG00000021638.12
OG0001915	ENSPTRG00000017042.5	ENSMUSG00000021707.5
OG0001916	ENSPTRG00000021088.6	ENSMUSG00000021395.11
OG0001917	ENSPTRG00000029242.2	ENSMUSG00000056829.4
OG0001917	ENSPTRG00000007131.5	ENSMUSG00000059246.4
OG0001918	ENSPTRG00000052678.1, ENSPTRG00000020994.5	ENSMUSG00000024878.9
OG0001919	ENSPTRG00000020806.4	ENSMUSG00000037996.17
OG0001919	ENSPTRG00000007185.7	ENSMUSG00000034452.7
OG0001920	ENSPTRG00000051849.1	ENSMUSG00000001924.15
OG0001921	ENSPTRG00000005020.4, ENSPTRG00000052526.1	ENSMUSG00000023051.11
OG0001922	ENSPTRG00000050323.1	ENSMUSG00000007682.6
OG0001923	ENSPTRG00000005791.7	ENSMUSG00000027751.13
OG0001924	ENSPTRG00000006310.3	ENSMUSG00000060499.7
OG0001924	ENSPTRG00000043378.1	ENSMUSG00000058443.5
OG0001925	ENSPTRG00000046697.1, ENSPTRG00000041330.2	ENSMUSG00000032566.4, ENSMUSG00000032565.9
OG0001925	ENSPTRG00000007724.6	ENSMUSG00000022516.10
OG0001926	ENSPTRG00000021888.6	ENSMUSG00000031142.17
OG0001926	ENSPTRG00000015026.4	ENSMUSG00000015968.18
OG0001927	ENSPTRG00000003390.5	ENSMUSG00000030666.11
OG0001927	ENSPTRG00000003389.7	ENSMUSG00000030669.13
OG0001928	ENSPTRG00000003154.5, ENSPTRG00000041595.2	ENSMUSG00000037887.11
OG0001929	ENSPTRG00000003125.6	ENSMUSG00000038611.17
OG0001930	ENSPTRG00000012387.2	ENSMUSG00000026342.10
OG0001931	ENSPTRG00000009803.6	ENSMUSG00000039307.16
OG0001932	ENSPTRG00000009673.7	ENSMUSG00000020792.15
OG0001933	ENSPTRG00000003949.6	ENSMUSG00000034616.17
OG0001934	ENSPTRG00000028514.3	ENSMUSG00000075289.5, ENSMUSG00000097064.3
OG0001935	ENSPTRG00000003972.6, ENSPTRG00000045546.1	ENSMUSG00000037477.8
OG0001935	ENSPTRG00000014067.4	ENSMUSG00000009097.10
OG0001936	ENSPTRG00000045225.1	ENSMUSG00000036309.14
OG0001937	ENSPTRG00000018425.2	ENSMUSG00000051056.5
OG0001938	ENSPTRG00000015351.4	ENSMUSG00000030082.14
OG0001938	ENSPTRG00000002293.7	ENSMUSG00000025816.15
OG0001939	ENSPTRG00000046150.1	ENSMUSG00000075225.14
OG0001940	ENSPTRG00000000406.6	ENSMUSG00000028865.14
OG0001940	ENSPTRG00000018482.6	ENSMUSG00000019818.15
OG0001941	ENSPTRG00000022437.7	ENSMUSG00000038246.7, ENSMUSG00000001962.8
OG0001942	ENSPTRG00000049937.1	ENSMUSG00000024462.17
OG0001943	ENSPTRG00000015697.3	ENSMUSG00000100937.1
OG0001944	ENSPTRG00000017937.6	ENSMUSG00000059791.14
OG0001945	ENSPTRG00000017990.5	ENSMUSG00000007038.5
OG0001946	ENSPTRG00000017991.6	ENSMUSG00000007034.15
OG0001947	ENSPTRG00000003882.5	ENSMUSG00000024939.6
OG0001947	ENSPTRG00000002103.3	ENSMUSG00000043068.6
OG0001948	ENSPTRG00000033791.3	ENSMUSG00000052525.14
OG0001949	ENSPTRG00000008296.3	ENSMUSG00000109941.1
OG0001950	ENSPTRG00000043835.1, ENSPTRG00000019329.5, ENSPTRG00000048586.1, ENSPTRG00000044131.1, ENSPTRG00000052499.1, ENSPTRG00000019325.7	ENSMUSG00000042985.7
OG0001951	ENSPTRG00000050169.1, ENSPTRG00000052483.1, ENSPTRG00000048762.1, ENSPTRG00000051527.1, ENSPTRG00000019307.6	ENSMUSG00000039959.13
OG0001952	ENSPTRG00000017973.6	ENSMUSG00000092417.3
OG0001953	ENSPTRG00000012397.4	ENSMUSG00000026390.7
OG0001954	ENSPTRG00000001590.6, ENSPTRG00000049962.1	ENSMUSG00000059089.4
OG0001954	ENSPTRG00000001233.7	ENSMUSG00000015947.10
OG0001954	ENSPTRG00000001523.2	ENSMUSG00000005339.10
OG0001955	ENSPTRG00000009145.6, ENSPTRG00000039138.2	ENSMUSG00000047253.4, ENSMUSG00000049809.2
OG0001955	ENSPTRG00000042384.2	ENSMUSG00000075567.4
OG0001956	ENSPTRG00000043092.1	ENSMUSG00000015377.10
OG0001957	ENSPTRG00000000136.6, ENSPTRG00000048576.1	ENSMUSG00000041459.15
OG0001958	ENSPTRG00000048604.1, ENSPTRG00000043904.1, ENSPTRG00000019203.6, ENSPTRG00000046133.1, ENSPTRG00000051838.1	ENSMUSG00000034211.14
OG0001959	ENSPTRG00000039259.2	ENSMUSG00000094562.5, ENSMUSG00000094779.2, ENSMUSG00000094758.2, ENSMUSG00000096329.2, ENSMUSG00000076846.3, ENSMUSG00000076839.3, ENSMUSG00000095643.2, ENSMUSG00000096038.2, ENSMUSG00000076823.3, ENSMUSG00000087666.3, ENSMUSG00000076778.3, ENSMUSG00000104629.1
OG0001960	ENSPTRG00000010958.3, ENSPTRG00000010957.4	ENSMUSG00000060747.3, ENSMUSG00000059128.3
OG0001962	ENSPTRG00000048915.1	ENSMUSG00000066896.6, ENSMUSG00000058491.8, ENSMUSG00000066897.8, ENSMUSG00000044106.5, ENSMUSG00000050803.4, ENSMUSG00000049028.8, ENSMUSG00000110555.1, ENSMUSG00000063842.5, ENSMUSG00000058659.6, ENSMUSG00000095448.3, ENSMUSG00000094678.5, ENSMUSG00000066905.4
OG0001964	ENSPTRG00000013190.6	ENSMUSG00000037727.6
OG0001964	ENSPTRG00000013189.2	ENSMUSG00000027301.7
OG0001965	ENSPTRG00000046856.1	ENSMUSG00000036658.4
OG0001965	ENSPTRG00000049817.1	ENSMUSG00000108674.2
OG0001966	ENSPTRG00000029965.2	ENSMUSG00000075200.2
OG0001969	ENSPTRG00000050168.1	ENSMUSG00000071169.1, ENSMUSG00000039775.7, ENSMUSG00000031471.3, ENSMUSG00000037790.3, ENSMUSG00000039785.5, ENSMUSG00000050756.3, ENSMUSG00000059230.2
OG0001973	ENSPTRG00000018609.3	ENSMUSG00000045111.5
OG0001973	ENSPTRG00000045080.1	ENSMUSG00000100950.1, ENSMUSG00000100689.1, ENSMUSG00000095171.1, ENSMUSG00000095569.1, ENSMUSG00000095647.1, ENSMUSG00000037424.6
OG0001985	ENSPTRG00000044356.1, ENSPTRG00000052529.1, ENSPTRG00000046220.1, ENSPTRG00000021361.7	ENSMUSG00000062997.6, ENSMUSG00000078193.2
OG0001986	ENSPTRG00000010960.5	ENSMUSG00000060791.15
OG0001986	ENSPTRG00000023658.4	ENSMUSG00000062014.13
OG0001987	ENSPTRG00000000090.7	ENSMUSG00000028950.3
OG0001987	ENSPTRG00000000254.6	ENSMUSG00000028738.14
OG0001988	ENSPTRG00000048437.1, ENSPTRG00000014555.6	ENSMUSG00000022621.16
OG0001989	ENSPTRG00000006331.5	ENSMUSG00000020990.5
OG0001989	ENSPTRG00000030509.4	ENSMUSG00000033966.8
OG0001991	ENSPTRG00000000248.7	ENSMUSG00000040964.16
OG0001992	ENSPTRG00000051618.1, ENSPTRG00000022052.7	ENSMUSG00000062070.12
OG0001992	ENSPTRG00000018264.4	ENSMUSG00000031233.6
OG0001993	ENSPTRG00000007779.6	ENSMUSG00000062203.15
OG0001994	ENSPTRG00000000576.6	ENSMUSG00000046093.9
OG0001994	ENSPTRG00000011675.5	ENSMUSG00000054459.8
OG0001995	ENSPTRG00000039091.2, ENSPTRG00000039806.2	ENSMUSG00000032399.8
OG0001996	ENSPTRG00000046216.1, ENSPTRG00000007799.5, ENSPTRG00000051138.1	ENSMUSG00000022680.14
OG0001997	ENSPTRG00000008615.6	ENSMUSG00000040746.15
OG0001998	ENSPTRG00000003198.3	ENSMUSG00000030996.8
OG0001999	ENSPTRG00000007807.6	ENSMUSG00000060657.8
OG0002000	ENSPTRG00000006889.5	ENSMUSG00000068615.4
OG0002002	ENSPTRG00000002575.3	ENSMUSG00000037031.10
OG0002003	ENSPTRG00000022023.4	ENSMUSG00000051220.2
OG0002004	ENSPTRG00000004378.4	ENSMUSG00000034342.9
OG0002005	ENSPTRG00000002717.3, ENSPTRG00000050092.1	ENSMUSG00000013662.6
OG0002006	ENSPTRG00000043756.1, ENSPTRG00000046637.1, ENSPTRG00000049673.1, ENSPTRG00000012817.6	ENSMUSG00000026021.15
OG0002007	ENSPTRG00000006490.4	ENSMUSG00000021136.13
OG0002008	ENSPTRG00000002562.4	ENSMUSG00000020076.7
OG0002008	ENSPTRG00000002563.5	ENSMUSG00000020075.8
OG0002009	ENSPTRG00000043811.1, ENSPTRG00000049904.1, ENSPTRG00000047387.1	ENSMUSG00000052974.8
OG0002011	ENSPTRG00000003496.4	ENSMUSG00000027187.10
OG0002012	ENSPTRG00000019326.5, ENSPTRG00000043527.1, ENSPTRG00000043322.1, ENSPTRG00000045503.1	ENSMUSG00000004947.15
OG0002013	ENSPTRG00000044396.1, ENSPTRG00000028478.4	ENSMUSG00000066621.12
OG0002014	ENSPTRG00000012801.7	ENSMUSG00000026029.14
OG0002015	ENSPTRG00000016797.5	ENSMUSG00000054115.11, ENSMUSG00000111328.2
OG0002016	ENSPTRG00000050120.1, ENSPTRG00000022996.5	ENSMUSG00000033526.16
OG0002017	ENSPTRG00000016098.3	ENSMUSG00000029254.16
OG0002017	ENSPTRG00000051487.1	ENSMUSG00000038781.7
OG0002018	ENSPTRG00000051465.1, ENSPTRG00000016792.5	ENSMUSG00000049152.11, ENSMUSG00000072664.11
OG0002019	ENSPTRG00000044877.1, ENSPTRG00000019364.6	ENSMUSG00000042508.16
OG0002020	ENSPTRG00000006381.6	ENSMUSG00000021848.16
OG0002021	ENSPTRG00000051934.1	ENSMUSG00000031333.7
OG0002022	ENSPTRG00000015317.6	ENSMUSG00000035506.16
OG0002023	ENSPTRG00000016100.4	ENSMUSG00000029255.8
OG0002024	ENSPTRG00000043056.1, ENSPTRG00000004610.5	ENSMUSG00000005069.12
OG0002025	ENSPTRG00000021482.6	ENSMUSG00000001855.15
OG0002026	ENSPTRG00000005633.4	ENSMUSG00000029423.10
OG0002027	ENSPTRG00000012588.7	ENSMUSG00000034903.18
OG0002028	ENSPTRG00000003142.6	ENSMUSG00000025511.15
OG0002029	ENSPTRG00000050132.1	ENSMUSG00000054293.10, ENSMUSG00000050921.12
OG0002030	ENSPTRG00000021354.6	ENSMUSG00000026750.6
OG0002030	ENSPTRG00000031165.4	ENSMUSG00000031897.9
OG0002031	ENSPTRG00000004352.6	ENSMUSG00000032098.13
OG0002032	ENSPTRG00000024274.5	ENSMUSG00000111123.2, ENSMUSG00000023307.14
OG0002033	ENSPTRG00000006994.5	ENSMUSG00000043909.16
OG0002034	ENSPTRG00000007039.5	ENSMUSG00000005803.14
OG0002035	ENSPTRG00000005976.6	ENSMUSG00000022136.8
OG0002036	ENSPTRG00000010982.3, ENSPTRG00000040021.2	ENSMUSG00000046865.7
OG0002036	ENSPTRG00000046755.1	ENSMUSG00000051062.6
OG0002037	ENSPTRG00000045262.1, ENSPTRG00000003907.4, ENSPTRG00000050685.1	ENSMUSG00000024844.15
OG0002039	ENSPTRG00000006154.6	ENSMUSG00000022178.11
OG0002039	ENSPTRG00000006153.7	ENSMUSG00000022177.9
OG0002040	ENSPTRG00000012135.5	ENSMUSG00000053460.8, ENSMUSG00000103019.2
OG0002041	ENSPTRG00000022102.4	ENSMUSG00000074734.3, ENSMUSG00000009596.9
OG0002042	ENSPTRG00000015827.6	ENSMUSG00000037373.12
OG0002043	ENSPTRG00000051931.1, ENSPTRG00000048336.1	ENSMUSG00000029617.10
OG0002044	ENSPTRG00000020688.6	ENSMUSG00000022558.16
OG0002045	ENSPTRG00000048332.1, ENSPTRG00000048991.1, ENSPTRG00000011732.3	ENSMUSG00000025745.12
OG0002046	ENSPTRG00000015915.5	ENSMUSG00000005107.13
OG0002047	ENSPTRG00000018646.6, ENSPTRG00000050751.1	ENSMUSG00000019851.8
OG0002048	ENSPTRG00000000288.4	ENSMUSG00000041241.12
OG0002049	ENSPTRG00000032521.3	ENSMUSG00000060034.5
OG0002049	ENSPTRG00000008018.5	ENSMUSG00000042340.6
OG0002050	ENSPTRG00000021607.7	ENSMUSG00000036893.17
OG0002051	ENSPTRG00000008024.5	ENSMUSG00000108815.1, ENSMUSG00000042308.14
OG0002052	ENSPTRG00000048417.1, ENSPTRG00000045470.1, ENSPTRG00000044905.1, ENSPTRG00000019698.6	ENSMUSG00000051855.15
OG0002053	ENSPTRG00000001252.5	ENSMUSG00000038550.10
OG0002054	ENSPTRG00000021433.7	ENSMUSG00000057738.14
OG0002055	ENSPTRG00000008029.6	ENSMUSG00000049739.10
OG0002056	ENSPTRG00000000297.7	ENSMUSG00000028760.16
OG0002057	ENSPTRG00000002809.6	ENSMUSG00000025157.8
OG0002058	ENSPTRG00000000210.6	ENSMUSG00000040761.16
OG0002059	ENSPTRG00000013034.6, ENSPTRG00000013036.4, ENSPTRG00000013035.4	ENSMUSG00000079440.2, ENSMUSG00000036500.4, ENSMUSG00000026246.12
OG0002060	ENSPTRG00000020871.7	ENSMUSG00000028433.14
OG0002061	ENSPTRG00000008535.7	ENSMUSG00000045374.18
OG0002062	ENSPTRG00000009744.5	ENSMUSG00000070327.14
OG0002063	ENSPTRG00000004371.5	ENSMUSG00000032120.11
OG0002064	ENSPTRG00000005946.7	ENSMUSG00000022122.15
OG0002065	ENSPTRG00000048158.1	ENSMUSG00000022556.11
OG0002066	ENSPTRG00000022254.4	ENSMUSG00000046615.2
OG0002066	ENSPTRG00000000057.4	ENSMUSG00000051276.4
OG0002067	ENSPTRG00000015499.5	ENSMUSG00000032372.14, ENSMUSG00000032369.13
OG0002068	ENSPTRG00000007718.6	ENSMUSG00000004069.17
OG0002069	ENSPTRG00000050919.1, ENSPTRG00000051524.1, ENSPTRG00000051869.1, ENSPTRG00000049273.1, ENSPTRG00000004487.5	ENSMUSG00000031993.7
OG0002070	ENSPTRG00000005442.6	ENSMUSG00000029462.18
OG0002071	ENSPTRG00000001598.6	ENSMUSG00000038473.14
OG0002072	ENSPTRG00000020510.6	ENSMUSG00000022338.8
OG0002073	ENSPTRG00000013886.6	ENSMUSG00000051483.9, ENSMUSG00000082815.2
OG0002073	ENSPTRG00000032586.2	ENSMUSG00000022947.8
OG0002074	ENSPTRG00000007985.6	ENSMUSG00000030699.16
OG0002075	ENSPTRG00000008668.4, ENSPTRG00000039338.2	ENSMUSG00000018559.16
OG0002076	ENSPTRG00000007825.6	ENSMUSG00000030655.15
OG0002077	ENSPTRG00000047498.1, ENSPTRG00000043289.1, ENSPTRG00000043975.1	ENSMUSG00000000171.5
OG0002078	ENSPTRG00000012361.5	ENSMUSG00000027386.9
OG0002079	ENSPTRG00000043386.1, ENSPTRG00000007129.6	ENSMUSG00000033543.17
OG0002080	ENSPTRG00000017486.5	ENSMUSG00000044950.7
OG0002081	ENSPTRG00000006259.5	ENSMUSG00000112449.1, ENSMUSG00000073079.6, ENSMUSG00000079108.6
OG0002082	ENSPTRG00000016913.6	ENSMUSG00000021693.20
OG0002083	ENSPTRG00000007135.6	ENSMUSG00000035284.10
OG0002084	ENSPTRG00000017667.5	ENSMUSG00000044734.16, ENSMUSG00000079049.9, ENSMUSG00000051029.8
OG0002085	ENSPTRG00000014257.6	ENSMUSG00000048602.9, ENSMUSG00000034543.15
OG0002086	ENSPTRG00000007121.6	ENSMUSG00000032212.10
OG0002087	ENSPTRG00000051094.1	ENSMUSG00000111321.2, ENSMUSG00000003526.12
OG0002088	ENSPTRG00000020454.5	ENSMUSG00000058600.13
OG0002089	ENSPTRG00000043702.1, ENSPTRG00000039606.2	ENSMUSG00000078486.3
OG0002090	ENSPTRG00000007109.6	ENSMUSG00000032228.16
OG0002091	ENSPTRG00000018022.7	ENSMUSG00000024338.15
OG0002092	ENSPTRG00000051415.1	ENSMUSG00000041670.17, ENSMUSG00000111628.3
OG0002093	ENSPTRG00000007107.6	ENSMUSG00000038535.17
OG0002093	ENSPTRG00000050457.1	ENSMUSG00000036916.13
OG0002094	ENSPTRG00000006940.5	ENSMUSG00000028218.19
OG0002095	ENSPTRG00000031133.2	ENSMUSG00000046714.7
OG0002095	ENSPTRG00000051406.1	ENSMUSG00000050295.4
OG0002096	ENSPTRG00000020205.4	ENSMUSG00000008892.12
OG0002097	ENSPTRG00000051220.1, ENSPTRG00000014276.6	ENSMUSG00000023452.19, ENSMUSG00000093574.1
OG0002098	ENSPTRG00000014172.6	ENSMUSG00000033444.14
OG0002099	ENSPTRG00000014175.6	ENSMUSG00000033416.15
OG0002100	ENSPTRG00000011406.5	ENSMUSG00000007564.15
OG0002100	ENSPTRG00000004270.7	ENSMUSG00000032058.14
OG0002101	ENSPTRG00000032557.3	ENSMUSG00000035148.4
OG0002102	ENSPTRG00000022009.3	ENSMUSG00000031310.16
OG0002103	ENSPTRG00000020092.4, ENSPTRG00000022143.6, ENSPTRG00000052876.1, ENSPTRG00000049295.1, ENSPTRG00000049546.1, ENSPTRG00000048138.1	ENSMUSG00000034327.17
OG0002104	ENSPTRG00000020408.5	ENSMUSG00000028223.8
OG0002105	ENSPTRG00000040726.2	ENSMUSG00000079278.1
OG0002106	ENSPTRG00000048939.1, ENSPTRG00000005526.6, ENSPTRG00000043757.1, ENSPTRG00000044613.1	ENSMUSG00000067274.10
OG0002107	ENSPTRG00000051234.1, ENSPTRG00000050013.1, ENSPTRG00000005512.3	ENSMUSG00000047104.5, ENSMUSG00000032959.12
OG0002108	ENSPTRG00000020367.6	ENSMUSG00000027506.15
OG0002109	ENSPTRG00000002488.6	ENSMUSG00000054051.7
OG0002110	ENSPTRG00000016771.6	ENSMUSG00000022201.16
OG0002111	ENSPTRG00000013728.2	ENSMUSG00000045493.4
OG0002112	ENSPTRG00000008248.3	ENSMUSG00000071497.4
OG0002113	ENSPTRG00000020312.5	ENSMUSG00000025915.14
OG0002114	ENSPTRG00000017479.6	ENSMUSG00000019189.13
OG0002115	ENSPTRG00000002768.5	ENSMUSG00000024990.13
OG0002116	ENSPTRG00000042898.1, ENSPTRG00000044540.1	ENSMUSG00000038403.10
OG0002117	ENSPTRG00000046897.1	ENSMUSG00000033615.9
OG0002117	ENSPTRG00000048326.1	ENSMUSG00000025867.8
OG0002118	ENSPTRG00000048245.1, ENSPTRG00000012257.2	ENSMUSG00000061518.11, ENSMUSG00000079941.1
OG0002119	ENSPTRG00000034062.3	ENSMUSG00000025586.17
OG0002120	ENSPTRG00000043205.1, ENSPTRG00000043249.1, ENSPTRG00000046351.1	ENSMUSG00000047714.14
OG0002121	ENSPTRG00000001148.6	ENSMUSG00000027861.13
OG0002121	ENSPTRG00000001544.5	ENSMUSG00000007122.11
OG0002122	ENSPTRG00000002652.6	ENSMUSG00000021767.19
OG0002123	ENSPTRG00000013679.6	ENSMUSG00000016256.10
OG0002124	ENSPTRG00000002953.6	ENSMUSG00000035818.14
OG0002125	ENSPTRG00000020178.6, ENSPTRG00000049232.1	ENSMUSG00000065954.11
OG0002126	ENSPTRG00000014016.5	ENSMUSG00000009115.5
OG0002126	ENSPTRG00000020675.6	ENSMUSG00000049653.5
OG0002127	ENSPTRG00000007712.6	ENSMUSG00000022519.14
