Orthogroup	P_troglodytes.pep	N_naja.pep
OG0001092	ENSPTRG00000006756.3	Nana05722-RA
OG0001093	ENSPTRG00000020040.3	Nana28463-RB, Nana28463-RA
OG0001094	ENSPTRG00000010877.5	Nana30964-RA
OG0001095	ENSPTRG00000010175.4	Nana06232-RA
OG0001095	ENSPTRG00000023608.4	Nana11381-RA
OG0001096	ENSPTRG00000011211.4	Nana11988-RA
OG0001097	ENSPTRG00000007643.6	Nana34606-RA
OG0001098	ENSPTRG00000021489.7	Nana36877-RA
OG0001100	ENSPTRG00000016220.6	Nana17654-RA
OG0001100	ENSPTRG00000002847.3, ENSPTRG00000044815.1	Nana19114-RA
OG0001101	ENSPTRG00000016312.4	Nana17797-RA
OG0001101	ENSPTRG00000019153.6, ENSPTRG00000047276.1	Nana28158-RA
OG0001102	ENSPTRG00000015924.5, ENSPTRG00000002753.5	Nana19402-RA
OG0001103	ENSPTRG00000017942.7	Nana07736-RA, Nana07736-RB
OG0001104	ENSPTRG00000007112.7	Nana32769-RA
OG0001104	ENSPTRG00000044008.1	Nana32770-RA
OG0001105	ENSPTRG00000042883.1	Nana25067-RA, Nana32041-RA
OG0001105	ENSPTRG00000005743.6	Nana25063-RA, Nana25064-RA
OG0001106	ENSPTRG00000004419.6	Nana23431-RB, Nana23431-RA, Nana23446-RD, Nana23446-RC, Nana23446-RB
OG0001107	ENSPTRG00000018558.4	Nana02033-RA
OG0001107	ENSPTRG00000024134.6	Nana11062-RA
OG0001108	ENSPTRG00000018390.7	Nana02264-RA
OG0001108	ENSPTRG00000001172.7	Nana11055-RA
OG0001109	ENSPTRG00000020792.5	Nana11497-RA
OG0001110	ENSPTRG00000046320.1	Nana16034-RA
OG0001110	ENSPTRG00000013642.5	Nana13586-RA
OG0001111	ENSPTRG00000031311.4	Nana33715-RI, Nana33715-RE, Nana33715-RJ, Nana33715-RN, Nana33715-RO, Nana33715-RP, Nana33715-RQ, Nana33715-RH, Nana33715-RG, Nana33715-RK
OG0001112	ENSPTRG00000009552.7	Nana09815-RA
OG0001112	ENSPTRG00000007536.6	Nana01531-RA
OG0001113	ENSPTRG00000020263.6	Nana16336-RA, Nana16336-RB
OG0001114	ENSPTRG00000049291.1	Nana23976-RA
OG0001115	ENSPTRG00000021124.3	Nana08407-RA
OG0001115	ENSPTRG00000004511.4	Nana27500-RA
OG0001116	ENSPTRG00000033921.3	Nana31238-RB, Nana31238-RA
OG0001117	ENSPTRG00000001818.7	Nana14988-RA
OG0001117	ENSPTRG00000021357.6	Nana36519-RA
OG0001118	ENSPTRG00000013220.6	Nana28094-RA, Nana28094-RB
OG0001118	ENSPTRG00000017297.6	Nana02697-RA
OG0001119	ENSPTRG00000003828.5	Nana36026-RA, Nana36026-RB
OG0001121	ENSPTRG00000006418.3	Nana05803-RA
OG0001121	ENSPTRG00000011890.6	Nana01003-RA
OG0001123	ENSPTRG00000049394.1	Nana05812-RA
OG0001124	ENSPTRG00000017550.6	Nana09016-RA
OG0001124	ENSPTRG00000002864.5	Nana19852-RA
OG0001125	ENSPTRG00000010324.7	Nana38193-RA, Nana38191-RA, Nana27551-RA
OG0001126	ENSPTRG00000007022.6	Nana33075-RA
OG0001127	ENSPTRG00000022950.4	Nana29943-RA
OG0001127	ENSPTRG00000023267.3	Nana29942-RA
OG0001128	ENSPTRG00000017444.6	Nana08783-RA, Nana08784-RA
OG0001130	ENSPTRG00000021731.6	Nana25844-RA
OG0001131	ENSPTRG00000009179.5	Nana23112-RA
OG0001131	ENSPTRG00000014728.6	Nana22266-RA
OG0001132	ENSPTRG00000009964.7	Nana16280-RA
OG0001132	ENSPTRG00000011724.6	Nana00706-RA
OG0001133	ENSPTRG00000020158.7	Nana28410-RA
OG0001133	ENSPTRG00000002841.5	Nana05995-RA
OG0001134	ENSPTRG00000016522.6	Nana17929-RA
OG0001134	ENSPTRG00000003290.6	Nana25656-RA
OG0001135	ENSPTRG00000029684.4	Nana19597-RA
OG0001135	ENSPTRG00000020172.6	Nana28386-RA
OG0001136	ENSPTRG00000049876.1	Nana32118-RA
OG0001136	ENSPTRG00000016472.4	Nana18002-RA
OG0001137	ENSPTRG00000017583.4	Nana08687-RB, Nana08687-RA
OG0001138	ENSPTRG00000004871.7	Nana10327-RA
OG0001138	ENSPTRG00000012728.7	Nana03294-RA
OG0001139	ENSPTRG00000000869.6	Nana14742-RB, Nana14742-RA
OG0001140	ENSPTRG00000016300.3, ENSPTRG00000017568.6	Nana08717-RA, Nana17783-RA
OG0001141	ENSPTRG00000030549.5	Nana14800-RA
OG0001141	ENSPTRG00000010583.5	Nana09279-RA
OG0001142	ENSPTRG00000010825.4	Nana30382-RA
OG0001142	ENSPTRG00000004408.6	Nana28738-RA
OG0001143	ENSPTRG00000047731.1, ENSPTRG00000016972.5	Nana12163-RA
OG0001143	ENSPTRG00000010535.6	Nana09248-RA
OG0001144	ENSPTRG00000013206.7	Nana17440-RA
OG0001145	ENSPTRG00000014360.5	Nana27289-RA
OG0001145	ENSPTRG00000009795.6	Nana09588-RB, Nana09588-RA
OG0001146	ENSPTRG00000005044.7	Nana10405-RA
OG0001147	ENSPTRG00000018120.6	Nana14264-RA
OG0001148	ENSPTRG00000011643.6	Nana02545-RA
OG0001148	ENSPTRG00000020479.5	Nana16704-RA
OG0001149	ENSPTRG00000020200.6	Nana28144-RA
OG0001149	ENSPTRG00000024118.4	Nana18911-RA, Nana18911-RB
OG0001150	ENSPTRG00000001581.3	Nana36107-RD
OG0001151	ENSPTRG00000022082.6	Nana32319-RA
OG0001151	ENSPTRG00000005916.6	Nana26559-RA
OG0001152	ENSPTRG00000002907.4	Nana19809-RA
OG0001152	ENSPTRG00000020087.6	Nana28336-RA
OG0001153	ENSPTRG00000013331.5, ENSPTRG00000048469.1, ENSPTRG00000052675.1, ENSPTRG00000051615.1, ENSPTRG00000014177.7	Nana35546-RA
OG0001154	ENSPTRG00000044713.1	Nana33147-RA
OG0001154	ENSPTRG00000007080.5	Nana33144-RB, Nana33144-RA
OG0001155	ENSPTRG00000005546.5	Nana35470-RA
OG0001155	ENSPTRG00000008921.5	Nana00088-RA
OG0001156	ENSPTRG00000022006.6	Nana32668-RB, Nana32668-RA
OG0001156	ENSPTRG00000015534.7	Nana20400-RA
OG0001157	ENSPTRG00000044619.1	Nana33853-RA
OG0001158	ENSPTRG00000007577.3	Nana33850-RA
OG0001158	ENSPTRG00000044104.1	Nana09655-RA, Nana27317-RA
OG0001159	ENSPTRG00000020462.6	Nana16653-RA
OG0001159	ENSPTRG00000013533.6	Nana13681-RA
OG0001160	ENSPTRG00000010455.5	Nana10842-RB, Nana10433-RA, Nana23048-RA
OG0001161	ENSPTRG00000020393.4	Nana16541-RA
OG0001161	ENSPTRG00000008231.6	Nana31018-RA
OG0001162	ENSPTRG00000013922.5	Nana24564-RA
OG0001162	ENSPTRG00000004326.3	Nana29081-RA
OG0001163	ENSPTRG00000051530.1	Nana28087-RA, Nana28086-RA
OG0001163	ENSPTRG00000047749.1	Nana26761-RA
OG0001164	ENSPTRG00000022164.7	Nana32708-RB, Nana32708-RC, Nana32708-RA
OG0001166	ENSPTRG00000020320.3	Nana16424-RA
OG0001166	ENSPTRG00000013597.6	Nana13637-RA
OG0001167	ENSPTRG00000015818.6	Nana11276-RA
OG0001167	ENSPTRG00000043485.1	Nana09101-RA
OG0001168	ENSPTRG00000012754.6	Nana03251-RA
OG0001168	ENSPTRG00000050931.1	Nana10092-RA
OG0001169	ENSPTRG00000015370.5	Nana08334-RA
OG0001170	ENSPTRG00000022050.7	Nana31951-RA
OG0001170	ENSPTRG00000005897.7	Nana02671-RA
OG0001171	ENSPTRG00000009939.5	Nana16229-RA
OG0001171	ENSPTRG00000013693.5	Nana13490-RA
OG0001172	ENSPTRG00000010019.7	Nana12579-RA
OG0001172	ENSPTRG00000023562.6	Nana33127-RA
OG0001173	ENSPTRG00000049032.1	Nana05846-RA, Nana05846-RB
OG0001173	ENSPTRG00000023869.4	Nana02840-RA
OG0001174	ENSPTRG00000005963.3	Nana26363-RA
OG0001174	ENSPTRG00000022282.5	Nana32610-RA
OG0001175	ENSPTRG00000012602.6	Nana03461-RA
OG0001175	ENSPTRG00000014755.3	Nana21178-RA
OG0001176	ENSPTRG00000008942.6	Nana39284-RA
OG0001176	ENSPTRG00000007973.6	Nana23785-RA
OG0001177	ENSPTRG00000045206.1	Nana18988-RA
OG0001178	ENSPTRG00000005423.5	Nana34725-RA
OG0001178	ENSPTRG00000008524.5	Nana00040-RA
OG0001179	ENSPTRG00000014066.6	Nana35215-RA
OG0001180	ENSPTRG00000041105.2, ENSPTRG00000001929.7, ENSPTRG00000041818.2	Nana14068-RC, Nana14068-RF, Nana14068-RA, Nana14068-RE
OG0001181	ENSPTRG00000018524.4	Nana02065-RA
OG0001181	ENSPTRG00000000532.6	Nana29978-RA
OG0001182	ENSPTRG00000015621.4	Nana20593-RA
OG0001183	ENSPTRG00000010108.6	Nana16009-RA
OG0001183	ENSPTRG00000008087.5	Nana31464-RA
OG0001184	ENSPTRG00000048032.1	Nana33082-RA
OG0001184	ENSPTRG00000048492.1	Nana11895-RA
OG0001185	ENSPTRG00000016598.3	Nana18276-RA
OG0001185	ENSPTRG00000017445.5	Nana08782-RA
OG0001186	ENSPTRG00000013416.7	Nana13789-RA
OG0001186	ENSPTRG00000008379.5	Nana31265-RA
OG0001187	ENSPTRG00000019915.7	Nana21256-RA
OG0001187	ENSPTRG00000004899.6	Nana09906-RA
OG0001188	ENSPTRG00000040282.2	Nana23565-RA
OG0001189	ENSPTRG00000008940.4	Nana00111-RA, Nana00106-RA, Nana00108-RB, Nana00108-RA, Nana00110-RB, Nana00110-RA, Nana00107-RA
OG0001190	ENSPTRG00000011632.4, ENSPTRG00000038955.2	Nana02526-RA
OG0001190	ENSPTRG00000052245.1	Nana15877-RA
OG0001191	ENSPTRG00000013473.6, ENSPTRG00000051075.1	Nana13699-RA
OG0001192	ENSPTRG00000008352.6	Nana31096-RA, Nana31095-RA
OG0001193	ENSPTRG00000022225.6	Nana32416-RB, Nana32416-RA
OG0001193	ENSPTRG00000017240.3	Nana08930-RA
OG0001194	ENSPTRG00000024318.6	Nana36352-RL, Nana36352-RJ, Nana36352-RN, Nana36352-RM, Nana36352-RH, Nana36352-RI, Nana36352-RF, Nana36352-RE, Nana36352-RK, Nana36352-RG
OG0001195	ENSPTRG00000046741.1	Nana25025-RA
OG0001195	ENSPTRG00000016044.4	Nana18598-RA
OG0001196	ENSPTRG00000003373.6	Nana04558-RA
OG0001196	ENSPTRG00000014480.6	Nana29494-RA
OG0001197	ENSPTRG00000017940.5	Nana07730-RC
OG0001198	ENSPTRG00000015661.5	Nana20689-RA
OG0001199	ENSPTRG00000002104.6	Nana01634-RA
OG0001199	ENSPTRG00000006338.6	Nana05931-RA
OG0001200	ENSPTRG00000003724.5	Nana04145-RD, Nana04145-RH, Nana04145-RG, Nana04145-RF, Nana04145-RE, Nana04145-RI, Nana04145-RC, Nana04145-RB, Nana04145-RA
OG0001201	ENSPTRG00000043246.1, ENSPTRG00000008989.7	Nana09935-RF, Nana09935-RC, Nana09935-RG, Nana09935-RH, Nana09935-RD, Nana09935-RI, Nana09935-RE
OG0001202	ENSPTRG00000051552.1, ENSPTRG00000019175.6	Nana22636-RA
OG0001203	ENSPTRG00000018239.6, ENSPTRG00000009957.6	Nana02926-RA
OG0001204	ENSPTRG00000009943.5, ENSPTRG00000009941.6, ENSPTRG00000009940.5	Nana16242-RA
OG0001205	ENSPTRG00000017171.3, ENSPTRG00000030979.3, ENSPTRG00000049304.1, ENSPTRG00000050975.1	Nana04204-RA
OG0001206	ENSPTRG00000045480.1, ENSPTRG00000011443.5	Nana23668-RA
OG0001207	ENSPTRG00000011445.4, ENSPTRG00000047750.1	Nana23665-RA
OG0001208	ENSPTRG00000044768.1, ENSPTRG00000011448.7	Nana23661-RA
OG0001209	ENSPTRG00000015539.6	Nana20401-RA
OG0001209	ENSPTRG00000042614.2, ENSPTRG00000046538.1	Nana26008-RA
OG0001210	ENSPTRG00000009368.7	Nana23229-RA
OG0001210	ENSPTRG00000047422.1, ENSPTRG00000018986.6	Nana21774-RA
OG0001211	ENSPTRG00000015524.5	Nana20383-RA
OG0001211	ENSPTRG00000034182.3	Nana38623-RA
OG0001212	ENSPTRG00000006652.6	Nana05553-RA
OG0001212	ENSPTRG00000013294.5	Nana15517-RA
OG0001213	ENSPTRG00000014685.4	Nana21939-RA
OG0001213	ENSPTRG00000009192.5	Nana23151-RA
OG0001214	ENSPTRG00000042719.1, ENSPTRG00000015509.6	Nana20367-RA
OG0001214	ENSPTRG00000021625.6	Nana26011-RA
OG0001215	ENSPTRG00000015301.5, ENSPTRG00000016722.4	Nana15541-RA, Nana03770-RA
OG0001216	ENSPTRG00000010378.4	Nana10845-RA
OG0001216	ENSPTRG00000001024.7	Nana14966-RA
OG0001217	ENSPTRG00000021437.5	Nana36799-RA
OG0001217	ENSPTRG00000000931.7	Nana14841-RA, Nana14841-RB
OG0001218	ENSPTRG00000039951.2	Nana11150-RA
OG0001218	ENSPTRG00000046978.1	Nana14667-RA
OG0001220	ENSPTRG00000017538.4	Nana09048-RA, Nana19961-RA
OG0001221	ENSPTRG00000045244.1	Nana19942-RA
OG0001221	ENSPTRG00000020192.6	Nana28210-RA, Nana28207-RA
OG0001222	ENSPTRG00000028180.2, ENSPTRG00000005297.5, ENSPTRG00000047156.1	Nana27061-RA
OG0001223	ENSPTRG00000047268.1, ENSPTRG00000002925.7, ENSPTRG00000002926.3	Nana19780-RA, Nana19779-RA
OG0001224	ENSPTRG00000002931.5	Nana19766-RA
OG0001224	ENSPTRG00000052782.1	Nana19773-RA
OG0001225	ENSPTRG00000016296.5	Nana17767-RA
OG0001225	ENSPTRG00000002600.6	Nana19197-RA
OG0001226	ENSPTRG00000000747.6	Nana14518-RA
OG0001226	ENSPTRG00000021099.6	Nana11831-RA
OG0001228	ENSPTRG00000003351.6	Nana04529-RA
OG0001228	ENSPTRG00000018081.7	Nana14214-RA
OG0001229	ENSPTRG00000004787.3	Nana29222-RA
OG0001229	ENSPTRG00000018105.5	Nana14252-RA
OG0001230	ENSPTRG00000052423.1	Nana23207-RA
OG0001231	ENSPTRG00000039535.2, ENSPTRG00000049275.1	Nana21842-RA
OG0001231	ENSPTRG00000009356.4	Nana23212-RA
OG0001232	ENSPTRG00000001846.4	Nana13918-RA
OG0001233	ENSPTRG00000012330.6, ENSPTRG00000048111.1	Nana26171-RD, Nana26171-RB
OG0001234	ENSPTRG00000017510.5	Nana09157-RA
OG0001234	ENSPTRG00000024331.5	Nana18325-RA
OG0001235	ENSPTRG00000018661.4	Nana01871-RA
OG0001235	ENSPTRG00000021696.3	Nana25887-RA
OG0001236	ENSPTRG00000048449.1	Nana04636-RA
OG0001237	ENSPTRG00000021714.6	Nana25864-RA
OG0001237	ENSPTRG00000016177.6	Nana17582-RA
OG0001238	ENSPTRG00000045377.1, ENSPTRG00000010860.5	Nana24534-RB, Nana24534-RA, Nana24534-RC
OG0001239	ENSPTRG00000013761.6	Nana13340-RA, Nana00674-RE, Nana00674-RB, Nana00674-RA, Nana00674-RD
OG0001240	ENSPTRG00000004168.6	Nana25325-RA
OG0001240	ENSPTRG00000016666.6	Nana18168-RA
OG0001241	ENSPTRG00000045893.1, ENSPTRG00000045780.1	Nana24942-RA, Nana24944-RA, Nana34596-RA
OG0001242	ENSPTRG00000005745.6	Nana25059-RA
OG0001243	ENSPTRG00000020838.3	Nana11472-RA, Nana11473-RA, Nana11471-RA, Nana11470-RA, Nana11469-RA
OG0001244	ENSPTRG00000001958.3	Nana01106-RA
OG0001244	ENSPTRG00000006426.3	Nana05788-RA
OG0001245	ENSPTRG00000001968.6	Nana01114-RA
OG0001245	ENSPTRG00000006557.4	Nana05357-RA
OG0001246	ENSPTRG00000052414.1	Nana10659-RB, Nana10657-RA
OG0001246	ENSPTRG00000014884.5	Nana07907-RA
OG0001247	ENSPTRG00000011796.6	Nana01305-RA
OG0001247	ENSPTRG00000006948.7	Nana05051-RA
OG0001248	ENSPTRG00000020445.3, ENSPTRG00000023905.5, ENSPTRG00000011922.4, ENSPTRG00000018528.2	Nana10734-RA
OG0001249	ENSPTRG00000008774.5	Nana09410-RF, Nana09410-RA
OG0001250	ENSPTRG00000021569.5	Nana36744-RA
OG0001250	ENSPTRG00000021582.5	Nana36743-RA
OG0001251	ENSPTRG00000018554.6	Nana02037-RA
OG0001251	ENSPTRG00000010586.4	Nana09280-RA
OG0001252	ENSPTRG00000042790.1	Nana09088-RB
OG0001252	ENSPTRG00000005793.3	Nana09088-RA, Nana09088-RC
OG0001253	ENSPTRG00000051036.1, ENSPTRG00000013077.6	Nana03034-RA, Nana22295-RA, Nana03033-RA, Nana03032-RA
OG0001254	ENSPTRG00000020044.5	Nana28036-RD, Nana28036-RA, Nana28036-RB, Nana28036-RC
OG0001256	ENSPTRG00000034357.3, ENSPTRG00000043301.1	Nana07602-RA, Nana07604-RA, Nana07605-RD, Nana07605-RB, Nana07605-RC, Nana07605-RE
OG0001257	ENSPTRG00000047585.1	Nana01654-RA
OG0001257	ENSPTRG00000006907.5	Nana05106-RA, Nana05106-RB
OG0001258	ENSPTRG00000001387.3	Nana36049-RA
OG0001259	ENSPTRG00000043332.1, ENSPTRG00000049603.1, ENSPTRG00000049700.1, ENSPTRG00000045969.1, ENSPTRG00000044099.1	Nana34333-RA
OG0001260	ENSPTRG00000010286.5	Nana06434-RA
OG0001260	ENSPTRG00000007152.4	Nana32795-RA, Nana32795-RB, Nana32795-RC
OG0001265	ENSPTRG00000023109.5	Nana36837-RB, Nana36458-RA
OG0001265	ENSPTRG00000022599.4	Nana36843-RA
OG0001276	ENSPTRG00000012055.6	Nana17486-RA, Nana17485-RA
OG0001276	ENSPTRG00000002981.5	Nana19637-RA
OG0001277	ENSPTRG00000002970.5, ENSPTRG00000050694.1	Nana19671-RA
OG0001280	ENSPTRG00000023465.3	Nana37489-RB
OG0001280	ENSPTRG00000000112.6	Nana37488-RA
OG0001282	ENSPTRG00000007647.7	Nana34026-RA
OG0001283	ENSPTRG00000011989.6	Nana02830-RA, Nana02830-RB
OG0001283	ENSPTRG00000003915.7	Nana36123-RB, Nana36123-RA
OG0001284	ENSPTRG00000020151.3, ENSPTRG00000049550.1	Nana28455-RA, Nana17390-RA
OG0001285	ENSPTRG00000018299.6	Nana02396-RA
OG0001286	ENSPTRG00000023510.5	Nana30932-RA
OG0001287	ENSPTRG00000002083.7	Nana01614-RA
OG0001287	ENSPTRG00000033697.2	Nana30927-RC
OG0001288	ENSPTRG00000000063.7	Nana37152-RA
OG0001288	ENSPTRG00000015732.4	Nana21032-RA
OG0001289	ENSPTRG00000043071.1	Nana31807-RA
OG0001290	ENSPTRG00000039184.2	Nana12855-RB, Nana12855-RA
OG0001291	ENSPTRG00000014178.5	Nana35544-RA
OG0001291	ENSPTRG00000008814.5	Nana00650-RA
OG0001292	ENSPTRG00000017205.4	Nana11849-RA
OG0001293	ENSPTRG00000002310.4	Nana29173-RA
OG0001293	ENSPTRG00000014971.7	Nana08573-RA
OG0001294	ENSPTRG00000008013.6	Nana38284-RC, Nana38284-RE, Nana38284-RD, Nana38284-RA, Nana38284-RB, Nana38284-RF, Nana23832-RA
OG0001295	ENSPTRG00000002371.6	Nana21417-RA
OG0001295	ENSPTRG00000012624.6	Nana03435-RA
OG0001296	ENSPTRG00000011294.5	Nana23590-RA
OG0001297	ENSPTRG00000003400.5	Nana04431-RA
OG0001298	ENSPTRG00000013552.5, ENSPTRG00000044911.1	Nana13176-RA, Nana13164-RA
OG0001299	ENSPTRG00000011241.6	Nana23701-RB, Nana23701-RA
OG0001300	ENSPTRG00000007169.6	Nana33421-RA
OG0001300	ENSPTRG00000016998.5	Nana12214-RA
OG0001301	ENSPTRG00000013182.4	Nana17269-RA
OG0001301	ENSPTRG00000003027.5	Nana19543-RA
OG0001302	ENSPTRG00000010234.6	Nana06773-RA
OG0001303	ENSPTRG00000000206.4	Nana37264-RA
OG0001303	ENSPTRG00000008736.6	Nana24062-RA
OG0001304	ENSPTRG00000051786.1	Nana20881-RA
OG0001305	ENSPTRG00000017272.6	Nana08883-RA
OG0001305	ENSPTRG00000016572.6	Nana18780-RA
OG0001306	ENSPTRG00000002529.6	Nana18841-RB
OG0001306	ENSPTRG00000020069.6	Nana28290-RA
OG0001307	ENSPTRG00000016574.7	Nana18782-RA
OG0001308	ENSPTRG00000015071.5	Nana08014-RA
OG0001308	ENSPTRG00000019631.4	Nana29611-RA
OG0001309	ENSPTRG00000019570.4, ENSPTRG00000043312.1	Nana30321-RB, Nana30321-RA, Nana29315-RA, Nana03607-RA, Nana29312-RA, Nana29314-RA
OG0001310	ENSPTRG00000008182.6	Nana30987-RH, Nana30987-RG, Nana30987-RB, Nana30987-RE, Nana30987-RF, Nana30987-RA, Nana30987-RC, Nana30987-RD
OG0001311	ENSPTRG00000004394.5	Nana28786-RA
OG0001311	ENSPTRG00000011042.5	Nana30632-RA
OG0001312	ENSPTRG00000011887.4	Nana01015-RA
OG0001312	ENSPTRG00000006409.6	Nana05814-RA
OG0001313	ENSPTRG00000005832.6	Nana26638-RA
OG0001314	ENSPTRG00000000114.6	Nana37502-RA
OG0001315	ENSPTRG00000017526.6	Nana02711-RA
OG0001316	ENSPTRG00000008726.6	Nana24317-RA
OG0001316	ENSPTRG00000013092.7	Nana20190-RA
OG0001317	ENSPTRG00000019272.5	Nana00613-RA
OG0001317	ENSPTRG00000008017.5	Nana23887-RA
OG0001318	ENSPTRG00000049886.1, ENSPTRG00000018635.7	Nana01932-RB, Nana01932-RE, Nana01932-RA, Nana01932-RC, Nana01932-RD
OG0001319	ENSPTRG00000050345.1, ENSPTRG00000019277.6	Nana00611-RA
OG0001319	ENSPTRG00000047467.1	Nana23874-RA
OG0001320	ENSPTRG00000008031.6	Nana23866-RA
OG0001321	ENSPTRG00000018622.5	Nana01953-RA
OG0001321	ENSPTRG00000020339.6	Nana16450-RA
OG0001322	ENSPTRG00000052760.1, ENSPTRG00000009568.7	Nana09855-RA, Nana09855-RE, Nana09855-RD, Nana09855-RF, Nana09855-RC, Nana09855-RB
OG0001323	ENSPTRG00000013764.7	Nana00716-RA
OG0001325	ENSPTRG00000043800.1, ENSPTRG00000043454.1, ENSPTRG00000050351.1, ENSPTRG00000046984.1, ENSPTRG00000049274.1, ENSPTRG00000043521.1, ENSPTRG00000040264.2, ENSPTRG00000047145.1	Nana10384-RA
OG0001326	ENSPTRG00000000217.7, ENSPTRG00000034081.3	Nana37269-RL, Nana37269-RM, Nana37269-RH, Nana37269-RN, Nana37269-RI, Nana37269-RJ, Nana37269-RK
OG0001327	ENSPTRG00000048953.1, ENSPTRG00000014095.6	Nana35437-RA, Nana00057-RB, Nana00057-RA
OG0001328	ENSPTRG00000046155.1, ENSPTRG00000003935.3	Nana35869-RE
OG0001328	ENSPTRG00000044792.1	Nana35869-RA
OG0001329	ENSPTRG00000005122.6, ENSPTRG00000012508.6	Nana03628-RA
OG0001330	ENSPTRG00000021655.3	Nana25947-RA
OG0001331	ENSPTRG00000009090.6	Nana23025-RC, Nana23025-RB
OG0001332	ENSPTRG00000012416.6	Nana03794-RA
OG0001332	ENSPTRG00000014734.6	Nana22269-RA, Nana22271-RA
OG0001333	ENSPTRG00000004038.7	Nana25558-RA
OG0001334	ENSPTRG00000046300.1	Nana17197-RA
OG0001335	ENSPTRG00000020608.6	Nana16945-RA
OG0001336	ENSPTRG00000009428.5	Nana09967-RA, Nana34041-RB, Nana34041-RA
OG0001337	ENSPTRG00000010593.4	Nana09294-RA
OG0001337	ENSPTRG00000051570.1	Nana14771-RA
OG0001338	ENSPTRG00000008281.4	Nana31834-RJ, Nana31834-RI, Nana31834-RL, Nana31834-RK, Nana31834-RG, Nana31834-RE, Nana31834-RF, Nana31834-RD, Nana31834-RH
OG0001339	ENSPTRG00000016301.6, ENSPTRG00000050078.1	Nana17784-RA
OG0001340	ENSPTRG00000000899.6	Nana14799-RA
OG0001341	ENSPTRG00000049354.1	Nana25200-RA
OG0001341	ENSPTRG00000042083.2, ENSPTRG00000048400.1	Nana32114-RA
OG0001343	ENSPTRG00000012546.5	Nana22698-RA
OG0001345	ENSPTRG00000009023.6	Nana00537-RA
OG0001345	ENSPTRG00000014219.6	Nana34930-RA
OG0001346	ENSPTRG00000024127.4	Nana15236-RA
OG0001347	ENSPTRG00000012277.5, ENSPTRG00000012276.2	Nana26078-RA
OG0001348	ENSPTRG00000046428.1	Nana17027-RA
OG0001349	ENSPTRG00000043021.1	Nana36488-RA
OG0001349	ENSPTRG00000021341.5	Nana30652-RA
OG0001350	ENSPTRG00000011057.4	Nana29753-RA
OG0001351	ENSPTRG00000045020.1	Nana20921-RA
OG0001351	ENSPTRG00000039445.2, ENSPTRG00000023647.3	Nana37462-RA
OG0001352	ENSPTRG00000022290.6	Nana32601-RB, Nana32601-RA
OG0001353	ENSPTRG00000013629.7	Nana13602-RA
OG0001354	ENSPTRG00000047659.1, ENSPTRG00000009696.6	Nana09446-RA
OG0001355	ENSPTRG00000044161.1	Nana16625-RA
OG0001355	ENSPTRG00000010780.4	Nana31424-RA
OG0001356	ENSPTRG00000008919.7	Nana00085-RA
OG0001356	ENSPTRG00000008648.5	Nana00639-RA
OG0001357	ENSPTRG00000005482.6	Nana35017-RA
OG0001357	ENSPTRG00000008747.6	Nana09346-RA
OG0001358	ENSPTRG00000007404.4	Nana33066-RA
OG0001359	ENSPTRG00000021673.5	Nana25904-RA
OG0001359	ENSPTRG00000028227.2	Nana32714-RA
OG0001360	ENSPTRG00000050901.1, ENSPTRG00000045361.1, ENSPTRG00000043551.1	Nana03836-RA
OG0001361	ENSPTRG00000002894.5, ENSPTRG00000043584.1, ENSPTRG00000012258.5	Nana19833-RA
OG0001362	ENSPTRG00000007812.6	Nana34589-RE, Nana34589-RH, Nana34589-RI, Nana34589-RD, Nana34589-RC, Nana34589-RG, Nana34589-RB
OG0001363	ENSPTRG00000013711.4	Nana13467-RA
OG0001363	ENSPTRG00000009913.5	Nana16183-RA
OG0001364	ENSPTRG00000009910.4	Nana16173-RA, Nana16172-RA
OG0001364	ENSPTRG00000011749.4	Nana00685-RA
OG0001365	ENSPTRG00000002949.7	Nana19712-RA
OG0001366	ENSPTRG00000015390.6	Nana22126-RA
OG0001367	ENSPTRG00000018500.6, ENSPTRG00000005724.4	Nana25114-RA
OG0001368	ENSPTRG00000004779.5	Nana29210-RA
OG0001368	ENSPTRG00000014571.5	Nana08172-RA
OG0001369	ENSPTRG00000051817.1, ENSPTRG00000047854.1	Nana36951-RA
OG0001370	ENSPTRG00000005564.4	Nana34816-RA
OG0001370	ENSPTRG00000044557.1, ENSPTRG00000048556.1	Nana00530-RA
OG0001372	ENSPTRG00000003944.3, ENSPTRG00000051621.1	Nana04056-RA
OG0001372	ENSPTRG00000005565.4	Nana34815-RA
OG0001373	ENSPTRG00000000264.3, ENSPTRG00000043085.1, ENSPTRG00000000263.6, ENSPTRG00000000265.3	Nana37203-RC, Nana37203-RD, Nana37203-RB, Nana37203-RA
OG0001374	ENSPTRG00000017179.4	Nana11894-RA
OG0001374	ENSPTRG00000007156.4	Nana33083-RB, Nana33083-RA
OG0001375	ENSPTRG00000051060.1, ENSPTRG00000052595.1, ENSPTRG00000052223.1, ENSPTRG00000051345.1, ENSPTRG00000011615.4, ENSPTRG00000034468.3, ENSPTRG00000046042.1	Nana02493-RA
OG0001376	ENSPTRG00000047040.1	Nana23558-RA
OG0001376	ENSPTRG00000003407.6	Nana04415-RA
OG0001377	ENSPTRG00000008189.6	Nana31311-RA
OG0001378	ENSPTRG00000052125.1, ENSPTRG00000008445.5	Nana31717-RA
